	TCGA.B8.5552.11A.01R.1672.07	TCGA.38.4625.01A.01R.1206.07.1	GTEX.11ZTS.1226.SM.5EQMQ	TCGA.DJ.A3VM.01A.11R.A23N.07	TCGA.BJ.A45I.01A.11R.A23W.07	TCGA.DJ.A1QO.01A.11R.A14Y.07	TCGA.J8.A3YF.01A.12R.A23N.07	TCGA.DJ.A2Q0.01A.11R.A206.07	TCGA.ET.A3DW.01A.11R.A19O.07	TCGA.E3.A3E0.01A.11R.A20F.07	TCGA.BJ.A2N7.01A.11R.A18C.07	TCGA.E8.A436.01A.12R.A23W.07	TCGA.DJ.A3V4.01A.11R.A22U.07	TCGA.EM.A1YB.01A.11R.A14Y.07	TCGA.DJ.A3VF.01A.11R.A23N.07	TCGA.EM.A22L.01A.11R.A180.07	TCGA.DJ.A2PT.01A.11R.A18C.07	TCGA.BJ.A3EZ.01A.11R.A206.07	TCGA.ET.A4KQ.01A.12R.A250.07	TCGA.FY.A3YR.01A.11R.A22U.07	TCGA.ET.A39P.01A.21R.A19O.07	TCGA.EM.A2P3.01A.11R.A206.07	TCGA.DE.A0Y2.01A.11R.A10U.07	TCGA.DJ.A3V8.01A.11R.A23N.07	TCGA.BJ.A4O9.01A.11R.A250.07	TCGA.IM.A3U2.01A.21R.A22L.07	TCGA.FY.A76V.01A.11R.A39I.07	TCGA.E8.A414.01A.11R.A23N.07	TCGA.EM.A3FM.01A.11R.A21D.07	TCGA.EM.A2OY.01A.11R.A206.07	TCGA.EL.A3GX.01A.11R.A206.07	TCGA.DJ.A3V3.01A.11R.A22U.07	TCGA.IM.A41Z.01A.11R.A23N.07	TCGA.DJ.A2PY.01A.11R.A18C.07	TCGA.DJ.A3UQ.01A.11R.A22L.07	TCGA.EL.A4JV.01A.11R.A250.07	TCGA.EM.A4FF.01A.11R.A250.07	TCGA.IM.A41Y.01A.11R.A23W.07	TCGA.EL.A3CN.01A.12R.A20F.07	TCGA.E8.A434.01A.11R.A23N.07	TCGA.FY.A3R9.01A.11R.A220.07	TCGA.EM.A2P1.01A.11R.A206.07	TCGA.DJ.A13L.01A.11R.A220.07	TCGA.EL.A3GY.01A.21R.A206.07	TCGA.FE.A23A.01A.11R.A16R.07	TCGA.L6.A4ET.01A.11R.A250.07	TCGA.DJ.A2Q4.01A.21R.A18C.07	TCGA.BJ.A45F.01A.12R.A23W.07	TCGA.ET.A3BP.01A.21R.A19O.07	TCGA.EL.A3GS.01A.11R.A20F.07	TCGA.EL.A3TB.01A.11R.A22L.07	TCGA.H2.A26U.01A.11R.A16R.07	TCGA.EL.A3H7.01A.11R.A21D.07	TCGA.DJ.A1QQ.01A.11R.A14Y.07	TCGA.EM.A3FK.01A.11R.A21D.07	TCGA.EM.A1CV.01A.11R.A13Y.07	TCGA.DJ.A2QB.01A.11R.A19O.07	TCGA.ET.A25N.01A.11R.A16R.07	TCGA.ET.A25R.01A.11R.A16R.07	TCGA.MK.A4N7.01A.11R.A250.07	TCGA.MK.A84Z.01A.11R.A39I.07	TCGA.ET.A3BN.01A.11R.A19O.07	TCGA.ET.A25L.01A.11R.A16R.07	TCGA.DJ.A3VK.01A.11R.A23N.07	TCGA.EL.A3N3.01A.11R.A20F.07	TCGA.DJ.A2PZ.01A.21R.A18C.07	TCGA.EM.A1CS.01A.11R.A13Y.07	TCGA.E3.A3E5.01A.11R.A20F.07	TCGA.EM.A2OW.01A.11R.A206.07	TCGA.E8.A3X7.01A.11R.A22U.07	TCGA.ET.A39I.01A.11R.A19O.07	TCGA.DJ.A4V2.01A.11R.A250.07	TCGA.EM.A4G1.01A.11R.A250.07	TCGA.EM.A1CW.01A.21R.A13Y.07	TCGA.DJ.A1QE.01A.21R.A14Y.07	TCGA.FE.A234.01A.11R.A14Y.07	TCGA.DE.A0Y3.01B.11R.A10U.07	TCGA.J8.A4HY.01A.11R.A250.07	TCGA.FE.A232.01A.11R.A14Y.07	TCGA.ET.A25G.01A.11R.A16R.07	TCGA.EL.A3ZO.01A.11R.A23N.07	TCGA.FE.A230.01A.11R.A14Y.07	TCGA.DJ.A13S.01A.11R.A10U.07	TCGA.BJ.A28X.01A.11R.A22L.07	TCGA.BJ.A0ZE.01A.11R.A10U.07	TCGA.EM.A4FU.01A.11R.A250.07	TCGA.KS.A4ID.01A.11R.A250.07	TCGA.J8.A3YE.01A.12R.A23N.07	TCGA.DJ.A3VB.01A.11R.A23N.07	TCGA.DJ.A3UW.01A.11R.A22L.07	TCGA.BJ.A0ZB.01A.11R.A10U.07	TCGA.EM.A22I.01A.11R.A180.07	TCGA.EL.A3CU.01A.11R.A19O.07	TCGA.DJ.A2PO.01A.21R.A19O.07	TCGA.DJ.A3V6.01A.11R.A22U.07	TCGA.EL.A3GU.01A.11R.A21D.07	TCGA.BJ.A3F0.01A.11R.A206.07	TCGA.EM.A3AK.01A.11R.A206.07	TCGA.ET.A3BO.01A.11R.A19O.07	TCGA.DJ.A3UM.01A.11R.A22L.07	TCGA.ET.A2N4.01A.12R.A19O.07	TCGA.H2.A3RI.01A.11R.A220.07	TCGA.ET.A2MY.01A.11R.A18C.07	TCGA.FY.A3BL.01A.11R.A19O.07	TCGA.E8.A2JQ.01A.11R.A180.07	TCGA.DJ.A13T.01A.11R.A10U.07	TCGA.EL.A3ZR.01A.11R.A23N.07	TCGA.ET.A40R.01A.11R.A23N.07	TCGA.BJ.A3PT.01A.12R.A220.07	TCGA.E8.A415.01A.11R.A23N.07	TCGA.EL.A3N2.01A.11R.A20F.07	TCGA.ET.A3DO.01A.11R.A19O.07	TCGA.BJ.A2NA.01A.12R.A19O.07	TCGA.DE.A69J.01A.21R.A39I.07	TCGA.EL.A3H8.01A.11R.A20F.07	TCGA.E8.A242.01A.21R.A16R.07	TCGA.E3.A3DY.01A.11R.A20F.07	TCGA.EM.A4FK.01A.11R.A250.07	TCGA.E3.A3E1.01A.11R.A20F.07	TCGA.DJ.A13U.01A.11R.A10U.07	TCGA.DJ.A3UN.01A.11R.A22L.07	TCGA.EM.A2CQ.01A.11R.A180.07	TCGA.EM.A2CO.01A.11R.A19O.07	TCGA.EL.A3H4.01A.11R.A206.07	TCGA.DJ.A4UT.01A.11R.A250.07	TCGA.ET.A2N5.01A.11R.A18C.07	TCGA.ET.A39T.01A.11R.A19O.07	TCGA.IM.A3ED.01A.11R.A206.07	TCGA.EM.A22O.01A.11R.A180.07	TCGA.KS.A4I3.01A.11R.A250.07	TCGA.FE.A237.01A.11R.A16R.07	TCGA.EL.A3CT.01A.12R.A206.07	TCGA.ET.A40Q.01A.11R.A23N.07	TCGA.ET.A3BT.01A.11R.A19O.07	TCGA.E3.A3E3.01A.11R.A20F.07	TCGA.J8.A3NZ.01A.11R.A21D.07	TCGA.CE.A483.01A.11R.A23W.07	TCGA.EM.A1CT.01A.11R.A13Y.07	TCGA.EM.A22N.01A.11R.A180.07	TCGA.EL.A3D0.01A.12R.A206.07	TCGA.DJ.A1QF.01A.12R.A14Y.07	TCGA.DE.A4MB.01A.11R.A250.07	TCGA.BJ.A18Y.01A.11R.A13Y.07	TCGA.KS.A4I9.01A.11R.A250.07	TCGA.BJ.A18Z.01A.21R.A13Y.07	TCGA.EM.A4FQ.01A.11R.A250.07	TCGA.EL.A3ZG.01A.11R.A23N.07	TCGA.KS.A4IB.01A.11R.A250.07	TCGA.EL.A3TA.01A.12R.A22L.07	TCGA.H2.A422.01A.11R.A23N.07	TCGA.ET.A39O.01A.11R.A19O.07	TCGA.IM.A4EB.01A.11R.A250.07	TCGA.EL.A3T1.01A.11R.A22L.07	TCGA.DJ.A1QH.01A.21R.A14Y.07	TCGA.EL.A3D6.01A.12R.A206.07	TCGA.DJ.A13X.01A.11R.A10U.07	TCGA.EL.A3GQ.01A.11R.A206.07	TCGA.MK.A4N6.01A.11R.A250.07	TCGA.DE.A4MC.01A.11R.A250.07	TCGA.ET.A2MZ.01A.12R.A19O.07	TCGA.IM.A3U3.01A.11R.A22L.07	TCGA.DJ.A4V4.01A.11R.A250.07	TCGA.EM.A2CP.01A.11R.A180.07	TCGA.BJ.A28S.01A.11R.A19O.07	TCGA.DJ.A3VA.01A.11R.A23N.07	TCGA.DJ.A2PP.01A.11R.A19O.07	TCGA.FY.A3R8.01A.11R.A220.07	TCGA.ET.A25M.01A.11R.A16R.07	TCGA.DJ.A3V0.01A.11R.A22U.07	TCGA.ET.A25P.01A.11R.A16R.07	TCGA.FY.A3NP.01A.11R.A21D.07	TCGA.DO.A1K0.01A.11R.A13Y.07	TCGA.EL.A3CM.01A.11R.A19O.07	TCGA.DJ.A1QD.01A.11R.A14Y.07	TCGA.H2.A421.01A.11R.A23N.07	TCGA.EL.A3GV.01A.11R.A21D.07	TCGA.DJ.A3UT.01A.11R.A22L.07	TCGA.FY.A40L.01A.11R.A23N.07	TCGA.ET.A25I.01A.11R.A16R.07	TCGA.BJ.A2N9.01A.11R.A18C.07	TCGA.DJ.A2Q3.01A.11R.A18C.07	TCGA.DJ.A3V5.01A.11R.A22U.07	TCGA.EL.A4KG.01A.11R.A250.07	TCGA.EL.A3MZ.01A.11R.A21D.07	TCGA.FY.A3RA.01A.11R.A220.07	TCGA.BJ.A45G.01A.11R.A23W.07	TCGA.EL.A3CV.01A.11R.A19O.07	TCGA.E8.A418.01A.11R.A23N.07	TCGA.FE.A231.01A.11R.A14Y.07	TCGA.EM.A3SZ.01A.11R.A22U.07	TCGA.EL.A3N2.11A.11R.A20F.07	GTEX.WHSE.0626.SM.4RGNF	TCGA.AJ.A3BK.01A.11R.A19W.07
B3GALT6	164.42	0.0	107.38	316.37	285.03	271.48	325.29	202.66	301.33	285.03	301.33	309.83	214.27	190.34	239.52	320.8	420.68	241.19	253.23	234.57	323.03	373.81	221.86	395.18	361.04	267.73	283.05	244.57	371.22	191.67	265.87	412.0	403.5	289.02	262.2	336.79	275.28	199.85	309.83	327.56	164.42	221.86	376.41	277.2	395.18	525.39	297.17	231.32	363.56	256.78	329.84	414.87	267.73	234.57	309.83	275.28	299.25	177.53	244.57	309.83	285.03	201.25	392.44	307.69	271.48	327.56	353.59	368.65	209.84	426.57	291.04	397.93	197.09	273.37	297.17	318.57	251.48	293.07	343.89	242.88	497.0	191.67	283.05	253.23	351.14	289.02	320.8	387.02	412.0	373.81	291.04	267.73	307.69	295.11	232.94	351.14	303.44	389.72	264.03	309.83	420.68	265.87	242.88	307.69	264.03	363.56	387.02	493.56	429.54	273.37	366.09	307.69	332.14	295.11	239.52	323.03	309.83	389.72	376.41	279.14	283.05	249.73	314.17	165.57	351.14	217.27	187.71	194.36	341.51	381.68	336.79	147.06	341.51	327.56	287.01	323.03	197.09	269.6	299.25	348.71	232.94	318.57	341.51	353.59	346.29	400.71	267.73	332.14	435.55	267.73	239.52	325.29	206.94	297.17	318.57	279.14	253.23	199.85	211.31	299.25	255.0	476.71	226.54	303.44	379.04	275.28	251.48	366.09	307.69	312.0	206.94	195.72	229.72	255.0	334.46	381.68	305.55	187.71	217.27	351.14	205.5	242.88	426.57	371.22	209.84	232.94	232.94	255.0	221.86	312.0	223.41	140.04	575.03
B3GAT3	540.19	0.93	361.04	1001.93	1088.92	860.08	954.43	1051.79	693.58	1111.82	1066.48	995.0	836.53	934.76	896.64	866.07	1250.98	738.29	1044.52	915.51	967.76	1015.93	713.11	961.07	1135.2	1216.75	1127.35	1044.52	1191.69	967.76	769.69	1259.69	1191.69	728.11	819.3	1277.29	1030.12	1081.39	775.05	1151.06	967.76	603.67	1066.48	842.36	1073.91	1427.22	854.13	780.44	1519.15	733.19	1529.73	981.29	1008.9	764.36	688.78	808.0	921.88	660.68	1059.11	1051.79	1359.57	764.36	1081.39	1216.75	791.35	1023.0	954.43	1183.45	753.83	1313.23	860.08	988.12	890.44	896.64	775.05	775.05	679.29	1104.13	1081.39	842.36	1304.15	743.43	1551.09	915.51	1417.35	1119.56	1135.2	1037.29	1119.56	1233.75	866.07	872.1	848.22	981.29	1008.9	728.11	1519.15	1066.48	1044.52	995.0	1407.55	1037.29	1030.12	1119.56	1104.13	878.17	1457.23	1540.37	1508.65	1015.93	813.63	848.22	1015.93	995.0	928.3	941.27	961.07	1183.45	825.0	808.0	1250.98	825.0	1369.04	579.04	1233.75	1286.18	961.07	651.58	1250.98	1073.91	947.83	624.99	1135.2	1407.55	947.83	941.27	802.41	848.22	616.37	796.86	718.08	1088.92	1208.34	1250.98	1044.52	1143.1	1191.69	974.5	1457.23	780.44	1051.79	981.29	1008.9	842.36	854.13	909.17	684.02	703.28	928.3	872.1	1096.5	1199.98	819.3	1259.69	878.17	981.29	1008.9	1059.11	1233.75	808.0	902.89	802.41	921.88	743.43	1104.13	802.41	1295.13	1023.0	1044.52	1437.15	743.43	941.27	1417.35	921.88	961.07	1081.39	708.18	1286.18	780.44	890.44	603.67	620.67	1870.53
BAD	642.59	0.73	981.29	2682.69	1757.34	1832.01	1883.54	2502.97	2133.97	2163.77	2502.97	1923.14	1407.55	2004.85	1605.83	2303.12	2777.33	1883.54	2720.15	1721.16	2255.7	1794.29	1561.89	1909.85	2133.97	2075.59	2224.63	1572.76	2287.2	3146.52	1540.37	2520.38	3081.75	1225.22	1628.26	2915.45	2075.59	2163.77	1583.71	2163.77	2367.9	1088.92	1977.24	1498.22	2351.53	2255.7	1794.29	2537.92	2777.33	1369.04	2224.63	1769.57	1733.13	1605.83	1304.15	1467.37	2502.97	1304.15	1757.34	1378.57	3395.89	1617.0	2193.99	3103.19	1769.57	2090.03	1572.76	2104.58	2351.53	2119.22	2701.35	2004.85	2004.85	3060.45	1529.73	1369.04	1417.35	2400.97	2319.15	1923.14	2367.9	1561.89	3928.15	1015.93	3847.29	3325.99	2976.74	2502.97	2287.2	2319.15	2018.8	1781.89	1572.76	1651.0	2032.85	1721.16	4639.29	1757.34	1745.2	1628.26	2816.11	1685.71	1757.34	2075.59	2104.58	1685.71	3768.09	3372.43	3955.48	2032.85	1561.89	2018.8	2367.9	1870.53	1331.57	2032.85	1519.15	2468.49	2075.59	1844.76	1551.09	2119.22	3467.27	1127.35	2384.37	3303.0	1963.57	1151.06	2287.2	2591.27	1844.76	1208.34	2032.85	1991.0	1721.16	1628.26	1662.49	1745.2	1745.2	1250.98	1208.34	1674.06	2895.31	2075.59	2178.83	2502.97	2573.36	1806.78	2976.74	1529.73	2148.82	2255.7	1685.71	1651.0	1175.27	1617.0	934.76	1417.35	1477.58	1674.06	2193.99	2701.35	2018.8	2976.74	1977.24	2209.26	1781.89	1883.54	2520.38	2178.83	3039.3	1277.29	1819.35	1477.58	2163.77	1427.22	3280.18	1605.83	3235.01	3901.01	1662.49	1883.54	2351.53	1594.73	1794.29	2720.15	1322.37	2193.99	1313.23	1896.65	2032.85	1572.76	3515.68
BCL7C	547.75	0.52	497.0	679.29	1051.79	878.17	1167.14	733.19	1037.29	1143.1	854.13	1023.0	842.36	775.05	808.0	540.19	1457.23	902.89	848.22	1044.52	1208.34	1259.69	733.19	1088.92	890.44	1519.15	836.53	825.0	1199.98	514.56	988.12	1447.15	603.67	775.05	1081.39	808.0	1023.0	1277.29	884.29	1008.9	583.07	775.05	1259.69	884.29	1135.2	1583.71	1127.35	698.41	1175.27	819.3	1350.18	1233.75	1044.52	909.17	921.88	830.75	543.96	796.86	915.51	1066.48	909.17	759.08	1104.13	1066.48	802.41	1037.29	819.3	1208.34	612.11	1551.09	603.67	934.76	718.08	791.35	836.53	808.0	842.36	1208.34	1037.29	808.0	1757.34	808.0	567.1	688.78	890.44	796.86	941.27	1135.2	1498.22	1175.27	954.43	928.3	830.75	866.07	1081.39	1175.27	1008.9	941.27	896.64	1008.9	1135.2	988.12	866.07	1183.45	860.08	769.69	848.22	1733.13	1088.92	915.51	848.22	947.83	651.58	1037.29	872.1	1143.1	1037.29	417.77	947.83	733.19	954.43	507.46	660.68	703.28	1191.69	830.75	961.07	854.13	796.86	988.12	902.89	660.68	1151.06	1322.37	934.76	1151.06	896.64	775.05	514.56	1216.75	915.51	1199.98	802.41	1151.06	1159.07	1286.18	1250.98	921.88	1529.73	769.69	995.0	1313.23	902.89	866.07	808.0	1051.79	791.35	769.69	1001.93	909.17	1015.93	1331.57	403.5	825.0	1233.75	414.87	1001.93	1015.93	1313.23	595.34	902.89	753.83	981.29	830.75	1143.1	842.36	941.27	1001.93	638.15	1277.29	780.44	928.3	1331.57	1216.75	1104.13	836.53	563.18	1001.93	836.53	974.5	656.11	432.53	1674.06
BRMS1	567.1	0.37	368.65	1044.52	1066.48	967.76	1104.13	1388.16	896.64	1059.11	1295.13	947.83	947.83	947.83	860.08	915.51	1417.35	974.5	1023.0	848.22	921.88	1111.82	647.07	1044.52	1096.5	1259.69	743.43	860.08	1242.34	1572.76	934.76	1259.69	1111.82	813.63	941.27	1059.11	915.51	909.17	854.13	1143.1	909.17	825.0	1127.35	884.29	1119.56	1096.5	866.07	1044.52	1208.34	759.08	1233.75	1023.0	981.29	802.41	769.69	733.19	995.0	738.29	1051.79	796.86	1127.35	713.11	1030.12	1104.13	854.13	1104.13	693.58	1104.13	1066.48	1407.55	981.29	934.76	1037.29	1216.75	872.1	738.29	819.3	1208.34	967.76	769.69	1233.75	808.0	981.29	967.76	1286.18	1175.27	1081.39	1119.56	1175.27	1175.27	921.88	1001.93	693.58	928.3	902.89	825.0	1519.15	941.27	1001.93	921.88	1151.06	974.5	1119.56	1066.48	1151.06	796.86	1322.37	1359.57	1487.87	1023.0	738.29	1023.0	1119.56	902.89	723.08	981.29	896.64	1151.06	1030.12	974.5	1059.11	981.29	1498.22	599.49	1015.93	1119.56	988.12	796.86	941.27	1127.35	988.12	733.19	1127.35	1059.11	1143.1	896.64	860.08	860.08	713.11	813.63	748.61	830.75	1037.29	995.0	941.27	1066.48	1277.29	890.44	1350.18	825.0	848.22	1135.2	802.41	854.13	830.75	902.89	674.59	656.11	780.44	954.43	1030.12	1167.14	1151.06	1175.27	915.51	860.08	1023.0	947.83	1191.69	878.17	1001.93	738.29	1008.9	808.0	1167.14	830.75	1259.69	974.5	1111.82	1477.58	915.51	915.51	1119.56	896.64	896.64	1066.48	775.05	995.0	825.0	1015.93	733.19	620.67	1857.6
BSCL2	981.29	0.58	1208.34	2119.22	2555.58	1794.29	2351.53	2935.74	1561.89	2701.35	2895.31	1896.65	2178.83	2758.13	1651.0	2178.83	2573.36	1709.26	2434.5	2645.74	2209.26	2255.7	1359.57	1819.35	2287.2	3467.27	2018.8	1709.26	2682.69	2875.3	1662.49	2915.45	1407.55	1685.71	2148.82	2573.36	2485.67	2739.08	2047.0	2573.36	2240.11	1721.16	2287.2	1457.23	2875.3	2875.3	2061.24	3235.01	3190.46	1427.22	3190.46	2193.99	2271.4	1832.01	1322.37	1572.76	2335.28	1639.59	2875.3	2255.7	3491.39	1350.18	2758.13	3190.46	1923.14	2451.44	1909.85	3665.02	2209.26	3419.52	2163.77	1697.45	1896.65	2400.97	1529.73	1639.59	1487.87	2468.49	2875.3	1909.85	3190.46	2287.2	3395.89	1991.0	3168.41	4298.64	3419.52	2178.83	2777.33	3690.52	2255.7	1923.14	1487.87	2018.8	2193.99	1350.18	3901.01	2061.24	2032.85	2104.58	2720.15	1991.0	2384.37	2573.36	2758.13	1977.24	3847.29	3081.75	3124.78	2075.59	1832.01	2335.28	2061.24	2271.4	2163.77	2520.38	2004.85	2255.7	2335.28	1832.01	2997.45	2032.85	3280.18	1397.83	2645.74	3325.99	2335.28	2032.85	2816.11	2148.82	2224.63	890.44	2555.58	2915.45	2451.44	1923.14	1832.01	1697.45	1286.18	2384.37	1870.53	2133.97	2591.27	1870.53	2133.97	3325.99	2739.08	2351.53	3467.27	1427.22	2351.53	2591.27	1594.73	1806.78	2367.9	1832.01	1540.37	1639.59	2148.82	2119.22	2664.15	3081.75	2104.58	2796.65	1936.53	1819.35	2047.0	2090.03	3103.19	1594.73	2816.11	1457.23	2335.28	1991.0	3212.66	1594.73	3190.46	2271.4	3564.78	3614.55	2047.0	1844.76	2739.08	2468.49	1950.0	2367.9	1225.22	2319.15	2224.63	2090.03	1594.73	1044.52	6426.31
C11orf31	1268.46	0.95	2351.53	4704.07	4328.55	3716.2	4607.24	2701.35	4543.8	4607.24	3955.48	4268.94	2935.74	2032.85	3540.14	3564.78	5594.3	4095.0	4298.64	4181.07	4671.57	3768.09	2935.74	4481.23	4802.93	4769.75	3515.68	3419.52	5076.84	2855.44	4328.55	4639.29	4671.57	3257.52	3372.43	4450.27	4152.18	4802.93	3690.52	4010.71	4123.49	2032.85	4268.94	3874.05	4802.93	5255.91	3614.55	5183.54	5831.91	3212.66	3768.09	3515.68	4268.94	2367.9	3235.01	3325.99	4358.66	2664.15	3190.46	4123.49	4512.4	3349.13	4268.94	5076.84	3540.14	4543.8	3589.58	4481.23	2758.13	4450.27	3742.05	3874.05	4736.79	3794.3	3419.52	3690.52	3491.39	5183.54	4358.66	3768.09	4543.8	2895.31	5076.84	2701.35	5041.77	4903.87	4575.41	5441.3	5441.3	4736.79	3901.01	3716.2	3564.78	3768.09	4836.35	4358.66	4937.99	3716.2	4095.0	3928.15	5751.61	4575.41	3874.05	4972.34	4268.94	3665.02	6471.02	5791.62	5329.3	4419.52	3794.3	4543.8	4123.49	3874.05	3081.75	3928.15	3874.05	3081.75	3847.29	3395.89	3303.0	2573.36	3039.3	1651.0	4095.0	4903.87	4836.35	2384.37	4358.66	4181.07	3768.09	1745.2	5292.48	5006.93	3540.14	4802.93	4298.64	1977.24	1977.24	2090.03	2520.38	3928.15	4419.52	4836.35	4181.07	5006.93	5751.61	4639.29	4869.99	3564.78	4836.35	4543.8	3742.05	3742.05	3190.46	3190.46	2224.63	3467.27	4152.18	3168.41	4704.07	5219.6	3467.27	4239.45	4704.07	2555.58	4639.29	3847.29	4450.27	3614.55	4575.41	3103.19	3955.48	3146.52	5147.73	2915.45	5219.6	4123.49	4802.93	5255.91	3491.39	4388.98	5403.7	4481.23	4066.71	4512.4	2816.11	6516.03	3395.89	5219.6	2537.92	3039.3	7485.11
C11orf83	61.25	170.25	56.68	239.52	190.34	156.59	204.07	373.81	171.45	211.31	228.13	170.25	134.3	339.14	153.34	201.25	241.19	193.01	232.94	183.82	177.53	220.32	108.9	220.32	224.97	214.27	176.29	145.02	224.97	423.61	153.34	287.01	269.6	114.36	140.04	258.57	220.32	236.21	142.01	218.79	228.13	93.35	226.54	147.06	218.79	258.57	148.09	287.01	279.14	127.89	241.19	182.55	183.82	120.94	127.89	153.34	215.77	98.73	151.22	153.34	234.57	130.6	211.31	339.14	134.3	211.31	175.07	318.57	212.78	251.48	217.27	141.02	253.23	239.52	149.12	158.79	148.09	215.77	229.72	155.5	262.2	125.24	269.6	155.5	262.2	256.78	202.66	316.37	218.79	224.97	198.47	153.34	135.24	194.36	202.66	162.14	420.68	214.27	169.07	197.09	301.33	211.31	220.32	260.38	191.67	169.07	429.54	316.37	392.44	201.25	144.01	148.09	182.55	180.02	145.02	159.9	157.68	212.78	178.77	199.85	198.47	171.45	327.56	69.52	197.09	312.0	218.79	117.6	237.86	237.86	167.9	75.64	214.27	198.47	186.4	180.02	163.28	165.57	183.82	131.51	115.16	162.14	246.28	161.02	205.5	212.78	267.73	195.72	301.33	178.77	148.09	218.79	164.42	126.12	126.12	166.73	104.42	108.9	154.42	186.4	212.78	269.6	152.28	279.14	208.38	183.82	185.11	176.29	244.57	214.27	260.38	128.79	166.73	120.1	231.32	136.19	303.44	177.53	264.03	547.75	141.02	161.02	248.0	185.11	178.77	239.52	111.21	241.19	157.68	186.4	149.12	73.54	890.44
C17orf89	713.11	0.54	567.1	1605.83	2047.0	1936.53	1662.49	3639.7	1561.89	1628.26	1594.73	1936.53	1519.15	3395.89	1605.83	1883.54	2777.33	1794.29	1388.16	2133.97	1662.49	1806.78	1378.57	1857.6	1594.73	2255.7	1378.57	1331.57	1477.58	3716.2	1651.0	2417.67	2591.27	1304.15	1639.59	2148.82	1662.49	2319.15	1322.37	1769.57	2835.7	1208.34	1950.0	1397.83	1819.35	1313.23	1447.15	2573.36	1561.89	1651.0	1551.09	1529.73	1583.71	785.88	1498.22	878.17	2119.22	1143.1	967.76	995.0	1936.53	1340.84	1477.58	1909.85	1757.34	2384.37	759.08	1662.49	3018.3	2224.63	1733.13	1651.0	1551.09	3124.78	1605.83	1259.69	1191.69	2255.7	1963.57	1685.71	2193.99	988.12	1427.22	1350.18	5041.77	2104.58	2816.11	2875.3	3303.0	1819.35	1378.57	2255.7	1331.57	1233.75	1551.09	1709.26	2555.58	1628.26	1277.29	1467.37	1250.98	1313.23	1697.45	1508.65	1844.76	1104.13	1896.65	2287.2	2400.97	2224.63	1529.73	1359.57	1498.22	1457.23	1268.46	1639.59	1277.29	1498.22	1923.14	1572.76	1008.9	1936.53	3768.09	633.73	1709.26	1709.26	1467.37	1059.11	1963.57	2004.85	1832.01	872.1	2004.85	1651.0	1561.89	1457.23	1561.89	1151.06	2319.15	878.17	1015.93	1745.2	1745.2	1769.57	1697.45	1977.24	2104.58	1662.49	1991.0	1529.73	1662.49	2032.85	1277.29	1819.35	2061.24	1369.04	872.1	1096.5	1397.83	1487.87	1427.22	1844.76	1498.22	1322.37	2104.58	1594.73	1639.59	1617.0	1769.57	2520.38	1662.49	1369.04	1487.87	1561.89	1781.89	1286.18	1991.0	1561.89	2591.27	2384.37	1651.0	1487.87	2090.03	2133.97	2255.7	2090.03	1066.48	2061.24	1950.0	1896.65	1030.12	860.08	1963.57
C19orf24	438.59	0.15	444.72	1806.78	1857.6	1819.35	1909.85	1923.14	1757.34	1583.71	1857.6	1832.01	1350.18	1617.0	1572.76	1233.75	3124.78	1662.49	1844.76	1844.76	1519.15	1359.57	1159.07	1844.76	2664.15	3190.46	1322.37	1331.57	2075.59	2133.97	1572.76	2255.7	2627.46	1143.1	1909.85	1870.53	1757.34	2047.0	1378.57	1819.35	1844.76	981.29	2351.53	1651.0	2032.85	2502.97	1388.16	2133.97	2090.03	1167.14	2178.83	2061.24	1896.65	967.76	1015.93	1135.2	1896.65	890.44	1277.29	1487.87	1963.57	1322.37	1721.16	2018.8	1286.18	1733.13	1199.98	1896.65	1844.76	2451.44	1781.89	1757.34	1437.15	2047.0	1467.37	1167.14	1350.18	1977.24	1662.49	1519.15	2451.44	1167.14	2255.7	1233.75	2627.46	2018.8	1896.65	2090.03	2163.77	2018.8	1427.22	1769.57	1304.15	1628.26	1674.06	1628.26	2645.74	2004.85	1806.78	1896.65	2271.4	1819.35	1977.24	1844.76	2061.24	1208.34	1819.35	2384.37	2701.35	1844.76	1286.18	1447.15	1883.54	1397.83	1350.18	1709.26	1304.15	2319.15	1733.13	1295.13	1551.09	1477.58	2061.24	733.19	2119.22	2133.97	1923.14	1023.0	2895.31	2417.67	1572.76	947.83	2032.85	2384.37	2119.22	1674.06	1417.35	1313.23	1685.71	995.0	902.89	1844.76	1572.76	1806.78	1950.0	2451.44	2701.35	1487.87	2502.97	1216.75	1794.29	1662.49	1583.71	1191.69	1437.15	1397.83	785.88	1191.69	1561.89	1519.15	2004.85	2133.97	1594.73	1709.26	1561.89	1685.71	1639.59	1639.59	2133.97	1331.57	1674.06	1135.2	1529.73	1286.18	1857.6	1407.55	2104.58	1605.83	2148.82	3491.39	1304.15	1674.06	2451.44	2004.85	1991.0	1769.57	1023.0	2032.85	1369.04	1709.26	1143.1	848.22	3103.19
