	TCGA.XF.A9SY.01A.21R.A42T.07	TCGA.GC.A3I6.01A.11R.A20F.07	TCGA.XF.A8HD.01A.11R.A36F.07	TCGA.YC.A89H.01A.11R.A36F.07	TCGA.HQ.A5ND.01A.11R.A26T.07	TCGA.UY.A9PA.01A.11R.A38B.07	TCGA.ZF.AA5H.01A.11R.A39I.07	TCGA.C5.A2M2.01A.21R.A18M.07	TCGA.UC.A7PI.01A.11R.A42S.07	TCGA.VS.A9UR.01A.11R.A42T.07	TCGA.C5.A3HD.01B.11R.A213.07	TCGA.FU.A3WB.01A.11R.A22U.07	TCGA.EK.A3GK.01A.11R.A213.07	TCGA.VS.A9UZ.01A.11R.A42T.07	TCGA.DS.A7WH.01A.22R.A352.07	TCGA.HM.A3JJ.01A.21R.A21T.07	TCGA.DG.A2KK.01A.11R.A180.07	TCGA.C5.A8YR.01A.12R.A37O.07	TCGA.EX.A449.01A.11R.A32Y.07	TCGA.QK.AA3J.01A.11R.A39I.07	TCGA.BA.5559.01A.01R.1514.07	TCGA.BA.5149.01A.01R.1514.07	TCGA.CR.7371.01A.11R.2016.07	TCGA.BA.A6DJ.01A.11R.A30B.07	TCGA.CR.6493.01A.11R.1873.07	TCGA.CR.7370.01A.11R.2132.07	TCGA.CV.6939.01A.11R.1915.07	TCGA.CV.7407.01A.11R.2081.07	TCGA.CV.5977.01A.11R.1686.07	TCGA.CV.7434.01A.11R.2132.07	TCGA.CV.5443.01A.01R.1514.07	TCGA.CV.7437.01A.21R.2132.07	TCGA.DQ.7590.01A.11R.2232.07	TCGA.CR.5250.01A.01R.1514.07	TCGA.CV.7432.01A.11R.2132.07	TCGA.CV.7248.01A.11R.2016.07	TCGA.CR.6470.01A.11R.1873.07	TCGA.CN.6022.01A.21R.1686.07	TCGA.97.7547.01A.11R.2039.07	TCGA.05.5715.01A.01R.1628.07	TCGA.78.7542.01A.21R.2066.07	TCGA.38.4625.01A.01R.1206.07	TCGA.38.4625.01A.01R.1206.07.1	TCGA.49.6761.01A.31R.1949.07	GTEX.P4PP.0526.SM.2HMKE	GTEX.WHSB.0326.SM.5FQSD	GTEX.13111.0426.SM.5DUXR	GTEX.YF7O.0626.SM.4W21R	GTEX.OOBK.0526.SM.2HMJJ	GTEX.13U4I.1426.SM.5J2M3	GTEX.11DXX.0626.SM.5Q5AG	GTEX.O5YW.0526.SM.2YUMX	GTEX.RU1J.0126.SM.2TF6Y	GTEX.131XF.1026.SM.5BC6A	GTEX.QXCU.0626.SM.2TC69	GTEX.TMMY.0926.SM.4TT1Z	GTEX.YFCO.0426.SM.4W1Z7	GTEX.11NSD.0326.SM.5A5LS	GTEX.ZYFG.0226.SM.5GIDT	GTEX.11P7K.0326.SM.59871	GTEX.P4QT.0526.SM.2I3EX	GTEX.U8XE.1426.SM.3DB8Q	GTEX.ZLV1.0426.SM.4WWC2	GTEX.ZA64.0326.SM.5HL8T	GTEX.13O61.0726.SM.5J2MD	GTEX.WFJO.0326.SM.3GIL3	GTEX.TML8.0326.SM.4GICN	GTEX.YB5E.0726.SM.4VDSH	GTEX.P4PQ.0526.SM.2HMKR	GTEX.12WSJ.0226.SM.5GCP7	GTEX.111YS.0626.SM.5GZXV	GTEX.11I78.0126.SM.5HL6F	GTEX.117YX.1326.SM.5H125	GTEX.WOFM.0126.SM.3MJFE	GTEX.13113.0426.SM.5GCOD	GTEX.YEC3.0226.SM.5IFJO	GTEX.13S86.0626.SM.5Q5E7	GTEX.12BJ1.1026.SM.5EGJA	GTEX.11EMC.0126.SM.5EGKV	GTEX.WFON.0426.SM.3GIL4	GTEX.PX3G.0526.SM.2I3EM	GTEX.145MN.0926.SM.5NQBT	GTEX.13O21.3026.SM.5J2NI	GTEX.13N2G.0826.SM.5IJE6	GTEX.WHPG.1426.SM.3NMBB	GTEX.ZPU1.0926.SM.57WDO	GTEX.13VXT.1426.SM.5LU4B	GTEX.XBEW.0226.SM.4AT6A	GTEX.13N1W.0726.SM.5MR57	GTEX.13QBU.0726.SM.5J2OA	GTEX.WRHU.0226.SM.3MJFV	GTEX.QESD.0626.SM.2I5G4	GTEX.Q2AH.0426.SM.2I3EP	GTEX.ZDYS.0426.SM.5IJEQ	GTEX.13PL7.1726.SM.5J2NX	GTEX.ZTPG.0926.SM.5O99H	GTEX.ZDTT.0926.SM.5J2MS	GTEX.XQ3S.0926.SM.4BOPI	GTEX.XGQ4.0826.SM.4AT4T	GTEX.OIZI.1026.SM.3NB1K	GTEX.13OW6.0826.SM.5L3GA	GTEX.1399S.1726.SM.5L3DI	GTEX.Y3IK.0626.SM.4WWE4	GTEX.UPIC.0826.SM.3GADQ	GTEX.XPVG.1026.SM.4B64Y	GTEX.UJHI.0726.SM.3DB92	GTEX.145MF.0726.SM.5Q5BT	GTEX.WH7G.0726.SM.3NMBM	GTEX.ZLWG.0626.SM.4WWFR	GTEX.X4LF.0526.SM.3NMB6	GTEX.W5X1.0526.SM.3GILH	GTEX.13FTX.0326.SM.5J2NG	GTEX.14DAR.0226.SM.5S2PR	GTEX.PLZ6.0426.SM.5IFK2	GTEX.R55D.0926.SM.3GAEU	GTEX.XQ8I.1126.SM.4BOO2	GTEX.ZC5H.0926.SM.5CVMZ	GTEX.1399U.0826.SM.5KM1P	GTEX.T8EM.0326.SM.3DB7F	GTEX.OXRL.0526.SM.2I3EZ	GTEX.Y8LW.0326.SM.4VBQ9	GTEX.OXRK.0926.SM.2HMKP	GTEX.VJYA.0326.SM.3GAEX	GTEX.OIZG.0526.SM.2HMLF	GTEX.SUCS.0626.SM.32PM5	GTEX.QCQG.0326.SM.2I3ES	GTEX.PW2O.0526.SM.2I3DX	GTEX.UJMC.0726.SM.3GADX	GTEX.11LCK.0426.SM.5A5M8	GTEX.NFK9.1026.SM.2HMK1	GTEX.13OW8.1726.SM.5L3GO	GTEX.RM2N.0426.SM.2TF4T	GTEX.QMRM.0826.SM.3NB33	GTEX.OHPM.0526.SM.2YUMJ	GTEX.13OVG.0326.SM.5KM57	TCGA.70.6722.01A.11R.1820.07	TCGA.56.1622.01A.01R.0692.07	TCGA.34.5232.01A.21R.1820.07	TCGA.NK.A5CX.01A.11R.A26W.07	TCGA.85.8481.01A.11R.2326.07	TCGA.98.8021.01A.11R.2247.07
LIMS2	191.67	130.6	249.73	131.51	70.51	48.18	441.64	52.82	78.89	309.83	24.46	111.99	62.12	199.85	215.77	297.17	83.45	56.68	435.55	103.69	221.86	81.71	212.78	38.4	30.78	105.89	149.12	194.36	163.28	63.0	244.57	69.52	201.25	253.23	52.45	684.02	242.88	432.53	232.94	307.69	39.79	0.0	0.59	603.67	1250.98	4607.24	5147.73	1697.45	2400.97	2956.17	3820.7	6516.03	4543.8	8840.04	808.0	1427.22	5872.48	3820.7	2255.7	6294.04	5255.91	575.03	2451.44	4575.41	4575.41	2796.65	2720.15	2434.5	3018.3	2739.08	4239.45	2163.77	4038.61	3372.43	3443.31	1806.78	1051.79	6471.02	1844.76	3349.13	1832.01	4607.24	3039.3	1936.53	1617.0	1508.65	3901.01	2855.44	543.96	3124.78	1225.22	208.38	2915.45	2468.49	6887.62	2417.67	5872.48	764.36	1331.57	2796.65	1127.35	4181.07	2287.2	4903.87	3325.99	8421.31	460.44	3235.01	3018.3	2209.26	1378.57	3639.7	2895.31	2591.27	3280.18	3874.05	1781.89	3847.29	1388.16	3955.48	2555.58	1991.0	1096.5	3901.01	2018.8	4769.75	1322.37	5112.16	1467.37	1769.57	813.63	3168.41	3639.7	2319.15	5672.41	163.28	104.42	312.0	323.03	301.33	450.94
LY6G6F	0.0	0.0	0.0	0.0	0.0	0.0	0.61	0.0	0.0	0.0	0.0	0.0	0.8	0.0	0.0	0.0	0.55	0.0	0.0	1.5	0.66	0.61	0.0	0.0	0.0	1.22	0.0	0.0	0.92	0.66	1.28	0.0	0.97	0.66	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	33.54	3.03	12.64	2.03	23.59	19.39	5.5	15.0	14.24	4.58	6.06	5.82	10.08	10.71	0.0	16.88	39.5	16.88	10.96	13.22	13.72	13.12	24.11	12.45	18.7	24.99	15.22	8.92	9.34	23.25	14.03	3.5	29.7	38.67	3.08	13.93	2.76	17.0	2.89	9.78	15.8	33.06	10.24	2.03	5.28	2.76	4.06	4.86	26.28	5.82	12.09	35.0	12.93	0.0	6.21	5.36	0.0	21.78	37.32	18.03	20.11	7.57	7.22	2.29	4.46	8.58	2.05	21.16	11.55	9.34	14.56	16.88	57.08	3.38	8.51	45.85	5.28	18.56	15.22	8.45	7.17	7.88	35.0	17.9	9.63	5.28	2.16	19.82	11.13	13.42	11.91	0.0	0.0	0.0	0.58	0.0	4.54
LYRM1	339.14	289.02	297.17	435.55	967.76	348.71	395.18	361.04	543.96	341.51	457.25	447.82	435.55	332.14	363.56	269.6	379.04	334.46	503.95	679.29	327.56	189.02	426.57	559.28	567.1	279.14	444.72	291.04	135.24	110.43	366.09	202.66	323.03	281.09	283.05	381.68	273.37	307.69	808.0	559.28	587.13	785.88	232.94	540.19	1088.92	1081.39	896.64	1051.79	995.0	387.02	1001.93	830.75	703.28	961.07	273.37	1104.13	878.17	759.08	775.05	1044.52	660.68	708.18	769.69	974.5	921.88	1331.57	1250.98	525.39	1662.49	934.76	599.49	406.31	1143.1	1832.01	514.56	896.64	575.03	909.17	669.92	1143.1	507.46	866.07	1259.69	595.34	1286.18	802.41	1322.37	1277.29	351.14	896.64	457.25	371.22	1059.11	836.53	1340.84	753.83	769.69	361.04	830.75	941.27	450.94	1001.93	961.07	693.58	555.41	1437.15	563.18	909.17	1313.23	902.89	587.13	995.0	780.44	1437.15	660.68	1037.29	633.73	656.11	1023.0	1159.07	748.61	1151.06	2032.85	743.43	1008.9	1883.54	921.88	909.17	1199.98	507.46	387.02	872.1	1001.93	1030.12	507.46	775.05	629.35	551.56	483.38	395.18	299.25
MARC1	301.33	109.66	186.4	141.02	221.86	64.34	97.36	176.29	181.28	229.72	143.01	229.72	438.59	253.23	191.67	147.06	420.68	921.88	327.56	486.75	72.01	4.43	202.66	21.63	3.11	215.77	131.51	291.04	14.56	30.34	131.51	170.25	92.7	194.36	75.64	126.12	159.9	44.25	71.5	123.5	70.51	0.0	0.33	67.12	518.15	1340.84	159.9	638.15	265.87	283.05	1467.37	412.0	733.19	400.71	115.97	791.35	591.22	603.67	599.49	547.75	1081.39	92.05	441.64	514.56	379.04	684.02	395.18	915.51	1322.37	265.87	660.68	642.59	921.88	713.11	525.39	1023.0	1096.5	497.0	112.77	854.13	559.28	392.44	723.08	231.32	389.72	229.72	995.0	587.13	223.41	470.14	277.2	201.25	358.54	587.13	414.87	341.51	802.41	118.43	412.0	620.67	37.59	1709.26	135.24	373.81	674.59	624.99	47.5	819.3	403.5	432.53	896.64	802.41	409.15	540.19	660.68	595.34	403.5	753.83	312.0	500.46	417.77	733.19	669.92	293.07	490.14	703.28	878.17	1159.07	384.34	232.94	198.47	248.0	507.46	318.57	336.79	111.99	171.45	82.87	64.34	45.53	99.43
MEGF9	102.97	208.38	115.97	371.22	93.35	215.77	73.03	61.25	84.63	176.29	45.21	297.17	110.43	108.14	206.94	138.1	64.8	52.08	148.09	53.19	256.78	121.79	209.84	115.16	77.25	591.22	209.84	423.61	63.0	181.28	96.68	264.03	117.6	47.84	251.48	246.28	172.65	76.71	215.77	269.6	209.84	0.0	0.26	118.43	878.17	915.51	638.15	974.5	947.83	307.69	854.13	941.27	890.44	423.61	2367.9	825.0	813.63	713.11	830.75	511.0	830.75	435.55	624.99	1529.73	1081.39	825.0	463.65	728.11	563.18	2240.11	1427.22	503.95	1183.45	934.76	454.09	599.49	728.11	1208.34	890.44	1051.79	346.29	389.72	466.88	759.08	842.36	599.49	791.35	536.45	1540.37	1159.07	651.58	1051.79	616.37	785.88	764.36	1487.87	1015.93	486.75	660.68	733.19	1359.57	860.08	674.59	339.14	1081.39	567.1	780.44	1044.52	1322.37	836.53	1001.93	583.07	1233.75	583.07	909.17	579.04	813.63	567.1	1844.76	660.68	909.17	518.15	703.28	297.17	848.22	435.55	480.04	1030.12	1674.06	493.56	384.34	1498.22	808.0	1286.18	426.57	279.14	256.78	114.36	161.02	111.99	194.36
MT-ND5	10014.87	54349.29	16157.44	40341.14	9025.81	57448.23	20030.74	12076.21	9344.14	55877.28	40904.3	5517.27	14163.58	20593.91	30999.42	30361.44	22692.63	20881.4	15392.14	40904.3	29327.18	5995.9	33455.53	12076.21	11992.79	37121.34	34158.52	53601.03	15075.35	14361.31	11112.3	32767.0	56265.94	39237.98	9025.81	33688.23	42641.37	18431.96	40621.74	42346.82	16045.82	8479.89	255.0	29943.43	96616.71	198667.0	254974.66	129266.49	155870.75	82378.63	142439.51	110216.97	96616.71	305326.92	98646.85	107948.72	120609.84	163620.18	198667.0	133825.1	190574.09	91404.92	98646.85	123144.13	122293.5	215898.44	121448.75	63302.6	190574.09	139508.13	104996.83	108699.57	84109.6	189257.69	129266.49	193234.41	46662.28	119776.72	161367.56	144427.91	110983.6	164758.26	263966.36	225066.78	114897.47	81809.59	125731.67	139508.13	130165.62	62431.08	110216.97	96616.71	147462.67	237899.7	163620.18	70727.3	131071.0	159145.95	129266.49	140478.49	65990.84	141455.6	127486.83	46986.85	131071.0	186652.11	110983.6	141455.6	85283.74	143430.26	51417.5	194578.47	156954.93	131982.68	350728.68	91404.92	83528.61	282912.21	105727.15	194578.47	182810.84	94628.34	96616.71	262143.0	190574.09	239554.43	93974.69	116501.39	124000.67	165904.25	147462.67	131982.68	42641.37	102836.01	191899.64	8479.89	17317.18	35856.82	33455.53	11827.67	48307.85
MT-ND6	7331.05	76330.98	20881.4	76861.91	8078.22	85876.94	22072.07	23492.92	13492.72	71219.26	95949.32	5594.3	31870.96	24321.43	35363.15	88291.3	37379.55	27553.49	22692.63	60304.42	41188.81	7695.57	42346.82	38430.46	14663.09	53973.86	43537.38	90773.53	21320.18	20737.16	11112.3	41475.31	98646.85	52497.92	10084.54	57448.23	56265.94	21172.91	73730.83	74760.09	28723.62	11112.3	1030.12	60304.42	167058.21	391864.76	517068.97	338781.54	309589.14	151608.43	275175.93	202841.44	185362.8	565825.41	194578.47	242898.5	331809.5	307450.64	391864.76	431797.89	311742.51	209994.66	205673.01	253213.41	292889.12	425853.18	327241.36	202841.44	402881.61	290865.98	248002.34	233003.78	221968.2	389157.95	260332.24	353168.2	75803.72	262143.0	348306.01	299043.36	218912.29	305326.92	581732.96	453265.5	251464.33	138544.47	280957.98	296977.71	320506.81	143430.26	221968.2	169390.27	280957.98	531605.79	343510.77	125731.67	271387.49	434801.29	262143.0	277089.94	142439.51	288856.81	248002.34	78476.96	275175.93	375901.76	226632.25	309589.14	220434.95	334117.42	76330.98	428815.23	331809.5	453265.5	687022.54	236256.4	137587.47	602247.76	263966.36	309589.14	414208.18	176583.6	279017.26	472513.8	394590.4	386469.83	155870.75	211455.3	260332.24	301123.38	296977.71	237899.7	91404.92	233003.78	492579.5	5633.22	22072.07	52497.92	58250.19	12160.22	95949.32
NEDD4L	769.69	660.68	358.54	358.54	414.87	830.75	595.34	228.13	483.38	253.23	764.36	389.72	265.87	293.07	759.08	356.05	420.68	325.29	387.02	473.41	890.44	470.14	1508.65	633.73	450.94	698.41	791.35	470.14	329.84	281.09	785.88	1088.92	656.11	647.07	679.29	447.82	1001.93	507.46	536.45	551.56	1359.57	660.68	147.06	348.71	3325.99	2133.97	2627.46	1457.23	1397.83	934.76	1242.34	3124.78	1127.35	1745.2	3515.68	3060.45	1781.89	1844.76	1369.04	1208.34	1733.13	2287.2	2133.97	2816.11	2816.11	1674.06	1159.07	1096.5	1709.26	941.27	2555.58	1662.49	1498.22	1745.2	1096.5	1397.83	1001.93	1015.93	4388.98	1832.01	780.44	1733.13	1794.29	3039.3	1467.37	1088.92	2032.85	2384.37	2119.22	1923.14	4481.23	808.0	988.12	1832.01	1662.49	1331.57	1685.71	1963.57	2224.63	2875.3	1359.57	1519.15	2178.83	1044.52	1709.26	1745.2	2367.9	1437.15	1088.92	1225.22	1127.35	1857.6	1477.58	1096.5	1936.53	4328.55	1697.45	1757.34	2224.63	2351.53	1991.0	1909.85	1467.37	2104.58	1467.37	3395.89	1304.15	2104.58	1605.83	1662.49	3190.46	1467.37	1388.16	1208.34	2271.4	551.56	842.36	854.13	656.11	620.67	1159.07
NIM1	7.88	6.89	1.51	4.1	31.45	8.78	8.38	1.69	5.28	12.83	6.26	6.01	6.11	3.92	2.01	17.13	2.51	17.9	1.16	18.56	39.79	1.81	10.24	4.66	6.89	6.11	4.28	6.26	2.84	5.15	13.42	13.03	7.06	5.5	2.29	2.39	6.94	12.36	1.73	2.89	2.23	0.0	0.0	8.38	175.07	255.0	140.04	136.19	149.12	76.71	187.71	332.14	177.53	209.84	42.11	205.5	175.07	248.0	267.73	71.5	343.89	76.17	59.97	74.06	112.77	316.37	185.11	112.77	316.37	82.87	224.97	283.05	283.05	77.25	249.73	275.28	94.01	64.8	101.54	102.25	36.01	161.02	366.09	180.02	111.99	123.5	139.07	56.68	138.1	88.26	116.78	32.36	228.13	185.11	194.36	77.79	202.66	38.95	312.0	48.87	77.25	271.48	115.97	102.97	137.14	115.97	65.26	242.88	258.57	212.78	60.39	144.01	49.91	153.34	218.79	297.17	212.78	171.45	109.66	202.66	164.42	182.55	137.14	108.14	217.27	128.79	59.55	151.22	173.85	35.76	88.26	125.24	180.02	43.02	182.55	6.89	5.02	4.24	31.67	4.13	13.52
NOTUM	68.55	19.11	9.93	23.42	1.13	3.79	7.82	2.66	2.94	18.97	15.91	0.88	14.78	29.7	2.73	10.08	2.56	16.88	8.19	33.54	22.75	5.5	71.5	8.06	7.88	204.07	10.24	13.42	4.28	1.83	9.06	7.57	18.7	9.93	0.44	285.03	14.03	35.0	21.01	9.27	2.39	0.0	0.12	11.21	31.9	76.71	120.1	44.89	78.89	61.25	64.8	140.04	353.59	155.5	82.87	231.32	206.94	285.03	14.24	44.57	289.02	96.68	29.91	43.02	105.15	463.65	376.41	10.31	208.38	67.12	295.11	41.22	51.35	104.42	94.01	316.37	269.6	10.88	40.07	277.2	275.28	69.52	307.69	1030.12	27.64	373.81	120.1	547.75	63.89	41.22	536.45	26.67	423.61	49.56	19.68	13.22	76.71	220.32	47.84	24.63	20.56	102.97	669.92	118.43	34.51	381.68	62.56	11.64	82.87	82.29	125.24	72.52	45.85	147.06	88.26	293.07	175.07	33.06	24.46	441.64	57.08	28.86	497.0	297.17	125.24	363.56	503.95	27.25	4.66	60.82	42.71	50.98	988.12	24.81	46.84	14.78	22.26	9.13	39.22	117.6	42.41
NPY4R	17.13	10.88	3.89	9.93	2.76	2.51	36.01	0.0	0.95	7.11	28.04	6.94	13.83	0.0	0.0	26.67	1.62	42.11	0.38	56.28	1.35	19.25	8.92	3.5	11.04	0.95	19.11	10.16	11.73	7.17	13.22	2.29	1.31	9.7	18.7	3.41	5.92	4.13	4.17	11.3	4.9	0.0	0.0	3.5	16.27	65.72	164.42	23.42	36.79	241.19	33.54	6.94	73.03	126.12	21.32	17.77	18.03	47.5	73.03	36.53	40.93	6.52	29.91	28.04	110.43	71.0	198.47	25.72	94.67	50.63	27.84	16.27	25.17	141.02	55.49	32.13	7.57	87.65	15.56	60.82	429.54	279.14	45.21	13.93	122.64	96.01	39.79	35.5	85.82	11.73	28.04	88.88	44.89	76.71	54.72	12.09	17.0	41.22	13.03	44.89	65.26	24.11	70.01	136.19	60.39	166.73	18.43	30.34	17.77	124.37	138.1	74.06	105.15	136.19	42.11	8.25	38.67	36.01	46.18	57.89	102.25	11.04	82.29	32.82	107.38	61.25	33.78	115.97	163.28	417.77	63.45	46.18	96.01	36.53	115.97	10.24	0.0	2.05	7.28	9.41	12.0
PAIP2B	14.35	51.35	30.78	66.65	14.78	35.0	27.25	52.45	53.19	94.67	35.76	123.5	65.72	54.33	1.71	27.25	43.94	36.53	2.05	12.18	72.01	44.57	72.52	15.56	22.43	30.34	55.1	35.25	9.7	19.25	25.54	41.22	5.54	21.94	14.89	84.04	30.12	12.27	39.79	63.45	15.22	0.0	0.12	43.94	91.41	98.73	146.03	105.89	50.27	74.58	64.34	132.44	57.89	142.01	22.75	161.02	127.0	110.43	121.79	81.14	81.14	29.27	48.87	112.77	80.01	144.01	155.5	88.26	153.34	43.32	102.97	70.01	75.11	133.36	65.26	85.82	50.98	36.27	62.12	118.43	70.01	224.97	102.25	232.94	62.56	110.43	212.78	256.78	29.91	44.57	120.94	18.03	105.89	204.07	89.51	48.52	108.14	47.5	215.77	130.6	23.93	152.28	101.54	49.21	90.14	169.07	136.19	95.34	111.21	177.53	132.44	97.36	72.01	121.79	154.42	117.6	107.38	138.1	45.21	212.78	150.17	236.21	84.63	47.84	128.79	229.72	62.12	186.4	102.25	108.14	68.55	102.97	109.66	64.34	90.14	38.95	57.49	82.87	14.78	19.25	83.45
PCDH9	10.0	0.64	3.59	0.33	0.29	1.89	0.95	0.0	0.0	0.0	0.43	0.0	14.24	1.07	2.14	0.78	0.45	4.86	0.0	0.69	3.47	0.71	2.86	0.0	2.97	28.65	2.03	0.77	8.51	0.41	0.4	0.41	1.07	2.78	1.1	6.67	9.27	3.69	11.47	4.43	7.94	0.0	0.0	11.04	483.38	32.13	82.87	432.53	139.07	85.22	27.25	253.23	81.14	89.51	106.63	232.94	69.03	244.57	101.54	32.13	98.04	81.14	113.56	29.48	72.01	267.73	246.28	38.67	152.28	155.5	75.11	45.85	215.77	69.52	100.13	127.89	279.14	241.19	66.65	98.04	111.21	32.13	65.72	65.26	329.84	102.25	90.14	33.06	30.12	37.05	41.22	115.16	109.66	113.56	283.05	86.43	94.01	37.85	341.51	30.78	48.52	110.43	59.13	82.29	131.51	49.91	49.91	223.41	31.0	49.91	166.73	148.09	134.3	96.01	71.5	38.67	109.66	72.01	220.32	105.15	24.81	830.75	142.01	82.29	17.9	80.57	175.07	60.82	187.71	37.59	3.0	122.64	52.08	52.82	51.35	2.68	6.78	2.76	0.39	0.39	5.19
PEBP1	3018.3	3395.89	3716.2	5292.48	4388.98	5292.48	3257.52	2032.85	3768.09	2720.15	4095.0	4512.4	3303.0	6337.83	1225.22	3257.52	3928.15	3794.3	4095.0	5791.62	4095.0	2163.77	3982.99	3443.31	2485.67	2047.0	3690.52	1477.58	2701.35	2148.82	3515.68	3372.43	3901.01	3665.02	2090.03	3847.29	5147.73	2335.28	3589.58	4543.8	3103.19	4328.55	16383.0	2520.38	7966.99	11664.82	9876.98	14065.74	4388.98	4769.75	11992.79	12676.65	7966.99	9876.98	6037.61	12329.98	15715.58	8305.36	7032.37	10733.74	8078.22	3928.15	6207.38	11745.96	7966.99	8840.04	10084.54	8479.89	10084.54	6699.25	9606.86	7589.61	9945.68	12676.65	5076.84	13586.57	3515.68	5751.61	5292.48	7589.61	6699.25	9279.58	14163.58	9344.14	5711.87	6745.86	10084.54	10225.32	7382.04	8247.98	6699.25	3901.01	5831.91	11584.24	10225.32	2997.45	9876.98	5555.65	9606.86	12853.63	5672.41	11189.6	6426.31	4869.99	9025.81	9279.58	6516.03	9606.86	9876.98	10014.87	5255.91	8078.22	10659.59	10959.3	12943.04	9673.69	5112.16	7589.61	6887.62	10296.45	10440.2	7331.05	11267.44	5954.47	9279.58	12764.83	7180.15	9151.82	8134.41	8134.41	7032.37	7749.1	6887.62	6207.38	8538.88	1832.01	3690.52	3491.39	2555.58	2796.65	2502.97
PGC	0.0	3.53	5.77	0.0	0.6	0.0	0.0	1.53	1.55	1.69	0.0	0.0	5.87	0.0	332.14	1.64	1.14	1.6	11.47	0.69	2.2	0.71	0.75	0.0	0.0	0.0	0.72	0.0	0.0	0.74	0.0	0.0	1.19	2.71	0.0	0.75	0.0	0.73	147.06	169.07	620.67	0.0	0.0	587.13	46662.28	242898.5	59474.18	57448.23	33688.23	1909.85	150561.19	223512.12	63302.6	26248.46	57051.4	59474.18	155870.75	40062.48	301123.38	134755.94	187950.38	30999.42	345900.08	214407.12	62431.08	431797.89	58250.19	51062.33	1063212.58	239554.43	585779.24	160252.91	209994.66	123144.13	577714.63	348306.01	7280.4	649962.87	160252.91	158046.64	13968.57	98646.85	65535.0	38164.99	4512.4	101420.22	214407.12	21026.65	50709.61	34635.37	77396.54	25708.25	35609.13	2729110.67	92680.9	32994.92	66449.85	5913.33	48643.87	70727.3	41188.81	110216.97	6792.79	27174.14	163620.18	149521.18	25530.66	225066.78	88291.3	75803.72	2451.44	428815.23	73221.53	251464.33	195931.88	150561.19	13681.08	37379.55	36357.37	998912.34	108699.57	316094.29	15499.21	17317.18	102836.01	68318.04	28132.47	55107.99	105727.15	77934.88	207103.59	47642.77	17197.56	189257.69	303217.87	64.34	62.12	147.06	98.73	0.53	198.47
PIGP	244.57	595.34	718.08	669.92	728.11	392.44	540.19	579.04	525.39	540.19	896.64	493.56	435.55	555.41	291.04	373.81	356.05	353.59	642.59	237.86	249.73	363.56	371.22	334.46	432.53	334.46	426.57	483.38	258.57	285.03	323.03	633.73	395.18	244.57	346.29	303.44	309.83	327.56	211.31	603.67	511.0	0.0	0.0	389.72	988.12	1119.56	603.67	1159.07	463.65	567.1	571.05	708.18	791.35	595.34	253.23	825.0	808.0	825.0	785.88	1066.48	599.49	392.44	587.13	854.13	764.36	1104.13	961.07	718.08	1175.27	842.36	665.29	551.56	842.36	995.0	1119.56	802.41	769.69	624.99	406.31	1216.75	708.18	1037.29	1175.27	511.0	842.36	587.13	902.89	1001.93	133.36	769.69	514.56	325.29	665.29	941.27	656.11	616.37	679.29	283.05	769.69	796.86	392.44	1015.93	884.29	1008.9	896.64	624.99	633.73	1340.84	848.22	890.44	1051.79	753.83	651.58	1437.15	633.73	713.11	791.35	743.43	1119.56	934.76	679.29	753.83	1540.37	583.07	785.88	688.78	651.58	890.44	974.5	547.75	490.14	647.07	743.43	432.53	432.53	974.5	490.14	414.87	486.75	587.13	426.57
PIP5K1B	12.0	10.08	2.14	2.86	3.92	5.68	7.82	403.5	397.93	35.0	3.41	9.85	165.57	486.75	198.47	22.59	13.83	15.34	62.56	44.25	38.95	6.11	127.0	3.72	2.56	155.5	72.01	5.87	1.39	3.47	35.0	24.99	17.9	28.86	3.03	149.12	33.3	23.93	555.41	59.13	11.47	0.0	0.12	17.0	1583.71	2664.15	1051.79	1477.58	551.56	511.0	647.07	1769.57	1216.75	1001.93	813.63	1950.0	2224.63	1030.12	1583.71	1175.27	1572.76	460.44	718.08	2032.85	1183.45	1832.01	603.67	866.07	1709.26	728.11	2682.69	624.99	1498.22	1936.53	1529.73	1340.84	540.19	860.08	934.76	2591.27	269.6	1313.23	1216.75	1191.69	511.0	551.56	1225.22	748.61	551.56	1697.45	890.44	138.1	830.75	1733.13	947.83	638.15	1540.37	249.73	860.08	1963.57	258.57	2777.33	480.04	567.1	1769.57	775.05	183.82	1870.53	1286.18	947.83	629.35	1044.52	1477.58	1407.55	909.17	759.08	884.29	1388.16	981.29	1639.59	1806.78	1457.23	1268.46	414.87	1208.34	1313.23	866.07	1151.06	2287.2	718.08	780.44	1250.98	808.0	551.56	1073.91	23.25	69.03	55.1	23.42	11.04	49.91
