	TCGA.EM.A22L.01A.11R.A180.07	TCGA.ET.A4KQ.01A.12R.A250.07	TCGA.EM.A3FM.01A.11R.A21D.07	TCGA.EL.A4JV.01A.11R.A250.07	TCGA.BJ.A0Z2.01A.11R.A10U.07	TCGA.FY.A3R9.01A.11R.A220.07	TCGA.BJ.A45J.01A.11R.A23W.07	TCGA.L6.A4ET.01A.11R.A250.07	TCGA.QD.A8IV.01A.11R.A39I.07	TCGA.DJ.A2QB.01A.11R.A19O.07	TCGA.MK.A84Z.01A.11R.A39I.07	TCGA.EL.A3H2.01A.11R.A20F.07	TCGA.FK.A3SG.01A.11R.A22L.07	TCGA.E3.A3E5.01A.11R.A20F.07	TCGA.EM.A2OW.01A.11R.A206.07	TCGA.E8.A3X7.01A.11R.A22U.07	TCGA.DJ.A3US.01A.11R.A22L.07	TCGA.FE.A232.01A.11R.A14Y.07	TCGA.BJ.A0ZE.01A.11R.A10U.07	TCGA.E3.A3DZ.01A.11R.A20F.07	TCGA.BJ.A3F0.01A.11R.A206.07	TCGA.EM.A3O6.01A.11R.A220.07	TCGA.EL.A3ZR.01A.11R.A23N.07	TCGA.DJ.A1QM.01A.11R.A14Y.07	TCGA.ET.A40R.01A.11R.A23N.07	TCGA.BJ.A3PT.01A.12R.A220.07	TCGA.EL.A4K2.01A.11R.A250.07	TCGA.EM.A3FP.01A.11R.A21D.07	TCGA.ET.A2N5.01A.11R.A18C.07	TCGA.ET.A39L.01A.12R.A19O.07	TCGA.BJ.A0ZJ.01A.11R.A10U.07	TCGA.DJ.A3VG.01A.11R.A23N.07	TCGA.BJ.A18Y.01A.11R.A13Y.07	TCGA.EL.A3T2.01A.11R.A22L.07	TCGA.EM.A3FL.01A.11R.A21D.07	TCGA.EM.A2CK.01A.11R.A180.07	TCGA.EM.A3AP.01A.12R.A20F.07	TCGA.DJ.A3V0.01A.11R.A22U.07	TCGA.FY.A3NP.01A.11R.A21D.07	TCGA.EM.A22K.01A.11R.A180.07	TCGA.DJ.A3UT.01A.11R.A22L.07	TCGA.BJ.A2N9.01A.11R.A18C.07	TCGA.DJ.A3V2.01A.11R.A22U.07	TCGA.EL.A3MY.11A.12R.A21D.07	TCGA.EL.A3MW.11A.11R.A20F.07	TCGA.ET.A3DW.11A.11R.A19O.07	TCGA.BJ.A2NA.11A.11R.A19O.07	TCGA.EL.A3GZ.11A.11R.A20F.07	TCGA.EL.A3ZT.11A.13R.A23N.07	TCGA.EL.A3TB.11A.11R.A22L.07	TCGA.BJ.A2N8.11A.11R.A18C.07	TCGA.EL.A3MX.11A.11R.A21D.07	TCGA.EL.A3ZM.11A.12R.A23N.07	TCGA.EM.A1CS.11A.21R.A13Y.07	TCGA.H2.A2K9.11A.11R.A180.07	TCGA.ET.A2N5.11B.11R.A18C.07	TCGA.ET.A3DP.11A.22R.A21D.07	TCGA.BJ.A290.11A.11R.A180.07	TCGA.EM.A1CU.11A.11R.A13Y.07	TCGA.EM.A1CW.11A.12R.A13Y.07	TCGA.EL.A3N2.11A.11R.A20F.07	GTEX.OIZH.2626.SM.2HMJM	GTEX.W5X1.0426.SM.3GILB	GTEX.YJ89.0726.SM.5P9F7	GTEX.113JC.0126.SM.5EGJW	GTEX.ZV6S.0226.SM.59HJT	GTEX.13NZA.1026.SM.5MR48	GTEX.SUCS.0226.SM.32PLQ	GTEX.WH7G.0526.SM.3NMBI	GTEX.1192X.1126.SM.5EGGU	GTEX.R55E.0826.SM.2TC5M	GTEX.YEC4.0626.SM.5CVLU	GTEX.T6MN.0626.SM.32PM9	GTEX.S341.0226.SM.5S2VG	GTEX.11GS4.0826.SM.5986J	GTEX.13OW8.0126.SM.5IJE5	GTEX.ZVP2.0426.SM.57WC2	GTEX.13FLV.0226.SM.5J2OF	GTEX.ZTX8.0626.SM.59HKC	GTEX.13FHP.0926.SM.5L3EC	GTEX.QDVJ.0226.SM.2I5FV	GTEX.N7MS.2326.SM.2HMLD	GTEX.13N1W.0826.SM.5MR5J	GTEX.Y5LM.0626.SM.4V6G4	GTEX.13OVJ.0626.SM.5J2O2	GTEX.ZYFC.0926.SM.5GZWW	GTEX.WWYW.0826.SM.3NB2X	GTEX.11EM3.0126.SM.5985K	GTEX.11DXY.0426.SM.5H12R	GTEX.12WSK.0926.SM.5CVNQ	GTEX.117XS.0526.SM.5987Q	GTEX.11EQ9.0626.SM.5A5K1	GTEX.T5JW.1226.SM.3GACY	GTEX.13QBU.0626.SM.5J2OG	GTEX.WHSB.1626.SM.3LK6J	GTEX.Q2AG.0826.SM.2HMKF	GTEX.Y5V6.0526.SM.4VBRV	GTEX.1122O.0226.SM.5N9DA	GTEX.SNOS.0226.SM.32PLR	GTEX.13O61.0226.SM.5KM52	GTEX.13FH7.0126.SM.5KLZ1	GTEX.ZZ64.0126.SM.5GZXA	GTEX.ZQG8.0926.SM.57WFF	GTEX.11I78.0526.SM.5986A	GTEX.WVLH.0626.SM.3MJG7	GTEX.ZYFG.0626.SM.5GZYA	GTEX.111CU.0226.SM.5GZXC	GTEX.P4QT.2626.SM.2I3FM	GTEX.11NSD.0126.SM.5987F	GTEX.131YS.0726.SM.5P9G9	GTEX.12ZZY.0826.SM.5EQMT	GTEX.SE5C.0726.SM.4BRWY	GTEX.XLM4.0726.SM.4AT64	GTEX.13JVG.0926.SM.5IJE1	GTEX.P78B.0526.SM.2I5F7	GTEX.XUZC.0126.SM.4BOO6	GTEX.RVPV.1226.SM.2TF73	GTEX.1399R.0126.SM.5IFEV	GTEX.1399U.0326.SM.5P9G5	GTEX.S7SE.0726.SM.2XCD7	GTEX.ZLWG.0526.SM.4WWFB	GTEX.132NY.1026.SM.5P9IY	GTEX.WY7C.0226.SM.3NB37	GTEX.Y3IK.0526.SM.4WWE3	GTEX.SJXC.0726.SM.2XCFJ	GTEX.11TTK.0826.SM.5N9EG	GTEX.139UW.0126.SM.5KM1B	GTEX.144GM.0226.SM.5Q5CB	GTEX.11P7K.0226.SM.5986Z	GTEX.XUW1.1026.SM.4BONY	GTEX.RNOR.0926.SM.2TF56	GTEX.YEC3.0826.SM.4WWFP	GTEX.139TS.0126.SM.5K7XJ	GTEX.139T6.0326.SM.5J2LY	GTEX.144GO.0126.SM.5LUAO	GTEX.TKQ1.0126.SM.33HB3	GTEX.PWCY.2326.SM.2I3EQ	GTEX.OOBK.2626.SM.2HMKY	GTEX.12WSN.0726.SM.5GCMS	GTEX.11OF3.0626.SM.5BC4Y	GTEX.YFCO.0326.SM.4W1ZP	GTEX.13OW5.0626.SM.5J2N2	GTEX.11ZVC.0126.SM.5986G	GTEX.ZY6K.0226.SM.5SIAY	GTEX.1192W.0126.SM.5EGGS	GTEX.ZA64.0426.SM.5HL96	GTEX.12BJ1.0426.SM.5FQSO	GTEX.U8T8.2326.SM.3DB96	GTEX.ZPCL.0126.SM.4WWC8	GTEX.1212Z.0426.SM.5FQT6	GTEX.OHPK.2626.SM.2HMK9	GTEX.QLQ7.0726.SM.2I5G2	GTEX.T6MO.0226.SM.32QOL	GTEX.XGQ4.0426.SM.4AT4I	GTEX.YB5E.0626.SM.4VDSE	GTEX.11ZTT.1026.SM.5EQKF	GTEX.ZVZQ.0626.SM.59HJU	GTEX.12WSJ.0326.SM.5GCMT	GTEX.13D11.0226.SM.5LZXL	GTEX.11TT1.1126.SM.5P9GV	GTEX.PLZ4.1226.SM.2I5FE	GTEX.11VI4.0226.SM.5GU6C	GTEX.1211K.0726.SM.5FQUW	GTEX.13112.0326.SM.5P9IW	GTEX.Y114.0626.SM.4TT98	GTEX.ZVZP.1026.SM.5GICI	GTEX.S4P3.0226.SM.3K2BD	GTEX.13OW6.0726.SM.5L3FX	GTEX.WYBS.1926.SM.3NM8N	GTEX.13RTK.0326.SM.5RQHS	GTEX.OXRP.0326.SM.33HBJ	GTEX.13NYC.2426.SM.5MR3K	GTEX.ZYT6.0426.SM.5GID3	GTEX.Z9EW.0226.SM.5CVM7	GTEX.13O21.2226.SM.5MR3L	GTEX.12696.0326.SM.5EGL4	GTEX.111FC.1026.SM.5GZX1	GTEX.ZUA1.0926.SM.4YCDX	GTEX.13FTW.0626.SM.5IFEX
ZNF141	185.11	164.42	67.12	177.53	267.73	131.51	101.54	155.5	186.4	113.56	193.01	178.77	55.89	153.34	111.99	109.66	142.01	115.16	88.26	244.57	46.5	88.26	125.24	172.65	102.97	68.07	139.07	115.16	146.03	163.28	129.69	183.82	199.85	223.41	124.37	172.65	145.02	152.28	142.01	211.31	145.02	75.11	140.04	226.54	212.78	199.85	191.67	232.94	318.57	150.17	224.97	198.47	143.01	197.09	316.37	241.19	142.01	205.5	303.44	346.29	273.37	189.02	301.33	314.17	217.27	220.32	129.69	197.09	153.34	181.28	167.9	122.64	217.27	185.11	134.3	126.12	208.38	165.57	186.4	208.38	189.02	217.27	206.94	169.07	98.04	204.07	186.4	130.6	151.22	275.28	171.45	215.77	183.82	214.27	191.67	271.48	166.73	187.71	173.85	154.42	172.65	127.89	190.34	187.71	205.5	176.29	96.01	226.54	182.55	215.77	201.25	170.25	125.24	191.67	187.71	156.59	167.9	136.19	176.29	156.59	141.02	198.47	186.4	198.47	205.5	242.88	258.57	126.12	187.71	214.27	229.72	194.36	172.65	157.68	191.67	242.88	221.86	132.44	285.03	220.32	181.28	172.65	177.53	191.67	258.57	169.07	161.02	198.47	124.37	134.3	267.73	183.82	199.85	155.5	173.85	178.77	466.88	218.79	84.63	128.79	275.28	212.78	201.25	229.72	161.02	180.02	260.38	201.25	205.5	214.27	209.84	214.27	226.54	144.01	143.01	139.07	232.94	195.72	146.03
ZNF160	559.28	429.54	228.13	450.94	575.03	303.44	332.14	329.84	603.67	371.22	403.5	708.18	221.86	441.64	341.51	289.02	587.13	395.18	194.36	896.64	211.31	316.37	384.34	500.46	264.03	291.04	563.18	204.07	368.65	395.18	444.72	507.46	497.0	764.36	318.57	343.89	518.15	435.55	366.09	429.54	460.44	150.17	392.44	555.41	660.68	429.54	414.87	575.03	941.27	543.96	543.96	591.22	551.56	414.87	884.29	547.75	460.44	674.59	713.11	872.1	769.69	441.64	884.29	703.28	540.19	595.34	559.28	684.02	616.37	688.78	400.71	591.22	679.29	665.29	563.18	651.58	486.75	954.43	563.18	1096.5	669.92	642.59	1183.45	642.59	802.41	547.75	995.0	559.28	490.14	921.88	808.0	620.67	733.19	518.15	688.78	825.0	435.55	476.71	638.15	450.94	371.22	395.18	656.11	348.71	830.75	555.41	432.53	607.87	633.73	743.43	647.07	713.11	830.75	753.83	454.09	426.57	493.56	532.74	679.29	511.0	435.55	733.19	825.0	718.08	934.76	583.07	836.53	480.04	559.28	403.5	679.29	480.04	583.07	466.88	642.59	878.17	728.11	429.54	825.0	603.67	366.09	559.28	587.13	460.44	988.12	674.59	624.99	555.41	348.71	529.06	642.59	420.68	334.46	387.02	387.02	500.46	738.29	529.06	389.72	444.72	1191.69	536.45	616.37	854.13	536.45	679.29	693.58	748.61	518.15	624.99	848.22	511.0	669.92	473.41	629.35	490.14	579.04	738.29	444.72
ZNF169	60.82	60.39	10.0	87.65	123.5	51.35	31.22	60.82	103.69	25.17	62.56	62.12	9.48	53.19	35.0	29.48	79.45	30.34	22.26	108.14	16.63	43.02	77.25	63.45	38.4	31.22	59.13	18.43	50.98	51.71	60.82	52.08	90.14	97.36	26.86	71.0	57.89	38.4	40.64	63.0	54.33	21.16	47.84	54.33	72.52	38.12	52.82	73.54	180.02	63.45	59.55	73.54	64.8	54.33	118.43	64.8	29.48	74.06	69.03	85.82	90.14	33.3	163.28	105.15	30.56	68.55	54.33	96.68	81.14	127.0	39.79	41.52	178.77	73.54	31.9	55.89	40.64	53.19	90.14	165.57	65.72	38.12	55.1	63.45	60.39	114.36	30.34	47.5	84.04	90.77	59.13	68.55	102.25	99.43	116.78	45.21	57.08	31.0	61.25	50.63	69.52	53.19	107.38	38.4	66.18	65.72	56.28	65.72	86.43	164.42	92.05	137.14	60.82	57.08	58.3	64.34	62.12	46.5	72.01	109.66	35.25	140.04	61.25	110.43	76.71	84.04	66.65	46.84	100.13	81.71	112.77	31.45	60.39	50.63	54.33	88.88	98.04	53.95	82.29	34.02	46.5	66.65	103.69	29.91	161.02	60.82	59.97	125.24	37.32	37.59	74.58	27.05	75.64	61.25	27.64	71.0	92.7	49.21	36.01	34.51	142.01	88.26	90.77	130.6	67.12	36.79	103.69	112.77	50.63	108.9	75.64	66.65	94.01	57.08	80.57	81.14	43.02	103.69	53.19
ZNF17	100.13	74.06	38.67	88.88	94.01	78.34	60.39	77.79	122.64	87.65	101.54	104.42	46.5	78.89	94.01	55.49	84.04	82.87	37.05	117.6	54.72	67.12	69.03	102.97	65.72	61.68	84.04	67.12	95.34	105.89	99.43	81.71	105.15	141.02	86.43	94.01	100.13	90.14	85.22	90.14	73.03	41.81	79.45	149.12	136.19	130.6	127.0	194.36	187.71	178.77	135.24	139.07	150.17	115.97	127.89	123.5	102.25	121.79	180.02	223.41	182.55	107.38	190.34	142.01	111.99	149.12	91.41	129.69	143.01	112.77	108.14	138.1	143.01	82.87	117.6	125.24	125.24	130.6	165.57	135.24	193.01	154.42	115.16	125.24	75.11	101.54	95.34	136.19	135.24	124.37	115.16	133.36	117.6	94.67	217.27	159.9	134.3	110.43	142.01	94.67	142.01	120.1	130.6	128.79	110.43	147.06	117.6	122.64	189.02	122.64	220.32	98.04	104.42	91.41	131.51	154.42	134.3	140.04	112.77	191.67	124.37	132.44	119.26	152.28	175.07	142.01	147.06	90.77	121.79	150.17	193.01	100.13	121.79	120.94	132.44	140.04	117.6	142.01	182.55	162.14	91.41	97.36	175.07	111.99	141.02	180.02	146.03	117.6	127.0	111.99	161.02	150.17	142.01	108.9	94.01	120.1	186.4	110.43	100.13	104.42	143.01	114.36	135.24	161.02	87.65	126.12	126.12	118.43	95.34	115.97	130.6	107.38	135.24	105.15	144.01	139.07	164.42	173.85	83.45
ZNF175	115.16	132.44	68.55	135.24	162.14	90.14	59.97	110.43	147.06	96.01	101.54	109.66	62.56	220.32	98.04	74.58	108.14	109.66	75.11	139.07	61.25	90.14	110.43	164.42	74.58	81.71	116.78	104.42	123.5	122.64	90.77	120.94	138.1	209.84	102.25	111.99	125.24	95.34	148.09	126.12	105.89	57.89	117.6	182.55	172.65	137.14	144.01	197.09	232.94	172.65	211.31	185.11	140.04	163.28	229.72	197.09	122.64	217.27	193.01	226.54	215.77	111.21	325.29	228.13	262.2	149.12	122.64	185.11	191.67	159.9	130.6	169.07	121.79	149.12	137.14	142.01	158.79	139.07	212.78	211.31	111.99	85.82	246.28	142.01	102.97	126.12	127.89	173.85	127.0	223.41	86.43	189.02	193.01	177.53	131.51	159.9	124.37	151.22	145.02	100.13	143.01	124.37	152.28	164.42	115.97	164.42	178.77	244.57	197.09	177.53	172.65	177.53	123.5	152.28	231.32	159.9	185.11	173.85	199.85	169.07	127.0	167.9	173.85	195.72	265.87	149.12	138.1	145.02	172.65	195.72	149.12	120.94	77.79	167.9	98.73	178.77	191.67	153.34	232.94	178.77	171.45	157.68	293.07	158.79	195.72	115.16	177.53	143.01	117.6	226.54	193.01	148.09	193.01	166.73	103.69	172.65	224.97	166.73	134.3	137.14	223.41	205.5	183.82	186.4	218.79	217.27	228.13	205.5	102.97	190.34	114.36	120.94	182.55	187.71	204.07	124.37	137.14	214.27	132.44
ZNF211	301.33	351.14	110.43	346.29	361.04	202.66	320.8	361.04	363.56	271.48	307.69	303.44	226.54	267.73	226.54	248.0	348.71	232.94	146.03	376.41	145.02	208.38	299.25	204.07	275.28	281.09	348.71	163.28	279.14	307.69	392.44	334.46	371.22	559.28	198.47	348.71	320.8	244.57	253.23	346.29	287.01	115.16	279.14	295.11	373.81	346.29	289.02	379.04	406.31	325.29	329.84	414.87	343.89	376.41	334.46	301.33	285.03	379.04	480.04	480.04	532.74	303.44	674.59	555.41	384.34	262.2	260.38	381.68	376.41	392.44	307.69	256.78	392.44	343.89	389.72	432.53	236.21	444.72	295.11	429.54	368.65	336.79	423.61	279.14	307.69	336.79	417.77	262.2	414.87	490.14	438.59	307.69	295.11	309.83	373.81	480.04	255.0	281.09	318.57	217.27	180.02	275.28	403.5	264.03	447.82	287.01	231.32	273.37	503.95	470.14	417.77	339.14	429.54	341.51	379.04	334.46	305.55	371.22	329.84	454.09	224.97	547.75	303.44	414.87	403.5	441.64	295.11	273.37	346.29	397.93	521.76	299.25	314.17	277.2	206.94	293.07	361.04	269.6	334.46	366.09	258.57	409.15	450.94	224.97	473.41	316.37	267.73	320.8	249.73	463.65	325.29	236.21	336.79	275.28	204.07	297.17	616.37	283.05	260.38	241.19	607.87	275.28	387.02	447.82	271.48	255.0	316.37	412.0	346.29	281.09	356.05	309.83	547.75	275.28	353.59	336.79	400.71	493.56	236.21
ZNF234	102.97	79.45	36.01	81.71	94.01	54.33	43.63	57.08	76.17	84.63	78.89	107.38	31.67	69.52	73.54	46.5	77.25	70.51	44.25	102.25	53.95	64.8	55.49	90.77	43.94	42.71	82.29	41.22	54.33	85.22	70.01	52.08	96.01	104.42	74.06	58.71	100.13	55.1	67.12	78.34	73.54	33.3	63.0	94.01	90.77	91.41	94.67	107.38	139.07	99.43	115.16	120.94	99.43	84.63	129.69	102.25	94.01	110.43	120.94	121.79	146.03	85.82	209.84	103.69	102.25	112.77	92.05	108.14	92.7	104.42	62.56	100.13	118.43	141.02	110.43	128.79	97.36	72.01	122.64	136.19	138.1	96.01	78.34	105.89	80.57	117.6	91.41	96.01	73.54	114.36	97.36	98.04	131.51	91.41	84.04	110.43	87.03	92.7	137.14	89.51	116.78	116.78	96.01	103.69	110.43	153.34	108.14	96.01	116.78	111.21	118.43	138.1	156.59	63.45	84.63	108.14	92.7	76.71	107.38	102.97	80.01	150.17	139.07	89.51	143.01	95.34	94.01	79.45	101.54	126.12	105.89	83.45	102.25	101.54	85.82	97.36	103.69	72.01	118.43	75.64	53.95	92.05	115.97	126.12	113.56	101.54	94.67	90.14	77.25	86.43	84.63	108.9	111.21	91.41	77.25	120.1	115.16	115.97	79.45	94.67	199.85	115.97	96.68	109.66	86.43	108.9	132.44	122.64	87.03	113.56	120.94	95.34	106.63	88.88	113.56	100.13	98.04	126.12	90.14
ZNF320	279.14	253.23	96.68	255.0	318.57	260.38	150.17	181.28	244.57	198.47	190.34	297.17	79.45	202.66	241.19	85.82	269.6	255.0	145.02	339.14	112.77	115.97	175.07	277.2	120.94	133.36	152.28	98.73	223.41	217.27	158.79	178.77	251.48	318.57	197.09	164.42	229.72	156.59	221.86	293.07	206.94	107.38	135.24	414.87	356.05	214.27	224.97	373.81	339.14	297.17	341.51	279.14	236.21	208.38	339.14	249.73	249.73	376.41	363.56	447.82	358.54	285.03	483.38	234.57	149.12	289.02	146.03	447.82	275.28	356.05	228.13	211.31	361.04	371.22	400.71	211.31	244.57	325.29	366.09	256.78	295.11	228.13	102.97	406.31	136.19	287.01	232.94	176.29	353.59	279.14	287.01	262.2	194.36	237.86	299.25	232.94	264.03	133.36	226.54	206.94	277.2	246.28	242.88	229.72	217.27	218.79	297.17	283.05	429.54	400.71	361.04	279.14	217.27	267.73	279.14	329.84	215.77	307.69	205.5	305.55	223.41	346.29	323.03	329.84	287.01	167.9	153.34	178.77	299.25	466.88	246.28	176.29	295.11	273.37	163.28	264.03	301.33	234.57	329.84	215.77	208.38	193.01	392.44	403.5	450.94	218.79	198.47	217.27	253.23	334.46	305.55	256.78	314.17	299.25	145.02	253.23	376.41	253.23	253.23	283.05	438.59	244.57	312.0	332.14	312.0	356.05	256.78	457.25	220.32	275.28	228.13	234.57	291.04	303.44	420.68	376.41	223.41	312.0	206.94
ZNF345	70.01	100.13	45.53	92.05	108.9	86.43	66.65	84.63	64.34	41.22	75.11	105.15	70.01	98.73	75.64	60.39	94.67	53.95	43.94	85.22	75.64	98.04	94.01	75.11	69.03	94.67	102.97	42.11	91.41	100.83	100.83	127.0	108.9	150.17	53.57	66.65	59.97	69.52	71.5	87.65	73.03	72.01	76.71	108.14	123.5	118.43	99.43	129.69	169.07	125.24	105.89	110.43	113.56	80.01	117.6	105.15	98.73	115.97	190.34	115.97	141.02	72.01	231.32	121.79	126.12	120.94	81.71	135.24	103.69	144.01	115.16	81.71	146.03	115.97	123.5	119.26	111.99	94.67	128.79	135.24	116.78	82.29	92.05	108.9	84.63	91.41	81.14	91.41	116.78	164.42	126.12	106.63	140.04	133.36	98.73	122.64	94.01	114.36	105.15	79.45	96.68	92.7	119.26	96.01	116.78	138.1	90.14	86.43	110.43	133.36	139.07	116.78	105.89	90.14	84.63	73.54	115.97	88.88	107.38	117.6	88.88	163.28	145.02	141.02	176.29	111.99	120.94	80.57	116.78	135.24	115.16	63.0	122.64	100.83	111.99	105.89	120.1	70.01	201.25	120.1	91.41	111.99	135.24	128.79	180.02	121.79	109.66	113.56	98.73	96.01	92.05	86.43	98.04	100.13	64.8	102.97	130.6	72.01	71.5	87.65	232.94	108.9	139.07	180.02	100.13	92.05	111.21	94.67	99.43	108.9	101.54	110.43	126.12	103.69	99.43	126.12	85.22	140.04	74.06
ZNF383	100.13	87.03	36.01	77.79	86.43	63.89	50.27	51.35	85.82	67.12	72.52	105.15	33.06	62.56	68.55	52.08	79.45	57.49	37.32	100.13	52.82	75.11	63.0	90.77	49.21	39.79	80.57	55.49	63.89	76.17	84.04	69.52	88.26	123.5	70.01	67.59	102.97	74.06	92.05	73.03	67.12	34.02	72.01	134.3	143.01	115.97	105.15	133.36	165.57	131.51	161.02	112.77	98.73	85.22	162.14	109.66	74.58	137.14	162.14	145.02	170.25	97.36	180.02	133.36	122.64	93.35	92.05	129.69	108.14	123.5	94.01	72.52	116.78	136.19	85.82	125.24	108.14	114.36	102.97	117.6	111.21	128.79	107.38	90.14	104.42	96.68	105.89	84.04	138.1	166.73	128.79	102.97	92.05	122.64	115.97	130.6	88.88	90.14	98.73	73.54	110.43	81.14	90.77	105.15	93.35	92.05	79.45	107.38	113.56	169.07	172.65	117.6	124.37	93.35	95.34	101.54	104.42	106.63	106.63	144.01	71.0	100.13	88.88	107.38	136.19	115.97	154.42	120.94	91.41	96.68	241.19	76.17	92.7	101.54	109.66	124.37	98.04	90.77	102.25	133.36	60.39	96.68	123.5	74.06	118.43	94.67	108.9	125.24	80.01	123.5	142.01	85.22	110.43	93.35	67.59	94.67	201.25	107.38	81.71	62.56	163.28	111.99	113.56	154.42	154.42	103.69	138.1	110.43	110.43	96.68	118.43	115.16	96.68	113.56	102.25	111.99	119.26	128.79	69.52
ZNF391	83.45	85.22	29.27	87.03	113.56	49.56	33.78	50.63	70.51	68.55	86.43	65.26	17.77	57.89	60.39	32.59	81.71	55.1	56.28	114.36	32.82	64.8	85.82	74.06	22.43	46.84	67.59	44.25	66.65	84.63	58.71	87.65	102.25	90.77	75.11	94.67	75.64	32.13	102.25	110.43	65.26	38.4	52.82	127.0	102.97	92.05	98.04	142.01	152.28	88.88	101.54	91.41	57.89	80.57	132.44	113.56	42.71	126.12	115.97	147.06	139.07	74.58	185.11	73.03	49.21	89.51	41.81	135.24	133.36	113.56	93.35	65.26	121.79	84.04	81.71	84.63	88.26	112.77	91.41	128.79	79.45	66.18	65.72	82.29	46.5	104.42	33.78	83.45	102.97	137.14	113.56	73.54	74.58	71.5	144.01	117.6	86.43	43.02	120.1	50.63	69.52	96.68	135.24	82.87	78.89	116.78	59.13	89.51	165.57	162.14	144.01	135.24	68.55	48.87	74.58	131.51	74.58	139.07	105.89	127.0	85.82	102.25	127.89	115.97	113.56	55.49	59.97	38.4	92.05	87.03	178.77	66.18	82.29	84.63	76.71	88.26	110.43	76.17	150.17	167.9	67.12	91.41	138.1	105.15	138.1	123.5	100.13	112.77	68.07	77.79	51.35	43.32	91.41	103.69	44.57	94.67	105.89	92.7	65.26	71.0	122.64	153.34	82.87	147.06	104.42	97.36	77.25	81.71	84.04	63.45	71.0	87.65	118.43	72.01	85.82	94.67	158.79	152.28	70.01
ZNF397	376.41	336.79	159.9	323.03	351.14	232.94	244.57	237.86	389.72	237.86	215.77	343.89	193.01	177.53	305.55	173.85	353.59	208.38	194.36	368.65	145.02	211.31	301.33	320.8	211.31	154.42	303.44	158.79	211.31	260.38	205.5	180.02	332.14	432.53	231.32	248.0	325.29	190.34	289.02	343.89	265.87	142.01	249.73	414.87	470.14	226.54	256.78	444.72	603.67	392.44	397.93	395.18	305.55	291.04	518.15	307.69	334.46	387.02	412.0	486.75	551.56	373.81	575.03	358.54	285.03	366.09	177.53	457.25	273.37	358.54	283.05	307.69	441.64	363.56	409.15	332.14	289.02	351.14	429.54	336.79	363.56	295.11	293.07	397.93	209.84	329.84	543.96	305.55	379.04	332.14	392.44	341.51	373.81	309.83	441.64	497.0	361.04	186.4	387.02	316.37	381.68	325.29	312.0	291.04	279.14	353.59	309.83	373.81	595.34	429.54	414.87	435.55	256.78	412.0	414.87	320.8	314.17	486.75	309.83	387.02	239.52	454.09	426.57	381.68	470.14	256.78	269.6	242.88	341.51	363.56	329.84	269.6	423.61	343.89	253.23	379.04	387.02	339.14	493.56	373.81	175.07	307.69	483.38	366.09	493.56	346.29	368.65	327.56	271.48	395.18	307.69	334.46	379.04	353.59	201.25	420.68	384.34	291.04	291.04	336.79	511.0	400.71	403.5	473.41	332.14	339.14	336.79	381.68	241.19	281.09	309.83	356.05	325.29	373.81	341.51	426.57	281.09	346.29	251.48
ZNF415	271.48	301.33	120.1	281.09	325.29	224.97	181.28	178.77	242.88	281.09	277.2	214.27	118.43	244.57	214.27	166.73	241.19	205.5	236.21	305.55	182.55	269.6	239.52	221.86	155.5	187.71	267.73	231.32	307.69	283.05	267.73	218.79	316.37	366.09	262.2	246.28	339.14	215.77	277.2	312.0	256.78	146.03	229.72	293.07	327.56	265.87	289.02	348.71	336.79	271.48	358.54	329.84	265.87	275.28	334.46	289.02	212.78	323.03	343.89	480.04	320.8	269.6	435.55	429.54	149.12	226.54	281.09	291.04	285.03	325.29	361.04	251.48	289.02	232.94	198.47	299.25	198.47	212.78	232.94	423.61	246.28	323.03	199.85	190.34	275.28	260.38	256.78	190.34	214.27	358.54	275.28	234.57	269.6	231.32	239.52	325.29	242.88	199.85	231.32	151.22	173.85	218.79	229.72	167.9	237.86	201.25	141.02	248.0	368.65	312.0	269.6	299.25	332.14	309.83	291.04	211.31	348.71	348.71	218.79	323.03	180.02	267.73	241.19	318.57	403.5	356.05	193.01	239.52	256.78	215.77	371.22	204.07	273.37	244.57	299.25	180.02	205.5	229.72	323.03	366.09	251.48	260.38	273.37	241.19	303.44	255.0	212.78	307.69	162.14	231.32	187.71	176.29	239.52	193.01	171.45	201.25	351.14	234.57	208.38	199.85	389.72	314.17	232.94	320.8	201.25	169.07	299.25	273.37	275.28	212.78	356.05	289.02	249.73	194.36	187.71	277.2	432.53	403.5	156.59
