	TCGA.BH.A1ET.11B.23R.A137.07	TCGA.BH.A1FU.11A.23R.A14D.07	TCGA.BH.A18Q.11A.34R.A12D.07	TCGA.BH.A0DL.11A.13R.A115.07	TCGA.ZP.A9D0.01A.11R.A37K.07	TCGA.DD.AAW1.01A.11R.A41C.07	TCGA.G3.AAV2.01A.11R.A37K.07	TCGA.DD.AAEI.01A.11R.A41C.07	TCGA.G3.AAV3.01A.11R.A37K.07	TCGA.DD.AAVS.01A.11R.A41C.07	TCGA.DD.AADG.01A.11R.A41C.07	TCGA.DD.AAE1.01A.11R.A41C.07	TCGA.DD.A4NS.01A.11R.A311.07	TCGA.DD.AAEK.01A.11R.A41C.07	TCGA.CC.A8HS.01A.11R.A36F.07	TCGA.FV.A2QR.01A.11R.A213.07	TCGA.RC.A7SK.01A.11R.A352.07	TCGA.HP.A5N0.01A.11R.A28V.07	TCGA.DD.AACE.01A.11R.A41C.07	TCGA.DD.AAW0.01A.11R.A41C.07	TCGA.CC.A3MC.01A.11R.A22L.07	TCGA.CC.5261.01A.01R.A131.07	TCGA.G3.A5SI.01A.31R.A27V.07	TCGA.T1.A6J8.01A.11R.A32O.07	TCGA.DD.AADY.01A.11R.A41C.07	TCGA.DD.AAE9.01A.11R.A41C.07	TCGA.DD.AACT.01A.11R.A41C.07	TCGA.2Y.A9GX.01A.11R.A38B.07	TCGA.ED.A7XP.01A.11R.A352.07	TCGA.O8.A75V.01A.11R.A32O.07	TCGA.CC.A7IL.01A.11R.A33R.07	TCGA.ZP.A9D1.01A.11R.A38B.07	TCGA.DD.A3A8.01A.11R.A22L.07	TCGA.DD.AADW.01A.11R.A39D.07	TCGA.DD.A11D.01A.11R.A131.07	TCGA.DD.AAEH.01A.11R.A41C.07	TCGA.CC.A7IK.01A.12R.A33R.07	TCGA.2Y.A9H5.01A.11R.A38B.07	TCGA.DD.A4NH.01A.11R.A27V.07	TCGA.DD.AAEG.01A.11R.A39D.07	TCGA.RC.A6M4.01A.11R.A32O.07	TCGA.XR.A8TC.01A.11R.A36F.07	TCGA.MI.A75H.01A.11R.A32O.07	TCGA.ZP.A9D4.01A.11R.A37K.07	TCGA.G3.A7M6.01A.11R.A33R.07	TCGA.DD.A4ND.01A.11R.A266.07	TCGA.ZS.A9CE.01A.11R.A37K.07	TCGA.DD.AAVW.01A.11R.A41C.07	TCGA.UB.A7MC.01A.11R.A33R.07	TCGA.DD.A1EH.01A.11R.A131.07	TCGA.2Y.A9GU.01A.11R.A38B.07	TCGA.DD.A3A8.11A.11R.A22L.07	GTEX.PX3G.0826.SM.48TZS	GTEX.U3ZN.0226.SM.3DB8D	GTEX.X4EO.1126.SM.4QARQ	GTEX.145MF.0826.SM.5QGQA	GTEX.139TS.1426.SM.5IFJD	GTEX.QESD.2026.SM.447BI	GTEX.1399R.1226.SM.5P9GF	GTEX.13SLX.1226.SM.5S2Q6	GTEX.14753.1626.SM.5NQ9L	GTEX.R53T.0326.SM.48FEC	TCGA.97.8172.01A.11R.2287.07	TCGA.55.7573.01A.11R.2039.07	GTEX.12WSE.0826.SM.5S2VL	TCGA.BR.8592.01A.11R.2402.13	TCGA.BK.A6W4.01A.12R.A34R.07
SLC41A1	529.06	373.81	480.04	412.0	71.5	37.85	48.52	27.64	104.42	264.03	11.64	34.02	194.36	113.56	389.72	83.45	52.08	277.2	20.26	99.43	325.29	941.27	150.17	99.43	163.28	8.71	336.79	221.86	234.57	140.04	11.73	346.29	43.94	341.51	277.2	110.43	115.97	165.57	529.06	384.34	45.53	334.46	29.7	41.52	384.34	170.25	46.84	180.02	256.78	297.17	81.14	37.32	122.64	82.29	73.03	12.18	91.41	215.77	64.34	37.32	45.21	150.17	854.13	1685.71	420.68	567.1	305.55
SNTB2	339.14	218.79	325.29	303.44	44.89	77.79	55.89	37.59	47.5	32.59	43.63	40.64	98.04	71.0	103.69	52.45	26.67	92.05	48.18	51.35	34.02	113.56	30.78	31.22	50.63	44.25	57.49	130.6	80.57	23.25	28.04	70.51	43.63	80.57	33.78	32.82	132.44	50.63	61.68	47.17	23.25	41.52	46.84	71.0	73.03	113.56	30.12	78.89	73.03	62.56	34.75	21.16	20.41	61.25	37.05	13.22	36.53	37.59	42.71	20.86	20.26	48.52	293.07	141.02	262.2	460.44	161.02
SOCS5	583.07	536.45	563.18	599.49	116.78	131.51	77.79	52.45	93.35	144.01	78.89	114.36	195.72	131.51	177.53	138.1	71.0	122.64	97.36	78.89	123.5	265.87	100.13	81.71	194.36	81.71	92.05	147.06	135.24	53.19	41.22	180.02	75.64	228.13	100.13	92.05	244.57	215.77	218.79	99.43	78.34	144.01	68.55	121.79	206.94	206.94	85.82	199.85	178.77	305.55	155.5	38.67	43.02	98.73	37.05	38.67	63.89	56.28	47.5	82.87	38.67	68.07	267.73	295.11	325.29	441.64	241.19
SOGA1	366.09	368.65	339.14	283.05	38.4	14.03	36.79	30.56	34.75	34.02	12.83	13.62	68.07	80.57	154.42	25.72	48.87	36.53	19.97	48.87	75.64	176.29	37.59	28.65	46.5	79.45	21.78	78.89	57.89	28.45	9.13	48.52	22.43	90.14	25.54	21.32	73.54	59.97	114.36	38.12	24.63	23.93	33.54	17.13	171.45	93.35	6.78	87.03	67.12	76.71	31.67	7.11	17.64	17.13	10.0	4.17	8.25	2.76	27.84	5.23	3.66	8.78	148.09	123.5	429.54	540.19	241.19
SP1	1359.57	1331.57	1286.18	1081.39	327.56	301.33	197.09	220.32	244.57	444.72	232.94	277.2	450.94	381.68	450.94	275.28	287.01	291.04	212.78	309.83	223.41	629.35	269.6	244.57	381.68	194.36	186.4	414.87	373.81	189.02	152.28	285.03	164.42	486.75	293.07	208.38	432.53	420.68	547.75	271.48	183.82	348.71	204.07	353.59	532.74	444.72	318.57	460.44	435.55	595.34	297.17	142.01	182.55	312.0	178.77	128.79	197.09	133.36	275.28	181.28	183.82	309.83	669.92	674.59	551.56	1066.48	785.88
SPAG8	50.98	48.52	74.06	37.59	8.51	12.18	14.35	22.26	18.16	18.43	13.72	28.65	21.94	19.68	71.5	8.38	14.89	17.25	11.47	8.58	5.45	10.96	14.56	11.13	6.84	16.51	13.12	17.0	14.14	7.94	5.28	14.24	10.71	37.05	7.57	8.71	15.91	10.79	40.64	10.55	12.36	21.01	14.24	12.93	30.78	26.47	10.96	7.11	7.0	16.88	7.28	9.48	3.66	5.41	3.86	10.88	7.88	3.63	16.88	6.41	3.5	17.25	45.21	211.31	305.55	57.49	162.14
SSH1	336.79	325.29	358.54	316.37	150.17	178.77	94.67	211.31	127.0	125.24	123.5	99.43	229.72	167.9	189.02	149.12	117.6	182.55	146.03	167.9	122.64	275.28	102.97	154.42	82.29	94.67	98.73	287.01	127.0	83.45	59.13	212.78	89.51	215.77	111.21	141.02	154.42	202.66	267.73	88.26	99.43	208.38	92.05	175.07	260.38	264.03	139.07	208.38	154.42	226.54	143.01	71.5	69.52	78.89	53.19	82.87	70.01	299.25	95.34	66.18	32.36	105.89	293.07	301.33	305.55	503.95	277.2
ST5	1477.58	2047.0	2335.28	1709.26	1397.83	703.28	733.19	638.15	642.59	1769.57	371.22	1175.27	1242.34	457.25	2255.7	1081.39	915.51	607.87	1397.83	684.02	466.88	1583.71	438.59	753.83	1340.84	246.28	819.3	708.18	435.55	748.61	131.51	703.28	363.56	2163.77	642.59	463.65	397.93	1277.29	1896.65	674.59	470.14	1127.35	543.96	1225.22	1304.15	1819.35	860.08	1159.07	239.52	2434.5	2240.11	483.38	633.73	255.0	339.14	395.18	486.75	583.07	583.07	764.36	262.2	293.07	1104.13	1175.27	2163.77	2720.15	2573.36
SUFU	262.2	301.33	305.55	277.2	115.16	111.21	119.26	100.13	152.28	104.42	156.59	163.28	156.59	164.42	154.42	73.03	72.01	99.43	105.15	108.9	83.45	182.55	70.51	81.71	69.52	111.21	106.63	143.01	88.88	117.6	68.07	100.13	111.99	167.9	90.14	99.43	124.37	130.6	166.73	98.73	88.88	112.77	90.14	141.02	205.5	137.14	55.89	150.17	129.69	208.38	171.45	108.9	157.68	64.34	26.28	110.43	107.38	72.52	146.03	87.65	59.97	74.06	217.27	215.77	221.86	242.88	234.57
SUPT20H	928.3	848.22	947.83	785.88	305.55	260.38	190.34	158.79	244.57	457.25	220.32	406.31	514.56	303.44	890.44	215.77	242.88	249.73	320.8	323.03	144.01	529.06	136.19	262.2	163.28	202.66	231.32	366.09	301.33	241.19	139.07	371.22	158.79	412.0	236.21	253.23	395.18	295.11	371.22	172.65	142.01	473.41	189.02	343.89	483.38	547.75	129.69	470.14	483.38	497.0	346.29	87.65	116.78	244.57	82.87	159.9	173.85	164.42	156.59	197.09	63.45	146.03	902.89	656.11	934.76	848.22	941.27
TAF5	96.68	74.58	71.5	70.51	54.33	35.5	35.25	53.57	57.49	88.26	36.01	53.95	53.19	40.64	104.42	33.54	29.7	30.56	63.0	51.71	37.59	87.03	75.64	33.54	53.95	40.64	36.53	60.82	59.97	41.52	27.84	64.34	38.95	96.01	45.85	62.56	61.68	65.26	75.64	40.64	36.27	86.43	51.71	46.5	61.25	60.82	39.22	53.57	105.89	95.34	88.26	20.86	28.86	52.08	21.01	43.32	41.22	27.64	29.48	40.93	17.9	56.28	72.52	52.08	94.67	74.58	93.35
TBC1D12	241.19	183.82	183.82	191.67	145.02	72.01	90.77	51.35	52.45	100.13	69.03	105.15	131.51	108.14	444.72	105.89	70.01	69.03	68.07	87.03	120.94	156.59	151.22	82.29	74.06	115.16	63.45	133.36	127.89	49.21	49.56	123.5	52.82	170.25	59.13	66.18	80.01	251.48	199.85	77.25	68.55	221.86	100.83	115.16	156.59	173.85	46.18	135.24	122.64	275.28	173.85	20.86	49.56	97.36	68.55	57.89	117.6	45.85	63.0	65.26	42.41	59.97	193.01	114.36	154.42	267.73	123.5
TCF7L2	780.44	679.29	698.41	753.83	283.05	358.54	201.25	107.38	231.32	336.79	258.57	414.87	409.15	450.94	764.36	130.6	255.0	251.48	329.84	325.29	267.73	414.87	249.73	264.03	371.22	229.72	206.94	327.56	289.02	126.12	242.88	239.52	246.28	483.38	400.71	178.77	327.56	406.31	368.65	228.13	153.34	836.53	224.97	341.51	379.04	366.09	127.89	473.41	262.2	684.02	325.29	178.77	220.32	190.34	403.5	152.28	181.28	262.2	236.21	327.56	258.57	180.02	583.07	444.72	769.69	842.36	358.54
TIA1	2004.85	2075.59	2178.83	1832.01	629.35	480.04	336.79	228.13	555.41	802.41	358.54	665.29	1037.29	616.37	3235.01	237.86	748.61	447.82	264.03	567.1	392.44	1313.23	457.25	329.84	429.54	291.04	423.61	796.86	860.08	153.34	193.01	780.44	293.07	1617.0	343.89	237.86	848.22	1073.91	1286.18	343.89	334.46	1088.92	348.71	688.78	2163.77	1151.06	343.89	1216.75	723.08	909.17	1183.45	108.14	226.54	400.71	145.02	414.87	265.87	204.07	237.86	551.56	149.12	237.86	1819.35	1769.57	791.35	1819.35	1819.35
TIAL1	1757.34	1498.22	1551.09	1447.15	1073.91	813.63	791.35	866.07	974.5	1015.93	921.88	1111.82	1008.9	1127.35	1498.22	603.67	884.29	518.15	813.63	961.07	934.76	1143.1	1268.46	1073.91	708.18	848.22	713.11	1104.13	1066.48	830.75	703.28	866.07	669.92	1487.87	830.75	638.15	1359.57	1183.45	1794.29	1015.93	563.18	1870.53	642.59	825.0	1583.71	1023.0	435.55	1233.75	1397.83	1388.16	733.19	454.09	500.46	819.3	563.18	836.53	713.11	728.11	624.99	633.73	417.77	743.43	1909.85	1561.89	1233.75	1519.15	1870.53
TIRAP	239.52	237.86	289.02	244.57	120.1	260.38	47.84	209.84	113.56	253.23	159.9	248.0	215.77	229.72	285.03	156.59	185.11	215.77	273.37	336.79	159.9	323.03	166.73	187.71	206.94	99.43	148.09	226.54	234.57	149.12	151.22	205.5	111.21	555.41	169.07	106.63	131.51	301.33	249.73	175.07	127.89	334.46	82.29	190.34	229.72	161.02	224.97	312.0	153.34	307.69	231.32	114.36	106.63	170.25	40.36	108.14	99.43	74.06	142.01	145.02	44.89	195.72	189.02	182.55	141.02	368.65	208.38
TMEM168	543.96	563.18	591.22	511.0	155.5	134.3	113.56	35.25	115.97	150.17	142.01	164.42	229.72	191.67	318.57	93.35	91.41	146.03	180.02	141.02	138.1	301.33	71.0	108.14	339.14	141.02	151.22	114.36	231.32	58.71	118.43	301.33	90.77	674.59	176.29	113.56	255.0	267.73	417.77	131.51	36.53	170.25	61.68	199.85	287.01	180.02	106.63	264.03	145.02	466.88	193.01	77.79	127.0	208.38	48.87	79.45	56.68	63.89	109.66	34.51	76.17	61.68	303.44	287.01	438.59	395.18	329.84
TMEM260	309.83	314.17	353.59	281.09	204.07	96.68	100.83	82.29	105.89	275.28	100.13	295.11	157.68	170.25	371.22	163.28	100.13	163.28	90.77	214.27	78.34	759.08	246.28	106.63	239.52	115.16	137.14	105.15	193.01	118.43	100.83	202.66	68.07	316.37	199.85	120.94	149.12	251.48	277.2	63.89	76.71	202.66	78.89	158.79	323.03	318.57	100.83	273.37	181.28	327.56	262.2	57.49	63.45	116.78	71.5	125.24	115.16	85.22	140.04	170.25	62.56	127.89	309.83	178.77	346.29	297.17	395.18
TMEM39A	603.67	674.59	642.59	490.14	392.44	289.02	206.94	172.65	242.88	417.77	211.31	241.19	483.38	339.14	629.35	379.04	117.6	228.13	305.55	320.8	159.9	669.92	379.04	150.17	902.89	323.03	162.14	363.56	493.56	193.01	132.44	358.54	124.37	543.96	277.2	130.6	480.04	262.2	567.1	198.47	163.28	466.88	231.32	312.0	607.87	397.93	142.01	435.55	490.14	684.02	493.56	128.79	94.67	343.89	81.14	158.79	162.14	144.01	193.01	141.02	134.3	297.17	525.39	507.46	486.75	426.57	567.1
TMPO	988.12	1059.11	1059.11	878.17	647.07	647.07	567.1	1037.29	521.76	1059.11	616.37	591.22	665.29	718.08	1498.22	511.0	830.75	409.15	483.38	1030.12	642.59	1757.34	1467.37	457.25	866.07	287.01	285.03	532.74	860.08	281.09	273.37	616.37	400.71	1923.14	518.15	698.41	941.27	890.44	941.27	438.59	273.37	1977.24	559.28	624.99	684.02	1477.58	470.14	934.76	1417.35	1277.29	638.15	141.02	327.56	518.15	275.28	878.17	397.93	329.84	466.88	825.0	470.14	529.06	780.44	830.75	1023.0	860.08	1857.6
TNPO2	866.07	909.17	909.17	884.29	289.02	429.54	327.56	366.09	466.88	547.75	493.56	373.81	656.11	497.0	890.44	351.14	329.84	444.72	432.53	429.54	343.89	703.28	269.6	162.14	327.56	312.0	409.15	493.56	381.68	289.02	180.02	373.81	348.71	748.61	305.55	267.73	414.87	426.57	543.96	392.44	341.51	620.67	234.57	426.57	607.87	738.29	334.46	567.1	486.75	483.38	547.75	231.32	381.68	133.36	293.07	214.27	181.28	255.0	206.94	204.07	91.41	159.9	684.02	669.92	536.45	1304.15	1059.11
TRAF3	205.5	217.27	234.57	285.03	74.58	86.43	153.34	148.09	101.54	154.42	55.89	123.5	159.9	90.77	361.04	183.82	102.25	102.97	65.26	176.29	103.69	166.73	79.45	190.34	51.35	94.01	75.11	152.28	78.89	101.54	48.18	275.28	59.13	159.9	100.13	195.72	87.65	187.71	149.12	65.26	78.34	84.63	100.13	87.03	155.5	265.87	100.13	152.28	90.14	150.17	90.77	90.77	126.12	97.36	82.29	43.32	124.37	88.26	76.71	108.9	55.89	102.97	279.14	271.48	112.77	301.33	177.53
TRAPPC10	493.56	447.82	441.64	420.68	232.94	202.66	79.45	154.42	126.12	178.77	269.6	182.55	301.33	356.05	444.72	248.0	218.79	122.64	211.31	307.69	189.02	387.02	187.71	146.03	120.94	140.04	218.79	271.48	242.88	120.94	239.52	244.57	141.02	348.71	223.41	206.94	189.02	256.78	379.04	139.07	126.12	376.41	150.17	239.52	297.17	406.31	237.86	287.01	246.28	297.17	205.5	138.1	127.0	248.0	195.72	143.01	119.26	159.9	142.01	152.28	105.15	186.4	450.94	447.82	373.81	575.03	293.07
TRIM59	67.59	64.34	52.82	70.51	5.32	9.63	15.34	14.14	36.27	65.26	12.27	38.4	22.59	37.85	148.09	15.45	22.26	15.8	12.0	19.25	23.93	116.78	44.89	9.41	45.85	30.12	14.03	37.32	29.7	15.45	9.85	18.16	11.82	143.01	9.48	20.41	39.5	45.53	120.1	20.41	13.12	77.79	16.03	20.71	100.13	80.01	16.27	40.36	43.63	84.04	26.28	13.03	2.32	5.5	7.06	19.39	6.16	5.82	13.32	7.75	2.23	3.66	50.27	112.77	30.12	78.34	107.38
TRIO	1159.07	1322.37	1135.2	928.3	271.48	217.27	260.38	182.55	204.07	291.04	132.44	307.69	454.09	493.56	656.11	536.45	450.94	242.88	271.48	332.14	486.75	514.56	136.19	316.37	366.09	169.07	194.36	473.41	307.69	223.41	258.57	358.54	260.38	571.05	358.54	171.45	244.57	500.46	547.75	241.19	214.27	400.71	209.84	142.01	497.0	753.83	353.59	363.56	273.37	376.41	190.34	90.14	140.04	165.57	361.04	65.26	119.26	187.71	119.26	63.45	93.35	89.51	1350.18	921.88	403.5	1651.0	591.22
TRMT10B	316.37	277.2	366.09	256.78	89.51	99.43	94.01	60.82	78.34	140.04	65.72	143.01	129.69	124.37	312.0	122.64	74.58	133.36	84.04	79.45	68.55	199.85	66.18	44.57	148.09	82.87	90.77	129.69	98.04	62.12	42.71	140.04	74.06	193.01	90.14	83.45	151.22	88.88	191.67	127.0	96.01	120.1	80.57	123.5	232.94	146.03	111.99	72.01	172.65	211.31	86.43	33.54	57.89	34.02	50.98	73.54	75.11	67.59	46.18	69.52	40.36	56.28	291.04	169.07	265.87	283.05	267.73
TTC28	307.69	334.46	420.68	297.17	55.1	69.52	51.71	41.22	23.76	56.68	53.95	77.79	137.14	127.0	104.42	59.55	63.45	54.72	80.01	53.19	32.13	127.89	17.13	37.05	96.01	44.89	81.14	100.83	64.8	40.64	43.32	75.11	43.32	170.25	53.95	45.85	47.17	72.52	54.33	37.05	35.76	85.22	64.8	82.29	135.24	169.07	44.89	100.13	87.65	177.53	86.43	28.04	62.12	115.16	65.72	35.25	60.39	54.72	56.68	33.54	25.91	72.01	189.02	165.57	612.11	348.71	397.93
TUFT1	248.0	260.38	244.57	202.66	92.05	185.11	96.68	70.51	69.52	229.72	88.26	395.18	151.22	163.28	371.22	275.28	115.97	90.14	249.73	193.01	356.05	447.82	176.29	139.07	244.57	101.54	206.94	183.82	371.22	152.28	137.14	255.0	68.55	371.22	191.67	57.89	255.0	327.56	336.79	231.32	151.22	273.37	18.16	145.02	228.13	170.25	53.19	202.66	389.72	221.86	151.22	43.94	44.57	130.6	107.38	35.0	43.63	162.14	45.21	97.36	32.36	57.89	361.04	441.64	279.14	256.78	249.73
UHRF2	738.29	698.41	769.69	603.67	149.12	236.21	185.11	109.66	303.44	341.51	139.07	149.12	320.8	195.72	915.51	218.79	103.69	177.53	146.03	147.06	185.11	547.75	287.01	99.43	339.14	187.71	129.69	343.89	178.77	149.12	117.6	397.93	143.01	866.07	173.85	152.28	201.25	244.57	423.61	195.72	201.25	368.65	154.42	281.09	466.88	295.11	125.24	208.38	403.5	441.64	171.45	82.87	108.9	251.48	194.36	109.66	76.71	129.69	127.0	193.01	67.59	318.57	624.99	384.34	429.54	738.29	579.04
WDR11	854.13	738.29	825.0	759.08	647.07	329.84	371.22	307.69	450.94	466.88	454.09	426.57	476.71	591.22	836.53	295.11	339.14	435.55	423.61	470.14	325.29	525.39	329.84	423.61	281.09	371.22	376.41	518.15	571.05	249.73	339.14	447.82	336.79	647.07	480.04	289.02	555.41	454.09	1051.79	356.05	171.45	591.22	297.17	497.0	651.58	583.07	215.77	563.18	607.87	543.96	309.83	242.88	356.05	403.5	251.48	303.44	258.57	239.52	368.65	346.29	197.09	387.02	802.41	743.43	595.34	656.11	651.58
WHSC1	493.56	376.41	376.41	476.71	152.28	170.25	108.9	113.56	181.28	332.14	120.94	277.2	223.41	204.07	647.07	217.27	211.31	92.7	154.42	223.41	232.94	529.06	226.54	273.37	185.11	141.02	171.45	264.03	226.54	115.97	90.14	226.54	89.51	819.3	194.36	100.83	195.72	312.0	363.56	149.12	135.24	297.17	115.97	185.11	473.41	409.15	100.83	271.48	285.03	420.68	414.87	50.98	153.34	92.7	85.22	60.39	66.65	100.83	109.66	69.03	20.41	148.09	486.75	616.37	177.53	665.29	540.19
YEATS2	361.04	358.54	341.51	366.09	96.68	66.18	63.0	71.0	114.36	208.38	52.08	134.3	146.03	142.01	234.57	99.43	90.14	99.43	104.42	136.19	126.12	323.03	89.51	90.77	121.79	84.63	80.01	215.77	153.34	98.73	54.72	106.63	42.11	223.41	75.11	76.17	176.29	147.06	218.79	92.7	49.21	85.82	54.72	107.38	281.09	226.54	47.5	157.68	141.02	199.85	131.51	29.48	50.98	71.0	33.54	40.93	40.36	20.86	38.95	36.79	12.36	64.8	269.6	318.57	356.05	387.02	420.68
YOD1	105.15	79.45	83.45	124.37	63.89	60.39	33.54	35.0	45.53	72.01	52.45	115.97	92.7	63.0	135.24	69.52	35.5	63.45	100.13	72.01	92.05	185.11	96.68	56.28	155.5	37.85	115.16	82.87	98.73	26.1	36.79	103.69	44.89	170.25	82.29	60.82	88.26	121.79	173.85	73.54	34.02	226.54	31.67	45.85	169.07	120.94	65.72	81.14	78.34	138.1	71.5	24.99	21.47	60.82	76.71	40.07	50.27	111.21	20.86	46.84	34.26	53.19	177.53	241.19	69.03	101.54	109.66
ZBED5	1008.9	915.51	1104.13	884.29	110.43	199.85	165.57	81.71	214.27	291.04	150.17	244.57	373.81	195.72	629.35	281.09	204.07	264.03	148.09	309.83	167.9	583.07	253.23	178.77	301.33	127.0	144.01	267.73	246.28	127.0	127.0	256.78	108.9	348.71	180.02	183.82	189.02	334.46	674.59	140.04	148.09	256.78	144.01	218.79	563.18	480.04	182.55	305.55	209.84	389.72	267.73	37.85	122.64	256.78	111.99	136.19	198.47	82.29	78.34	129.69	29.91	88.88	967.76	733.19	791.35	743.43	738.29
ZBTB26	163.28	171.45	166.73	163.28	17.51	21.78	10.63	12.27	31.0	63.89	22.92	41.81	55.89	26.28	105.15	26.86	15.8	40.93	18.56	29.06	18.84	113.56	33.06	17.25	36.27	11.3	25.17	51.35	37.05	9.63	13.32	49.56	8.85	107.38	29.27	21.32	45.85	43.32	83.45	21.32	24.28	44.25	14.35	69.52	91.41	71.0	40.64	39.22	41.22	70.01	25.35	8.85	19.53	31.45	14.56	20.11	34.51	12.45	22.1	23.25	2.94	30.12	138.1	80.57	84.04	173.85	157.68
ZBTB5	246.28	289.02	281.09	220.32	55.49	141.02	85.82	65.72	105.89	214.27	102.97	172.65	144.01	165.57	353.59	103.69	40.93	122.64	74.06	55.49	72.52	275.28	129.69	48.52	169.07	54.72	115.97	127.89	85.82	78.34	53.95	197.09	71.5	341.51	129.69	77.79	173.85	152.28	283.05	71.5	115.97	242.88	76.71	142.01	214.27	275.28	97.36	117.6	162.14	229.72	191.67	76.71	77.25	61.68	70.01	78.34	164.42	81.71	63.89	169.07	145.02	126.12	232.94	153.34	161.02	175.07	205.5
ZDHHC13	283.05	271.48	293.07	234.57	9.93	17.25	26.28	13.93	28.45	96.68	13.83	84.04	112.77	36.27	214.27	33.3	11.21	36.53	16.75	65.72	70.01	269.6	103.69	94.67	121.79	4.35	53.19	71.0	74.58	39.5	6.31	57.89	10.39	237.86	11.47	23.76	16.27	37.59	185.11	50.63	6.36	115.16	19.82	10.16	173.85	102.97	6.46	110.43	41.22	100.13	40.07	12.0	13.03	94.67	14.78	8.85	53.19	29.7	24.11	100.83	2.48	25.91	279.14	253.23	129.69	198.47	256.78
ZDHHC17	775.05	665.29	825.0	503.95	122.64	136.19	53.95	74.06	111.21	153.34	97.36	146.03	232.94	144.01	381.68	94.01	162.14	125.24	88.88	133.36	88.88	255.0	104.42	84.04	209.84	60.82	76.17	193.01	172.65	46.5	51.71	142.01	65.72	279.14	119.26	93.35	186.4	197.09	262.2	69.03	42.71	185.11	62.12	149.12	320.8	384.34	91.41	316.37	150.17	224.97	159.9	34.02	73.54	212.78	68.07	69.52	59.13	70.51	61.25	89.51	37.32	116.78	450.94	309.83	447.82	575.03	400.71
ZDHHC6	878.17	836.53	854.13	780.44	684.02	525.39	397.93	166.73	595.34	802.41	490.14	665.29	656.11	435.55	1216.75	466.88	470.14	397.93	540.19	493.56	563.18	921.88	684.02	591.22	599.49	848.22	511.0	563.18	507.46	314.17	497.0	507.46	414.87	1304.15	486.75	579.04	518.15	753.83	866.07	460.44	438.59	830.75	447.82	587.13	693.58	775.05	336.79	785.88	633.73	967.76	928.3	293.07	346.29	480.04	450.94	457.25	323.03	275.28	403.5	403.5	206.94	500.46	713.11	693.58	629.35	693.58	890.44
ZMIZ1	1304.15	1417.35	1417.35	1044.52	287.01	158.79	126.12	199.85	124.37	291.04	127.89	262.2	521.76	305.55	633.73	275.28	193.01	201.25	307.69	299.25	323.03	934.76	130.6	237.86	301.33	152.28	209.84	480.04	265.87	141.02	101.54	366.09	113.56	738.29	339.14	154.42	289.02	409.15	480.04	323.03	109.66	612.11	119.26	146.03	921.88	547.75	183.82	503.95	334.46	470.14	312.0	152.28	223.41	224.97	172.65	81.14	75.11	99.43	182.55	95.34	127.89	82.87	1001.93	665.29	1286.18	1832.01	1119.56
ZMYM2	1051.79	825.0	967.76	954.43	358.54	255.0	172.65	122.64	400.71	420.68	175.07	221.86	429.54	332.14	688.78	297.17	205.5	211.31	175.07	291.04	172.65	435.55	351.14	287.01	167.9	150.17	170.25	379.04	187.71	215.77	116.78	341.51	191.67	447.82	208.38	264.03	460.44	260.38	400.71	194.36	121.79	460.44	204.07	273.37	480.04	460.44	138.1	587.13	406.31	665.29	460.44	98.73	182.55	336.79	181.28	94.01	283.05	543.96	191.67	256.78	114.36	127.89	872.1	642.59	426.57	759.08	902.89
ZNF100	163.28	121.79	85.22	159.9	4.28	7.28	14.24	9.7	17.0	37.05	9.13	24.81	23.59	27.25	97.36	19.25	18.03	34.75	11.21	12.18	14.14	95.34	22.92	21.63	29.91	7.11	4.86	22.1	36.53	5.77	5.15	9.2	8.99	64.34	23.08	9.85	17.0	20.41	31.0	4.74	9.56	50.27	4.94	14.45	37.32	39.22	17.25	32.59	45.53	41.81	57.89	10.79	29.7	13.93	5.63	16.39	10.31	17.25	8.38	16.03	11.73	27.84	71.0	135.24	93.35	94.01	120.1
ZNF135	164.42	215.77	214.27	191.67	4.54	5.63	4.9	1.28	39.5	96.01	16.88	3.89	47.5	8.0	94.67	6.36	18.84	17.38	24.28	9.34	39.5	138.1	2.58	4.98	94.01	4.62	6.94	27.64	81.71	5.92	3.44	14.56	2.63	127.0	4.17	9.06	20.71	76.17	46.5	43.32	1.62	54.72	3.59	4.7	19.11	22.1	2.2	61.68	2.43	132.44	5.28	5.5	6.94	9.27	4.9	13.22	5.28	1.77	11.13	3.11	0.56	1.95	40.07	111.21	384.34	100.83	152.28
ZNF202	239.52	293.07	255.0	195.72	48.87	58.3	28.86	43.02	56.28	98.73	75.11	127.0	120.1	72.52	323.03	52.82	66.18	76.71	87.65	100.83	64.8	176.29	35.5	47.5	59.97	60.82	37.59	98.04	94.01	59.97	40.07	113.56	46.84	244.57	48.87	66.65	96.01	98.73	117.6	68.55	41.52	104.42	31.45	78.89	237.86	79.45	59.97	114.36	72.52	190.34	67.12	23.59	34.75	44.89	41.22	15.11	36.27	54.72	31.45	33.78	7.0	45.85	187.71	139.07	162.14	223.41	239.52
