	TCGA.A7.A26G.01A.21R.A169.07	TCGA.BH.A1EV.11A.24R.A137.07	TCGA.E9.A1RF.11A.32R.A157.07	TCGA.E9.A1R7.11A.42R.A14M.07	TCGA.BH.A1FJ.11B.42R.A13Q.07	GTEX.W5X1.2326.SM.3GIL6	TCGA.B8.5552.11A.01R.1672.07	TCGA.49.6744.11A.01R.1858.07	TCGA.EJ.7331.01A.11R.2118.07	TCGA.CH.5765.01A.11R.1580.07	TCGA.KC.A4BN.01A.61R.A250.07	TCGA.XK.AAK1.01A.11R.A41O.07	TCGA.G9.7522.01A.11R.2263.07	TCGA.VP.A87J.01A.11R.A352.07	TCGA.EJ.5526.01A.01R.1580.07	TCGA.EJ.5503.01A.01R.1580.07	TCGA.VN.A943.01A.11R.A41O.07	TCGA.EJ.5527.01A.01R.1580.07	TCGA.EJ.A7NK.01A.12R.A352.07	TCGA.EJ.7794.01A.11R.2118.07	TCGA.VN.A88R.01A.11R.A36G.07	TCGA.G9.6351.01A.21R.1965.07	TCGA.XJ.A83H.01A.11R.A352.07	TCGA.J4.A67T.01A.11R.A311.07	TCGA.EJ.5516.01A.01R.1580.07	TCGA.EJ.AB27.01A.11R.A41O.07	TCGA.HC.7748.01A.11R.2118.07	TCGA.XK.AAIR.01A.11R.A41O.07	TCGA.G9.6333.01A.12R.1965.07	TCGA.V1.A8X3.01A.11R.A37L.07	TCGA.EJ.8474.01A.11R.2403.07	TCGA.V1.A8WN.01A.11R.A37L.07	TCGA.HC.7749.01A.11R.2118.07	TCGA.V1.A8ML.01A.11R.A37L.07	TCGA.EJ.5508.01A.02R.1580.07	TCGA.V1.A9Z9.01A.21R.A41O.07	TCGA.HC.8260.01A.11R.2263.07	TCGA.YL.A8SR.01B.11R.A37L.07	TCGA.VP.A87B.01A.11R.A352.07	TCGA.HC.7742.01A.11R.2118.07	TCGA.HC.7075.01A.11R.1965.07	TCGA.YL.A8SI.01A.11R.A41O.07	TCGA.V1.A8MU.01A.11R.A37L.07	TCGA.G9.6367.01A.11R.1789.07	TCGA.EJ.A8FO.01A.21R.A36G.07	TCGA.YL.A8SA.01A.21R.A37L.07	TCGA.CH.5763.01A.11R.1580.07	TCGA.HC.7738.01A.11R.2118.07	TCGA.CH.5753.01A.11R.1580.07	TCGA.J9.A8CN.01A.11R.A352.07	TCGA.G9.6371.01A.11R.1789.07	TCGA.EJ.8470.01A.11R.2403.07	TCGA.KK.A8IJ.01A.11R.A352.07	TCGA.EJ.A8FN.01A.11R.A352.07	TCGA.2A.AAYF.01A.11R.A41O.07	TCGA.EJ.A65G.01A.21R.A29R.07	TCGA.J4.8200.01A.11R.A29R.07	TCGA.EJ.5510.01A.01R.1580.07	TCGA.CH.5744.01A.11R.1580.07	TCGA.HC.8256.01A.11R.2263.07	TCGA.CH.5767.01A.11R.1789.07	TCGA.EJ.5517.01A.01R.1580.07	TCGA.EJ.5505.01A.01R.1580.07	TCGA.YL.A8SQ.01B.11R.A37L.07	TCGA.M7.A724.01A.12R.A32O.07	TCGA.HC.7080.01A.11R.1965.07	TCGA.EJ.7318.01B.11R.A32O.07	TCGA.EJ.7781.01A.11R.2118.07	TCGA.EJ.A7NJ.01A.22R.A352.07	TCGA.V1.A9OQ.01A.11R.A41O.07	TCGA.EJ.5522.01A.01R.1580.07	TCGA.EJ.7312.01B.21R.A32O.07	TCGA.ZG.A9L6.01A.11R.A41O.07	TCGA.G9.6353.01A.11R.1965.07	TCGA.YL.A9WJ.01A.11R.A37L.07	TCGA.H9.7775.01A.11R.2118.07	TCGA.2A.A8W1.01A.11R.A37L.07	TCGA.XK.AAJR.01A.11R.A41O.07	TCGA.J9.A8CP.01A.11R.A352.07	TCGA.QU.A6IP.01A.11R.A31N.07	TCGA.G9.7509.01A.11R.A41O.07	TCGA.V1.A8WL.01A.11R.A37L.07	TCGA.KK.A7B3.01A.11R.A33R.07	TCGA.EJ.7123.01A.11R.1965.07	TCGA.HC.7210.01A.11R.2118.07	TCGA.EJ.5496.01A.01R.1580.07	TCGA.EJ.5532.01A.01R.1580.07	TCGA.EJ.7793.01A.31R.2263.07	TCGA.EJ.7218.01B.11R.A32O.07	TCGA.J4.A83M.01A.11R.A352.07	TCGA.HC.7211.01A.11R.2118.07	TCGA.2A.AAYU.01A.11R.A41O.07	TCGA.HC.A8CY.01A.11R.A36G.07	TCGA.J4.AAU2.01A.11R.A41O.07	TCGA.XA.A8JR.01A.11R.A36G.07	TCGA.HC.8213.01A.11R.A29R.07	TCGA.EJ.5542.01A.01R.1580.07	TCGA.EJ.5515.01A.01R.1580.07	TCGA.CH.5789.01A.11R.1580.07	TCGA.EJ.A6RA.01A.11R.A33R.07	TCGA.Y6.A9XI.01A.11R.A41O.07	TCGA.EJ.5530.01A.01R.1580.07	TCGA.XJ.A83G.01A.11R.A352.07	TCGA.HC.8259.01A.11R.2263.07	TCGA.EJ.5497.01A.02R.1580.07	TCGA.G9.6332.01A.11R.1789.07	TCGA.EJ.5498.01A.01R.1580.07	TCGA.EJ.7786.01A.11R.2118.07	TCGA.EJ.5511.01A.01R.1580.07	TCGA.V1.A9OX.01A.11R.A41O.07	TCGA.G9.6494.01A.11R.1789.07	TCGA.VN.A88N.01A.11R.A36G.07	TCGA.HC.7078.01A.11R.2118.07	TCGA.ZG.A9ND.01A.11R.A41O.07	TCGA.CH.5748.01A.11R.1580.07	TCGA.KK.A7AU.01A.11R.A32O.07	TCGA.CH.5737.01A.11R.1580.07	TCGA.G9.7519.01A.11R.2263.07	TCGA.EJ.A8FP.01A.21R.A36G.07	TCGA.FC.A8O0.01A.41R.A37L.07	TCGA.2A.AAYO.01A.11R.A41O.07	TCGA.2A.A8VO.01A.11R.A37L.07	TCGA.XK.AAJA.01A.11R.A41O.07	TCGA.J4.A83N.01A.11R.A352.07	TCGA.EJ.7789.11A.01R.2118.07	TCGA.EJ.7327.11A.01R.2118.07	TCGA.EJ.7115.11A.01R.2118.07	TCGA.HC.8260.11A.01R.2263.07	TCGA.EJ.7797.11A.01R.2263.07	TCGA.G9.6351.11A.01R.1965.07	TCGA.G9.6384.11A.01R.1858.07	TCGA.EJ.7317.11A.01R.2118.07	TCGA.CH.5768.11A.01R.1580.07	TCGA.EJ.7314.11A.01R.2118.07	TCGA.HC.8259.11A.01R.2263.07	TCGA.G9.6342.11A.02R.1965.07	TCGA.EJ.7793.11A.01R.2263.07	TCGA.EJ.7331.11A.01R.2118.07	GTEX.WFG7.1826.SM.3GIL1
RNF215	183.82	166.73	92.7	149.12	110.43	85.22	165.57	195.72	406.31	309.83	329.84	571.05	334.46	214.27	246.28	384.34	423.61	303.44	454.09	363.56	796.86	392.44	476.71	246.28	253.23	438.59	348.71	454.09	525.39	483.38	432.53	351.14	256.78	551.56	271.48	438.59	503.95	547.75	769.69	379.04	316.37	426.57	603.67	314.17	417.77	500.46	379.04	450.94	258.57	435.55	384.34	555.41	376.41	450.94	363.56	420.68	299.25	332.14	379.04	466.88	441.64	271.48	363.56	511.0	759.08	909.17	460.44	334.46	518.15	507.46	314.17	753.83	384.34	356.05	409.15	312.0	536.45	612.11	713.11	500.46	490.14	406.31	363.56	490.14	420.68	314.17	368.65	303.44	571.05	392.44	264.03	373.81	583.07	450.94	381.68	358.54	242.88	236.21	258.57	444.72	616.37	403.5	723.08	454.09	277.2	387.02	271.48	361.04	480.04	518.15	395.18	599.49	460.44	587.13	371.22	656.11	412.0	279.14	417.77	503.95	387.02	358.54	656.11	551.56	379.04	251.48	368.65	397.93	412.0	305.55	234.57	358.54	371.22	307.69	348.71	297.17	289.02	283.05	295.11
SCAND1	403.5	267.73	287.01	265.87	170.25	29.48	316.37	612.11	1685.71	1127.35	2032.85	5147.73	2351.53	2739.08	819.3	3018.3	3467.27	836.53	2796.65	1437.15	4038.61	1628.26	3372.43	2915.45	928.3	3303.0	1733.13	2335.28	4066.71	2701.35	2956.17	1950.0	2255.7	4239.45	1151.06	3467.27	1685.71	2915.45	4268.94	2004.85	1977.24	3690.52	3146.52	2520.38	3467.27	3146.52	848.22	3395.89	1088.92	2758.13	1781.89	1605.83	2720.15	3742.05	4607.24	4123.49	2004.85	2303.12	3665.02	1662.49	2032.85	1331.57	1397.83	4181.07	2367.9	4388.98	5517.27	1870.53	3146.52	4972.34	1167.14	3280.18	3190.46	4512.4	3081.75	2303.12	3665.02	2133.97	3928.15	4181.07	3467.27	3794.3	3716.2	2664.15	2451.44	1417.35	1896.65	2303.12	4038.61	4419.52	1437.15	3190.46	3768.09	3716.2	4066.71	1819.35	836.53	785.88	1457.23	4123.49	2485.67	1936.53	5006.93	2255.7	1378.57	2609.3	1081.39	2627.46	1651.0	5255.91	2777.33	4239.45	2816.11	4937.99	1167.14	2701.35	2468.49	3395.89	3491.39	4869.99	4639.29	3443.31	4152.18	3235.01	2335.28	1519.15	1388.16	1963.57	2163.77	2502.97	1081.39	2047.0	1651.0	1628.26	1277.29	1991.0	1216.75	1277.29	954.43
SDF2L1	438.59	181.28	80.57	186.4	101.54	77.25	332.14	406.31	848.22	693.58	1037.29	2739.08	1340.84	791.35	447.82	1167.14	1073.91	381.68	1191.69	954.43	2209.26	1417.35	1733.13	1135.2	579.04	1757.34	1096.5	1359.57	1572.76	1572.76	1457.23	848.22	660.68	3690.52	693.58	1806.78	1233.75	3349.13	1250.98	2075.59	1268.46	1268.46	2163.77	1628.26	1477.58	3235.01	825.0	1295.13	267.73	1909.85	1733.13	1008.9	2627.46	1551.09	2224.63	1651.0	1340.84	961.07	2434.5	1427.22	1030.12	1594.73	896.64	890.44	2417.67	1378.57	2163.77	1037.29	1119.56	1685.71	587.13	3614.55	1242.34	1487.87	1540.37	1277.29	1208.34	1909.85	1594.73	1561.89	1250.98	2502.97	1498.22	1322.37	1199.98	733.19	1457.23	848.22	1407.55	1250.98	1088.92	1096.5	579.04	1923.14	1594.73	1119.56	540.19	595.34	981.29	1769.57	1674.06	813.63	3280.18	995.0	902.89	1350.18	525.39	1397.83	934.76	1769.57	1233.75	2032.85	1350.18	2287.2	890.44	1662.49	1662.49	2133.97	1437.15	2018.8	1963.57	1605.83	1331.57	2367.9	1066.48	866.07	981.29	1096.5	819.3	1250.98	1030.12	1044.52	642.59	947.83	884.29	1350.18	620.67	708.18	1322.37
SDSL	181.28	114.36	43.02	123.5	58.71	115.16	255.0	171.45	387.02	297.17	406.31	1059.11	633.73	559.28	242.88	480.04	500.46	327.56	518.15	444.72	854.13	647.07	336.79	599.49	438.59	476.71	470.14	514.56	559.28	486.75	293.07	297.17	633.73	780.44	299.25	718.08	470.14	511.0	525.39	293.07	457.25	595.34	514.56	651.58	514.56	361.04	318.57	599.49	138.1	1008.9	647.07	543.96	616.37	454.09	813.63	392.44	490.14	540.19	466.88	607.87	409.15	457.25	466.88	753.83	547.75	775.05	902.89	264.03	551.56	819.3	368.65	1015.93	642.59	595.34	802.41	525.39	363.56	647.07	974.5	748.61	376.41	540.19	463.65	587.13	529.06	460.44	511.0	426.57	733.19	320.8	287.01	536.45	256.78	507.46	567.1	567.1	368.65	305.55	406.31	718.08	420.68	303.44	713.11	521.76	373.81	371.22	244.57	395.18	258.57	947.83	435.55	314.17	536.45	785.88	334.46	500.46	884.29	684.02	476.71	713.11	738.29	500.46	426.57	624.99	414.87	293.07	444.72	540.19	476.71	669.92	503.95	339.14	403.5	332.14	500.46	460.44	423.61	497.0	392.44
SELO	150.17	148.09	143.01	214.27	94.67	73.03	102.25	287.01	647.07	409.15	791.35	1322.37	674.59	571.05	409.15	679.29	902.89	262.2	884.29	669.92	1508.65	651.58	981.29	909.17	237.86	775.05	591.22	723.08	1037.29	775.05	759.08	575.03	884.29	890.44	379.04	974.5	909.17	1030.12	1857.6	713.11	743.43	967.76	1183.45	674.59	764.36	796.86	368.65	830.75	327.56	1183.45	579.04	759.08	921.88	1001.93	947.83	1175.27	679.29	511.0	775.05	884.29	595.34	395.18	536.45	884.29	1199.98	1104.13	1295.13	603.67	780.44	928.3	381.68	1151.06	836.53	872.1	921.88	915.51	1135.2	878.17	1119.56	1096.5	684.02	1023.0	1233.75	665.29	514.56	332.14	633.73	638.15	967.76	1104.13	327.56	693.58	884.29	830.75	866.07	583.07	255.0	332.14	447.82	947.83	703.28	551.56	1498.22	819.3	417.77	591.22	287.01	651.58	571.05	1322.37	638.15	947.83	1104.13	954.43	616.37	947.83	780.44	796.86	836.53	1208.34	1111.82	1167.14	1388.16	1015.93	607.87	551.56	493.56	896.64	567.1	647.07	587.13	595.34	521.76	466.88	708.18	603.67	540.19	500.46	325.29
SGSM3	769.69	624.99	312.0	466.88	346.29	518.15	500.46	872.1	2609.3	2367.9	3564.78	5255.91	2351.53	1551.09	1883.54	3060.45	4388.98	1498.22	3768.09	2777.33	4388.98	3018.3	3820.7	3768.09	1088.92	3716.2	2209.26	3325.99	3443.31	3614.55	3146.52	2976.74	3515.68	4512.4	1909.85	4152.18	3847.29	5147.73	8963.45	3018.3	4210.15	3639.7	4543.8	2502.97	3690.52	3928.15	1844.76	3443.31	1605.83	5183.54	2384.37	3103.19	4671.57	4836.35	4671.57	5292.48	3874.05	2061.24	2384.37	4181.07	3190.46	2032.85	2502.97	3690.52	7331.05	5112.16	3955.48	3124.78	3419.52	2835.7	2178.83	6250.56	2935.74	2895.31	4210.15	3257.52	4802.93	3768.09	4152.18	4512.4	3280.18	4152.18	5183.54	3190.46	2555.58	2090.03	3212.66	2400.97	3982.99	3982.99	1721.16	3103.19	5633.22	3768.09	5292.48	3443.31	1467.37	1883.54	2645.74	4358.66	5751.61	2384.37	5076.84	3794.3	1733.13	1963.57	1551.09	3928.15	2148.82	4671.57	2777.33	6607.01	3928.15	4388.98	3039.3	4095.0	3190.46	3639.7	3124.78	3665.02	5329.3	5711.87	9540.5	3515.68	2434.5	2400.97	2434.5	3395.89	1923.14	2417.67	2367.9	2417.67	2502.97	1950.0	2855.44	2796.65	1923.14	1561.89	1781.89
SIL1	1167.14	988.12	1167.14	1417.35	884.29	514.56	1175.27	1175.27	1936.53	1757.34	2061.24	5076.84	2573.36	2537.92	1477.58	1950.0	2255.7	1745.2	2468.49	2163.77	3280.18	3146.52	2417.67	2739.08	2271.4	2367.9	1561.89	2400.97	2758.13	2758.13	2148.82	1721.16	2451.44	3303.0	1304.15	3395.89	2075.59	2796.65	2451.44	2502.97	1832.01	2816.11	3190.46	3491.39	2351.53	3928.15	1674.06	2485.67	1457.23	2956.17	2976.74	1806.78	2090.03	2090.03	2816.11	2351.53	2384.37	2061.24	2193.99	2417.67	2573.36	3060.45	1745.2	1963.57	3419.52	2502.97	3690.52	1561.89	2075.59	3690.52	1674.06	4181.07	2758.13	2739.08	2400.97	2367.9	1183.45	2485.67	2133.97	3190.46	2287.2	2502.97	3874.05	2335.28	1977.24	1883.54	2075.59	2133.97	2682.69	1498.22	1135.2	2351.53	1639.59	3146.52	3103.19	2502.97	1923.14	2240.11	1832.01	3395.89	2384.37	1662.49	5403.7	2956.17	2075.59	1844.76	1242.34	1594.73	2720.15	4328.55	2061.24	2935.74	2018.8	2400.97	1936.53	1685.71	3515.68	2956.17	2485.67	2537.92	3212.66	3124.78	2915.45	3325.99	1407.55	1605.83	2018.8	2240.11	1583.71	2835.7	2591.27	1733.13	1551.09	1259.69	2502.97	2835.7	1417.35	1487.87	1991.0
SIRT6	208.38	140.04	94.01	140.04	88.26	83.45	176.29	293.07	353.59	327.56	507.46	669.92	426.57	444.72	287.01	532.74	507.46	236.21	629.35	379.04	665.29	624.99	540.19	693.58	197.09	563.18	366.09	447.82	629.35	441.64	450.94	483.38	587.13	665.29	301.33	693.58	633.73	543.96	743.43	587.13	559.28	583.07	738.29	543.96	587.13	507.46	287.01	543.96	293.07	665.29	384.34	429.54	551.56	651.58	603.67	587.13	409.15	536.45	435.55	514.56	373.81	229.72	320.8	595.34	583.07	713.11	679.29	314.17	551.56	684.02	327.56	435.55	660.68	612.11	529.06	454.09	688.78	599.49	612.11	836.53	470.14	713.11	825.0	381.68	397.93	303.44	486.75	470.14	669.92	591.22	392.44	583.07	708.18	629.35	559.28	414.87	229.72	218.79	403.5	616.37	624.99	414.87	698.41	511.0	312.0	595.34	305.55	463.65	366.09	808.0	470.14	642.59	629.35	518.15	318.57	775.05	432.53	473.41	579.04	866.07	679.29	785.88	1001.93	567.1	483.38	450.94	447.82	624.99	490.14	599.49	389.72	414.87	423.61	400.71	543.96	454.09	389.72	361.04	435.55
SLX1A	178.77	119.26	152.28	199.85	117.6	98.73	135.24	110.43	287.01	256.78	336.79	376.41	412.0	518.15	183.82	379.04	417.77	204.07	559.28	215.77	371.22	353.59	231.32	432.53	301.33	358.54	356.05	511.0	444.72	371.22	444.72	181.28	373.81	540.19	295.11	463.65	447.82	348.71	358.54	703.28	316.37	403.5	521.76	414.87	406.31	629.35	236.21	414.87	309.83	476.71	285.03	438.59	457.25	351.14	575.03	376.41	305.55	289.02	684.02	406.31	336.79	176.29	305.55	426.57	323.03	703.28	785.88	224.97	497.0	438.59	241.19	603.67	389.72	559.28	587.13	480.04	336.79	447.82	441.64	563.18	540.19	703.28	651.58	316.37	281.09	358.54	316.37	339.14	325.29	575.03	309.83	301.33	708.18	289.02	532.74	187.71	211.31	251.48	273.37	674.59	567.1	351.14	785.88	376.41	358.54	497.0	309.83	215.77	320.8	769.69	463.65	1081.39	293.07	480.04	229.72	417.77	234.57	387.02	435.55	532.74	624.99	358.54	507.46	500.46	291.04	217.27	283.05	400.71	343.89	379.04	295.11	371.22	117.6	194.36	258.57	339.14	366.09	103.69	141.02
SUPT5H	1697.45	1191.69	981.29	1388.16	1081.39	1498.22	1508.65	1950.0	2193.99	1896.65	2645.74	3257.52	2018.8	2627.46	2451.44	2875.3	2434.5	1662.49	2875.3	2255.7	2148.82	2133.97	2537.92	2835.7	1923.14	3168.41	2271.4	2682.69	2520.38	2434.5	2163.77	2209.26	2502.97	2502.97	2209.26	3235.01	2468.49	2855.44	3589.58	2351.53	2609.3	2895.31	2835.7	2434.5	2701.35	2627.46	2104.58	2417.67	2047.0	2573.36	2287.2	2335.28	3190.46	2468.49	3168.41	3716.2	1896.65	2335.28	2664.15	2555.58	2434.5	1991.0	2224.63	2468.49	3515.68	3257.52	2367.9	2224.63	2303.12	2816.11	1806.78	3820.7	3081.75	2739.08	2537.92	2047.0	2417.67	2720.15	2255.7	3146.52	2417.67	3639.7	3467.27	2367.9	2319.15	1529.73	2400.97	2178.83	2976.74	2855.44	2591.27	2609.3	2451.44	3257.52	3280.18	2090.03	1674.06	2061.24	2335.28	3540.14	2701.35	2701.35	3190.46	1991.0	1806.78	2468.49	2047.0	2032.85	2255.7	3467.27	2163.77	3212.66	2720.15	2609.3	2271.4	3124.78	2468.49	2319.15	2240.11	3515.68	3235.01	3742.05	4095.0	2573.36	1709.26	2047.0	1832.01	2502.97	2133.97	2485.67	3349.13	1923.14	2335.28	1950.0	2682.69	2032.85	1909.85	1844.76	2485.67
TCEB2	4328.55	3564.78	3540.14	3303.0	2224.63	3018.3	2537.92	6935.54	5995.9	6207.38	10296.45	16383.0	8421.31	10084.54	5147.73	8022.41	8022.41	5329.3	8022.41	5594.3	16960.78	13681.08	7180.15	9151.82	4639.29	9151.82	5219.6	8840.04	13399.51	8901.53	9474.59	7032.37	7331.05	12764.83	4736.79	14065.74	9673.69	12160.22	12415.75	9215.48	7695.57	10084.54	12502.12	12415.75	8538.88	8247.98	5517.27	9474.59	3491.39	13872.08	9088.59	7485.11	9540.5	8479.89	11112.3	11424.74	10659.59	8538.88	6652.97	9088.59	8191.0	8191.0	6699.25	10296.45	12764.83	9474.59	17437.64	4769.75	7642.41	19082.0	5255.91	18950.18	10959.3	10084.54	8363.13	6607.01	11112.3	10368.08	9808.75	11345.82	10084.54	12676.65	11267.44	8598.28	7032.37	4903.87	8247.98	8538.88	11424.74	8305.36	6294.04	9025.81	11424.74	12764.83	10368.08	10014.87	4704.07	5913.33	5076.84	10808.41	9673.69	5329.3	16269.83	11827.67	5329.3	10585.95	6164.49	7966.99	7382.04	13306.94	7695.57	11909.94	10225.32	14065.74	5995.9	11189.6	9279.58	12676.65	7857.29	15180.22	13492.72	14765.09	9409.14	9673.69	9025.81	8963.45	8421.31	10733.74	11112.3	12943.04	10296.45	7180.15	6516.03	6164.49	14867.79	16843.62	7695.57	6561.36	5219.6
TESK1	314.17	575.03	988.12	921.88	400.71	603.67	265.87	607.87	896.64	780.44	1277.29	1127.35	896.64	769.69	567.1	947.83	1135.2	665.29	1127.35	780.44	1498.22	1167.14	1159.07	1457.23	518.15	967.76	791.35	866.07	1628.26	1143.1	802.41	1051.79	928.3	1277.29	567.1	1151.06	1059.11	1295.13	1467.37	1081.39	1001.93	1175.27	1259.69	1151.06	1023.0	1175.27	753.83	1135.2	854.13	1225.22	884.29	796.86	1044.52	1151.06	1073.91	1073.91	679.29	733.19	1015.93	878.17	988.12	660.68	808.0	1447.15	1259.69	1369.04	1250.98	718.08	1015.93	1088.92	665.29	1199.98	1268.46	1313.23	1096.5	974.5	1015.93	1135.2	1199.98	1313.23	1151.06	1127.35	1594.73	941.27	1037.29	688.78	854.13	890.44	1073.91	1175.27	791.35	961.07	1001.93	1359.57	1268.46	616.37	595.34	708.18	785.88	967.76	1183.45	866.07	1242.34	967.76	679.29	769.69	669.92	896.64	872.1	1519.15	896.64	1359.57	1191.69	1277.29	830.75	1216.75	1023.0	1044.52	915.51	1199.98	1277.29	1216.75	1757.34	981.29	642.59	813.63	860.08	1151.06	679.29	1304.15	1088.92	884.29	802.41	974.5	947.83	884.29	947.83	921.88	796.86
TMEM160	70.51	66.65	66.65	104.42	36.27	31.0	98.73	127.0	112.77	112.77	62.56	684.02	114.36	202.66	46.5	229.72	267.73	65.72	258.57	70.01	226.54	106.63	212.78	100.83	68.07	264.03	112.77	178.77	156.59	165.57	231.32	145.02	139.07	432.53	95.34	299.25	111.99	215.77	368.65	167.9	164.42	361.04	381.68	218.79	206.94	312.0	62.12	197.09	73.03	353.59	138.1	149.12	181.28	460.44	379.04	265.87	111.21	149.12	183.82	146.03	152.28	83.45	106.63	281.09	193.01	688.78	525.39	133.36	255.0	376.41	97.36	470.14	248.0	291.04	165.57	146.03	208.38	187.71	239.52	291.04	301.33	244.57	356.05	177.53	183.82	125.24	97.36	151.22	273.37	217.27	77.79	253.23	195.72	429.54	279.14	71.0	52.08	50.63	108.14	483.38	267.73	110.43	473.41	140.04	100.83	181.28	87.65	195.72	116.78	432.53	224.97	144.01	133.36	395.18	66.65	194.36	156.59	277.2	239.52	441.64	432.53	281.09	400.71	289.02	214.27	114.36	111.99	144.01	122.64	149.12	108.9	193.01	137.14	164.42	73.03	158.79	88.26	77.25	84.04
TMEM208	884.29	860.08	718.08	698.41	620.67	514.56	713.11	1044.52	1143.1	1313.23	1685.71	3716.2	1519.15	1674.06	1119.56	1583.71	1923.14	884.29	1572.76	842.36	3235.01	2163.77	1322.37	1963.57	1233.75	1832.01	1066.48	1277.29	2240.11	1199.98	1583.71	1159.07	1427.22	2451.44	1143.1	2417.67	1709.26	1233.75	2075.59	1304.15	1909.85	1896.65	1936.53	1844.76	1572.76	2193.99	1175.27	1721.16	1066.48	1844.76	1819.35	954.43	1674.06	1769.57	2240.11	2209.26	1721.16	1662.49	1721.16	1781.89	1745.2	1498.22	1378.57	1369.04	2255.7	2004.85	1733.13	1159.07	1540.37	3190.46	988.12	476.71	1733.13	1844.76	1857.6	1639.59	1662.49	1304.15	1286.18	2240.11	1583.71	1991.0	1498.22	1143.1	1388.16	1199.98	1977.24	1519.15	2163.77	1651.0	1225.22	1844.76	860.08	2367.9	1896.65	1628.26	1015.93	1250.98	1199.98	2061.24	1950.0	1159.07	2104.58	1745.2	1143.1	2434.5	954.43	1487.87	1088.92	2502.97	1819.35	1498.22	2367.9	2090.03	1498.22	967.76	1806.78	2271.4	1628.26	1733.13	2451.44	2104.58	1781.89	1923.14	1572.76	1447.15	1685.71	1757.34	1733.13	1923.14	1709.26	1447.15	1369.04	1111.82	1936.53	2609.3	1250.98	1208.34	1331.57
TMEM238	17.0	15.34	3.72	8.32	10.96	8.32	23.08	46.84	154.42	113.56	104.42	1015.93	121.79	169.07	49.21	145.02	633.73	76.71	376.41	156.59	392.44	81.14	332.14	163.28	50.27	373.81	100.13	353.59	189.02	267.73	309.83	236.21	153.34	435.55	74.06	503.95	105.89	232.94	934.76	171.45	234.57	612.11	366.09	217.27	299.25	432.53	38.12	293.07	74.58	633.73	159.9	89.51	314.17	674.59	808.0	543.96	134.3	120.1	189.02	220.32	265.87	102.25	140.04	450.94	341.51	493.56	583.07	121.79	389.72	620.67	94.01	303.44	314.17	373.81	343.89	244.57	426.57	279.14	295.11	289.02	356.05	373.81	493.56	305.55	128.79	139.07	94.67	170.25	669.92	571.05	73.54	336.79	314.17	819.3	514.56	156.59	48.18	40.93	96.01	529.06	293.07	143.01	808.0	154.42	103.69	217.27	69.52	307.69	129.69	728.11	237.86	571.05	318.57	379.04	106.63	249.73	171.45	271.48	341.51	295.11	836.53	497.0	460.44	395.18	159.9	90.14	96.01	108.9	99.43	118.43	74.06	165.57	147.06	100.83	43.63	148.09	50.63	31.67	100.13
TPGS1	8.51	7.75	19.97	38.4	13.22	0.0	16.15	47.84	103.69	39.5	82.29	346.29	141.02	173.85	29.7	169.07	249.73	31.67	218.79	71.0	224.97	78.89	209.84	150.17	25.91	199.85	117.6	166.73	251.48	185.11	256.78	137.14	107.38	269.6	77.79	164.42	73.54	181.28	236.21	133.36	67.12	275.28	289.02	98.04	251.48	320.8	29.48	183.82	64.34	320.8	35.0	98.04	202.66	309.83	258.57	275.28	128.79	96.01	211.31	103.69	89.51	26.28	59.55	289.02	41.81	470.14	406.31	150.17	226.54	147.06	62.56	178.77	170.25	267.73	190.34	163.28	217.27	181.28	361.04	189.02	221.86	214.27	212.78	123.5	172.65	87.03	35.5	90.77	202.66	262.2	81.71	206.94	295.11	246.28	249.73	63.0	11.82	17.25	105.15	323.03	136.19	84.04	336.79	96.68	75.11	89.51	55.1	171.45	85.82	246.28	112.77	307.69	95.34	241.19	21.63	112.77	67.12	156.59	339.14	279.14	246.28	124.37	253.23	246.28	201.25	65.72	45.85	93.35	158.79	124.37	21.78	150.17	82.29	171.45	13.12	64.34	48.52	67.59	23.25
TRABD	293.07	229.72	88.26	176.29	128.79	68.55	212.78	414.87	738.29	547.75	974.5	1023.0	642.59	896.64	540.19	872.1	954.43	493.56	1159.07	718.08	1477.58	698.41	1159.07	1167.14	368.65	988.12	813.63	902.89	728.11	1023.0	1001.93	698.41	836.53	1119.56	571.05	1066.48	1088.92	1268.46	1781.89	1037.29	748.61	1001.93	1437.15	674.59	1008.9	1551.09	460.44	866.07	260.38	1331.57	718.08	967.76	1008.9	1359.57	967.76	1350.18	748.61	651.58	1233.75	1037.29	808.0	420.68	563.18	1073.91	1794.29	1268.46	1407.55	884.29	954.43	1015.93	612.11	1794.29	974.5	825.0	1437.15	684.02	988.12	902.89	981.29	1407.55	934.76	1191.69	1167.14	988.12	723.08	536.45	780.44	647.07	1111.82	1059.11	514.56	764.36	1183.45	1008.9	1143.1	902.89	470.14	400.71	674.59	1001.93	967.76	848.22	1594.73	974.5	624.99	759.08	493.56	967.76	688.78	1369.04	669.92	1417.35	1159.07	1259.69	808.0	1417.35	813.63	785.88	1023.0	1397.83	1199.98	1295.13	1674.06	1369.04	629.35	595.34	532.74	860.08	651.58	629.35	567.1	575.03	529.06	603.67	612.11	665.29	532.74	493.56	363.56
