	TCGA.XF.AAN8.01A.11R.A42T.07	TCGA.DK.A3IQ.01A.31R.A32Y.07	TCGA.XF.AAMJ.01A.11R.A42T.07	TCGA.CU.A0YN.11A.11R.A10U.07	TCGA.HN.A2OB.01A.21R.A27Q.07	TCGA.C8.A8HR.01A.11R.A36F.07	TCGA.BH.A0AZ.01A.21R.A12P.07	TCGA.A2.A0CZ.01A.11R.A034.07	TCGA.AC.A3W7.01A.11R.A22K.07	TCGA.BH.A208.01A.11R.A157.07	TCGA.AC.A3W6.01A.12R.A22K.07	TCGA.E2.A1IO.01A.11R.A144.07	TCGA.AN.A0FD.01A.11R.A034.07	TCGA.A1.A0SI.01A.11R.A144.07	TCGA.AC.A8OS.01A.12R.A41B.07	TCGA.LL.A440.01A.11R.A24H.07	TCGA.AN.A03X.01A.21R.A00Z.07	TCGA.AO.A0J5.01A.11R.A034.07	TCGA.AC.A23G.01A.11R.A213.07	TCGA.A1.A0SH.01A.11R.A084.07	TCGA.A2.A0CS.01A.11R.A115.07	TCGA.BH.A0DV.01A.21R.A12P.07	TCGA.AN.A04A.01A.21R.A034.07	TCGA.AQ.A7U7.01A.22R.A352.07	TCGA.EW.A2FR.01A.11R.A21T.07	TCGA.AO.A0JA.01A.11R.A056.07	TCGA.A2.A0CP.01A.11R.A034.07	TCGA.BH.A6R9.01A.21R.A32P.07	TCGA.E9.A22E.01A.11R.A157.07	TCGA.LD.A74U.01A.13R.A33J.07	TCGA.AC.A3W5.01A.11R.A22K.07	TCGA.E9.A1NF.01A.11R.A14D.07	TCGA.AR.A2LQ.01A.22R.A18M.07	TCGA.BH.A0DI.01A.21R.A12P.07	TCGA.BH.A0H7.01A.13R.A056.07	TCGA.A8.A07G.01A.11R.A034.07	TCGA.AN.A0FN.01A.11R.A034.07	GTEX.T5JW.2026.SM.4DM63	GTEX.TML8.0726.SM.4DXTT	TCGA.A6.6781.01A.22R.1928.07	TCGA.AD.6901.01A.11R.1928.07	TCGA.WS.AB45.01A.11R.A41B.07	TCGA.A6.A566.01A.11R.A28H.07	TCGA.D5.6534.01A.21R.1928.07	TCGA.AY.6196.01A.11R.1723.07	TCGA.F4.6703.01A.11R.1839.07	TCGA.AZ.6607.01A.11R.1839.07	TCGA.F4.6855.01A.11R.1928.07	TCGA.L5.A4OO.01A.11R.A260.31	TCGA.CV.7435.01A.11R.2132.07	TCGA.CN.6016.01A.11R.1686.07	TCGA.CR.6474.01A.11R.1873.07	TCGA.CR.5247.01A.01R.2016.07	TCGA.BA.5557.01A.01R.1514.07	TCGA.CR.7376.01A.11R.2132.07	TCGA.CQ.6224.01A.11R.1915.07	TCGA.QK.A8Z9.01B.11R.A39I.07	TCGA.CQ.6221.01A.11R.2081.07	TCGA.IQ.A61O.01A.11R.A30B.07	TCGA.HD.7831.01A.11R.2132.07	TCGA.CR.7401.01A.11R.2016.07	TCGA.CN.6019.01A.11R.1686.07	TCGA.CN.4728.01A.01R.1436.07	TCGA.CR.7386.01A.11R.2016.07	TCGA.CR.7397.01A.11R.2016.07	TCGA.BP.4971.01A.01R.1334.07	TCGA.44.6774.01A.21R.1858.07	TCGA.93.A4JQ.01A.11R.A24X.07	TCGA.50.8459.01A.11R.2326.07	TCGA.49.AAR4.01A.12R.A41B.07	TCGA.93.A4JN.01A.11R.A24X.07	TCGA.98.A53D.01A.32R.A262.07	TCGA.85.6175.01A.11R.1820.07	TCGA.77.8008.01A.21R.2187.07	TCGA.98.A53H.01A.12R.A262.07	TCGA.85.8582.01A.21R.2403.07	TCGA.F5.6702.01A.11R.1830.07	TCGA.BR.A4IZ.01A.32R.A251.31	TCGA.VQ.A91A.01A.11R.A414.31	TCGA.KB.A93G.01A.11R.A39E.31	TCGA.ET.A3BV.01A.11R.A19O.07	GTEX.12WSB.0726.SM.5N9GD	TCGA.NA.A4R0.01A.11R.A28V.07
FBF1	101.54	127.0	273.37	119.26	166.73	305.55	111.21	90.77	162.14	39.79	132.44	199.85	57.08	155.5	156.59	307.69	54.72	82.87	144.01	111.99	110.43	96.01	26.86	281.09	87.03	115.16	147.06	108.14	50.98	166.73	175.07	103.69	139.07	148.09	78.34	135.24	98.73	133.36	134.3	118.43	119.26	135.24	214.27	124.37	221.86	156.59	96.68	147.06	612.11	73.03	78.89	65.72	43.32	24.81	98.04	54.72	332.14	64.34	113.56	81.14	104.42	94.01	100.13	52.45	74.58	206.94	73.03	356.05	130.6	444.72	314.17	163.28	159.9	187.71	267.73	239.52	129.69	108.9	265.87	138.1	287.01	341.51	189.02
FBXL8	99.43	325.29	303.44	70.01	239.52	218.79	90.77	105.15	457.25	57.08	339.14	153.34	77.25	144.01	536.45	429.54	98.04	102.25	180.02	104.42	96.68	76.17	53.95	429.54	229.72	111.99	124.37	107.38	65.26	441.64	353.59	142.01	142.01	119.26	135.24	50.63	69.52	236.21	435.55	175.07	529.06	190.34	358.54	253.23	463.65	100.13	144.01	271.48	651.58	95.34	137.14	74.58	131.51	63.45	55.89	54.33	242.88	104.42	169.07	92.7	81.71	105.89	85.22	54.33	77.25	688.78	169.07	336.79	264.03	454.09	559.28	329.84	81.71	267.73	363.56	239.52	151.22	336.79	620.67	599.49	281.09	351.14	237.86
FCHSD1	241.19	363.56	325.29	93.35	285.03	316.37	186.4	181.28	473.41	143.01	400.71	209.84	248.0	173.85	476.71	543.96	77.25	209.84	187.71	151.22	92.7	183.82	116.78	579.04	299.25	88.88	226.54	329.84	273.37	473.41	341.51	169.07	242.88	150.17	59.97	283.05	223.41	190.34	175.07	503.95	748.61	392.44	371.22	669.92	567.1	361.04	497.0	514.56	866.07	201.25	152.28	85.82	126.12	191.67	146.03	77.25	217.27	76.71	214.27	155.5	88.88	218.79	130.6	87.03	150.17	988.12	208.38	1059.11	511.0	872.1	748.61	579.04	242.88	420.68	480.04	221.86	351.14	265.87	336.79	316.37	426.57	713.11	327.56
FHOD1	1037.29	423.61	525.39	214.27	426.57	842.36	599.49	571.05	890.44	379.04	961.07	620.67	384.34	764.36	872.1	860.08	191.67	373.81	543.96	417.77	277.2	450.94	587.13	909.17	848.22	373.81	450.94	941.27	518.15	934.76	967.76	1015.93	529.06	688.78	351.14	356.05	708.18	1151.06	480.04	723.08	1208.34	1242.34	1378.57	961.07	1015.93	934.76	307.69	830.75	896.64	341.51	718.08	521.76	371.22	536.45	514.56	490.14	802.41	656.11	796.86	540.19	718.08	412.0	518.15	420.68	373.81	2133.97	988.12	1617.0	934.76	3060.45	1781.89	2148.82	579.04	633.73	1023.0	543.96	511.0	830.75	830.75	1127.35	1378.57	995.0	638.15
FLJ00104	10.16	18.43	34.51	21.94	19.53	28.04	8.19	23.93	37.85	10.55	41.52	21.47	12.55	18.7	38.95	56.68	0.91	16.51	14.03	11.64	5.5	6.46	16.51	52.45	25.91	9.27	21.16	19.82	7.75	30.56	24.28	11.21	19.82	18.7	9.56	13.52	15.11	53.57	33.78	29.27	132.44	28.24	68.55	68.55	105.15	50.63	32.13	84.63	115.16	12.64	12.36	8.32	7.63	4.7	13.93	10.79	20.41	12.64	8.71	16.15	11.55	17.0	49.21	11.04	15.11	126.12	24.81	70.51	22.75	108.9	111.99	70.51	24.28	30.56	54.33	31.45	53.19	37.05	54.72	44.89	25.17	64.8	43.02
FNBP4	571.05	629.35	551.56	336.79	884.29	947.83	693.58	547.75	1135.2	660.68	743.43	872.1	518.15	660.68	1529.73	1304.15	267.73	723.08	551.56	466.88	389.72	486.75	450.94	1467.37	753.83	463.65	595.34	780.44	543.96	1066.48	507.46	684.02	872.1	591.22	255.0	486.75	909.17	842.36	718.08	902.89	2434.5	1378.57	1259.69	1313.23	2148.82	1313.23	866.07	1651.0	2271.4	384.34	334.46	289.02	172.65	197.09	414.87	283.05	796.86	334.46	454.09	612.11	185.11	503.95	543.96	246.28	429.54	1977.24	679.29	1757.34	1001.93	1721.16	1407.55	1781.89	842.36	974.5	1378.57	947.83	1183.45	921.88	1359.57	1936.53	1104.13	1250.98	748.61
GABBR1	256.78	279.14	171.45	253.23	616.37	571.05	293.07	336.79	583.07	181.28	503.95	239.52	201.25	162.14	547.75	728.11	269.6	218.79	237.86	215.77	142.01	182.55	221.86	1088.92	381.68	279.14	463.65	490.14	218.79	463.65	363.56	244.57	351.14	329.84	155.5	267.73	341.51	616.37	483.38	463.65	1096.5	480.04	878.17	381.68	1369.04	412.0	397.93	420.68	1457.23	132.44	102.97	100.83	96.01	85.22	111.21	82.87	356.05	151.22	323.03	158.79	73.54	231.32	183.82	57.08	138.1	836.53	224.97	830.75	612.11	791.35	559.28	791.35	406.31	540.19	684.02	395.18	490.14	409.15	532.74	679.29	441.64	1037.29	575.03
GALT	629.35	543.96	587.13	438.59	420.68	540.19	521.76	363.56	463.65	373.81	674.59	301.33	215.77	281.09	616.37	769.69	320.8	389.72	466.88	264.03	819.3	307.69	211.31	921.88	397.93	376.41	518.15	540.19	303.44	603.67	620.67	246.28	429.54	327.56	281.09	148.09	518.15	967.76	748.61	902.89	1572.76	559.28	819.3	583.07	921.88	525.39	559.28	748.61	728.11	214.27	656.11	361.04	231.32	403.5	1896.65	703.28	1066.48	490.14	693.58	351.14	316.37	435.55	397.93	743.43	387.02	1304.15	698.41	1191.69	688.78	974.5	854.13	743.43	400.71	1037.29	896.64	559.28	974.5	483.38	532.74	381.68	866.07	1233.75	603.67
GIGYF1	220.32	400.71	400.71	285.03	688.78	529.06	161.02	373.81	1104.13	164.42	693.58	429.54	264.03	295.11	1216.75	842.36	151.22	361.04	450.94	244.57	156.59	190.34	148.09	830.75	253.23	301.33	343.89	376.41	132.44	713.11	529.06	241.19	356.05	246.28	169.07	148.09	239.52	414.87	575.03	525.39	954.43	624.99	579.04	665.29	842.36	403.5	447.82	819.3	813.63	151.22	303.44	90.77	175.07	117.6	262.2	187.71	275.28	218.79	244.57	392.44	187.71	312.0	226.54	119.26	232.94	954.43	305.55	791.35	473.41	921.88	854.13	480.04	305.55	432.53	629.35	336.79	559.28	423.61	651.58	629.35	470.14	612.11	486.75
GOLGA8A	293.07	529.06	384.34	74.58	514.56	909.17	173.85	139.07	518.15	147.06	412.0	414.87	20.41	124.37	813.63	1388.16	7.22	76.71	131.51	121.79	36.01	72.52	25.72	915.51	438.59	54.72	262.2	406.31	182.55	583.07	412.0	197.09	248.0	142.01	84.63	149.12	175.07	813.63	603.67	507.46	642.59	633.73	674.59	642.59	2193.99	642.59	180.02	363.56	3443.31	66.65	77.79	18.29	47.17	12.83	37.59	21.78	497.0	34.02	490.14	67.59	47.17	92.7	251.48	16.51	100.13	642.59	249.73	1498.22	890.44	2018.8	1977.24	915.51	287.01	813.63	1151.06	1467.37	473.41	476.71	1437.15	1407.55	1051.79	1127.35	1225.22
GOLGA8B	117.6	204.07	281.09	49.91	417.77	287.01	139.07	72.01	759.08	76.71	260.38	297.17	16.03	94.67	896.64	503.95	47.84	30.34	74.06	90.77	56.68	52.82	20.71	1322.37	223.41	145.02	163.28	251.48	67.12	536.45	329.84	289.02	127.89	226.54	85.82	136.19	214.27	647.07	156.59	353.59	1151.06	432.53	426.57	825.0	2193.99	248.0	314.17	226.54	2319.15	29.06	40.07	22.75	37.32	7.28	32.36	39.5	429.54	46.5	293.07	53.19	65.26	74.58	123.5	30.12	65.72	2303.12	214.27	1397.83	325.29	1175.27	1096.5	1397.83	336.79	343.89	1233.75	607.87	616.37	265.87	785.88	612.11	1051.79	412.0	400.71
GTPBP2	660.68	1135.2	713.11	432.53	624.99	1159.07	555.41	620.67	860.08	769.69	848.22	713.11	669.92	802.41	848.22	954.43	567.1	579.04	536.45	450.94	457.25	507.46	320.8	1832.01	1030.12	753.83	514.56	854.13	669.92	860.08	941.27	579.04	616.37	555.41	435.55	343.89	708.18	698.41	470.14	836.53	1529.73	896.64	1183.45	921.88	1639.59	1143.1	808.0	733.19	1819.35	559.28	947.83	543.96	748.61	866.07	638.15	583.07	1487.87	688.78	1008.9	915.51	713.11	860.08	633.73	872.1	1008.9	1977.24	995.0	1617.0	1369.04	1498.22	2875.3	1175.27	1088.92	1407.55	1286.18	1183.45	1073.91	595.34	1242.34	1268.46	1295.13	1208.34	1313.23
HCN3	14.14	55.49	53.57	31.67	56.68	81.14	46.84	31.0	65.26	27.25	51.71	34.75	42.71	73.54	48.52	76.71	33.78	38.12	54.33	22.26	35.76	40.36	19.25	130.6	51.35	36.79	44.25	34.75	58.3	68.07	165.57	47.5	40.93	33.78	32.82	32.82	31.0	43.63	107.38	40.36	187.71	89.51	114.36	36.79	67.12	33.3	54.33	144.01	223.41	26.28	22.75	18.7	11.3	19.53	19.25	17.25	38.12	13.52	62.12	31.9	18.29	38.95	35.0	16.88	29.48	109.66	39.22	69.52	70.01	120.1	139.07	48.18	38.4	38.67	73.03	55.49	80.01	38.12	108.14	48.87	72.52	60.39	37.59
HDAC10	575.03	567.1	1151.06	145.02	450.94	1015.93	262.2	327.56	633.73	177.53	934.76	476.71	303.44	356.05	915.51	808.0	536.45	470.14	387.02	256.78	295.11	334.46	202.66	791.35	327.56	336.79	226.54	368.65	228.13	743.43	616.37	366.09	346.29	361.04	884.29	236.21	299.25	444.72	708.18	802.41	1388.16	466.88	836.53	684.02	748.61	620.67	295.11	1073.91	1651.0	356.05	441.64	563.18	329.84	255.0	366.09	199.85	476.71	312.0	616.37	241.19	351.14	723.08	466.88	314.17	353.59	1617.0	361.04	974.5	890.44	1551.09	1088.92	1030.12	466.88	813.63	1135.2	457.25	764.36	629.35	514.56	620.67	607.87	941.27	547.75
HINFP	251.48	343.89	297.17	228.13	325.29	525.39	258.57	212.78	529.06	412.0	473.41	417.77	323.03	341.51	397.93	358.54	80.01	371.22	314.17	171.45	332.14	195.72	224.97	466.88	231.32	140.04	454.09	343.89	239.52	507.46	218.79	234.57	237.86	253.23	165.57	246.28	381.68	368.65	373.81	371.22	490.14	351.14	500.46	503.95	457.25	312.0	438.59	540.19	457.25	190.34	242.88	125.24	149.12	156.59	236.21	199.85	273.37	88.88	244.57	336.79	271.48	289.02	301.33	220.32	190.34	679.29	420.68	483.38	429.54	579.04	540.19	486.75	379.04	327.56	432.53	318.57	525.39	260.38	287.01	406.31	500.46	571.05	493.56
HOOK2	353.59	638.15	728.11	221.86	878.17	1340.84	299.25	503.95	2075.59	463.65	1467.37	743.43	500.46	660.68	2255.7	1437.15	603.67	1191.69	679.29	466.88	368.65	466.88	291.04	1369.04	441.64	775.05	669.92	381.68	463.65	1709.26	1051.79	780.44	928.3	647.07	301.33	575.03	441.64	1030.12	348.71	753.83	2573.36	381.68	1225.22	842.36	1397.83	633.73	511.0	1359.57	995.0	361.04	1127.35	291.04	303.44	155.5	318.57	162.14	738.29	287.01	334.46	371.22	511.0	728.11	435.55	309.83	514.56	2032.85	414.87	1313.23	693.58	1639.59	1594.73	1498.22	748.61	743.43	1225.22	878.17	460.44	400.71	1447.15	738.29	1378.57	1551.09	669.92
HSF4	890.44	624.99	1167.14	267.73	432.53	660.68	197.09	202.66	1119.56	98.04	941.27	769.69	177.53	426.57	1628.26	1322.37	194.36	253.23	162.14	116.78	121.79	177.53	88.88	1757.34	493.56	130.6	258.57	301.33	291.04	1088.92	785.88	674.59	234.57	262.2	275.28	120.1	212.78	551.56	1832.01	575.03	1977.24	361.04	1936.53	848.22	2682.69	339.14	217.27	1605.83	3018.3	83.45	122.64	50.98	74.58	37.59	49.91	38.12	529.06	151.22	665.29	62.12	65.26	432.53	262.2	24.46	72.01	16727.26	269.6	2178.83	728.11	1733.13	2319.15	1605.83	232.94	947.83	934.76	743.43	1208.34	255.0	684.02	490.14	329.84	1427.22	497.0
ING5	273.37	205.5	244.57	98.04	339.14	299.25	154.42	241.19	483.38	163.28	417.77	327.56	204.07	214.27	463.65	389.72	260.38	191.67	253.23	110.43	105.89	224.97	138.1	444.72	186.4	224.97	220.32	169.07	142.01	476.71	165.57	150.17	299.25	228.13	217.27	241.19	258.57	297.17	226.54	409.15	463.65	253.23	379.04	373.81	373.81	224.97	198.47	466.88	426.57	131.51	91.41	110.43	148.09	63.89	175.07	167.9	309.83	138.1	126.12	152.28	127.89	214.27	161.02	94.67	163.28	371.22	239.52	316.37	231.32	417.77	438.59	387.02	212.78	228.13	283.05	260.38	297.17	291.04	234.57	403.5	221.86	612.11	514.56
INPP5E	120.94	147.06	166.73	146.03	217.27	224.97	136.19	131.51	215.77	93.35	217.27	218.79	209.84	100.13	167.9	237.86	69.52	99.43	153.34	93.35	108.14	99.43	91.41	199.85	111.21	119.26	111.99	172.65	120.1	176.29	167.9	90.14	124.37	110.43	80.01	57.49	121.79	170.25	232.94	197.09	381.68	237.86	241.19	201.25	293.07	178.77	190.34	236.21	563.18	56.28	141.02	50.63	40.07	58.3	143.01	102.25	236.21	58.71	127.0	100.83	77.25	122.64	133.36	67.12	105.15	305.55	103.69	265.87	177.53	341.51	232.94	206.94	166.73	155.5	277.2	149.12	165.57	226.54	187.71	197.09	303.44	239.52	175.07
INPPL1	669.92	1313.23	1322.37	1159.07	1437.15	1617.0	1135.2	1104.13	2303.12	1023.0	1963.57	1697.45	947.83	1111.82	2591.27	2209.26	540.19	1350.18	1199.98	890.44	624.99	796.86	669.92	2163.77	1697.45	1023.0	813.63	1388.16	878.17	1819.35	2133.97	1151.06	1242.34	1088.92	921.88	947.83	1023.0	1427.22	1001.93	2148.82	1991.0	2915.45	2384.37	2645.74	2835.7	1832.01	1340.84	1896.65	3257.52	759.08	1794.29	595.34	353.59	490.14	890.44	1397.83	2047.0	947.83	947.83	1331.57	486.75	1001.93	941.27	728.11	595.34	3325.99	2061.24	2855.44	2004.85	3515.68	3039.3	2209.26	1477.58	1674.06	2090.03	1104.13	1844.76	1617.0	3395.89	2976.74	1733.13	1923.14	2240.11
JMJD7-PLA2G4B	9.48	78.34	104.42	32.82	81.71	116.78	21.32	61.68	204.07	15.45	70.01	53.19	6.26	25.54	197.09	158.79	1.01	38.12	31.45	15.91	8.32	16.39	17.9	149.12	36.01	26.1	43.02	29.48	11.21	127.89	43.94	26.1	52.08	60.39	9.41	11.13	29.91	36.53	56.28	98.73	136.19	76.17	156.59	170.25	145.02	66.65	41.22	98.04	234.57	26.67	19.68	7.75	57.08	56.68	13.42	6.78	69.03	6.57	15.0	11.38	29.91	54.72	64.34	3.47	53.95	193.01	34.26	142.01	97.36	159.9	139.07	133.36	53.57	109.66	147.06	101.54	58.3	30.78	76.71	130.6	36.53	122.64	141.02
KAT2A	567.1	713.11	1208.34	285.03	753.83	1216.75	447.82	480.04	607.87	208.38	656.11	656.11	368.65	269.6	718.08	1467.37	454.09	307.69	518.15	490.14	493.56	329.84	303.44	1277.29	356.05	253.23	669.92	543.96	269.6	791.35	819.3	351.14	493.56	387.02	361.04	543.96	403.5	780.44	718.08	633.73	2104.58	521.76	1519.15	607.87	1331.57	796.86	866.07	2287.2	2875.3	476.71	242.88	307.69	796.86	260.38	289.02	500.46	769.69	166.73	629.35	301.33	381.68	384.34	476.71	269.6	376.41	1350.18	679.29	2609.3	713.11	2682.69	1369.04	1407.55	525.39	854.13	1081.39	1322.37	802.41	698.41	995.0	665.29	941.27	1242.34	967.76
KIAA0895L	169.07	320.8	397.93	87.03	205.5	285.03	111.99	115.16	283.05	81.71	297.17	226.54	137.14	111.99	384.34	432.53	85.82	84.63	98.04	57.49	57.89	91.41	117.6	457.25	232.94	93.35	183.82	223.41	121.79	392.44	293.07	231.32	169.07	187.71	121.79	98.04	124.37	441.64	743.43	256.78	1037.29	303.44	450.94	387.02	525.39	351.14	130.6	329.84	1044.52	110.43	108.9	95.34	120.94	74.58	50.98	70.01	285.03	117.6	182.55	167.9	112.77	159.9	176.29	37.59	88.26	1721.16	285.03	551.56	423.61	660.68	1030.12	915.51	237.86	271.48	518.15	325.29	297.17	277.2	253.23	379.04	343.89	878.17	435.55
KLHL17	57.89	224.97	186.4	49.21	189.02	277.2	96.01	70.01	249.73	43.94	291.04	127.0	60.39	74.58	262.2	265.87	53.19	77.79	92.05	41.52	27.64	44.25	35.5	295.11	120.1	50.27	148.09	177.53	50.98	279.14	262.2	75.64	73.54	62.56	46.84	41.52	57.49	102.97	130.6	295.11	414.87	178.77	325.29	291.04	395.18	285.03	133.36	172.65	567.1	30.34	88.88	64.34	42.11	40.93	66.18	56.68	346.29	83.45	118.43	67.12	77.79	101.54	100.83	56.28	65.26	329.84	163.28	563.18	265.87	647.07	764.36	373.81	94.01	346.29	379.04	303.44	182.55	147.06	283.05	256.78	242.88	269.6	264.03
L3MBTL1	25.91	81.14	116.78	52.08	142.01	108.9	40.93	51.35	159.9	35.0	64.8	98.73	29.48	69.52	194.36	209.84	20.41	90.14	45.21	32.13	29.06	39.79	36.79	100.83	53.19	24.63	99.43	72.01	29.48	151.22	120.1	95.34	74.58	24.28	5.23	84.04	49.21	120.94	72.52	114.36	389.72	88.88	55.49	149.12	381.68	118.43	71.0	221.86	400.71	12.55	13.52	36.79	26.86	14.14	17.13	35.25	81.71	23.76	53.19	25.17	5.87	41.22	35.76	11.64	19.11	301.33	56.28	271.48	132.44	209.84	381.68	103.69	105.15	346.29	217.27	171.45	180.02	73.03	231.32	73.54	146.03	158.79	229.72
LAT	183.82	165.57	273.37	56.68	156.59	358.54	81.71	327.56	279.14	74.58	703.28	271.48	137.14	241.19	457.25	423.61	144.01	78.34	180.02	94.01	106.63	128.79	48.18	1015.93	153.34	81.71	191.67	291.04	190.34	476.71	551.56	78.34	96.01	206.94	81.14	78.89	665.29	93.35	217.27	395.18	435.55	301.33	521.76	728.11	1268.46	759.08	470.14	189.02	1519.15	107.38	202.66	111.21	44.89	285.03	679.29	98.04	239.52	87.03	182.55	96.01	155.5	441.64	406.31	255.0	221.86	1030.12	234.57	1277.29	332.14	1407.55	583.07	356.05	287.01	353.59	791.35	223.41	287.01	366.09	158.79	271.48	400.71	343.89	525.39
LENG8	1529.73	1427.22	1674.06	674.59	1883.54	2075.59	651.58	934.76	4903.87	571.05	2915.45	1498.22	647.07	612.11	6294.04	5041.77	309.83	813.63	1073.91	529.06	607.87	559.28	438.59	4152.18	2075.59	748.61	1350.18	1870.53	429.54	3847.29	2351.53	860.08	1183.45	769.69	395.18	536.45	928.3	2193.99	1685.71	1628.26	7280.4	2739.08	4152.18	3325.99	6840.04	3395.89	1674.06	4481.23	8078.22	599.49	579.04	291.04	246.28	417.77	616.37	473.41	2287.2	665.29	1159.07	674.59	718.08	753.83	866.07	316.37	961.07	9474.59	1437.15	4903.87	3081.75	5403.7	5147.73	6381.92	1242.34	3303.0	4481.23	2645.74	1923.14	1583.71	3060.45	4769.75	1721.16	4450.27	2835.7
LIME1	136.19	435.55	255.0	16.03	178.77	312.0	38.12	115.16	273.37	493.56	642.59	157.68	54.72	127.89	251.48	323.03	83.45	27.25	114.36	39.22	49.21	29.91	15.22	532.74	40.07	65.26	75.11	89.51	38.4	249.73	361.04	54.33	89.51	72.52	34.51	15.0	52.45	107.38	281.09	941.27	1427.22	86.43	128.79	507.46	429.54	329.84	941.27	185.11	872.1	61.68	71.0	51.71	21.94	83.45	131.51	50.27	463.65	30.34	78.34	34.02	85.22	262.2	205.5	119.26	88.26	743.43	194.36	473.41	575.03	1073.91	909.17	511.0	135.24	197.09	595.34	791.35	127.0	376.41	169.07	191.67	323.03	205.5	497.0
LMBR1L	825.0	785.88	507.46	318.57	684.02	698.41	543.96	409.15	819.3	543.96	842.36	842.36	348.71	339.14	961.07	988.12	366.09	420.68	435.55	293.07	373.81	381.68	373.81	1030.12	599.49	363.56	651.58	733.19	432.53	872.1	571.05	684.02	403.5	450.94	297.17	242.88	620.67	651.58	579.04	647.07	1685.71	954.43	1313.23	1242.34	1397.83	1096.5	1697.45	988.12	1605.83	224.97	728.11	239.52	193.01	258.57	417.77	521.76	511.0	283.05	490.14	356.05	343.89	473.41	532.74	285.03	420.68	1923.14	878.17	1259.69	1242.34	1950.0	1073.91	1199.98	866.07	909.17	974.5	447.82	698.41	599.49	780.44	1023.0	872.1	1487.87	988.12
LPIN3	171.45	289.02	318.57	44.89	253.23	435.55	136.19	124.37	435.55	88.88	307.69	231.32	135.24	177.53	329.84	379.04	175.07	129.69	133.36	128.79	122.64	98.73	96.68	392.44	114.36	93.35	154.42	104.42	158.79	283.05	224.97	327.56	173.85	114.36	111.21	123.5	105.15	438.59	55.89	172.65	988.12	120.1	480.04	351.14	647.07	176.29	223.41	426.57	1963.57	136.19	236.21	98.73	88.88	94.01	57.49	102.25	423.61	98.04	197.09	130.6	136.19	218.79	202.66	92.05	133.36	1639.59	163.28	679.29	275.28	514.56	921.88	329.84	220.32	612.11	279.14	444.72	381.68	206.94	583.07	332.14	248.0	536.45	318.57
LRP5L	134.3	45.85	138.1	23.59	109.66	154.42	60.82	41.81	159.9	84.04	275.28	61.68	31.67	71.5	400.71	147.06	11.3	50.63	48.52	18.29	33.78	37.32	29.06	142.01	55.89	47.5	48.87	70.01	46.18	293.07	141.02	55.49	76.17	63.45	16.75	34.02	78.89	61.25	112.77	125.24	305.55	62.12	214.27	127.89	320.8	162.14	34.75	223.41	241.19	18.16	31.45	35.0	7.88	23.93	31.67	21.32	69.03	16.88	54.72	32.36	30.34	105.89	101.54	14.45	34.26	239.52	155.5	341.51	105.89	518.15	339.14	249.73	102.97	155.5	244.57	82.87	128.79	81.14	111.21	197.09	353.59	229.72	122.64
LY6G5B	85.82	73.03	63.89	36.27	123.5	173.85	54.33	48.52	180.02	47.5	187.71	55.49	33.78	57.89	206.94	244.57	39.79	54.33	42.11	29.91	18.16	17.9	8.99	441.64	80.01	50.98	60.82	113.56	36.53	186.4	83.45	48.52	65.72	24.81	31.22	24.81	59.97	142.01	55.49	107.38	447.82	170.25	218.79	248.0	503.95	178.77	68.55	223.41	808.0	36.53	36.01	12.64	5.68	2.2	25.91	29.48	229.72	40.07	59.13	28.24	24.28	39.22	60.39	10.63	38.12	547.75	107.38	406.31	195.72	301.33	813.63	473.41	85.82	187.71	291.04	141.02	124.37	104.42	301.33	454.09	62.56	172.65	351.14
MAMDC4	19.97	78.34	209.84	28.24	68.07	59.13	7.57	31.0	253.23	10.88	217.27	75.11	11.13	44.25	165.57	87.65	18.29	24.63	16.03	16.15	11.64	9.06	6.94	137.14	54.72	50.98	53.19	68.07	15.56	217.27	53.19	48.18	43.63	21.78	5.68	5.59	11.13	145.02	102.97	133.36	98.04	86.43	242.88	69.52	279.14	32.82	18.97	34.51	414.87	10.88	9.7	4.66	27.25	4.03	14.78	3.69	40.64	24.81	65.72	20.26	5.68	37.05	55.49	8.25	12.36	629.35	15.34	334.46	56.28	228.13	208.38	246.28	41.22	87.65	107.38	68.55	40.36	57.49	181.28	289.02	143.01	215.77	109.66
MAN2C1	1781.89	1437.15	1594.73	507.46	1583.71	2224.63	854.13	866.07	2148.82	480.04	2319.15	974.5	332.14	575.03	3372.43	3540.14	688.78	808.0	915.51	669.92	529.06	674.59	723.08	3614.55	1001.93	647.07	1350.18	1119.56	665.29	2335.28	1487.87	1268.46	1104.13	896.64	371.22	665.29	902.89	1662.49	1806.78	1794.29	3742.05	1896.65	3665.02	2915.45	5995.9	1721.16	1088.92	2485.67	4210.15	406.31	915.51	679.29	320.8	389.72	638.15	514.56	1417.35	323.03	1088.92	688.78	371.22	1378.57	866.07	379.04	743.43	10296.45	1199.98	4152.18	3325.99	5517.27	2875.3	5913.33	1216.75	2664.15	3874.05	1883.54	1844.76	1183.45	2240.11	2796.65	2319.15	3982.99	2163.77
