	GTEX.ZVZQ.0826.SM.51MRF	GTEX.QVJO.1826.SM.447C9	GTEX.11LCK.2026.SM.5A5MA	GTEX.XBEW.1926.SM.4SOJO	GTEX.NFK9.2026.SM.3LK5K	GTEX.YJ8O.0326.SM.5RQJW	GTEX.13QIC.2026.SM.5N9G9	GTEX.11ZTS.2726.SM.5EQLU	GTEX.WVLH.1526.SM.4MVOC	GTEX.ZYFC.2226.SM.5NQ96	GTEX.11NUK.1726.SM.5A5L2	GTEX.11DXY.1326.SM.5987Z	GTEX.11OF3.2326.SM.5GU73	GTEX.13VXU.1126.SM.5LU3U	GTEX.11UD2.1526.SM.5EQLQ	GTEX.13OW7.1926.SM.5LUB4	GTEX.11ONC.1426.SM.5N9F4	GTEX.11ZUS.0926.SM.5FQSY	GTEX.117YW.2026.SM.5N9BH	GTEX.12ZZY.1526.SM.5LZWF	GTEX.139TU.1326.SM.5LZXW	GTEX.14753.1926.SM.5NQAA	TCGA.KM.8438.01A.11R.2315.07	TCGA.KL.8337.01A.11R.2315.07	TCGA.KL.8335.01A.11R.2315.07	TCGA.KO.8407.01A.11R.2315.07	TCGA.KN.8422.01A.11R.2315.07	TCGA.KL.8328.01A.11R.2315.07	TCGA.KN.8433.01A.11R.2315.07	TCGA.KL.8346.01A.11R.2315.07	TCGA.KM.8443.01A.11R.2315.07	TCGA.KL.8332.01A.11R.2315.07	TCGA.KO.8403.01A.11R.2315.07	TCGA.KM.8440.01A.11R.2315.07	TCGA.KN.8431.01A.11R.2315.07	TCGA.KN.8426.01A.11R.2315.07	TCGA.KL.8338.01A.11R.2315.07	TCGA.KN.8436.01A.11R.2315.07	TCGA.KL.8331.01A.11R.2315.07	TCGA.KL.8342.01A.11R.2315.07	TCGA.KL.8340.01A.11R.2315.07	TCGA.KO.8408.01A.11R.2315.07	TCGA.KO.8416.01A.11R.2315.07	TCGA.KL.8345.01A.11R.2315.07	GTEX.13OW6.1826.SM.5N9F9	GTEX.11OF3.1326.SM.5N9FJ	GTEX.ZYFD.1526.SM.5NQ7T	TCGA.B0.5117.01A.01R.1420.07	TCGA.BP.4971.01A.01R.1334.07	TCGA.AK.3447.01A.01R.1766.07	TCGA.A3.3374.01A.02R.1325.07	TCGA.AK.3465.01A.02R.1325.07	TCGA.B0.4700.11A.01R.1541.07	TCGA.CJ.5678.11A.01R.1541.07	TCGA.B9.4617.01A.01R.1193.07	TCGA.A4.8518.01A.11R.2404.07	TCGA.5P.A9K3.01A.11R.A42S.07	TCGA.BQ.7058.01A.11R.1965.07	TCGA.A4.A48D.01A.11R.A24Z.07	TCGA.B9.A69E.01A.11R.A31O.07	TCGA.IZ.8195.01A.31R.2404.07	TCGA.GL.A4EM.01A.11R.A24Z.07	TCGA.B9.A8YI.01A.21R.A37K.07	TCGA.P4.AAVM.01A.11R.A42S.07	TCGA.5P.A9KE.01A.11R.A42S.07	TCGA.BQ.5880.01A.11R.1592.07	TCGA.Y8.A8RZ.01A.11R.A37K.07	TCGA.DW.7963.01B.11R.A28H.07	TCGA.DD.A4NG.01A.11R.A27V.07	TCGA.NI.A4U2.01A.11R.A28V.07	TCGA.MR.A8JO.01A.12R.A36F.07	GTEX.RN64.1226.SM.2TC6E	GTEX.U3ZH.0526.SM.3DB75	TCGA.HU.A4GY.01A.21R.A24K.31	TCGA.BR.A44T.01A.32R.A24K.31	TCGA.HU.A4G3.01A.11R.A24K.31	TCGA.3M.AB47.01A.22R.A414.31	TCGA.BR.A4J8.01A.11R.A251.31	TCGA.RD.A8N4.01A.21R.A36D.31	TCGA.RD.A7BW.01A.11R.A32D.31	TCGA.D7.A747.01A.22R.A33Y.31	TCGA.HU.8238.01A.11R.2343.13	GTEX.ZE7O.3026.SM.51MS4	GTEX.WFON.1126.SM.4LVMA	GTEX.RWS6.0926.SM.47JXE	GTEX.ZLV1.0826.SM.4WWEQ	GTEX.12WSD.2326.SM.59HKQ	GTEX.145MO.2226.SM.5Q5BN	GTEX.Y5V6.1326.SM.4VDTF	GTEX.V1D1.1726.SM.4JBHB	TCGA.EM.A1YB.01A.11R.A14Y.07	TCGA.EL.A3H5.01A.11R.A206.07	TCGA.EM.A22N.01A.11R.A180.07	TCGA.EM.A3O9.01A.11R.A220.07	GTEX.111VG.0526.SM.5N9BW
RP11-12J10.3	2.27	2.53	10.24	7.4	6.62	5.82	7.75	4.43	12.45	3.96	7.69	7.22	11.82	6.62	7.51	2.16	7.4	8.92	2.89	11.38	4.03	3.72	2.68	6.41	5.15	3.99	0.97	4.86	1.89	2.01	7.94	1.23	1.89	7.63	5.19	2.41	2.05	4.86	5.15	2.76	1.99	6.01	1.43	5.32	9.13	0.75	4.21	0.49	5.54	0.0	4.17	5.73	3.0	2.32	5.15	3.69	2.34	1.51	0.39	2.66	1.71	0.0	2.92	1.11	1.6	2.25	1.46	2.41	0.88	0.0	2.27	16.15	11.3	14.67	25.91	4.9	5.41	3.11	8.38	6.62	9.78	2.86	8.32	13.12	14.45	12.18	2.56	7.69	1.25	7.51	11.04	4.35	8.51	5.02	18.29
RSRC2	1662.49	1709.26	1225.22	1286.18	1304.15	1088.92	2032.85	1883.54	1427.22	1651.0	1617.0	1437.15	1447.15	1437.15	1977.24	1757.34	2555.58	1498.22	1407.55	1277.29	1233.75	1844.76	928.3	1096.5	1233.75	1242.34	995.0	1001.93	591.22	988.12	1008.9	981.29	1104.13	1044.52	1119.56	1225.22	830.75	1950.0	1199.98	1119.56	1119.56	842.36	1151.06	1225.22	1151.06	921.88	2018.8	1183.45	1540.37	460.44	441.64	1685.71	1417.35	1242.34	1487.87	872.1	941.27	723.08	414.87	1119.56	1088.92	435.55	1175.27	854.13	825.0	802.41	866.07	974.5	1008.9	713.11	947.83	4066.71	1457.23	1639.59	1923.14	1477.58	1259.69	1757.34	1359.57	1143.1	1242.34	1304.15	1175.27	878.17	733.19	1233.75	1277.29	1119.56	651.58	825.0	1111.82	1674.06	1322.37	934.76	1806.78
SCAI	55.49	69.03	38.67	38.12	29.91	94.01	96.68	88.26	91.41	81.71	67.12	63.89	75.64	92.7	46.84	63.0	65.72	82.87	47.5	80.57	54.33	59.13	21.16	51.35	40.93	35.5	10.47	31.67	17.64	32.36	56.28	14.14	34.02	42.41	28.86	10.31	27.44	43.02	47.17	44.57	32.59	29.91	20.26	99.43	56.68	53.19	20.11	51.35	53.57	12.93	43.32	85.82	43.02	29.7	12.93	7.28	27.05	9.41	16.39	20.56	31.67	8.92	13.62	15.22	21.32	14.24	14.14	14.24	19.82	22.43	37.05	189.02	164.42	108.9	181.28	44.57	57.89	78.89	120.94	89.51	90.77	72.52	138.1	55.49	35.0	43.02	53.19	66.65	37.32	48.87	19.39	44.25	41.81	14.67	76.17
SDE2	403.5	507.46	152.28	162.14	175.07	114.36	220.32	241.19	163.28	307.69	143.01	232.94	143.01	242.88	140.04	234.57	159.9	163.28	327.56	170.25	157.68	116.78	148.09	147.06	125.24	115.16	142.01	90.14	73.03	67.59	112.77	149.12	131.51	151.22	94.01	118.43	90.14	143.01	85.22	115.16	100.13	70.01	79.45	176.29	234.57	130.6	255.0	80.57	170.25	97.36	209.84	177.53	279.14	293.07	59.13	90.14	98.73	90.77	93.35	144.01	116.78	87.03	127.89	86.43	82.87	120.1	89.51	92.7	346.29	78.34	205.5	665.29	273.37	228.13	231.32	193.01	214.27	265.87	260.38	166.73	178.77	211.31	267.73	140.04	108.9	133.36	199.85	156.59	171.45	118.43	150.17	136.19	218.79	144.01	226.54
SENP6	1561.89	1216.75	642.59	775.05	1081.39	1159.07	1674.06	1540.37	1388.16	1709.26	1359.57	1561.89	1594.73	1467.37	2303.12	1378.57	1605.83	1508.65	1199.98	1199.98	1015.93	1167.14	356.05	376.41	463.65	366.09	269.6	269.6	242.88	271.48	381.68	575.03	476.71	447.82	381.68	435.55	262.2	769.69	305.55	351.14	384.34	269.6	400.71	473.41	1023.0	684.02	825.0	514.56	1259.69	169.07	57.89	587.13	1001.93	872.1	389.72	283.05	457.25	314.17	132.44	703.28	414.87	145.02	476.71	392.44	403.5	389.72	480.04	381.68	438.59	466.88	603.67	1540.37	2075.59	1561.89	1388.16	743.43	961.07	607.87	1359.57	1242.34	1447.15	698.41	1340.84	536.45	518.15	599.49	1015.93	819.3	400.71	607.87	915.51	1044.52	902.89	713.11	1551.09
SEPT7	4671.57	4010.71	1159.07	1561.89	2255.7	2303.12	2701.35	2895.31	3235.01	3540.14	3018.3	3491.39	2796.65	3257.52	1977.24	3467.27	2777.33	2915.45	2976.74	3168.41	2178.83	2537.92	1322.37	1044.52	1191.69	1304.15	1216.75	934.76	1369.04	1044.52	928.3	1104.13	1781.89	1175.27	1350.18	988.12	1268.46	1870.53	1030.12	1350.18	1268.46	1304.15	1350.18	1167.14	2061.24	1697.45	2018.8	1733.13	3794.3	1159.07	808.0	1844.76	1832.01	1950.0	1950.0	890.44	1674.06	1096.5	961.07	1561.89	1437.15	928.3	1096.5	988.12	1794.29	1745.2	1015.93	2090.03	1331.57	1167.14	2148.82	3690.52	3467.27	3443.31	3325.99	1127.35	2701.35	3018.3	3540.14	3491.39	3589.58	1437.15	4972.34	1191.69	988.12	1369.04	1977.24	2351.53	1685.71	1551.09	1359.57	3018.3	1733.13	1832.01	2758.13
SF3A1	1605.83	2178.83	896.64	842.36	743.43	842.36	1008.9	866.07	921.88	1001.93	660.68	1191.69	813.63	1030.12	480.04	1199.98	866.07	941.27	854.13	1151.06	995.0	1059.11	426.57	836.53	967.76	830.75	316.37	518.15	612.11	703.28	921.88	1119.56	733.19	748.61	629.35	1159.07	603.67	1733.13	718.08	693.58	954.43	587.13	921.88	1199.98	995.0	848.22	684.02	500.46	759.08	173.85	1605.83	902.89	1561.89	1447.15	571.05	974.5	718.08	599.49	947.83	1127.35	1051.79	1023.0	1023.0	878.17	813.63	563.18	571.05	708.18	540.19	373.81	525.39	3395.89	1378.57	1844.76	1896.65	2209.26	1457.23	1529.73	2367.9	2319.15	2555.58	2434.5	1208.34	1208.34	1191.69	1259.69	1605.83	1583.71	1844.76	1769.57	1191.69	1183.45	1104.13	463.65	941.27
SHE	830.75	1127.35	146.03	97.36	115.16	381.68	400.71	312.0	551.56	540.19	198.47	435.55	182.55	323.03	271.48	583.07	334.46	368.65	438.59	323.03	379.04	684.02	133.36	17.77	176.29	146.03	47.5	33.54	74.06	56.28	275.28	189.02	167.9	43.32	140.04	28.86	50.63	376.41	75.11	256.78	42.71	66.65	50.63	154.42	334.46	204.07	148.09	152.28	137.14	36.53	134.3	395.18	205.5	271.48	47.5	17.9	13.12	19.39	33.06	90.77	106.63	50.98	21.94	14.56	39.5	114.36	10.08	48.87	55.49	82.87	173.85	3190.46	728.11	242.88	128.79	58.3	181.28	98.04	154.42	117.6	69.03	59.13	954.43	151.22	49.56	123.5	87.03	183.82	241.19	127.0	312.0	620.67	241.19	218.79	642.59
SLC22A3	28.24	198.47	52.08	62.12	162.14	249.73	105.89	514.56	256.78	81.71	341.51	281.09	175.07	248.0	295.11	193.01	249.73	579.04	77.79	221.86	94.01	156.59	0.48	0.0	2.2	0.84	0.0	0.43	6.62	1.23	0.0	0.85	0.99	0.41	0.46	0.0	0.85	2.07	0.0	1.22	2.84	24.46	2.89	0.8	48.87	36.53	96.68	2.48	180.02	0.41	5.92	14.14	149.12	152.28	199.85	67.59	40.64	403.5	33.3	80.57	312.0	42.11	89.51	102.97	172.65	9.06	85.22	165.57	256.78	275.28	297.17	866.07	743.43	70.01	231.32	135.24	38.12	108.9	249.73	231.32	299.25	41.81	285.03	139.07	17.13	392.44	281.09	260.38	85.82	17.25	95.34	23.42	12.09	5.63	164.42
SLC2A3	2119.22	1745.2	163.28	115.97	289.02	403.5	4972.34	5147.73	3955.48	3372.43	1369.04	1896.65	493.56	3901.01	4328.55	11035.54	6207.38	1059.11	5403.7	1572.76	1977.24	1991.0	1350.18	277.2	351.14	195.72	236.21	158.79	139.07	75.64	48.18	334.46	329.84	46.18	202.66	178.77	287.01	175.07	70.51	376.41	117.6	103.69	145.02	120.1	1447.15	117.6	3168.41	163.28	3874.05	77.25	563.18	145.02	1008.9	389.72	63.45	70.51	95.34	75.64	54.33	215.77	285.03	195.72	40.36	25.17	78.34	264.03	30.12	187.71	224.97	100.83	1216.75	9808.75	4769.75	1059.11	1096.5	215.77	260.38	336.79	647.07	3168.41	441.64	536.45	1508.65	87.65	106.63	122.64	1832.01	1242.34	348.71	218.79	162.14	1519.15	173.85	253.23	2224.63
SLFN11	567.1	642.59	121.79	165.57	157.68	432.53	848.22	796.86	808.0	915.51	234.57	848.22	420.68	854.13	346.29	1388.16	830.75	607.87	723.08	559.28	463.65	470.14	167.9	37.85	55.1	105.89	26.28	16.88	52.08	17.13	24.28	208.38	72.52	25.72	71.0	44.57	32.13	42.11	18.16	77.79	51.71	47.84	40.93	71.0	135.24	37.32	1096.5	82.87	759.08	20.41	126.12	81.71	212.78	214.27	20.56	39.22	22.1	23.93	69.03	144.01	16.88	115.97	27.84	15.34	22.26	80.57	21.47	77.79	39.79	51.35	218.79	2701.35	4152.18	830.75	293.07	136.19	244.57	157.68	195.72	389.72	236.21	128.79	947.83	63.89	66.18	157.68	220.32	363.56	186.4	141.02	195.72	323.03	450.94	177.53	1059.11
SMCHD1	336.79	409.15	206.94	241.19	466.88	299.25	571.05	708.18	525.39	392.44	361.04	389.72	318.57	473.41	417.77	624.99	511.0	406.31	423.61	423.61	339.14	441.64	132.44	146.03	153.34	114.36	107.38	62.56	81.71	137.14	93.35	187.71	111.99	176.29	127.0	136.19	83.45	281.09	111.99	115.97	157.68	159.9	90.14	121.79	204.07	104.42	197.09	111.99	325.29	34.02	45.21	185.11	195.72	199.85	122.64	58.3	46.18	27.64	40.93	151.22	84.63	39.5	66.18	65.72	76.71	71.0	62.12	81.14	199.85	95.34	143.01	651.58	371.22	1104.13	775.05	417.77	376.41	536.45	603.67	490.14	540.19	518.15	423.61	226.54	127.0	248.0	629.35	529.06	220.32	246.28	151.22	214.27	189.02	132.44	529.06
SMURF2	540.19	325.29	139.07	145.02	256.78	312.0	348.71	327.56	279.14	441.64	348.71	307.69	249.73	368.65	389.72	299.25	297.17	579.04	336.79	363.56	248.0	414.87	85.82	65.26	95.34	96.68	65.26	41.81	49.56	59.55	64.34	110.43	89.51	88.88	90.77	111.21	52.08	137.14	60.39	95.34	86.43	76.17	85.22	81.71	195.72	156.59	271.48	86.43	305.55	21.01	100.83	133.36	255.0	295.11	187.71	108.14	80.57	78.34	71.0	185.11	237.86	115.97	115.16	74.58	155.5	154.42	77.79	166.73	83.45	66.65	105.89	2468.49	559.28	444.72	309.83	269.6	368.65	242.88	293.07	336.79	361.04	214.27	316.37	220.32	162.14	185.11	211.31	231.32	146.03	201.25	176.29	336.79	301.33	122.64	361.04
SP3	1359.57	1159.07	447.82	423.61	483.38	457.25	759.08	518.15	764.36	723.08	483.38	825.0	638.15	866.07	441.64	785.88	559.28	753.83	612.11	743.43	435.55	638.15	281.09	336.79	273.37	323.03	389.72	204.07	152.28	209.84	295.11	332.14	361.04	332.14	244.57	291.04	232.94	414.87	255.0	314.17	260.38	248.0	246.28	303.44	540.19	493.56	432.53	281.09	708.18	89.51	229.72	373.81	660.68	684.02	231.32	204.07	256.78	228.13	239.52	616.37	379.04	217.27	291.04	256.78	277.2	318.57	363.56	293.07	616.37	283.05	450.94	698.41	974.5	854.13	669.92	587.13	791.35	703.28	713.11	1104.13	995.0	490.14	1295.13	435.55	265.87	348.71	540.19	620.67	368.65	457.25	571.05	633.73	543.96	392.44	1037.29
SPEN	540.19	775.05	684.02	529.06	642.59	616.37	890.44	842.36	759.08	669.92	723.08	674.59	483.38	860.08	802.41	848.22	791.35	651.58	679.29	703.28	866.07	1286.18	214.27	202.66	226.54	336.79	244.57	279.14	299.25	291.04	267.73	384.34	314.17	138.1	251.48	329.84	237.86	334.46	363.56	293.07	214.27	256.78	285.03	199.85	299.25	190.34	915.51	275.28	813.63	17.0	132.44	260.38	595.34	511.0	470.14	180.02	204.07	379.04	305.55	325.29	237.86	237.86	291.04	325.29	334.46	264.03	208.38	441.64	221.86	187.71	423.61	1583.71	540.19	884.29	921.88	698.41	693.58	836.53	660.68	713.11	854.13	738.29	532.74	346.29	265.87	387.02	387.02	447.82	624.99	363.56	571.05	583.07	703.28	470.14	603.67
SRSF3	3928.15	4095.0	2664.15	2335.28	2319.15	2351.53	3874.05	4010.71	3212.66	2351.53	2555.58	3103.19	2468.49	3372.43	2271.4	4095.0	3982.99	2485.67	3639.7	2855.44	3018.3	3060.45	1135.2	1001.93	1015.93	1487.87	915.51	974.5	571.05	656.11	1111.82	1359.57	1295.13	947.83	1023.0	1674.06	1175.27	1909.85	1208.34	1268.46	1088.92	780.44	954.43	1388.16	2417.67	1923.14	4358.66	1127.35	2835.7	1008.9	1417.35	1508.65	2537.92	2178.83	1407.55	1073.91	1369.04	967.76	1059.11	1447.15	1250.98	1151.06	1378.57	1529.73	1359.57	1143.1	1242.34	1583.71	1733.13	1183.45	2303.12	6079.61	2956.17	3395.89	2835.7	2319.15	2664.15	2090.03	2796.65	2796.65	2335.28	2816.11	4038.61	1757.34	1617.0	1883.54	3794.3	2956.17	2061.24	2351.53	1605.83	2287.2	1605.83	1561.89	2816.11
STK17B	579.04	218.79	303.44	269.6	291.04	34.51	84.63	111.21	108.9	84.04	40.07	84.63	75.11	142.01	29.7	241.19	131.51	95.34	108.9	47.5	32.59	127.0	27.64	15.56	48.18	46.84	15.34	12.55	33.3	9.63	18.84	70.51	67.12	11.47	14.35	37.59	21.94	58.71	16.63	42.41	26.1	29.7	40.93	51.35	373.81	127.89	46.5	28.45	312.0	23.42	158.79	96.01	159.9	214.27	125.24	50.27	125.24	27.05	48.87	92.05	31.45	63.45	35.25	25.91	57.08	120.94	42.71	83.45	56.28	40.64	126.12	1216.75	967.76	1088.92	1151.06	183.82	312.0	190.34	279.14	327.56	336.79	293.07	111.21	271.48	159.9	144.01	341.51	251.48	334.46	283.05	68.07	567.1	81.14	62.56	392.44
STK38L	738.29	1081.39	285.03	466.88	748.61	473.41	1119.56	1561.89	356.05	457.25	540.19	412.0	371.22	493.56	954.43	703.28	1437.15	728.11	616.37	532.74	555.41	529.06	138.1	186.4	155.5	158.79	116.78	77.79	67.12	141.02	127.0	358.54	186.4	144.01	88.88	212.78	130.6	285.03	176.29	215.77	197.09	120.94	132.44	334.46	384.34	241.19	366.09	176.29	493.56	45.53	165.57	291.04	305.55	368.65	108.14	127.89	100.13	60.82	65.26	171.45	127.89	114.36	191.67	56.28	77.79	127.0	74.06	132.44	125.24	202.66	301.33	1008.9	414.87	438.59	392.44	293.07	400.71	486.75	808.0	890.44	2119.22	674.59	463.65	289.02	239.52	316.37	743.43	490.14	353.59	320.8	134.3	366.09	190.34	173.85	384.34
SYNE1	1572.76	2915.45	176.29	220.32	571.05	1427.22	1697.45	2104.58	2193.99	1674.06	1617.0	2018.8	1721.16	2032.85	674.59	2075.59	2047.0	2004.85	1806.78	2061.24	1277.29	1540.37	90.14	139.07	116.78	159.9	277.2	134.3	187.71	47.5	403.5	142.01	684.02	41.81	72.01	127.0	124.37	327.56	82.87	80.01	112.77	208.38	190.34	99.43	3901.01	1594.73	1561.89	157.68	1437.15	23.93	137.14	379.04	1561.89	1540.37	336.79	246.28	127.0	607.87	314.17	480.04	490.14	361.04	397.93	195.72	454.09	567.1	595.34	279.14	73.03	105.89	376.41	4607.24	1936.53	1268.46	1331.57	171.45	616.37	457.25	1769.57	1397.83	1594.73	220.32	2664.15	884.29	688.78	376.41	808.0	620.67	595.34	1540.37	954.43	486.75	808.0	379.04	1104.13
SYNE3	88.88	151.22	37.85	38.95	40.93	55.89	113.56	100.83	163.28	74.06	46.18	116.78	64.8	142.01	34.75	159.9	152.28	69.52	81.71	86.43	40.36	95.34	4.03	1.53	13.72	13.93	9.13	5.68	4.24	3.59	3.79	17.77	7.06	1.17	3.06	2.03	5.73	3.26	3.59	1.19	9.13	14.03	6.16	5.32	40.64	15.11	6.16	8.25	35.25	0.79	11.21	12.74	20.41	13.32	1.2	2.05	0.0	3.03	3.86	12.45	3.0	13.03	8.32	3.69	1.22	8.51	8.0	4.35	18.7	17.77	15.8	103.69	62.12	115.97	68.55	23.42	24.81	17.64	39.5	25.72	23.25	15.56	111.99	15.11	15.0	24.28	29.48	66.18	22.1	21.16	49.91	33.78	67.12	40.93	83.45
SYNRG	409.15	356.05	336.79	229.72	260.38	218.79	241.19	334.46	343.89	215.77	193.01	271.48	281.09	309.83	181.28	262.2	267.73	217.27	189.02	226.54	224.97	187.71	178.77	258.57	244.57	197.09	97.36	166.73	123.5	214.27	249.73	239.52	232.94	332.14	265.87	251.48	206.94	258.57	180.02	239.52	275.28	181.28	187.71	403.5	397.93	363.56	191.67	158.79	348.71	69.52	363.56	255.0	417.77	420.68	176.29	371.22	181.28	159.9	173.85	217.27	242.88	305.55	181.28	178.77	229.72	133.36	191.67	279.14	189.02	103.69	145.02	1127.35	435.55	684.02	493.56	346.29	269.6	214.27	343.89	441.64	329.84	305.55	229.72	376.41	255.0	214.27	490.14	163.28	239.52	435.55	185.11	267.73	323.03	133.36	503.95
TAF1	356.05	543.96	289.02	249.73	260.38	199.85	303.44	320.8	242.88	244.57	221.86	220.32	169.07	327.56	353.59	215.77	217.27	316.37	173.85	283.05	201.25	211.31	164.42	156.59	291.04	178.77	91.41	121.79	159.9	144.01	223.41	206.94	150.17	234.57	206.94	147.06	164.42	318.57	218.79	171.45	205.5	129.69	161.02	255.0	176.29	85.22	181.28	150.17	379.04	15.11	120.94	309.83	234.57	258.57	102.25	109.66	120.1	67.12	62.12	147.06	154.42	85.22	197.09	122.64	105.15	92.7	121.79	104.42	139.07	67.12	167.9	674.59	463.65	525.39	363.56	320.8	371.22	358.54	409.15	348.71	429.54	318.57	183.82	199.85	120.94	218.79	223.41	173.85	143.01	215.77	177.53	220.32	358.54	155.5	291.04
TAS2R19	2.76	6.16	3.26	2.29	3.96	1.97	47.84	32.59	28.24	12.18	10.08	16.27	21.01	20.11	14.35	16.88	11.82	22.75	10.47	19.97	9.06	4.1	2.27	1.93	4.35	2.84	0.0	0.84	0.0	7.69	2.14	2.89	0.49	4.66	5.73	1.23	3.72	2.07	3.23	2.39	0.82	0.83	1.46	0.0	0.29	0.34	0.84	5.92	11.64	0.0	0.87	4.03	3.03	0.0	4.03	2.07	1.58	2.56	0.0	3.08	0.0	1.85	0.87	2.97	0.83	1.38	2.23	5.36	0.0	1.91	1.36	20.71	9.2	11.38	4.5	4.94	5.68	3.03	4.5	12.45	9.63	0.0	2.18	1.77	0.52	3.5	4.03	3.72	3.32	0.51	0.0	3.79	3.14	0.0	12.36
TCF4	1963.57	2976.74	89.51	172.65	275.28	525.39	1151.06	1037.29	1051.79	974.5	563.18	759.08	764.36	848.22	466.88	1159.07	728.11	698.41	1127.35	872.1	426.57	638.15	239.52	92.05	140.04	275.28	63.45	32.82	60.39	82.29	41.22	551.56	206.94	63.45	120.94	81.14	50.27	97.36	50.63	177.53	128.79	92.05	81.14	143.01	279.14	127.0	708.18	248.0	603.67	19.39	42.11	246.28	279.14	368.65	72.52	19.68	24.99	23.59	29.7	159.9	30.78	36.53	23.42	9.27	21.16	100.83	32.13	63.0	73.54	146.03	366.09	974.5	718.08	780.44	620.67	262.2	551.56	500.46	660.68	866.07	753.83	269.6	2119.22	181.28	63.0	167.9	638.15	733.19	285.03	232.94	432.53	974.5	547.75	397.93	743.43
TDRD10	90.77	341.51	86.43	52.08	34.26	171.45	271.48	241.19	447.82	255.0	65.72	185.11	77.79	136.19	62.56	273.37	351.14	197.09	144.01	180.02	161.02	172.65	16.15	3.99	47.17	40.07	8.0	23.59	18.43	14.03	63.45	18.43	42.11	1.64	33.3	1.73	25.91	104.42	31.67	60.82	11.47	15.8	5.92	19.53	31.22	38.12	140.04	30.78	71.5	3.63	43.02	161.02	11.91	18.97	1.69	6.41	4.5	1.62	10.79	53.95	44.57	9.85	13.32	4.62	31.9	9.78	13.52	15.34	49.91	53.19	59.13	1242.34	769.69	71.5	34.51	7.34	49.91	22.59	43.94	27.44	36.27	8.85	214.27	13.83	17.13	66.65	25.72	64.34	34.75	19.11	51.71	153.34	64.8	82.29	187.71
TMEM100	536.45	1216.75	373.81	185.11	162.14	224.97	429.54	262.2	521.76	297.17	409.15	1397.83	1216.75	988.12	191.67	1594.73	995.0	647.07	748.61	563.18	163.28	555.41	25.91	0.79	4.35	8.0	11.55	15.34	14.14	4.03	4.24	10.63	11.82	2.34	5.68	20.41	8.58	6.52	4.78	12.93	20.56	53.57	5.73	11.47	81.14	35.25	7.63	25.17	82.29	14.67	5.45	33.06	34.26	13.83	11.91	34.51	4.31	120.94	6.21	12.18	14.03	31.45	13.32	9.56	115.97	136.19	6.26	35.76	21.94	24.63	221.86	16269.83	2178.83	155.5	351.14	100.83	43.94	466.88	612.11	620.67	199.85	48.52	866.07	100.13	100.13	164.42	299.25	1359.57	45.85	176.29	14.89	521.76	53.95	36.01	134.3
TMEM119	2047.0	1487.87	441.64	381.68	209.84	262.2	177.53	297.17	738.29	748.61	438.59	403.5	718.08	575.03	46.84	733.19	197.09	376.41	248.0	447.82	91.41	224.97	23.76	2.29	90.77	6.41	2.92	5.68	139.07	1.62	1.28	0.42	9.93	3.47	1.77	3.26	8.19	1.64	7.17	23.93	6.78	101.54	12.83	12.64	32.13	131.51	10.08	48.52	954.43	3.5	279.14	90.14	158.79	72.01	25.72	76.71	32.82	21.01	22.43	127.89	21.78	239.52	28.45	7.75	22.43	299.25	41.81	16.88	14.03	18.16	153.34	1794.29	915.51	733.19	785.88	239.52	796.86	277.2	159.9	571.05	540.19	197.09	1015.93	122.64	133.36	133.36	759.08	473.41	55.89	921.88	71.0	934.76	178.77	69.52	669.92
TNNT3	2935.74	2104.58	16.63	33.54	36.79	1331.57	420.68	435.55	808.0	884.29	389.72	890.44	231.32	579.04	173.85	941.27	309.83	373.81	1135.2	466.88	221.86	363.56	5.54	0.0	3.56	1.27	0.0	0.0	15.34	0.0	0.0	7.11	1.01	3.17	0.0	0.0	0.0	0.0	0.85	0.0	0.85	12.36	1.99	1.99	2.29	0.0	8.71	6.01	36.79	1.62	0.0	2.76	26.86	0.0	0.0	1.3	3.23	4.13	0.0	5.87	0.0	27.05	0.0	0.0	1.27	16.51	1.17	0.0	0.0	11.38	14.89	389.72	88.88	55.1	46.5	0.0	27.84	8.25	27.05	26.67	22.26	0.0	633.73	10.96	20.41	6.78	37.05	13.12	41.52	27.25	2.39	72.01	9.56	7.34	291.04
TNR	0.35	0.33	0.42	0.92	0.88	0.53	0.0	0.53	0.0	0.0	0.54	0.51	0.52	0.0	0.53	0.0	0.0	0.53	0.0	0.54	0.96	0.56	0.0	0.0	0.0	0.0	0.0	0.0	0.46	0.39	0.41	2.01	0.0	0.0	0.0	0.39	3.2	0.0	0.0	0.0	0.0	0.0	0.46	0.38	0.95	0.0	1.31	0.0	0.42	0.0	0.0	0.0	0.49	1.36	0.0	0.0	0.0	0.0	0.0	0.38	0.0	2.66	0.0	0.0	0.0	0.44	0.0	0.0	0.0	0.3	0.31	62.56	3.92	17.25	15.45	0.39	1.91	2.27	4.17	1.73	6.67	2.07	6.73	0.0	0.0	3.63	8.45	2.53	0.96	6.46	0.0	1.64	1.35	0.0	1.11
