	TCGA.EJ.7331.01A.11R.2118.07	TCGA.KC.A4BN.01A.61R.A250.07	TCGA.XK.AAK1.01A.11R.A41O.07	TCGA.G9.7522.01A.11R.2263.07	TCGA.EJ.5526.01A.01R.1580.07	TCGA.VN.A943.01A.11R.A41O.07	TCGA.G9.6351.01A.21R.1965.07	TCGA.XJ.A83H.01A.11R.A352.07	TCGA.J4.A67T.01A.11R.A311.07	TCGA.EJ.5516.01A.01R.1580.07	TCGA.EJ.A65E.01A.11R.A29R.07	TCGA.EJ.AB27.01A.11R.A41O.07	TCGA.HC.7748.01A.11R.2118.07	TCGA.G9.6333.01A.12R.1965.07	TCGA.V1.A8X3.01A.11R.A37L.07	TCGA.V1.A8WN.01A.11R.A37L.07	TCGA.HC.7749.01A.11R.2118.07	TCGA.V1.A9Z9.01A.21R.A41O.07	TCGA.YL.A8SR.01B.11R.A37L.07	TCGA.VP.A87B.01A.11R.A352.07	TCGA.HC.7075.01A.11R.1965.07	TCGA.G9.6367.01A.11R.1789.07	TCGA.YL.A8SA.01A.21R.A37L.07	TCGA.J9.A8CN.01A.11R.A352.07	TCGA.G9.6371.01A.11R.1789.07	TCGA.EJ.8470.01A.11R.2403.07	TCGA.KK.A8IJ.01A.11R.A352.07	TCGA.2A.AAYF.01A.11R.A41O.07	TCGA.EJ.A65G.01A.21R.A29R.07	TCGA.J4.A83I.01A.11R.A36G.07	TCGA.J4.8200.01A.11R.A29R.07	TCGA.EJ.5510.01A.01R.1580.07	TCGA.CH.5744.01A.11R.1580.07	TCGA.HC.8256.01A.11R.2263.07	TCGA.EJ.5517.01A.01R.1580.07	TCGA.EJ.5505.01A.01R.1580.07	TCGA.M7.A724.01A.12R.A32O.07	TCGA.EJ.7318.01B.11R.A32O.07	TCGA.EJ.A7NJ.01A.22R.A352.07	TCGA.V1.A9OQ.01A.11R.A41O.07	TCGA.EJ.5522.01A.01R.1580.07	TCGA.EJ.7312.01B.21R.A32O.07	TCGA.H9.7775.01A.11R.2118.07	TCGA.2A.A8W1.01A.11R.A37L.07	TCGA.XK.AAJR.01A.11R.A41O.07	TCGA.J9.A8CP.01A.11R.A352.07	TCGA.V1.A8WL.01A.11R.A37L.07	TCGA.HC.8216.01A.11R.A29R.07	TCGA.EJ.5532.01A.01R.1580.07	TCGA.EJ.7793.01A.31R.2263.07	TCGA.EJ.7218.01B.11R.A32O.07	TCGA.J4.A83M.01A.11R.A352.07	TCGA.HC.7211.01A.11R.2118.07	TCGA.2A.AAYU.01A.11R.A41O.07	TCGA.J4.AAU2.01A.11R.A41O.07	TCGA.EJ.5515.01A.01R.1580.07	TCGA.EJ.7791.01A.11R.2118.07	TCGA.Y6.A9XI.01A.11R.A41O.07	TCGA.HC.7820.01A.11R.2118.07	TCGA.EJ.5530.01A.01R.1580.07	TCGA.XJ.A83G.01A.11R.A352.07	TCGA.HC.8259.01A.11R.2263.07	TCGA.EJ.5497.01A.02R.1580.07	TCGA.G9.6332.01A.11R.1789.07	TCGA.V1.A8MK.01A.11R.A36G.07	TCGA.EJ.5519.01A.01R.1580.07	TCGA.EJ.A46B.01A.31R.A250.07	TCGA.VN.A88N.01A.11R.A36G.07	TCGA.HC.7078.01A.11R.2118.07	TCGA.ZG.A9ND.01A.11R.A41O.07	TCGA.CH.5737.01A.11R.1580.07	TCGA.G9.7519.01A.11R.2263.07	TCGA.XK.AAJA.01A.11R.A41O.07	TCGA.KK.A6E5.01A.11R.A311.07	TCGA.2A.A8VL.01A.21R.A37L.07	TCGA.HC.7077.01A.11R.1965.07	TCGA.J4.A83N.01A.11R.A352.07	TCGA.HC.7819.11A.01R.2118.07	TCGA.HC.8260.11A.01R.2263.07	TCGA.HC.7742.11A.01R.2118.07	TCGA.EJ.7314.11A.01R.2118.07	TCGA.G9.6342.11A.02R.1965.07	TCGA.EJ.7793.11A.01R.2263.07	TCGA.EJ.7331.11A.01R.2118.07
HERPUD2	417.77	327.56	182.55	320.8	460.44	212.78	312.0	351.14	303.44	387.02	305.55	343.89	493.56	283.05	332.14	341.51	307.69	299.25	312.0	262.2	303.44	305.55	285.03	246.28	224.97	412.0	287.01	279.14	295.11	346.29	332.14	325.29	303.44	287.01	351.14	341.51	166.73	204.07	329.84	248.0	423.61	221.86	343.89	228.13	307.69	249.73	323.03	303.44	305.55	307.69	226.54	325.29	466.88	329.84	265.87	389.72	412.0	267.73	283.05	376.41	220.32	264.03	400.71	249.73	299.25	403.5	334.46	255.0	297.17	262.2	281.09	223.41	236.21	283.05	309.83	267.73	293.07	373.81	332.14	285.03	454.09	299.25	426.57	400.71
HIF1AN	334.46	215.77	183.82	336.79	348.71	197.09	176.29	224.97	229.72	395.18	267.73	249.73	447.82	212.78	277.2	301.33	323.03	177.53	244.57	195.72	242.88	287.01	182.55	134.3	223.41	309.83	343.89	185.11	202.66	305.55	343.89	318.57	139.07	291.04	267.73	395.18	143.01	175.07	241.19	125.24	412.0	198.47	273.37	258.57	316.37	297.17	193.01	234.57	341.51	320.8	193.01	246.28	470.14	260.38	176.29	387.02	373.81	212.78	253.23	366.09	161.02	234.57	381.68	173.85	269.6	316.37	255.0	172.65	258.57	283.05	180.02	158.79	155.5	214.27	151.22	229.72	171.45	356.05	320.8	358.54	473.41	201.25	447.82	387.02
HP1BP3	2720.15	1870.53	1030.12	1977.24	2468.49	1651.0	1407.55	1447.15	1388.16	2319.15	1540.37	2240.11	2555.58	1628.26	2271.4	2468.49	1617.0	1963.57	1909.85	1304.15	1437.15	1407.55	1651.0	1151.06	1081.39	2796.65	1709.26	1697.45	1437.15	2520.38	1487.87	2032.85	1769.57	1769.57	1519.15	1950.0	915.51	780.44	2287.2	1175.27	2555.58	1175.27	1457.23	802.41	1781.89	1857.6	1896.65	1733.13	1950.0	2178.83	1617.0	1561.89	2956.17	1963.57	1498.22	2178.83	2451.44	1857.6	1605.83	2451.44	947.83	1605.83	2178.83	988.12	1709.26	2018.8	1662.49	1757.34	1529.73	1769.57	1369.04	848.22	1963.57	1369.04	1427.22	1697.45	1175.27	2537.92	1857.6	2133.97	2835.7	1331.57	2555.58	2319.15
INO80D	91.41	56.68	28.04	44.89	119.26	51.71	59.13	44.89	67.12	111.21	52.45	52.82	102.25	49.21	56.28	74.06	67.59	45.21	45.21	39.79	53.57	54.33	71.5	33.06	53.95	88.88	46.5	48.52	47.84	96.01	57.08	63.0	49.21	58.71	64.34	82.29	25.91	33.06	57.89	43.32	108.9	36.27	66.65	51.35	45.21	42.11	52.82	57.49	69.03	58.71	39.5	63.0	80.57	55.49	46.5	87.03	70.01	70.01	78.34	87.03	32.82	57.49	102.25	53.57	56.68	66.65	46.5	53.19	61.68	38.67	53.19	38.12	71.0	44.89	56.28	55.49	43.63	88.88	72.01	57.08	71.5	40.93	59.55	63.0
INTS2	111.21	45.85	32.82	72.01	124.37	43.02	57.49	63.0	52.45	127.0	53.95	63.45	102.25	50.98	62.12	92.05	56.28	54.33	52.82	38.12	62.12	74.06	50.27	28.04	45.53	92.7	54.33	53.57	67.12	71.0	78.89	80.57	51.71	63.45	84.04	97.36	24.81	26.1	65.26	61.25	119.26	36.79	87.03	64.34	58.3	58.3	53.19	73.54	69.03	86.43	50.98	55.1	86.43	64.34	64.8	119.26	100.83	72.52	76.71	90.77	43.02	62.56	111.21	54.33	68.55	71.5	74.06	62.12	69.03	35.0	43.02	31.22	41.81	42.71	43.94	52.08	48.87	108.9	94.01	85.22	139.07	64.34	99.43	120.1
KAT6A	457.25	258.57	85.22	197.09	334.46	165.57	163.28	232.94	212.78	426.57	92.7	206.94	361.04	115.16	185.11	297.17	256.78	177.53	190.34	155.5	191.67	211.31	132.44	74.58	152.28	214.27	153.34	176.29	140.04	279.14	165.57	232.94	142.01	171.45	180.02	312.0	91.41	64.8	244.57	103.69	329.84	122.64	239.52	108.14	137.14	166.73	169.07	145.02	211.31	265.87	166.73	185.11	432.53	146.03	156.59	426.57	353.59	376.41	256.78	273.37	127.89	221.86	395.18	131.51	175.07	318.57	191.67	167.9	221.86	198.47	212.78	132.44	201.25	140.04	156.59	204.07	105.89	356.05	211.31	285.03	381.68	159.9	309.83	336.79
KAT6B	273.37	149.12	53.57	190.34	289.02	143.01	134.3	145.02	127.0	283.05	150.17	172.65	307.69	159.9	181.28	228.13	197.09	149.12	150.17	143.01	181.28	185.11	198.47	116.78	173.85	255.0	141.02	157.68	141.02	171.45	141.02	189.02	113.56	162.14	224.97	301.33	63.89	64.34	189.02	86.43	279.14	113.56	187.71	132.44	167.9	167.9	151.22	145.02	273.37	241.19	141.02	126.12	264.03	125.24	173.85	241.19	273.37	218.79	231.32	316.37	90.77	166.73	289.02	111.99	162.14	201.25	180.02	128.79	218.79	132.44	156.59	111.21	120.1	113.56	139.07	209.84	137.14	285.03	205.5	187.71	320.8	125.24	231.32	289.02
KIAA0947	226.54	190.34	85.82	175.07	265.87	149.12	127.0	159.9	185.11	246.28	138.1	154.42	249.73	116.78	171.45	212.78	189.02	143.01	150.17	147.06	156.59	145.02	163.28	111.21	124.37	234.57	176.29	139.07	132.44	195.72	167.9	185.11	143.01	176.29	181.28	194.36	98.04	88.26	165.57	96.01	497.0	102.25	180.02	173.85	154.42	126.12	147.06	209.84	208.38	182.55	156.59	142.01	271.48	185.11	129.69	251.48	237.86	150.17	165.57	241.19	96.68	161.02	246.28	140.04	158.79	206.94	154.42	131.51	152.28	138.1	135.24	112.77	141.02	145.02	118.43	157.68	124.37	237.86	198.47	195.72	256.78	102.25	232.94	229.72
KIAA1109	599.49	493.56	271.48	500.46	995.0	493.56	368.65	473.41	412.0	769.69	447.82	409.15	902.89	363.56	525.39	743.43	353.59	279.14	521.76	435.55	579.04	389.72	575.03	381.68	323.03	713.11	470.14	426.57	454.09	669.92	543.96	493.56	409.15	540.19	470.14	651.58	186.4	191.67	579.04	231.32	954.43	231.32	551.56	454.09	447.82	371.22	441.64	647.07	624.99	536.45	420.68	444.72	808.0	503.95	387.02	785.88	551.56	457.25	518.15	759.08	258.57	507.46	780.44	379.04	486.75	629.35	460.44	417.77	514.56	329.84	460.44	297.17	283.05	371.22	400.71	470.14	412.0	642.59	638.15	454.09	693.58	271.48	660.68	559.28
KIAA1715	320.8	118.43	51.71	149.12	251.48	153.34	171.45	134.3	128.79	438.59	159.9	165.57	301.33	136.19	172.65	198.47	156.59	141.02	155.5	156.59	187.71	193.01	97.36	92.05	123.5	231.32	129.69	161.02	161.02	191.67	134.3	209.84	139.07	177.53	231.32	287.01	81.14	84.63	185.11	127.89	341.51	116.78	154.42	127.0	139.07	143.01	137.14	170.25	221.86	185.11	152.28	113.56	237.86	90.14	146.03	327.56	285.03	156.59	195.72	253.23	128.79	117.6	320.8	134.3	161.02	281.09	154.42	141.02	169.07	90.14	175.07	112.77	140.04	128.79	147.06	121.79	115.16	283.05	201.25	205.5	325.29	181.28	289.02	283.05
KIAA2026	248.0	155.5	55.1	190.34	273.37	117.6	138.1	157.68	149.12	246.28	133.36	157.68	197.09	173.85	131.51	234.57	185.11	115.16	163.28	93.35	150.17	162.14	169.07	109.66	123.5	264.03	118.43	120.1	102.97	201.25	140.04	169.07	131.51	156.59	110.43	177.53	63.89	62.12	166.73	84.04	260.38	81.71	167.9	112.77	135.24	124.37	165.57	110.43	172.65	182.55	115.16	148.09	236.21	151.22	125.24	206.94	246.28	181.28	162.14	249.73	81.71	163.28	220.32	109.66	170.25	122.64	155.5	152.28	175.07	109.66	127.89	100.83	158.79	98.04	159.9	127.0	111.21	249.73	206.94	170.25	293.07	125.24	241.19	248.0
KIDINS220	599.49	371.22	231.32	426.57	674.59	329.84	341.51	387.02	366.09	612.11	358.54	353.59	684.02	320.8	454.09	591.22	420.68	346.29	414.87	323.03	493.56	395.18	420.68	283.05	327.56	551.56	409.15	387.02	316.37	450.94	381.68	540.19	341.51	460.44	470.14	536.45	129.69	191.67	454.09	231.32	684.02	218.79	476.71	329.84	356.05	371.22	384.34	540.19	460.44	409.15	358.54	447.82	656.11	409.15	320.8	607.87	579.04	400.71	397.93	575.03	231.32	353.59	555.41	267.73	366.09	780.44	361.04	351.14	483.38	228.13	368.65	291.04	435.55	341.51	353.59	397.93	267.73	575.03	466.88	447.82	624.99	299.25	551.56	563.18
KIF5B	1832.01	1427.22	703.28	1397.83	2351.53	1127.35	1191.69	866.07	1457.23	2163.77	896.64	1159.07	1806.78	1096.5	1340.84	1467.37	1331.57	1030.12	1030.12	1051.79	1359.57	1331.57	1477.58	961.07	1059.11	1250.98	1407.55	1397.83	1331.57	1519.15	1583.71	1233.75	1175.27	961.07	1662.49	1583.71	483.38	463.65	1151.06	866.07	2319.15	723.08	1417.35	1870.53	1001.93	669.92	1447.15	1216.75	934.76	1551.09	902.89	878.17	2148.82	1397.83	1044.52	2271.4	1551.09	1096.5	954.43	1572.76	713.11	1096.5	1832.01	1143.1	1259.69	1508.65	1277.29	1183.45	961.07	921.88	1127.35	947.83	1350.18	988.12	981.29	1340.84	1088.92	1697.45	1268.46	1551.09	1794.29	1175.27	1540.37	1745.2
KLHL24	521.76	223.41	94.67	293.07	563.18	163.28	246.28	346.29	285.03	607.87	265.87	215.77	591.22	186.4	309.83	356.05	412.0	178.77	172.65	175.07	193.01	273.37	400.71	232.94	214.27	454.09	185.11	244.57	234.57	447.82	320.8	503.95	299.25	273.37	366.09	387.02	72.01	98.04	251.48	201.25	454.09	157.68	341.51	283.05	271.48	158.79	223.41	309.83	356.05	309.83	204.07	209.84	460.44	356.05	175.07	444.72	414.87	265.87	299.25	438.59	126.12	214.27	595.34	171.45	191.67	260.38	206.94	164.42	231.32	152.28	234.57	152.28	260.38	193.01	140.04	307.69	206.94	417.77	260.38	246.28	466.88	182.55	373.81	483.38
KLHL9	529.06	476.71	220.32	397.93	620.67	307.69	387.02	384.34	420.68	796.86	423.61	395.18	624.99	260.38	397.93	567.1	493.56	339.14	432.53	253.23	466.88	392.44	373.81	239.52	277.2	503.95	480.04	356.05	343.89	435.55	406.31	514.56	423.61	423.61	547.75	559.28	111.99	178.77	432.53	190.34	688.78	258.57	432.53	450.94	435.55	251.48	336.79	368.65	470.14	476.71	279.14	368.65	651.58	454.09	332.14	679.29	532.74	414.87	420.68	559.28	202.66	384.34	638.15	318.57	368.65	314.17	353.59	303.44	389.72	312.0	376.41	212.78	186.4	363.56	329.84	371.22	309.83	536.45	476.71	454.09	555.41	400.71	543.96	543.96
KLK3	772940.66	881742.8	1345768.59	1005860.33	573724.06	1116072.03	1212874.47	800198.39	845824.19	459592.86	731246.37	887875.81	585779.24	1163466.92	1116072.03	691801.16	794671.01	751804.53	985160.01	881742.8	1063212.58	1055868.42	906531.99	1255646.43	1187913.85	706337.4	1093103.58	1139523.1	919186.72	654483.73	746611.43	805764.22	1100706.72	881742.8	1327240.99	731246.37	887875.81	1147449.11	925580.18	978355.0	394590.4	1412675.8	654483.73	906531.99	1238359.56	1327240.99	1196176.45	800198.39	985160.01	839981.65	869603.57	845824.19	805764.22	741454.2	851707.37	767601.56	627822.72	1063212.58	736332.6	716197.51	1212874.47	1238359.56	654483.73	985160.01	627822.72	721179.07	736332.6	1345768.59	938500.81	721179.07	1472666.19	1229805.58	1019901.63	828417.36	711250.37	696613.03	938500.81	691801.16	1019901.63	589853.66	546551.29	1063212.58	554180.87	573724.06
KMT2A	420.68	231.32	99.43	228.13	457.25	164.42	173.85	218.79	255.0	346.29	224.97	217.27	420.68	199.85	303.44	376.41	255.0	175.07	193.01	228.13	223.41	215.77	287.01	142.01	186.4	363.56	295.11	209.84	169.07	303.44	223.41	262.2	220.32	258.57	248.0	339.14	109.66	92.7	273.37	101.54	409.15	80.01	214.27	205.5	135.24	176.29	198.47	194.36	287.01	256.78	180.02	309.83	490.14	218.79	186.4	351.14	376.41	265.87	251.48	423.61	116.78	237.86	381.68	140.04	197.09	236.21	199.85	199.85	283.05	159.9	214.27	130.6	271.48	175.07	162.14	265.87	175.07	356.05	291.04	249.73	343.89	151.22	316.37	329.84
KPNA6	490.14	363.56	267.73	423.61	500.46	316.37	387.02	320.8	368.65	587.13	297.17	361.04	532.74	339.14	361.04	403.5	395.18	358.54	356.05	275.28	373.81	403.5	361.04	249.73	343.89	397.93	412.0	316.37	262.2	395.18	318.57	470.14	379.04	409.15	417.77	457.25	218.79	251.48	387.02	199.85	540.19	283.05	420.68	295.11	423.61	329.84	297.17	348.71	480.04	432.53	285.03	312.0	599.49	353.59	316.37	540.19	518.15	343.89	371.22	470.14	258.57	329.84	480.04	316.37	336.79	480.04	371.22	309.83	389.72	363.56	389.72	301.33	291.04	318.57	314.17	400.71	301.33	514.56	417.77	463.65	579.04	343.89	470.14	435.55
LATS1	363.56	220.32	93.35	191.67	417.77	175.07	201.25	177.53	189.02	429.54	201.25	194.36	368.65	167.9	198.47	291.04	211.31	163.28	183.82	152.28	246.28	215.77	153.34	131.51	175.07	291.04	135.24	170.25	199.85	241.19	242.88	236.21	189.02	195.72	289.02	309.83	77.25	90.77	223.41	116.78	209.84	130.6	234.57	202.66	176.29	153.34	195.72	246.28	291.04	267.73	156.59	176.29	341.51	214.27	166.73	371.22	287.01	182.55	212.78	361.04	110.43	191.67	346.29	145.02	189.02	255.0	201.25	170.25	173.85	77.79	208.38	134.3	206.94	139.07	189.02	224.97	140.04	341.51	224.97	234.57	323.03	199.85	253.23	323.03
LIMCH1	1498.22	769.69	371.22	1191.69	2609.3	447.82	825.0	693.58	718.08	2367.9	470.14	708.18	1832.01	1242.34	1183.45	1081.39	1359.57	764.36	764.36	366.09	493.56	1250.98	1096.5	463.65	802.41	450.94	808.0	518.15	540.19	1359.57	669.92	1119.56	1104.13	738.29	1233.75	902.89	175.07	299.25	1628.26	642.59	2400.97	253.23	1167.14	759.08	1340.84	902.89	796.86	1066.48	1175.27	1199.98	1088.92	896.64	1340.84	909.17	703.28	1322.37	1709.26	1059.11	902.89	1605.83	738.29	753.83	1685.71	934.76	629.35	1286.18	748.61	872.1	902.89	791.35	1030.12	409.15	525.39	591.22	679.29	1191.69	514.56	2075.59	1111.82	1096.5	2351.53	791.35	1857.6	2018.8
LRP6	339.14	258.57	94.67	183.82	277.2	175.07	158.79	115.97	199.85	412.0	95.34	128.79	327.56	81.71	194.36	228.13	191.67	122.64	161.02	118.43	133.36	139.07	152.28	132.44	126.12	150.17	164.42	148.09	138.1	204.07	186.4	131.51	104.42	217.27	194.36	209.84	90.77	63.45	156.59	125.24	229.72	88.26	199.85	139.07	167.9	84.63	162.14	116.78	215.77	256.78	127.0	141.02	251.48	112.77	154.42	232.94	271.48	231.32	181.28	351.14	86.43	151.22	301.33	133.36	154.42	150.17	142.01	130.6	146.03	89.51	202.66	115.16	115.97	102.25	127.0	155.5	144.01	241.19	201.25	187.71	303.44	107.38	211.31	334.46
LUZP1	258.57	231.32	70.51	194.36	303.44	98.73	137.14	159.9	232.94	329.84	106.63	136.19	334.46	123.5	201.25	226.54	144.01	116.78	158.79	98.04	127.0	180.02	140.04	77.79	124.37	199.85	197.09	87.65	78.34	191.67	132.44	228.13	217.27	135.24	190.34	194.36	47.5	80.57	144.01	74.06	312.0	82.29	195.72	66.65	149.12	140.04	113.56	92.05	176.29	158.79	118.43	166.73	262.2	202.66	111.21	256.78	305.55	118.43	150.17	323.03	79.45	175.07	318.57	144.01	145.02	204.07	141.02	87.65	156.59	127.89	173.85	72.01	165.57	119.26	96.68	153.34	137.14	269.6	173.85	202.66	346.29	136.19	255.0	281.09
MAGI1	454.09	248.0	150.17	232.94	336.79	131.51	123.5	217.27	229.72	339.14	279.14	208.38	426.57	220.32	325.29	414.87	277.2	181.28	334.46	232.94	221.86	214.27	209.84	244.57	185.11	325.29	323.03	305.55	180.02	236.21	239.52	269.6	205.5	312.0	237.86	232.94	88.26	113.56	351.14	143.01	432.53	156.59	269.6	217.27	183.82	198.47	229.72	218.79	273.37	309.83	165.57	275.28	395.18	307.69	190.34	305.55	316.37	277.2	279.14	400.71	116.78	242.88	579.04	88.88	194.36	221.86	214.27	182.55	255.0	262.2	248.0	132.44	229.72	154.42	177.53	325.29	138.1	376.41	267.73	334.46	371.22	129.69	332.14	323.03
MAP9	353.59	287.01	105.89	291.04	423.61	135.24	153.34	155.5	236.21	529.06	206.94	187.71	400.71	208.38	223.41	356.05	256.78	169.07	204.07	171.45	169.07	139.07	190.34	214.27	161.02	312.0	226.54	170.25	108.9	336.79	228.13	185.11	132.44	256.78	314.17	314.17	76.71	106.63	172.65	82.29	551.56	114.36	371.22	267.73	189.02	107.38	299.25	265.87	318.57	279.14	108.14	99.43	358.54	180.02	131.51	429.54	244.57	157.68	373.81	379.04	131.51	363.56	323.03	120.1	139.07	332.14	142.01	84.04	134.3	194.36	156.59	144.01	176.29	155.5	143.01	242.88	158.79	264.03	221.86	220.32	341.51	96.68	264.03	273.37
MAPK1	1639.59	599.49	273.37	813.63	1151.06	718.08	450.94	587.13	563.18	1457.23	429.54	785.88	1359.57	389.72	785.88	1073.91	651.58	638.15	674.59	547.75	928.3	836.53	665.29	473.41	708.18	909.17	1051.79	748.61	420.68	813.63	684.02	1143.1	651.58	988.12	1059.11	1340.84	249.73	253.23	802.41	307.69	1447.15	305.55	848.22	753.83	813.63	511.0	567.1	470.14	1295.13	1111.82	656.11	579.04	1583.71	842.36	607.87	1304.15	1304.15	733.19	785.88	1313.23	356.05	738.29	1437.15	493.56	624.99	1447.15	665.29	486.75	728.11	490.14	848.22	518.15	426.57	450.94	400.71	860.08	460.44	1322.37	1001.93	1143.1	1508.65	441.64	1175.27	1304.15
MARCH8	679.29	400.71	220.32	563.18	470.14	384.34	307.69	325.29	353.59	532.74	403.5	417.77	599.49	336.79	423.61	551.56	555.41	325.29	403.5	447.82	476.71	403.5	420.68	291.04	334.46	435.55	454.09	450.94	283.05	414.87	466.88	543.96	356.05	490.14	490.14	525.39	131.51	211.31	463.65	231.32	642.59	289.02	460.44	264.03	441.64	409.15	343.89	343.89	521.76	507.46	414.87	366.09	529.06	457.25	341.51	607.87	497.0	327.56	420.68	651.58	218.79	432.53	583.07	297.17	483.38	414.87	412.0	239.52	299.25	674.59	563.18	412.0	420.68	457.25	271.48	316.37	307.69	521.76	343.89	480.04	543.96	279.14	500.46	624.99
MBNL3	129.69	40.07	15.56	34.02	100.83	29.27	26.28	15.56	31.22	103.69	29.27	31.0	127.89	35.5	27.84	47.17	65.26	29.91	43.02	19.39	58.3	40.36	7.69	6.36	35.0	34.02	19.97	13.03	29.27	83.45	37.85	51.71	32.82	72.01	51.35	82.29	2.48	12.27	55.89	29.06	93.35	10.47	35.0	25.17	36.27	38.12	43.32	27.05	40.07	37.85	44.25	22.92	59.97	19.53	43.02	65.72	94.67	59.97	56.28	68.55	22.59	43.32	101.54	23.42	44.89	14.14	29.91	50.98	36.01	71.5	34.51	8.85	17.25	26.28	22.26	35.5	20.41	72.01	81.71	78.89	142.01	41.22	64.34	122.64
MED13L	514.56	223.41	87.03	260.38	738.29	155.5	224.97	346.29	251.48	525.39	256.78	277.2	575.03	208.38	312.0	423.61	332.14	237.86	299.25	327.56	264.03	289.02	339.14	291.04	237.86	532.74	332.14	241.19	169.07	403.5	297.17	466.88	262.2	277.2	332.14	441.64	78.89	90.14	305.55	127.0	543.96	139.07	341.51	236.21	277.2	309.83	244.57	281.09	429.54	329.84	217.27	265.87	620.67	289.02	167.9	454.09	432.53	379.04	303.44	454.09	137.14	218.79	518.15	173.85	237.86	708.18	249.73	221.86	339.14	201.25	301.33	153.34	318.57	217.27	217.27	297.17	182.55	493.56	336.79	339.14	555.41	211.31	379.04	423.61
MID2	361.04	145.02	133.36	215.77	325.29	127.0	165.57	167.9	156.59	339.14	128.79	201.25	376.41	183.82	237.86	262.2	267.73	104.42	204.07	84.63	181.28	202.66	239.52	169.07	215.77	204.07	215.77	165.57	114.36	248.0	148.09	312.0	212.78	189.02	204.07	212.78	96.01	115.97	198.47	105.89	299.25	104.42	223.41	325.29	201.25	215.77	142.01	126.12	242.88	237.86	141.02	177.53	384.34	197.09	122.64	269.6	273.37	183.82	212.78	341.51	105.89	244.57	293.07	132.44	152.28	341.51	167.9	118.43	185.11	187.71	220.32	146.03	158.79	131.51	130.6	265.87	133.36	289.02	236.21	255.0	358.54	142.01	262.2	358.54
MKL2	547.75	211.31	54.72	273.37	514.56	156.59	169.07	171.45	197.09	660.68	165.57	169.07	518.15	115.16	197.09	438.59	295.11	191.67	251.48	187.71	194.36	211.31	209.84	131.51	157.68	305.55	212.78	193.01	112.77	327.56	205.5	409.15	197.09	273.37	397.93	371.22	52.82	50.98	264.03	101.54	441.64	98.04	231.32	149.12	237.86	242.88	198.47	201.25	395.18	305.55	202.66	215.77	503.95	281.09	173.85	429.54	417.77	232.94	275.28	409.15	69.52	232.94	529.06	108.9	209.84	348.71	221.86	123.5	275.28	133.36	265.87	134.3	236.21	131.51	150.17	237.86	116.78	406.31	307.69	346.29	547.75	137.14	387.02	540.19
MSH6	571.05	356.05	264.03	334.46	642.59	269.6	273.37	392.44	329.84	866.07	341.51	343.89	633.73	258.57	409.15	435.55	258.57	323.03	389.72	267.73	423.61	332.14	312.0	255.0	339.14	476.71	339.14	332.14	325.29	400.71	379.04	521.76	381.68	497.0	603.67	536.45	358.54	303.44	339.14	224.97	607.87	301.33	392.44	341.51	466.88	376.41	248.0	376.41	420.68	376.41	336.79	358.54	457.25	389.72	299.25	638.15	555.41	275.28	346.29	563.18	232.94	312.0	521.76	248.0	346.29	490.14	327.56	301.33	403.5	409.15	414.87	211.31	262.2	260.38	246.28	320.8	267.73	507.46	368.65	426.57	616.37	279.14	536.45	480.04
MTR	323.03	123.5	75.64	129.69	260.38	148.09	120.94	106.63	145.02	229.72	113.56	135.24	218.79	142.01	125.24	214.27	155.5	143.01	108.14	115.16	152.28	118.43	127.0	108.9	111.21	133.36	122.64	169.07	126.12	172.65	151.22	120.94	95.34	155.5	177.53	214.27	59.13	62.12	152.28	110.43	244.57	80.01	180.02	104.42	81.14	109.66	162.14	114.36	190.34	164.42	104.42	143.01	246.28	138.1	111.99	269.6	236.21	126.12	173.85	232.94	75.11	132.44	262.2	94.01	161.02	79.45	131.51	125.24	181.28	114.36	84.04	82.87	146.03	82.29	135.24	126.12	102.25	241.19	170.25	158.79	291.04	97.36	236.21	253.23
NARG2	638.15	525.39	327.56	463.65	866.07	432.53	417.77	423.61	450.94	890.44	540.19	473.41	759.08	376.41	490.14	633.73	591.22	389.72	466.88	273.37	521.76	332.14	547.75	406.31	441.64	698.41	358.54	457.25	444.72	532.74	521.76	540.19	457.25	532.74	647.07	607.87	397.93	299.25	500.46	426.57	947.83	358.54	551.56	529.06	454.09	450.94	473.41	591.22	575.03	486.75	397.93	480.04	587.13	587.13	454.09	688.78	532.74	547.75	629.35	791.35	348.71	579.04	884.29	480.04	435.55	595.34	518.15	476.71	525.39	414.87	441.64	312.0	454.09	403.5	521.76	476.71	450.94	620.67	507.46	483.38	616.37	327.56	547.75	660.68
NFAT5	269.6	93.35	21.47	95.34	371.22	81.71	78.34	63.89	122.64	244.57	98.04	94.01	202.66	71.0	103.69	194.36	110.43	76.71	75.11	74.58	132.44	90.77	165.57	63.89	70.51	185.11	96.68	104.42	60.82	135.24	116.78	111.99	83.45	124.37	127.89	171.45	7.46	13.22	108.14	35.5	220.32	23.08	120.94	128.79	57.08	55.1	96.68	69.52	165.57	116.78	79.45	90.77	163.28	88.88	85.82	197.09	189.02	123.5	140.04	180.02	20.26	91.41	237.86	65.72	101.54	180.02	90.14	49.21	132.44	35.25	94.01	42.11	124.37	54.72	63.89	117.6	63.45	226.54	135.24	134.3	265.87	55.89	139.07	218.79
