	GTEX.117YW.1826.SM.5PNY5	GTEX.13O3O.0726.SM.5J1N7	GTEX.12584.1426.SM.5EGJ9	GTEX.13OVH.1026.SM.5J2NP	GTEX.147F4.0926.SM.5Q5EO	GTEX.11O72.1326.SM.5BC5A	GTEX.XOT4.1426.SM.4B65T	GTEX.13G51.0426.SM.5K7Z5	GTEX.144GO.0226.SM.5LUB1	GTEX.131XH.0426.SM.5DUWU	GTEX.13OW6.2526.SM.5IJEC	GTEX.11NUK.2426.SM.5BC4U	GTEX.13PVQ.2126.SM.5L3FW	GTEX.13S7M.1826.SM.5RQK6	GTEX.11GSP.2126.SM.5HL5E	GTEX.ZYY3.1726.SM.5EGH3	TCGA.EL.A4K2.01A.11R.A250.07	TCGA.BJ.A18Y.01A.11R.A13Y.07	TCGA.EM.A3AI.01A.11R.A206.07	TCGA.EM.A2CK.01A.11R.A180.07	TCGA.EM.A22K.01A.11R.A180.07	TCGA.EL.A3T6.11A.11R.A220.07	TCGA.BJ.A2NA.11A.11R.A19O.07	TCGA.EL.A3MX.11A.11R.A21D.07	TCGA.EL.A3N3.11A.11R.A20F.07	TCGA.ET.A2N5.11B.11R.A18C.07	TCGA.EL.A3H7.11A.11R.A21D.07	GTEX.OIZH.2626.SM.2HMJM	GTEX.14ASI.0726.SM.5Q5DC	GTEX.14ABY.0926.SM.5Q5DY	GTEX.113JC.0126.SM.5EGJW	GTEX.WH7G.0526.SM.3NMBI	GTEX.R55E.0826.SM.2TC5M	GTEX.YEC4.0626.SM.5CVLU	GTEX.T6MN.0626.SM.32PM9	GTEX.S341.0226.SM.5S2VG	GTEX.11GS4.0826.SM.5986J	GTEX.13OW8.0126.SM.5IJE5	GTEX.ZVP2.0426.SM.57WC2	GTEX.131XH.0526.SM.5DUX7	GTEX.13FLV.0226.SM.5J2OF	GTEX.ZTX8.0626.SM.59HKC	GTEX.QDVJ.0226.SM.2I5FV	GTEX.12ZZZ.1226.SM.59HK1	GTEX.13N1W.0826.SM.5MR5J	GTEX.ZYFC.0926.SM.5GZWW	GTEX.WWYW.0826.SM.3NB2X	GTEX.11EM3.0126.SM.5985K	GTEX.12WSK.0926.SM.5CVNQ	GTEX.117XS.0526.SM.5987Q	GTEX.1313W.0726.SM.5EGK1	GTEX.13QBU.0626.SM.5J2OG	GTEX.WHSB.1626.SM.3LK6J	GTEX.Y5V6.0526.SM.4VBRV	GTEX.SNOS.0226.SM.32PLR	GTEX.WHSE.0626.SM.4RGNF	GTEX.13O61.0226.SM.5KM52	GTEX.13X6J.0826.SM.5LU32	GTEX.OIZG.0226.SM.2TC5L	GTEX.ZZ64.0126.SM.5GZXA	GTEX.WVLH.0626.SM.3MJG7	GTEX.ZYFG.0626.SM.5GZYA	GTEX.11NSD.0126.SM.5987F	GTEX.WL46.0126.SM.3TW8I	GTEX.131YS.0726.SM.5P9G9	GTEX.XLM4.0726.SM.4AT64	GTEX.12WSC.0826.SM.5EQ5Q	GTEX.13JVG.0926.SM.5IJE1	GTEX.P78B.0526.SM.2I5F7	GTEX.XUZC.0126.SM.4BOO6	GTEX.RVPV.1226.SM.2TF73	GTEX.1399R.0126.SM.5IFEV	GTEX.1399U.0326.SM.5P9G5	GTEX.ZLWG.0526.SM.4WWFB	GTEX.132NY.1026.SM.5P9IY	GTEX.11TTK.0826.SM.5N9EG	GTEX.139UW.0126.SM.5KM1B	GTEX.YEC3.0826.SM.4WWFP	GTEX.WK11.0926.SM.3NMAU	GTEX.139T6.0326.SM.5J2LY	GTEX.T2IS.0626.SM.32QP6	GTEX.PX3G.2626.SM.2I3EG	GTEX.12WSN.0726.SM.5GCMS	GTEX.YFCO.0326.SM.4W1ZP	GTEX.11ZVC.0126.SM.5986G	GTEX.ZY6K.0226.SM.5SIAY	GTEX.1192W.0126.SM.5EGGS	GTEX.12BJ1.0426.SM.5FQSO	GTEX.1212Z.0426.SM.5FQT6	GTEX.QLQ7.0726.SM.2I5G2	GTEX.YB5E.0626.SM.4VDSE	GTEX.11ZTT.1026.SM.5EQKF	GTEX.13D11.0226.SM.5LZXL	GTEX.QXCU.0326.SM.2TC63	GTEX.ZVZP.1026.SM.5GICI	GTEX.13OW6.0726.SM.5L3FX	GTEX.11O72.2326.SM.5BC7H	GTEX.WYBS.1926.SM.3NM8N	GTEX.13PVQ.0726.SM.5L3GI	GTEX.OXRP.0326.SM.33HBJ	GTEX.13NYC.2426.SM.5MR3K	GTEX.ZYT6.0426.SM.5GID3	GTEX.13VXU.0826.SM.5KLZ2	GTEX.Z9EW.0226.SM.5CVM7	GTEX.13O21.2226.SM.5MR3L	GTEX.111FC.1026.SM.5GZX1	GTEX.ZUA1.0926.SM.4YCDX
PIGV	151.22	187.71	166.73	110.43	139.07	156.59	134.3	125.24	126.12	171.45	143.01	63.0	109.66	135.24	164.42	172.65	490.14	400.71	825.0	379.04	483.38	242.88	420.68	466.88	273.37	486.75	343.89	620.67	575.03	500.46	162.14	426.57	417.77	381.68	395.18	387.02	363.56	343.89	403.5	466.88	376.41	500.46	395.18	454.09	248.0	271.48	332.14	339.14	323.03	346.29	406.31	363.56	514.56	490.14	551.56	262.2	353.59	387.02	518.15	361.04	339.14	381.68	583.07	532.74	420.68	314.17	387.02	295.11	567.1	301.33	500.46	595.34	371.22	384.34	450.94	366.09	260.38	441.64	406.31	379.04	547.75	363.56	423.61	511.0	363.56	454.09	361.04	400.71	336.79	371.22	403.5	379.04	607.87	170.25	381.68	389.72	299.25	373.81	223.41	403.5	525.39	414.87	486.75	450.94	432.53	473.41	423.61
PPP1R3D	11.55	137.14	58.71	37.05	54.33	35.5	27.05	51.71	197.09	58.71	30.34	43.02	17.51	43.63	55.89	47.17	83.45	97.36	118.43	92.7	104.42	34.02	89.51	99.43	58.3	82.87	41.81	88.88	88.26	95.34	37.05	90.14	90.77	81.14	44.57	78.34	35.0	60.82	101.54	47.84	52.45	111.21	87.03	63.45	58.71	48.18	60.39	84.63	79.45	63.0	61.68	62.12	77.79	86.43	101.54	49.21	68.07	77.25	90.77	67.59	47.5	71.5	120.94	73.03	102.25	73.03	57.08	96.68	131.51	94.67	52.08	126.12	71.5	85.82	73.03	66.18	62.56	62.56	79.45	74.58	124.37	88.26	80.57	102.97	83.45	83.45	73.03	94.01	61.68	85.22	69.03	89.51	118.43	56.28	81.71	74.58	53.95	62.56	40.93	63.45	82.87	102.25	51.71	86.43	83.45	88.88	79.45
PPP1R3F	33.06	79.45	50.27	48.52	66.65	42.11	76.17	43.94	63.89	68.55	40.07	9.93	24.11	63.89	26.67	25.91	197.09	297.17	186.4	279.14	228.13	166.73	162.14	194.36	98.73	148.09	131.51	279.14	181.28	164.42	76.71	96.01	253.23	178.77	151.22	191.67	229.72	153.34	162.14	178.77	165.57	144.01	91.41	183.82	190.34	190.34	159.9	153.34	143.01	201.25	232.94	120.1	236.21	185.11	183.82	96.68	201.25	186.4	211.31	125.24	166.73	217.27	206.94	237.86	293.07	115.16	146.03	126.12	140.04	226.54	171.45	271.48	135.24	139.07	162.14	159.9	178.77	164.42	181.28	202.66	138.1	218.79	205.5	241.19	214.27	185.11	220.32	167.9	147.06	98.73	135.24	144.01	165.57	140.04	221.86	198.47	106.63	139.07	100.83	61.68	148.09	146.03	204.07	262.2	293.07	212.78	186.4
PPP2R4	1277.29	764.36	825.0	1457.23	1378.57	2163.77	2335.28	1936.53	1259.69	1508.65	1051.79	1081.39	1340.84	1081.39	967.76	1561.89	3325.99	3716.2	2384.37	3820.7	3768.09	2018.8	3018.3	2758.13	1923.14	3168.41	2271.4	3168.41	3372.43	3168.41	1359.57	2178.83	3847.29	2319.15	2835.7	2816.11	2400.97	2434.5	2319.15	2701.35	1977.24	2209.26	3168.41	2417.67	1977.24	3303.0	2434.5	2061.24	1417.35	2485.67	2573.36	2758.13	2855.44	2758.13	2645.74	2271.4	2976.74	2591.27	3820.7	2075.59	2240.11	2148.82	2573.36	3190.46	2720.15	2287.2	2816.11	2915.45	2835.7	2915.45	3325.99	2701.35	2255.7	2451.44	2835.7	2609.3	1561.89	3039.3	3146.52	2148.82	2573.36	2976.74	1977.24	2591.27	2018.8	3146.52	2537.92	2193.99	2240.11	2468.49	2701.35	2303.12	2664.15	1350.18	2502.97	2104.58	2104.58	3820.7	1508.65	2434.5	3303.0	2664.15	2701.35	2351.53	2720.15	3372.43	2875.3
PTCD1	43.63	46.5	32.59	69.03	32.59	44.57	45.53	35.0	42.41	54.72	37.59	28.65	74.58	55.49	53.19	42.11	143.01	124.37	267.73	115.97	109.66	72.52	120.94	166.73	96.68	136.19	93.35	149.12	131.51	137.14	75.11	122.64	177.53	102.97	117.6	122.64	88.26	103.69	121.79	108.14	120.94	120.1	112.77	96.68	70.01	85.82	82.29	108.9	113.56	112.77	133.36	93.35	172.65	102.25	150.17	75.11	116.78	121.79	123.5	96.01	118.43	137.14	149.12	154.42	137.14	98.73	105.15	76.71	162.14	156.59	149.12	141.02	127.0	118.43	106.63	116.78	83.45	95.34	132.44	129.69	115.16	173.85	109.66	100.13	112.77	112.77	97.36	135.24	99.43	94.01	98.73	101.54	135.24	126.12	133.36	112.77	75.11	117.6	96.01	96.68	100.13	131.51	104.42	136.19	147.06	135.24	156.59
PYGO2	303.44	275.28	297.17	441.64	204.07	153.34	423.61	318.57	466.88	307.69	287.01	134.3	332.14	325.29	221.86	232.94	974.5	1191.69	1159.07	1407.55	1159.07	532.74	1044.52	1143.1	718.08	802.41	525.39	1369.04	1159.07	1081.39	532.74	842.36	1277.29	819.3	813.63	813.63	603.67	723.08	748.61	921.88	743.43	890.44	688.78	884.29	603.67	802.41	665.29	551.56	674.59	571.05	884.29	728.11	1051.79	941.27	802.41	511.0	813.63	1015.93	1023.0	748.61	813.63	848.22	1183.45	974.5	1119.56	532.74	753.83	748.61	1331.57	928.3	785.88	1304.15	733.19	723.08	995.0	896.64	698.41	764.36	878.17	808.0	872.1	1159.07	780.44	1044.52	693.58	915.51	728.11	769.69	830.75	836.53	764.36	896.64	1183.45	514.56	884.29	808.0	476.71	995.0	559.28	825.0	941.27	1242.34	934.76	884.29	902.89	1397.83	1044.52
RBM48	78.34	75.64	80.57	82.87	125.24	164.42	135.24	96.01	117.6	84.04	102.97	38.95	104.42	58.71	52.08	53.57	215.77	255.0	547.75	262.2	267.73	165.57	249.73	234.57	182.55	244.57	158.79	248.0	285.03	236.21	187.71	244.57	262.2	209.84	177.53	223.41	170.25	267.73	209.84	172.65	172.65	291.04	275.28	214.27	208.38	155.5	232.94	229.72	277.2	162.14	277.2	234.57	242.88	332.14	226.54	182.55	173.85	212.78	236.21	206.94	153.34	249.73	361.04	279.14	291.04	223.41	209.84	175.07	323.03	295.11	217.27	346.29	204.07	249.73	231.32	212.78	260.38	183.82	291.04	264.03	341.51	255.0	297.17	253.23	228.13	287.01	202.66	215.77	246.28	255.0	206.94	242.88	305.55	241.19	221.86	189.02	150.17	173.85	199.85	316.37	287.01	262.2	220.32	269.6	244.57	316.37	291.04
RNF167	2032.85	890.44	1923.14	1745.2	1159.07	1487.87	2047.0	2178.83	1143.1	1508.65	2417.67	769.69	1617.0	2351.53	2591.27	1870.53	3690.52	3349.13	4869.99	3515.68	3639.7	3325.99	3768.09	3665.02	2664.15	3982.99	2537.92	4298.64	3982.99	3467.27	2335.28	3395.89	4210.15	3491.39	3419.52	3467.27	3564.78	3564.78	3639.7	3928.15	2956.17	3665.02	3515.68	3419.52	3303.0	2875.3	3146.52	3257.52	3280.18	3325.99	4181.07	3039.3	3303.0	2664.15	3639.7	1769.57	4123.49	3589.58	3847.29	2664.15	3665.02	3303.0	3614.55	4095.0	4298.64	3690.52	4419.52	2796.65	4010.71	4210.15	4607.24	4095.0	3349.13	3564.78	3768.09	3018.3	2682.69	3639.7	3820.7	3257.52	3901.01	3303.0	3060.45	3614.55	3395.89	3639.7	3419.52	2935.74	3690.52	2816.11	3303.0	3515.68	3982.99	2682.69	3325.99	3768.09	2319.15	3395.89	2417.67	3124.78	3639.7	4268.94	3742.05	3325.99	3467.27	4512.4	3901.01
RNF187	1437.15	1051.79	2209.26	1447.15	2104.58	2119.22	1617.0	1651.0	1397.83	2193.99	1819.35	708.18	1295.13	2075.59	2047.0	1572.76	6607.01	8247.98	7537.18	8363.13	7642.41	4903.87	6561.36	7081.29	4298.64	6745.86	5076.84	6381.92	9409.14	7485.11	2835.7	4328.55	8363.13	7749.1	4575.41	7537.18	6607.01	6079.61	6745.86	8598.28	4575.41	5711.87	6164.49	7331.05	6471.02	5479.15	8901.53	11189.6	5366.37	5441.3	7331.05	6652.97	6294.04	6887.62	4802.93	3257.52	7382.04	7857.29	11664.82	7180.15	4972.34	6337.83	6935.54	9215.48	7485.11	6561.36	5594.3	4972.34	7857.29	5219.6	7180.15	9474.59	5872.48	7180.15	4903.87	6294.04	3742.05	5441.3	6699.25	7382.04	4869.99	6294.04	4937.99	9025.81	5441.3	6699.25	5954.47	6337.83	5672.41	4769.75	6337.83	7911.95	5555.65	3190.46	7382.04	5292.48	4328.55	7749.1	3467.27	4268.94	14262.1	7749.1	6887.62	5672.41	5219.6	7331.05	6294.04
RNF220	802.41	483.38	633.73	854.13	500.46	620.67	842.36	529.06	718.08	728.11	713.11	551.56	915.51	884.29	764.36	607.87	1519.15	1457.23	1104.13	1295.13	1561.89	1066.48	1397.83	1551.09	1199.98	1467.37	988.12	1529.73	1277.29	1407.55	753.83	1477.58	1757.34	1304.15	1167.14	1572.76	1143.1	1066.48	1617.0	1572.76	1096.5	1388.16	1143.1	1216.75	1199.98	1104.13	1096.5	1359.57	1417.35	1313.23	1268.46	1359.57	1417.35	1277.29	1896.65	848.22	1551.09	1551.09	1417.35	1322.37	1023.0	1437.15	1709.26	1498.22	1639.59	1059.11	1417.35	1051.79	1651.0	1551.09	1359.57	1487.87	1540.37	1769.57	1119.56	1167.14	1159.07	1225.22	1477.58	1551.09	1594.73	1233.75	1304.15	1295.13	1259.69	1447.15	1313.23	1697.45	1151.06	1167.14	1159.07	1340.84	1551.09	1119.56	1662.49	1268.46	1111.82	1407.55	1066.48	941.27	1417.35	1519.15	1250.98	1417.35	1175.27	1551.09	1388.16
RP4-758J18.2	54.72	162.14	117.6	264.03	133.36	145.02	147.06	187.71	202.66	101.54	185.11	62.12	129.69	128.79	178.77	115.16	521.76	579.04	785.88	536.45	497.0	277.2	555.41	521.76	314.17	518.15	231.32	665.29	500.46	420.68	295.11	483.38	540.19	518.15	314.17	426.57	314.17	265.87	441.64	420.68	228.13	493.56	497.0	348.71	366.09	351.14	232.94	332.14	392.44	283.05	403.5	392.44	551.56	450.94	480.04	279.14	420.68	406.31	486.75	450.94	301.33	540.19	571.05	412.0	476.71	307.69	381.68	316.37	559.28	591.22	397.93	536.45	476.71	417.77	454.09	397.93	348.71	486.75	414.87	483.38	397.93	493.56	441.64	373.81	312.0	473.41	371.22	470.14	289.02	392.44	351.14	412.0	457.25	260.38	500.46	348.71	253.23	532.74	332.14	341.51	379.04	460.44	417.77	476.71	511.0	551.56	503.95
RPP25L	438.59	121.79	182.55	279.14	111.21	221.86	212.78	148.09	189.02	202.66	262.2	197.09	265.87	279.14	242.88	273.37	723.08	764.36	780.44	802.41	728.11	679.29	896.64	660.68	532.74	836.53	521.76	988.12	860.08	775.05	305.55	733.19	842.36	733.19	514.56	669.92	532.74	651.58	785.88	698.41	532.74	728.11	703.28	463.65	444.72	500.46	698.41	665.29	547.75	397.93	825.0	813.63	1037.29	780.44	830.75	392.44	780.44	665.29	878.17	607.87	595.34	703.28	947.83	848.22	733.19	651.58	559.28	450.94	988.12	954.43	780.44	1059.11	688.78	884.29	575.03	830.75	346.29	796.86	693.58	713.11	620.67	796.86	703.28	1066.48	525.39	733.19	595.34	555.41	497.0	674.59	743.43	733.19	954.43	348.71	808.0	651.58	435.55	703.28	400.71	616.37	708.18	769.69	633.73	665.29	848.22	941.27	860.08
RPP38	127.0	285.03	136.19	244.57	146.03	301.33	255.0	182.55	275.28	265.87	246.28	99.43	293.07	163.28	234.57	180.02	511.0	503.95	470.14	559.28	397.93	361.04	500.46	476.71	361.04	532.74	323.03	460.44	591.22	466.88	265.87	483.38	532.74	457.25	348.71	460.44	285.03	460.44	466.88	392.44	323.03	514.56	444.72	423.61	363.56	417.77	316.37	441.64	414.87	361.04	540.19	412.0	470.14	521.76	463.65	323.03	466.88	483.38	457.25	395.18	351.14	450.94	567.1	493.56	529.06	525.39	384.34	381.68	457.25	616.37	389.72	575.03	529.06	490.14	435.55	555.41	389.72	389.72	555.41	514.56	543.96	473.41	420.68	575.03	336.79	403.5	435.55	511.0	371.22	450.94	547.75	473.41	595.34	363.56	486.75	426.57	307.69	511.0	361.04	463.65	500.46	551.56	295.11	409.15	454.09	599.49	486.75
RWDD2B	137.14	89.51	53.95	137.14	118.43	100.83	113.56	115.16	108.9	124.37	166.73	57.89	130.6	152.28	197.09	106.63	447.82	363.56	547.75	395.18	429.54	209.84	371.22	329.84	256.78	392.44	231.32	379.04	633.73	547.75	107.38	299.25	483.38	353.59	376.41	265.87	224.97	297.17	334.46	447.82	251.48	293.07	291.04	387.02	132.44	373.81	153.34	303.44	275.28	251.48	476.71	316.37	351.14	371.22	323.03	148.09	307.69	463.65	450.94	277.2	271.48	329.84	289.02	441.64	389.72	236.21	403.5	232.94	457.25	289.02	403.5	514.56	214.27	325.29	389.72	406.31	246.28	251.48	441.64	289.02	547.75	351.14	279.14	368.65	307.69	412.0	285.03	228.13	248.0	218.79	309.83	320.8	285.03	166.73	248.0	336.79	246.28	384.34	195.72	356.05	348.71	358.54	444.72	392.44	381.68	559.28	470.14
SCNM1	283.05	420.68	285.03	543.96	267.73	463.65	351.14	379.04	400.71	587.13	591.22	314.17	543.96	633.73	460.44	295.11	1073.91	1066.48	1059.11	941.27	941.27	703.28	988.12	902.89	723.08	860.08	555.41	669.92	808.0	775.05	460.44	651.58	1044.52	830.75	733.19	633.73	616.37	764.36	764.36	775.05	674.59	813.63	785.88	595.34	698.41	693.58	567.1	718.08	780.44	660.68	934.76	688.78	708.18	679.29	616.37	483.38	764.36	780.44	753.83	679.29	620.67	825.0	884.29	1044.52	1216.75	860.08	693.58	808.0	780.44	896.64	759.08	921.88	743.43	791.35	890.44	854.13	684.02	854.13	860.08	665.29	1044.52	947.83	878.17	808.0	890.44	728.11	848.22	679.29	571.05	497.0	928.3	743.43	941.27	703.28	698.41	808.0	381.68	796.86	802.41	665.29	1044.52	1111.82	551.56	941.27	791.35	796.86	981.29
SDF2	525.39	928.3	896.64	785.88	921.88	1250.98	684.02	1487.87	1417.35	1008.9	872.1	1250.98	902.89	890.44	684.02	884.29	1769.57	1733.13	2163.77	1832.01	1936.53	1407.55	1870.53	1322.37	1242.34	1639.59	1111.82	1950.0	1923.14	1977.24	1001.93	1417.35	1896.65	1745.2	1199.98	1127.35	1605.83	1540.37	1437.15	1709.26	1259.69	1709.26	1551.09	1909.85	1208.34	1225.22	1388.16	1378.57	1167.14	1183.45	1508.65	1175.27	1651.0	1819.35	1709.26	1304.15	1477.58	1819.35	1628.26	1467.37	1457.23	1572.76	1733.13	1832.01	1427.22	1378.57	1697.45	1023.0	1540.37	1685.71	1832.01	1936.53	1250.98	1628.26	1350.18	1151.06	1037.29	1397.83	1467.37	1388.16	1832.01	1286.18	1208.34	2004.85	1447.15	1572.76	1378.57	1540.37	1437.15	1477.58	1733.13	1639.59	1977.24	1030.12	1594.73	1467.37	1617.0	1467.37	1340.84	1519.15	1605.83	1477.58	1806.78	1950.0	1417.35	1806.78	1331.57
SH3BP5L	156.59	185.11	177.53	154.42	239.52	236.21	356.05	176.29	198.47	111.21	218.79	90.14	190.34	273.37	162.14	329.84	435.55	447.82	376.41	348.71	400.71	336.79	371.22	483.38	318.57	384.34	275.28	361.04	312.0	293.07	305.55	373.81	409.15	423.61	343.89	447.82	316.37	279.14	397.93	251.48	327.56	368.65	438.59	253.23	353.59	253.23	450.94	291.04	361.04	283.05	343.89	381.68	473.41	438.59	397.93	297.17	392.44	314.17	343.89	381.68	267.73	395.18	518.15	368.65	426.57	283.05	293.07	420.68	507.46	454.09	312.0	429.54	403.5	295.11	412.0	303.44	299.25	397.93	305.55	320.8	417.77	395.18	547.75	412.0	429.54	466.88	511.0	334.46	327.56	285.03	373.81	514.56	511.0	180.02	384.34	327.56	211.31	353.59	273.37	351.14	521.76	432.53	279.14	400.71	503.95	387.02	414.87
SIRT4	4.46	0.0	7.34	12.83	8.0	11.38	14.67	7.69	31.22	22.43	70.51	6.06	6.26	23.93	24.81	20.11	51.35	63.89	77.25	61.68	66.65	37.85	63.89	74.58	40.93	59.55	20.56	84.04	80.01	88.88	13.22	53.57	86.43	34.26	44.89	56.28	21.16	33.54	51.71	54.72	37.85	39.22	49.21	45.53	24.28	33.78	24.28	24.11	36.01	40.07	49.21	49.91	72.01	90.14	75.11	12.55	69.03	71.0	77.25	22.43	25.91	108.9	125.24	85.22	83.45	30.12	70.01	32.59	130.6	69.03	53.95	100.83	30.78	58.3	63.89	42.11	25.91	50.63	85.82	34.26	55.1	82.87	78.89	115.97	53.19	77.25	47.84	38.4	21.78	35.0	92.7	48.87	107.38	14.67	57.08	52.08	11.21	81.14	13.12	51.71	39.5	80.57	67.12	63.45	68.55	67.59	79.45
SMUG1	273.37	180.02	209.84	395.18	136.19	289.02	273.37	234.57	277.2	172.65	567.1	295.11	571.05	480.04	733.19	532.74	1066.48	748.61	1529.73	890.44	769.69	563.18	878.17	718.08	536.45	674.59	429.54	860.08	854.13	708.18	353.59	738.29	941.27	642.59	718.08	866.07	532.74	583.07	638.15	563.18	473.41	802.41	796.86	555.41	325.29	493.56	529.06	612.11	567.1	473.41	718.08	819.3	947.83	836.53	595.34	351.14	708.18	748.61	902.89	571.05	723.08	733.19	753.83	872.1	860.08	555.41	693.58	503.95	878.17	780.44	890.44	860.08	674.59	555.41	698.41	842.36	361.04	759.08	995.0	684.02	854.13	738.29	764.36	842.36	612.11	629.35	830.75	536.45	507.46	536.45	791.35	808.0	954.43	329.84	698.41	698.41	486.75	890.44	559.28	603.67	928.3	819.3	607.87	775.05	748.61	921.88	872.1
SNRNP25	866.07	226.54	339.14	237.86	150.17	299.25	262.2	271.48	137.14	423.61	591.22	173.85	358.54	426.57	587.13	674.59	1225.22	791.35	1417.35	981.29	587.13	988.12	1216.75	961.07	703.28	1037.29	738.29	454.09	1037.29	1277.29	420.68	854.13	1745.2	563.18	785.88	842.36	995.0	1295.13	612.11	1331.57	1008.9	733.19	718.08	961.07	842.36	1096.5	536.45	571.05	708.18	890.44	1617.0	785.88	780.44	490.14	791.35	389.72	988.12	1295.13	1151.06	435.55	947.83	780.44	1081.39	1268.46	1447.15	1225.22	1417.35	995.0	1250.98	1322.37	1127.35	896.64	567.1	1001.93	878.17	1015.93	575.03	1286.18	1397.83	890.44	1322.37	1111.82	733.19	1151.06	848.22	1015.93	842.36	633.73	743.43	693.58	928.3	878.17	1508.65	660.68	860.08	1073.91	583.07	1175.27	540.19	884.29	909.17	1540.37	1199.98	947.83	941.27	1583.71	1242.34
SNX17	764.36	974.5	934.76	1508.65	1008.9	1167.14	1487.87	1313.23	1096.5	1183.45	1008.9	642.59	1225.22	1350.18	1143.1	961.07	2178.83	2796.65	2303.12	2664.15	2609.3	2032.85	2777.33	2148.82	2090.03	2555.58	1709.26	2627.46	2720.15	2018.8	1487.87	2664.15	2573.36	2645.74	2303.12	2351.53	1977.24	1950.0	2520.38	2555.58	1540.37	2240.11	2287.2	2351.53	2178.83	2178.83	1628.26	1950.0	1639.59	1685.71	2148.82	2119.22	2502.97	2400.97	2591.27	1519.15	2609.3	2485.67	2451.44	2400.97	2032.85	2664.15	2075.59	2319.15	2502.97	2104.58	2032.85	1844.76	2303.12	3146.52	2555.58	2417.67	2240.11	2520.38	1709.26	2224.63	1745.2	2271.4	2591.27	2367.9	2335.28	2537.92	1819.35	2682.69	1806.78	2835.7	1844.76	2119.22	1870.53	2537.92	2758.13	2287.2	2855.44	1639.59	2573.36	1977.24	1977.24	2502.97	1508.65	1832.01	1883.54	2287.2	2367.9	2351.53	2520.38	2573.36	2240.11
SPRYD3	429.54	376.41	909.17	872.1	540.19	981.29	540.19	563.18	674.59	934.76	607.87	476.71	476.71	647.07	1066.48	769.69	1359.57	1923.14	1745.2	2004.85	1832.01	1268.46	1697.45	1651.0	1119.56	1883.54	1066.48	2119.22	1685.71	1216.75	693.58	1304.15	1697.45	1674.06	1233.75	1832.01	1233.75	1216.75	1594.73	1936.53	1151.06	1322.37	1605.83	1225.22	1427.22	1745.2	1143.1	1870.53	1059.11	1159.07	1167.14	1508.65	1651.0	2075.59	1870.53	1051.79	2004.85	1417.35	1662.49	1819.35	1119.56	1639.59	1350.18	1295.13	1331.57	848.22	1313.23	1359.57	1923.14	2133.97	1561.89	1457.23	1457.23	1651.0	1127.35	1051.79	928.3	1605.83	1605.83	1583.71	1388.16	1721.16	1104.13	1313.23	1268.46	1540.37	1259.69	1832.01	1331.57	2004.85	1447.15	1540.37	1936.53	1008.9	1167.14	1242.34	1268.46	1561.89	854.13	1322.37	1417.35	1208.34	1540.37	2148.82	1519.15	1508.65	1216.75
STK16	808.0	567.1	309.83	493.56	351.14	291.04	493.56	346.29	387.02	559.28	713.11	466.88	698.41	738.29	718.08	665.29	1073.91	1030.12	1135.2	947.83	988.12	753.83	941.27	967.76	791.35	1081.39	642.59	961.07	1233.75	802.41	896.64	1104.13	1044.52	1030.12	1030.12	961.07	723.08	896.64	890.44	890.44	1023.0	1066.48	1059.11	921.88	1119.56	830.75	669.92	1143.1	1059.11	769.69	1037.29	961.07	1066.48	988.12	1059.11	723.08	1088.92	921.88	1143.1	1051.79	813.63	813.63	902.89	1073.91	1037.29	928.3	1030.12	1023.0	1066.48	884.29	1127.35	988.12	1051.79	947.83	909.17	1119.56	808.0	902.89	1051.79	1008.9	1088.92	1081.39	909.17	1030.12	896.64	921.88	954.43	1096.5	836.53	902.89	1135.2	1051.79	941.27	1286.18	878.17	941.27	688.78	1159.07	947.83	836.53	915.51	1081.39	954.43	1008.9	1081.39	1175.27	1143.1
SWSAP1	44.57	27.64	27.84	37.59	18.29	12.36	24.81	23.93	32.82	24.63	27.64	11.82	36.79	31.22	24.46	34.26	109.66	92.7	121.79	86.43	88.88	43.32	94.01	93.35	52.08	101.54	32.13	107.38	75.11	78.34	42.71	80.57	77.25	61.25	89.51	79.45	47.5	54.33	87.03	77.79	65.72	97.36	70.51	58.71	53.19	54.33	35.25	57.89	76.71	43.02	98.04	66.18	81.71	104.42	98.04	39.79	102.97	74.06	88.88	57.08	53.95	111.99	115.16	63.45	109.66	66.18	81.14	96.68	99.43	143.01	74.58	96.01	72.52	94.67	102.25	91.41	52.45	99.43	73.54	74.58	68.07	93.35	63.45	132.44	67.12	95.34	96.01	69.03	74.06	76.17	107.38	75.64	113.56	44.57	87.03	81.71	37.85	59.97	70.01	49.56	51.35	94.01	62.56	65.72	84.63	111.99	103.69
