	TCGA.2K.A9WE.01A.11R.A38C.07	TCGA.KV.A6GD.01A.11R.A31O.07	TCGA.4A.A93Y.01A.11R.A37K.07	TCGA.A4.A48D.01A.11R.A24Z.07	TCGA.GL.A4EM.01A.11R.A24Z.07	TCGA.Y8.A8S1.01A.11R.A37K.07	TCGA.B1.5398.01A.02R.1592.07	TCGA.IA.A83V.01A.11R.A355.07	TCGA.IA.A83T.01A.11R.A355.07	TCGA.DD.AACX.01A.11R.A41C.07	TCGA.2Y.A9GW.01A.11R.A38B.07	TCGA.G3.A5SM.01A.12R.A28V.07	TCGA.DD.A4NQ.01A.21R.A28V.07	TCGA.DD.A1EG.01A.11R.A213.07	TCGA.DD.AAEI.01A.11R.A41C.07	TCGA.DD.AACL.01A.11R.A41C.07	TCGA.G3.AAV3.01A.11R.A37K.07	TCGA.DD.AAE1.01A.11R.A41C.07	TCGA.EP.A3JL.01A.11R.A213.07	TCGA.FV.A2QQ.01A.11R.A22L.07	TCGA.DD.A4NR.01A.11R.A311.07	TCGA.G3.A7M7.01A.12R.A352.07	TCGA.K7.A5RG.01A.11R.A28V.07	TCGA.DD.AACQ.01A.11R.A41C.07	TCGA.DD.AACZ.01A.11R.A41C.07	TCGA.CC.A3MC.01A.11R.A22L.07	TCGA.CC.5262.01A.01R.A131.07	TCGA.EP.A2KB.01A.11R.A180.07	TCGA.T1.A6J8.01A.11R.A32O.07	TCGA.DD.AACP.01A.11R.A41C.07	TCGA.DD.AACT.01A.11R.A41C.07	TCGA.ED.A7XP.01A.11R.A352.07	TCGA.O8.A75V.01A.11R.A32O.07	TCGA.BD.A3EP.01A.11R.A22L.07	TCGA.CC.A7IK.01A.12R.A33R.07	TCGA.DD.A39Y.01A.11R.A213.07	TCGA.MI.A75H.01A.11R.A32O.07	TCGA.DD.AAC8.01A.11R.A41C.07	TCGA.DD.A1EL.01A.11R.A155.07	TCGA.HP.A5MZ.01A.21R.A27V.07	TCGA.G3.AAV5.01A.11R.A37K.07	TCGA.EP.A2KC.01A.11R.A213.07	TCGA.CC.A5UE.01A.11R.A28V.07	TCGA.GJ.A3OU.01A.31R.A38B.07	TCGA.GJ.A6C0.01A.12R.A311.07	TCGA.UB.A7MD.01A.12R.A352.07	TCGA.MI.A75E.01A.11R.A32O.07	GTEX.YFC4.1526.SM.5IFJS	GTEX.X4EO.1126.SM.4QARQ	GTEX.ZYT6.0626.SM.5E45V	GTEX.13N11.0926.SM.5IJG2	GTEX.145MF.0826.SM.5QGQA	GTEX.139TS.1426.SM.5IFJD	GTEX.P78B.1326.SM.3P611	GTEX.1399R.1226.SM.5P9GF	GTEX.Q734.0326.SM.48U15	GTEX.R53T.0326.SM.48FEC	TCGA.L4.A4E6.01A.11R.A24H.07	TCGA.75.6203.01A.11R.1755.07	TCGA.38.4631.01A.01R.1755.07	TCGA.95.7043.01A.11R.1949.07	TCGA.91.6829.11A.01R.1858.07	TCGA.91.6836.11A.01R.1858.07	TCGA.38.4632.11A.01R.1755.07	TCGA.38.4626.11A.01R.1758.07	GTEX.P44H.1126.SM.48TBU	GTEX.12WSG.0326.SM.5FQU3	GTEX.13D11.0326.SM.5LZXX	GTEX.1313W.0926.SM.5EQ56	GTEX.ZZPU.0526.SM.5E44U	GTEX.13RTJ.1126.SM.5S2UJ	GTEX.QV44.0926.SM.2S1RH	GTEX.ZYFG.0226.SM.5GIDT	GTEX.P4QR.1026.SM.2I5GP	GTEX.ZTTD.1126.SM.51MRP	GTEX.S4Q7.0426.SM.3K2BJ	GTEX.V1D1.0826.SM.3P5ZA	GTEX.YB5E.0726.SM.4VDSH	GTEX.139YR.0926.SM.5LZYB	GTEX.XUJ4.1426.SM.4BONT	GTEX.ZAB4.0626.SM.5CVN3	GTEX.139T6.0426.SM.5IJEM	GTEX.R55G.0826.SM.2TC5U	GTEX.12696.1026.SM.5FQUV	GTEX.13FLV.0426.SM.5KLZA	GTEX.ZAB5.0626.SM.5PNVB	GTEX.P78B.0926.SM.2I5FA	GTEX.132QS.0726.SM.5IJE9	GTEX.PWOO.0726.SM.2I3EB	GTEX.11NUK.0826.SM.5HL4U	GTEX.WH7G.0726.SM.3NMBM	GTEX.Y8E4.0526.SM.4V6GC	GTEX.WVJS.0826.SM.4MVNR	GTEX.ZPIC.0626.SM.57WDY	GTEX.131XE.0726.SM.5HL9K	GTEX.11P81.0226.SM.5HL5M	GTEX.T8EM.0326.SM.3DB7F	GTEX.XBED.0826.SM.47JYC	GTEX.Y8LW.0326.SM.4VBQ9	GTEX.SUCS.0626.SM.32PM5	GTEX.NFK9.1026.SM.2HMK1	GTEX.13OW8.1726.SM.5L3GO	GTEX.14A6H.0526.SM.5NQAZ	TCGA.18.3411.01A.01R.0980.07	TCGA.77.8007.11A.01R.2187.07	TCGA.AJ.A3BG.01A.11R.A19W.07
KLF4	884.29	902.89	438.59	423.61	223.41	412.0	341.51	273.37	163.28	151.22	56.28	28.65	148.09	201.25	15.34	39.22	41.52	183.82	63.45	40.36	480.04	16.15	148.09	44.57	264.03	78.89	67.12	70.51	75.64	116.78	46.18	152.28	118.43	191.67	52.08	214.27	27.25	74.58	167.9	166.73	45.21	132.44	409.15	136.19	82.29	616.37	122.64	83.45	88.88	43.02	441.64	36.53	102.25	60.82	96.01	248.0	46.5	1487.87	540.19	703.28	135.24	1008.9	2090.03	669.92	3103.19	1909.85	848.22	2573.36	441.64	3146.52	759.08	486.75	3280.18	4268.94	555.41	629.35	2303.12	1388.16	1844.76	1498.22	1519.15	1769.57	1369.04	1583.71	9279.58	2875.3	2720.15	4802.93	753.83	1066.48	3257.52	2018.8	389.72	1963.57	872.1	2163.77	2502.97	2148.82	759.08	4512.4	7081.29	9344.14	480.04	215.77	1674.06	293.07
KLF6	4066.71	2255.7	2133.97	1487.87	796.86	738.29	1477.58	1417.35	954.43	860.08	1081.39	988.12	336.79	529.06	693.58	356.05	343.89	571.05	249.73	1286.18	1001.93	493.56	521.76	109.66	825.0	688.78	265.87	2090.03	934.76	327.56	329.84	1001.93	571.05	669.92	603.67	277.2	607.87	1191.69	1583.71	1233.75	1096.5	1216.75	902.89	902.89	232.94	3257.52	381.68	1268.46	3124.78	915.51	698.41	909.17	674.59	775.05	1259.69	1519.15	633.73	2417.67	1857.6	1295.13	384.34	1950.0	4972.34	1685.71	3103.19	7749.1	2240.11	7180.15	2485.67	4298.64	3589.58	3665.02	7803.01	7433.4	1233.75	1844.76	2720.15	1295.13	4328.55	1832.01	5366.37	3639.7	2119.22	3690.52	8363.13	3467.27	2777.33	4123.49	2193.99	5672.41	5995.9	4769.75	2720.15	4388.98	2645.74	5913.33	2645.74	1923.14	1208.34	9808.75	4038.61	8078.22	2032.85	417.77	2573.36	223.41
KLHDC1	35.5	37.85	31.45	9.27	11.82	5.54	12.55	22.92	18.16	13.03	42.41	10.63	8.85	7.51	7.34	5.92	34.75	31.0	17.64	17.77	17.38	15.34	19.25	30.56	12.45	10.88	7.11	19.68	35.25	8.92	13.93	33.54	15.56	49.56	26.86	4.9	24.99	42.11	13.22	28.86	11.3	41.22	18.03	29.27	17.25	19.53	18.16	17.9	17.51	61.68	14.35	33.06	27.25	23.93	25.91	25.91	23.25	62.12	52.82	14.67	23.93	48.18	85.82	37.05	38.4	102.25	76.17	27.25	59.97	48.18	78.34	34.26	77.25	50.63	70.51	18.56	59.13	81.14	24.28	54.72	55.1	44.89	23.08	108.14	39.5	98.04	74.06	43.63	26.47	63.89	41.52	82.29	115.16	45.85	94.67	63.0	59.55	28.24	120.1	69.52	60.82	91.41	73.03	16.88	40.36	3.08
KLHL28	55.1	35.0	65.72	29.7	29.06	24.28	70.51	36.79	32.36	45.85	45.21	34.75	31.22	40.07	25.17	30.34	32.36	29.91	22.43	28.24	40.36	29.91	84.63	40.64	39.5	38.4	42.71	28.24	44.89	24.46	23.25	71.0	18.16	80.57	65.26	12.93	35.0	40.07	38.12	49.91	19.68	49.56	32.13	52.82	45.53	56.68	34.75	75.11	57.89	51.35	53.19	71.5	48.87	31.0	37.59	65.26	62.12	83.45	102.25	47.84	96.68	112.77	98.73	87.65	89.51	124.37	130.6	92.7	112.77	124.37	129.69	70.01	124.37	96.01	104.42	91.41	103.69	77.79	98.04	123.5	111.99	101.54	67.59	120.94	111.21	156.59	133.36	84.04	48.87	144.01	119.26	118.43	90.14	129.69	101.54	159.9	162.14	87.03	110.43	91.41	119.26	80.01	74.58	108.14	98.04	33.78
KMT2D	351.14	312.0	387.02	221.86	297.17	255.0	358.54	199.85	269.6	305.55	346.29	242.88	246.28	204.07	237.86	175.07	256.78	339.14	163.28	182.55	503.95	195.72	381.68	297.17	490.14	262.2	120.1	220.32	267.73	361.04	264.03	368.65	154.42	373.81	532.74	70.01	169.07	255.0	206.94	197.09	124.37	267.73	137.14	249.73	346.29	373.81	189.02	150.17	84.63	187.71	246.28	108.14	131.51	147.06	156.59	241.19	149.12	567.1	441.64	264.03	279.14	463.65	647.07	229.72	318.57	1662.49	909.17	595.34	447.82	688.78	226.54	208.38	802.41	312.0	323.03	483.38	466.88	277.2	371.22	529.06	265.87	1008.9	358.54	647.07	656.11	764.36	299.25	738.29	397.93	1529.73	351.14	447.82	260.38	708.18	371.22	368.65	366.09	896.64	420.68	587.13	1096.5	848.22	343.89	156.59	301.33	195.72
KMT2E	293.07	205.5	246.28	79.45	98.04	45.85	137.14	143.01	121.79	156.59	211.31	158.79	175.07	143.01	133.36	105.15	144.01	199.85	91.41	94.01	164.42	56.28	293.07	113.56	187.71	169.07	112.77	152.28	126.12	161.02	150.17	271.48	70.51	260.38	351.14	87.03	118.43	175.07	77.25	173.85	77.25	249.73	141.02	231.32	159.9	190.34	119.26	159.9	106.63	133.36	124.37	96.01	89.51	73.03	130.6	228.13	118.43	490.14	529.06	320.8	620.67	473.41	679.29	329.84	361.04	775.05	688.78	406.31	500.46	473.41	490.14	283.05	503.95	497.0	384.34	275.28	406.31	289.02	373.81	483.38	733.19	450.94	384.34	713.11	1159.07	698.41	435.55	511.0	273.37	890.44	397.93	480.04	417.77	529.06	540.19	583.07	688.78	447.82	555.41	397.93	684.02	713.11	438.59	269.6	343.89	99.43
LRRC8C	66.65	43.32	135.24	44.89	41.22	44.25	74.58	36.27	47.84	11.38	34.26	26.67	19.97	29.7	16.63	36.27	22.43	14.89	28.04	18.16	45.53	13.42	84.63	7.22	37.85	15.8	30.56	13.22	12.27	41.22	14.56	35.25	13.32	46.18	17.38	8.78	28.45	10.31	15.0	49.91	8.19	19.25	7.69	87.03	34.26	24.63	24.11	8.65	17.25	21.47	28.04	9.7	15.34	13.93	26.86	33.54	18.03	123.5	148.09	23.59	26.67	224.97	206.94	138.1	151.22	307.69	312.0	301.33	134.3	204.07	79.45	134.3	135.24	114.36	116.78	105.15	204.07	129.69	94.67	161.02	264.03	108.9	163.28	248.0	420.68	299.25	162.14	127.0	43.32	231.32	137.14	144.01	95.34	124.37	132.44	180.02	234.57	217.27	173.85	104.42	285.03	195.72	115.97	82.87	157.68	14.56
LRRFIP1	1023.0	1233.75	1073.91	555.41	571.05	256.78	669.92	450.94	287.01	688.78	674.59	796.86	403.5	656.11	660.68	361.04	595.34	329.84	493.56	591.22	651.58	540.19	1015.93	323.03	591.22	595.34	748.61	486.75	647.07	414.87	444.72	825.0	341.51	928.3	1167.14	318.57	599.49	642.59	511.0	802.41	303.44	769.69	616.37	1096.5	638.15	698.41	620.67	1159.07	2148.82	470.14	620.67	371.22	878.17	441.64	339.14	1023.0	620.67	1883.54	2255.7	444.72	567.1	3081.75	2875.3	1397.83	2119.22	5831.91	3589.58	2004.85	4066.71	2720.15	1819.35	1709.26	1870.53	2627.46	1369.04	1685.71	2018.8	2163.77	1923.14	2018.8	2224.63	2075.59	2367.9	2701.35	7537.18	2400.97	2133.97	2935.74	1111.82	7382.04	2335.28	1909.85	1519.15	1551.09	1508.65	2335.28	2915.45	2303.12	1844.76	1427.22	3847.29	2400.97	2148.82	366.09	1651.0	808.0
MAML1	176.29	158.79	212.78	128.79	116.78	148.09	291.04	155.5	167.9	149.12	140.04	138.1	155.5	150.17	108.9	154.42	123.5	133.36	109.66	104.42	182.55	73.54	241.19	157.68	205.5	212.78	117.6	229.72	104.42	271.48	167.9	279.14	99.43	197.09	189.02	156.59	100.83	186.4	139.07	180.02	95.34	215.77	146.03	177.53	164.42	145.02	118.43	84.04	106.63	92.05	64.34	69.52	115.97	94.01	68.07	115.16	63.89	314.17	291.04	177.53	189.02	273.37	358.54	198.47	234.57	769.69	525.39	182.55	275.28	237.86	409.15	318.57	273.37	447.82	244.57	255.0	457.25	256.78	175.07	400.71	260.38	275.28	191.67	591.22	339.14	454.09	339.14	183.82	253.23	444.72	214.27	295.11	334.46	211.31	490.14	397.93	232.94	191.67	271.48	217.27	397.93	341.51	373.81	111.99	217.27	201.25
MAP4K5	218.79	165.57	226.54	105.15	100.83	86.43	119.26	122.64	70.01	131.51	171.45	116.78	100.13	106.63	92.7	119.26	175.07	96.01	98.73	114.36	165.57	85.82	159.9	98.73	152.28	110.43	106.63	78.89	100.13	156.59	108.14	202.66	63.45	202.66	241.19	71.5	102.97	133.36	119.26	162.14	69.52	125.24	102.97	189.02	178.77	162.14	85.22	125.24	101.54	66.18	171.45	73.54	87.03	102.25	83.45	206.94	218.79	392.44	409.15	165.57	348.71	366.09	466.88	234.57	255.0	688.78	460.44	264.03	438.59	287.01	473.41	249.73	293.07	497.0	395.18	170.25	297.17	271.48	239.52	332.14	444.72	273.37	332.14	361.04	647.07	438.59	463.65	309.83	193.01	878.17	295.11	329.84	332.14	277.2	547.75	414.87	684.02	351.14	457.25	269.6	612.11	698.41	397.93	264.03	269.6	140.04
MBIP	295.11	295.11	267.73	320.8	231.32	143.01	202.66	267.73	218.79	289.02	381.68	223.41	181.28	237.86	156.59	221.86	279.14	341.51	215.77	262.2	221.86	102.25	371.22	242.88	209.84	221.86	241.19	199.85	314.17	248.0	212.78	567.1	204.07	334.46	297.17	159.9	181.28	305.55	237.86	271.48	171.45	329.84	237.86	281.09	309.83	346.29	208.38	260.38	454.09	275.28	392.44	265.87	299.25	265.87	237.86	231.32	242.88	1832.01	1340.84	414.87	1015.93	1572.76	2701.35	2451.44	1407.55	2434.5	902.89	1781.89	2758.13	2193.99	2047.0	954.43	5913.33	2032.85	2287.2	764.36	1066.48	3280.18	1963.57	3540.14	1508.65	1594.73	3257.52	785.88	915.51	890.44	3349.13	3060.45	1487.87	3820.7	4038.61	2104.58	1143.1	3820.7	1313.23	3820.7	9808.75	5751.61	9344.14	5183.54	4298.64	6294.04	1781.89	728.11	1936.53	264.03
MBNL1	819.3	733.19	954.43	532.74	403.5	146.03	420.68	463.65	318.57	579.04	633.73	435.55	457.25	429.54	447.82	476.71	376.41	743.43	285.03	334.46	651.58	246.28	909.17	450.94	703.28	470.14	346.29	435.55	316.37	343.89	353.59	684.02	283.05	660.68	665.29	255.0	514.56	500.46	497.0	679.29	267.73	444.72	271.48	884.29	414.87	633.73	301.33	384.34	607.87	660.68	258.57	480.04	420.68	249.73	353.59	457.25	450.94	1467.37	1378.57	769.69	579.04	1685.71	1832.01	1477.58	1498.22	2319.15	2367.9	1331.57	1806.78	1487.87	1277.29	981.29	1477.58	1322.37	1304.15	819.3	1233.75	1250.98	1051.79	1923.14	1806.78	1322.37	1519.15	1977.24	3060.45	1781.89	1583.71	1242.34	450.94	2537.92	1583.71	1508.65	1199.98	1030.12	1662.49	1605.83	3768.09	1733.13	2434.5	1477.58	2400.97	2255.7	1151.06	780.44	1651.0	215.77
MEF2A	368.65	293.07	480.04	195.72	208.38	83.45	195.72	176.29	187.71	173.85	305.55	223.41	120.1	234.57	323.03	137.14	211.31	231.32	183.82	186.4	320.8	131.51	435.55	226.54	381.68	241.19	246.28	195.72	289.02	171.45	211.31	356.05	236.21	346.29	182.55	111.21	119.26	132.44	109.66	334.46	104.42	256.78	249.73	307.69	206.94	279.14	189.02	301.33	137.14	241.19	191.67	137.14	186.4	351.14	220.32	264.03	273.37	559.28	620.67	163.28	435.55	860.08	708.18	441.64	463.65	1721.16	974.5	651.58	693.58	890.44	460.44	353.59	603.67	995.0	409.15	463.65	808.0	769.69	497.0	819.3	748.61	759.08	633.73	836.53	1304.15	603.67	698.41	890.44	307.69	928.3	753.83	647.07	579.04	571.05	503.95	884.29	947.83	698.41	629.35	540.19	802.41	624.99	638.15	536.45	514.56	92.7
MMRN2	172.65	129.69	599.49	125.24	151.22	764.36	221.86	163.28	144.01	98.73	214.27	303.44	48.18	195.72	138.1	60.39	153.34	120.94	190.34	147.06	154.42	116.78	223.41	73.03	96.68	110.43	297.17	92.05	129.69	43.02	153.34	239.52	170.25	403.5	137.14	23.42	218.79	127.0	74.06	400.71	61.25	159.9	45.53	460.44	94.01	279.14	229.72	92.05	70.51	156.59	164.42	50.98	67.12	115.16	246.28	193.01	131.51	473.41	607.87	31.22	215.77	389.72	599.49	361.04	373.81	1617.0	1388.16	283.05	332.14	961.07	293.07	237.86	536.45	890.44	928.3	497.0	616.37	703.28	387.02	490.14	397.93	624.99	575.03	1721.16	1277.29	1457.23	660.68	376.41	232.94	961.07	981.29	769.69	532.74	470.14	769.69	412.0	507.46	320.8	551.56	420.68	813.63	438.59	728.11	69.52	358.54	80.57
MYCT1	17.25	24.81	138.1	21.47	19.39	40.36	21.94	18.84	13.42	16.75	81.71	109.66	12.83	72.01	37.59	35.25	38.95	49.21	74.06	55.1	47.84	43.02	81.14	16.03	49.91	44.57	120.94	29.06	33.3	21.78	61.68	93.35	52.82	132.44	54.33	10.08	84.63	34.75	36.27	155.5	15.0	50.63	18.97	145.02	12.93	92.7	75.64	29.48	49.91	115.97	131.51	59.55	38.12	99.43	189.02	86.43	106.63	220.32	332.14	15.56	79.45	198.47	336.79	341.51	234.57	1617.0	579.04	438.59	111.99	764.36	112.77	265.87	172.65	194.36	392.44	358.54	507.46	285.03	126.12	400.71	679.29	251.48	182.55	759.08	327.56	490.14	341.51	293.07	90.14	381.68	185.11	460.44	217.27	323.03	409.15	366.09	356.05	356.05	356.05	177.53	536.45	287.01	329.84	23.08	329.84	17.64
MYH15	0.74	1.03	0.84	1.53	1.36	3.66	0.38	0.34	0.0	0.0	0.48	0.46	0.0	0.0	0.45	0.69	0.44	0.49	0.44	0.0	0.4	0.0	1.23	0.0	0.0	0.43	0.0	0.0	0.0	0.74	0.0	1.58	0.43	2.01	0.0	0.0	0.0	0.0	0.36	0.47	0.0	0.0	0.33	0.77	0.0	0.0	0.0	0.0	0.0	0.0	0.8	0.0	0.0	0.0	0.0	7.0	0.0	7.88	3.0	0.6	0.0	9.56	4.06	51.35	8.99	6.67	3.5	7.57	1.77	16.75	0.65	4.54	20.56	3.17	3.53	3.23	6.41	4.1	18.97	7.69	4.17	14.78	8.85	6.36	1.48	33.3	5.5	12.18	3.26	4.58	24.11	10.63	3.26	12.45	3.99	25.91	11.55	22.26	22.1	6.26	6.84	5.32	2.32	0.0	25.35	0.61
NEDD9	397.93	536.45	295.11	454.09	156.59	713.11	175.07	351.14	211.31	305.55	228.13	126.12	409.15	195.72	43.32	159.9	105.89	231.32	85.82	194.36	183.82	145.02	223.41	21.01	158.79	155.5	163.28	447.82	239.52	738.29	108.9	206.94	166.73	185.11	162.14	172.65	575.03	205.5	132.44	177.53	92.05	118.43	551.56	277.2	466.88	318.57	132.44	109.66	198.47	67.59	587.13	69.52	113.56	223.41	134.3	514.56	55.1	947.83	1447.15	329.84	186.4	1111.82	3589.58	1397.83	1883.54	3280.18	1467.37	3928.15	684.02	2537.92	4066.71	543.96	4038.61	1757.34	738.29	1819.35	651.58	2319.15	1417.35	4358.66	1721.16	5441.3	4210.15	3325.99	6250.56	878.17	1639.59	7749.1	1794.29	1369.04	3235.01	878.17	928.3	2739.08	571.05	1498.22	3235.01	4388.98	2796.65	2816.11	6207.38	7857.29	1119.56	273.37	2018.8	27.25
NPAT	79.45	54.72	89.51	42.71	32.82	9.2	51.35	38.12	24.99	63.0	52.08	54.33	65.26	64.8	36.27	57.49	79.45	71.0	26.67	23.42	70.51	29.06	105.15	45.85	84.04	57.49	56.68	61.68	45.85	51.71	46.5	77.25	36.01	70.51	84.63	41.52	44.57	74.06	71.0	61.68	49.56	56.28	57.08	75.11	52.08	59.55	46.84	63.45	50.98	39.5	78.89	31.22	41.22	37.85	31.9	33.06	34.75	93.35	136.19	68.55	127.89	144.01	144.01	101.54	85.82	152.28	165.57	90.77	150.17	116.78	178.77	105.89	96.68	153.34	132.44	90.77	117.6	79.45	90.77	105.89	135.24	88.88	98.73	159.9	202.66	164.42	136.19	100.13	74.06	201.25	99.43	130.6	140.04	140.04	130.6	185.11	99.43	118.43	105.15	94.67	117.6	172.65	101.54	138.1	111.99	59.55
NR2C2	87.03	70.51	59.13	44.89	46.18	28.45	123.5	34.26	38.95	96.68	71.5	50.27	88.26	52.45	42.11	130.6	49.56	42.11	59.97	54.33	108.14	38.12	112.77	52.08	118.43	75.11	46.18	49.21	69.03	65.26	38.4	111.99	37.59	92.7	148.09	60.39	40.64	79.45	75.11	58.71	38.4	75.64	64.8	82.29	72.52	68.55	33.06	53.57	37.05	43.63	63.45	24.46	32.59	40.64	30.34	62.12	51.71	149.12	169.07	94.67	74.58	163.28	229.72	81.71	69.52	389.72	224.97	109.66	206.94	126.12	171.45	95.34	185.11	299.25	74.58	73.54	100.13	142.01	134.3	180.02	218.79	151.22	186.4	166.73	189.02	226.54	169.07	149.12	92.05	295.11	141.02	134.3	79.45	148.09	176.29	171.45	161.02	153.34	156.59	155.5	285.03	221.86	133.36	85.22	109.66	42.41
OVCH1	0.0	4.5	0.44	0.0	0.0	0.0	0.0	0.36	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	12.55	0.0	0.0	0.0	0.39	0.0	0.43	0.0	0.37	0.0	0.0	2.34	0.0	41.22	0.0	0.42	1.22	0.0	2.94	0.0	0.0	0.37	0.0	0.0	1.28	0.0	0.0	0.0	0.0	1.48	0.0	3.76	0.0	0.91	2.12	0.0	3.11	0.4	3.79	0.87	0.79	0.52	9.85	0.0	0.0	52.45	15.22	0.0	64.8	58.3	123.5	7.75	76.17	15.56	3.38	3.59	16.75	32.36	10.39	1.97	15.34	24.11	17.0	127.89	46.18	31.67	43.02	27.44	19.25	60.82	82.29	62.56	43.94	223.41	13.32	16.75	98.04	16.63	17.25	11.47	16.75	7.4	17.77	146.03	155.5	37.59	24.11	0.0	5.45	0.0
PBRM1	189.02	129.69	178.77	92.7	77.79	48.87	130.6	97.36	73.54	151.22	140.04	134.3	143.01	151.22	105.15	124.37	145.02	136.19	76.71	105.89	164.42	67.59	275.28	124.37	249.73	134.3	94.67	128.79	154.42	176.29	107.38	220.32	78.34	178.77	426.57	101.54	100.13	204.07	237.86	119.26	63.45	158.79	133.36	189.02	205.5	116.78	92.7	161.02	166.73	71.5	109.66	122.64	109.66	135.24	143.01	212.78	194.36	301.33	289.02	131.51	117.6	320.8	426.57	248.0	212.78	301.33	356.05	395.18	255.0	423.61	180.02	583.07	334.46	559.28	256.78	190.34	346.29	253.23	483.38	403.5	353.59	381.68	620.67	417.77	379.04	791.35	414.87	332.14	251.48	466.88	432.53	371.22	229.72	316.37	253.23	575.03	934.76	607.87	366.09	279.14	738.29	220.32	343.89	150.17	251.48	151.22
PDE8B	22.26	54.33	8.32	36.53	15.68	7.28	11.64	16.03	13.03	11.3	12.93	7.63	14.67	6.67	5.06	7.11	10.96	7.06	8.65	6.57	13.72	5.54	23.42	4.62	9.27	10.63	5.06	11.13	5.5	13.12	8.65	13.42	3.86	8.65	5.19	7.63	29.27	10.55	8.25	14.24	10.88	12.27	7.88	17.77	16.15	20.26	7.46	17.0	23.93	12.27	10.0	10.08	21.63	16.88	12.09	13.12	7.22	72.52	58.3	6.84	10.24	108.14	171.45	69.03	48.87	142.01	76.17	67.59	53.19	49.21	31.0	40.36	73.54	70.01	73.03	50.63	72.01	112.77	18.56	118.43	42.41	67.12	68.55	84.63	162.14	87.65	105.15	29.06	39.5	121.79	93.35	49.91	69.03	122.64	154.42	60.82	59.13	48.87	166.73	116.78	332.14	123.5	87.65	10.55	32.82	4.98
PDS5B	122.64	78.34	164.42	66.65	71.5	34.75	128.79	67.59	38.4	141.02	205.5	95.34	101.54	172.65	122.64	42.11	180.02	169.07	92.7	119.26	118.43	103.69	189.02	118.43	176.29	119.26	61.68	135.24	152.28	161.02	111.99	131.51	104.42	209.84	275.28	46.5	100.13	185.11	183.82	149.12	105.15	162.14	91.41	164.42	98.73	173.85	121.79	90.77	59.13	127.0	183.82	61.68	88.88	130.6	148.09	177.53	267.73	226.54	343.89	486.75	186.4	267.73	361.04	218.79	199.85	327.56	417.77	275.28	148.09	314.17	211.31	171.45	312.0	299.25	154.42	197.09	158.79	211.31	379.04	249.73	320.8	295.11	392.44	420.68	490.14	376.41	204.07	348.71	228.13	384.34	279.14	161.02	151.22	303.44	275.28	470.14	381.68	258.57	373.81	212.78	441.64	551.56	223.41	166.73	223.41	48.52
PEAK1	125.24	109.66	204.07	60.39	72.52	44.89	84.63	95.34	87.03	58.71	50.98	101.54	50.63	59.97	55.89	30.56	56.68	32.82	34.26	44.57	85.22	37.85	119.26	31.45	104.42	69.52	48.87	29.7	51.35	53.19	33.06	94.67	52.82	101.54	87.03	22.43	51.71	60.82	40.93	77.79	23.59	53.95	74.58	119.26	57.49	54.72	47.84	33.78	38.95	35.5	72.01	19.82	27.44	38.4	31.0	100.83	37.05	301.33	363.56	30.78	89.51	389.72	679.29	201.25	149.12	444.72	441.64	303.44	305.55	334.46	283.05	351.14	353.59	363.56	248.0	157.68	279.14	206.94	187.71	438.59	836.53	633.73	389.72	351.14	693.58	633.73	314.17	371.22	215.77	775.05	403.5	241.19	518.15	307.69	281.09	486.75	567.1	397.93	414.87	343.89	693.58	426.57	420.68	53.57	241.19	37.59
PGAP1	17.77	15.56	13.62	14.14	8.51	6.57	12.0	10.96	8.99	9.27	16.03	15.11	43.02	7.69	5.77	19.25	7.0	27.44	7.0	7.57	20.41	6.67	18.7	18.56	20.86	18.97	8.85	17.9	8.25	13.03	10.71	24.28	5.02	21.47	35.5	5.87	11.82	11.3	13.22	15.8	11.21	21.47	19.39	24.11	35.25	10.55	8.58	15.22	11.21	6.26	12.93	7.88	13.93	9.93	16.03	46.5	31.9	77.79	64.8	21.94	74.06	33.54	71.5	46.5	32.36	167.9	52.82	30.56	88.88	25.17	21.78	23.76	48.87	93.35	22.1	15.11	21.16	19.97	29.91	75.64	157.68	57.49	81.71	87.65	612.11	84.04	44.25	45.85	8.32	186.4	36.53	35.76	101.54	31.0	52.82	49.21	183.82	32.82	54.33	31.22	185.11	76.71	87.65	86.43	50.98	11.21
PHACTR2	108.9	78.34	162.14	100.13	54.72	33.3	83.45	78.89	51.35	99.43	70.01	74.06	212.78	58.71	47.5	76.71	52.08	69.52	40.93	48.18	128.79	55.89	124.37	4.28	111.99	142.01	62.56	44.25	40.07	33.78	113.56	170.25	34.75	75.64	177.53	38.95	85.82	47.17	96.01	88.26	47.5	111.99	45.53	164.42	69.03	101.54	47.84	46.5	217.27	43.94	37.59	33.54	50.63	51.35	56.28	96.01	100.13	271.48	358.54	96.01	162.14	412.0	651.58	277.2	220.32	543.96	444.72	241.19	409.15	351.14	389.72	228.13	237.86	607.87	299.25	258.57	297.17	234.57	201.25	356.05	379.04	297.17	547.75	438.59	463.65	743.43	660.68	255.0	221.86	808.0	403.5	269.6	283.05	356.05	473.41	450.94	490.14	447.82	356.05	291.04	656.11	353.59	500.46	57.08	265.87	45.53
