	TCGA.CH.5739.01A.11R.1580.07	TCGA.EJ.7331.01A.11R.2118.07	TCGA.XK.AAK1.01A.11R.A41O.07	TCGA.XK.AAJ3.01A.11R.A41O.07	TCGA.G9.7522.01A.11R.2263.07	TCGA.CH.5764.01A.21R.1580.07	TCGA.EJ.5526.01A.01R.1580.07	TCGA.VN.A943.01A.11R.A41O.07	TCGA.EJ.5527.01A.01R.1580.07	TCGA.VN.A88R.01A.11R.A36G.07	TCGA.G9.6351.01A.21R.1965.07	TCGA.VN.A88K.01A.11R.A352.07	TCGA.J4.A67T.01A.11R.A311.07	TCGA.EJ.5516.01A.01R.1580.07	TCGA.EJ.7327.01A.11R.2118.07	TCGA.EJ.AB27.01A.11R.A41O.07	TCGA.HC.7748.01A.11R.2118.07	TCGA.G9.6333.01A.12R.1965.07	TCGA.V1.A8X3.01A.11R.A37L.07	TCGA.CH.5750.01A.11R.1580.07	TCGA.HC.7749.01A.11R.2118.07	TCGA.KK.A8IM.01A.11R.A36G.07	TCGA.HC.7212.01A.11R.2118.07	TCGA.G9.6384.01A.11R.1789.07	TCGA.V1.A8ML.01A.11R.A37L.07	TCGA.M7.A720.01A.12R.A32O.07	TCGA.EJ.5508.01A.02R.1580.07	TCGA.YL.A8SR.01B.11R.A37L.07	TCGA.YL.A8SO.01B.31R.A37L.07	TCGA.Y6.A8TL.01A.21R.A37L.07	TCGA.VP.A87B.01A.11R.A352.07	TCGA.CH.5746.01A.11R.1580.07	TCGA.HC.7075.01A.11R.1965.07	TCGA.YL.A8SI.01A.11R.A41O.07	TCGA.G9.6367.01A.11R.1789.07	TCGA.YL.A8SA.01A.21R.A37L.07	TCGA.HC.7738.01A.11R.2118.07	TCGA.CH.5753.01A.11R.1580.07	TCGA.J9.A8CN.01A.11R.A352.07	TCGA.G9.6371.01A.11R.1789.07	TCGA.EJ.8470.01A.11R.2403.07	TCGA.J4.A83L.01A.11R.A352.07	TCGA.2A.AAYF.01A.11R.A41O.07	TCGA.EJ.8468.01A.21R.2403.07	TCGA.EJ.A65G.01A.21R.A29R.07	TCGA.EJ.7788.01A.11R.2118.07	TCGA.G9.A9S7.01A.11R.A41O.07	TCGA.EJ.5505.01A.01R.1580.07	TCGA.VN.A88O.01A.11R.A352.07	TCGA.WW.A8ZI.01A.11R.A37L.07	TCGA.YL.A8SQ.01B.11R.A37L.07	TCGA.M7.A724.01A.12R.A32O.07	TCGA.EJ.7318.01B.11R.A32O.07	TCGA.EJ.7781.01A.11R.2118.07	TCGA.EJ.5495.01A.01R.1580.07	TCGA.EJ.A8FS.01A.11R.A352.07	TCGA.V1.A9OQ.01A.11R.A41O.07	TCGA.J4.8198.01A.11R.2263.07	TCGA.2A.A8VV.01A.11R.A37L.07	TCGA.EJ.7312.01B.21R.A32O.07	TCGA.H9.7775.01A.11R.2118.07	TCGA.XK.AAJR.01A.11R.A41O.07	TCGA.J9.A8CP.01A.11R.A352.07	TCGA.QU.A6IP.01A.11R.A31N.07	TCGA.V1.A8WL.01A.11R.A37L.07	TCGA.KK.A7B3.01A.11R.A33R.07	TCGA.CH.5790.01A.11R.1580.07	TCGA.EJ.7115.01A.11R.2118.07	TCGA.EJ.5496.01A.01R.1580.07	TCGA.HC.7819.01A.11R.2118.07	TCGA.EJ.5532.01A.01R.1580.07	TCGA.EJ.7789.01A.11R.2118.07	TCGA.YL.A8S9.01A.11R.A37L.07	TCGA.KK.A59Y.01A.11R.A26U.07	TCGA.EJ.7218.01B.11R.A32O.07	TCGA.HC.7211.01A.11R.2118.07	TCGA.VP.A87D.01A.11R.A352.07	TCGA.J4.AAU2.01A.11R.A41O.07	TCGA.XA.A8JR.01A.11R.A36G.07	TCGA.XK.AAJP.01A.11R.A41O.07	TCGA.HC.8213.01A.11R.A29R.07	TCGA.EJ.5542.01A.01R.1580.07	TCGA.EJ.5515.01A.01R.1580.07	TCGA.EJ.A6RA.01A.11R.A33R.07	TCGA.Y6.A9XI.01A.11R.A41O.07	TCGA.HC.7820.01A.11R.2118.07	TCGA.EJ.5530.01A.01R.1580.07	TCGA.XJ.A83G.01A.11R.A352.07	TCGA.HC.8259.01A.11R.2263.07	TCGA.EJ.5497.01A.02R.1580.07	TCGA.VP.A875.01A.31R.A352.07	TCGA.V1.A8MK.01A.11R.A36G.07	TCGA.EJ.7786.01A.11R.2118.07	TCGA.CH.5762.01A.11R.1580.07	TCGA.V1.A9OX.01A.11R.A41O.07	TCGA.VN.A88N.01A.11R.A36G.07	TCGA.G9.6377.01A.11R.1965.07	TCGA.CH.5748.01A.11R.1580.07	TCGA.HC.8258.01A.11R.2263.07	TCGA.G9.7519.01A.11R.2263.07	TCGA.2A.A8VO.01A.11R.A37L.07	TCGA.XK.AAJA.01A.11R.A41O.07	TCGA.KK.A6E5.01A.11R.A311.07	TCGA.EJ.A7NH.01A.12R.A33R.07	TCGA.2A.A8VL.01A.21R.A37L.07	TCGA.HC.7077.01A.11R.1965.07	TCGA.J4.A83N.01A.11R.A352.07	TCGA.EJ.A7NF.01A.11R.A33R.07	TCGA.HC.7819.11A.01R.2118.07	TCGA.EJ.7115.11A.01R.2118.07	TCGA.G9.6384.11A.01R.1858.07	TCGA.EJ.7317.11A.01R.2118.07	TCGA.EJ.7314.11A.01R.2118.07	TCGA.HC.8259.11A.01R.2263.07	TCGA.G9.6342.11A.02R.1965.07
DDX6	1023.0	1044.52	156.59	381.68	540.19	1104.13	1127.35	432.53	1135.2	202.66	348.71	486.75	460.44	1286.18	1225.22	511.0	1167.14	320.8	555.41	1044.52	769.69	669.92	743.43	884.29	334.46	480.04	1167.14	536.45	232.94	409.15	371.22	866.07	559.28	435.55	507.46	511.0	607.87	1340.84	309.83	444.72	629.35	511.0	460.44	791.35	246.28	1059.11	361.04	796.86	341.51	607.87	400.71	167.9	157.68	1216.75	1359.57	420.68	201.25	961.07	325.29	173.85	607.87	358.54	341.51	211.31	412.0	314.17	769.69	698.41	1015.93	825.0	866.07	1191.69	551.56	271.48	348.71	1183.45	785.88	348.71	327.56	429.54	466.88	1350.18	1023.0	204.07	547.75	656.11	981.29	197.09	493.56	1167.14	591.22	417.77	753.83	1191.69	217.27	323.03	525.39	785.88	417.77	289.02	305.55	291.04	371.22	486.75	314.17	525.39	312.0	384.34	872.1	660.68	476.71	813.63	1001.93	450.94	351.14
DENND4C	525.39	518.15	119.26	237.86	309.83	679.29	723.08	218.79	684.02	120.1	260.38	273.37	232.94	723.08	674.59	287.01	607.87	197.09	366.09	368.65	381.68	371.22	651.58	540.19	170.25	295.11	660.68	237.86	228.13	232.94	239.52	536.45	336.79	256.78	285.03	361.04	376.41	579.04	186.4	211.31	447.82	346.29	275.28	674.59	239.52	450.94	189.02	450.94	206.94	309.83	312.0	88.26	120.1	629.35	693.58	351.14	141.02	723.08	279.14	167.9	325.29	297.17	217.27	211.31	242.88	191.67	575.03	387.02	753.83	473.41	389.72	559.28	299.25	121.79	239.52	525.39	253.23	208.38	198.47	242.88	379.04	688.78	503.95	194.36	303.44	381.68	665.29	181.28	332.14	665.29	361.04	264.03	387.02	463.65	154.42	185.11	265.87	444.72	256.78	153.34	190.34	277.2	198.47	297.17	220.32	373.81	226.54	323.03	493.56	435.55	289.02	470.14	536.45	316.37	212.78
DIP2B	450.94	256.78	85.82	124.37	208.38	412.0	249.73	110.43	473.41	94.67	152.28	169.07	211.31	438.59	454.09	152.28	444.72	127.89	253.23	314.17	258.57	244.57	559.28	432.53	120.94	175.07	417.77	176.29	127.0	144.01	158.79	295.11	204.07	150.17	151.22	258.57	212.78	447.82	111.99	194.36	305.55	154.42	173.85	231.32	118.43	346.29	178.77	279.14	115.16	226.54	305.55	115.97	128.79	329.84	423.61	180.02	101.54	387.02	223.41	115.16	291.04	201.25	130.6	156.59	145.02	165.57	466.88	241.19	417.77	343.89	221.86	229.72	214.27	170.25	150.17	348.71	371.22	115.16	154.42	178.77	246.28	432.53	228.13	113.56	178.77	275.28	429.54	104.42	236.21	361.04	281.09	139.07	204.07	368.65	118.43	164.42	193.01	271.48	163.28	72.52	148.09	205.5	158.79	162.14	124.37	323.03	193.01	197.09	185.11	165.57	126.12	204.07	236.21	133.36	131.51
DPP8	273.37	327.56	85.82	138.1	218.79	307.69	325.29	156.59	318.57	115.97	144.01	108.9	185.11	363.56	351.14	185.11	339.14	142.01	199.85	186.4	176.29	269.6	343.89	297.17	147.06	187.71	351.14	175.07	115.97	152.28	132.44	267.73	176.29	157.68	167.9	218.79	212.78	277.2	138.1	117.6	297.17	211.31	186.4	323.03	142.01	246.28	175.07	234.57	164.42	198.47	202.66	71.5	94.67	389.72	400.71	154.42	102.97	178.77	164.42	115.97	201.25	180.02	172.65	133.36	195.72	138.1	275.28	214.27	305.55	234.57	258.57	262.2	209.84	155.5	146.03	307.69	260.38	136.19	164.42	176.29	133.36	301.33	283.05	122.64	206.94	224.97	277.2	110.43	190.34	334.46	158.79	193.01	273.37	271.48	140.04	163.28	144.01	223.41	189.02	106.63	142.01	147.06	140.04	224.97	159.9	178.77	127.89	141.02	314.17	234.57	162.14	312.0	395.18	221.86	150.17
EHF	3716.2	2335.28	341.51	728.11	1844.76	3060.45	3325.99	1407.55	3235.01	441.64	878.17	830.75	1331.57	2664.15	3820.7	1572.76	4095.0	775.05	1359.57	2701.35	1286.18	2351.53	4181.07	2224.63	791.35	2682.69	3419.52	1059.11	656.11	902.89	1216.75	3257.52	2555.58	1225.22	1259.69	1378.57	2520.38	3303.0	854.13	1037.29	2451.44	1208.34	1651.0	4038.61	753.83	3039.3	954.43	2997.45	921.88	1883.54	1331.57	361.04	271.48	4512.4	3325.99	1639.59	470.14	2701.35	995.0	629.35	2271.4	1487.87	813.63	518.15	878.17	486.75	3589.58	2163.77	2537.92	1745.2	2935.74	3372.43	2104.58	507.46	1417.35	2664.15	1857.6	1037.29	1268.46	1857.6	1617.0	3716.2	2319.15	476.71	1832.01	1991.0	3103.19	507.46	1757.34	3901.01	1175.27	738.29	2777.33	2367.9	813.63	947.83	981.29	3467.27	1896.65	616.37	1008.9	1023.0	842.36	1111.82	559.28	1991.0	753.83	660.68	1819.35	2758.13	1104.13	2502.97	2664.15	1037.29	1044.52
EIF2AK2	503.95	480.04	153.34	197.09	223.41	540.19	713.11	129.69	571.05	277.2	236.21	435.55	285.03	638.15	521.76	241.19	559.28	234.57	336.79	599.49	299.25	423.61	599.49	423.61	158.79	231.32	543.96	205.5	130.6	215.77	153.34	363.56	392.44	224.97	198.47	351.14	275.28	830.75	157.68	197.09	351.14	236.21	218.79	387.02	182.55	387.02	251.48	285.03	291.04	201.25	299.25	141.02	181.28	406.31	579.04	262.2	151.22	389.72	198.47	95.34	325.29	209.84	206.94	186.4	271.48	175.07	432.53	267.73	450.94	392.44	303.44	460.44	232.94	195.72	194.36	325.29	189.02	178.77	397.93	283.05	283.05	555.41	460.44	167.9	265.87	373.81	366.09	138.1	260.38	423.61	299.25	218.79	314.17	403.5	180.02	149.12	303.44	400.71	264.03	187.71	194.36	206.94	176.29	220.32	189.02	305.55	236.21	205.5	309.83	262.2	212.78	334.46	400.71	212.78	152.28
EP400	242.88	217.27	84.04	126.12	159.9	287.01	166.73	120.1	236.21	81.71	120.94	140.04	152.28	187.71	323.03	158.79	281.09	125.24	189.02	234.57	181.28	211.31	273.37	232.94	114.36	166.73	202.66	141.02	124.37	124.37	157.68	244.57	153.34	138.1	133.36	199.85	190.34	253.23	59.97	130.6	223.41	169.07	131.51	158.79	108.14	220.32	131.51	175.07	115.97	185.11	170.25	87.65	94.01	303.44	237.86	141.02	84.04	204.07	126.12	102.25	175.07	159.9	80.01	149.12	146.03	143.01	223.41	215.77	206.94	191.67	194.36	258.57	154.42	136.19	151.22	244.57	253.23	137.14	130.6	148.09	112.77	215.77	173.85	120.1	185.11	187.71	271.48	95.34	166.73	224.97	165.57	148.09	199.85	305.55	123.5	137.14	149.12	190.34	155.5	101.54	116.78	172.65	115.16	197.09	136.19	187.71	147.06	145.02	208.38	150.17	138.1	190.34	253.23	120.94	102.25
EPB41	1037.29	934.76	392.44	473.41	616.37	1175.27	967.76	599.49	890.44	334.46	403.5	571.05	493.56	848.22	1175.27	511.0	981.29	363.56	579.04	921.88	473.41	674.59	1073.91	819.3	361.04	493.56	988.12	305.55	379.04	555.41	483.38	796.86	647.07	518.15	371.22	921.88	638.15	698.41	435.55	435.55	713.11	571.05	647.07	660.68	303.44	854.13	511.0	860.08	441.64	514.56	470.14	177.53	271.48	802.41	988.12	633.73	356.05	1167.14	624.99	358.54	660.68	277.2	334.46	423.61	441.64	211.31	981.29	728.11	1066.48	928.3	693.58	753.83	511.0	438.59	454.09	738.29	872.1	521.76	521.76	521.76	571.05	1250.98	591.22	301.33	293.07	718.08	941.27	379.04	708.18	1008.9	603.67	466.88	703.28	759.08	320.8	201.25	583.07	775.05	483.38	305.55	379.04	409.15	356.05	403.5	348.71	665.29	454.09	656.11	476.71	414.87	376.41	571.05	587.13	395.18	229.72
ERCC6	141.02	111.21	34.26	61.68	82.29	134.3	127.0	69.03	152.28	47.17	59.13	71.5	63.0	142.01	169.07	59.55	144.01	78.34	76.17	106.63	100.13	85.82	102.97	114.36	57.08	81.71	147.06	69.03	55.89	60.39	52.08	98.04	77.79	78.89	61.68	132.44	83.45	147.06	57.49	80.57	105.15	66.65	76.17	90.77	63.0	97.36	57.49	99.43	66.18	74.58	65.72	41.22	46.18	142.01	164.42	81.71	45.21	138.1	71.0	43.02	85.82	86.43	43.94	62.12	71.0	60.39	154.42	102.25	123.5	106.63	106.63	121.79	81.71	59.55	68.55	122.64	99.43	59.97	59.97	63.45	80.01	151.22	92.7	48.52	82.29	84.63	135.24	55.49	90.14	127.0	99.43	57.08	112.77	120.1	63.45	85.22	74.58	110.43	87.65	42.71	70.51	102.25	55.49	90.77	66.18	70.01	58.71	73.54	99.43	88.88	67.12	86.43	110.43	75.64	72.01
EXOC5	532.74	587.13	169.07	242.88	339.14	583.07	500.46	212.78	775.05	239.52	264.03	267.73	332.14	860.08	540.19	293.07	612.11	264.03	295.11	463.65	395.18	339.14	612.11	507.46	241.19	267.73	688.78	325.29	177.53	223.41	226.54	412.0	329.84	269.6	258.57	260.38	353.59	633.73	187.71	249.73	406.31	336.79	269.6	532.74	262.2	511.0	262.2	486.75	244.57	309.83	271.48	138.1	154.42	490.14	728.11	249.73	187.71	470.14	271.48	171.45	389.72	297.17	267.73	194.36	258.57	253.23	503.95	373.81	532.74	409.15	406.31	412.0	256.78	195.72	215.77	532.74	336.79	236.21	248.0	332.14	303.44	698.41	642.59	191.67	265.87	373.81	473.41	209.84	289.02	579.04	201.25	295.11	387.02	547.75	175.07	237.86	241.19	447.82	260.38	197.09	242.88	202.66	244.57	255.0	220.32	329.84	187.71	212.78	432.53	473.41	336.79	470.14	624.99	339.14	246.28
FAM160A1	140.04	119.26	26.28	30.56	72.01	156.59	131.51	51.71	146.03	33.3	25.54	68.07	80.57	159.9	127.0	42.11	170.25	38.67	57.49	117.6	77.79	47.84	178.77	126.12	25.54	43.63	111.21	73.54	23.76	31.67	34.51	96.68	76.71	50.27	33.78	77.79	57.08	201.25	76.17	35.5	73.03	40.93	56.28	95.34	20.11	149.12	30.12	85.82	41.81	76.17	41.52	25.35	21.63	186.4	166.73	44.57	14.45	128.79	46.5	28.86	106.63	55.49	42.11	20.41	32.36	24.81	176.29	92.05	124.37	130.6	90.14	120.94	82.29	26.86	50.98	358.54	103.69	28.86	47.17	32.82	59.55	143.01	55.49	23.25	78.89	60.39	161.02	30.34	59.55	129.69	61.25	27.64	62.56	118.43	40.36	38.67	81.71	115.16	56.68	28.86	31.67	37.85	44.89	48.52	22.43	101.54	38.12	26.28	73.54	92.7	44.89	84.63	96.68	34.75	25.17
FAM208B	547.75	493.56	180.02	236.21	264.03	728.11	579.04	226.54	612.11	343.89	218.79	297.17	368.65	599.49	490.14	239.52	684.02	232.94	339.14	591.22	316.37	432.53	647.07	511.0	309.83	231.32	642.59	332.14	236.21	348.71	275.28	450.94	332.14	283.05	194.36	438.59	318.57	612.11	269.6	267.73	638.15	334.46	287.01	490.14	221.86	571.05	241.19	444.72	291.04	463.65	289.02	167.9	145.02	525.39	728.11	346.29	194.36	583.07	303.44	260.38	376.41	318.57	287.01	253.23	318.57	299.25	571.05	339.14	521.76	532.74	409.15	620.67	279.14	277.2	237.86	669.92	457.25	231.32	281.09	295.11	253.23	567.1	483.38	234.57	323.03	392.44	466.88	316.37	309.83	555.41	329.84	323.03	532.74	555.41	190.34	287.01	220.32	559.28	320.8	152.28	253.23	260.38	281.09	295.11	285.03	376.41	295.11	312.0	366.09	283.05	255.0	358.54	463.65	256.78	199.85
FKTN	206.94	265.87	75.64	142.01	118.43	220.32	318.57	151.22	246.28	83.45	100.83	152.28	116.78	248.0	228.13	96.01	199.85	103.69	108.9	217.27	190.34	157.68	241.19	177.53	92.05	110.43	251.48	127.89	86.43	117.6	147.06	183.82	144.01	129.69	100.83	133.36	158.79	532.74	115.97	100.13	215.77	186.4	147.06	205.5	107.38	211.31	74.58	267.73	108.14	232.94	208.38	63.89	55.89	211.31	297.17	147.06	79.45	208.38	100.13	96.68	132.44	132.44	90.77	84.63	123.5	73.03	165.57	145.02	289.02	189.02	201.25	275.28	115.16	94.67	112.77	275.28	239.52	109.66	127.89	161.02	130.6	242.88	187.71	71.5	132.44	146.03	171.45	73.54	147.06	226.54	169.07	95.34	201.25	215.77	81.71	80.01	111.99	246.28	115.97	79.45	120.1	100.13	104.42	144.01	80.01	111.21	98.73	108.14	154.42	132.44	87.65	114.36	135.24	107.38	75.64
FRS2	236.21	293.07	58.3	105.89	131.51	327.56	395.18	109.66	323.03	78.34	125.24	116.78	154.42	299.25	327.56	113.56	332.14	132.44	149.12	214.27	215.77	193.01	336.79	251.48	107.38	123.5	305.55	127.0	94.01	129.69	89.51	202.66	141.02	120.94	142.01	130.6	181.28	289.02	102.25	120.1	201.25	154.42	134.3	287.01	115.97	231.32	108.9	209.84	124.37	163.28	194.36	50.63	55.49	305.55	336.79	118.43	75.11	258.57	143.01	85.82	190.34	144.01	202.66	87.65	104.42	90.77	293.07	208.38	239.52	208.38	228.13	262.2	159.9	107.38	93.35	275.28	228.13	107.38	125.24	122.64	135.24	269.6	255.0	88.26	143.01	166.73	267.73	70.51	170.25	287.01	181.28	123.5	220.32	353.59	73.03	124.37	138.1	217.27	149.12	84.04	120.94	110.43	123.5	143.01	87.65	178.77	92.05	99.43	237.86	241.19	134.3	211.31	279.14	153.34	126.12
FRYL	693.58	460.44	206.94	248.0	348.71	567.1	567.1	211.31	616.37	267.73	373.81	244.57	305.55	660.68	642.59	314.17	612.11	277.2	438.59	547.75	403.5	450.94	642.59	403.5	246.28	361.04	612.11	417.77	260.38	346.29	318.57	473.41	466.88	299.25	256.78	381.68	450.94	536.45	220.32	351.14	397.93	343.89	343.89	470.14	358.54	579.04	316.37	460.44	293.07	490.14	429.54	92.05	260.38	563.18	579.04	341.51	262.2	518.15	356.05	170.25	490.14	353.59	258.57	363.56	356.05	314.17	660.68	441.64	547.75	521.76	348.71	514.56	297.17	323.03	323.03	392.44	381.68	323.03	297.17	285.03	473.41	529.06	454.09	303.44	403.5	441.64	532.74	191.67	381.68	595.34	426.57	358.54	409.15	656.11	283.05	303.44	343.89	521.76	395.18	323.03	332.14	397.93	303.44	314.17	325.29	429.54	363.56	353.59	348.71	353.59	269.6	384.34	426.57	348.71	265.87
GCC2	1427.22	808.0	358.54	555.41	463.65	1322.37	1183.45	414.87	1216.75	277.2	412.0	486.75	684.02	1259.69	1340.84	536.45	1388.16	447.82	860.08	759.08	441.64	802.41	1437.15	988.12	395.18	521.76	1199.98	543.96	376.41	540.19	723.08	791.35	909.17	444.72	277.2	836.53	616.37	1295.13	358.54	400.71	909.17	723.08	802.41	941.27	500.46	796.86	400.71	775.05	466.88	511.0	674.59	264.03	351.14	1096.5	1304.15	748.61	325.29	1286.18	432.53	275.28	1015.93	444.72	660.68	379.04	483.38	260.38	1233.75	753.83	1143.1	1015.93	698.41	409.15	339.14	289.02	389.72	713.11	974.5	426.57	775.05	638.15	884.29	1037.29	854.13	406.31	551.56	1199.98	1127.35	283.05	698.41	967.76	796.86	392.44	753.83	961.07	223.41	426.57	444.72	1008.9	624.99	412.0	579.04	780.44	432.53	536.45	532.74	607.87	567.1	400.71	591.22	723.08	400.71	591.22	733.19	381.68	301.33
GIGYF2	848.22	967.76	351.14	514.56	660.68	967.76	1030.12	559.28	941.27	438.59	521.76	575.03	624.99	967.76	1044.52	679.29	934.76	521.76	738.29	819.3	616.37	684.02	1051.79	934.76	480.04	599.49	981.29	620.67	395.18	559.28	567.1	775.05	713.11	571.05	571.05	371.22	713.11	1081.39	264.03	559.28	819.3	688.78	629.35	860.08	559.28	872.1	470.14	941.27	518.15	669.92	743.43	457.25	373.81	1088.92	1008.9	612.11	500.46	890.44	497.0	620.67	583.07	651.58	540.19	423.61	551.56	460.44	866.07	688.78	848.22	796.86	884.29	947.83	656.11	529.06	607.87	1073.91	780.44	567.1	500.46	624.99	607.87	1081.39	854.13	466.88	656.11	728.11	836.53	476.71	607.87	947.83	607.87	599.49	866.07	1127.35	444.72	466.88	583.07	878.17	616.37	435.55	490.14	529.06	507.46	647.07	521.76	595.34	563.18	346.29	866.07	579.04	536.45	830.75	854.13	656.11	514.56
GNAQ	665.29	796.86	303.44	441.64	463.65	848.22	791.35	376.41	854.13	368.65	466.88	420.68	392.44	934.76	738.29	400.71	718.08	532.74	490.14	559.28	591.22	432.53	775.05	638.15	493.56	406.31	830.75	429.54	305.55	441.64	412.0	547.75	454.09	447.82	559.28	329.84	620.67	656.11	417.77	500.46	579.04	432.53	460.44	624.99	480.04	624.99	395.18	738.29	379.04	679.29	633.73	267.73	275.28	599.49	802.41	447.82	412.0	599.49	514.56	395.18	511.0	490.14	536.45	376.41	441.64	417.77	759.08	633.73	860.08	633.73	521.76	928.3	551.56	373.81	400.71	651.58	599.49	417.77	470.14	587.13	470.14	684.02	791.35	351.14	381.68	555.41	674.59	323.03	403.5	830.75	490.14	460.44	660.68	764.36	395.18	432.53	426.57	616.37	379.04	420.68	420.68	400.71	447.82	486.75	389.72	500.46	309.83	400.71	587.13	470.14	595.34	595.34	769.69	476.71	435.55
GOSR1	738.29	854.13	329.84	438.59	599.49	878.17	890.44	536.45	954.43	366.09	447.82	518.15	423.61	1008.9	954.43	543.96	802.41	381.68	638.15	708.18	651.58	693.58	915.51	802.41	358.54	583.07	890.44	480.04	351.14	409.15	348.71	718.08	656.11	525.39	483.38	575.03	547.75	941.27	341.51	555.41	575.03	563.18	529.06	660.68	400.71	775.05	432.53	723.08	493.56	684.02	447.82	361.04	301.33	713.11	759.08	454.09	305.55	698.41	450.94	339.14	575.03	563.18	423.61	379.04	470.14	397.93	780.44	583.07	819.3	688.78	764.36	571.05	521.76	376.41	483.38	941.27	878.17	460.44	435.55	417.77	518.15	981.29	713.11	387.02	511.0	607.87	872.1	348.71	567.1	866.07	500.46	476.71	647.07	866.07	320.8	473.41	438.59	723.08	503.95	379.04	389.72	432.53	403.5	514.56	423.61	595.34	486.75	438.59	624.99	567.1	521.76	624.99	753.83	563.18	395.18
GPAM	108.9	80.01	35.0	63.89	72.01	131.51	132.44	46.84	127.0	30.56	50.98	48.87	42.11	119.26	147.06	57.89	117.6	37.59	74.58	105.15	82.87	84.04	155.5	100.83	69.52	62.56	143.01	51.35	65.72	62.56	59.13	96.68	68.07	60.39	61.25	59.13	71.0	85.22	41.22	55.1	97.36	63.45	73.54	69.52	72.01	81.14	63.45	101.54	34.51	100.83	116.78	36.27	38.12	109.66	170.25	60.82	45.21	137.14	64.34	73.54	88.26	67.59	57.08	64.8	63.0	50.98	110.43	84.04	127.0	75.64	90.77	127.0	81.14	62.56	52.08	80.57	90.14	56.68	51.35	65.72	59.97	133.36	104.42	56.28	77.79	82.29	120.1	38.95	76.17	116.78	57.08	68.07	101.54	155.5	52.08	51.35	43.63	98.04	57.89	63.45	52.45	63.0	66.65	73.54	50.98	68.55	61.25	75.64	84.63	94.67	52.82	97.36	92.05	76.71	55.1
GPATCH2L	273.37	325.29	62.56	151.22	169.07	346.29	387.02	158.79	346.29	111.21	164.42	146.03	285.03	204.07	373.81	175.07	346.29	151.22	195.72	351.14	172.65	193.01	295.11	281.09	145.02	167.9	325.29	209.84	100.83	201.25	137.14	218.79	165.57	215.77	154.42	193.01	182.55	361.04	197.09	94.01	264.03	275.28	176.29	255.0	110.43	283.05	128.79	190.34	205.5	187.71	205.5	93.35	67.12	334.46	381.68	146.03	142.01	356.05	124.37	105.15	163.28	175.07	117.6	127.0	194.36	123.5	307.69	202.66	265.87	271.48	249.73	234.57	136.19	99.43	175.07	285.03	197.09	162.14	167.9	158.79	120.1	318.57	287.01	120.1	164.42	157.68	346.29	74.06	185.11	279.14	142.01	204.07	241.19	387.02	93.35	84.63	178.77	221.86	205.5	105.15	129.69	148.09	157.68	201.25	151.22	166.73	135.24	152.28	295.11	249.73	195.72	339.14	327.56	258.57	108.14
GTF2A1	366.09	511.0	149.12	215.77	183.82	366.09	454.09	231.32	470.14	234.57	239.52	124.37	191.67	483.38	379.04	202.66	454.09	258.57	273.37	358.54	260.38	236.21	429.54	373.81	237.86	162.14	432.53	242.88	152.28	242.88	205.5	309.83	273.37	206.94	231.32	193.01	271.48	373.81	161.02	211.31	336.79	234.57	237.86	384.34	241.19	314.17	204.07	379.04	256.78	283.05	244.57	78.34	126.12	435.55	414.87	285.03	159.9	318.57	242.88	187.71	265.87	251.48	212.78	173.85	226.54	142.01	297.17	281.09	368.65	318.57	392.44	343.89	249.73	205.5	191.67	392.44	314.17	202.66	214.27	242.88	255.0	450.94	435.55	135.24	201.25	217.27	389.72	161.02	202.66	426.57	231.32	232.94	336.79	327.56	177.53	236.21	159.9	339.14	214.27	140.04	193.01	244.57	202.66	193.01	191.67	234.57	178.77	177.53	303.44	283.05	197.09	325.29	363.56	198.47	248.0
GTF3C4	223.41	228.13	92.7	120.94	136.19	279.14	289.02	127.0	255.0	96.01	116.78	165.57	143.01	264.03	273.37	131.51	226.54	118.43	167.9	221.86	172.65	180.02	249.73	318.57	109.66	134.3	291.04	127.89	113.56	146.03	123.5	206.94	157.68	129.69	144.01	149.12	166.73	248.0	112.77	154.42	181.28	152.28	140.04	144.01	111.99	224.97	120.1	208.38	116.78	142.01	237.86	90.77	78.34	226.54	371.22	147.06	87.65	182.55	127.0	103.69	146.03	133.36	126.12	110.43	120.94	121.79	215.77	178.77	273.37	183.82	198.47	332.14	134.3	94.67	140.04	194.36	271.48	119.26	111.99	149.12	146.03	279.14	211.31	111.21	145.02	148.09	239.52	82.29	134.3	237.86	170.25	122.64	205.5	277.2	100.83	120.94	148.09	202.66	138.1	99.43	116.78	108.14	127.89	155.5	88.26	180.02	113.56	118.43	212.78	145.02	138.1	172.65	204.07	145.02	121.79
