	GTEX.TMMY.1526.SM.4DXST	TCGA.CU.A5W6.01A.11R.A28M.07	TCGA.BT.A20X.01A.11R.A16R.07	TCGA.BT.A0YX.01A.11R.A10U.07	TCGA.XF.A9T8.01A.11R.A39I.07	TCGA.CU.A72E.01A.12R.A33J.07	TCGA.BT.A20U.11A.11R.A14Y.07	TCGA.BT.A2LB.11A.11R.A18C.07	GTEX.U3ZN.1626.SM.4DXTZ	TCGA.UC.A7PF.01A.11R.A352.07	TCGA.EK.A2RC.01A.11R.A18M.07	TCGA.C5.A1BM.01A.11R.A13Y.07	TCGA.C5.A1MK.01A.11R.A14Y.07	TCGA.Q1.A6DW.01A.11R.A32P.07	TCGA.JW.A5VL.01A.11R.A28H.07	TCGA.DS.A5RQ.01A.11R.A28H.07	TCGA.VS.A9UI.01A.11R.A42T.07	TCGA.EK.A2RO.01A.11R.A18M.07	TCGA.EA.A3HU.01A.11R.A213.07	TCGA.DS.A1OB.01A.11R.A14Y.07	TCGA.C5.A1BQ.01C.11R.A213.07	TCGA.C5.A1BE.01B.11R.A13Y.07	TCGA.C5.A2LZ.01A.11R.A213.07	TCGA.XP.A8T8.01A.11R.A36D.31	TCGA.LN.A49S.01A.11R.A24K.31	TCGA.IG.A8O2.01A.11R.A36D.31	TCGA.L5.A88S.01A.11R.A36D.31	TCGA.IG.A5B8.01A.11R.A28J.31	TCGA.Z6.A8JD.01A.11R.A36D.31	TCGA.JY.A6FA.01A.11R.A336.31	TCGA.VR.A8ER.01A.11R.A36D.31	TCGA.L5.A88T.01A.11R.A354.31	TCGA.LN.A8I0.01A.11R.A36D.31	TCGA.JY.A6FG.01A.11R.A336.31	TCGA.JY.A6FD.01A.11R.A336.31	TCGA.R6.A6L6.01B.11R.A336.31	TCGA.LN.A7HV.01A.21R.A354.31	TCGA.L5.A8NQ.01A.11R.A36D.31	TCGA.VR.A8EZ.01A.11R.A36D.31	TCGA.VR.A8ET.01A.11R.A406.31	TCGA.L5.A8NK.01A.21R.A37I.31	TCGA.IG.A97H.01A.11R.A38D.31	TCGA.LN.A4MR.01A.11R.A28J.31	TCGA.XP.A8T6.01A.11R.A36D.31	TCGA.IG.A4P3.01A.11R.A260.31	TCGA.Z6.AAPN.01A.11R.A406.31	TCGA.LN.A5U6.01A.11R.A28J.31	TCGA.LN.A4A1.01A.21R.A260.31	TCGA.LN.A49R.01A.11R.A24K.31	TCGA.LN.A4A9.01A.11R.A28J.31	TCGA.V5.AASV.01A.11R.A38D.31	TCGA.LN.A8I1.01A.11R.A36D.31	TCGA.KH.A6WC.01A.11R.A336.31	TCGA.R6.A6Y0.01B.11R.A336.31	TCGA.L5.A88Z.01A.11R.A36D.31	TCGA.IG.A3QL.01A.11R.A24K.31	TCGA.VR.A8EX.01A.11R.A36D.31	TCGA.VR.A8EW.01A.11R.A36D.31	TCGA.IG.A3YC.01A.11R.A24K.31	TCGA.IG.A6QS.01A.12R.A336.31	TCGA.VR.A8EU.01A.11R.A36D.31	TCGA.L5.A43H.01A.11R.A24K.31	TCGA.LN.A9FO.01A.11R.A38D.31	TCGA.IC.A6RE.11A.12R.A336.31	GTEX.ZTTD.1226.SM.51MS2	GTEX.PVOW.1626.SM.48TC9	GTEX.145LV.1326.SM.5S2QI	GTEX.ZVE2.1326.SM.5NQ94	GTEX.144FL.2726.SM.5O98Z	GTEX.13U4I.1126.SM.5LU3S	GTEX.11ONC.1526.SM.5GU6S	GTEX.12WSA.1426.SM.5EGJU	GTEX.R45C.1226.SM.48FEE	GTEX.13O3Q.0826.SM.5IFGF	GTEX.QVUS.0626.SM.447CC	GTEX.T5JC.1726.SM.4DM6U	GTEX.XK95.1026.SM.4GIDV	GTEX.13NZB.1226.SM.5J2MW	GTEX.145LS.1826.SM.5LUAZ	GTEX.X4LF.0626.SM.4QASB	GTEX.11DYG.1326.SM.5N9DO	GTEX.YFC4.1226.SM.5LU9R	GTEX.WVLH.1426.SM.4MVNX	GTEX.11ZU8.1526.SM.5EGHX	GTEX.139TU.1226.SM.5J2NL	GTEX.X585.1226.SM.46MW7	GTEX.ZTPG.1626.SM.5DUX2	GTEX.PLZ4.1626.SM.3P618	GTEX.11NUK.1326.SM.5P9GN	GTEX.RNOR.1226.SM.48FDQ	GTEX.UPK5.1226.SM.4IHL8	GTEX.ZAB4.1126.SM.5HL86	GTEX.ZF3C.1626.SM.4WWB4	GTEX.XQ3S.1126.SM.4BOPK	GTEX.14BIN.2726.SM.5RQIE	GTEX.P78B.1026.SM.3NMC4	GTEX.XQ8I.1526.SM.4BOOH	GTEX.11ZTS.2626.SM.5EGIC	GTEX.132AR.2226.SM.5J2NT	GTEX.S33H.0826.SM.4AD5Y	GTEX.132AR.2326.SM.5IJDY	TCGA.QK.A6VC.01A.23R.A34R.07	TCGA.BA.5557.01A.01R.1514.07	TCGA.CN.6021.01A.11R.1686.07	TCGA.UF.A71D.01A.12R.A34R.07	TCGA.CV.6955.01A.11R.2016.07	TCGA.H7.7774.01A.21R.2081.07	TCGA.CV.6935.01A.11R.1915.07	TCGA.CN.6998.01A.23R.2016.07	TCGA.CV.A45V.01A.21R.A24Z.07	TCGA.CV.7421.01A.11R.2081.07	TCGA.CV.7411.01A.11R.2081.07	TCGA.CV.7183.11A.01R.2016.07	TCGA.CV.6961.11A.01R.1915.07	GTEX.YFC4.1126.SM.5RQJN	GTEX.ZUA1.1026.SM.4YCEA	TCGA.85.A4JC.01A.11R.A24Z.07	TCGA.21.5784.01A.01R.1635.07	GTEX.ZQG8.2126.SM.4YCF1	GTEX.11ZTS.3026.SM.5EQM7	GTEX.XV7Q.2426.SM.4BRV8	GTEX.WFJO.2026.SM.4LVM3	GTEX.ZPU1.2326.SM.57WEP	GTEX.ZP4G.1926.SM.57WDZ	GTEX.ZT9W.2126.SM.51MSF	TCGA.IN.7806.11A.01R.2055.13	GTEX.YJ8A.1526.SM.5P9FT	GTEX.WWYW.2826.SM.4MVOQ	GTEX.PWN1.2026.SM.48TD9	GTEX.R55G.1626.SM.48FF4
CHD3	1437.15	1191.69	620.67	1030.12	1143.1	961.07	1322.37	1359.57	674.59	1540.37	1857.6	1175.27	2303.12	1322.37	2434.5	1561.89	1259.69	1073.91	1225.22	1037.29	1427.22	775.05	1427.22	1407.55	1322.37	1572.76	2351.53	902.89	2193.99	1143.1	1135.2	1617.0	1583.71	1769.57	1540.37	1286.18	928.3	1467.37	890.44	813.63	1594.73	1242.34	1819.35	1457.23	1233.75	1896.65	1467.37	1769.57	2240.11	2075.59	2240.11	2004.85	1286.18	1127.35	1745.2	2240.11	1617.0	1331.57	1477.58	1225.22	1286.18	1832.01	2047.0	1561.89	2303.12	1286.18	2591.27	3018.3	2777.33	2148.82	1685.71	1709.26	3443.31	2240.11	2303.12	1745.2	2209.26	1977.24	1991.0	2224.63	2163.77	1159.07	1923.14	1781.89	3124.78	2591.27	1088.92	2609.3	1594.73	2434.5	2976.74	2400.97	2451.44	1359.57	2119.22	2895.31	1923.14	1651.0	3081.75	2468.49	3303.0	1183.45	669.92	1508.65	651.58	1369.04	842.36	2061.24	1322.37	954.43	1044.52	1268.46	269.6	376.41	1870.53	3325.99	1250.98	941.27	299.25	713.11	624.99	769.69	791.35	540.19	703.28	1447.15	921.88	6164.49	1721.16	1781.89
CHKB	470.14	1119.56	780.44	540.19	1008.9	1225.22	896.64	591.22	775.05	1233.75	1359.57	981.29	981.29	995.0	1397.83	500.46	866.07	1685.71	595.34	878.17	981.29	995.0	1277.29	665.29	1832.01	2004.85	1733.13	764.36	2758.13	723.08	1295.13	1508.65	2090.03	1639.59	1331.57	1709.26	1225.22	2004.85	1369.04	1268.46	1551.09	1487.87	2520.38	1369.04	1359.57	1030.12	1417.35	1697.45	2209.26	3280.18	1870.53	2255.7	1457.23	1529.73	1477.58	1208.34	1977.24	1477.58	2271.4	1096.5	1369.04	2224.63	2047.0	1417.35	2287.2	1199.98	2451.44	2816.11	2468.49	1977.24	1417.35	2739.08	2209.26	1709.26	2520.38	1870.53	1806.78	2193.99	2148.82	1832.01	3124.78	1529.73	1963.57	1896.65	2777.33	3794.3	1407.55	2537.92	2303.12	2400.97	2591.27	2739.08	2739.08	2061.24	2485.67	2400.97	1806.78	2018.8	1233.75	2573.36	1135.2	1331.57	429.54	195.72	555.41	438.59	323.03	389.72	242.88	866.07	332.14	249.73	921.88	325.29	679.29	603.67	2400.97	1508.65	223.41	429.54	435.55	620.67	571.05	420.68	341.51	769.69	579.04	1857.6	417.77	444.72
CLASRP	748.61	1350.18	679.29	688.78	921.88	974.5	961.07	738.29	693.58	1304.15	1286.18	808.0	1191.69	1295.13	1167.14	684.02	1529.73	1081.39	981.29	1167.14	1051.79	1051.79	1540.37	1286.18	1529.73	3212.66	1427.22	1832.01	1519.15	1457.23	1781.89	1477.58	2104.58	1745.2	1015.93	1605.83	1628.26	1617.0	1651.0	1639.59	1977.24	1551.09	2664.15	1594.73	1572.76	1519.15	1104.13	1295.13	2400.97	3103.19	2609.3	3928.15	1191.69	2047.0	1909.85	1397.83	2367.9	1268.46	1950.0	1059.11	1127.35	2090.03	2133.97	1397.83	2682.69	2271.4	2434.5	3124.78	2417.67	1781.89	2104.58	4298.64	3794.3	3168.41	3847.29	2075.59	2855.44	2303.12	2796.65	1662.49	3690.52	1721.16	2816.11	2935.74	2997.45	4388.98	1388.16	2739.08	2591.27	2720.15	3039.3	2777.33	2796.65	2367.9	2935.74	2758.13	1909.85	2627.46	1551.09	2384.37	2645.74	1407.55	232.94	239.52	483.38	363.56	318.57	420.68	414.87	651.58	579.04	329.84	269.6	346.29	1233.75	674.59	1135.2	547.75	84.63	376.41	339.14	476.71	305.55	253.23	271.48	967.76	723.08	3303.0	529.06	571.05
CLCN6	159.9	67.12	36.01	63.89	59.13	81.14	84.63	45.21	92.7	90.14	79.45	131.51	123.5	156.59	57.49	70.01	132.44	105.15	72.01	109.66	92.7	71.5	137.14	226.54	202.66	234.57	212.78	185.11	248.0	137.14	114.36	176.29	141.02	119.26	152.28	118.43	140.04	173.85	152.28	120.1	224.97	156.59	312.0	137.14	229.72	126.12	190.34	241.19	232.94	339.14	202.66	237.86	138.1	191.67	114.36	92.7	134.3	126.12	229.72	183.82	143.01	123.5	279.14	128.79	285.03	163.28	277.2	293.07	223.41	241.19	159.9	264.03	314.17	244.57	215.77	153.34	217.27	194.36	258.57	221.86	287.01	118.43	175.07	158.79	224.97	327.56	105.89	201.25	173.85	221.86	232.94	253.23	248.0	123.5	198.47	291.04	189.02	170.25	154.42	199.85	432.53	114.36	43.02	42.11	68.55	38.67	31.45	46.5	47.5	105.15	68.07	48.52	16.75	32.59	241.19	351.14	118.43	53.57	19.39	50.63	69.52	62.12	63.45	48.18	33.78	107.38	92.05	395.18	98.73	108.14
CLK4	327.56	155.5	189.02	111.21	144.01	175.07	220.32	307.69	206.94	305.55	256.78	182.55	269.6	293.07	191.67	256.78	209.84	170.25	323.03	253.23	242.88	175.07	348.71	271.48	332.14	215.77	329.84	283.05	305.55	297.17	241.19	323.03	164.42	303.44	297.17	197.09	127.89	297.17	249.73	470.14	406.31	381.68	476.71	215.77	397.93	323.03	320.8	262.2	295.11	490.14	368.65	236.21	348.71	242.88	299.25	166.73	249.73	161.02	387.02	327.56	223.41	358.54	480.04	387.02	674.59	159.9	612.11	733.19	532.74	579.04	305.55	624.99	713.11	366.09	525.39	447.82	567.1	412.0	543.96	486.75	738.29	346.29	269.6	214.27	624.99	988.12	343.89	525.39	303.44	647.07	656.11	718.08	679.29	232.94	454.09	836.53	543.96	327.56	500.46	500.46	813.63	248.0	125.24	58.3	83.45	88.26	74.06	190.34	147.06	198.47	64.8	86.43	156.59	61.68	241.19	190.34	232.94	144.01	56.28	99.43	45.85	108.9	82.87	96.68	84.63	299.25	125.24	536.45	226.54	136.19
COL11A2	8.06	15.11	8.45	20.86	6.31	6.57	3.23	8.25	4.43	19.82	11.47	6.84	17.77	8.38	19.53	7.4	9.93	64.8	4.94	4.9	3.47	9.48	16.51	15.22	20.71	27.44	18.43	17.9	28.86	17.64	16.88	13.12	20.26	25.72	16.51	26.47	15.0	11.55	14.56	19.39	30.12	18.43	18.03	15.45	13.83	19.68	12.74	21.78	20.71	36.27	34.51	51.35	20.26	11.64	14.56	13.62	16.15	14.89	26.86	17.13	18.97	19.68	21.01	13.72	37.59	17.13	52.08	22.26	36.01	16.75	12.27	20.11	86.43	20.26	43.63	23.25	8.99	11.04	47.17	23.25	38.67	12.45	17.51	22.43	32.59	64.8	9.41	23.93	18.03	22.75	43.32	31.9	26.28	30.12	27.05	28.45	16.39	18.84	31.0	19.68	13.42	15.56	5.87	1.85	2.05	0.74	3.26	3.38	1.55	7.4	8.06	4.54	1.66	0.77	20.26	368.65	38.95	14.35	0.0	5.59	15.11	6.41	2.73	2.94	1.62	3.82	43.02	35.5	20.71	3.11
CPSF7	1159.07	813.63	656.11	1037.29	713.11	703.28	1008.9	796.86	733.19	1135.2	866.07	1151.06	1111.82	1583.71	764.36	785.88	1487.87	954.43	1001.93	693.58	1111.82	1096.5	1508.65	1896.65	1457.23	1477.58	1277.29	1015.93	2004.85	1883.54	1081.39	1561.89	1233.75	1242.34	1651.0	1183.45	1529.73	1417.35	1369.04	1350.18	1605.83	1529.73	1529.73	1857.6	1487.87	1605.83	1313.23	1605.83	1388.16	1583.71	1259.69	1551.09	1369.04	1242.34	1709.26	1605.83	1572.76	1331.57	1447.15	1340.84	1519.15	2271.4	1769.57	1378.57	1639.59	802.41	1639.59	1769.57	1529.73	1628.26	1127.35	1572.76	1662.49	872.1	1508.65	1143.1	1242.34	1259.69	1651.0	1250.98	1322.37	974.5	1023.0	1457.23	1781.89	1447.15	1135.2	1457.23	1322.37	1819.35	1709.26	1551.09	1477.58	1216.75	1304.15	2163.77	1561.89	1295.13	1119.56	1457.23	2090.03	896.64	571.05	660.68	1242.34	688.78	728.11	902.89	612.11	848.22	802.41	595.34	521.76	848.22	713.11	480.04	902.89	748.61	444.72	848.22	921.88	967.76	842.36	638.15	470.14	1199.98	928.3	1651.0	708.18	785.88
CRIPAK	54.33	99.43	30.78	48.52	46.5	81.71	62.12	51.35	102.25	76.71	71.0	119.26	37.59	72.52	78.34	24.28	69.03	34.26	57.08	49.21	110.43	28.45	57.89	109.66	129.69	96.01	182.55	85.82	78.34	66.18	70.51	154.42	122.64	88.88	82.87	141.02	151.22	204.07	120.94	73.54	167.9	129.69	173.85	122.64	111.99	148.09	67.12	115.16	113.56	190.34	173.85	64.34	221.86	206.94	204.07	53.19	206.94	54.72	167.9	87.65	56.28	113.56	63.89	137.14	199.85	183.82	361.04	303.44	325.29	309.83	193.01	327.56	318.57	181.28	587.13	229.72	273.37	314.17	264.03	231.32	373.81	162.14	260.38	167.9	336.79	334.46	149.12	249.73	293.07	275.28	197.09	329.84	265.87	157.68	301.33	204.07	228.13	265.87	199.85	258.57	171.45	30.56	54.33	35.0	53.19	65.26	50.27	42.11	26.47	85.22	75.11	68.55	27.64	41.22	54.33	72.01	75.64	36.79	11.55	43.63	23.93	50.27	42.11	48.18	40.36	123.5	26.28	94.67	61.25	54.72
CSAD	159.9	647.07	95.34	146.03	244.57	256.78	307.69	181.28	361.04	872.1	351.14	656.11	438.59	551.56	872.1	231.32	890.44	285.03	180.02	423.61	447.82	579.04	1167.14	563.18	1044.52	1191.69	733.19	872.1	684.02	420.68	591.22	769.69	1088.92	902.89	651.58	444.72	928.3	607.87	669.92	540.19	884.29	490.14	902.89	693.58	698.41	718.08	329.84	947.83	1819.35	2451.44	6652.97	1159.07	941.27	759.08	819.3	283.05	764.36	463.65	1259.69	775.05	438.59	698.41	1096.5	848.22	1508.65	1111.82	1781.89	1832.01	1757.34	1572.76	981.29	1191.69	1806.78	1806.78	2061.24	1529.73	1096.5	1030.12	1909.85	1023.0	1857.6	1081.39	928.3	1378.57	1572.76	2193.99	638.15	1651.0	934.76	1487.87	1417.35	1757.34	1870.53	679.29	1111.82	1991.0	1286.18	1015.93	738.29	1242.34	974.5	713.11	36.01	65.26	295.11	96.68	126.12	108.14	37.59	305.55	156.59	91.41	88.26	101.54	1111.82	368.65	764.36	175.07	8.45	94.67	102.97	111.99	74.58	64.8	45.53	361.04	141.02	1397.83	167.9	229.72
CXXC1	536.45	1104.13	483.38	447.82	836.53	718.08	860.08	693.58	902.89	1651.0	1467.37	1066.48	1051.79	1378.57	2018.8	1199.98	1151.06	2335.28	1127.35	1081.39	1104.13	1467.37	1844.76	1096.5	1088.92	2133.97	1605.83	1340.84	1286.18	1781.89	896.64	1397.83	1081.39	1977.24	1199.98	1467.37	1870.53	1709.26	1977.24	2032.85	1304.15	674.59	1088.92	1175.27	1225.22	1104.13	890.44	1313.23	1183.45	1674.06	1769.57	1369.04	1369.04	1447.15	1540.37	1277.29	1508.65	1250.98	1359.57	1359.57	1044.52	1135.2	1397.83	1388.16	2255.7	2255.7	2739.08	2434.5	2434.5	1745.2	1447.15	2895.31	2855.44	2209.26	2796.65	1540.37	1769.57	1950.0	2209.26	1397.83	2720.15	1733.13	1685.71	2682.69	2271.4	3614.55	1388.16	2240.11	1896.65	2104.58	2682.69	2193.99	2047.0	1508.65	2061.24	2664.15	1936.53	1674.06	1757.34	1733.13	2255.7	1183.45	1073.91	1037.29	753.83	1015.93	780.44	483.38	1023.0	1111.82	819.3	1628.26	497.0	1096.5	1151.06	902.89	921.88	941.27	223.41	703.28	981.29	819.3	423.61	483.38	435.55	941.27	743.43	3794.3	819.3	1008.9
D2HGDH	218.79	441.64	239.52	336.79	406.31	607.87	457.25	441.64	595.34	414.87	1037.29	293.07	314.17	423.61	579.04	432.53	764.36	571.05	332.14	466.88	753.83	497.0	356.05	1250.98	1001.93	1104.13	353.59	497.0	830.75	454.09	264.03	1015.93	454.09	775.05	244.57	325.29	400.71	426.57	336.79	384.34	674.59	368.65	651.58	703.28	493.56	226.54	486.75	447.82	753.83	981.29	379.04	764.36	813.63	1008.9	684.02	212.78	693.58	368.65	450.94	540.19	198.47	743.43	507.46	896.64	409.15	947.83	1923.14	1651.0	2417.67	1857.6	1498.22	2720.15	1844.76	1498.22	3443.31	1551.09	1175.27	1605.83	1857.6	1135.2	1119.56	1331.57	1322.37	1322.37	1397.83	1721.16	591.22	1259.69	1628.26	2434.5	2319.15	2148.82	2573.36	769.69	1051.79	2591.27	1350.18	1331.57	599.49	1477.58	327.56	638.15	114.36	109.66	218.79	176.29	157.68	202.66	189.02	490.14	493.56	141.02	151.22	249.73	256.78	381.68	595.34	277.2	108.9	339.14	368.65	384.34	287.01	185.11	283.05	791.35	173.85	780.44	332.14	353.59
DCAF8	3039.3	1651.0	819.3	1073.91	1417.35	1191.69	1096.5	909.17	836.53	1388.16	836.53	1208.34	1447.15	1651.0	753.83	599.49	1498.22	392.44	791.35	1183.45	974.5	995.0	1250.98	2018.8	2303.12	1662.49	1769.57	1350.18	1651.0	1745.2	1378.57	1757.34	1733.13	1159.07	1498.22	1023.0	1369.04	1322.37	928.3	1721.16	1605.83	1359.57	3081.75	2303.12	1639.59	1819.35	1295.13	1388.16	1583.71	2976.74	1487.87	1844.76	1487.87	1208.34	2739.08	1427.22	1407.55	1051.79	1769.57	1191.69	1159.07	3018.3	1896.65	1685.71	2335.28	1551.09	2537.92	2287.2	1963.57	2367.9	1697.45	2701.35	2104.58	2061.24	2075.59	2032.85	1685.71	1572.76	1963.57	2032.85	2758.13	1378.57	1832.01	1757.34	2351.53	2004.85	1498.22	2075.59	1857.6	2209.26	2287.2	2209.26	2271.4	1096.5	1977.24	2855.44	1977.24	1883.54	1340.84	1832.01	2119.22	1175.27	813.63	1437.15	1388.16	854.13	921.88	1417.35	890.44	988.12	595.34	698.41	902.89	813.63	1923.14	2351.53	1519.15	1059.11	507.46	941.27	587.13	1073.91	909.17	928.3	688.78	1447.15	1023.0	1096.5	1313.23	860.08
DDX26B	80.57	90.14	86.43	52.82	94.01	63.89	84.04	78.34	65.26	246.28	151.22	94.67	123.5	112.77	202.66	154.42	158.79	92.05	204.07	128.79	124.37	139.07	154.42	147.06	211.31	291.04	159.9	170.25	237.86	112.77	218.79	176.29	71.0	114.36	137.14	118.43	89.51	166.73	143.01	208.38	248.0	264.03	275.28	162.14	287.01	271.48	127.89	239.52	194.36	197.09	154.42	226.54	198.47	146.03	81.71	212.78	145.02	165.57	223.41	220.32	151.22	226.54	353.59	161.02	149.12	127.0	356.05	325.29	312.0	239.52	162.14	253.23	371.22	341.51	181.28	180.02	158.79	182.55	376.41	244.57	351.14	105.89	159.9	204.07	358.54	281.09	122.64	155.5	150.17	339.14	269.6	343.89	297.17	98.73	217.27	371.22	171.45	255.0	111.99	220.32	77.25	130.6	32.36	74.58	176.29	18.43	26.28	49.91	21.32	46.18	47.17	21.94	32.59	38.4	202.66	262.2	111.21	61.25	18.03	36.01	40.07	39.5	27.64	25.72	30.34	108.9	32.82	195.72	50.98	52.82
DENND4B	279.14	220.32	186.4	291.04	316.37	334.46	253.23	289.02	226.54	543.96	438.59	341.51	409.15	753.83	368.65	316.37	529.06	273.37	447.82	486.75	351.14	325.29	591.22	902.89	547.75	785.88	660.68	624.99	723.08	1015.93	607.87	780.44	1037.29	559.28	529.06	769.69	551.56	607.87	693.58	307.69	633.73	525.39	1191.69	759.08	1135.2	660.68	438.59	738.29	802.41	1508.65	890.44	1259.69	420.68	915.51	808.0	368.65	775.05	476.71	848.22	669.92	450.94	848.22	748.61	603.67	1096.5	647.07	872.1	1183.45	791.35	651.58	607.87	848.22	961.07	738.29	693.58	567.1	819.3	656.11	764.36	718.08	1030.12	325.29	612.11	616.37	802.41	1242.34	551.56	941.27	629.35	775.05	1073.91	890.44	854.13	497.0	579.04	1216.75	733.19	638.15	753.83	738.29	1757.34	381.68	162.14	229.72	397.93	193.01	121.79	205.5	121.79	348.71	239.52	165.57	76.17	159.9	884.29	307.69	718.08	412.0	122.64	273.37	392.44	220.32	150.17	171.45	120.1	312.0	312.0	1233.75	267.73	264.03
DGCR8	397.93	327.56	309.83	273.37	249.73	283.05	249.73	256.78	285.03	500.46	490.14	262.2	450.94	595.34	525.39	397.93	532.74	325.29	395.18	361.04	571.05	447.82	684.02	507.46	397.93	595.34	493.56	255.0	497.0	373.81	371.22	543.96	438.59	490.14	384.34	435.55	466.88	497.0	435.55	303.44	525.39	414.87	514.56	450.94	384.34	275.28	403.5	540.19	397.93	1001.93	780.44	397.93	423.61	480.04	447.82	395.18	559.28	351.14	587.13	414.87	397.93	555.41	447.82	429.54	802.41	318.57	808.0	728.11	620.67	764.36	500.46	830.75	583.07	397.93	718.08	318.57	563.18	579.04	540.19	540.19	785.88	309.83	423.61	587.13	579.04	460.44	497.0	507.46	559.28	514.56	780.44	660.68	575.03	420.68	547.75	954.43	547.75	547.75	518.15	607.87	698.41	329.84	142.01	215.77	202.66	244.57	237.86	167.9	171.45	323.03	376.41	186.4	108.14	260.38	105.89	141.02	346.29	244.57	99.43	303.44	197.09	228.13	221.86	194.36	106.63	363.56	363.56	529.06	334.46	323.03
DIP2A	256.78	256.78	157.68	191.67	244.57	318.57	251.48	249.73	403.5	441.64	518.15	368.65	563.18	514.56	283.05	301.33	343.89	171.45	295.11	275.28	518.15	379.04	470.14	332.14	381.68	420.68	295.11	181.28	441.64	397.93	543.96	480.04	392.44	423.61	500.46	244.57	412.0	476.71	197.09	327.56	403.5	669.92	511.0	463.65	392.44	279.14	339.14	688.78	400.71	1508.65	733.19	426.57	490.14	473.41	244.57	341.51	323.03	543.96	384.34	241.19	423.61	325.29	381.68	579.04	647.07	591.22	819.3	1030.12	915.51	825.0	660.68	748.61	842.36	743.43	902.89	665.29	647.07	616.37	1023.0	536.45	703.28	518.15	536.45	902.89	1096.5	1066.48	629.35	884.29	454.09	759.08	769.69	934.76	1191.69	651.58	633.73	780.44	674.59	480.04	511.0	599.49	521.76	336.79	201.25	267.73	414.87	191.67	229.72	198.47	249.73	348.71	172.65	267.73	120.94	208.38	426.57	417.77	226.54	170.25	87.65	182.55	305.55	232.94	176.29	149.12	144.01	373.81	206.94	624.99	151.22	215.77
DMAP1	688.78	651.58	466.88	444.72	507.46	529.06	723.08	529.06	366.09	872.1	934.76	848.22	764.36	728.11	915.51	866.07	1059.11	1277.29	583.07	738.29	651.58	764.36	860.08	579.04	753.83	1066.48	679.29	620.67	743.43	518.15	395.18	591.22	591.22	441.64	603.67	759.08	665.29	854.13	825.0	327.56	555.41	616.37	579.04	688.78	417.77	620.67	616.37	507.46	607.87	764.36	551.56	738.29	547.75	669.92	497.0	543.96	713.11	490.14	759.08	679.29	540.19	444.72	738.29	579.04	808.0	529.06	1044.52	738.29	775.05	921.88	718.08	836.53	988.12	497.0	890.44	684.02	587.13	616.37	819.3	836.53	1008.9	660.68	842.36	819.3	915.51	1081.39	587.13	915.51	703.28	981.29	1059.11	753.83	718.08	616.37	854.13	1104.13	854.13	769.69	591.22	878.17	441.64	497.0	239.52	307.69	470.14	511.0	486.75	231.32	500.46	420.68	348.71	295.11	346.29	361.04	642.59	656.11	1350.18	444.72	249.73	392.44	291.04	514.56	406.31	463.65	341.51	555.41	417.77	848.22	583.07	563.18
DNAH1	40.93	35.76	14.14	24.63	34.51	28.24	31.67	40.07	32.36	62.12	40.64	21.01	50.63	55.89	27.05	18.97	71.0	21.63	43.32	23.76	25.72	42.71	63.0	43.32	62.12	90.14	69.52	27.44	70.51	30.34	39.22	80.01	64.8	39.22	48.87	34.26	26.1	69.03	50.27	34.75	65.26	31.45	40.36	53.95	70.51	54.72	35.76	35.25	49.56	111.99	34.51	85.82	68.07	57.89	53.57	26.67	69.03	32.59	86.43	43.94	34.75	50.98	67.12	79.45	116.78	73.03	234.57	158.79	162.14	182.55	82.29	124.37	221.86	142.01	246.28	74.06	72.01	86.43	137.14	143.01	195.72	47.84	163.28	209.84	144.01	279.14	56.68	193.01	106.63	175.07	159.9	244.57	211.31	31.67	114.36	166.73	176.29	81.14	72.52	141.02	100.83	64.34	5.77	7.46	12.93	12.74	8.19	21.78	15.45	13.93	11.64	4.86	10.31	12.55	137.14	507.46	89.51	38.4	3.53	24.11	11.91	21.94	24.81	16.27	10.08	44.25	11.82	105.89	46.84	43.63
DNHD1	212.78	63.89	35.25	24.81	40.64	56.68	50.98	43.63	52.82	96.01	60.82	61.25	46.5	33.06	43.63	28.65	63.0	54.33	32.59	78.34	28.86	29.7	70.51	157.68	201.25	124.37	128.79	70.51	100.83	113.56	48.87	127.0	232.94	133.36	127.89	100.13	251.48	134.3	45.21	187.71	124.37	80.01	303.44	77.79	249.73	187.71	92.05	265.87	208.38	314.17	303.44	152.28	111.21	93.35	183.82	81.14	101.54	81.71	242.88	169.07	103.69	115.16	126.12	98.73	555.41	256.78	253.23	269.6	199.85	171.45	135.24	318.57	226.54	264.03	267.73	162.14	159.9	133.36	198.47	178.77	264.03	90.77	121.79	217.27	172.65	305.55	87.03	124.37	131.51	165.57	181.28	303.44	218.79	108.14	164.42	175.07	167.9	144.01	100.83	101.54	309.83	105.15	14.24	17.77	29.91	27.05	13.52	48.87	10.31	63.89	17.9	13.83	8.06	19.97	140.04	325.29	96.68	22.43	2.43	33.54	21.78	16.88	12.55	10.08	8.92	62.56	111.21	72.52	59.97	26.86
