	TCGA.EJ.7331.01A.11R.2118.07	TCGA.KC.A4BN.01A.61R.A250.07	TCGA.XK.AAK1.01A.11R.A41O.07	TCGA.G9.7522.01A.11R.2263.07	TCGA.EJ.7783.01A.11R.2118.07	TCGA.J9.A52D.01A.11R.A29R.07	TCGA.VN.A943.01A.11R.A41O.07	TCGA.G9.6351.01A.21R.1965.07	TCGA.J4.A67T.01A.11R.A311.07	TCGA.EJ.5516.01A.01R.1580.07	TCGA.EJ.A65E.01A.11R.A29R.07	TCGA.EJ.AB27.01A.11R.A41O.07	TCGA.HC.7748.01A.11R.2118.07	TCGA.G9.6333.01A.12R.1965.07	TCGA.V1.A8X3.01A.11R.A37L.07	TCGA.V1.A8WN.01A.11R.A37L.07	TCGA.HC.7749.01A.11R.2118.07	TCGA.YL.A8SR.01B.11R.A37L.07	TCGA.VP.A87B.01A.11R.A352.07	TCGA.HC.7075.01A.11R.1965.07	TCGA.G9.6367.01A.11R.1789.07	TCGA.G9.6499.01A.12R.1965.07	TCGA.J9.A8CN.01A.11R.A352.07	TCGA.G9.6371.01A.11R.1789.07	TCGA.KK.A8IJ.01A.11R.A352.07	TCGA.2A.AAYF.01A.11R.A41O.07	TCGA.EJ.A65G.01A.21R.A29R.07	TCGA.EJ.5510.01A.01R.1580.07	TCGA.HC.8256.01A.11R.2263.07	TCGA.EJ.5517.01A.01R.1580.07	TCGA.EJ.5505.01A.01R.1580.07	TCGA.M7.A724.01A.12R.A32O.07	TCGA.EJ.7318.01B.11R.A32O.07	TCGA.EJ.A7NJ.01A.22R.A352.07	TCGA.V1.A9OQ.01A.11R.A41O.07	TCGA.EJ.5522.01A.01R.1580.07	TCGA.EJ.7312.01B.21R.A32O.07	TCGA.XK.AAJR.01A.11R.A41O.07	TCGA.J9.A8CP.01A.11R.A352.07	TCGA.V1.A8WL.01A.11R.A37L.07	TCGA.HC.7210.01A.11R.2118.07	TCGA.HC.8216.01A.11R.A29R.07	TCGA.EJ.5532.01A.01R.1580.07	TCGA.EJ.7793.01A.31R.2263.07	TCGA.EJ.7218.01B.11R.A32O.07	TCGA.J4.A83M.01A.11R.A352.07	TCGA.HC.7211.01A.11R.2118.07	TCGA.J4.AAU2.01A.11R.A41O.07	TCGA.EJ.7791.01A.11R.2118.07	TCGA.Y6.A9XI.01A.11R.A41O.07	TCGA.EJ.7785.01A.11R.2118.07	TCGA.HC.7820.01A.11R.2118.07	TCGA.XJ.A83G.01A.11R.A352.07	TCGA.HC.8259.01A.11R.2263.07	TCGA.EJ.5497.01A.02R.1580.07	TCGA.G9.6332.01A.11R.1789.07	TCGA.EJ.5498.01A.01R.1580.07	TCGA.EJ.5519.01A.01R.1580.07	TCGA.VN.A88N.01A.11R.A36G.07	TCGA.HC.7078.01A.11R.2118.07	TCGA.CH.5737.01A.11R.1580.07	TCGA.G9.7519.01A.11R.2263.07	TCGA.XK.AAJA.01A.11R.A41O.07	TCGA.KK.A6E5.01A.11R.A311.07	TCGA.J4.A83N.01A.11R.A352.07	TCGA.EJ.7794.11A.01R.2118.07	TCGA.EJ.7786.11A.01R.2118.07	TCGA.HC.7819.11A.01R.2118.07	TCGA.EJ.7784.11A.01R.2118.07	TCGA.HC.8260.11A.01R.2263.07	TCGA.EJ.7781.11A.01R.2118.07	TCGA.HC.7742.11A.01R.2118.07	TCGA.EJ.7317.11A.01R.2118.07	TCGA.EJ.7314.11A.01R.2118.07	TCGA.EJ.7315.11A.01R.2118.07	TCGA.G9.6342.11A.02R.1965.07	TCGA.EJ.7793.11A.01R.2263.07	TCGA.EJ.7331.11A.01R.2118.07	GTEX.12BJ1.1226.SM.5LUAE
PAQR3	255.0	214.27	65.26	226.54	169.07	81.71	152.28	159.9	173.85	221.86	134.3	146.03	208.38	140.04	156.59	297.17	173.85	177.53	60.39	83.45	198.47	150.17	75.64	147.06	223.41	135.24	116.78	214.27	232.94	183.82	244.57	112.77	46.84	182.55	87.65	212.78	65.72	241.19	209.84	164.42	291.04	163.28	260.38	275.28	62.12	50.98	295.11	55.1	195.72	157.68	153.34	139.07	64.34	105.89	169.07	92.7	318.57	318.57	132.44	144.01	173.85	157.68	92.05	138.1	104.42	249.73	269.6	251.48	323.03	295.11	325.29	187.71	291.04	258.57	291.04	133.36	371.22	339.14	339.14
PDE4D	366.09	429.54	134.3	780.44	412.0	376.41	162.14	417.77	400.71	1023.0	420.68	221.86	629.35	316.37	301.33	555.41	135.24	149.12	234.57	264.03	327.56	473.41	198.47	157.68	303.44	199.85	236.21	209.84	356.05	400.71	406.31	93.35	167.9	251.48	198.47	348.71	106.63	271.48	167.9	211.31	262.2	205.5	221.86	466.88	231.32	204.07	190.34	358.54	417.77	156.59	733.19	312.0	150.17	341.51	708.18	89.51	521.76	102.25	130.6	285.03	176.29	115.16	208.38	139.07	260.38	642.59	764.36	483.38	470.14	332.14	842.36	536.45	348.71	563.18	693.58	220.32	507.46	497.0	780.44
PDZD2	96.01	27.44	11.3	36.27	182.55	13.83	7.88	28.45	46.84	112.77	40.36	37.85	132.44	37.85	53.95	74.06	75.11	56.28	31.22	16.03	38.95	18.29	23.76	30.34	20.26	26.28	17.9	48.87	21.78	29.7	49.56	8.13	17.13	52.45	14.35	68.07	13.72	100.13	34.75	39.79	84.63	34.75	54.72	63.45	27.25	45.85	44.89	32.82	103.69	63.89	143.01	32.36	44.57	30.34	60.82	27.84	143.01	37.85	48.87	70.01	82.87	19.68	24.28	43.02	36.53	145.02	132.44	101.54	115.16	93.35	115.16	53.19	59.13	80.01	141.02	40.93	84.04	77.25	54.72
PHF15	309.83	162.14	133.36	185.11	507.46	132.44	173.85	153.34	129.69	314.17	366.09	249.73	371.22	234.57	325.29	251.48	251.48	206.94	156.59	124.37	249.73	115.97	97.36	137.14	183.82	126.12	106.63	373.81	199.85	249.73	441.64	44.25	106.63	277.2	105.89	264.03	356.05	191.67	201.25	171.45	356.05	145.02	273.37	287.01	162.14	269.6	514.56	124.37	341.51	175.07	500.46	186.4	131.51	180.02	339.14	88.88	466.88	305.55	138.1	363.56	256.78	117.6	177.53	150.17	156.59	713.11	555.41	341.51	599.49	273.37	708.18	332.14	358.54	457.25	723.08	170.25	392.44	297.17	567.1
PHF17	314.17	420.68	232.94	420.68	547.75	159.9	511.0	567.1	301.33	728.11	260.38	281.09	521.76	242.88	218.79	457.25	195.72	785.88	253.23	379.04	595.34	368.65	221.86	242.88	336.79	271.48	373.81	423.61	208.38	368.65	406.31	209.84	195.72	231.32	483.38	423.61	198.47	351.14	181.28	316.37	599.49	332.14	277.2	748.61	318.57	279.14	356.05	406.31	412.0	555.41	642.59	476.71	151.22	287.01	629.35	387.02	629.35	483.38	299.25	417.77	426.57	214.27	201.25	237.86	327.56	536.45	599.49	567.1	571.05	825.0	432.53	748.61	547.75	603.67	503.95	460.44	967.76	429.54	551.56
PHF21A	447.82	273.37	153.34	384.34	688.78	232.94	232.94	327.56	339.14	395.18	336.79	400.71	483.38	334.46	332.14	444.72	432.53	273.37	316.37	358.54	476.71	220.32	281.09	297.17	348.71	305.55	320.8	400.71	301.33	275.28	384.34	212.78	251.48	368.65	275.28	500.46	323.03	395.18	325.29	389.72	384.34	320.8	363.56	426.57	269.6	414.87	511.0	307.69	460.44	463.65	583.07	320.8	223.41	341.51	429.54	312.0	507.46	423.61	309.83	361.04	336.79	253.23	447.82	256.78	293.07	547.75	563.18	493.56	511.0	420.68	603.67	423.61	389.72	454.09	647.07	293.07	438.59	490.14	540.19
PIAS3	802.41	583.07	400.71	813.63	1151.06	486.75	532.74	669.92	540.19	753.83	651.58	769.69	819.3	674.59	718.08	872.1	718.08	753.83	536.45	579.04	819.3	371.22	371.22	728.11	536.45	470.14	457.25	1059.11	612.11	486.75	688.78	656.11	555.41	674.59	435.55	785.88	813.63	1096.5	665.29	753.83	890.44	791.35	684.02	708.18	450.94	878.17	753.83	575.03	728.11	1191.69	1015.93	890.44	536.45	808.0	872.1	620.67	733.19	1651.0	981.29	679.29	529.06	521.76	743.43	529.06	547.75	1135.2	896.64	896.64	848.22	890.44	941.27	684.02	866.07	974.5	941.27	518.15	941.27	1001.93	1023.0
PIP5K1C	612.11	368.65	341.51	575.03	620.67	202.66	400.71	555.41	500.46	384.34	397.93	599.49	607.87	718.08	642.59	665.29	503.95	599.49	563.18	409.15	780.44	420.68	490.14	503.95	669.92	486.75	392.44	612.11	423.61	417.77	457.25	283.05	587.13	571.05	336.79	447.82	366.09	629.35	571.05	603.67	785.88	246.28	493.56	536.45	521.76	559.28	532.74	518.15	703.28	500.46	728.11	551.56	457.25	444.72	476.71	420.68	616.37	620.67	476.71	507.46	511.0	521.76	518.15	373.81	521.76	854.13	1044.52	718.08	616.37	591.22	1304.15	733.19	660.68	1008.9	748.61	429.54	688.78	819.3	1340.84
PLCE1	44.57	23.42	12.0	33.54	87.03	7.75	10.31	20.71	25.54	80.57	19.53	26.67	74.06	16.51	28.45	52.82	56.68	64.34	23.59	16.51	52.82	17.13	16.75	19.97	16.39	17.25	21.47	53.57	21.01	23.08	23.25	9.41	19.25	43.02	23.59	55.49	17.51	88.26	30.12	31.0	53.19	18.84	25.54	29.27	27.44	30.34	31.9	20.86	58.3	40.36	70.01	20.71	20.71	16.63	44.25	12.45	106.63	27.05	22.26	43.94	22.75	19.39	24.63	35.76	18.84	162.14	126.12	54.72	78.89	39.79	122.64	40.64	41.81	72.52	155.5	31.9	52.45	58.71	77.79
POGK	376.41	368.65	138.1	287.01	532.74	205.5	220.32	258.57	305.55	346.29	256.78	253.23	414.87	249.73	283.05	420.68	320.8	303.44	215.77	293.07	291.04	211.31	150.17	269.6	287.01	209.84	186.4	327.56	327.56	287.01	361.04	190.34	183.82	329.84	137.14	450.94	167.9	255.0	190.34	242.88	339.14	291.04	341.51	289.02	201.25	299.25	406.31	220.32	356.05	264.03	503.95	283.05	165.57	281.09	376.41	229.72	454.09	579.04	202.66	299.25	249.73	183.82	128.79	220.32	195.72	518.15	387.02	373.81	426.57	291.04	450.94	366.09	381.68	400.71	480.04	237.86	351.14	387.02	543.96
POLR2M	780.44	454.09	351.14	791.35	1127.35	371.22	441.64	599.49	426.57	1044.52	642.59	599.49	934.76	579.04	665.29	723.08	995.0	624.99	420.68	532.74	713.11	450.94	384.34	693.58	521.76	490.14	454.09	1037.29	651.58	890.44	1015.93	371.22	480.04	660.68	450.94	1023.0	583.07	567.1	733.19	563.18	688.78	603.67	703.28	813.63	438.59	432.53	785.88	454.09	764.36	575.03	947.83	563.18	476.71	633.73	848.22	854.13	1111.82	1159.07	703.28	575.03	733.19	400.71	624.99	483.38	607.87	1073.91	802.41	981.29	1001.93	708.18	1037.29	836.53	902.89	947.83	1216.75	813.63	748.61	860.08	1417.35
PSMD2	2935.74	2520.38	2417.67	3847.29	2739.08	2400.97	2451.44	2835.7	2701.35	3039.3	2816.11	3060.45	3564.78	2434.5	3060.45	3146.52	3349.13	2502.97	1721.16	2573.36	2915.45	2400.97	1745.2	2796.65	3716.2	2335.28	2119.22	3690.52	3060.45	2485.67	2976.74	2061.24	2816.11	3018.3	1769.57	3146.52	2739.08	3467.27	2935.74	2104.58	4388.98	2935.74	2956.17	2997.45	2758.13	2591.27	3124.78	2090.03	3639.7	2032.85	2895.31	2997.45	2701.35	2701.35	3491.39	2400.97	3349.13	3540.14	2178.83	2271.4	2682.69	2537.92	1639.59	2451.44	2664.15	2976.74	3190.46	2915.45	2895.31	3146.52	3168.41	3257.52	3372.43	3491.39	3257.52	2855.44	2796.65	3564.78	4210.15
PTPN21	224.97	128.79	92.7	162.14	228.13	88.26	139.07	114.36	141.02	228.13	147.06	133.36	218.79	205.5	242.88	264.03	147.06	206.94	118.43	152.28	173.85	104.42	99.43	112.77	155.5	150.17	150.17	134.3	101.54	175.07	176.29	34.51	71.5	204.07	92.7	249.73	137.14	116.78	166.73	161.02	246.28	127.0	181.28	165.57	116.78	126.12	218.79	194.36	249.73	137.14	307.69	148.09	90.77	115.97	183.82	142.01	273.37	173.85	87.03	281.09	170.25	119.26	126.12	116.78	76.71	339.14	392.44	265.87	291.04	221.86	457.25	189.02	277.2	327.56	341.51	171.45	249.73	287.01	363.56
PTPRJ	279.14	131.51	28.24	189.02	470.14	98.73	120.94	89.51	121.79	314.17	78.34	132.44	571.05	64.34	248.0	215.77	170.25	98.73	121.79	209.84	104.42	50.63	68.55	126.12	258.57	145.02	106.63	358.54	231.32	218.79	229.72	40.07	48.18	158.79	47.84	432.53	42.41	116.78	65.72	76.17	283.05	116.78	234.57	293.07	120.1	223.41	387.02	140.04	277.2	202.66	507.46	239.52	44.89	193.01	400.71	68.55	327.56	454.09	86.43	138.1	163.28	70.01	128.79	81.14	118.43	269.6	244.57	186.4	239.52	113.56	221.86	204.07	295.11	205.5	267.73	78.89	211.31	172.65	198.47
RAB5B	2537.92	1794.29	854.13	2384.37	2835.7	1417.35	1963.57	1896.65	1359.57	2502.97	1183.45	1950.0	2777.33	1745.2	1936.53	2224.63	2133.97	1870.53	1225.22	2004.85	2018.8	1015.93	1369.04	1733.13	1977.24	1806.78	981.29	2520.38	2047.0	2018.8	2434.5	381.68	713.11	2104.58	1059.11	1721.16	1304.15	1832.01	1806.78	1674.06	2287.2	1183.45	2224.63	2468.49	1651.0	1397.83	2835.7	1233.75	2209.26	1977.24	2935.74	2090.03	1104.13	2209.26	2573.36	1617.0	2485.67	2367.9	1572.76	1697.45	1977.24	1709.26	1259.69	1151.06	1417.35	2255.7	2468.49	2240.11	2303.12	2104.58	2627.46	1977.24	2468.49	2627.46	2451.44	1540.37	2287.2	2209.26	4095.0
RAB5C	2997.45	2319.15	2255.7	3060.45	2351.53	2255.7	2303.12	2537.92	2224.63	2682.69	1936.53	2367.9	3146.52	2193.99	2351.53	2573.36	2609.3	2468.49	1697.45	2816.11	2682.69	2451.44	1991.0	2520.38	2758.13	2502.97	2018.8	2502.97	2682.69	2645.74	2796.65	1757.34	1467.37	2855.44	1594.73	2796.65	2682.69	3103.19	2520.38	2133.97	3081.75	2664.15	2835.7	2935.74	2319.15	2032.85	2627.46	2303.12	2875.3	2240.11	3103.19	1605.83	2287.2	2434.5	2739.08	2451.44	3103.19	2796.65	1963.57	2351.53	2796.65	2255.7	1651.0	2303.12	2240.11	2997.45	3081.75	2875.3	2956.17	3103.19	3124.78	2835.7	3060.45	3235.01	3303.0	2609.3	3168.41	3540.14	4358.66
RAI14	303.44	223.41	49.21	358.54	361.04	113.56	107.38	218.79	307.69	563.18	154.42	239.52	426.57	170.25	164.42	220.32	285.03	260.38	189.02	178.77	176.29	137.14	273.37	129.69	198.47	145.02	105.15	334.46	166.73	229.72	145.02	113.56	83.45	167.9	220.32	358.54	80.01	205.5	249.73	264.03	334.46	194.36	318.57	285.03	149.12	129.69	327.56	143.01	327.56	88.26	281.09	181.28	80.01	191.67	332.14	420.68	507.46	208.38	100.13	255.0	198.47	167.9	131.51	131.51	153.34	470.14	463.65	325.29	536.45	318.57	620.67	318.57	281.09	420.68	551.56	187.71	289.02	343.89	417.77
RAPGEF1	638.15	297.17	211.31	438.59	813.63	181.28	293.07	305.55	339.14	547.75	293.07	514.56	656.11	406.31	591.22	543.96	420.68	532.74	420.68	332.14	493.56	223.41	265.87	387.02	500.46	312.0	231.32	514.56	376.41	403.5	540.19	281.09	289.02	444.72	220.32	486.75	323.03	567.1	429.54	381.68	718.08	314.17	579.04	412.0	457.25	454.09	607.87	325.29	698.41	389.72	921.88	432.53	293.07	358.54	536.45	260.38	679.29	651.58	329.84	444.72	429.54	231.32	376.41	373.81	339.14	909.17	854.13	651.58	708.18	486.75	961.07	559.28	607.87	808.0	1023.0	343.89	551.56	651.58	967.76
RGPD8	77.79	17.51	2.63	29.27	80.57	15.11	28.65	8.06	14.67	72.01	15.22	15.91	33.3	11.91	37.32	50.98	34.02	25.35	16.03	13.42	16.63	8.65	9.13	7.06	49.56	23.93	14.03	29.27	16.63	22.26	31.67	1.81	5.77	21.94	8.99	66.65	8.85	16.39	33.06	18.43	41.52	26.67	50.63	41.22	18.43	24.11	53.19	15.0	41.52	20.41	125.24	36.53	7.0	34.02	58.3	15.34	29.48	40.07	25.17	36.27	15.45	18.03	29.48	10.0	26.1	63.45	64.8	47.17	46.5	19.68	66.65	20.56	47.17	54.72	83.45	12.0	56.68	70.51	33.3
RIT1	353.59	199.85	156.59	346.29	384.34	242.88	89.51	271.48	253.23	414.87	297.17	251.48	356.05	229.72	269.6	351.14	346.29	373.81	197.09	156.59	325.29	217.27	159.9	215.77	262.2	173.85	183.82	341.51	202.66	273.37	258.57	122.64	253.23	293.07	215.77	441.64	209.84	316.37	239.52	223.41	366.09	332.14	279.14	329.84	163.28	217.27	361.04	186.4	325.29	346.29	356.05	260.38	164.42	237.86	389.72	215.77	486.75	417.77	226.54	305.55	262.2	249.73	167.9	220.32	204.07	518.15	521.76	332.14	423.61	293.07	497.0	366.09	307.69	473.41	529.06	293.07	525.39	447.82	595.34
RNF103-CHMP3	11.73	4.46	0.0	8.0	5.41	5.82	0.0	4.39	12.18	12.09	0.0	2.73	6.89	4.46	13.32	4.35	1.39	8.71	1.51	4.17	5.96	0.0	1.57	1.99	0.0	3.23	1.73	1.77	6.94	0.84	10.79	1.23	0.0	8.32	2.23	13.03	0.0	8.78	1.41	0.0	10.88	0.0	4.21	3.08	3.26	3.99	8.0	7.28	5.96	7.17	12.93	4.78	2.29	1.36	2.12	1.6	7.17	23.93	0.0	1.27	7.28	3.03	1.36	1.36	0.0	15.0	14.89	3.11	0.0	3.23	23.93	11.47	9.34	17.51	10.71	0.0	3.92	7.94	17.13
RNF115	514.56	368.65	251.48	429.54	529.06	255.0	376.41	376.41	366.09	460.44	373.81	371.22	457.25	348.71	493.56	435.55	466.88	579.04	246.28	341.51	420.68	275.28	312.0	348.71	426.57	343.89	275.28	368.65	412.0	376.41	441.64	169.07	246.28	379.04	327.56	466.88	277.2	376.41	435.55	417.77	395.18	420.68	429.54	547.75	320.8	381.68	426.57	318.57	450.94	271.48	521.76	351.14	256.78	368.65	435.55	327.56	397.93	713.11	320.8	264.03	444.72	283.05	244.57	316.37	329.84	460.44	547.75	466.88	518.15	392.44	547.75	373.81	490.14	571.05	529.06	316.37	567.1	579.04	575.03
RP11-565P22.6	68.07	8.38	10.24	27.64	66.65	2.66	20.11	21.01	20.71	40.07	55.1	37.85	59.13	25.17	28.24	49.56	16.15	49.21	22.43	22.26	30.34	21.94	6.11	22.92	35.0	16.75	10.08	77.25	22.92	19.82	32.13	8.58	12.09	22.1	2.34	37.05	29.06	63.0	33.54	7.82	153.34	21.78	38.95	44.57	27.05	22.92	85.82	8.19	55.1	53.95	43.02	32.13	30.56	57.08	34.02	9.56	40.93	145.02	37.85	50.98	67.12	6.62	16.03	43.94	14.03	58.71	61.68	47.17	59.13	22.92	22.59	57.08	94.67	63.0	59.97	17.38	52.45	44.57	71.5
RPS6KA5	81.14	61.25	25.72	63.45	111.21	36.01	48.87	43.94	57.08	151.22	44.57	54.33	115.16	70.01	87.65	69.52	69.03	55.49	29.91	37.85	67.12	44.57	41.81	37.05	27.25	37.85	61.68	111.99	45.21	100.13	72.01	32.82	36.01	74.06	25.17	109.66	26.86	69.03	59.55	67.59	72.01	80.57	82.29	73.03	34.51	45.53	105.89	44.57	73.03	77.25	94.01	42.41	36.53	47.5	91.41	29.48	123.5	127.89	44.57	50.63	39.5	36.79	45.85	57.08	50.27	159.9	102.97	82.29	149.12	94.01	181.28	84.63	78.89	158.79	138.1	68.55	144.01	114.36	172.65
RRM1	743.43	432.53	490.14	587.13	759.08	743.43	503.95	466.88	450.94	860.08	785.88	563.18	665.29	642.59	514.56	607.87	591.22	518.15	521.76	575.03	559.28	507.46	373.81	507.46	567.1	476.71	543.96	679.29	536.45	603.67	785.88	633.73	444.72	529.06	536.45	808.0	503.95	679.29	679.29	426.57	688.78	884.29	620.67	669.92	511.0	432.53	674.59	486.75	703.28	579.04	836.53	525.39	591.22	547.75	665.29	514.56	860.08	878.17	679.29	595.34	500.46	490.14	460.44	551.56	414.87	769.69	669.92	656.11	708.18	612.11	693.58	612.11	723.08	775.05	813.63	616.37	703.28	723.08	1015.93
RXRA	733.19	409.15	409.15	514.56	974.5	277.2	392.44	463.65	426.57	389.72	698.41	759.08	698.41	599.49	559.28	753.83	529.06	551.56	563.18	441.64	665.29	283.05	473.41	423.61	764.36	460.44	403.5	896.64	599.49	384.34	842.36	395.18	368.65	1208.34	293.07	547.75	429.54	591.22	521.76	341.51	941.27	497.0	733.19	521.76	633.73	607.87	759.08	638.15	842.36	503.95	753.83	460.44	490.14	363.56	665.29	346.29	848.22	665.29	595.34	748.61	708.18	409.15	587.13	525.39	409.15	1331.57	1030.12	928.3	1259.69	825.0	1015.93	896.64	1001.93	934.76	802.41	748.61	624.99	791.35	974.5
SEC14L1	796.86	511.0	249.73	947.83	1044.52	301.33	351.14	470.14	575.03	1023.0	438.59	497.0	775.05	426.57	454.09	723.08	660.68	1183.45	368.65	376.41	620.67	307.69	587.13	412.0	547.75	441.64	256.78	981.29	348.71	540.19	567.1	241.19	195.72	497.0	348.71	1096.5	241.19	785.88	842.36	703.28	785.88	473.41	796.86	791.35	363.56	497.0	764.36	363.56	647.07	620.67	1001.93	463.65	285.03	381.68	813.63	713.11	748.61	974.5	563.18	583.07	441.64	500.46	441.64	334.46	366.09	796.86	785.88	543.96	808.0	616.37	688.78	497.0	743.43	954.43	947.83	325.29	1037.29	854.13	500.46
SEMA4F	98.73	63.89	49.21	55.49	134.3	35.76	32.36	63.0	53.19	84.63	52.08	77.79	92.7	63.45	60.39	83.45	74.58	55.1	60.39	63.89	85.82	61.68	21.78	63.0	73.03	50.27	55.49	109.66	56.68	55.1	93.35	32.13	47.84	71.0	28.65	77.79	70.51	134.3	98.04	57.89	152.28	44.57	74.58	69.52	70.01	51.35	104.42	63.45	141.02	109.66	68.07	65.26	81.71	36.79	84.04	58.71	85.22	142.01	48.52	85.82	120.1	36.53	68.07	60.82	51.71	120.1	98.04	104.42	87.03	99.43	100.83	69.52	102.97	98.04	107.38	90.77	84.04	100.83	68.55
SETD2	571.05	381.68	206.94	460.44	796.86	316.37	339.14	381.68	412.0	595.34	305.55	417.77	591.22	363.56	395.18	507.46	441.64	397.93	358.54	400.71	406.31	293.07	297.17	334.46	409.15	366.09	309.83	460.44	423.61	379.04	470.14	232.94	231.32	463.65	215.77	669.92	279.14	417.77	325.29	371.22	470.14	384.34	441.64	490.14	379.04	392.44	540.19	371.22	563.18	457.25	723.08	414.87	228.13	400.71	555.41	371.22	503.95	521.76	389.72	409.15	351.14	293.07	381.68	285.03	346.29	651.58	567.1	603.67	620.67	460.44	629.35	447.82	503.95	551.56	684.02	314.17	503.95	555.41	769.69
SF3A1	1991.0	1427.22	836.53	1857.6	2004.85	1030.12	1447.15	1030.12	1286.18	1857.6	854.13	1721.16	1923.14	890.44	1662.49	2104.58	1277.29	1519.15	1175.27	2178.83	1883.54	669.92	974.5	1388.16	1936.53	1551.09	896.64	1651.0	1286.18	1674.06	1794.29	753.83	1015.93	1651.0	748.61	1870.53	1407.55	1685.71	1216.75	1437.15	2133.97	866.07	1806.78	1896.65	1369.04	1697.45	2537.92	1477.58	1977.24	1617.0	2032.85	1733.13	995.0	1277.29	1733.13	1331.57	2224.63	2075.59	1242.34	1498.22	1674.06	974.5	902.89	967.76	1111.82	2090.03	1991.0	2148.82	1806.78	1697.45	1794.29	1781.89	1721.16	2061.24	2178.83	941.27	1950.0	2047.0	2555.58
SFT2D2	249.73	140.04	143.01	173.85	265.87	175.07	161.02	217.27	167.9	256.78	175.07	151.22	264.03	189.02	151.22	226.54	175.07	199.85	144.01	169.07	163.28	202.66	120.1	169.07	214.27	146.03	195.72	239.52	167.9	226.54	255.0	68.07	149.12	212.78	122.64	275.28	128.79	169.07	191.67	147.06	224.97	202.66	228.13	170.25	198.47	170.25	231.32	177.53	246.28	166.73	262.2	169.07	108.14	123.5	291.04	161.02	289.02	312.0	161.02	158.79	177.53	127.0	98.73	199.85	150.17	277.2	279.14	228.13	285.03	173.85	318.57	199.85	232.94	255.0	334.46	206.94	193.01	231.32	307.69
SIK2	212.78	194.36	81.71	299.25	320.8	128.79	170.25	154.42	161.02	264.03	215.77	166.73	267.73	163.28	176.29	329.84	187.71	212.78	199.85	163.28	156.59	124.37	96.68	134.3	289.02	150.17	108.14	264.03	176.29	190.34	293.07	93.35	86.43	133.36	115.16	232.94	104.42	107.38	155.5	123.5	157.68	136.19	262.2	189.02	157.68	197.09	234.57	114.36	231.32	187.71	384.34	165.57	131.51	166.73	285.03	201.25	241.19	255.0	211.31	251.48	205.5	102.97	197.09	164.42	148.09	265.87	256.78	237.86	199.85	161.02	287.01	183.82	214.27	224.97	277.2	143.01	264.03	234.57	320.8
SIK3	295.11	260.38	152.28	178.77	366.09	64.8	193.01	251.48	384.34	309.83	221.86	221.86	312.0	229.72	262.2	309.83	226.54	223.41	120.94	198.47	279.14	293.07	146.03	182.55	265.87	215.77	147.06	281.09	205.5	189.02	234.57	161.02	163.28	293.07	159.9	271.48	99.43	231.32	275.28	217.27	239.52	190.34	234.57	242.88	183.82	221.86	320.8	197.09	339.14	262.2	376.41	202.66	152.28	178.77	265.87	151.22	343.89	323.03	214.27	224.97	269.6	156.59	173.85	202.66	186.4	426.57	400.71	309.83	351.14	267.73	503.95	283.05	285.03	392.44	438.59	215.77	293.07	351.14	511.0
SIN3A	679.29	555.41	226.54	457.25	780.44	289.02	361.04	334.46	507.46	633.73	379.04	483.38	629.35	346.29	476.71	599.49	414.87	400.71	348.71	409.15	483.38	320.8	262.2	400.71	447.82	368.65	281.09	607.87	426.57	536.45	567.1	256.78	269.6	551.56	258.57	693.58	438.59	473.41	432.53	358.54	470.14	327.56	536.45	529.06	417.77	521.76	651.58	397.93	599.49	473.41	866.07	435.55	293.07	395.18	571.05	395.18	723.08	633.73	384.34	463.65	417.77	279.14	395.18	395.18	358.54	866.07	764.36	738.29	759.08	511.0	878.17	486.75	660.68	679.29	974.5	361.04	633.73	748.61	1104.13
SLC27A6	39.5	40.64	2.48	122.64	141.02	1.11	0.33	116.78	57.08	316.37	25.54	19.39	98.04	10.24	69.52	50.27	24.46	5.41	6.94	3.59	96.01	8.65	4.74	12.45	8.99	5.15	24.28	48.52	9.2	44.25	25.72	0.0	10.0	45.53	15.45	73.54	14.78	11.73	12.0	39.79	36.79	14.89	26.86	74.58	27.25	25.17	16.51	7.0	87.03	9.41	187.71	126.12	3.89	90.14	130.6	96.01	232.94	10.55	6.94	7.4	29.27	25.35	3.23	40.93	172.65	120.94	212.78	91.41	102.97	54.72	177.53	34.26	66.18	65.26	130.6	24.46	119.26	90.77	125.24
SLC35G1	24.46	27.44	19.39	37.32	52.45	6.57	17.13	38.12	25.72	78.89	27.84	24.81	58.71	22.43	28.04	43.94	45.85	27.44	6.57	13.22	33.3	58.3	9.85	54.72	14.45	21.78	22.59	41.81	21.32	23.76	37.85	9.56	21.16	37.85	28.45	46.18	26.67	50.63	28.86	18.43	18.7	32.13	22.75	24.46	19.68	12.93	26.67	25.91	36.53	13.22	50.98	36.53	38.12	25.17	59.13	33.54	89.51	24.46	8.65	33.06	16.15	13.62	5.32	33.54	35.5	52.82	74.58	47.17	62.12	28.86	98.04	37.32	31.0	48.52	92.05	55.1	52.08	58.3	88.88
