	TCGA.DM.A28G.01A.11R.A16W.07	TCGA.KN.8419.01A.11R.2315.07	TCGA.KM.8438.01A.11R.2315.07	TCGA.KM.8477.01A.11R.2315.07	TCGA.KN.8422.01A.11R.2315.07	TCGA.KM.8439.01A.11R.2315.07	TCGA.KL.8328.01A.11R.2315.07	TCGA.KN.8433.01A.11R.2315.07	TCGA.KO.8405.01A.11R.2315.07	TCGA.KO.8403.01A.11R.2315.07	TCGA.KN.8431.01A.11R.2315.07	TCGA.KM.8441.01A.11R.2315.07	TCGA.KL.8338.01A.11R.2315.07	TCGA.KN.8437.01A.11R.2315.07	GTEX.QDVN.1626.SM.48TZC	GTEX.Y5V6.2026.SM.5IFHO	TCGA.B0.5117.01A.01R.1420.07	TCGA.AK.3453.01A.02R.1277.07	TCGA.BP.4799.01A.01R.1305.07	TCGA.B8.4621.01A.01R.1503.07	TCGA.B2.4098.01A.02R.1325.07	TCGA.B0.4700.11A.01R.1541.07	TCGA.HE.A5NF.01A.11R.A26U.07	TCGA.A4.8518.01A.11R.2404.07	TCGA.GL.A9DE.01A.11R.A37K.07	TCGA.A4.8311.01A.11R.2404.07	TCGA.BQ.7058.01A.11R.1965.07	TCGA.IZ.8195.01A.31R.2404.07	TCGA.GL.A4EM.01A.11R.A24Z.07	TCGA.UZ.A9PO.01A.11R.A38C.07	TCGA.B9.A8YI.01A.21R.A37K.07	TCGA.BQ.7060.01A.11R.1965.07	TCGA.A4.A5Y0.01A.11R.A31O.07	TCGA.P4.AAVM.01A.11R.A42S.07	TCGA.BQ.5880.01A.11R.1592.07	TCGA.A4.8517.01A.11R.2404.07	TCGA.2Z.A9JN.01A.21R.A42S.07	TCGA.DW.7963.01B.11R.A28H.07	TCGA.MR.A8JO.01A.12R.A36F.07	TCGA.R5.A805.01A.11R.A36D.31	TCGA.HU.A4GY.01A.21R.A24K.31	TCGA.D7.A4Z0.01A.22R.A251.31	TCGA.CD.A48A.01A.12R.A36D.31	TCGA.VQ.A94U.01A.12R.A414.31	GTEX.Y5V6.1326.SM.4VDTF	TCGA.DJ.A3VM.01A.11R.A23N.07	TCGA.DJ.A2Q0.01A.11R.A206.07	TCGA.EM.A1YB.01A.11R.A14Y.07	TCGA.FY.A3YR.01A.11R.A22U.07	TCGA.EM.A2OY.01A.11R.A206.07	TCGA.E8.A417.01A.21R.A23N.07	TCGA.FY.A3R9.01A.11R.A220.07	TCGA.BJ.A45F.01A.12R.A23W.07	TCGA.EM.A2OW.01A.11R.A206.07	TCGA.DJ.A13S.01A.11R.A10U.07	TCGA.EM.A4FU.01A.11R.A250.07	TCGA.BJ.A0ZB.01A.11R.A10U.07	TCGA.EL.A3T3.01A.11R.A22L.07	TCGA.EL.A3H5.01A.11R.A206.07	TCGA.FY.A3BL.01A.11R.A19O.07	TCGA.EM.A2CO.01A.11R.A19O.07	TCGA.EM.A3SY.01A.11R.A22U.07	TCGA.EM.A22N.01A.11R.A180.07	TCGA.E8.A419.01A.11R.A23N.07	TCGA.EL.A3ZT.01A.12R.A23N.07	TCGA.H2.A421.01A.11R.A23N.07	TCGA.ET.A25I.01A.11R.A16R.07	TCGA.EM.A3O9.01A.11R.A220.07	TCGA.EM.A2CM.01A.11R.A180.07	GTEX.Y3I4.0226.SM.4TT27	GTEX.14AS3.0226.SM.5Q5B6	GTEX.PWOO.0926.SM.2I3EC	GTEX.V1D1.0926.SM.4JBHQ
KIAA1875	47.17	3.47	2.86	1.48	4.1	8.13	13.52	4.5	6.84	5.96	2.34	5.02	9.41	4.74	4.54	3.17	9.13	3.41	2.78	3.41	15.8	11.91	3.99	1.35	9.34	30.12	11.04	4.5	15.56	3.76	6.57	2.1	3.59	5.06	1.48	4.43	3.63	4.58	36.53	14.89	37.05	8.78	46.84	18.43	5.02	24.63	9.2	9.34	21.94	18.84	64.8	62.12	59.97	7.28	29.27	63.45	54.72	54.33	16.27	66.65	20.41	18.97	20.71	85.82	98.04	63.0	9.48	7.94	32.36	71.5	41.22	34.02	165.57
KPNA5	126.12	78.34	34.51	119.26	18.29	72.01	23.08	31.0	36.53	44.25	31.22	117.6	40.64	126.12	46.5	90.14	42.71	58.71	125.24	90.14	84.63	130.6	48.52	43.63	82.87	113.56	40.93	107.38	33.06	60.39	47.84	85.82	101.54	48.87	63.0	60.39	49.56	42.71	50.27	43.02	201.25	69.52	157.68	228.13	63.89	154.42	249.73	132.44	107.38	158.79	147.06	169.07	164.42	133.36	198.47	189.02	99.43	90.14	133.36	147.06	134.3	93.35	127.89	108.14	126.12	103.69	182.55	117.6	162.14	189.02	376.41	167.9	303.44
LCA5	25.72	19.82	19.97	13.32	10.08	39.5	12.09	8.45	16.15	30.78	15.11	74.06	19.39	86.43	31.0	44.89	22.1	26.67	66.18	65.26	53.57	96.01	37.59	19.53	37.59	40.93	14.45	32.82	12.64	23.08	3.79	43.32	27.25	23.59	35.5	38.95	69.52	23.42	22.92	58.71	56.68	41.22	34.75	81.14	32.36	152.28	54.72	47.84	141.02	52.08	171.45	103.69	87.65	73.54	193.01	144.01	201.25	211.31	167.9	177.53	52.45	25.17	61.25	215.77	228.13	185.11	68.07	30.34	73.54	136.19	232.94	146.03	146.03
LCAT	198.47	48.52	131.51	25.35	127.0	74.06	66.65	215.77	423.61	127.89	110.43	42.71	145.02	66.65	47.84	23.76	121.79	205.5	191.67	164.42	387.02	231.32	209.84	62.12	75.64	1350.18	87.03	189.02	75.64	107.38	133.36	99.43	124.37	73.03	73.03	275.28	76.17	271.48	1096.5	224.97	450.94	218.79	229.72	392.44	157.68	400.71	206.94	183.82	351.14	165.57	406.31	224.97	647.07	208.38	277.2	909.17	232.94	947.83	142.01	281.09	287.01	221.86	400.71	480.04	1233.75	679.29	224.97	253.23	368.65	555.41	733.19	825.0	866.07
LDB1	1359.57	738.29	1498.22	830.75	934.76	791.35	988.12	928.3	559.28	688.78	1709.26	733.19	753.83	884.29	802.41	748.61	748.61	1104.13	283.05	575.03	1037.29	1088.92	647.07	384.34	616.37	713.11	559.28	1059.11	884.29	536.45	679.29	713.11	974.5	447.82	567.1	616.37	988.12	392.44	543.96	555.41	988.12	679.29	647.07	1233.75	748.61	1685.71	902.89	665.29	1096.5	961.07	1540.37	1001.93	1427.22	802.41	1519.15	1427.22	1540.37	1350.18	1199.98	1369.04	713.11	713.11	1304.15	1340.84	1757.34	1397.83	1001.93	525.39	2255.7	1081.39	1594.73	1286.18	1883.54
LMBR1L	928.3	323.03	312.0	249.73	147.06	384.34	264.03	281.09	412.0	371.22	275.28	195.72	361.04	246.28	198.47	156.59	463.65	293.07	406.31	518.15	713.11	583.07	447.82	258.57	279.14	1030.12	237.86	218.79	473.41	387.02	299.25	208.38	387.02	260.38	255.0	466.88	305.55	563.18	819.3	493.56	995.0	693.58	1378.57	1216.75	460.44	974.5	483.38	460.44	1044.52	599.49	1819.35	651.58	1605.83	532.74	775.05	1457.23	1088.92	1806.78	928.3	1023.0	563.18	441.64	660.68	1572.76	2351.53	1685.71	599.49	525.39	954.43	830.75	1199.98	1030.12	1551.09
LRP5L	248.0	229.72	83.45	57.08	81.14	323.03	214.27	253.23	111.99	105.15	435.55	118.43	197.09	133.36	45.21	18.29	271.48	182.55	16.75	43.94	150.17	147.06	17.13	15.8	52.45	251.48	45.53	47.84	34.51	68.07	70.51	30.78	20.26	32.36	48.18	41.81	70.51	83.45	195.72	87.03	181.28	115.16	191.67	271.48	42.41	163.28	117.6	193.01	830.75	186.4	753.83	258.57	295.11	199.85	211.31	220.32	551.56	1059.11	353.59	660.68	138.1	153.34	198.47	579.04	1081.39	890.44	187.71	124.37	126.12	476.71	368.65	1066.48	638.15
LUC7L	2224.63	444.72	583.07	191.67	713.11	748.61	579.04	1008.9	1111.82	785.88	567.1	511.0	698.41	438.59	228.13	221.86	1313.23	547.75	285.03	555.41	1936.53	915.51	642.59	361.04	647.07	5041.77	1183.45	607.87	624.99	688.78	441.64	470.14	620.67	633.73	854.13	934.76	450.94	836.53	1477.58	403.5	1923.14	995.0	1870.53	2209.26	995.0	1519.15	1015.93	860.08	1651.0	1268.46	2178.83	1199.98	2384.37	748.61	1143.1	2351.53	1477.58	3303.0	1286.18	1794.29	967.76	1216.75	1127.35	2777.33	3515.68	3443.31	848.22	1104.13	1397.83	2351.53	3820.7	2816.11	4239.45
LZTS2	1594.73	540.19	1313.23	842.36	583.07	1008.9	830.75	848.22	743.43	703.28	1529.73	612.11	764.36	775.05	536.45	314.17	669.92	591.22	348.71	848.22	1159.07	703.28	1001.93	988.12	1030.12	1167.14	1088.92	1457.23	1225.22	1135.2	1191.69	1313.23	1832.01	1225.22	1757.34	1127.35	1008.9	1199.98	616.37	583.07	775.05	656.11	1242.34	1331.57	775.05	2758.13	1250.98	808.0	2090.03	1081.39	2645.74	1088.92	1896.65	921.88	2816.11	2627.46	3168.41	1977.24	1457.23	2720.15	1322.37	679.29	1277.29	2303.12	2502.97	2468.49	1923.14	785.88	2367.9	1685.71	1259.69	1066.48	1662.49
MAP3K1	109.66	199.85	71.5	166.73	205.5	167.9	162.14	118.43	169.07	275.28	61.25	314.17	162.14	205.5	256.78	228.13	172.65	316.37	234.57	271.48	507.46	291.04	186.4	98.73	130.6	769.69	77.79	332.14	204.07	277.2	193.01	201.25	476.71	133.36	145.02	460.44	329.84	239.52	121.79	275.28	551.56	175.07	264.03	309.83	162.14	518.15	279.14	358.54	656.11	486.75	995.0	281.09	373.81	231.32	457.25	624.99	1111.82	896.64	718.08	909.17	309.83	293.07	392.44	1001.93	1151.06	1001.93	389.72	256.78	791.35	571.05	612.11	518.15	559.28
MAP3K12	133.36	43.94	97.36	53.95	43.63	122.64	53.57	91.41	93.35	85.82	85.22	77.79	86.43	69.03	323.03	103.69	104.42	165.57	112.77	223.41	511.0	187.71	193.01	106.63	85.82	518.15	102.97	193.01	387.02	194.36	83.45	93.35	373.81	59.55	121.79	178.77	293.07	191.67	262.2	169.07	607.87	231.32	279.14	466.88	185.11	327.56	167.9	175.07	279.14	175.07	348.71	229.72	480.04	212.78	406.31	406.31	346.29	341.51	595.34	293.07	246.28	147.06	244.57	591.22	432.53	708.18	224.97	182.55	753.83	299.25	429.54	409.15	624.99
METTL3	1233.75	525.39	473.41	346.29	325.29	450.94	525.39	432.53	583.07	559.28	525.39	269.6	536.45	348.71	265.87	291.04	813.63	332.14	271.48	283.05	395.18	507.46	343.89	323.03	429.54	1151.06	277.2	403.5	287.01	309.83	353.59	384.34	323.03	307.69	318.57	444.72	329.84	363.56	629.35	518.15	1030.12	620.67	902.89	854.13	341.51	954.43	733.19	493.56	921.88	1467.37	1313.23	753.83	1023.0	651.58	669.92	902.89	981.29	1051.79	518.15	1015.93	1008.9	571.05	1208.34	1175.27	1304.15	1242.34	698.41	543.96	698.41	1127.35	1378.57	1008.9	1397.83
MLH3	341.51	169.07	96.68	93.35	94.01	551.56	167.9	241.19	226.54	236.21	93.35	277.2	262.2	220.32	283.05	191.67	269.6	122.64	198.47	191.67	318.57	325.29	195.72	217.27	303.44	389.72	329.84	289.02	182.55	297.17	214.27	260.38	305.55	264.03	148.09	309.83	303.44	267.73	441.64	220.32	301.33	173.85	361.04	511.0	183.82	403.5	473.41	281.09	356.05	665.29	454.09	409.15	518.15	420.68	395.18	429.54	237.86	400.71	283.05	423.61	325.29	167.9	450.94	251.48	457.25	351.14	400.71	346.29	713.11	698.41	647.07	571.05	961.07
MLLT10	366.09	193.01	223.41	249.73	211.31	264.03	104.42	159.9	136.19	151.22	251.48	348.71	88.26	361.04	229.72	309.83	136.19	529.06	151.22	267.73	346.29	373.81	206.94	231.32	314.17	384.34	163.28	303.44	234.57	211.31	228.13	301.33	229.72	223.41	212.78	244.57	220.32	181.28	273.37	223.41	511.0	301.33	371.22	503.95	193.01	493.56	406.31	363.56	412.0	329.84	551.56	414.87	343.89	438.59	426.57	320.8	444.72	353.59	289.02	420.68	236.21	231.32	389.72	384.34	384.34	348.71	295.11	271.48	368.65	507.46	470.14	376.41	536.45
MSANTD2	190.34	44.89	77.79	34.02	74.06	102.25	44.25	92.7	127.89	82.29	75.11	69.03	103.69	77.79	57.49	74.58	150.17	104.42	132.44	89.51	185.11	169.07	66.18	25.91	76.17	395.18	48.87	51.71	44.25	75.64	57.49	52.45	48.52	53.19	58.3	98.73	89.51	88.88	152.28	141.02	307.69	204.07	264.03	447.82	171.45	325.29	163.28	150.17	285.03	205.5	392.44	299.25	384.34	224.97	248.0	361.04	293.07	346.29	248.0	295.11	178.77	180.02	158.79	373.81	483.38	450.94	191.67	177.53	185.11	493.56	651.58	435.55	738.29
MT-CO1	1997825.68	2294899.22	2805836.45	2546350.23	3551506.25	3007221.12	2263304.65	4282434.24	2171106.91	2786455.11	2904784.09	2408994.05	2425749.94	3290783.22	1851161.35	2825352.59	3383299.76	3551506.25	2924988.47	2156109.97	2216726.5	2786455.11	2216726.5	1751305.3	1890058.21	2805836.45	5420519.65	3113270.58	3200796.55	2263304.65	2884719.27	2097151.0	2279047.19	2201414.44	3526974.2	2053992.24	3028138.0	4342214.81	3454390.1	2392353.91	3049200.37	2786455.11	3651352.71	1703415.74	3995652.37	1825675.85	3832885.91	7202167.89	2141216.62	4885245.74	985160.01	2904784.09	3676749.88	2186208.16	1864037.21	1751305.3	1622738.51	971597.0	6956835.58	1634025.56	2884719.27	5308966.95	3676749.88	951601.81	677564.08	1055868.42	3526974.2	9307742.35	2864793.06	1171559.48	875652.15	1055868.42	881742.8
MUS81	1286.18	819.3	1001.93	460.44	723.08	769.69	400.71	1286.18	1066.48	674.59	703.28	660.68	633.73	656.11	420.68	432.53	638.15	525.39	466.88	397.93	780.44	607.87	432.53	406.31	733.19	1388.16	607.87	444.72	409.15	624.99	555.41	432.53	679.29	536.45	587.13	679.29	532.74	511.0	642.59	633.73	791.35	753.83	866.07	909.17	629.35	974.5	769.69	808.0	1111.82	825.0	1268.46	785.88	1127.35	941.27	921.88	995.0	1044.52	1322.37	753.83	1073.91	896.64	1199.98	599.49	1397.83	1242.34	1350.18	708.18	1051.79	921.88	1044.52	1001.93	1350.18	1286.18
MZF1	540.19	63.45	129.69	69.03	117.6	251.48	389.72	226.54	169.07	251.48	186.4	141.02	256.78	241.19	220.32	81.71	260.38	208.38	53.95	142.01	547.75	287.01	153.34	117.6	206.94	603.67	149.12	140.04	136.19	130.6	171.45	153.34	182.55	127.89	162.14	146.03	242.88	110.43	285.03	414.87	738.29	409.15	748.61	1199.98	379.04	947.83	325.29	248.0	457.25	708.18	616.37	426.57	733.19	351.14	647.07	860.08	532.74	567.1	277.2	463.65	435.55	470.14	748.61	718.08	921.88	854.13	521.76	343.89	759.08	1437.15	1322.37	974.5	2178.83
NAV2	392.44	127.89	334.46	432.53	406.31	69.52	158.79	381.68	77.79	343.89	403.5	273.37	221.86	289.02	237.86	595.34	277.2	220.32	111.99	161.02	127.89	500.46	170.25	43.94	22.92	277.2	51.71	127.0	54.33	83.45	18.29	109.66	255.0	39.5	36.79	65.26	113.56	155.5	206.94	361.04	183.82	105.89	161.02	371.22	102.25	400.71	146.03	356.05	656.11	91.41	463.65	403.5	248.0	291.04	708.18	563.18	669.92	854.13	567.1	665.29	136.19	309.83	145.02	684.02	884.29	854.13	381.68	226.54	295.11	540.19	642.59	633.73	514.56
NBPF11	373.81	70.51	99.43	92.05	87.03	255.0	77.25	125.24	138.1	115.16	57.08	285.03	140.04	307.69	118.43	124.37	226.54	157.68	76.71	198.47	371.22	293.07	197.09	96.01	248.0	392.44	55.89	149.12	131.51	176.29	171.45	162.14	138.1	158.79	92.7	242.88	224.97	182.55	356.05	177.53	486.75	217.27	327.56	444.72	133.36	403.5	291.04	127.89	423.61	293.07	503.95	212.78	409.15	255.0	414.87	312.0	521.76	555.41	299.25	438.59	236.21	228.13	253.23	612.11	738.29	429.54	234.57	224.97	363.56	486.75	796.86	309.83	733.19
NBPF9	493.56	38.95	66.65	119.26	70.01	381.68	60.39	101.54	127.0	56.28	43.32	273.37	74.58	275.28	127.89	87.03	88.88	220.32	158.79	281.09	616.37	237.86	305.55	185.11	309.83	563.18	155.5	197.09	231.32	260.38	255.0	234.57	246.28	239.52	158.79	366.09	343.89	343.89	559.28	295.11	674.59	260.38	525.39	674.59	145.02	624.99	279.14	249.73	878.17	334.46	738.29	444.72	679.29	563.18	529.06	624.99	921.88	836.53	669.92	842.36	316.37	368.65	332.14	1151.06	1111.82	928.3	403.5	237.86	529.06	651.58	941.27	860.08	941.27
NEIL1	723.08	130.6	121.79	80.01	59.13	314.17	144.01	490.14	232.94	141.02	69.03	153.34	97.36	187.71	194.36	115.97	217.27	205.5	33.78	175.07	559.28	438.59	176.29	156.59	44.89	1044.52	68.55	199.85	102.25	171.45	234.57	119.26	206.94	176.29	90.14	224.97	256.78	358.54	429.54	426.57	796.86	483.38	426.57	723.08	241.19	624.99	295.11	214.27	638.15	242.88	872.1	397.93	748.61	246.28	521.76	878.17	497.0	909.17	486.75	733.19	341.51	417.77	417.77	928.3	1208.34	1127.35	253.23	182.55	555.41	674.59	1044.52	769.69	1331.57
NISCH	967.76	497.0	547.75	571.05	551.56	728.11	1096.5	633.73	555.41	796.86	679.29	688.78	1073.91	743.43	559.28	480.04	802.41	1044.52	260.38	483.38	748.61	921.88	669.92	511.0	748.61	1519.15	368.65	587.13	599.49	486.75	429.54	842.36	450.94	769.69	387.02	543.96	1044.52	563.18	733.19	723.08	1572.76	941.27	1216.75	1583.71	575.03	1639.59	954.43	934.76	1096.5	866.07	1529.73	1143.1	1639.59	1001.93	1551.09	1388.16	1605.83	1487.87	656.11	1685.71	1066.48	642.59	1340.84	1208.34	1561.89	1378.57	1044.52	698.41	1322.37	1295.13	1909.85	1378.57	1909.85
NLRP1	92.05	79.45	82.87	64.34	34.02	60.39	20.41	81.14	145.02	104.42	58.3	86.43	134.3	58.71	70.51	48.87	98.73	48.18	111.99	339.14	155.5	248.0	108.9	34.02	57.08	457.25	30.78	87.65	127.0	107.38	54.33	62.56	25.72	15.56	106.63	70.01	57.89	92.7	412.0	167.9	713.11	248.0	133.36	463.65	356.05	813.63	262.2	180.02	490.14	186.4	211.31	444.72	511.0	429.54	551.56	967.76	595.34	1159.07	529.06	514.56	343.89	163.28	283.05	909.17	1167.14	1073.91	414.87	289.02	780.44	555.41	647.07	995.0	1001.93
NPHP3	301.33	108.9	59.55	49.56	28.24	78.34	89.51	60.39	101.54	133.36	73.54	98.04	109.66	101.54	58.71	88.26	151.22	113.56	91.41	104.42	198.47	232.94	128.79	42.71	110.43	327.56	78.34	101.54	35.25	98.73	46.5	85.22	72.01	46.84	47.84	86.43	127.0	89.51	167.9	194.36	406.31	248.0	255.0	204.07	181.28	297.17	167.9	122.64	277.2	218.79	318.57	267.73	384.34	217.27	167.9	368.65	231.32	423.61	215.77	356.05	177.53	135.24	185.11	295.11	638.15	441.64	156.59	166.73	251.48	441.64	728.11	470.14	642.59
NUMA1	3820.7	2835.7	4298.64	2816.11	3039.3	2895.31	2502.97	4298.64	3039.3	5183.54	4298.64	1757.34	5329.3	2133.97	2018.8	1794.29	4123.49	1883.54	1508.65	1340.84	1896.65	2835.7	1794.29	1037.29	2520.38	2287.2	2255.7	1950.0	1628.26	1819.35	1397.83	2047.0	1651.0	1540.37	1806.78	2119.22	3212.66	1277.29	1832.01	2627.46	3742.05	2609.3	3372.43	4972.34	2956.17	5041.77	3060.45	3124.78	4123.49	3303.0	4802.93	3467.27	5555.65	3491.39	4972.34	5441.3	5791.62	4575.41	3901.01	5751.61	3303.0	2591.27	2240.11	4152.18	5831.91	5076.84	4010.71	2468.49	6607.01	5147.73	6561.36	5076.84	7280.4
NXF1	1757.34	629.35	1159.07	575.03	947.83	902.89	872.1	1437.15	1059.11	1304.15	1167.14	830.75	1051.79	988.12	693.58	733.19	1135.2	796.86	759.08	633.73	1208.34	1277.29	1015.93	563.18	995.0	1551.09	848.22	866.07	708.18	796.86	1295.13	808.0	796.86	703.28	769.69	1044.52	738.29	1030.12	2047.0	1015.93	1721.16	1183.45	1551.09	2434.5	1295.13	2224.63	1313.23	1697.45	2591.27	1594.73	2537.92	2163.77	2537.92	1427.22	1909.85	2400.97	2090.03	4239.45	2609.3	1870.53	1572.76	1540.37	1183.45	3212.66	3794.3	3955.48	1397.83	1936.53	1963.57	2573.36	2835.7	2997.45	4388.98
ODF2L	947.83	62.12	93.35	176.29	78.89	170.25	61.68	72.01	176.29	153.34	78.89	228.13	67.59	287.01	106.63	127.0	152.28	156.59	297.17	248.0	281.09	371.22	223.41	84.63	208.38	629.35	171.45	140.04	70.51	140.04	165.57	229.72	209.84	170.25	193.01	181.28	368.65	122.64	373.81	368.65	603.67	363.56	441.64	309.83	154.42	620.67	438.59	267.73	638.15	483.38	860.08	438.59	612.11	358.54	426.57	583.07	536.45	486.75	642.59	450.94	236.21	318.57	258.57	860.08	896.64	796.86	381.68	237.86	417.77	759.08	1081.39	656.11	796.86
OR10AD1	3.82	0.0	0.92	1.83	2.43	0.75	0.42	0.0	2.89	0.49	3.96	0.0	1.25	0.0	1.23	0.23	1.0	0.42	0.0	1.22	5.28	4.03	0.0	0.0	0.0	3.53	1.53	0.0	0.0	0.0	0.0	1.19	1.3	0.0	4.54	0.78	3.47	0.0	1.51	0.82	1.39	0.79	14.45	10.47	1.6	14.14	8.06	0.0	6.11	2.58	9.93	6.78	17.9	1.71	8.65	12.83	5.5	1.55	0.0	5.45	1.71	3.14	11.21	7.11	11.55	7.75	8.45	1.36	6.78	13.03	11.64	9.06	15.0
PACSIN3	1119.56	21.47	52.82	35.76	15.22	144.01	26.67	36.53	21.47	26.28	29.91	63.89	25.72	104.42	169.07	194.36	35.25	139.07	115.97	113.56	169.07	305.55	202.66	101.54	273.37	454.09	251.48	463.65	77.25	98.04	543.96	262.2	1159.07	587.13	123.5	186.4	334.46	301.33	226.54	191.67	132.44	158.79	392.44	967.76	490.14	764.36	140.04	353.59	941.27	246.28	1135.2	406.31	638.15	432.53	493.56	518.15	1417.35	884.29	532.74	1119.56	279.14	90.77	265.87	540.19	575.03	921.88	555.41	256.78	884.29	890.44	934.76	599.49	620.67
PAN2	1304.15	267.73	279.14	239.52	205.5	376.41	420.68	217.27	253.23	473.41	211.31	297.17	303.44	291.04	277.2	500.46	497.0	514.56	218.79	567.1	1225.22	733.19	575.03	412.0	486.75	2163.77	251.48	463.65	277.2	607.87	256.78	389.72	371.22	255.0	182.55	872.1	297.17	563.18	532.74	674.59	1304.15	540.19	2163.77	1183.45	420.68	1096.5	708.18	612.11	1111.82	1617.0	1950.0	1051.79	1819.35	1001.93	813.63	1540.37	1023.0	1594.73	629.35	1081.39	981.29	1388.16	1844.76	1561.89	2664.15	1757.34	665.29	551.56	915.51	1883.54	2915.45	2004.85	2193.99
PAXBP1	718.08	112.77	119.26	116.78	85.82	159.9	72.52	125.24	162.14	100.83	137.14	162.14	114.36	187.71	129.69	134.3	159.9	140.04	161.02	158.79	381.68	253.23	92.05	64.8	193.01	802.41	102.97	182.55	66.65	165.57	124.37	139.07	142.01	98.73	59.97	165.57	221.86	123.5	334.46	264.03	748.61	438.59	480.04	403.5	118.43	423.61	215.77	212.78	423.61	244.57	674.59	307.69	438.59	265.87	373.81	466.88	525.39	435.55	249.73	503.95	214.27	334.46	275.28	483.38	660.68	571.05	228.13	156.59	429.54	466.88	785.88	414.87	629.35
PBX1	373.81	197.09	104.42	275.28	173.85	95.34	143.01	80.01	211.31	92.05	204.07	137.14	90.77	218.79	361.04	454.09	199.85	64.34	198.47	289.02	248.0	1088.92	173.85	173.85	285.03	301.33	194.36	237.86	206.94	237.86	291.04	395.18	198.47	148.09	301.33	265.87	164.42	193.01	339.14	162.14	460.44	400.71	299.25	559.28	318.57	642.59	483.38	400.71	591.22	493.56	633.73	397.93	432.53	500.46	688.78	587.13	928.3	514.56	679.29	708.18	358.54	343.89	473.41	447.82	423.61	435.55	571.05	108.14	669.92	684.02	1159.07	830.75	954.43
PBX4	147.06	7.51	15.11	2.78	2.51	2.32	8.71	341.51	19.97	2.94	34.02	14.24	9.2	13.32	9.85	3.08	8.45	36.27	14.89	63.45	120.94	34.02	51.71	15.91	61.68	156.59	25.54	36.01	17.13	61.68	7.28	14.35	26.86	6.06	34.02	48.52	50.63	31.45	47.17	152.28	371.22	142.01	260.38	480.04	42.71	124.37	145.02	325.29	94.67	397.93	128.79	167.9	185.11	297.17	88.88	246.28	93.35	239.52	89.51	126.12	205.5	74.06	460.44	125.24	406.31	201.25	102.25	141.02	193.01	995.0	3372.43	909.17	4575.41
PCF11	403.5	177.53	236.21	182.55	260.38	314.17	201.25	412.0	215.77	273.37	334.46	232.94	171.45	297.17	241.19	204.07	262.2	248.0	162.14	239.52	341.51	287.01	141.02	93.35	303.44	432.53	88.88	176.29	80.57	234.57	181.28	226.54	155.5	194.36	138.1	221.86	921.88	132.44	303.44	381.68	679.29	463.65	318.57	460.44	208.38	426.57	329.84	307.69	348.71	334.46	559.28	332.14	353.59	368.65	334.46	466.88	348.71	348.71	334.46	376.41	281.09	277.2	633.73	483.38	688.78	507.46	336.79	256.78	395.18	660.68	1037.29	723.08	1111.82
PDCD7	348.71	223.41	299.25	167.9	197.09	267.73	289.02	264.03	209.84	309.83	228.13	217.27	305.55	251.48	198.47	199.85	291.04	145.02	177.53	154.42	279.14	220.32	183.82	125.24	212.78	173.85	172.65	176.29	170.25	162.14	124.37	141.02	211.31	158.79	197.09	202.66	186.4	143.01	193.01	244.57	339.14	166.73	312.0	336.79	224.97	381.68	277.2	251.48	336.79	147.06	406.31	291.04	323.03	267.73	323.03	332.14	303.44	287.01	343.89	389.72	220.32	211.31	206.94	379.04	595.34	348.71	287.01	158.79	368.65	379.04	435.55	339.14	429.54
PHF10	1037.29	612.11	329.84	575.03	273.37	684.02	265.87	301.33	457.25	397.93	295.11	974.5	265.87	915.51	384.34	547.75	366.09	486.75	842.36	507.46	791.35	878.17	429.54	281.09	336.79	642.59	187.71	693.58	229.72	400.71	493.56	334.46	532.74	255.0	297.17	507.46	612.11	417.77	1127.35	780.44	1159.07	753.83	1331.57	1359.57	693.58	1044.52	1015.93	830.75	974.5	967.76	1159.07	941.27	902.89	947.83	708.18	802.41	974.5	1233.75	1008.9	1216.75	785.88	587.13	947.83	848.22	1199.98	961.07	647.07	567.1	819.3	941.27	1685.71	1081.39	1143.1
PHF20L1	493.56	412.0	289.02	221.86	220.32	182.55	221.86	123.5	258.57	260.38	255.0	312.0	242.88	353.59	141.02	191.67	287.01	185.11	281.09	246.28	346.29	314.17	162.14	98.04	181.28	303.44	115.16	253.23	98.04	181.28	198.47	218.79	163.28	126.12	173.85	170.25	183.82	139.07	384.34	603.67	764.36	651.58	555.41	591.22	181.28	500.46	303.44	293.07	299.25	497.0	297.17	1127.35	769.69	785.88	376.41	575.03	220.32	301.33	305.55	271.48	616.37	289.02	808.0	323.03	363.56	281.09	463.65	214.27	363.56	525.39	525.39	387.02	595.34
PHLDB1	1143.1	275.28	323.03	301.33	232.94	305.55	172.65	237.86	620.67	336.79	166.73	397.93	242.88	248.0	785.88	414.87	466.88	669.92	679.29	532.74	1023.0	848.22	713.11	420.68	521.76	1096.5	540.19	638.15	909.17	403.5	599.49	536.45	1111.82	249.73	684.02	567.1	518.15	454.09	1167.14	651.58	1794.29	1242.34	466.88	1467.37	301.33	1447.15	785.88	830.75	1233.75	656.11	1216.75	769.69	1417.35	775.05	1295.13	2004.85	1745.2	1322.37	1936.53	981.29	713.11	583.07	775.05	915.51	1388.16	1295.13	1037.29	718.08	1561.89	1191.69	1088.92	1242.34	1529.73
