	TCGA.BJ.A2N7.01A.11R.A18C.07	TCGA.EL.A4JV.01A.11R.A250.07	TCGA.BJ.A0Z2.01A.11R.A10U.07	TCGA.L6.A4ET.01A.11R.A250.07	TCGA.BJ.A45F.01A.12R.A23W.07	TCGA.QD.A8IV.01A.11R.A39I.07	TCGA.MK.A84Z.01A.11R.A39I.07	TCGA.DJ.A3VK.01A.11R.A23N.07	TCGA.E8.A3X7.01A.11R.A22U.07	TCGA.BJ.A0ZE.01A.11R.A10U.07	TCGA.EM.A4FU.01A.11R.A250.07	TCGA.BJ.A3F0.01A.11R.A206.07	TCGA.EM.A3O6.01A.11R.A220.07	TCGA.ET.A2N4.01A.12R.A19O.07	TCGA.EL.A3ZR.01A.11R.A23N.07	TCGA.ET.A40R.01A.11R.A23N.07	TCGA.BJ.A3PT.01A.12R.A220.07	TCGA.EL.A4K2.01A.11R.A250.07	TCGA.EL.A3D4.01A.11R.A19O.07	TCGA.EM.A3FP.01A.11R.A21D.07	TCGA.ET.A2N5.01A.11R.A18C.07	TCGA.DJ.A3VG.01A.11R.A23N.07	TCGA.BJ.A18Y.01A.11R.A13Y.07	TCGA.EM.A3AI.01A.11R.A206.07	TCGA.EM.A1YE.01A.11R.A14Y.07	TCGA.EM.A2CK.01A.11R.A180.07	TCGA.DJ.A3UT.01A.11R.A22L.07	TCGA.ET.A25I.01A.11R.A16R.07	TCGA.BJ.A2N9.01A.11R.A18C.07	TCGA.EM.A1CW.11A.12R.A13Y.07	GTEX.RM2N.0526.SM.2TF4N	GTEX.W5X1.0426.SM.3GILB	GTEX.14ABY.0926.SM.5Q5DY	GTEX.13NZA.1026.SM.5MR48	GTEX.WH7G.0526.SM.3NMBI	GTEX.YEC4.0626.SM.5CVLU	GTEX.S341.0226.SM.5S2VG	GTEX.ZVP2.0426.SM.57WC2	GTEX.131XH.0526.SM.5DUX7	GTEX.13FLV.0226.SM.5J2OF	GTEX.12ZZZ.1226.SM.59HK1	GTEX.13N1W.0826.SM.5MR5J	GTEX.ZYFC.0926.SM.5GZWW	GTEX.OHPM.2626.SM.33HC5	GTEX.11EM3.0126.SM.5985K	GTEX.12WSK.0926.SM.5CVNQ	GTEX.1313W.0726.SM.5EGK1	GTEX.13QBU.0626.SM.5J2OG	GTEX.WHSB.1626.SM.3LK6J	GTEX.Y5V6.0526.SM.4VBRV	GTEX.SNOS.0226.SM.32PLR	GTEX.13O61.0226.SM.5KM52	GTEX.13X6J.0826.SM.5LU32	GTEX.OIZG.0226.SM.2TC5L	GTEX.ZYFG.0626.SM.5GZYA	GTEX.WL46.0126.SM.3TW8I	GTEX.12ZZY.0826.SM.5EQMT	GTEX.145MH.0426.SM.5LU8T	GTEX.XLM4.0726.SM.4AT64	GTEX.12WSC.0826.SM.5EQ5Q	GTEX.P78B.0526.SM.2I5F7	GTEX.RVPV.1226.SM.2TF73	GTEX.1399U.0326.SM.5P9G5	GTEX.S7SE.0726.SM.2XCD7	GTEX.ZLWG.0526.SM.4WWFB	GTEX.WY7C.0226.SM.3NB37	GTEX.139YR.1226.SM.5IFEU	GTEX.SJXC.0726.SM.2XCFJ	GTEX.11TTK.0826.SM.5N9EG	GTEX.YEC3.0826.SM.4WWFP	GTEX.WK11.0926.SM.3NMAU	GTEX.139T6.0326.SM.5J2LY	GTEX.T2IS.0626.SM.32QP6	GTEX.V955.0426.SM.3GAEL	GTEX.OOBK.2626.SM.2HMKY	GTEX.11OF3.0626.SM.5BC4Y	GTEX.YFCO.0326.SM.4W1ZP	GTEX.11ZVC.0126.SM.5986G	GTEX.ZY6K.0226.SM.5SIAY	GTEX.ZA64.0426.SM.5HL96	GTEX.12WSD.0926.SM.5GCNL	GTEX.12BJ1.0426.SM.5FQSO	GTEX.1212Z.0426.SM.5FQT6	GTEX.QLQ7.0726.SM.2I5G2	GTEX.T6MO.0226.SM.32QOL	GTEX.YB5E.0626.SM.4VDSE	GTEX.11ZTT.1026.SM.5EQKF	GTEX.13D11.0226.SM.5LZXL	GTEX.PLZ4.1226.SM.2I5FE	GTEX.11VI4.0226.SM.5GU6C	GTEX.ZVZP.1026.SM.5GICI	GTEX.13OW6.0726.SM.5L3FX	GTEX.WYBS.1926.SM.3NM8N	GTEX.13NYC.2426.SM.5MR3K	GTEX.ZYT6.0426.SM.5GID3	GTEX.13VXU.0826.SM.5KLZ2	GTEX.Z9EW.0226.SM.5CVM7	GTEX.111FC.1026.SM.5GZX1
PLCL1	37.59	39.22	34.26	11.55	42.41	26.67	56.28	56.68	12.64	46.84	58.71	36.01	56.28	26.28	30.34	31.22	25.91	45.85	27.64	31.9	25.54	52.45	58.3	46.18	38.67	44.25	37.32	39.79	6.36	147.06	297.17	153.34	154.42	52.45	201.25	40.93	38.4	71.0	142.01	100.13	111.21	165.57	53.19	262.2	54.72	153.34	99.43	73.03	56.68	51.71	87.65	33.78	98.04	42.41	58.71	90.77	170.25	132.44	67.12	75.64	100.83	104.42	71.5	65.26	60.39	124.37	105.15	93.35	38.12	33.54	73.54	92.05	81.71	63.45	44.25	156.59	36.01	105.89	40.93	82.29	78.34	105.89	98.04	102.97	96.68	30.56	29.7	75.64	127.89	78.89	84.63	103.69	54.72	19.53	56.68	113.56	63.45	70.51
PLEKHA1	285.03	303.44	327.56	264.03	283.05	409.15	346.29	348.71	138.1	275.28	368.65	392.44	409.15	339.14	281.09	236.21	277.2	327.56	212.78	346.29	368.65	406.31	387.02	260.38	325.29	363.56	307.69	323.03	164.42	559.28	642.59	567.1	902.89	463.65	490.14	423.61	426.57	559.28	532.74	493.56	679.29	490.14	607.87	1001.93	457.25	514.56	587.13	444.72	341.51	708.18	346.29	341.51	603.67	483.38	454.09	444.72	567.1	518.15	412.0	547.75	476.71	638.15	379.04	624.99	379.04	536.45	540.19	819.3	454.09	400.71	595.34	417.77	791.35	607.87	334.46	921.88	483.38	483.38	470.14	384.34	629.35	493.56	547.75	493.56	463.65	371.22	480.04	346.29	571.05	470.14	412.0	551.56	432.53	490.14	500.46	743.43	414.87	638.15
PLSCR4	361.04	281.09	220.32	115.16	239.52	358.54	320.8	267.73	142.01	81.14	277.2	232.94	381.68	204.07	269.6	120.1	287.01	305.55	172.65	299.25	277.2	346.29	351.14	260.38	287.01	466.88	325.29	214.27	198.47	1159.07	1322.37	1870.53	1242.34	563.18	679.29	460.44	536.45	813.63	830.75	591.22	1127.35	595.34	808.0	1233.75	543.96	848.22	819.3	703.28	567.1	723.08	660.68	450.94	1359.57	529.06	651.58	743.43	1529.73	1175.27	728.11	1322.37	616.37	759.08	723.08	1313.23	718.08	934.76	1896.65	1286.18	728.11	271.48	785.88	466.88	1242.34	1331.57	470.14	1388.16	423.61	1151.06	497.0	785.88	1066.48	684.02	633.73	941.27	525.39	318.57	518.15	518.15	1216.75	612.11	693.58	733.19	543.96	830.75	660.68	872.1	684.02	733.19
PNRC2	2434.5	2434.5	3349.13	1369.04	1757.34	1963.57	1950.0	2555.58	1127.35	1519.15	2032.85	1159.07	1397.83	1757.34	1745.2	1519.15	1277.29	1437.15	1417.35	1769.57	1651.0	2018.8	2351.53	1369.04	1277.29	2133.97	1769.57	1674.06	967.76	3349.13	2956.17	2451.44	3928.15	2468.49	2997.45	2240.11	2075.59	2287.2	3212.66	3639.7	3982.99	2591.27	4210.15	4038.61	2090.03	2739.08	3039.3	1733.13	2061.24	3124.78	2319.15	1745.2	3665.02	2209.26	2119.22	2701.35	3146.52	3303.0	2976.74	3168.41	3190.46	3491.39	2384.37	3168.41	2367.9	2335.28	2976.74	4358.66	3257.52	1963.57	4152.18	2367.9	3955.48	2956.17	2367.9	5255.91	2520.38	3614.55	2384.37	2303.12	3146.52	2591.27	2976.74	2777.33	2816.11	2148.82	2935.74	2119.22	4181.07	2520.38	2178.83	2796.65	3955.48	3928.15	2502.97	3955.48	2400.97	3039.3
PQLC3	242.88	223.41	242.88	363.56	182.55	191.67	301.33	297.17	320.8	241.19	256.78	242.88	189.02	264.03	187.71	273.37	260.38	358.54	271.48	189.02	193.01	303.44	260.38	271.48	246.28	271.48	217.27	170.25	191.67	607.87	379.04	638.15	674.59	460.44	414.87	412.0	447.82	514.56	674.59	329.84	759.08	169.07	435.55	808.0	607.87	480.04	599.49	493.56	493.56	412.0	414.87	348.71	718.08	384.34	497.0	567.1	764.36	769.69	536.45	638.15	500.46	620.67	389.72	866.07	493.56	579.04	607.87	842.36	525.39	320.8	540.19	363.56	808.0	665.29	271.48	759.08	397.93	651.58	295.11	432.53	507.46	420.68	353.59	480.04	409.15	348.71	358.54	575.03	551.56	563.18	262.2	476.71	426.57	341.51	490.14	642.59	507.46	529.06
PRIM2	38.4	38.12	33.78	30.34	24.28	46.84	22.92	30.34	29.27	41.22	37.59	32.13	45.53	23.42	26.67	27.64	28.45	38.67	28.04	36.01	25.35	23.59	27.25	34.26	43.94	53.95	26.1	37.05	38.12	88.26	109.66	63.0	76.71	68.07	73.03	36.27	57.08	88.88	76.71	87.65	88.26	24.46	44.89	122.64	57.89	53.19	67.12	41.22	67.59	77.79	84.63	49.91	68.55	81.71	47.17	45.21	97.36	70.01	70.01	80.01	62.12	82.29	57.08	49.91	65.72	55.89	120.94	87.03	59.97	38.4	66.18	64.34	41.81	76.71	57.08	97.36	48.18	62.12	75.64	64.8	78.34	43.94	82.29	72.52	57.89	61.25	49.56	81.14	75.64	77.25	66.18	45.53	37.85	49.56	42.11	82.87	84.63	53.19
PRKD3	214.27	182.55	173.85	189.02	198.47	172.65	161.02	209.84	152.28	85.82	170.25	139.07	163.28	209.84	151.22	151.22	159.9	202.66	149.12	110.43	180.02	170.25	202.66	177.53	134.3	234.57	139.07	166.73	78.89	376.41	490.14	607.87	384.34	170.25	356.05	206.94	218.79	325.29	242.88	301.33	426.57	239.52	248.0	518.15	279.14	426.57	262.2	256.78	246.28	265.87	239.52	198.47	353.59	212.78	273.37	223.41	470.14	384.34	166.73	316.37	301.33	363.56	297.17	409.15	277.2	450.94	567.1	368.65	221.86	139.07	258.57	312.0	297.17	432.53	171.45	624.99	190.34	277.2	193.01	339.14	353.59	297.17	258.57	343.89	325.29	158.79	267.73	229.72	525.39	285.03	265.87	223.41	175.07	232.94	264.03	273.37	265.87	267.73
PROX1	22.1	66.18	41.52	32.82	55.1	47.17	35.0	20.71	8.65	51.71	19.11	49.56	74.06	13.72	14.35	36.01	23.93	47.5	45.53	38.67	67.59	28.65	63.0	36.27	38.4	53.57	65.26	20.56	15.56	248.0	279.14	237.86	486.75	35.76	107.38	49.21	107.38	167.9	191.67	237.86	234.57	56.28	101.54	412.0	95.34	72.01	208.38	128.79	95.34	92.05	249.73	86.43	559.28	57.08	98.73	220.32	148.09	172.65	65.26	208.38	181.28	178.77	73.54	490.14	135.24	113.56	426.57	361.04	103.69	22.92	260.38	37.32	197.09	318.57	91.41	285.03	66.65	423.61	171.45	135.24	438.59	43.63	323.03	122.64	66.18	75.64	81.14	49.21	229.72	42.71	155.5	122.64	104.42	158.79	209.84	332.14	86.43	101.54
PSIP1	753.83	688.78	860.08	595.34	713.11	718.08	679.29	896.64	669.92	518.15	785.88	473.41	532.74	656.11	579.04	738.29	674.59	813.63	633.73	595.34	575.03	728.11	775.05	802.41	575.03	802.41	723.08	656.11	536.45	1304.15	1369.04	1350.18	1388.16	708.18	1073.91	884.29	884.29	947.83	902.89	1030.12	1322.37	1104.13	1073.91	1467.37	902.89	1119.56	909.17	733.19	1001.93	902.89	1088.92	629.35	1088.92	928.3	902.89	866.07	1519.15	1268.46	753.83	1015.93	967.76	1088.92	954.43	1216.75	995.0	974.5	1216.75	1697.45	872.1	633.73	981.29	1023.0	1477.58	1151.06	743.43	1628.26	878.17	1167.14	753.83	1216.75	1268.46	866.07	1001.93	974.5	1066.48	633.73	928.3	808.0	1519.15	988.12	934.76	1008.9	1119.56	679.29	981.29	1159.07	1023.0	1044.52
PUM2	836.53	748.61	890.44	651.58	660.68	808.0	633.73	825.0	555.41	603.67	693.58	599.49	656.11	708.18	638.15	595.34	595.34	713.11	483.38	521.76	748.61	802.41	813.63	656.11	633.73	825.0	620.67	684.02	473.41	1781.89	1651.0	1540.37	1561.89	693.58	1508.65	748.61	896.64	947.83	1183.45	1359.57	1340.84	1175.27	1081.39	2047.0	713.11	1268.46	1159.07	796.86	1015.93	1088.92	1023.0	665.29	1286.18	988.12	813.63	1096.5	1208.34	1286.18	934.76	1037.29	1529.73	1233.75	902.89	1457.23	775.05	1417.35	1529.73	1977.24	1088.92	684.02	1081.39	961.07	1388.16	1467.37	995.0	1378.57	909.17	1304.15	860.08	988.12	1233.75	896.64	1119.56	1088.92	1467.37	728.11	947.83	808.0	1427.22	1104.13	947.83	1216.75	813.63	896.64	1183.45	1369.04	1051.79	1331.57
QKI	289.02	429.54	409.15	217.27	336.79	316.37	414.87	389.72	155.5	234.57	363.56	373.81	325.29	318.57	275.28	242.88	293.07	336.79	218.79	316.37	339.14	363.56	429.54	320.8	180.02	389.72	271.48	397.93	166.73	688.78	728.11	1037.29	890.44	334.46	743.43	387.02	432.53	995.0	575.03	642.59	842.36	301.33	583.07	728.11	748.61	607.87	559.28	395.18	353.59	567.1	633.73	314.17	791.35	426.57	409.15	417.77	713.11	684.02	473.41	733.19	665.29	368.65	457.25	571.05	698.41	616.37	1467.37	665.29	366.09	334.46	476.71	503.95	587.13	624.99	493.56	896.64	334.46	733.19	339.14	612.11	713.11	473.41	587.13	665.29	403.5	265.87	341.51	559.28	796.86	497.0	698.41	583.07	291.04	327.56	473.41	669.92	616.37	397.93
RAB23	157.68	155.5	82.87	205.5	106.63	111.99	133.36	67.12	162.14	173.85	139.07	181.28	211.31	69.03	79.45	162.14	130.6	293.07	122.64	106.63	138.1	204.07	267.73	316.37	540.19	132.44	202.66	109.66	212.78	842.36	559.28	981.29	1259.69	629.35	518.15	518.15	373.81	540.19	1119.56	540.19	1044.52	271.48	890.44	1268.46	320.8	703.28	435.55	273.37	267.73	848.22	346.29	283.05	718.08	708.18	420.68	435.55	1378.57	1073.91	373.81	674.59	543.96	738.29	318.57	536.45	454.09	412.0	780.44	995.0	518.15	392.44	629.35	607.87	915.51	769.69	476.71	1277.29	514.56	633.73	525.39	607.87	802.41	651.58	728.11	555.41	713.11	293.07	514.56	518.15	616.37	620.67	371.22	289.02	490.14	420.68	497.0	1030.12	599.49	825.0
RBM27	148.09	139.07	176.29	106.63	121.79	162.14	128.79	149.12	93.35	106.63	133.36	106.63	113.56	138.1	113.56	109.66	118.43	124.37	99.43	120.94	141.02	146.03	156.59	195.72	127.89	169.07	120.94	146.03	115.97	318.57	303.44	246.28	371.22	111.99	221.86	206.94	175.07	239.52	260.38	255.0	309.83	205.5	223.41	320.8	187.71	242.88	173.85	169.07	175.07	208.38	149.12	138.1	239.52	152.28	190.34	189.02	301.33	241.19	158.79	204.07	312.0	190.34	202.66	232.94	224.97	212.78	325.29	412.0	186.4	133.36	202.66	178.77	208.38	251.48	228.13	336.79	137.14	229.72	167.9	234.57	198.47	197.09	208.38	265.87	178.77	133.36	175.07	157.68	218.79	218.79	209.84	206.94	178.77	145.02	191.67	262.2	195.72	293.07
RFC1	540.19	473.41	507.46	395.18	435.55	490.14	363.56	457.25	406.31	490.14	417.77	387.02	363.56	447.82	389.72	384.34	343.89	423.61	379.04	314.17	476.71	285.03	540.19	371.22	406.31	551.56	373.81	450.94	334.46	872.1	854.13	1127.35	753.83	447.82	591.22	503.95	603.67	713.11	796.86	738.29	723.08	769.69	642.59	1051.79	583.07	728.11	669.92	563.18	665.29	651.58	733.19	599.49	656.11	595.34	647.07	612.11	780.44	728.11	599.49	723.08	591.22	796.86	493.56	688.78	583.07	723.08	819.3	981.29	688.78	406.31	591.22	607.87	775.05	759.08	540.19	703.28	412.0	854.13	607.87	571.05	723.08	684.02	713.11	669.92	603.67	395.18	563.18	591.22	1008.9	679.29	651.58	791.35	629.35	559.28	612.11	753.83	638.15	624.99
ROCK2	135.24	170.25	122.64	95.34	136.19	145.02	171.45	138.1	93.35	96.68	144.01	152.28	143.01	115.16	111.21	115.97	110.43	150.17	152.28	102.97	141.02	161.02	185.11	146.03	100.13	146.03	136.19	132.44	62.56	301.33	384.34	309.83	260.38	109.66	273.37	181.28	191.67	309.83	191.67	208.38	241.19	183.82	303.44	400.71	260.38	281.09	194.36	217.27	181.28	241.19	231.32	159.9	197.09	194.36	205.5	147.06	287.01	217.27	181.28	237.86	186.4	161.02	208.38	221.86	206.94	267.73	258.57	267.73	131.51	153.34	124.37	218.79	209.84	301.33	166.73	384.34	169.07	236.21	214.27	193.01	218.79	239.52	223.41	289.02	253.23	138.1	144.01	181.28	291.04	251.48	251.48	186.4	145.02	120.1	147.06	195.72	217.27	197.09
RPS6KA5	19.39	16.51	15.34	16.75	17.64	21.94	14.14	19.97	10.47	13.32	18.97	19.25	25.35	12.36	20.71	15.91	16.51	33.54	13.42	15.91	19.39	15.45	20.86	48.87	28.24	20.71	19.25	15.8	14.89	85.22	99.43	86.43	144.01	58.3	83.45	66.18	75.11	81.71	147.06	199.85	103.69	62.12	98.73	142.01	88.88	92.05	105.89	53.19	77.79	94.01	71.5	49.56	93.35	64.8	70.51	81.14	131.51	105.15	97.36	145.02	57.08	111.21	96.01	144.01	69.52	84.04	97.36	199.85	72.52	48.52	96.68	80.57	131.51	113.56	45.21	231.32	68.07	209.84	61.68	103.69	195.72	108.14	119.26	115.97	45.85	49.56	76.17	55.49	88.88	79.45	73.03	116.78	58.71	49.21	94.01	128.79	55.1	65.26
SESN3	135.24	112.77	98.73	76.17	58.71	103.69	86.43	144.01	78.34	54.33	67.59	43.32	283.05	74.58	94.67	119.26	117.6	153.34	212.78	97.36	125.24	170.25	249.73	224.97	329.84	128.79	154.42	62.12	124.37	624.99	780.44	503.95	1233.75	165.57	409.15	246.28	224.97	432.53	733.19	361.04	688.78	251.48	536.45	1467.37	381.68	457.25	373.81	201.25	329.84	384.34	490.14	303.44	575.03	371.22	151.22	450.94	836.53	457.25	265.87	583.07	334.46	1015.93	253.23	665.29	255.0	595.34	665.29	1757.34	387.02	185.11	536.45	246.28	669.92	521.76	197.09	1208.34	303.44	395.18	293.07	466.88	583.07	371.22	363.56	547.75	291.04	205.5	283.05	191.67	708.18	236.21	341.51	371.22	316.37	511.0	450.94	802.41	249.73	521.76
SETBP1	70.01	46.84	47.84	32.36	55.89	63.45	40.64	38.4	30.56	37.59	41.52	31.45	38.95	35.0	50.27	50.63	68.07	50.63	55.1	83.45	86.43	47.5	84.04	45.21	25.35	71.5	50.63	53.19	36.53	165.57	167.9	197.09	139.07	63.89	163.28	73.03	104.42	165.57	147.06	125.24	128.79	80.01	120.1	130.6	113.56	102.97	96.68	78.34	115.97	83.45	113.56	101.54	180.02	164.42	95.34	154.42	366.09	182.55	64.8	178.77	234.57	183.82	94.01	140.04	115.16	120.94	211.31	158.79	61.68	56.28	80.57	129.69	100.83	88.26	162.14	241.19	60.39	142.01	122.64	92.7	178.77	71.0	120.94	127.0	120.94	59.13	46.5	87.65	180.02	84.63	99.43	153.34	73.03	68.55	106.63	171.45	131.51	111.99
SIRT1	256.78	215.77	220.32	177.53	171.45	214.27	159.9	237.86	149.12	150.17	173.85	128.79	81.71	201.25	171.45	156.59	178.77	217.27	169.07	116.78	195.72	187.71	202.66	166.73	165.57	239.52	167.9	178.77	114.36	423.61	470.14	323.03	438.59	215.77	363.56	256.78	253.23	291.04	255.0	242.88	343.89	312.0	199.85	476.71	264.03	381.68	275.28	237.86	281.09	289.02	236.21	153.34	339.14	241.19	269.6	334.46	423.61	400.71	267.73	312.0	260.38	325.29	312.0	339.14	267.73	426.57	329.84	454.09	269.6	158.79	295.11	332.14	441.64	403.5	199.85	647.07	237.86	325.29	182.55	309.83	255.0	287.01	387.02	379.04	305.55	212.78	260.38	185.11	336.79	329.84	285.03	301.33	248.0	236.21	267.73	312.0	267.73	320.8
SLC10A7	83.45	80.01	111.99	41.52	87.03	102.97	90.77	88.26	41.81	72.52	72.01	74.06	78.89	72.01	84.63	60.39	59.13	94.01	43.63	70.01	81.14	93.35	99.43	82.29	120.1	85.82	80.01	80.01	36.01	189.02	197.09	206.94	163.28	74.06	155.5	127.89	157.68	159.9	140.04	176.29	142.01	77.79	133.36	231.32	152.28	144.01	165.57	123.5	118.43	163.28	156.59	155.5	115.16	129.69	146.03	106.63	186.4	133.36	115.16	152.28	162.14	121.79	175.07	136.19	105.15	131.51	232.94	166.73	82.87	113.56	88.88	129.69	183.82	194.36	140.04	183.82	136.19	244.57	138.1	122.64	169.07	122.64	198.47	131.51	209.84	120.1	103.69	121.79	106.63	134.3	151.22	137.14	111.99	77.79	105.15	106.63	146.03	149.12
SLMAP	389.72	387.02	334.46	231.32	423.61	406.31	358.54	305.55	208.38	325.29	316.37	460.44	412.0	301.33	279.14	297.17	318.57	397.93	343.89	381.68	450.94	323.03	432.53	332.14	476.71	392.44	361.04	379.04	289.02	796.86	830.75	961.07	860.08	470.14	830.75	665.29	703.28	896.64	559.28	1066.48	854.13	688.78	825.0	1001.93	693.58	878.17	559.28	808.0	791.35	796.86	599.49	507.46	934.76	733.19	684.02	785.88	1104.13	934.76	543.96	764.36	902.89	587.13	669.92	723.08	603.67	753.83	796.86	1259.69	642.59	500.46	791.35	665.29	802.41	915.51	647.07	1151.06	500.46	1233.75	620.67	723.08	1037.29	878.17	1023.0	693.58	708.18	633.73	785.88	595.34	791.35	748.61	612.11	1088.92	525.39	450.94	563.18	947.83	780.44	878.17
SMAD4	743.43	808.0	928.3	507.46	629.35	902.89	532.74	748.61	323.03	325.29	511.0	387.02	490.14	547.75	785.88	381.68	476.71	684.02	563.18	395.18	723.08	525.39	884.29	447.82	332.14	753.83	633.73	511.0	351.14	1819.35	2209.26	1832.01	1674.06	974.5	1487.87	1331.57	1427.22	1819.35	1757.34	1909.85	1322.37	1583.71	1467.37	2018.8	1216.75	1498.22	1199.98	1175.27	934.76	1208.34	1242.34	836.53	1340.84	890.44	1119.56	872.1	1639.59	947.83	1119.56	1331.57	1519.15	1199.98	1295.13	1417.35	1313.23	1340.84	2032.85	3124.78	802.41	775.05	1008.9	1583.71	1883.54	2004.85	1135.2	1757.34	791.35	1674.06	1183.45	1015.93	1769.57	1498.22	1709.26	1857.6	1529.73	476.71	1277.29	743.43	1832.01	1447.15	1397.83	1806.78	836.53	775.05	947.83	1119.56	1216.75	941.27
SMEK2	511.0	503.95	563.18	351.14	457.25	551.56	529.06	480.04	336.79	435.55	497.0	420.68	414.87	429.54	361.04	356.05	381.68	473.41	346.29	483.38	493.56	470.14	595.34	420.68	339.14	543.96	454.09	473.41	299.25	1073.91	974.5	878.17	1023.0	457.25	915.51	679.29	733.19	684.02	921.88	743.43	961.07	497.0	733.19	1015.93	785.88	769.69	642.59	607.87	591.22	733.19	603.67	480.04	748.61	607.87	665.29	647.07	769.69	854.13	567.1	571.05	718.08	769.69	848.22	842.36	656.11	698.41	775.05	1369.04	656.11	629.35	884.29	693.58	909.17	836.53	599.49	1151.06	559.28	728.11	612.11	708.18	896.64	759.08	651.58	842.36	753.83	620.67	536.45	529.06	872.1	759.08	674.59	656.11	599.49	616.37	638.15	785.88	693.58	753.83
SP3	638.15	642.59	764.36	493.56	529.06	688.78	591.22	708.18	387.02	426.57	591.22	507.46	607.87	571.05	595.34	473.41	493.56	620.67	406.31	447.82	607.87	633.73	728.11	571.05	486.75	808.0	567.1	579.04	384.34	1605.83	1277.29	1519.15	1508.65	633.73	1073.91	819.3	934.76	1119.56	1081.39	1037.29	1378.57	723.08	791.35	1508.65	819.3	1051.79	1008.9	830.75	934.76	947.83	791.35	607.87	1015.93	954.43	915.51	769.69	1340.84	1135.2	698.41	836.53	954.43	780.44	915.51	1111.82	967.76	947.83	1417.35	1721.16	718.08	718.08	791.35	954.43	1175.27	1159.07	743.43	1437.15	802.41	1059.11	928.3	813.63	1037.29	1023.0	896.64	981.29	1023.0	753.83	830.75	764.36	1059.11	1225.22	995.0	878.17	633.73	599.49	909.17	1066.48	947.83	1104.13
SPIN1	769.69	866.07	947.83	718.08	728.11	928.3	791.35	842.36	486.75	591.22	819.3	547.75	674.59	819.3	753.83	583.07	599.49	802.41	503.95	665.29	928.3	902.89	1015.93	583.07	563.18	921.88	738.29	718.08	463.65	1437.15	1183.45	1685.71	1605.83	842.36	1073.91	896.64	819.3	954.43	1259.69	1407.55	1572.76	1001.93	1407.55	1225.22	928.3	1088.92	1457.23	743.43	1015.93	1066.48	915.51	647.07	1378.57	1250.98	753.83	1313.23	1551.09	1561.89	1191.69	1191.69	1135.2	1286.18	902.89	1427.22	860.08	1066.48	1277.29	2163.77	1350.18	738.29	1304.15	947.83	1583.71	1208.34	842.36	1540.37	796.86	1369.04	796.86	988.12	1540.37	872.1	1191.69	928.3	1001.93	511.0	780.44	651.58	1832.01	1081.39	884.29	1331.57	915.51	1073.91	1359.57	1617.0	860.08	1508.65
SPOPL	128.79	106.63	119.26	102.25	108.9	138.1	112.77	117.6	81.71	92.7	111.21	77.25	80.01	127.0	86.43	85.22	87.03	105.15	73.54	71.5	121.79	94.01	111.21	72.52	63.0	127.89	94.01	101.54	55.1	228.13	279.14	260.38	260.38	108.9	206.94	111.99	156.59	165.57	183.82	209.84	241.19	170.25	202.66	312.0	159.9	237.86	162.14	151.22	151.22	177.53	124.37	105.89	202.66	142.01	155.5	143.01	271.48	208.38	111.99	211.31	164.42	140.04	164.42	206.94	126.12	178.77	191.67	305.55	147.06	92.7	170.25	163.28	201.25	180.02	124.37	332.14	114.36	244.57	124.37	191.67	267.73	165.57	195.72	158.79	180.02	101.54	156.59	100.83	249.73	139.07	135.24	166.73	139.07	165.57	120.1	201.25	133.36	175.07
STAG1	223.41	211.31	249.73	150.17	142.01	229.72	185.11	198.47	115.97	116.78	169.07	137.14	135.24	191.67	148.09	138.1	148.09	171.45	156.59	170.25	191.67	186.4	228.13	144.01	148.09	231.32	161.02	156.59	88.26	529.06	575.03	447.82	483.38	208.38	466.88	212.78	376.41	368.65	361.04	450.94	412.0	295.11	316.37	460.44	309.83	371.22	260.38	186.4	291.04	348.71	361.04	212.78	348.71	316.37	232.94	329.84	432.53	414.87	191.67	325.29	420.68	312.0	320.8	368.65	336.79	373.81	454.09	486.75	275.28	218.79	316.37	262.2	293.07	438.59	336.79	500.46	193.01	316.37	271.48	320.8	379.04	336.79	307.69	400.71	389.72	198.47	241.19	234.57	325.29	307.69	336.79	318.57	258.57	217.27	246.28	361.04	348.71	353.59
STON2	57.89	52.82	53.19	145.02	45.53	54.33	71.0	45.53	122.64	60.82	88.26	110.43	163.28	113.56	51.71	100.13	77.79	109.66	54.72	85.82	57.49	135.24	148.09	178.77	149.12	117.6	119.26	68.55	95.34	392.44	395.18	551.56	348.71	139.07	269.6	185.11	128.79	204.07	220.32	356.05	190.34	148.09	299.25	336.79	211.31	241.19	260.38	172.65	336.79	178.77	202.66	140.04	275.28	256.78	175.07	299.25	320.8	170.25	167.9	320.8	287.01	435.55	312.0	320.8	191.67	198.47	447.82	414.87	169.07	189.02	258.57	205.5	353.59	141.02	271.48	343.89	103.69	525.39	132.44	267.73	366.09	172.65	325.29	412.0	244.57	150.17	159.9	137.14	351.14	229.72	169.07	180.02	190.34	155.5	255.0	343.89	249.73	281.09
