	GTEX.132AR.0826.SM.5EGK6	GTEX.XV7Q.2326.SM.4BRVZ	TCGA.CR.7369.01A.11R.2132.07	TCGA.CN.4726.01A.01R.1436.07	TCGA.CR.6471.01A.11R.1873.07	TCGA.BA.5152.01A.02R.1873.07	TCGA.CV.5971.01A.11R.1686.07	TCGA.CN.6998.01A.23R.2016.07	TCGA.BA.5558.01A.01R.1514.07	TCGA.CR.7386.01A.11R.2016.07	TCGA.CV.7406.11A.01R.2081.07	TCGA.CV.6961.11A.01R.1915.07	TCGA.CV.6939.11A.01R.1915.07	TCGA.KN.8422.01A.11R.2315.07	TCGA.KN.8426.01A.11R.2315.07	TCGA.B8.A54E.01A.11R.A266.07	TCGA.B8.4621.01A.01R.1503.07	TCGA.CJ.5677.01A.11R.1541.07	TCGA.B2.4098.01A.02R.1325.07	TCGA.B4.5835.01A.11R.1672.07	TCGA.P4.A5EB.01A.11R.A28H.07	TCGA.DW.7841.01A.11R.A32Z.07	TCGA.HE.A5NF.01A.11R.A26U.07	TCGA.B9.4617.01A.01R.1193.07	TCGA.A4.A57E.01A.11R.A26U.07	TCGA.PJ.A5Z9.01A.11R.A28H.07	TCGA.A4.8518.01A.11R.2404.07	TCGA.P4.A5E8.01A.11R.A28H.07	TCGA.A4.7732.01A.11R.2139.07	TCGA.SX.A7SO.01A.11R.A355.07	TCGA.4A.A93W.01A.11R.A37K.07	TCGA.B9.A5W7.01A.11R.A31O.07	TCGA.BQ.7062.01A.11R.1965.07	TCGA.UZ.A9PV.01A.11R.A42S.07	TCGA.SX.A7SR.01A.12R.A36F.07	TCGA.BQ.5875.01A.11R.1592.07	TCGA.2Z.A9JR.01A.12R.A42S.07	TCGA.2Z.A9J1.01A.11R.A38C.07	TCGA.UN.AAZ9.01A.11R.A38C.07	TCGA.Y8.A897.01A.11R.A36F.07	TCGA.AL.3471.01A.02R.1351.07	TCGA.5P.A9K3.01A.11R.A42S.07	TCGA.B3.A6W5.01A.12R.A33Z.07	TCGA.BQ.7058.01A.11R.1965.07	TCGA.BQ.7044.01A.11R.1965.07	TCGA.UZ.A9PM.01A.21R.A38C.07	TCGA.A4.8098.01A.11R.2404.07	TCGA.SX.A71V.01A.11R.A33Z.07	TCGA.B9.7268.01A.11R.A32Z.07	TCGA.J7.6720.01A.11R.2139.07	TCGA.BQ.7046.01A.11R.1965.07	TCGA.HE.A5NL.01A.11R.A26U.07	TCGA.A4.A48D.01A.11R.A24Z.07	TCGA.B9.A5W9.01A.11R.A28H.07	TCGA.A4.8516.01A.11R.2404.07	TCGA.IZ.8195.01A.31R.2404.07	TCGA.GL.8500.01A.11R.2404.07	TCGA.B1.A655.01A.11R.A31O.07	TCGA.A4.8630.01A.11R.2404.07	TCGA.A4.8310.01A.11R.2404.07	TCGA.A4.7996.01A.11R.2204.07	TCGA.F9.A7Q0.01A.11R.A36F.07	TCGA.2Z.A9J6.01A.11R.A38C.07	TCGA.SX.A7SU.01A.11R.A36F.07	TCGA.A4.7585.01A.11R.2139.07	TCGA.GL.A4EM.01A.11R.A24Z.07	TCGA.BQ.7051.01A.12R.1965.07	TCGA.Y8.A8RY.01A.11R.A37K.07	TCGA.BQ.5878.01A.11R.1592.07	TCGA.B9.A8YI.01A.21R.A37K.07	TCGA.DZ.6133.01A.11R.1965.07	TCGA.BQ.7060.01A.11R.1965.07	TCGA.A4.A5Y0.01A.11R.A31O.07	TCGA.G7.6790.01A.11R.1965.07	TCGA.5P.A9KF.01A.11R.A42S.07	TCGA.HE.A5NK.01A.11R.A26U.07	TCGA.A4.7583.01A.11R.A32Z.07	TCGA.B9.A5W8.01A.11R.A28H.07	TCGA.Y8.A8S1.01A.11R.A37K.07	TCGA.P4.AAVM.01A.11R.A42S.07	TCGA.J7.8537.01A.11R.2404.07	TCGA.5P.A9KE.01A.11R.A42S.07	TCGA.BQ.5880.01A.11R.1592.07	TCGA.GL.A9DD.01A.11R.A37K.07	TCGA.IA.A40X.01A.11R.A24Z.07	TCGA.A4.7286.01A.11R.A32Z.07	TCGA.DW.7837.01A.11R.2139.07	TCGA.B9.5155.01A.01R.1592.07	TCGA.A4.A5XZ.01A.11R.A31O.07	TCGA.G7.A8LE.01A.11R.A36F.07	TCGA.UZ.A9PX.01A.11R.A42S.07	TCGA.BQ.7050.01A.11R.1965.07	TCGA.B9.A8YH.01A.11R.A37K.07	TCGA.SX.A71U.01A.12R.A33Z.07	TCGA.SX.A7SP.01A.11R.A355.07	TCGA.BQ.5887.01A.11R.1965.07	TCGA.UZ.A9PK.01A.11R.A38C.07	TCGA.B1.A657.01A.11R.A31O.07	TCGA.BQ.5884.01A.11R.1592.07	TCGA.UZ.A9Q1.01A.11R.A42S.07	TCGA.Y8.A8RZ.01A.11R.A37K.07	TCGA.G7.7501.01A.11R.2204.07	TCGA.5P.A9K6.01A.11R.A42S.07	TCGA.GL.A59T.01A.21R.A28H.07	TCGA.P4.AAVO.01A.11R.A42S.07	TCGA.Y8.A895.01A.11R.A36F.07	TCGA.BQ.7048.01A.11R.1965.07	TCGA.DW.7963.01B.11R.A28H.07	TCGA.Y8.A8S0.01A.11R.A37K.07	TCGA.38.4625.01A.01R.1206.07	TCGA.38.4625.01A.01R.1206.07.1	TCGA.63.5128.01A.01R.1443.07	GTEX.13NYC.2626.SM.5K7VN	GTEX.131XF.2826.SM.5EGKH	GTEX.ZC5H.2726.SM.5KLZW	GTEX.13CF2.2426.SM.5LZYL	TCGA.CD.5799.01A.11R.1602.13	TCGA.F1.6177.01A.11R.1802.13	TCGA.BR.7715.01A.11R.2055.13	TCGA.CG.5726.01A.11R.1602.13	TCGA.CG.4441.01A.01R.1802.13	TCGA.BR.6566.01A.11R.1802.13	TCGA.R5.A7ZR.01A.11R.A354.31	TCGA.CD.5813.01A.11R.1602.13	TCGA.D7.6528.01A.11R.1802.13	GTEX.117YW.2226.SM.5N9DB	GTEX.1399T.0126.SM.5KM15
CRYAB	1503610.06	288856.81	10154.69	1745.2	2240.11	6840.04	69271.73	7589.61	1583.71	13872.08	95286.54	30999.42	154794.07	53230.77	95949.32	309589.14	177811.84	212926.09	383800.28	223512.12	301123.38	100719.65	271387.49	233003.78	167058.21	239554.43	447025.24	197294.7	108699.57	225066.78	59887.86	171754.88	218912.29	153724.82	253213.41	142439.51	217400.14	241220.67	260332.24	212926.09	381149.17	223512.12	110983.6	318292.9	174152.51	220434.95	408505.64	225066.78	197294.7	167058.21	320506.81	177811.84	456418.21	207103.59	182810.84	260332.24	546551.29	258533.99	251464.33	301123.38	195931.88	391864.76	234624.45	66912.05	292889.12	305326.92	254974.66	80683.28	138544.47	200048.85	154794.07	292889.12	513497.31	286861.53	254974.66	327241.36	277089.94	375901.76	174152.51	284880.02	246289.25	303217.87	329517.51	143430.26	168220.2	329517.51	171754.88	165904.25	228208.61	84109.6	88291.3	338781.54	88905.42	172949.54	246289.25	422911.59	177811.84	279017.26	217400.14	299043.36	256748.15	162489.97	186652.11	233003.78	589853.66	269512.87	234624.45	215898.44	168220.2	0.0	0.96	144427.91	161367.56	336441.4	311742.51	716197.51	441.64	122.64	1295.13	81.14	325.29	775.05	138.1	2573.36	336.79	32994.92	305326.92
CYB5D1	353.59	127.89	136.19	118.43	80.01	73.03	162.14	113.56	170.25	112.77	91.41	149.12	205.5	87.03	83.45	273.37	497.0	186.4	414.87	197.09	563.18	403.5	483.38	571.05	204.07	466.88	339.14	165.57	802.41	265.87	651.58	395.18	470.14	607.87	575.03	409.15	476.71	379.04	656.11	438.59	1023.0	180.02	579.04	170.25	221.86	356.05	241.19	450.94	441.64	591.22	466.88	473.41	223.41	769.69	429.54	339.14	358.54	329.84	567.1	503.95	890.44	547.75	376.41	480.04	267.73	301.33	575.03	651.58	361.04	316.37	571.05	373.81	334.46	567.1	438.59	217.27	503.95	301.33	165.57	228.13	221.86	423.61	303.44	323.03	368.65	395.18	567.1	674.59	547.75	514.56	642.59	293.07	595.34	571.05	420.68	134.3	543.96	466.88	277.2	144.01	332.14	343.89	441.64	620.67	134.3	507.46	248.0	314.17	674.59	0.0	0.38	151.22	163.28	190.34	146.03	132.44	156.59	285.03	251.48	341.51	271.48	142.01	169.07	135.24	159.9	143.01	483.38
D2HGDH	166.73	248.0	199.85	117.6	176.29	76.71	289.02	189.02	115.97	232.94	371.22	249.73	438.59	318.57	669.92	379.04	591.22	483.38	1051.79	275.28	1127.35	591.22	1208.34	473.41	1662.49	1208.34	1447.15	269.6	633.73	941.27	713.11	703.28	660.68	1721.16	954.43	633.73	1127.35	1119.56	314.17	1286.18	974.5	693.58	791.35	480.04	836.53	665.29	764.36	1151.06	497.0	336.79	1191.69	1037.29	511.0	483.38	830.75	543.96	599.49	457.25	723.08	769.69	669.92	476.71	1427.22	2075.59	423.61	1096.5	915.51	1051.79	403.5	595.34	830.75	723.08	447.82	1477.58	2502.97	301.33	612.11	642.59	819.3	764.36	281.09	860.08	521.76	791.35	507.46	1304.15	571.05	412.0	802.41	813.63	1051.79	532.74	1073.91	896.64	1135.2	343.89	890.44	1417.35	511.0	1008.9	748.61	283.05	764.36	1015.93	836.53	1457.23	540.19	647.07	860.08	0.0	1.06	336.79	414.87	395.18	314.17	412.0	656.11	808.0	426.57	567.1	854.13	532.74	435.55	260.38	536.45	120.94	2032.85
DCBLD2	209.84	234.57	329.84	241.19	105.15	373.81	279.14	346.29	97.36	346.29	115.16	62.12	197.09	105.89	105.89	199.85	718.08	325.29	612.11	164.42	199.85	764.36	493.56	406.31	134.3	212.78	258.57	738.29	1304.15	269.6	1721.16	480.04	595.34	466.88	323.03	314.17	460.44	351.14	1331.57	258.57	497.0	146.03	775.05	176.29	518.15	525.39	567.1	500.46	718.08	866.07	860.08	490.14	172.65	483.38	866.07	796.86	361.04	547.75	368.65	723.08	555.41	1051.79	293.07	1268.46	341.51	457.25	223.41	638.15	287.01	145.02	420.68	684.02	1119.56	379.04	318.57	1259.69	202.66	521.76	134.3	205.5	341.51	361.04	320.8	633.73	169.07	348.71	1259.69	819.3	769.69	2178.83	470.14	305.55	1936.53	414.87	500.46	205.5	417.77	447.82	417.77	536.45	193.01	450.94	379.04	450.94	249.73	543.96	332.14	1119.56	414.87	1233.75	3491.39	229.72	69.03	132.44	105.89	158.79	57.08	27.44	67.12	122.64	94.01	48.18	94.67	253.23	144.01	121.79	638.15
DISP1	84.63	65.72	31.0	15.22	28.24	21.78	41.22	9.41	15.11	24.28	24.63	27.64	75.64	50.27	37.85	226.54	142.01	148.09	242.88	90.14	224.97	204.07	111.21	133.36	105.89	206.94	164.42	100.13	176.29	120.94	226.54	199.85	182.55	183.82	166.73	111.99	163.28	144.01	74.06	260.38	281.09	153.34	108.9	167.9	146.03	79.45	211.31	132.44	209.84	185.11	121.79	155.5	138.1	273.37	246.28	181.28	133.36	89.51	178.77	119.26	229.72	103.69	171.45	221.86	239.52	197.09	208.38	154.42	318.57	246.28	264.03	146.03	248.0	163.28	214.27	84.63	158.79	108.14	198.47	164.42	81.14	105.89	159.9	139.07	85.22	87.03	214.27	138.1	124.37	283.05	190.34	150.17	152.28	171.45	116.78	148.09	186.4	150.17	241.19	133.36	595.34	170.25	165.57	99.43	183.82	140.04	198.47	106.63	231.32	0.0	0.34	18.97	23.93	46.5	58.71	74.06	35.5	31.67	37.05	35.0	33.54	13.83	51.35	57.49	23.42	33.3	167.9
DNAAF3	0.0	6.57	32.13	115.16	21.16	12.93	24.99	24.63	13.93	27.25	12.27	49.21	3.44	5.36	6.89	47.17	236.21	35.5	173.85	7.75	265.87	376.41	248.0	555.41	70.51	466.88	154.42	332.14	514.56	110.43	486.75	312.0	291.04	420.68	518.15	34.51	457.25	395.18	503.95	500.46	921.88	124.37	460.44	182.55	454.09	251.48	48.52	329.84	312.0	400.71	420.68	246.28	145.02	532.74	269.6	204.07	353.59	146.03	511.0	171.45	420.68	607.87	236.21	624.99	43.32	177.53	264.03	414.87	363.56	137.14	473.41	236.21	128.79	291.04	540.19	191.67	624.99	447.82	220.32	96.68	54.72	260.38	130.6	293.07	329.84	220.32	277.2	314.17	301.33	392.44	414.87	190.34	299.25	555.41	159.9	109.66	591.22	426.57	186.4	151.22	97.36	80.01	190.34	397.93	102.97	476.71	28.86	273.37	521.76	0.0	0.0	13.03	24.63	18.29	16.39	119.26	30.12	59.13	31.22	50.98	41.22	47.17	10.0	85.22	122.64	7.06	151.22
DNAH7	10.63	8.99	1.66	2.71	2.32	14.45	1.04	1.87	3.26	2.48	2.84	6.36	12.09	4.43	5.32	43.63	51.71	30.34	88.26	39.79	62.56	101.54	59.13	110.43	114.36	249.73	19.39	89.51	242.88	46.84	217.27	139.07	66.18	140.04	171.45	67.59	106.63	105.89	96.01	181.28	305.55	69.03	127.0	61.68	69.52	46.18	50.63	89.51	70.01	63.0	82.87	70.01	43.94	212.78	105.89	80.01	108.14	89.51	116.78	60.82	134.3	256.78	108.9	198.47	48.18	29.48	75.11	112.77	76.17	21.47	126.12	48.18	65.72	36.27	169.07	92.05	185.11	92.05	11.91	34.02	23.59	67.12	77.79	75.11	127.89	26.67	149.12	100.83	115.16	195.72	127.89	59.97	120.1	195.72	57.08	25.54	112.77	143.01	78.34	42.71	32.59	42.11	92.7	157.68	43.02	144.01	33.78	87.03	164.42	0.0	0.0	0.27	0.47	4.46	1.17	6.52	9.34	88.26	0.85	22.75	3.86	14.24	11.3	10.0	4.43	3.2	194.36
DNAI1	0.53	4.94	0.0	0.0	2.32	0.35	0.41	0.0	0.0	0.0	0.0	0.0	2.32	3.0	13.93	1.13	51.71	1.97	134.3	4.13	44.89	65.72	71.5	67.59	89.51	224.97	25.72	70.01	217.27	24.81	175.07	74.58	57.49	180.02	202.66	22.1	161.02	97.36	35.0	187.71	379.04	27.25	116.78	98.73	66.18	26.28	84.04	138.1	88.26	19.53	89.51	87.03	7.88	138.1	99.43	88.26	61.68	54.33	120.1	47.17	129.69	237.86	122.64	155.5	4.17	35.25	49.91	164.42	40.36	19.97	70.51	30.56	13.42	18.97	293.07	57.08	165.57	70.01	2.68	18.7	5.59	73.54	36.01	94.67	55.1	26.1	44.25	30.12	104.42	120.94	118.43	45.53	133.36	177.53	129.69	0.79	114.36	106.63	0.0	41.81	17.13	5.87	82.87	101.54	43.63	217.27	29.06	88.88	114.36	0.0	0.0	0.0	5.73	3.86	1.14	0.0	0.91	0.0	2.58	1.75	2.43	0.0	0.0	0.0	1.69	0.44	10.39
DNALI1	151.22	35.76	14.56	20.86	25.54	27.05	111.21	15.68	20.86	47.17	48.52	10.0	139.07	23.59	155.5	435.55	769.69	395.18	334.46	61.25	764.36	1359.57	571.05	1242.34	961.07	941.27	555.41	1427.22	1427.22	967.76	2645.74	1059.11	934.76	1369.04	1183.45	4.46	1286.18	1159.07	612.11	1119.56	1159.07	215.77	1159.07	808.0	748.61	1008.9	371.22	1044.52	1037.29	1199.98	698.41	733.19	555.41	1369.04	1397.83	896.64	438.59	417.77	759.08	1277.29	1135.2	674.59	1233.75	1721.16	277.2	595.34	848.22	1096.5	688.78	438.59	921.88	525.39	860.08	785.88	1447.15	395.18	624.99	376.41	563.18	660.68	1304.15	1096.5	902.89	915.51	1350.18	559.28	1225.22	915.51	1015.93	1781.89	1369.04	825.0	967.76	1388.16	728.11	454.09	1313.23	1208.34	607.87	769.69	521.76	915.51	1167.14	1127.35	684.02	1167.14	684.02	796.86	1369.04	0.0	0.39	21.63	14.03	41.81	42.41	37.32	616.37	258.57	181.28	15.34	56.68	57.89	603.67	339.14	39.5	10.31	1733.13
DYNC2H1	164.42	323.03	118.43	76.71	53.95	59.55	80.01	40.64	102.97	80.57	64.8	46.84	75.64	131.51	33.06	53.57	199.85	165.57	327.56	85.22	420.68	293.07	180.02	191.67	368.65	297.17	137.14	236.21	312.0	220.32	249.73	229.72	193.01	327.56	265.87	134.3	283.05	229.72	457.25	363.56	438.59	185.11	211.31	289.02	84.04	116.78	186.4	258.57	131.51	199.85	163.28	189.02	154.42	353.59	258.57	262.2	289.02	303.44	237.86	183.82	246.28	514.56	201.25	307.69	191.67	186.4	183.82	273.37	129.69	277.2	183.82	139.07	140.04	145.02	305.55	371.22	341.51	420.68	33.54	157.68	85.22	214.27	356.05	180.02	226.54	198.47	218.79	248.0	180.02	312.0	267.73	373.81	277.2	287.01	217.27	131.51	229.72	224.97	169.07	237.86	221.86	368.65	186.4	202.66	191.67	271.48	139.07	123.5	323.03	0.0	0.35	56.68	85.82	248.0	79.45	130.6	36.01	7.75	49.91	10.71	33.78	45.85	57.49	71.0	6.31	15.0	363.56
DYNC2LI1	307.69	473.41	271.48	283.05	150.17	293.07	206.94	175.07	90.14	281.09	167.9	220.32	236.21	486.75	339.14	775.05	2777.33	351.14	1427.22	417.77	1950.0	3540.14	2271.4	4639.29	466.88	5995.9	995.0	884.29	5292.48	1594.73	3325.99	3467.27	2956.17	3235.01	4869.99	579.04	2855.44	3515.68	3589.58	4066.71	7230.1	595.34	4972.34	848.22	1896.65	1697.45	1008.9	4095.0	3395.89	2682.69	2417.67	3794.3	860.08	3690.52	3716.2	3039.3	3060.45	1529.73	4481.23	3419.52	3103.19	2271.4	3540.14	3039.3	684.02	633.73	2367.9	3467.27	1407.55	612.11	3847.29	2591.27	1870.53	1896.65	2485.67	1617.0	2319.15	2193.99	307.69	1135.2	583.07	2148.82	656.11	2664.15	1806.78	954.43	3280.18	3443.31	4639.29	3564.78	2816.11	1417.35	3039.3	2935.74	909.17	371.22	5441.3	2997.45	563.18	967.76	884.29	1304.15	2591.27	3540.14	1685.71	4123.49	1340.84	2303.12	4450.27	291.04	2104.58	289.02	353.59	273.37	256.78	318.57	320.8	334.46	336.79	265.87	281.09	187.71	346.29	279.14	221.86	56.28	1167.14
DYX1C1	45.85	36.53	8.85	34.51	12.45	30.78	27.64	31.22	21.94	9.34	19.82	40.93	23.25	13.52	50.63	157.68	118.43	73.03	211.31	77.79	215.77	154.42	132.44	318.57	201.25	169.07	92.05	190.34	249.73	89.51	191.67	96.68	115.16	134.3	135.24	109.66	132.44	123.5	122.64	249.73	329.84	154.42	154.42	121.79	212.78	76.71	189.02	152.28	158.79	155.5	108.9	115.97	74.58	242.88	158.79	178.77	187.71	150.17	159.9	152.28	232.94	136.19	120.94	144.01	111.21	78.34	175.07	92.05	157.68	104.42	149.12	99.43	143.01	102.97	206.94	134.3	144.01	131.51	9.93	96.01	124.37	114.36	129.69	98.73	153.34	63.45	142.01	171.45	144.01	123.5	133.36	165.57	175.07	228.13	127.89	46.18	178.77	201.25	79.45	132.44	133.36	295.11	122.64	167.9	163.28	167.9	82.29	87.03	180.02	0.0	0.0	16.27	68.55	22.59	39.79	50.63	90.77	59.97	51.35	57.89	35.25	53.95	22.59	16.88	19.25	0.92	256.78
DZANK1	53.57	58.71	31.0	12.83	20.71	11.3	18.84	17.64	9.56	15.34	7.06	10.39	16.39	24.81	32.82	51.35	155.5	87.03	218.79	37.05	98.73	152.28	115.97	126.12	71.5	202.66	75.11	135.24	209.84	76.71	297.17	76.71	105.89	223.41	135.24	79.45	120.1	140.04	176.29	195.72	660.68	57.89	167.9	60.39	141.02	69.52	148.09	202.66	218.79	105.15	111.21	115.16	52.82	248.0	126.12	173.85	181.28	77.79	141.02	202.66	295.11	211.31	81.14	144.01	91.41	66.65	122.64	121.79	135.24	53.95	195.72	49.21	111.99	77.25	242.88	115.97	139.07	96.68	17.9	36.27	52.82	63.0	81.71	120.94	88.26	85.22	98.04	107.38	155.5	99.43	102.97	120.94	134.3	183.82	109.66	80.01	142.01	112.77	65.26	59.13	82.29	90.14	130.6	153.34	82.87	202.66	56.28	73.54	182.55	0.0	0.22	16.39	26.67	5.28	6.36	15.91	26.28	10.88	39.22	38.12	27.64	5.28	23.59	32.82	29.7	2.16	177.53
EFCAB12	39.5	23.25	2.41	1.89	0.6	0.53	1.48	1.45	0.56	2.51	0.69	0.0	5.28	0.0	2.07	32.59	77.25	30.78	59.97	4.1	89.51	133.36	79.45	122.64	35.5	241.19	25.35	23.59	113.56	36.79	191.67	63.0	83.45	156.59	145.02	25.35	128.79	113.56	50.27	253.23	389.72	35.0	150.17	55.89	70.01	62.12	42.41	90.14	122.64	61.68	102.97	111.99	28.65	108.9	193.01	62.56	85.82	30.56	152.28	69.03	150.17	130.6	176.29	130.6	15.11	31.22	93.35	154.42	72.01	16.75	197.09	41.22	25.91	92.7	309.83	59.13	141.02	101.54	13.72	21.78	9.63	31.9	36.53	119.26	110.43	71.0	108.9	145.02	129.69	122.64	139.07	85.22	187.71	151.22	153.34	6.62	161.02	180.02	13.12	63.89	44.25	58.3	65.72	114.36	33.3	293.07	28.86	45.21	130.6	0.0	0.01	1.95	0.0	2.76	4.46	1.62	37.32	7.88	11.13	23.25	16.03	1.62	3.44	4.46	2.29	8.13	84.04
EFCAB6	9.2	6.16	5.11	3.82	8.71	3.26	15.91	2.2	1.28	4.62	19.11	2.73	22.43	8.25	32.82	14.89	48.52	34.02	81.71	18.84	63.89	84.04	58.71	108.9	35.5	77.79	27.84	51.71	80.57	69.03	111.21	92.05	55.49	72.01	86.43	17.9	91.41	55.89	53.95	127.89	244.57	33.06	65.72	24.11	38.4	39.22	25.35	48.18	54.72	76.17	34.02	68.55	35.0	84.04	97.36	40.36	89.51	67.59	63.0	40.36	84.63	65.72	71.5	85.82	40.64	33.54	63.0	120.1	74.58	52.08	62.56	43.94	18.29	33.78	102.25	50.27	144.01	87.65	18.84	42.11	10.63	66.65	25.72	53.19	63.45	28.24	72.01	84.04	42.71	88.26	99.43	56.28	105.89	78.89	59.97	19.25	77.25	64.34	36.53	59.13	25.91	30.34	49.56	34.02	31.0	131.51	26.28	64.34	96.01	0.0	0.0	14.03	13.32	13.12	12.74	8.13	4.43	18.97	9.85	10.47	2.73	1.23	1.64	3.63	12.18	6.31	193.01
EFHC1	175.07	82.29	107.38	62.56	31.9	60.39	128.79	51.71	38.4	74.06	50.98	35.25	61.68	27.05	18.16	50.98	264.03	228.13	358.54	89.51	176.29	460.44	232.94	295.11	309.83	529.06	95.34	221.86	406.31	204.07	473.41	287.01	206.94	612.11	647.07	114.36	529.06	395.18	265.87	571.05	775.05	131.51	450.94	83.45	162.14	170.25	151.22	414.87	226.54	202.66	303.44	320.8	100.13	371.22	387.02	229.72	341.51	255.0	518.15	256.78	444.72	420.68	358.54	825.0	171.45	175.07	199.85	674.59	264.03	68.07	376.41	183.82	226.54	158.79	656.11	277.2	351.14	279.14	50.63	144.01	181.28	305.55	129.69	403.5	251.48	129.69	281.09	256.78	287.01	579.04	329.84	241.19	529.06	551.56	323.03	75.11	507.46	532.74	102.25	169.07	228.13	234.57	327.56	507.46	159.9	703.28	141.02	189.02	406.31	0.0	0.22	96.68	63.0	72.52	66.18	70.01	140.04	187.71	169.07	135.24	114.36	27.64	113.56	132.44	138.1	21.63	460.44
ENKD1	197.09	202.66	204.07	148.09	137.14	151.22	307.69	88.88	159.9	154.42	112.77	158.79	253.23	629.35	718.08	301.33	693.58	728.11	915.51	54.33	808.0	1427.22	620.67	1857.6	981.29	1745.2	457.25	902.89	1844.76	651.58	2163.77	1487.87	1127.35	3124.78	2061.24	470.14	1844.76	1757.34	1199.98	1617.0	1709.26	624.99	1477.58	723.08	1447.15	1159.07	988.12	1119.56	1709.26	902.89	974.5	1769.57	974.5	1806.78	1447.15	1216.75	1674.06	325.29	1037.29	878.17	872.1	2240.11	1781.89	2047.0	518.15	463.65	941.27	1963.57	1001.93	928.3	1104.13	738.29	381.68	848.22	2090.03	1331.57	2701.35	1561.89	444.72	723.08	82.29	1242.34	902.89	1304.15	2400.97	1277.29	1023.0	1359.57	921.88	1378.57	2573.36	733.19	1191.69	1936.53	1651.0	819.3	1819.35	1594.73	329.84	693.58	728.11	563.18	1216.75	954.43	1331.57	2701.35	753.83	743.43	1806.78	0.0	0.65	138.1	320.8	185.11	171.45	190.34	323.03	341.51	293.07	381.68	251.48	175.07	122.64	301.33	224.97	149.12	728.11
ERC2	1.99	11.13	16.75	31.0	1.91	6.57	9.93	1.46	0.97	6.62	6.36	7.22	7.63	53.57	5.23	5.32	22.75	3.0	43.02	6.36	30.34	22.26	71.5	65.72	1.79	77.79	27.44	89.51	49.91	21.01	27.84	34.02	48.18	72.52	35.76	21.16	35.0	24.28	128.79	44.89	101.54	4.7	57.49	5.02	44.25	24.63	31.22	88.26	59.13	40.36	80.01	50.27	23.25	58.3	37.32	16.88	33.54	26.67	96.01	58.3	61.25	163.28	33.3	19.82	51.35	33.78	36.01	41.52	52.08	26.47	116.78	47.17	57.89	54.33	35.25	40.07	52.45	21.16	10.96	34.75	35.25	30.78	17.0	46.18	11.04	38.95	32.59	76.17	58.71	55.49	18.97	19.97	57.89	40.64	60.82	23.59	73.03	64.34	33.54	17.9	3.32	8.51	38.4	61.68	33.06	146.03	28.45	37.05	44.25	0.0	0.23	10.63	0.0	3.72	3.17	2.2	0.0	1.1	1.27	5.59	1.22	0.84	7.46	9.48	1.79	14.78	75.11
FAM149A	223.41	651.58	13.32	20.26	15.0	175.07	99.43	1.83	2.05	25.72	161.02	52.82	234.57	37.85	1857.6	728.11	1313.23	967.76	289.02	575.03	884.29	463.65	808.0	511.0	825.0	1008.9	457.25	246.28	854.13	1350.18	1561.89	860.08	954.43	1709.26	1909.85	981.29	1674.06	616.37	521.76	902.89	1268.46	429.54	507.46	988.12	2119.22	1008.9	287.01	759.08	1268.46	981.29	620.67	974.5	466.88	1529.73	759.08	1407.55	1721.16	813.63	1199.98	1143.1	1685.71	381.68	441.64	2485.67	1119.56	651.58	775.05	1277.29	1242.34	878.17	559.28	723.08	954.43	441.64	954.43	559.28	967.76	1183.45	463.65	234.57	234.57	1073.91	988.12	587.13	967.76	1030.12	738.29	915.51	536.45	2451.44	1135.2	1183.45	995.0	890.44	866.07	327.56	1286.18	884.29	723.08	1119.56	708.18	620.67	1407.55	854.13	1819.35	1096.5	796.86	441.64	2163.77	0.0	0.47	52.45	37.32	176.29	177.53	72.01	57.08	295.11	108.9	287.01	341.51	56.68	72.52	135.24	7.82	1519.15	142.01
FANK1	32.59	27.44	59.55	123.5	71.5	45.85	53.95	68.55	35.5	61.68	33.06	88.26	21.78	43.94	70.01	126.12	228.13	121.79	476.71	31.0	185.11	283.05	194.36	651.58	195.72	551.56	190.34	283.05	547.75	262.2	642.59	327.56	283.05	559.28	559.28	142.01	412.0	529.06	267.73	587.13	607.87	189.02	435.55	118.43	432.53	246.28	457.25	258.57	307.69	318.57	281.09	363.56	228.13	575.03	435.55	214.27	426.57	229.72	518.15	173.85	444.72	457.25	373.81	473.41	136.19	159.9	253.23	447.82	182.55	125.24	223.41	220.32	248.0	107.38	612.11	211.31	583.07	353.59	169.07	205.5	27.05	376.41	242.88	334.46	283.05	183.82	334.46	325.29	287.01	521.76	466.88	320.8	412.0	684.02	318.57	71.0	435.55	444.72	101.54	191.67	155.5	111.21	366.09	412.0	283.05	718.08	135.24	329.84	447.82	0.0	0.0	28.24	66.65	28.45	32.82	37.85	39.5	146.03	16.39	62.56	16.63	40.36	12.64	92.05	31.9	59.97	583.07
