	TCGA.2K.A9WE.01A.11R.A38C.07	TCGA.4A.A93Y.01A.11R.A37K.07	TCGA.A4.A48D.01A.11R.A24Z.07	TCGA.GL.A4EM.01A.11R.A24Z.07	TCGA.Y8.A8S1.01A.11R.A37K.07	TCGA.B1.5398.01A.02R.1592.07	TCGA.IA.A83T.01A.11R.A355.07	TCGA.2Y.A9GW.01A.11R.A38B.07	TCGA.G3.A5SM.01A.12R.A28V.07	TCGA.DD.A4NQ.01A.21R.A28V.07	TCGA.DD.A1EG.01A.11R.A213.07	TCGA.DD.AAEI.01A.11R.A41C.07	TCGA.DD.AACL.01A.11R.A41C.07	TCGA.DD.A4NO.01A.11R.A28V.07	TCGA.G3.AAV3.01A.11R.A37K.07	TCGA.DD.AAE1.01A.11R.A41C.07	TCGA.FV.A2QQ.01A.11R.A22L.07	TCGA.DD.A4NR.01A.11R.A311.07	TCGA.DD.AACQ.01A.11R.A41C.07	TCGA.DD.AACZ.01A.11R.A41C.07	TCGA.CC.A3MC.01A.11R.A22L.07	TCGA.EP.A2KB.01A.11R.A180.07	TCGA.T1.A6J8.01A.11R.A32O.07	TCGA.DD.AACP.01A.11R.A41C.07	TCGA.ED.A7XP.01A.11R.A352.07	TCGA.MR.A520.01A.11R.A266.07	TCGA.O8.A75V.01A.11R.A32O.07	TCGA.CC.A7IK.01A.12R.A33R.07	TCGA.DD.AADC.01A.11R.A41C.07	TCGA.DD.A39Y.01A.11R.A213.07	TCGA.DD.AAC8.01A.11R.A41C.07	TCGA.EP.A2KC.01A.11R.A213.07	TCGA.CC.A5UE.01A.11R.A28V.07	TCGA.GJ.A3OU.01A.31R.A38B.07	GTEX.YFC4.1526.SM.5IFJS	GTEX.X4EO.1126.SM.4QARQ	GTEX.13N11.0926.SM.5IJG2	GTEX.145MF.0826.SM.5QGQA	GTEX.139TS.1426.SM.5IFJD	GTEX.P78B.1326.SM.3P611	GTEX.12WSG.0626.SM.5FQTQ	GTEX.1399R.1226.SM.5P9GF	GTEX.R53T.0326.SM.48FEC	TCGA.78.8648.01A.11R.2403.07	TCGA.38.4626.01A.01R.1206.07	TCGA.L4.A4E6.01A.11R.A24H.07	TCGA.95.7043.01A.11R.1949.07	TCGA.38.4632.11A.01R.1755.07	TCGA.38.4626.11A.01R.1758.07	GTEX.12WSG.0326.SM.5FQU3	GTEX.13D11.0326.SM.5LZXX	GTEX.ZZPU.0526.SM.5E44U	GTEX.11NSD.0326.SM.5A5LS	GTEX.QV44.0926.SM.2S1RH	GTEX.13OW5.0726.SM.5KLZK	GTEX.P4QR.1026.SM.2I5GP	GTEX.ZTTD.1126.SM.51MRP	GTEX.V1D1.0826.SM.3P5ZA	GTEX.YB5E.0726.SM.4VDSH	GTEX.139YR.0926.SM.5LZYB	GTEX.ZAB4.0626.SM.5CVN3	GTEX.139T6.0426.SM.5IJEM	GTEX.ZAB5.0626.SM.5PNVB	GTEX.P78B.0926.SM.2I5FA	GTEX.PWOO.0726.SM.2I3EB	GTEX.WH7G.0726.SM.3NMBM	GTEX.Y8E4.0526.SM.4V6GC	GTEX.WVJS.0826.SM.4MVNR	GTEX.131XE.0726.SM.5HL9K	GTEX.11P81.0226.SM.5HL5M	GTEX.146FH.1226.SM.5NQB6	GTEX.XBED.0826.SM.47JYC	GTEX.SUCS.0626.SM.32PM5	GTEX.13OW8.1726.SM.5L3GO	GTEX.14A6H.0526.SM.5NQAZ	TCGA.77.8007.11A.01R.2187.07
SMAD6	114.36	194.36	21.94	63.89	72.52	29.06	105.15	102.25	49.91	20.71	35.76	41.22	40.93	35.5	130.6	173.85	45.85	52.08	34.26	69.03	47.17	199.85	34.26	241.19	57.89	69.03	75.64	98.73	53.19	25.35	198.47	150.17	23.42	128.79	27.84	55.89	143.01	96.01	99.43	158.79	299.25	223.41	214.27	180.02	163.28	529.06	82.29	305.55	651.58	2224.63	1259.69	1331.57	1757.34	536.45	1059.11	921.88	532.74	633.73	1259.69	571.05	607.87	753.83	2090.03	1447.15	486.75	1697.45	1709.26	1044.52	3665.02	1519.15	3235.01	511.0	954.43	332.14	1628.26	403.5
SOX18	53.19	753.83	31.9	99.43	470.14	66.18	118.43	202.66	157.68	30.56	146.03	119.26	211.31	162.14	237.86	183.82	279.14	132.44	176.29	169.07	234.57	47.17	113.56	105.89	185.11	128.79	201.25	105.15	183.82	56.68	124.37	144.01	72.01	447.82	29.06	82.29	130.6	40.36	83.45	81.71	105.89	50.27	102.97	728.11	281.09	656.11	220.32	281.09	379.04	796.86	336.79	808.0	1015.93	256.78	224.97	287.01	389.72	363.56	1225.22	412.0	343.89	500.46	1191.69	563.18	120.94	753.83	988.12	226.54	1015.93	642.59	1781.89	392.44	314.17	108.14	665.29	591.22
SP140	135.24	239.52	30.34	47.84	83.45	74.06	94.67	79.45	64.8	135.24	71.5	12.74	96.68	29.27	88.88	27.44	68.07	133.36	14.35	150.17	32.13	27.64	74.58	21.32	33.78	13.42	35.76	35.5	24.28	32.13	27.05	15.91	27.64	234.57	46.18	59.13	18.97	62.12	45.53	24.63	40.07	15.56	5.77	316.37	122.64	139.07	40.64	202.66	246.28	258.57	74.58	96.01	167.9	183.82	201.25	64.34	346.29	316.37	131.51	123.5	624.99	76.17	197.09	173.85	211.31	107.38	111.21	291.04	167.9	138.1	156.59	148.09	145.02	753.83	242.88	190.34
SSTR4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.41	0.0	0.0	1.91	4.94	0.0	1.87	5.41	0.0	1.79	0.0	2.12	0.0	3.86	0.0	0.0	3.63	2.23	2.68	0.0	0.0	3.14	1.79	3.14	4.03	4.35	2.16	0.0	1.97	4.62	1.2
SYNM	60.39	157.68	63.0	59.97	42.41	13.83	193.01	61.25	42.11	88.26	64.8	55.89	34.75	125.24	48.87	11.55	33.3	53.57	166.73	40.07	162.14	98.04	98.73	96.01	170.25	74.06	64.8	65.26	57.49	134.3	18.56	19.39	127.89	88.26	18.56	24.28	22.92	24.46	29.7	22.1	109.66	50.98	16.88	111.99	146.03	162.14	91.41	91.41	166.73	1044.52	217.27	305.55	316.37	100.83	497.0	825.0	185.11	363.56	373.81	108.9	204.07	190.34	480.04	327.56	45.85	209.84	269.6	258.57	559.28	175.07	536.45	152.28	91.41	142.01	283.05	119.26
SYNPO	368.65	1832.01	138.1	748.61	1369.04	258.57	249.73	896.64	802.41	305.55	559.28	551.56	291.04	595.34	325.29	490.14	679.29	708.18	1183.45	336.79	941.27	309.83	529.06	220.32	698.41	293.07	660.68	463.65	819.3	323.03	267.73	633.73	420.68	890.44	480.04	633.73	426.57	629.35	1295.13	1359.57	346.29	1487.87	1159.07	1066.48	1268.46	1242.34	406.31	748.61	1111.82	7695.57	1651.0	3060.45	2303.12	1151.06	7642.41	2303.12	1359.57	1697.45	1059.11	733.19	1119.56	2400.97	3235.01	1583.71	902.89	1111.82	1896.65	2240.11	2047.0	1250.98	4639.29	463.65	1119.56	629.35	2032.85	1417.35
SYNPO2L	0.38	2.94	0.0	0.0	0.38	0.38	1.36	0.0	2.23	0.0	0.6	0.66	0.0	3.06	0.65	0.0	0.0	1.48	0.0	0.0	1.1	0.0	0.0	0.58	0.0	0.0	0.62	0.0	0.0	0.0	0.57	0.0	0.0	1.04	0.0	1.53	0.0	0.18	0.62	0.16	3.72	0.55	0.16	1.43	1.27	1.28	0.0	0.32	2.2	35.0	5.87	5.68	24.46	7.11	45.85	6.36	5.5	12.09	11.04	1.99	13.93	24.46	6.41	33.06	3.17	5.96	9.56	21.32	15.45	4.7	8.99	7.28	7.69	6.41	8.32	2.97
SYT15	10.24	43.02	13.83	16.15	37.05	12.83	9.41	8.25	13.83	14.35	7.82	5.28	7.0	10.31	63.89	134.3	8.0	6.21	8.71	14.03	10.16	176.29	12.74	122.64	13.72	3.99	14.35	39.5	139.07	0.95	38.95	67.59	10.55	45.53	5.59	1.23	77.79	4.1	10.08	10.88	12.27	50.98	24.63	281.09	579.04	518.15	17.13	409.15	417.77	264.03	555.41	642.59	3690.52	220.32	161.02	403.5	400.71	237.86	1242.34	543.96	320.8	603.67	1225.22	1023.0	318.57	651.58	1119.56	389.72	612.11	1151.06	579.04	1561.89	1832.01	567.1	400.71	346.29
TBC1D2	1001.93	1030.12	400.71	775.05	1183.45	1159.07	647.07	201.25	127.0	232.94	162.14	256.78	131.51	155.5	246.28	185.11	120.1	376.41	277.2	131.51	336.79	366.09	173.85	198.47	214.27	802.41	198.47	244.57	52.08	65.72	139.07	208.38	237.86	551.56	132.44	94.67	336.79	124.37	206.94	161.02	1806.78	289.02	307.69	684.02	1268.46	1923.14	249.73	1322.37	1127.35	1030.12	2148.82	1427.22	2104.58	2855.44	1104.13	1369.04	2209.26	1519.15	1963.57	5751.61	1059.11	1794.29	1991.0	2367.9	1540.37	2133.97	988.12	941.27	723.08	2591.27	1023.0	2090.03	2468.49	703.28	3018.3	1127.35
TBX21	30.56	40.36	18.7	12.27	25.54	29.48	29.7	19.97	9.93	6.41	21.63	11.82	29.7	6.89	31.45	14.14	19.39	37.32	2.36	29.06	4.31	3.76	3.38	8.92	19.97	9.2	13.83	14.45	9.78	2.34	7.06	5.87	5.92	56.28	14.45	25.54	14.03	10.88	27.64	11.21	10.31	11.3	10.24	84.63	12.0	50.98	9.63	40.93	32.59	141.02	19.39	19.97	115.16	29.06	68.55	2.36	46.84	116.78	26.28	49.56	80.57	19.68	127.0	33.3	18.84	46.18	92.7	128.79	62.56	68.55	92.05	10.0	66.65	135.24	38.67	50.98
TBX4	0.37	0.84	2.32	0.91	0.37	0.37	0.34	0.66	0.0	0.0	0.0	0.0	3.82	0.0	19.53	3.38	2.43	0.58	0.56	2.29	0.0	2.51	0.0	23.76	7.06	0.0	0.0	532.74	5.06	0.0	327.56	2.18	57.89	5.87	0.0	0.0	0.39	0.0	0.0	0.0	18.43	0.0	0.0	189.02	341.51	339.14	16.39	285.03	232.94	1991.0	153.34	412.0	473.41	127.0	1605.83	525.39	450.94	346.29	269.6	82.29	441.64	361.04	921.88	633.73	48.52	147.06	406.31	497.0	2209.26	457.25	1242.34	204.07	201.25	108.9	941.27	397.93
TBXA2R	15.34	125.24	7.94	28.45	99.43	13.12	31.45	53.19	53.95	9.34	41.22	22.1	22.92	18.97	37.32	28.24	43.02	32.82	17.51	12.09	61.25	10.63	28.45	18.56	52.45	28.45	38.67	19.11	30.56	10.71	33.54	22.1	8.0	76.17	43.94	104.42	141.02	82.29	41.22	70.51	144.01	156.59	77.79	77.79	30.56	57.08	42.71	66.65	42.41	128.79	89.51	93.35	78.89	67.12	92.05	25.17	59.97	173.85	81.14	73.54	82.29	70.01	94.67	81.71	37.85	61.68	81.71	69.52	135.24	76.17	155.5	64.34	21.47	29.06	99.43	80.57
THSD1	24.81	115.16	6.67	12.83	26.67	14.89	20.41	57.08	96.68	12.93	42.71	29.48	14.14	64.34	532.74	39.22	72.01	36.53	19.39	16.39	62.12	22.59	18.03	51.71	97.36	23.42	86.43	109.66	113.56	10.08	323.03	234.57	76.17	79.45	124.37	153.34	49.91	18.7	87.03	19.97	22.26	28.04	26.28	115.16	118.43	299.25	53.19	172.65	135.24	500.46	133.36	177.53	470.14	144.01	87.65	108.14	241.19	511.0	312.0	127.0	185.11	165.57	785.88	529.06	64.34	323.03	463.65	199.85	796.86	368.65	563.18	161.02	236.21	194.36	414.87	195.72
TICAM2	93.35	120.1	32.59	13.72	40.07	48.52	71.5	54.72	55.89	45.53	23.76	27.84	34.26	70.01	72.52	44.25	74.58	41.81	49.56	38.4	20.86	9.93	1.5	32.36	67.12	12.27	8.65	19.25	19.68	42.71	70.51	56.68	59.97	108.9	67.12	12.36	27.05	20.56	73.03	38.12	22.26	40.07	34.51	113.56	81.14	77.25	31.22	92.05	84.63	121.79	134.3	111.99	106.63	307.69	137.14	44.25	143.01	152.28	90.77	57.08	129.69	106.63	146.03	154.42	87.65	100.13	128.79	153.34	172.65	108.9	156.59	98.73	94.01	51.35	100.83	116.78
TIE1	113.56	624.99	51.35	80.01	384.34	109.66	76.71	281.09	417.77	45.21	242.88	132.44	91.41	204.07	181.28	197.09	157.68	206.94	199.85	98.04	185.11	121.79	178.77	69.03	384.34	178.77	267.73	164.42	171.45	29.48	158.79	234.57	51.35	575.03	40.64	47.5	223.41	87.03	102.97	156.59	186.4	277.2	110.43	1030.12	563.18	791.35	232.94	559.28	476.71	1769.57	616.37	638.15	813.63	438.59	1583.71	1096.5	1059.11	2627.46	1313.23	490.14	1167.14	1127.35	1397.83	1225.22	323.03	624.99	934.76	1199.98	1331.57	1143.1	1794.29	595.34	316.37	703.28	1397.83	733.19
TIFAB	23.76	19.25	2.68	6.26	11.21	10.47	3.66	9.85	1.51	1.0	9.56	0.38	9.06	1.07	13.03	3.86	2.53	16.88	0.0	22.43	1.39	1.35	1.01	2.43	4.66	0.43	3.35	0.96	1.46	1.79	1.23	1.38	1.77	34.51	0.0	1.16	1.03	0.0	0.0	0.0	0.0	5.5	0.0	10.39	1.35	16.39	0.39	13.12	1.91	10.31	5.06	2.58	27.05	4.06	8.92	0.0	40.64	65.72	4.06	6.26	4.43	1.75	16.75	10.71	5.36	6.01	43.32	8.99	16.51	12.36	7.06	3.26	3.41	2.73	10.24	14.35
TLR9	1.89	5.11	1.99	0.0	3.0	3.76	0.0	6.62	0.0	10.96	2.71	4.1	0.0	6.57	2.94	8.58	25.54	4.62	0.0	4.78	5.41	0.0	0.0	0.0	9.13	3.44	10.47	0.0	2.89	4.1	1.19	8.38	0.0	4.13	2.25	0.39	0.0	1.2	5.06	0.95	0.0	0.82	4.03	13.83	7.75	11.13	6.89	10.0	6.41	10.39	7.75	2.89	15.45	5.36	16.27	10.24	27.05	15.68	8.99	15.34	0.0	7.11	22.1	12.64	13.52	5.41	12.64	26.67	26.1	8.25	25.91	1.53	17.77	4.58	8.85	0.0
TMEM173	503.95	1447.15	237.86	444.72	1001.93	476.71	583.07	447.82	450.94	119.26	435.55	170.25	229.72	265.87	285.03	74.58	291.04	511.0	58.3	258.57	289.02	110.43	223.41	77.79	289.02	113.56	325.29	102.25	130.6	59.97	166.73	205.5	65.72	1023.0	172.65	239.52	356.05	148.09	226.54	134.3	348.71	279.14	182.55	1883.54	2367.9	2434.5	476.71	2090.03	3742.05	4419.52	2739.08	2351.53	2796.65	981.29	1991.0	1225.22	1073.91	9279.58	2271.4	1407.55	2835.7	2104.58	3349.13	2240.11	1721.16	1883.54	3280.18	2627.46	3614.55	2537.92	4639.29	1561.89	2664.15	1313.23	2720.15	2627.46
TMEM50B	878.17	571.05	547.75	483.38	343.89	525.39	703.28	559.28	547.75	764.36	563.18	234.57	660.68	595.34	346.29	480.04	423.61	563.18	555.41	500.46	361.04	334.46	267.73	518.15	1191.69	371.22	438.59	555.41	228.13	361.04	463.65	718.08	470.14	819.3	878.17	236.21	371.22	351.14	503.95	463.65	361.04	395.18	470.14	902.89	1037.29	1159.07	629.35	1259.69	1397.83	753.83	848.22	1561.89	1111.82	620.67	1340.84	909.17	679.29	607.87	896.64	540.19	599.49	1233.75	941.27	1806.78	1259.69	836.53	1437.15	1369.04	2758.13	525.39	941.27	1151.06	1733.13	1936.53	1175.27	1023.0
TSHZ3	19.97	84.63	8.19	15.11	37.59	17.38	17.9	22.1	22.75	10.0	15.0	6.31	11.73	17.25	12.55	3.89	8.32	28.86	2.66	13.52	13.83	4.54	8.19	3.47	26.67	7.22	11.73	7.75	10.08	3.29	10.47	10.0	3.23	49.21	7.34	9.78	14.89	14.56	9.27	9.85	33.54	14.35	9.7	212.78	94.67	77.79	23.08	59.13	45.85	120.1	43.32	52.08	37.05	119.26	146.03	122.64	112.77	94.67	28.24	42.11	175.07	58.3	161.02	29.06	60.39	29.91	40.36	119.26	129.69	59.97	176.29	14.14	26.1	56.28	116.78	93.35
UBLCP1	356.05	373.81	202.66	215.77	62.56	127.89	118.43	493.56	215.77	348.71	366.09	141.02	295.11	285.03	236.21	265.87	323.03	429.54	224.97	341.51	314.17	327.56	209.84	277.2	511.0	191.67	273.37	289.02	470.14	389.72	361.04	493.56	223.41	384.34	212.78	297.17	341.51	167.9	214.27	144.01	356.05	162.14	152.28	457.25	669.92	679.29	426.57	808.0	642.59	669.92	688.78	769.69	620.67	713.11	470.14	521.76	1015.93	629.35	842.36	607.87	555.41	638.15	497.0	713.11	463.65	934.76	785.88	426.57	693.58	674.59	551.56	842.36	660.68	540.19	651.58	866.07
UNC45B	0.72	4.54	1.14	0.44	1.45	0.36	0.66	0.53	0.0	0.0	0.44	0.99	0.0	0.47	0.96	1.07	0.43	0.87	0.0	0.41	0.47	0.0	0.45	0.0	0.47	0.0	0.46	0.43	0.4	0.0	0.82	0.46	0.0	0.87	0.0	1.14	0.26	1.73	1.13	0.0	1.01	0.71	0.0	5.28	3.76	2.94	0.35	5.77	8.78	43.02	15.0	35.5	21.94	3.53	22.75	27.64	21.47	28.65	8.19	3.14	7.88	12.0	29.27	20.86	4.78	14.78	10.08	24.11	12.09	13.93	29.91	2.34	9.06	5.5	2.84	6.78
VWC2	0.36	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.36	0.99	0.32	0.0	0.0	1.69	9.34	1.85	1.36	0.89	3.32	9.06	0.42	4.74	7.4	2.27	0.79	0.92	0.0	10.39	9.48	0.93	0.88	10.24	5.54	2.2	3.56	2.16	1.28	7.88	0.96	2.14	3.99
XAF1	366.09	426.57	26.86	27.64	16.15	57.89	81.14	1250.98	429.54	353.59	279.14	226.54	336.79	521.76	423.61	420.68	353.59	1096.5	444.72	358.54	293.07	226.54	267.73	215.77	967.76	221.86	363.56	361.04	279.14	61.68	155.5	1350.18	183.82	525.39	1015.93	376.41	417.77	339.14	2119.22	536.45	277.2	723.08	493.56	679.29	967.76	1508.65	126.12	629.35	361.04	1001.93	318.57	406.31	1437.15	1651.0	595.34	543.96	830.75	3060.45	547.75	616.37	860.08	438.59	3901.01	2796.65	591.22	483.38	1259.69	2796.65	1844.76	1295.13	1832.01	660.68	507.46	348.71	3794.3	698.41
ZBED2	8.99	10.24	1.91	1.33	2.53	8.99	12.18	10.88	8.78	1.91	12.0	1.33	12.36	1.28	30.78	1.45	2.86	39.79	0.0	18.84	2.01	1.93	0.87	5.54	2.76	1.06	0.88	0.0	3.53	0.97	0.0	1.25	1.51	21.47	0.0	1.75	2.78	0.0	0.52	0.0	2.73	2.39	0.0	56.28	104.42	172.65	2.92	27.25	69.52	1832.01	395.18	255.0	525.39	81.71	289.02	38.67	155.5	170.25	172.65	226.54	264.03	507.46	543.96	193.01	271.48	759.08	231.32	1259.69	55.89	866.07	591.22	409.15	215.77	41.22	473.41	232.94
ZEB1	73.54	162.14	47.17	48.87	37.59	40.93	22.26	119.26	151.22	90.14	92.7	45.53	59.13	100.83	120.94	66.65	59.13	82.29	52.82	167.9	79.45	115.97	72.52	73.54	171.45	96.01	55.49	251.48	116.78	32.13	166.73	123.5	60.39	176.29	71.5	122.64	105.15	66.65	79.45	64.34	139.07	85.82	84.63	267.73	193.01	218.79	82.29	208.38	185.11	854.13	246.28	253.23	299.25	177.53	656.11	665.29	241.19	214.27	139.07	170.25	563.18	147.06	629.35	267.73	109.66	269.6	295.11	249.73	836.53	260.38	547.75	267.73	185.11	376.41	297.17	224.97
ZEB2	854.13	1023.0	152.28	248.0	208.38	435.55	414.87	199.85	124.37	98.73	124.37	54.72	96.01	49.91	113.56	34.02	93.35	251.48	38.4	211.31	107.38	29.27	53.57	29.27	172.65	49.56	55.89	68.55	65.26	29.48	48.52	91.41	32.59	507.46	105.89	146.03	158.79	55.1	173.85	59.13	171.45	156.59	172.65	934.76	909.17	1277.29	140.04	902.89	842.36	1651.0	1447.15	967.76	674.59	1832.01	1639.59	842.36	1529.73	1378.57	723.08	934.76	1437.15	1191.69	2047.0	954.43	518.15	607.87	928.3	1127.35	2287.2	1605.83	1757.34	529.06	473.41	961.07	1447.15	1059.11
ZNF100	29.48	34.02	11.13	12.55	3.69	15.68	9.7	11.13	11.73	8.71	12.64	9.7	25.54	9.34	17.0	24.81	7.82	24.81	16.51	23.25	14.14	20.56	21.63	13.12	36.53	14.03	5.77	17.0	36.53	9.56	9.27	28.24	11.82	32.82	6.01	5.63	37.32	16.39	10.31	13.62	29.27	8.38	27.84	43.02	63.45	73.54	47.84	68.55	61.68	87.65	44.25	84.63	143.01	110.43	85.82	52.08	123.5	145.02	34.02	58.71	117.6	142.01	43.63	75.64	20.26	114.36	67.12	26.67	133.36	109.66	75.11	140.04	66.18	117.6	124.37	72.52
ZNF101	159.9	226.54	103.69	110.43	91.41	127.89	123.5	156.59	126.12	55.1	137.14	57.49	199.85	109.66	157.68	121.79	109.66	193.01	102.25	119.26	85.22	128.79	60.39	95.34	143.01	51.71	107.38	95.34	277.2	100.83	77.25	111.99	109.66	226.54	84.63	65.26	83.45	96.68	60.82	49.91	102.97	40.07	57.08	197.09	133.36	220.32	118.43	236.21	154.42	256.78	173.85	189.02	195.72	295.11	223.41	129.69	223.41	295.11	223.41	126.12	231.32	175.07	269.6	215.77	132.44	212.78	193.01	176.29	303.44	226.54	248.0	197.09	193.01	178.77	242.88	197.09
ZNF331	603.67	251.48	66.18	71.5	73.54	131.51	72.52	80.01	166.73	185.11	78.34	23.42	115.97	17.64	204.07	387.02	43.63	215.77	11.13	281.09	82.29	703.28	111.21	507.46	316.37	74.06	26.28	409.15	211.31	50.27	470.14	25.17	153.34	132.44	103.69	172.65	46.5	90.77	100.13	54.33	497.0	57.89	21.63	1225.22	1340.84	571.05	366.09	454.09	571.05	518.15	361.04	454.09	753.83	358.54	1498.22	791.35	518.15	476.71	764.36	723.08	1259.69	563.18	743.43	511.0	1457.23	441.64	718.08	1397.83	638.15	878.17	363.56	417.77	435.55	3639.7	1259.69	954.43
ZNF532	166.73	334.46	150.17	119.26	85.22	214.27	148.09	98.73	91.41	108.14	113.56	37.85	131.51	77.25	52.45	28.86	47.5	118.43	78.34	177.53	183.82	34.02	63.45	124.37	157.68	25.91	46.5	50.27	84.04	58.3	44.57	75.64	94.67	165.57	11.91	38.12	34.02	15.68	22.26	13.52	117.6	37.59	15.68	703.28	435.55	373.81	356.05	173.85	175.07	1208.34	356.05	454.09	305.55	291.04	361.04	1001.93	356.05	480.04	138.1	323.03	738.29	339.14	551.56	275.28	277.2	185.11	507.46	312.0	518.15	518.15	612.11	764.36	305.55	361.04	400.71	297.17
ZNF641	119.26	169.07	80.01	108.9	125.24	153.34	135.24	121.79	70.51	94.01	62.12	88.88	78.89	91.41	35.25	100.83	63.45	132.44	109.66	181.28	73.03	79.45	108.14	87.03	173.85	68.55	68.55	119.26	74.58	59.97	47.84	78.34	102.97	125.24	60.82	94.01	187.71	100.13	40.93	85.22	147.06	137.14	85.22	185.11	215.77	273.37	177.53	121.79	121.79	336.79	332.14	297.17	406.31	211.31	214.27	195.72	211.31	450.94	187.71	256.78	217.27	329.84	256.78	267.73	108.14	237.86	241.19	167.9	237.86	312.0	246.28	258.57	228.13	108.14	275.28	173.85
