	TCGA.BH.A1EU.01A.11R.A137.07	GTEX.W5X1.2326.SM.3GIL6	GTEX.U3ZN.1626.SM.4DXTZ	TCGA.BP.5178.01A.01R.1426.07	TCGA.A3.A8OV.01A.11R.A37O.07	TCGA.CW.6088.01A.11R.1672.07	TCGA.B0.5812.01A.11R.1672.07	TCGA.BP.5186.01A.01R.1426.07	TCGA.B0.4712.01A.01R.1503.07	TCGA.B0.5694.01A.11R.1541.07	TCGA.B0.5108.01A.01R.1420.07	TCGA.BP.4330.01A.01R.1289.07	TCGA.CZ.4857.01A.01R.1305.07	TCGA.CZ.5987.01A.11R.1672.07	TCGA.B2.A4SR.01A.11R.A266.07	TCGA.B0.4818.01A.01R.1503.07	TCGA.A3.3378.01A.02R.1325.07	TCGA.CZ.5458.01A.01R.1503.07	TCGA.BP.5174.01A.01R.1426.07	TCGA.A3.3347.01A.02R.1325.07	TCGA.B0.4690.01A.01R.1277.07	TCGA.BP.5199.01A.01R.1426.07	TCGA.B0.4844.01A.01R.1277.07	TCGA.BP.4161.01A.02R.1325.07	TCGA.B8.4154.01A.01R.1188.07	TCGA.BP.4169.01A.02R.1289.07	TCGA.B0.4827.01A.02R.1420.07	TCGA.CZ.5459.01A.01R.1503.07	TCGA.CZ.5988.01A.11R.1672.07	TCGA.BP.5180.01A.01R.1426.07	TCGA.CJ.5675.01A.11R.1541.07	TCGA.CJ.5679.01A.11R.1541.07	TCGA.MW.A4EC.01A.11R.A266.07	TCGA.BP.4991.01A.01R.1334.07	TCGA.B2.5633.01A.01R.1541.07	TCGA.CJ.4870.01A.01R.1305.07	TCGA.AK.3444.01A.02R.1325.07	TCGA.B0.5700.01A.11R.1541.07	TCGA.BP.4173.01A.02R.1289.07	TCGA.CJ.5677.01A.11R.1541.07	TCGA.3Z.A93Z.01A.11R.A37O.07	TCGA.B8.A7U6.01A.12R.A37O.07	TCGA.B8.4143.01A.01R.1188.07	TCGA.A3.A8OU.01A.11R.A37O.07	TCGA.CJ.6030.01A.11R.1672.07	TCGA.AK.3434.01A.02R.1277.07	TCGA.A3.3387.01A.01R.1541.07	TCGA.CJ.4892.01A.01R.1305.07	TCGA.A3.A8OW.01A.11R.A37O.07	TCGA.AK.3461.01A.02R.1277.07	TCGA.CZ.5460.01A.01R.1503.07	TCGA.BP.5184.01A.01R.1426.07	TCGA.BP.5201.01A.01R.1426.07	TCGA.BP.4327.01A.01R.1289.07	TCGA.B0.5696.01A.11R.1541.07	TCGA.B0.4828.01A.01R.1277.07	TCGA.B0.5110.01A.01R.1420.07	TCGA.B8.A54I.01A.21R.A33J.07	TCGA.B0.4823.01A.02R.1420.07	TCGA.A3.3376.01A.02R.1420.07	TCGA.AK.3428.01A.02R.1277.07	TCGA.B0.5703.01A.11R.1541.07	TCGA.BP.4354.01A.02R.1289.07	TCGA.B8.A54F.01A.11R.A266.07	TCGA.BP.4759.01A.01R.1289.07	TCGA.CZ.5468.01A.01R.1503.07	TCGA.DV.5566.01A.01R.1541.07	TCGA.B0.5113.01A.01R.1420.07	TCGA.BP.4353.01A.02R.1289.07	TCGA.BP.4349.01A.01R.1289.07	TCGA.BP.4162.01A.02R.1325.07	TCGA.B0.5092.01A.01R.1420.07	TCGA.BP.4798.01A.01R.1305.07	TCGA.BP.5190.01A.01R.1426.07	TCGA.B0.5115.01A.01R.1420.07	TCGA.BP.5007.01A.01R.1334.07	TCGA.AK.3455.01A.01R.0864.07	TCGA.B0.4838.01A.01R.1305.07	TCGA.BP.4347.01A.01R.1289.07	TCGA.A3.A6NI.01A.11R.A33J.07	TCGA.DV.5568.01A.01R.1541.07	TCGA.B0.4703.01A.01R.1277.07	TCGA.A3.3367.01A.02R.1420.07	TCGA.CJ.4872.01A.01R.1305.07	TCGA.B8.5552.01B.11R.1672.07	TCGA.CJ.6033.01A.11R.1672.07	TCGA.BP.4163.01A.02R.1325.07	TCGA.A3.3351.01A.02R.1325.07	TCGA.AK.3447.01A.01R.1766.07	TCGA.BP.5181.01A.01R.1426.07	TCGA.B0.4691.01A.01R.1277.07	TCGA.B0.5116.01A.02R.1420.07	TCGA.B8.4151.01A.01R.1188.07	TCGA.BP.4165.01A.02R.1289.07	TCGA.BP.4351.01A.01R.1289.07	TCGA.CJ.4887.01A.01R.1305.07	TCGA.B0.4714.01A.01R.1277.07	TCGA.CJ.5683.01A.11R.1541.07	TCGA.BP.5183.01A.01R.1426.07	TCGA.BP.4789.01A.01R.1305.07	TCGA.B0.5095.01A.01R.1420.07	TCGA.CJ.4639.01A.02R.1325.07	TCGA.CZ.5451.01A.01R.1503.07	TCGA.BP.4985.01A.01R.1334.07	TCGA.BP.4998.01A.01R.1334.07	TCGA.BP.4960.01A.01R.1334.07	TCGA.CJ.4869.01A.02R.1426.07	TCGA.CZ.4856.01A.02R.1426.07	TCGA.BP.5176.01A.01R.1426.07	TCGA.MM.A563.01A.11R.A266.07	TCGA.A3.3346.01A.01R.1766.07	TCGA.CZ.5466.01A.01R.1503.07	TCGA.B0.5692.01A.11R.1541.07	TCGA.B0.4706.01A.01R.1503.07	TCGA.BP.5192.01A.01R.1426.07	TCGA.CJ.4923.01A.01R.1426.07	TCGA.AK.3436.01A.02R.1325.07	TCGA.A3.3316.01A.01R.0864.07	TCGA.B0.4810.01A.01R.1503.07	TCGA.CJ.4912.01A.01R.1426.07	TCGA.B0.4707.01A.01R.1277.07	TCGA.BP.5196.01A.01R.1426.07	TCGA.BQ.7058.01A.11R.1965.07	TCGA.Y8.A8S1.01A.11R.A37K.07	TCGA.P4.AAVO.01A.11R.A42S.07	TCGA.G3.A7M5.01A.11R.A33R.07	TCGA.DD.A3A8.11A.11R.A22L.07
DESI2	563.18	981.29	289.02	265.87	136.19	412.0	540.19	358.54	435.55	271.48	409.15	312.0	414.87	376.41	400.71	351.14	435.55	314.17	232.94	507.46	587.13	336.79	265.87	497.0	264.03	500.46	366.09	231.32	567.1	309.83	483.38	514.56	273.37	473.41	316.37	351.14	327.56	199.85	336.79	429.54	223.41	287.01	312.0	271.48	423.61	346.29	403.5	291.04	258.57	353.59	289.02	346.29	305.55	289.02	265.87	279.14	457.25	194.36	373.81	438.59	366.09	217.27	698.41	358.54	279.14	400.71	309.83	356.05	412.0	327.56	361.04	316.37	400.71	241.19	387.02	293.07	363.56	444.72	329.84	241.19	316.37	490.14	351.14	426.57	420.68	368.65	366.09	312.0	145.02	291.04	279.14	406.31	281.09	267.73	249.73	271.48	269.6	309.83	253.23	460.44	536.45	320.8	262.2	301.33	373.81	287.01	273.37	356.05	314.17	334.46	400.71	249.73	297.17	325.29	264.03	438.59	307.69	669.92	361.04	221.86	214.27	486.75	159.9	141.02	177.53	142.01	74.06
DGKH	76.71	102.25	27.25	19.97	31.45	153.34	105.89	100.13	29.27	47.84	91.41	120.1	67.12	33.3	149.12	76.17	69.52	70.01	36.01	60.39	57.89	127.89	29.27	78.34	26.67	92.05	32.36	43.63	84.04	26.67	54.72	14.89	65.26	191.67	127.89	44.57	64.34	27.05	134.3	27.25	63.45	76.17	108.9	44.89	40.07	80.57	89.51	78.89	115.97	159.9	48.52	62.12	60.82	60.82	30.56	55.89	152.28	30.78	57.49	189.02	32.82	52.82	56.68	64.34	48.52	21.94	31.45	111.21	142.01	127.0	115.97	91.41	90.77	40.36	122.64	113.56	52.82	149.12	150.17	38.95	60.82	109.66	90.14	85.82	134.3	43.63	69.03	156.59	3.96	41.52	36.79	53.19	30.78	64.8	127.89	63.0	128.79	48.18	58.3	164.42	134.3	127.89	74.06	45.53	107.38	65.72	37.59	58.71	29.7	55.89	3.96	31.45	45.53	95.34	62.56	72.01	52.08	88.26	56.68	99.43	59.55	37.85	9.7	11.55	37.32	2.66	1.99
DHX33	187.71	309.83	115.16	88.26	99.43	170.25	133.36	142.01	79.45	127.0	165.57	154.42	197.09	111.99	152.28	133.36	189.02	135.24	97.36	202.66	197.09	123.5	98.73	148.09	63.0	152.28	110.43	136.19	148.09	96.01	85.22	129.69	120.1	182.55	191.67	98.73	126.12	82.87	137.14	67.59	88.88	113.56	124.37	115.16	146.03	90.77	138.1	129.69	123.5	183.82	101.54	108.9	103.69	119.26	83.45	110.43	171.45	74.58	115.16	186.4	92.05	171.45	169.07	141.02	78.34	88.88	120.94	161.02	166.73	149.12	140.04	108.14	117.6	92.7	129.69	127.89	88.88	154.42	175.07	132.44	103.69	144.01	144.01	121.79	159.9	119.26	135.24	150.17	8.19	123.5	89.51	155.5	77.25	92.05	124.37	92.7	120.1	122.64	137.14	149.12	170.25	135.24	112.77	128.79	191.67	127.0	94.01	101.54	108.14	107.38	61.68	129.69	75.11	108.14	122.64	130.6	48.18	157.68	140.04	123.5	102.97	106.63	34.75	46.5	74.58	51.71	60.82
DHX36	1175.27	1340.84	417.77	483.38	536.45	842.36	633.73	567.1	540.19	392.44	708.18	665.29	529.06	348.71	567.1	575.03	514.56	571.05	441.64	575.03	595.34	435.55	444.72	567.1	559.28	836.53	403.5	271.48	656.11	289.02	476.71	229.72	511.0	718.08	738.29	417.77	567.1	307.69	599.49	420.68	384.34	713.11	842.36	591.22	684.02	743.43	728.11	638.15	624.99	688.78	460.44	591.22	500.46	708.18	503.95	607.87	759.08	389.72	323.03	633.73	684.02	607.87	825.0	660.68	497.0	536.45	547.75	567.1	567.1	579.04	698.41	679.29	708.18	511.0	698.41	514.56	802.41	791.35	483.38	412.0	571.05	607.87	718.08	775.05	579.04	567.1	769.69	733.19	638.15	432.53	476.71	647.07	567.1	497.0	728.11	470.14	612.11	595.34	463.65	679.29	583.07	567.1	493.56	759.08	579.04	518.15	493.56	426.57	438.59	521.76	363.56	412.0	406.31	543.96	543.96	511.0	616.37	651.58	674.59	507.46	353.59	587.13	329.84	121.79	406.31	255.0	158.79
DISC1	65.72	103.69	20.71	38.67	26.1	105.15	85.22	78.89	41.22	79.45	127.89	124.37	84.63	49.56	100.83	72.52	130.6	108.14	25.72	139.07	111.21	82.87	31.0	126.12	40.07	120.94	69.52	59.55	101.54	43.63	49.21	23.76	72.01	147.06	123.5	53.57	55.49	32.82	126.12	55.89	50.63	86.43	82.29	57.49	130.6	69.52	126.12	56.28	138.1	103.69	51.71	72.52	44.89	50.63	45.21	29.7	111.99	39.5	63.89	180.02	38.95	40.36	154.42	143.01	68.55	38.12	62.56	114.36	175.07	84.04	80.57	70.01	142.01	31.22	105.15	78.89	39.22	98.73	96.68	66.65	44.89	100.83	126.12	92.05	124.37	49.21	109.66	177.53	4.31	66.65	35.76	96.01	29.7	51.35	76.17	66.18	65.26	58.71	59.13	133.36	146.03	115.97	54.72	44.25	145.02	89.51	63.89	69.52	47.5	67.59	18.29	57.89	66.18	74.58	62.12	77.25	29.7	115.97	62.56	73.54	29.27	77.79	14.67	36.53	11.3	3.44	5.15
DNAJC13	633.73	642.59	183.82	409.15	193.01	493.56	392.44	423.61	389.72	379.04	486.75	536.45	476.71	218.79	356.05	575.03	607.87	392.44	571.05	595.34	559.28	229.72	329.84	674.59	275.28	457.25	334.46	236.21	406.31	275.28	389.72	303.44	166.73	483.38	312.0	244.57	406.31	208.38	395.18	432.53	167.9	323.03	507.46	325.29	409.15	470.14	555.41	336.79	414.87	244.57	444.72	454.09	363.56	500.46	384.34	429.54	470.14	379.04	217.27	457.25	234.57	205.5	728.11	325.29	301.33	249.73	395.18	532.74	447.82	514.56	497.0	473.41	607.87	476.71	633.73	476.71	395.18	348.71	309.83	316.37	348.71	406.31	551.56	381.68	450.94	346.29	1135.2	532.74	93.35	387.02	253.23	551.56	293.07	406.31	368.65	511.0	480.04	435.55	400.71	470.14	579.04	551.56	224.97	246.28	435.55	435.55	339.14	329.84	444.72	320.8	223.41	389.72	309.83	403.5	532.74	450.94	376.41	559.28	414.87	423.61	356.05	457.25	392.44	166.73	381.68	96.01	87.65
DNAJC24	368.65	206.94	120.1	106.63	113.56	158.79	185.11	151.22	106.63	102.97	208.38	241.19	206.94	145.02	218.79	176.29	234.57	149.12	111.99	224.97	236.21	176.29	149.12	186.4	221.86	231.32	115.16	135.24	236.21	138.1	103.69	136.19	153.34	204.07	205.5	116.78	124.37	79.45	165.57	140.04	102.25	119.26	201.25	126.12	172.65	98.73	212.78	113.56	199.85	194.36	157.68	183.82	113.56	127.89	117.6	141.02	229.72	123.5	134.3	170.25	197.09	155.5	204.07	199.85	110.43	144.01	127.0	287.01	209.84	170.25	211.31	133.36	182.55	155.5	198.47	181.28	182.55	169.07	262.2	157.68	115.16	182.55	185.11	158.79	191.67	123.5	177.53	194.36	74.58	136.19	108.9	143.01	156.59	127.89	220.32	100.83	181.28	116.78	175.07	181.28	217.27	202.66	157.68	145.02	218.79	116.78	81.14	128.79	104.42	105.89	262.2	99.43	87.03	119.26	158.79	146.03	124.37	191.67	136.19	100.83	68.55	185.11	46.5	20.11	75.64	51.71	22.26
DOCK4	339.14	397.93	52.45	316.37	249.73	470.14	395.18	320.8	154.42	312.0	536.45	423.61	447.82	258.57	395.18	277.2	684.02	320.8	127.89	547.75	384.34	253.23	135.24	318.57	224.97	470.14	303.44	224.97	339.14	161.02	299.25	170.25	287.01	660.68	629.35	237.86	255.0	138.1	651.58	169.07	186.4	239.52	262.2	353.59	486.75	269.6	764.36	285.03	480.04	343.89	214.27	205.5	197.09	190.34	232.94	127.0	511.0	329.84	249.73	759.08	108.9	176.29	320.8	555.41	246.28	208.38	183.82	567.1	660.68	447.82	447.82	209.84	896.64	147.06	395.18	351.14	155.5	629.35	486.75	224.97	190.34	307.69	387.02	368.65	476.71	149.12	511.0	728.11	22.75	285.03	135.24	198.47	182.55	218.79	373.81	371.22	334.46	262.2	563.18	583.07	486.75	457.25	198.47	178.77	775.05	303.44	202.66	312.0	237.86	246.28	94.67	181.28	260.38	206.94	191.67	177.53	212.78	447.82	228.13	221.86	118.43	241.19	65.72	80.01	58.3	72.01	77.79
DPP8	571.05	624.99	143.01	144.01	137.14	409.15	336.79	260.38	147.06	242.88	293.07	353.59	269.6	181.28	423.61	253.23	409.15	301.33	120.94	389.72	353.59	265.87	139.07	368.65	157.68	376.41	214.27	171.45	356.05	128.79	186.4	171.45	178.77	454.09	320.8	201.25	220.32	92.7	297.17	127.0	139.07	163.28	231.32	187.71	271.48	201.25	332.14	198.47	301.33	339.14	256.78	205.5	173.85	224.97	137.14	164.42	379.04	157.68	217.27	457.25	220.32	279.14	358.54	275.28	186.4	149.12	178.77	358.54	303.44	246.28	309.83	198.47	305.55	132.44	273.37	249.73	180.02	429.54	299.25	189.02	148.09	339.14	256.78	281.09	376.41	173.85	265.87	361.04	101.54	242.88	155.5	202.66	170.25	185.11	246.28	171.45	239.52	181.28	215.77	389.72	343.89	403.5	237.86	228.13	387.02	154.42	166.73	258.57	183.82	185.11	170.25	193.01	164.42	189.02	283.05	199.85	127.0	214.27	201.25	142.01	155.5	189.02	107.38	48.52	87.03	62.12	29.7
DPYD	599.49	1794.29	190.34	273.37	140.04	264.03	299.25	323.03	429.54	187.71	595.34	450.94	287.01	148.09	297.17	256.78	466.88	381.68	71.0	579.04	521.76	327.56	55.49	343.89	165.57	429.54	244.57	279.14	412.0	138.1	299.25	199.85	147.06	253.23	341.51	218.79	314.17	113.56	698.41	267.73	191.67	144.01	256.78	228.13	392.44	262.2	376.41	301.33	285.03	318.57	195.72	309.83	232.94	105.89	149.12	173.85	289.02	265.87	341.51	497.0	204.07	176.29	785.88	366.09	138.1	339.14	138.1	293.07	381.68	194.36	476.71	205.5	638.15	90.14	275.28	343.89	400.71	299.25	323.03	218.79	139.07	579.04	329.84	409.15	511.0	307.69	214.27	518.15	32.59	175.07	181.28	165.57	104.42	124.37	147.06	256.78	212.78	185.11	180.02	323.03	217.27	480.04	189.02	334.46	480.04	172.65	211.31	325.29	144.01	325.29	447.82	271.48	186.4	170.25	267.73	194.36	118.43	279.14	271.48	75.11	74.06	112.77	61.68	96.01	23.93	236.21	329.84
EDEM3	890.44	1104.13	156.59	231.32	197.09	373.81	438.59	253.23	351.14	289.02	423.61	234.57	329.84	289.02	363.56	297.17	450.94	239.52	146.03	429.54	429.54	283.05	312.0	376.41	171.45	346.29	297.17	164.42	490.14	129.69	387.02	454.09	208.38	473.41	447.82	249.73	329.84	163.28	279.14	339.14	244.57	279.14	285.03	220.32	384.34	307.69	343.89	325.29	262.2	454.09	236.21	228.13	285.03	255.0	255.0	275.28	381.68	239.52	312.0	368.65	217.27	316.37	532.74	260.38	191.67	341.51	193.01	341.51	429.54	291.04	376.41	346.29	320.8	215.77	348.71	371.22	426.57	363.56	325.29	186.4	339.14	343.89	244.57	444.72	400.71	511.0	287.01	283.05	77.79	241.19	389.72	229.72	206.94	295.11	327.56	255.0	325.29	267.73	206.94	351.14	406.31	403.5	183.82	368.65	379.04	231.32	299.25	208.38	177.53	318.57	262.2	190.34	209.84	289.02	202.66	212.78	241.19	454.09	387.02	241.19	299.25	256.78	124.37	70.01	82.29	198.47	118.43
EEA1	387.02	743.43	287.01	111.21	61.25	231.32	191.67	120.1	191.67	109.66	186.4	175.07	289.02	205.5	166.73	99.43	336.79	119.26	44.89	309.83	334.46	117.6	115.97	178.77	63.89	189.02	197.09	108.14	265.87	87.65	102.25	242.88	67.12	204.07	226.54	75.64	88.26	38.67	120.1	119.26	56.68	85.22	107.38	86.43	166.73	110.43	293.07	89.51	102.97	170.25	136.19	100.13	88.26	82.87	103.69	104.42	182.55	80.01	166.73	189.02	133.36	138.1	273.37	201.25	58.71	172.65	94.01	305.55	297.17	81.14	194.36	100.13	105.89	59.13	138.1	104.42	105.89	208.38	110.43	105.89	139.07	208.38	194.36	167.9	201.25	108.14	224.97	176.29	55.1	134.3	145.02	151.22	57.49	59.55	114.36	81.14	81.14	92.05	142.01	169.07	195.72	187.71	93.35	159.9	169.07	124.37	111.21	97.36	51.71	101.54	106.63	96.01	98.04	120.1	98.04	108.9	102.25	189.02	107.38	98.04	78.34	144.01	49.56	16.51	38.95	35.25	17.38
EFR3A	1551.09	1639.59	165.57	571.05	312.0	555.41	775.05	624.99	902.89	536.45	759.08	660.68	543.96	660.68	669.92	575.03	928.3	579.04	341.51	785.88	660.68	551.56	575.03	780.44	532.74	723.08	327.56	476.71	603.67	409.15	543.96	332.14	384.34	813.63	896.64	529.06	607.87	251.48	819.3	698.41	343.89	412.0	395.18	536.45	591.22	571.05	738.29	536.45	583.07	738.29	571.05	603.67	486.75	332.14	412.0	620.67	759.08	483.38	684.02	785.88	579.04	718.08	1051.79	693.58	551.56	1151.06	551.56	679.29	915.51	387.02	703.28	420.68	1008.9	376.41	507.46	651.58	733.19	651.58	460.44	373.81	518.15	1208.34	679.29	708.18	785.88	708.18	559.28	684.02	285.03	500.46	536.45	738.29	476.71	289.02	384.34	500.46	432.53	417.77	567.1	748.61	620.67	693.58	518.15	703.28	934.76	366.09	591.22	748.61	466.88	480.04	536.45	1051.79	540.19	575.03	480.04	551.56	616.37	915.51	559.28	591.22	825.0	518.15	356.05	169.07	142.01	220.32	220.32
EIF2AK2	780.44	915.51	941.27	166.73	156.59	466.88	389.72	260.38	231.32	212.78	248.0	289.02	305.55	258.57	297.17	166.73	387.02	248.0	161.02	351.14	480.04	264.03	303.44	327.56	180.02	420.68	249.73	228.13	486.75	186.4	237.86	165.57	161.02	490.14	441.64	158.79	256.78	139.07	343.89	156.59	167.9	187.71	417.77	185.11	291.04	229.72	325.29	182.55	251.48	277.2	260.38	209.84	211.31	193.01	191.67	158.79	438.59	166.73	220.32	400.71	269.6	249.73	457.25	202.66	248.0	285.03	177.53	397.93	395.18	234.57	387.02	237.86	392.44	169.07	295.11	226.54	255.0	334.46	353.59	187.71	242.88	348.71	353.59	305.55	395.18	255.0	287.01	454.09	55.1	316.37	154.42	242.88	255.0	180.02	189.02	293.07	212.78	267.73	256.78	353.59	329.84	368.65	214.27	463.65	320.8	142.01	183.82	201.25	181.28	182.55	403.5	195.72	228.13	237.86	199.85	251.48	175.07	318.57	211.31	115.97	194.36	239.52	77.79	44.25	109.66	80.01	50.63
EPB41L2	1551.09	5831.91	45.85	339.14	454.09	1806.78	1295.13	1143.1	559.28	567.1	1191.69	1250.98	1388.16	688.78	1225.22	848.22	1757.34	791.35	607.87	1896.65	1733.13	995.0	255.0	738.29	409.15	1498.22	775.05	599.49	1104.13	323.03	612.11	325.29	638.15	1447.15	1806.78	555.41	514.56	389.72	1896.65	825.0	532.74	854.13	647.07	1008.9	2004.85	543.96	1551.09	543.96	830.75	1023.0	336.79	954.43	638.15	579.04	599.49	293.07	1242.34	616.37	974.5	2148.82	571.05	532.74	2148.82	1529.73	529.06	647.07	571.05	1030.12	1519.15	1015.93	1088.92	647.07	2664.15	633.73	967.76	780.44	450.94	1313.23	1051.79	1259.69	543.96	1819.35	921.88	743.43	1721.16	575.03	1417.35	1685.71	25.54	743.43	525.39	651.58	348.71	518.15	1096.5	503.95	599.49	674.59	1331.57	1369.04	1519.15	915.51	830.75	559.28	1745.2	607.87	500.46	842.36	591.22	981.29	366.09	825.0	624.99	642.59	674.59	703.28	301.33	1059.11	559.28	381.68	329.84	896.64	234.57	368.65	400.71	67.12	131.51
FAM126A	285.03	1745.2	38.4	102.25	38.67	154.42	165.57	96.68	182.55	98.04	309.83	116.78	212.78	87.03	159.9	65.72	187.71	72.01	17.13	246.28	483.38	218.79	83.45	82.87	68.55	232.94	198.47	70.01	258.57	41.52	54.72	186.4	63.45	246.28	191.67	101.54	82.87	37.85	162.14	83.45	59.97	104.42	116.78	61.25	111.21	123.5	173.85	85.82	131.51	167.9	63.0	98.73	86.43	73.54	67.12	64.8	182.55	66.18	197.09	325.29	59.55	137.14	336.79	148.09	92.05	305.55	57.08	181.28	260.38	103.69	138.1	72.01	144.01	37.59	144.01	92.7	56.68	82.29	98.04	55.89	100.13	312.0	124.37	191.67	221.86	133.36	71.0	141.02	5.82	102.97	120.94	198.47	43.94	57.08	85.22	62.56	71.0	108.14	70.51	223.41	381.68	187.71	82.29	125.24	244.57	113.56	65.72	124.37	58.3	125.24	139.07	80.57	36.27	105.15	94.67	95.34	47.84	150.17	97.36	72.52	87.03	66.65	27.44	40.36	22.43	90.77	32.59
FAM208A	1277.29	2178.83	412.0	473.41	363.56	713.11	633.73	529.06	525.39	463.65	665.29	669.92	665.29	447.82	629.35	429.54	679.29	507.46	316.37	753.83	775.05	507.46	454.09	995.0	642.59	769.69	480.04	409.15	703.28	429.54	470.14	466.88	387.02	791.35	660.68	341.51	802.41	291.04	961.07	460.44	373.81	454.09	764.36	406.31	718.08	587.13	595.34	555.41	532.74	647.07	447.82	525.39	435.55	518.15	283.05	591.22	728.11	341.51	438.59	780.44	450.94	463.65	802.41	503.95	656.11	441.64	403.5	759.08	743.43	764.36	620.67	738.29	872.1	318.57	551.56	540.19	603.67	718.08	624.99	373.81	392.44	660.68	579.04	860.08	708.18	444.72	647.07	718.08	438.59	426.57	521.76	674.59	674.59	441.64	525.39	525.39	616.37	417.77	371.22	607.87	764.36	679.29	426.57	620.67	703.28	480.04	441.64	447.82	361.04	571.05	346.29	417.77	473.41	532.74	476.71	866.07	438.59	647.07	651.58	684.02	521.76	665.29	470.14	83.45	297.17	258.57	75.11
FAM208B	878.17	866.07	154.42	211.31	242.88	679.29	348.71	303.44	189.02	307.69	368.65	336.79	412.0	314.17	426.57	318.57	543.96	283.05	127.0	514.56	454.09	346.29	291.04	371.22	177.53	397.93	384.34	246.28	336.79	189.02	299.25	236.21	246.28	389.72	591.22	201.25	232.94	161.02	373.81	309.83	185.11	389.72	417.77	279.14	353.59	397.93	587.13	275.28	329.84	490.14	309.83	206.94	363.56	229.72	201.25	371.22	507.46	287.01	255.0	409.15	297.17	463.65	579.04	429.54	152.28	275.28	220.32	493.56	518.15	325.29	400.71	336.79	480.04	183.82	305.55	277.2	361.04	616.37	339.14	275.28	258.57	432.53	361.04	353.59	457.25	258.57	351.14	500.46	139.07	283.05	346.29	221.86	277.2	151.22	529.06	279.14	339.14	291.04	366.09	371.22	373.81	395.18	253.23	289.02	332.14	249.73	265.87	228.13	143.01	343.89	162.14	234.57	281.09	339.14	226.54	305.55	242.88	343.89	353.59	414.87	332.14	217.27	136.19	34.51	88.88	96.68	37.05
FAM91A1	860.08	579.04	444.72	215.77	356.05	470.14	599.49	525.39	336.79	334.46	665.29	507.46	529.06	518.15	583.07	447.82	808.0	420.68	299.25	540.19	638.15	460.44	332.14	674.59	320.8	507.46	463.65	343.89	376.41	265.87	529.06	301.33	414.87	656.11	571.05	323.03	616.37	249.73	651.58	432.53	368.65	381.68	395.18	397.93	480.04	400.71	536.45	417.77	438.59	497.0	403.5	429.54	409.15	242.88	273.37	379.04	674.59	339.14	511.0	603.67	447.82	660.68	941.27	441.64	289.02	575.03	414.87	583.07	591.22	320.8	743.43	426.57	638.15	234.57	441.64	454.09	723.08	802.41	320.8	420.68	332.14	521.76	698.41	511.0	607.87	392.44	543.96	555.41	234.57	332.14	397.93	351.14	397.93	215.77	395.18	371.22	400.71	379.04	457.25	543.96	476.71	684.02	397.93	638.15	693.58	260.38	470.14	403.5	228.13	373.81	285.03	656.11	447.82	417.77	353.59	460.44	332.14	656.11	403.5	323.03	329.84	237.86	267.73	114.36	164.42	177.53	135.24
FAR1	872.1	1388.16	633.73	146.03	185.11	518.15	423.61	289.02	231.32	275.28	414.87	320.8	480.04	271.48	536.45	299.25	540.19	291.04	124.37	476.71	507.46	438.59	241.19	356.05	208.38	400.71	229.72	186.4	476.71	169.07	212.78	291.04	262.2	638.15	507.46	187.71	299.25	151.22	397.93	251.48	226.54	251.48	293.07	258.57	346.29	277.2	444.72	297.17	351.14	406.31	287.01	255.0	260.38	269.6	215.77	248.0	412.0	251.48	264.03	599.49	339.14	242.88	518.15	358.54	159.9	301.33	175.07	497.0	563.18	307.69	368.65	262.2	297.17	189.02	323.03	351.14	241.19	343.89	318.57	246.28	287.01	379.04	312.0	332.14	450.94	305.55	251.48	387.02	171.45	229.72	237.86	265.87	178.77	199.85	429.54	267.73	361.04	239.52	312.0	384.34	426.57	423.61	249.73	346.29	473.41	229.72	186.4	249.73	186.4	295.11	232.94	249.73	201.25	264.03	251.48	231.32	217.27	409.15	301.33	190.34	127.0	246.28	124.37	51.35	100.13	17.51	9.56
FBXW2	1378.57	759.08	660.68	287.01	358.54	819.3	651.58	587.13	379.04	381.68	728.11	656.11	417.77	327.56	624.99	480.04	775.05	616.37	387.02	713.11	563.18	595.34	312.0	587.13	314.17	698.41	575.03	543.96	974.5	260.38	500.46	237.86	435.55	825.0	583.07	454.09	447.82	420.68	753.83	323.03	486.75	591.22	511.0	486.75	620.67	420.68	830.75	463.65	638.15	708.18	497.0	511.0	406.31	387.02	361.04	303.44	764.36	323.03	536.45	934.76	551.56	476.71	813.63	599.49	379.04	525.39	529.06	599.49	769.69	529.06	713.11	493.56	525.39	289.02	616.37	591.22	368.65	595.34	674.59	518.15	555.41	791.35	660.68	599.49	854.13	460.44	656.11	753.83	105.89	473.41	271.48	392.44	318.57	351.14	358.54	397.93	392.44	511.0	366.09	728.11	629.35	665.29	559.28	497.0	802.41	395.18	373.81	559.28	444.72	480.04	258.57	376.41	480.04	429.54	412.0	521.76	260.38	633.73	476.71	224.97	249.73	567.1	166.73	476.71	226.54	193.01	285.03
