	GTEX.139TS.2226.SM.5J2N1	GTEX.Z93S.2626.SM.57WBX	GTEX.11EI6.2626.SM.5PNVT	GTEX.132NY.2026.SM.5L3FM	GTEX.1212Z.2026.SM.5N9EA	GTEX.13NYB.0826.SM.5MR4V	TCGA.DD.A3A8.11A.11R.A22L.07	TCGA.VN.A88P.01A.11R.A352.07	TCGA.EJ.5526.01A.01R.1580.07	TCGA.VN.A88I.01A.11R.A352.07	TCGA.EJ.5527.01A.01R.1580.07	TCGA.G9.6351.01A.21R.1965.07	TCGA.EJ.5516.01A.01R.1580.07	TCGA.HC.A8D1.01A.11R.A36G.07	TCGA.HC.7748.01A.11R.2118.07	TCGA.G9.6384.01A.11R.1789.07	TCGA.HC.7233.01A.11R.2118.07	TCGA.EJ.5508.01A.02R.1580.07	TCGA.HC.8260.01A.11R.2263.07	TCGA.EJ.A8FO.01A.21R.A36G.07	TCGA.XK.AAJU.01A.11R.A41O.07	TCGA.EJ.5495.01A.01R.1580.07	TCGA.EJ.5522.01A.01R.1580.07	TCGA.ZG.A9L6.01A.11R.A41O.07	TCGA.G9.6353.01A.11R.1965.07	TCGA.YL.A8SB.01A.31R.A37L.07	TCGA.EJ.5496.01A.01R.1580.07	TCGA.HC.7211.01A.11R.2118.07	TCGA.EJ.5542.01A.01R.1580.07	TCGA.EJ.5515.01A.01R.1580.07	TCGA.CH.5789.01A.11R.1580.07	TCGA.HC.7747.01A.11R.2118.07	TCGA.V1.A8MF.01A.11R.A36G.07	TCGA.EJ.A6RA.01A.11R.A33R.07	TCGA.EJ.5530.01A.01R.1580.07	TCGA.EJ.5497.01A.02R.1580.07	TCGA.EJ.5498.01A.01R.1580.07	TCGA.V1.A8MK.01A.11R.A36G.07	TCGA.CH.5762.01A.11R.1580.07	TCGA.EJ.A46B.01A.31R.A250.07	TCGA.EJ.A8FP.01A.21R.A36G.07	TCGA.KK.A6E5.01A.11R.A311.07	TCGA.2A.A8VL.01A.21R.A37L.07	TCGA.EJ.7784.11A.01R.2118.07	TCGA.EJ.7115.11A.01R.2118.07	TCGA.HC.7752.11A.01R.2118.07	TCGA.EJ.7125.11A.01R.1965.07	TCGA.G9.6351.11A.01R.1965.07	TCGA.EJ.7782.11A.01R.2118.07	TCGA.G9.6384.11A.01R.1858.07	TCGA.EJ.7317.11A.01R.2118.07	TCGA.EJ.7321.11A.01R.2263.07	TCGA.CH.5767.11B.01R.1789.07	TCGA.HC.8259.11A.01R.2263.07	GTEX.ZZ64.0926.SM.5E44L	GTEX.U4B1.1426.SM.4DXTX	GTEX.ZT9W.1626.SM.4YCDQ	GTEX.12C56.1326.SM.5FQSV	GTEX.13FTW.1226.SM.5LZZ1	GTEX.WZTO.0926.SM.4PQZ3	GTEX.XMK1.1026.SM.4B65H	GTEX.WOFM.0326.SM.4OOSL	GTEX.SNMC.0926.SM.4DM5U	GTEX.132NY.2826.SM.5P9G2	GTEX.ZTX8.1026.SM.5EGHD	TCGA.E8.A3X7.01A.11R.A22U.07	GTEX.WI4N.2426.SM.4OOSC
UGDH	575.03	713.11	802.41	470.14	253.23	429.54	595.34	995.0	3146.52	429.54	2451.44	974.5	3103.19	2104.58	2224.63	4010.71	1359.57	1896.65	1199.98	1286.18	808.0	1963.57	2855.44	703.28	866.07	866.07	2502.97	1519.15	3081.75	1378.57	1733.13	1378.57	1030.12	884.29	2720.15	2956.17	2627.46	848.22	3190.46	638.15	981.29	796.86	808.0	1594.73	1199.98	591.22	974.5	830.75	1369.04	638.15	1697.45	1651.0	947.83	860.08	432.53	796.86	921.88	583.07	1923.14	708.18	1151.06	896.64	1304.15	503.95	1519.15	204.07	376.41
UGGT1	124.37	163.28	202.66	147.06	111.99	136.19	211.31	211.31	480.04	170.25	591.22	403.5	547.75	397.93	738.29	400.71	532.74	583.07	417.77	397.93	241.19	536.45	595.34	289.02	262.2	255.0	493.56	536.45	713.11	500.46	642.59	318.57	236.21	231.32	547.75	708.18	429.54	291.04	429.54	226.54	381.68	178.77	332.14	470.14	325.29	175.07	154.42	291.04	262.2	241.19	450.94	314.17	275.28	305.55	241.19	417.77	376.41	279.14	651.58	301.33	486.75	348.71	273.37	199.85	518.15	148.09	165.57
UHRF1BP1	70.51	63.45	55.1	81.71	50.63	72.52	18.43	86.43	190.34	66.18	181.28	84.04	186.4	111.21	217.27	131.51	155.5	176.29	111.99	98.73	83.45	229.72	169.07	72.01	64.8	94.67	178.77	208.38	187.71	144.01	135.24	84.63	78.34	57.08	171.45	173.85	148.09	89.51	169.07	85.22	76.17	94.67	82.29	119.26	82.87	55.49	38.4	61.68	102.25	59.13	113.56	104.42	111.21	85.82	69.52	93.35	101.54	90.14	105.15	67.12	107.38	120.1	55.49	82.29	100.83	61.25	27.64
URB2	28.65	29.06	40.36	46.5	36.53	25.35	23.25	100.13	62.12	44.57	98.04	57.08	71.5	79.45	95.34	85.82	100.83	82.87	45.85	53.19	76.17	119.26	92.7	55.89	52.45	48.18	61.68	131.51	128.79	62.56	101.54	46.84	48.52	34.26	98.73	87.03	100.83	59.13	144.01	54.72	50.27	38.67	43.32	69.03	59.13	33.3	23.76	55.89	57.08	38.12	59.55	52.82	73.03	33.78	34.26	48.87	81.14	54.72	72.01	51.35	59.97	49.91	53.95	29.48	53.57	19.68	19.25
USP38	112.77	129.69	111.99	85.22	74.58	72.01	105.15	164.42	249.73	105.15	303.44	161.02	309.83	183.82	283.05	256.78	281.09	269.6	124.37	166.73	131.51	307.69	318.57	161.02	127.89	175.07	255.0	312.0	351.14	255.0	271.48	182.55	115.16	108.14	242.88	287.01	277.2	130.6	325.29	129.69	147.06	134.3	128.79	241.19	193.01	127.0	157.68	137.14	226.54	153.34	223.41	180.02	197.09	133.36	157.68	176.29	253.23	218.79	194.36	164.42	214.27	187.71	177.53	113.56	175.07	76.17	82.29
UTP3	232.94	387.02	223.41	197.09	190.34	218.79	177.53	599.49	414.87	366.09	511.0	392.44	540.19	525.39	497.0	525.39	470.14	543.96	392.44	460.44	435.55	490.14	490.14	426.57	379.04	486.75	511.0	612.11	490.14	525.39	669.92	507.46	423.61	480.04	454.09	547.75	599.49	403.5	808.0	327.56	444.72	507.46	429.54	493.56	351.14	309.83	204.07	353.59	450.94	371.22	381.68	426.57	665.29	417.77	435.55	403.5	480.04	497.0	480.04	307.69	423.61	414.87	414.87	267.73	483.38	540.19	336.79
WDR3	62.12	80.01	75.64	68.55	53.57	52.08	158.79	182.55	277.2	87.65	414.87	100.13	460.44	275.28	371.22	346.29	466.88	460.44	185.11	191.67	162.14	429.54	395.18	124.37	119.26	180.02	287.01	336.79	376.41	239.52	209.84	215.77	115.16	107.38	473.41	323.03	400.71	115.97	490.14	135.24	181.28	126.12	67.59	273.37	211.31	92.05	156.59	88.26	139.07	129.69	199.85	189.02	201.25	154.42	107.38	237.86	318.57	166.73	358.54	105.15	249.73	267.73	103.69	63.89	194.36	50.98	29.91
WDR43	156.59	155.5	170.25	156.59	144.01	159.9	115.97	476.71	532.74	249.73	500.46	279.14	571.05	366.09	420.68	536.45	603.67	612.11	361.04	279.14	314.17	583.07	497.0	297.17	241.19	368.65	507.46	540.19	620.67	414.87	409.15	429.54	356.05	269.6	521.76	540.19	514.56	279.14	698.41	269.6	289.02	356.05	201.25	400.71	368.65	212.78	339.14	217.27	414.87	277.2	318.57	262.2	366.09	231.32	309.83	297.17	490.14	353.59	463.65	212.78	363.56	366.09	253.23	183.82	343.89	149.12	100.13
WRN	50.63	41.22	64.8	52.08	62.12	102.97	21.01	59.13	236.21	69.03	142.01	87.03	164.42	133.36	170.25	127.0	150.17	170.25	152.28	106.63	115.97	193.01	183.82	106.63	86.43	123.5	172.65	189.02	166.73	177.53	149.12	102.25	133.36	75.11	130.6	202.66	164.42	115.16	199.85	90.14	143.01	70.01	105.89	175.07	125.24	91.41	100.13	84.63	137.14	92.05	121.79	141.02	180.02	137.14	115.16	159.9	150.17	224.97	149.12	81.71	132.44	232.94	115.97	53.57	101.54	34.75	96.68
XIAP	329.84	281.09	301.33	309.83	158.79	237.86	73.03	397.93	587.13	356.05	555.41	483.38	583.07	497.0	624.99	587.13	555.41	612.11	373.81	567.1	406.31	603.67	599.49	525.39	409.15	555.41	559.28	514.56	616.37	463.65	514.56	460.44	336.79	426.57	703.28	583.07	540.19	417.77	559.28	392.44	441.64	358.54	441.64	555.41	426.57	346.29	417.77	384.34	486.75	339.14	476.71	406.31	379.04	341.51	441.64	454.09	497.0	511.0	599.49	490.14	547.75	400.71	366.09	341.51	366.09	341.51	186.4
YRDC	151.22	194.36	163.28	172.65	158.79	150.17	275.28	384.34	293.07	256.78	463.65	395.18	500.46	432.53	470.14	414.87	384.34	348.71	353.59	373.81	262.2	327.56	414.87	289.02	318.57	234.57	547.75	395.18	438.59	329.84	432.53	368.65	466.88	283.05	500.46	438.59	555.41	318.57	599.49	267.73	271.48	476.71	376.41	371.22	332.14	205.5	358.54	305.55	563.18	239.52	295.11	307.69	414.87	239.52	215.77	241.19	358.54	325.29	327.56	295.11	373.81	256.78	351.14	182.55	273.37	176.29	125.24
YTHDF2	547.75	540.19	555.41	480.04	423.61	341.51	384.34	1008.9	860.08	642.59	947.83	780.44	1044.52	743.43	848.22	1037.29	981.29	1059.11	616.37	738.29	802.41	1088.92	967.76	842.36	698.41	759.08	1051.79	1008.9	1051.79	988.12	941.27	748.61	775.05	808.0	878.17	981.29	1159.07	733.19	1199.98	656.11	718.08	1008.9	684.02	902.89	738.29	813.63	708.18	785.88	753.83	759.08	769.69	629.35	872.1	647.07	791.35	665.29	981.29	872.1	866.07	551.56	688.78	872.1	718.08	591.22	819.3	579.04	540.19
ZNF229	26.86	29.48	29.06	34.26	12.18	8.32	0.84	94.01	98.04	57.08	107.38	50.27	70.01	77.25	123.5	60.39	130.6	113.56	102.25	90.77	40.36	100.83	122.64	79.45	55.49	57.49	97.36	116.78	148.09	88.26	78.89	59.97	52.82	49.91	127.89	115.16	147.06	71.0	155.5	63.0	75.11	42.71	72.52	111.99	62.12	33.54	43.02	44.89	81.14	51.71	88.26	70.51	57.89	49.21	73.54	114.36	104.42	117.6	69.52	80.01	84.04	92.05	94.01	55.1	96.68	45.21	1.57
ZNF24	316.37	299.25	387.02	248.0	206.94	275.28	148.09	559.28	1073.91	376.41	1277.29	555.41	1216.75	796.86	1199.98	902.89	733.19	1104.13	616.37	638.15	476.71	872.1	1225.22	525.39	423.61	607.87	1127.35	647.07	1199.98	884.29	878.17	638.15	563.18	395.18	988.12	1001.93	988.12	559.28	1151.06	529.06	543.96	529.06	521.76	723.08	612.11	400.71	529.06	529.06	723.08	483.38	684.02	486.75	633.73	525.39	490.14	698.41	684.02	813.63	665.29	540.19	543.96	718.08	567.1	291.04	366.09	237.86	279.14
ZNF33A	171.45	189.02	256.78	186.4	164.42	221.86	94.67	361.04	703.28	277.2	674.59	287.01	532.74	397.93	651.58	579.04	500.46	595.34	470.14	358.54	397.93	571.05	647.07	387.02	269.6	406.31	507.46	500.46	651.58	497.0	343.89	332.14	353.59	264.03	607.87	473.41	435.55	353.59	555.41	389.72	323.03	297.17	291.04	563.18	400.71	265.87	403.5	293.07	389.72	295.11	384.34	379.04	441.64	395.18	723.08	529.06	476.71	599.49	511.0	358.54	423.61	836.53	373.81	336.79	323.03	197.09	98.04
ZNF708	42.41	55.1	73.03	71.5	39.5	28.04	7.34	139.07	211.31	69.03	194.36	125.24	175.07	142.01	246.28	186.4	177.53	236.21	128.79	128.79	129.69	189.02	248.0	98.04	68.07	177.53	198.47	202.66	221.86	178.77	172.65	113.56	60.39	76.71	265.87	239.52	162.14	101.54	209.84	98.73	101.54	120.94	137.14	153.34	158.79	72.52	138.1	76.71	209.84	50.27	146.03	130.6	135.24	104.42	92.05	244.57	149.12	157.68	146.03	88.26	106.63	237.86	96.68	67.12	74.06	31.0	68.55
ZNF770	77.79	98.73	87.03	98.73	59.13	104.42	57.49	172.65	463.65	115.97	444.72	143.01	511.0	231.32	381.68	363.56	336.79	514.56	175.07	166.73	127.89	529.06	536.45	163.28	131.51	193.01	417.77	389.72	500.46	348.71	291.04	182.55	131.51	69.03	406.31	466.88	412.0	215.77	591.22	158.79	183.82	122.64	111.21	303.44	234.57	144.01	181.28	135.24	248.0	152.28	269.6	214.27	190.34	177.53	142.01	279.14	373.81	389.72	320.8	100.83	197.09	241.19	287.01	38.4	165.57	107.38	77.25
ZNF772	37.59	32.82	31.22	25.17	13.32	22.26	8.19	61.68	177.53	30.56	147.06	73.54	182.55	119.26	191.67	127.0	154.42	199.85	139.07	126.12	51.35	162.14	178.77	94.01	71.0	170.25	171.45	172.65	164.42	145.02	118.43	98.73	81.14	60.82	220.32	126.12	167.9	75.11	220.32	100.13	94.01	77.25	80.57	139.07	126.12	42.11	104.42	55.1	141.02	41.81	159.9	106.63	51.35	76.71	104.42	143.01	115.16	139.07	150.17	110.43	149.12	111.99	92.7	98.04	86.43	62.56	4.78
ZNF800	151.22	159.9	155.5	138.1	129.69	140.04	47.5	224.97	336.79	163.28	363.56	186.4	379.04	214.27	341.51	305.55	307.69	346.29	249.73	195.72	171.45	444.72	353.59	212.78	159.9	246.28	285.03	397.93	409.15	314.17	297.17	183.82	183.82	133.36	297.17	373.81	341.51	191.67	403.5	170.25	185.11	171.45	190.34	314.17	209.84	186.4	171.45	197.09	295.11	187.71	248.0	231.32	248.0	178.77	256.78	214.27	242.88	273.37	199.85	242.88	208.38	301.33	176.29	209.84	159.9	78.34	135.24
