	TCGA.W5.AA2I.11A.11R.A41I.07	GTEX.Y9LG.1526.SM.4WWDR	GTEX.11LCK.2026.SM.5A5MA	GTEX.XBEW.1926.SM.4SOJO	GTEX.NFK9.2026.SM.3LK5K	GTEX.13QBU.1826.SM.5IJG3	GTEX.ZT9W.1826.SM.51MQX	GTEX.YJ8O.0326.SM.5RQJW	GTEX.13QIC.2026.SM.5N9G9	GTEX.WVLH.1526.SM.4MVOC	GTEX.ZYFC.2226.SM.5NQ96	GTEX.11NUK.1726.SM.5A5L2	GTEX.11OF3.2326.SM.5GU73	GTEX.11UD2.1526.SM.5EQLQ	GTEX.13OW7.1926.SM.5LUB4	GTEX.117YW.2026.SM.5N9BH	GTEX.12ZZY.1526.SM.5LZWF	GTEX.14753.1926.SM.5NQAA	TCGA.KL.8323.01A.21R.2315.07	TCGA.KL.8335.01A.11R.2315.07	TCGA.KO.8407.01A.11R.2315.07	TCGA.KN.8422.01A.11R.2315.07	TCGA.KL.8328.01A.11R.2315.07	TCGA.KN.8433.01A.11R.2315.07	TCGA.KL.8346.01A.11R.2315.07	TCGA.KM.8443.01A.11R.2315.07	TCGA.KN.8425.01A.11R.2315.07	TCGA.KL.8332.01A.11R.2315.07	TCGA.KO.8403.01A.11R.2315.07	TCGA.KM.8440.01A.11R.2315.07	TCGA.KN.8434.01A.11R.2315.07	TCGA.KL.8338.01A.11R.2315.07	TCGA.KN.8424.01A.11R.2315.07	TCGA.KN.8436.01A.11R.2315.07	TCGA.KL.8331.01A.11R.2315.07	TCGA.KL.8342.01A.11R.2315.07	TCGA.KL.8340.01A.11R.2315.07	TCGA.KL.8334.01A.11R.2315.07	TCGA.KL.8345.01A.11R.2315.07	GTEX.13OW6.1826.SM.5N9F9	GTEX.11GS4.2326.SM.5A5KS	GTEX.11OF3.1326.SM.5N9FJ	GTEX.ZYFD.1526.SM.5NQ7T	TCGA.B0.5117.01A.01R.1420.07	TCGA.AK.3433.01A.02R.1277.07	TCGA.AK.3447.01A.01R.1766.07	TCGA.A3.3374.01A.02R.1325.07	TCGA.AK.3465.01A.02R.1325.07	TCGA.B0.4700.11A.01R.1541.07	TCGA.CJ.5678.11A.01R.1541.07	TCGA.A4.8518.01A.11R.2404.07	TCGA.BQ.7058.01A.11R.1965.07	TCGA.A4.A48D.01A.11R.A24Z.07	TCGA.GL.A4EM.01A.11R.A24Z.07	TCGA.5P.A9KH.01A.11R.A42S.07	TCGA.5P.A9KE.01A.11R.A42S.07	TCGA.BQ.5880.01A.11R.1592.07	TCGA.DW.7963.01B.11R.A28H.07	TCGA.DD.A4NG.01A.11R.A27V.07	TCGA.NI.A4U2.01A.11R.A28V.07	TCGA.MR.A8JO.01A.12R.A36F.07	TCGA.DD.A3A2.01A.11R.A213.07	TCGA.DD.A39Z.11A.21R.A213.07	TCGA.DD.A116.11A.12R.A26B.07	TCGA.DD.A3A8.11A.11R.A22L.07	TCGA.DD.A11B.11A.11R.A131.07	TCGA.BC.A216.11A.11R.A155.07	GTEX.13NYB.1026.SM.5IFH3	GTEX.11ZUS.2526.SM.59872	GTEX.WZTO.0626.SM.4PQYY	GTEX.12WSI.0226.SM.5GCNA	GTEX.X261.1726.SM.4PQYT	GTEX.11NV4.1326.SM.5HL6V	GTEX.13FTZ.0726.SM.5IFFY	GTEX.Q2AG.1126.SM.48U1P	GTEX.RNOR.1426.SM.48FDJ	GTEX.145LU.1326.SM.5LU9N	GTEX.11NUK.1226.SM.5P9GM	GTEX.12WSM.0726.SM.5GCOW	GTEX.SJXC.1226.SM.4DM78	GTEX.131YS.1626.SM.5HL6C	GTEX.XBEC.1526.SM.4AT68	GTEX.11DXY.0526.SM.5EGGQ	GTEX.145MO.2326.SM.5NQ9K	GTEX.RN64.1826.SM.48FDV	GTEX.14753.1626.SM.5NQ9L	GTEX.13O3O.1826.SM.5IFGW	GTEX.13112.1426.SM.5EGH8	GTEX.13VXU.0926.SM.5IFFH	TCGA.CD.A48A.01A.12R.A36D.31	TCGA.BR.A4J8.01A.11R.A251.31	TCGA.HU.8238.01A.11R.2343.13	TCGA.CG.5734.11A.01R.1602.13	GTEX.VJYA.1026.SM.4KL21	GTEX.RWS6.0926.SM.47JXE	GTEX.ZLV1.0826.SM.4WWEQ	GTEX.145MO.2226.SM.5Q5BN	GTEX.Y5V6.1326.SM.4VDTF	GTEX.V1D1.1726.SM.4JBHB	TCGA.EM.A1YB.01A.11R.A14Y.07	TCGA.EL.A3H5.01A.11R.A206.07	TCGA.EM.A22N.01A.11R.A180.07	TCGA.EM.A3O9.01A.11R.A220.07
DGKI	0.0	6.57	6.84	1.53	2.92	1.38	0.0	4.13	3.11	3.76	1.51	7.88	1.07	8.99	0.28	10.55	3.72	1.17	1963.57	348.71	59.55	15.22	808.0	10.71	34.26	358.54	277.2	9.27	178.77	1437.15	133.36	82.87	256.78	86.43	253.23	49.91	30.12	532.74	5751.61	603.67	332.14	29.06	6.26	129.69	18.16	9.56	902.89	1844.76	61.25	21.47	2.05	0.52	0.78	1.81	1051.79	2.39	8.92	5.73	5.41	8.06	20.41	2.23	0.68	1.89	0.0	0.68	0.0	1.25	0.27	1.0	0.0	0.2	5.32	1.36	0.21	0.0	8.51	0.21	0.0	0.0	1.07	0.0	0.23	0.22	3.66	0.0	6.26	5.23	3.82	15.0	19.68	9.27	0.83	0.74	0.75	4.28	3.76	5.63	4.43	42.71	20.11	256.78	8.19
DMXL1	190.34	285.03	208.38	201.25	202.66	356.05	281.09	258.57	529.06	334.46	371.22	376.41	371.22	476.71	387.02	417.77	309.83	253.23	518.15	555.41	371.22	334.46	444.72	249.73	316.37	395.18	389.72	503.95	441.64	599.49	444.72	438.59	486.75	591.22	463.65	579.04	486.75	525.39	511.0	848.22	511.0	603.67	228.13	336.79	287.01	262.2	224.97	688.78	555.41	595.34	228.13	262.2	299.25	301.33	500.46	223.41	358.54	255.0	181.28	206.94	209.84	169.07	156.59	202.66	57.89	224.97	193.01	163.28	164.42	208.38	229.72	220.32	197.09	205.5	297.17	248.0	209.84	161.02	255.0	152.28	178.77	127.0	182.55	214.27	234.57	119.26	187.71	197.09	281.09	277.2	334.46	202.66	194.36	441.64	221.86	400.71	295.11	368.65	351.14	420.68	307.69	633.73	312.0
DNAJA4	18.16	718.08	785.88	647.07	559.28	748.61	483.38	379.04	559.28	299.25	423.61	525.39	563.18	902.89	387.02	575.03	493.56	271.48	392.44	759.08	830.75	733.19	1896.65	902.89	1477.58	796.86	759.08	314.17	563.18	753.83	884.29	571.05	1073.91	848.22	1378.57	463.65	1023.0	1340.84	1832.01	299.25	633.73	241.19	2335.28	1697.45	1111.82	199.85	1216.75	1639.59	438.59	518.15	3060.45	669.92	607.87	454.09	813.63	620.67	536.45	1096.5	24.81	45.21	242.88	20.86	21.32	35.0	30.78	43.02	85.82	177.53	17.0	18.84	60.39	142.01	126.12	15.11	36.53	36.53	42.71	26.28	35.76	10.55	54.33	45.85	29.06	73.03	27.44	16.75	15.68	28.86	14.89	607.87	529.06	713.11	483.38	353.59	343.89	353.59	426.57	279.14	441.64	343.89	271.48	143.01	283.05
DNAJB14	102.97	241.19	228.13	224.97	204.07	246.28	229.72	224.97	379.04	289.02	361.04	205.5	295.11	289.02	320.8	262.2	307.69	212.78	339.14	403.5	293.07	363.56	223.41	215.77	204.07	318.57	457.25	327.56	312.0	470.14	363.56	195.72	480.04	500.46	260.38	327.56	356.05	438.59	470.14	441.64	486.75	279.14	281.09	267.73	693.58	329.84	115.97	420.68	406.31	366.09	164.42	126.12	93.35	102.97	450.94	141.02	176.29	149.12	193.01	148.09	137.14	91.41	102.25	115.97	26.47	118.43	111.99	164.42	35.25	74.58	202.66	118.43	57.08	120.94	141.02	84.04	161.02	77.25	153.34	48.18	143.01	92.05	72.01	59.13	105.89	52.45	59.13	92.05	147.06	150.17	241.19	147.06	155.5	199.85	148.09	234.57	255.0	173.85	277.2	204.07	195.72	363.56	214.27
DNAJC27	18.97	63.89	57.08	52.82	76.71	48.52	31.9	88.88	119.26	100.13	90.77	85.82	128.79	167.9	105.15	75.11	84.04	67.12	59.13	109.66	68.55	77.79	48.18	48.52	37.85	45.53	84.63	83.45	38.67	102.25	59.55	54.72	58.71	131.51	48.18	26.67	61.25	66.18	79.45	109.66	228.13	79.45	162.14	45.21	82.29	27.64	81.71	69.03	103.69	91.41	46.84	30.56	28.45	36.53	77.79	54.33	41.22	43.02	25.54	23.76	38.4	25.17	14.24	17.25	10.31	16.15	32.82	46.5	7.94	15.45	16.51	48.18	15.56	17.38	20.11	29.91	25.72	22.26	21.32	17.0	33.78	16.63	20.11	17.13	38.12	18.03	61.25	10.55	21.94	62.56	90.14	34.26	22.59	78.34	51.35	74.06	57.89	42.11	64.34	110.43	38.4	63.45	49.91
DNM1L	269.6	629.35	764.36	591.22	713.11	620.67	583.07	890.44	1081.39	934.76	1023.0	1167.14	878.17	1259.69	961.07	854.13	1104.13	884.29	1015.93	808.0	842.36	825.0	791.35	303.44	764.36	928.3	1081.39	1073.91	842.36	884.29	842.36	647.07	1143.1	1896.65	780.44	775.05	921.88	909.17	954.43	785.88	1073.91	500.46	909.17	1096.5	1950.0	547.75	351.14	1151.06	928.3	753.83	571.05	271.48	279.14	507.46	1175.27	536.45	651.58	665.29	579.04	397.93	629.35	297.17	202.66	187.71	81.14	186.4	269.6	215.77	105.15	136.19	264.03	316.37	152.28	231.32	255.0	180.02	147.06	110.43	209.84	91.41	239.52	248.0	132.44	275.28	193.01	55.49	289.02	185.11	183.82	1250.98	848.22	802.41	307.69	532.74	329.84	521.76	825.0	320.8	497.0	775.05	656.11	813.63	713.11
DPY19L2	4.35	18.03	20.56	37.59	46.84	16.75	8.51	299.25	279.14	265.87	167.9	269.6	379.04	387.02	285.03	157.68	260.38	115.97	387.02	279.14	583.07	318.57	285.03	249.73	323.03	620.67	529.06	223.41	312.0	450.94	258.57	297.17	239.52	941.27	297.17	314.17	395.18	395.18	318.57	447.82	460.44	392.44	249.73	603.67	974.5	114.36	299.25	579.04	293.07	91.41	38.95	67.12	25.17	42.11	780.44	132.44	48.18	88.88	4.9	5.59	38.67	4.1	5.96	4.54	0.0	7.28	1.89	4.28	2.84	4.28	6.26	7.75	5.45	5.11	12.74	20.26	5.96	7.69	10.71	7.06	14.14	10.16	2.51	2.14	5.02	0.49	11.21	2.18	4.06	108.9	49.91	7.34	11.55	18.03	8.85	20.86	134.3	78.34	41.52	130.6	36.27	457.25	162.14
DUSP8	155.5	356.05	444.72	327.56	454.09	406.31	432.53	218.79	444.72	134.3	251.48	368.65	221.86	486.75	444.72	457.25	190.34	295.11	285.03	234.57	785.88	381.68	237.86	764.36	346.29	327.56	633.73	1135.2	660.68	435.55	642.59	559.28	642.59	85.22	466.88	409.15	571.05	323.03	237.86	395.18	813.63	48.87	178.77	232.94	267.73	53.95	497.0	150.17	182.55	187.71	143.01	258.57	73.03	99.43	559.28	85.22	147.06	88.26	190.34	158.79	68.07	165.57	12.09	12.93	229.72	120.1	119.26	113.56	75.64	25.91	128.79	17.77	27.05	40.93	45.21	26.47	31.9	31.9	22.26	23.76	37.59	91.41	24.46	204.07	35.0	246.28	211.31	30.78	16.75	218.79	356.05	105.15	420.68	142.01	197.09	147.06	265.87	126.12	224.97	323.03	106.63	180.02	251.48
EID1	2520.38	1477.58	1407.55	2047.0	3190.46	1191.69	967.76	3212.66	3665.02	3847.29	3639.7	3325.99	3742.05	2178.83	3515.68	2627.46	3847.29	3491.39	6381.92	3060.45	4388.98	2434.5	4358.66	1417.35	2018.8	4937.99	4575.41	3564.78	5112.16	4972.34	4671.57	2400.97	5555.65	9474.59	4298.64	3235.01	4388.98	5403.7	5995.9	5555.65	5479.15	5517.27	2855.44	4268.94	5479.15	2956.17	2319.15	6037.61	4210.15	4903.87	1674.06	2682.69	1819.35	2163.77	4512.4	2520.38	3212.66	2104.58	1594.73	4388.98	2895.31	3235.01	1447.15	1963.57	830.75	1832.01	2520.38	1662.49	1870.53	1583.71	3190.46	1857.6	1883.54	2591.27	1963.57	2032.85	1721.16	1175.27	1540.37	1369.04	2591.27	1388.16	2335.28	1268.46	1304.15	1331.57	1001.93	1369.04	3349.13	1313.23	1977.24	1030.12	1096.5	1487.87	1191.69	1572.76	3060.45	2335.28	1844.76	2758.13	4769.75	3639.7	1662.49
EMD	1208.34	1023.0	1233.75	1447.15	1551.09	896.64	796.86	2224.63	2351.53	2520.38	2178.83	3168.41	2468.49	4769.75	3768.09	2935.74	2119.22	2367.9	2976.74	3018.3	3467.27	1991.0	3955.48	2701.35	2720.15	3280.18	1950.0	3874.05	2855.44	2119.22	2835.7	3820.7	2935.74	2997.45	4181.07	2573.36	2682.69	3443.31	2485.67	2335.28	3039.3	2133.97	2061.24	2796.65	1806.78	1477.58	5041.77	2816.11	1794.29	1651.0	1540.37	1794.29	2032.85	1844.76	2573.36	2119.22	2061.24	1733.13	1233.75	2609.3	1923.14	1277.29	1167.14	1199.98	1350.18	1216.75	1159.07	988.12	1242.34	1159.07	1119.56	1191.69	1322.37	981.29	995.0	1199.98	1340.84	1088.92	1135.2	1191.69	1304.15	1208.34	1199.98	1259.69	1369.04	1250.98	1572.76	1159.07	802.41	941.27	1781.89	1628.26	1487.87	1191.69	1407.55	1250.98	2434.5	1757.34	1277.29	2148.82	1519.15	3372.43	3540.14
ERCC6L2	124.37	212.78	195.72	197.09	373.81	180.02	109.66	258.57	271.48	305.55	287.01	231.32	264.03	256.78	303.44	246.28	351.14	241.19	599.49	366.09	403.5	231.32	224.97	85.82	106.63	466.88	543.96	191.67	334.46	629.35	441.64	224.97	624.99	312.0	194.36	358.54	381.68	543.96	624.99	167.9	389.72	178.77	400.71	307.69	842.36	49.56	46.84	563.18	361.04	346.29	77.79	85.82	39.22	49.21	753.83	97.36	104.42	61.25	151.22	96.68	119.26	94.67	59.97	120.1	25.91	114.36	105.89	94.67	41.22	88.26	182.55	113.56	91.41	85.82	70.51	90.77	100.83	115.16	154.42	69.52	151.22	125.24	120.94	94.01	78.89	66.65	43.02	186.4	145.02	125.24	209.84	301.33	108.14	275.28	126.12	152.28	229.72	147.06	195.72	117.6	215.77	291.04	84.04
FAM114A2	159.9	150.17	163.28	146.03	187.71	108.14	84.04	195.72	307.69	249.73	262.2	178.77	128.79	325.29	239.52	217.27	265.87	156.59	463.65	371.22	239.52	223.41	358.54	143.01	67.59	152.28	249.73	197.09	255.0	351.14	277.2	205.5	366.09	346.29	171.45	202.66	343.89	287.01	343.89	307.69	368.65	223.41	169.07	232.94	301.33	231.32	271.48	348.71	312.0	371.22	190.34	77.79	279.14	212.78	295.11	183.82	131.51	135.24	201.25	166.73	285.03	167.9	133.36	189.02	127.0	172.65	165.57	187.71	100.13	146.03	199.85	183.82	108.9	175.07	159.9	108.14	137.14	99.43	161.02	106.63	164.42	143.01	106.63	185.11	129.69	102.25	86.43	129.69	175.07	108.14	191.67	155.5	151.22	244.57	172.65	231.32	231.32	236.21	299.25	183.82	244.57	346.29	167.9
FAM155B	5.45	42.71	10.71	43.94	12.45	6.94	3.76	15.11	19.53	12.0	28.24	27.84	25.35	7.69	18.29	29.7	56.28	6.84	121.79	277.2	299.25	409.15	525.39	555.41	507.46	884.29	299.25	435.55	379.04	205.5	595.34	403.5	127.89	105.15	327.56	218.79	211.31	432.53	2104.58	1.99	154.42	30.56	11.04	186.4	221.86	31.22	33.06	470.14	31.67	35.25	68.55	129.69	29.06	86.43	529.06	55.89	47.5	72.01	31.0	0.0	34.75	0.0	3.06	1.91	1.64	3.06	4.35	0.0	2.2	3.26	4.28	5.11	6.21	3.17	0.47	3.44	0.02	0.0	1.13	0.0	1.16	8.58	0.0	0.47	2.29	0.0	0.89	5.32	0.0	48.18	1.14	9.2	12.27	48.52	55.89	76.17	16.51	64.34	38.67	50.98	28.04	1340.84	473.41
FAM198B	17.25	193.01	156.59	165.57	242.88	80.01	37.05	384.34	941.27	1378.57	738.29	624.99	775.05	303.44	1540.37	688.78	647.07	423.61	995.0	1313.23	3395.89	80.57	1175.27	209.84	733.19	2935.74	312.0	928.3	2434.5	842.36	1487.87	256.78	5995.9	1183.45	1066.48	4239.45	141.02	6164.49	376.41	204.07	1250.98	223.41	954.43	2351.53	2148.82	55.49	1331.57	10084.54	403.5	444.72	68.55	35.0	85.82	138.1	1963.57	33.54	186.4	96.01	67.59	92.7	285.03	52.45	23.08	48.87	22.92	67.59	53.57	92.7	13.12	24.99	85.22	90.14	19.68	30.56	115.97	116.78	57.08	55.1	29.48	8.45	66.18	44.57	12.27	15.22	22.26	11.91	17.13	22.43	27.25	123.5	753.83	231.32	136.19	143.01	66.65	146.03	591.22	194.36	228.13	624.99	1268.46	426.57	547.75
FAM53C	96.01	198.47	193.01	251.48	409.15	173.85	164.42	583.07	638.15	591.22	480.04	555.41	693.58	647.07	476.71	525.39	511.0	529.06	403.5	457.25	429.54	291.04	329.84	249.73	285.03	353.59	381.68	1498.22	384.34	563.18	500.46	647.07	417.77	486.75	540.19	555.41	587.13	441.64	620.67	186.4	836.53	220.32	329.84	346.29	226.54	142.01	780.44	595.34	314.17	312.0	149.12	102.97	215.77	316.37	356.05	128.79	220.32	118.43	159.9	144.01	191.67	127.0	87.03	104.42	114.36	138.1	136.19	128.79	105.15	133.36	166.73	147.06	70.51	150.17	147.06	114.36	111.21	85.22	147.06	97.36	163.28	173.85	82.87	156.59	131.51	90.77	262.2	106.63	108.9	262.2	226.54	150.17	232.94	325.29	273.37	297.17	470.14	318.57	426.57	169.07	163.28	373.81	182.55
FAM63B	29.06	44.25	54.72	69.52	69.52	54.72	24.28	173.85	232.94	228.13	218.79	229.72	152.28	221.86	190.34	167.9	248.0	177.53	470.14	607.87	397.93	376.41	500.46	314.17	190.34	483.38	796.86	483.38	395.18	995.0	579.04	346.29	633.73	507.46	301.33	454.09	525.39	733.19	921.88	536.45	532.74	214.27	351.14	363.56	988.12	201.25	123.5	669.92	314.17	334.46	47.17	78.89	46.18	37.59	748.61	98.73	76.71	111.99	75.11	39.5	92.7	40.36	31.9	38.95	7.34	40.93	40.07	45.21	10.39	24.28	82.29	45.85	22.26	46.18	73.03	51.71	57.89	35.0	48.87	18.84	49.21	35.25	21.01	39.79	37.59	26.67	40.64	39.79	35.76	156.59	202.66	93.35	59.97	117.6	73.03	135.24	183.82	155.5	170.25	146.03	107.38	91.41	96.01
FAM65A	318.57	346.29	358.54	587.13	616.37	281.09	198.47	1896.65	1923.14	1540.37	1896.65	1674.06	1733.13	1583.71	1896.65	2047.0	1745.2	2032.85	854.13	1857.6	2193.99	3690.52	2627.46	2555.58	1923.14	2061.24	1909.85	1250.98	1143.1	2090.03	2148.82	1781.89	1685.71	2319.15	2319.15	1467.37	1883.54	1963.57	1437.15	3443.31	2351.53	1769.57	2255.7	1628.26	2061.24	420.68	890.44	1896.65	2875.3	2271.4	764.36	591.22	2004.85	1268.46	1397.83	1295.13	1233.75	1388.16	684.02	297.17	934.76	441.64	265.87	289.02	325.29	429.54	229.72	529.06	429.54	620.67	483.38	444.72	239.52	414.87	457.25	503.95	511.0	525.39	318.57	205.5	295.11	693.58	287.01	165.57	511.0	128.79	102.25	532.74	185.11	723.08	738.29	656.11	417.77	366.09	320.8	607.87	928.3	854.13	713.11	688.78	616.37	974.5	961.07
FGF9	0.0	22.1	107.38	33.78	26.1	58.3	13.12	128.79	214.27	224.97	144.01	67.12	106.63	9.41	146.03	77.25	112.77	63.89	1135.2	1051.79	842.36	295.11	1044.52	295.11	316.37	629.35	1066.48	287.01	409.15	995.0	579.04	420.68	1304.15	1674.06	1015.93	743.43	376.41	947.83	1175.27	629.35	9474.59	688.78	2018.8	872.1	1617.0	96.01	406.31	713.11	808.0	656.11	0.82	1.5	1.16	4.03	1617.0	3.56	4.9	8.06	0.0	0.0	0.0	0.0	0.0	0.69	0.0	0.0	0.0	0.0	0.18	3.29	1.89	0.0	0.11	0.11	8.65	0.56	0.16	0.99	1.51	5.15	3.03	0.0	0.0	3.92	0.0	0.17	0.1	0.66	6.36	31.0	72.01	4.13	14.56	9.27	19.11	10.79	19.25	7.46	15.8	5.02	22.75	6.16	1.55
FKBP4	1175.27	1617.0	2119.22	1639.59	1277.29	1674.06	1781.89	1277.29	1199.98	796.86	934.76	1111.82	1104.13	1044.52	1397.83	1561.89	1572.76	1233.75	3103.19	3515.68	3491.39	1844.76	5219.6	1096.5	3168.41	4836.35	1427.22	1936.53	2777.33	2682.69	3665.02	2855.44	3060.45	5329.3	6250.56	2976.74	3419.52	3349.13	4836.35	2224.63	2720.15	2645.74	5292.48	2701.35	3124.78	1857.6	1950.0	5954.47	2555.58	3081.75	2956.17	1044.52	1757.34	3081.75	2193.99	1487.87	2417.67	2367.9	3018.3	1674.06	1936.53	1757.34	1794.29	1216.75	1896.65	1487.87	1477.58	1417.35	1183.45	1662.49	1135.2	1605.83	1242.34	1208.34	1378.57	1340.84	1073.91	808.0	1561.89	988.12	1909.85	1350.18	1457.23	1242.34	1467.37	1059.11	947.83	1794.29	1794.29	1923.14	1883.54	2555.58	1437.15	1896.65	2178.83	2739.08	1437.15	3146.52	1745.2	2573.36	551.56	5791.62	2591.27
FMNL2	35.76	193.01	228.13	218.79	186.4	176.29	142.01	423.61	854.13	813.63	571.05	387.02	587.13	507.46	429.54	403.5	647.07	780.44	775.05	633.73	624.99	1857.6	400.71	228.13	195.72	529.06	669.92	500.46	583.07	890.44	748.61	236.21	967.76	571.05	543.96	769.69	679.29	551.56	848.22	271.48	368.65	198.47	454.09	802.41	656.11	181.28	450.94	1216.75	387.02	299.25	447.82	493.56	543.96	612.11	432.53	791.35	486.75	825.0	43.32	150.17	371.22	33.54	24.11	54.72	24.11	58.71	84.04	60.82	7.06	20.71	122.64	49.21	19.68	16.15	164.42	53.57	31.22	22.59	37.59	9.7	88.26	92.05	30.12	15.91	23.76	6.62	18.56	19.39	38.12	532.74	217.27	403.5	99.43	152.28	98.73	218.79	241.19	191.67	500.46	123.5	1183.45	256.78	511.0
FUT1	6.31	5.68	25.35	15.56	10.16	10.39	9.78	65.72	70.51	26.86	36.53	45.53	6.52	34.02	78.89	84.04	34.26	53.57	52.45	429.54	114.36	146.03	100.83	176.29	133.36	92.7	373.81	269.6	34.75	346.29	127.89	158.79	262.2	13.42	108.14	73.03	490.14	127.0	29.27	275.28	780.44	60.39	1781.89	100.13	651.58	81.71	187.71	35.25	54.33	74.58	1.68	10.08	3.14	7.75	34.51	2.43	7.28	6.78	46.84	16.75	46.18	6.94	6.11	8.38	9.48	21.47	8.99	14.03	15.22	8.71	3.44	21.01	4.24	5.54	10.39	9.41	8.13	36.27	6.41	3.79	7.4	10.79	4.54	22.1	1.16	3.89	4.5	15.56	2.56	53.57	44.57	161.02	32.36	120.1	150.17	68.07	81.71	133.36	223.41	417.77	42.71	208.38	185.11
FZD6	38.67	182.55	164.42	141.02	140.04	183.82	100.83	265.87	236.21	208.38	255.0	248.0	111.99	264.03	371.22	483.38	241.19	138.1	896.64	612.11	567.1	743.43	363.56	260.38	915.51	748.61	748.61	1059.11	483.38	909.17	665.29	543.96	775.05	363.56	616.37	819.3	718.08	486.75	723.08	346.29	669.92	336.79	251.48	521.76	1073.91	341.51	209.84	660.68	339.14	403.5	145.02	141.02	127.89	161.02	896.64	152.28	221.86	178.77	305.55	35.76	164.42	14.45	46.18	43.32	16.39	43.32	51.71	59.13	36.27	74.58	103.69	43.63	48.87	100.13	65.72	37.05	18.03	52.08	32.82	16.51	37.85	54.33	68.07	17.13	31.45	17.51	106.63	13.12	12.09	334.46	269.6	173.85	83.45	205.5	64.8	228.13	137.14	212.78	181.28	287.01	595.34	223.41	178.77
GPATCH2L	76.71	151.22	204.07	146.03	158.79	234.57	64.8	260.38	366.09	218.79	285.03	293.07	218.79	312.0	193.01	176.29	241.19	209.84	514.56	341.51	346.29	135.24	197.09	172.65	275.28	318.57	392.44	432.53	307.69	476.71	450.94	314.17	629.35	314.17	397.93	279.14	423.61	447.82	651.58	156.59	361.04	177.53	279.14	339.14	400.71	221.86	540.19	575.03	221.86	176.29	122.64	80.01	100.83	108.14	603.67	84.63	45.53	145.02	123.5	93.35	139.07	56.28	44.57	74.06	50.63	80.01	68.07	67.12	36.53	68.55	88.26	49.56	56.68	39.5	92.7	76.17	70.01	59.97	53.95	48.52	67.59	56.68	33.3	38.4	80.57	39.22	39.22	60.39	60.82	182.55	190.34	127.89	135.24	169.07	130.6	152.28	181.28	78.34	206.94	111.21	102.97	241.19	106.63
GRM2	3.63	4.21	1.68	1.22	4.82	5.11	2.53	7.0	23.76	15.11	16.03	9.34	31.45	11.38	15.91	8.13	14.45	7.34	15.34	14.35	13.72	6.84	23.59	5.73	13.72	109.66	3.29	9.93	29.06	4.28	21.01	12.36	33.3	6.16	18.03	105.15	10.47	4.13	35.76	0.97	5.11	1.55	4.82	38.12	2.14	0.41	4.24	55.89	4.58	0.49	0.0	1.04	0.0	0.95	7.88	1.23	0.0	0.0	2.16	2.23	22.75	11.38	1.39	0.75	0.65	2.01	1.46	3.11	8.0	5.15	1.13	0.0	3.06	0.72	2.36	16.15	2.12	1.93	3.72	5.06	15.34	8.85	2.03	0.0	71.0	0.47	3.72	0.47	1.93	30.12	14.35	3.72	0.93	6.46	9.34	2.61	4.54	1.79	5.96	2.71	9.06	3.99	7.57
GRPEL2	58.71	126.12	117.6	83.45	90.14	90.77	67.59	132.44	96.01	110.43	144.01	111.21	105.89	162.14	92.05	153.34	114.36	129.69	493.56	438.59	314.17	361.04	629.35	81.14	121.79	490.14	183.82	414.87	607.87	500.46	305.55	264.03	507.46	325.29	555.41	693.58	221.86	753.83	902.89	262.2	267.73	148.09	279.14	320.8	159.9	108.9	332.14	738.29	151.22	156.59	84.63	84.04	90.14	86.43	334.46	96.68	86.43	75.64	134.3	113.56	248.0	65.72	60.82	63.0	26.67	53.57	76.17	94.67	63.0	72.52	102.25	90.14	58.71	105.15	96.01	75.64	55.49	42.41	94.01	59.97	82.87	59.13	55.1	53.95	53.19	17.77	62.12	47.5	46.5	118.43	101.54	75.64	67.12	241.19	95.34	117.6	158.79	218.79	127.0	185.11	100.13	232.94	202.66
HDGFRP3	24.63	95.34	92.7	162.14	361.04	53.95	23.08	320.8	591.22	529.06	457.25	490.14	457.25	669.92	656.11	599.49	511.0	529.06	1259.69	902.89	860.08	470.14	366.09	368.65	444.72	376.41	753.83	967.76	1127.35	669.92	1059.11	486.75	1388.16	633.73	616.37	591.22	974.5	1081.39	896.64	518.15	1008.9	264.03	1175.27	802.41	884.29	303.44	332.14	995.0	470.14	521.76	105.15	38.67	88.88	187.71	1127.35	149.12	198.47	130.6	47.5	45.85	194.36	26.67	17.64	34.75	9.7	43.32	43.02	125.24	25.17	33.78	275.28	34.02	15.56	11.21	88.26	74.06	108.9	31.45	45.21	77.25	81.71	35.0	22.75	22.75	13.62	14.56	66.65	36.01	9.85	205.5	599.49	148.09	178.77	128.79	84.04	140.04	808.0	267.73	211.31	1167.14	1008.9	583.07	490.14
