	TCGA.AN.A0AT.01A.11R.A034.07	TCGA.A2.A0D0.01A.11R.A00Z.07	TCGA.A1.A0SP.01A.11R.A084.07	GTEX.Y5V5.2126.SM.4WWFO	GTEX.132AR.0826.SM.5EGK6	GTEX.XV7Q.2326.SM.4BRVZ	TCGA.3X.AAVE.01A.11R.A41I.07	TCGA.W5.AA2U.01A.11R.A41I.07	TCGA.D5.5541.01A.01R.1653.07	TCGA.5M.AAT6.01A.11R.A41B.07	TCGA.CA.6718.01A.11R.1839.07	TCGA.2H.A9GN.01A.11R.A37I.31	TCGA.KL.8330.01A.11R.2315.07	GTEX.QDVN.1626.SM.48TZC	GTEX.1497J.0826.SM.5NQAJ	TCGA.B8.A54E.01A.11R.A266.07	TCGA.B2.4098.01A.02R.1325.07	TCGA.P4.A5EB.01A.11R.A28H.07	TCGA.HE.A5NF.01A.11R.A26U.07	TCGA.A4.8518.01A.11R.2404.07	TCGA.4A.A93W.01A.11R.A37K.07	TCGA.BQ.7062.01A.11R.1965.07	TCGA.SX.A7SR.01A.12R.A36F.07	TCGA.2Z.A9JR.01A.12R.A42S.07	TCGA.2Z.A9J1.01A.11R.A38C.07	TCGA.AL.3471.01A.02R.1351.07	TCGA.BQ.7045.01A.31R.1965.07	TCGA.BQ.7058.01A.11R.1965.07	TCGA.A4.8098.01A.11R.2404.07	TCGA.B9.7268.01A.11R.A32Z.07	TCGA.BQ.7046.01A.11R.1965.07	TCGA.A4.A48D.01A.11R.A24Z.07	TCGA.IZ.8195.01A.31R.2404.07	TCGA.AL.3466.01A.02R.1351.07	TCGA.GL.8500.01A.11R.2404.07	TCGA.B1.A655.01A.11R.A31O.07	TCGA.A4.8630.01A.11R.2404.07	TCGA.A4.8310.01A.11R.2404.07	TCGA.F9.A7Q0.01A.11R.A36F.07	TCGA.2Z.A9J6.01A.11R.A38C.07	TCGA.A4.7585.01A.11R.2139.07	TCGA.GL.A4EM.01A.11R.A24Z.07	TCGA.BQ.7051.01A.12R.1965.07	TCGA.BQ.7060.01A.11R.1965.07	TCGA.A4.A5Y0.01A.11R.A31O.07	TCGA.G7.6790.01A.11R.1965.07	TCGA.HE.A5NK.01A.11R.A26U.07	TCGA.A4.7583.01A.11R.A32Z.07	TCGA.B9.A5W8.01A.11R.A28H.07	TCGA.Y8.A8S1.01A.11R.A37K.07	TCGA.P4.AAVM.01A.11R.A42S.07	TCGA.J7.8537.01A.11R.2404.07	TCGA.5P.A9KE.01A.11R.A42S.07	TCGA.BQ.5880.01A.11R.1592.07	TCGA.A4.7286.01A.11R.A32Z.07	TCGA.BQ.7050.01A.11R.1965.07	TCGA.BQ.5887.01A.11R.1965.07	TCGA.G7.6797.01A.11R.1965.07	TCGA.DZ.6134.01A.11R.1965.07	TCGA.B1.A657.01A.11R.A31O.07	TCGA.BQ.5884.01A.11R.1592.07	TCGA.UZ.A9Q1.01A.11R.A42S.07	TCGA.Y8.A8RZ.01A.11R.A37K.07	TCGA.A4.8517.01A.11R.2404.07	TCGA.P4.AAVO.01A.11R.A42S.07	TCGA.Y8.A895.01A.11R.A36F.07	TCGA.BQ.5888.11A.01R.1592.07	TCGA.55.8616.01A.11R.2403.07	TCGA.49.AAQV.01A.11R.A39D.07	TCGA.95.7944.01A.11R.2187.07	TCGA.97.8176.01A.11R.2403.07	TCGA.MP.A4T8.01A.11R.A24X.07	TCGA.63.5128.01A.01R.1443.07	TCGA.63.7023.01A.11R.1949.07	TCGA.DC.6682.01A.11R.1830.07	GTEX.131XF.2826.SM.5EGKH	GTEX.ZC5H.2726.SM.5KLZW	GTEX.13CF2.2426.SM.5LZYL	TCGA.CD.5799.01A.11R.1602.13	TCGA.F1.6177.01A.11R.1802.13	TCGA.R5.A7ZF.01A.11R.A354.31	TCGA.BR.7715.01A.11R.2055.13	TCGA.F1.6875.01A.11R.2055.13	TCGA.KB.A6F7.01A.12R.A32D.31	TCGA.CG.5726.01A.11R.1602.13	TCGA.CD.5800.01A.11R.1602.13	TCGA.BR.6566.01A.11R.1802.13	TCGA.R5.A7ZR.01A.11R.A354.31	TCGA.D7.6528.01A.11R.1802.13	GTEX.1399T.0126.SM.5KM15	TCGA.FI.A3PX.01A.11R.A22K.07	TCGA.EY.A549.01A.11R.A27V.07	TCGA.EY.A2ON.01A.21R.A18M.07
NOP14	536.45	599.49	607.87	551.56	457.25	525.39	595.34	559.28	947.83	1030.12	733.19	660.68	267.73	363.56	283.05	403.5	329.84	287.01	336.79	379.04	277.2	237.86	346.29	237.86	232.94	239.52	190.34	253.23	555.41	208.38	275.28	199.85	223.41	384.34	277.2	332.14	271.48	343.89	180.02	287.01	206.94	397.93	353.59	325.29	397.93	295.11	256.78	265.87	208.38	269.6	301.33	529.06	303.44	356.05	341.51	314.17	384.34	336.79	343.89	273.37	435.55	212.78	463.65	281.09	265.87	209.84	334.46	376.41	563.18	450.94	532.74	848.22	616.37	890.44	1388.16	974.5	872.1	457.25	830.75	808.0	884.29	473.41	595.34	529.06	808.0	753.83	559.28	896.64	674.59	336.79	414.87	406.31	281.09
NRD1	2032.85	3257.52	2591.27	1963.57	1991.0	2090.03	2367.9	1896.65	1639.59	2609.3	2303.12	2032.85	1250.98	1216.75	1159.07	1896.65	1359.57	825.0	1159.07	854.13	1508.65	954.43	1175.27	1225.22	1096.5	1709.26	860.08	1313.23	854.13	753.83	1030.12	1030.12	1096.5	5555.65	616.37	1191.69	1081.39	1008.9	1331.57	1167.14	1216.75	1233.75	825.0	988.12	1617.0	607.87	1151.06	674.59	830.75	967.76	928.3	1794.29	1313.23	1304.15	819.3	1359.57	1127.35	532.74	1096.5	1216.75	1359.57	836.53	1923.14	521.76	728.11	1437.15	1175.27	2004.85	2255.7	3190.46	2816.11	2451.44	1883.54	1519.15	2682.69	3303.0	3060.45	3235.01	2335.28	1199.98	3060.45	2047.0	1498.22	3280.18	1216.75	3419.52	2075.59	1685.71	1662.49	1519.15	1896.65	2193.99	3257.52
NT5DC2	1685.71	1991.0	4575.41	830.75	1487.87	1268.46	884.29	988.12	1697.45	3018.3	2061.24	3039.3	132.44	318.57	486.75	109.66	595.34	674.59	909.17	1216.75	1008.9	1030.12	785.88	599.49	647.07	1008.9	543.96	379.04	1104.13	921.88	961.07	629.35	540.19	1651.0	366.09	358.54	872.1	780.44	684.02	651.58	603.67	775.05	723.08	878.17	802.41	684.02	587.13	480.04	728.11	1073.91	1467.37	480.04	836.53	688.78	733.19	723.08	327.56	525.39	616.37	1340.84	599.49	1088.92	447.82	507.46	265.87	1143.1	1225.22	1127.35	665.29	1977.24	2004.85	1639.59	1794.29	1870.53	1001.93	1909.85	1572.76	1081.39	1388.16	1697.45	2609.3	1662.49	1561.89	1127.35	2468.49	2271.4	1250.98	988.12	1457.23	423.61	1832.01	1286.18	1286.18
NUP155	490.14	928.3	961.07	244.57	198.47	191.67	309.83	133.36	246.28	267.73	248.0	341.51	97.36	142.01	115.97	127.0	206.94	132.44	103.69	72.52	98.04	100.83	85.82	94.01	73.54	123.5	121.79	74.58	212.78	119.26	110.43	72.52	111.99	193.01	116.78	162.14	106.63	148.09	102.25	83.45	101.54	123.5	167.9	127.0	139.07	102.97	163.28	134.3	125.24	76.71	129.69	273.37	105.89	64.8	70.51	85.82	120.1	158.79	141.02	103.69	126.12	111.99	125.24	122.64	128.79	83.45	129.69	454.09	269.6	283.05	260.38	429.54	493.56	297.17	429.54	194.36	141.02	186.4	246.28	267.73	483.38	579.04	392.44	293.07	253.23	221.86	157.68	189.02	279.14	159.9	363.56	175.07	426.57
NUP205	1605.83	2047.0	1572.76	551.56	532.74	571.05	595.34	638.15	1183.45	872.1	1407.55	1397.83	703.28	351.14	332.14	660.68	521.76	353.59	470.14	291.04	571.05	438.59	483.38	642.59	500.46	591.22	353.59	346.29	559.28	403.5	429.54	305.55	329.84	521.76	551.56	438.59	486.75	514.56	514.56	400.71	420.68	356.05	514.56	490.14	420.68	366.09	444.72	384.34	353.59	267.73	273.37	684.02	514.56	373.81	242.88	392.44	406.31	403.5	532.74	525.39	633.73	403.5	283.05	555.41	373.81	490.14	406.31	748.61	1167.14	1540.37	802.41	974.5	1685.71	1685.71	1096.5	387.02	251.48	341.51	819.3	1397.83	2303.12	1407.55	878.17	1769.57	1044.52	902.89	1183.45	1088.92	679.29	441.64	802.41	896.64	483.38
NUP35	473.41	327.56	587.13	348.71	253.23	275.28	384.34	214.27	521.76	287.01	363.56	336.79	102.97	121.79	178.77	180.02	142.01	329.84	220.32	114.36	271.48	197.09	136.19	172.65	122.64	363.56	109.66	142.01	178.77	181.28	173.85	147.06	132.44	497.0	351.14	180.02	175.07	175.07	435.55	183.82	316.37	134.3	212.78	127.0	490.14	231.32	358.54	323.03	392.44	66.18	204.07	438.59	129.69	138.1	142.01	166.73	100.83	223.41	145.02	264.03	118.43	150.17	232.94	145.02	143.01	201.25	223.41	253.23	239.52	267.73	232.94	176.29	239.52	518.15	329.84	202.66	116.78	211.31	403.5	318.57	854.13	417.77	397.93	371.22	414.87	265.87	379.04	426.57	384.34	320.8	529.06	269.6	361.04
OLA1	5403.7	4704.07	4836.35	2855.44	2935.74	1819.35	3190.46	1883.54	3665.02	2367.9	3124.78	4419.52	620.67	1250.98	1359.57	2240.11	2976.74	2193.99	2163.77	1733.13	1781.89	1073.91	1073.91	1397.83	1081.39	1519.15	1378.57	1447.15	3419.52	1143.1	1617.0	1519.15	2133.97	5995.9	1745.2	2451.44	1233.75	2032.85	1487.87	1111.82	4419.52	1950.0	1721.16	1378.57	9673.69	1540.37	2018.8	1870.53	2163.77	1073.91	2303.12	1923.14	1923.14	2271.4	1417.35	2193.99	1322.37	1594.73	1561.89	1806.78	1651.0	1963.57	3515.68	1159.07	2627.46	890.44	1721.16	2090.03	2119.22	3614.55	2119.22	2240.11	3168.41	2855.44	5872.48	2591.27	2591.27	1923.14	1923.14	2163.77	3794.3	4066.71	2956.17	1605.83	1883.54	1769.57	3280.18	1844.76	3742.05	1467.37	2451.44	2224.63	2502.97
PAICS	4769.75	3614.55	3742.05	1397.83	1159.07	1378.57	1216.75	1540.37	2537.92	2796.65	2664.15	3081.75	988.12	1143.1	884.29	890.44	921.88	728.11	708.18	629.35	669.92	423.61	521.76	460.44	334.46	251.48	384.34	947.83	1167.14	507.46	819.3	420.68	825.0	2855.44	703.28	1008.9	532.74	974.5	575.03	454.09	1059.11	642.59	902.89	679.29	1216.75	595.34	1111.82	961.07	909.17	444.72	884.29	988.12	713.11	665.29	603.67	575.03	551.56	624.99	633.73	514.56	665.29	813.63	1111.82	521.76	878.17	414.87	909.17	1199.98	1745.2	1119.56	2468.49	2537.92	1857.6	2485.67	4639.29	1151.06	995.0	915.51	1397.83	1909.85	3419.52	1295.13	1781.89	1427.22	2004.85	1216.75	1447.15	1322.37	1605.83	753.83	2163.77	1605.83	2104.58
PAK1IP1	1127.35	1008.9	500.46	320.8	500.46	587.13	262.2	295.11	642.59	450.94	529.06	536.45	128.79	198.47	198.47	373.81	224.97	151.22	176.29	146.03	156.59	139.07	111.99	150.17	115.16	120.1	154.42	206.94	226.54	167.9	181.28	80.57	187.71	197.09	202.66	283.05	181.28	221.86	111.99	166.73	194.36	112.77	211.31	183.82	208.38	183.82	242.88	175.07	136.19	27.05	224.97	555.41	137.14	186.4	67.59	237.86	260.38	72.52	162.14	173.85	231.32	139.07	201.25	154.42	180.02	115.97	212.78	318.57	417.77	507.46	376.41	353.59	356.05	830.75	366.09	406.31	361.04	406.31	395.18	289.02	988.12	703.28	336.79	579.04	366.09	361.04	287.01	351.14	217.27	208.38	607.87	928.3	500.46
PDCD11	490.14	551.56	486.75	329.84	346.29	435.55	507.46	551.56	595.34	928.3	540.19	1304.15	150.17	249.73	293.07	218.79	339.14	217.27	291.04	301.33	283.05	305.55	262.2	332.14	283.05	412.0	283.05	224.97	518.15	262.2	327.56	211.31	318.57	295.11	205.5	305.55	265.87	339.14	327.56	327.56	239.52	341.51	339.14	318.57	414.87	293.07	314.17	283.05	320.8	281.09	423.61	320.8	346.29	327.56	224.97	299.25	232.94	305.55	366.09	289.02	218.79	246.28	341.51	305.55	384.34	295.11	285.03	307.69	591.22	555.41	450.94	974.5	325.29	1023.0	660.68	379.04	301.33	444.72	356.05	567.1	447.82	813.63	607.87	532.74	473.41	400.71	348.71	341.51	395.18	198.47	660.68	403.5	551.56
PDCD2L	518.15	693.58	579.04	198.47	206.94	356.05	190.34	218.79	341.51	447.82	518.15	525.39	70.51	159.9	142.01	129.69	181.28	154.42	172.65	151.22	212.78	124.37	68.55	120.1	138.1	102.97	92.7	176.29	231.32	124.37	117.6	115.97	98.73	297.17	102.25	111.99	126.12	161.02	198.47	146.03	144.01	226.54	145.02	129.69	209.84	218.79	189.02	90.14	142.01	140.04	190.34	389.72	127.89	169.07	82.29	180.02	139.07	124.37	126.12	163.28	98.73	73.03	218.79	143.01	202.66	112.77	140.04	361.04	432.53	353.59	351.14	295.11	305.55	232.94	507.46	363.56	327.56	435.55	444.72	483.38	1159.07	384.34	476.71	587.13	429.54	293.07	316.37	961.07	429.54	206.94	457.25	389.72	275.28
PNO1	775.05	633.73	595.34	348.71	305.55	493.56	470.14	529.06	854.13	514.56	1143.1	1051.79	135.24	234.57	339.14	417.77	363.56	339.14	447.82	251.48	211.31	221.86	167.9	237.86	189.02	299.25	208.38	195.72	426.57	271.48	387.02	234.57	205.5	457.25	403.5	363.56	258.57	325.29	206.94	186.4	289.02	295.11	325.29	301.33	279.14	426.57	341.51	341.51	297.17	163.28	314.17	441.64	234.57	256.78	260.38	301.33	314.17	180.02	285.03	231.32	429.54	215.77	301.33	262.2	312.0	164.42	320.8	400.71	543.96	503.95	426.57	444.72	454.09	1508.65	713.11	376.41	371.22	356.05	403.5	301.33	1008.9	775.05	363.56	309.83	389.72	392.44	305.55	450.94	400.71	220.32	514.56	293.07	332.14
POLR1B	819.3	1250.98	435.55	287.01	279.14	316.37	198.47	309.83	511.0	303.44	567.1	748.61	104.42	260.38	264.03	223.41	239.52	182.55	212.78	167.9	144.01	170.25	194.36	152.28	85.82	127.0	172.65	92.7	371.22	221.86	237.86	107.38	175.07	339.14	194.36	237.86	205.5	180.02	127.0	119.26	205.5	186.4	277.2	279.14	237.86	368.65	124.37	221.86	171.45	120.1	221.86	441.64	157.68	120.94	154.42	197.09	146.03	221.86	271.48	185.11	281.09	169.07	187.71	191.67	125.24	90.14	195.72	303.44	214.27	387.02	244.57	281.09	348.71	674.59	555.41	201.25	172.65	241.19	228.13	438.59	738.29	651.58	476.71	339.14	420.68	241.19	226.54	312.0	536.45	224.97	295.11	228.13	309.83
POLR2D	934.76	2664.15	603.67	253.23	432.53	379.04	460.44	381.68	775.05	698.41	713.11	624.99	176.29	183.82	186.4	249.73	373.81	241.19	265.87	127.89	173.85	172.65	161.02	176.29	107.38	221.86	185.11	89.51	253.23	166.73	255.0	115.16	149.12	559.28	258.57	218.79	195.72	187.71	181.28	110.43	239.52	172.65	241.19	217.27	275.28	346.29	239.52	237.86	194.36	150.17	143.01	423.61	164.42	141.02	159.9	214.27	182.55	323.03	201.25	269.6	293.07	138.1	194.36	197.09	120.94	131.51	239.52	603.67	466.88	543.96	426.57	395.18	587.13	616.37	921.88	450.94	438.59	339.14	529.06	426.57	941.27	728.11	567.1	612.11	426.57	536.45	447.82	490.14	665.29	175.07	435.55	366.09	285.03
POLR2K	1757.34	1991.0	2758.13	1447.15	1066.48	1477.58	1628.26	1594.73	2895.31	2303.12	1844.76	1561.89	2018.8	1151.06	1233.75	2133.97	1844.76	1277.29	1167.14	1104.13	1183.45	1151.06	1447.15	1066.48	1322.37	1540.37	884.29	1407.55	1268.46	1104.13	961.07	1088.92	1617.0	2271.4	1583.71	1819.35	1662.49	1277.29	890.44	1191.69	1519.15	1529.73	1030.12	1175.27	1561.89	802.41	1857.6	1322.37	1388.16	759.08	1359.57	1685.71	1191.69	2090.03	872.1	1397.83	3103.19	884.29	1008.9	1242.34	1066.48	1322.37	1417.35	1073.91	1844.76	1199.98	1806.78	2609.3	2271.4	1268.46	1991.0	2997.45	1268.46	3190.46	2178.83	775.05	587.13	848.22	2075.59	1487.87	5147.73	2997.45	2047.0	2417.67	1923.14	3325.99	1529.73	2004.85	2119.22	1583.71	1617.0	1844.76	1540.37
POLR3G	141.02	90.77	137.14	55.49	124.37	94.67	14.24	89.51	149.12	253.23	264.03	178.77	8.92	13.03	16.15	25.17	13.93	19.82	33.3	13.93	21.94	15.0	14.67	14.45	11.82	8.32	5.19	20.11	29.7	9.34	32.13	14.67	15.34	157.68	36.01	22.75	25.54	42.11	32.13	17.25	38.95	36.53	28.86	25.91	36.79	15.45	36.27	20.26	24.63	8.51	8.85	76.71	10.79	12.64	23.08	18.7	17.0	12.93	18.29	19.53	31.22	18.43	15.34	12.83	21.63	18.43	17.13	45.53	42.71	47.84	29.27	94.67	78.89	86.43	175.07	58.3	69.52	40.93	94.67	90.77	334.46	126.12	68.55	44.89	121.79	63.89	150.17	78.34	84.04	25.17	96.68	70.01	39.5
PPAT	607.87	197.09	412.0	201.25	97.36	138.1	114.36	181.28	343.89	297.17	358.54	287.01	63.0	128.79	147.06	189.02	143.01	57.89	112.77	96.01	60.82	47.5	97.36	44.57	46.18	62.12	76.71	61.25	232.94	88.88	87.03	41.52	126.12	281.09	85.22	169.07	69.52	142.01	58.71	38.4	183.82	84.04	135.24	93.35	170.25	98.04	100.13	105.89	80.01	50.63	103.69	146.03	75.11	103.69	90.77	87.65	68.55	90.77	127.89	56.68	170.25	108.9	142.01	98.04	112.77	57.08	106.63	166.73	193.01	132.44	180.02	325.29	258.57	285.03	612.11	105.15	85.82	106.63	150.17	239.52	518.15	198.47	297.17	366.09	283.05	130.6	150.17	171.45	191.67	92.05	215.77	205.5	202.66
PPIL1	2451.44	575.03	642.59	395.18	1081.39	651.58	454.09	599.49	819.3	743.43	1037.29	1159.07	186.4	426.57	633.73	575.03	521.76	595.34	651.58	444.72	490.14	521.76	493.56	525.39	500.46	438.59	612.11	361.04	521.76	688.78	651.58	417.77	571.05	679.29	503.95	476.71	429.54	872.1	232.94	483.38	551.56	497.0	693.58	575.03	579.04	460.44	595.34	536.45	583.07	343.89	543.96	1066.48	599.49	412.0	262.2	406.31	400.71	202.66	607.87	603.67	476.71	389.72	412.0	511.0	703.28	457.25	616.37	503.95	748.61	1277.29	967.76	866.07	607.87	1073.91	2163.77	412.0	656.11	684.02	753.83	620.67	2468.49	1208.34	575.03	1225.22	759.08	591.22	579.04	1037.29	480.04	521.76	1030.12	633.73	718.08
PSMA1	7589.61	3515.68	4010.71	2875.3	4010.71	3665.02	3564.78	4152.18	4268.94	4450.27	4903.87	5183.54	2645.74	1519.15	2485.67	3325.99	3515.68	3639.7	2758.13	2287.2	2855.44	2240.11	2555.58	2367.9	2627.46	2148.82	2178.83	2502.97	3901.01	2400.97	2335.28	2609.3	3168.41	4736.79	2956.17	3614.55	2591.27	3212.66	3280.18	2224.63	3716.2	2739.08	2816.11	2417.67	4010.71	1883.54	3768.09	2758.13	3589.58	3212.66	2701.35	4152.18	3018.3	2875.3	2758.13	2701.35	2573.36	2133.97	2255.7	2645.74	2758.13	2796.65	2855.44	2451.44	3018.3	2255.7	3146.52	3018.3	3820.7	4268.94	4512.4	3614.55	4210.15	4543.8	6250.56	4123.49	2417.67	3794.3	3146.52	3103.19	5219.6	3614.55	3349.13	5041.77	3639.7	3874.05	4869.99	4328.55	3589.58	2271.4	4512.4	3419.52	3564.78
PSMD1	2976.74	1477.58	1628.26	1417.35	2090.03	1936.53	1277.29	1617.0	1806.78	2119.22	1991.0	2627.46	651.58	1388.16	1427.22	1519.15	1322.37	1427.22	1427.22	954.43	1135.2	995.0	954.43	1143.1	1322.37	1498.22	738.29	981.29	1427.22	780.44	1457.23	1051.79	954.43	2004.85	1498.22	1487.87	934.76	1167.14	1340.84	1135.2	954.43	1208.34	1008.9	1073.91	723.08	1331.57	1540.37	1104.13	1250.98	1001.93	1143.1	1819.35	1135.2	1233.75	1111.82	1225.22	1745.2	693.58	1030.12	1721.16	1857.6	1001.93	759.08	941.27	1127.35	884.29	1233.75	1199.98	1757.34	1242.34	1437.15	1832.01	1159.07	1340.84	2018.8	2148.82	1832.01	2816.11	1477.58	1001.93	2758.13	1498.22	1674.06	2555.58	1191.69	2032.85	2303.12	2720.15	1111.82	733.19	2287.2	1331.57	1378.57
PSMD14	2627.46	1639.59	1991.0	866.07	1331.57	1143.1	1208.34	493.56	1697.45	1331.57	2061.24	1963.57	525.39	884.29	981.29	1883.54	1143.1	1407.55	1628.26	1096.5	775.05	775.05	748.61	713.11	775.05	878.17	669.92	647.07	1467.37	775.05	1242.34	759.08	1051.79	2032.85	1378.57	1594.73	921.88	1183.45	848.22	738.29	2240.11	981.29	1030.12	954.43	1909.85	1225.22	1250.98	1059.11	1127.35	529.06	1119.56	1551.09	915.51	1259.69	1127.35	1037.29	1111.82	665.29	830.75	1286.18	1388.16	1088.92	1159.07	753.83	1135.2	603.67	967.76	934.76	1359.57	1769.57	1487.87	1295.13	1529.73	1794.29	1781.89	1417.35	1167.14	1757.34	1051.79	684.02	1583.71	1143.1	1359.57	1073.91	708.18	1216.75	1167.14	1066.48	1286.18	629.35	1447.15	967.76	1183.45
PUS7	307.69	830.75	599.49	228.13	186.4	395.18	307.69	318.57	607.87	429.54	262.2	591.22	36.01	63.89	116.78	150.17	96.01	48.18	98.73	52.45	142.01	63.89	73.54	90.14	48.52	137.14	49.91	63.0	149.12	88.88	95.34	32.13	65.26	215.77	129.69	120.1	78.89	142.01	153.34	63.45	104.42	84.63	141.02	82.29	96.01	87.65	100.13	102.25	75.11	43.94	88.26	198.47	76.71	51.35	51.71	88.26	52.08	59.13	99.43	73.03	221.86	114.36	44.25	101.54	68.07	53.57	71.5	334.46	283.05	438.59	211.31	389.72	579.04	679.29	336.79	228.13	158.79	289.02	195.72	420.68	825.0	583.07	684.02	567.1	387.02	206.94	175.07	267.73	435.55	116.78	140.04	420.68	172.65
R3HDM1	384.34	417.77	759.08	454.09	361.04	603.67	312.0	323.03	543.96	521.76	638.15	693.58	117.6	167.9	193.01	260.38	291.04	198.47	236.21	186.4	199.85	152.28	197.09	173.85	122.64	438.59	139.07	95.34	285.03	165.57	262.2	111.21	145.02	642.59	217.27	244.57	214.27	195.72	264.03	141.02	346.29	136.19	229.72	193.01	159.9	232.94	198.47	244.57	223.41	84.63	180.02	295.11	148.09	173.85	161.02	303.44	204.07	228.13	232.94	255.0	334.46	218.79	136.19	150.17	117.6	124.37	220.32	297.17	305.55	500.46	384.34	348.71	423.61	902.89	679.29	320.8	395.18	256.78	329.84	466.88	536.45	878.17	480.04	417.77	532.74	334.46	251.48	256.78	633.73	285.03	547.75	361.04	273.37
RABEPK	1135.2	791.35	775.05	466.88	703.28	518.15	314.17	273.37	780.44	825.0	679.29	599.49	293.07	281.09	346.29	303.44	336.79	269.6	454.09	507.46	327.56	277.2	223.41	291.04	258.57	237.86	242.88	435.55	497.0	241.19	444.72	253.23	332.14	503.95	351.14	460.44	264.03	432.53	287.01	281.09	688.78	395.18	329.84	332.14	567.1	353.59	483.38	314.17	387.02	500.46	444.72	334.46	358.54	341.51	265.87	314.17	379.04	239.52	283.05	323.03	309.83	327.56	403.5	314.17	466.88	214.27	432.53	473.41	426.57	813.63	521.76	579.04	327.56	529.06	713.11	490.14	392.44	507.46	289.02	371.22	780.44	780.44	525.39	547.75	473.41	392.44	476.71	198.47	802.41	403.5	339.14	470.14	409.15
RGMB	80.57	44.89	118.43	336.79	141.02	248.0	223.41	51.71	409.15	373.81	229.72	447.82	81.14	60.39	88.26	58.71	81.71	43.32	47.17	28.65	70.51	73.03	71.0	77.25	41.81	58.3	65.72	40.07	94.67	69.52	49.56	48.87	48.87	215.77	63.45	46.84	68.07	46.5	107.38	43.94	64.34	60.39	63.89	53.95	46.18	56.68	226.54	75.64	103.69	67.59	36.53	73.54	47.17	42.71	37.85	71.5	68.55	90.14	66.65	65.72	89.51	35.25	34.26	61.68	40.93	82.29	114.36	220.32	158.79	98.04	148.09	128.79	198.47	119.26	703.28	146.03	185.11	139.07	236.21	723.08	1023.0	507.46	169.07	144.01	260.38	155.5	231.32	156.59	346.29	633.73	114.36	262.2	90.14
RIOK1	1030.12	860.08	403.5	441.64	255.0	432.53	450.94	334.46	559.28	466.88	500.46	444.72	74.58	112.77	157.68	158.79	178.77	94.01	138.1	78.89	157.68	155.5	137.14	142.01	118.43	106.63	128.79	108.14	172.65	111.99	102.97	82.87	118.43	123.5	125.24	139.07	125.24	156.59	98.04	156.59	140.04	97.36	133.36	131.51	131.51	106.63	175.07	147.06	129.69	67.12	127.0	275.28	112.77	101.54	58.71	138.1	148.09	78.89	140.04	148.09	146.03	79.45	114.36	155.5	146.03	99.43	208.38	346.29	348.71	414.87	287.01	363.56	780.44	860.08	387.02	429.54	289.02	248.0	265.87	426.57	547.75	500.46	314.17	351.14	264.03	264.03	236.21	211.31	262.2	223.41	423.61	283.05	381.68
RIPK2	748.61	708.18	723.08	376.41	198.47	269.6	775.05	599.49	1175.27	1467.37	974.5	854.13	127.0	137.14	164.42	228.13	366.09	158.79	214.27	191.67	173.85	221.86	171.45	144.01	161.02	161.02	264.03	197.09	438.59	84.63	301.33	194.36	115.16	836.53	130.6	218.79	138.1	163.28	191.67	173.85	237.86	265.87	164.42	159.9	406.31	223.41	387.02	246.28	297.17	180.02	152.28	463.65	149.12	275.28	231.32	197.09	432.53	152.28	242.88	251.48	256.78	100.13	191.67	136.19	128.79	215.77	206.94	460.44	559.28	587.13	392.44	1001.93	242.88	1044.52	780.44	111.99	103.69	115.97	323.03	525.39	1225.22	603.67	387.02	591.22	551.56	368.65	285.03	381.68	466.88	348.71	287.01	651.58	693.58
RPAP2	329.84	397.93	332.14	329.84	336.79	283.05	220.32	279.14	361.04	312.0	351.14	241.19	97.36	175.07	100.83	237.86	144.01	142.01	159.9	76.17	159.9	149.12	109.66	181.28	127.0	148.09	124.37	137.14	61.25	138.1	128.79	67.59	148.09	265.87	101.54	153.34	181.28	163.28	185.11	145.02	237.86	66.65	221.86	161.02	194.36	120.94	90.77	85.22	97.36	21.78	141.02	358.54	120.94	146.03	71.5	218.79	162.14	67.59	154.42	201.25	231.32	144.01	136.19	198.47	128.79	176.29	154.42	267.73	214.27	348.71	228.13	275.28	253.23	215.77	381.68	301.33	289.02	202.66	193.01	218.79	406.31	299.25	164.42	289.02	161.02	178.77	156.59	134.3	180.02	332.14	265.87	325.29	400.71
RPF1	713.11	884.29	854.13	647.07	748.61	836.53	738.29	656.11	878.17	848.22	890.44	802.41	361.04	463.65	612.11	473.41	395.18	669.92	507.46	409.15	723.08	480.04	454.09	525.39	567.1	473.41	466.88	406.31	346.29	417.77	423.61	373.81	587.13	1073.91	299.25	764.36	450.94	503.95	353.59	503.95	665.29	444.72	503.95	476.71	693.58	379.04	392.44	289.02	327.56	371.22	529.06	1073.91	547.75	486.75	307.69	575.03	476.71	258.57	450.94	525.39	403.5	414.87	595.34	543.96	603.67	373.81	713.11	674.59	532.74	733.19	785.88	624.99	591.22	633.73	1304.15	775.05	665.29	819.3	743.43	934.76	1159.07	708.18	738.29	1199.98	791.35	703.28	780.44	529.06	723.08	808.0	607.87	567.1	1159.07
