	GTEX.S32W.1126.SM.4AD5V	GTEX.U4B1.1226.SM.4DXT7	GTEX.TMMY.1526.SM.4DXST	GTEX.U3ZM.0826.SM.4DXU6	GTEX.SE5C.1026.SM.4BRUG	TCGA.XF.AAN8.01A.11R.A42T.07	TCGA.XF.AAN7.01A.11R.A42T.07	TCGA.CU.A0YN.11A.11R.A10U.07	TCGA.BT.A20N.11A.11R.A14Y.07	TCGA.CU.A0YR.11A.13R.A10U.07	TCGA.BL.A13J.11A.13R.A10U.07	TCGA.BT.A20R.11A.11R.A16R.07	TCGA.BT.A20Q.11A.11R.A14Y.07	TCGA.W8.A86G.01A.21R.A36F.07	TCGA.E9.A1RG.01A.11R.A14D.07	TCGA.AC.A3OD.01A.11R.A21T.07.1	TCGA.BH.A1FG.01A.11R.A13Q.07	TCGA.A7.A4SC.01A.12R.A266.07	TCGA.BH.A0B1.01A.12R.A056.07	TCGA.D8.A1JL.01A.11R.A13Q.07	TCGA.BH.A202.01A.11R.A14M.07	TCGA.A2.A4S3.01A.21R.A266.07	TCGA.LL.A7T0.01A.31R.A352.07	TCGA.A7.A4SA.01A.11R.A266.07	TCGA.D8.A3Z5.01A.41R.A24H.07	TCGA.C8.A26Z.01A.11R.A16F.07	TCGA.E2.A14U.01A.11R.A22K.07	TCGA.A7.A5ZW.01A.12R.A29R.07	TCGA.D8.A1X8.01A.11R.A14M.07	TCGA.A2.A0EN.01A.13R.A084.07	TCGA.A8.A079.01A.21R.A00Z.07	TCGA.LL.A442.01A.11R.A24H.07	TCGA.AR.A24W.01A.11R.A169.07	TCGA.E2.A15T.01A.11R.A115.07	TCGA.D8.A1XU.01A.11R.A14M.07	TCGA.AC.A2FK.01A.12R.A180.07	TCGA.B6.A0RE.01A.11R.A056.07	TCGA.A2.A0T2.01A.11R.A084.07	TCGA.AR.A5QP.01A.11R.A28M.07	TCGA.B6.A1KI.01A.11R.A14M.07	TCGA.A2.A0D0.01A.11R.A00Z.07	TCGA.AR.A1AP.01A.11R.A12P.07	TCGA.BH.A204.01A.11R.A157.07	TCGA.OL.A5RU.01A.11R.A28M.07	TCGA.BH.A18J.01A.11R.A12D.07	TCGA.AR.A1AT.01A.11R.A12P.07	TCGA.EW.A1PE.01A.11R.A144.07	TCGA.A8.A06Y.01A.21R.A00Z.07	TCGA.D8.A1Y2.01A.11R.A157.07	TCGA.E2.A150.01A.11R.A12D.07	TCGA.A2.A1G6.01A.11R.A13Q.07	TCGA.GI.A2C9.01A.11R.A21T.07	TCGA.A2.A3XS.01A.11R.A22U.07	TCGA.B6.A0RS.01A.11R.A084.07	TCGA.B6.A0RQ.01A.11R.A115.07	TCGA.LL.A73Z.01A.11R.A32P.07	TCGA.A2.A0ES.01A.11R.A115.07	TCGA.BH.A0RX.01A.21R.A084.07	TCGA.AO.A03U.01B.21R.A10J.07	TCGA.BH.A0DO.01B.11R.A12D.07	TCGA.AR.A5QN.01A.12R.A28M.07	TCGA.EW.A1P8.01A.11R.A144.07	TCGA.BH.A0BS.01A.11R.A12P.07	TCGA.AO.A12B.01A.11R.A10J.07	TCGA.B6.A0IO.01A.11R.A034.07	TCGA.BH.A1EU.11A.23R.A137.07	TCGA.BH.A1EO.11A.31R.A137.07	TCGA.BH.A0DZ.11A.22R.A089.07	TCGA.BH.A0H7.11A.13R.A089.07	TCGA.BH.A1FD.11B.21R.A13Q.07	TCGA.BH.A0DO.11A.22R.A12D.07	TCGA.BH.A0C3.11A.23R.A12P.07	TCGA.BH.A1F0.11B.23R.A137.07	TCGA.BH.A18L.11A.42R.A12D.07	TCGA.BH.A0H9.11A.22R.A466.07	TCGA.BH.A0H5.11A.62R.A115.07	TCGA.BH.A0HK.11A.11R.A089.07	TCGA.E2.A1L7.11A.33R.A144.07	TCGA.AC.A2FB.11A.13R.A17B.07	TCGA.BH.A1F8.11B.21R.A13Q.07	TCGA.E9.A1ND.11A.43R.A144.07	TCGA.BH.A18S.11A.43R.A12D.07	TCGA.BH.A0C0.11A.21R.A089.07	TCGA.BH.A0AY.11A.23R.A089.07	TCGA.BH.A0DT.11A.12R.A12D.07	TCGA.BH.A0BV.11A.31R.A089.07	TCGA.BH.A0BQ.11A.33R.A115.07	TCGA.BH.A1FU.11A.23R.A14D.07	TCGA.BH.A203.11A.42R.A169.07	TCGA.BH.A0BM.11A.12R.A089.07	TCGA.BH.A1FR.11B.42R.A13Q.07	TCGA.AC.A23H.11A.12R.A157.07	TCGA.BH.A1F6.11B.94R.A13Q.07	TCGA.BH.A0AZ.11A.22R.A12P.07	TCGA.BH.A0DG.11A.43R.A12P.07	TCGA.BH.A18U.11A.23R.A12D.07	TCGA.BH.A0DH.11A.31R.A089.07	TCGA.BH.A0DP.11A.12R.A089.07	TCGA.BH.A0B7.11A.34R.A115.07	TCGA.BH.A18N.11A.43R.A12D.07	TCGA.BH.A0BC.11A.22R.A089.07	TCGA.E2.A1LH.11A.22R.A14D.07	TCGA.BH.A1FB.11A.33R.A13Q.07	TCGA.BH.A0BT.11A.21R.A12P.07	TCGA.BH.A0AU.11A.11R.A12P.07	TCGA.BH.A0DK.11A.13R.A089.07	TCGA.E2.A15M.11A.22R.A12D.07	TCGA.GI.A2C9.11A.22R.A21T.07	TCGA.BH.A0DV.11A.22R.A12P.07	TCGA.BH.A1FJ.11B.42R.A13Q.07	TCGA.A7.A0CE.11A.21R.A089.07	TCGA.E9.A1NA.11A.33R.A144.07	TCGA.BH.A0DQ.11A.12R.A089.07	GTEX.WYVS.1726.SM.3NMAY	GTEX.WYBS.0926.SM.3NM94	GTEX.ZZPU.0626.SM.5E43T	GTEX.13N11.1726.SM.5J1OJ	GTEX.ZF2S.2026.SM.5E461	GTEX.XOT4.0726.SM.4GIAW	GTEX.ZVZQ.0826.SM.51MRF	GTEX.ZVT4.1026.SM.57WC4	GTEX.1269C.2426.SM.5FQSN	GTEX.1399U.1826.SM.5PNZ1	GTEX.R3RS.0626.SM.48FE1	GTEX.XMD2.0926.SM.4WWEF	GTEX.YFC4.1426.SM.5IFJG	GTEX.131YS.0626.SM.5EGKL	GTEX.S341.1526.SM.4AD6K	GTEX.T2IS.1526.SM.32QPR	GTEX.Y5LM.1726.SM.4VDSX	GTEX.ZF29.1926.SM.5S2P1	GTEX.S4P3.1326.SM.4AD6V	GTEX.1313W.0826.SM.5EQ4T	GTEX.Q2AG.0326.SM.48U1O	GTEX.X15G.1626.SM.3NMB3	GTEX.11EMC.2026.SM.5A5JV	GTEX.13O3O.0826.SM.5K7WE	GTEX.Y3IK.2326.SM.4WWDT	GTEX.ZXES.0826.SM.5E43C	GTEX.14AS3.1626.SM.5S2OY	GTEX.VJWN.0726.SM.3GIJ8	GTEX.13NZ8.0126.SM.5IJCT	GTEX.13D11.1026.SM.5IJFB	GTEX.13FTY.2226.SM.5J1ND	GTEX.13PL6.2926.SM.5L3I2	GTEX.ZVT2.1826.SM.5NQ8W	GTEX.XUW1.2326.SM.4BOO5	GTEX.RU72.0626.SM.46MUI	GTEX.TML8.1226.SM.32QON	GTEX.13QIC.2326.SM.5LU5N	TCGA.HM.A3JJ.11A.12R.A21T.07	GTEX.WFG7.1626.SM.4LVMF	TCGA.IG.A7DP.01A.31R.A336.31	GTEX.12WSJ.0826.SM.5PNWV	GTEX.132NY.2026.SM.5L3FM	TCGA.38.4625.01A.01R.1206.07	TCGA.38.4625.01A.01R.1206.07.1	GTEX.13RTJ.1126.SM.5S2UJ	GTEX.ZYW4.1526.SM.5SIBA	GTEX.117YW.0526.SM.5H11C	TCGA.BR.A453.01A.11R.A24K.31	GTEX.ZE7O.3026.SM.51MS4	GTEX.13O61.1126.SM.5L3FI	GTEX.ZV6S.0926.SM.57WGB	GTEX.OIZH.1526.SM.3NB1J	GTEX.UPK5.2126.SM.4JBJK	TCGA.AX.A0IZ.11A.11R.A27V.07	TCGA.AX.A2HC.11A.11R.A32Y.07	TCGA.BG.A2AD.11A.11R.A16F.07	TCGA.BG.A3EW.11A.22R.A22K.07	TCGA.N5.A4RF.01A.11R.A28V.07	GTEX.13N11.1126.SM.5KM41	GTEX.S4UY.1226.SM.4AD51	GTEX.1117F.2426.SM.5EGGH	GTEX.PWOO.1526.SM.48TCK
C9orf66	1.2	2.16	0.89	0.25	0.57	5.41	0.64	1.77	3.08	2.86	2.18	0.89	0.0	40.93	8.65	7.94	16.51	15.68	24.63	12.64	8.25	9.63	2.94	8.0	11.82	10.55	32.13	18.7	13.62	14.89	4.46	12.45	20.11	1.57	9.78	31.45	3.92	44.89	18.56	21.47	7.46	19.25	9.13	16.51	10.79	24.63	21.01	14.89	4.03	0.67	34.02	1.64	15.68	14.03	21.78	18.03	19.82	17.38	4.13	11.64	12.74	8.92	13.52	0.32	9.34	34.75	17.38	32.13	21.94	23.59	19.53	17.13	26.1	25.72	20.11	23.59	28.04	22.75	20.56	41.81	12.83	25.91	26.1	12.18	27.05	26.1	21.47	21.78	22.1	29.48	29.27	18.97	18.97	25.17	22.1	25.91	31.22	39.22	23.93	24.28	28.04	36.79	31.67	26.28	18.16	47.17	28.45	15.91	26.86	15.0	52.82	11.3	21.63	24.46	34.26	49.91	46.84	66.65	25.35	56.28	5.5	24.99	22.1	33.78	17.77	28.45	37.85	15.34	19.82	5.32	26.67	5.73	8.71	16.75	41.81	28.65	8.19	24.46	27.44	23.76	13.12	3.47	12.18	44.89	23.25	19.97	5.36	23.76	26.67	94.67	1.46	2.92	9.06	11.47	3.11	0.0	0.0	26.86	12.83	4.74	7.22	11.04	0.0	1.68	2.73	8.19	3.06	1.13	3.99	4.74	2.18	4.9	0.84	3.2	1.38
CABP4	6.06	3.44	1.38	9.2	0.59	20.71	14.14	11.47	6.26	8.19	13.42	4.9	7.11	153.34	141.02	58.3	46.18	22.75	267.73	24.46	25.72	5.19	323.03	102.97	305.55	18.7	201.25	49.56	167.9	28.04	24.63	49.91	40.36	187.71	13.62	100.13	4.1	4.7	23.08	57.08	7.0	12.45	1.16	52.08	67.59	25.35	80.01	91.41	107.38	16.03	71.0	25.72	21.47	7.4	74.58	44.25	127.89	11.64	77.25	55.49	33.54	29.91	48.18	29.06	22.92	36.79	17.9	63.89	103.69	21.16	70.51	63.89	28.65	82.29	13.93	97.36	76.17	76.71	38.67	33.06	61.25	34.02	82.87	77.25	67.12	103.69	91.41	119.26	53.19	82.87	60.82	32.59	40.64	123.5	55.49	63.45	80.01	142.01	73.54	98.73	41.81	128.79	60.39	75.11	111.21	129.69	29.7	53.95	54.33	18.97	91.41	55.89	87.03	95.34	23.59	96.68	215.77	176.29	43.02	41.22	18.16	8.25	53.57	85.22	64.8	1044.52	67.12	314.17	1.83	20.26	65.72	52.45	49.21	131.51	193.01	551.56	37.05	67.59	197.09	24.81	36.79	65.72	172.65	555.41	153.34	212.78	100.13	27.84	43.02	279.14	10.79	10.0	7.22	28.65	22.43	0.0	0.49	8.85	77.79	48.87	12.74	0.82	4.7	1.91	1.99	32.36	6.26	7.34	7.11	3.76	10.24	115.97	9.27	33.06	79.45
CAPN11	10.39	8.19	5.59	2.48	2.48	30.78	28.86	7.46	2.68	25.54	3.92	10.96	0.91	132.44	40.07	25.91	3.56	24.63	7.63	9.34	4.17	9.27	20.56	28.45	100.13	14.89	130.6	42.11	19.53	21.63	3.82	12.18	45.85	12.09	16.51	120.1	2.34	9.56	41.81	23.25	1.38	7.17	8.25	15.11	2.51	6.57	8.38	28.65	12.09	9.27	153.34	3.17	18.43	9.85	99.43	123.5	112.77	25.91	6.84	44.57	19.39	12.64	9.27	15.56	5.77	61.68	49.21	127.89	67.59	63.45	163.28	256.78	72.01	114.36	96.01	223.41	100.83	155.5	147.06	111.99	125.24	85.22	223.41	111.21	150.17	137.14	126.12	206.94	176.29	217.27	114.36	117.6	99.43	318.57	136.19	126.12	191.67	301.33	246.28	74.58	119.26	150.17	140.04	122.64	185.11	124.37	82.87	101.54	123.5	20.41	273.37	74.58	165.57	228.13	48.18	201.25	223.41	403.5	67.59	132.44	106.63	61.68	38.4	231.32	94.01	764.36	185.11	50.98	17.9	17.77	64.34	96.68	111.99	343.89	521.76	121.79	16.39	134.3	293.07	90.14	126.12	97.36	42.41	262.2	571.05	92.7	65.72	147.06	187.71	146.03	36.53	6.01	34.51	42.11	21.32	0.0	0.04	17.25	8.25	15.91	7.57	33.78	12.27	4.17	8.65	61.68	36.27	32.13	18.16	23.42	2.56	21.94	23.93	8.45	12.83
CAPN8	1.58	25.72	8.45	3.14	3.41	11.64	0.0	0.0	0.0	189.02	0.0	0.96	1.87	7180.15	149.12	3982.99	928.3	693.58	76.71	1.45	24.46	114.36	332.14	234.57	5006.93	1183.45	3716.2	728.11	1832.01	819.3	1183.45	769.69	493.56	896.64	941.27	603.67	6.11	5.45	1427.22	1733.13	2.78	251.48	161.02	3212.66	521.76	86.43	2104.58	483.38	149.12	6.52	1286.18	65.26	51.35	37.59	1059.11	536.45	1023.0	77.25	4481.23	3639.7	1059.11	4.62	1572.76	3716.2	616.37	1030.12	8.58	1617.0	607.87	688.78	438.59	1487.87	518.15	698.41	10.39	1159.07	493.56	1304.15	358.54	299.25	312.0	638.15	825.0	988.12	1037.29	1259.69	830.75	1594.73	432.53	575.03	743.43	323.03	423.61	1286.18	373.81	571.05	1066.48	1388.16	954.43	1437.15	426.57	493.56	595.34	1519.15	1369.04	1806.78	435.55	450.94	289.02	490.14	1167.14	175.07	1250.98	909.17	1745.2	409.15	1295.13	3168.41	555.41	125.24	341.51	341.51	201.25	384.34	748.61	5913.33	708.18	2895.31	1529.73	353.59	848.22	629.35	536.45	1977.24	2133.97	5112.16	947.83	629.35	303.44	361.04	825.0	708.18	172.65	6516.03	947.83	1322.37	269.6	2163.77	559.28	1183.45	0.77	0.0	10.79	3.11	12.27	0.0	0.58	713.11	3.08	100.13	43.94	5.32	21.63	10.16	14.14	27.05	0.0	2.56	7.82	25.72	16.15	2.03	6.67	18.84	3.82
CATSPERG	17.25	39.22	14.89	7.0	9.27	14.78	17.77	11.47	14.24	25.72	22.1	10.16	16.39	299.25	46.5	121.79	291.04	80.01	129.69	42.11	49.91	45.21	51.35	98.73	165.57	480.04	189.02	151.22	90.14	131.51	185.11	66.65	115.16	77.79	181.28	169.07	33.54	84.04	92.05	148.09	14.24	33.54	41.52	154.42	69.52	63.45	228.13	56.28	28.45	45.85	231.32	58.71	80.01	115.97	172.65	81.14	178.77	42.71	45.53	195.72	187.71	95.34	150.17	211.31	154.42	105.89	47.17	128.79	100.13	101.54	116.78	181.28	78.34	105.89	22.75	120.94	108.9	193.01	83.45	82.87	89.51	158.79	136.19	71.5	143.01	161.02	146.03	169.07	86.43	194.36	107.38	91.41	67.12	115.97	120.94	111.99	118.43	146.03	173.85	191.67	123.5	133.36	129.69	163.28	198.47	127.0	58.71	86.43	95.34	107.38	171.45	87.65	185.11	277.2	121.79	77.79	125.24	255.0	133.36	32.82	34.75	82.87	67.59	130.6	77.25	361.04	157.68	122.64	303.44	40.36	88.26	119.26	78.34	214.27	237.86	224.97	88.26	214.27	191.67	127.89	44.57	136.19	57.08	514.56	187.71	93.35	98.73	208.38	251.48	198.47	15.91	43.94	38.4	34.51	32.82	0.0	0.38	42.41	14.03	48.52	14.67	86.43	26.1	34.26	28.65	32.59	31.45	6.94	54.33	38.67	87.03	40.93	65.26	61.68	36.53
CCDC148	7.57	7.75	7.69	11.04	1.19	10.39	24.11	12.18	17.13	7.69	9.93	7.88	17.0	54.72	11.73	24.28	19.39	23.25	69.03	11.47	15.11	54.72	12.64	60.82	37.85	14.78	63.89	57.49	24.46	36.01	71.0	17.25	39.22	66.18	82.29	64.8	13.03	6.94	30.34	33.78	11.73	53.57	16.51	37.32	59.55	28.86	48.18	16.03	10.39	5.68	60.39	19.11	13.72	10.16	80.01	28.65	76.71	9.93	20.41	53.57	21.32	1.22	17.25	21.63	23.42	56.68	7.57	37.59	52.82	39.5	67.12	39.22	47.5	34.02	2.16	74.58	33.3	71.5	26.67	40.07	12.55	52.82	60.39	28.65	55.49	73.54	84.63	63.89	50.27	60.82	54.72	43.63	36.79	104.42	92.05	60.82	29.7	118.43	77.25	60.39	50.27	72.52	56.28	78.89	80.01	51.35	48.18	36.01	71.0	55.49	58.3	15.56	73.54	77.79	96.01	28.24	56.68	100.13	74.06	36.79	13.22	49.21	15.91	68.55	42.41	128.79	66.65	70.51	67.59	28.24	23.93	22.75	38.95	57.08	56.68	97.36	39.79	53.19	47.5	44.25	50.98	27.44	16.63	107.38	75.64	50.98	22.92	68.55	72.01	59.55	7.17	0.0	8.13	9.2	12.74	0.0	0.0	27.25	3.14	28.45	14.14	27.64	8.65	6.73	9.2	23.76	25.17	4.46	19.39	9.27	4.39	20.86	7.46	57.89	6.84
CCDC158	6.01	5.23	11.55	8.13	7.0	0.79	1.85	10.0	10.08	6.06	16.63	20.26	14.78	24.99	0.3	36.79	9.34	11.64	23.42	18.84	7.94	2.03	1.19	5.02	18.29	40.64	18.43	16.51	26.67	48.87	6.01	72.01	59.55	85.82	23.76	70.51	4.21	1.3	12.09	19.97	0.92	7.57	1.87	10.55	0.66	13.32	10.0	58.3	3.03	11.38	23.08	23.42	0.31	0.65	35.25	7.69	34.51	4.46	2.27	52.08	18.03	3.2	54.33	15.56	15.45	73.03	12.36	15.45	14.45	23.25	56.68	66.18	22.26	46.84	12.55	101.54	21.16	42.41	23.76	31.0	7.82	70.51	113.56	18.03	43.02	88.26	41.81	75.11	75.64	37.85	40.93	49.91	60.39	105.15	48.87	75.64	21.01	57.89	48.87	58.3	49.56	50.27	35.25	36.27	69.52	63.0	48.87	36.01	90.77	38.67	40.64	43.94	64.8	198.47	61.25	48.87	49.21	376.41	182.55	34.02	8.13	75.64	18.56	214.27	9.78	273.37	65.26	63.89	65.72	13.03	49.21	167.9	80.57	75.11	58.3	107.38	18.56	74.58	123.5	13.22	15.0	51.35	38.67	208.38	264.03	35.0	23.25	102.97	100.13	121.79	1.2	7.4	5.82	8.0	4.03	0.0	0.15	1.04	10.96	1.41	12.36	2.25	7.4	1.68	17.77	4.1	0.0	1.23	1.25	1.27	0.0	11.91	4.17	6.46	4.98
CELSR2	35.25	214.27	181.28	126.12	224.97	11.91	123.5	138.1	90.77	121.79	127.0	87.03	85.22	1066.48	1508.65	785.88	1044.52	162.14	241.19	389.72	231.32	343.89	825.0	309.83	1697.45	1605.83	1175.27	872.1	1216.75	157.68	563.18	2240.11	314.17	1583.71	493.56	842.36	209.84	532.74	1487.87	348.71	441.64	974.5	1794.29	379.04	559.28	470.14	1427.22	438.59	244.57	536.45	1135.2	299.25	718.08	143.01	954.43	403.5	1498.22	186.4	295.11	830.75	718.08	275.28	638.15	3212.66	563.18	514.56	26.86	860.08	555.41	287.01	547.75	1208.34	291.04	551.56	36.27	529.06	563.18	995.0	493.56	348.71	209.84	329.84	579.04	532.74	743.43	974.5	624.99	1143.1	457.25	769.69	438.59	273.37	356.05	842.36	583.07	693.58	723.08	555.41	1001.93	703.28	476.71	612.11	483.38	830.75	1104.13	1208.34	460.44	420.68	486.75	260.38	819.3	279.14	1508.65	629.35	629.35	392.44	532.74	1259.69	525.39	205.5	185.11	665.29	323.03	457.25	289.02	1477.58	567.1	587.13	529.06	236.21	642.59	373.81	334.46	486.75	1023.0	1242.34	202.66	733.19	514.56	540.19	303.44	384.34	361.04	1023.0	698.41	733.19	358.54	647.07	414.87	708.18	43.32	85.82	206.94	69.52	169.07	0.0	0.57	72.52	35.0	57.08	157.68	124.37	147.06	48.52	132.44	209.84	42.71	59.55	163.28	217.27	155.5	141.02	111.21	339.14	105.89
CHDH	22.59	12.36	1.91	0.69	1.03	3.14	11.47	4.43	6.62	9.34	4.78	5.73	3.11	329.84	116.78	281.09	106.63	295.11	156.59	147.06	368.65	154.42	25.54	92.05	406.31	178.77	444.72	265.87	131.51	182.55	221.86	346.29	353.59	231.32	16.03	417.77	185.11	31.67	361.04	312.0	112.77	122.64	212.78	361.04	55.1	279.14	139.07	493.56	273.37	127.0	493.56	176.29	152.28	17.64	384.34	199.85	403.5	115.97	141.02	348.71	267.73	40.07	119.26	204.07	397.93	341.51	7.28	353.59	291.04	167.9	457.25	426.57	283.05	244.57	12.0	470.14	285.03	346.29	251.48	242.88	105.89	271.48	429.54	316.37	312.0	366.09	237.86	435.55	251.48	414.87	273.37	181.28	102.25	420.68	363.56	341.51	220.32	503.95	476.71	371.22	275.28	579.04	392.44	384.34	575.03	289.02	217.27	190.34	341.51	195.72	279.14	217.27	547.75	309.83	325.29	229.72	178.77	329.84	327.56	127.89	96.01	228.13	267.73	314.17	223.41	429.54	309.83	454.09	285.03	161.02	239.52	301.33	130.6	332.14	256.78	376.41	162.14	271.48	329.84	231.32	305.55	255.0	202.66	454.09	291.04	309.83	182.55	397.93	155.5	218.79	11.47	25.17	43.02	22.26	27.64	54.72	166.73	69.52	44.25	89.51	37.05	18.03	17.51	11.3	20.56	36.27	34.02	14.67	56.68	54.33	16.63	112.77	102.25	217.27	20.71
CLDN8	0.0	1.36	7.4	4.21	1.5	0.0	0.0	0.0	0.0	1.66	0.0	0.0	0.0	591.22	3.82	175.07	93.35	336.79	105.15	70.01	71.5	125.24	59.55	75.64	127.89	14.56	366.09	117.6	40.07	42.71	50.27	21.78	785.88	12.74	33.3	1963.57	493.56	111.21	438.59	5.41	37.05	74.58	0.0	135.24	33.78	38.67	2.29	28.45	22.75	299.25	1023.0	87.03	92.7	363.56	1572.76	629.35	414.87	181.28	2032.85	281.09	19.53	234.57	41.22	93.35	206.94	961.07	0.0	620.67	775.05	454.09	1651.0	1359.57	902.89	633.73	0.0	1662.49	1051.79	1081.39	872.1	1378.57	295.11	595.34	995.0	579.04	1447.15	1508.65	656.11	412.0	1540.37	1304.15	1896.65	1529.73	616.37	1199.98	1467.37	1111.82	236.21	796.86	1286.18	629.35	921.88	1427.22	1844.76	1001.93	1073.91	3491.39	660.68	1447.15	2591.27	1447.15	435.55	599.49	708.18	1159.07	1437.15	1369.04	397.93	457.25	1651.0	423.61	128.79	1191.69	679.29	1059.11	1417.35	389.72	813.63	854.13	1757.34	698.41	785.88	854.13	165.57	429.54	1066.48	830.75	669.92	884.29	1073.91	1806.78	1806.78	529.06	518.15	813.63	941.27	1081.39	400.71	1119.56	395.18	934.76	0.0	0.0	0.0	0.0	0.54	0.0	0.0	69.03	2.05	6.06	0.0	17.64	0.0	4.46	0.0	6.06	0.0	0.0	0.59	2.53	18.29	0.0	0.0	9.48	0.0
CLMN	63.89	64.34	83.45	67.12	29.06	153.34	113.56	47.5	37.85	102.97	50.63	59.55	30.12	417.77	232.94	571.05	279.14	633.73	441.64	256.78	226.54	297.17	161.02	129.69	389.72	483.38	532.74	309.83	1216.75	529.06	438.59	1769.57	743.43	518.15	674.59	753.83	273.37	293.07	293.07	1397.83	195.72	214.27	54.72	412.0	567.1	361.04	1104.13	325.29	244.57	547.75	514.56	441.64	221.86	429.54	414.87	307.69	884.29	180.02	392.44	540.19	819.3	246.28	967.76	353.59	242.88	769.69	384.34	476.71	454.09	775.05	595.34	575.03	579.04	669.92	529.06	607.87	540.19	486.75	460.44	511.0	269.6	540.19	791.35	497.0	775.05	571.05	660.68	836.53	860.08	343.89	571.05	490.14	733.19	669.92	669.92	603.67	540.19	928.3	638.15	769.69	514.56	728.11	775.05	665.29	595.34	866.07	638.15	389.72	764.36	660.68	551.56	473.41	738.29	995.0	1233.75	665.29	764.36	842.36	708.18	139.07	500.46	591.22	371.22	825.0	397.93	1135.2	616.37	1225.22	808.0	454.09	703.28	878.17	775.05	819.3	647.07	1757.34	246.28	371.22	1397.83	80.01	748.61	819.3	182.55	2090.03	981.29	307.69	733.19	1313.23	454.09	423.61	78.34	117.6	125.24	82.29	121.79	194.36	37.05	373.81	167.9	397.93	94.67	205.5	63.0	58.71	70.01	275.28	84.63	107.38	135.24	117.6	154.42	89.51	80.57	72.52	111.99
CMTR2	141.02	134.3	98.04	120.94	127.89	80.57	59.13	199.85	135.24	150.17	164.42	83.45	155.5	218.79	84.04	285.03	237.86	255.0	241.19	373.81	264.03	143.01	151.22	223.41	185.11	447.82	320.8	279.14	246.28	251.48	99.43	180.02	435.55	202.66	493.56	521.76	180.02	126.12	327.56	234.57	85.82	258.57	223.41	260.38	154.42	193.01	255.0	447.82	264.03	353.59	463.65	303.44	275.28	108.9	341.51	251.48	281.09	228.13	309.83	293.07	215.77	214.27	215.77	108.14	312.0	540.19	220.32	209.84	291.04	332.14	444.72	426.57	392.44	293.07	149.12	406.31	236.21	327.56	260.38	441.64	170.25	334.46	460.44	312.0	466.88	387.02	309.83	500.46	470.14	329.84	483.38	376.41	412.0	414.87	483.38	389.72	171.45	373.81	429.54	358.54	305.55	409.15	473.41	463.65	447.82	397.93	373.81	371.22	366.09	511.0	206.94	305.55	486.75	656.11	547.75	423.61	555.41	688.78	457.25	253.23	124.37	353.59	226.54	403.5	260.38	1001.93	417.77	406.31	249.73	361.04	368.65	387.02	264.03	669.92	297.17	503.95	287.01	368.65	389.72	211.31	638.15	299.25	239.52	748.61	371.22	312.0	237.86	529.06	493.56	540.19	205.5	138.1	223.41	92.7	132.44	0.0	0.0	186.4	279.14	220.32	161.02	265.87	111.99	130.6	164.42	209.84	220.32	199.85	194.36	132.44	99.43	309.83	169.07	181.28	246.28
CMYA5	17.9	51.71	75.64	49.21	25.17	49.91	45.53	58.3	73.03	86.43	59.97	79.45	49.21	620.67	229.72	182.55	180.02	470.14	397.93	156.59	183.82	75.64	67.59	234.57	633.73	72.01	381.68	164.42	283.05	412.0	166.73	42.71	312.0	96.68	275.28	532.74	56.68	64.34	305.55	327.56	17.64	159.9	76.71	329.84	41.81	182.55	599.49	540.19	186.4	164.42	376.41	45.53	44.57	7.4	441.64	218.79	303.44	57.89	368.65	305.55	139.07	30.56	128.79	129.69	104.42	633.73	28.86	271.48	287.01	329.84	318.57	543.96	363.56	277.2	11.82	660.68	273.37	400.71	221.86	327.56	129.69	363.56	555.41	190.34	490.14	392.44	463.65	490.14	493.56	426.57	444.72	366.09	265.87	656.11	529.06	490.14	323.03	536.45	493.56	423.61	285.03	409.15	518.15	348.71	547.75	283.05	246.28	297.17	575.03	368.65	346.29	215.77	540.19	775.05	1322.37	743.43	384.34	921.88	1127.35	269.6	217.27	802.41	258.57	769.69	373.81	836.53	638.15	775.05	279.14	444.72	575.03	447.82	170.25	432.53	507.46	493.56	159.9	624.99	603.67	146.03	457.25	441.64	183.82	1119.56	723.08	295.11	205.5	595.34	339.14	426.57	303.44	15.22	72.52	12.93	183.82	0.0	0.43	35.0	43.94	111.21	55.49	133.36	69.03	34.51	45.53	102.25	285.03	229.72	170.25	273.37	5.45	93.35	217.27	226.54	38.4
