	TCGA.BC.A110.01A.11R.A131.07	TCGA.DD.AAVX.01A.11R.A41C.07	TCGA.DD.A119.11A.11R.A131.07	TCGA.BC.A10R.11A.11R.A131.07	TCGA.DD.A3A5.11A.11R.A22L.07	TCGA.DD.A3A4.11A.11R.A22L.07	TCGA.BC.A110.11A.11R.A131.07	TCGA.DD.A11A.11A.11R.A131.07	TCGA.BC.A216.11A.11R.A155.07	GTEX.WYVS.1926.SM.4PQZ2	GTEX.QDVN.0826.SM.48TZ2	GTEX.TKQ2.1726.SM.4DXUP	GTEX.ZVP2.0626.SM.51MSO	GTEX.RM2N.1926.SM.48FCU	GTEX.Y5V5.0926.SM.4VBPZ	GTEX.PX3G.0826.SM.48TZS	GTEX.U3ZN.0226.SM.3DB8D	GTEX.Z9EW.0426.SM.5CVM9	GTEX.OOBJ.0826.SM.3NB2K	GTEX.13FTW.1126.SM.5J2NV	GTEX.UTHO.2426.SM.4JBHD	GTEX.ZPU1.0826.SM.57WG2	GTEX.ZF2S.3026.SM.4WWCH	GTEX.144GM.1326.SM.5LU5E	GTEX.139TS.1426.SM.5IFJD	GTEX.139YR.0226.SM.5IFEM	GTEX.146FH.1526.SM.5NQBU	GTEX.YEC4.0826.SM.5P9FV	GTEX.QV44.0326.SM.4R1KD	GTEX.11EQ9.0526.SM.5A5JZ	GTEX.RU72.1426.SM.46MUF	GTEX.ZZPU.0426.SM.5GZYH	GTEX.X3Y1.2726.SM.4PQZH	GTEX.12696.0826.SM.5EGGE	GTEX.ZYY3.0626.SM.5NQ6W	GTEX.ZF29.2026.SM.4WWB7	GTEX.131XE.0326.SM.5LZVO	GTEX.145MO.2326.SM.5NQ9K	GTEX.14E1K.0326.SM.5S2PE	GTEX.13NZB.0626.SM.5IFH6	GTEX.12KS4.1326.SM.5LUB3	GTEX.13PVR.0126.SM.5S2PY	GTEX.Q734.0326.SM.48U15	GTEX.132NY.0926.SM.5P9G3	GTEX.14753.1626.SM.5NQ9L	GTEX.WFON.1726.SM.4LVMQ	GTEX.UPK5.1426.SM.4JBHH	GTEX.S4Z8.0526.SM.4AD4T	GTEX.11WQC.0726.SM.5EQMR	GTEX.NFK9.2226.SM.3MJGP	TCGA.EM.A3FR.01A.11R.A220.07	TCGA.EM.A22P.01A.11R.A19O.07	TCGA.EL.A3CW.01A.11R.A19O.07	TCGA.EL.A3CY.01A.11R.A19O.07	TCGA.E8.A2JQ.11A.11R.A180.07	TCGA.BJ.A28R.11A.11R.A16R.07	TCGA.EL.A3ZL.11A.11R.A23N.07	TCGA.FY.A3TY.11A.12R.A22U.07	TCGA.EL.A3MW.11A.11R.A20F.07	TCGA.KS.A41I.11A.11R.A23N.07	TCGA.EL.A3GZ.11A.11R.A20F.07	TCGA.BJ.A2N8.11A.11R.A18C.07	TCGA.GE.A2C6.11A.11R.A16R.07	TCGA.EL.A3N3.11A.11R.A20F.07	TCGA.BJ.A2N9.11A.11R.A18C.07	TCGA.EL.A3T2.11A.11R.A22L.07	TCGA.BJ.A2N7.11A.11R.A18C.07	GTEX.S7SF.0226.SM.5SI7H	GTEX.WOFL.0726.SM.3MJG4	GTEX.13FH7.0126.SM.5KLZ1	GTEX.13N11.1026.SM.5K7XQ	GTEX.13NZ9.1126.SM.5MR37	GTEX.YB5K.0526.SM.5LUAS	GTEX.XUJ4.0726.SM.4BOOP	GTEX.13OVI.0826.SM.5KLZ8
STX6	152.28	107.38	71.0	90.77	50.98	84.63	89.51	134.3	78.89	214.27	124.37	44.57	58.71	85.22	84.63	37.85	69.03	66.18	57.08	44.57	194.36	63.89	108.14	102.25	64.34	172.65	100.83	66.18	92.05	60.39	79.45	49.56	53.19	57.49	186.4	49.91	325.29	54.72	50.27	145.02	129.69	50.27	162.14	58.3	53.57	47.5	74.58	66.18	88.88	187.71	329.84	450.94	332.14	420.68	395.18	341.51	281.09	343.89	403.5	297.17	395.18	363.56	361.04	346.29	343.89	356.05	318.57	329.84	384.34	318.57	423.61	395.18	441.64	264.03	281.09
SUMO2	3768.09	4388.98	2485.67	2777.33	2485.67	3190.46	2520.38	2485.67	3589.58	5006.93	3847.29	4481.23	2875.3	2835.7	2271.4	3690.52	3716.2	2758.13	2148.82	3639.7	6652.97	3443.31	3564.78	2758.13	2835.7	3303.0	4298.64	2555.58	2664.15	3103.19	3794.3	2627.46	3168.41	3395.89	3928.15	2451.44	4802.93	3039.3	2997.45	2303.12	5183.54	2367.9	4419.52	2997.45	2417.67	2591.27	3190.46	2701.35	3639.7	6652.97	5751.61	6745.86	5255.91	4972.34	5633.22	5255.91	5076.84	4639.29	4836.35	4903.87	4543.8	4704.07	5041.77	4836.35	6121.9	3955.48	5711.87	4802.93	4210.15	5329.3	5441.3	5006.93	6121.9	4639.29	4543.8
TBC1D3F	16.75	80.01	32.82	41.22	87.65	59.97	33.06	32.82	43.02	119.26	48.52	53.57	26.1	12.45	111.99	46.18	29.48	23.08	69.52	43.94	316.37	31.45	80.01	31.0	118.43	123.5	107.38	22.92	13.72	71.0	59.55	70.01	18.16	53.19	108.9	25.17	60.82	73.03	100.83	122.64	27.64	36.27	172.65	59.55	46.84	94.01	122.64	98.04	23.42	186.4	208.38	234.57	129.69	275.28	246.28	113.56	214.27	208.38	94.67	264.03	133.36	81.14	149.12	190.34	142.01	100.13	116.78	115.97	115.97	111.99	84.04	314.17	178.77	110.43	229.72
TBKBP1	59.13	70.51	37.59	37.05	16.27	74.58	21.78	40.36	21.01	134.3	47.5	17.25	38.67	21.01	25.17	19.11	15.11	15.34	40.07	26.47	277.2	10.0	43.02	9.41	42.71	67.59	64.34	25.72	34.75	36.01	75.11	28.04	31.45	39.5	84.63	16.15	64.34	22.59	37.05	26.86	53.95	18.7	93.35	17.51	12.55	52.82	34.02	34.26	60.39	194.36	205.5	267.73	161.02	183.82	199.85	191.67	137.14	320.8	182.55	229.72	260.38	204.07	169.07	173.85	171.45	214.27	199.85	353.59	232.94	151.22	249.73	248.0	158.79	256.78	229.72
THAP11	346.29	366.09	281.09	348.71	389.72	429.54	299.25	248.0	329.84	414.87	277.2	332.14	314.17	209.84	279.14	316.37	152.28	432.53	371.22	209.84	514.56	264.03	339.14	264.03	387.02	529.06	435.55	255.0	392.44	312.0	361.04	320.8	466.88	194.36	264.03	190.34	444.72	279.14	307.69	392.44	299.25	239.52	470.14	202.66	171.45	327.56	426.57	363.56	412.0	567.1	656.11	651.58	620.67	480.04	638.15	733.19	457.25	559.28	470.14	713.11	665.29	587.13	660.68	463.65	633.73	486.75	454.09	713.11	476.71	529.06	679.29	718.08	718.08	656.11	532.74
TMEM240	15.34	5.41	9.48	1.85	3.96	18.7	0.0	3.32	7.57	25.91	18.29	2.07	11.47	1.99	9.13	10.71	2.89	4.5	9.27	1.55	56.68	3.38	13.32	1.68	23.76	6.36	4.21	3.86	0.0	11.73	13.03	6.01	8.32	0.0	22.59	2.61	13.83	7.28	2.46	10.55	4.66	0.0	21.01	4.21	4.98	2.43	4.62	11.04	15.0	26.67	64.34	92.7	78.34	59.97	35.76	55.49	37.05	75.64	95.34	80.57	105.89	55.89	67.12	50.27	46.5	68.55	41.52	98.73	60.82	48.87	83.45	84.04	92.7	39.79	100.13
TRIP10	703.28	432.53	228.13	363.56	143.01	607.87	356.05	205.5	301.33	583.07	248.0	221.86	336.79	105.89	212.78	258.57	115.16	113.56	108.9	318.57	1977.24	112.77	127.89	1015.93	323.03	748.61	205.5	218.79	165.57	287.01	392.44	185.11	150.17	836.53	961.07	106.63	450.94	195.72	183.82	1119.56	334.46	105.89	466.88	182.55	103.69	163.28	224.97	166.73	289.02	1477.58	2573.36	2047.0	1594.73	1519.15	1477.58	1313.23	2351.53	2384.37	1781.89	1617.0	2032.85	1551.09	1331.57	1857.6	1651.0	2303.12	1757.34	1857.6	3168.41	1378.57	1467.37	2090.03	1662.49	1651.0	2468.49
TSC22D4	536.45	486.75	423.61	323.03	371.22	679.29	269.6	397.93	381.68	733.19	575.03	329.84	327.56	195.72	334.46	457.25	187.71	242.88	555.41	361.04	1477.58	202.66	507.46	139.07	785.88	738.29	426.57	134.3	483.38	366.09	444.72	223.41	312.0	255.0	753.83	191.67	543.96	312.0	307.69	743.43	743.43	167.9	780.44	181.28	251.48	339.14	651.58	299.25	620.67	1457.23	961.07	1709.26	1159.07	1369.04	1143.1	961.07	624.99	830.75	753.83	1066.48	825.0	836.53	1259.69	802.41	1250.98	753.83	854.13	872.1	1175.27	703.28	785.88	1583.71	896.64	785.88	808.0
TTF1	177.53	141.02	107.38	85.82	106.63	152.28	66.65	96.01	132.44	140.04	141.02	60.39	79.45	82.87	125.24	81.71	90.77	71.5	112.77	66.18	318.57	91.41	96.68	50.98	116.78	122.64	84.04	87.03	97.36	82.87	124.37	106.63	52.08	83.45	246.28	94.01	167.9	115.97	87.03	95.34	206.94	103.69	120.1	75.11	77.25	111.21	85.82	69.52	177.53	426.57	412.0	329.84	400.71	327.56	346.29	432.53	497.0	426.57	363.56	379.04	400.71	389.72	417.77	341.51	414.87	500.46	432.53	490.14	353.59	325.29	400.71	423.61	438.59	366.09	429.54
UBE2Q2	194.36	111.99	73.03	91.41	56.28	115.16	93.35	155.5	102.25	262.2	190.34	118.43	137.14	105.15	108.9	56.68	301.33	98.73	187.71	88.88	603.67	206.94	100.83	52.82	32.36	182.55	129.69	60.82	52.08	129.69	173.85	180.02	85.22	66.65	371.22	92.7	426.57	40.07	66.18	67.59	194.36	35.25	226.54	55.89	30.56	123.5	94.01	100.83	199.85	1769.57	669.92	536.45	656.11	532.74	595.34	638.15	503.95	603.67	651.58	591.22	674.59	713.11	688.78	660.68	457.25	486.75	642.59	587.13	616.37	429.54	713.11	511.0	647.07	476.71	532.74
USHBP1	73.03	81.71	22.92	18.56	6.84	73.03	28.45	19.97	22.43	117.6	61.25	30.56	50.63	42.71	11.38	42.11	22.26	34.51	36.79	32.82	189.02	48.18	47.84	21.32	23.76	37.05	55.49	19.68	27.84	62.56	37.05	59.97	68.07	56.28	90.14	50.27	90.14	16.39	23.93	27.44	96.68	43.94	53.95	18.97	10.71	70.01	59.13	40.07	43.94	149.12	115.16	185.11	126.12	163.28	63.0	115.16	75.64	121.79	76.71	98.04	120.1	100.13	81.14	102.25	114.36	173.85	114.36	125.24	162.14	67.12	115.97	147.06	84.04	68.07	198.47
USP11	483.38	339.14	295.11	384.34	206.94	339.14	289.02	397.93	244.57	587.13	450.94	341.51	260.38	403.5	242.88	229.72	237.86	454.09	366.09	285.03	947.83	271.48	332.14	884.29	295.11	371.22	361.04	363.56	412.0	232.94	258.57	204.07	273.37	244.57	616.37	239.52	417.77	253.23	346.29	379.04	457.25	295.11	571.05	323.03	199.85	293.07	275.28	267.73	289.02	1127.35	1977.24	1674.06	1977.24	1295.13	1870.53	1977.24	2875.3	2682.69	2468.49	1977.24	2555.58	3081.75	2133.97	2319.15	2287.2	2537.92	2555.58	2032.85	1950.0	2240.11	2451.44	2209.26	1832.01	2209.26	1628.26
USP54	60.39	29.7	69.03	24.46	28.45	36.79	25.54	33.3	70.01	67.59	22.75	24.99	68.07	11.82	28.24	24.81	57.08	28.86	162.14	32.36	277.2	59.97	47.17	25.91	9.2	40.07	90.14	50.63	59.13	39.5	56.28	43.94	96.68	153.34	50.63	72.52	45.85	60.82	87.65	71.5	50.27	61.25	22.75	23.76	39.22	118.43	70.01	20.56	28.65	733.19	1721.16	902.89	1721.16	848.22	1685.71	1991.0	3515.68	3124.78	3018.3	1709.26	3325.99	2609.3	1857.6	4543.8	1388.16	3349.13	2384.37	2701.35	1651.0	1909.85	2739.08	1844.76	2400.97	3564.78	2777.33
VEGFB	1268.46	1143.1	872.1	743.43	743.43	954.43	753.83	1359.57	848.22	1870.53	426.57	2520.38	341.51	223.41	1561.89	503.95	159.9	348.71	414.87	336.79	7180.15	703.28	607.87	2485.67	599.49	2400.97	571.05	177.53	1331.57	457.25	3124.78	285.03	521.76	525.39	4481.23	323.03	2451.44	406.31	836.53	6121.9	2335.28	223.41	1322.37	1151.06	503.95	392.44	2061.24	674.59	967.76	3690.52	2047.0	2758.13	3564.78	2816.11	2935.74	3716.2	2645.74	3103.19	3614.55	3257.52	2976.74	3690.52	3060.45	2502.97	3540.14	2895.31	3039.3	2240.11	2645.74	2133.97	1819.35	3742.05	3124.78	2209.26	2004.85
WNT2B	26.67	4.86	2.84	7.22	3.2	3.72	4.21	5.82	8.32	7.63	7.75	1.31	4.46	2.73	8.0	0.74	3.56	2.61	7.0	3.47	42.11	1.14	0.49	2.66	2.76	7.46	6.57	3.86	2.01	6.21	3.26	2.76	2.71	7.94	28.65	4.5	23.42	1.89	2.81	11.55	3.96	3.56	15.22	3.17	0.0	5.19	2.81	2.73	6.01	22.92	11.73	22.59	23.08	40.36	29.06	22.59	24.81	31.67	22.59	25.72	21.16	16.88	24.81	24.28	21.16	26.1	14.45	26.67	69.03	16.75	23.59	34.02	26.86	23.93	41.81
ZCCHC7	140.04	214.27	113.56	109.66	87.65	133.36	113.56	143.01	150.17	144.01	115.16	103.69	70.51	87.65	109.66	74.58	165.57	124.37	98.04	78.89	267.73	72.01	111.99	124.37	120.94	209.84	105.15	114.36	69.52	74.06	220.32	67.12	104.42	194.36	255.0	89.51	195.72	232.94	80.01	186.4	122.64	124.37	152.28	127.0	84.04	72.52	126.12	83.45	141.02	289.02	307.69	267.73	332.14	253.23	435.55	351.14	303.44	316.37	373.81	403.5	336.79	277.2	400.71	483.38	279.14	299.25	339.14	314.17	285.03	271.48	420.68	417.77	325.29	279.14	275.28
ZFAND1	486.75	775.05	483.38	441.64	346.29	607.87	575.03	529.06	463.65	403.5	808.0	738.29	373.81	684.02	476.71	299.25	1023.0	759.08	507.46	429.54	1167.14	791.35	476.71	713.11	346.29	665.29	825.0	616.37	559.28	368.65	486.75	521.76	733.19	571.05	575.03	540.19	1001.93	325.29	780.44	486.75	432.53	1143.1	629.35	624.99	420.68	429.54	547.75	463.65	743.43	1519.15	1023.0	902.89	1104.13	785.88	934.76	1242.34	1519.15	1427.22	1369.04	1037.29	1378.57	1199.98	1104.13	1378.57	860.08	1594.73	1378.57	1508.65	974.5	1151.06	1359.57	947.83	1437.15	995.0	1295.13
ZNF229	1.93	5.63	29.7	4.28	4.1	6.62	1.85	7.0	4.94	32.13	11.13	44.25	19.97	2.01	15.45	27.84	2.39	28.04	18.16	1.04	79.45	3.47	15.45	3.11	1.17	21.78	19.53	11.82	3.59	4.62	2.94	10.16	16.15	13.52	30.34	14.78	0.87	7.51	10.31	9.78	18.7	7.63	12.09	4.7	2.14	7.69	7.46	8.65	8.99	111.99	124.37	72.01	94.01	47.17	82.87	105.89	122.64	155.5	162.14	63.89	131.51	150.17	101.54	96.68	77.79	143.01	132.44	101.54	47.84	140.04	115.16	86.43	106.63	102.25	115.97
ZNF286B	1.93	16.75	8.38	1.46	1.99	6.94	1.87	9.2	12.93	5.92	3.47	4.31	3.23	11.55	0.55	6.73	1.77	8.19	9.13	3.08	34.51	15.68	5.92	1.33	3.14	2.05	16.03	2.36	0.47	4.43	7.69	4.28	0.0	2.97	10.63	4.98	7.0	0.39	1.38	6.21	1.08	3.08	8.99	8.71	1.19	1.01	7.34	9.78	8.13	22.1	5.02	30.34	28.86	9.56	33.3	33.54	7.57	40.64	29.27	18.7	44.57	20.71	38.95	43.32	23.42	68.07	22.1	59.13	45.85	23.76	48.87	48.52	21.01	70.51	14.03
ZNF738	11.04	13.93	7.75	12.09	5.32	15.45	3.99	8.51	20.11	82.29	21.78	3.99	8.25	2.89	11.13	6.84	4.66	7.57	23.76	5.92	116.78	10.16	4.43	3.03	0.87	20.11	9.78	3.92	2.18	20.71	11.13	0.65	5.45	23.76	26.47	6.62	77.25	3.44	1.28	8.71	5.11	4.82	24.81	1.95	2.71	13.93	34.51	0.57	14.78	55.89	70.51	110.43	79.45	105.15	111.99	104.42	105.15	123.5	108.14	136.19	100.13	69.52	105.89	134.3	78.89	111.21	108.9	114.36	183.82	90.77	79.45	409.15	87.03	90.77	93.35
ZNF781	70.51	7.46	20.56	4.39	4.7	14.45	14.56	18.03	2.71	43.02	3.82	3.53	10.88	7.4	3.47	11.47	5.11	12.45	14.03	6.89	223.41	5.96	4.58	0.3	4.39	30.34	7.51	0.0	6.89	55.89	5.96	2.89	4.28	0.56	59.97	0.0	20.26	2.23	21.94	7.22	36.27	1.73	16.51	3.03	0.0	39.5	16.63	5.23	51.71	62.56	242.88	33.78	105.89	32.36	36.53	98.04	86.43	104.42	141.02	102.97	147.06	83.45	50.27	148.09	87.03	133.36	104.42	161.02	65.26	28.65	329.84	209.84	173.85	102.97	56.68
