	TCGA.AR.A1AU.01A.11R.A12P.07	TCGA.D8.A27L.01A.11R.A16F.07	TCGA.A8.A08P.01A.11R.A00Z.07	TCGA.A2.A0YF.01A.21R.A109.07	TCGA.OL.A5D8.01A.11R.A27Q.07	TCGA.3C.AALJ.01A.31R.A41B.07	TCGA.E2.A1IG.01A.11R.A144.07	TCGA.C8.A1HN.01A.11R.A137.07	TCGA.E2.A15F.01A.11R.A115.07	TCGA.D8.A1XS.01A.11R.A14M.07	TCGA.A8.A091.01A.11R.A00Z.07	TCGA.E2.A105.01A.11R.A10J.07	TCGA.A7.A0D9.01A.31R.A056.07	TCGA.E9.A1R5.01A.11R.A14M.07	TCGA.A8.A09K.01A.11R.A00Z.07	TCGA.AR.A24L.01A.11R.A169.07	TCGA.D8.A140.01A.11R.A115.07	TCGA.EW.A1PA.01A.11R.A144.07	TCGA.A8.A09M.01A.11R.A00Z.07	TCGA.A8.A09R.01A.11R.A00Z.07	TCGA.3C.AAAU.01A.11R.A41B.07	TCGA.E2.A14S.01A.11R.A12D.07	TCGA.OL.A66J.01A.11R.A29R.07	TCGA.D8.A1JH.01A.11R.A13Q.07	TCGA.AR.A2LL.01A.11R.A180.07	TCGA.AQ.A04H.01B.11R.A10J.07	TCGA.D8.A27T.01A.11R.A16F.07	TCGA.BH.A0C3.01A.21R.A12P.07	TCGA.EW.A2FV.01A.11R.A17B.07	TCGA.A7.A0CJ.01A.21R.A00Z.07	TCGA.AC.A2FM.01A.11R.A19W.07	TCGA.BH.A0AU.01A.11R.A12P.07	TCGA.AR.A24S.01A.11R.A169.07	TCGA.E2.A15R.01A.11R.A115.07	TCGA.D8.A1X9.01A.12R.A157.07	TCGA.D8.A1XG.01A.11R.A14D.07	TCGA.E9.A1NI.01A.11R.A14D.07	TCGA.AN.A0FY.01A.11R.A034.07	TCGA.ZU.A8S4.11A.11R.A41I.07	TCGA.W5.AA2X.11A.11R.A41I.07	TCGA.W5.AA30.11A.11R.A41I.07	TCGA.DD.A39Z.11A.21R.A213.07	TCGA.DD.A119.11A.11R.A131.07	TCGA.DD.A11C.11A.11R.A131.07	TCGA.DD.A1EC.11A.11R.A131.07	TCGA.DD.A3A5.11A.11R.A22L.07	TCGA.DD.A3A8.11A.11R.A22L.07	TCGA.DD.A39X.11A.11R.A213.07	TCGA.DD.A3A4.11A.11R.A22L.07	TCGA.FV.A3I0.11A.11R.A22L.07	TCGA.BC.A110.11A.11R.A131.07	TCGA.DD.A1EJ.11A.11R.A155.07	TCGA.DD.A113.11A.12R.A131.07	TCGA.DD.A1EB.11A.11R.A131.07	TCGA.DD.A1EE.11A.11R.A131.07	TCGA.DD.A39V.11A.11R.A213.07	TCGA.DD.A11A.11A.11R.A131.07	TCGA.BC.A216.11A.11R.A155.07	GTEX.WYVS.1926.SM.4PQZ2	GTEX.QDVN.0826.SM.48TZ2	GTEX.TKQ2.1726.SM.4DXUP	GTEX.ZVP2.0626.SM.51MSO	GTEX.RM2N.1926.SM.48FCU	GTEX.Y5V5.0926.SM.4VBPZ	GTEX.PX3G.0826.SM.48TZS	GTEX.U3ZN.0226.SM.3DB8D	GTEX.Z9EW.0426.SM.5CVM9	GTEX.OOBJ.0826.SM.3NB2K	GTEX.13FTW.1126.SM.5J2NV	GTEX.ZPU1.0826.SM.57WG2	GTEX.ZAB5.0426.SM.5CVMI	GTEX.13113.1326.SM.5GCOI	GTEX.WQUQ.1926.SM.4OOSA	GTEX.ZF2S.3026.SM.4WWCH	GTEX.144GM.1326.SM.5LU5E	GTEX.139TS.1426.SM.5IFJD	GTEX.139YR.0226.SM.5IFEM	GTEX.146FH.1526.SM.5NQBU	GTEX.YEC4.0826.SM.5P9FV	GTEX.P78B.1326.SM.3P611	GTEX.QV44.0326.SM.4R1KD	GTEX.11EQ9.0526.SM.5A5JZ	GTEX.ZZPU.0426.SM.5GZYH	GTEX.X3Y1.2726.SM.4PQZH	GTEX.12WSL.0226.SM.5CVMJ	GTEX.12696.0826.SM.5EGGE	GTEX.ZF29.2026.SM.4WWB7	GTEX.131XE.0326.SM.5LZVO	GTEX.145MO.2326.SM.5NQ9K	GTEX.14E1K.0326.SM.5S2PE	GTEX.14DAQ.1726.SM.5S2R2	GTEX.13NZB.0626.SM.5IFH6	GTEX.11DXZ.0126.SM.5EGGY	GTEX.13PVR.0126.SM.5S2PY	GTEX.132NY.0926.SM.5P9G3	GTEX.14753.1626.SM.5NQ9L	GTEX.WFON.1726.SM.4LVMQ	GTEX.UPK5.1426.SM.4JBHH	GTEX.S4Z8.0526.SM.4AD4T	GTEX.VUSG.0126.SM.4KL1X	GTEX.R53T.0326.SM.48FEC	GTEX.V1D1.1926.SM.4JBGX	GTEX.NFK9.2226.SM.3MJGP
SLC25A24	450.94	981.29	473.41	1662.49	830.75	450.94	780.44	1111.82	825.0	921.88	660.68	642.59	543.96	536.45	633.73	1467.37	780.44	1104.13	579.04	693.58	559.28	493.56	854.13	813.63	796.86	1417.35	1008.9	551.56	406.31	718.08	743.43	483.38	1096.5	1111.82	902.89	1233.75	339.14	1304.15	42.71	68.07	42.11	20.86	50.98	32.13	49.91	8.06	17.77	18.97	47.84	21.78	28.45	48.87	32.82	40.93	64.34	24.46	60.39	56.68	329.84	684.02	47.84	125.24	63.0	12.83	38.4	84.04	34.75	90.14	71.0	79.45	116.78	12.36	10.96	52.45	27.64	9.41	118.43	55.89	23.76	17.64	24.99	162.14	40.07	46.84	26.28	30.12	55.1	353.59	22.26	7.57	28.45	38.4	138.1	39.5	10.39	7.06	77.79	59.13	48.52	44.57	72.52	125.24	163.28
SLC25A36	651.58	934.76	612.11	878.17	389.72	698.41	684.02	620.67	848.22	921.88	1457.23	753.83	878.17	529.06	872.1	928.3	759.08	974.5	607.87	796.86	878.17	785.88	432.53	866.07	748.61	813.63	708.18	638.15	693.58	748.61	738.29	769.69	848.22	928.3	928.3	842.36	525.39	571.05	45.21	81.71	90.77	32.13	49.56	43.94	83.45	11.82	8.71	17.64	46.5	19.68	38.12	43.63	34.51	45.21	69.52	24.28	58.71	66.18	289.02	139.07	23.59	82.29	38.95	28.04	34.26	95.34	36.53	82.87	57.49	31.45	73.03	42.71	16.03	62.56	20.26	41.22	27.05	36.53	52.45	36.27	55.89	118.43	29.7	50.98	21.94	19.68	70.01	185.11	19.11	9.2	49.91	18.03	114.36	64.34	5.87	7.94	75.11	26.1	42.11	81.71	16.39	503.95	497.0
SMAD2	1529.73	1832.01	1183.45	1487.87	1259.69	808.0	1628.26	1216.75	1651.0	1605.83	1594.73	1233.75	1781.89	1781.89	1487.87	1870.53	1437.15	1733.13	866.07	2119.22	1127.35	981.29	825.0	1457.23	1572.76	988.12	1781.89	1674.06	1498.22	1757.34	780.44	1769.57	1745.2	2895.31	1359.57	1685.71	1437.15	2193.99	320.8	426.57	429.54	237.86	460.44	291.04	463.65	209.84	348.71	414.87	429.54	301.33	215.77	454.09	348.71	441.64	480.04	329.84	444.72	353.59	571.05	703.28	633.73	403.5	400.71	366.09	329.84	733.19	507.46	543.96	514.56	642.59	703.28	358.54	325.29	728.11	435.55	293.07	713.11	665.29	353.59	420.68	571.05	536.45	483.38	665.29	460.44	231.32	583.07	563.18	392.44	559.28	283.05	348.71	511.0	463.65	285.03	353.59	511.0	587.13	607.87	728.11	642.59	791.35	1369.04
SOGA1	444.72	454.09	285.03	269.6	327.56	147.06	301.33	684.02	463.65	802.41	660.68	796.86	299.25	208.38	688.78	595.34	532.74	447.82	412.0	480.04	896.64	679.29	171.45	392.44	255.0	836.53	291.04	351.14	441.64	387.02	435.55	866.07	403.5	1096.5	305.55	476.71	271.48	211.31	14.45	27.05	25.54	13.52	16.39	13.03	33.06	4.9	7.11	7.22	17.77	5.59	5.02	11.91	12.55	12.55	20.11	9.13	22.1	20.56	90.77	38.95	19.53	20.11	19.11	7.63	17.64	17.13	16.27	16.63	22.92	8.45	34.26	13.03	8.85	15.45	1.79	8.25	22.59	31.45	10.08	18.03	16.88	31.22	8.92	21.32	11.82	6.52	8.06	42.41	8.06	10.96	9.93	15.8	31.67	16.27	3.29	3.66	13.52	15.0	18.43	12.45	8.78	209.84	218.79
SPIN1	1477.58	1745.2	718.08	1417.35	1127.35	928.3	1250.98	921.88	878.17	1233.75	1322.37	1340.84	748.61	1127.35	902.89	1950.0	1151.06	738.29	780.44	1199.98	693.58	1175.27	1268.46	1844.76	1023.0	1583.71	1745.2	934.76	860.08	713.11	981.29	954.43	1286.18	1096.5	1369.04	1583.71	624.99	1268.46	234.57	356.05	291.04	208.38	316.37	265.87	406.31	177.53	183.82	186.4	194.36	221.86	264.03	256.78	291.04	358.54	334.46	202.66	297.17	256.78	423.61	291.04	329.84	271.48	193.01	441.64	444.72	651.58	217.27	334.46	234.57	432.53	518.15	159.9	91.41	480.04	117.6	185.11	154.42	414.87	206.94	248.0	363.56	325.29	248.0	226.54	353.59	98.04	191.67	454.09	115.97	175.07	497.0	208.38	412.0	289.02	142.01	77.25	177.53	327.56	289.02	246.28	575.03	733.19	723.08
SPIN2B	198.47	223.41	166.73	176.29	165.57	214.27	164.42	295.11	183.82	117.6	575.03	318.57	251.48	149.12	511.0	166.73	182.55	366.09	218.79	403.5	373.81	314.17	305.55	242.88	348.71	660.68	320.8	153.34	358.54	143.01	180.02	105.89	348.71	239.52	232.94	186.4	134.3	334.46	120.94	126.12	130.6	108.14	73.03	95.34	73.03	88.26	76.71	75.11	123.5	74.06	72.52	78.89	87.03	114.36	110.43	90.14	107.38	84.04	153.34	75.64	52.45	51.35	88.88	112.77	115.16	74.06	45.21	116.78	60.39	58.3	153.34	85.22	82.87	78.89	38.12	136.19	118.43	96.01	51.71	172.65	133.36	94.67	75.64	87.03	59.13	69.52	50.27	63.45	98.73	68.55	108.14	138.1	123.5	41.22	57.89	67.12	62.12	149.12	81.71	43.94	77.25	316.37	301.33
SPIN3	137.14	165.57	96.68	63.45	92.05	76.17	85.22	84.63	159.9	120.94	320.8	159.9	131.51	112.77	253.23	102.25	128.79	171.45	118.43	529.06	208.38	132.44	90.14	151.22	232.94	563.18	178.77	81.71	106.63	64.34	113.56	83.45	173.85	147.06	182.55	221.86	69.03	170.25	43.32	74.58	53.95	34.26	42.41	63.45	49.21	23.08	20.41	33.78	45.53	23.25	40.64	40.36	35.76	54.72	54.72	39.22	28.65	19.25	48.52	27.64	38.4	12.83	28.65	76.71	37.85	35.25	21.16	51.71	21.32	42.71	54.33	27.64	28.24	46.18	15.68	47.5	46.5	71.0	22.59	47.5	75.11	38.12	60.82	40.93	26.28	52.82	19.53	38.67	15.8	36.79	71.0	91.41	58.71	22.59	40.07	15.34	29.27	60.82	47.17	14.35	46.18	127.89	57.89
SPRED2	698.41	607.87	363.56	921.88	854.13	669.92	551.56	825.0	679.29	813.63	1127.35	470.14	638.15	511.0	525.39	718.08	543.96	753.83	409.15	775.05	595.34	684.02	525.39	842.36	555.41	934.76	547.75	616.37	339.14	547.75	420.68	529.06	698.41	511.0	896.64	753.83	743.43	381.68	256.78	379.04	438.59	249.73	309.83	248.0	400.71	332.14	218.79	248.0	320.8	323.03	301.33	325.29	460.44	346.29	366.09	271.48	571.05	275.28	258.57	217.27	220.32	178.77	271.48	688.78	161.02	376.41	395.18	279.14	303.44	397.93	248.0	299.25	177.53	182.55	223.41	299.25	154.42	253.23	291.04	303.44	202.66	231.32	275.28	162.14	86.43	438.59	348.71	423.61	205.5	197.09	249.73	389.72	244.57	246.28	197.09	303.44	271.48	361.04	178.77	138.1	381.68	312.0	157.68
SPTAN1	1963.57	2061.24	934.76	1008.9	1561.89	1322.37	2032.85	780.44	1757.34	1066.48	1561.89	1127.35	1001.93	1331.57	2178.83	1529.73	1832.01	2555.58	1340.84	1551.09	2335.28	1437.15	1617.0	2537.92	1001.93	2047.0	1572.76	1508.65	1286.18	1806.78	1268.46	1540.37	1457.23	2133.97	1447.15	2835.7	1551.09	1519.15	567.1	775.05	698.41	454.09	624.99	567.1	674.59	339.14	547.75	423.61	802.41	525.39	409.15	713.11	595.34	693.58	698.41	332.14	698.41	381.68	872.1	775.05	463.65	624.99	591.22	514.56	547.75	420.68	616.37	587.13	703.28	463.65	703.28	591.22	414.87	698.41	525.39	314.17	476.71	1081.39	540.19	848.22	603.67	896.64	559.28	583.07	743.43	429.54	587.13	1008.9	480.04	559.28	476.71	457.25	884.29	536.45	397.93	229.72	665.29	454.09	633.73	480.04	591.22	896.64	1340.84
SPTY2D1	587.13	521.76	295.11	316.37	199.85	201.25	293.07	309.83	426.57	316.37	540.19	277.2	371.22	406.31	540.19	587.13	599.49	432.53	299.25	483.38	361.04	258.57	221.86	480.04	223.41	316.37	429.54	258.57	265.87	305.55	379.04	503.95	796.86	860.08	587.13	447.82	244.57	532.74	115.16	115.16	95.34	82.87	177.53	118.43	144.01	96.68	72.52	81.71	106.63	130.6	158.79	135.24	105.15	147.06	121.79	110.43	189.02	94.01	115.16	183.82	142.01	107.38	150.17	123.5	83.45	218.79	241.19	147.06	85.82	173.85	146.03	77.25	86.43	129.69	172.65	85.82	120.94	171.45	86.43	96.68	153.34	126.12	85.22	138.1	100.83	109.66	143.01	595.34	127.0	127.89	79.45	105.89	97.36	212.78	79.45	80.57	93.35	100.83	108.9	132.44	190.34	248.0	819.3
SYDE2	113.56	118.43	84.04	92.7	68.07	36.79	107.38	60.39	90.14	125.24	138.1	34.75	81.14	53.57	265.87	134.3	1216.75	98.04	90.77	63.45	211.31	61.68	40.93	152.28	180.02	1277.29	117.6	289.02	56.68	59.55	65.72	63.89	159.9	275.28	186.4	42.71	43.63	140.04	19.25	37.85	27.64	18.84	23.08	31.45	42.71	21.47	7.11	22.59	20.56	24.81	19.68	30.56	30.56	34.26	25.72	15.68	32.13	15.56	40.36	31.22	20.86	27.44	8.65	43.63	20.56	93.35	83.45	34.51	17.9	56.28	28.65	17.9	16.88	40.93	1.22	17.38	3.53	39.5	39.5	34.26	18.56	48.18	26.28	23.42	21.47	13.42	32.13	21.94	16.51	22.43	40.64	57.49	29.06	31.9	21.94	6.52	9.27	36.53	16.51	16.39	24.63	28.65	25.72
SYTL2	896.64	2287.2	521.76	866.07	198.47	1594.73	1159.07	1498.22	3103.19	642.59	2303.12	1477.58	9673.69	2520.38	1378.57	1594.73	6250.56	3665.02	928.3	1963.57	3325.99	915.51	934.76	2193.99	224.97	8305.36	2255.7	1143.1	3820.7	400.71	1191.69	693.58	718.08	480.04	1551.09	3419.52	1477.58	1540.37	68.55	162.14	132.44	72.01	71.5	87.03	165.57	55.89	32.59	57.89	144.01	52.45	78.89	149.12	92.05	70.01	151.22	57.89	131.51	88.88	195.72	136.19	29.48	76.17	56.28	163.28	59.13	82.29	31.9	43.94	51.35	33.06	142.01	87.03	31.45	57.49	68.07	110.43	57.08	45.85	19.11	67.59	110.43	76.71	53.19	42.11	48.87	31.0	38.4	277.2	154.42	37.05	128.79	157.68	139.07	35.0	105.15	118.43	112.77	90.77	26.28	66.18	57.49	351.14	237.86
TBL1XR1	1175.27	1519.15	2047.0	796.86	1697.45	525.39	981.29	988.12	591.22	1572.76	1295.13	1151.06	599.49	836.53	1519.15	1001.93	1159.07	1111.82	1183.45	1477.58	872.1	791.35	450.94	1183.45	1208.34	8247.98	1175.27	1250.98	769.69	1936.53	525.39	1159.07	1883.54	703.28	974.5	1015.93	642.59	693.58	265.87	348.71	309.83	214.27	343.89	253.23	368.65	211.31	128.79	255.0	303.44	253.23	234.57	283.05	332.14	283.05	346.29	229.72	420.68	279.14	309.83	356.05	262.2	199.85	281.09	470.14	211.31	429.54	226.54	368.65	242.88	567.1	297.17	279.14	198.47	277.2	295.11	220.32	223.41	486.75	303.44	138.1	343.89	265.87	260.38	215.77	351.14	226.54	206.94	237.86	209.84	289.02	295.11	395.18	293.07	166.73	255.0	226.54	339.14	271.48	208.38	291.04	138.1	607.87	974.5
TGFBRAP1	320.8	291.04	199.85	262.2	178.77	175.07	232.94	171.45	392.44	273.37	323.03	201.25	260.38	239.52	341.51	323.03	339.14	258.57	237.86	336.79	281.09	153.34	181.28	301.33	215.77	287.01	251.48	279.14	241.19	223.41	194.36	329.84	303.44	309.83	260.38	343.89	159.9	199.85	66.18	80.57	62.56	45.21	83.45	83.45	100.13	48.52	53.57	50.27	72.01	54.72	57.08	67.59	56.68	72.01	88.88	45.85	102.97	56.28	123.5	166.73	56.68	70.51	105.15	120.1	56.28	84.63	98.04	82.29	43.32	107.38	103.69	77.25	49.21	94.67	115.16	31.22	52.08	116.78	100.83	59.55	68.55	148.09	77.25	50.27	92.7	56.28	121.79	125.24	30.12	59.13	50.63	67.12	84.04	88.88	36.53	24.28	78.89	67.12	105.15	82.29	89.51	234.57	211.31
TMEM155	0.67	3.08	4.94	7.63	0.56	1.89	1.93	1.75	0.3	5.73	5.87	1.22	7.4	4.17	1.5	5.63	2.29	2.58	3.11	4.28	1.89	1.28	1.5	5.15	0.0	8.92	2.46	0.0	2.61	1.95	2.03	0.96	3.47	3.63	1.87	2.71	5.73	4.98	0.0	0.56	1.73	0.0	0.0	0.0	1.14	0.0	0.0	0.56	0.82	0.0	0.0	0.54	0.0	0.99	0.0	0.0	0.6	1.77	0.0	0.0	0.0	0.0	0.0	0.34	0.0	0.43	0.0	0.0	0.0	0.0	3.35	0.0	0.0	1.31	0.0	0.97	0.0	0.0	0.0	0.32	0.0	2.97	1.2	4.98	0.0	0.0	1.93	0.0	0.0	0.0	5.28	1.1	0.0	5.36	1.87	0.0	0.0	1.93	0.0	0.0	0.0	4.24	1.68
TMEM9B	1551.09	1407.55	1023.0	2209.26	1295.13	1037.29	1407.55	1388.16	2209.26	1870.53	1923.14	1388.16	1794.29	1745.2	1857.6	1519.15	1721.16	2720.15	1561.89	1437.15	1674.06	2224.63	1870.53	1617.0	1250.98	1369.04	1832.01	854.13	1304.15	1378.57	2400.97	1963.57	1617.0	3614.55	1572.76	1605.83	1572.76	2119.22	563.18	708.18	607.87	497.0	633.73	503.95	503.95	420.68	551.56	435.55	743.43	500.46	559.28	708.18	521.76	638.15	532.74	420.68	723.08	620.67	579.04	1104.13	571.05	738.29	669.92	703.28	366.09	878.17	753.83	708.18	674.59	813.63	660.68	497.0	497.0	679.29	651.58	638.15	543.96	607.87	665.29	450.94	587.13	967.76	567.1	447.82	791.35	389.72	607.87	764.36	647.07	392.44	435.55	470.14	536.45	612.11	417.77	291.04	511.0	612.11	738.29	435.55	665.29	1388.16	988.12
TOM1L2	403.5	1277.29	470.14	633.73	532.74	336.79	332.14	303.44	703.28	961.07	791.35	312.0	974.5	669.92	1159.07	624.99	961.07	438.59	417.77	1233.75	540.19	616.37	503.95	928.3	246.28	5555.65	532.74	703.28	438.59	231.32	961.07	1096.5	242.88	967.76	248.0	571.05	414.87	384.34	150.17	211.31	144.01	145.02	98.04	118.43	281.09	136.19	144.01	148.09	157.68	78.89	83.45	147.06	124.37	113.56	208.38	106.63	122.64	116.78	215.77	271.48	154.42	212.78	117.6	149.12	153.34	72.01	145.02	214.27	173.85	48.18	134.3	255.0	178.77	75.64	140.04	147.06	127.89	91.41	172.65	133.36	182.55	178.77	251.48	177.53	208.38	197.09	205.5	98.73	153.34	125.24	141.02	161.02	120.94	155.5	125.24	94.01	249.73	137.14	212.78	71.0	120.94	1073.91	1225.22
TSG101	2777.33	1963.57	2148.82	3690.52	2555.58	2193.99	2816.11	1594.73	2976.74	2255.7	2835.7	2520.38	2434.5	2468.49	3491.39	2915.45	3467.27	3124.78	2502.97	2485.67	2609.3	2400.97	2664.15	2400.97	1519.15	2701.35	2502.97	1487.87	2434.5	3349.13	3515.68	2319.15	3168.41	5147.73	2816.11	2701.35	2271.4	4388.98	1350.18	1369.04	1498.22	1143.1	1199.98	1407.55	1304.15	981.29	1322.37	1359.57	1651.0	1359.57	1477.58	1437.15	1001.93	1388.16	1519.15	1295.13	1199.98	1304.15	1551.09	1709.26	1242.34	1286.18	1437.15	954.43	1498.22	1896.65	1467.37	1216.75	1508.65	2032.85	1529.73	1572.76	1340.84	1447.15	1721.16	1331.57	1936.53	1369.04	1037.29	1417.35	1639.59	1639.59	1242.34	1225.22	1242.34	1242.34	1832.01	1977.24	1477.58	1437.15	1407.55	981.29	1350.18	928.3	1135.2	1259.69	1662.49	1208.34	1340.84	1331.57	1457.23	1605.83	2163.77
UBE3C	961.07	808.0	638.15	866.07	651.58	595.34	660.68	947.83	988.12	872.1	1023.0	941.27	1540.37	583.07	808.0	1015.93	674.59	1216.75	703.28	941.27	921.88	559.28	583.07	819.3	607.87	1135.2	796.86	764.36	642.59	1896.65	842.36	1030.12	909.17	1295.13	921.88	921.88	490.14	988.12	441.64	400.71	329.84	314.17	493.56	466.88	521.76	341.51	307.69	295.11	438.59	346.29	327.56	395.18	373.81	457.25	483.38	336.79	518.15	403.5	384.34	679.29	463.65	521.76	583.07	381.68	327.56	547.75	698.41	463.65	521.76	679.29	480.04	291.04	420.68	454.09	679.29	307.69	334.46	733.19	591.22	332.14	591.22	507.46	571.05	438.59	688.78	395.18	579.04	412.0	346.29	486.75	318.57	384.34	348.71	620.67	327.56	336.79	450.94	368.65	480.04	480.04	547.75	463.65	486.75
UBXN7	214.27	285.03	212.78	229.72	140.04	110.43	165.57	214.27	218.79	221.86	305.55	215.77	185.11	223.41	423.61	387.02	277.2	226.54	218.79	379.04	221.86	150.17	139.07	262.2	204.07	255.0	248.0	265.87	176.29	258.57	209.84	285.03	454.09	289.02	275.28	285.03	111.99	204.07	56.28	63.45	64.34	44.57	62.12	53.57	84.63	41.52	39.22	59.55	57.08	50.63	40.64	54.72	47.84	80.57	84.04	40.07	59.55	59.55	106.63	50.98	57.08	76.71	62.56	70.51	42.11	123.5	68.55	105.15	53.57	80.57	123.5	54.33	55.1	92.7	63.89	53.95	61.25	87.03	53.19	56.68	104.42	71.5	125.24	82.29	57.49	52.08	59.55	79.45	25.72	111.21	98.73	59.97	84.63	55.89	53.95	31.9	109.66	83.45	61.68	63.0	100.13	112.77	151.22
UEVLD	688.78	587.13	483.38	529.06	269.6	206.94	329.84	348.71	587.13	571.05	457.25	381.68	483.38	490.14	555.41	743.43	802.41	395.18	371.22	660.68	435.55	329.84	339.14	525.39	329.84	559.28	470.14	376.41	406.31	329.84	454.09	660.68	620.67	981.29	743.43	698.41	381.68	529.06	114.36	104.42	105.89	92.7	111.99	105.89	116.78	61.68	52.45	89.51	95.34	84.63	82.87	117.6	90.77	115.16	129.69	88.88	148.09	101.54	109.66	136.19	137.14	145.02	153.34	102.97	85.22	171.45	221.86	186.4	127.89	221.86	132.44	87.65	79.45	187.71	153.34	83.45	111.21	183.82	96.01	90.77	121.79	159.9	125.24	82.29	175.07	86.43	113.56	132.44	70.01	93.35	77.25	109.66	92.7	114.36	89.51	67.59	154.42	155.5	140.04	121.79	152.28	242.88	241.19
USP16	397.93	775.05	518.15	808.0	426.57	423.61	603.67	723.08	981.29	748.61	808.0	660.68	1066.48	759.08	967.76	830.75	796.86	947.83	571.05	551.56	890.44	575.03	684.02	836.53	417.77	612.11	555.41	693.58	703.28	500.46	733.19	466.88	780.44	791.35	785.88	733.19	769.69	521.76	397.93	529.06	379.04	329.84	444.72	371.22	470.14	327.56	81.71	309.83	441.64	297.17	343.89	518.15	395.18	406.31	420.68	353.59	490.14	320.8	314.17	497.0	486.75	348.71	384.34	368.65	307.69	961.07	473.41	429.54	318.57	651.58	285.03	299.25	299.25	305.55	529.06	229.72	397.93	325.29	371.22	287.01	318.57	387.02	346.29	406.31	371.22	426.57	376.41	624.99	463.65	201.25	262.2	423.61	255.0	571.05	417.77	191.67	297.17	327.56	392.44	253.23	277.2	698.41	909.17
USP47	854.13	872.1	595.34	1059.11	547.75	567.1	684.02	536.45	941.27	656.11	1015.93	698.41	995.0	854.13	981.29	651.58	1250.98	1447.15	718.08	934.76	819.3	599.49	514.56	902.89	409.15	796.86	679.29	579.04	733.19	802.41	703.28	1015.93	555.41	1674.06	825.0	995.0	633.73	698.41	473.41	638.15	547.75	406.31	563.18	476.71	595.34	346.29	172.65	353.59	381.68	599.49	679.29	595.34	490.14	429.54	525.39	412.0	525.39	543.96	493.56	438.59	379.04	493.56	503.95	463.65	356.05	759.08	603.67	571.05	483.38	713.11	532.74	486.75	463.65	532.74	679.29	287.01	318.57	525.39	507.46	435.55	536.45	651.58	497.0	423.61	540.19	371.22	599.49	669.92	660.68	470.14	412.0	529.06	579.04	507.46	376.41	483.38	748.61	470.14	454.09	444.72	384.34	518.15	368.65
VPS8	447.82	444.72	334.46	587.13	351.14	327.56	363.56	384.34	514.56	497.0	514.56	420.68	571.05	463.65	575.03	587.13	429.54	444.72	698.41	563.18	521.76	444.72	223.41	409.15	447.82	1135.2	426.57	417.77	414.87	447.82	423.61	612.11	507.46	470.14	507.46	480.04	346.29	262.2	147.06	193.01	162.14	78.34	123.5	120.1	158.79	68.55	102.25	92.05	107.38	112.77	71.5	128.79	102.25	132.44	164.42	102.97	173.85	92.05	264.03	125.24	96.68	103.69	99.43	166.73	87.03	153.34	131.51	194.36	99.43	115.97	144.01	201.25	127.0	118.43	90.77	100.13	118.43	176.29	74.06	129.69	150.17	115.97	108.14	121.79	87.65	96.01	90.14	152.28	110.43	92.7	100.83	138.1	165.57	96.01	89.51	67.59	159.9	109.66	119.26	124.37	112.77	373.81	309.83
WIPI1	872.1	1001.93	813.63	1023.0	2148.82	974.5	785.88	441.64	775.05	1583.71	518.15	941.27	547.75	775.05	1119.56	1662.49	1407.55	1508.65	493.56	1457.23	312.0	866.07	599.49	1508.65	2976.74	19082.0	1191.69	981.29	3060.45	2417.67	1331.57	1191.69	1407.55	336.79	1697.45	575.03	1529.73	1008.9	400.71	536.45	483.38	264.03	463.65	444.72	483.38	189.02	361.04	267.73	224.97	204.07	305.55	339.14	295.11	260.38	392.44	476.71	583.07	441.64	511.0	1832.01	1175.27	400.71	854.13	305.55	262.2	579.04	738.29	320.8	559.28	307.69	341.51	497.0	529.06	400.71	1088.92	273.37	825.0	674.59	371.22	373.81	368.65	466.88	297.17	563.18	616.37	305.55	540.19	1651.0	366.09	305.55	260.38	409.15	318.57	551.56	532.74	287.01	633.73	412.0	540.19	708.18	603.67	708.18	860.08
ZDHHC13	490.14	314.17	392.44	567.1	420.68	379.04	163.28	368.65	599.49	366.09	599.49	698.41	460.44	224.97	507.46	525.39	529.06	486.75	518.15	599.49	384.34	392.44	291.04	309.83	177.53	466.88	412.0	224.97	493.56	493.56	547.75	409.15	486.75	967.76	249.73	381.68	229.72	728.11	34.51	55.89	46.5	31.45	40.07	27.84	36.01	15.45	12.0	20.41	46.84	11.82	19.53	41.22	27.05	38.67	49.21	17.51	33.3	63.0	98.04	157.68	36.79	52.45	32.82	3.06	13.03	94.67	10.96	35.25	43.32	40.36	110.43	51.71	11.73	33.78	28.45	53.19	81.14	85.22	6.67	29.48	18.7	67.12	31.0	13.12	38.95	77.25	25.54	134.3	14.35	13.22	34.26	44.57	68.07	43.02	40.36	2.48	59.13	42.11	35.5	51.35	25.91	228.13	79.45
