	TCGA.ZF.AA4N.01A.11R.A38B.07	TCGA.BT.A20X.01A.11R.A16R.07	TCGA.FD.A43Y.01A.21R.A26T.07	TCGA.PQ.A6FI.01A.11R.A31N.07	TCGA.CU.A3YL.01A.11R.A22U.07	TCGA.DK.A3IM.01A.11R.A20F.07	TCGA.BT.A42E.01A.11R.A23W.07	TCGA.G2.A3IB.01A.11R.A20F.07	TCGA.FD.A3N6.01A.11R.A21D.07	TCGA.ZF.AA4W.01A.12R.A38B.07	TCGA.G2.A2EJ.01A.11R.A180.07	TCGA.C4.A0F1.01A.11R.A034.07	GTEX.U3ZN.1626.SM.4DXTZ	TCGA.IR.A3LC.01A.11R.A213.07	TCGA.C5.A1ML.01A.11R.A14Y.07	TCGA.C5.A902.01A.11R.A37O.07	TCGA.UC.A7PD.01A.11R.A352.07	TCGA.JW.A5VI.01A.11R.A28H.07	TCGA.C5.A7CL.01A.11R.A32P.07	TCGA.ZJ.A8QQ.01A.11R.A37O.07	TCGA.C5.A907.01A.11R.A37O.07	TCGA.C5.A2LV.01A.11R.A18M.07	TCGA.EK.A2RE.01A.11R.A18M.07	TCGA.GH.A9DA.01A.21R.A37O.07	TCGA.VS.A950.01A.11R.A42T.07	TCGA.EK.A2H0.01A.11R.A180.07	TCGA.Z6.A8JD.01A.11R.A36D.31	TCGA.LN.A8HZ.01A.11R.A36D.31	TCGA.LN.A8I0.01A.11R.A36D.31	TCGA.L5.A88W.01A.11R.A354.31	TCGA.JY.A93F.01A.21R.A37I.31	TCGA.IG.A3I8.01A.11R.A24K.31	TCGA.LN.A7HV.01A.21R.A354.31	TCGA.LN.A49U.01A.31R.A260.31	TCGA.VR.A8EZ.01A.11R.A36D.31	TCGA.VR.A8ET.01A.11R.A406.31	TCGA.LN.A49M.01A.21R.A260.31	TCGA.LN.A4MR.01A.11R.A28J.31	TCGA.LN.A49K.01A.11R.A24K.31	TCGA.LN.A49R.01A.11R.A24K.31	TCGA.Z6.A9VB.01A.21R.A37I.31	TCGA.LN.A4A9.01A.11R.A28J.31	TCGA.V5.AASV.01A.11R.A38D.31	TCGA.LN.A8I1.01A.11R.A36D.31	TCGA.L5.A4OM.01A.11R.A260.31	TCGA.IG.A97I.01A.11R.A38D.31	TCGA.LN.A7HZ.01A.31R.A354.31	TCGA.V5.A7RC.01B.11R.A406.31	TCGA.IG.A3QL.01A.11R.A24K.31	TCGA.IG.A6QS.01A.12R.A336.31	TCGA.L5.A43H.01A.11R.A24K.31	TCGA.CV.A45U.01A.12R.A24H.07	TCGA.CV.6961.01A.21R.1915.07	TCGA.CV.5970.01A.11R.1686.07	TCGA.BB.8601.01A.11R.2403.07	TCGA.CN.4726.01A.01R.1436.07	TCGA.F7.A50J.01A.21R.A28V.07	TCGA.BA.5556.01A.01R.1514.07	TCGA.CQ.7063.01A.11R.2403.07	TCGA.CV.7183.01A.11R.2016.07	TCGA.P3.A6T3.01A.11R.A34R.07	TCGA.CQ.A4CE.01A.11R.A266.07	TCGA.D6.A4Z9.01A.11R.A24Z.07	TCGA.BB.7863.01A.11R.2232.07	TCGA.CN.4734.01A.01R.1436.07	TCGA.C9.A480.01A.12R.A24H.07	TCGA.HD.8634.01A.11R.2403.07	TCGA.CN.5365.01A.01R.1436.07	TCGA.DQ.7592.01A.11R.2081.07	TCGA.BA.5557.01A.01R.1514.07	TCGA.CQ.6222.01A.11R.1915.07	TCGA.BB.4227.01A.01R.1873.07	TCGA.CR.6493.01A.11R.1873.07	TCGA.UF.A7JH.01A.21R.A34R.07	TCGA.CV.7252.01A.11R.2016.07	TCGA.CV.6959.01A.11R.1915.07	TCGA.H7.7774.01A.21R.2081.07	TCGA.CV.A6JY.01A.11R.A31N.07	TCGA.CV.A465.01A.11R.A266.07	TCGA.CV.A45O.01A.21R.A24H.07	TCGA.BA.4076.01A.01R.1436.07	TCGA.CV.A463.01A.11R.A266.07	TCGA.T2.A6X2.01A.12R.A34R.07	TCGA.IQ.7631.01A.11R.2081.07	TCGA.CN.4729.01A.01R.1436.07	TCGA.CR.7395.01A.11R.2016.07	TCGA.CV.7253.01A.11R.2016.07	TCGA.CR.6471.01A.11R.1873.07	TCGA.CN.4722.01A.01R.1436.07	TCGA.CV.5979.01A.11R.1686.07	TCGA.MT.A51W.01A.21R.A266.07	TCGA.CR.7372.01A.11R.2016.07	TCGA.H7.A6C4.01A.11R.A30B.07	TCGA.BB.A5HZ.01A.21R.A28V.07	TCGA.CN.A49A.01A.11R.A24H.07	TCGA.CV.5434.01A.01R.1686.07	TCGA.CV.5977.01A.11R.1686.07	TCGA.CN.A63V.01A.11R.A466.07	TCGA.CV.7434.01A.11R.2132.07	TCGA.CR.7394.01A.11R.2016.07	TCGA.CV.6953.01A.11R.1915.07	TCGA.CV.A45P.01A.11R.A24H.07	TCGA.CQ.5331.01A.02R.1873.07	TCGA.CN.4725.01A.01R.1436.07	TCGA.BB.A6UO.01A.12R.A34R.07	TCGA.BA.5151.01A.01R.1436.07	TCGA.CN.6998.01A.23R.2016.07	TCGA.CN.5369.01A.01R.1436.07	TCGA.F7.A61S.01A.11R.A28V.07	TCGA.UF.A71E.01A.31R.A34R.07	TCGA.CN.6018.01A.11R.1686.07	TCGA.BA.5558.01A.01R.1514.07	TCGA.CV.7432.01A.11R.2132.07	TCGA.CQ.A4CD.01A.21R.A24Z.07	TCGA.CQ.6223.01A.11R.1915.07	TCGA.IQ.A61J.01A.11R.A30B.07	TCGA.CR.7401.01A.11R.2016.07	TCGA.CQ.6229.01A.11R.1915.07	TCGA.CX.7085.01A.21R.2016.07	TCGA.DQ.5629.01A.01R.1873.07	TCGA.CQ.6220.01A.11R.1915.07	TCGA.CR.6491.01A.11R.1873.07	TCGA.CV.A45V.01A.21R.A24Z.07	TCGA.D6.A4ZB.01A.11R.A24Z.07	TCGA.IQ.7632.01A.11R.2081.07	TCGA.CN.A642.01A.12R.A30B.07	TCGA.CQ.5324.01A.01R.1686.07	TCGA.UF.A7JC.01A.21R.A34R.07	TCGA.CV.A45Y.01A.11R.A24Z.07	TCGA.P3.A6T7.01A.11R.A34R.07	TCGA.CQ.6218.01A.11R.1915.07	TCGA.RS.A6TO.01A.32R.A34R.07	TCGA.CN.4742.01A.02R.1514.07	TCGA.CQ.5332.01A.01R.1686.07	TCGA.UF.A7J9.01A.12R.A34R.07	TCGA.CV.6952.01A.11R.1915.07	TCGA.CQ.7071.01A.12R.A30B.07	TCGA.CQ.5326.01A.01R.1873.07	TCGA.CV.6945.01A.11R.1915.07	TCGA.CV.6003.01A.11R.1686.07	TCGA.CV.7411.01A.11R.2081.07	TCGA.CV.7423.01A.11R.2081.07	TCGA.CV.7425.01A.11R.2081.07	TCGA.MT.A67F.01A.11R.A30B.07	TCGA.CQ.5327.01A.01R.1686.07	TCGA.C9.A47Z.01A.11R.A24H.07	TCGA.CN.5373.01A.01R.1436.07	TCGA.CV.5432.01A.02R.1686.07	TCGA.CV.7425.11A.01R.2081.07	TCGA.CV.6961.11A.01R.1915.07	TCGA.38.4625.01A.01R.1206.07.1	TCGA.63.5128.01A.01R.1443.07	TCGA.90.A4ED.01A.31R.A24Z.07	TCGA.58.A46N.01A.11R.A24H.07	TCGA.56.7730.01A.11R.2125.07	GTEX.XV7Q.2426.SM.4BRV8	GTEX.11WQK.2926.SM.5EQKT
ENTHD2	447.82	249.73	521.76	384.34	1605.83	417.77	555.41	395.18	309.83	423.61	236.21	258.57	218.79	392.44	669.92	791.35	567.1	406.31	620.67	616.37	532.74	289.02	267.73	612.11	351.14	521.76	934.76	941.27	1008.9	595.34	547.75	954.43	819.3	884.29	915.51	967.76	967.76	1073.91	934.76	1191.69	1051.79	1883.54	1583.71	1233.75	954.43	842.36	947.83	1088.92	669.92	1044.52	1051.79	718.08	255.0	279.14	575.03	171.45	406.31	209.84	392.44	153.34	237.86	511.0	486.75	185.11	144.01	571.05	397.93	366.09	320.8	183.82	229.72	403.5	265.87	954.43	221.86	279.14	143.01	325.29	470.14	412.0	273.37	329.84	555.41	417.77	307.69	221.86	358.54	154.42	191.67	320.8	258.57	223.41	265.87	305.55	684.02	486.75	373.81	423.61	353.59	158.79	217.27	299.25	206.94	299.25	332.14	145.02	205.5	260.38	256.78	373.81	253.23	323.03	255.0	379.04	260.38	470.14	229.72	239.52	251.48	217.27	323.03	260.38	361.04	665.29	229.72	441.64	157.68	320.8	426.57	583.07	197.09	318.57	166.73	234.57	438.59	301.33	143.01	169.07	316.37	312.0	145.02	209.84	224.97	307.69	323.03	518.15	251.48	400.71	281.09	170.25	0.99	312.0	1286.18	902.89	890.44	158.79	100.13
EXD3	208.38	185.11	389.72	212.78	403.5	403.5	490.14	336.79	336.79	356.05	130.6	234.57	242.88	287.01	420.68	343.89	303.44	241.19	813.63	341.51	255.0	146.03	239.52	139.07	223.41	267.73	267.73	194.36	866.07	214.27	198.47	379.04	432.53	406.31	232.94	438.59	332.14	432.53	441.64	647.07	500.46	616.37	167.9	283.05	318.57	490.14	507.46	258.57	231.32	988.12	187.71	206.94	129.69	251.48	258.57	189.02	115.97	155.5	209.84	218.79	68.55	163.28	223.41	175.07	113.56	373.81	140.04	275.28	131.51	118.43	220.32	172.65	241.19	536.45	151.22	101.54	217.27	171.45	329.84	231.32	277.2	205.5	166.73	351.14	142.01	149.12	283.05	118.43	157.68	166.73	314.17	68.07	171.45	269.6	224.97	389.72	162.14	194.36	295.11	118.43	75.64	155.5	162.14	111.99	215.77	100.13	277.2	65.26	131.51	208.38	116.78	154.42	202.66	460.44	198.47	275.28	142.01	147.06	115.97	149.12	152.28	395.18	248.0	229.72	142.01	395.18	273.37	429.54	153.34	202.66	140.04	363.56	96.01	234.57	242.88	218.79	153.34	178.77	169.07	206.94	220.32	143.01	182.55	122.64	232.94	194.36	223.41	301.33	181.28	182.55	0.64	157.68	441.64	366.09	218.79	142.01	119.26
FAM229A	61.68	35.76	29.7	15.8	253.23	42.71	35.0	25.17	44.57	54.72	29.06	36.01	29.06	31.0	228.13	102.25	81.71	65.72	89.51	38.12	65.26	46.5	49.56	38.67	99.43	31.45	177.53	56.28	376.41	67.12	132.44	232.94	265.87	197.09	96.01	84.63	157.68	119.26	195.72	195.72	145.02	269.6	226.54	363.56	743.43	223.41	100.83	236.21	53.57	155.5	134.3	50.98	48.18	17.38	26.47	2.51	21.32	9.27	19.97	4.06	24.81	48.52	76.17	7.46	9.34	62.56	28.86	15.0	23.59	7.57	17.0	55.49	28.86	100.13	25.35	9.13	8.06	37.05	43.94	16.63	38.4	28.86	76.71	82.87	55.49	13.42	9.7	20.41	19.25	44.57	19.11	17.51	41.22	22.92	90.77	38.4	65.26	82.87	21.78	7.11	30.56	24.81	31.9	22.43	39.79	14.35	14.35	23.25	13.22	62.12	10.0	11.04	7.06	28.45	10.96	35.0	9.85	11.91	21.16	4.78	9.13	14.67	33.78	87.03	15.22	38.12	12.45	18.7	101.54	38.95	7.17	38.95	10.96	16.39	29.06	14.45	8.45	6.52	72.52	25.72	7.94	10.63	20.11	15.22	18.16	17.9	7.17	25.54	12.83	14.78	0.71	12.36	228.13	92.7	51.35	3.0	9.78
FBXL12	441.64	253.23	197.09	199.85	884.29	267.73	392.44	358.54	366.09	190.34	262.2	175.07	303.44	190.34	392.44	447.82	332.14	791.35	358.54	295.11	202.66	417.77	265.87	301.33	387.02	289.02	808.0	363.56	536.45	381.68	283.05	759.08	441.64	497.0	438.59	571.05	497.0	674.59	620.67	647.07	346.29	723.08	775.05	563.18	423.61	500.46	493.56	559.28	543.96	507.46	563.18	297.17	204.07	309.83	698.41	255.0	483.38	249.73	339.14	187.71	316.37	273.37	305.55	224.97	236.21	379.04	327.56	163.28	384.34	253.23	281.09	256.78	251.48	441.64	281.09	339.14	148.09	232.94	339.14	193.01	417.77	262.2	305.55	409.15	206.94	275.28	267.73	299.25	283.05	392.44	307.69	356.05	348.71	521.76	384.34	543.96	432.53	432.53	373.81	241.19	325.29	281.09	265.87	334.46	287.01	223.41	295.11	329.84	346.29	307.69	283.05	373.81	273.37	291.04	204.07	356.05	264.03	283.05	318.57	356.05	226.54	332.14	320.8	389.72	242.88	287.01	253.23	289.02	351.14	389.72	279.14	450.94	265.87	521.76	457.25	346.29	273.37	157.68	212.78	295.11	295.11	341.51	312.0	348.71	320.8	329.84	323.03	423.61	303.44	363.56	0.72	173.85	486.75	518.15	417.77	457.25	293.07
FIZ1	162.14	214.27	358.54	134.3	583.07	156.59	299.25	175.07	150.17	165.57	163.28	140.04	111.99	171.45	217.27	332.14	253.23	277.2	221.86	208.38	521.76	171.45	167.9	146.03	279.14	198.47	224.97	223.41	204.07	194.36	154.42	379.04	262.2	316.37	223.41	147.06	176.29	197.09	273.37	154.42	208.38	232.94	361.04	356.05	277.2	180.02	271.48	361.04	376.41	109.66	269.6	307.69	246.28	129.69	129.69	125.24	175.07	147.06	165.57	126.12	120.94	180.02	180.02	115.16	113.56	152.28	126.12	199.85	432.53	90.14	191.67	115.97	220.32	251.48	180.02	197.09	134.3	125.24	103.69	83.45	140.04	139.07	208.38	384.34	182.55	155.5	320.8	169.07	134.3	229.72	144.01	224.97	147.06	155.5	212.78	281.09	234.57	305.55	194.36	111.99	102.97	132.44	167.9	87.03	158.79	100.83	135.24	164.42	150.17	224.97	152.28	165.57	169.07	218.79	145.02	187.71	157.68	123.5	147.06	249.73	102.97	158.79	138.1	281.09	151.22	172.65	299.25	132.44	260.38	256.78	131.51	176.29	120.1	143.01	201.25	162.14	99.43	80.01	218.79	202.66	120.94	142.01	165.57	109.66	171.45	133.36	127.89	169.07	165.57	134.3	0.2	303.44	363.56	351.14	327.56	94.01	61.25
GNRH1	44.57	23.59	25.35	35.0	40.36	8.58	34.26	29.27	34.26	29.48	25.91	21.16	37.32	19.39	90.77	103.69	59.13	82.29	232.94	36.53	57.49	25.91	44.25	15.68	77.79	59.97	45.53	81.14	117.6	71.0	163.28	231.32	211.31	178.77	205.5	199.85	70.51	142.01	127.0	211.31	64.34	246.28	339.14	72.52	255.0	152.28	116.78	85.22	68.55	95.34	150.17	50.63	11.73	7.57	31.67	4.35	39.22	5.82	16.27	3.89	14.56	39.79	25.91	4.82	21.16	36.53	37.59	14.89	7.46	0.95	5.68	21.63	6.16	25.54	12.45	5.11	6.11	12.64	18.43	38.4	25.17	36.79	29.91	34.51	18.29	10.16	2.23	9.27	14.67	23.08	24.28	3.32	10.39	14.35	34.26	17.77	10.71	57.89	5.59	5.28	18.97	27.44	7.11	14.03	26.28	4.1	6.31	18.29	16.75	24.46	2.23	4.46	5.15	34.02	25.91	27.05	7.4	20.41	18.16	10.31	7.4	10.16	24.11	51.35	7.69	68.55	8.99	38.67	108.14	33.78	8.38	38.67	2.23	3.41	28.04	7.06	22.92	3.59	48.18	9.85	15.34	4.06	17.9	58.71	11.04	17.77	0.96	42.71	10.31	4.54	0.65	30.12	105.15	27.84	44.89	7.57	4.98
GTPBP3	432.53	323.03	412.0	249.73	915.51	486.75	497.0	351.14	283.05	395.18	165.57	218.79	559.28	309.83	361.04	358.54	603.67	441.64	412.0	497.0	351.14	366.09	291.04	423.61	638.15	441.64	878.17	848.22	587.13	332.14	536.45	915.51	656.11	532.74	1159.07	320.8	532.74	808.0	808.0	866.07	718.08	525.39	1030.12	743.43	718.08	624.99	813.63	713.11	579.04	679.29	432.53	392.44	293.07	183.82	493.56	136.19	329.84	164.42	205.5	190.34	202.66	387.02	665.29	253.23	182.55	395.18	836.53	277.2	444.72	100.83	223.41	327.56	327.56	314.17	271.48	260.38	177.53	363.56	264.03	176.29	327.56	229.72	381.68	466.88	150.17	237.86	275.28	183.82	283.05	339.14	223.41	305.55	183.82	713.11	384.34	571.05	414.87	400.71	277.2	120.1	246.28	336.79	244.57	277.2	283.05	180.02	201.25	260.38	258.57	555.41	260.38	157.68	291.04	571.05	112.77	389.72	228.13	234.57	194.36	305.55	223.41	348.71	248.0	454.09	190.34	536.45	182.55	264.03	518.15	346.29	166.73	329.84	155.5	490.14	432.53	295.11	187.71	271.48	248.0	376.41	173.85	185.11	205.5	166.73	303.44	246.28	198.47	909.17	256.78	256.78	211.31	503.95	791.35	780.44	796.86	197.09	96.68
HAUS8	376.41	314.17	384.34	264.03	748.61	341.51	629.35	341.51	295.11	366.09	264.03	161.02	325.29	387.02	392.44	363.56	575.03	525.39	603.67	371.22	291.04	775.05	329.84	397.93	490.14	400.71	384.34	368.65	307.69	217.27	220.32	403.5	371.22	314.17	660.68	145.02	295.11	457.25	368.65	642.59	426.57	215.77	463.65	395.18	297.17	329.84	450.94	177.53	447.82	507.46	255.0	371.22	341.51	212.78	551.56	84.63	248.0	173.85	206.94	110.43	161.02	232.94	511.0	153.34	153.34	186.4	262.2	466.88	155.5	115.97	255.0	275.28	307.69	325.29	218.79	232.94	120.1	154.42	137.14	66.18	185.11	158.79	199.85	164.42	124.37	185.11	241.19	283.05	92.05	249.73	185.11	162.14	198.47	285.03	267.73	329.84	397.93	307.69	293.07	158.79	103.69	171.45	226.54	249.73	281.09	104.42	150.17	279.14	334.46	450.94	157.68	145.02	400.71	307.69	99.43	186.4	181.28	182.55	158.79	283.05	137.14	289.02	172.65	242.88	154.42	236.21	127.0	144.01	307.69	473.41	248.0	289.02	108.14	301.33	358.54	226.54	212.78	297.17	181.28	291.04	90.77	224.97	191.67	205.5	187.71	164.42	178.77	363.56	124.37	96.01	0.47	251.48	258.57	532.74	429.54	198.47	182.55
HDAC10	995.0	503.95	748.61	559.28	1794.29	301.33	651.58	567.1	409.15	262.2	384.34	312.0	480.04	341.51	525.39	813.63	571.05	417.77	947.83	1001.93	547.75	368.65	314.17	460.44	612.11	785.88	2004.85	1322.37	1662.49	575.03	514.56	1304.15	780.44	866.07	500.46	679.29	1359.57	1159.07	1151.06	1015.93	1191.69	1286.18	954.43	1909.85	1397.83	1870.53	1191.69	1127.35	780.44	988.12	1159.07	1001.93	373.81	293.07	339.14	170.25	320.8	262.2	403.5	214.27	358.54	392.44	500.46	204.07	255.0	275.28	438.59	309.83	525.39	255.0	323.03	532.74	197.09	733.19	366.09	267.73	231.32	258.57	226.54	466.88	397.93	309.83	470.14	607.87	638.15	303.44	417.77	287.01	303.44	525.39	327.56	295.11	318.57	389.72	624.99	567.1	253.23	684.02	206.94	269.6	346.29	351.14	275.28	218.79	563.18	214.27	269.6	329.84	356.05	426.57	236.21	269.6	215.77	769.69	373.81	438.59	351.14	256.78	301.33	878.17	251.48	281.09	460.44	928.3	253.23	607.87	346.29	417.77	1594.73	366.09	226.54	351.14	334.46	698.41	785.88	244.57	211.31	426.57	463.65	571.05	185.11	371.22	253.23	476.71	285.03	279.14	327.56	314.17	281.09	253.23	0.96	642.59	1208.34	728.11	1119.56	248.0	71.0
HOXB2	11.64	376.41	172.65	12.09	529.06	52.82	143.01	105.15	11.55	151.22	8.19	80.01	325.29	122.64	159.9	543.96	13.62	656.11	277.2	36.53	24.63	57.89	181.28	63.0	24.63	26.86	954.43	536.45	1745.2	234.57	144.01	616.37	373.81	525.39	995.0	414.87	981.29	785.88	476.71	1167.14	255.0	567.1	1051.79	397.93	1111.82	775.05	941.27	947.83	1191.69	575.03	1991.0	24.46	31.67	62.56	8.92	17.9	18.29	15.8	24.63	39.5	5.73	165.57	15.0	3.82	6.67	7.75	8.45	3.99	12.0	94.01	40.64	46.5	2.61	199.85	41.52	12.74	3.56	9.85	6.06	9.56	78.89	3.29	18.29	101.54	5.96	16.88	1.81	9.78	60.82	5.15	9.06	20.71	9.93	22.43	141.02	139.07	24.63	28.24	61.25	14.24	11.21	11.55	19.53	4.54	15.45	26.28	16.51	19.39	8.58	3.82	13.72	11.21	5.96	22.43	28.04	55.89	31.22	14.45	27.25	21.94	4.74	12.83	136.19	69.52	11.73	18.43	10.96	8.25	358.54	30.78	18.29	25.72	18.43	37.05	358.54	6.94	14.35	4.21	29.48	3.32	12.83	15.0	4.17	17.64	9.93	4.62	36.27	59.55	2.56	88.26	0.99	159.9	76.71	27.44	220.32	69.03	6.62
HOXB3	50.98	172.65	96.01	42.71	836.53	21.01	59.55	127.0	10.47	104.42	33.3	44.57	175.07	38.67	201.25	723.08	13.52	221.86	334.46	91.41	78.34	54.72	104.42	82.87	52.08	112.77	612.11	638.15	651.58	87.03	112.77	1427.22	420.68	591.22	633.73	432.53	620.67	764.36	616.37	1088.92	941.27	620.67	1519.15	214.27	1295.13	483.38	444.72	1397.83	1023.0	307.69	1081.39	84.04	111.21	9.85	108.14	7.11	21.16	11.04	49.91	29.06	1.79	113.56	27.25	8.19	7.75	21.63	4.74	3.82	7.46	40.93	40.36	21.47	3.41	100.13	19.97	31.9	6.41	62.56	14.14	7.82	27.25	4.58	34.51	28.45	25.54	5.19	5.82	1.33	93.35	15.22	12.64	79.45	13.42	9.63	152.28	156.59	32.59	15.0	47.17	14.35	5.19	7.17	3.96	3.72	10.31	23.76	2.12	18.29	37.32	52.82	16.27	22.75	0.47	107.38	28.45	39.22	36.27	5.15	13.83	100.83	4.98	14.14	85.82	116.78	23.59	18.29	2.68	23.25	208.38	24.99	19.39	40.36	2.29	118.43	397.93	4.7	5.87	10.71	37.59	5.02	8.25	2.68	5.54	11.13	14.03	14.67	19.82	84.04	14.89	6.16	1.01	255.0	101.54	104.42	497.0	19.39	37.32
HOXB4	15.0	33.78	70.01	9.93	217.27	23.93	27.05	42.41	21.94	51.71	21.16	15.8	83.45	8.0	78.34	127.89	1.93	93.35	108.9	37.59	16.03	19.97	31.67	15.91	10.39	36.27	167.9	19.39	182.55	51.35	26.28	229.72	33.54	158.79	226.54	85.82	146.03	106.63	108.14	303.44	293.07	90.14	176.29	90.14	197.09	63.0	158.79	303.44	320.8	46.84	318.57	53.95	4.06	3.2	0.34	1.48	3.53	6.84	3.08	13.52	0.33	19.39	4.39	0.75	1.91	2.53	2.16	1.39	1.01	2.76	16.39	30.34	0.64	27.44	31.45	5.15	0.0	1.13	1.73	0.88	21.47	0.72	1.08	5.77	2.18	5.36	0.69	2.94	24.63	1.99	1.08	1.81	4.06	0.99	72.52	38.67	0.93	0.77	1.62	7.4	3.89	1.13	4.9	2.34	1.36	12.0	1.48	5.63	4.9	1.23	3.29	2.34	0.66	5.82	3.11	7.75	3.2	3.0	12.18	52.45	0.72	1.57	31.45	57.08	1.11	3.82	2.71	6.89	70.51	3.89	1.51	4.13	1.69	36.79	100.83	1.79	8.19	1.03	22.75	0.88	1.38	2.36	1.11	5.28	3.32	2.92	4.39	54.33	1.62	1.36	0.61	6.46	36.79	8.71	177.53	14.89	13.12
HSF4	1183.45	217.27	961.07	108.14	679.29	126.12	1191.69	540.19	679.29	412.0	123.5	68.07	329.84	579.04	954.43	633.73	836.53	514.56	2520.38	669.92	529.06	115.97	223.41	232.94	1487.87	813.63	1832.01	1331.57	3081.75	301.33	466.88	1977.24	743.43	2468.49	896.64	1427.22	1066.48	988.12	1769.57	3257.52	1733.13	5292.48	698.41	4358.66	1883.54	2502.97	2997.45	1733.13	638.15	854.13	1721.16	1529.73	248.0	80.57	460.44	133.36	325.29	17.9	212.78	32.36	299.25	616.37	253.23	60.82	51.35	884.29	412.0	275.28	187.71	37.59	151.22	579.04	55.1	775.05	153.34	138.1	73.03	406.31	438.59	237.86	791.35	287.01	334.46	1487.87	212.78	27.25	74.06	19.68	119.26	336.79	130.6	58.3	348.71	204.07	738.29	854.13	130.6	612.11	70.01	46.5	157.68	325.29	80.57	185.11	412.0	70.01	35.76	87.03	283.05	291.04	101.54	105.89	47.84	420.68	191.67	414.87	65.26	161.02	88.26	140.04	136.19	151.22	387.02	1540.37	35.0	796.86	82.29	155.5	1295.13	397.93	55.49	199.85	36.01	343.89	660.68	113.56	122.64	43.63	698.41	76.17	133.36	140.04	110.43	236.21	121.79	753.83	99.43	371.22	85.82	57.49	1.46	884.29	1923.14	1369.04	836.53	135.24	25.17
ILF3	3639.7	2739.08	2047.0	2855.44	4769.75	4210.15	3564.78	3103.19	3060.45	2573.36	2133.97	2240.11	2193.99	2075.59	2319.15	4607.24	4210.15	4328.55	2855.44	3146.52	2148.82	2701.35	2224.63	4010.71	3235.01	3614.55	4210.15	4239.45	2835.7	3212.66	3018.3	4607.24	4328.55	4388.98	3349.13	2555.58	3190.46	3665.02	4450.27	3589.58	3928.15	2816.11	5831.91	4038.61	4512.4	3303.0	3443.31	4181.07	3901.01	2997.45	3325.99	2855.44	2537.92	2018.8	3039.3	995.0	2720.15	2090.03	2400.97	2193.99	2335.28	2682.69	2895.31	2287.2	2047.0	2758.13	2682.69	1331.57	2075.59	1477.58	1794.29	1936.53	2835.7	2915.45	2400.97	2935.74	1781.89	2573.36	1721.16	1721.16	2018.8	2148.82	2682.69	2384.37	1561.89	2591.27	1896.65	1896.65	1936.53	2148.82	2287.2	2400.97	1709.26	3540.14	3928.15	2855.44	2777.33	2956.17	2004.85	2319.15	2573.36	2537.92	2351.53	2367.9	2351.53	2209.26	1819.35	2335.28	2104.58	3325.99	2384.37	2645.74	3018.3	2451.44	1529.73	2119.22	2193.99	2178.83	1857.6	3639.7	1769.57	2193.99	2061.24	2502.97	1936.53	3665.02	2193.99	2417.67	2664.15	2645.74	1781.89	2240.11	1769.57	2816.11	3190.46	1950.0	2047.0	1806.78	1467.37	2384.37	1674.06	2400.97	2816.11	1896.65	2645.74	2303.12	1709.26	3716.2	2047.0	1242.34	1.19	2796.65	6471.02	4607.24	4736.79	1757.34	2209.26
INPP5E	228.13	187.71	305.55	224.97	241.19	305.55	356.05	158.79	106.63	271.48	157.68	169.07	96.68	132.44	209.84	351.14	183.82	447.82	251.48	237.86	204.07	109.66	195.72	205.5	153.34	256.78	234.57	260.38	543.96	285.03	242.88	409.15	536.45	353.59	395.18	180.02	297.17	229.72	414.87	346.29	438.59	595.34	463.65	348.71	353.59	314.17	376.41	460.44	231.32	748.61	417.77	176.29	107.38	112.77	177.53	38.95	102.97	191.67	209.84	72.52	46.5	121.79	159.9	137.14	81.14	149.12	136.19	173.85	115.97	58.3	104.42	102.25	138.1	332.14	63.45	126.12	77.25	103.69	125.24	89.51	155.5	136.19	143.01	151.22	99.43	127.0	80.57	92.7	72.01	136.19	224.97	49.91	106.63	98.73	217.27	279.14	212.78	193.01	289.02	80.01	104.42	125.24	105.89	55.1	115.97	71.5	85.82	139.07	183.82	287.01	97.36	150.17	85.22	287.01	115.16	157.68	77.25	88.88	86.43	95.34	55.89	127.0	156.59	185.11	77.25	279.14	110.43	118.43	175.07	104.42	81.71	150.17	61.68	146.03	248.0	163.28	98.04	82.29	139.07	98.04	89.51	95.34	135.24	125.24	75.11	108.9	108.14	111.21	87.65	81.14	0.66	104.42	536.45	358.54	214.27	153.34	70.01
