	TCGA.BH.A18L.11A.42R.A12D.07	TCGA.BH.A18S.11A.43R.A12D.07	TCGA.E2.A1IG.11A.22R.A144.07	TCGA.BH.A0BZ.11A.61R.A12P.07	TCGA.BH.A18N.11A.43R.A12D.07	TCGA.E9.A1NA.11A.33R.A144.07	GTEX.145ME.1526.SM.5Q5F2	GTEX.XUW1.2326.SM.4BOO5	TCGA.3X.AAV9.01A.72R.A41I.07	TCGA.ZU.A8S4.11A.11R.A41I.07	GTEX.ZYFC.2626.SM.5NQ6S	GTEX.12ZZY.2726.SM.5EQ45	GTEX.YECK.2826.SM.5IFHF	GTEX.11GS4.1826.SM.5HL4T	GTEX.11EI6.2626.SM.5PNVT	TCGA.2Y.A9GW.01A.11R.A38B.07	TCGA.G3.A5SK.01A.11R.A27V.07	TCGA.G3.A5SM.01A.12R.A28V.07	TCGA.BD.A3ER.01A.11R.A213.07	TCGA.DD.AAD0.01A.11R.A41C.07	TCGA.DD.AAEI.01A.11R.A41C.07	TCGA.LG.A9QD.01A.11R.A38B.07	TCGA.DD.AAVX.01A.11R.A41C.07	TCGA.EP.A3JL.01A.11R.A213.07	TCGA.G3.A7M5.01A.11R.A33R.07	TCGA.DD.A4NS.01A.11R.A311.07	TCGA.DD.A73D.01A.12R.A32O.07	TCGA.ZS.A9CD.01A.11R.A37K.07	TCGA.2Y.A9H9.01A.21R.A39D.07	TCGA.K7.A6G5.01A.11R.A311.07	TCGA.CC.A7IL.01A.11R.A33R.07	TCGA.DD.A4NL.01A.11R.A28V.07	TCGA.DD.A11C.01A.11R.A131.07	TCGA.2Y.A9GT.01A.11R.A38B.07	TCGA.BC.A10S.01A.22R.A131.07	TCGA.G3.A25V.01A.11R.A16W.07	TCGA.ED.A627.01A.12R.A311.07	TCGA.HP.A5MZ.01A.21R.A27V.07	TCGA.2Y.A9GV.01A.11R.A38B.07	TCGA.G3.AAV5.01A.11R.A37K.07	TCGA.UB.AA0V.01A.11R.A38B.07	TCGA.ZS.A9CE.01A.11R.A37K.07	TCGA.DD.A1ED.01A.11R.A155.07	TCGA.DD.A119.11A.11R.A131.07	TCGA.DD.A1EC.11A.11R.A131.07	TCGA.DD.A3A5.11A.11R.A22L.07	TCGA.DD.A113.11A.12R.A131.07	TCGA.DD.A1EE.11A.11R.A131.07	TCGA.DD.A39V.11A.11R.A213.07	TCGA.DD.A11A.11A.11R.A131.07	TCGA.BC.A216.11A.11R.A155.07	GTEX.14A5I.1726.SM.5QGQ5	GTEX.WYVS.1926.SM.4PQZ2	GTEX.QDVN.0826.SM.48TZ2	GTEX.ZAB4.0826.SM.5LU9D	GTEX.TKQ2.1726.SM.4DXUP	GTEX.ZVP2.0626.SM.51MSO	GTEX.12WSI.0226.SM.5GCNA	GTEX.Y5V5.0926.SM.4VBPZ	GTEX.PX3G.0826.SM.48TZS	GTEX.Z9EW.0426.SM.5CVM9	GTEX.OOBJ.0826.SM.3NB2K	GTEX.UTHO.2426.SM.4JBHD	GTEX.ZPU1.0826.SM.57WG2	GTEX.WQUQ.1926.SM.4OOSA	GTEX.144GM.1326.SM.5LU5E	GTEX.139YR.0226.SM.5IFEM	GTEX.146FH.1526.SM.5NQBU	GTEX.YEC4.0826.SM.5P9FV	GTEX.11EQ9.0526.SM.5A5JZ	GTEX.13N2G.0926.SM.5IFGJ	GTEX.12WSG.0626.SM.5FQTQ	GTEX.X3Y1.2726.SM.4PQZH	GTEX.12WSL.0226.SM.5CVMJ	GTEX.12696.0826.SM.5EGGE	GTEX.ZYY3.0626.SM.5NQ6W	GTEX.145MO.2326.SM.5NQ9K	GTEX.14E1K.0326.SM.5S2PE	GTEX.1497J.0726.SM.5Q5D1	GTEX.13PVR.0126.SM.5S2PY	GTEX.Q734.0326.SM.48U15	GTEX.132NY.0926.SM.5P9G3	GTEX.14753.1626.SM.5NQ9L	GTEX.UPK5.1426.SM.4JBHH	GTEX.VUSG.0126.SM.4KL1X	GTEX.11WQC.0726.SM.5EQMR	GTEX.ZXG5.0826.SM.5GID6	GTEX.12696.1026.SM.5FQUV	TCGA.BR.7704.11A.01R.2055.13	GTEX.14BMV.2226.SM.5RQHX	GTEX.139D8.2326.SM.5IFGE
GDF11	34.51	38.4	34.75	42.41	44.57	49.91	13.62	34.26	114.36	23.93	81.71	112.77	127.89	140.04	111.99	19.82	14.24	23.76	24.28	4.28	7.4	10.24	12.09	10.96	8.32	46.5	7.11	16.51	8.13	17.0	5.5	24.11	27.05	29.06	18.03	21.47	47.5	22.59	15.91	10.55	30.78	5.06	22.26	14.45	29.06	12.93	16.03	31.0	27.64	26.28	26.1	7.94	85.82	48.52	39.22	17.25	27.05	162.14	11.47	12.27	38.95	9.56	251.48	9.85	13.62	0.78	11.64	34.02	11.82	23.25	33.3	20.71	77.79	10.24	9.63	46.84	31.9	11.47	64.34	11.13	51.35	9.56	14.67	27.25	26.67	37.32	69.03	83.45	146.03	134.3	170.25
GIPR	71.5	61.68	20.86	21.01	66.18	47.5	44.89	236.21	98.04	3.5	26.28	15.68	11.82	6.57	8.71	4.62	14.14	1.69	1.77	0.99	1.1	3.53	7.75	2.18	2.07	156.59	1.01	2.05	1.64	6.11	1.48	8.71	3.41	21.32	5.82	2.84	21.32	8.32	6.11	0.95	11.38	0.0	7.94	2.63	2.68	3.0	1.85	9.93	2.58	1.2	8.65	3.41	10.63	37.59	113.56	0.0	18.7	32.36	2.66	6.06	0.0	20.71	249.73	0.36	1.23	0.4	23.08	12.27	2.97	16.88	35.76	21.01	1.81	4.5	1.39	11.91	4.21	3.69	31.67	0.0	12.45	0.84	4.66	6.16	15.68	5.41	20.86	100.83	55.1	36.79	50.63
GLB1L2	140.04	157.68	156.59	237.86	269.6	131.51	4.74	81.71	244.57	7.46	336.79	194.36	293.07	279.14	170.25	5.63	2.58	5.87	5.73	0.0	0.82	2.36	2.29	3.5	13.42	41.81	0.74	1.19	0.0	1.68	0.0	4.98	2.27	7.0	4.78	5.45	46.84	10.71	2.27	1.39	39.22	1.75	4.39	9.34	17.25	9.85	5.11	14.78	8.58	8.38	27.64	0.84	24.99	366.09	81.14	13.72	17.0	28.65	3.82	0.83	3.29	6.46	187.71	0.85	5.82	18.03	21.94	14.56	0.0	117.6	10.08	71.5	16.75	7.94	6.21	55.1	19.25	3.96	129.69	3.82	19.53	0.99	2.89	2.25	31.9	29.06	40.64	256.78	283.05	264.03	241.19
GLIS2	358.54	246.28	218.79	201.25	255.0	323.03	163.28	255.0	529.06	26.1	384.34	305.55	339.14	450.94	409.15	145.02	10.08	84.04	262.2	7.11	13.72	63.45	19.82	95.34	9.13	307.69	6.16	60.82	49.91	187.71	7.22	120.94	40.07	52.08	118.43	211.31	246.28	176.29	76.71	10.47	197.09	71.5	96.68	30.78	79.45	23.08	64.34	67.59	28.86	33.78	29.06	38.12	246.28	392.44	201.25	44.89	113.56	866.07	40.36	50.63	34.26	21.63	2148.82	15.22	40.64	33.78	171.45	185.11	23.59	283.05	111.21	104.42	38.4	65.26	22.75	75.64	8.85	17.77	133.36	23.59	616.37	5.19	5.06	32.36	214.27	156.59	878.17	669.92	713.11	928.3	366.09
GOLGA7B	1.13	1.51	1.2	1.93	1.89	1.53	0.03	1.93	10.79	4.62	2.29	6.94	4.21	5.54	3.38	0.89	0.0	0.87	0.91	1.6	0.85	0.89	0.0	0.84	0.0	4.13	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.93	0.0	1.93	4.7	0.88	1.39	0.0	4.62	0.0	0.99	0.0	1.75	0.0	2.29	3.72	1.01	1.04	3.29	6.67	4.28	2.03	13.32	0.0	2.36	13.72	0.0	0.0	0.0	2.36	38.67	0.0	1.41	0.0	2.48	0.36	1.1	8.99	5.28	0.8	0.21	0.06	1.62	5.23	7.34	0.09	5.28	0.0	3.2	0.0	0.42	0.0	0.55	8.19	2.58	2.63	1.64	7.11	11.3
GPC4	363.56	211.31	226.54	476.71	295.11	221.86	155.5	150.17	1277.29	25.91	796.86	490.14	511.0	748.61	438.59	66.18	11.73	19.68	30.34	2.12	7.17	6.78	9.85	88.26	3.11	132.44	1.43	19.68	3.35	16.03	2.14	30.12	13.42	15.34	18.03	50.63	135.24	47.17	3.92	3.56	66.18	3.35	59.13	40.93	47.5	7.94	21.01	58.3	15.91	22.92	62.12	10.63	253.23	866.07	684.02	1.5	117.6	559.28	10.24	10.16	108.14	65.72	3349.13	3.79	2.16	0.17	71.0	53.57	5.11	339.14	148.09	27.44	58.3	22.43	47.84	343.89	100.13	28.86	120.1	22.92	480.04	3.44	49.56	18.84	31.9	108.9	728.11	536.45	1359.57	567.1	571.05
GPM6A	27.05	15.56	47.5	43.63	82.87	65.72	101.54	137.14	118.43	67.12	486.75	490.14	647.07	688.78	435.55	6.84	40.36	7.69	10.24	0.0	1.93	10.16	21.32	6.31	10.16	117.6	0.36	3.03	5.68	11.73	4.86	56.68	9.41	21.32	17.77	22.43	189.02	12.27	5.59	0.0	195.72	9.06	30.56	149.12	164.42	31.22	57.89	85.22	67.59	118.43	178.77	24.99	1340.84	159.9	813.63	43.63	229.72	802.41	90.77	86.43	165.57	132.44	1457.23	108.9	24.46	28.86	142.01	39.79	39.79	299.25	209.84	60.39	248.0	42.71	82.87	329.84	153.34	53.57	108.9	55.49	137.14	27.84	59.13	85.82	95.34	165.57	2895.31	297.17	138.1	59.97	63.45
GPR124	1081.39	351.14	1037.29	830.75	713.11	813.63	223.41	429.54	743.43	71.0	723.08	514.56	825.0	1015.93	575.03	169.07	27.05	173.85	144.01	1.83	28.24	25.35	56.68	74.58	8.51	511.0	2.68	123.5	34.75	44.25	8.19	79.45	147.06	90.14	65.72	120.1	346.29	239.52	61.68	13.12	271.48	24.63	52.45	60.39	169.07	27.25	69.52	124.37	52.82	77.25	52.08	14.56	713.11	220.32	420.68	81.14	209.84	1369.04	40.64	76.71	108.14	101.54	1073.91	33.06	29.91	17.38	68.07	120.1	39.22	173.85	134.3	55.1	113.56	32.59	23.25	199.85	35.5	32.59	150.17	42.71	819.3	14.78	8.0	58.71	28.24	180.02	988.12	954.43	1111.82	1457.23	909.17
GPRIN2	66.18	70.01	60.82	41.22	52.08	108.9	0.0	63.89	110.43	5.28	19.82	46.5	36.79	43.63	22.92	1.77	0.0	0.51	0.53	0.0	0.0	0.0	0.0	0.48	0.0	44.57	0.0	0.0	0.0	2.97	0.0	0.0	0.0	0.56	0.0	3.63	47.84	1.73	0.0	0.0	25.72	0.0	1.1	3.99	5.15	2.63	6.21	19.25	5.36	2.46	0.79	15.45	58.71	54.72	144.01	2.63	14.35	264.03	5.59	5.28	1.28	7.57	1540.37	1.6	0.0	0.0	2.03	5.06	3.5	69.52	86.43	26.47	9.2	6.78	6.67	21.16	3.41	1.81	236.21	5.68	49.91	0.0	0.66	6.16	5.54	186.4	190.34	246.28	72.52	75.64	185.11
GRIK1	40.93	107.38	5.92	14.89	52.45	3.2	3.06	1.97	0.0	1.85	7.63	7.88	8.13	9.7	8.78	0.47	0.53	0.89	0.0	0.0	0.0	0.47	0.0	0.0	0.0	1.99	0.39	0.0	0.0	0.0	0.0	0.56	0.0	0.0	0.0	1.33	1.23	0.46	0.0	0.0	4.58	0.44	0.0	0.0	1.79	0.0	1.11	1.17	2.78	1.77	3.72	0.8	2.97	0.78	2.84	2.43	1.46	8.85	0.82	0.39	0.97	0.87	22.1	1.85	1.28	0.91	0.0	1.19	0.0	0.0	0.39	1.45	0.48	0.89	0.8	4.82	0.41	0.42	1.08	1.41	0.0	0.83	1.0	0.39	0.89	4.03	3.76	7.0	30.78	65.26	9.27
GUCY1A3	660.68	728.11	480.04	603.67	785.88	563.18	167.9	1233.75	285.03	96.01	688.78	884.29	642.59	813.63	718.08	81.71	28.45	88.26	85.22	1.07	15.34	20.71	30.34	38.95	8.0	224.97	7.51	59.13	20.86	15.56	5.23	106.63	111.99	46.18	18.84	52.45	156.59	133.36	35.5	4.39	135.24	11.13	42.71	67.59	145.02	18.56	73.54	127.89	52.08	99.43	102.97	14.03	363.56	187.71	171.45	84.04	106.63	633.73	62.12	26.47	43.32	91.41	753.83	31.45	31.22	5.45	67.59	518.15	28.24	141.02	92.7	60.82	152.28	23.42	67.12	279.14	37.32	14.45	221.86	21.32	341.51	22.75	18.29	40.36	84.63	242.88	1477.58	753.83	1037.29	559.28	435.55
HAND2	73.54	28.86	88.88	55.1	72.01	124.37	30.34	46.5	551.56	115.16	1331.57	1697.45	1369.04	1697.45	1286.18	53.19	27.64	38.4	55.49	0.0	2.73	20.41	0.0	41.52	0.0	237.86	0.0	59.55	7.17	32.13	0.99	36.79	12.0	14.78	26.1	64.8	265.87	100.83	11.91	2.56	175.07	2.16	25.72	90.77	138.1	46.18	58.3	119.26	85.82	77.79	108.14	67.12	669.92	595.34	642.59	9.63	143.01	1540.37	51.71	12.55	42.71	155.5	2255.7	10.24	63.0	0.0	45.85	118.43	21.47	152.28	223.41	223.41	165.57	35.25	167.9	896.64	267.73	64.8	361.04	8.92	384.34	42.11	20.86	57.08	66.65	190.34	17.25	5.92	2319.15	2193.99	2075.59
HIF3A	89.51	98.04	239.52	108.14	127.0	176.29	532.74	409.15	275.28	14.24	141.02	199.85	239.52	343.89	348.71	6.52	2.53	33.54	3.59	0.93	10.63	10.24	17.77	15.68	19.53	26.47	9.13	20.26	5.54	6.36	9.41	36.27	11.47	9.56	17.9	6.36	38.12	13.93	6.89	6.41	41.52	5.02	17.38	25.17	10.71	4.58	12.09	61.68	8.0	9.13	16.15	14.03	12.18	77.79	167.9	0.0	46.18	66.18	13.52	1.68	17.9	24.99	241.19	2.18	44.25	1.43	30.78	12.55	21.47	61.25	75.11	28.04	40.64	16.88	4.31	62.12	51.71	9.27	35.76	31.67	22.43	0.65	40.93	13.22	7.82	5.87	555.41	967.76	1427.22	1191.69	2502.97
HTRA3	1721.16	500.46	599.49	1104.13	463.65	1331.57	426.57	830.75	3540.14	37.85	947.83	1685.71	1111.82	1540.37	1819.35	273.37	13.32	232.94	237.86	6.73	8.06	18.03	12.64	148.09	4.28	303.44	4.03	96.68	20.86	53.19	3.96	20.56	27.25	32.59	189.02	94.01	99.43	376.41	32.82	5.82	82.29	7.51	24.63	51.35	43.32	24.46	43.63	21.94	41.81	29.27	38.67	17.77	60.39	173.85	563.18	13.72	28.65	172.65	27.64	6.84	127.89	9.06	2303.12	5.45	48.18	11.21	28.24	117.6	9.13	13.12	28.45	199.85	19.97	11.55	6.26	267.73	57.08	6.01	334.46	11.91	169.07	18.43	3.89	17.51	32.13	89.51	3081.75	2075.59	2664.15	3589.58	1175.27
HUNK	76.17	82.87	32.59	49.91	71.5	29.27	0.67	29.7	18.43	8.45	41.81	46.5	22.1	45.53	38.4	14.03	8.85	4.31	14.78	32.13	0.0	5.82	2.58	6.52	0.68	23.76	0.0	13.03	2.05	4.39	0.0	2.01	3.89	5.23	2.03	6.46	46.84	13.52	13.62	0.6	25.72	4.58	7.22	10.55	12.36	4.78	10.55	20.86	8.32	7.63	12.45	2.78	36.27	6.01	22.92	31.9	4.7	114.36	3.5	27.05	27.05	0.56	158.79	2.71	0.46	23.25	9.56	3.76	153.34	39.79	197.09	2.92	193.01	8.92	7.34	3.29	15.22	0.3	21.63	127.0	39.5	19.97	3.56	10.24	1.6	32.59	15.56	41.52	32.82	133.36	23.25
IGF2BP2	78.89	141.02	87.65	56.68	88.88	133.36	234.57	279.14	660.68	26.47	120.94	158.79	97.36	129.69	110.43	92.05	18.16	22.1	111.21	2.46	3.44	134.3	17.0	73.54	4.17	175.07	2.07	90.14	35.0	71.5	4.31	43.32	10.39	3.82	10.88	11.47	68.07	71.0	63.0	64.8	47.17	52.45	29.48	21.63	32.36	9.06	29.7	29.91	13.93	21.63	35.76	18.29	133.36	147.06	1331.57	5.59	297.17	435.55	8.45	20.41	16.27	46.18	2209.26	4.24	9.2	5.32	64.34	8.78	11.47	135.24	49.91	51.35	22.59	4.43	13.52	80.01	21.78	11.82	110.43	6.26	78.34	1.55	7.75	16.51	136.19	138.1	106.63	141.02	198.47	189.02	241.19
IGFBP5	7966.99	2816.11	5403.7	6121.9	5791.62	4095.0	6079.61	5831.91	3589.58	249.73	3690.52	5831.91	5711.87	6471.02	3349.13	599.49	169.07	1540.37	1721.16	32.36	98.73	277.2	1059.11	325.29	41.22	1662.49	51.71	660.68	131.51	289.02	159.9	279.14	218.79	409.15	457.25	190.34	909.17	1104.13	414.87	36.27	1037.29	41.81	403.5	327.56	629.35	190.34	303.44	318.57	209.84	305.55	633.73	130.6	796.86	660.68	2468.49	111.99	2148.82	1015.93	218.79	78.34	1519.15	753.83	7130.55	73.54	397.93	32.59	567.1	325.29	293.07	2384.37	1268.46	256.78	1066.48	180.02	271.48	3372.43	1151.06	403.5	3039.3	647.07	316.37	53.19	1143.1	336.79	195.72	493.56	23169.48	12244.81	13215.02	9945.68	13399.51
IL20RA	521.76	460.44	379.04	780.44	423.61	255.0	10.0	281.09	169.07	15.34	117.6	104.42	98.04	127.89	87.65	8.19	0.0	1.73	0.0	0.0	0.0	0.0	0.93	0.0	0.46	35.25	0.44	0.0	0.0	0.47	0.43	1.13	0.0	1.48	2.03	2.89	13.52	0.53	0.0	0.0	13.72	2.41	1.6	14.03	15.8	5.5	21.01	12.55	9.41	2.53	28.04	9.13	21.16	269.6	50.27	6.67	68.07	73.54	3.47	2.48	1.68	4.86	1857.6	6.06	35.5	0.8	18.56	4.62	1.39	74.06	65.26	4.24	7.28	44.89	13.22	27.44	18.29	2.1	599.49	4.46	8.99	2.23	4.35	9.06	64.8	51.35	159.9	341.51	211.31	287.01	262.2
ISYNA1	860.08	753.83	624.99	743.43	909.17	607.87	117.6	842.36	1794.29	285.03	483.38	703.28	607.87	476.71	603.67	356.05	178.77	332.14	297.17	71.0	96.68	159.9	202.66	371.22	125.24	1313.23	47.84	297.17	176.29	218.79	51.71	444.72	275.28	251.48	204.07	438.59	1277.29	575.03	102.25	137.14	529.06	154.42	191.67	221.86	293.07	155.5	299.25	387.02	305.55	297.17	246.28	209.84	1167.14	1268.46	1674.06	239.52	432.53	2720.15	373.81	295.11	241.19	234.57	13776.25	98.73	190.34	55.1	684.02	297.17	60.39	206.94	579.04	583.07	316.37	78.89	150.17	698.41	138.1	167.9	1143.1	86.43	981.29	96.68	53.95	353.59	698.41	808.0	1628.26	688.78	669.92	1883.54	2915.45
ITGB8	178.77	392.44	305.55	115.16	221.86	239.52	2.12	229.72	181.28	10.47	58.3	80.57	82.87	43.02	100.13	1.77	0.58	19.53	2.23	0.0	1.3	0.54	0.0	2.01	0.83	48.52	0.0	0.45	12.18	0.85	0.0	1.62	0.93	0.56	1.64	3.26	41.81	1.75	0.0	2.41	34.51	0.0	3.47	12.27	9.13	4.46	16.15	11.3	4.39	12.0	7.0	9.2	69.03	45.85	68.07	0.69	9.27	178.77	0.0	0.09	2.34	4.24	376.41	18.56	1.53	1.23	3.82	14.35	3.72	50.98	25.35	7.63	1.85	3.59	4.62	54.33	7.06	2.05	107.38	2.78	94.67	0.0	1.64	1.68	4.62	135.24	139.07	106.63	69.52	348.71	299.25
ITPR3	248.0	271.48	256.78	224.97	318.57	281.09	57.89	291.04	547.75	20.56	466.88	563.18	551.56	454.09	476.71	39.79	12.18	30.34	28.45	3.0	16.39	13.83	10.24	16.03	3.26	115.97	3.11	24.63	11.21	7.94	3.53	28.24	28.45	47.17	13.62	28.04	92.7	50.27	36.01	9.93	49.91	6.21	18.97	9.48	22.92	5.59	20.26	38.12	8.65	20.41	58.71	6.06	265.87	117.6	753.83	8.45	25.91	66.18	12.09	14.78	4.86	16.15	1015.93	4.28	6.84	5.28	13.42	79.45	10.08	31.22	30.56	27.25	25.72	5.19	8.38	131.51	10.79	2.46	126.12	13.22	113.56	3.47	2.48	15.11	10.63	34.75	669.92	466.88	728.11	486.75	651.58
KCNJ16	112.77	102.25	56.68	68.07	95.34	62.56	0.69	76.17	75.64	49.91	2.48	2.89	7.94	1.3	11.3	5.54	0.64	10.88	1.5	0.0	0.0	0.0	0.0	0.0	0.89	101.54	1.55	1.25	0.96	4.94	0.83	0.67	0.57	1.1	0.96	7.63	57.08	1.87	0.0	0.0	48.52	0.0	6.94	28.24	23.25	10.47	39.22	31.22	21.63	9.85	23.93	96.01	66.18	119.26	429.54	0.0	127.89	620.67	13.12	1.01	8.25	33.78	1870.53	0.0	15.11	0.0	81.14	22.75	1.5	607.87	414.87	4.17	34.26	18.56	18.97	180.02	9.13	17.51	208.38	12.45	4.17	0.32	2.81	9.63	4.1	185.11	180.02	121.79	46.84	8.38	42.11
KIAA1549L	17.64	26.1	38.67	9.34	11.47	29.27	2.27	66.65	26.67	0.62	15.8	28.45	18.7	12.83	9.78	1.79	0.0	0.93	2.23	0.0	0.0	0.0	0.53	0.89	0.47	3.38	0.0	2.2	0.0	0.0	0.0	0.62	1.33	1.03	0.89	1.73	2.36	0.95	0.52	1.0	2.94	0.51	0.0	0.59	1.14	0.99	0.0	1.11	0.0	0.6	0.0	1.17	1.53	0.13	2.27	0.27	1.58	7.82	0.0	0.22	1.69	0.21	18.16	0.0	1.23	0.0	2.71	0.13	0.27	1.39	1.38	0.04	1.91	0.25	0.0	0.97	0.25	0.0	23.93	0.26	2.86	0.18	0.0	0.21	1.45	0.17	1.31	9.34	3.47	5.32	2.2
KIF3C	173.85	205.5	156.59	137.14	194.36	221.86	36.79	299.25	158.79	8.51	92.05	177.53	164.42	118.43	175.07	14.03	6.11	19.97	20.26	2.94	9.85	4.7	12.93	12.55	4.35	45.85	2.71	11.55	20.26	8.92	4.03	11.47	29.48	17.64	15.45	21.63	66.18	27.84	16.63	4.82	26.47	3.11	10.79	26.67	29.06	3.06	7.22	47.17	11.21	34.75	27.84	2.43	155.5	43.63	116.78	8.71	22.59	39.22	6.52	38.95	21.16	14.56	249.73	25.54	10.88	4.31	29.27	31.67	6.78	56.68	18.16	35.5	114.36	10.24	5.73	70.01	14.35	24.63	33.06	5.11	83.45	5.96	3.35	16.39	19.97	35.5	309.83	193.01	242.88	140.04	135.24
KLC3	127.0	159.9	120.94	62.12	159.9	108.9	7.28	98.73	167.9	3.08	1.66	4.78	1.46	1.6	3.2	3.79	0.0	1.11	3.0	0.0	1.95	1.62	3.69	18.97	0.0	21.94	1.33	2.14	1.91	7.06	0.93	1.87	1.99	1.71	1.91	1.57	29.91	2.01	0.66	0.53	11.21	4.35	2.89	0.0	2.43	3.53	3.79	6.01	3.86	0.0	0.78	4.31	36.01	8.58	28.65	0.84	5.82	67.12	2.58	3.0	2.68	0.69	358.54	0.0	0.1	1.48	5.59	2.32	3.26	6.36	41.52	10.16	4.24	7.94	9.2	31.67	12.93	0.0	89.51	2.32	0.66	0.12	1.85	0.0	21.01	1.85	33.54	10.71	2.92	10.08	33.78
LAMA2	403.5	267.73	698.41	733.19	518.15	450.94	366.09	928.3	371.22	34.26	62.56	95.34	101.54	68.07	158.79	60.82	23.93	109.66	72.01	0.0	5.23	17.51	38.12	24.99	19.53	291.04	0.0	48.87	11.73	35.0	2.58	55.49	20.41	32.59	34.26	65.26	279.14	111.99	7.57	2.68	176.29	13.42	36.53	63.45	75.64	10.71	50.63	83.45	41.52	68.07	55.1	9.78	346.29	1662.49	351.14	15.91	161.02	616.37	18.16	16.27	289.02	87.03	2451.44	11.73	10.63	14.35	147.06	57.49	70.51	587.13	376.41	38.12	221.86	43.94	40.64	412.0	59.97	58.71	368.65	226.54	473.41	3.47	55.89	16.75	82.87	146.03	836.53	1295.13	796.86	186.4	607.87
LDOC1	1191.69	1008.9	1313.23	785.88	928.3	1127.35	356.05	1030.12	384.34	90.14	444.72	540.19	563.18	429.54	595.34	95.34	30.12	82.87	71.0	5.54	22.92	18.16	52.45	89.51	23.42	563.18	8.45	66.65	31.45	49.21	11.91	47.84	53.19	83.45	105.15	103.69	470.14	126.12	44.25	11.13	223.41	19.39	52.82	94.01	95.34	29.48	111.99	127.0	108.14	63.45	84.04	29.27	1662.49	358.54	1477.58	55.1	201.25	785.88	30.78	57.49	64.34	72.01	2664.15	31.67	82.29	5.11	217.27	131.51	26.28	195.72	191.67	49.21	75.11	85.22	28.45	1037.29	105.15	41.52	1037.29	40.36	567.1	44.89	23.76	167.9	82.29	450.94	4095.0	974.5	961.07	1870.53	1467.37
LPAR1	555.41	255.0	412.0	480.04	381.68	579.04	158.79	587.13	105.89	23.93	808.0	1721.16	1242.34	1044.52	1331.57	27.84	10.71	24.99	14.35	1.36	2.51	10.55	5.63	14.89	0.66	94.67	0.0	28.86	5.77	12.18	1.01	14.78	9.7	18.56	16.39	45.21	91.41	40.07	8.45	3.53	45.21	2.03	12.18	25.72	40.64	10.47	22.1	42.71	16.88	29.06	47.17	5.02	262.2	490.14	86.43	7.0	61.25	486.75	1.07	6.36	45.53	15.8	612.11	10.24	6.62	23.59	76.17	3.89	15.8	124.37	38.67	30.56	44.25	2.01	18.84	185.11	36.27	2.89	82.87	10.88	105.89	12.83	75.64	20.71	4.74	54.72	981.29	995.0	684.02	1685.71	1250.98
LPCAT4	633.73	642.59	547.75	878.17	713.11	698.41	450.94	669.92	941.27	84.04	1896.65	1883.54	1709.26	1540.37	2004.85	251.48	66.18	107.38	132.44	50.27	54.33	92.7	150.17	134.3	65.72	460.44	45.53	111.21	124.37	201.25	150.17	129.69	123.5	214.27	128.79	158.79	312.0	212.78	92.05	59.13	149.12	22.75	85.82	66.18	102.25	49.21	116.78	111.99	94.01	66.18	136.19	29.27	444.72	78.89	708.18	72.01	88.88	273.37	77.79	79.45	36.01	69.03	1487.87	27.05	91.41	153.34	231.32	215.77	18.7	35.5	195.72	86.43	113.56	55.1	23.76	521.76	67.12	31.9	191.67	34.26	341.51	41.22	22.59	214.27	267.73	167.9	1457.23	941.27	1508.65	2240.11	1870.53
LRRC4C	46.5	156.59	43.02	52.45	95.34	146.03	7.34	114.36	55.49	4.62	40.64	67.12	47.84	63.0	46.18	6.31	2.32	8.99	9.56	0.0	0.4	1.68	0.83	5.45	0.37	30.56	0.0	3.08	0.4	2.18	0.0	4.82	6.11	1.36	1.91	10.16	26.86	13.52	0.41	0.59	13.52	2.66	2.43	9.48	15.22	7.94	5.19	11.47	8.71	9.2	10.24	2.14	91.41	2.05	65.72	8.71	8.92	85.82	6.06	4.39	13.12	8.06	65.72	5.87	1.07	1.22	7.57	7.06	2.48	9.06	3.66	9.93	5.41	0.13	1.58	16.75	8.45	2.53	16.03	3.86	31.45	2.23	3.53	8.71	7.57	26.86	34.51	46.84	26.47	38.67	10.55
LRRK1	185.11	190.34	158.79	185.11	202.66	215.77	14.24	197.09	176.29	40.64	224.97	167.9	193.01	194.36	246.28	48.52	17.9	32.36	36.27	7.57	17.38	14.45	16.15	24.11	6.73	72.01	5.96	25.17	10.31	12.36	1.97	19.68	21.63	37.85	29.7	27.64	60.39	59.13	27.84	11.21	38.95	7.28	20.41	31.0	52.08	5.96	12.09	49.56	14.56	28.45	31.22	7.69	212.78	71.0	178.77	26.47	62.12	111.21	9.13	25.17	30.56	61.68	223.41	12.83	20.26	11.21	57.49	47.17	14.67	46.84	15.91	42.11	67.59	9.06	15.8	63.45	15.56	10.55	100.13	26.1	65.72	10.39	5.15	31.0	24.81	28.65	185.11	703.28	223.41	358.54	255.0
