	TCGA.BH.A1FE.11B.14R.A13Q.07	TCGA.BH.A1FJ.11B.42R.A13Q.07	TCGA.B8.5552.11A.01R.1672.07	TCGA.38.4625.01A.01R.1206.07.1	TCGA.BJ.A3F0.01A.11R.A206.07	TCGA.ET.A40R.01A.11R.A23N.07	TCGA.BJ.A3PT.01A.12R.A220.07	TCGA.EM.A3FP.01A.11R.A21D.07	TCGA.EM.A3AI.01A.11R.A206.07	TCGA.EM.A1YE.01A.11R.A14Y.07	TCGA.DJ.A3UT.01A.11R.A22L.07	TCGA.BJ.A2N9.01A.11R.A18C.07	TCGA.EL.A3ZT.11A.13R.A23N.07	TCGA.H2.A2K9.11A.11R.A180.07	TCGA.EM.A1CW.11A.12R.A13Y.07	GTEX.RM2N.0526.SM.2TF4N	GTEX.W5X1.0426.SM.3GILB	GTEX.14ASI.0726.SM.5Q5DC	GTEX.14ABY.0926.SM.5Q5DY	GTEX.113JC.0126.SM.5EGJW	GTEX.YEC4.0626.SM.5CVLU	GTEX.S341.0226.SM.5S2VG	GTEX.131XH.0526.SM.5DUX7	GTEX.QDVJ.0226.SM.2I5FV	GTEX.12ZZZ.1226.SM.59HK1	GTEX.OIZI.0726.SM.2XCEI	GTEX.13N1W.0826.SM.5MR5J	GTEX.OHPM.2626.SM.33HC5	GTEX.12WSK.0926.SM.5CVNQ	GTEX.WHSB.1626.SM.3LK6J	GTEX.SNOS.0226.SM.32PLR	GTEX.WHSE.0626.SM.4RGNF	GTEX.13O61.0226.SM.5KM52	GTEX.OIZG.0226.SM.2TC5L	GTEX.ZQG8.0926.SM.57WFF	GTEX.ZYFG.0626.SM.5GZYA	GTEX.WL46.0126.SM.3TW8I	GTEX.XLM4.0726.SM.4AT64	GTEX.P78B.0526.SM.2I5F7	GTEX.XUZC.0126.SM.4BOO6	GTEX.RVPV.1226.SM.2TF73	GTEX.WFJO.0226.SM.3GIKW	GTEX.1128S.0126.SM.5H12S	GTEX.ZLWG.0526.SM.4WWFB	GTEX.SJXC.0726.SM.2XCFJ	GTEX.YEC3.0826.SM.4WWFP	GTEX.139T6.0326.SM.5J2LY	GTEX.OOBK.2626.SM.2HMKY	GTEX.RWSA.0826.SM.2XCBF	GTEX.YFCO.0326.SM.4W1ZP	GTEX.ZY6K.0226.SM.5SIAY	GTEX.ZA64.0426.SM.5HL96	GTEX.12BJ1.0426.SM.5FQSO	GTEX.ZPCL.0126.SM.4WWC8	GTEX.1212Z.0426.SM.5FQT6	GTEX.YF7O.0726.SM.4W213	GTEX.QLQ7.0726.SM.2I5G2	GTEX.T6MO.0226.SM.32QOL	GTEX.YB5E.0626.SM.4VDSE	GTEX.11ZTT.1026.SM.5EQKF	GTEX.13D11.0226.SM.5LZXL	GTEX.PLZ4.1226.SM.2I5FE	GTEX.QXCU.0326.SM.2TC63	GTEX.ZVZP.1026.SM.5GICI	GTEX.WYBS.1926.SM.3NM8N	GTEX.OXRP.0326.SM.33HBJ	GTEX.ZYT6.0426.SM.5GID3
NDUFV3	563.18	476.71	420.68	303.44	438.59	642.59	629.35	836.53	521.76	738.29	764.36	651.58	571.05	420.68	514.56	547.75	555.41	587.13	463.65	285.03	575.03	567.1	547.75	567.1	450.94	497.0	334.46	490.14	470.14	612.11	466.88	312.0	684.02	612.11	665.29	607.87	493.56	423.61	656.11	620.67	540.19	511.0	429.54	665.29	426.57	733.19	525.39	595.34	312.0	612.11	769.69	490.14	460.44	624.99	503.95	713.11	483.38	466.88	633.73	651.58	718.08	507.46	366.09	633.73	483.38	414.87	514.56
NEDD8	2502.97	3103.19	4123.49	0.97	6699.25	7081.29	7589.61	6652.97	9151.82	7485.11	6337.83	9344.14	4123.49	3901.01	4575.41	3928.15	4802.93	7130.55	6516.03	3665.02	5872.48	4639.29	6037.61	5183.54	6745.86	4481.23	4575.41	5872.48	4481.23	4358.66	5041.77	3235.01	7081.29	5441.3	5831.91	6561.36	5954.47	5995.9	5255.91	6381.92	6607.01	3874.05	4298.64	7230.1	4358.66	6792.79	5995.9	6164.49	3146.52	6121.9	6652.97	5995.9	5594.3	6164.49	4769.75	6294.04	5594.3	4802.93	8247.98	6792.79	6607.01	4328.55	3467.27	5872.48	6164.49	4972.34	6121.9
NHP2	1551.09	1313.23	1832.01	0.39	3874.05	3614.55	3614.55	2935.74	4450.27	3540.14	3018.3	7537.18	2061.24	2090.03	1639.59	1883.54	2075.59	3257.52	2434.5	1561.89	2351.53	2303.12	3491.39	1709.26	2682.69	1794.29	1883.54	2104.58	1883.54	2303.12	2224.63	1781.89	3190.46	2537.92	2287.2	2682.69	2351.53	2537.92	2434.5	3103.19	2855.44	1697.45	2384.37	3257.52	1896.65	3060.45	2271.4	3540.14	1437.15	2855.44	2701.35	2520.38	2287.2	3280.18	2335.28	3928.15	2224.63	2303.12	3190.46	1991.0	3018.3	1844.76	1896.65	2240.11	2591.27	1936.53	2627.46
NHP2L1	2915.45	2758.13	2193.99	0.92	4481.23	4903.87	4736.79	6471.02	4210.15	5872.48	5292.48	4937.99	2682.69	3081.75	3665.02	2367.9	2319.15	4972.34	4419.52	3212.66	4328.55	3349.13	4836.35	3190.46	5555.65	3103.19	3515.68	3124.78	2855.44	2816.11	3874.05	3955.48	5112.16	3467.27	3081.75	3768.09	3820.7	3614.55	4736.79	5479.15	3564.78	2287.2	3280.18	5147.73	3081.75	4802.93	3443.31	5594.3	2997.45	3955.48	4543.8	3303.0	3325.99	3491.39	3874.05	5751.61	4210.15	3820.7	4388.98	4010.71	5366.37	2417.67	3146.52	3564.78	4802.93	2895.31	3955.48
NME3	429.54	275.28	327.56	0.99	2271.4	4937.99	3303.0	3168.41	3955.48	3690.52	2915.45	3303.0	1757.34	1447.15	551.56	921.88	1295.13	2224.63	2018.8	1340.84	1111.82	1030.12	1870.53	651.58	2384.37	808.0	1605.83	854.13	1498.22	2240.11	1467.37	848.22	988.12	2032.85	1397.83	1397.83	2875.3	3419.52	1662.49	1721.16	1923.14	974.5	1111.82	1551.09	1322.37	1685.71	1397.83	1199.98	1721.16	2163.77	1143.1	1721.16	1037.29	1950.0	1909.85	2287.2	674.59	1143.1	2075.59	1015.93	2255.7	1073.91	1096.5	1015.93	2287.2	1175.27	3146.52
NME4	1242.34	1191.69	934.76	0.97	1909.85	2609.3	3716.2	3639.7	6037.61	5403.7	3820.7	5872.48	2384.37	1662.49	1427.22	1304.15	1594.73	2816.11	3325.99	1594.73	1277.29	1498.22	2502.97	1268.46	2004.85	1037.29	2935.74	1233.75	1583.71	1896.65	1313.23	2178.83	1896.65	2240.11	2303.12	2193.99	4328.55	3303.0	2573.36	2485.67	2701.35	1331.57	1030.12	2133.97	1844.76	1769.57	1806.78	1844.76	2335.28	2520.38	1594.73	1487.87	1233.75	1909.85	2335.28	2148.82	1388.16	1407.55	2400.97	1175.27	2384.37	1832.01	1529.73	1721.16	2163.77	1594.73	3742.05
NOMO1	921.88	1111.82	808.0	0.72	1936.53	1313.23	909.17	1794.29	1870.53	2061.24	1322.37	1870.53	802.41	928.3	825.0	896.64	669.92	1295.13	928.3	507.46	909.17	961.07	1378.57	1286.18	1127.35	688.78	878.17	921.88	583.07	791.35	1059.11	595.34	1477.58	1135.2	854.13	1096.5	1119.56	629.35	1242.34	1350.18	896.64	775.05	802.41	995.0	808.0	1369.04	1023.0	1175.27	616.37	813.63	1259.69	836.53	974.5	1111.82	1104.13	1088.92	1175.27	1015.93	1250.98	988.12	1159.07	536.45	947.83	1183.45	688.78	575.03	954.43
NOSIP	466.88	460.44	688.78	0.8	2537.92	2520.38	2367.9	1870.53	1529.73	1950.0	1936.53	2335.28	1216.75	1259.69	764.36	830.75	1104.13	1519.15	1304.15	872.1	1250.98	1304.15	1733.13	1111.82	1250.98	830.75	928.3	967.76	1073.91	1662.49	1378.57	981.29	1388.16	1685.71	1447.15	1447.15	1685.71	1498.22	1467.37	1923.14	1540.37	1066.48	1135.2	1583.71	890.44	1697.45	1369.04	1721.16	974.5	1697.45	1417.35	1378.57	1151.06	1977.24	1295.13	1617.0	1119.56	1073.91	1963.57	1268.46	1844.76	1143.1	583.07	1388.16	1498.22	1242.34	1685.71
NR2F6	260.38	191.67	332.14	0.61	753.83	1477.58	854.13	1572.76	836.53	967.76	785.88	1081.39	414.87	447.82	283.05	314.17	303.44	780.44	432.53	406.31	563.18	607.87	616.37	532.74	579.04	178.77	555.41	283.05	376.41	802.41	438.59	309.83	624.99	651.58	555.41	660.68	599.49	423.61	599.49	698.41	371.22	277.2	283.05	743.43	277.2	684.02	536.45	759.08	256.78	884.29	555.41	579.04	460.44	808.0	460.44	890.44	473.41	503.95	802.41	521.76	708.18	332.14	356.05	497.0	733.19	384.34	620.67
NSMCE1	1617.0	1447.15	1369.04	0.68	2537.92	3039.3	2335.28	2351.53	2520.38	2609.3	2193.99	4802.93	1685.71	1572.76	1896.65	1519.15	1819.35	2935.74	2319.15	1096.5	2061.24	1467.37	2591.27	1769.57	2224.63	1923.14	1066.48	1745.2	1417.35	1844.76	1359.57	1191.69	1923.14	2255.7	1674.06	1721.16	2400.97	2148.82	2133.97	1936.53	2720.15	1639.59	1378.57	2148.82	2303.12	2224.63	1594.73	2209.26	1477.58	1832.01	1806.78	1794.29	1540.37	2018.8	2104.58	2255.7	1662.49	1397.83	1883.54	1709.26	2335.28	1697.45	1350.18	1487.87	2178.83	1529.73	2075.59
NUBP2	297.17	202.66	368.65	0.78	1923.14	1617.0	1697.45	1529.73	2255.7	2075.59	1605.83	2816.11	1208.34	995.0	366.09	718.08	848.22	1662.49	1151.06	748.61	909.17	1081.39	1216.75	688.78	1073.91	529.06	836.53	848.22	813.63	1313.23	1111.82	656.11	1104.13	974.5	961.07	1277.29	1340.84	1159.07	1167.14	1540.37	1407.55	764.36	902.89	1225.22	629.35	1191.69	921.88	1350.18	708.18	1427.22	1167.14	1096.5	884.29	1605.83	941.27	1697.45	728.11	947.83	1832.01	1008.9	1529.73	669.92	638.15	981.29	1427.22	974.5	1331.57
OXLD1	145.02	137.14	229.72	0.56	1572.76	1233.75	1111.82	954.43	1639.59	1628.26	1151.06	1304.15	603.67	525.39	249.73	389.72	444.72	703.28	665.29	384.34	547.75	674.59	651.58	480.04	607.87	447.82	500.46	703.28	698.41	1044.52	759.08	291.04	638.15	616.37	791.35	733.19	595.34	651.58	703.28	753.83	616.37	651.58	460.44	738.29	343.89	961.07	796.86	713.11	518.15	1001.93	669.92	764.36	665.29	1044.52	483.38	1081.39	297.17	551.56	954.43	802.41	1167.14	314.17	417.77	780.44	819.3	540.19	813.63
PDCD6	2224.63	2287.2	1896.65	332.14	2701.35	3257.52	3146.52	2777.33	4575.41	4736.79	3146.52	5672.41	2664.15	2319.15	3146.52	2434.5	2682.69	2976.74	2956.17	1909.85	3372.43	2573.36	3467.27	2591.27	4095.0	2796.65	2163.77	2502.97	2468.49	2895.31	2816.11	1757.34	2895.31	2502.97	2855.44	3103.19	2468.49	2956.17	2701.35	2997.45	2720.15	2417.67	2520.38	3124.78	2895.31	2835.7	2956.17	2855.44	2335.28	3018.3	3257.52	3257.52	3103.19	3146.52	2627.46	3235.01	3103.19	2591.27	2384.37	3018.3	3443.31	2319.15	2627.46	2895.31	2956.17	2367.9	3018.3
PGLS	896.64	791.35	612.11	0.47	3820.7	3124.78	2682.69	3103.19	2319.15	3716.2	2682.69	3349.13	1519.15	1721.16	842.36	1051.79	1250.98	1936.53	1397.83	967.76	1639.59	1936.53	1883.54	1259.69	1674.06	825.0	1183.45	1529.73	1447.15	1991.0	1498.22	836.53	1733.13	2133.97	1551.09	1583.71	2351.53	2777.33	1322.37	1467.37	2104.58	1104.13	1340.84	1923.14	1030.12	2209.26	1457.23	1594.73	995.0	2895.31	2004.85	1605.83	1447.15	3018.3	1313.23	1991.0	1388.16	1259.69	3190.46	1857.6	2645.74	1233.75	1199.98	1498.22	2018.8	1378.57	1950.0
PHPT1	718.08	698.41	660.68	878.17	10512.82	6983.79	7749.1	8022.41	5441.3	5995.9	7537.18	7081.29	3060.45	2875.3	1844.76	2451.44	2895.31	5076.84	3665.02	2485.67	3515.68	3564.78	4358.66	3018.3	4038.61	1923.14	3190.46	3540.14	2224.63	3955.48	3794.3	1883.54	4543.8	5366.37	4038.61	4239.45	4239.45	5147.73	4268.94	4123.49	6079.61	2178.83	3212.66	4671.57	2555.58	6607.01	3395.89	3982.99	2720.15	5594.3	4481.23	3124.78	2956.17	5366.37	4210.15	4671.57	2739.08	4388.98	6887.62	3928.15	5329.3	2664.15	2400.97	3639.7	6164.49	3349.13	3614.55
PIGQ	318.57	251.48	420.68	0.73	2319.15	1870.53	2434.5	2319.15	2609.3	2627.46	1977.24	3124.78	1529.73	1417.35	521.76	1233.75	738.29	1819.35	974.5	791.35	1397.83	1674.06	1268.46	1605.83	1369.04	921.88	1340.84	1250.98	1143.1	1819.35	1519.15	1008.9	1651.0	1551.09	1304.15	1295.13	1594.73	1407.55	1427.22	1457.23	1427.22	1350.18	1407.55	1322.37	842.36	1896.65	1322.37	1605.83	1030.12	1733.13	1250.98	941.27	1119.56	1685.71	1457.23	1709.26	1051.79	1757.34	2224.63	1685.71	1733.13	1175.27	1015.93	1277.29	1639.59	1159.07	1662.49
PIN1	154.42	141.02	802.41	0.75	1857.6	2367.9	2287.2	1639.59	1529.73	1909.85	1757.34	2075.59	1051.79	1143.1	656.11	1059.11	1023.0	1709.26	1286.18	934.76	1551.09	1369.04	1540.37	1397.83	1594.73	669.92	884.29	961.07	1111.82	1617.0	1487.87	753.83	1551.09	1437.15	1350.18	1651.0	1594.73	1594.73	1427.22	1757.34	1427.22	1119.56	1277.29	1594.73	842.36	1745.2	1340.84	1583.71	961.07	1769.57	1427.22	1561.89	1199.98	2178.83	1127.35	1950.0	1111.82	1191.69	2193.99	1407.55	1819.35	954.43	896.64	1304.15	1662.49	1088.92	1378.57
POLDIP2	1268.46	1111.82	1151.06	0.53	2061.24	1359.57	1697.45	1819.35	2367.9	2061.24	1477.58	2255.7	1233.75	1388.16	1304.15	1322.37	1242.34	1617.0	1662.49	860.08	1605.83	1529.73	1529.73	1277.29	1277.29	1250.98	1167.14	1519.15	981.29	1487.87	1662.49	981.29	1950.0	1529.73	1331.57	1662.49	1313.23	1242.34	1427.22	1832.01	1477.58	1216.75	1135.2	1721.16	1359.57	1721.16	1583.71	1794.29	1044.52	1806.78	1685.71	1407.55	1540.37	1745.2	1242.34	2047.0	1594.73	1529.73	2148.82	1685.71	2018.8	1023.0	1304.15	1832.01	1519.15	1295.13	1388.16
POLR2E	842.36	915.51	1322.37	316.37	4123.49	3614.55	4358.66	4123.49	2915.45	3639.7	3081.75	4123.49	2855.44	2645.74	1662.49	2351.53	2061.24	3257.52	2739.08	2004.85	2537.92	3018.3	3060.45	2119.22	2895.31	1769.57	2485.67	2664.15	2148.82	3303.0	3039.3	1733.13	3039.3	2915.45	3018.3	2956.17	3349.13	2915.45	3325.99	3564.78	3146.52	2255.7	2335.28	3395.89	2335.28	3303.0	2502.97	3589.58	1757.34	3235.01	2701.35	2835.7	2417.67	4239.45	2502.97	3395.89	2537.92	2645.74	3235.01	2701.35	3665.02	2148.82	2133.97	2816.11	4123.49	2434.5	3039.3
POLR2I	1051.79	769.69	591.22	0.68	3690.52	3794.3	4038.61	2502.97	2255.7	3540.14	3395.89	3982.99	1794.29	1639.59	1081.39	981.29	1617.0	2956.17	2434.5	1322.37	2104.58	1936.53	2609.3	1617.0	2133.97	1175.27	1806.78	1709.26	1794.29	2240.11	2163.77	1159.07	2417.67	2796.65	2104.58	2303.12	2739.08	2645.74	2209.26	2573.36	2875.3	1427.22	1583.71	2796.65	1216.75	3060.45	2384.37	2468.49	1119.56	2796.65	2555.58	2895.31	1757.34	2739.08	1781.89	2520.38	1844.76	1529.73	2895.31	2163.77	2591.27	2133.97	1781.89	2520.38	2061.24	1721.16	2573.36
POLR2L	1199.98	1407.55	1651.0	0.54	7485.11	7966.99	9025.81	4607.24	5751.61	6516.03	7537.18	10225.32	3303.0	3124.78	1628.26	2664.15	2935.74	6037.61	4512.4	2627.46	5872.48	4152.18	5711.87	3303.0	5183.54	1844.76	2855.44	2133.97	2976.74	3955.48	4512.4	1936.53	6207.38	4937.99	4836.35	5076.84	5255.91	4802.93	4268.94	6164.49	5183.54	2451.44	3325.99	7130.55	1794.29	6426.31	4543.8	6381.92	2004.85	6840.04	5183.54	5147.73	4239.45	6294.04	3515.68	6516.03	3639.7	4210.15	7911.95	4239.45	4802.93	2976.74	2895.31	4972.34	5672.41	2047.0	4543.8
POLR3K	164.42	170.25	214.27	0.0	463.65	397.93	525.39	591.22	656.11	547.75	571.05	1051.79	242.88	249.73	329.84	248.0	220.32	389.72	343.89	69.03	327.56	323.03	307.69	320.8	441.64	185.11	176.29	255.0	165.57	307.69	267.73	111.99	476.71	403.5	339.14	395.18	273.37	183.82	536.45	447.82	341.51	264.03	163.28	400.71	239.52	423.61	307.69	341.51	126.12	368.65	435.55	361.04	285.03	389.72	251.48	406.31	273.37	218.79	346.29	368.65	551.56	241.19	82.29	303.44	356.05	231.32	373.81
POP7	395.18	373.81	336.79	0.28	896.64	988.12	836.53	703.28	988.12	1051.79	872.1	1628.26	518.15	493.56	356.05	381.68	412.0	819.3	679.29	228.13	503.95	591.22	583.07	426.57	497.0	432.53	332.14	486.75	429.54	483.38	624.99	332.14	848.22	595.34	603.67	733.19	563.18	503.95	669.92	854.13	500.46	500.46	460.44	813.63	363.56	825.0	571.05	860.08	281.09	830.75	854.13	603.67	603.67	915.51	497.0	836.53	457.25	450.94	836.53	633.73	848.22	283.05	406.31	638.15	490.14	409.15	674.59
PPFIA3	77.79	53.57	63.89	0.34	316.37	293.07	234.57	260.38	493.56	473.41	285.03	387.02	161.02	145.02	102.25	115.16	209.84	215.77	181.28	37.32	162.14	201.25	199.85	145.02	217.27	72.52	72.01	88.26	105.15	189.02	208.38	107.38	262.2	209.84	234.57	221.86	190.34	138.1	255.0	198.47	170.25	129.69	173.85	255.0	94.01	332.14	187.71	234.57	100.13	325.29	169.07	157.68	140.04	271.48	215.77	323.03	157.68	143.01	201.25	140.04	262.2	108.14	68.07	198.47	153.34	122.64	265.87
PPP1R3F	26.47	18.97	76.71	0.43	249.73	389.72	236.21	202.66	186.4	269.6	218.79	511.0	148.09	143.01	83.45	138.1	122.64	181.28	164.42	76.71	178.77	191.67	178.77	91.41	183.82	95.34	190.34	171.45	143.01	236.21	183.82	96.68	201.25	211.31	154.42	217.27	237.86	115.16	140.04	226.54	171.45	110.43	101.54	139.07	115.16	164.42	202.66	204.07	145.02	241.19	185.11	119.26	167.9	199.85	147.06	155.5	98.73	167.9	135.24	144.01	165.57	229.72	140.04	221.86	139.07	61.68	146.03
PPP2R1A	3303.0	3419.52	4512.4	1.04	7642.41	7485.11	8134.41	7382.04	4607.24	7966.99	6471.02	6699.25	4481.23	4769.75	4095.0	4512.4	4066.71	5913.33	5076.84	4123.49	5995.9	4903.87	6561.36	5995.9	4358.66	4736.79	5791.62	4607.24	3901.01	5441.3	6250.56	4481.23	6792.79	6426.31	4736.79	5292.48	5441.3	5329.3	5711.87	6840.04	6516.03	4298.64	4512.4	5913.33	4210.15	6935.54	5329.3	7857.29	4066.71	5292.48	6079.61	5751.61	5517.27	5329.3	5041.77	5633.22	6699.25	4802.93	5366.37	5672.41	5255.91	5041.77	5147.73	5219.6	6381.92	4481.23	4481.23
PPP4C	909.17	934.76	1183.45	1.01	2400.97	2758.13	2502.97	2701.35	2645.74	2701.35	2032.85	3639.7	1088.92	1378.57	1199.98	1359.57	1059.11	1183.45	1259.69	2255.7	1936.53	1757.34	1487.87	1551.09	1242.34	1008.9	1498.22	1268.46	1322.37	1594.73	1628.26	1369.04	1721.16	1870.53	1407.55	1721.16	1216.75	1250.98	1781.89	2018.8	1457.23	1135.2	1508.65	1870.53	974.5	1963.57	1551.09	2090.03	1685.71	1685.71	836.53	1697.45	1639.59	1832.01	1437.15	1883.54	1857.6	1427.22	1685.71	1806.78	1923.14	1008.9	2193.99	1551.09	1617.0	1277.29	1583.71
PRELID1	1806.78	2032.85	1407.55	6207.38	3190.46	4239.45	3325.99	3742.05	3742.05	4388.98	2895.31	6164.49	1561.89	1781.89	1794.29	1369.04	1561.89	2915.45	2018.8	1519.15	2591.27	2224.63	2502.97	1709.26	2148.82	1322.37	1662.49	1963.57	1561.89	2075.59	2018.8	2193.99	2796.65	2351.53	1977.24	2351.53	2209.26	2555.58	2075.59	2875.3	2163.77	1359.57	2240.11	3146.52	1477.58	3018.3	2032.85	3325.99	1733.13	2720.15	2956.17	2240.11	2018.8	3081.75	1963.57	3257.52	2224.63	1936.53	3540.14	1963.57	2895.31	1388.16	1844.76	2287.2	2956.17	2075.59	2319.15
PRPF19	1651.0	1437.15	1037.29	0.38	1437.15	1794.29	2209.26	1909.85	1662.49	2004.85	1733.13	2224.63	1457.23	1447.15	1388.16	1417.35	1322.37	1757.34	1651.0	961.07	1697.45	1583.71	2004.85	1295.13	1467.37	1427.22	1151.06	1551.09	1216.75	1721.16	1819.35	1268.46	1857.6	1721.16	1551.09	1685.71	1651.0	1304.15	1733.13	1896.65	1498.22	1340.84	1378.57	1991.0	1529.73	1519.15	1733.13	1977.24	1388.16	1369.04	1819.35	1781.89	1605.83	1794.29	1427.22	1745.2	1572.76	1540.37	1498.22	1561.89	1733.13	1159.07	1143.1	1662.49	1378.57	1143.1	1561.89
PSMB4	4903.87	4972.34	3146.52	1.45	9344.14	9025.81	8963.45	7589.61	6652.97	7695.57	7433.4	7280.4	4358.66	4972.34	5633.22	5292.48	5479.15	5672.41	5147.73	7695.57	6426.31	5831.91	5751.61	5006.93	4972.34	5479.15	6250.56	5711.87	6381.92	6037.61	6164.49	5041.77	7537.18	5366.37	6337.83	6561.36	4769.75	6426.31	5831.91	7966.99	5479.15	4836.35	5517.27	6745.86	4836.35	7331.05	6294.04	6887.62	7589.61	7280.4	7331.05	6037.61	5711.87	7032.37	5954.47	8191.0	5672.41	6079.61	8363.13	5517.27	7749.1	4095.0	8022.41	6337.83	5633.22	4903.87	5672.41
PSMD9	713.11	775.05	723.08	0.54	2384.37	1977.24	2720.15	1819.35	2224.63	1709.26	1806.78	2739.08	1135.2	1066.48	974.5	1081.39	1044.52	1605.83	1519.15	896.64	1529.73	1359.57	1551.09	1407.55	1605.83	909.17	1081.39	1233.75	1088.92	1477.58	1457.23	796.86	1551.09	1529.73	1369.04	1487.87	1388.16	1477.58	1498.22	1781.89	1477.58	1030.12	1225.22	1745.2	1175.27	1662.49	1605.83	1709.26	995.0	1745.2	1508.65	1407.55	1340.84	1794.29	1295.13	1674.06	1313.23	1340.84	1617.0	1617.0	1832.01	1143.1	733.19	1487.87	1561.89	1369.04	1378.57
PSMG3	379.04	406.31	379.04	1199.98	981.29	1151.06	1030.12	902.89	1605.83	1417.35	836.53	2163.77	571.05	571.05	409.15	351.14	450.94	902.89	708.18	271.48	743.43	679.29	674.59	567.1	647.07	547.75	295.11	571.05	493.56	688.78	633.73	358.54	884.29	825.0	723.08	796.86	616.37	457.25	791.35	1135.2	723.08	518.15	633.73	769.69	403.5	1030.12	708.18	928.3	381.68	1208.34	1066.48	629.35	583.07	1167.14	651.58	1135.2	521.76	616.37	1167.14	743.43	1001.93	358.54	366.09	813.63	791.35	429.54	813.63
RBM42	389.72	358.54	579.04	0.99	2224.63	2335.28	1896.65	2178.83	1733.13	3018.3	2104.58	2090.03	1159.07	1277.29	684.02	1135.2	836.53	2047.0	1709.26	1143.1	1674.06	1457.23	2163.77	1081.39	1551.09	842.36	1277.29	1023.0	1225.22	1781.89	1572.76	1073.91	1662.49	1685.71	1487.87	1594.73	1561.89	1745.2	1561.89	1936.53	1519.15	1143.1	1175.27	1844.76	1030.12	1844.76	1427.22	2004.85	981.29	1806.78	1519.15	1733.13	1498.22	2335.28	1639.59	2224.63	1313.23	1143.1	2032.85	1487.87	2335.28	860.08	1340.84	1477.58	1709.26	1259.69	1769.57
RHBDD3	164.42	135.24	152.28	0.64	698.41	759.08	521.76	607.87	733.19	1088.92	651.58	583.07	540.19	559.28	205.5	368.65	389.72	769.69	454.09	281.09	743.43	748.61	587.13	518.15	486.75	379.04	466.88	486.75	392.44	698.41	808.0	353.59	872.1	575.03	483.38	651.58	543.96	409.15	529.06	934.76	529.06	429.54	343.89	595.34	297.17	642.59	579.04	819.3	236.21	703.28	748.61	665.29	551.56	688.78	361.04	780.44	490.14	638.15	836.53	470.14	733.19	343.89	447.82	698.41	684.02	348.71	595.34
RNASEH2C	358.54	320.8	353.59	0.57	884.29	1794.29	1628.26	1447.15	1268.46	1359.57	1639.59	1561.89	688.78	718.08	470.14	595.34	698.41	878.17	624.99	551.56	733.19	860.08	1127.35	518.15	1119.56	457.25	490.14	595.34	656.11	941.27	890.44	450.94	941.27	1225.22	825.0	878.17	1015.93	1199.98	974.5	928.3	703.28	559.28	660.68	1457.23	500.46	995.0	753.83	1250.98	616.37	1819.35	791.35	743.43	575.03	1697.45	723.08	1111.82	432.53	559.28	1397.83	753.83	1008.9	921.88	463.65	1030.12	738.29	395.18	967.76
RNASEK	5517.27	5751.61	3928.15	1.0	13776.25	9279.58	12589.08	10883.59	11584.24	10368.08	9808.75	12076.21	5479.15	5006.93	4972.34	4358.66	4671.57	10084.54	8078.22	5791.62	6699.25	5831.91	8658.09	7331.05	9606.86	4239.45	6840.04	5006.93	5076.84	5711.87	5995.9	6983.79	6426.31	6840.04	6294.04	6250.56	7537.18	9945.68	6426.31	5479.15	8901.53	4543.8	5633.22	6840.04	4607.24	7857.29	6079.61	6250.56	4210.15	8134.41	6426.31	6381.92	5913.33	9945.68	7032.37	7331.05	5791.62	5555.65	10084.54	6037.61	9876.98	5255.91	5517.27	5555.65	7537.18	8022.41	7180.15
ROMO1	708.18	988.12	1896.65	9344.14	9025.81	10883.59	9279.58	8598.28	7911.95	8479.89	8305.36	7803.01	3039.3	2835.7	2609.3	2796.65	2777.33	6079.61	3955.48	3303.0	5219.6	3168.41	7180.15	2537.92	5219.6	2485.67	3303.0	2758.13	3372.43	4419.52	5041.77	2468.49	6516.03	4671.57	4268.94	4736.79	3690.52	5913.33	3820.7	6607.01	5441.3	2367.9	3190.46	6250.56	2178.83	8778.97	4639.29	6079.61	2400.97	7382.04	5995.9	4481.23	3982.99	7081.29	4239.45	7857.29	3665.02	3847.29	7537.18	4937.99	6207.38	1794.29	3168.41	4298.64	5479.15	2915.45	4543.8
RPS19BP1	384.34	366.09	656.11	0.87	4239.45	4123.49	3168.41	4575.41	3372.43	5872.48	4066.71	4671.57	2664.15	2520.38	1819.35	1508.65	2178.83	4268.94	2935.74	1350.18	2701.35	3349.13	3103.19	2018.8	3190.46	1225.22	2224.63	2451.44	2224.63	3081.75	2915.45	1662.49	3955.48	3235.01	2627.46	3443.31	3665.02	3467.27	2835.7	3639.7	3325.99	1769.57	2075.59	3280.18	1388.16	4066.71	2609.3	4181.07	1286.18	4903.87	4123.49	2609.3	2555.58	4972.34	2090.03	4123.49	1769.57	3146.52	5633.22	2976.74	4769.75	1819.35	1427.22	3325.99	4802.93	2627.46	3103.19
RPUSD1	126.12	79.45	93.35	0.01	438.59	423.61	403.5	361.04	587.13	595.34	371.22	493.56	267.73	281.09	96.68	232.94	217.27	320.8	265.87	63.45	256.78	265.87	264.03	220.32	236.21	172.65	154.42	212.78	193.01	293.07	242.88	129.69	297.17	293.07	260.38	281.09	368.65	234.57	301.33	366.09	312.0	221.86	226.54	312.0	181.28	293.07	260.38	312.0	176.29	371.22	329.84	262.2	226.54	417.77	193.01	373.81	226.54	291.04	420.68	264.03	371.22	166.73	176.29	320.8	267.73	208.38	346.29
