	TCGA.KN.8433.01A.11R.2315.07	TCGA.DD.A3A8.11A.11R.A22L.07	TCGA.38.4625.01A.01R.1206.07	TCGA.38.4625.01A.01R.1206.07.1	TCGA.XK.AAK1.01A.11R.A41O.07	TCGA.G9.7522.01A.11R.2263.07	TCGA.G9.6385.01A.11R.1789.07	TCGA.EJ.5526.01A.01R.1580.07	TCGA.EJ.5524.01A.01R.1580.07	TCGA.VN.A943.01A.11R.A41O.07	TCGA.EJ.5527.01A.01R.1580.07	TCGA.G9.6351.01A.21R.1965.07	TCGA.EJ.5516.01A.01R.1580.07	TCGA.HC.A8D1.01A.11R.A36G.07	TCGA.EJ.AB27.01A.11R.A41O.07	TCGA.G9.6333.01A.12R.1965.07	TCGA.V1.A8X3.01A.11R.A37L.07	TCGA.CH.5750.01A.11R.1580.07	TCGA.EJ.8474.01A.11R.2403.07	TCGA.V1.A8WN.01A.11R.A37L.07	TCGA.KK.A8IM.01A.11R.A36G.07	TCGA.EJ.5508.01A.02R.1580.07	TCGA.EJ.7317.01A.31R.2118.07	TCGA.CH.5746.01A.11R.1580.07	TCGA.HC.7075.01A.11R.1965.07	TCGA.G9.6367.01A.11R.1789.07	TCGA.CH.5753.01A.11R.1580.07	TCGA.J9.A8CN.01A.11R.A352.07	TCGA.G9.6371.01A.11R.1789.07	TCGA.EJ.8470.01A.11R.2403.07	TCGA.KK.A8IJ.01A.11R.A352.07	TCGA.2A.AAYF.01A.11R.A41O.07	TCGA.EJ.A65G.01A.21R.A29R.07	TCGA.HC.7750.01A.11R.2118.07	TCGA.J4.8200.01A.11R.A29R.07	TCGA.EJ.5517.01A.01R.1580.07	TCGA.EJ.7318.01B.11R.A32O.07	TCGA.G9.6336.01A.11R.1789.07	TCGA.V1.A9OQ.01A.11R.A41O.07	TCGA.EJ.5522.01A.01R.1580.07	TCGA.EJ.7312.01B.21R.A32O.07	TCGA.G9.6353.01A.11R.1965.07	TCGA.XK.AAJR.01A.11R.A41O.07	TCGA.J9.A8CP.01A.11R.A352.07	TCGA.V1.A8WL.01A.11R.A37L.07	TCGA.ZG.A9KY.01A.11R.A41O.07	TCGA.CH.5772.01A.11R.1580.07	TCGA.EJ.5496.01A.01R.1580.07	TCGA.HC.7819.01A.11R.2118.07	TCGA.HC.8216.01A.11R.A29R.07	TCGA.EJ.5532.01A.01R.1580.07	TCGA.EJ.7218.01B.11R.A32O.07	TCGA.HC.A8CY.01A.11R.A36G.07	TCGA.J4.AAU2.01A.11R.A41O.07	TCGA.XA.A8JR.01A.11R.A36G.07	TCGA.EJ.5542.01A.01R.1580.07	TCGA.EJ.5515.01A.01R.1580.07	TCGA.XJ.A83G.01A.11R.A352.07	TCGA.HC.8259.01A.11R.2263.07	TCGA.EJ.5497.01A.02R.1580.07	TCGA.CH.5762.01A.11R.1580.07	TCGA.V1.A9OX.01A.11R.A41O.07	TCGA.G9.6494.01A.11R.1789.07	TCGA.EJ.A46B.01A.31R.A250.07	TCGA.VN.A88N.01A.11R.A36G.07	TCGA.CH.5748.01A.11R.1580.07	TCGA.HC.7740.01A.11R.2118.07	TCGA.CH.5737.01A.11R.1580.07	TCGA.G9.7519.01A.11R.2263.07	TCGA.HC.8260.11A.01R.2263.07	TCGA.G9.6351.11A.01R.1965.07	TCGA.G9.6384.11A.01R.1858.07	TCGA.G9.6342.11A.02R.1965.07	TCGA.G9.6356.11A.01R.1789.07	GTEX.132NY.2826.SM.5P9G2
LCOR	24.46	17.77	105.15	56.68	53.57	109.66	131.51	293.07	316.37	220.32	289.02	145.02	314.17	120.1	111.99	157.68	181.28	246.28	180.02	194.36	156.59	320.8	112.77	181.28	161.02	108.14	480.04	103.69	128.79	255.0	279.14	158.79	141.02	117.6	226.54	236.21	67.12	95.34	111.99	301.33	89.51	67.59	143.01	117.6	148.09	164.42	237.86	264.03	293.07	177.53	242.88	140.04	148.09	103.69	134.3	267.73	231.32	80.57	118.43	248.0	341.51	81.71	147.06	115.97	158.79	309.83	126.12	98.73	90.77	104.42	94.67	106.63	84.04	120.94	73.03
LRR1	169.07	79.45	0.0	0.41	122.64	136.19	120.94	161.02	157.68	107.38	131.51	93.35	149.12	120.1	137.14	165.57	161.02	178.77	170.25	101.54	164.42	147.06	118.43	111.99	87.03	110.43	164.42	85.82	121.79	181.28	130.6	78.34	128.79	112.77	112.77	135.24	148.09	131.51	131.51	176.29	113.56	122.64	171.45	154.42	154.42	167.9	131.51	120.94	177.53	175.07	96.68	97.36	122.64	106.63	108.14	144.01	155.5	127.89	115.16	129.69	171.45	98.73	108.14	116.78	136.19	129.69	99.43	121.79	117.6	96.01	120.94	105.15	140.04	125.24	92.05
MAP4K4	133.36	299.25	1259.69	191.67	246.28	444.72	339.14	563.18	642.59	217.27	718.08	267.73	563.18	423.61	358.54	255.0	575.03	723.08	466.88	490.14	525.39	743.43	334.46	480.04	392.44	264.03	693.58	389.72	392.44	525.39	346.29	384.34	208.38	395.18	323.03	384.34	281.09	273.37	312.0	728.11	231.32	267.73	490.14	511.0	312.0	693.58	708.18	518.15	450.94	327.56	493.56	450.94	575.03	327.56	255.0	802.41	392.44	320.8	356.05	514.56	521.76	295.11	412.0	265.87	301.33	483.38	353.59	543.96	224.97	309.83	226.54	255.0	224.97	253.23	181.28
MED17	206.94	94.01	0.0	0.21	381.68	543.96	395.18	785.88	928.3	389.72	836.53	392.44	825.0	642.59	470.14	463.65	616.37	884.29	629.35	723.08	785.88	902.89	438.59	759.08	406.31	473.41	775.05	339.14	379.04	928.3	423.61	444.72	460.44	325.29	497.0	629.35	371.22	497.0	339.14	848.22	567.1	397.93	555.41	532.74	583.07	656.11	981.29	698.41	642.59	785.88	444.72	329.84	718.08	389.72	457.25	915.51	555.41	447.82	599.49	543.96	848.22	417.77	363.56	463.65	575.03	660.68	379.04	547.75	406.31	633.73	423.61	368.65	303.44	543.96	309.83
MFHAS1	16.63	57.08	0.0	0.44	40.36	141.02	176.29	242.88	214.27	117.6	281.09	124.37	232.94	283.05	165.57	88.88	281.09	295.11	239.52	221.86	165.57	267.73	147.06	295.11	78.34	115.16	211.31	40.93	204.07	145.02	241.19	122.64	121.79	214.27	155.5	309.83	214.27	120.94	93.35	392.44	85.82	185.11	81.71	87.03	83.45	275.28	170.25	429.54	145.02	145.02	171.45	199.85	236.21	157.68	132.44	265.87	255.0	84.63	334.46	316.37	463.65	127.0	157.68	128.79	105.89	275.28	197.09	215.77	180.02	141.02	124.37	211.31	129.69	63.45	86.43
MMAA	148.09	366.09	0.0	0.19	91.41	96.68	105.15	87.65	109.66	90.14	114.36	112.77	110.43	155.5	115.16	135.24	136.19	155.5	114.36	104.42	115.97	131.51	82.87	132.44	112.77	95.34	214.27	116.78	108.9	212.78	103.69	102.97	113.56	89.51	135.24	120.94	157.68	100.83	164.42	121.79	199.85	104.42	113.56	143.01	110.43	165.57	211.31	133.36	100.13	199.85	127.89	139.07	172.65	91.41	94.01	172.65	108.9	123.5	126.12	118.43	135.24	130.6	92.05	64.34	146.03	148.09	98.04	118.43	129.69	86.43	72.52	75.64	90.77	120.94	86.43
MRPL50	109.66	116.78	275.28	110.43	258.57	320.8	262.2	414.87	389.72	265.87	400.71	297.17	463.65	305.55	299.25	293.07	323.03	336.79	316.37	287.01	379.04	339.14	249.73	334.46	305.55	251.48	336.79	195.72	305.55	389.72	325.29	248.0	287.01	281.09	307.69	403.5	273.37	305.55	329.84	376.41	309.83	228.13	346.29	307.69	295.11	414.87	454.09	460.44	351.14	366.09	265.87	220.32	376.41	242.88	293.07	376.41	305.55	267.73	289.02	348.71	412.0	265.87	285.03	223.41	271.48	353.59	211.31	361.04	249.73	265.87	262.2	208.38	291.04	260.38	150.17
MRPS22	642.59	967.76	1250.98	392.44	575.03	620.67	483.38	587.13	684.02	463.65	728.11	540.19	656.11	642.59	591.22	796.86	529.06	703.28	620.67	536.45	599.49	656.11	454.09	607.87	486.75	514.56	529.06	490.14	543.96	698.41	521.76	486.75	493.56	521.76	1135.2	642.59	547.75	583.07	660.68	647.07	591.22	500.46	497.0	647.07	620.67	612.11	693.58	647.07	629.35	988.12	583.07	441.64	493.56	497.0	511.0	733.19	616.37	642.59	642.59	660.68	669.92	595.34	503.95	532.74	551.56	642.59	563.18	483.38	587.13	551.56	587.13	483.38	660.68	575.03	438.59
MTERFD1	255.0	201.25	0.0	0.13	343.89	267.73	234.57	414.87	348.71	256.78	417.77	267.73	305.55	329.84	346.29	323.03	358.54	480.04	423.61	305.55	368.65	314.17	269.6	312.0	297.17	221.86	543.96	251.48	260.38	470.14	366.09	307.69	348.71	258.57	387.02	387.02	351.14	264.03	327.56	332.14	435.55	224.97	332.14	429.54	441.64	466.88	395.18	316.37	314.17	525.39	336.79	265.87	607.87	239.52	346.29	339.14	309.83	438.59	373.81	299.25	444.72	334.46	318.57	301.33	346.29	293.07	193.01	255.0	256.78	327.56	303.44	193.01	285.03	295.11	212.78
NAA25	42.11	29.06	0.0	0.38	87.03	137.14	127.89	279.14	249.73	152.28	244.57	117.6	244.57	185.11	127.0	96.01	181.28	305.55	162.14	199.85	205.5	287.01	130.6	221.86	145.02	93.35	332.14	177.53	125.24	241.19	161.02	136.19	164.42	121.79	198.47	173.85	92.7	109.66	100.83	265.87	99.43	99.43	149.12	194.36	131.51	209.84	209.84	241.19	229.72	191.67	221.86	124.37	149.12	121.79	126.12	295.11	198.47	121.79	172.65	246.28	361.04	96.68	139.07	131.51	125.24	251.48	132.44	134.3	90.77	151.22	105.15	115.97	109.66	115.16	72.52
NADK2	122.64	2400.97	229.72	532.74	460.44	521.76	417.77	796.86	884.29	563.18	748.61	336.79	974.5	457.25	470.14	343.89	571.05	733.19	559.28	521.76	490.14	738.29	532.74	587.13	567.1	457.25	642.59	567.1	470.14	743.43	503.95	579.04	674.59	629.35	796.86	748.61	343.89	392.44	454.09	688.78	563.18	387.02	738.29	486.75	387.02	884.29	728.11	660.68	497.0	693.58	819.3	518.15	555.41	507.46	514.56	638.15	708.18	384.34	500.46	669.92	884.29	343.89	438.59	438.59	587.13	743.43	412.0	563.18	351.14	379.04	381.68	493.56	381.68	281.09	262.2
NGDN	540.19	447.82	0.0	0.91	785.88	728.11	759.08	819.3	813.63	656.11	708.18	733.19	684.02	836.53	866.07	669.92	728.11	909.17	878.17	785.88	928.3	819.3	624.99	819.3	708.18	665.29	819.3	503.95	616.37	954.43	733.19	708.18	802.41	647.07	656.11	759.08	791.35	808.0	896.64	728.11	836.53	688.78	728.11	813.63	785.88	802.41	791.35	775.05	842.36	995.0	753.83	688.78	854.13	698.41	713.11	651.58	713.11	728.11	780.44	713.11	909.17	902.89	748.61	748.61	890.44	738.29	693.58	616.37	698.41	836.53	679.29	674.59	743.43	921.88	575.03
NSRP1	167.9	84.63	0.0	0.64	389.72	595.34	514.56	808.0	638.15	447.82	825.0	567.1	753.83	575.03	497.0	525.39	529.06	575.03	791.35	603.67	571.05	808.0	450.94	620.67	532.74	490.14	660.68	387.02	463.65	796.86	555.41	466.88	563.18	591.22	559.28	532.74	368.65	532.74	503.95	703.28	438.59	567.1	450.94	616.37	521.76	571.05	583.07	599.49	669.92	660.68	536.45	500.46	579.04	543.96	470.14	728.11	612.11	414.87	571.05	674.59	669.92	457.25	403.5	476.71	500.46	575.03	483.38	447.82	435.55	656.11	540.19	525.39	450.94	503.95	457.25
ONECUT2	0.46	33.54	0.0	0.15	3.63	9.78	2.61	19.68	37.32	5.02	52.82	6.89	52.08	9.85	2.94	3.47	19.39	33.3	31.67	7.88	18.97	43.63	3.0	8.0	3.17	0.52	24.81	4.24	14.03	12.83	19.39	5.41	0.84	0.91	1.87	1.97	9.63	29.48	2.01	46.18	10.0	2.66	5.54	10.88	3.2	55.89	46.18	24.63	29.48	7.0	16.27	0.84	20.56	1.99	4.06	21.94	5.68	3.47	6.57	8.71	18.7	2.63	32.82	1.16	1.48	5.82	3.17	8.58	6.26	0.97	1.99	0.39	1.57	1.35	0.09
OTUD6B	44.57	17.51	0.0	0.51	65.26	74.58	99.43	211.31	181.28	130.6	180.02	79.45	180.02	130.6	100.83	115.97	132.44	373.81	144.01	147.06	155.5	170.25	77.25	161.02	104.42	73.03	297.17	120.1	85.82	173.85	128.79	81.14	129.69	98.73	151.22	137.14	77.25	65.72	80.01	195.72	106.63	69.03	109.66	110.43	143.01	208.38	189.02	141.02	135.24	271.48	285.03	73.54	248.0	92.05	100.83	152.28	185.11	78.89	98.04	165.57	253.23	72.52	156.59	107.38	94.01	163.28	76.17	94.67	44.57	111.21	90.77	82.87	89.51	94.67	43.32
PABPC1L2B	0.0	0.0	0.0	0.0	209.84	376.41	226.54	82.29	392.44	486.75	182.55	397.93	334.46	409.15	241.19	28.24	353.59	314.17	224.97	256.78	435.55	363.56	281.09	204.07	450.94	158.79	373.81	559.28	351.14	2.76	429.54	591.22	450.94	353.59	180.02	206.94	307.69	232.94	104.42	358.54	1.04	279.14	57.89	361.04	297.17	633.73	221.86	242.88	616.37	379.04	376.41	217.27	738.29	197.09	575.03	269.6	241.19	95.34	320.8	244.57	279.14	11.21	255.0	201.25	248.0	476.71	144.01	457.25	262.2	122.64	197.09	138.1	58.3	107.38	141.02
PAIP2	371.22	878.17	0.0	0.74	2319.15	3349.13	2384.37	2835.7	3540.14	1832.01	3665.02	2976.74	3146.52	2835.7	2520.38	2520.38	2609.3	2555.58	2351.53	3018.3	2720.15	2720.15	1950.0	2502.97	2163.77	2537.92	2720.15	1806.78	2739.08	3168.41	2520.38	2163.77	2148.82	2193.99	2895.31	2835.7	2573.36	2502.97	2061.24	3060.45	3124.78	2384.37	2682.69	3443.31	2555.58	3280.18	3039.3	2875.3	2555.58	2739.08	2163.77	1794.29	3515.68	1991.0	2303.12	3039.3	3303.0	2417.67	2816.11	2701.35	2701.35	2209.26	2417.67	2209.26	1674.06	2367.9	2090.03	2468.49	2758.13	2591.27	2573.36	2240.11	2555.58	2335.28	1896.65
PCDHB10	6.16	0.0	0.0	0.3	4.17	57.89	45.21	63.89	178.77	3.44	85.82	17.25	65.72	182.55	15.11	47.84	41.81	63.89	97.36	178.77	155.5	60.39	27.44	82.87	39.79	37.05	33.3	9.48	49.56	23.76	109.66	73.54	23.76	38.67	59.13	101.54	42.71	44.25	19.97	162.14	8.06	67.12	21.16	25.35	28.04	295.11	151.22	76.71	201.25	50.98	25.91	15.34	231.32	14.35	48.52	239.52	34.26	6.06	50.27	48.18	108.14	38.4	32.36	11.73	21.01	23.42	41.81	8.13	63.45	22.26	28.65	23.42	14.03	5.54	13.83
PCDHB11	2.78	0.48	0.0	0.24	0.72	55.49	45.21	59.55	112.77	1.62	107.38	8.45	71.0	187.71	12.64	47.5	13.03	40.64	28.45	17.51	75.11	12.36	5.5	60.82	54.33	21.94	177.53	13.32	38.67	10.96	125.24	12.45	31.67	28.45	88.88	12.74	25.91	13.62	2.63	77.25	0.75	50.63	13.03	9.93	29.7	158.79	88.26	118.43	126.12	27.25	52.08	2.73	314.17	1.89	27.84	148.09	19.82	6.73	22.92	92.05	21.63	27.64	44.89	20.71	16.63	14.56	64.34	8.58	28.45	12.93	15.91	7.28	5.28	7.11	6.78
PCDHB12	4.24	2.81	0.0	0.29	1.69	29.27	21.63	19.68	39.5	4.46	35.25	10.55	20.11	57.49	11.82	27.84	13.62	16.27	20.41	29.48	37.85	11.47	7.88	24.63	22.43	22.26	35.5	8.0	15.91	22.75	19.82	23.25	25.35	32.82	34.75	18.84	16.63	7.46	6.78	27.25	12.93	28.45	6.94	9.93	24.99	75.64	45.21	26.1	43.32	25.17	15.11	8.19	51.71	12.74	8.25	48.52	21.78	9.06	17.9	29.48	23.76	18.84	19.68	14.78	14.14	8.92	25.54	4.66	13.12	8.45	12.93	19.97	7.34	3.26	11.73
PCDHB14	12.83	12.74	0.0	0.55	33.3	137.14	69.03	74.58	193.01	47.84	90.77	40.07	67.59	95.34	60.82	76.17	73.03	38.67	163.28	162.14	87.65	67.12	75.64	154.42	60.39	65.72	57.08	63.0	80.01	101.54	46.18	152.28	63.89	87.03	129.69	172.65	59.97	57.49	33.3	85.82	38.95	100.83	61.68	34.75	101.54	177.53	187.71	56.68	169.07	115.16	60.82	52.45	84.04	170.25	76.17	91.41	69.03	22.92	92.7	93.35	90.77	66.65	47.5	54.72	91.41	64.34	68.07	52.82	116.78	55.89	55.89	58.71	44.57	35.5	47.84
PCDHB16	3.32	1.89	0.0	0.36	0.89	22.59	37.59	25.17	116.78	2.23	69.03	8.13	30.12	36.27	13.83	64.34	23.25	195.72	68.07	175.07	120.1	107.38	31.45	49.21	36.79	21.01	83.45	8.13	22.1	12.64	50.98	80.01	14.24	25.72	74.06	79.45	106.63	35.76	17.13	54.72	3.76	50.27	15.0	13.22	17.13	253.23	109.66	74.58	141.02	40.64	19.39	10.71	33.78	6.36	61.25	277.2	32.36	8.92	38.67	18.97	127.89	19.25	34.26	8.51	25.35	45.85	55.49	5.02	37.05	15.22	12.83	16.88	8.92	5.23	8.19
PEX1	204.07	116.78	0.0	0.59	267.73	303.44	237.86	444.72	426.57	277.2	348.71	204.07	480.04	332.14	271.48	205.5	366.09	406.31	384.34	351.14	395.18	403.5	256.78	403.5	314.17	202.66	466.88	232.94	209.84	483.38	341.51	348.71	323.03	218.79	295.11	325.29	255.0	164.42	217.27	426.57	193.01	195.72	343.89	332.14	273.37	395.18	381.68	381.68	334.46	348.71	395.18	281.09	860.08	223.41	283.05	497.0	429.54	226.54	316.37	368.65	423.61	198.47	297.17	279.14	287.01	457.25	193.01	287.01	221.86	295.11	181.28	208.38	211.31	229.72	185.11
PLRG1	555.41	595.34	0.0	0.33	688.78	796.86	718.08	974.5	981.29	543.96	884.29	796.86	995.0	825.0	759.08	642.59	638.15	764.36	884.29	723.08	941.27	974.5	555.41	854.13	708.18	693.58	808.0	521.76	607.87	928.3	713.11	669.92	743.43	753.83	848.22	884.29	620.67	708.18	728.11	848.22	703.28	571.05	743.43	698.41	780.44	819.3	769.69	934.76	813.63	941.27	769.69	612.11	583.07	612.11	620.67	1088.92	872.1	674.59	836.53	915.51	921.88	647.07	684.02	796.86	796.86	890.44	703.28	642.59	669.92	830.75	693.58	624.99	813.63	698.41	642.59
POLR2B	543.96	332.14	0.0	1.07	633.73	1008.9	764.36	1242.34	1529.73	753.83	1159.07	718.08	1407.55	1096.5	909.17	620.67	1119.56	1208.34	967.76	1096.5	1304.15	1378.57	759.08	1167.14	921.88	660.68	1183.45	571.05	642.59	1104.13	1030.12	733.19	703.28	791.35	1143.1	1119.56	665.29	651.58	651.58	1417.35	743.43	665.29	1066.48	551.56	796.86	1175.27	1104.13	1225.22	1001.93	1127.35	1001.93	780.44	872.1	723.08	769.69	1250.98	1183.45	665.29	1008.9	1216.75	1259.69	616.37	819.3	743.43	802.41	1008.9	718.08	764.36	559.28	848.22	674.59	638.15	633.73	684.02	647.07
POLR3F	129.69	48.87	0.0	0.21	147.06	138.1	137.14	209.84	205.5	133.36	215.77	124.37	197.09	169.07	138.1	135.24	176.29	212.78	164.42	150.17	187.71	215.77	115.97	163.28	127.0	142.01	191.67	117.6	133.36	189.02	118.43	130.6	163.28	138.1	161.02	189.02	139.07	146.03	152.28	208.38	90.14	130.6	145.02	156.59	172.65	193.01	173.85	201.25	190.34	136.19	85.22	123.5	142.01	129.69	129.69	181.28	189.02	132.44	152.28	169.07	228.13	135.24	94.01	149.12	161.02	151.22	122.64	123.5	127.0	148.09	163.28	149.12	162.14	129.69	112.77
PPP4R1	384.34	182.55	860.08	154.42	351.14	616.37	476.71	825.0	995.0	447.82	1081.39	514.56	836.53	679.29	500.46	483.38	607.87	563.18	665.29	759.08	759.08	775.05	420.68	674.59	470.14	409.15	802.41	368.65	392.44	684.02	629.35	406.31	403.5	423.61	559.28	514.56	500.46	521.76	346.29	802.41	441.64	441.64	624.99	591.22	507.46	941.27	483.38	669.92	674.59	674.59	500.46	463.65	878.17	379.04	483.38	878.17	642.59	358.54	698.41	728.11	633.73	432.53	583.07	463.65	497.0	536.45	518.15	521.76	314.17	579.04	441.64	559.28	417.77	607.87	281.09
PRKAA1	198.47	224.97	0.0	0.68	384.34	941.27	525.39	1359.57	1794.29	629.35	1350.18	540.19	1870.53	738.29	521.76	651.58	723.08	748.61	890.44	860.08	890.44	1259.69	551.56	866.07	693.58	536.45	1044.52	603.67	466.88	1199.98	684.02	791.35	551.56	503.95	878.17	981.29	332.14	480.04	395.18	1369.04	412.0	348.71	629.35	775.05	624.99	1313.23	890.44	1096.5	967.76	743.43	1242.34	450.94	607.87	563.18	529.06	1519.15	1066.48	460.44	813.63	1216.75	928.3	368.65	551.56	583.07	808.0	954.43	529.06	674.59	447.82	587.13	463.65	486.75	486.75	470.14	314.17
PRPF4B	246.28	85.22	0.0	0.88	301.33	514.56	521.76	1175.27	764.36	483.38	830.75	403.5	854.13	688.78	563.18	368.65	642.59	819.3	748.61	819.3	638.15	974.5	420.68	884.29	521.76	426.57	1159.07	432.53	397.93	961.07	642.59	521.76	514.56	417.77	660.68	669.92	409.15	457.25	366.09	974.5	444.72	438.59	555.41	454.09	633.73	785.88	723.08	775.05	723.08	587.13	599.49	470.14	674.59	470.14	476.71	848.22	698.41	329.84	633.73	813.63	1096.5	483.38	547.75	493.56	500.46	688.78	490.14	463.65	271.48	624.99	389.72	473.41	379.04	579.04	389.72
PRRC1	379.04	366.09	0.0	0.39	579.04	791.35	688.78	1159.07	1051.79	866.07	1199.98	669.92	1447.15	743.43	718.08	693.58	651.58	1051.79	1088.92	808.0	921.88	1159.07	759.08	1001.93	981.29	688.78	1322.37	860.08	796.86	884.29	713.11	915.51	698.41	738.29	902.89	1242.34	500.46	684.02	483.38	1250.98	854.13	503.95	825.0	733.19	808.0	1030.12	1059.11	1208.34	1059.11	915.51	1340.84	688.78	884.29	660.68	764.36	1447.15	872.1	616.37	896.64	1216.75	1159.07	587.13	1143.1	547.75	1233.75	1119.56	693.58	995.0	743.43	579.04	536.45	503.95	629.35	571.05	392.44
PSMD14	332.14	287.01	0.0	0.05	902.89	1051.79	660.68	921.88	896.64	854.13	890.44	759.08	872.1	785.88	909.17	764.36	808.0	848.22	836.53	579.04	860.08	941.27	819.3	764.36	775.05	693.58	1051.79	612.11	825.0	928.3	819.3	728.11	703.28	718.08	915.51	988.12	825.0	813.63	612.11	934.76	941.27	688.78	1001.93	567.1	825.0	780.44	1096.5	866.07	819.3	1199.98	890.44	728.11	713.11	713.11	647.07	954.43	928.3	688.78	896.64	854.13	819.3	575.03	791.35	679.29	941.27	769.69	579.04	802.41	872.1	836.53	679.29	684.02	769.69	616.37	507.46
PTAR1	54.33	59.13	0.0	0.52	72.01	103.69	143.01	368.65	395.18	108.14	454.09	111.99	406.31	187.71	164.42	98.73	194.36	320.8	167.9	201.25	190.34	400.71	140.04	258.57	163.28	92.05	397.93	125.24	98.73	305.55	190.34	139.07	132.44	138.1	178.77	202.66	58.71	105.89	86.43	356.05	80.57	98.73	128.79	108.14	127.89	202.66	217.27	389.72	232.94	185.11	209.84	104.42	189.02	124.37	130.6	316.37	283.05	76.71	158.79	346.29	323.03	77.79	133.36	96.68	132.44	267.73	187.71	162.14	76.17	139.07	94.67	111.99	108.14	114.36	72.52
RAB6A	974.5	363.56	1359.57	414.87	1073.91	1651.0	1350.18	2240.11	2468.49	1617.0	2163.77	1529.73	2209.26	1378.57	1519.15	1519.15	1340.84	1923.14	2047.0	1757.34	1487.87	1883.54	1388.16	1551.09	1457.23	1417.35	2367.9	1331.57	1477.58	2178.83	1540.37	1369.04	1359.57	1498.22	2104.58	2485.67	872.1	1427.22	1127.35	2133.97	1583.71	1216.75	1617.0	1143.1	1651.0	1844.76	2193.99	1709.26	1572.76	1936.53	2090.03	1369.04	1151.06	1073.91	1551.09	2367.9	1936.53	1135.2	1216.75	1857.6	1883.54	1119.56	2148.82	1437.15	1427.22	1685.71	1350.18	1781.89	1519.15	1359.57	1388.16	1388.16	1487.87	1159.07	1119.56
RAD23B	647.07	2032.85	0.0	0.67	1583.71	2777.33	1963.57	4298.64	3614.55	2224.63	3768.09	1950.0	3257.52	2367.9	2502.97	1832.01	2664.15	3280.18	2777.33	3190.46	2796.65	3325.99	2287.2	2758.13	2956.17	1883.54	6164.49	1883.54	2835.7	2645.74	2004.85	2739.08	1477.58	2816.11	2758.13	2956.17	1617.0	2163.77	1651.0	3395.89	2384.37	1757.34	3060.45	2367.9	2090.03	5791.62	3639.7	3540.14	2224.63	3146.52	3874.05	2319.15	4388.98	1757.34	2485.67	3395.89	2777.33	1781.89	2335.28	2895.31	3235.01	1417.35	3124.78	1551.09	2075.59	3443.31	2047.0	2875.3	2351.53	1950.0	1721.16	1870.53	1819.35	1639.59	1277.29
RALGAPA1	189.02	59.97	0.0	0.78	325.29	507.46	429.54	791.35	860.08	511.0	802.41	457.25	769.69	559.28	423.61	476.71	473.41	684.02	665.29	693.58	532.74	693.58	457.25	647.07	547.75	368.65	941.27	441.64	392.44	753.83	473.41	457.25	536.45	426.57	518.15	571.05	332.14	376.41	307.69	791.35	346.29	341.51	563.18	547.75	529.06	536.45	759.08	713.11	612.11	616.37	616.37	397.93	555.41	444.72	463.65	759.08	703.28	429.54	490.14	651.58	679.29	387.02	575.03	463.65	521.76	693.58	432.53	514.56	346.29	543.96	358.54	395.18	373.81	376.41	361.04
RANBP2	110.43	84.63	0.0	0.54	307.69	723.08	532.74	1127.35	1733.13	624.99	1111.82	511.0	1359.57	775.05	490.14	387.02	753.83	1059.11	743.43	896.64	915.51	1259.69	595.34	1143.1	638.15	389.72	1733.13	514.56	480.04	638.15	1208.34	616.37	525.39	490.14	669.92	825.0	435.55	480.04	332.14	1397.83	387.02	450.94	567.1	480.04	547.75	575.03	941.27	1977.24	1051.79	1044.52	954.43	460.44	669.92	514.56	493.56	1268.46	981.29	299.25	651.58	1167.14	1167.14	273.37	612.11	466.88	497.0	813.63	587.13	651.58	429.54	536.45	435.55	444.72	339.14	423.61	339.14
RARS	346.29	450.94	0.0	0.58	1015.93	802.41	764.36	1096.5	1487.87	808.0	1111.82	753.83	1259.69	947.83	866.07	642.59	830.75	1073.91	981.29	813.63	1051.79	1135.2	830.75	1066.48	921.88	674.59	1066.48	688.78	981.29	981.29	921.88	896.64	995.0	825.0	1127.35	1088.92	884.29	872.1	884.29	1159.07	802.41	638.15	866.07	860.08	825.0	909.17	954.43	1216.75	1008.9	1111.82	988.12	890.44	896.64	718.08	802.41	1331.57	988.12	738.29	1037.29	1073.91	1191.69	708.18	884.29	728.11	921.88	1151.06	796.86	1059.11	866.07	780.44	688.78	684.02	842.36	830.75	599.49
RBM12B	46.5	17.25	0.0	0.24	44.89	127.0	122.64	339.14	332.14	109.66	323.03	88.88	303.44	234.57	144.01	98.73	180.02	381.68	143.01	176.29	186.4	318.57	105.15	258.57	159.9	85.82	420.68	66.18	105.15	214.27	161.02	124.37	110.43	100.13	150.17	159.9	49.91	82.29	57.49	267.73	84.63	86.43	88.26	85.22	125.24	191.67	176.29	258.57	199.85	176.29	228.13	105.15	232.94	100.13	98.73	279.14	218.79	81.71	146.03	264.03	376.41	70.51	138.1	115.97	91.41	190.34	136.19	109.66	38.12	171.45	104.42	92.05	72.01	105.89	95.34
