	TCGA.AZ.6605.11A.01R.1839.07	GTEX.Y9LG.1526.SM.4WWDR	GTEX.11LCK.2026.SM.5A5MA	GTEX.1211K.1726.SM.5FQUJ	GTEX.ZPCL.1826.SM.57WF1	GTEX.139T6.1326.SM.5IFFO	GTEX.WH7G.1326.SM.4LVMS	GTEX.XBEW.1926.SM.4SOJO	GTEX.NFK9.2026.SM.3LK5K	GTEX.YEC3.2426.SM.5IFJR	GTEX.13QBU.1826.SM.5IJG3	GTEX.14DAR.1526.SM.5RQIX	GTEX.Y3IK.1826.SM.4WWDS	GTEX.11VI4.1526.SM.5EQKC	GTEX.YJ8O.0326.SM.5RQJW	GTEX.11ZTS.2726.SM.5EQLU	GTEX.11UD2.1526.SM.5EQLQ	GTEX.WYVS.0826.SM.4RTXB	GTEX.13G51.1026.SM.5K7YQ	GTEX.QESD.0726.SM.4R1KQ	GTEX.11ONC.1426.SM.5N9F4	GTEX.117YW.2026.SM.5N9BH	GTEX.12ZZY.1526.SM.5LZWF	GTEX.14753.1926.SM.5NQAA	TCGA.KM.8477.01A.11R.2315.07	TCGA.KN.8422.01A.11R.2315.07	TCGA.KN.8433.01A.11R.2315.07	TCGA.KO.8403.01A.11R.2315.07	TCGA.KN.8437.01A.11R.2315.07	GTEX.ZYFD.1526.SM.5NQ7T	TCGA.B0.5117.01A.01R.1420.07	TCGA.B0.5121.01A.02R.1420.07	TCGA.BP.4989.01A.01R.1334.07	TCGA.A3.3313.01A.02R.1325.07	TCGA.AK.3465.01A.02R.1325.07	TCGA.CZ.5982.11A.01R.1672.07	TCGA.B0.4700.11A.01R.1541.07	TCGA.CZ.5985.11A.01R.1672.07	TCGA.B9.4617.01A.01R.1193.07	TCGA.DD.A4NG.01A.11R.A27V.07	TCGA.DD.AACE.01A.11R.A41C.07	TCGA.BC.A216.11A.11R.A155.07	GTEX.11ZUS.2526.SM.59872	GTEX.11ZTS.1426.SM.5EQMM	GTEX.11GSP.0626.SM.5986T	GTEX.WZTO.0626.SM.4PQYY	GTEX.11NV4.1326.SM.5HL6V	GTEX.13FTZ.0726.SM.5IFFY	GTEX.145LU.1326.SM.5LU9N	GTEX.12WSM.0726.SM.5GCOW	GTEX.131YS.1626.SM.5HL6C	GTEX.13N2G.0926.SM.5IFGJ	GTEX.13NZB.0626.SM.5IFH6	GTEX.ZVT4.0626.SM.5E45T	GTEX.11ZVC.0726.SM.5FQT9	GTEX.13O3O.1826.SM.5IFGW	GTEX.13112.1426.SM.5EGH8	TCGA.BR.8682.01A.11R.2402.13	TCGA.BR.8487.01A.11R.2402.13	TCGA.BR.A44T.01A.32R.A24K.31	TCGA.RD.A8N2.01A.12R.A36D.31	TCGA.CD.8534.01A.11R.2343.13	TCGA.BR.A4J8.01A.11R.A251.31	TCGA.BR.8588.01A.11R.2402.13	TCGA.BR.8592.01A.11R.2402.13	TCGA.BR.8384.01A.21R.2402.13	TCGA.BR.8483.01A.31R.2402.13	TCGA.HU.A4HB.11A.11R.A251.31	TCGA.HU.A4GP.11A.21R.A251.31	TCGA.HU.A4G3.11A.11R.A24K.31	GTEX.WFON.1126.SM.4LVMA	GTEX.145MO.2226.SM.5Q5BN	GTEX.Y5V6.1326.SM.4VDTF	TCGA.DJ.A1QG.01A.11R.A14Y.07	TCGA.EL.A3H5.01A.11R.A206.07	TCGA.EM.A3O9.01A.11R.A220.07
PALLD	55491.3	769.69	860.08	723.08	4210.15	825.0	5147.73	2018.8	7331.05	4575.41	718.08	723.08	1519.15	1417.35	4328.55	5006.93	4038.61	16157.44	5751.61	10733.74	4481.23	3901.01	4972.34	6079.61	4736.79	583.07	890.44	1191.69	743.43	1059.11	928.3	785.88	2555.58	1662.49	1295.13	1977.24	2061.24	2451.44	1104.13	1096.5	228.13	463.65	63.45	356.05	684.02	52.45	159.9	58.3	223.41	457.25	339.14	395.18	256.78	759.08	132.44	139.07	98.04	4639.29	728.11	7749.1	34396.12	2163.77	2485.67	3443.31	12076.21	13586.57	647.07	19082.0	16496.96	19754.96	961.07	6381.92	2758.13	995.0	3443.31	414.87
PDLIM3	27363.16	339.14	332.14	265.87	2133.97	356.05	2956.17	1216.75	3419.52	2609.3	307.69	206.94	1350.18	480.04	10154.69	9945.68	4869.99	16611.71	8840.04	10296.45	10296.45	8538.88	7695.57	6121.9	111.99	12.74	85.22	96.01	30.34	521.76	202.66	323.03	1331.57	190.34	251.48	81.14	186.4	351.14	563.18	262.2	189.02	150.17	54.33	279.14	890.44	45.21	66.65	48.52	108.9	129.69	595.34	68.55	144.01	529.06	110.43	49.21	236.21	3280.18	642.59	7382.04	19892.37	1721.16	2240.11	2163.77	9344.14	10585.95	884.29	19754.96	17804.06	18950.18	454.09	6745.86	1583.71	76.71	1167.14	1242.34
PDLIM7	221968.2	629.35	723.08	457.25	2133.97	514.56	3325.99	2351.53	3716.2	4543.8	647.07	423.61	1551.09	848.22	19482.97	16269.83	19482.97	15392.14	27553.49	15180.22	24832.5	12589.08	14561.8	9409.14	305.55	738.29	575.03	463.65	387.02	447.82	738.29	791.35	2502.97	825.0	669.92	205.5	743.43	218.79	555.41	373.81	346.29	170.25	153.34	346.29	511.0	175.07	147.06	84.63	173.85	336.79	457.25	153.34	129.69	536.45	128.79	332.14	148.09	3515.68	1322.37	11827.67	26986.43	1844.76	4358.66	3081.75	14765.09	11992.79	1806.78	25354.3	26067.14	28328.16	866.07	5112.16	1896.65	1191.69	3372.43	981.29
PDZD4	1639.59	40.36	63.45	31.9	83.45	37.85	111.99	117.6	181.28	182.55	35.5	31.67	93.35	63.89	825.0	595.34	591.22	738.29	1001.93	447.82	624.99	454.09	540.19	363.56	5.06	9.41	22.59	20.26	16.15	21.94	15.34	60.39	57.49	16.03	23.42	23.59	50.63	40.36	3.69	13.83	9.41	20.26	27.25	22.1	67.59	37.05	69.52	20.11	50.27	50.98	76.17	31.0	31.67	37.85	19.25	8.51	29.91	153.34	2.25	267.73	470.14	45.21	73.03	76.17	432.53	435.55	32.36	616.37	780.44	660.68	31.9	351.14	115.97	53.95	50.63	47.5
PDZRN3	4181.07	154.42	176.29	137.14	896.64	191.67	723.08	351.14	1268.46	941.27	142.01	143.01	271.48	275.28	1628.26	1427.22	854.13	1551.09	1628.26	1001.93	1225.22	1183.45	1407.55	753.83	17.51	6.31	17.0	35.76	178.77	155.5	34.26	162.14	61.68	185.11	101.54	432.53	373.81	368.65	323.03	2.78	2.97	36.27	25.91	56.68	185.11	17.64	40.36	6.21	38.95	146.03	153.34	63.89	38.4	115.16	24.11	8.45	105.89	559.28	63.89	921.88	2645.74	532.74	555.41	368.65	1806.78	1950.0	155.5	3018.3	2591.27	2875.3	312.0	1304.15	480.04	39.5	486.75	27.44
PGM5	21617.82	112.77	181.28	136.19	2367.9	116.78	2720.15	1066.48	3349.13	2591.27	110.43	148.09	748.61	336.79	4066.71	2591.27	1561.89	11424.74	3716.2	4268.94	2915.45	3665.02	3257.52	3212.66	29.27	23.93	68.07	1135.2	88.88	182.55	454.09	307.69	103.69	73.03	2061.24	341.51	339.14	444.72	53.95	205.5	21.63	40.07	21.94	24.63	205.5	42.41	24.11	21.01	36.79	18.29	454.09	33.3	14.89	50.98	34.26	11.82	16.39	1208.34	25.72	2148.82	5711.87	514.56	642.59	460.44	3303.0	3955.48	98.73	6983.79	7966.99	8363.13	303.44	3443.31	703.28	144.01	149.12	163.28
PHKG1	651.58	12.36	16.15	12.74	20.11	22.43	57.08	24.28	31.22	40.36	6.73	11.3	33.78	19.39	46.5	61.25	115.16	36.01	44.89	244.57	59.55	28.65	33.54	27.64	3.23	5.41	8.65	12.55	8.32	14.45	17.77	13.83	47.5	9.06	11.73	5.92	7.63	8.19	8.92	12.93	9.7	1.28	5.45	5.41	16.39	9.41	4.43	3.29	1.38	5.59	12.64	15.45	15.34	34.51	17.51	23.59	7.63	77.25	34.75	135.24	38.67	66.65	186.4	54.33	115.16	177.53	55.49	106.63	159.9	212.78	15.56	51.71	13.22	23.59	19.68	16.15
PHLDB1	2075.59	1709.26	1457.23	1794.29	819.3	1950.0	1745.2	2609.3	2451.44	1295.13	1832.01	1467.37	854.13	1819.35	3081.75	2835.7	3372.43	1639.59	3372.43	1662.49	2796.65	2627.46	3419.52	3212.66	301.33	232.94	237.86	336.79	248.0	503.95	466.88	1135.2	2075.59	1216.75	511.0	435.55	848.22	500.46	748.61	137.14	120.94	134.3	111.99	94.67	273.37	48.52	78.34	53.57	171.45	209.84	199.85	221.86	137.14	480.04	146.03	63.89	158.79	1883.54	395.18	1143.1	2090.03	836.53	819.3	1350.18	2468.49	2502.97	713.11	1923.14	1844.76	2090.03	507.46	995.0	301.33	1477.58	1936.53	718.08
PHYHIP	387.02	32.82	31.45	16.27	40.93	14.78	34.02	42.41	71.5	59.97	24.11	13.62	19.25	29.91	59.13	258.57	2468.49	88.88	140.04	612.11	108.9	87.65	96.01	209.84	1.87	1.99	2.92	4.86	0.0	223.41	3.0	15.68	16.39	3.06	13.12	83.45	140.04	48.18	74.58	5.73	6.11	3.63	17.0	4.39	5.45	8.0	100.13	13.83	12.45	8.51	16.51	3.5	1.71	18.29	4.06	3.99	13.03	32.36	2.27	53.57	41.52	20.11	52.45	69.03	113.56	75.64	52.82	49.91	93.35	40.64	19.39	125.24	28.45	147.06	403.5	242.88
PLN	14361.31	136.19	191.67	176.29	2104.58	69.52	1322.37	679.29	2555.58	1745.2	78.34	71.5	941.27	521.76	1551.09	1487.87	500.46	3124.78	1457.23	2664.15	1059.11	1508.65	909.17	1242.34	23.76	12.09	89.51	62.56	36.79	463.65	169.07	518.15	1059.11	115.97	281.09	277.2	656.11	780.44	32.36	19.53	32.13	3.96	15.11	6.62	23.93	9.34	7.82	3.17	14.56	12.74	183.82	12.27	30.78	96.68	12.55	0.0	9.27	1216.75	78.34	1781.89	5831.91	620.67	1001.93	400.71	2367.9	3146.52	158.79	6294.04	8078.22	10733.74	129.69	5147.73	3928.15	81.71	316.37	54.72
PLP1	2609.3	154.42	127.89	104.42	208.38	62.56	287.01	412.0	223.41	376.41	90.77	55.1	264.03	285.03	961.07	1794.29	2468.49	848.22	1896.65	723.08	1832.01	669.92	3280.18	1313.23	0.0	0.0	13.22	2.86	3.29	21.94	0.0	1.89	3.82	11.04	33.54	7.63	42.11	34.02	0.0	0.0	0.0	1.01	4.74	11.21	18.29	12.09	10.31	0.47	12.74	8.25	23.42	8.58	25.17	18.84	2.27	2.27	8.45	135.24	12.18	251.48	273.37	103.69	16.03	90.14	299.25	633.73	9.63	1250.98	1015.93	1769.57	91.41	759.08	106.63	30.12	43.94	7.0
PMP2	82.29	6.01	6.16	3.66	4.31	1.25	4.24	8.13	4.21	5.45	3.23	3.5	9.41	9.85	62.56	130.6	142.01	62.56	118.43	51.35	85.82	49.91	226.54	17.25	0.0	0.0	2.36	0.0	2.46	3.66	0.0	0.0	0.43	2.14	0.0	3.14	8.06	14.35	0.0	0.0	0.0	0.0	2.86	2.32	1.97	2.53	1.41	0.0	1.87	1.2	4.28	0.84	3.03	2.78	0.88	0.51	2.25	5.73	1.99	32.59	37.32	5.92	1.22	8.19	15.56	52.45	4.5	92.05	120.1	90.14	2.39	12.83	4.5	0.0	1.36	0.0
PMP22	7382.04	1216.75	1407.55	1369.04	1498.22	902.89	2367.9	1757.34	1769.57	2193.99	830.75	525.39	1001.93	2701.35	4704.07	6164.49	7230.1	3280.18	4972.34	2627.46	6607.01	6250.56	7966.99	7642.41	142.01	62.56	309.83	339.14	260.38	1088.92	348.71	2018.8	1268.46	511.0	466.88	476.71	684.02	738.29	161.02	139.07	127.0	186.4	114.36	176.29	403.5	105.15	88.26	29.7	208.38	368.65	262.2	325.29	267.73	224.97	165.57	90.77	136.19	1639.59	665.29	2119.22	1832.01	836.53	1378.57	1909.85	3614.55	3372.43	555.41	4607.24	4358.66	4239.45	915.51	4181.07	1709.26	866.07	2956.17	647.07
PPP1R12B	24490.61	181.28	234.57	246.28	1183.45	260.38	1628.26	599.49	2935.74	1529.73	226.54	205.5	507.46	371.22	2701.35	2468.49	1594.73	7130.55	2739.08	5791.62	2384.37	1870.53	2178.83	1674.06	583.07	246.28	164.42	183.82	70.51	199.85	555.41	299.25	381.68	253.23	733.19	271.48	420.68	444.72	63.45	96.01	154.42	56.68	50.63	126.12	366.09	55.89	54.33	59.55	143.01	100.83	195.72	75.11	80.57	182.55	85.22	19.25	96.68	2875.3	150.17	5255.91	15392.14	1340.84	1216.75	1242.34	6840.04	9474.59	249.73	9151.82	8658.09	9876.98	277.2	1794.29	387.02	170.25	232.94	248.0
PRDM8	389.72	28.65	30.12	21.47	90.77	27.64	98.73	51.71	92.05	96.68	10.31	21.16	34.51	50.98	358.54	226.54	166.73	353.59	353.59	166.73	260.38	193.01	320.8	361.04	18.43	3325.99	2.86	4.31	3.69	64.8	7.34	19.68	109.66	8.99	17.38	7.22	17.13	10.79	14.35	8.71	0.0	1.66	4.7	4.03	2.03	1.25	3.0	6.73	6.26	2.89	1.06	17.9	0.03	1.97	0.0	3.59	1.99	78.89	8.58	267.73	265.87	53.57	102.25	59.97	271.48	275.28	24.81	363.56	397.93	429.54	35.0	251.48	45.21	3.41	48.52	7.17
PSD	40621.74	67.12	92.7	82.29	1023.0	51.35	1304.15	723.08	1286.18	1191.69	84.63	70.51	457.25	63.0	2335.28	2090.03	3742.05	2434.5	3419.52	2627.46	2758.13	1628.26	2163.77	1477.58	38.4	46.5	76.71	31.9	56.28	40.07	31.0	31.67	44.25	39.22	61.25	31.0	36.27	20.71	56.68	45.85	52.08	26.86	50.98	39.5	125.24	98.73	75.64	50.63	46.18	41.81	85.22	52.45	45.85	20.71	81.14	32.59	33.54	1059.11	62.12	2351.53	5751.61	432.53	780.44	414.87	2895.31	5076.84	170.25	9279.58	14163.58	10808.41	162.14	1870.53	156.59	145.02	130.6	36.01
PTCHD1	314.17	1.73	4.03	3.0	23.59	2.66	16.51	14.78	45.85	36.53	1.75	3.89	5.54	4.28	20.26	53.95	46.84	112.77	108.14	88.88	39.22	21.16	58.71	31.45	0.0	0.47	0.0	0.0	0.8	1.31	0.0	0.0	2.92	0.0	0.43	0.88	4.94	5.68	0.78	0.0	0.0	0.0	0.0	0.19	7.06	0.0	1.55	0.0	0.0	2.01	10.16	0.0	0.0	0.15	0.0	0.0	0.23	8.13	0.43	134.3	10.0	6.16	16.27	9.41	140.04	175.07	2.94	336.79	253.23	305.55	8.51	57.49	12.18	0.0	3.38	0.0
PTGES3L	1745.2	65.26	24.81	46.5	116.78	51.35	123.5	94.01	156.59	130.6	39.5	57.49	79.45	40.36	373.81	162.14	156.59	476.71	312.0	291.04	155.5	208.38	198.47	157.68	7.63	8.19	15.56	11.38	20.71	7.63	23.76	4.24	8.92	18.97	8.85	7.57	12.55	11.64	11.47	6.84	2.34	1.0	1.46	0.09	8.99	0.0	2.32	5.23	6.01	15.8	2.92	7.17	7.75	7.88	3.86	2.23	4.31	105.89	17.38	241.19	497.0	52.45	60.39	84.04	271.48	212.78	35.25	473.41	525.39	518.15	10.0	79.45	29.06	28.86	11.82	14.78
PXN	1883.54	2075.59	2502.97	2417.67	2163.77	2104.58	2287.2	2400.97	3257.52	2090.03	2004.85	2178.83	1697.45	2485.67	2835.7	3716.2	3235.01	2520.38	2758.13	2133.97	3614.55	2255.7	2485.67	4268.94	2335.28	2075.59	3081.75	1313.23	1508.65	3639.7	2319.15	2224.63	961.07	1073.91	1819.35	1977.24	1605.83	1685.71	1498.22	603.67	688.78	387.02	1437.15	497.0	825.0	703.28	629.35	426.57	612.11	454.09	679.29	366.09	409.15	529.06	470.14	587.13	511.0	4972.34	1477.58	1225.22	2224.63	2645.74	1135.2	1529.73	2004.85	2018.8	1088.92	1896.65	1628.26	1757.34	1277.29	2178.83	1159.07	1844.76	1977.24	1216.75
PYGM	5711.87	24.81	22.92	28.45	181.28	25.91	194.36	148.09	183.82	353.59	19.97	24.81	62.12	49.21	1487.87	872.1	713.11	1250.98	1923.14	1233.75	878.17	878.17	1183.45	356.05	5.96	4.94	18.56	12.93	16.39	14.24	45.85	105.15	140.04	18.03	25.91	22.92	49.91	41.81	4.46	4.66	3.72	3.72	13.42	5.41	8.32	18.03	15.56	3.26	12.64	15.11	23.93	11.82	7.06	19.39	15.56	8.45	5.45	68.55	4.82	353.59	444.72	78.89	99.43	42.71	389.72	470.14	16.51	1023.0	902.89	1044.52	34.51	242.88	157.68	102.97	32.82	743.43
RAB23	10368.08	65.26	82.87	79.45	543.96	66.18	633.73	301.33	1008.9	575.03	51.71	53.95	258.57	134.3	297.17	511.0	358.54	995.0	409.15	728.11	490.14	406.31	521.76	397.93	44.25	27.64	19.53	57.08	127.89	122.64	73.03	128.79	221.86	223.41	120.1	147.06	147.06	163.28	80.01	94.01	78.34	38.95	21.47	29.91	36.01	30.12	17.51	29.48	40.64	43.02	68.55	67.59	54.72	22.1	46.18	9.41	52.82	1268.46	158.79	1331.57	7180.15	361.04	305.55	395.18	1745.2	2537.92	128.79	2193.99	1781.89	2255.7	87.65	665.29	183.82	126.12	329.84	48.52
RAB9B	669.92	9.27	10.63	13.83	40.07	5.87	25.35	26.47	59.55	59.13	7.34	7.69	15.45	19.68	186.4	191.67	155.5	518.15	307.69	181.28	202.66	107.38	205.5	92.7	1.79	2.89	0.47	3.32	8.85	7.46	4.35	15.22	30.56	49.91	10.96	7.06	6.46	11.91	9.06	0.6	0.56	1.36	1.81	2.73	1.83	2.05	0.02	4.35	3.59	2.81	23.59	3.86	0.96	5.11	1.58	0.91	1.19	43.02	7.22	127.0	371.22	28.65	37.05	37.59	175.07	186.4	3.66	231.32	232.94	229.72	14.78	117.6	40.07	38.4	20.71	42.71
RADIL	122.64	15.45	19.97	24.99	29.06	19.53	25.17	38.95	54.33	43.63	17.0	34.02	19.11	38.95	242.88	316.37	171.45	152.28	406.31	99.43	309.83	251.48	363.56	426.57	7.69	1.0	8.58	5.77	4.54	1.64	6.41	18.29	11.55	8.58	7.63	15.22	20.71	12.64	28.24	1.6	0.0	4.66	2.84	1.25	3.82	3.66	1.97	3.59	9.93	5.73	5.77	20.41	4.9	4.43	7.51	0.39	17.38	52.82	6.57	31.9	42.11	16.63	12.74	26.1	93.35	73.03	9.06	92.05	150.17	92.7	25.54	194.36	42.41	8.65	22.1	47.5
RASL12	3540.14	74.58	97.36	85.22	255.0	58.3	305.55	223.41	384.34	242.88	77.25	51.71	155.5	186.4	2609.3	1991.0	1721.16	2591.27	2367.9	2591.27	2090.03	2032.85	2004.85	1350.18	34.02	22.43	62.56	61.25	31.9	147.06	169.07	480.04	283.05	124.37	78.89	50.98	87.65	96.68	543.96	37.85	26.1	7.17	16.39	6.46	32.82	6.21	12.0	6.06	22.92	12.55	38.95	13.93	16.63	26.86	10.63	6.57	6.06	285.03	40.64	336.79	514.56	99.43	182.55	182.55	423.61	583.07	91.41	241.19	202.66	253.23	108.14	271.48	444.72	170.25	285.03	136.19
RBFOX3	55877.28	7.82	11.3	7.11	351.14	4.17	543.96	177.53	314.17	476.71	10.31	3.92	70.01	9.41	29.27	224.97	307.69	525.39	587.13	483.38	400.71	63.89	379.04	389.72	0.0	0.0	0.96	0.0	0.0	6.06	0.0	0.0	3.0	2.14	0.91	0.0	2.03	3.17	1.2	0.93	1.48	0.0	2.07	0.57	2.73	0.68	1.19	1.19	3.26	1.41	2.41	0.96	1.31	1.3	1.64	0.37	0.66	118.43	0.85	93.35	1051.79	12.83	124.37	18.16	215.77	305.55	86.43	995.0	463.65	346.29	6.89	190.34	5.96	1.22	0.0	5.54
REEP2	3212.66	31.0	37.85	30.56	94.01	28.24	108.14	89.51	180.02	194.36	31.0	22.1	82.87	53.95	1259.69	579.04	1175.27	896.64	1135.2	718.08	567.1	738.29	708.18	486.75	1.85	13.12	7.17	23.25	4.98	133.36	36.01	9.48	32.13	40.64	29.27	39.79	43.32	25.17	18.29	6.62	1.35	0.95	4.94	0.64	3.82	5.02	1.28	12.83	0.38	2.32	6.11	3.03	0.0	8.38	1.03	7.34	3.72	125.24	9.2	688.78	1008.9	102.25	194.36	83.45	559.28	679.29	34.75	1066.48	1096.5	961.07	28.24	291.04	62.12	20.56	111.21	17.25
RGMA	4543.8	85.82	115.97	80.57	450.94	67.12	447.82	251.48	733.19	813.63	68.07	78.34	190.34	142.01	2047.0	1896.65	7280.4	1378.57	2119.22	6164.49	1417.35	1844.76	1457.23	1639.59	13.52	1.01	26.47	10.08	44.57	12.55	23.42	140.04	35.5	11.13	31.45	60.82	82.87	31.45	0.0	12.18	23.59	8.85	2.12	2.34	13.72	3.2	0.29	1.83	5.41	34.75	2.84	6.31	2.16	10.16	3.44	1.19	8.32	1242.34	39.79	2997.45	6792.79	629.35	1977.24	595.34	3768.09	3515.68	309.83	5913.33	6652.97	6164.49	146.03	2367.9	718.08	88.26	169.07	67.12
RIMS3	236.21	34.51	142.01	60.39	64.8	26.47	78.34	100.13	92.7	96.68	62.12	18.97	24.28	84.63	136.19	72.52	96.01	265.87	186.4	123.5	72.52	62.56	73.03	54.72	3.17	5.36	5.23	7.11	14.24	5.59	6.84	6.11	49.91	24.46	7.57	23.59	31.45	23.25	17.77	3.44	2.2	6.11	1.81	1.89	2.78	2.63	2.16	2.56	5.15	1.97	3.89	8.32	6.46	1.5	5.87	0.0	3.76	150.17	3.96	87.65	141.02	18.97	16.15	62.56	120.94	115.97	14.56	111.99	115.97	110.43	58.3	77.79	137.14	12.0	25.17	7.22
RPS6KA5	363.56	129.69	57.49	129.69	237.86	198.47	241.19	103.69	187.71	177.53	100.83	150.17	139.07	120.94	187.71	209.84	353.59	447.82	187.71	679.29	226.54	135.24	165.57	146.03	10.63	3.35	5.15	13.12	7.22	21.16	7.69	53.95	42.71	59.13	19.68	50.27	40.93	54.72	7.46	22.59	6.36	19.39	12.0	25.72	24.81	7.75	5.19	6.94	65.26	35.0	80.57	9.85	12.45	31.45	17.77	18.84	39.22	143.01	47.84	205.5	303.44	65.26	98.04	76.17	199.85	267.73	56.28	493.56	412.0	423.61	187.71	141.02	144.01	15.11	23.59	41.22
RSPO1	65.26	5.96	20.86	13.42	19.53	12.36	14.67	13.52	28.04	13.52	6.06	8.38	11.55	18.43	21.01	16.27	7.82	20.41	28.45	0.24	46.18	14.03	28.45	30.78	0.0	0.0	0.0	0.48	0.41	0.0	0.0	0.47	0.43	1.3	1.81	9.48	9.13	4.46	0.0	0.0	0.0	0.71	0.32	1.87	3.41	0.66	1.79	1.03	0.0	1.51	0.71	2.2	0.65	0.58	0.28	1.0	4.21	33.06	3.29	84.63	46.18	27.44	20.86	16.39	208.38	115.16	5.45	49.91	78.89	57.89	6.16	108.14	11.13	0.0	4.66	0.0
RXRG	139.07	18.16	20.86	16.63	19.82	20.11	36.53	42.41	13.03	39.79	16.15	11.13	31.45	53.19	228.13	329.84	175.07	166.73	318.57	96.01	303.44	169.07	470.14	102.97	15.45	24.63	3.72	0.47	0.41	0.87	2.41	1.87	4.62	3.38	3.08	3.99	27.64	7.51	0.0	0.0	2.18	5.5	37.32	0.92	31.0	21.16	64.34	3.72	6.06	16.75	69.52	37.59	2.46	8.06	3.38	0.0	9.34	8.32	0.0	17.64	14.45	4.78	1.22	12.64	22.92	47.17	0.0	186.4	144.01	182.55	5.96	55.49	19.68	819.3	587.13	32.59
RYR3	764.36	11.47	8.45	16.51	33.78	7.88	50.63	28.24	46.5	41.81	8.92	8.71	27.25	20.11	201.25	229.72	258.57	336.79	353.59	351.14	148.09	67.59	182.55	105.15	1.43	7.94	0.53	69.52	0.46	47.5	12.93	3.86	12.09	4.82	167.9	5.5	12.83	12.36	0.0	0.93	1.43	1.16	0.0	1.07	2.78	0.0	0.02	3.47	4.94	2.68	2.25	3.0	1.31	1.17	4.86	0.0	1.91	74.06	1.23	64.8	295.11	8.0	8.99	42.41	111.99	206.94	0.0	220.32	253.23	267.73	141.02	12.74	3.89	10.08	2.18	12.74
S100B	3742.05	264.03	199.85	182.55	275.28	148.09	264.03	497.0	426.57	688.78	159.9	115.97	723.08	251.48	1685.71	2796.65	3018.3	1651.0	3257.52	674.59	3168.41	1313.23	6381.92	1183.45	57.49	1.01	21.01	32.82	12.0	16.15	4.98	30.12	53.95	10.79	24.99	10.39	65.72	52.82	56.28	15.11	5.45	23.25	31.22	32.82	58.3	10.71	32.36	0.0	41.22	36.79	182.55	26.47	57.08	42.41	24.99	12.18	10.96	129.69	55.49	748.61	303.44	92.7	78.34	143.01	327.56	480.04	8.19	1617.0	1508.65	1529.73	229.72	921.88	144.01	26.67	1233.75	35.0
SATB1	1259.69	264.03	223.41	457.25	595.34	518.15	854.13	389.72	642.59	698.41	303.44	476.71	190.34	343.89	297.17	332.14	325.29	848.22	473.41	460.44	320.8	255.0	493.56	579.04	414.87	198.47	116.78	866.07	305.55	91.41	518.15	166.73	211.31	176.29	785.88	295.11	264.03	301.33	195.72	84.04	205.5	127.89	150.17	518.15	384.34	612.11	130.6	198.47	334.46	98.73	503.95	348.71	183.82	60.39	361.04	13.32	435.55	633.73	49.21	679.29	1015.93	587.13	232.94	400.71	830.75	988.12	376.41	1388.16	1216.75	1417.35	358.54	540.19	303.44	392.44	417.77	127.89
SCN7A	1857.6	49.56	46.18	50.98	165.57	40.93	217.27	88.88	193.01	232.94	28.24	26.1	63.89	85.22	928.3	1167.14	1191.69	503.95	1096.5	438.59	1073.91	1111.82	1757.34	1143.1	0.91	0.49	0.96	0.0	47.84	19.68	0.0	1.41	0.0	1.71	6.21	40.07	82.87	46.84	0.41	0.66	0.0	5.63	6.73	5.92	8.71	3.76	4.1	0.6	9.06	52.82	11.91	92.05	11.82	22.59	3.99	14.78	4.9	128.79	2.43	138.1	363.56	39.22	24.81	50.27	226.54	409.15	5.73	540.19	540.19	728.11	38.12	190.34	65.72	3.72	12.93	0.0
SEMA3A	1119.56	13.22	10.0	11.47	91.41	9.93	110.43	44.25	96.68	133.36	6.52	7.94	34.02	18.56	260.38	205.5	432.53	334.46	269.6	264.03	297.17	142.01	159.9	129.69	1.35	0.96	1.41	5.63	36.27	73.03	8.19	4.62	2.1	6.26	64.34	21.01	15.34	7.94	0.4	2.53	1.46	4.9	1.1	6.36	35.0	0.38	0.85	0.0	0.46	1.53	6.67	2.01	1.97	2.81	0.41	0.8	3.14	108.9	3.99	163.28	603.67	37.85	77.79	46.18	236.21	303.44	29.7	371.22	363.56	463.65	9.48	118.43	23.59	13.03	82.87	8.45
SGCA	1950.0	51.35	40.93	48.18	356.05	36.53	195.72	325.29	579.04	473.41	78.89	58.3	173.85	156.59	1540.37	1950.0	1733.13	1540.37	2875.3	2018.8	1844.76	3303.0	2384.37	1757.34	15.91	10.79	46.5	35.76	10.71	83.45	76.17	197.09	45.85	25.17	68.07	27.05	67.59	56.28	50.63	19.68	8.99	115.16	24.11	96.68	307.69	62.56	381.68	186.4	136.19	69.52	229.72	209.84	151.22	71.5	55.49	32.13	151.22	183.82	13.42	802.41	426.57	71.5	591.22	170.25	791.35	656.11	111.99	1001.93	1295.13	2485.67	132.44	1359.57	575.03	41.52	143.01	28.04
SGCD	638.15	8.92	11.64	12.36	27.44	9.48	30.78	16.03	40.64	69.03	9.06	7.22	45.21	32.36	217.27	329.84	162.14	511.0	323.03	197.09	339.14	423.61	400.71	327.56	2.68	0.97	3.29	94.01	251.48	50.98	2.89	3.26	28.65	197.09	417.77	35.5	40.36	39.5	0.0	0.97	139.07	23.59	34.02	42.11	62.56	90.77	7.34	10.24	22.75	16.63	55.89	17.38	11.13	6.46	23.25	1.27	36.27	209.84	46.18	217.27	521.76	64.34	82.29	99.43	426.57	361.04	60.39	244.57	363.56	599.49	20.56	336.79	40.36	23.25	85.82	48.52
