	TCGA.67.3770.01A.01R.0946.07	TCGA.67.3773.01A.01R.0946.07	TCGA.75.6212.01A.11R.1755.07	TCGA.91.8496.01A.11R.2403.07	TCGA.62.8397.01A.11R.2326.07	TCGA.50.8460.01A.11R.2326.07	TCGA.44.2655.01A.01R.0946.07	TCGA.97.8171.01A.11R.2287.07	TCGA.49.6742.11A.01R.1858.07	GTEX.P4PP.0526.SM.2HMKE	GTEX.WHSB.0326.SM.5FQSD	GTEX.YF7O.0626.SM.4W21R	GTEX.13D11.0326.SM.5LZXX	GTEX.Y5LM.0726.SM.4VBRP	GTEX.U3ZM.0426.SM.3DB73	GTEX.WFG8.0926.SM.3GIKJ	GTEX.U8XE.1426.SM.3DB8Q	GTEX.S4Q7.0426.SM.3K2BJ	GTEX.QDVJ.0926.SM.2I5FU	GTEX.WFG7.0526.SM.3GIKI	GTEX.12WSN.0626.SM.5BC61	GTEX.R55G.0826.SM.2TC5U	GTEX.WFON.0426.SM.3GIL4	GTEX.ZTPG.0926.SM.5O99H	GTEX.WH7G.0726.SM.3NMBM	GTEX.PLZ6.0426.SM.5IFK2	GTEX.ZPIC.0626.SM.57WDY	GTEX.Y9LG.0526.SM.4VBRY	GTEX.T8EM.0326.SM.3DB7F	GTEX.XBED.0826.SM.47JYC	GTEX.VJYA.0326.SM.3GAEX	GTEX.QEG5.1126.SM.33HC2	GTEX.OHPM.0526.SM.2YUMJ	GTEX.WYVS.0526.SM.3NM9W	TCGA.22.5483.11A.11R.1820.07	TCGA.22.4593.11A.01R.1820.07	TCGA.J8.A3YH.01A.11R.A22U.07	TCGA.BJ.A45I.01A.11R.A23W.07	TCGA.ET.A3DW.01A.11R.A19O.07	TCGA.E8.A436.01A.12R.A23W.07	TCGA.EM.A3OB.01A.11R.A220.07	TCGA.BJ.A4O8.01A.11R.A250.07	TCGA.CE.A482.01A.11R.A23W.07	TCGA.EM.A3AQ.01A.11R.A20F.07	TCGA.DJ.A2PT.01A.11R.A18C.07	TCGA.BJ.A3EZ.01A.11R.A206.07	TCGA.FY.A3YR.01A.11R.A22U.07	TCGA.DJ.A2PU.01A.12R.A19O.07	TCGA.FY.A76V.01A.11R.A39I.07	TCGA.CE.A485.01A.11R.A23W.07	TCGA.EM.A3FM.01A.11R.A21D.07	TCGA.E8.A417.01A.21R.A23N.07	TCGA.EL.A3GZ.01A.11R.A20F.07	TCGA.DJ.A3V3.01A.11R.A22U.07	TCGA.KS.A4I7.01A.11R.A250.07	TCGA.DJ.A4UW.01A.11R.A250.07	TCGA.DJ.A2Q6.01A.11R.A18C.07	TCGA.E3.A3E2.01A.11R.A20F.07	TCGA.DJ.A2PQ.01A.11R.A18C.07	TCGA.DJ.A2PY.01A.11R.A18C.07	TCGA.DJ.A2PS.01A.11R.A18C.07	TCGA.DJ.A13P.01A.11R.A10U.07	TCGA.EM.A4FF.01A.11R.A250.07	TCGA.ET.A3BS.01A.11R.A206.07	TCGA.IM.A41Y.01A.11R.A23W.07	TCGA.L6.A4ET.01A.11R.A250.07	TCGA.ET.A25O.01A.11R.A16R.07	TCGA.DJ.A2Q4.01A.21R.A18C.07	TCGA.BJ.A45F.01A.12R.A23W.07	TCGA.ET.A3BP.01A.21R.A19O.07	TCGA.EL.A3TB.01A.11R.A22L.07	TCGA.E8.A44K.01A.21R.A23W.07	TCGA.EL.A3MW.01A.11R.A20F.07	TCGA.DJ.A4UP.01A.11R.A250.07	TCGA.BJ.A0Z5.01A.11R.A10U.07	TCGA.ET.A25R.01A.11R.A16R.07	TCGA.MK.A84Z.01A.11R.A39I.07	TCGA.FK.A3SG.01A.11R.A22L.07	TCGA.DJ.A3VK.01A.11R.A23N.07	TCGA.DJ.A2PZ.01A.21R.A18C.07	TCGA.DJ.A1QG.01A.11R.A14Y.07	TCGA.KS.A4IC.01A.11R.A250.07	TCGA.E3.A3E5.01A.11R.A20F.07	TCGA.EM.A3AN.01A.11R.A206.07	TCGA.E8.A3X7.01A.11R.A22U.07	TCGA.DE.A3KN.01A.11R.A20F.07	TCGA.DJ.A2Q5.01A.11R.A18C.07	TCGA.FY.A4B4.01A.11R.A23W.07	TCGA.DJ.A3V9.01A.11R.A23N.07	TCGA.FE.A234.01A.11R.A14Y.07	TCGA.EM.A3FJ.01A.11R.A21D.07	TCGA.EM.A2OX.01A.11R.A206.07	TCGA.FY.A3R6.01A.11R.A220.07	TCGA.DJ.A3UK.01A.11R.A22L.07	TCGA.EL.A3H3.01A.11R.A206.07	TCGA.FE.A232.01A.11R.A14Y.07	TCGA.EM.A22P.01A.11R.A19O.07	TCGA.E8.A44M.01A.21R.A23W.07	TCGA.FY.A3NN.01A.11R.A21D.07	TCGA.BJ.A0ZE.01A.11R.A10U.07	TCGA.EM.A4FU.01A.11R.A250.07	TCGA.EL.A3CP.01A.11R.A19O.07	TCGA.DJ.A3VB.01A.11R.A23N.07	TCGA.BJ.A0ZB.01A.11R.A10U.07	TCGA.EL.A3CU.01A.11R.A19O.07	TCGA.DJ.A2PO.01A.21R.A19O.07	TCGA.DJ.A3V7.01A.11R.A23N.07	TCGA.DJ.A3V6.01A.11R.A22U.07	TCGA.EL.A3H5.01A.11R.A206.07	TCGA.DJ.A3UO.01A.11R.A22L.07	TCGA.ET.A40T.01A.11R.A23N.07	TCGA.EL.A4JZ.01A.11R.A250.07	TCGA.IM.A3EB.01A.11R.A206.07	TCGA.EM.A3AK.01A.11R.A206.07	TCGA.ET.A3BO.01A.11R.A19O.07	TCGA.ET.A2N4.01A.12R.A19O.07	TCGA.FE.A3PD.01A.11R.A220.07	TCGA.H2.A3RI.01A.11R.A220.07	TCGA.EM.A4FO.01A.11R.A250.07	TCGA.ET.A2MY.01A.11R.A18C.07	TCGA.EM.A3O7.01A.11R.A220.07	TCGA.EL.A3ZR.01A.11R.A23N.07	TCGA.DE.A0XZ.01A.11R.A180.07	TCGA.BJ.A0ZH.01A.11R.A10U.07	TCGA.E8.A415.01A.11R.A23N.07	TCGA.EL.A3N2.01A.11R.A20F.07	TCGA.BJ.A2NA.01A.12R.A19O.07	TCGA.DE.A69J.01A.21R.A39I.07	TCGA.EL.A3H8.01A.11R.A20F.07	TCGA.E8.A242.01A.21R.A16R.07	TCGA.E3.A3E1.01A.11R.A20F.07	TCGA.DJ.A3UN.01A.11R.A22L.07	TCGA.DJ.A4UT.01A.11R.A250.07	TCGA.FE.A22Z.01A.11R.A16R.07	TCGA.ET.A39T.01A.11R.A19O.07	TCGA.DJ.A1QN.01A.11R.A14Y.07	TCGA.EL.A3CT.01A.12R.A206.07	TCGA.ET.A40Q.01A.11R.A23N.07	TCGA.ET.A3BT.01A.11R.A19O.07	TCGA.J8.A3NZ.01A.11R.A21D.07	TCGA.EM.A4FM.01A.11R.A250.07	TCGA.CE.A483.01A.11R.A23W.07	TCGA.DJ.A1QF.01A.12R.A14Y.07	TCGA.MK.A4N9.01A.11R.A250.07	TCGA.FK.A3S3.01A.11R.A22L.07	TCGA.DJ.A3VG.01A.11R.A23N.07	TCGA.KS.A4I9.01A.11R.A250.07	TCGA.DJ.A3UR.01A.11R.A22L.07	TCGA.EM.A4FQ.01A.11R.A250.07	TCGA.EL.A3ZG.01A.11R.A23N.07	TCGA.GE.A2C6.01A.11R.A16R.07	TCGA.KS.A4IB.01A.11R.A250.07	TCGA.ET.A39O.01A.11R.A19O.07	TCGA.EL.A3ZN.01A.11R.A23N.07	TCGA.CE.A3MD.01A.11R.A20F.07	TCGA.EL.A3ZT.01A.12R.A23N.07	TCGA.DJ.A13V.01A.11R.A10U.07	TCGA.DJ.A1QH.01A.21R.A14Y.07	TCGA.ET.A40S.01A.11R.A23N.07	TCGA.DE.A4MC.01A.11R.A250.07	TCGA.ET.A2MZ.01A.12R.A19O.07	TCGA.DE.A69K.01A.11R.A39I.07	TCGA.IM.A3U3.01A.11R.A22L.07	TCGA.DJ.A4V4.01A.11R.A250.07	TCGA.BJ.A28S.01A.11R.A19O.07	TCGA.DJ.A3VA.01A.11R.A23N.07	TCGA.FY.A3R8.01A.11R.A220.07	TCGA.ET.A25M.01A.11R.A16R.07	TCGA.DJ.A3V0.01A.11R.A22U.07	TCGA.H2.A421.01A.11R.A23N.07	TCGA.CE.A13K.01A.11R.A10U.07	TCGA.J8.A42S.01A.11R.A23N.07	TCGA.EL.A3GV.01A.11R.A21D.07	TCGA.BJ.A28Z.01A.11R.A16R.07	TCGA.EM.A22K.01A.11R.A180.07	TCGA.ET.A3BW.01A.11R.A19O.07	TCGA.DJ.A3VJ.01A.11R.A23N.07	TCGA.BJ.A45H.01A.12R.A23W.07	TCGA.DJ.A2Q3.01A.11R.A18C.07	TCGA.DJ.A4V5.01A.11R.A250.07	TCGA.E8.A418.01A.11R.A23N.07	TCGA.EM.A22M.01A.11R.A32Y.07	TCGA.DJ.A3V2.01A.11R.A22U.07
FAM229A	59.55	39.5	28.04	117.6	101.54	111.99	29.7	33.78	48.87	32.13	37.59	39.22	22.26	45.21	22.75	20.86	19.25	34.51	15.34	18.16	47.84	19.11	28.86	18.7	43.32	41.81	31.0	24.28	16.15	29.91	26.86	30.34	19.25	28.24	13.62	23.42	165.57	64.34	87.65	125.24	395.18	167.9	137.14	96.01	75.64	52.08	53.19	52.45	180.02	142.01	112.77	120.1	164.42	186.4	195.72	171.45	65.72	108.9	67.59	90.77	120.1	114.36	90.14	105.15	112.77	251.48	92.05	72.52	82.87	96.68	85.22	94.01	92.05	279.14	105.89	70.51	301.33	91.41	198.47	92.7	53.19	126.12	135.24	68.55	85.82	114.36	100.83	127.89	277.2	143.01	189.02	142.01	116.78	97.36	27.25	124.37	171.45	197.09	117.6	107.38	136.19	93.35	195.72	101.54	82.29	69.03	68.07	78.34	65.72	100.83	167.9	190.34	77.25	111.99	53.95	108.14	109.66	75.11	218.79	66.65	232.94	303.44	171.45	158.79	116.78	89.51	84.63	98.73	107.38	116.78	108.14	90.77	260.38	85.22	32.59	202.66	42.11	127.0	62.56	138.1	109.66	80.57	48.52	173.85	87.03	223.41	108.14	104.42	116.78	41.81	146.03	122.64	36.79	371.22	139.07	158.79	111.21	49.21	231.32	153.34	51.71	116.78	82.29	166.73	132.44	256.78	78.89	81.71	132.44	201.25	146.03	249.73	128.79	95.34	173.85	63.0	120.94	120.1	48.52	162.14	191.67	305.55	77.79
GLMN	89.51	187.71	110.43	183.82	111.99	127.0	164.42	246.28	107.38	56.28	50.98	113.56	84.04	111.21	99.43	81.71	79.45	76.71	71.0	136.19	95.34	71.0	157.68	68.07	115.97	115.97	82.29	116.78	176.29	101.54	88.88	139.07	39.5	212.78	106.63	92.7	251.48	221.86	163.28	165.57	217.27	218.79	194.36	232.94	205.5	223.41	163.28	118.43	177.53	267.73	57.89	215.77	165.57	212.78	256.78	201.25	202.66	185.11	212.78	217.27	175.07	156.59	170.25	232.94	175.07	182.55	177.53	143.01	255.0	218.79	163.28	198.47	182.55	193.01	170.25	131.51	236.21	140.04	348.71	186.4	246.28	223.41	277.2	214.27	148.09	223.41	151.22	202.66	187.71	138.1	189.02	132.44	167.9	169.07	167.9	104.42	251.48	260.38	204.07	271.48	249.73	152.28	173.85	173.85	183.82	164.42	204.07	220.32	185.11	141.02	262.2	258.57	130.6	189.02	183.82	159.9	299.25	189.02	229.72	162.14	193.01	255.0	241.19	206.94	232.94	205.5	145.02	124.37	122.64	81.71	153.34	187.71	234.57	115.97	139.07	149.12	105.89	150.17	193.01	155.5	221.86	186.4	120.94	170.25	115.97	429.54	195.72	162.14	183.82	171.45	183.82	218.79	108.9	412.0	371.22	316.37	132.44	87.03	336.79	150.17	162.14	150.17	164.42	165.57	249.73	171.45	197.09	89.51	246.28	223.41	187.71	182.55	143.01	159.9	249.73	202.66	189.02	239.52	167.9	214.27	193.01	202.66	224.97
GNRH1	69.52	43.94	6.57	9.06	42.71	34.02	17.0	31.67	23.42	6.78	8.99	14.67	8.13	15.91	11.47	14.14	10.24	10.08	12.83	10.88	15.11	6.36	23.76	7.22	14.24	29.7	8.71	7.57	25.91	9.48	40.07	23.08	12.83	22.43	12.45	11.3	55.1	58.3	24.81	54.72	67.12	77.79	58.71	74.58	20.41	29.91	58.3	25.54	55.49	81.14	12.93	55.1	26.47	72.01	52.82	51.71	80.01	38.95	32.13	29.06	25.17	18.84	38.4	53.19	56.28	78.34	38.67	37.59	62.56	31.0	36.27	76.17	21.78	35.76	19.53	25.54	56.68	28.45	51.35	41.22	31.9	73.54	37.05	44.57	39.79	59.55	55.1	57.08	85.22	18.43	38.12	72.52	17.0	46.5	26.1	35.0	92.7	102.97	20.86	9.41	43.63	54.33	33.3	29.48	37.32	52.08	61.68	33.78	28.65	26.1	72.01	69.03	34.02	22.1	32.82	26.28	57.08	59.55	88.88	31.22	68.07	78.89	55.89	66.18	89.51	48.87	21.94	21.94	26.1	36.01	15.68	39.79	88.88	33.3	7.34	31.67	6.52	35.0	43.94	25.91	49.21	55.49	17.9	66.65	29.7	78.89	61.68	27.64	100.83	35.5	93.35	26.47	14.56	97.36	53.19	117.6	35.5	34.51	40.64	40.64	10.63	36.27	52.45	43.63	83.45	59.13	52.82	31.22	71.5	123.5	21.32	70.51	24.81	21.32	26.1	63.45	51.71	43.94	25.35	53.95	31.9	100.83	54.72
IDUA	281.09	267.73	507.46	329.84	759.08	872.1	269.6	563.18	329.84	197.09	229.72	214.27	297.17	194.36	92.05	149.12	155.5	63.0	397.93	92.05	199.85	124.37	102.97	159.9	239.52	229.72	105.15	379.04	102.97	612.11	86.43	170.25	104.42	325.29	205.5	327.56	507.46	275.28	244.57	320.8	543.96	599.49	447.82	633.73	246.28	275.28	262.2	327.56	490.14	500.46	237.86	218.79	514.56	559.28	476.71	543.96	389.72	470.14	343.89	165.57	420.68	444.72	406.31	363.56	289.02	941.27	366.09	279.14	363.56	341.51	423.61	246.28	341.51	679.29	309.83	329.84	486.75	387.02	450.94	287.01	209.84	329.84	599.49	232.94	251.48	457.25	483.38	470.14	563.18	190.34	551.56	351.14	466.88	486.75	521.76	320.8	551.56	473.41	271.48	267.73	397.93	532.74	293.07	339.14	265.87	334.46	420.68	327.56	262.2	723.08	583.07	743.43	279.14	336.79	320.8	348.71	466.88	441.64	638.15	172.65	633.73	698.41	759.08	217.27	366.09	251.48	199.85	204.07	412.0	226.54	265.87	423.61	476.71	384.34	234.57	525.39	105.15	373.81	312.0	275.28	525.39	309.83	195.72	651.58	575.03	351.14	287.01	497.0	351.14	497.0	490.14	373.81	151.22	819.3	603.67	536.45	647.07	198.47	563.18	231.32	295.11	423.61	267.73	406.31	447.82	490.14	198.47	316.37	224.97	579.04	450.94	503.95	301.33	373.81	555.41	579.04	277.2	346.29	249.73	571.05	195.72	532.74	389.72
KIAA0895L	159.9	323.03	228.13	525.39	579.04	529.06	205.5	303.44	128.79	60.82	120.94	141.02	146.03	83.45	138.1	45.85	92.05	186.4	132.44	90.77	98.73	119.26	171.45	86.43	111.21	303.44	140.04	148.09	136.19	93.35	93.35	181.28	49.21	305.55	107.38	115.97	638.15	346.29	260.38	551.56	808.0	921.88	941.27	395.18	211.31	242.88	316.37	239.52	753.83	878.17	172.65	438.59	463.65	507.46	511.0	567.1	329.84	339.14	334.46	226.54	285.03	351.14	379.04	339.14	305.55	607.87	223.41	232.94	684.02	334.46	525.39	412.0	339.14	679.29	303.44	309.83	954.43	265.87	872.1	205.5	256.78	334.46	320.8	318.57	293.07	532.74	336.79	567.1	1015.93	258.57	358.54	299.25	211.31	713.11	248.0	249.73	395.18	961.07	145.02	190.34	660.68	343.89	293.07	277.2	183.82	334.46	303.44	368.65	237.86	438.59	759.08	567.1	180.02	320.8	417.77	312.0	802.41	356.05	540.19	123.5	599.49	733.19	759.08	299.25	612.11	381.68	212.78	206.94	260.38	134.3	132.44	447.82	599.49	273.37	140.04	426.57	149.12	435.55	241.19	206.94	400.71	379.04	256.78	684.02	373.81	713.11	384.34	281.09	325.29	332.14	612.11	291.04	180.02	1427.22	813.63	934.76	323.03	176.29	748.61	277.2	136.19	305.55	318.57	343.89	1015.93	629.35	607.87	223.41	361.04	703.28	476.71	493.56	232.94	314.17	753.83	327.56	429.54	387.02	197.09	529.06	279.14	389.72	318.57
KIAA1984	68.55	16.51	45.21	34.75	54.72	28.86	35.25	514.56	34.26	59.55	125.24	11.91	15.11	11.82	19.82	27.64	20.86	15.45	13.42	33.06	21.16	11.21	53.57	6.11	71.5	24.81	30.78	5.19	22.26	32.13	4.94	4.74	11.64	8.71	37.32	13.52	92.05	60.82	42.71	41.22	131.51	85.22	120.1	110.43	35.0	81.14	62.12	43.94	69.52	110.43	47.5	70.01	64.34	127.89	113.56	108.9	55.49	83.45	82.87	30.34	77.25	73.54	74.06	29.7	80.01	121.79	44.57	52.82	147.06	88.26	111.99	115.16	74.58	142.01	107.38	72.01	164.42	63.45	198.47	68.55	68.55	83.45	97.36	77.79	75.64	130.6	65.72	55.89	99.43	58.3	100.13	100.83	34.02	78.89	50.27	70.01	52.08	144.01	39.5	102.97	205.5	74.58	51.71	63.45	30.78	50.63	69.52	72.01	22.59	63.0	105.15	74.58	31.45	63.45	73.54	46.84	109.66	75.64	94.01	58.71	63.0	102.25	97.36	90.77	76.17	68.55	42.41	29.06	46.5	38.12	46.84	52.45	102.25	72.52	38.4	80.57	19.68	66.65	41.81	80.57	64.34	64.34	34.26	123.5	102.25	183.82	90.14	75.11	75.64	52.08	89.51	68.07	29.7	193.01	92.7	154.42	80.57	21.94	139.07	84.04	46.5	78.34	48.52	93.35	170.25	70.01	78.34	50.27	67.59	101.54	88.26	118.43	34.51	40.64	141.02	87.03	54.72	94.01	44.57	52.08	82.87	129.69	71.0
L3MBTL1	10.08	65.26	45.21	111.21	145.02	45.53	68.55	336.79	64.34	39.5	59.13	17.77	20.71	21.78	21.94	21.63	34.26	32.36	34.26	24.63	18.84	37.59	39.22	40.93	53.95	41.22	48.18	10.96	27.05	62.56	29.48	71.5	18.84	54.72	26.47	32.36	260.38	209.84	105.15	299.25	287.01	423.61	289.02	164.42	112.77	165.57	218.79	128.79	490.14	341.51	52.45	316.37	234.57	275.28	234.57	164.42	167.9	150.17	186.4	118.43	172.65	158.79	228.13	162.14	214.27	242.88	163.28	163.28	234.57	242.88	211.31	256.78	171.45	244.57	169.07	190.34	255.0	104.42	256.78	119.26	107.38	214.27	199.85	154.42	134.3	241.19	158.79	303.44	269.6	193.01	162.14	171.45	105.15	368.65	38.12	165.57	209.84	277.2	178.77	84.63	260.38	287.01	111.21	165.57	190.34	217.27	183.82	189.02	65.26	361.04	348.71	251.48	85.82	147.06	208.38	211.31	217.27	255.0	180.02	113.56	293.07	275.28	376.41	170.25	236.21	229.72	149.12	158.79	191.67	92.05	107.38	234.57	226.54	129.69	126.12	229.72	44.57	182.55	140.04	199.85	173.85	262.2	148.09	358.54	143.01	248.0	251.48	167.9	166.73	120.94	224.97	212.78	113.56	373.81	231.32	444.72	186.4	102.25	198.47	205.5	78.89	15.11	201.25	190.34	297.17	309.83	267.73	135.24	186.4	454.09	182.55	236.21	181.28	140.04	229.72	275.28	154.42	171.45	138.1	237.86	215.77	149.12	198.47
LMBR1L	684.02	1073.91	669.92	830.75	1008.9	830.75	575.03	1350.18	373.81	406.31	591.22	343.89	305.55	384.34	363.56	486.75	503.95	435.55	299.25	351.14	423.61	368.65	503.95	361.04	450.94	429.54	493.56	358.54	356.05	435.55	403.5	1015.93	373.81	420.68	507.46	395.18	2104.58	1359.57	1001.93	1498.22	1378.57	2434.5	2434.5	1487.87	825.0	896.64	1044.52	1066.48	1651.0	2351.53	647.07	1819.35	1487.87	1498.22	1561.89	1268.46	1175.27	1159.07	860.08	961.07	825.0	1350.18	1331.57	1159.07	1457.23	1896.65	785.88	860.08	1605.83	1135.2	1697.45	1340.84	1359.57	1350.18	1191.69	1081.39	1583.71	723.08	2018.8	808.0	624.99	1417.35	1721.16	947.83	1023.0	1304.15	1088.92	1487.87	2303.12	1015.93	1286.18	1044.52	703.28	2178.83	698.41	878.17	1519.15	1896.65	791.35	507.46	1457.23	1437.15	1023.0	1088.92	878.17	1242.34	1119.56	1286.18	928.3	1397.83	1844.76	1467.37	624.99	1208.34	1104.13	1697.45	1508.65	1378.57	1304.15	656.11	1685.71	1651.0	2335.28	1167.14	1159.07	1467.37	1023.0	743.43	1081.39	698.41	540.19	1617.0	1340.84	915.51	624.99	1175.27	733.19	1378.57	909.17	848.22	1268.46	1417.35	785.88	2351.53	848.22	1427.22	1216.75	1104.13	1295.13	848.22	1697.45	1259.69	808.0	2384.37	1605.83	2351.53	1295.13	638.15	1583.71	1001.93	698.41	1008.9	1111.82	1191.69	2148.82	1781.89	1467.37	698.41	1467.37	1685.71	1359.57	1870.53	954.43	1023.0	1225.22	1508.65	1081.39	1096.5	981.29	1407.55	808.0	1447.15	1268.46
LPIN3	143.01	161.02	159.9	148.09	239.52	191.67	131.51	403.5	119.26	52.45	189.02	90.77	100.83	117.6	143.01	96.68	29.27	59.97	73.54	105.15	127.89	115.97	217.27	61.25	224.97	153.34	139.07	73.03	49.21	117.6	108.14	181.28	61.68	92.7	97.36	66.18	514.56	346.29	279.14	665.29	543.96	684.02	633.73	403.5	193.01	223.41	381.68	363.56	620.67	802.41	159.9	423.61	348.71	497.0	414.87	392.44	438.59	285.03	277.2	217.27	275.28	293.07	525.39	320.8	529.06	543.96	316.37	258.57	470.14	297.17	511.0	497.0	316.37	486.75	312.0	334.46	532.74	208.38	507.46	249.73	220.32	444.72	389.72	287.01	323.03	493.56	339.14	525.39	674.59	237.86	387.02	303.44	173.85	629.35	161.02	297.17	387.02	775.05	299.25	163.28	518.15	392.44	287.01	293.07	226.54	341.51	323.03	339.14	190.34	334.46	587.13	486.75	206.94	285.03	392.44	373.81	376.41	356.05	368.65	236.21	457.25	500.46	708.18	312.0	665.29	305.55	281.09	217.27	273.37	239.52	226.54	497.0	457.25	221.86	221.86	303.44	164.42	358.54	325.29	293.07	343.89	503.95	353.59	674.59	287.01	559.28	395.18	336.79	267.73	348.71	400.71	441.64	264.03	928.3	500.46	738.29	291.04	199.85	447.82	262.2	158.79	353.59	334.46	438.59	555.41	579.04	387.02	269.6	400.71	514.56	381.68	368.65	301.33	327.56	476.71	409.15	323.03	371.22	264.03	511.0	314.17	314.17	358.54
LUC7L	854.13	1088.92	679.29	1519.15	1304.15	954.43	748.61	2004.85	525.39	291.04	217.27	389.72	389.72	591.22	647.07	389.72	536.45	249.73	376.41	490.14	486.75	269.6	748.61	381.68	607.87	693.58	368.65	435.55	325.29	246.28	381.68	587.13	339.14	723.08	551.56	356.05	3491.39	1963.57	1331.57	2148.82	2434.5	3103.19	2915.45	2627.46	1457.23	1369.04	1651.0	1477.58	2555.58	3491.39	1081.39	2178.83	2032.85	2720.15	2739.08	3212.66	1977.24	2224.63	1832.01	1350.18	1519.15	1605.83	2104.58	2367.9	1745.2	4298.64	1498.22	1378.57	2384.37	1709.26	2502.97	2502.97	1909.85	2796.65	1844.76	1457.23	2645.74	1605.83	3280.18	1268.46	1191.69	2855.44	2351.53	1709.26	2090.03	2417.67	2133.97	2319.15	3235.01	1277.29	2240.11	1709.26	1208.34	3349.13	1950.0	1304.15	2758.13	3443.31	1127.35	753.83	2351.53	2018.8	1651.0	1477.58	1322.37	1628.26	2148.82	1733.13	1286.18	1757.34	3614.55	2573.36	915.51	1529.73	1757.34	1923.14	3060.45	1870.53	2303.12	981.29	3874.05	2997.45	3467.27	1896.65	2573.36	1397.83	1467.37	1322.37	1487.87	1023.0	995.0	2351.53	2645.74	1159.07	1044.52	1923.14	769.69	1963.57	1674.06	1359.57	2384.37	1870.53	1167.14	3395.89	1540.37	3349.13	2061.24	1819.35	1794.29	1896.65	2303.12	1781.89	921.88	4937.99	2664.15	3515.68	1844.76	909.17	2682.69	1457.23	1104.13	1651.0	1662.49	2351.53	3257.52	2777.33	2400.97	1183.45	2555.58	3443.31	1572.76	3124.78	1088.92	1572.76	2287.2	2555.58	2224.63	2061.24	1151.06	2417.67	1662.49	1909.85	2591.27
MAMDC4	19.53	129.69	34.26	88.26	145.02	55.89	43.32	116.78	25.91	7.34	16.03	23.08	47.17	12.27	20.86	8.51	58.71	34.02	39.22	18.7	25.91	33.06	17.13	25.35	23.08	32.36	39.5	28.65	9.78	47.17	35.0	43.32	29.27	123.5	17.51	17.13	287.01	132.44	114.36	285.03	246.28	323.03	363.56	212.78	74.58	94.01	144.01	178.77	307.69	371.22	59.13	224.97	176.29	389.72	343.89	198.47	114.36	118.43	109.66	78.89	142.01	170.25	241.19	114.36	171.45	438.59	102.97	116.78	161.02	139.07	291.04	271.48	119.26	400.71	90.77	154.42	343.89	96.68	275.28	115.97	88.88	201.25	180.02	105.89	144.01	279.14	195.72	303.44	371.22	161.02	197.09	164.42	159.9	199.85	33.78	169.07	197.09	543.96	151.22	123.5	221.86	158.79	98.73	146.03	96.01	194.36	150.17	141.02	25.91	157.68	387.02	346.29	71.5	193.01	176.29	202.66	239.52	177.53	251.48	71.0	236.21	309.83	356.05	135.24	244.57	133.36	132.44	113.56	80.57	72.52	94.01	285.03	287.01	128.79	147.06	287.01	35.76	177.53	95.34	134.3	119.26	183.82	82.87	224.97	206.94	299.25	115.97	191.67	163.28	121.79	241.19	202.66	93.35	309.83	236.21	429.54	133.36	78.34	265.87	119.26	90.77	232.94	177.53	204.07	277.2	387.02	155.5	128.79	133.36	332.14	285.03	195.72	153.34	133.36	264.03	269.6	229.72	175.07	98.04	312.0	150.17	307.69	163.28
MAPK8IP3	497.0	351.14	409.15	860.08	1081.39	1096.5	248.0	1081.39	318.57	229.72	193.01	63.89	173.85	105.15	154.42	260.38	241.19	194.36	142.01	185.11	138.1	112.77	151.22	157.68	223.41	86.43	170.25	138.1	175.07	283.05	28.24	281.09	101.54	305.55	172.65	142.01	1183.45	974.5	473.41	1059.11	1199.98	1883.54	1498.22	860.08	395.18	551.56	703.28	624.99	1143.1	1733.13	301.33	1295.13	954.43	1015.93	890.44	921.88	607.87	651.58	571.05	332.14	514.56	656.11	775.05	656.11	825.0	1183.45	796.86	616.37	1322.37	974.5	808.0	1175.27	713.11	1159.07	703.28	708.18	1250.98	547.75	1199.98	470.14	529.06	848.22	995.0	616.37	503.95	1151.06	698.41	1199.98	1467.37	532.74	796.86	642.59	518.15	1397.83	258.57	607.87	1143.1	1628.26	624.99	339.14	1322.37	785.88	490.14	854.13	529.06	848.22	703.28	743.43	454.09	884.29	1605.83	1127.35	303.44	819.3	848.22	819.3	988.12	836.53	1225.22	463.65	1183.45	1001.93	1963.57	769.69	1037.29	791.35	629.35	438.59	616.37	397.93	395.18	981.29	1073.91	1104.13	341.51	848.22	426.57	785.88	708.18	551.56	813.63	915.51	733.19	1583.71	547.75	1191.69	909.17	819.3	813.63	417.77	988.12	1208.34	409.15	1950.0	1498.22	2119.22	802.41	612.11	1051.79	651.58	303.44	620.67	825.0	769.69	1540.37	1540.37	1096.5	547.75	866.07	1322.37	947.83	909.17	612.11	607.87	1175.27	854.13	688.78	633.73	460.44	981.29	723.08	785.88	647.07
