	TCGA.CH.5739.01A.11R.1580.07	TCGA.CH.5765.01A.11R.1580.07	TCGA.XK.AAK1.01A.11R.A41O.07	TCGA.XK.AAJ3.01A.11R.A41O.07	TCGA.G9.7522.01A.11R.2263.07	TCGA.EJ.7783.01A.11R.2118.07	TCGA.KK.A7AV.01A.11R.A32O.07	TCGA.EJ.5524.01A.01R.1580.07	TCGA.VN.A943.01A.11R.A41O.07	TCGA.EJ.5527.01A.01R.1580.07	TCGA.TP.A8TV.01A.11R.A41O.07	TCGA.VN.A88R.01A.11R.A36G.07	TCGA.G9.6351.01A.21R.1965.07	TCGA.XJ.A83H.01A.11R.A352.07	TCGA.EJ.5516.01A.01R.1580.07	TCGA.EJ.7327.01A.11R.2118.07	TCGA.HC.7748.01A.11R.2118.07	TCGA.G9.6333.01A.12R.1965.07	TCGA.V1.A8X3.01A.11R.A37L.07	TCGA.HC.7749.01A.11R.2118.07	TCGA.HC.7212.01A.11R.2118.07	TCGA.YL.A9WI.01A.11R.A37L.07	TCGA.V1.A8ML.01A.11R.A37L.07	TCGA.EJ.5508.01A.02R.1580.07	TCGA.EJ.7317.01A.31R.2118.07	TCGA.YL.A8SR.01B.11R.A37L.07	TCGA.YL.A8SO.01B.31R.A37L.07	TCGA.Y6.A8TL.01A.21R.A37L.07	TCGA.VP.A87B.01A.11R.A352.07	TCGA.V1.A9ZG.01A.11R.A41O.07	TCGA.HC.7075.01A.11R.1965.07	TCGA.YL.A8SI.01A.11R.A41O.07	TCGA.V1.A8MU.01A.11R.A37L.07	TCGA.G9.6367.01A.11R.1789.07	TCGA.EJ.A6RC.01A.11R.A32O.07	TCGA.M7.A721.01A.12R.A32O.07	TCGA.HC.7738.01A.11R.2118.07	TCGA.ZG.A9L1.01A.11R.A41O.07	TCGA.J9.A8CN.01A.11R.A352.07	TCGA.G9.6371.01A.11R.1789.07	TCGA.KK.A6E6.01A.11R.A311.07	TCGA.J4.A83L.01A.11R.A352.07	TCGA.2A.AAYF.01A.11R.A41O.07	TCGA.EJ.8468.01A.21R.2403.07	TCGA.EJ.A65G.01A.21R.A29R.07	TCGA.YL.A9WK.01A.11R.A37L.07	TCGA.EJ.7788.01A.11R.2118.07	TCGA.CH.5744.01A.11R.1580.07	TCGA.V1.A9OF.01A.11R.A41O.07	TCGA.G9.A9S7.01A.11R.A41O.07	TCGA.VN.A88O.01A.11R.A352.07	TCGA.WW.A8ZI.01A.11R.A37L.07	TCGA.V1.A8MG.01A.11R.A36G.07	TCGA.YL.A8SQ.01B.11R.A37L.07	TCGA.HC.7231.01A.11R.2118.07	TCGA.M7.A724.01A.12R.A32O.07	TCGA.EJ.7318.01B.11R.A32O.07	TCGA.EJ.5495.01A.01R.1580.07	TCGA.CH.5794.01A.11R.1580.07	TCGA.EJ.A8FS.01A.11R.A352.07	TCGA.V1.A9OQ.01A.11R.A41O.07	TCGA.HC.8261.01A.11R.2263.07	TCGA.EJ.5522.01A.01R.1580.07	TCGA.2A.A8VV.01A.11R.A37L.07	TCGA.HC.7232.01A.11R.2118.07	TCGA.EJ.7312.01B.21R.A32O.07	TCGA.YL.A9WJ.01A.11R.A37L.07	TCGA.H9.7775.01A.11R.2118.07	TCGA.J9.A8CP.01A.11R.A352.07	TCGA.QU.A6IP.01A.11R.A31N.07	TCGA.G9.7509.01A.11R.A41O.07	TCGA.V1.A8WL.01A.11R.A37L.07	TCGA.HC.7210.01A.11R.2118.07	TCGA.CH.5790.01A.11R.1580.07	TCGA.EJ.5496.01A.01R.1580.07	TCGA.HC.7819.01A.11R.2118.07	TCGA.EJ.5532.01A.01R.1580.07	TCGA.YL.A8S9.01A.11R.A37L.07	TCGA.CH.5769.01A.11R.1580.07	TCGA.EJ.7218.01B.11R.A32O.07	TCGA.J4.A83M.01A.11R.A352.07	TCGA.HC.7211.01A.11R.2118.07	TCGA.2A.AAYU.01A.11R.A41O.07	TCGA.VP.A87D.01A.11R.A352.07	TCGA.KC.A7F3.01A.21R.A33R.07	TCGA.J4.AAU2.01A.11R.A41O.07	TCGA.XA.A8JR.01A.11R.A36G.07	TCGA.XK.AAJP.01A.11R.A41O.07	TCGA.HC.8213.01A.11R.A29R.07	TCGA.HC.A9TH.01A.11R.A41O.07	TCGA.EJ.5542.01A.01R.1580.07	TCGA.CH.5754.01A.11R.1580.07	TCGA.EJ.A6RA.01A.11R.A33R.07	TCGA.HC.7081.01A.11R.1965.07	TCGA.EJ.7785.01A.11R.2118.07	TCGA.HC.7820.01A.11R.2118.07	TCGA.YL.A8HM.01A.11R.A36G.07	TCGA.EJ.5530.01A.01R.1580.07	TCGA.XJ.A83G.01A.11R.A352.07	TCGA.HC.8259.01A.11R.2263.07	TCGA.EJ.5497.01A.02R.1580.07	TCGA.VP.A875.01A.31R.A352.07	TCGA.ZG.A9LZ.01A.11R.A41O.07	TCGA.EJ.A65F.01A.21R.A311.07	TCGA.EJ.5498.01A.01R.1580.07	TCGA.V1.A8MK.01A.11R.A36G.07	TCGA.CH.5762.01A.11R.1580.07	TCGA.V1.A9OX.01A.11R.A41O.07	TCGA.EJ.A46B.01A.31R.A250.07	TCGA.VP.A87H.01A.11R.A352.07	TCGA.HC.7078.01A.11R.2118.07	TCGA.G9.6356.01A.11R.1789.07	TCGA.EJ.5499.01A.01R.1580.07	TCGA.CH.5748.01A.11R.1580.07	TCGA.HC.8258.01A.11R.2263.07	TCGA.G9.7519.01A.11R.2263.07	TCGA.VN.A88L.01A.11R.A352.07	TCGA.2A.A8VO.01A.11R.A37L.07	TCGA.XK.AAJA.01A.11R.A41O.07	TCGA.EJ.A7NH.01A.12R.A33R.07	TCGA.2A.A8VL.01A.21R.A37L.07	TCGA.HC.7077.01A.11R.1965.07	TCGA.CH.5769.11A.01R.1580.07	TCGA.HC.8259.11A.01R.2263.07	TCGA.G9.6342.11A.02R.1965.07
KLK2	217400.14	205673.01	520665.48	236256.4	249727.34	93325.55	209994.66	116501.39	391864.76	167058.21	244588.0	228208.61	246289.25	279017.26	174152.51	96616.71	225066.78	284880.02	353168.2	292889.12	191899.64	236256.4	249727.34	161367.56	280957.98	320506.81	241220.67	324980.94	309589.14	142439.51	350728.68	378516.38	218912.29	292889.12	241220.67	233003.78	254974.66	175363.84	334117.42	341137.96	114897.47	311742.51	378516.38	318292.9	383800.28	234624.45	153724.82	263966.36	288856.81	241220.67	280957.98	386469.83	205673.01	360589.03	107948.72	341137.96	443937.41	93325.55	277089.94	292889.12	338781.54	256748.15	131982.68	279017.26	142439.51	269512.87	294926.33	286861.53	363097.14	324980.94	284880.02	299043.36	161367.56	208544.12	221968.2	329517.51	320506.81	373305.21	77396.54	316094.29	303217.87	320506.81	190574.09	301123.38	200048.85	419990.32	284880.02	345900.08	334117.42	75280.1	177811.84	142439.51	311742.51	77934.88	139508.13	324980.94	208544.12	194578.47	279017.26	355624.68	221968.2	437825.58	121448.75	290865.98	127486.83	260332.24	119776.72	265802.39	248002.34	193234.41	233003.78	95286.54	110216.97	253213.41	331809.5	244588.0	189257.69	375901.76	389157.95	365622.68	299043.36	239554.43	89523.81	370726.6	254974.66
LNPEP	241.19	195.72	91.41	126.12	183.82	318.57	107.38	379.04	94.01	426.57	81.14	43.63	172.65	153.34	307.69	283.05	325.29	171.45	127.89	186.4	265.87	68.55	115.97	353.59	189.02	109.66	49.21	153.34	74.58	150.17	206.94	124.37	129.69	163.28	157.68	152.28	167.9	151.22	121.79	133.36	175.07	187.71	144.01	159.9	135.24	136.19	251.48	182.55	193.01	98.73	143.01	214.27	154.42	161.02	231.32	70.51	71.5	329.84	170.25	122.64	109.66	79.45	361.04	144.01	305.55	65.72	158.79	189.02	58.3	94.01	197.09	193.01	242.88	236.21	285.03	218.79	301.33	135.24	206.94	109.66	144.01	220.32	239.52	325.29	113.56	143.01	132.44	167.9	159.9	187.71	348.71	186.4	120.94	260.38	353.59	249.73	92.05	251.48	53.19	156.59	366.09	157.68	224.97	169.07	316.37	173.85	281.09	106.63	193.01	128.79	183.82	181.28	194.36	223.41	127.0	121.79	135.24	111.99	194.36	201.25	138.1	142.01	180.02	169.07	133.36
MAP3K7	403.5	420.68	132.44	176.29	289.02	392.44	265.87	432.53	260.38	450.94	175.07	157.68	224.97	202.66	435.55	339.14	348.71	186.4	295.11	148.09	339.14	139.07	305.55	480.04	180.02	193.01	197.09	236.21	154.42	353.59	285.03	305.55	265.87	264.03	277.2	256.78	305.55	423.61	163.28	224.97	316.37	255.0	293.07	271.48	303.44	221.86	236.21	260.38	229.72	316.37	279.14	406.31	237.86	260.38	348.71	94.67	198.47	460.44	273.37	161.02	206.94	309.83	493.56	309.83	297.17	146.03	218.79	289.02	170.25	291.04	283.05	351.14	358.54	441.64	376.41	318.57	343.89	295.11	379.04	182.55	246.28	392.44	303.44	353.59	231.32	316.37	249.73	199.85	295.11	343.89	332.14	195.72	277.2	341.51	403.5	275.28	186.4	339.14	144.01	277.2	432.53	285.03	363.56	314.17	361.04	329.84	420.68	221.86	291.04	159.9	246.28	287.01	412.0	293.07	289.02	234.57	314.17	287.01	217.27	334.46	307.69	239.52	334.46	403.5	255.0
MCU	226.54	255.0	177.53	236.21	220.32	267.73	214.27	358.54	178.77	325.29	172.65	172.65	199.85	183.82	334.46	204.07	271.48	205.5	251.48	323.03	205.5	153.34	202.66	281.09	167.9	197.09	194.36	164.42	170.25	258.57	182.55	193.01	204.07	166.73	244.57	173.85	241.19	262.2	181.28	199.85	316.37	150.17	237.86	258.57	159.9	202.66	255.0	140.04	185.11	260.38	127.89	246.28	208.38	218.79	279.14	194.36	135.24	285.03	289.02	189.02	248.0	189.02	262.2	215.77	346.29	158.79	212.78	239.52	215.77	226.54	201.25	215.77	234.57	260.38	255.0	267.73	239.52	217.27	371.22	211.31	214.27	164.42	145.02	220.32	217.27	158.79	171.45	132.44	271.48	551.56	293.07	325.29	171.45	297.17	246.28	191.67	180.02	255.0	154.42	226.54	271.48	186.4	217.27	295.11	264.03	177.53	249.73	197.09	140.04	173.85	264.03	249.73	291.04	223.41	206.94	236.21	234.57	239.52	206.94	154.42	142.01	312.0	373.81	177.53	246.28
MFSD6	412.0	934.76	190.34	379.04	902.89	954.43	395.18	1529.73	206.94	1081.39	309.83	480.04	718.08	567.1	1216.75	728.11	860.08	400.71	260.38	563.18	967.76	273.37	336.79	603.67	327.56	607.87	301.33	303.44	220.32	1685.71	346.29	314.17	480.04	587.13	368.65	769.69	373.81	199.85	346.29	320.8	854.13	507.46	356.05	595.34	327.56	420.68	808.0	884.29	275.28	660.68	314.17	171.45	392.44	403.5	995.0	242.88	275.28	1096.5	1268.46	329.84	363.56	435.55	848.22	620.67	1709.26	239.52	454.09	723.08	555.41	366.09	551.56	400.71	1498.22	723.08	738.29	753.83	587.13	571.05	796.86	493.56	346.29	638.15	896.64	866.07	403.5	262.2	521.76	215.77	802.41	796.86	961.07	780.44	373.81	1331.57	660.68	432.53	241.19	708.18	287.01	444.72	836.53	503.95	780.44	718.08	915.51	521.76	559.28	358.54	460.44	309.83	363.56	718.08	759.08	457.25	397.93	460.44	1096.5	346.29	412.0	348.71	587.13	470.14	698.41	454.09	490.14
MOB4	785.88	713.11	384.34	395.18	629.35	629.35	480.04	1175.27	366.09	825.0	444.72	476.71	688.78	529.06	1143.1	679.29	842.36	612.11	559.28	525.39	684.02	423.61	483.38	890.44	511.0	665.29	450.94	547.75	323.03	583.07	547.75	551.56	466.88	547.75	403.5	543.96	493.56	575.03	397.93	511.0	974.5	563.18	493.56	769.69	669.92	559.28	674.59	684.02	463.65	500.46	444.72	624.99	444.72	647.07	599.49	389.72	511.0	764.36	753.83	507.46	497.0	480.04	974.5	571.05	693.58	441.64	620.67	669.92	438.59	595.34	483.38	547.75	753.83	802.41	808.0	665.29	854.13	559.28	633.73	368.65	457.25	612.11	583.07	567.1	521.76	429.54	547.75	480.04	679.29	579.04	1001.93	819.3	547.75	633.73	813.63	547.75	525.39	656.11	417.77	567.1	941.27	583.07	493.56	591.22	974.5	490.14	1127.35	392.44	423.61	414.87	429.54	525.39	836.53	738.29	540.19	540.19	540.19	500.46	381.68	379.04	511.0	536.45	591.22	567.1	669.92
NCALD	759.08	860.08	75.64	454.09	656.11	872.1	91.41	1143.1	18.43	1008.9	34.02	51.35	438.59	454.09	785.88	1191.69	1081.39	55.49	642.59	493.56	1159.07	77.79	108.14	511.0	89.51	214.27	55.49	61.68	218.79	273.37	193.01	167.9	303.44	255.0	295.11	167.9	44.57	1167.14	135.24	381.68	728.11	277.2	215.77	825.0	88.26	165.57	426.57	1023.0	157.68	587.13	57.08	60.82	273.37	323.03	921.88	412.0	460.44	567.1	830.75	269.6	76.17	63.0	921.88	748.61	780.44	49.56	312.0	1199.98	281.09	540.19	529.06	420.68	293.07	698.41	1051.79	713.11	190.34	384.34	457.25	63.0	629.35	206.94	866.07	713.11	88.26	49.56	126.12	55.49	1008.9	507.46	1023.0	813.63	279.14	674.59	1225.22	988.12	80.01	961.07	71.0	583.07	414.87	669.92	612.11	265.87	819.3	190.34	336.79	87.03	167.9	88.88	94.67	532.74	947.83	239.52	123.5	688.78	813.63	277.2	217.27	423.61	414.87	457.25	441.64	209.84	156.59
NFAT5	206.94	220.32	21.47	62.56	95.34	285.03	73.03	255.0	81.71	251.48	55.49	18.84	78.34	63.89	244.57	224.97	202.66	71.0	103.69	110.43	239.52	61.68	60.39	336.79	83.45	75.11	36.79	80.01	74.58	90.77	132.44	113.56	94.67	90.77	103.69	96.01	139.07	56.28	63.89	70.51	62.12	132.44	104.42	193.01	60.82	72.01	244.57	83.45	129.69	46.18	85.82	186.4	102.25	92.05	124.37	7.46	13.22	264.03	64.8	79.45	35.5	84.63	220.32	81.14	115.16	23.08	141.02	120.94	55.1	50.98	117.6	96.68	143.01	246.28	161.02	161.02	165.57	81.14	153.34	79.45	90.77	163.28	88.88	145.02	56.68	85.82	100.13	63.89	96.01	125.24	214.27	100.83	23.76	217.27	249.73	140.04	36.79	180.02	20.26	91.41	237.86	98.04	58.71	96.68	191.67	101.54	275.28	51.35	90.14	71.5	132.44	106.63	128.79	190.34	90.14	42.11	94.67	81.71	124.37	108.9	63.89	117.6	147.06	119.26	55.89
NR1D2	547.75	642.59	108.14	185.11	287.01	830.75	260.38	836.53	195.72	769.69	253.23	77.79	88.88	339.14	316.37	656.11	384.34	193.01	214.27	316.37	409.15	389.72	164.42	403.5	260.38	177.53	120.1	273.37	209.84	738.29	167.9	248.0	199.85	199.85	353.59	363.56	208.38	167.9	260.38	194.36	260.38	316.37	153.34	194.36	339.14	283.05	500.46	267.73	165.57	366.09	166.73	84.63	332.14	193.01	327.56	93.35	127.89	638.15	264.03	409.15	271.48	176.29	426.57	346.29	267.73	195.72	185.11	277.2	164.42	137.14	334.46	248.0	420.68	447.82	429.54	343.89	483.38	285.03	291.04	128.79	178.77	236.21	258.57	503.95	173.85	189.02	226.54	143.01	248.0	279.14	713.11	329.84	232.94	543.96	599.49	403.5	248.0	361.04	209.84	224.97	406.31	269.6	368.65	684.02	599.49	293.07	454.09	109.66	236.21	199.85	334.46	395.18	339.14	403.5	251.48	167.9	279.14	147.06	193.01	295.11	132.44	267.73	251.48	242.88	209.84
NRAS	392.44	242.88	166.73	229.72	248.0	371.22	262.2	480.04	251.48	429.54	212.78	186.4	265.87	262.2	454.09	363.56	406.31	164.42	215.77	237.86	389.72	301.33	231.32	463.65	234.57	256.78	181.28	236.21	215.77	264.03	262.2	234.57	211.31	220.32	212.78	244.57	256.78	343.89	197.09	185.11	256.78	231.32	253.23	305.55	234.57	325.29	63.0	262.2	314.17	271.48	271.48	275.28	223.41	297.17	248.0	128.79	149.12	435.55	339.14	275.28	193.01	248.0	507.46	185.11	343.89	173.85	297.17	356.05	204.07	205.5	234.57	287.01	285.03	414.87	403.5	289.02	353.59	277.2	341.51	201.25	117.6	351.14	241.19	246.28	264.03	208.38	209.84	218.79	287.01	289.02	400.71	348.71	208.38	316.37	417.77	285.03	258.57	275.28	146.03	218.79	473.41	262.2	423.61	255.0	457.25	223.41	363.56	199.85	215.77	246.28	234.57	198.47	480.04	341.51	195.72	180.02	236.21	244.57	236.21	218.79	166.73	229.72	318.57	281.09	255.0
NXT2	166.73	178.77	80.57	318.57	127.0	186.4	131.51	239.52	110.43	232.94	84.63	148.09	158.79	111.99	334.46	183.82	191.67	156.59	117.6	158.79	176.29	95.34	77.79	251.48	120.1	143.01	109.66	123.5	105.15	149.12	109.66	94.01	133.36	123.5	88.88	158.79	119.26	136.19	85.22	129.69	185.11	102.25	127.89	186.4	98.73	119.26	170.25	118.43	182.55	144.01	123.5	224.97	114.36	111.21	195.72	48.87	97.36	191.67	144.01	155.5	105.15	121.79	231.32	145.02	171.45	115.97	127.89	301.33	110.43	121.79	121.79	114.36	150.17	226.54	217.27	150.17	148.09	142.01	157.68	82.29	113.56	163.28	127.89	162.14	128.79	90.14	122.64	147.06	167.9	145.02	277.2	113.56	107.38	150.17	175.07	118.43	197.09	187.71	107.38	105.15	234.57	186.4	165.57	197.09	289.02	109.66	204.07	100.83	110.43	99.43	136.19	173.85	255.0	171.45	110.43	73.03	146.03	98.04	90.14	109.66	139.07	114.36	153.34	98.73	170.25
ORAI2	423.61	265.87	140.04	161.02	307.69	397.93	181.28	466.88	117.6	323.03	125.24	279.14	190.34	194.36	320.8	397.93	400.71	167.9	158.79	228.13	299.25	109.66	149.12	258.57	149.12	197.09	121.79	121.79	199.85	507.46	164.42	128.79	231.32	214.27	236.21	283.05	116.78	353.59	72.52	164.42	438.59	193.01	117.6	142.01	144.01	143.01	356.05	579.04	139.07	214.27	99.43	85.82	150.17	217.27	476.71	76.71	151.22	571.05	693.58	142.01	83.45	191.67	255.0	177.53	336.79	193.01	194.36	234.57	273.37	182.55	202.66	121.79	476.71	275.28	301.33	267.73	206.94	120.94	229.72	187.71	199.85	218.79	318.57	336.79	186.4	97.36	122.64	141.02	167.9	341.51	392.44	358.54	162.14	665.29	435.55	237.86	145.02	389.72	111.99	255.0	258.57	389.72	361.04	211.31	403.5	171.45	329.84	146.03	212.78	316.37	190.34	307.69	279.14	212.78	251.48	119.26	271.48	91.41	121.79	171.45	186.4	255.0	275.28	178.77	154.42
OSTM1	409.15	409.15	167.9	161.02	532.74	339.14	241.19	988.12	329.84	642.59	136.19	318.57	339.14	348.71	995.0	289.02	414.87	285.03	289.02	371.22	438.59	112.77	567.1	429.54	209.84	265.87	145.02	316.37	129.69	409.15	305.55	255.0	264.03	441.64	299.25	289.02	303.44	260.38	267.73	237.86	447.82	361.04	241.19	414.87	295.11	201.25	353.59	332.14	183.82	204.07	285.03	348.71	201.25	269.6	368.65	109.66	299.25	603.67	251.48	129.69	214.27	334.46	638.15	297.17	450.94	206.94	204.07	336.79	297.17	198.47	351.14	368.65	759.08	447.82	450.94	299.25	507.46	295.11	301.33	226.54	183.82	612.11	366.09	265.87	255.0	305.55	283.05	248.0	327.56	346.29	543.96	232.94	242.88	518.15	426.57	255.0	253.23	361.04	178.77	251.48	555.41	175.07	273.37	269.6	764.36	381.68	463.65	226.54	346.29	123.5	242.88	316.37	473.41	289.02	358.54	332.14	356.05	255.0	152.28	229.72	287.01	154.42	264.03	476.71	376.41
PAPOLA	2148.82	2384.37	1119.56	1277.29	1662.49	2119.22	1583.71	2701.35	1277.29	2758.13	1277.29	1397.83	1617.0	1662.49	2720.15	1936.53	2061.24	1551.09	1572.76	1950.0	2434.5	1268.46	1540.37	2502.97	1322.37	1794.29	1605.83	1457.23	624.99	1529.73	1508.65	1551.09	1561.89	1498.22	1498.22	1508.65	1733.13	2573.36	1407.55	1529.73	1883.54	1572.76	1397.83	2240.11	1561.89	1697.45	1936.53	1583.71	1721.16	1540.37	1498.22	1883.54	1617.0	1397.83	2090.03	1487.87	1216.75	2075.59	1519.15	1295.13	1242.34	1685.71	2591.27	1857.6	2032.85	1561.89	1487.87	1806.78	1304.15	1407.55	1594.73	1572.76	1883.54	2555.58	2163.77	2032.85	1794.29	1697.45	2591.27	1286.18	1322.37	2178.83	1769.57	1936.53	1757.34	1242.34	1447.15	1519.15	1991.0	2119.22	2468.49	1870.53	1639.59	1870.53	2148.82	1508.65	1277.29	2047.0	1183.45	1561.89	2384.37	1167.14	1794.29	1628.26	2384.37	1540.37	1832.01	1388.16	1508.65	1388.16	1685.71	1721.16	2178.83	1963.57	1508.65	1447.15	2351.53	1487.87	1437.15	1594.73	1561.89	1674.06	2193.99	1794.29	1519.15
PDE3B	607.87	647.07	109.66	127.89	500.46	764.36	115.16	890.44	175.07	708.18	191.67	85.82	291.04	198.47	842.36	854.13	796.86	119.26	381.68	329.84	1183.45	169.07	125.24	595.34	185.11	208.38	65.26	158.79	154.42	389.72	258.57	180.02	154.42	136.19	201.25	329.84	454.09	974.5	108.14	265.87	599.49	218.79	125.24	363.56	195.72	140.04	525.39	665.29	234.57	381.68	182.55	307.69	133.36	255.0	753.83	89.51	88.26	660.68	642.59	155.5	170.25	220.32	748.61	403.5	743.43	59.55	115.97	417.77	152.28	231.32	532.74	167.9	493.56	954.43	854.13	753.83	275.28	323.03	532.74	339.14	234.57	312.0	599.49	470.14	145.02	191.67	132.44	285.03	647.07	483.38	848.22	460.44	88.88	547.75	624.99	454.09	256.78	967.76	91.41	612.11	718.08	356.05	356.05	441.64	514.56	204.07	417.77	68.55	180.02	151.22	209.84	264.03	379.04	353.59	214.27	138.1	503.95	108.9	167.9	231.32	271.48	389.72	470.14	151.22	161.02
PDS5A	743.43	848.22	264.03	441.64	450.94	708.18	392.44	884.29	334.46	934.76	363.56	346.29	457.25	476.71	890.44	836.53	743.43	379.04	438.59	688.78	934.76	432.53	414.87	928.3	412.0	536.45	323.03	384.34	336.79	543.96	500.46	400.71	409.15	403.5	395.18	438.59	551.56	525.39	348.71	463.65	536.45	412.0	503.95	575.03	387.02	470.14	802.41	483.38	457.25	507.46	371.22	595.34	450.94	536.45	651.58	194.36	248.0	941.27	518.15	460.44	358.54	444.72	836.53	493.56	785.88	239.52	423.61	587.13	341.51	368.65	454.09	417.77	575.03	723.08	733.19	647.07	547.75	583.07	848.22	379.04	397.93	603.67	497.0	638.15	432.53	371.22	379.04	387.02	607.87	587.13	915.51	514.56	351.14	665.29	813.63	511.0	463.65	693.58	303.44	438.59	769.69	551.56	543.96	660.68	723.08	417.77	808.0	334.46	379.04	426.57	507.46	540.19	713.11	647.07	389.72	329.84	532.74	381.68	358.54	423.61	414.87	571.05	764.36	441.64	403.5
PDZD8	262.2	293.07	92.05	105.15	189.02	400.71	113.56	334.46	167.9	358.54	131.51	83.45	149.12	186.4	346.29	358.54	299.25	145.02	178.77	218.79	371.22	107.38	117.6	320.8	181.28	167.9	126.12	123.5	114.36	239.52	148.09	119.26	123.5	173.85	135.24	120.1	237.86	246.28	125.24	141.02	108.14	232.94	171.45	153.34	165.57	136.19	299.25	176.29	148.09	121.79	143.01	137.14	125.24	223.41	237.86	61.25	71.5	470.14	223.41	124.37	94.67	108.14	318.57	134.3	164.42	80.57	152.28	197.09	137.14	87.65	148.09	119.26	264.03	241.19	273.37	248.0	314.17	208.38	158.79	177.53	121.79	376.41	208.38	212.78	171.45	132.44	117.6	142.01	134.3	244.57	318.57	197.09	103.69	591.22	363.56	169.07	124.37	309.83	84.63	114.36	293.07	108.9	206.94	172.65	346.29	149.12	291.04	82.87	165.57	109.66	204.07	180.02	248.0	212.78	120.1	91.41	170.25	106.63	89.51	115.16	105.89	163.28	147.06	126.12	118.43
PHAX	595.34	674.59	329.84	493.56	551.56	759.08	536.45	854.13	438.59	830.75	511.0	403.5	500.46	521.76	995.0	591.22	733.19	420.68	571.05	450.94	656.11	460.44	441.64	884.29	514.56	660.68	248.0	521.76	273.37	713.11	473.41	525.39	490.14	532.74	575.03	463.65	400.71	665.29	511.0	400.71	825.0	571.05	511.0	669.92	417.77	571.05	490.14	511.0	543.96	651.58	511.0	603.67	473.41	551.56	612.11	273.37	318.57	830.75	490.14	275.28	299.25	450.94	947.83	450.94	591.22	379.04	575.03	529.06	620.67	323.03	684.02	567.1	1008.9	718.08	733.19	595.34	616.37	470.14	612.11	490.14	480.04	698.41	723.08	571.05	423.61	493.56	480.04	529.06	529.06	629.35	825.0	567.1	575.03	660.68	813.63	432.53	341.51	616.37	329.84	444.72	872.1	412.0	629.35	536.45	713.11	555.41	693.58	361.04	567.1	381.68	473.41	521.76	708.18	624.99	633.73	403.5	470.14	438.59	373.81	529.06	603.67	400.71	423.61	679.29	466.88
PHLPP2	52.82	89.51	42.71	40.93	72.52	82.29	39.79	108.14	54.72	67.12	46.18	64.34	48.52	35.0	100.13	85.82	80.01	57.49	58.3	54.33	108.14	28.45	42.11	65.26	59.97	36.01	25.54	38.4	38.12	48.87	54.72	54.33	43.94	40.93	49.56	44.25	54.33	45.85	39.79	38.95	51.71	61.25	43.02	77.79	43.63	46.18	87.65	43.02	41.81	35.0	46.84	36.01	38.95	45.21	58.3	22.75	21.63	87.65	62.12	46.5	24.28	52.82	114.36	36.01	59.13	21.16	59.55	58.3	42.71	44.57	50.98	43.94	90.14	76.17	50.27	68.55	87.03	30.56	49.21	44.89	55.49	68.07	68.07	34.51	35.25	44.57	47.17	38.67	34.02	55.89	92.05	47.5	32.36	102.25	86.43	53.95	48.18	78.89	24.11	63.89	77.25	62.56	30.34	66.18	74.58	47.5	90.77	38.4	44.25	28.65	61.68	47.84	58.3	61.25	56.68	40.93	44.25	42.41	54.33	49.91	39.79	56.28	45.53	59.55	34.26
PIK3C2A	591.22	616.37	115.97	201.25	314.17	743.43	228.13	791.35	215.77	748.61	182.55	170.25	260.38	281.09	872.1	674.59	728.11	206.94	358.54	379.04	718.08	273.37	205.5	713.11	255.0	395.18	154.42	246.28	212.78	414.87	279.14	293.07	241.19	228.13	244.57	291.04	395.18	351.14	220.32	204.07	295.11	267.73	305.55	457.25	208.38	289.02	620.67	309.83	285.03	202.66	215.77	297.17	248.0	265.87	441.64	94.01	111.21	1111.82	305.55	221.86	178.77	256.78	679.29	275.28	503.95	120.1	334.46	518.15	260.38	165.57	323.03	264.03	551.56	551.56	583.07	483.38	457.25	275.28	460.44	208.38	241.19	665.29	303.44	470.14	226.54	251.48	215.77	248.0	325.29	417.77	753.83	371.22	139.07	674.59	808.0	435.55	291.04	624.99	134.3	303.44	599.49	255.0	231.32	316.37	612.11	301.33	563.18	169.07	273.37	183.82	346.29	291.04	397.93	507.46	265.87	166.73	312.0	248.0	224.97	285.03	244.57	403.5	417.77	366.09	194.36
PLA2G7	2758.13	4704.07	198.47	476.71	3039.3	1397.83	316.37	2915.45	167.9	2997.45	115.16	395.18	1151.06	228.13	7280.4	866.07	1745.2	1111.82	1167.14	2682.69	2591.27	43.32	802.41	1551.09	105.15	172.65	167.9	265.87	106.63	2739.08	117.6	234.57	595.34	476.71	183.82	490.14	642.59	1397.83	718.08	1167.14	5147.73	392.44	275.28	708.18	127.89	633.73	1781.89	842.36	242.88	1857.6	107.38	132.44	246.28	525.39	3540.14	759.08	1417.35	2935.74	961.07	187.71	165.57	490.14	2485.67	1397.83	4450.27	397.93	587.13	2255.7	297.17	813.63	1151.06	486.75	642.59	3303.0	2915.45	3540.14	532.74	1066.48	2537.92	185.11	1277.29	620.67	4038.61	1487.87	277.2	152.28	279.14	60.39	2417.67	438.59	2915.45	1437.15	583.07	5112.16	988.12	1605.83	1044.52	3467.27	363.56	2224.63	2875.3	1369.04	2400.97	2758.13	1857.6	878.17	896.64	327.56	305.55	279.14	483.38	1030.12	1331.57	444.72	346.29	412.0	2061.24	275.28	669.92	406.31	1030.12	1519.15	2209.26	441.64	387.02
