	TCGA.C8.A12O.01A.11R.A115.07	TCGA.AR.A24O.01A.11R.A169.07	TCGA.D8.A27V.01A.12R.A17B.07	TCGA.BH.A0HI.01A.11R.A084.07	TCGA.E9.A1N4.01A.11R.A14M.07	TCGA.BH.A1FH.01A.12R.A13Q.07	TCGA.A2.A0CZ.01A.11R.A034.07	TCGA.BH.A202.01A.11R.A14M.07	TCGA.A7.A0CH.01A.21R.A00Z.07	TCGA.A7.A26E.01A.11R.A169.07	TCGA.AR.A1AN.01A.11R.A12P.07	TCGA.A8.A0AD.01A.11R.A056.07	TCGA.BH.A208.01A.11R.A157.07	TCGA.BH.A0HP.01A.12R.A084.07	TCGA.C8.A12Z.01A.11R.A115.07	TCGA.A2.A0EV.01A.11R.A034.07	TCGA.AC.A8OS.01A.12R.A41B.07	TCGA.A2.A04N.01A.11R.A115.07	TCGA.A1.A0SH.01A.11R.A084.07	TCGA.E2.A15C.01A.31R.A12D.07	TCGA.D8.A1XY.01A.11R.A14M.07	TCGA.AR.A24M.01A.11R.A169.07	TCGA.E9.A1NG.01A.21R.A14M.07	TCGA.E2.A1IJ.01A.11R.A144.07	TCGA.A2.A0ES.01A.11R.A115.07	TCGA.A7.A0DB.01A.11R.A00Z.07	TCGA.AC.A2B8.01A.11R.A17B.07	TCGA.A8.A094.01A.11R.A00Z.07	TCGA.D8.A1XO.01A.11R.A14M.07	TCGA.AR.A1AL.01A.21R.A12P.07	TCGA.BH.A1EV.11A.24R.A137.07	TCGA.BH.A0AY.11A.23R.A089.07	TCGA.BH.A1FE.11B.14R.A13Q.07	TCGA.BH.A1F6.11B.94R.A13Q.07	TCGA.BH.A1FJ.11B.42R.A13Q.07	GTEX.1269C.2426.SM.5FQSN	GTEX.W5X1.2326.SM.3GIL6	GTEX.XMD2.0926.SM.4WWEF	GTEX.1313W.0826.SM.5EQ4T	GTEX.13O3O.0826.SM.5K7WE	GTEX.TMMY.0726.SM.33HBE	GTEX.VJWN.0726.SM.3GIJ8	GTEX.13QIC.2326.SM.5LU5N	TCGA.W5.AA2U.11A.11R.A41I.07	TCGA.W5.AA30.11A.11R.A41I.07	TCGA.B8.5163.01A.01R.1420.07	TCGA.B8.5552.11A.01R.1672.07	TCGA.RC.A6M6.01A.11R.A32O.07	TCGA.FV.A23B.01A.11R.A16W.07	TCGA.RC.A7S9.01A.11R.A33R.07	TCGA.LG.A9QD.01A.11R.A38B.07	TCGA.DD.AAVX.01A.11R.A41C.07	TCGA.DD.AAD1.01A.11R.A41C.07	TCGA.FV.A496.01A.11R.A266.07	TCGA.DD.AAE7.01A.11R.A41C.07	TCGA.DD.AADP.01A.11R.A39D.07	TCGA.DD.AACP.01A.11R.A41C.07	TCGA.BC.A69I.01A.11R.A311.07	TCGA.ED.A66Y.01A.11R.A311.07	TCGA.BD.A3EP.01A.11R.A22L.07	TCGA.BC.A10S.01A.22R.A131.07	TCGA.2V.A95S.01A.11R.A37K.07	TCGA.G3.A25V.01A.11R.A16W.07	TCGA.EP.A2KA.01A.11R.A180.07	TCGA.2Y.A9H7.01A.11R.A39D.07	TCGA.DD.AADK.01A.11R.A41C.07	TCGA.DD.A1ED.01A.11R.A155.07	TCGA.MI.A75E.01A.11R.A32O.07	TCGA.DD.A39Z.11A.21R.A213.07	TCGA.DD.A119.11A.11R.A131.07	TCGA.DD.A1EC.11A.11R.A131.07	TCGA.DD.A3A5.11A.11R.A22L.07	TCGA.DD.A3A8.11A.11R.A22L.07	TCGA.DD.A39X.11A.11R.A213.07	TCGA.FV.A3I0.11A.11R.A22L.07	TCGA.DD.A1EH.11A.11R.A131.07	TCGA.DD.A113.11A.12R.A131.07	TCGA.DD.A1EE.11A.11R.A131.07	TCGA.DD.A39V.11A.11R.A213.07	TCGA.DD.A11A.11A.11R.A131.07	TCGA.BD.A3EP.11A.12R.A22L.07	TCGA.BC.A10W.11A.11R.A131.07	TCGA.BC.A10T.11A.11R.A131.07	GTEX.RTLS.1326.SM.46MUN	GTEX.WYVS.1926.SM.4PQZ2	GTEX.YB5E.0326.SM.5IFHU	GTEX.13FLV.0326.SM.5N9DJ	GTEX.S32W.1926.SM.4AD63	GTEX.Y5LM.0426.SM.4VBRO	GTEX.QDVN.0826.SM.48TZ2	GTEX.TKQ2.1726.SM.4DXUP	GTEX.ZVP2.0626.SM.51MSO	GTEX.RM2N.1926.SM.48FCU	GTEX.ZTPG.1426.SM.51MT3	GTEX.PX3G.0826.SM.48TZS	GTEX.U3ZN.0226.SM.3DB8D	GTEX.Z9EW.0426.SM.5CVM9	GTEX.OOBJ.0826.SM.3NB2K	GTEX.13FTW.1126.SM.5J2NV	GTEX.ZPU1.0826.SM.57WG2	GTEX.ZAB5.0426.SM.5CVMI	GTEX.13113.1326.SM.5GCOI	GTEX.WQUQ.1926.SM.4OOSA	GTEX.ZF2S.3026.SM.4WWCH	GTEX.144GM.1326.SM.5LU5E	GTEX.139YR.0226.SM.5IFEM	GTEX.146FH.1526.SM.5NQBU	GTEX.YEC4.0826.SM.5P9FV	GTEX.P78B.1326.SM.3P611	GTEX.QV44.0326.SM.4R1KD	GTEX.11EQ9.0526.SM.5A5JZ	GTEX.ZZPU.0426.SM.5GZYH	GTEX.X3Y1.2726.SM.4PQZH	GTEX.12WSL.0226.SM.5CVMJ	GTEX.12696.0826.SM.5EGGE	GTEX.ZYY3.0626.SM.5NQ6W	GTEX.ZF29.2026.SM.4WWB7	GTEX.131XE.0326.SM.5LZVO	GTEX.145MO.2326.SM.5NQ9K	GTEX.14E1K.0326.SM.5S2PE	GTEX.14DAQ.1726.SM.5S2R2	GTEX.1399R.1226.SM.5P9GF	GTEX.11DXZ.0126.SM.5EGGY	GTEX.12KS4.1326.SM.5LUB3	GTEX.13PVR.0126.SM.5S2PY	GTEX.Q734.0326.SM.48U15	GTEX.132NY.0926.SM.5P9G3	GTEX.1212Z.0226.SM.59HLF	GTEX.XOTO.0826.SM.4B65O	GTEX.14753.1626.SM.5NQ9L	GTEX.WFON.1726.SM.4LVMQ	GTEX.UPIC.0926.SM.4IHLV	GTEX.UPK5.1426.SM.4JBHH	GTEX.RWSA.1426.SM.47JXA	GTEX.S4Z8.0526.SM.4AD4T	GTEX.VUSG.0126.SM.4KL1X	GTEX.14C38.1526.SM.5RQJ7	GTEX.REY6.1226.SM.48FDR	GTEX.U3ZN.0626.SM.3DB7U	GTEX.T8EM.0326.SM.3DB7F	GTEX.145LS.1226.SM.5Q5D9
CD164	6699.25	8598.28	10959.3	8598.28	4937.99	7382.04	3665.02	6121.9	9088.59	9279.58	7642.41	8134.41	6516.03	9540.5	7749.1	5112.16	7589.61	6983.79	6607.01	8840.04	9808.75	8840.04	6652.97	7966.99	7911.95	9606.86	5403.7	10585.95	5831.91	6699.25	10512.82	7331.05	8078.22	9808.75	9740.98	5954.47	8840.04	3928.15	7966.99	9215.48	9945.68	20451.65	8134.41	3639.7	3168.41	5041.77	11664.82	1407.55	1561.89	2224.63	2047.0	2133.97	3103.19	2609.3	2835.7	2119.22	1605.83	995.0	3018.3	3395.89	2104.58	2720.15	2816.11	1519.15	1369.04	1225.22	2537.92	1216.75	2682.69	4210.15	3665.02	2224.63	1936.53	2816.11	3060.45	3325.99	3372.43	3639.7	3103.19	3690.52	2997.45	2451.44	3443.31	3768.09	2976.74	3443.31	2609.3	3742.05	3280.18	5479.15	2485.67	2451.44	4671.57	3955.48	2209.26	5219.6	4736.79	4239.45	2075.59	3928.15	4836.35	1991.0	1594.73	3901.01	3212.66	2287.2	3280.18	1605.83	2178.83	5594.3	2502.97	3257.52	2271.4	2555.58	1208.34	5995.9	2148.82	4298.64	3820.7	4903.87	7081.29	4210.15	3212.66	2915.45	2816.11	3982.99	1909.85	2645.74	3372.43	4038.61	3847.29	1639.59	4239.45	1605.83	2287.2	2485.67	2240.11	3515.68	7485.11	10659.59	8658.09
CDC42SE2	435.55	748.61	679.29	309.83	796.86	642.59	547.75	753.83	490.14	521.76	356.05	575.03	432.53	616.37	346.29	808.0	466.88	532.74	633.73	616.37	723.08	547.75	507.46	551.56	796.86	567.1	620.67	591.22	674.59	674.59	995.0	743.43	1277.29	866.07	1313.23	902.89	647.07	1001.93	540.19	620.67	1286.18	1030.12	1037.29	281.09	341.51	1397.83	2520.38	249.73	536.45	299.25	232.94	559.28	693.58	262.2	287.01	392.44	397.93	217.27	486.75	432.53	255.0	947.83	409.15	521.76	325.29	262.2	373.81	336.79	202.66	329.84	341.51	205.5	162.14	226.54	177.53	262.2	275.28	358.54	248.0	447.82	341.51	241.19	346.29	185.11	376.41	381.68	463.65	234.57	241.19	277.2	473.41	309.83	303.44	441.64	205.5	470.14	299.25	414.87	175.07	878.17	361.04	98.04	111.21	463.65	775.05	265.87	269.6	220.32	187.71	329.84	262.2	237.86	262.2	265.87	156.59	255.0	343.89	503.95	209.84	356.05	237.86	289.02	269.6	277.2	223.41	283.05	116.78	198.47	189.02	275.28	281.09	144.01	351.14	172.65	293.07	356.05	202.66	316.37	785.88	974.5	1407.55
CHCHD3	1304.15	961.07	1023.0	647.07	1594.73	1295.13	1143.1	1051.79	890.44	1806.78	1023.0	902.89	995.0	909.17	1295.13	1427.22	872.1	1286.18	1175.27	1199.98	1111.82	967.76	1183.45	947.83	1044.52	1008.9	995.0	1167.14	1191.69	988.12	981.29	995.0	679.29	854.13	796.86	723.08	1936.53	1175.27	1199.98	1605.83	1015.93	1340.84	1001.93	466.88	536.45	1088.92	896.64	1044.52	612.11	1259.69	674.59	981.29	753.83	463.65	642.59	674.59	1073.91	351.14	612.11	961.07	669.92	536.45	890.44	1331.57	583.07	607.87	638.15	860.08	444.72	529.06	536.45	346.29	409.15	450.94	429.54	507.46	392.44	521.76	503.95	575.03	480.04	426.57	503.95	480.04	624.99	1096.5	507.46	1286.18	1066.48	878.17	743.43	718.08	616.37	974.5	693.58	860.08	842.36	708.18	713.11	884.29	753.83	629.35	595.34	764.36	693.58	753.83	872.1	708.18	693.58	688.78	802.41	688.78	738.29	808.0	518.15	780.44	764.36	583.07	547.75	603.67	460.44	684.02	665.29	713.11	718.08	547.75	587.13	483.38	490.14	392.44	713.11	603.67	642.59	301.33	878.17	728.11	1030.12	483.38	1697.45	1268.46	961.07
COPS2	1331.57	1781.89	1529.73	1350.18	1745.2	1350.18	1208.34	1794.29	1322.37	1519.15	1769.57	1617.0	1359.57	1199.98	2032.85	1216.75	743.43	1044.52	1225.22	1088.92	1295.13	1437.15	1561.89	1175.27	1447.15	1175.27	1175.27	1697.45	928.3	1313.23	1936.53	1685.71	3103.19	1896.65	2451.44	1388.16	4298.64	2209.26	2400.97	1963.57	3467.27	2816.11	2400.97	583.07	518.15	1572.76	2287.2	583.07	842.36	665.29	447.82	567.1	620.67	343.89	507.46	764.36	769.69	536.45	651.58	612.11	470.14	583.07	563.18	376.41	698.41	329.84	665.29	493.56	463.65	591.22	647.07	441.64	173.85	480.04	521.76	518.15	591.22	616.37	463.65	607.87	612.11	470.14	633.73	518.15	497.0	769.69	480.04	1030.12	1030.12	854.13	718.08	470.14	733.19	974.5	420.68	1216.75	1001.93	688.78	473.41	961.07	532.74	329.84	595.34	684.02	703.28	698.41	693.58	454.09	587.13	629.35	612.11	463.65	575.03	738.29	483.38	1081.39	713.11	1023.0	684.02	532.74	409.15	624.99	403.5	669.92	836.53	698.41	470.14	381.68	457.25	346.29	571.05	450.94	547.75	358.54	674.59	629.35	860.08	559.28	1427.22	2148.82	2178.83
CSNK1G3	429.54	669.92	575.03	323.03	579.04	555.41	329.84	521.76	551.56	624.99	314.17	759.08	412.0	417.77	358.54	988.12	309.83	466.88	438.59	599.49	764.36	620.67	480.04	373.81	532.74	457.25	612.11	339.14	612.11	583.07	647.07	432.53	854.13	603.67	708.18	567.1	769.69	480.04	483.38	486.75	842.36	1407.55	1167.14	218.79	194.36	490.14	796.86	171.45	297.17	144.01	141.02	198.47	258.57	165.57	193.01	249.73	181.28	114.36	301.33	312.0	153.34	191.67	241.19	198.47	195.72	138.1	206.94	185.11	187.71	262.2	297.17	239.52	99.43	181.28	255.0	228.13	251.48	223.41	198.47	334.46	339.14	229.72	197.09	158.79	221.86	403.5	190.34	253.23	224.97	231.32	202.66	248.0	341.51	241.19	180.02	447.82	412.0	387.02	152.28	423.61	181.28	176.29	133.36	185.11	320.8	147.06	255.0	214.27	149.12	221.86	246.28	307.69	135.24	162.14	113.56	197.09	323.03	358.54	229.72	244.57	232.94	256.78	206.94	289.02	373.81	224.97	91.41	351.14	297.17	244.57	193.01	118.43	185.11	206.94	223.41	155.5	241.19	248.0	403.5	540.19	633.73
CYP2U1	90.77	113.56	70.01	50.98	68.07	137.14	102.97	94.01	40.36	136.19	61.25	102.97	186.4	89.51	26.86	76.17	80.57	72.52	111.21	88.88	185.11	77.25	180.02	98.04	102.97	120.94	71.5	76.17	119.26	98.73	199.85	241.19	325.29	301.33	229.72	127.0	1088.92	191.67	143.01	72.01	327.56	441.64	143.01	57.49	66.65	198.47	236.21	10.55	83.45	45.21	36.27	80.01	72.52	20.86	32.59	30.78	19.97	39.5	20.86	62.12	50.98	10.31	50.27	4.94	78.89	27.44	52.82	62.12	57.49	102.97	107.38	43.02	46.18	42.71	73.03	97.36	95.34	84.04	61.68	65.72	67.59	56.28	62.56	73.54	151.22	33.78	112.77	28.24	33.06	124.37	68.55	62.12	60.82	28.24	97.36	49.56	76.17	170.25	24.81	104.42	79.45	51.71	65.72	226.54	43.32	38.4	111.21	45.21	56.68	163.28	45.85	85.22	90.77	62.12	29.7	30.78	77.79	83.45	82.87	96.01	64.8	116.78	135.24	80.01	64.34	116.78	63.89	91.41	64.8	64.34	39.5	36.53	143.01	38.12	47.5	78.34	27.44	31.0	121.79	130.6	54.33
CYSLTR2	9.13	28.86	8.19	5.54	15.34	9.13	9.93	13.12	3.41	7.63	11.91	4.43	24.63	12.36	4.31	5.87	5.96	7.94	6.11	8.13	3.32	5.06	11.55	9.63	8.85	4.46	13.83	18.03	10.88	8.51	19.53	19.11	9.13	42.41	17.64	13.12	21.47	4.46	7.94	4.28	6.67	32.36	12.55	2.07	3.35	38.12	138.1	1.36	4.31	0.4	0.88	7.17	4.43	0.43	3.38	3.59	1.36	0.77	7.94	6.01	0.0	1.38	3.63	1.89	0.84	4.24	1.01	5.06	0.56	3.66	2.18	0.48	0.46	1.99	0.99	2.53	5.41	2.12	2.58	3.23	3.86	1.83	5.36	2.34	6.62	8.92	9.78	0.47	2.12	3.56	0.62	4.31	1.89	0.0	4.74	2.78	2.86	1.87	5.96	2.58	10.55	0.54	1.16	3.66	0.0	0.0	4.17	1.28	3.63	0.0	2.58	4.98	6.62	3.35	9.48	10.55	1.83	15.34	0.61	1.99	9.78	2.1	3.82	3.66	1.27	0.0	1.17	3.35	4.54	0.67	4.17	7.11	7.63	3.72	5.54	1.93	4.35	3.72	15.45	8.38	26.47
DCTN4	642.59	1001.93	1277.29	1023.0	909.17	1059.11	540.19	921.88	1183.45	1225.22	518.15	967.76	684.02	1191.69	981.29	1104.13	819.3	836.53	547.75	934.76	780.44	988.12	748.61	579.04	961.07	1167.14	830.75	503.95	1044.52	961.07	1008.9	743.43	1208.34	967.76	1051.79	902.89	1628.26	866.07	1143.1	836.53	1286.18	2835.7	1508.65	307.69	305.55	1037.29	902.89	454.09	583.07	334.46	511.0	412.0	435.55	348.71	336.79	518.15	329.84	277.2	536.45	417.77	281.09	473.41	334.46	195.72	353.59	320.8	457.25	327.56	241.19	447.82	409.15	226.54	208.38	242.88	248.0	293.07	351.14	406.31	253.23	395.18	293.07	301.33	353.59	297.17	341.51	348.71	348.71	397.93	271.48	476.71	327.56	332.14	336.79	412.0	264.03	642.59	423.61	409.15	325.29	493.56	406.31	244.57	212.78	343.89	220.32	336.79	356.05	293.07	325.29	325.29	356.05	387.02	392.44	457.25	269.6	435.55	366.09	361.04	255.0	323.03	256.78	379.04	323.03	384.34	400.71	470.14	246.28	348.71	351.14	167.9	316.37	289.02	305.55	244.57	406.31	236.21	361.04	249.73	896.64	1322.37	1529.73
DDX6	934.76	1286.18	1037.29	974.5	1359.57	1733.13	607.87	1561.89	1167.14	1540.37	1208.34	1268.46	1175.27	854.13	1697.45	1096.5	890.44	656.11	954.43	1051.79	1119.56	1769.57	896.64	718.08	1119.56	753.83	872.1	612.11	1639.59	1407.55	1628.26	909.17	2090.03	1477.58	1467.37	1417.35	1991.0	1605.83	1709.26	1023.0	1529.73	2032.85	2075.59	152.28	182.55	1250.98	1896.65	178.77	339.14	100.13	78.34	162.14	612.11	201.25	150.17	208.38	127.0	74.06	363.56	258.57	108.9	92.7	182.55	51.35	190.34	113.56	248.0	140.04	107.38	353.59	435.55	94.67	116.78	115.16	164.42	115.16	204.07	414.87	119.26	279.14	271.48	96.68	193.01	110.43	339.14	239.52	316.37	323.03	305.55	457.25	470.14	226.54	323.03	246.28	234.57	571.05	743.43	305.55	217.27	656.11	503.95	176.29	155.5	441.64	348.71	135.24	473.41	204.07	223.41	368.65	463.65	297.17	466.88	307.69	111.21	371.22	507.46	395.18	138.1	307.69	152.28	395.18	384.34	176.29	447.82	325.29	183.82	237.86	201.25	111.99	341.51	234.57	199.85	147.06	476.71	356.05	214.27	131.51	698.41	890.44	848.22
DNAJB14	242.88	376.41	314.17	262.2	444.72	441.64	205.5	366.09	387.02	555.41	140.04	356.05	287.01	279.14	293.07	269.6	244.57	281.09	301.33	356.05	403.5	493.56	363.56	299.25	351.14	256.78	325.29	361.04	316.37	426.57	470.14	309.83	532.74	521.76	511.0	334.46	921.88	198.47	435.55	223.41	669.92	507.46	551.56	80.57	107.38	389.72	967.76	99.43	150.17	78.89	108.14	89.51	170.25	87.03	93.35	79.45	52.82	67.12	167.9	94.67	79.45	142.01	103.69	75.11	79.45	78.89	144.01	67.12	102.25	131.51	133.36	70.01	26.47	85.82	85.22	97.36	103.69	125.24	88.26	161.02	85.22	92.05	120.1	89.51	115.97	75.11	71.0	116.78	95.34	111.99	120.1	104.42	89.51	154.42	47.84	175.07	148.09	108.9	66.18	206.94	139.07	94.67	75.64	171.45	88.88	77.25	198.47	57.89	69.03	145.02	133.36	81.71	98.04	130.6	103.69	153.34	109.66	229.72	59.13	81.14	120.94	82.29	109.66	117.6	107.38	153.34	62.56	70.01	65.26	52.45	116.78	78.89	120.1	44.25	81.14	69.03	186.4	88.88	583.07	764.36	791.35
DNAJB6	3589.58	3060.45	2645.74	3349.13	3443.31	3060.45	2434.5	2720.15	3060.45	3372.43	2796.65	3716.2	2855.44	2720.15	3018.3	3589.58	2451.44	2875.3	2816.11	2645.74	4095.0	4512.4	3491.39	2485.67	3103.19	2701.35	3018.3	1909.85	3103.19	3491.39	2777.33	3395.89	3589.58	2573.36	3515.68	3589.58	3820.7	3768.09	2915.45	2915.45	3820.7	4937.99	3280.18	848.22	708.18	2335.28	3168.41	612.11	1639.59	1044.52	748.61	1350.18	1340.84	629.35	1073.91	974.5	1572.76	909.17	1340.84	1388.16	947.83	1183.45	1268.46	813.63	1143.1	1143.1	1111.82	1001.93	642.59	796.86	753.83	612.11	555.41	595.34	780.44	825.0	738.29	878.17	791.35	967.76	947.83	909.17	1073.91	612.11	1008.9	1119.56	934.76	921.88	769.69	1096.5	738.29	728.11	878.17	1540.37	555.41	884.29	1104.13	703.28	679.29	884.29	1313.23	595.34	791.35	723.08	947.83	1628.26	1175.27	551.56	753.83	848.22	860.08	674.59	854.13	981.29	490.14	1191.69	802.41	3589.58	954.43	934.76	651.58	764.36	633.73	1023.0	802.41	1883.54	540.19	785.88	1008.9	830.75	928.3	529.06	941.27	842.36	848.22	1175.27	1001.93	497.0	1819.35	1963.57	2555.58
EEA1	318.57	255.0	134.3	117.6	246.28	343.89	109.66	173.85	152.28	329.84	120.94	172.65	190.34	121.79	108.9	127.89	149.12	122.64	193.01	151.22	262.2	329.84	204.07	130.6	145.02	108.14	208.38	237.86	318.57	279.14	353.59	218.79	387.02	389.72	392.44	269.6	743.43	150.17	368.65	303.44	473.41	379.04	332.14	72.01	71.0	281.09	432.53	43.63	111.21	32.82	41.52	87.03	120.94	48.87	44.89	144.01	77.25	46.18	148.09	84.63	53.95	96.68	48.87	56.28	78.34	50.98	123.5	43.02	51.71	102.97	109.66	39.5	17.38	66.65	52.45	54.33	69.03	85.82	47.5	95.34	76.17	54.33	67.59	67.12	78.34	46.5	55.1	56.28	59.97	64.8	63.89	50.27	70.01	68.55	48.87	173.85	105.15	91.41	51.71	185.11	115.16	41.22	37.05	128.79	53.57	39.22	85.22	40.36	46.5	94.01	76.17	55.1	68.55	53.57	43.02	79.45	87.65	110.43	63.0	100.13	70.01	63.89	88.26	74.58	63.45	81.14	44.89	72.01	38.12	62.56	72.01	34.26	68.07	50.63	51.35	58.71	18.43	60.82	293.07	269.6	269.6
EFCAB14	1388.16	2163.77	1819.35	1191.69	1757.34	1936.53	1037.29	1088.92	1498.22	1883.54	1583.71	1781.89	1883.54	1832.01	2119.22	1304.15	1457.23	1023.0	1709.26	1662.49	1199.98	2209.26	1745.2	1277.29	1896.65	1135.2	1662.49	1477.58	2627.46	2018.8	2255.7	1769.57	2178.83	2351.53	2485.67	1417.35	2875.3	1104.13	1950.0	1030.12	2935.74	2997.45	3443.31	444.72	483.38	2224.63	3467.27	389.72	414.87	221.86	336.79	392.44	708.18	466.88	483.38	438.59	218.79	289.02	476.71	521.76	343.89	332.14	432.53	251.48	208.38	242.88	547.75	420.68	358.54	759.08	743.43	325.29	316.37	429.54	361.04	353.59	473.41	633.73	346.29	684.02	583.07	293.07	476.71	332.14	607.87	514.56	358.54	575.03	497.0	860.08	1008.9	483.38	872.1	457.25	368.65	1208.34	1143.1	764.36	438.59	1127.35	775.05	293.07	420.68	854.13	480.04	392.44	928.3	507.46	403.5	738.29	603.67	669.92	848.22	518.15	262.2	500.46	698.41	595.34	368.65	791.35	532.74	780.44	684.02	444.72	842.36	718.08	329.84	343.89	305.55	403.5	555.41	353.59	567.1	363.56	713.11	454.09	490.14	332.14	2758.13	2997.45	2400.97
EPS15	587.13	733.19	743.43	432.53	733.19	860.08	476.71	555.41	612.11	713.11	563.18	961.07	802.41	591.22	708.18	595.34	620.67	518.15	684.02	684.02	591.22	669.92	830.75	612.11	743.43	507.46	878.17	470.14	848.22	595.34	1015.93	748.61	1001.93	1119.56	1242.34	769.69	1388.16	698.41	836.53	620.67	1044.52	1268.46	802.41	314.17	332.14	890.44	988.12	269.6	154.42	164.42	256.78	262.2	463.65	223.41	241.19	175.07	152.28	182.55	309.83	353.59	204.07	273.37	314.17	182.55	116.78	273.37	293.07	223.41	234.57	346.29	363.56	215.77	126.12	267.73	208.38	283.05	291.04	339.14	220.32	361.04	309.83	285.03	329.84	307.69	366.09	314.17	307.69	334.46	371.22	435.55	239.52	275.28	361.04	260.38	172.65	660.68	395.18	376.41	249.73	490.14	303.44	167.9	147.06	329.84	182.55	178.77	420.68	264.03	176.29	253.23	320.8	309.83	309.83	312.0	182.55	343.89	466.88	281.09	218.79	228.13	265.87	314.17	325.29	460.44	466.88	289.02	221.86	248.0	262.2	246.28	279.14	158.79	267.73	262.2	307.69	201.25	189.02	244.57	780.44	836.53	1135.2
ERCC8	98.04	145.02	228.13	143.01	146.03	162.14	115.97	162.14	146.03	186.4	121.79	176.29	165.57	128.79	138.1	125.24	103.69	108.9	117.6	142.01	157.68	136.19	149.12	118.43	134.3	189.02	137.14	171.45	156.59	176.29	223.41	173.85	199.85	241.19	208.38	171.45	389.72	115.16	244.57	201.25	111.21	406.31	229.72	44.57	74.58	262.2	224.97	152.28	100.83	49.56	72.52	59.55	119.26	115.16	40.93	84.63	107.38	49.56	98.73	61.68	37.59	53.95	66.65	49.21	96.68	63.0	70.51	77.79	55.89	64.34	71.0	43.94	45.85	72.52	52.82	56.68	48.87	74.58	58.3	80.57	53.19	47.84	48.87	43.63	58.3	103.69	73.03	76.71	92.7	79.45	53.19	80.57	90.14	50.63	33.54	102.97	77.79	64.8	42.71	70.51	44.57	41.22	29.7	68.55	46.18	59.13	63.45	72.01	40.36	63.45	60.39	67.12	65.26	60.39	96.01	59.13	90.77	61.68	52.82	64.34	40.07	49.56	90.14	82.29	88.26	57.08	65.26	63.45	57.89	55.1	53.95	41.22	63.0	40.36	80.57	24.11	77.25	63.0	205.5	193.01	118.43
EXOC5	612.11	753.83	629.35	454.09	896.64	748.61	318.57	624.99	603.67	915.51	518.15	642.59	603.67	525.39	698.41	403.5	423.61	376.41	642.59	540.19	583.07	1066.48	775.05	480.04	559.28	665.29	698.41	743.43	532.74	825.0	961.07	647.07	878.17	995.0	1037.29	660.68	2303.12	511.0	1001.93	525.39	571.05	878.17	1088.92	120.94	155.5	633.73	1417.35	153.34	204.07	135.24	133.36	138.1	237.86	223.41	142.01	195.72	152.28	95.34	260.38	134.3	157.68	157.68	151.22	90.14	170.25	130.6	199.85	102.25	100.83	244.57	271.48	105.15	51.35	120.1	151.22	142.01	165.57	229.72	146.03	283.05	267.73	142.01	204.07	144.01	253.23	295.11	122.64	262.2	229.72	239.52	217.27	260.38	285.03	197.09	135.24	406.31	348.71	312.0	201.25	457.25	277.2	217.27	85.82	281.09	145.02	126.12	301.33	136.19	141.02	180.02	253.23	265.87	165.57	197.09	145.02	212.78	285.03	400.71	94.01	295.11	162.14	309.83	318.57	176.29	255.0	303.44	137.14	146.03	147.06	90.14	182.55	123.5	204.07	71.5	244.57	150.17	218.79	88.26	909.17	591.22	555.41
FAM53C	334.46	480.04	476.71	289.02	356.05	529.06	327.56	454.09	334.46	353.59	334.46	353.59	293.07	521.76	409.15	607.87	384.34	314.17	271.48	334.46	232.94	307.69	249.73	316.37	629.35	356.05	438.59	214.27	432.53	629.35	656.11	490.14	890.44	559.28	748.61	656.11	563.18	603.67	423.61	376.41	669.92	738.29	733.19	151.22	125.24	273.37	265.87	312.0	454.09	122.64	146.03	191.67	271.48	165.57	149.12	218.79	289.02	169.07	293.07	275.28	215.77	198.47	166.73	249.73	346.29	148.09	234.57	154.42	87.03	150.17	199.85	138.1	114.36	115.97	215.77	105.15	147.06	161.02	90.77	148.09	234.57	97.36	147.06	169.07	173.85	198.47	129.69	95.34	116.78	173.85	120.94	114.36	217.27	218.79	108.9	120.1	145.02	130.6	162.14	172.65	147.06	130.6	135.24	104.42	223.41	173.85	122.64	224.97	154.42	206.94	145.02	167.9	110.43	155.5	82.87	138.1	138.1	260.38	156.59	127.89	88.26	128.79	166.73	173.85	127.89	158.79	122.64	133.36	148.09	90.77	142.01	126.12	142.01	248.0	143.01	244.57	277.2	101.54	287.01	242.88	480.04
FAM63B	237.86	195.72	139.07	107.38	218.79	305.55	127.0	136.19	180.02	224.97	103.69	244.57	229.72	115.16	129.69	151.22	148.09	130.6	237.86	249.73	151.22	234.57	297.17	152.28	206.94	126.12	187.71	194.36	141.02	224.97	353.59	190.34	406.31	287.01	260.38	175.07	595.34	253.23	334.46	71.0	303.44	320.8	258.57	39.79	45.53	171.45	780.44	25.35	58.71	39.79	29.27	36.27	75.64	16.63	28.86	48.52	36.27	23.08	69.03	59.13	26.1	34.02	35.25	43.94	62.56	16.27	51.71	27.44	31.9	50.98	55.1	32.59	7.34	35.5	35.76	33.06	38.12	53.19	30.12	84.04	50.63	35.76	48.52	80.01	50.98	24.63	43.94	59.55	23.76	36.53	28.86	25.35	34.02	85.82	7.75	41.81	31.9	42.71	16.75	46.84	48.52	40.93	12.09	31.67	56.68	22.1	41.52	10.71	16.63	44.25	16.39	25.54	22.59	30.56	34.51	161.02	26.86	177.53	39.79	30.12	48.18	22.75	28.24	74.06	23.93	61.68	27.64	41.52	27.25	26.67	29.7	15.0	34.51	48.18	19.25	26.28	131.51	52.45	265.87	151.22	232.94
