	TCGA.XF.A9SI.01A.11R.A39I.07	TCGA.C8.A8HR.01A.11R.A36F.07	TCGA.W5.AA39.01A.11R.A41I.07	TCGA.ZU.A8S4.11A.11R.A41I.07	TCGA.W5.AA30.11A.11R.A41I.07	TCGA.W5.AA2R.11A.11R.A41I.07	TCGA.IG.A5S3.01A.11R.A28J.31	TCGA.R6.A6KZ.01A.11R.A31P.31	TCGA.CV.7235.11A.01R.2016.07	TCGA.CJ.4881.01A.01R.1305.07	TCGA.2Y.A9GW.01A.11R.A38B.07	TCGA.G3.A5SK.01A.11R.A27V.07	TCGA.BC.A10X.01A.11R.A131.07	TCGA.G3.A5SM.01A.12R.A28V.07	TCGA.BC.A110.01A.11R.A131.07	TCGA.BD.A3ER.01A.11R.A213.07	TCGA.LG.A9QD.01A.11R.A38B.07	TCGA.DD.AAVX.01A.11R.A41C.07	TCGA.DD.A4NG.01A.11R.A27V.07	TCGA.BC.A10Y.01A.11R.A131.07	TCGA.BC.A217.01A.11R.A155.07	TCGA.G3.A7M9.01A.23R.A352.07	TCGA.ZS.A9CD.01A.11R.A37K.07	TCGA.2Y.A9H9.01A.21R.A39D.07	TCGA.CC.A7IF.01A.11R.A33J.07	TCGA.K7.A6G5.01A.11R.A311.07	TCGA.ZP.A9CY.01A.11R.A38B.07	TCGA.ZP.A9D1.01A.11R.A38B.07	TCGA.DD.A11C.01A.11R.A131.07	TCGA.2Y.A9GT.01A.11R.A38B.07	TCGA.DD.A11D.01A.11R.A131.07	TCGA.BD.A3EP.01A.11R.A22L.07	TCGA.ED.A459.01A.11R.A266.07	TCGA.G3.A25V.01A.11R.A16W.07	TCGA.DD.A4NB.01A.12R.A266.07	TCGA.DD.A4NN.01A.11R.A28V.07	TCGA.DD.A4NH.01A.11R.A27V.07	TCGA.EP.A2KA.01A.11R.A180.07	TCGA.ED.A627.01A.12R.A311.07	TCGA.FV.A3I1.01A.11R.A22L.07	TCGA.DD.A115.01A.11R.A131.07	TCGA.HP.A5MZ.01A.21R.A27V.07	TCGA.BC.A216.01A.11R.A155.07	TCGA.DD.AADK.01A.11R.A41C.07	TCGA.2Y.A9GV.01A.11R.A38B.07	TCGA.QA.A7B7.01A.11R.A32O.07	TCGA.G3.A25U.01A.11R.A16W.07	TCGA.PD.A5DF.01A.11R.A27V.07	TCGA.DD.A1EH.01A.11R.A131.07	TCGA.DD.A3A3.11A.11R.A22L.07	TCGA.DD.A39Z.11A.21R.A213.07	TCGA.DD.A119.11A.11R.A131.07	TCGA.DD.A1EG.11A.11R.A213.07	TCGA.BC.A10R.11A.11R.A131.07	TCGA.DD.A11C.11A.11R.A131.07	TCGA.DD.A1EC.11A.11R.A131.07	TCGA.DD.A3A5.11A.11R.A22L.07	TCGA.BC.A10Q.11A.11R.A131.07	TCGA.DD.A39X.11A.11R.A213.07	TCGA.ES.A2HT.11A.11R.A180.07	TCGA.DD.A3A4.11A.11R.A22L.07	TCGA.FV.A3I0.11A.11R.A22L.07	TCGA.BC.A110.11A.11R.A131.07	TCGA.DD.A1EJ.11A.11R.A155.07	TCGA.DD.A113.11A.12R.A131.07	TCGA.DD.A1EB.11A.11R.A131.07	TCGA.DD.A1EE.11A.11R.A131.07	TCGA.DD.A39V.11A.11R.A213.07	TCGA.DD.A11A.11A.11R.A131.07	TCGA.BC.A10X.11A.11R.A131.07	TCGA.DD.A39W.11A.11R.A213.07	TCGA.BC.A216.11A.11R.A155.07	TCGA.DD.A114.11A.12R.A131.07	GTEX.14A5I.1726.SM.5QGQ5	GTEX.WYVS.1926.SM.4PQZ2	GTEX.S32W.1926.SM.4AD63	GTEX.QDVN.0826.SM.48TZ2	GTEX.TKQ2.1726.SM.4DXUP	GTEX.ZVP2.0626.SM.51MSO	GTEX.RM2N.1926.SM.48FCU	GTEX.ZTPG.1426.SM.51MT3	GTEX.Y5V5.0926.SM.4VBPZ	GTEX.PX3G.0826.SM.48TZS	GTEX.U3ZN.0226.SM.3DB8D	GTEX.Z9EW.0426.SM.5CVM9	GTEX.OOBJ.0826.SM.3NB2K	GTEX.13FTW.1126.SM.5J2NV	GTEX.ZPU1.0826.SM.57WG2	GTEX.13113.1326.SM.5GCOI	GTEX.WQUQ.1926.SM.4OOSA	GTEX.ZF2S.3026.SM.4WWCH	GTEX.144GM.1326.SM.5LU5E	GTEX.139TS.1426.SM.5IFJD	GTEX.1269C.0626.SM.5FQSS	GTEX.139YR.0226.SM.5IFEM	GTEX.146FH.1526.SM.5NQBU	GTEX.YEC4.0826.SM.5P9FV	GTEX.P78B.1326.SM.3P611	GTEX.QV44.0326.SM.4R1KD	GTEX.11EQ9.0526.SM.5A5JZ	GTEX.RU72.1426.SM.46MUF	GTEX.ZZPU.0426.SM.5GZYH	GTEX.13N2G.0926.SM.5IFGJ	GTEX.12WSG.0626.SM.5FQTQ	GTEX.X3Y1.2726.SM.4PQZH	GTEX.12WSL.0226.SM.5CVMJ	GTEX.12696.0826.SM.5EGGE	GTEX.ZF29.2026.SM.4WWB7	GTEX.131XE.0326.SM.5LZVO	GTEX.145MO.2326.SM.5NQ9K	GTEX.14E1K.0326.SM.5S2PE	GTEX.14DAQ.1726.SM.5S2R2	GTEX.13NZB.0626.SM.5IFH6	GTEX.1497J.0726.SM.5Q5D1	GTEX.11DXZ.0126.SM.5EGGY	GTEX.12KS4.1326.SM.5LUB3	GTEX.13PVR.0126.SM.5S2PY	GTEX.Q734.0326.SM.48U15	GTEX.132NY.0926.SM.5P9G3	GTEX.14753.1626.SM.5NQ9L	GTEX.WFON.1726.SM.4LVMQ	GTEX.UPK5.1426.SM.4JBHH	GTEX.S4Z8.0526.SM.4AD4T	GTEX.VUSG.0126.SM.4KL1X	GTEX.14C38.1526.SM.5RQJ7	GTEX.R53T.0326.SM.48FEC	TCGA.93.A4JQ.01A.11R.A24X.07	TCGA.J2.A4AD.01A.11R.A24H.07	TCGA.93.A4JN.01A.11R.A24X.07	TCGA.63.A5MW.01A.11R.A26W.07	TCGA.52.7809.01A.21R.2125.07	TCGA.HC.7817.01B.11R.A29R.07	GTEX.V1D1.1926.SM.4JBGX	GTEX.NFK9.2226.SM.3MJGP	TCGA.VQ.A8E2.01A.11R.A36D.31	TCGA.A5.A1OH.01A.21R.A22K.07	TCGA.FL.A1YU.11A.11R.A32Y.07	TCGA.N5.A59F.01A.11R.A28V.07	TCGA.N8.A56S.01A.11R.A28V.07
DLGAP5	183.82	154.42	69.52	4.03	3.44	0.99	133.36	102.25	44.25	44.25	54.72	10.88	15.11	57.08	0.92	23.08	4.94	9.85	36.79	105.89	127.89	441.64	7.75	24.81	68.55	21.47	22.1	22.75	71.0	29.48	18.16	57.08	62.12	15.68	21.01	127.89	85.82	78.34	20.86	87.65	94.01	30.34	229.72	33.78	18.16	295.11	76.17	133.36	142.01	2.78	4.46	3.23	2.97	6.01	0.0	3.32	2.86	9.13	1.51	17.0	3.44	1.99	0.88	5.82	0.51	4.7	6.46	2.1	4.98	3.66	2.46	23.25	26.47	3.29	25.17	1.55	3.72	8.38	3.79	14.67	4.35	3.86	12.45	2.61	3.29	10.08	10.31	4.13	1.73	0.0	18.03	1.93	0.0	6.67	13.32	2.18	2.51	48.52	20.41	29.7	3.32	11.3	4.66	2.41	3.5	1.91	3.32	0.73	4.24	1.91	0.0	4.21	0.0	5.63	15.56	48.87	5.96	15.91	1.25	2.73	0.77	6.73	3.0	0.75	2.27	5.73	309.83	205.5	291.04	297.17	423.61	45.85	2.36	1.43	540.19	718.08	218.79	232.94	189.02
DMWD	400.71	620.67	325.29	204.07	155.5	189.02	2148.82	1233.75	435.55	417.77	277.2	221.86	194.36	343.89	312.0	209.84	167.9	197.09	217.27	175.07	287.01	587.13	366.09	277.2	197.09	202.66	186.4	358.54	341.51	273.37	258.57	366.09	239.52	218.79	371.22	353.59	260.38	297.17	299.25	323.03	497.0	260.38	406.31	236.21	223.41	323.03	287.01	318.57	194.36	231.32	139.07	205.5	195.72	167.9	165.57	194.36	170.25	178.77	170.25	182.55	234.57	128.79	175.07	138.1	175.07	143.01	223.41	193.01	201.25	167.9	147.06	173.85	175.07	108.9	320.8	312.0	363.56	204.07	183.82	121.79	237.86	141.02	95.34	110.43	205.5	201.25	201.25	182.55	183.82	183.82	173.85	212.78	162.14	131.51	251.48	293.07	195.72	201.25	126.12	231.32	189.02	177.53	251.48	353.59	246.28	155.5	183.82	208.38	323.03	128.79	183.82	171.45	255.0	373.81	293.07	262.2	153.34	309.83	128.79	122.64	229.72	217.27	191.67	189.02	329.84	164.42	536.45	353.59	470.14	679.29	708.18	426.57	376.41	563.18	1529.73	1119.56	616.37	642.59	1457.23
DONSON	493.56	470.14	217.27	220.32	231.32	202.66	796.86	854.13	130.6	334.46	346.29	255.0	248.0	414.87	134.3	305.55	343.89	262.2	303.44	599.49	633.73	638.15	363.56	384.34	909.17	314.17	305.55	205.5	693.58	384.34	187.71	299.25	1001.93	295.11	312.0	813.63	878.17	450.94	303.44	441.64	480.04	353.59	480.04	571.05	409.15	1304.15	819.3	780.44	878.17	146.03	206.94	220.32	167.9	189.02	218.79	151.22	208.38	137.14	136.19	323.03	172.65	183.82	197.09	199.85	204.07	167.9	194.36	187.71	190.34	217.27	189.02	181.28	373.81	273.37	206.94	201.25	88.88	129.69	164.42	166.73	208.38	177.53	146.03	163.28	241.19	142.01	251.48	106.63	167.9	146.03	105.89	177.53	212.78	239.52	214.27	291.04	89.51	312.0	117.6	136.19	279.14	109.66	303.44	134.3	90.14	177.53	190.34	74.06	384.34	167.9	177.53	119.26	376.41	133.36	109.66	249.73	154.42	353.59	166.73	128.79	101.54	246.28	152.28	178.77	406.31	332.14	406.31	808.0	981.29	567.1	674.59	253.23	88.88	137.14	480.04	435.55	543.96	571.05	341.51
E2F1	660.68	351.14	738.29	13.32	9.56	6.11	403.5	420.68	86.43	164.42	99.43	32.82	21.01	262.2	20.56	60.82	22.75	70.51	309.83	1259.69	813.63	638.15	111.21	279.14	928.3	126.12	90.14	214.27	1369.04	269.6	40.93	121.79	395.18	63.0	53.57	624.99	860.08	220.32	70.51	155.5	435.55	101.54	1037.29	316.37	36.53	1051.79	748.61	638.15	185.11	10.31	17.9	10.24	13.83	12.27	37.32	11.13	4.86	10.71	13.93	88.26	11.04	4.5	2.56	14.03	10.31	9.48	9.63	15.68	8.06	8.19	5.59	19.39	140.04	4.1	41.52	15.22	13.32	38.95	66.18	11.91	8.38	4.13	44.57	4.35	6.78	7.63	147.06	7.34	10.08	8.51	21.94	22.43	14.45	8.71	21.01	5.41	7.17	141.02	15.91	35.76	4.13	106.63	7.75	12.45	11.13	18.16	12.18	64.8	3.63	2.84	3.35	9.27	6.78	48.87	29.91	135.24	5.45	25.72	6.21	5.02	12.0	16.51	23.59	12.55	2.94	12.93	318.57	490.14	1388.16	420.68	660.68	97.36	65.72	34.26	679.29	974.5	295.11	842.36	305.55
E2F2	72.01	55.49	52.82	2.12	1.45	1.27	113.56	68.07	21.94	20.41	18.03	1.87	2.89	14.03	2.76	6.31	2.73	3.59	3.79	78.34	59.13	52.08	6.46	14.89	31.9	8.99	7.57	10.0	18.43	20.41	6.01	15.11	16.15	5.06	3.63	15.8	22.26	30.78	6.94	29.48	29.06	10.0	96.68	15.45	3.56	83.45	37.32	23.93	7.22	0.67	2.05	1.38	3.56	0.71	3.06	3.32	1.23	3.06	1.3	6.01	3.2	0.71	0.0	1.81	1.31	1.22	2.01	0.74	5.19	0.74	0.71	6.84	13.62	3.23	9.27	8.19	1.87	6.67	3.41	1.77	3.69	0.66	9.13	2.68	0.84	1.39	14.56	1.07	0.32	0.35	9.41	6.89	0.93	1.03	8.32	0.61	0.77	21.63	7.4	6.01	1.3	6.26	2.46	0.79	0.92	0.75	0.66	2.39	4.74	1.83	0.41	0.0	0.03	4.78	6.94	13.93	0.05	5.5	3.0	0.47	1.13	4.82	1.07	2.53	5.5	5.02	42.41	68.55	197.09	82.29	287.01	11.13	6.46	0.95	137.14	53.19	67.59	123.5	55.89
E2F8	72.52	78.34	47.84	1.31	2.56	0.6	144.01	239.52	13.62	23.93	19.39	2.78	6.78	40.93	1.57	8.38	3.0	3.35	29.06	122.64	82.29	111.21	6.89	30.56	67.59	5.96	15.56	21.78	132.44	26.67	10.71	34.02	57.89	7.94	16.88	126.12	46.5	36.53	7.0	42.11	52.82	21.01	119.26	27.05	6.06	211.31	96.01	34.51	56.28	1.07	1.89	0.65	3.32	1.71	1.73	1.89	0.58	1.73	0.61	14.89	0.47	0.0	0.55	2.73	1.75	1.1	3.03	0.64	2.48	4.62	0.6	11.55	19.11	2.92	10.16	1.89	0.62	3.76	9.06	2.78	3.63	0.27	5.63	2.12	0.34	1.93	29.06	1.55	0.0	6.84	3.53	2.43	0.25	1.08	1.06	0.25	0.74	36.01	5.32	12.55	0.0	14.35	13.62	1.2	2.32	1.57	0.27	1.1	0.0	0.73	0.0	10.31	0.28	4.24	7.46	20.41	0.0	5.5	0.27	0.0	1.17	7.88	3.59	0.73	1.03	4.7	94.67	124.37	239.52	371.22	273.37	8.19	21.78	2.03	480.04	59.97	89.51	52.82	37.59
ECT2	780.44	429.54	361.04	27.44	26.86	27.64	503.95	547.75	180.02	181.28	75.11	36.53	73.54	103.69	57.49	87.03	35.5	65.26	195.72	285.03	348.71	651.58	32.36	82.29	115.16	54.72	75.64	103.69	199.85	78.89	62.12	152.28	242.88	72.01	143.01	195.72	547.75	529.06	107.38	143.01	206.94	89.51	759.08	102.25	90.77	420.68	248.0	379.04	281.09	27.44	33.54	27.64	38.67	17.0	29.7	16.88	9.27	37.05	21.63	55.1	15.68	15.68	32.13	32.59	21.94	22.92	23.59	25.35	44.57	31.45	16.27	136.19	66.18	35.5	72.01	33.78	44.89	50.98	43.32	45.85	73.03	19.11	16.63	30.34	40.07	53.19	80.01	64.34	14.24	22.26	36.53	102.25	15.0	25.54	95.34	57.49	13.22	96.68	25.35	59.55	19.11	34.51	53.95	43.94	18.29	44.89	26.67	20.26	47.5	26.28	14.24	11.04	37.05	69.03	27.25	92.05	10.71	37.05	15.8	11.04	40.93	40.64	44.89	88.88	36.01	21.32	753.83	454.09	400.71	759.08	1331.57	260.38	39.5	110.43	1111.82	780.44	312.0	444.72	483.38
ERCC6L	57.08	49.21	15.11	1.43	3.26	0.0	70.01	141.02	6.67	9.06	12.55	2.66	2.56	12.09	1.93	3.47	1.91	1.35	9.41	32.82	34.02	65.26	2.51	4.58	26.47	4.39	6.16	5.54	28.65	8.92	3.32	7.22	50.27	1.33	4.82	21.16	14.14	12.09	2.2	17.25	16.27	4.82	35.5	15.68	3.79	53.57	17.13	11.55	19.68	1.19	2.01	0.0	0.72	0.73	1.3	1.39	0.0	1.3	1.28	5.19	0.59	0.0	0.0	1.25	1.87	0.69	1.95	1.33	1.39	1.33	0.0	3.35	4.74	1.3	4.62	1.81	0.8	2.14	2.81	0.13	1.45	1.79	2.53	3.47	1.2	0.12	5.87	1.48	0.0	0.09	2.34	0.0	0.41	1.39	0.47	2.12	1.07	16.15	1.19	4.35	3.89	3.32	1.48	1.36	0.78	0.15	1.3	0.11	0.05	1.04	1.08	2.63	0.53	3.17	3.82	12.45	0.16	1.91	0.48	0.0	0.0	0.52	1.0	0.15	0.07	2.66	34.02	36.79	35.0	32.59	5.59	16.39	8.71	6.41	96.68	85.82	39.5	62.56	99.43
EXD3	183.82	343.89	258.57	153.34	195.72	175.07	279.14	281.09	198.47	193.01	299.25	123.5	181.28	249.73	246.28	260.38	127.89	172.65	140.04	334.46	267.73	246.28	281.09	223.41	325.29	226.54	211.31	277.2	120.94	325.29	195.72	211.31	161.02	198.47	223.41	239.52	351.14	343.89	262.2	100.13	406.31	312.0	277.2	197.09	156.59	287.01	490.14	164.42	176.29	151.22	152.28	120.94	175.07	122.64	172.65	149.12	147.06	121.79	117.6	154.42	142.01	139.07	169.07	120.94	180.02	116.78	187.71	139.07	76.71	153.34	158.79	116.78	136.19	144.01	204.07	106.63	105.15	90.77	150.17	83.45	150.17	140.04	153.34	69.03	55.1	149.12	96.01	74.06	132.44	85.82	128.79	54.33	187.71	173.85	108.9	81.14	67.12	139.07	149.12	183.82	152.28	113.56	157.68	97.36	89.51	53.57	122.64	72.52	83.45	113.56	155.5	198.47	144.01	220.32	199.85	166.73	106.63	183.82	96.01	147.06	132.44	134.3	76.17	103.69	141.02	120.1	327.56	379.04	305.55	170.25	260.38	323.03	346.29	412.0	325.29	334.46	529.06	271.48	325.29
EXO1	199.85	186.4	105.15	3.63	3.03	3.14	616.37	651.58	35.0	40.36	57.49	3.99	8.19	69.52	11.47	44.89	9.06	6.94	46.18	234.57	205.5	444.72	11.64	45.85	90.14	27.44	17.51	29.91	70.01	26.28	7.34	33.54	63.89	11.73	14.56	186.4	118.43	82.29	10.08	87.03	59.97	42.11	248.0	106.63	4.28	420.68	55.89	104.42	98.04	5.41	5.32	3.99	3.14	4.24	3.79	2.34	1.5	16.27	3.2	27.64	1.2	4.21	0.46	12.0	4.9	2.48	8.65	6.16	10.63	6.67	0.0	10.63	31.9	0.0	27.05	9.13	2.71	17.13	10.96	5.23	5.82	2.39	13.93	10.63	0.69	12.64	40.64	2.07	6.01	0.0	14.03	3.08	1.46	6.31	5.36	5.87	6.73	33.3	5.73	20.11	0.6	30.12	4.31	5.63	13.42	3.53	0.6	7.22	4.35	2.61	11.64	0.0	3.82	11.55	26.86	31.9	4.94	6.36	1.55	6.31	13.22	6.78	6.52	8.85	3.2	12.0	129.69	126.12	151.22	129.69	579.04	37.05	3.29	7.63	206.94	244.57	138.1	199.85	142.01
EZH2	595.34	283.05	275.28	29.7	31.9	21.47	728.11	559.28	84.04	78.34	169.07	41.22	51.71	166.73	50.98	88.88	50.63	105.89	190.34	356.05	206.94	490.14	53.19	239.52	351.14	71.5	105.15	149.12	170.25	173.85	105.15	140.04	384.34	104.42	74.58	346.29	438.59	271.48	94.67	265.87	183.82	96.68	423.61	130.6	78.34	217.27	299.25	172.65	273.37	29.06	29.06	28.86	38.67	35.76	44.57	32.36	20.11	40.07	16.63	76.71	37.05	34.75	33.06	43.32	21.63	22.43	41.81	19.39	33.06	26.67	9.06	43.02	98.73	31.0	67.59	48.18	28.24	39.22	26.86	44.89	35.76	18.97	30.34	53.19	30.34	21.01	91.41	47.5	29.27	63.45	31.9	76.71	7.11	81.71	24.99	63.45	33.3	173.85	18.56	49.56	21.47	48.52	35.25	55.1	15.56	42.71	54.33	39.5	81.14	19.53	21.63	12.45	57.08	34.02	36.01	141.02	24.81	40.36	36.53	6.67	12.45	28.24	23.59	44.57	59.55	14.24	295.11	229.72	928.3	356.05	493.56	71.5	50.98	30.34	713.11	285.03	309.83	336.79	532.74
FAM192A	1457.23	1977.24	2287.2	866.07	1073.91	748.61	2061.24	2351.53	1378.57	2119.22	1259.69	1233.75	1073.91	1819.35	995.0	1286.18	1313.23	1250.98	1447.15	1923.14	2895.31	2090.03	1259.69	1709.26	802.41	1127.35	1369.04	1359.57	1844.76	1447.15	1242.34	1417.35	1015.93	1199.98	1498.22	1250.98	1551.09	1233.75	1313.23	1331.57	1745.2	1350.18	1225.22	909.17	1331.57	1143.1	791.35	1628.26	830.75	1119.56	769.69	878.17	808.0	688.78	825.0	1044.52	703.28	796.86	860.08	1216.75	1051.79	718.08	791.35	1096.5	669.92	928.3	1051.79	1001.93	909.17	1023.0	896.64	1135.2	1225.22	1350.18	890.44	1286.18	1111.82	525.39	1313.23	665.29	1268.46	669.92	759.08	1059.11	525.39	1001.93	884.29	543.96	1242.34	1015.93	536.45	638.15	1066.48	1417.35	1015.93	1286.18	921.88	896.64	884.29	1037.29	1233.75	753.83	1175.27	1498.22	620.67	848.22	1037.29	638.15	1081.39	915.51	616.37	902.89	1388.16	1233.75	808.0	1331.57	703.28	961.07	909.17	507.46	624.99	981.29	819.3	775.05	1208.34	733.19	1674.06	3564.78	2209.26	2434.5	2061.24	1540.37	1832.01	2148.82	1487.87	1963.57	2271.4	2224.63	2319.15
FAM57B	11.91	7.28	34.02	0.0	2.94	0.0	15.56	24.99	0.0	14.67	3.5	1.51	1.46	0.82	0.0	1.95	0.84	0.0	14.03	42.11	40.64	19.39	1.66	5.68	60.82	2.66	5.87	0.0	11.38	4.9	6.94	1.77	2.07	0.82	0.0	15.56	4.62	11.82	0.0	3.0	8.45	2.41	41.81	6.78	2.89	11.38	19.53	7.57	1.25	0.0	0.0	0.0	2.01	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.05	0.0	0.0	0.0	0.84	0.0	0.0	0.0	1.55	0.0	0.0	0.0	0.79	0.21	0.33	1.07	0.0	4.06	1.31	3.14	0.0	0.0	0.0	0.0	0.0	0.0	3.29	0.58	0.0	0.23	0.06	0.0	0.0	0.83	1.38	0.18	1.58	10.39	3.2	3.5	1.06	4.43	2.46	0.0	5.54	0.0	0.22	0.0	1.0	0.0	0.33	0.3	0.56	1.08	0.77	5.73	0.01	0.55	0.0	0.0	0.0	0.0	0.0	0.6	0.0	2.16	7.11	10.08	28.24	68.55	48.52	1.85	2.84	2.73	96.68	33.78	15.11	8.13	46.5
FANCB	67.59	27.05	7.17	0.71	0.71	0.62	33.3	110.43	5.96	10.79	9.06	7.57	4.7	10.96	2.56	3.53	0.6	4.28	2.56	13.93	53.95	29.48	11.91	9.2	11.91	3.47	3.14	3.69	11.47	1.68	0.0	5.73	15.91	4.74	6.16	11.91	18.97	6.41	14.89	5.28	11.73	8.45	39.22	9.27	3.35	19.25	18.43	16.03	4.31	0.0	1.3	0.67	3.82	0.62	0.64	1.28	0.0	0.64	0.62	4.7	0.49	0.0	2.94	1.68	2.32	1.62	3.0	1.23	4.24	2.36	0.61	2.63	5.23	0.95	1.55	1.48	0.91	3.82	1.58	0.62	3.66	0.17	4.06	2.53	0.25	0.61	7.28	0.62	0.0	0.0	6.01	0.0	0.54	0.19	0.0	0.91	4.24	2.1	1.17	1.48	0.0	2.89	0.21	8.19	1.77	0.64	8.78	6.16	1.3	0.0	0.0	5.11	0.2	1.14	5.28	12.45	1.08	1.01	0.19	0.26	0.22	0.0	2.34	0.21	3.35	3.63	29.91	26.67	20.11	122.64	128.79	4.7	10.79	28.86	70.51	74.06	21.78	149.12	85.82
FANCG	819.3	441.64	389.72	133.36	185.11	105.89	866.07	1081.39	251.48	450.94	231.32	85.82	120.1	234.57	120.1	221.86	111.21	157.68	206.94	684.02	921.88	1044.52	142.01	265.87	348.71	167.9	237.86	228.13	281.09	244.57	108.14	244.57	267.73	155.5	159.9	500.46	660.68	1216.75	212.78	193.01	429.54	180.02	463.65	208.38	181.28	669.92	379.04	325.29	373.81	72.01	123.5	67.12	102.97	64.8	173.85	99.43	82.29	39.5	128.79	145.02	98.73	80.01	71.0	74.06	94.01	54.33	118.43	142.01	103.69	78.34	88.26	82.87	258.57	159.9	137.14	119.26	75.64	153.34	103.69	65.26	153.34	92.7	97.36	52.08	77.25	59.55	91.41	47.17	156.59	55.89	122.64	134.3	62.56	78.34	187.71	105.89	34.75	170.25	58.71	58.3	193.01	104.42	224.97	150.17	94.01	76.17	100.13	40.07	194.36	113.56	34.51	61.25	307.69	79.45	158.79	185.11	45.85	193.01	127.0	41.22	44.57	85.22	58.3	229.72	102.97	90.14	532.74	476.71	836.53	647.07	1119.56	255.0	392.44	297.17	555.41	684.02	896.64	825.0	764.36
FANCI	693.58	476.71	189.02	21.32	24.28	22.75	1286.18	759.08	167.9	105.89	85.22	23.08	43.02	84.63	18.56	34.75	26.47	34.02	132.44	423.61	684.02	373.81	29.27	127.0	199.85	50.98	57.89	66.18	155.5	66.18	37.32	88.88	163.28	54.33	71.0	185.11	199.85	132.44	64.34	165.57	127.0	54.72	236.21	60.39	50.98	463.65	260.38	154.42	191.67	20.86	26.1	18.43	22.43	29.27	25.17	24.28	8.06	35.0	18.97	55.89	24.81	11.13	21.94	17.77	13.22	26.86	38.4	21.32	17.77	16.27	9.41	74.06	73.03	13.32	63.45	29.06	22.59	48.87	45.21	55.1	50.98	8.65	26.47	29.27	17.38	10.96	127.0	23.08	22.26	14.14	32.59	48.87	8.99	13.32	25.17	19.82	7.4	127.89	30.12	56.28	4.31	62.12	18.43	35.5	25.91	28.86	51.71	50.27	7.94	12.93	18.7	18.16	18.16	42.11	56.68	116.78	13.62	91.41	10.16	8.32	31.9	15.68	33.54	19.11	17.64	25.91	283.05	293.07	521.76	483.38	1508.65	113.56	115.16	205.5	669.92	633.73	384.34	909.17	503.95
FBXL7	72.52	669.92	22.92	21.47	49.56	19.68	412.0	135.24	71.5	221.86	33.3	15.8	60.82	41.52	63.45	61.25	24.81	24.81	35.0	60.39	47.5	180.02	26.1	32.82	20.11	14.56	33.3	48.87	64.34	26.28	81.14	62.56	18.03	29.48	143.01	24.28	56.28	11.55	84.63	33.06	153.34	64.8	69.03	84.63	27.44	73.54	18.29	51.35	46.84	34.75	13.72	20.26	18.7	23.25	23.25	35.5	5.96	21.01	7.88	17.64	28.65	13.83	21.16	20.86	18.84	16.88	21.94	19.25	23.93	29.91	17.13	27.05	27.84	5.32	140.04	49.21	35.5	34.51	31.9	55.89	33.54	7.34	35.5	64.8	20.11	24.11	26.67	15.45	8.13	10.16	30.78	23.93	7.94	26.28	17.9	68.55	10.96	14.14	28.86	33.3	15.11	25.35	25.17	81.71	22.75	42.71	15.68	20.11	69.52	15.34	6.41	26.1	21.01	37.05	69.03	81.71	13.52	50.98	8.65	8.38	32.36	53.19	26.1	20.11	31.22	12.18	112.77	53.95	80.01	575.03	305.55	133.36	101.54	120.1	202.66	309.83	392.44	135.24	182.55
GINS1	289.02	215.77	77.79	7.51	7.51	8.06	1369.04	301.33	59.97	57.08	65.26	9.63	33.78	65.26	11.73	22.75	5.28	12.55	49.21	242.88	212.78	406.31	18.03	42.11	96.01	27.44	35.5	24.28	125.24	52.45	13.93	54.33	146.03	34.51	21.94	237.86	193.01	62.56	27.25	96.01	113.56	31.0	159.9	56.68	28.65	301.33	127.0	115.97	88.26	4.66	10.24	11.55	9.13	7.63	12.0	10.71	2.73	12.93	6.62	27.44	6.67	4.43	4.46	13.03	7.88	11.13	10.47	5.82	6.67	13.93	7.0	20.86	65.72	3.17	29.48	11.91	5.19	15.0	14.14	6.89	6.31	11.13	28.86	8.58	3.44	6.26	57.08	4.94	4.86	5.06	14.14	7.63	3.08	8.58	8.78	14.78	3.66	38.12	9.93	28.65	3.63	41.22	11.47	17.9	5.96	12.93	13.52	29.91	2.68	3.59	4.7	6.06	9.78	19.68	31.9	63.0	9.27	15.34	7.46	1.48	4.66	6.67	17.51	6.52	4.94	8.32	129.69	152.28	555.41	224.97	409.15	42.71	43.32	16.63	473.41	624.99	162.14	387.02	180.02
