	TCGA.G4.6321.01A.11R.1723.07	TCGA.AA.3663.11A.01R.1723.07	TCGA.AZ.6605.11A.01R.1839.07	TCGA.A6.2684.11A.01R.A32Z.07	GTEX.13111.0726.SM.5DUVE	GTEX.131XE.0826.SM.5HL9W	GTEX.11P7K.1526.SM.5EGI7	GTEX.WFON.1426.SM.4LVMT	GTEX.1399R.2226.SM.5P9JB	GTEX.PLZ5.1126.SM.3P613	GTEX.139TS.1926.SM.5IJFO	GTEX.QLQW.0426.SM.447A7	GTEX.S7SF.1926.SM.4AT5B	GTEX.131YS.2926.SM.5EGKI	GTEX.S4P3.1226.SM.4AD4Y	GTEX.ZP4G.1726.SM.4WWCM	GTEX.P4QT.1426.SM.3NMCX	GTEX.1399U.1926.SM.5IFH7	GTEX.Q734.1126.SM.48TZY	GTEX.111VG.2226.SM.5N9DU	GTEX.11P82.1026.SM.5BC5J	GTEX.Y9LG.1526.SM.4WWDR	GTEX.Q2AI.0926.SM.48U1F	GTEX.145MO.2626.SM.5QGPD	GTEX.PWN1.1426.SM.48TDF	GTEX.146FQ.1926.SM.5NQBY	GTEX.Z93S.2426.SM.5HL8N	GTEX.WQUQ.2526.SM.4MVNO	GTEX.R55G.1226.SM.48FDC	GTEX.XYKS.2226.SM.4E3IU	GTEX.14E6E.1526.SM.5RQIG	GTEX.YB5E.1626.SM.5IFIQ	GTEX.X15G.1326.SM.4PQZJ	GTEX.X3Y1.1726.SM.4PQZL	GTEX.S3XE.1126.SM.4AD4N	GTEX.11DXX.1826.SM.5H126	GTEX.XGQ4.1226.SM.4AT67	GTEX.XUJ4.2026.SM.4BOOW	GTEX.PLZ6.0926.SM.3P5ZQ	GTEX.145MN.1726.SM.5SIA6	GTEX.TML8.1326.SM.4DXTO	GTEX.SNOS.1226.SM.4DM5H	GTEX.111CU.1426.SM.5GZYP	GTEX.ZYWO.1626.SM.5E44H	GTEX.ZF2S.1926.SM.4WWAN	GTEX.SE5C.1526.SM.4BRWU	GTEX.1399S.1926.SM.5J2M5	GTEX.ZPCL.1826.SM.57WF1	GTEX.13D11.0826.SM.5KLZJ	GTEX.SNMC.1126.SM.4DM5M	GTEX.XBEW.1926.SM.4SOJO	GTEX.UPIC.1726.SM.4IHKG	GTEX.XQ8I.2126.SM.4BOOM	GTEX.145LT.0926.SM.5LU9C	GTEX.P4PP.1426.SM.3NM9L	GTEX.12BJ1.2126.SM.5BC5O	GTEX.UJHI.1126.SM.4IHLN	GTEX.Y5LM.1526.SM.4VDTA	GTEX.13O21.2426.SM.5MR4A	GTEX.13FHP.2426.SM.5KLZ5	GTEX.R55D.1826.SM.48FEF	GTEX.PWCY.1026.SM.48TD4	GTEX.1122O.1526.SM.5N9CL	GTEX.W5WG.2426.SM.4LMI6	GTEX.Y8E4.2426.SM.4WWDN	GTEX.ZPIC.2226.SM.57WDX	GTEX.U3ZN.2126.SM.4DXU1	GTEX.XBED.1526.SM.4AT5W	GTEX.S4UY.0826.SM.4AD4Z	GTEX.ZZ64.0726.SM.5GZX4	GTEX.131XG.1826.SM.5LZV4	GTEX.XPVG.1826.SM.4B64X	GTEX.VJYA.2026.SM.4KL1K	GTEX.XUZC.1326.SM.4BRV2	GTEX.11I78.1226.SM.5A5K6	GTEX.TKQ2.1326.SM.4DXT9	GTEX.WOFM.2026.SM.4OOSQ	GTEX.RM2N.0926.SM.48FD1	GTEX.T5JW.1126.SM.4DM5V	GTEX.11NSD.1626.SM.5986U	GTEX.ZGAY.2126.SM.4YCFB	GTEX.14DAR.1526.SM.5RQIX	GTEX.U3ZM.1126.SM.4DXUB	GTEX.ZTSS.1126.SM.5985O	GTEX.Y3IK.1826.SM.4WWDS	GTEX.PX3G.1426.SM.48U1J	GTEX.P78B.1726.SM.3P5ZV	GTEX.QEL4.1926.SM.4R1JI	GTEX.XUW1.1926.SM.4BOP1	GTEX.ZAB4.2226.SM.5HL97	GTEX.Q2AH.1226.SM.48TZL	GTEX.13VXT.2426.SM.5LU46	GTEX.ZLV1.1226.SM.4WWBX	GTEX.ZT9W.1826.SM.51MQX	GTEX.11DYG.1926.SM.5H12I	TCGA.AG.3732.11A.01R.1660.07
GLT8D2	34.75	289.02	665.29	118.43	115.97	185.11	138.1	100.83	59.13	83.45	172.65	159.9	132.44	780.44	125.24	145.02	121.79	50.63	205.5	836.53	73.54	107.38	71.0	624.99	73.54	154.42	808.0	275.28	61.68	102.97	32.36	66.18	56.28	164.42	260.38	52.45	234.57	72.52	149.12	74.06	74.58	95.34	65.26	115.97	111.21	236.21	44.25	96.68	111.99	303.44	148.09	152.28	198.47	64.8	204.07	69.03	72.01	80.01	45.85	669.92	60.82	135.24	48.18	73.03	249.73	55.89	73.03	95.34	153.34	191.67	59.55	64.8	220.32	48.52	37.59	198.47	79.45	57.49	66.18	191.67	212.78	59.55	159.9	104.42	139.07	318.57	426.57	204.07	164.42	555.41	73.03	285.03	75.64	42.71	587.13	669.92
GPALPP1	164.42	241.19	281.09	249.73	143.01	237.86	212.78	140.04	112.77	171.45	249.73	123.5	185.11	299.25	177.53	209.84	177.53	119.26	166.73	275.28	156.59	190.34	117.6	379.04	194.36	178.77	299.25	314.17	146.03	217.27	120.94	162.14	161.02	226.54	267.73	131.51	212.78	150.17	217.27	178.77	146.03	142.01	118.43	146.03	193.01	217.27	113.56	204.07	137.14	275.28	211.31	253.23	218.79	204.07	202.66	181.28	121.79	113.56	201.25	420.68	140.04	132.44	144.01	124.37	307.69	170.25	180.02	140.04	147.06	262.2	87.65	166.73	271.48	109.66	182.55	224.97	156.59	183.82	108.9	285.03	260.38	208.38	242.88	199.85	226.54	281.09	348.71	277.2	241.19	255.0	147.06	376.41	189.02	96.68	384.34	348.71
GPM6B	16.03	400.71	1407.55	44.25	57.89	98.73	97.36	54.33	30.34	54.33	67.59	52.45	85.82	656.11	121.79	144.01	100.13	23.76	94.67	947.83	84.63	67.12	68.55	674.59	87.03	104.42	723.08	163.28	98.04	120.94	17.25	58.3	138.1	153.34	307.69	56.68	158.79	44.89	114.36	61.68	38.67	79.45	46.5	77.25	67.59	269.6	43.32	135.24	60.82	172.65	154.42	65.72	142.01	84.04	109.66	45.53	35.0	47.5	61.68	848.22	76.17	127.89	59.13	75.11	202.66	56.28	45.21	49.91	101.54	202.66	49.56	37.85	126.12	45.21	67.12	115.97	25.35	69.52	38.67	190.34	273.37	49.56	142.01	99.43	151.22	178.77	231.32	189.02	186.4	521.76	33.06	271.48	52.45	33.06	1104.13	2758.13
GPR17	7.06	85.82	406.31	20.71	23.08	33.54	34.26	7.82	1.85	6.46	71.0	36.01	32.36	351.14	29.27	84.04	38.67	8.06	20.56	25.35	8.85	10.63	23.59	47.84	35.25	32.36	49.56	31.67	23.76	76.71	4.39	10.71	189.02	101.54	64.34	21.47	61.25	4.82	44.57	8.13	4.9	19.68	9.56	4.9	7.63	61.25	28.45	28.86	18.03	60.82	29.7	19.39	128.79	6.36	52.08	11.38	27.84	10.55	5.92	74.06	16.88	41.52	6.84	6.36	42.41	3.76	6.73	22.26	36.01	90.14	20.41	16.39	57.08	11.3	27.44	23.76	6.57	15.45	5.5	62.56	185.11	10.0	156.59	52.82	11.55	70.01	63.45	204.07	59.55	43.63	5.11	91.41	14.14	1.95	189.02	221.86
GRB14	30.34	50.63	44.89	50.27	23.93	29.7	14.45	18.97	38.95	15.11	27.25	13.22	43.94	248.0	22.1	55.89	24.99	18.56	25.91	366.09	28.04	35.5	24.11	228.13	6.16	19.97	178.77	31.9	43.32	27.25	11.38	12.55	35.5	77.25	35.76	8.51	42.11	23.25	23.93	12.45	20.41	10.08	17.9	11.3	9.13	22.1	22.26	30.34	14.03	79.45	25.54	18.97	39.79	29.48	52.45	21.78	6.67	15.0	12.93	182.55	5.36	17.9	8.45	16.15	55.89	12.55	38.12	13.32	28.86	24.11	8.25	13.62	42.41	9.93	11.64	75.11	8.0	26.47	9.27	50.98	42.11	8.92	33.54	49.91	41.81	49.56	116.78	44.25	71.0	64.34	6.21	76.71	16.75	24.11	246.28	329.84
GRIK2	4.17	18.97	32.59	4.1	4.17	4.82	6.57	4.1	2.89	3.44	5.68	4.86	6.26	44.89	7.4	9.41	7.06	4.06	8.65	59.13	6.52	7.34	9.34	19.39	3.53	8.06	63.89	25.72	9.48	12.0	1.75	7.17	9.63	16.15	16.27	5.15	4.66	1.57	10.71	2.1	6.41	7.57	2.89	3.38	5.59	12.09	9.34	4.35	2.01	14.24	15.8	3.53	8.71	5.77	15.68	8.13	3.03	0.89	1.79	50.63	8.92	4.06	5.63	5.92	6.52	4.28	5.15	13.42	6.62	12.45	2.34	3.11	18.56	4.24	4.46	14.89	3.2	4.7	3.5	14.78	13.42	4.54	6.16	13.83	11.3	9.63	17.9	16.63	11.38	25.35	0.93	19.39	10.0	4.1	141.02	49.56
GUCY1B3	14.56	583.07	2384.37	105.15	62.56	167.9	129.69	38.12	28.45	36.27	106.63	81.71	151.22	343.89	155.5	177.53	98.04	18.29	154.42	476.71	38.4	47.5	73.54	336.79	60.39	98.04	305.55	273.37	71.5	189.02	15.11	33.3	154.42	285.03	384.34	41.22	211.31	23.08	140.04	27.05	34.51	105.89	31.22	69.03	63.0	173.85	18.16	236.21	38.67	316.37	102.97	88.26	152.28	77.79	155.5	40.93	32.36	29.7	13.93	403.5	48.52	77.25	23.93	52.82	295.11	20.11	34.75	75.11	118.43	312.0	34.02	16.15	209.84	27.44	53.95	139.07	17.0	60.82	22.1	309.83	297.17	18.43	163.28	139.07	108.14	248.0	287.01	217.27	289.02	343.89	40.36	400.71	35.0	16.27	371.22	1498.22
GYG1	305.55	2956.17	31870.96	536.45	633.73	909.17	921.88	366.09	497.0	417.77	791.35	759.08	961.07	2004.85	1081.39	1322.37	934.76	392.44	808.0	1313.23	497.0	400.71	595.34	2591.27	547.75	785.88	2224.63	1745.2	529.06	1277.29	295.11	376.41	775.05	1662.49	2004.85	358.54	1628.26	423.61	890.44	414.87	486.75	866.07	457.25	620.67	583.07	1066.48	351.14	1617.0	409.15	1757.34	890.44	633.73	1059.11	500.46	1119.56	423.61	397.93	392.44	285.03	1340.84	518.15	896.64	363.56	612.11	1883.54	438.59	463.65	743.43	1295.13	1651.0	500.46	373.81	1127.35	395.18	536.45	848.22	358.54	423.61	423.61	1583.71	1651.0	361.04	1088.92	1151.06	836.53	1605.83	1794.29	1088.92	1896.65	1242.34	473.41	2032.85	409.15	379.04	2573.36	9606.86
HDX	3.41	25.54	66.65	13.32	6.06	15.56	16.39	5.06	5.63	11.82	29.7	10.55	19.53	37.32	30.78	15.8	11.3	6.06	16.03	63.89	10.55	10.63	12.09	49.21	8.99	13.62	77.79	37.05	13.42	35.0	3.38	19.11	16.75	23.25	18.56	8.19	23.59	16.75	7.11	9.34	6.62	6.46	11.04	16.03	15.45	17.51	5.73	10.31	10.16	24.46	16.15	11.64	21.63	15.11	18.16	7.69	7.94	6.84	7.63	62.12	5.5	7.46	4.94	6.94	26.86	5.54	11.55	4.58	5.11	15.8	3.82	12.74	41.52	13.62	10.0	9.2	4.7	16.39	11.64	38.67	17.9	5.73	32.13	14.89	16.27	14.35	50.27	48.18	17.9	35.5	6.36	44.57	17.77	3.86	73.03	47.5
HHIPL1	4.46	40.07	117.6	12.74	6.41	25.17	20.41	5.15	3.66	3.82	15.11	21.47	12.93	41.22	14.45	22.59	16.39	4.03	26.67	58.71	3.11	7.63	15.91	37.05	6.41	16.15	73.03	36.79	4.5	25.54	4.7	4.39	16.39	19.25	24.11	7.51	27.44	7.06	13.32	4.39	6.57	10.39	4.98	4.54	8.45	21.78	5.15	11.13	6.16	31.0	14.78	15.22	16.03	6.36	10.0	5.54	6.84	4.28	2.2	47.84	4.9	10.71	2.76	9.06	32.13	4.21	6.89	11.3	15.56	25.72	10.24	5.11	33.78	4.54	3.35	25.54	5.41	8.25	4.66	18.29	18.16	4.58	11.3	13.03	9.41	41.81	42.11	9.27	17.9	47.5	7.11	22.1	3.23	1.39	92.05	52.08
HMCN1	19.11	84.63	297.17	14.89	20.56	49.21	37.59	18.16	1.31	19.39	40.93	22.92	37.85	363.56	21.01	49.91	19.97	12.09	47.5	540.19	6.46	18.43	45.85	307.69	18.16	47.5	199.85	61.68	38.4	34.02	4.43	33.06	65.26	59.55	84.63	4.5	117.6	16.27	55.1	27.25	16.75	33.54	23.93	36.53	42.71	30.56	11.3	46.18	17.51	81.71	26.67	40.36	37.05	19.25	55.89	26.47	10.96	15.91	10.79	346.29	17.77	51.71	19.25	22.92	87.65	20.11	18.84	15.11	37.05	94.01	15.45	15.45	36.53	3.35	19.82	68.55	12.27	20.11	6.89	75.11	98.04	13.42	35.5	41.22	46.18	85.82	111.99	42.71	75.11	182.55	19.53	107.38	18.03	5.73	902.89	205.5
HOMER3	60.39	450.94	708.18	327.56	208.38	341.51	166.73	165.57	138.1	172.65	316.37	236.21	159.9	575.03	162.14	320.8	129.69	152.28	332.14	743.43	96.68	145.02	127.89	426.57	121.79	176.29	866.07	679.29	105.15	285.03	71.5	119.26	226.54	295.11	289.02	220.32	353.59	143.01	189.02	131.51	131.51	281.09	75.64	90.14	111.99	423.61	120.94	297.17	194.36	316.37	246.28	256.78	246.28	123.5	194.36	115.16	237.86	52.45	39.5	540.19	131.51	171.45	105.15	135.24	429.54	83.45	171.45	183.82	170.25	316.37	126.12	134.3	397.93	80.01	70.01	316.37	141.02	152.28	147.06	314.17	218.79	105.89	237.86	275.28	140.04	339.14	473.41	253.23	316.37	624.99	128.79	334.46	178.77	104.42	934.76	500.46
HTR2B	9.34	75.11	139.07	10.71	13.22	16.15	41.81	3.76	0.77	5.32	13.72	24.63	22.1	19.68	50.98	37.32	37.59	6.57	26.1	40.93	5.28	2.78	6.67	143.01	10.47	13.03	109.66	80.01	3.29	100.13	0.46	4.43	70.01	110.43	64.8	4.7	115.97	2.1	22.92	1.75	2.81	42.41	2.48	11.13	8.51	40.36	3.5	65.26	13.03	104.42	33.3	22.26	27.44	3.53	41.81	3.59	4.03	3.69	2.14	48.87	3.79	66.65	3.56	8.38	76.17	2.76	3.96	47.5	59.13	181.28	17.38	2.68	63.45	2.32	13.03	26.1	0.87	2.12	0.82	67.59	82.29	1.93	34.75	65.72	25.72	88.88	249.73	14.24	75.11	89.51	3.0	50.63	2.48	1.71	813.63	113.56
IGHMBP2	194.36	435.55	1781.89	353.59	285.03	327.56	224.97	229.72	228.13	209.84	368.65	249.73	400.71	536.45	460.44	423.61	343.89	206.94	283.05	363.56	199.85	269.6	190.34	532.74	249.73	325.29	417.77	470.14	229.72	400.71	162.14	176.29	463.65	497.0	536.45	172.65	497.0	220.32	269.6	173.85	195.72	281.09	220.32	307.69	198.47	351.14	314.17	279.14	190.34	429.54	403.5	214.27	387.02	215.77	271.48	186.4	212.78	185.11	262.2	514.56	269.6	307.69	271.48	271.48	438.59	140.04	226.54	251.48	301.33	387.02	246.28	262.2	343.89	214.27	281.09	348.71	211.31	224.97	177.53	293.07	334.46	226.54	438.59	368.65	232.94	397.93	599.49	363.56	403.5	423.61	208.38	518.15	237.86	183.82	1225.22	791.35
IGSF9B	9.78	163.28	1457.23	14.24	7.75	36.01	32.82	8.32	6.62	14.56	32.13	22.75	44.25	157.68	46.84	84.63	42.71	1.64	94.67	58.71	7.4	7.46	23.93	94.67	19.25	38.67	94.01	67.12	23.93	115.16	7.22	8.99	71.0	99.43	148.09	3.63	128.79	8.13	51.71	5.15	3.44	17.38	6.46	17.51	16.03	86.43	7.22	38.95	6.41	115.97	33.06	26.86	65.72	9.78	50.63	2.34	11.64	9.63	4.5	85.22	29.7	55.89	6.78	16.15	124.37	2.39	4.31	21.94	46.5	78.34	14.67	8.06	74.58	8.45	14.67	50.63	7.34	12.18	4.86	95.34	99.43	7.51	19.25	52.08	43.63	108.9	167.9	46.5	63.45	99.43	7.57	144.01	10.88	4.1	473.41	490.14
INTU	14.24	53.19	161.02	23.25	25.72	39.5	24.63	19.53	11.73	25.17	38.12	24.81	51.71	83.45	31.22	31.22	27.05	15.22	48.87	56.68	22.92	21.47	24.63	94.01	22.59	27.05	86.43	43.63	24.63	45.21	25.17	20.11	29.48	57.89	26.86	14.78	27.64	19.68	30.34	20.86	31.0	21.78	14.24	16.15	21.63	35.25	16.03	23.59	18.43	40.93	56.28	30.12	56.68	19.53	24.28	18.43	21.32	16.51	20.41	110.43	24.28	28.86	22.26	32.82	67.59	17.9	43.32	33.78	26.67	30.56	12.74	30.56	44.57	18.03	13.52	42.71	21.94	19.53	14.03	50.63	35.5	19.53	38.95	25.17	36.79	35.76	87.03	57.89	50.63	102.25	16.75	60.39	37.05	16.63	248.0	112.77
JAM2	64.8	457.25	928.3	198.47	114.36	241.19	136.19	214.27	78.89	126.12	248.0	173.85	303.44	1023.0	126.12	176.29	185.11	48.87	218.79	2367.9	116.78	132.44	100.13	878.17	146.03	205.5	1369.04	521.76	152.28	127.89	80.57	158.79	119.26	208.38	194.36	128.79	241.19	128.79	202.66	126.12	119.26	215.77	71.0	115.16	96.68	206.94	92.05	218.79	156.59	325.29	215.77	131.51	202.66	180.02	244.57	122.64	170.25	114.36	129.69	1896.65	91.41	146.03	65.26	67.59	363.56	93.35	127.0	81.71	135.24	303.44	56.28	115.16	187.71	88.88	116.78	265.87	101.54	166.73	105.15	441.64	265.87	127.89	403.5	201.25	183.82	457.25	669.92	325.29	291.04	1143.1	59.55	314.17	138.1	47.17	1119.56	854.13
JAM3	53.95	1008.9	4181.07	152.28	154.42	312.0	271.48	140.04	83.45	114.36	293.07	244.57	223.41	896.64	325.29	384.34	264.03	110.43	287.01	896.64	97.36	147.06	122.64	1208.34	190.34	212.78	1208.34	718.08	173.85	414.87	56.68	121.79	231.32	473.41	587.13	118.43	547.75	108.14	258.57	92.05	88.26	199.85	108.9	161.02	140.04	366.09	111.21	403.5	118.43	607.87	273.37	180.02	371.22	159.9	373.81	134.3	102.25	124.37	92.05	753.83	103.69	283.05	79.45	155.5	532.74	96.68	127.89	201.25	343.89	470.14	127.0	134.3	392.44	116.78	145.02	301.33	85.22	164.42	106.63	435.55	493.56	108.14	262.2	346.29	253.23	599.49	748.61	309.83	470.14	748.61	123.5	723.08	147.06	82.87	1447.15	2367.9
JAZF1	27.25	567.1	2224.63	68.55	77.25	175.07	144.01	75.64	39.79	61.25	157.68	121.79	173.85	493.56	217.27	267.73	102.25	47.84	153.34	417.77	52.08	60.82	75.11	497.0	129.69	118.43	339.14	426.57	116.78	186.4	35.25	62.12	164.42	329.84	409.15	57.49	262.2	38.12	172.65	52.45	48.87	146.03	52.45	97.36	92.7	223.41	38.95	353.59	72.52	366.09	144.01	143.01	197.09	88.26	262.2	60.82	43.63	47.17	38.95	429.54	74.58	175.07	38.95	96.01	336.79	59.13	64.34	134.3	138.1	387.02	50.98	50.98	229.72	52.08	96.01	209.84	43.94	69.03	56.68	379.04	381.68	57.49	273.37	197.09	105.15	256.78	255.0	183.82	358.54	332.14	60.39	417.77	77.79	34.26	688.78	2271.4
KCNA2	0.93	5.96	32.36	3.06	3.89	3.2	5.15	0.71	0.0	4.06	2.2	2.41	2.56	24.99	1.41	7.4	3.11	0.45	5.02	22.92	4.03	1.08	2.27	20.86	2.58	2.36	17.13	2.71	3.53	8.92	0.0	0.96	2.12	8.38	8.65	0.2	11.04	2.86	3.26	2.29	2.07	1.75	0.85	1.79	2.81	3.29	0.49	7.94	1.71	9.56	5.59	5.54	2.73	2.46	2.36	2.43	1.13	1.55	0.22	16.63	8.0	4.24	1.57	2.39	8.13	0.54	2.58	1.77	2.78	8.32	1.89	1.19	2.84	0.64	1.25	6.84	2.03	1.57	0.84	5.54	10.0	0.23	3.11	10.88	0.74	7.34	16.63	7.0	7.28	14.67	1.6	12.74	2.16	2.29	19.11	45.53
KCTD12	108.14	629.35	802.41	301.33	158.79	480.04	316.37	217.27	105.15	229.72	325.29	248.0	244.57	890.44	209.84	356.05	253.23	123.5	406.31	4358.66	255.0	353.59	177.53	941.27	258.57	277.2	2976.74	660.68	232.94	314.17	92.7	262.2	400.71	507.46	616.37	251.48	417.77	100.13	260.38	183.82	206.94	334.46	99.43	260.38	267.73	426.57	115.97	460.44	269.6	759.08	368.65	201.25	457.25	381.68	392.44	293.07	172.65	223.41	376.41	2875.3	185.11	239.52	170.25	244.57	1037.29	173.85	155.5	323.03	305.55	915.51	91.41	197.09	470.14	139.07	215.77	447.82	201.25	264.03	209.84	866.07	775.05	244.57	435.55	412.0	267.73	808.0	1259.69	514.56	518.15	1477.58	457.25	884.29	204.07	54.72	1233.75	1519.15
KLF8	12.0	120.1	224.97	37.85	24.99	54.33	128.79	26.67	12.0	19.39	41.81	22.26	73.03	171.45	47.84	77.25	35.5	18.84	62.56	187.71	126.12	33.3	34.75	96.68	16.75	53.19	171.45	122.64	37.05	75.64	29.91	37.59	34.02	96.68	104.42	21.16	111.21	22.92	60.82	36.01	32.36	42.11	9.48	33.54	34.51	71.5	25.35	70.01	39.79	80.01	121.79	42.41	98.73	33.78	59.55	22.75	23.08	20.71	23.76	201.25	119.26	96.68	22.75	40.36	82.87	20.41	35.0	26.47	46.84	80.01	19.82	38.95	55.49	21.32	33.3	75.11	27.25	57.08	33.78	111.21	70.51	42.11	51.35	88.88	29.06	67.12	135.24	137.14	100.83	153.34	23.08	110.43	49.56	13.03	281.09	169.07
LINC00632	0.0	11.21	17.51	0.0	2.12	4.7	1.14	1.93	0.11	2.07	2.39	1.36	3.72	16.63	4.66	3.23	0.73	1.08	2.14	21.32	1.48	1.11	2.1	9.7	1.46	8.92	31.45	10.47	0.58	6.06	1.11	2.92	5.59	3.03	3.63	2.29	5.92	0.57	2.76	0.0	1.71	2.76	0.84	1.39	1.2	3.38	0.72	1.19	1.41	4.03	2.32	0.78	6.21	0.0	4.17	0.23	2.63	0.0	0.25	24.46	0.0	4.21	3.35	0.37	9.63	0.79	0.68	2.66	2.27	4.86	1.53	0.79	1.07	0.72	3.56	6.36	0.32	4.94	2.84	4.13	5.19	1.62	1.68	5.68	3.03	3.47	12.74	9.13	4.78	13.12	0.0	12.74	1.23	0.73	45.85	24.99
LIX1L	91.41	412.0	1151.06	118.43	102.25	159.9	126.12	90.14	56.68	77.79	171.45	134.3	156.59	521.76	182.55	237.86	98.04	74.06	181.28	532.74	90.77	90.77	89.51	435.55	79.45	148.09	438.59	246.28	92.7	269.6	35.5	81.14	180.02	265.87	297.17	74.06	293.07	48.52	171.45	73.03	64.8	147.06	53.57	98.73	83.45	249.73	61.68	195.72	100.13	426.57	153.34	136.19	189.02	102.97	194.36	78.34	74.58	67.12	47.5	486.75	88.88	129.69	52.45	94.01	255.0	83.45	89.51	121.79	155.5	273.37	80.57	62.56	169.07	55.89	73.03	173.85	75.11	99.43	73.03	297.17	265.87	76.71	182.55	159.9	98.04	334.46	373.81	224.97	269.6	432.53	105.15	429.54	90.14	51.71	551.56	796.86
LOXL4	9.85	191.67	791.35	26.47	23.59	41.52	33.06	22.26	14.78	22.59	47.17	23.59	37.59	224.97	44.25	54.72	41.22	17.38	45.21	164.42	17.25	40.36	18.03	190.34	24.46	44.89	169.07	85.82	29.91	75.64	10.0	19.39	45.53	98.04	81.71	14.03	153.34	24.46	41.81	15.45	13.12	25.17	5.41	21.47	27.64	72.52	17.77	43.63	21.16	104.42	30.12	25.17	57.49	26.28	44.89	14.45	17.9	23.42	12.0	171.45	21.47	24.63	11.47	24.11	103.69	16.27	17.9	23.59	72.52	49.56	14.45	13.32	46.18	13.32	12.0	38.67	21.32	13.93	9.34	66.65	70.51	16.51	36.79	38.4	34.51	113.56	173.85	47.5	99.43	165.57	15.91	120.94	25.72	12.27	198.47	346.29
LPPR4	2.73	13.72	29.7	4.1	12.0	8.99	5.68	3.23	1.36	3.35	10.47	10.79	7.88	21.78	10.55	9.56	5.73	2.25	6.26	114.36	4.1	4.7	5.5	15.11	1.58	6.73	40.36	8.78	7.17	7.75	0.38	2.94	3.79	9.06	9.56	1.91	6.26	2.66	6.41	5.54	3.08	2.66	6.52	4.82	5.54	5.41	1.39	7.22	3.29	20.86	7.69	5.68	3.99	2.39	4.74	5.23	1.55	5.41	3.35	100.13	4.9	7.06	2.43	1.62	17.38	2.89	4.03	3.86	5.92	11.04	2.53	4.46	11.55	1.2	3.35	13.03	1.83	3.0	1.45	12.45	10.47	2.39	7.0	3.63	6.73	16.15	20.56	8.19	8.45	43.63	2.48	15.91	6.46	1.73	43.63	37.05
LRCH1	214.27	301.33	551.56	147.06	118.43	151.22	147.06	110.43	78.34	111.21	136.19	125.24	175.07	303.44	198.47	217.27	140.04	108.9	152.28	316.37	120.94	116.78	102.97	320.8	166.73	125.24	287.01	283.05	124.37	159.9	50.27	124.37	142.01	267.73	244.57	101.54	209.84	106.63	173.85	105.89	95.34	115.97	99.43	106.63	127.0	180.02	103.69	293.07	113.56	239.52	142.01	161.02	172.65	138.1	217.27	114.36	96.01	99.43	113.56	320.8	103.69	117.6	114.36	116.78	209.84	109.66	110.43	139.07	171.45	291.04	109.66	105.15	162.14	105.15	140.04	171.45	115.97	127.0	131.51	246.28	299.25	124.37	205.5	170.25	118.43	237.86	221.86	193.01	318.57	275.28	100.83	318.57	130.6	82.29	450.94	543.96
LRCH2	4.21	99.43	460.44	9.93	11.82	27.64	29.06	11.73	3.41	9.7	19.39	12.83	23.93	60.39	45.85	43.94	22.26	8.38	20.86	70.01	10.71	11.04	9.7	108.9	14.78	17.0	55.89	79.45	20.56	49.56	6.11	11.04	40.93	76.17	89.51	11.73	69.03	8.19	36.27	8.32	6.62	19.82	5.59	20.11	9.85	31.0	9.06	69.52	16.27	61.68	30.78	18.03	44.57	16.88	41.52	13.83	6.78	11.91	9.13	69.03	12.18	27.64	10.39	18.29	53.19	7.34	5.63	19.97	32.59	81.71	11.64	6.57	37.32	8.99	12.74	19.39	6.11	13.42	3.99	45.21	73.03	12.55	34.02	34.26	17.38	33.06	82.87	49.21	85.82	76.17	9.63	96.01	13.62	6.62	101.54	379.04
LRFN5	3.99	28.24	81.71	2.68	2.71	8.85	11.82	2.36	1.06	0.88	17.0	14.67	21.94	28.65	12.64	26.1	5.92	1.51	13.03	28.24	0.66	4.1	4.82	13.62	6.36	7.75	42.41	38.67	7.69	13.03	2.12	3.76	6.89	24.11	23.76	0.92	9.34	1.95	15.68	1.73	1.19	12.09	1.68	4.5	2.41	17.0	2.78	38.12	2.14	36.53	18.97	8.71	5.68	3.5	22.92	0.95	2.56	2.48	0.65	23.93	27.05	11.91	1.99	2.66	26.47	1.99	4.35	6.31	4.13	38.67	3.08	0.61	28.04	4.94	5.96	26.67	1.45	3.26	1.38	24.81	32.36	0.97	12.55	21.94	7.0	10.16	10.55	35.5	22.59	27.25	3.59	38.67	2.66	0.99	41.22	61.25
LRRC4C	3.08	22.75	94.01	1.79	3.38	8.71	4.62	2.58	1.35	1.5	5.41	3.06	5.96	36.79	6.46	12.18	5.5	1.33	4.78	70.51	0.89	2.86	3.59	57.89	4.86	8.0	63.0	22.75	4.39	7.0	0.58	3.35	8.92	12.27	18.56	1.07	17.13	0.75	6.84	2.71	3.17	6.46	1.22	2.86	2.78	12.36	1.41	13.72	2.39	23.93	8.58	3.23	10.63	1.71	8.92	1.36	1.51	1.71	0.0	52.08	4.06	6.31	4.46	2.81	15.45	1.77	2.53	6.94	7.22	21.47	2.71	1.83	8.71	1.23	4.9	12.83	1.03	5.11	1.66	16.75	16.51	1.68	7.82	6.62	7.75	17.38	20.56	14.67	19.82	28.45	3.41	31.22	2.58	1.16	42.41	73.54
