	TCGA.LC.A66R.01A.41R.A30C.07	TCGA.XF.AAN0.01A.11R.A42T.07	TCGA.DK.A3WY.01A.11R.A22U.07	TCGA.E7.A7DV.01A.11R.A33J.07	TCGA.UY.A8OC.01A.11R.A36F.07	TCGA.XF.AAMQ.01A.11R.A42T.07	TCGA.DK.AA6T.01A.11R.A39I.07	TCGA.MA.AA43.01A.11R.A42T.07	TCGA.AA.A02K.01A.03R.A32Y.07	TCGA.G4.6307.01A.11R.1723.07	TCGA.CC.A3M9.01A.11R.A213.07	TCGA.38.4628.01A.01R.1206.07	TCGA.38.4625.01A.01R.1206.07	TCGA.05.5423.01A.01R.1628.07	TCGA.38.4629.01A.02R.1206.07	TCGA.50.5068.01A.01R.1628.07	TCGA.55.6968.11A.01R.1949.07	TCGA.91.6829.11A.01R.1858.07	TCGA.49.4512.11A.01R.1858.07	TCGA.49.4490.11A.01R.1858.07	TCGA.38.4625.11A.01R.1758.07	GTEX.132NY.1226.SM.5PNVF	GTEX.14ABY.1126.SM.5Q5F8	GTEX.12WSI.0826.SM.5EGKD	GTEX.1313W.0926.SM.5EQ56	GTEX.12584.1426.SM.5EGJ9	GTEX.13FTZ.0526.SM.5IJCW	GTEX.PVOW.1026.SM.2XCF9	GTEX.ZXG5.0826.SM.5GID6	GTEX.Y111.1026.SM.4TT22	GTEX.147JS.1226.SM.5RQK4	GTEX.11PRG.0926.SM.5EGI8	GTEX.111FC.1126.SM.5GZWU	GTEX.11EI6.0826.SM.5985V	GTEX.S33H.0626.SM.2XCBJ	GTEX.ZAB4.0626.SM.5CVN3	GTEX.13PVQ.0926.SM.5IJFD	GTEX.131YS.0926.SM.5IJB9	GTEX.12ZZY.0926.SM.5EQ6I	GTEX.1477Z.0626.SM.5NQB7	GTEX.13FHP.0726.SM.5K7YI	GTEX.11ZUS.0126.SM.5EQM5	GTEX.13QJ3.1026.SM.5QGQU	GTEX.12ZZW.0926.SM.5LZUD	GTEX.T6MN.0826.SM.32PM4	GTEX.11NUK.0826.SM.5HL4U	GTEX.1212Z.1026.SM.5EGJ8	GTEX.ZVZQ.1526.SM.5N9G6	GTEX.12KS4.0726.SM.5FQSX	GTEX.ZYT6.0526.SM.5GIEA	GTEX.YJ8O.1826.SM.5HL82	GTEX.ZC5H.0926.SM.5CVMZ	GTEX.T2IS.0526.SM.32QP9	GTEX.13G51.0426.SM.5K7Z5	GTEX.ZVT3.0926.SM.5GICK	GTEX.11ZTS.1226.SM.5EQMQ	GTEX.14A6H.0526.SM.5NQAZ	TCGA.22.1017.01A.01R.0692.07	TCGA.58.8386.11A.01R.2296.07	TCGA.77.7335.11A.01R.2045.07	TCGA.77.7337.11A.01R.2045.07	TCGA.56.7580.11A.01R.2045.07	TCGA.DC.5337.01A.01R.1660.07	TCGA.AG.3591.01A.01R.1736.07	TCGA.E6.A2P8.01A.11R.A19W.07	TCGA.SL.A6JA.01A.11R.A31O.07	TCGA.EO.A22X.01A.11R.A180.07
QKI	571.05	395.18	417.77	341.51	363.56	490.14	158.79	753.83	187.71	40.36	507.46	587.13	384.34	733.19	780.44	551.56	967.76	1331.57	1250.98	1268.46	1151.06	1143.1	2627.46	1242.34	1340.84	2520.38	2485.67	4836.35	2835.7	2032.85	1498.22	1721.16	2502.97	1388.16	2075.59	1745.2	1059.11	4972.34	2384.37	1950.0	2335.28	1977.24	1477.58	1594.73	1191.69	1651.0	1605.83	1721.16	1350.18	2303.12	1417.35	2287.2	1662.49	3716.2	1870.53	2133.97	1417.35	890.44	1216.75	1781.89	1950.0	1662.49	70.51	114.36	406.31	90.14	211.31
RAB23	229.72	140.04	307.69	119.26	295.11	165.57	61.25	409.15	220.32	48.87	124.37	181.28	0.0	145.02	312.0	271.48	128.79	125.24	223.41	343.89	175.07	231.32	269.6	191.67	177.53	305.55	559.28	575.03	785.88	563.18	241.19	358.54	551.56	316.37	457.25	293.07	228.13	575.03	525.39	403.5	551.56	435.55	500.46	460.44	450.94	327.56	281.09	521.76	327.56	511.0	532.74	323.03	529.06	463.65	249.73	336.79	341.51	813.63	214.27	420.68	314.17	258.57	269.6	403.5	381.68	121.79	189.02
RAB5B	866.07	769.69	866.07	503.95	591.22	1457.23	547.75	825.0	915.51	708.18	316.37	1477.58	0.0	1397.83	733.19	616.37	1572.76	1651.0	1233.75	1350.18	1662.49	1322.37	1457.23	1769.57	1369.04	2133.97	1277.29	2384.37	3589.58	2537.92	1233.75	1991.0	1605.83	1662.49	1991.0	1388.16	1175.27	2520.38	3103.19	2018.8	3190.46	2148.82	2119.22	2502.97	1733.13	2682.69	1407.55	2271.4	1127.35	3212.66	2271.4	2335.28	1936.53	2701.35	2319.15	2255.7	1583.71	1617.0	1781.89	1745.2	2193.99	1844.76	620.67	1697.45	1081.39	325.29	616.37
RAB6A	1697.45	1030.12	928.3	1340.84	1923.14	1225.22	684.02	1044.52	1159.07	1183.45	665.29	1572.76	1359.57	1498.22	1487.87	1322.37	1639.59	1721.16	2004.85	1963.57	1819.35	2061.24	2895.31	1709.26	2148.82	1896.65	2591.27	4123.49	3716.2	2627.46	1857.6	2163.77	2485.67	1909.85	2609.3	1806.78	1745.2	3515.68	2468.49	2895.31	2367.9	1977.24	2682.69	2367.9	1781.89	1709.26	2004.85	2935.74	2133.97	2701.35	2417.67	2367.9	2468.49	2976.74	2119.22	2224.63	1561.89	2434.5	1583.71	2645.74	2485.67	1896.65	1331.57	1008.9	1781.89	974.5	1066.48
RAMP2	476.71	361.04	1617.0	392.44	890.44	316.37	351.14	638.15	236.21	420.68	854.13	941.27	0.0	412.0	414.87	540.19	2682.69	2591.27	6381.92	9215.48	5329.3	10959.3	5831.91	3212.66	2739.08	4543.8	13968.57	14765.09	7589.61	13968.57	3928.15	18819.27	17558.94	7642.41	7433.4	4328.55	3018.3	23986.58	16269.83	13306.94	10296.45	11504.21	16383.0	16045.82	10084.54	4512.4	6121.9	4181.07	3665.02	11584.24	11189.6	9740.98	20030.74	7032.37	7642.41	2855.44	10959.3	463.65	3820.7	6561.36	6121.9	3901.01	406.31	414.87	371.22	273.37	595.34
RASSF3	279.14	251.48	791.35	175.07	197.09	334.46	1437.15	287.01	1437.15	336.79	353.59	3982.99	551.56	426.57	426.57	348.71	642.59	878.17	785.88	1037.29	764.36	995.0	2591.27	633.73	595.34	633.73	2319.15	2895.31	2047.0	2400.97	1008.9	3639.7	1407.55	1059.11	1388.16	830.75	733.19	1950.0	1605.83	2018.8	1242.34	674.59	2468.49	848.22	1295.13	620.67	1519.15	2335.28	1059.11	1909.85	2485.67	2032.85	947.83	1369.04	713.11	941.27	967.76	1304.15	974.5	1119.56	1088.92	967.76	307.69	409.15	490.14	71.5	743.43
RBMS3	26.1	12.93	71.0	30.78	80.57	8.65	18.43	40.93	6.36	7.88	97.36	66.18	15.22	79.45	59.13	65.26	126.12	144.01	208.38	198.47	150.17	287.01	420.68	197.09	173.85	660.68	785.88	409.15	591.22	368.65	246.28	366.09	563.18	1037.29	249.73	381.68	346.29	423.61	466.88	273.37	341.51	473.41	376.41	470.14	567.1	241.19	397.93	830.75	303.44	295.11	624.99	325.29	232.94	497.0	275.28	307.69	303.44	27.64	127.0	262.2	323.03	255.0	11.91	27.44	16.15	7.34	22.59
RBP2	0.0	0.0	0.0	0.0	0.0	31.67	0.0	0.0	83.45	603.67	0.0	0.0	0.0	1.14	0.0	11.73	114.36	68.55	307.69	500.46	334.46	54.33	909.17	356.05	253.23	287.01	860.08	1111.82	769.69	92.05	571.05	1529.73	228.13	866.07	111.99	143.01	93.35	2287.2	208.38	62.12	57.08	109.66	1268.46	44.25	1709.26	89.51	283.05	1594.73	796.86	1561.89	603.67	1594.73	547.75	3716.2	825.0	607.87	854.13	32.36	32.59	164.42	149.12	158.79	46.18	13.32	10.24	2.76	0.0
RDX	1081.39	660.68	358.54	2047.0	316.37	848.22	153.34	529.06	120.1	84.63	441.64	409.15	583.07	808.0	728.11	928.3	988.12	974.5	1487.87	2133.97	1073.91	1081.39	2895.31	808.0	1167.14	1250.98	2163.77	4512.4	4210.15	2104.58	995.0	1733.13	2047.0	1437.15	1857.6	1662.49	1295.13	4066.71	2976.74	1651.0	2758.13	1350.18	2627.46	1769.57	1977.24	1135.2	1233.75	1832.01	848.22	5403.7	1628.26	4066.71	1437.15	2047.0	1639.59	1359.57	1313.23	954.43	1183.45	2303.12	2209.26	1709.26	105.15	135.24	660.68	376.41	684.02
RERG	36.27	20.86	120.94	275.28	40.07	8.71	25.72	197.09	33.06	20.11	11.82	242.88	0.0	224.97	69.03	277.2	166.73	164.42	529.06	624.99	348.71	256.78	674.59	429.54	232.94	283.05	2104.58	1437.15	2895.31	1561.89	84.04	1369.04	2224.63	1059.11	928.3	490.14	423.61	1950.0	2004.85	1208.34	703.28	1088.92	842.36	743.43	842.36	647.07	256.78	769.69	116.78	1313.23	2255.7	273.37	718.08	563.18	371.22	493.56	320.8	66.65	258.57	836.53	612.11	780.44	126.12	37.59	106.63	10.16	10.24
RIMS1	0.0	4.1	0.67	0.0	0.65	0.92	0.0	13.52	0.0	0.0	22.75	0.4	0.0	1.08	2.58	6.36	3.2	7.94	6.01	7.88	7.17	2.78	19.25	34.75	8.0	3.11	24.63	52.82	16.27	41.52	3.63	11.38	37.32	12.36	20.26	0.1	2.07	57.49	11.64	10.16	3.72	6.73	2.01	18.03	15.22	4.39	20.26	6.26	3.11	35.76	35.0	28.24	81.71	30.56	0.0	5.11	13.03	6.67	4.06	3.53	5.63	11.04	0.0	2.25	0.0	1.19	0.23
RNF150	6.36	10.39	31.45	7.57	6.89	4.03	5.63	22.75	3.86	1.97	3.76	5.41	0.0	7.34	27.44	8.13	14.24	14.45	20.11	21.32	15.11	15.34	58.3	59.13	8.71	32.13	138.1	110.43	166.73	125.24	16.39	109.66	112.77	205.5	60.39	32.59	18.43	143.01	90.14	23.59	59.13	84.63	21.78	39.22	62.56	32.82	29.27	112.77	13.12	115.16	249.73	24.28	33.54	20.71	27.05	30.56	22.1	5.87	27.64	27.44	24.63	34.02	0.67	1.28	28.86	2.01	10.39
RXFP1	36.27	1.06	3.32	3.08	8.06	3.38	1.33	5.41	1.68	0.0	1.6	2.63	0.0	14.45	6.46	13.42	38.12	35.5	57.49	183.82	90.77	41.81	127.0	32.13	9.93	46.5	353.59	575.03	169.07	412.0	27.25	204.07	381.68	65.72	146.03	25.72	31.45	389.72	395.18	314.17	181.28	50.98	205.5	138.1	198.47	76.17	55.49	59.55	40.93	237.86	205.5	208.38	291.04	51.71	34.26	23.42	148.09	5.96	76.17	142.01	143.01	92.05	3.63	1.51	14.45	76.17	118.43
SCAMP1	371.22	312.0	181.28	218.79	397.93	500.46	149.12	264.03	267.73	187.71	137.14	287.01	0.0	423.61	361.04	312.0	249.73	356.05	547.75	444.72	381.68	277.2	616.37	318.57	417.77	170.25	656.11	1388.16	723.08	688.78	283.05	540.19	555.41	253.23	579.04	384.34	255.0	884.29	780.44	780.44	660.68	332.14	595.34	651.58	371.22	307.69	414.87	470.14	289.02	518.15	647.07	490.14	525.39	366.09	320.8	387.02	368.65	490.14	299.25	587.13	525.39	412.0	318.57	536.45	435.55	289.02	223.41
SEPT10	974.5	547.75	395.18	358.54	591.22	447.82	102.25	665.29	954.43	228.13	293.07	543.96	0.0	738.29	954.43	1175.27	1023.0	961.07	1721.16	1936.53	1216.75	1508.65	3060.45	1143.1	1519.15	1498.22	2018.8	3639.7	3564.78	2417.67	1104.13	2287.2	2133.97	1159.07	1819.35	1304.15	1447.15	5219.6	3060.45	2645.74	3235.01	1551.09	2664.15	2555.58	1277.29	1709.26	1844.76	3515.68	1457.23	2591.27	2287.2	1857.6	1923.14	3982.99	1819.35	2018.8	1437.15	547.75	1159.07	2224.63	1977.24	1447.15	629.35	1023.0	647.07	242.88	688.78
SEPT7	2367.9	1963.57	3039.3	2701.35	2835.7	2434.5	3257.52	2193.99	1639.59	1331.57	1540.37	2351.53	1745.2	2351.53	2537.92	3081.75	2004.85	1963.57	3794.3	3589.58	2434.5	3124.78	4181.07	2133.97	1870.53	2287.2	5183.54	5954.47	5872.48	5219.6	2287.2	3303.0	4736.79	2664.15	3847.29	3280.18	2163.77	6164.49	4210.15	4123.49	4152.18	3190.46	3614.55	3395.89	3103.19	2835.7	2400.97	3928.15	2434.5	3955.48	3982.99	2855.44	3212.66	3212.66	2303.12	2997.45	2609.3	2796.65	2520.38	4704.07	3419.52	2935.74	2090.03	1896.65	1963.57	1119.56	2148.82
SERINC1	1233.75	1322.37	1286.18	1104.13	1388.16	1662.49	412.0	2163.77	872.1	656.11	915.51	2148.82	0.0	1628.26	1674.06	981.29	2758.13	3235.01	5041.77	4836.35	4095.0	3303.0	5913.33	3419.52	3665.02	4736.79	6121.9	8963.45	11584.24	6699.25	2875.3	4972.34	7081.29	4010.71	4607.24	3847.29	2664.15	9945.68	7433.4	6840.04	6983.79	4575.41	6207.38	6471.02	4481.23	3614.55	3280.18	4836.35	3716.2	5255.91	5112.16	5517.27	5479.15	7032.37	5076.84	5913.33	3103.19	2047.0	3325.99	5751.61	5872.48	4704.07	753.83	967.76	1639.59	921.88	1427.22
SERTM1	0.0	0.0	0.33	0.0	0.0	0.0	0.0	49.91	0.0	0.0	0.0	0.0	0.0	0.69	0.0	0.46	114.36	46.18	182.55	264.03	75.64	36.53	181.28	8.92	148.09	54.33	104.42	1127.35	1073.91	101.54	31.9	205.5	183.82	123.5	836.53	37.59	9.63	902.89	733.19	244.57	234.57	132.44	101.54	181.28	108.14	187.71	36.01	100.83	117.6	728.11	154.42	205.5	148.09	189.02	120.94	80.57	152.28	1.36	23.76	187.71	271.48	483.38	0.0	0.0	2.39	90.77	64.8
SGCA	152.28	88.88	285.03	8.51	104.42	4.39	115.16	19.11	3.23	21.94	25.35	177.53	0.0	87.65	224.97	120.1	371.22	253.23	521.76	583.07	723.08	295.11	616.37	426.57	255.0	109.66	1806.78	199.85	575.03	1350.18	854.13	2976.74	529.06	1594.73	1167.14	1208.34	934.76	830.75	1259.69	2777.33	1709.26	819.3	3060.45	2209.26	2351.53	1639.59	1216.75	4903.87	981.29	1781.89	3212.66	156.59	2047.0	1277.29	379.04	842.36	540.19	41.52	503.95	638.15	460.44	332.14	11.73	42.11	131.51	50.63	11.21
SGCB	316.37	93.35	206.94	327.56	400.71	128.79	107.38	371.22	229.72	71.0	379.04	113.56	0.0	93.35	728.11	289.02	231.32	242.88	473.41	698.41	361.04	353.59	486.75	277.2	228.13	429.54	988.12	1023.0	1781.89	1111.82	371.22	629.35	909.17	444.72	860.08	490.14	417.77	1183.45	1191.69	703.28	785.88	674.59	954.43	497.0	743.43	358.54	651.58	974.5	563.18	679.29	1340.84	579.04	802.41	753.83	426.57	612.11	441.64	81.14	392.44	753.83	647.07	540.19	441.64	273.37	395.18	473.41	273.37
SGCE	559.28	211.31	587.13	43.32	417.77	159.9	334.46	791.35	32.59	63.89	480.04	1151.06	0.0	1529.73	1407.55	1216.75	808.0	603.67	1991.0	1923.14	1191.69	1015.93	4268.94	1104.13	796.86	2609.3	2591.27	3212.66	6294.04	2119.22	780.44	3901.01	3060.45	1551.09	1594.73	1331.57	1059.11	5555.65	4328.55	1936.53	6471.02	2796.65	5041.77	2451.44	1639.59	1295.13	708.18	1963.57	1628.26	3124.78	2855.44	2178.83	988.12	3982.99	2047.0	1233.75	2090.03	234.57	1151.06	1819.35	1457.23	1313.23	148.09	146.03	353.59	19.53	435.55
SGCG	0.64	4.1	0.67	1.68	0.0	0.61	3.89	1.0	0.13	0.13	3.5	7.57	0.0	8.25	4.78	4.7	62.12	41.22	96.68	229.72	86.43	85.82	223.41	197.09	96.01	100.83	753.83	376.41	267.73	780.44	82.29	518.15	728.11	183.82	325.29	78.89	101.54	842.36	674.59	78.89	603.67	316.37	277.2	295.11	483.38	303.44	80.57	620.67	63.0	473.41	373.81	144.01	463.65	265.87	177.53	122.64	172.65	2.76	58.3	143.01	202.66	134.3	0.48	0.62	9.13	0.0	2.23
SGMS1	262.2	1467.37	318.57	176.29	199.85	269.6	167.9	214.27	73.54	52.82	177.53	332.14	0.0	381.68	457.25	738.29	521.76	463.65	830.75	748.61	656.11	603.67	915.51	813.63	947.83	703.28	1561.89	2090.03	1167.14	813.63	373.81	796.86	872.1	463.65	674.59	454.09	384.34	2061.24	1073.91	780.44	1304.15	988.12	371.22	660.68	974.5	698.41	674.59	941.27	723.08	1151.06	656.11	1551.09	743.43	1037.29	738.29	796.86	387.02	1127.35	536.45	808.0	775.05	669.92	147.06	289.02	229.72	209.84	162.14
SH3D19	368.65	239.52	211.31	162.14	183.82	521.76	68.55	220.32	521.76	1277.29	148.09	332.14	358.54	348.71	514.56	473.41	579.04	624.99	718.08	974.5	896.64	511.0	1051.79	1233.75	476.71	647.07	1662.49	1651.0	1806.78	2090.03	480.04	1322.37	2047.0	981.29	1015.93	1508.65	1127.35	2163.77	1551.09	1745.2	1583.71	1313.23	1950.0	1909.85	1119.56	1088.92	764.36	1331.57	651.58	1561.89	1572.76	1037.29	1721.16	915.51	713.11	743.43	1286.18	684.02	941.27	1081.39	1437.15	1551.09	866.07	1304.15	406.31	253.23	191.67
SHANK2	91.41	180.02	66.18	55.49	115.97	99.43	36.01	49.91	82.87	81.71	4.28	90.77	0.0	68.07	75.64	34.26	164.42	145.02	108.14	91.41	112.77	63.0	389.72	264.03	189.02	299.25	87.65	547.75	120.94	46.84	55.1	143.01	825.0	180.02	11.55	115.16	69.03	444.72	571.05	171.45	376.41	366.09	146.03	242.88	130.6	612.11	60.39	708.18	72.01	423.61	75.64	353.59	123.5	447.82	341.51	204.07	101.54	101.54	176.29	102.25	277.2	215.77	37.85	100.83	82.29	54.33	0.0
SIN3A	287.01	470.14	444.72	142.01	283.05	616.37	293.07	503.95	287.01	244.57	289.02	234.57	309.83	267.73	289.02	161.02	426.57	379.04	236.21	283.05	320.8	466.88	733.19	759.08	420.68	684.02	703.28	679.29	629.35	595.34	423.61	769.69	503.95	669.92	325.29	379.04	629.35	638.15	470.14	429.54	723.08	842.36	432.53	612.11	571.05	651.58	738.29	647.07	336.79	454.09	551.56	429.54	454.09	872.1	802.41	679.29	395.18	412.0	412.0	423.61	647.07	551.56	206.94	244.57	432.53	226.54	395.18
SLC1A1	84.63	41.22	55.49	242.88	170.25	45.21	20.26	104.42	16.75	13.83	4.7	409.15	0.0	69.03	87.65	123.5	384.34	525.39	629.35	693.58	521.76	127.89	3419.52	314.17	366.09	220.32	412.0	3690.52	629.35	417.77	177.53	1628.26	698.41	599.49	198.47	348.71	320.8	2004.85	693.58	1617.0	2047.0	90.77	954.43	743.43	279.14	808.0	180.02	802.41	490.14	2855.44	158.79	934.76	703.28	1427.22	633.73	303.44	684.02	361.04	403.5	638.15	934.76	540.19	28.65	90.77	38.67	314.17	5.82
SLC25A53	63.0	98.73	98.04	99.43	88.88	63.0	47.17	53.57	85.82	33.54	141.02	33.3	0.0	142.01	35.0	180.02	84.63	86.43	81.71	117.6	110.43	60.39	128.79	85.22	108.9	191.67	114.36	92.7	180.02	120.94	47.84	82.87	112.77	151.22	142.01	104.42	78.89	140.04	201.25	64.8	102.25	169.07	129.69	77.25	92.7	161.02	96.01	127.0	68.07	175.07	173.85	175.07	146.03	215.77	105.89	107.38	150.17	37.59	134.3	141.02	111.21	111.21	94.67	69.52	71.5	107.38	58.71
SLU7	718.08	555.41	591.22	303.44	728.11	638.15	825.0	660.68	476.71	277.2	532.74	381.68	507.46	698.41	258.57	493.56	769.69	941.27	1183.45	703.28	660.68	361.04	1127.35	1008.9	753.83	490.14	848.22	813.63	1151.06	1135.2	551.56	733.19	1340.84	733.19	708.18	860.08	532.74	1225.22	878.17	909.17	1059.11	981.29	1015.93	780.44	638.15	896.64	921.88	848.22	575.03	981.29	1015.93	1175.27	591.22	547.75	743.43	656.11	813.63	616.37	748.61	830.75	738.29	1015.93	339.14	679.29	435.55	543.96	743.43
SMIM10	105.89	40.07	78.89	629.35	76.17	58.71	45.85	92.05	13.93	13.83	423.61	68.07	0.0	72.52	94.67	61.25	167.9	109.66	166.73	228.13	237.86	316.37	98.04	67.59	46.18	186.4	373.81	409.15	738.29	373.81	100.83	620.67	470.14	176.29	591.22	224.97	221.86	392.44	229.72	514.56	197.09	258.57	612.11	753.83	205.5	158.79	175.07	521.76	258.57	218.79	743.43	289.02	358.54	151.22	150.17	140.04	262.2	98.04	148.09	346.29	205.5	244.57	59.97	17.25	38.95	6.78	61.25
SPECC1L-ADORA2A	0.0	0.0	0.0	0.28	0.0	0.61	0.33	0.88	0.0	0.39	0.0	0.4	0.0	0.82	0.41	0.0	0.89	0.0	0.0	0.0	0.45	1.04	0.0	1.11	0.0	2.71	5.41	1.39	1.95	3.82	1.6	0.41	5.82	1.11	3.59	0.71	0.41	1.5	0.4	0.43	0.0	0.92	0.0	4.5	0.4	1.14	2.25	2.12	1.2	0.65	4.46	3.59	4.54	0.0	1.27	1.83	0.39	0.0	0.93	3.59	2.68	1.83	0.0	0.47	0.83	0.0	0.0
SSTR1	1.28	8.92	2.34	0.3	2.61	0.93	3.63	1.03	24.63	0.0	3.41	6.57	0.0	17.51	1.48	12.64	92.05	68.55	70.51	167.9	181.28	211.31	316.37	148.09	42.41	175.07	147.06	514.56	532.74	1051.79	15.45	244.57	1151.06	43.02	490.14	65.26	59.97	961.07	748.61	1208.34	1794.29	1143.1	173.85	1617.0	426.57	808.0	301.33	26.1	10.24	674.59	397.93	316.37	684.02	283.05	902.89	117.6	191.67	13.83	149.12	187.71	258.57	234.57	0.0	13.32	0.96	3.86	0.0
SYNJ2BP	215.77	201.25	185.11	155.5	194.36	231.32	185.11	202.66	96.68	211.31	194.36	204.07	0.0	297.17	209.84	314.17	256.78	251.48	267.73	295.11	237.86	249.73	356.05	256.78	249.73	127.89	457.25	579.04	463.65	435.55	258.57	447.82	466.88	215.77	490.14	260.38	156.59	656.11	665.29	395.18	312.0	220.32	511.0	297.17	205.5	336.79	204.07	283.05	339.14	514.56	409.15	571.05	231.32	297.17	202.66	208.38	426.57	171.45	309.83	412.0	361.04	351.14	295.11	241.19	215.77	171.45	181.28
TAF3	202.66	74.58	107.38	92.05	85.22	107.38	105.15	84.63	69.52	47.17	92.7	48.87	0.0	56.28	56.28	55.89	114.36	114.36	73.03	67.12	89.51	73.54	122.64	92.7	77.79	124.37	186.4	223.41	267.73	197.09	85.82	293.07	190.34	119.26	145.02	108.9	69.52	220.32	173.85	157.68	102.97	132.44	154.42	214.27	129.69	88.88	94.67	127.89	104.42	157.68	165.57	161.02	144.01	138.1	104.42	93.35	94.01	105.15	113.56	114.36	153.34	120.1	50.63	53.57	72.01	47.5	76.71
TBX3	59.97	587.13	47.17	182.55	35.76	1417.35	381.68	397.93	198.47	133.36	153.34	26.47	0.0	49.91	87.03	70.01	202.66	314.17	361.04	559.28	476.71	265.87	289.02	181.28	67.59	318.57	389.72	1733.13	242.88	688.78	323.03	802.41	785.88	281.09	312.0	212.78	346.29	947.83	555.41	854.13	1295.13	665.29	332.14	819.3	414.87	224.97	172.65	195.72	295.11	819.3	532.74	273.37	1208.34	205.5	379.04	318.57	384.34	40.36	309.83	379.04	629.35	450.94	228.13	253.23	74.06	57.08	17.51
TBX4	21.47	50.63	39.5	0.3	13.72	84.63	3.0	1.93	1.73	1.95	5.77	140.04	0.0	86.43	25.91	75.11	334.46	358.54	395.18	559.28	460.44	351.14	536.45	1651.0	132.44	493.56	6164.49	2075.59	1119.56	4268.94	518.15	2701.35	2835.7	1059.11	836.53	441.64	1709.26	3847.29	2956.17	536.45	1832.01	4095.0	1437.15	2777.33	1023.0	921.88	1073.91	1909.85	111.21	2627.46	1313.23	703.28	1313.23	748.61	884.29	559.28	941.27	175.07	483.38	620.67	915.51	579.04	4.94	2.34	11.04	0.72	1.38
TCF15	3.82	2.81	13.03	4.24	13.72	1.27	1.69	17.9	11.64	3.56	36.53	2.94	0.0	2.76	2.97	1.46	9.41	3.99	17.0	19.25	12.0	38.4	27.25	15.11	9.56	57.08	62.12	16.88	31.67	13.62	2.41	52.08	64.8	63.0	8.51	17.77	7.34	28.24	83.45	8.71	62.12	22.59	9.41	5.19	98.73	16.39	84.63	13.03	9.48	67.59	127.89	17.9	24.99	28.24	31.22	5.5	36.53	3.63	10.55	2.01	12.74	13.12	1.41	2.29	3.72	356.05	57.89
THRB	88.26	75.64	35.25	104.42	120.1	275.28	100.83	27.44	25.35	55.89	66.18	49.21	149.12	47.17	29.7	15.22	70.51	51.71	77.79	101.54	92.05	151.22	87.03	265.87	42.41	785.88	185.11	273.37	607.87	500.46	17.64	258.57	251.48	607.87	104.42	71.0	37.05	457.25	264.03	101.54	122.64	178.77	190.34	131.51	137.14	102.97	47.17	435.55	67.59	157.68	1322.37	166.73	251.48	417.77	147.06	122.64	50.27	42.41	103.69	102.25	140.04	116.78	6.06	74.06	226.54	2.56	4.74
TIE1	197.09	147.06	332.14	62.12	273.37	95.34	99.43	177.53	96.01	55.49	314.17	95.34	0.0	94.67	229.72	81.71	599.49	376.41	511.0	915.51	743.43	1030.12	2004.85	1135.2	417.77	1605.83	2520.38	1857.6	1794.29	2835.7	947.83	2609.3	1721.16	2485.67	1268.46	1167.14	1295.13	4671.57	2935.74	2148.82	4123.49	3639.7	3515.68	2664.15	4038.61	1605.83	2351.53	688.78	633.73	4836.35	3018.3	2701.35	2835.7	2178.83	2485.67	2739.08	1397.83	126.12	665.29	612.11	1183.45	872.1	70.01	84.63	228.13	77.25	129.69
TM2D3	417.77	764.36	718.08	633.73	708.18	848.22	426.57	921.88	825.0	595.34	1322.37	603.67	0.0	1104.13	684.02	1143.1	947.83	967.76	1167.14	1191.69	1015.93	656.11	728.11	764.36	854.13	866.07	947.83	1159.07	1350.18	1119.56	674.59	995.0	1104.13	785.88	1508.65	674.59	353.59	1369.04	1605.83	1225.22	1508.65	1104.13	878.17	1175.27	684.02	563.18	684.02	854.13	1242.34	1135.2	1369.04	1044.52	1295.13	802.41	1268.46	842.36	753.83	995.0	1023.0	1191.69	1104.13	974.5	866.07	624.99	878.17	1119.56	1709.26
TMEM123	2855.44	3325.99	2682.69	2335.28	1745.2	5219.6	2645.74	1844.76	2555.58	2451.44	988.12	3039.3	0.0	2520.38	2796.65	4123.49	2075.59	1909.85	3928.15	3235.01	2645.74	2720.15	5791.62	2816.11	2835.7	4038.61	6471.02	7180.15	8134.41	5366.37	2090.03	3372.43	6516.03	3081.75	2758.13	4328.55	1529.73	11664.82	7081.29	4298.64	3820.7	4575.41	4972.34	4298.64	2163.77	3124.78	2915.45	4038.61	3419.52	9409.14	3443.31	9215.48	4268.94	5751.61	3589.58	5633.22	3190.46	3639.7	2645.74	4328.55	3614.55	3168.41	2720.15	3146.52	2163.77	1923.14	4038.61
TMEM26	13.83	8.65	7.94	38.4	43.63	7.63	2.32	24.99	4.43	4.43	55.49	12.83	0.0	9.7	21.16	71.5	9.2	10.55	24.11	28.04	8.06	23.93	49.56	17.77	36.53	1.79	38.4	80.57	9.13	50.27	38.95	48.52	52.45	15.45	22.1	13.42	9.56	106.63	39.5	30.78	56.68	21.32	24.99	13.22	41.81	28.65	17.25	9.93	5.23	94.67	39.5	35.76	51.71	18.7	36.79	4.06	46.84	11.82	13.62	22.43	34.26	38.12	12.09	10.96	22.92	1.85	4.94
