	GTEX.13CF3.2126.SM.5IFJP	GTEX.144GM.1326.SM.5LU5E	GTEX.14C38.1526.SM.5RQJ7	TCGA.38.4625.01A.01R.1206.07	TCGA.38.4625.01A.01R.1206.07.1	TCGA.33.4589.01A.01R.1443.07	TCGA.FY.A3R9.01A.11R.A220.07	TCGA.DJ.A2QB.01A.11R.A19O.07	TCGA.BJ.A0ZE.01A.11R.A10U.07	TCGA.EM.A3FL.01A.11R.A21D.07	TCGA.EL.A3ZT.11A.13R.A23N.07	GTEX.Y111.1926.SM.4SOIS	GTEX.OIZH.2626.SM.2HMJM	GTEX.W5X1.0426.SM.3GILB	GTEX.14ABY.0926.SM.5Q5DY	GTEX.YJ89.0726.SM.5P9F7	GTEX.WH7G.0526.SM.3NMBI	GTEX.YEC4.0626.SM.5CVLU	GTEX.S341.0226.SM.5S2VG	GTEX.13OW7.0826.SM.5L3EL	GTEX.ZVP2.0426.SM.57WC2	GTEX.131XH.0526.SM.5DUX7	GTEX.13FLV.0226.SM.5J2OF	GTEX.QDVJ.0226.SM.2I5FV	GTEX.12ZZZ.1226.SM.59HK1	GTEX.13N1W.0826.SM.5MR5J	GTEX.ZVT3.0726.SM.5GICN	GTEX.ZYFC.0926.SM.5GZWW	GTEX.OHPM.2626.SM.33HC5	GTEX.11EM3.0126.SM.5985K	GTEX.WHPG.0226.SM.3NMB9	GTEX.1313W.0726.SM.5EGK1	GTEX.13QBU.0626.SM.5J2OG	GTEX.WHSB.1626.SM.3LK6J	GTEX.Y5V6.0526.SM.4VBRV	GTEX.SNOS.0226.SM.32PLR	GTEX.13O61.0226.SM.5KM52	GTEX.13X6J.0826.SM.5LU32	GTEX.OIZG.0226.SM.2TC5L	GTEX.ZZ64.0126.SM.5GZXA	GTEX.ZQG8.0926.SM.57WFF	GTEX.ZYFG.0626.SM.5GZYA	GTEX.111CU.0226.SM.5GZXC	GTEX.11NSD.0126.SM.5987F	GTEX.WL46.0126.SM.3TW8I	GTEX.RN64.0626.SM.2TC5V	GTEX.131YS.0726.SM.5P9G9	GTEX.ZC5H.0626.SM.5LU9K	GTEX.XLM4.0726.SM.4AT64	GTEX.12WSC.0826.SM.5EQ5Q	GTEX.P78B.0526.SM.2I5F7	GTEX.XUZC.0126.SM.4BOO6	GTEX.RVPV.1226.SM.2TF73	GTEX.1399U.0326.SM.5P9G5	GTEX.S7SE.0726.SM.2XCD7	GTEX.ZLWG.0526.SM.4WWFB	GTEX.117YW.0126.SM.5EGGN	GTEX.132NY.1026.SM.5P9IY	GTEX.ZT9W.0226.SM.4YCCZ	GTEX.RNOR.0926.SM.2TF56	GTEX.YEC3.0826.SM.4WWFP	GTEX.ZAK1.0726.SM.5HL8Q	GTEX.WK11.0926.SM.3NMAU	GTEX.139T6.0326.SM.5J2LY	GTEX.T2IS.0626.SM.32QP6	GTEX.OOBK.2626.SM.2HMKY	GTEX.YFCO.0326.SM.4W1ZP	GTEX.11ZVC.0126.SM.5986G	GTEX.ZY6K.0226.SM.5SIAY	GTEX.1192W.0126.SM.5EGGS	GTEX.ZA64.0426.SM.5HL96	GTEX.12WSD.0926.SM.5GCNL	GTEX.12BJ1.0426.SM.5FQSO	GTEX.ZPCL.0126.SM.4WWC8	GTEX.1212Z.0426.SM.5FQT6	GTEX.OHPK.2626.SM.2HMK9	GTEX.QLQ7.0726.SM.2I5G2	GTEX.T6MO.0226.SM.32QOL	GTEX.YB5E.0626.SM.4VDSE	GTEX.11ZTT.1026.SM.5EQKF	GTEX.13FTY.0726.SM.5J2OH	GTEX.144GL.1226.SM.5O9A4	GTEX.ZVZQ.0626.SM.59HJU	GTEX.13D11.0226.SM.5LZXL	GTEX.11VI4.0226.SM.5GU6C	GTEX.13112.0326.SM.5P9IW	GTEX.ZVZP.1026.SM.5GICI	GTEX.S4P3.0226.SM.3K2BD	GTEX.13OW6.0726.SM.5L3FX	GTEX.WYBS.1926.SM.3NM8N	GTEX.ZYT6.0426.SM.5GID3	GTEX.13VXU.0826.SM.5KLZ2	GTEX.Z9EW.0226.SM.5CVM7	GTEX.111FC.1026.SM.5GZX1	GTEX.V1D1.0926.SM.4JBHQ	GTEX.13FTW.0626.SM.5IFEX
TNNT3	51.35	6.26	5.15	0.0	0.48	2.12	13.32	3.32	0.0	10.47	76.71	660.68	42.41	113.56	320.8	139.07	24.99	133.36	77.79	656.11	137.14	412.0	165.57	15.8	620.67	15.68	224.97	450.94	43.02	70.01	59.55	163.28	28.65	55.49	45.53	52.08	42.41	316.37	189.02	82.87	46.84	82.87	96.01	121.79	473.41	277.2	267.73	189.02	64.8	796.86	96.68	62.56	293.07	44.57	567.1	37.85	332.14	165.57	20.56	376.41	59.55	237.86	466.88	46.84	435.55	320.8	28.65	185.11	46.5	141.02	46.5	234.57	42.11	63.0	299.25	94.67	46.18	23.25	40.36	15.34	563.18	185.11	2720.15	21.01	34.75	305.55	34.26	115.97	291.04	94.67	703.28	153.34	334.46	281.09	88.26	55.89
TRIM3	102.25	143.01	141.02	0.0	0.96	61.25	127.89	186.4	217.27	215.77	327.56	299.25	214.27	307.69	293.07	251.48	223.41	258.57	332.14	314.17	262.2	256.78	334.46	218.79	277.2	195.72	291.04	273.37	171.45	262.2	198.47	287.01	409.15	256.78	197.09	202.66	198.47	303.44	218.79	253.23	295.11	248.0	221.86	320.8	239.52	199.85	293.07	371.22	236.21	269.6	182.55	218.79	194.36	262.2	395.18	167.9	316.37	281.09	204.07	256.78	265.87	363.56	217.27	241.19	232.94	138.1	198.47	314.17	256.78	348.71	248.0	368.65	229.72	187.71	348.71	208.38	181.28	251.48	147.06	248.0	248.0	387.02	358.54	248.0	201.25	346.29	260.38	273.37	271.48	162.14	289.02	246.28	217.27	232.94	341.51	178.77
TRIM45	13.22	0.78	1.51	0.0	0.25	14.67	98.73	43.94	33.54	264.03	457.25	532.74	169.07	343.89	228.13	314.17	256.78	87.65	172.65	497.0	111.99	189.02	432.53	130.6	249.73	312.0	759.08	325.29	134.3	111.21	146.03	532.74	320.8	204.07	94.01	172.65	92.05	260.38	236.21	104.42	199.85	273.37	51.35	297.17	599.49	529.06	540.19	264.03	532.74	348.71	241.19	60.82	400.71	157.68	470.14	98.04	532.74	332.14	283.05	708.18	157.68	486.75	379.04	186.4	316.37	67.59	172.65	341.51	78.89	366.09	199.85	343.89	97.36	108.14	318.57	83.45	59.13	172.65	81.14	170.25	454.09	583.07	624.99	68.55	358.54	339.14	163.28	214.27	412.0	205.5	629.35	260.38	90.14	420.68	444.72	94.67
TRO	67.12	10.24	18.29	0.0	0.78	8.0	108.9	148.09	76.71	133.36	587.13	503.95	392.44	934.76	616.37	902.89	316.37	325.29	379.04	1111.82	500.46	599.49	651.58	206.94	713.11	387.02	1286.18	791.35	483.38	178.77	460.44	518.15	123.5	429.54	301.33	466.88	457.25	435.55	497.0	212.78	414.87	218.79	156.59	674.59	796.86	872.1	395.18	890.44	947.83	890.44	353.59	267.73	412.0	236.21	497.0	180.02	1119.56	825.0	212.78	503.95	397.93	1167.14	283.05	486.75	620.67	275.28	769.69	525.39	629.35	595.34	361.04	1233.75	202.66	356.05	995.0	318.57	202.66	753.83	353.59	314.17	733.19	1540.37	1151.06	211.31	441.64	915.51	961.07	486.75	441.64	325.29	764.36	587.13	373.81	480.04	1208.34	248.0
TSNARE1	153.34	47.5	127.0	0.0	0.55	108.9	285.03	269.6	334.46	232.94	567.1	713.11	384.34	647.07	267.73	518.15	395.18	426.57	571.05	466.88	366.09	417.77	708.18	381.68	351.14	525.39	698.41	679.29	271.48	295.11	497.0	583.07	591.22	470.14	295.11	387.02	358.54	358.54	409.15	314.17	483.38	409.15	260.38	529.06	571.05	486.75	563.18	743.43	575.03	486.75	409.15	320.8	529.06	332.14	518.15	351.14	607.87	476.71	346.29	480.04	356.05	532.74	536.45	348.71	507.46	339.14	353.59	503.95	406.31	624.99	450.94	555.41	420.68	361.04	403.5	373.81	327.56	327.56	303.44	371.22	555.41	595.34	583.07	332.14	444.72	493.56	420.68	674.59	500.46	454.09	514.56	361.04	312.0	438.59	698.41	450.94
TSPAN11	4.46	4.21	2.51	0.0	0.16	7.34	8.92	3.66	29.06	4.43	75.11	171.45	60.39	109.66	161.02	74.58	38.12	38.67	35.76	110.43	80.57	84.63	45.85	34.51	122.64	1.93	80.01	74.06	60.82	29.91	143.01	125.24	34.26	54.33	26.1	18.29	63.0	285.03	176.29	15.34	17.77	39.22	98.73	116.78	234.57	206.94	78.89	305.55	85.82	224.97	135.24	37.85	223.41	55.49	198.47	77.25	111.21	85.22	10.47	191.67	19.82	158.79	193.01	27.44	100.83	100.83	14.78	75.11	38.95	85.22	25.91	48.87	16.27	115.16	55.49	68.55	172.65	7.28	11.55	15.34	88.26	76.71	120.94	37.32	7.94	92.05	54.33	34.75	76.17	34.26	133.36	134.3	34.02	84.04	264.03	101.54
TSPEAR	0.0	0.08	13.32	0.0	0.17	0.0	5.63	2.46	26.47	5.11	31.22	189.02	37.32	22.75	92.05	149.12	21.16	15.45	8.58	88.88	8.51	51.71	35.76	9.06	27.44	48.52	41.52	97.36	7.69	2.46	46.18	144.01	8.06	13.03	22.26	14.89	13.12	172.65	65.26	2.76	5.36	28.86	21.01	27.05	255.0	177.53	88.26	114.36	75.64	50.27	43.32	22.26	141.02	21.01	32.36	4.5	70.01	151.22	3.92	25.54	11.64	115.97	98.73	16.39	53.19	4.82	12.27	101.54	12.36	69.03	18.43	60.39	2.63	15.34	38.4	24.28	28.24	3.99	10.31	6.06	71.5	57.89	110.43	15.0	7.4	54.72	21.16	18.03	56.68	67.59	103.69	63.0	21.47	86.43	124.37	18.56
TTC21A	30.78	36.79	57.89	0.0	0.43	15.56	90.14	99.43	74.58	69.52	343.89	202.66	164.42	403.5	110.43	249.73	193.01	133.36	231.32	275.28	119.26	166.73	312.0	152.28	74.58	132.44	371.22	123.5	137.14	126.12	228.13	190.34	167.9	287.01	170.25	208.38	114.36	124.37	212.78	139.07	226.54	169.07	105.89	303.44	173.85	301.33	251.48	327.56	195.72	167.9	159.9	127.0	147.06	158.79	161.02	107.38	273.37	287.01	173.85	320.8	165.57	277.2	140.04	197.09	273.37	144.01	140.04	285.03	99.43	299.25	206.94	314.17	124.37	137.14	258.57	120.1	115.16	202.66	122.64	211.31	232.94	316.37	368.65	112.77	191.67	307.69	152.28	339.14	228.13	116.78	279.14	100.83	191.67	167.9	511.0	107.38
TTLL3	120.1	73.54	86.43	0.0	1.08	41.22	500.46	412.0	297.17	381.68	1104.13	1167.14	414.87	1167.14	603.67	1662.49	583.07	500.46	819.3	1447.15	500.46	743.43	1331.57	728.11	708.18	954.43	1340.84	1066.48	470.14	612.11	629.35	1250.98	688.78	728.11	490.14	669.92	457.25	941.27	679.29	497.0	708.18	579.04	232.94	884.29	1268.46	1437.15	1216.75	1268.46	1594.73	1127.35	647.07	336.79	1111.82	642.59	961.07	358.54	1350.18	1066.48	476.71	1143.1	674.59	1477.58	1015.93	603.67	981.29	293.07	500.46	1066.48	432.53	1709.26	684.02	1322.37	620.67	301.33	915.51	620.67	480.04	684.02	332.14	525.39	1508.65	1883.54	1909.85	450.94	647.07	1322.37	511.0	728.11	1023.0	1081.39	1030.12	748.61	426.57	1233.75	1617.0	293.07
UACA	518.15	172.65	161.02	0.0	0.21	387.02	684.02	733.19	555.41	808.0	1437.15	1551.09	928.3	3716.2	1159.07	1369.04	1268.46	679.29	1143.1	2119.22	848.22	1111.82	2777.33	1191.69	1127.35	2796.65	3847.29	2047.0	1208.34	896.64	1015.93	2224.63	2032.85	1183.45	921.88	684.02	748.61	1183.45	1498.22	1030.12	1350.18	1183.45	490.14	878.17	2018.8	2047.0	2319.15	1733.13	1572.76	1397.83	1175.27	633.73	1369.04	633.73	1167.14	713.11	2018.8	1733.13	884.29	2032.85	1277.29	3742.05	1059.11	878.17	1199.98	796.86	738.29	2591.27	738.29	1259.69	599.49	3146.52	647.07	607.87	2720.15	1143.1	854.13	854.13	785.88	1073.91	1111.82	2047.0	2627.46	595.34	884.29	1388.16	651.58	2004.85	1977.24	1286.18	1733.13	1199.98	941.27	1487.87	2119.22	540.19
UBA7	107.38	246.28	269.6	0.0	0.92	212.78	656.11	708.18	536.45	624.99	1437.15	2287.2	890.44	1896.65	1250.98	2645.74	1015.93	928.3	1268.46	2004.85	1037.29	1191.69	2209.26	915.51	1242.34	775.05	2193.99	1963.57	780.44	836.53	1628.26	2032.85	961.07	1397.83	884.29	915.51	981.29	2090.03	1447.15	693.58	1225.22	1081.39	674.59	1447.15	2090.03	3190.46	3081.75	1561.89	1883.54	1909.85	1437.15	1023.0	1662.49	1127.35	1806.78	825.0	2417.67	2271.4	995.0	2075.59	947.83	1963.57	1870.53	1104.13	2119.22	854.13	866.07	2104.58	1037.29	2335.28	1242.34	2032.85	836.53	748.61	1529.73	1143.1	842.36	1233.75	967.76	813.63	3372.43	3018.3	2468.49	954.43	1259.69	1857.6	995.0	1594.73	2104.58	1037.29	1794.29	1151.06	1008.9	1757.34	2319.15	830.75
USP20	182.55	260.38	318.57	0.0	0.65	65.26	684.02	813.63	934.76	866.07	1143.1	1331.57	1111.82	954.43	647.07	1313.23	1030.12	802.41	860.08	1369.04	723.08	902.89	1023.0	854.13	703.28	1066.48	1508.65	1096.5	629.35	483.38	967.76	1119.56	802.41	1259.69	769.69	1119.56	713.11	836.53	928.3	743.43	748.61	743.43	651.58	1104.13	1277.29	1594.73	1331.57	1407.55	1015.93	890.44	1104.13	902.89	1104.13	848.22	921.88	599.49	1183.45	1268.46	669.92	1088.92	813.63	1259.69	921.88	921.88	967.76	981.29	988.12	1096.5	848.22	1119.56	928.3	1008.9	738.29	860.08	1111.82	988.12	587.13	1051.79	1023.0	764.36	1151.06	1369.04	1529.73	902.89	1111.82	1191.69	928.3	1457.23	1037.29	1159.07	1143.1	819.3	890.44	1437.15	1487.87	642.59
VILL	29.06	5.96	12.83	0.0	0.44	21.01	104.42	115.16	143.01	159.9	327.56	444.72	273.37	379.04	205.5	563.18	226.54	132.44	215.77	341.51	158.79	291.04	356.05	198.47	220.32	91.41	444.72	327.56	159.9	132.44	248.0	403.5	171.45	283.05	220.32	214.27	223.41	339.14	277.2	120.1	209.84	229.72	109.66	336.79	559.28	583.07	543.96	441.64	356.05	409.15	339.14	234.57	361.04	175.07	295.11	145.02	473.41	379.04	173.85	387.02	191.67	423.61	389.72	206.94	366.09	194.36	150.17	476.71	291.04	361.04	260.38	346.29	172.65	181.28	320.8	239.52	140.04	144.01	163.28	146.03	511.0	348.71	412.0	178.77	265.87	373.81	199.85	318.57	251.48	156.59	400.71	239.52	166.73	409.15	567.1	125.24
WDR27	84.63	34.26	77.25	0.0	1.04	58.3	251.48	183.82	161.02	123.5	1104.13	698.41	297.17	961.07	457.25	1159.07	420.68	316.37	395.18	961.07	248.0	563.18	830.75	262.2	860.08	703.28	988.12	759.08	279.14	417.77	450.94	1037.29	629.35	808.0	387.02	480.04	323.03	595.34	551.56	518.15	583.07	518.15	256.78	1175.27	974.5	796.86	708.18	1407.55	1143.1	928.3	463.65	299.25	547.75	376.41	723.08	447.82	1268.46	1030.12	423.61	902.89	532.74	1143.1	551.56	728.11	688.78	334.46	583.07	954.43	563.18	928.3	651.58	1073.91	457.25	361.04	1369.04	285.03	312.0	543.96	518.15	429.54	679.29	1350.18	1359.57	265.87	595.34	878.17	669.92	775.05	669.92	624.99	890.44	483.38	507.46	842.36	1175.27	264.03
WDR86	8.06	4.86	4.46	0.0	0.67	13.52	559.28	1313.23	202.66	796.86	1685.71	2976.74	748.61	1051.79	1250.98	3303.0	1605.83	884.29	884.29	1350.18	395.18	1313.23	1447.15	409.15	995.0	1896.65	1540.37	769.69	341.51	656.11	866.07	1551.09	1331.57	2335.28	339.14	1277.29	265.87	842.36	1268.46	624.99	941.27	753.83	503.95	2319.15	2148.82	2573.36	2485.67	2701.35	2816.11	1551.09	1104.13	563.18	1051.79	785.88	1397.83	791.35	1883.54	1950.0	603.67	1617.0	543.96	1639.59	1359.57	934.76	866.07	703.28	872.1	1167.14	612.11	3168.41	1540.37	1417.35	967.76	1008.9	775.05	358.54	381.68	902.89	723.08	356.05	1427.22	2502.97	2758.13	1175.27	1909.85	1277.29	532.74	878.17	1794.29	1685.71	1529.73	928.3	647.07	1407.55	3146.52	403.5
XRCC3	73.54	26.1	76.17	0.0	1.0	325.29	114.36	91.41	189.02	120.1	291.04	228.13	141.02	183.82	125.24	251.48	176.29	161.02	241.19	205.5	172.65	158.79	264.03	155.5	97.36	171.45	246.28	173.85	102.25	189.02	183.82	231.32	281.09	258.57	154.42	171.45	169.07	158.79	122.64	145.02	205.5	195.72	111.21	193.01	205.5	260.38	271.48	287.01	197.09	191.67	162.14	121.79	181.28	214.27	226.54	119.26	212.78	269.6	186.4	171.45	193.01	236.21	206.94	157.68	147.06	123.5	136.19	215.77	144.01	231.32	178.77	255.0	169.07	127.0	187.71	182.55	127.0	139.07	124.37	143.01	265.87	305.55	244.57	151.22	201.25	262.2	159.9	197.09	218.79	143.01	201.25	142.01	127.0	232.94	279.14	134.3
ZDHHC11B	24.99	8.45	73.03	0.0	0.72	1.2	48.52	54.72	21.63	33.78	177.53	212.78	48.18	228.13	96.68	194.36	64.8	61.68	77.79	130.6	146.03	229.72	389.72	43.02	99.43	155.5	363.56	42.11	31.45	92.7	107.38	126.12	103.69	52.45	78.89	59.55	53.19	185.11	67.59	46.5	75.64	63.45	40.64	181.28	239.52	242.88	169.07	75.11	182.55	226.54	73.03	45.21	255.0	37.32	218.79	28.45	368.65	156.59	150.17	201.25	69.03	450.94	165.57	69.52	170.25	38.4	79.45	417.77	27.84	249.73	251.48	954.43	59.97	53.57	161.02	63.0	45.53	27.84	67.59	95.34	285.03	371.22	368.65	35.0	204.07	497.0	102.25	161.02	183.82	63.0	242.88	206.94	52.08	96.01	234.57	108.9
ZFYVE28	76.17	44.89	137.14	0.0	0.73	18.43	232.94	267.73	197.09	182.55	307.69	334.46	248.0	406.31	246.28	460.44	305.55	197.09	314.17	400.71	273.37	211.31	406.31	136.19	127.89	351.14	521.76	253.23	178.77	182.55	371.22	500.46	567.1	323.03	187.71	291.04	295.11	314.17	265.87	136.19	223.41	206.94	148.09	262.2	420.68	444.72	497.0	358.54	373.81	403.5	241.19	199.85	234.57	202.66	241.19	260.38	285.03	417.77	99.43	423.61	269.6	318.57	258.57	260.38	273.37	185.11	264.03	307.69	258.57	466.88	172.65	279.14	146.03	176.29	209.84	239.52	158.79	205.5	172.65	273.37	248.0	356.05	497.0	149.12	293.07	248.0	387.02	384.34	395.18	476.71	366.09	221.86	137.14	397.93	514.56	197.09
ZMAT1	55.89	9.56	18.16	0.0	0.65	1.58	470.14	262.2	158.79	147.06	1477.58	1135.2	497.0	2004.85	884.29	1081.39	688.78	480.04	463.65	1806.78	392.44	743.43	1639.59	529.06	1059.11	688.78	1769.57	1051.79	780.44	551.56	860.08	1529.73	647.07	890.44	529.06	500.46	291.04	854.13	860.08	381.68	769.69	559.28	289.02	928.3	1151.06	1477.58	1233.75	954.43	884.29	1015.93	480.04	318.57	872.1	854.13	890.44	373.81	1378.57	1081.39	497.0	1277.29	384.34	1378.57	808.0	651.58	902.89	307.69	368.65	1628.26	435.55	1477.58	967.76	1369.04	444.72	305.55	1250.98	559.28	450.94	638.15	215.77	563.18	1191.69	1769.57	1551.09	236.21	954.43	1498.22	638.15	1088.92	974.5	503.95	1331.57	1066.48	514.56	1551.09	1870.53	438.59
ZMIZ2	444.72	277.2	339.14	0.0	1.2	182.55	1572.76	1427.22	1277.29	1030.12	3190.46	2555.58	1322.37	2018.8	1388.16	2701.35	1697.45	1594.73	1909.85	2520.38	1437.15	1617.0	2777.33	1832.01	1359.57	2796.65	3039.3	2104.58	934.76	1250.98	1991.0	2591.27	2240.11	2104.58	1331.57	1870.53	1447.15	1896.65	2193.99	1583.71	1651.0	1662.49	1135.2	2271.4	2591.27	2855.44	2591.27	2451.44	2468.49	1883.54	1709.26	1359.57	2047.0	1806.78	2178.83	1259.69	2609.3	2627.46	1639.59	2682.69	1561.89	2468.49	1963.57	1806.78	2148.82	1487.87	1304.15	2468.49	1572.76	3018.3	1819.35	2271.4	1733.13	1350.18	2609.3	1457.23	1250.98	1561.89	1286.18	1806.78	2400.97	3124.78	2855.44	1233.75	2004.85	2701.35	1498.22	2224.63	2224.63	1781.89	2835.7	1628.26	1322.37	1963.57	3716.2	1250.98
ZNF251	147.06	33.78	99.43	0.0	0.77	92.05	406.31	241.19	246.28	379.04	954.43	733.19	366.09	759.08	507.46	616.37	603.67	412.0	518.15	842.36	426.57	429.54	713.11	518.15	507.46	503.95	708.18	629.35	346.29	381.68	497.0	796.86	616.37	651.58	343.89	460.44	309.83	507.46	486.75	356.05	575.03	511.0	293.07	583.07	656.11	854.13	753.83	660.68	466.88	660.68	358.54	454.09	525.39	521.76	743.43	348.71	612.11	728.11	473.41	764.36	438.59	718.08	583.07	483.38	733.19	312.0	397.93	529.06	466.88	780.44	583.07	748.61	406.31	358.54	463.65	521.76	297.17	536.45	361.04	403.5	595.34	866.07	1183.45	371.22	679.29	669.92	384.34	842.36	607.87	457.25	780.44	463.65	420.68	660.68	1167.14	353.59
ZNF334	16.27	0.71	11.3	0.0	0.43	1.25	30.12	74.06	45.85	47.5	395.18	273.37	180.02	743.43	256.78	356.05	262.2	152.28	223.41	426.57	140.04	202.66	466.88	129.69	153.34	124.37	426.57	316.37	217.27	142.01	242.88	400.71	223.41	232.94	152.28	105.15	115.16	255.0	218.79	109.66	181.28	177.53	100.83	287.01	329.84	555.41	289.02	480.04	460.44	242.88	146.03	140.04	253.23	202.66	303.44	115.97	368.65	412.0	114.36	450.94	132.44	420.68	182.55	170.25	348.71	100.13	162.14	353.59	170.25	320.8	217.27	457.25	127.89	110.43	249.73	206.94	114.36	228.13	102.25	126.12	299.25	403.5	575.03	89.51	267.73	343.89	151.22	409.15	303.44	187.71	269.6	150.17	166.73	271.48	595.34	161.02
ZNF662	23.08	43.63	19.68	0.0	0.53	0.96	79.45	72.01	59.97	74.58	206.94	98.04	76.71	320.8	71.5	115.97	103.69	120.1	120.1	180.02	80.57	97.36	175.07	124.37	51.35	103.69	221.86	96.68	94.67	125.24	173.85	139.07	124.37	127.0	100.83	123.5	102.97	90.14	154.42	120.94	141.02	111.99	99.43	153.34	102.25	220.32	194.36	209.84	143.01	121.79	92.7	78.34	117.6	172.65	144.01	88.26	195.72	183.82	125.24	178.77	120.94	185.11	91.41	147.06	105.89	82.29	100.83	205.5	79.45	348.71	119.26	283.05	108.14	64.34	127.89	143.01	122.64	154.42	122.64	146.03	127.0	214.27	220.32	59.13	189.02	283.05	103.69	205.5	169.07	49.21	165.57	80.01	108.9	124.37	262.2	111.99
ZNF76	291.04	189.02	171.45	0.0	0.78	239.52	1286.18	921.88	785.88	1073.91	1674.06	1268.46	1259.69	1208.34	1096.5	1487.87	1540.37	1216.75	1322.37	1477.58	1104.13	981.29	1697.45	1268.46	928.3	1896.65	1896.65	1340.84	921.88	1037.29	1191.69	1388.16	1617.0	1685.71	1015.93	1639.59	1225.22	1044.52	1295.13	1208.34	1233.75	1304.15	909.17	1605.83	1369.04	1540.37	1844.76	2104.58	1369.04	1183.45	1397.83	1407.55	1175.27	1277.29	1350.18	1037.29	1909.85	1651.0	1388.16	1508.65	1313.23	1617.0	1135.2	1487.87	1457.23	1030.12	1044.52	1685.71	1216.75	1844.76	1487.87	1508.65	1268.46	921.88	1662.49	1119.56	902.89	1617.0	1081.39	1331.57	1417.35	1697.45	1651.0	1268.46	1378.57	1685.71	1447.15	1721.16	1498.22	1216.75	1709.26	1030.12	1322.37	1286.18	1923.14	1030.12
ZNF789	89.51	39.22	65.72	127.89	249.73	132.44	262.2	172.65	189.02	142.01	503.95	444.72	242.88	460.44	275.28	624.99	271.48	194.36	256.78	529.06	194.36	291.04	392.44	329.84	327.56	218.79	476.71	336.79	206.94	191.67	291.04	447.82	226.54	279.14	194.36	244.57	217.27	395.18	269.6	185.11	309.83	273.37	191.67	289.02	400.71	532.74	500.46	376.41	420.68	339.14	275.28	209.84	379.04	285.03	514.56	175.07	417.77	529.06	212.78	551.56	220.32	447.82	371.22	226.54	521.76	169.07	237.86	457.25	234.57	511.0	262.2	514.56	185.11	199.85	327.56	271.48	248.0	253.23	187.71	251.48	420.68	669.92	759.08	150.17	264.03	426.57	269.6	356.05	358.54	291.04	476.71	307.69	183.82	521.76	684.02	170.25
ZNF836	62.56	26.47	51.71	0.0	0.09	57.49	83.45	111.99	84.63	136.19	165.57	190.34	100.13	236.21	175.07	220.32	135.24	117.6	140.04	198.47	127.89	156.59	154.42	163.28	150.17	273.37	204.07	165.57	141.02	126.12	154.42	166.73	177.53	187.71	123.5	103.69	108.9	136.19	123.5	140.04	140.04	135.24	123.5	153.34	214.27	198.47	239.52	239.52	195.72	176.29	189.02	110.43	182.55	137.14	149.12	105.89	211.31	201.25	135.24	171.45	137.14	239.52	175.07	128.79	199.85	108.9	111.21	220.32	134.3	181.28	125.24	169.07	176.29	122.64	232.94	134.3	111.99	121.79	98.04	165.57	220.32	214.27	285.03	137.14	204.07	163.28	126.12	221.86	162.14	206.94	209.84	139.07	159.9	146.03	215.77	95.34
ZNF846	101.54	50.63	39.5	0.0	0.37	96.01	103.69	96.01	129.69	121.79	214.27	151.22	130.6	327.56	163.28	189.02	194.36	226.54	223.41	224.97	143.01	147.06	249.73	202.66	206.94	147.06	242.88	265.87	161.02	143.01	262.2	209.84	197.09	241.19	156.59	178.77	181.28	215.77	301.33	205.5	208.38	234.57	101.54	329.84	173.85	241.19	249.73	366.09	229.72	202.66	205.5	158.79	190.34	153.34	190.34	120.94	295.11	305.55	161.02	205.5	167.9	249.73	164.42	157.68	212.78	139.07	156.59	301.33	170.25	291.04	212.78	275.28	169.07	158.79	249.73	135.24	155.5	147.06	121.79	163.28	246.28	343.89	307.69	223.41	217.27	248.0	149.12	201.25	202.66	148.09	293.07	175.07	149.12	187.71	291.04	121.79
