	TCGA.EM.A2CU.01A.12R.A180.07	TCGA.CE.A482.01A.11R.A23W.07	TCGA.EM.A4FV.01A.11R.A250.07	TCGA.KS.A4I7.01A.11R.A250.07	TCGA.DJ.A2PQ.01A.11R.A18C.07	TCGA.DJ.A2PS.01A.11R.A18C.07	TCGA.DJ.A13P.01A.11R.A10U.07	TCGA.ET.A25K.01A.11R.A16R.07	TCGA.EM.A2CS.01A.11R.A180.07	TCGA.ET.A3BP.01A.21R.A19O.07	TCGA.DJ.A4UP.01A.11R.A250.07	TCGA.EM.A1CV.01A.11R.A13Y.07	TCGA.DJ.A3VK.01A.11R.A23N.07	TCGA.EM.A1CS.01A.11R.A13Y.07	TCGA.EM.A3SX.01A.11R.A22U.07	TCGA.DJ.A3US.01A.11R.A22L.07	TCGA.DJ.A3UK.01A.11R.A22L.07	TCGA.EM.A22P.01A.11R.A19O.07	TCGA.DJ.A2PX.01A.11R.A18C.07	TCGA.DJ.A2PO.01A.21R.A19O.07	TCGA.EM.A3AK.01A.11R.A206.07	TCGA.EM.A2P0.01A.11R.A206.07	TCGA.ET.A2N4.01A.12R.A19O.07	TCGA.DJ.A3UV.01A.11R.A22L.07	TCGA.DJ.A13T.01A.11R.A10U.07	TCGA.DJ.A1QM.01A.11R.A14Y.07	TCGA.DJ.A3UN.01A.11R.A22L.07	TCGA.DJ.A1QN.01A.11R.A14Y.07	TCGA.DJ.A2Q7.01A.11R.A18C.07	TCGA.ET.A39L.01A.12R.A19O.07	TCGA.BJ.A0ZJ.01A.11R.A10U.07	TCGA.BJ.A18Y.01A.11R.A13Y.07	TCGA.DJ.A3UR.01A.11R.A22L.07	TCGA.EL.A3ZG.01A.11R.A23N.07	TCGA.ET.A39R.01A.11R.A19O.07	TCGA.DJ.A13X.01A.11R.A10U.07	TCGA.ET.A2MZ.01A.12R.A19O.07	TCGA.ET.A25P.01A.11R.A16R.07	TCGA.ET.A39S.01A.11R.A19O.07	TCGA.BJ.A45H.01A.12R.A23W.07	TCGA.EM.A3AR.01A.12R.A20F.07	TCGA.BJ.A2N8.11A.11R.A18C.07	GTEX.OIZH.2626.SM.2HMJM	GTEX.14ABY.0926.SM.5Q5DY	GTEX.WH7G.0526.SM.3NMBI	GTEX.YEC4.0626.SM.5CVLU	GTEX.S341.0226.SM.5S2VG	GTEX.131XH.0526.SM.5DUX7	GTEX.13FLV.0226.SM.5J2OF	GTEX.QDVJ.0226.SM.2I5FV	GTEX.12ZZZ.1226.SM.59HK1	GTEX.13N1W.0826.SM.5MR5J	GTEX.ZYFC.0926.SM.5GZWW	GTEX.WWYW.0826.SM.3NB2X	GTEX.12WSK.0926.SM.5CVNQ	GTEX.1313W.0726.SM.5EGK1	GTEX.13QBU.0626.SM.5J2OG	GTEX.WHSB.1626.SM.3LK6J	GTEX.Y5V6.0526.SM.4VBRV	GTEX.SNOS.0226.SM.32PLR	GTEX.13O61.0226.SM.5KM52	GTEX.OIZG.0226.SM.2TC5L	GTEX.ZYFG.0626.SM.5GZYA	GTEX.WL46.0126.SM.3TW8I	GTEX.131YS.0726.SM.5P9G9	GTEX.XLM4.0726.SM.4AT64	GTEX.12WSC.0826.SM.5EQ5Q	GTEX.P78B.0526.SM.2I5F7	GTEX.XUZC.0126.SM.4BOO6	GTEX.RVPV.1226.SM.2TF73	GTEX.1399U.0326.SM.5P9G5	GTEX.ZLWG.0526.SM.4WWFB	GTEX.132NY.1026.SM.5P9IY	GTEX.11TTK.0826.SM.5N9EG	GTEX.YEC3.0826.SM.4WWFP	GTEX.ZAK1.0726.SM.5HL8Q	GTEX.139T6.0326.SM.5J2LY	GTEX.PX3G.2626.SM.2I3EG	GTEX.OOBK.2626.SM.2HMKY	GTEX.YFCO.0326.SM.4W1ZP	GTEX.11ZVC.0126.SM.5986G	GTEX.ZY6K.0226.SM.5SIAY	GTEX.1192W.0126.SM.5EGGS	GTEX.ZA64.0426.SM.5HL96	GTEX.12BJ1.0426.SM.5FQSO	GTEX.1212Z.0426.SM.5FQT6	GTEX.OHPK.2626.SM.2HMK9	GTEX.QLQ7.0726.SM.2I5G2	GTEX.T6MO.0226.SM.32QOL	GTEX.YB5E.0626.SM.4VDSE	GTEX.11ZTT.1026.SM.5EQKF	GTEX.12WSJ.0326.SM.5GCMT	GTEX.PLZ4.1226.SM.2I5FE	GTEX.11VI4.0226.SM.5GU6C	GTEX.UJMC.0326.SM.3GAE2	GTEX.ZVZP.1026.SM.5GICI	GTEX.S4P3.0226.SM.3K2BD	GTEX.13OW6.0726.SM.5L3FX	GTEX.WYBS.1926.SM.3NM8N	GTEX.13NYC.2426.SM.5MR3K	GTEX.ZYT6.0426.SM.5GID3	GTEX.13VXU.0826.SM.5KLZ2	GTEX.111FC.1026.SM.5GZX1
SEMA4C	759.08	1096.5	775.05	974.5	718.08	698.41	854.13	743.43	802.41	915.51	603.67	698.41	599.49	1104.13	1111.82	500.46	860.08	1111.82	497.0	791.35	836.53	769.69	669.92	703.28	733.19	728.11	802.41	967.76	860.08	941.27	633.73	595.34	902.89	684.02	961.07	764.36	748.61	656.11	665.29	713.11	490.14	316.37	283.05	236.21	262.2	232.94	236.21	267.73	325.29	246.28	395.18	289.02	587.13	351.14	237.86	414.87	406.31	351.14	197.09	295.11	283.05	289.02	314.17	400.71	423.61	392.44	403.5	387.02	248.0	260.38	353.59	229.72	373.81	363.56	224.97	728.11	264.03	480.04	373.81	152.28	414.87	249.73	392.44	269.6	293.07	486.75	571.05	450.94	198.47	132.44	166.73	341.51	316.37	269.6	237.86	190.34	246.28	368.65	366.09	403.5	312.0	376.41	241.19
SHB	480.04	376.41	361.04	348.71	341.51	303.44	450.94	329.84	368.65	279.14	336.79	363.56	316.37	325.29	412.0	269.6	287.01	273.37	285.03	356.05	376.41	303.44	358.54	368.65	384.34	291.04	358.54	323.03	287.01	248.0	269.6	312.0	389.72	414.87	265.87	441.64	450.94	285.03	438.59	325.29	325.29	275.28	229.72	303.44	209.84	228.13	190.34	363.56	309.83	212.78	348.71	262.2	356.05	273.37	229.72	353.59	242.88	217.27	241.19	180.02	201.25	348.71	258.57	379.04	332.14	353.59	316.37	287.01	205.5	260.38	180.02	281.09	273.37	299.25	277.2	343.89	248.0	256.78	301.33	241.19	281.09	194.36	305.55	244.57	264.03	323.03	194.36	242.88	183.82	281.09	204.07	217.27	262.2	251.48	194.36	211.31	193.01	209.84	289.02	341.51	295.11	348.71	301.33
SIPA1L2	660.68	928.3	713.11	633.73	860.08	860.08	674.59	988.12	866.07	389.72	688.78	769.69	466.88	1023.0	698.41	381.68	651.58	693.58	536.45	483.38	728.11	656.11	693.58	624.99	896.64	368.65	819.3	947.83	620.67	361.04	363.56	289.02	698.41	293.07	403.5	808.0	780.44	435.55	587.13	551.56	325.29	212.78	134.3	194.36	150.17	165.57	147.06	149.12	356.05	318.57	205.5	376.41	275.28	555.41	206.94	236.21	208.38	156.59	199.85	87.03	153.34	126.12	198.47	165.57	341.51	297.17	312.0	172.65	90.77	186.4	165.57	178.77	348.71	281.09	209.84	301.33	187.71	209.84	206.94	63.89	329.84	229.72	403.5	195.72	226.54	224.97	128.79	144.01	115.97	63.0	147.06	143.01	316.37	73.54	167.9	114.36	215.77	249.73	133.36	547.75	194.36	166.73	189.02
SPINK2	41.81	71.0	24.63	205.5	121.79	208.38	332.14	27.64	11.82	236.21	150.17	33.54	63.0	85.22	29.7	27.05	57.08	63.89	57.49	165.57	95.34	58.3	120.94	50.63	30.78	37.85	96.68	154.42	77.79	27.25	54.33	58.3	26.67	175.07	93.35	27.05	19.68	127.89	106.63	49.21	8.19	10.71	45.53	6.26	14.24	18.29	6.31	126.12	13.52	19.39	13.93	6.11	3.35	5.36	6.31	10.71	10.31	10.08	18.7	65.26	8.06	17.64	41.22	19.39	38.95	12.18	23.25	23.08	0.0	23.59	12.74	32.13	18.43	14.67	12.74	3.38	44.89	8.85	19.82	38.4	10.63	77.79	3.72	7.57	41.81	148.09	37.05	23.42	14.56	40.36	25.72	23.93	8.38	16.75	70.51	6.06	26.28	6.31	14.35	6.67	10.39	14.35	12.74
SPINT1	3168.41	3955.48	2758.13	4181.07	3665.02	2935.74	4298.64	3982.99	3443.31	3257.52	2777.33	3257.52	2384.37	4210.15	3081.75	2434.5	3280.18	3515.68	2664.15	3690.52	3614.55	3325.99	3955.48	2976.74	3665.02	3928.15	3955.48	4268.94	3716.2	2777.33	2627.46	2701.35	3467.27	4298.64	3540.14	3349.13	3768.09	2645.74	3280.18	3515.68	2303.12	1594.73	1127.35	1561.89	1119.56	2400.97	1457.23	1617.0	1059.11	1819.35	1088.92	1685.71	974.5	802.41	1088.92	1008.9	1794.29	1397.83	1583.71	1769.57	2796.65	2032.85	1508.65	1208.34	1519.15	813.63	1088.92	1191.69	915.51	1923.14	836.53	1447.15	1313.23	698.41	2682.69	915.51	1685.71	1225.22	1936.53	1709.26	825.0	2319.15	1857.6	1477.58	1963.57	1096.5	872.1	1151.06	1870.53	2004.85	2148.82	1781.89	974.5	1551.09	656.11	1639.59	2119.22	1151.06	2224.63	1685.71	1508.65	1806.78	1127.35
SPTBN2	71.0	144.01	177.53	228.13	277.2	187.71	241.19	111.21	153.34	511.0	98.04	234.57	55.1	480.04	244.57	43.32	262.2	167.9	117.6	293.07	307.69	171.45	190.34	92.7	277.2	211.31	281.09	260.38	307.69	86.43	97.36	67.59	201.25	303.44	191.67	215.77	138.1	136.19	108.14	194.36	59.55	45.21	30.12	9.7	12.93	16.63	8.51	4.24	0.72	21.94	19.25	3.11	39.5	2.66	5.11	2.2	29.27	16.75	48.87	58.71	25.72	5.77	41.81	29.27	36.53	19.11	37.05	6.36	14.56	44.25	12.55	23.08	13.12	13.32	15.0	21.78	18.56	9.56	59.97	19.11	10.24	15.56	44.57	6.36	7.4	109.66	4.66	37.85	20.41	1.51	9.41	90.77	8.32	28.86	34.51	0.8	12.0	14.89	16.51	42.71	13.12	4.24	7.57
SRP68	2032.85	1662.49	2148.82	1769.57	2148.82	2240.11	2047.0	1936.53	2075.59	2240.11	1651.0	2119.22	1844.76	1936.53	2163.77	1870.53	2018.8	1991.0	2104.58	2591.27	2240.11	2209.26	2287.2	1721.16	2240.11	1674.06	2573.36	2193.99	2351.53	1950.0	2018.8	1685.71	2319.15	2032.85	1870.53	2224.63	2758.13	2796.65	2209.26	1909.85	1819.35	1832.01	1721.16	1529.73	1477.58	1769.57	1583.71	1477.58	1216.75	1662.49	1457.23	1674.06	1397.83	1551.09	1417.35	1322.37	1397.83	1674.06	1806.78	1781.89	1651.0	1639.59	1477.58	1447.15	1359.57	1331.57	1208.34	1721.16	1963.57	1605.83	1605.83	1639.59	1104.13	1540.37	1806.78	1295.13	1561.89	1467.37	2075.59	1757.34	1175.27	1832.01	1259.69	1295.13	1519.15	1407.55	1378.57	2032.85	1498.22	2119.22	1781.89	1583.71	1487.87	1697.45	1733.13	1709.26	1551.09	1225.22	1551.09	1551.09	1487.87	1605.83	1467.37
STEAP4	1340.84	981.29	872.1	633.73	896.64	1487.87	813.63	1135.2	587.13	1015.93	830.75	1030.12	1350.18	575.03	435.55	547.75	1073.91	796.86	1417.35	1183.45	1151.06	567.1	525.39	769.69	753.83	928.3	361.04	848.22	603.67	1081.39	902.89	708.18	738.29	1277.29	703.28	1277.29	1286.18	1159.07	1073.91	830.75	808.0	486.75	674.59	346.29	708.18	414.87	395.18	587.13	215.77	748.61	172.65	176.29	132.44	620.67	476.71	177.53	934.76	775.05	674.59	674.59	660.68	713.11	1225.22	223.41	206.94	860.08	223.41	579.04	684.02	253.23	368.65	457.25	303.44	264.03	2004.85	180.02	373.81	223.41	791.35	215.77	575.03	890.44	248.0	406.31	406.31	314.17	426.57	698.41	232.94	529.06	277.2	842.36	1151.06	536.45	1119.56	921.88	466.88	353.59	480.04	669.92	118.43	209.84	146.03
STMN1	1044.52	1745.2	1662.49	1844.76	2240.11	1909.85	3325.99	3168.41	2178.83	3639.7	1697.45	1950.0	3124.78	2485.67	2004.85	1628.26	2609.3	2271.4	2287.2	2520.38	1662.49	1572.76	1936.53	2319.15	1697.45	1709.26	2193.99	2367.9	2796.65	1183.45	1819.35	1662.49	2384.37	2976.74	2875.3	1551.09	1857.6	1977.24	2032.85	1529.73	1936.53	1259.69	941.27	2645.74	728.11	647.07	743.43	1225.22	708.18	674.59	1397.83	743.43	1111.82	1397.83	1572.76	1697.45	775.05	748.61	713.11	974.5	669.92	1651.0	896.64	2004.85	1350.18	1844.76	1508.65	1225.22	688.78	2090.03	902.89	738.29	775.05	1467.37	884.29	1417.35	708.18	1167.14	961.07	1304.15	2133.97	1030.12	1467.37	981.29	842.36	1487.87	629.35	830.75	460.44	743.43	1096.5	409.15	2434.5	878.17	660.68	1359.57	1015.93	1073.91	1135.2	1832.01	1685.71	1781.89	1313.23
TBC1D2	941.27	1250.98	808.0	995.0	896.64	1268.46	718.08	1233.75	830.75	967.76	748.61	884.29	563.18	872.1	656.11	521.76	764.36	684.02	665.29	1143.1	1051.79	860.08	902.89	708.18	813.63	1073.91	902.89	842.36	836.53	540.19	684.02	476.71	954.43	967.76	1059.11	995.0	995.0	738.29	974.5	1167.14	583.07	269.6	158.79	149.12	145.02	318.57	406.31	158.79	145.02	1467.37	163.28	195.72	185.11	224.97	132.44	193.01	279.14	176.29	194.36	277.2	332.14	226.54	155.5	285.03	480.04	107.38	191.67	334.46	279.14	403.5	202.66	229.72	153.34	217.27	921.88	273.37	336.79	267.73	878.17	323.03	129.69	412.0	409.15	239.52	698.41	114.36	260.38	320.8	239.52	283.05	470.14	514.56	129.69	140.04	246.28	224.97	239.52	140.04	379.04	587.13	143.01	153.34	118.43
TG	402881.61	301123.38	447025.24	294926.33	513497.31	360589.03	517068.97	381149.17	368165.8	569761.05	355624.68	348306.01	731246.37	378516.38	496005.67	687022.54	431797.89	434801.29	450134.56	341137.96	417089.23	307450.64	524287.0	513497.31	370726.6	783730.52	456418.21	191899.64	437825.58	577714.63	614902.29	1085552.95	479109.86	462789.59	256748.15	425853.18	561916.97	411347.03	485798.0	623486.02	517068.97	1131651.83	1364554.84	2068278.89	1452391.55	2247670.86	2126426.15	1751305.3	1273174.62	1503610.06	2375828.71	2111737.85	1611529.43	1204496.53	1308968.45	1622738.51	1493223.86	1739208.14	1634025.56	1838374.44	1997825.68	1984025.69	1997825.68	1984025.69	1355129.16	2986448.72	1567462.05	2025714.3	1318073.06	2425749.94	1402917.72	1929772.37	1299926.74	1327240.99	1943195.01	1048575.0	1727194.55	1123834.93	1355129.16	2636147.11	1063212.58	2263304.65	1229805.58	1775752.63	2111737.85	1691649.38	1238359.56	1668359.93	1800541.22	3178687.03	3886391.01	1116072.03	1155430.26	1622738.51	1085552.95	2263304.65	1282030.25	1535204.12	2672946.37	1567462.05	1864037.21	1634025.56	1482909.4
TGFA	1127.35	981.29	575.03	1242.34	785.88	1044.52	836.53	1030.12	723.08	981.29	909.17	1628.26	738.29	1030.12	954.43	387.02	753.83	743.43	656.11	748.61	1721.16	525.39	1242.34	915.51	1250.98	356.05	995.0	1583.71	575.03	536.45	363.56	309.83	579.04	909.17	785.88	1268.46	1135.2	748.61	759.08	647.07	343.89	163.28	195.72	125.24	228.13	94.67	199.85	197.09	164.42	231.32	162.14	63.0	64.34	100.13	224.97	52.45	131.51	262.2	187.71	307.69	166.73	149.12	176.29	51.71	60.39	32.13	56.28	147.06	106.63	130.6	336.79	186.4	100.83	46.84	111.21	73.54	214.27	62.56	209.84	234.57	105.89	119.26	173.85	119.26	189.02	89.51	65.72	376.41	351.14	197.09	237.86	109.66	116.78	221.86	244.57	144.01	72.52	115.16	178.77	118.43	39.79	88.88	49.56
TMC6	3168.41	3124.78	2209.26	2701.35	1857.6	1909.85	2209.26	2148.82	2255.7	2271.4	2591.27	3540.14	1540.37	2739.08	2739.08	1427.22	1991.0	2520.38	2119.22	2255.7	3060.45	1519.15	2758.13	1819.35	2335.28	1295.13	2193.99	2520.38	1806.78	1088.92	1350.18	1073.91	2061.24	2434.5	2104.58	3018.3	2240.11	2997.45	2163.77	1883.54	872.1	341.51	262.2	246.28	114.36	164.42	246.28	180.02	267.73	267.73	239.52	191.67	429.54	295.11	92.05	384.34	363.56	194.36	167.9	403.5	273.37	291.04	185.11	624.99	2104.58	195.72	353.59	371.22	169.07	387.02	226.54	334.46	444.72	256.78	525.39	406.31	237.86	563.18	616.37	157.68	242.88	371.22	373.81	142.01	127.89	234.57	363.56	389.72	46.84	94.01	113.56	429.54	209.84	142.01	122.64	157.68	190.34	303.44	307.69	525.39	366.09	133.36	351.14
TMEM117	112.77	173.85	190.34	115.16	119.26	140.04	96.68	209.84	202.66	143.01	84.63	94.67	126.12	118.43	182.55	84.63	139.07	152.28	116.78	124.37	202.66	183.82	149.12	141.02	178.77	132.44	145.02	127.89	133.36	116.78	90.14	84.04	105.15	154.42	127.89	176.29	185.11	123.5	127.89	129.69	104.42	61.68	55.89	98.73	117.6	81.71	59.97	76.17	60.82	96.68	84.04	65.72	81.71	23.08	76.17	132.44	62.12	50.98	75.64	66.65	57.49	71.0	47.84	43.32	57.08	62.12	60.82	68.55	44.25	81.71	43.63	69.52	85.22	30.56	98.73	52.08	65.26	82.29	60.82	64.8	67.12	74.58	67.59	26.67	66.18	78.89	51.35	44.89	85.22	67.59	69.03	70.51	38.95	46.18	41.81	66.65	44.57	64.34	58.71	48.87	87.65	113.56	50.98
TMEM133	258.57	325.29	237.86	327.56	327.56	312.0	312.0	301.33	231.32	262.2	241.19	429.54	303.44	229.72	271.48	158.79	293.07	323.03	301.33	406.31	414.87	301.33	271.48	248.0	236.21	162.14	312.0	318.57	236.21	224.97	172.65	194.36	307.69	241.19	277.2	353.59	336.79	223.41	256.78	173.85	154.42	142.01	143.01	269.6	187.71	98.73	122.64	113.56	108.14	163.28	170.25	68.07	151.22	74.58	204.07	151.22	191.67	100.13	148.09	149.12	111.21	183.82	117.6	144.01	136.19	98.73	144.01	118.43	82.87	173.85	124.37	125.24	173.85	87.03	95.34	176.29	153.34	181.28	121.79	185.11	211.31	149.12	140.04	61.25	138.1	161.02	121.79	147.06	169.07	134.3	145.02	139.07	131.51	130.6	131.51	139.07	194.36	223.41	105.15	69.03	153.34	144.01	144.01
TNFRSF1A	5292.48	4769.75	3901.01	5112.16	3589.58	3716.2	3395.89	4769.75	4802.93	3901.01	4328.55	3665.02	3212.66	3847.29	4388.98	2895.31	4704.07	4038.61	3395.89	3928.15	3955.48	4181.07	4419.52	4704.07	4298.64	3614.55	4328.55	4210.15	4010.71	3325.99	3515.68	2591.27	3639.7	3540.14	6381.92	3325.99	4181.07	2997.45	4607.24	4298.64	2997.45	2018.8	2133.97	1233.75	1674.06	2976.74	2178.83	1572.76	1819.35	2335.28	1651.0	1806.78	1923.14	4328.55	1639.59	1216.75	2209.26	1651.0	1794.29	1745.2	2682.69	2287.2	2090.03	1350.18	1561.89	1936.53	1745.2	1794.29	2004.85	1427.22	2367.9	2777.33	1594.73	1909.85	2193.99	1733.13	1733.13	2287.2	2976.74	1594.73	2178.83	1572.76	1561.89	2133.97	3124.78	2240.11	2875.3	3039.3	1437.15	2434.5	1417.35	2075.59	1757.34	1594.73	2090.03	2224.63	1397.83	1674.06	2104.58	3146.52	1225.22	1427.22	1073.91
TNFRSF8	16.51	19.39	27.25	20.26	14.03	23.59	12.64	29.7	18.97	31.45	15.22	37.85	10.55	20.56	43.63	16.39	21.78	67.59	20.71	17.64	20.86	18.7	57.08	12.09	47.5	9.06	32.82	29.7	74.06	19.53	26.47	5.87	27.05	7.51	24.81	32.82	35.0	11.38	31.67	13.03	9.27	3.38	7.06	2.29	6.36	3.92	2.32	0.0	4.39	7.63	4.24	16.27	5.92	10.88	6.31	1.41	9.85	7.17	7.57	4.39	2.63	9.34	3.26	8.25	20.71	16.63	7.51	6.89	4.24	18.56	2.71	8.45	6.78	9.63	1.69	5.92	6.73	4.82	19.68	3.99	6.78	4.86	2.94	2.76	18.16	1.93	2.81	7.63	4.82	2.51	1.6	1.87	8.85	1.53	2.92	2.81	6.94	4.58	3.63	31.22	1.07	3.03	12.64
TOMM34	902.89	981.29	1059.11	1111.82	1259.69	988.12	1159.07	967.76	764.36	1313.23	909.17	1015.93	723.08	981.29	802.41	728.11	1119.56	872.1	961.07	1167.14	1143.1	1088.92	1199.98	748.61	941.27	780.44	1081.39	967.76	1250.98	947.83	1088.92	718.08	1159.07	1135.2	878.17	1242.34	890.44	591.22	1066.48	1015.93	629.35	583.07	693.58	693.58	450.94	688.78	332.14	713.11	307.69	511.0	567.1	693.58	579.04	669.92	351.14	575.03	466.88	403.5	463.65	463.65	660.68	490.14	457.25	483.38	583.07	480.04	507.46	620.67	518.15	679.29	429.54	559.28	473.41	559.28	525.39	409.15	454.09	547.75	802.41	540.19	301.33	656.11	536.45	395.18	497.0	647.07	486.75	753.83	551.56	591.22	476.71	656.11	432.53	500.46	555.41	521.76	476.71	454.09	842.36	753.83	450.94	647.07	603.67
TOR4A	400.71	307.69	289.02	334.46	220.32	220.32	148.09	291.04	318.57	175.07	197.09	295.11	201.25	223.41	253.23	198.47	182.55	301.33	253.23	285.03	329.84	206.94	267.73	224.97	307.69	249.73	191.67	358.54	248.0	295.11	249.73	248.0	299.25	262.2	228.13	269.6	255.0	273.37	236.21	236.21	156.59	116.78	180.02	64.34	95.34	115.97	175.07	85.82	81.14	138.1	59.55	155.5	135.24	62.12	68.55	112.77	140.04	169.07	128.79	138.1	120.1	153.34	154.42	142.01	171.45	104.42	127.0	215.77	170.25	127.89	131.51	155.5	100.83	105.15	124.37	89.51	109.66	159.9	175.07	164.42	62.12	202.66	129.69	135.24	109.66	77.25	170.25	127.0	141.02	132.44	78.34	234.57	57.49	154.42	89.51	90.14	120.94	88.26	149.12	126.12	129.69	108.9	123.5
TRIM47	1175.27	1259.69	1457.23	954.43	1015.93	1111.82	1259.69	1023.0	947.83	1159.07	941.27	1081.39	1159.07	1030.12	1781.89	988.12	1015.93	1397.83	896.64	1350.18	1175.27	1096.5	1662.49	1096.5	599.49	1044.52	1081.39	1572.76	1225.22	890.44	1066.48	995.0	1540.37	1844.76	1697.45	1015.93	1127.35	1883.54	1044.52	1295.13	825.0	389.72	334.46	251.48	255.0	303.44	327.56	180.02	258.57	587.13	165.57	127.89	500.46	679.29	163.28	412.0	454.09	320.8	289.02	198.47	320.8	665.29	320.8	373.81	503.95	236.21	463.65	400.71	186.4	483.38	226.54	260.38	493.56	305.55	583.07	473.41	217.27	599.49	529.06	283.05	409.15	279.14	511.0	224.97	239.52	267.73	271.48	343.89	214.27	264.03	256.78	466.88	291.04	309.83	58.3	154.42	237.86	334.46	473.41	836.53	521.76	314.17	329.84
TRIM54	214.27	62.56	170.25	105.15	169.07	39.22	158.79	138.1	115.97	54.33	76.17	70.01	64.34	32.59	81.71	150.17	65.26	171.45	48.87	57.49	218.79	67.12	303.44	40.93	45.53	14.67	41.81	139.07	111.99	32.13	35.25	34.26	71.0	33.78	36.53	145.02	148.09	158.79	131.51	63.89	27.44	7.06	12.45	14.67	4.46	34.26	10.0	5.68	0.42	36.01	12.45	4.7	28.24	19.68	14.24	7.28	38.4	8.38	13.22	29.48	15.56	7.22	19.82	4.9	11.91	7.57	14.03	10.16	5.11	4.54	7.82	11.3	14.67	2.2	42.41	39.79	11.47	6.06	71.0	7.88	14.24	13.32	9.56	9.56	1.87	28.86	16.63	10.71	35.5	52.45	64.8	10.39	18.29	8.25	7.0	7.34	14.56	10.08	19.97	10.24	11.64	3.23	21.63
TUSC3	2303.12	2627.46	1832.01	2682.69	2271.4	2400.97	1498.22	2303.12	2335.28	1498.22	1359.57	1594.73	1605.83	2434.5	1709.26	1127.35	2319.15	1733.13	1870.53	1674.06	1369.04	2193.99	1963.57	1721.16	2555.58	1143.1	2193.99	2384.37	2287.2	2163.77	988.12	780.44	2075.59	1674.06	1950.0	1427.22	1896.65	1457.23	1628.26	1819.35	1127.35	253.23	199.85	181.28	49.21	318.57	103.69	679.29	17.51	150.17	98.73	131.51	246.28	389.72	59.13	79.45	99.43	190.34	248.0	147.06	190.34	301.33	166.73	130.6	121.79	115.16	403.5	105.15	209.84	915.51	187.71	71.0	95.34	194.36	49.21	224.97	283.05	104.42	325.29	102.25	180.02	90.77	61.25	312.0	134.3	387.02	281.09	444.72	36.01	105.89	89.51	384.34	156.59	41.52	438.59	633.73	77.79	170.25	53.95	287.01	56.68	92.05	64.34
TYRO3	220.32	190.34	186.4	228.13	236.21	212.78	198.47	236.21	612.11	384.34	120.1	457.25	339.14	241.19	406.31	108.9	253.23	343.89	108.9	312.0	281.09	215.77	336.79	107.38	218.79	77.25	412.0	226.54	246.28	197.09	148.09	267.73	312.0	283.05	153.34	309.83	339.14	212.78	262.2	189.02	149.12	43.32	39.5	49.21	27.25	43.32	35.0	32.82	10.08	27.05	34.02	14.56	29.91	50.63	32.36	69.52	80.01	21.78	67.59	38.4	43.02	76.71	33.78	57.89	42.71	21.63	40.36	42.41	14.45	27.05	13.62	38.12	59.13	32.13	36.01	40.07	24.11	27.05	67.12	44.89	39.22	59.13	29.06	22.43	28.86	50.98	34.26	50.98	19.11	24.99	37.85	49.91	57.89	31.9	27.05	18.97	52.82	34.75	49.56	92.05	40.93	17.9	98.73
UBL4A	890.44	808.0	813.63	909.17	723.08	723.08	791.35	511.0	941.27	872.1	612.11	836.53	819.3	1037.29	808.0	536.45	708.18	769.69	698.41	854.13	981.29	748.61	1127.35	679.29	780.44	656.11	848.22	830.75	954.43	830.75	819.3	708.18	884.29	708.18	872.1	785.88	791.35	1023.0	669.92	684.02	698.41	830.75	713.11	563.18	529.06	703.28	591.22	583.07	356.05	486.75	480.04	486.75	540.19	346.29	417.77	551.56	503.95	555.41	575.03	532.74	591.22	693.58	563.18	583.07	521.76	521.76	473.41	679.29	555.41	559.28	447.82	587.13	414.87	486.75	540.19	444.72	521.76	660.68	738.29	656.11	438.59	599.49	511.0	503.95	1030.12	381.68	638.15	493.56	571.05	521.76	551.56	536.45	543.96	551.56	444.72	518.15	473.41	429.54	802.41	587.13	603.67	595.34	603.67
USB1	1388.16	1397.83	1111.82	1143.1	947.83	915.51	813.63	1437.15	1322.37	1331.57	1191.69	1023.0	921.88	1030.12	928.3	872.1	780.44	1023.0	909.17	915.51	785.88	1044.52	1191.69	1037.29	1088.92	1001.93	1378.57	1023.0	995.0	988.12	1037.29	1295.13	967.76	1030.12	954.43	967.76	1151.06	902.89	830.75	954.43	759.08	738.29	808.0	633.73	665.29	1066.48	825.0	647.07	656.11	738.29	830.75	567.1	723.08	563.18	575.03	536.45	660.68	738.29	902.89	854.13	813.63	785.88	860.08	607.87	688.78	490.14	679.29	813.63	915.51	579.04	723.08	718.08	854.13	454.09	728.11	638.15	1001.93	802.41	796.86	791.35	607.87	738.29	647.07	753.83	571.05	825.0	808.0	723.08	967.76	660.68	890.44	796.86	665.29	878.17	981.29	866.07	392.44	665.29	612.11	669.92	620.67	759.08	748.61
