	GTEX.SE5C.1026.SM.4BRUG	TCGA.G4.6306.01A.11R.1774.07	TCGA.G4.6321.01A.11R.1723.07	TCGA.G4.6293.01A.11R.1723.07	TCGA.A6.6648.01A.11R.1774.07	TCGA.CM.4744.01A.01R.A32Z.07	TCGA.AZ.6601.01A.11R.1774.07	TCGA.CK.4950.01A.01R.1723.07	TCGA.CM.5344.01A.21R.1723.07	TCGA.AA.3525.11A.01R.A32Z.07	TCGA.A6.2679.11A.01R.A32Z.07	TCGA.A6.2671.11A.01R.A32Z.07	TCGA.AA.3663.11A.01R.1723.07	TCGA.A6.2684.11A.01R.A32Z.07	GTEX.13111.0726.SM.5DUVE	GTEX.131XE.0826.SM.5HL9W	GTEX.14BMU.1326.SM.5RQIH	GTEX.11P7K.1526.SM.5EGI7	GTEX.WFON.1426.SM.4LVMT	GTEX.1399R.2226.SM.5P9JB	GTEX.PLZ5.1126.SM.3P613	GTEX.139TS.1926.SM.5IJFO	GTEX.QLQW.0426.SM.447A7	GTEX.S7SF.1926.SM.4AT5B	GTEX.S4P3.1226.SM.4AD4Y	GTEX.ZP4G.1726.SM.4WWCM	GTEX.ZPU1.1926.SM.57WDT	GTEX.P4QT.1426.SM.3NMCX	GTEX.1399U.1926.SM.5IFH7	GTEX.Q734.1126.SM.48TZY	GTEX.11P82.1026.SM.5BC5J	GTEX.Y9LG.1526.SM.4WWDR	GTEX.U4B1.1126.SM.4DXV3	GTEX.Q2AI.0926.SM.48U1F	GTEX.PWN1.1426.SM.48TDF	GTEX.146FQ.1926.SM.5NQBY	GTEX.WQUQ.2526.SM.4MVNO	GTEX.XUZC.1526.SM.4BRV4	GTEX.ZY6K.1226.SM.5GZYL	GTEX.RU1J.1326.SM.46MUL	GTEX.R55G.1226.SM.48FDC	GTEX.XYKS.2226.SM.4E3IU	GTEX.14E6E.1526.SM.5RQIG	GTEX.YB5E.1626.SM.5IFIQ	GTEX.11LCK.2026.SM.5A5MA	GTEX.X15G.1326.SM.4PQZJ	GTEX.ZZ64.0826.SM.5E449	GTEX.X3Y1.1726.SM.4PQZL	GTEX.S3XE.1126.SM.4AD4N	GTEX.11DXX.1826.SM.5H126	GTEX.WFG7.1526.SM.4LVMG	GTEX.XGQ4.1226.SM.4AT67	GTEX.XUJ4.2026.SM.4BOOW	GTEX.13S86.1626.SM.5Q5C5	GTEX.QDVJ.1326.SM.48U1X	GTEX.PLZ6.0926.SM.3P5ZQ	GTEX.145MN.1726.SM.5SIA6	GTEX.TML8.1326.SM.4DXTO	GTEX.SNOS.1226.SM.4DM5H	GTEX.111CU.1426.SM.5GZYP	GTEX.144GM.1226.SM.5LU52	GTEX.OXRL.1426.SM.3NM9E	GTEX.ZYWO.1626.SM.5E44H	GTEX.ZF2S.1926.SM.4WWAN	GTEX.SE5C.1526.SM.4BRWU	GTEX.YEC4.1926.SM.5IFHJ	GTEX.1399S.1926.SM.5J2M5	GTEX.ZPCL.1826.SM.57WF1	GTEX.13D11.0826.SM.5KLZJ	GTEX.SNMC.1126.SM.4DM5M	GTEX.132AR.2726.SM.5PNVN	GTEX.139T6.1326.SM.5IFFO	GTEX.XBEW.1926.SM.4SOJO	GTEX.111CU.1226.SM.5EGIN	GTEX.UPIC.1726.SM.4IHKG	GTEX.QV31.0826.SM.4R1KR	GTEX.XQ8I.2126.SM.4BOOM	GTEX.OIZH.1426.SM.3NB1O	GTEX.UJMC.1326.SM.4IHLS	GTEX.NFK9.2026.SM.3LK5K	GTEX.145LT.0926.SM.5LU9C	GTEX.P4PP.1426.SM.3NM9L	GTEX.11EM3.1526.SM.5A5KN	GTEX.12BJ1.2126.SM.5BC5O	GTEX.UJHI.1126.SM.4IHLN	GTEX.Y5LM.1526.SM.4VDTA	GTEX.13O21.2426.SM.5MR4A	GTEX.R55C.1126.SM.48FCJ	GTEX.WHWD.1226.SM.4OOS1	GTEX.ZVT2.1926.SM.5GU5T	GTEX.ZVP2.1526.SM.5NQ82	GTEX.R55D.1826.SM.48FEF	GTEX.PWCY.1026.SM.48TD4	GTEX.139YR.2126.SM.5KM11	GTEX.OXRK.1726.SM.3NB16	GTEX.13FTW.1826.SM.5IJEN	GTEX.13QBU.1826.SM.5IJG3	GTEX.133LE.1526.SM.5IFEN	GTEX.1122O.1526.SM.5N9CL	GTEX.13PL7.2526.SM.5IFGR	GTEX.W5WG.2426.SM.4LMI6	GTEX.T6MO.0826.SM.4DM51	GTEX.OHPM.1426.SM.3TW8Y	GTEX.Y8E4.2426.SM.4WWDN	GTEX.1399U.2226.SM.5KLZI	GTEX.ZPIC.2226.SM.57WDX	GTEX.U3ZN.2126.SM.4DXU1	GTEX.XBED.1526.SM.4AT5W	GTEX.S4UY.0826.SM.4AD4Z	GTEX.ZZ64.0726.SM.5GZX4	GTEX.131XG.1826.SM.5LZV4	GTEX.XMK1.1726.SM.4B64Z	GTEX.XPVG.1826.SM.4B64X	GTEX.VJYA.2026.SM.4KL1K	GTEX.XUZC.1326.SM.4BRV2	GTEX.11DXZ.1726.SM.5H12M	GTEX.12WSL.1626.SM.5GCMU	GTEX.V955.1726.SM.4JBHF	GTEX.11I78.1226.SM.5A5K6	GTEX.TKQ2.1326.SM.4DXT9	GTEX.XV7Q.2126.SM.4BRVX	GTEX.WOFM.2026.SM.4OOSQ	GTEX.ZTTD.2626.SM.57WEX	GTEX.RM2N.0926.SM.48FD1	GTEX.T5JW.1126.SM.4DM5V	GTEX.14DAR.1526.SM.5RQIX	GTEX.U3ZM.1126.SM.4DXUB	GTEX.ZT9W.1726.SM.51MS3	GTEX.YF7O.1726.SM.5IFJ9	GTEX.ZTSS.1126.SM.5985O	GTEX.Y114.1526.SM.4TT79	GTEX.13FH7.1626.SM.5J2O9	GTEX.ZV7C.1526.SM.5NQ72	GTEX.YF7O.1626.SM.5IFII	GTEX.Y3IK.1826.SM.4WWDS	GTEX.13FH7.1526.SM.5J2N6	GTEX.ZDTS.2726.SM.5L3E2	GTEX.PX3G.1426.SM.48U1J	GTEX.S4Q7.0826.SM.4AD5E	GTEX.QMRM.1226.SM.447C6	GTEX.QEL4.1926.SM.4R1JI	GTEX.XUW1.1926.SM.4BOP1	GTEX.Q2AH.1226.SM.48TZL	GTEX.ZPCL.1626.SM.57WGC	GTEX.WFG8.1726.SM.4LVM6	GTEX.ZLV1.1226.SM.4WWBX	GTEX.12C56.0626.SM.5EGGC	GTEX.ZT9W.1826.SM.51MQX	GTEX.12WSJ.0826.SM.5PNWV	GTEX.1211K.1326.SM.5FQV2	GTEX.XUZC.0326.SM.4BOO8	GTEX.1212Z.2026.SM.5N9EA	GTEX.132QS.1526.SM.5J2MV	TCGA.CG.5734.11A.01R.1602.13
DTWD2	31.9	20.56	24.11	52.08	55.89	18.16	59.13	50.63	28.24	43.02	44.25	53.19	42.41	68.55	99.43	76.71	44.89	91.41	88.26	71.5	102.97	78.34	82.29	104.42	61.25	94.67	119.26	102.25	78.34	76.71	146.03	79.45	102.97	88.88	108.9	90.77	64.34	25.17	85.82	34.51	139.07	28.86	90.14	115.16	102.97	89.51	22.1	67.12	56.28	76.17	132.44	70.01	102.97	73.54	53.19	67.12	127.89	115.16	66.18	97.36	95.34	32.13	70.51	87.03	57.08	29.48	72.01	72.52	92.05	43.63	107.38	102.25	74.06	24.11	107.38	85.82	89.51	68.55	85.22	44.57	81.14	100.13	132.44	134.3	55.89	81.14	129.69	67.59	127.89	88.88	106.63	96.68	39.22	128.79	122.64	92.7	96.68	105.15	94.67	76.71	87.65	42.11	81.14	87.65	17.0	94.67	127.0	69.52	110.43	41.52	112.77	102.97	90.14	47.17	98.04	112.77	40.07	37.32	92.05	82.87	68.55	85.82	35.76	111.21	95.34	117.6	78.34	26.47	105.15	59.55	34.75	48.87	115.16	52.45	87.65	28.65	40.36	108.9	110.43	77.79	91.41	82.29	66.65	32.59	32.82	90.77	65.72	74.06	17.38	14.35	35.25	32.36	30.12	40.93
DUSP16	101.54	320.8	246.28	507.46	624.99	287.01	241.19	438.59	202.66	395.18	379.04	356.05	312.0	406.31	603.67	412.0	248.0	733.19	457.25	368.65	603.67	490.14	432.53	579.04	387.02	429.54	688.78	651.58	575.03	579.04	753.83	429.54	473.41	536.45	693.58	414.87	202.66	191.67	547.75	351.14	674.59	346.29	466.88	575.03	423.61	454.09	303.44	514.56	348.71	473.41	629.35	346.29	351.14	629.35	493.56	473.41	688.78	571.05	249.73	624.99	567.1	420.68	647.07	872.1	457.25	387.02	633.73	603.67	563.18	376.41	848.22	607.87	323.03	285.03	688.78	830.75	587.13	629.35	460.44	323.03	543.96	536.45	638.15	529.06	688.78	567.1	483.38	490.14	836.53	587.13	476.71	674.59	417.77	902.89	698.41	651.58	389.72	500.46	669.92	698.41	559.28	327.56	607.87	555.41	193.01	525.39	674.59	738.29	656.11	511.0	620.67	587.13	403.5	435.55	540.19	753.83	234.57	183.82	563.18	620.67	389.72	532.74	158.79	651.58	400.71	551.56	371.22	146.03	470.14	660.68	229.72	197.09	612.11	279.14	536.45	215.77	323.03	543.96	738.29	336.79	543.96	348.71	426.57	159.9	373.81	607.87	723.08	486.75	56.28	112.77	183.82	127.0	135.24	332.14
EHF	31.22	23.76	251.48	1508.65	3901.01	8.13	253.23	289.02	237.86	791.35	406.31	361.04	215.77	514.56	2956.17	2935.74	71.5	4512.4	2520.38	1561.89	3349.13	2701.35	2956.17	2915.45	2758.13	2855.44	3257.52	2997.45	3039.3	3018.3	4152.18	2935.74	4802.93	4298.64	3820.7	3060.45	902.89	114.36	2701.35	1498.22	3589.58	1447.15	2796.65	4210.15	3303.0	3212.66	148.09	2303.12	2090.03	2701.35	4769.75	2047.0	2796.65	3212.66	1447.15	2400.97	3982.99	3280.18	1583.71	3372.43	4836.35	151.22	4481.23	4268.94	2502.97	148.09	4010.71	2895.31	3349.13	1378.57	3303.0	3742.05	2075.59	96.68	3146.52	3794.3	2664.15	2935.74	3325.99	1407.55	3419.52	3395.89	4481.23	3742.05	2816.11	3794.3	3639.7	2417.67	4038.61	3820.7	3901.01	4181.07	2417.67	4937.99	4607.24	3794.3	2956.17	4038.61	3589.58	3146.52	2915.45	262.2	2816.11	2303.12	75.64	3564.78	3235.01	2875.3	3467.27	1685.71	4836.35	4575.41	3395.89	2468.49	3901.01	3716.2	316.37	1044.52	4543.8	2777.33	2682.69	3212.66	173.85	3639.7	2502.97	3303.0	2255.7	90.14	3665.02	2537.92	232.94	27.44	3639.7	153.34	2895.31	133.36	73.03	2591.27	2739.08	2537.92	2645.74	1781.89	2976.74	158.79	199.85	3212.66	2777.33	2434.5	3.03	14.24	4.7	9.2	6.73	336.79
ELOVL7	18.03	181.28	303.44	17.13	159.9	3.11	237.86	131.51	94.67	121.79	73.54	129.69	117.6	64.34	142.01	95.34	139.07	232.94	305.55	158.79	314.17	115.97	143.01	255.0	224.97	209.84	152.28	242.88	217.27	157.68	373.81	307.69	395.18	209.84	255.0	181.28	208.38	72.52	141.02	110.43	220.32	107.38	389.72	336.79	281.09	197.09	77.79	148.09	96.68	258.57	417.77	98.04	251.48	143.01	138.1	163.28	299.25	255.0	147.06	258.57	318.57	113.56	224.97	341.51	204.07	59.55	242.88	212.78	175.07	162.14	189.02	297.17	237.86	55.49	189.02	299.25	162.14	253.23	217.27	63.0	309.83	242.88	299.25	366.09	262.2	379.04	348.71	244.57	234.57	387.02	256.78	194.36	234.57	297.17	351.14	209.84	234.57	299.25	361.04	281.09	299.25	87.03	244.57	138.1	42.71	242.88	231.32	234.57	241.19	127.0	190.34	173.85	256.78	164.42	281.09	220.32	120.1	113.56	249.73	123.5	303.44	164.42	53.57	392.44	189.02	295.11	218.79	62.12	260.38	199.85	62.12	84.04	293.07	119.26	260.38	21.94	24.46	132.44	373.81	165.57	201.25	142.01	193.01	33.78	50.63	281.09	279.14	178.77	45.85	55.49	37.59	33.06	42.41	145.02
EPB41L4B	10.71	511.0	872.1	921.88	1127.35	56.28	17.9	387.02	98.04	733.19	583.07	1037.29	473.41	1088.92	2895.31	1806.78	167.9	3349.13	3146.52	3103.19	2855.44	2417.67	2835.7	2609.3	1963.57	2468.49	2485.67	3372.43	3419.52	2555.58	4095.0	3190.46	3372.43	3395.89	3515.68	2104.58	796.86	186.4	2032.85	860.08	4152.18	1286.18	4671.57	3564.78	2075.59	1977.24	262.2	1832.01	1685.71	3419.52	3018.3	1277.29	2502.97	2018.8	1447.15	2573.36	3690.52	2895.31	2335.28	3235.01	2224.63	267.73	3467.27	3349.13	2240.11	159.9	3190.46	2796.65	3491.39	1259.69	2997.45	3325.99	1721.16	186.4	2758.13	2664.15	2468.49	2739.08	2645.74	1233.75	2609.3	3768.09	4388.98	4239.45	2855.44	3955.48	3665.02	2351.53	2997.45	3540.14	2209.26	2720.15	1572.76	3018.3	2739.08	3614.55	3081.75	3443.31	4181.07	3103.19	2855.44	256.78	2895.31	1909.85	301.33	3874.05	3124.78	2645.74	3168.41	1733.13	4038.61	2609.3	2915.45	1745.2	3081.75	3794.3	273.37	703.28	3419.52	2193.99	2163.77	3540.14	285.03	2935.74	2816.11	3639.7	2468.49	239.52	2591.27	2956.17	258.57	118.43	3690.52	223.41	2701.35	171.45	215.77	1697.45	2609.3	2004.85	2255.7	1685.71	2796.65	414.87	131.51	3443.31	2400.97	3395.89	14.35	8.13	28.86	25.91	14.45	1286.18
FAM160A1	10.39	9.13	44.57	41.81	70.51	0.56	17.51	52.82	4.13	80.01	40.36	44.57	25.91	75.11	162.14	153.34	67.59	228.13	105.89	121.79	102.97	92.7	153.34	147.06	96.01	111.21	128.79	109.66	125.24	130.6	165.57	99.43	156.59	172.65	159.9	88.88	37.05	8.92	143.01	46.84	194.36	113.56	144.01	165.57	110.43	114.36	38.95	66.65	68.55	88.88	173.85	92.7	127.89	141.02	69.52	101.54	183.82	144.01	64.34	186.4	131.51	22.43	175.07	187.71	92.05	25.17	149.12	119.26	150.17	66.18	157.68	163.28	74.58	14.45	228.13	165.57	172.65	88.26	119.26	75.64	137.14	147.06	183.82	117.6	120.1	166.73	136.19	132.44	140.04	194.36	167.9	171.45	156.59	195.72	149.12	208.38	147.06	104.42	162.14	125.24	135.24	24.46	127.0	110.43	17.9	120.1	140.04	151.22	147.06	82.29	183.82	151.22	149.12	110.43	209.84	212.78	33.78	25.35	108.14	137.14	88.26	106.63	24.99	163.28	91.41	157.68	81.14	6.89	161.02	124.37	17.77	13.32	197.09	57.49	176.29	40.36	20.26	120.1	141.02	87.03	111.99	103.69	112.77	16.51	78.89	153.34	147.06	113.56	2.03	7.22	6.31	5.11	14.56	63.89
FASTKD3	97.36	186.4	131.51	191.67	220.32	194.36	178.77	136.19	182.55	228.13	195.72	138.1	161.02	201.25	287.01	260.38	191.67	289.02	343.89	264.03	327.56	256.78	325.29	301.33	343.89	343.89	262.2	387.02	339.14	265.87	363.56	387.02	417.77	269.6	262.2	256.78	209.84	125.24	299.25	201.25	336.79	291.04	293.07	303.44	273.37	273.37	166.73	194.36	226.54	283.05	314.17	248.0	269.6	217.27	260.38	305.55	316.37	327.56	318.57	285.03	281.09	214.27	229.72	293.07	297.17	204.07	281.09	348.71	320.8	283.05	256.78	281.09	323.03	154.42	327.56	323.03	234.57	289.02	293.07	297.17	389.72	314.17	318.57	339.14	289.02	312.0	351.14	264.03	325.29	327.56	271.48	339.14	303.44	264.03	316.37	289.02	305.55	426.57	339.14	295.11	341.51	182.55	191.67	251.48	148.09	363.56	400.71	287.01	305.55	217.27	271.48	363.56	395.18	336.79	316.37	356.05	217.27	246.28	348.71	392.44	236.21	275.28	150.17	309.83	293.07	363.56	341.51	201.25	249.73	283.05	175.07	138.1	287.01	186.4	283.05	153.34	155.5	305.55	204.07	289.02	301.33	256.78	277.2	172.65	98.04	295.11	299.25	258.57	211.31	76.17	111.21	102.97	120.94	98.73
FRK	5.28	34.26	110.43	39.79	100.13	5.5	20.86	44.25	15.22	31.45	58.71	64.34	21.16	51.71	178.77	119.26	14.67	211.31	175.07	144.01	191.67	145.02	136.19	172.65	140.04	154.42	140.04	157.68	198.47	181.28	327.56	153.34	198.47	232.94	185.11	157.68	57.89	22.92	120.1	81.71	242.88	84.04	267.73	156.59	166.73	153.34	34.26	126.12	100.83	189.02	175.07	88.26	123.5	125.24	90.77	145.02	209.84	212.78	121.79	206.94	162.14	31.45	202.66	211.31	125.24	14.56	178.77	180.02	229.72	102.97	251.48	175.07	108.14	21.47	163.28	193.01	146.03	156.59	158.79	75.11	153.34	211.31	190.34	189.02	149.12	190.34	249.73	156.59	197.09	195.72	148.09	186.4	126.12	212.78	248.0	218.79	127.89	226.54	231.32	189.02	180.02	23.42	176.29	135.24	18.7	214.27	189.02	118.43	206.94	89.51	152.28	186.4	201.25	92.05	201.25	223.41	30.34	68.55	181.28	120.94	142.01	170.25	18.97	212.78	157.68	176.29	145.02	16.03	187.71	182.55	33.3	12.93	246.28	21.01	155.5	8.99	18.7	124.37	117.6	121.79	162.14	98.73	175.07	23.59	14.78	236.21	165.57	177.53	4.74	3.79	3.66	10.47	18.7	88.26
FRYL	176.29	283.05	660.68	525.39	1167.14	173.85	463.65	669.92	1073.91	1059.11	1295.13	884.29	1008.9	842.36	1950.0	1721.16	532.74	2573.36	2537.92	1250.98	2520.38	1769.57	2075.59	2061.24	2004.85	1950.0	1857.6	1721.16	2434.5	1745.2	2573.36	2520.38	2645.74	2148.82	2997.45	1350.18	988.12	620.67	1313.23	1313.23	2627.46	1304.15	2591.27	2609.3	2895.31	1709.26	629.35	1883.54	1369.04	2255.7	2997.45	1216.75	2271.4	1651.0	1191.69	2163.77	3124.78	2090.03	1477.58	2240.11	1617.0	723.08	2468.49	1977.24	2319.15	674.59	2434.5	2061.24	2400.97	1104.13	2485.67	2935.74	2119.22	500.46	1844.76	2400.97	2287.2	2224.63	2701.35	1457.23	2645.74	2451.44	2287.2	2720.15	1662.49	2485.67	3190.46	2384.37	2627.46	2758.13	2193.99	2434.5	1617.0	2104.58	3039.3	2485.67	2816.11	3395.89	2976.74	2271.4	2758.13	669.92	1832.01	1350.18	457.25	3146.52	2271.4	2400.97	2367.9	1199.98	2104.58	1963.57	2609.3	1936.53	2468.49	2351.53	708.18	1030.12	2485.67	1757.34	1857.6	2451.44	607.87	2645.74	2573.36	2935.74	2796.65	624.99	2701.35	1651.0	728.11	583.07	2739.08	624.99	1781.89	444.72	356.05	1437.15	2591.27	1225.22	1936.53	1397.83	1721.16	642.59	703.28	3280.18	2609.3	2075.59	157.68	438.59	351.14	182.55	236.21	336.79
GAS2L3	8.78	211.31	33.06	75.64	251.48	117.6	118.43	91.41	66.18	56.28	87.03	60.39	58.71	71.5	76.17	128.79	83.45	111.99	96.68	77.79	144.01	111.99	47.84	120.1	90.14	111.21	170.25	155.5	111.21	121.79	95.34	120.94	158.79	116.78	195.72	132.44	63.0	40.64	186.4	70.01	312.0	63.0	108.9	152.28	135.24	109.66	70.51	93.35	64.8	120.1	155.5	81.71	105.15	117.6	83.45	93.35	111.99	181.28	74.06	152.28	127.89	44.89	120.1	162.14	90.77	40.93	237.86	80.57	98.04	57.08	150.17	143.01	94.67	58.3	133.36	176.29	194.36	101.54	129.69	42.41	211.31	162.14	127.0	135.24	118.43	108.14	244.57	152.28	232.94	178.77	109.66	122.64	116.78	316.37	215.77	118.43	102.97	209.84	199.85	102.97	182.55	32.82	147.06	107.38	23.08	138.1	212.78	142.01	125.24	82.29	117.6	159.9	164.42	178.77	115.97	307.69	59.55	104.42	145.02	175.07	130.6	109.66	69.52	105.15	98.73	170.25	117.6	31.22	136.19	110.43	53.57	23.93	183.82	46.5	110.43	37.59	42.41	151.22	132.44	127.0	153.34	83.45	171.45	40.07	25.54	151.22	138.1	57.89	20.26	14.89	19.53	43.63	27.64	46.5
GLCE	77.25	291.04	281.09	934.76	423.61	466.88	483.38	460.44	267.73	249.73	220.32	256.78	206.94	236.21	591.22	336.79	217.27	547.75	521.76	371.22	518.15	426.57	353.59	525.39	529.06	476.71	525.39	543.96	547.75	353.59	607.87	595.34	607.87	473.41	579.04	483.38	307.69	244.57	387.02	381.68	638.15	339.14	518.15	603.67	543.96	432.53	242.88	395.18	334.46	511.0	684.02	332.14	532.74	316.37	275.28	400.71	633.73	607.87	384.34	547.75	409.15	260.38	438.59	540.19	438.59	291.04	540.19	423.61	493.56	312.0	480.04	607.87	438.59	187.71	432.53	514.56	387.02	423.61	599.49	312.0	571.05	559.28	555.41	583.07	518.15	563.18	624.99	432.53	583.07	620.67	567.1	486.75	356.05	536.45	575.03	579.04	483.38	718.08	723.08	514.56	473.41	231.32	551.56	305.55	198.47	642.59	500.46	476.71	473.41	327.56	563.18	575.03	647.07	343.89	555.41	633.73	299.25	273.37	607.87	473.41	371.22	599.49	197.09	511.0	483.38	575.03	454.09	181.28	575.03	373.81	178.77	279.14	616.37	237.86	486.75	150.17	162.14	392.44	466.88	363.56	406.31	358.54	412.0	198.47	265.87	591.22	547.75	432.53	122.64	135.24	131.51	82.87	124.37	199.85
GOLIM4	312.0	497.0	476.71	1096.5	1417.35	406.31	555.41	571.05	764.36	738.29	854.13	896.64	854.13	780.44	1286.18	1407.55	718.08	2224.63	1674.06	1286.18	1870.53	1369.04	1313.23	1447.15	1088.92	1477.58	1551.09	1498.22	1304.15	1781.89	2451.44	1350.18	1950.0	1832.01	1359.57	1407.55	679.29	480.04	1304.15	866.07	1819.35	884.29	1594.73	2119.22	1216.75	1304.15	713.11	1104.13	921.88	1457.23	2351.53	941.27	1540.37	1991.0	718.08	1295.13	1977.24	1923.14	1037.29	1477.58	1340.84	616.37	3303.0	2209.26	1127.35	486.75	1388.16	1388.16	1781.89	860.08	2384.37	1745.2	1044.52	583.07	1477.58	1721.16	1233.75	1540.37	1127.35	563.18	1709.26	1870.53	2645.74	1923.14	1008.9	1662.49	1769.57	1104.13	2209.26	1322.37	1561.89	1709.26	813.63	2701.35	2018.8	2004.85	1417.35	2004.85	1674.06	1617.0	1733.13	607.87	1721.16	1268.46	486.75	1819.35	1628.26	1208.34	1359.57	1015.93	1733.13	2047.0	1369.04	1066.48	1437.15	2119.22	728.11	647.07	1733.13	1081.39	1331.57	1313.23	642.59	1467.37	1286.18	2018.8	974.5	473.41	1781.89	1304.15	624.99	529.06	1709.26	688.78	1651.0	454.09	785.88	1250.98	1295.13	1104.13	1832.01	1167.14	1662.49	595.34	529.06	1832.01	1508.65	1359.57	258.57	293.07	343.89	301.33	366.09	540.19
GPR160	16.88	441.64	121.79	256.78	2178.83	229.72	157.68	269.6	1628.26	305.55	381.68	476.71	620.67	1037.29	2816.11	1721.16	161.02	2739.08	3168.41	2796.65	2664.15	3060.45	1936.53	2417.67	1674.06	1832.01	2468.49	2720.15	2400.97	2417.67	4419.52	2701.35	2816.11	2148.82	2485.67	1757.34	896.64	112.77	2335.28	928.3	3419.52	1104.13	2645.74	3060.45	2224.63	2119.22	130.6	1685.71	884.29	2351.53	3901.01	988.12	2384.37	2335.28	1044.52	2451.44	3589.58	3103.19	1923.14	1963.57	2271.4	363.56	2796.65	3280.18	1963.57	121.79	1844.76	2537.92	3212.66	1159.07	3395.89	3419.52	2104.58	150.17	2417.67	2758.13	2758.13	2303.12	2502.97	890.44	2468.49	2739.08	3794.3	3982.99	2319.15	3018.3	3467.27	2335.28	3372.43	2758.13	2609.3	3081.75	1259.69	3349.13	3235.01	3018.3	3235.01	4066.71	2895.31	2935.74	2777.33	234.57	2573.36	2133.97	127.0	3491.39	3372.43	2520.38	2303.12	1369.04	2032.85	3039.3	2956.17	1883.54	2384.37	3742.05	269.6	679.29	2701.35	1936.53	2537.92	3515.68	169.07	2720.15	3103.19	3716.2	2664.15	164.42	2895.31	2178.83	218.79	111.21	2935.74	191.67	2816.11	108.9	129.69	1991.0	2555.58	1936.53	2384.37	1950.0	2645.74	187.71	148.09	3443.31	2682.69	2895.31	18.16	13.62	12.0	11.13	26.47	1037.29
GRHL2	23.25	111.99	17.25	46.18	470.14	32.82	60.82	35.0	33.3	94.01	76.71	88.88	80.01	124.37	423.61	395.18	20.41	429.54	438.59	363.56	432.53	381.68	336.79	435.55	346.29	318.57	314.17	406.31	395.18	392.44	518.15	397.93	423.61	406.31	480.04	348.71	167.9	13.83	320.8	269.6	389.72	339.14	371.22	457.25	438.59	384.34	35.5	253.23	159.9	389.72	466.88	215.77	379.04	454.09	186.4	353.59	441.64	457.25	305.55	363.56	432.53	65.26	463.65	497.0	339.14	37.05	361.04	303.44	435.55	194.36	486.75	466.88	332.14	14.03	387.02	403.5	423.61	305.55	503.95	291.04	447.82	348.71	400.71	423.61	423.61	438.59	563.18	387.02	503.95	403.5	447.82	417.77	218.79	480.04	503.95	473.41	441.64	441.64	463.65	346.29	438.59	30.12	358.54	299.25	17.9	483.38	497.0	351.14	387.02	189.02	358.54	470.14	444.72	358.54	409.15	511.0	34.51	182.55	447.82	341.51	403.5	429.54	28.45	387.02	361.04	490.14	429.54	14.24	503.95	320.8	66.65	11.73	432.53	19.39	435.55	18.56	0.0	325.29	312.0	271.48	341.51	269.6	395.18	20.11	39.22	466.88	397.93	368.65	0.0	4.21	1.91	1.89	1.85	69.03
GUCY2C	0.44	638.15	432.53	139.07	423.61	167.9	39.79	447.82	153.34	171.45	161.02	256.78	120.1	260.38	1844.76	1286.18	74.06	2609.3	2271.4	1697.45	2240.11	1529.73	1561.89	1950.0	1388.16	1639.59	1745.2	1819.35	2209.26	1561.89	2758.13	2119.22	2133.97	2163.77	2119.22	1674.06	642.59	28.45	1674.06	733.19	2400.97	1096.5	2537.92	2555.58	1561.89	1583.71	62.12	1242.34	974.5	2287.2	2119.22	1081.39	1963.57	1733.13	934.76	2090.03	2485.67	2133.97	1605.83	2178.83	1909.85	149.12	2319.15	2303.12	1639.59	43.63	2417.67	1870.53	2271.4	967.76	2627.46	2720.15	1295.13	46.18	2178.83	2303.12	1769.57	1745.2	2133.97	693.58	2163.77	2502.97	2434.5	2319.15	2104.58	2758.13	2664.15	1651.0	2193.99	2758.13	2119.22	2193.99	1359.57	2018.8	2133.97	2303.12	2573.36	2417.67	3103.19	2075.59	2163.77	162.14	2047.0	1378.57	75.64	2451.44	2104.58	1733.13	2193.99	954.43	2209.26	2090.03	2148.82	1467.37	2004.85	2240.11	120.94	486.75	2119.22	1467.37	1639.59	2434.5	59.97	2148.82	1697.45	2555.58	1977.24	69.03	2004.85	1674.06	131.51	57.89	2573.36	53.57	2104.58	63.0	25.54	1477.58	1977.24	1350.18	1572.76	1242.34	1950.0	217.27	57.49	2400.97	2104.58	2075.59	0.0	0.23	0.0	0.0	0.17	154.42
