	GTEX.U3ZM.0826.SM.4DXU6	GTEX.SE5C.1026.SM.4BRUG	GTEX.11ONC.2026.SM.5HL61	GTEX.14BMU.1326.SM.5RQIH	GTEX.ZYFG.1926.SM.5GID5	GTEX.WFON.1426.SM.4LVMT	GTEX.U3ZH.1326.SM.4DXSF	GTEX.13G51.2126.SM.5IJD9	GTEX.YJ8O.1426.SM.5PNV9	GTEX.139TS.2226.SM.5J2N1	GTEX.131YS.2926.SM.5EGKI	GTEX.ZP4G.1726.SM.4WWCM	GTEX.ZPU1.1726.SM.4WWFV	GTEX.11ZTS.1526.SM.5N9G7	GTEX.111YS.1626.SM.5GZZ9	GTEX.ZYFG.1826.SM.5GZWX	GTEX.Y9LG.1526.SM.4WWDR	GTEX.145MO.2626.SM.5QGPD	GTEX.Y8LW.1226.SM.4WWDP	GTEX.WFG7.1626.SM.4LVMF	GTEX.XUZC.1526.SM.4BRV4	GTEX.Y3I4.1426.SM.4TT9C	GTEX.R55G.1226.SM.48FDC	GTEX.14E6E.1526.SM.5RQIG	GTEX.S3XE.1126.SM.4AD4N	GTEX.11DXY.2026.SM.5N9CZ	GTEX.1212Z.1826.SM.5FQSH	GTEX.14E6E.1726.SM.5S2R6	GTEX.13OW5.2826.SM.5KM1G	GTEX.13FTW.2126.SM.5K7YG	GTEX.11DXX.1826.SM.5H126	GTEX.WYVS.1126.SM.4SOJX	GTEX.XUW1.1826.SM.4BOQD	GTEX.11ZTT.1626.SM.5EQKR	GTEX.RWS6.1826.SM.47JXX	GTEX.117XS.2226.SM.5GIE1	GTEX.ZTSS.1226.SM.51MSZ	GTEX.Y3I4.1126.SM.4TT7Y	GTEX.11DXZ.1626.SM.5GIDI	GTEX.ZLV1.1326.SM.4WWER	GTEX.ZP4G.1526.SM.57WE5	GTEX.13CF2.1826.SM.5N9GK	GTEX.139T6.1426.SM.5P9J7	GTEX.TKQ1.0626.SM.4DXTS	GTEX.OXRL.1426.SM.3NM9E	GTEX.ZYFC.2626.SM.5NQ6S	GTEX.WHWD.1526.SM.4OORV	GTEX.YEC4.1926.SM.5IFHJ	GTEX.12ZZY.2726.SM.5EQ45	GTEX.11TTK.2426.SM.5PNYO	GTEX.13D11.0826.SM.5KLZJ	GTEX.11P81.1426.SM.5P9JN	GTEX.ZXES.1726.SM.5E43G	GTEX.11PRG.2026.SM.5GU5F	GTEX.WHPG.1626.SM.4M1ZL	GTEX.SNMC.1126.SM.4DM5M	GTEX.X15G.1526.SM.4PQZM	GTEX.13OW8.2726.SM.5L3FZ	GTEX.YECK.2826.SM.5IFHF	GTEX.12WSD.2626.SM.5EGJE	GTEX.P4PP.1426.SM.3NM9L	GTEX.13111.1926.SM.5GCOL	GTEX.13O21.2426.SM.5MR4A	GTEX.R55C.1126.SM.48FCJ	GTEX.ZPIC.2626.SM.57WE2	GTEX.ZYY3.2226.SM.5E45A	GTEX.147JS.2626.SM.5S2UX	GTEX.11EQ9.1526.SM.5PNY7	GTEX.Z93S.2626.SM.57WBX	GTEX.1122O.1526.SM.5N9CL	GTEX.11P7K.1826.SM.5HL5A	GTEX.1399R.2126.SM.5K7WZ	GTEX.T6MO.0826.SM.4DM51	GTEX.WEY5.1426.SM.4LMJ3	GTEX.OHPM.1426.SM.3TW8Y	GTEX.1399U.2226.SM.5KLZI	GTEX.1211K.1826.SM.5EGJ2	GTEX.XPVG.1826.SM.4B64X	GTEX.11DXZ.1726.SM.5H12M	GTEX.V955.1726.SM.4JBHF	GTEX.111YS.1826.SM.5GIEP	GTEX.11EMC.1426.SM.5N9E4	GTEX.11P81.1126.SM.5GU5G	GTEX.11ZVC.2126.SM.5EGJ1	GTEX.11ONC.1926.SM.5GU75	GTEX.11GS4.1826.SM.5HL4T	GTEX.ZA64.1426.SM.5CVMC	GTEX.13X6K.2726.SM.5O9DG	GTEX.13OW6.2226.SM.5N9FL	GTEX.139UW.2326.SM.5KM1Y	GTEX.14DAR.1526.SM.5RQIX	GTEX.131XE.1026.SM.5EGKE	GTEX.13QBU.2026.SM.5KLZB	GTEX.U3ZM.1126.SM.4DXUB	GTEX.ZT9W.1726.SM.51MS3	GTEX.13PVR.1726.SM.5Q5EC	GTEX.Y114.1526.SM.4TT79	GTEX.ZVT2.1726.SM.51MRO	GTEX.13FH7.1626.SM.5J2O9	GTEX.11GSP.1626.SM.5986N	GTEX.12ZZX.2726.SM.5N9FT	GTEX.YF7O.1626.SM.5IFII	GTEX.13FH7.1526.SM.5J2N6	GTEX.Y9LG.1326.SM.4VBQB	GTEX.XV7Q.2226.SM.4BRVY	GTEX.ZDTS.2726.SM.5L3E2	GTEX.PX3G.1426.SM.48U1J	GTEX.11EM3.1626.SM.5N9CO	GTEX.132NY.2726.SM.5PNY2	GTEX.11EI6.2626.SM.5PNVT	GTEX.ZPCL.1626.SM.57WGC	GTEX.O5YW.1426.SM.3MJHF	GTEX.13N2G.2226.SM.5IJCU	GTEX.12C56.0626.SM.5EGGC	GTEX.13OW5.2626.SM.5MR3M	GTEX.13NYB.1326.SM.5K7Y1	GTEX.WEY5.1126.SM.4LMIE	GTEX.145MF.1526.SM.5LU95	GTEX.YJ8O.0326.SM.5RQJW	GTEX.11P81.1026.SM.5GU54	GTEX.XYKS.1026.SM.4BRVH	GTEX.XBEW.1526.SM.4AT4K	GTEX.14E7W.1926.SM.5S2R9	GTEX.13O21.0726.SM.5L3EG	GTEX.11NUK.1726.SM.5A5L2	GTEX.13U4I.1326.SM.5KM25	GTEX.Y3IK.1326.SM.4YCD8	GTEX.11DXZ.1026.SM.5N9D5	GTEX.Y111.1826.SM.4SOIR	GTEX.ZF2S.1326.SM.4WWAZ	GTEX.13111.1126.SM.5GCMZ	GTEX.11DYG.1926.SM.5H12I	GTEX.XQ3S.1026.SM.4BOPJ	GTEX.13OVL.2726.SM.5J2MP	GTEX.ZAK1.1826.SM.5HL93	GTEX.Y111.1726.SM.4SOIQ	GTEX.V955.1026.SM.4JBHO	GTEX.QV44.1026.SM.447CG	GTEX.1212Z.2026.SM.5N9EA	GTEX.13NYB.0826.SM.5MR4V	GTEX.WYVS.0826.SM.4RTXB	GTEX.ZYFC.1726.SM.5GZYX	GTEX.QEL4.1526.SM.447AB	GTEX.13G51.1026.SM.5K7YQ	GTEX.Q2AG.1226.SM.4GICA	GTEX.U3ZH.1126.SM.4DXUG	GTEX.RNOR.1326.SM.48FDE	GTEX.POMQ.0626.SM.3P61E	GTEX.12WSD.1926.SM.5GCOV	GTEX.T6MN.1526.SM.4DM5P	GTEX.QMRM.0926.SM.447BR	GTEX.RU72.0826.SM.46MUS	GTEX.146FQ.1126.SM.5NQBM	GTEX.11DXY.1526.SM.5H129	GTEX.RTLS.1226.SM.46MUP	GTEX.TKQ2.1226.SM.4DXSV	GTEX.WRHK.0426.SM.4MVOG	GTEX.11ZUS.0926.SM.5FQSY	GTEX.13QJ3.1826.SM.5S2PT	GTEX.13OW6.1426.SM.5L3EU	GTEX.ZAB5.1026.SM.5HL91	GTEX.XQ3S.1226.SM.4BOPP	GTEX.YECK.1726.SM.5IFI3	GTEX.Q734.0826.SM.48U1G	GTEX.145MH.1226.SM.5RQJT	GTEX.ZEX8.1326.SM.4WWEW	GTEX.12ZZY.1526.SM.5LZWF	GTEX.ZYT6.1226.SM.5E44Q	GTEX.U3ZN.1826.SM.4DXUY	GTEX.13OW8.2226.SM.5K7Z4	GTEX.R55G.0926.SM.48FDN	GTEX.13U4I.1226.SM.5LU5M	GTEX.WZTO.1526.SM.4PQYQ	GTEX.13111.0926.SM.5DUVQ	GTEX.ZDYS.0426.SM.5IJEQ	GTEX.13RTJ.2126.SM.5S2PZ	GTEX.V1D1.1926.SM.4JBGX	GTEX.13111.1326.SM.5GCNO	GTEX.YB5E.1826.SM.5IFI4	GTEX.Y9LG.1826.SM.4VBQC	GTEX.11TUW.2126.SM.5GU7B	TCGA.AF.2689.11A.01R.A32Z.07	TCGA.AF.2691.11A.01R.A32Z.07	TCGA.AF.2692.11A.01R.A32Z.07	TCGA.AF.5654.11A.11R.1660.07	GTEX.13CF2.2426.SM.5LZYL	TCGA.FP.7735.11A.01R.2055.13	GTEX.13111.1226.SM.5GCNC	GTEX.OOBJ.1526.SM.3NB1Q	GTEX.PX3G.1526.SM.48U11	GTEX.WFON.1126.SM.4LVMA	GTEX.RWS6.0926.SM.47JXE	GTEX.145LT.1426.SM.5O9B3	GTEX.12WSD.2326.SM.59HKQ	GTEX.RTLS.2626.SM.46MUJ	GTEX.QXCU.1926.SM.48FE4	GTEX.Y5V6.1326.SM.4VDTF	GTEX.QLQW.0726.SM.447AA	GTEX.R55G.1626.SM.48FF4
PROX2	0.54	0.57	8.51	4.28	6.52	2.07	12.83	2.94	7.0	5.11	6.52	1.81	7.06	6.73	1.77	3.72	3.35	5.32	4.06	2.03	3.47	1.53	3.72	0.78	5.54	3.82	9.7	2.78	8.58	0.93	2.03	9.78	6.06	1.99	4.66	5.63	1.06	5.41	4.7	1.3	3.76	9.7	3.06	3.06	6.52	10.96	6.52	3.79	6.06	5.15	3.72	2.89	2.46	5.73	2.89	2.43	5.19	10.79	3.99	8.58	2.68	1.43	2.41	4.21	4.86	11.91	10.24	6.62	3.82	2.56	1.06	4.62	3.63	0.13	5.28	0.66	4.17	6.06	5.92	12.27	3.26	6.36	6.11	4.06	8.0	4.28	2.39	7.22	8.19	2.66	5.28	10.39	5.06	5.68	2.1	2.81	4.94	0.52	1.1	9.13	4.46	3.86	3.44	3.5	6.26	1.69	5.96	1.45	6.73	5.87	0.71	8.0	11.47	4.43	9.2	8.25	3.69	8.85	9.34	8.58	6.26	14.56	13.12	4.5	9.93	8.0	7.63	10.24	18.29	11.91	4.13	9.56	12.83	8.92	12.74	13.72	15.56	10.39	1.99	8.65	8.25	8.65	16.15	19.53	20.41	13.42	20.11	6.57	15.91	8.71	6.89	25.35	3.53	7.17	11.21	13.62	3.47	18.97	17.51	14.03	5.32	20.26	25.54	17.77	17.25	5.68	23.25	5.77	4.74	18.43	6.06	14.14	18.29	6.16	3.63	0.85	2.18	2.32	2.43	3.11	2.78	3.06	1.85	4.21	1.79	2.1	1.95	1.6	10.16	2.63	7.46	0.43	9.34	3.86	2.86	0.79	5.87	1.11	2.73
PTPN23	305.55	420.68	616.37	381.68	420.68	470.14	660.68	429.54	473.41	708.18	555.41	441.64	583.07	575.03	470.14	457.25	476.71	384.34	334.46	435.55	423.61	287.01	420.68	218.79	607.87	567.1	493.56	334.46	497.0	387.02	511.0	518.15	665.29	400.71	450.94	540.19	217.27	297.17	518.15	417.77	447.82	450.94	529.06	423.61	373.81	651.58	551.56	441.64	435.55	341.51	384.34	532.74	392.44	521.76	403.5	438.59	733.19	551.56	454.09	536.45	432.53	463.65	361.04	571.05	397.93	620.67	629.35	633.73	441.64	483.38	293.07	476.71	466.88	325.29	529.06	232.94	460.44	603.67	497.0	775.05	483.38	620.67	514.56	525.39	769.69	371.22	242.88	551.56	703.28	293.07	543.96	454.09	332.14	511.0	299.25	392.44	320.8	327.56	353.59	607.87	444.72	412.0	480.04	318.57	454.09	309.83	575.03	265.87	514.56	500.46	379.04	473.41	595.34	571.05	607.87	579.04	587.13	674.59	599.49	559.28	647.07	633.73	974.5	665.29	642.59	555.41	450.94	674.59	713.11	616.37	420.68	579.04	785.88	540.19	708.18	728.11	638.15	660.68	493.56	571.05	463.65	669.92	902.89	769.69	543.96	733.19	693.58	718.08	559.28	656.11	693.58	669.92	470.14	507.46	791.35	651.58	414.87	616.37	708.18	743.43	518.15	748.61	825.0	703.28	460.44	547.75	698.41	536.45	607.87	532.74	493.56	547.75	748.61	575.03	486.75	318.57	532.74	454.09	529.06	423.61	583.07	493.56	493.56	514.56	432.53	450.94	447.82	490.14	591.22	525.39	435.55	346.29	356.05	417.77	384.34	563.18	376.41	356.05	336.79
PYROXD2	112.77	120.94	348.71	183.82	211.31	191.67	466.88	176.29	305.55	703.28	435.55	206.94	277.2	503.95	191.67	215.77	195.72	249.73	137.14	102.97	137.14	178.77	289.02	161.02	177.53	244.57	368.65	144.01	536.45	226.54	170.25	497.0	486.75	109.66	198.47	423.61	139.07	194.36	279.14	172.65	218.79	567.1	115.16	85.82	231.32	397.93	237.86	149.12	397.93	156.59	193.01	173.85	100.13	332.14	198.47	116.78	480.04	253.23	480.04	435.55	127.0	131.51	195.72	166.73	172.65	450.94	420.68	140.04	454.09	183.82	145.02	309.83	186.4	59.13	195.72	88.88	77.79	120.94	297.17	441.64	155.5	371.22	163.28	262.2	253.23	255.0	98.04	239.52	420.68	159.9	169.07	387.02	100.83	187.71	181.28	76.17	113.56	136.19	144.01	435.55	583.07	93.35	186.4	88.88	379.04	161.02	218.79	116.78	318.57	493.56	105.15	146.03	536.45	277.2	480.04	616.37	234.57	497.0	490.14	507.46	343.89	417.77	624.99	279.14	532.74	521.76	346.29	444.72	693.58	389.72	281.09	403.5	665.29	629.35	567.1	684.02	381.68	368.65	363.56	603.67	429.54	703.28	543.96	638.15	457.25	426.57	529.06	417.77	503.95	607.87	376.41	507.46	341.51	368.65	392.44	503.95	135.24	412.0	503.95	480.04	314.17	616.37	620.67	595.34	575.03	226.54	551.56	351.14	281.09	429.54	320.8	426.57	819.3	299.25	215.77	158.79	420.68	162.14	154.42	164.42	115.16	94.67	287.01	314.17	73.54	55.49	309.83	131.51	112.77	80.01	181.28	155.5	96.68	177.53	86.43	27.84	42.71	79.45	181.28
QRICH2	46.5	25.54	38.95	43.02	33.54	17.0	50.98	28.45	52.45	72.52	38.4	17.64	50.98	31.0	19.97	21.01	12.36	30.12	27.05	30.34	22.26	63.45	20.41	34.51	40.64	31.45	40.36	19.25	85.82	22.43	17.9	57.49	53.19	23.42	36.27	66.18	16.51	57.89	36.01	25.17	16.63	71.5	21.32	32.59	31.0	24.63	37.05	31.67	58.71	16.88	17.77	26.67	15.34	58.3	26.47	28.86	74.06	32.82	32.36	33.06	10.47	21.16	14.45	29.7	19.39	53.19	36.53	31.0	88.88	14.89	22.1	53.19	36.27	29.06	40.36	9.56	15.45	21.01	28.04	100.83	23.42	41.52	38.12	33.3	47.84	45.53	28.04	54.33	41.22	10.39	16.27	96.01	13.93	30.78	24.46	24.81	10.0	17.13	13.22	68.55	122.64	25.17	13.22	18.56	55.49	15.22	14.56	24.11	30.34	51.35	40.93	17.51	80.01	25.17	93.35	76.71	37.32	36.27	84.63	60.82	39.79	73.54	53.57	34.26	38.4	61.68	45.85	49.91	87.65	50.27	31.9	40.36	135.24	76.71	61.25	100.83	111.99	69.52	57.08	121.79	57.49	87.65	166.73	98.73	103.69	74.58	88.88	69.03	37.05	82.29	42.71	96.01	25.17	18.56	73.03	45.85	25.54	75.64	66.18	57.49	51.35	145.02	80.01	114.36	90.14	29.7	150.17	42.41	41.52	50.98	47.5	49.21	101.54	31.0	11.04	13.03	55.89	16.27	36.01	20.41	30.12	23.93	15.56	30.34	28.24	46.18	29.91	23.08	31.67	18.29	5.68	22.43	27.64	14.24	20.11	5.68	44.89	34.51	29.48
RABL2B	249.73	329.84	583.07	432.53	387.02	363.56	500.46	348.71	555.41	656.11	563.18	423.61	493.56	579.04	470.14	438.59	332.14	511.0	417.77	395.18	417.77	435.55	351.14	237.86	511.0	551.56	543.96	353.59	665.29	403.5	403.5	500.46	967.76	361.04	612.11	423.61	307.69	486.75	587.13	397.93	403.5	503.95	371.22	476.71	409.15	603.67	547.75	480.04	529.06	351.14	373.81	327.56	395.18	432.53	438.59	447.82	842.36	647.07	503.95	591.22	361.04	361.04	483.38	514.56	529.06	738.29	483.38	463.65	403.5	387.02	426.57	400.71	532.74	379.04	454.09	318.57	423.61	403.5	450.94	909.17	400.71	620.67	476.71	543.96	764.36	483.38	395.18	536.45	791.35	400.71	371.22	656.11	483.38	493.56	384.34	397.93	603.67	447.82	412.0	463.65	583.07	387.02	409.15	400.71	743.43	329.84	392.44	329.84	543.96	629.35	332.14	329.84	764.36	624.99	660.68	624.99	536.45	698.41	660.68	647.07	518.15	775.05	775.05	703.28	559.28	698.41	497.0	567.1	954.43	551.56	476.71	884.29	954.43	595.34	620.67	896.64	808.0	733.19	397.93	575.03	571.05	665.29	1001.93	703.28	854.13	591.22	1119.56	718.08	529.06	759.08	521.76	785.88	435.55	638.15	780.44	547.75	503.95	733.19	669.92	854.13	575.03	967.76	928.3	813.63	718.08	381.68	723.08	543.96	595.34	629.35	629.35	669.92	753.83	624.99	612.11	303.44	518.15	343.89	356.05	339.14	289.02	400.71	368.65	476.71	432.53	244.57	466.88	395.18	420.68	253.23	387.02	341.51	295.11	295.11	212.78	237.86	289.02	447.82	397.93
RAC3	29.06	21.32	100.13	56.68	72.01	105.89	107.38	84.63	132.44	134.3	90.14	113.56	60.39	61.25	36.27	65.26	138.1	150.17	40.64	24.99	67.59	57.49	130.6	177.53	61.25	130.6	96.01	61.68	186.4	69.03	70.01	102.97	94.01	35.5	53.19	193.01	54.72	81.14	35.0	40.93	46.18	183.82	40.64	46.84	96.68	65.72	70.51	56.28	149.12	87.65	100.83	58.3	33.3	129.69	61.68	135.24	125.24	114.36	74.58	113.56	67.12	59.97	135.24	88.88	52.82	94.67	116.78	83.45	178.77	89.51	52.08	75.64	63.0	57.89	109.66	64.34	44.25	275.28	112.77	241.19	25.72	104.42	71.0	78.34	190.34	81.71	39.5	102.97	144.01	24.81	109.66	185.11	38.95	138.1	62.12	29.27	57.49	69.52	27.84	137.14	283.05	45.21	44.89	43.02	101.54	20.26	94.67	49.21	78.89	149.12	44.89	83.45	150.17	97.36	149.12	99.43	40.07	47.17	87.65	82.87	78.34	102.25	52.82	46.5	104.42	45.21	88.26	58.71	226.54	76.17	26.1	110.43	98.04	117.6	72.01	217.27	117.6	88.26	70.51	156.59	67.12	82.87	154.42	134.3	84.04	73.54	134.3	115.97	82.87	76.71	64.8	120.1	64.34	73.54	134.3	46.18	43.94	111.99	106.63	78.34	79.45	100.83	113.56	167.9	107.38	41.52	143.01	117.6	60.39	86.43	47.84	72.52	190.34	31.22	351.14	177.53	514.56	123.5	493.56	521.76	713.11	80.01	75.64	104.42	132.44	43.32	118.43	25.54	93.35	195.72	218.79	400.71	180.02	63.45	93.35	153.34	242.88	379.04	62.12
RAD52	98.73	260.38	277.2	182.55	194.36	244.57	329.84	226.54	412.0	493.56	329.84	198.47	155.5	460.44	271.48	198.47	170.25	305.55	181.28	155.5	226.54	209.84	397.93	483.38	177.53	420.68	376.41	211.31	511.0	171.45	239.52	269.6	417.77	195.72	267.73	361.04	126.12	195.72	262.2	239.52	178.77	287.01	152.28	138.1	177.53	301.33	273.37	166.73	351.14	172.65	303.44	217.27	155.5	273.37	190.34	155.5	463.65	325.29	197.09	264.03	234.57	163.28	332.14	353.59	132.44	381.68	417.77	183.82	239.52	334.46	183.82	303.44	217.27	78.89	403.5	87.03	162.14	316.37	397.93	583.07	264.03	358.54	293.07	264.03	426.57	253.23	110.43	228.13	420.68	159.9	256.78	616.37	146.03	297.17	127.89	153.34	193.01	165.57	115.97	373.81	395.18	143.01	111.99	164.42	346.29	114.36	223.41	90.77	301.33	371.22	158.79	232.94	521.76	234.57	389.72	346.29	156.59	518.15	463.65	514.56	490.14	429.54	493.56	246.28	493.56	256.78	303.44	253.23	536.45	314.17	157.68	384.34	555.41	591.22	575.03	503.95	412.0	497.0	429.54	336.79	318.57	447.82	759.08	612.11	579.04	547.75	642.59	356.05	307.69	624.99	373.81	583.07	228.13	454.09	500.46	273.37	157.68	387.02	651.58	532.74	429.54	688.78	447.82	599.49	403.5	279.14	563.18	232.94	260.38	395.18	334.46	366.09	698.41	181.28	115.16	140.04	214.27	119.26	133.36	158.79	90.14	201.25	73.03	153.34	246.28	92.7	151.22	140.04	193.01	95.34	120.1	125.24	164.42	162.14	98.04	49.21	130.6	130.6	142.01
RANBP10	220.32	130.6	353.59	260.38	299.25	265.87	551.56	253.23	397.93	395.18	392.44	204.07	373.81	463.65	329.84	291.04	251.48	291.04	214.27	201.25	190.34	232.94	221.86	171.45	244.57	258.57	400.71	218.79	348.71	165.57	218.79	397.93	423.61	256.78	277.2	368.65	117.6	237.86	172.65	232.94	180.02	417.77	237.86	221.86	260.38	285.03	351.14	269.6	318.57	264.03	237.86	299.25	208.38	260.38	251.48	239.52	221.86	373.81	279.14	287.01	237.86	211.31	285.03	336.79	258.57	406.31	447.82	241.19	236.21	251.48	177.53	236.21	309.83	183.82	283.05	163.28	312.0	314.17	273.37	426.57	291.04	403.5	406.31	318.57	441.64	293.07	223.41	381.68	420.68	236.21	269.6	318.57	234.57	318.57	177.53	256.78	198.47	156.59	217.27	287.01	303.44	253.23	181.28	244.57	346.29	175.07	271.48	161.02	334.46	409.15	140.04	316.37	387.02	279.14	297.17	316.37	246.28	363.56	403.5	403.5	329.84	297.17	381.68	316.37	348.71	341.51	297.17	260.38	480.04	327.56	264.03	363.56	392.44	381.68	400.71	460.44	293.07	343.89	295.11	325.29	429.54	376.41	457.25	409.15	447.82	490.14	563.18	343.89	265.87	397.93	265.87	400.71	256.78	299.25	429.54	301.33	186.4	334.46	387.02	529.06	295.11	423.61	384.34	463.65	336.79	239.52	406.31	334.46	336.79	397.93	316.37	348.71	616.37	237.86	212.78	162.14	218.79	166.73	185.11	236.21	226.54	253.23	191.67	262.2	228.13	356.05	241.19	251.48	195.72	185.11	265.87	187.71	289.02	142.01	201.25	147.06	202.66	201.25	147.06
RBM14	620.67	642.59	1008.9	1135.2	866.07	642.59	743.43	665.29	796.86	941.27	802.41	791.35	511.0	1044.52	612.11	860.08	612.11	753.83	848.22	1023.0	607.87	1096.5	842.36	703.28	703.28	934.76	902.89	878.17	860.08	785.88	624.99	995.0	848.22	698.41	780.44	791.35	454.09	896.64	665.29	1059.11	890.44	878.17	599.49	579.04	1111.82	733.19	813.63	579.04	928.3	603.67	780.44	884.29	575.03	872.1	723.08	974.5	1242.34	866.07	669.92	848.22	525.39	616.37	878.17	848.22	872.1	1059.11	961.07	679.29	665.29	551.56	802.41	921.88	633.73	753.83	842.36	563.18	723.08	684.02	674.59	1044.52	629.35	1030.12	981.29	1066.48	967.76	878.17	753.83	808.0	1151.06	785.88	603.67	988.12	915.51	688.78	525.39	819.3	607.87	591.22	684.02	738.29	928.3	748.61	802.41	656.11	1073.91	796.86	825.0	688.78	1044.52	825.0	587.13	674.59	974.5	954.43	753.83	934.76	733.19	1143.1	1073.91	921.88	1135.2	909.17	1023.0	988.12	1015.93	791.35	764.36	575.03	1088.92	791.35	848.22	947.83	1044.52	1030.12	1088.92	1233.75	1119.56	872.1	825.0	718.08	848.22	884.29	947.83	1001.93	1037.29	791.35	1111.82	780.44	830.75	1096.5	486.75	961.07	796.86	981.29	860.08	633.73	651.58	1225.22	890.44	967.76	1051.79	995.0	941.27	1397.83	961.07	669.92	1183.45	915.51	842.36	860.08	1143.1	748.61	1073.91	679.29	785.88	718.08	848.22	518.15	796.86	764.36	836.53	1066.48	866.07	915.51	547.75	713.11	813.63	791.35	860.08	679.29	860.08	723.08	860.08	514.56	536.45	373.81	1051.79	808.0	808.0
RBM28	323.03	301.33	368.65	303.44	301.33	211.31	336.79	285.03	406.31	316.37	353.59	281.09	409.15	529.06	454.09	312.0	221.86	387.02	236.21	204.07	373.81	334.46	170.25	157.68	305.55	490.14	483.38	265.87	376.41	299.25	178.77	303.44	616.37	329.84	426.57	371.22	289.02	283.05	334.46	258.57	297.17	373.81	307.69	379.04	320.8	373.81	303.44	420.68	293.07	277.2	215.77	234.57	348.71	312.0	208.38	269.6	371.22	438.59	348.71	426.57	279.14	312.0	190.34	211.31	295.11	450.94	351.14	432.53	258.57	191.67	346.29	285.03	334.46	267.73	265.87	215.77	293.07	312.0	198.47	343.89	409.15	356.05	403.5	389.72	412.0	267.73	339.14	283.05	435.55	366.09	237.86	343.89	285.03	229.72	241.19	273.37	381.68	248.0	231.32	323.03	241.19	353.59	281.09	371.22	325.29	267.73	329.84	234.57	299.25	314.17	255.0	271.48	312.0	232.94	353.59	518.15	493.56	514.56	409.15	708.18	497.0	599.49	616.37	525.39	547.75	595.34	480.04	426.57	607.87	341.51	356.05	728.11	466.88	693.58	612.11	743.43	514.56	551.56	438.59	387.02	532.74	503.95	718.08	587.13	571.05	525.39	660.68	341.51	563.18	679.29	463.65	493.56	341.51	555.41	612.11	363.56	289.02	591.22	764.36	866.07	447.82	579.04	616.37	435.55	497.0	368.65	532.74	603.67	400.71	693.58	441.64	507.46	620.67	454.09	224.97	323.03	260.38	224.97	361.04	351.14	297.17	318.57	379.04	397.93	327.56	521.76	236.21	329.84	166.73	198.47	389.72	159.9	269.6	256.78	201.25	237.86	131.51	193.01	329.84
RCCD1	92.7	138.1	273.37	232.94	153.34	409.15	327.56	215.77	275.28	348.71	518.15	336.79	198.47	244.57	185.11	166.73	432.53	275.28	206.94	176.29	172.65	150.17	295.11	287.01	185.11	334.46	314.17	239.52	339.14	156.59	251.48	318.57	289.02	131.51	251.48	309.83	356.05	201.25	186.4	220.32	153.34	381.68	136.19	146.03	195.72	248.0	212.78	142.01	285.03	271.48	299.25	214.27	137.14	234.57	180.02	260.38	356.05	229.72	246.28	289.02	241.19	130.6	529.06	242.88	150.17	403.5	307.69	218.79	327.56	289.02	143.01	285.03	237.86	81.14	316.37	151.22	123.5	384.34	327.56	435.55	172.65	260.38	291.04	269.6	373.81	239.52	97.36	293.07	264.03	171.45	373.81	341.51	138.1	353.59	191.67	170.25	71.5	115.97	339.14	279.14	323.03	152.28	214.27	125.24	256.78	147.06	287.01	140.04	275.28	358.54	164.42	258.57	414.87	466.88	356.05	318.57	120.1	323.03	264.03	334.46	341.51	234.57	409.15	271.48	273.37	299.25	256.78	260.38	400.71	242.88	95.34	241.19	332.14	332.14	325.29	381.68	325.29	339.14	271.48	348.71	258.57	293.07	500.46	406.31	376.41	414.87	371.22	201.25	217.27	351.14	231.32	532.74	211.31	303.44	423.61	248.0	144.01	231.32	371.22	271.48	325.29	289.02	320.8	476.71	329.84	191.67	307.69	201.25	175.07	246.28	275.28	309.83	361.04	147.06	132.44	186.4	205.5	135.24	108.9	102.25	102.97	244.57	201.25	229.72	242.88	92.7	244.57	82.29	260.38	180.02	244.57	212.78	212.78	167.9	185.11	81.14	211.31	223.41	186.4
