	TCGA.T9.A92H.01A.11R.A37K.07	TCGA.NH.A50T.01A.11R.A28H.07	TCGA.CA.6715.01A.21R.1839.07	TCGA.5M.AAT4.01A.11R.A41B.07	TCGA.QG.A5YW.01A.11R.A28H.07	TCGA.QG.A5YX.01A.11R.A28H.07	TCGA.AY.6386.01A.21R.1723.07	TCGA.AM.5821.01A.01R.1653.07	GTEX.13111.0726.SM.5DUVE	GTEX.131XE.0826.SM.5HL9W	GTEX.11P7K.1526.SM.5EGI7	GTEX.1399R.2226.SM.5P9JB	GTEX.PLZ5.1126.SM.3P613	GTEX.139TS.1926.SM.5IJFO	GTEX.QLQW.0426.SM.447A7	GTEX.S7SF.1926.SM.4AT5B	GTEX.ZPU1.1926.SM.57WDT	GTEX.P4QT.1426.SM.3NMCX	GTEX.1399U.1926.SM.5IFH7	GTEX.Q734.1126.SM.48TZY	GTEX.11P82.1026.SM.5BC5J	GTEX.U4B1.1126.SM.4DXV3	GTEX.Q2AI.0926.SM.48U1F	GTEX.146FQ.1926.SM.5NQBY	GTEX.ZY6K.1226.SM.5GZYL	GTEX.R55G.1226.SM.48FDC	GTEX.14E6E.1526.SM.5RQIG	GTEX.YB5E.1626.SM.5IFIQ	GTEX.R53T.1326.SM.48FCQ	GTEX.WFG7.1526.SM.4LVMG	GTEX.13S86.1626.SM.5Q5C5	GTEX.PLZ6.0926.SM.3P5ZQ	GTEX.145MN.1726.SM.5SIA6	GTEX.111CU.1426.SM.5GZYP	GTEX.PWOO.1326.SM.48TCJ	GTEX.ZYWO.1626.SM.5E44H	GTEX.ZF2S.1926.SM.4WWAN	GTEX.1399S.1926.SM.5J2M5	GTEX.13D11.0826.SM.5KLZJ	GTEX.SNMC.1126.SM.4DM5M	GTEX.132AR.2726.SM.5PNVN	GTEX.UPIC.1726.SM.4IHKG	GTEX.QV31.0826.SM.4R1KR	GTEX.P4PP.1426.SM.3NM9L	GTEX.11EM3.1526.SM.5A5KN	GTEX.YEC3.2426.SM.5IFJR	GTEX.QDVN.1326.SM.48TZ3	GTEX.12BJ1.2126.SM.5BC5O	GTEX.117YW.1826.SM.5PNY5	GTEX.UJHI.1126.SM.4IHLN	GTEX.Y5LM.1526.SM.4VDTA	GTEX.O5YT.1426.SM.3MJHC	GTEX.13FHP.2426.SM.5KLZ5	GTEX.R55D.1826.SM.48FEF	GTEX.139YR.2126.SM.5KM11	GTEX.13FTW.1826.SM.5IJEN	GTEX.1122O.1526.SM.5N9CL	GTEX.13PL7.2526.SM.5IFGR	GTEX.W5WG.2426.SM.4LMI6	GTEX.OHPM.1426.SM.3TW8Y	GTEX.Y8E4.2426.SM.4WWDN	GTEX.U3ZN.2126.SM.4DXU1	GTEX.13OW6.2126.SM.5N9GL	GTEX.XBED.1526.SM.4AT5W	GTEX.S4UY.0826.SM.4AD4Z	GTEX.ZZ64.0726.SM.5GZX4	GTEX.131XG.1826.SM.5LZV4	GTEX.XUZC.1326.SM.4BRV2	GTEX.11DXZ.1726.SM.5H12M	GTEX.13OVJ.1726.SM.5IJDZ	GTEX.XV7Q.2126.SM.4BRVX	GTEX.WOFM.2026.SM.4OOSQ	GTEX.RM2N.0926.SM.48FD1	GTEX.T5JW.1126.SM.4DM5V	GTEX.11NSD.1626.SM.5986U	GTEX.ZGAY.2126.SM.4YCFB	GTEX.144GN.1126.SM.5LU33	GTEX.QCQG.1626.SM.48U26	GTEX.ZV7C.1526.SM.5NQ72	GTEX.Y3IK.1826.SM.4WWDS	GTEX.QMRM.1226.SM.447C6	GTEX.QEL4.1926.SM.4R1JI	GTEX.Q2AH.1226.SM.48TZL	GTEX.ZLV1.1226.SM.4WWBX	GTEX.ZT9W.1826.SM.51MQX	GTEX.YB5E.0326.SM.5IFHU	GTEX.13FLV.0326.SM.5N9DJ	GTEX.Y5LM.0426.SM.4VBRO	GTEX.PX3G.0826.SM.48TZS	GTEX.145MF.0826.SM.5QGQA	GTEX.139TS.1426.SM.5IFJD	GTEX.1269C.0626.SM.5FQSS	GTEX.12KS4.1326.SM.5LUB3	GTEX.11ZVC.0726.SM.5FQT9	GTEX.1399T.0826.SM.5IFES	GTEX.13OW6.2626.SM.5IFF2	GTEX.13O3O.1826.SM.5IFGW	TCGA.38.4625.01A.01R.1206.07	TCGA.38.4625.01A.01R.1206.07.1	TCGA.AH.6897.01A.11R.1928.07	GTEX.QXCU.1926.SM.48FE4	GTEX.Q2AI.0826.SM.48TZO
FAM134A	1199.98	884.29	1594.73	1662.49	1551.09	1697.45	1023.0	595.34	2739.08	2240.11	2997.45	2895.31	2796.65	2319.15	2739.08	3190.46	2178.83	2664.15	2758.13	2701.35	2451.44	2178.83	2537.92	1896.65	1963.57	2520.38	2875.3	2835.7	2367.9	2384.37	2451.44	2682.69	2645.74	2384.37	1781.89	2915.45	2664.15	3039.3	2976.74	1605.83	2935.74	2976.74	2178.83	2609.3	2816.11	1844.76	1857.6	2976.74	1508.65	2720.15	3257.52	1923.14	1477.58	2835.7	2573.36	2720.15	2997.45	3018.3	2351.53	2875.3	2163.77	2835.7	1628.26	2400.97	2682.69	2193.99	2485.67	2287.2	3039.3	1561.89	2319.15	3325.99	2855.44	2240.11	2224.63	2163.77	1991.0	2468.49	2875.3	2627.46	1745.2	2573.36	2468.49	3081.75	2591.27	1304.15	1322.37	1295.13	1594.73	1769.57	2004.85	1023.0	902.89	1313.23	1662.49	1498.22	703.28	0.0	0.64	1081.39	1111.82	2119.22
FAM211A	152.28	332.14	93.35	115.97	57.08	84.63	262.2	2.86	1104.13	842.36	1819.35	1135.2	1151.06	703.28	1295.13	1015.93	878.17	1322.37	1447.15	1037.29	1437.15	1088.92	1467.37	825.0	854.13	1529.73	1721.16	1467.37	866.07	1127.35	616.37	884.29	1447.15	1295.13	909.17	1208.34	1208.34	1487.87	1487.87	490.14	1583.71	1963.57	1175.27	1183.45	921.88	571.05	884.29	1135.2	1259.69	1216.75	1757.34	860.08	323.03	1313.23	1277.29	1331.57	2104.58	1457.23	1001.93	1159.07	624.99	1340.84	432.53	1059.11	1350.18	563.18	1561.89	1304.15	1685.71	669.92	836.53	1369.04	1407.55	1233.75	698.41	708.18	954.43	1059.11	1561.89	1008.9	651.58	842.36	1008.9	1487.87	1199.98	9.06	9.78	4.54	4.94	9.27	11.38	19.68	19.97	3.41	7.94	8.13	4.54	0.0	0.16	63.45	45.21	150.17
FAM21A	470.14	435.55	426.57	476.71	624.99	563.18	579.04	155.5	728.11	738.29	954.43	153.34	743.43	698.41	830.75	1143.1	642.59	896.64	928.3	878.17	334.46	432.53	1066.48	551.56	802.41	769.69	426.57	733.19	775.05	713.11	587.13	974.5	981.29	974.5	555.41	669.92	785.88	1175.27	444.72	412.0	1051.79	915.51	796.86	674.59	429.54	698.41	406.31	536.45	444.72	896.64	848.22	353.59	583.07	1369.04	1044.52	327.56	854.13	1059.11	928.3	497.0	514.56	656.11	429.54	529.06	902.89	819.3	669.92	896.64	1167.14	269.6	607.87	915.51	981.29	457.25	587.13	854.13	612.11	450.94	1268.46	688.78	638.15	466.88	629.35	981.29	629.35	232.94	163.28	209.84	234.57	187.71	279.14	301.33	158.79	129.69	224.97	208.38	60.82	0.0	0.12	212.78	454.09	454.09
FAM47E	48.52	75.64	80.57	117.6	67.12	193.01	83.45	33.06	267.73	444.72	563.18	723.08	457.25	303.44	320.8	348.71	199.85	414.87	647.07	612.11	688.78	232.94	532.74	183.82	507.46	713.11	1583.71	389.72	309.83	299.25	376.41	476.71	571.05	490.14	123.5	679.29	447.82	563.18	587.13	381.68	1417.35	242.88	409.15	559.28	358.54	212.78	140.04	532.74	99.43	503.95	802.41	438.59	151.22	587.13	723.08	303.44	1143.1	769.69	384.34	769.69	466.88	595.34	166.73	262.2	669.92	341.51	555.41	406.31	669.92	105.89	182.55	400.71	379.04	226.54	305.55	620.67	305.55	199.85	759.08	283.05	348.71	343.89	503.95	503.95	660.68	470.14	363.56	490.14	547.75	656.11	988.12	1225.22	723.08	872.1	819.3	842.36	728.11	0.0	0.41	69.52	87.03	74.06
FAM47E-STBD1	87.65	41.81	128.79	85.22	33.54	140.04	81.14	35.25	351.14	318.57	579.04	351.14	521.76	341.51	532.74	599.49	242.88	435.55	563.18	503.95	665.29	297.17	575.03	299.25	521.76	796.86	1081.39	713.11	346.29	450.94	400.71	629.35	599.49	379.04	159.9	647.07	384.34	620.67	599.49	490.14	1088.92	587.13	414.87	718.08	429.54	246.28	236.21	466.88	229.72	629.35	587.13	339.14	161.02	713.11	595.34	567.1	947.83	603.67	525.39	642.59	376.41	708.18	164.42	320.8	616.37	373.81	713.11	514.56	860.08	175.07	281.09	490.14	503.95	329.84	356.05	547.75	303.44	409.15	733.19	595.34	346.29	366.09	460.44	718.08	381.68	490.14	769.69	738.29	753.83	928.3	1044.52	536.45	323.03	708.18	1242.34	780.44	119.26	0.0	0.48	81.14	71.5	135.24
FAM63A	173.85	134.3	237.86	229.72	164.42	305.55	316.37	136.19	612.11	808.0	921.88	796.86	638.15	603.67	638.15	753.83	395.18	642.59	426.57	579.04	713.11	624.99	642.59	563.18	371.22	785.88	802.41	684.02	392.44	518.15	295.11	759.08	769.69	486.75	358.54	878.17	775.05	713.11	743.43	511.0	473.41	785.88	567.1	493.56	373.81	460.44	466.88	529.06	332.14	567.1	1088.92	723.08	607.87	665.29	713.11	624.99	733.19	791.35	507.46	802.41	551.56	665.29	429.54	450.94	723.08	486.75	954.43	642.59	738.29	221.86	435.55	629.35	656.11	224.97	587.13	500.46	743.43	547.75	854.13	785.88	316.37	665.29	400.71	638.15	511.0	181.28	363.56	187.71	409.15	281.09	246.28	138.1	178.77	262.2	395.18	277.2	35.76	0.0	0.38	151.22	490.14	1242.34
FAT1	3303.0	4268.94	4450.27	2976.74	1295.13	1936.53	2835.7	2133.97	3103.19	2148.82	3395.89	1991.0	2956.17	2148.82	3190.46	2627.46	2591.27	3060.45	2682.69	3515.68	2835.7	3081.75	4066.71	2875.3	2502.97	3820.7	3257.52	3820.7	1991.0	3168.41	2682.69	3235.01	3564.78	4450.27	2104.58	3768.09	3212.66	3235.01	2895.31	2303.12	3235.01	3060.45	3060.45	3146.52	4328.55	2287.2	2303.12	3614.55	2032.85	3564.78	3639.7	2287.2	2255.7	3081.75	3349.13	3901.01	4903.87	2777.33	3190.46	3515.68	2451.44	3515.68	1794.29	2895.31	3742.05	2434.5	4298.64	2956.17	3103.19	1242.34	2018.8	2956.17	3280.18	3690.52	2835.7	2193.99	2573.36	3018.3	3303.0	2720.15	3190.46	2591.27	2720.15	3280.18	2537.92	1191.69	339.14	1015.93	279.14	316.37	536.45	409.15	246.28	329.84	698.41	262.2	981.29	1350.18	223.41	2537.92	941.27	1191.69
FBXO34	267.73	366.09	175.07	409.15	571.05	616.37	497.0	96.01	728.11	769.69	1216.75	660.68	1023.0	848.22	1008.9	915.51	974.5	848.22	1081.39	866.07	819.3	1051.79	941.27	647.07	713.11	1030.12	1304.15	1096.5	967.76	981.29	878.17	738.29	1340.84	1331.57	738.29	1369.04	1191.69	1143.1	1286.18	483.38	1369.04	1359.57	872.1	1119.56	1008.9	559.28	674.59	981.29	679.29	954.43	1191.69	688.78	473.41	1104.13	1104.13	934.76	1277.29	1051.79	947.83	1191.69	693.58	1008.9	595.34	1183.45	866.07	660.68	1225.22	1059.11	1081.39	660.68	743.43	902.89	1030.12	902.89	836.53	718.08	743.43	830.75	1268.46	836.53	693.58	967.76	995.0	1508.65	1008.9	161.02	183.82	123.5	91.41	87.65	149.12	171.45	214.27	146.03	185.11	166.73	199.85	0.0	0.49	429.54	237.86	291.04
FER1L6	2.56	0.0	0.0	2.86	7.51	13.93	23.08	0.0	122.64	68.55	842.36	62.12	169.07	69.03	366.09	171.45	339.14	176.29	395.18	248.0	373.81	329.84	387.02	151.22	275.28	397.93	309.83	483.38	134.3	201.25	81.14	157.68	325.29	341.51	205.5	258.57	348.71	1388.16	136.19	30.12	323.03	277.2	301.33	703.28	246.28	34.26	123.5	312.0	728.11	414.87	493.56	140.04	8.92	277.2	348.71	253.23	1143.1	339.14	237.86	327.56	223.41	211.31	16.27	237.86	343.89	74.06	547.75	486.75	493.56	83.45	35.76	236.21	336.79	76.17	116.78	151.22	221.86	201.25	381.68	154.42	93.35	140.04	124.37	181.28	182.55	0.0	0.0	0.0	0.0	0.0	3.17	0.0	0.0	0.0	3.56	3.38	0.0	0.0	0.0	0.0	358.54	142.01
FRMD1	96.01	47.5	130.6	54.72	70.01	85.22	33.78	0.0	1216.75	429.54	1304.15	928.3	1037.29	759.08	1037.29	1104.13	1167.14	1437.15	1225.22	825.0	1030.12	511.0	591.22	825.0	651.58	915.51	547.75	928.3	802.41	638.15	444.72	974.5	981.29	693.58	438.59	665.29	1167.14	1427.22	642.59	183.82	769.69	1378.57	866.07	1073.91	928.3	305.55	206.94	409.15	825.0	1709.26	1605.83	158.79	75.11	1199.98	947.83	1096.5	1119.56	825.0	693.58	819.3	728.11	366.09	229.72	825.0	1216.75	361.04	808.0	638.15	1844.76	242.88	293.07	1191.69	532.74	426.57	480.04	403.5	251.48	651.58	753.83	769.69	269.6	921.88	981.29	1151.06	764.36	0.0	3.63	4.24	27.44	0.0	5.15	0.32	33.3	4.82	13.62	6.94	0.3	0.0	0.0	21.63	148.09	124.37
FSIP2	6.73	2.01	0.38	3.82	49.56	5.96	34.51	5.92	113.56	136.19	212.78	88.26	212.78	65.72	119.26	154.42	132.44	152.28	143.01	111.99	244.57	137.14	163.28	128.79	129.69	246.28	249.73	199.85	151.22	124.37	55.89	142.01	231.32	142.01	88.88	181.28	140.04	267.73	175.07	57.08	204.07	182.55	148.09	190.34	127.89	61.25	73.54	183.82	46.5	152.28	150.17	77.79	16.88	217.27	161.02	146.03	226.54	201.25	171.45	136.19	96.01	201.25	29.06	65.72	197.09	57.89	145.02	165.57	191.67	41.52	92.05	146.03	181.28	90.77	66.65	98.73	132.44	116.78	212.78	115.16	74.06	169.07	111.99	249.73	149.12	0.0	2.34	0.0	0.95	3.89	3.14	1.27	0.0	12.93	10.31	6.89	0.85	0.0	0.3	3.35	39.22	30.34
GALNT12	299.25	473.41	183.82	555.41	329.84	633.73	674.59	117.6	2434.5	1104.13	2148.82	1359.57	1923.14	1498.22	2417.67	2075.59	1832.01	2209.26	2193.99	1757.34	2739.08	2224.63	2061.24	1340.84	1769.57	3794.3	4038.61	3303.0	1295.13	1697.45	743.43	1950.0	2555.58	2209.26	1143.1	1477.58	2224.63	2627.46	2335.28	1447.15	1498.22	2417.67	2468.49	2835.7	2119.22	1096.5	1242.34	2816.11	1417.35	3564.78	4095.0	1242.34	1175.27	2004.85	1721.16	2319.15	4388.98	2148.82	2335.28	1721.16	1259.69	2777.33	1159.07	1551.09	2720.15	1066.48	2520.38	2287.2	2997.45	555.41	954.43	3419.52	1977.24	1844.76	1388.16	1674.06	1457.23	2133.97	2816.11	2075.59	1388.16	1540.37	1313.23	2287.2	1896.65	8.32	33.78	8.51	3.56	7.17	4.5	6.31	6.73	4.86	21.16	46.84	0.09	0.0	0.19	325.29	373.81	423.61
GALNT7	303.44	312.0	363.56	211.31	177.53	579.04	620.67	271.48	1143.1	1051.79	1628.26	842.36	1159.07	796.86	1225.22	1259.69	1183.45	1191.69	1322.37	1127.35	2271.4	1359.57	1457.23	934.76	1183.45	2451.44	2451.44	1733.13	1111.82	1447.15	780.44	1191.69	1950.0	1350.18	1015.93	1388.16	1467.37	1508.65	1467.37	599.49	1508.65	1242.34	1594.73	1896.65	1733.13	796.86	802.41	1844.76	825.0	1175.27	1508.65	1015.93	417.77	1662.49	1369.04	1605.83	2758.13	1617.0	1467.37	1417.35	967.76	1733.13	629.35	1030.12	1651.0	738.29	1457.23	1651.0	1697.45	934.76	830.75	1628.26	1519.15	1008.9	974.5	1073.91	1331.57	1286.18	1819.35	1183.45	796.86	1159.07	1104.13	1709.26	1388.16	55.89	15.91	5.54	19.82	0.44	13.42	57.89	88.88	26.28	43.32	40.36	12.55	0.0	0.52	409.15	239.52	514.56
GDPD2	19.11	13.93	15.22	27.64	3.5	49.56	24.63	0.0	669.92	567.1	1199.98	651.58	728.11	503.95	679.29	866.07	417.77	733.19	1066.48	785.88	967.76	624.99	1175.27	457.25	547.75	1685.71	1721.16	1073.91	392.44	551.56	234.57	941.27	854.13	1059.11	318.57	825.0	753.83	1127.35	1388.16	153.34	785.88	1037.29	808.0	890.44	1030.12	156.59	237.86	896.64	351.14	1135.2	1447.15	616.37	23.42	1081.39	669.92	1001.93	1605.83	941.27	909.17	1015.93	463.65	1051.79	71.0	444.72	1015.93	341.51	1088.92	1183.45	842.36	117.6	460.44	1066.48	1051.79	521.76	305.55	420.68	902.89	417.77	1119.56	620.67	346.29	547.75	332.14	1340.84	896.64	0.62	0.11	0.04	0.46	0.0	0.06	0.43	2.73	0.0	0.78	1.07	0.42	0.0	0.0	27.25	61.25	23.08
GOLGB1	420.68	470.14	432.53	718.08	638.15	521.76	480.04	312.0	775.05	738.29	830.75	612.11	796.86	733.19	842.36	769.69	791.35	759.08	679.29	988.12	723.08	620.67	620.67	571.05	642.59	775.05	974.5	967.76	723.08	819.3	547.75	884.29	1044.52	723.08	603.67	808.0	791.35	780.44	836.53	507.46	915.51	813.63	723.08	836.53	733.19	595.34	551.56	743.43	281.09	909.17	921.88	521.76	476.71	802.41	753.83	796.86	1073.91	872.1	848.22	848.22	708.18	785.88	503.95	830.75	780.44	718.08	688.78	785.88	1015.93	591.22	540.19	928.3	896.64	708.18	660.68	679.29	642.59	866.07	1127.35	551.56	587.13	723.08	848.22	1225.22	825.0	236.21	329.84	420.68	438.59	249.73	265.87	341.51	361.04	466.88	403.5	309.83	279.14	0.0	0.82	447.82	775.05	688.78
GORAB	139.07	305.55	118.43	125.24	190.34	215.77	120.94	125.24	293.07	307.69	316.37	231.32	376.41	248.0	323.03	299.25	346.29	339.14	444.72	281.09	457.25	318.57	301.33	325.29	332.14	371.22	389.72	532.74	289.02	303.44	239.52	279.14	432.53	293.07	258.57	356.05	327.56	507.46	363.56	205.5	366.09	457.25	348.71	435.55	395.18	215.77	239.52	480.04	147.06	368.65	299.25	318.57	218.79	356.05	366.09	403.5	518.15	447.82	341.51	265.87	267.73	420.68	246.28	289.02	497.0	258.57	348.71	429.54	483.38	224.97	228.13	384.34	473.41	301.33	273.37	373.81	285.03	301.33	426.57	307.69	271.48	265.87	334.46	490.14	387.02	48.52	75.11	115.97	125.24	43.94	105.89	231.32	84.04	149.12	403.5	59.97	71.0	0.0	0.54	123.5	98.04	95.34
GPR115	52.08	55.89	2.43	56.28	20.26	37.32	61.25	0.06	59.13	10.55	134.3	5.92	44.89	14.14	74.06	27.05	26.1	14.35	101.54	26.86	30.12	38.12	47.84	71.0	22.92	146.03	132.44	75.64	9.93	11.38	7.94	99.43	42.41	83.45	19.11	59.13	62.12	119.26	166.73	14.67	162.14	100.83	73.03	187.71	151.22	10.24	15.0	43.63	44.89	76.71	169.07	44.89	11.21	21.63	40.07	58.3	158.79	47.17	47.84	38.12	14.35	71.5	4.1	37.32	70.51	12.74	154.42	19.25	65.26	30.12	13.12	54.33	93.35	18.84	15.0	33.06	40.36	9.93	220.32	3.26	30.56	39.5	57.08	273.37	28.04	0.32	0.0	1.5	0.54	0.0	0.0	0.0	0.43	2.23	0.0	0.0	0.47	0.0	0.4	18.7	7.82	0.84
GPR153	166.73	147.06	183.82	133.36	115.16	159.9	131.51	269.6	305.55	400.71	733.19	215.77	389.72	88.26	665.29	208.38	379.04	198.47	368.65	532.74	318.57	441.64	764.36	514.56	368.65	1030.12	314.17	1208.34	260.38	323.03	497.0	258.57	656.11	607.87	353.59	126.12	161.02	1030.12	214.27	256.78	285.03	239.52	341.51	480.04	208.38	156.59	253.23	295.11	318.57	1427.22	769.69	373.81	260.38	191.67	366.09	389.72	1388.16	287.01	406.31	316.37	368.65	215.77	128.79	376.41	547.75	186.4	642.59	633.73	395.18	171.45	145.02	381.68	297.17	285.03	255.0	262.2	486.75	599.49	902.89	139.07	444.72	193.01	289.02	303.44	262.2	92.7	59.97	109.66	16.27	29.48	18.97	27.84	33.78	15.11	18.29	56.28	37.32	0.0	0.47	82.29	151.22	57.08
GRAMD1C	15.11	1.81	43.02	7.63	5.45	62.12	13.03	54.33	256.78	218.79	353.59	176.29	312.0	167.9	187.71	262.2	201.25	218.79	285.03	231.32	351.14	198.47	176.29	189.02	151.22	289.02	417.77	277.2	255.0	277.2	115.16	217.27	334.46	267.73	229.72	325.29	301.33	332.14	281.09	104.42	417.77	253.23	316.37	291.04	237.86	136.19	118.43	303.44	158.79	231.32	358.54	204.07	134.3	281.09	285.03	214.27	420.68	291.04	299.25	291.04	156.59	255.0	141.02	201.25	228.13	90.77	182.55	320.8	279.14	181.28	177.53	255.0	327.56	195.72	146.03	153.34	215.77	285.03	406.31	234.57	127.0	281.09	295.11	420.68	281.09	126.12	387.02	145.02	420.68	483.38	307.69	208.38	226.54	287.01	775.05	470.14	70.01	0.0	0.21	8.25	120.94	156.59
GUCA2A	185.11	5.92	57.49	4.31	26.86	660.68	23.76	0.0	74243.68	74243.68	148488.36	145432.49	93325.55	43840.21	129266.49	98646.85	55491.3	79022.82	146444.06	114103.8	144427.91	85876.94	140478.49	77396.54	74243.68	149521.18	296977.71	126606.21	35363.15	40341.14	35118.87	134755.94	116501.39	150561.19	29736.59	104271.56	147462.67	127486.83	152662.96	21768.19	135693.24	102836.01	124863.17	145432.49	82951.62	10440.2	15285.81	66912.05	25708.25	286861.53	207103.59	61999.83	3955.48	92680.9	59887.86	104996.83	159145.95	109455.64	169390.27	110983.6	47313.67	114897.47	2485.67	75803.72	121448.75	39785.74	182810.84	129266.49	88905.42	8901.53	21468.49	139508.13	170568.48	38430.46	21468.49	69271.73	76861.91	45701.96	197294.7	57051.4	38430.46	76330.98	104271.56	134755.94	162489.97	1.97	1.48	5.06	24.28	0.0	18.7	0.0	0.0	0.0	3.89	10.24	40.07	0.0	0.0	1.31	98.04	4450.27
HEPH	1467.37	884.29	1857.6	1628.26	1159.07	1963.57	2090.03	118.43	2555.58	2178.83	4268.94	1909.85	2875.3	1651.0	2271.4	2739.08	2417.67	3690.52	3564.78	4152.18	2816.11	2835.7	2976.74	1909.85	2224.63	5441.3	4123.49	3103.19	1977.24	2287.2	1991.0	2645.74	3901.01	3768.09	2148.82	2976.74	3349.13	4239.45	3235.01	3955.48	4298.64	2777.33	2855.44	3955.48	4066.71	1745.2	1977.24	3081.75	1757.34	3540.14	4010.71	2287.2	1037.29	3190.46	2537.92	2739.08	5831.91	3257.52	3982.99	3794.3	2163.77	3928.15	1540.37	2739.08	4419.52	2400.97	4210.15	4181.07	2573.36	1340.84	1769.57	2664.15	3419.52	2400.97	2133.97	3039.3	2209.26	2895.31	3491.39	2816.11	1870.53	2627.46	2573.36	4671.57	2777.33	92.7	35.76	14.03	13.42	18.84	18.7	142.01	52.45	30.34	88.88	67.59	5.5	70.51	114.36	2758.13	718.08	106.63
HHLA2	116.78	121.79	193.01	25.35	55.49	2351.53	708.18	0.0	6561.36	4123.49	10733.74	7180.15	7749.1	5183.54	10296.45	8191.0	4481.23	7589.61	9540.5	8598.28	11664.82	8538.88	9606.86	3124.78	5872.48	13123.73	19214.73	8479.89	4010.71	5555.65	3491.39	7857.29	9740.98	10440.2	2956.17	12589.08	8538.88	10014.87	10014.87	1605.83	13215.02	10154.69	7433.4	10659.59	12329.98	1498.22	2075.59	9740.98	4419.52	10296.45	11267.44	6561.36	708.18	8718.32	7180.15	10512.82	14262.1	12764.83	7642.41	9474.59	4736.79	10296.45	738.29	6840.04	10440.2	4123.49	10154.69	12415.75	10368.08	1572.76	3467.27	10154.69	9740.98	4512.4	2796.65	5791.62	5147.73	3874.05	11035.54	5517.27	3325.99	6516.03	8658.09	10296.45	7331.05	0.0	2.05	0.0	0.0	0.0	12.27	0.0	5.68	0.0	0.0	4.28	17.64	0.0	0.0	228.13	275.28	120.94
HSD17B2	23.76	16.03	7.94	3.38	23.08	57.49	5.77	0.0	6516.03	3235.01	8421.31	11345.82	8778.97	5555.65	7032.37	5441.3	3874.05	7642.41	7230.1	7642.41	16611.71	5403.7	6079.61	3874.05	5441.3	8247.98	11909.94	6652.97	7032.37	4450.27	5711.87	7589.61	6294.04	6516.03	5112.16	10959.3	11267.44	7589.61	8840.04	1295.13	9606.86	6337.83	5594.3	7857.29	7382.04	1487.87	4038.61	8191.0	4038.61	8718.32	7966.99	3564.78	921.88	8421.31	8134.41	7130.55	6887.62	8421.31	6792.79	8963.45	5872.48	6887.62	3018.3	4010.71	8022.41	3257.52	6337.83	5594.3	9279.58	4010.71	4388.98	9409.14	6381.92	3901.01	2997.45	6426.31	4450.27	3928.15	8078.22	5183.54	3982.99	5633.22	5329.3	7911.95	11189.6	12160.22	6471.02	7803.01	2935.74	12676.65	13681.08	764.36	12676.65	6426.31	3794.3	2520.38	753.83	0.0	0.27	8.78	307.69	567.1
IGSF3	78.89	67.59	151.22	66.65	80.57	127.89	138.1	15.22	293.07	253.23	358.54	246.28	309.83	189.02	323.03	351.14	206.94	343.89	301.33	327.56	297.17	251.48	368.65	163.28	231.32	463.65	497.0	295.11	221.86	303.44	262.2	301.33	299.25	275.28	171.45	397.93	366.09	423.61	361.04	291.04	420.68	307.69	299.25	299.25	303.44	199.85	204.07	291.04	264.03	297.17	379.04	234.57	139.07	291.04	314.17	379.04	503.95	323.03	343.89	409.15	260.38	318.57	176.29	275.28	323.03	226.54	503.95	329.84	303.44	68.55	185.11	356.05	281.09	202.66	246.28	303.44	248.0	267.73	412.0	307.69	161.02	236.21	289.02	307.69	279.14	16.27	12.09	2.78	12.64	2.29	10.39	12.0	3.44	5.28	3.0	2.16	1.14	0.0	0.15	171.45	332.14	301.33
IGSF9	11.73	59.13	66.65	84.63	138.1	161.02	98.04	0.26	1857.6	1437.15	1037.29	1583.71	1378.57	961.07	1540.37	1369.04	591.22	995.0	1437.15	941.27	1950.0	1081.39	1519.15	961.07	1059.11	1467.37	2047.0	1407.55	878.17	651.58	713.11	909.17	808.0	743.43	616.37	1617.0	1457.23	1991.0	1529.73	414.87	2271.4	2319.15	1225.22	1037.29	808.0	301.33	406.31	1233.75	507.46	2004.85	1359.57	447.82	57.49	1051.79	1225.22	1359.57	1208.34	1369.04	1183.45	796.86	954.43	1477.58	339.14	764.36	1628.26	567.1	1199.98	1111.82	1733.13	318.57	684.02	1051.79	1417.35	591.22	356.05	638.15	684.02	612.11	915.51	890.44	708.18	785.88	1127.35	1359.57	1250.98	106.63	6.62	314.17	260.38	33.06	341.51	1540.37	239.52	567.1	277.2	108.14	450.94	69.52	106.63	16.39	189.02	256.78
IL10RB	327.56	150.17	872.1	414.87	466.88	830.75	607.87	332.14	1923.14	1639.59	2520.38	2178.83	2178.83	1540.37	2303.12	2032.85	1709.26	1936.53	2271.4	2287.2	2997.45	1977.24	2303.12	1529.73	1685.71	2664.15	3874.05	1832.01	1467.37	1769.57	1769.57	2032.85	2271.4	2664.15	1662.49	2520.38	2664.15	2335.28	2777.33	974.5	3190.46	2032.85	2193.99	1936.53	1936.53	941.27	1594.73	2090.03	813.63	2319.15	2875.3	1923.14	1175.27	2032.85	2119.22	2384.37	3190.46	2520.38	2271.4	2047.0	1457.23	2417.67	995.0	1745.2	2047.0	1340.84	2591.27	2384.37	2193.99	1369.04	1721.16	2335.28	2178.83	1417.35	1304.15	1233.75	2178.83	1605.83	2591.27	1674.06	1457.23	1806.78	1923.14	1977.24	2209.26	703.28	743.43	507.46	647.07	684.02	567.1	743.43	728.11	579.04	759.08	480.04	587.13	567.1	5995.9	267.73	529.06	1096.5
