	GTEX.S32W.1126.SM.4AD5V	GTEX.TMMY.1526.SM.4DXST	GTEX.U3ZM.0826.SM.4DXU6	GTEX.SE5C.1026.SM.4BRUG	TCGA.XF.AAN4.01A.11R.A42T.07	TCGA.CU.A0YN.11A.11R.A10U.07	TCGA.BT.A20N.11A.11R.A14Y.07	TCGA.CU.A0YR.11A.13R.A10U.07	TCGA.BL.A13J.11A.13R.A10U.07	TCGA.BT.A20R.11A.11R.A16R.07	TCGA.BT.A20Q.11A.11R.A14Y.07	TCGA.HM.A3JJ.11A.12R.A21T.07	TCGA.AZ.6605.11A.01R.1839.07	TCGA.L5.A88S.01A.11R.A36D.31	TCGA.LN.A9FP.01A.31R.A38D.31	TCGA.L5.A4OQ.11A.12R.A260.31	TCGA.IG.A3I8.11A.11R.A24K.31	TCGA.L5.A4OO.11A.12R.A260.31	GTEX.WEY5.1126.SM.4LMIE	GTEX.1399R.0926.SM.5J2N8	GTEX.14E7W.1926.SM.5S2R9	GTEX.12WSD.2026.SM.5HL7D	GTEX.13U4I.1326.SM.5KM25	GTEX.Y3IK.1326.SM.4YCD8	GTEX.11DXZ.1026.SM.5N9D5	GTEX.13W3W.1826.SM.5IJDE	GTEX.ZF2S.1326.SM.4WWAZ	GTEX.12696.1526.SM.5EGL6	GTEX.13VXT.1826.SM.5KM2F	GTEX.XQ3S.1026.SM.4BOPJ	GTEX.13OW6.1626.SM.5IJD5	GTEX.14DAQ.1626.SM.5S2R1	GTEX.XQ8I.1826.SM.4BOOJ	GTEX.WYVS.0826.SM.4RTXB	GTEX.ZYFC.1726.SM.5GZYX	GTEX.13G51.1026.SM.5K7YQ	GTEX.SNMC.0426.SM.4DM5Y	GTEX.U3ZH.1126.SM.4DXUG	GTEX.12WSD.1926.SM.5GCOV	GTEX.QLQW.0626.SM.447A6	GTEX.146FQ.1126.SM.5NQBM	GTEX.P78B.1126.SM.3P615	GTEX.WRHK.0426.SM.4MVOG	GTEX.ZAB5.1026.SM.5HL91	GTEX.14BMV.1426.SM.5S2WA	GTEX.XQ3S.1226.SM.4BOPP	GTEX.PX3G.0726.SM.48TZT	GTEX.YECK.1726.SM.5IFI3	GTEX.145MH.1226.SM.5RQJT	GTEX.XBEW.1426.SM.4AT4J	GTEX.ZEX8.1326.SM.4WWEW	GTEX.ZYT6.1226.SM.5E44Q	GTEX.U3ZN.1826.SM.4DXUY	GTEX.WZTO.1526.SM.4PQYQ	GTEX.T2IS.0926.SM.4DM5B	GTEX.13O21.0826.SM.5J2NU	GTEX.13111.0926.SM.5DUVQ	TCGA.EJ.7783.11A.01R.2118.07	TCGA.EJ.7123.11A.01R.1965.07	GTEX.12BJ1.1226.SM.5LUAE	GTEX.13RTJ.2126.SM.5S2PZ	GTEX.14C5O.2826.SM.5RQI6	GTEX.13111.1326.SM.5GCNO	GTEX.OOBK.2025.SM.3LK5S	GTEX.XPVG.2026.SM.4B65E	GTEX.WK11.2626.SM.4OOSK	GTEX.ZVP2.0826.SM.59HJ6	GTEX.11EQ9.1726.SM.5HL6U	GTEX.S3XE.1326.SM.4AD4H	GTEX.12696.2226.SM.5EQ65	GTEX.14E6E.1126.SM.5S2R4	TCGA.BR.8371.01A.11R.2343.13	TCGA.FP.7735.11A.01R.2055.13	TCGA.FP.7829.11A.01R.2055.13	GTEX.146FH.2126.SM.5SI9U	GTEX.S4P3.0726.SM.4AD57	GTEX.ZV6S.0926.SM.57WGB	GTEX.WH7G.1526.SM.4LVMX	GTEX.UJHI.1026.SM.4IHJP	GTEX.R55D.1526.SM.48FEJ	TCGA.AX.A2HC.11A.11R.A32Y.07	TCGA.BK.A4ZD.11A.12R.A27V.07	TCGA.FL.A1YG.11A.12R.A16F.07	TCGA.BG.A3EW.11A.22R.A22K.07	GTEX.T5JW.1526.SM.4DM5E	GTEX.ZP4G.0726.SM.4WWF2	GTEX.PWN1.2026.SM.48TD9	GTEX.11ZTT.1726.SM.5EQL4	GTEX.Y114.1826.SM.4TT87	GTEX.XUJ4.1526.SM.4BONU	GTEX.POMQ.1226.SM.3P61F	GTEX.11EM3.1926.SM.5987U	GTEX.S341.1026.SM.4AD71	GTEX.RU1J.1026.SM.46MUR	GTEX.YJ8O.1126.SM.5P9IS	GTEX.R55G.1626.SM.48FF4	GTEX.WEY5.0726.SM.4LMID	GTEX.S32W.1426.SM.4AD66	GTEX.T2IS.2226.SM.4DM65	GTEX.145ME.1326.SM.5O98Q	GTEX.13QBU.1626.SM.5LU4S	GTEX.ZYWO.2126.SM.5GZXF
DIP2A	211.31	256.78	239.52	164.42	279.14	201.25	193.01	269.6	246.28	218.79	199.85	351.14	450.94	295.11	466.88	583.07	476.71	532.74	473.41	483.38	995.0	981.29	679.29	769.69	543.96	878.17	483.38	748.61	503.95	802.41	967.76	830.75	1015.93	836.53	967.76	1127.35	392.44	764.36	728.11	651.58	303.44	521.76	381.68	423.61	860.08	802.41	660.68	915.51	679.29	587.13	400.71	543.96	559.28	1183.45	743.43	346.29	429.54	232.94	348.71	314.17	248.0	339.14	208.38	170.25	291.04	303.44	323.03	237.86	249.73	149.12	178.77	432.53	218.79	353.59	305.55	253.23	164.42	177.53	244.57	358.54	186.4	532.74	314.17	275.28	246.28	232.94	151.22	371.22	246.28	329.84	253.23	212.78	241.19	403.5	441.64	215.77	214.27	366.09	258.57	285.03	318.57	246.28
DMTF1	305.55	599.49	497.0	291.04	587.13	271.48	373.81	444.72	381.68	358.54	414.87	796.86	860.08	1088.92	1427.22	1733.13	947.83	1594.73	1639.59	1662.49	2520.38	2855.44	1832.01	1991.0	1639.59	2682.69	1662.49	2061.24	1709.26	1709.26	2591.27	2133.97	3146.52	2018.8	2287.2	2720.15	1216.75	2255.7	2032.85	1540.37	802.41	1909.85	1191.69	1427.22	2178.83	1977.24	1674.06	3060.45	1709.26	1806.78	981.29	1508.65	1313.23	2240.11	1909.85	842.36	1936.53	536.45	356.05	575.03	571.05	547.75	483.38	429.54	392.44	536.45	409.15	283.05	348.71	463.65	379.04	1111.82	599.49	769.69	769.69	698.41	241.19	457.25	708.18	1066.48	273.37	1369.04	575.03	660.68	529.06	521.76	341.51	1268.46	703.28	1151.06	429.54	796.86	567.1	775.05	1322.37	409.15	483.38	830.75	563.18	890.44	1143.1	412.0
DNHD1	51.71	212.78	144.01	209.84	96.68	234.57	70.51	107.38	63.0	81.71	111.99	96.68	327.56	128.79	156.59	318.57	164.42	297.17	295.11	231.32	406.31	591.22	162.14	275.28	343.89	287.01	323.03	392.44	305.55	511.0	397.93	381.68	507.46	269.6	480.04	466.88	206.94	271.48	366.09	228.13	81.71	177.53	190.34	186.4	358.54	373.81	277.2	420.68	320.8	255.0	170.25	305.55	180.02	547.75	460.44	199.85	265.87	127.89	78.34	49.91	61.68	100.83	69.03	32.82	57.08	77.25	22.26	37.32	29.91	20.71	19.11	244.57	169.07	163.28	70.01	175.07	53.57	59.55	198.47	253.23	38.67	178.77	93.35	80.01	139.07	69.03	59.97	142.01	135.24	223.41	101.54	48.52	34.26	99.43	220.32	26.86	76.71	72.52	65.26	94.67	151.22	20.86
DPH7	246.28	217.27	368.65	314.17	551.56	199.85	228.13	318.57	299.25	172.65	371.22	536.45	532.74	518.15	486.75	629.35	397.93	688.78	884.29	713.11	1359.57	1199.98	836.53	759.08	674.59	1037.29	669.92	1369.04	878.17	1225.22	1008.9	1081.39	1313.23	819.3	1477.58	1519.15	713.11	1104.13	954.43	802.41	432.53	830.75	579.04	571.05	1104.13	1208.34	796.86	1551.09	1088.92	836.53	547.75	1127.35	638.15	1369.04	1313.23	518.15	743.43	441.64	285.03	224.97	327.56	258.57	301.33	239.52	314.17	327.56	205.5	264.03	223.41	267.73	199.85	616.37	473.41	412.0	262.2	177.53	152.28	224.97	228.13	351.14	387.02	684.02	486.75	503.95	511.0	384.34	379.04	514.56	497.0	587.13	470.14	389.72	444.72	507.46	825.0	348.71	463.65	759.08	616.37	536.45	656.11	376.41
DRD4	4.58	2.51	23.08	8.92	5.28	5.73	6.67	3.29	13.42	5.73	10.96	9.34	16.15	21.94	64.8	31.9	37.05	39.22	40.93	35.76	115.97	42.71	25.17	19.68	15.22	44.57	24.99	66.18	34.75	87.03	43.94	43.63	88.26	13.93	145.02	89.51	28.24	45.85	51.71	15.0	15.45	30.78	16.75	17.51	116.78	81.14	26.47	78.89	80.57	37.85	26.47	55.89	10.55	63.0	74.06	34.02	31.67	6.89	9.34	3.14	16.51	18.56	8.85	5.23	5.54	8.51	1.0	3.89	0.68	5.06	0.18	35.0	21.78	18.84	18.03	8.13	11.82	10.88	33.78	32.36	15.56	7.0	18.97	23.59	12.64	11.73	6.16	23.59	17.0	17.9	7.75	28.65	10.08	13.52	53.57	4.5	13.62	19.82	7.17	17.0	22.26	6.41
EGFL8	172.65	242.88	406.31	218.79	373.81	132.44	224.97	258.57	224.97	305.55	158.79	435.55	738.29	674.59	497.0	674.59	532.74	612.11	532.74	463.65	1407.55	1151.06	669.92	603.67	769.69	1023.0	748.61	813.63	583.07	1427.22	1001.93	974.5	1073.91	647.07	1427.22	1529.73	457.25	1023.0	791.35	633.73	309.83	743.43	339.14	583.07	764.36	1304.15	775.05	1561.89	1216.75	872.1	417.77	785.88	463.65	1651.0	1359.57	295.11	426.57	444.72	143.01	84.63	167.9	128.79	123.5	123.5	186.4	334.46	83.45	141.02	62.12	79.45	39.22	463.65	493.56	356.05	138.1	293.07	125.24	121.79	334.46	463.65	117.6	595.34	332.14	733.19	358.54	228.13	172.65	457.25	309.83	483.38	435.55	194.36	262.2	420.68	543.96	169.07	156.59	414.87	521.76	371.22	435.55	175.07
ENGASE	183.82	129.69	119.26	140.04	271.48	109.66	111.21	187.71	146.03	120.1	176.29	218.79	423.61	551.56	616.37	819.3	420.68	860.08	830.75	603.67	1286.18	1199.98	967.76	764.36	493.56	1037.29	603.67	1208.34	579.04	1331.57	1066.48	1104.13	2178.83	591.22	941.27	1369.04	723.08	1096.5	860.08	785.88	309.83	1023.0	529.06	656.11	848.22	1417.35	674.59	1199.98	909.17	1051.79	587.13	753.83	551.56	1733.13	1159.07	521.76	796.86	251.48	237.86	166.73	189.02	110.43	149.12	224.97	224.97	156.59	151.22	186.4	85.22	127.89	195.72	466.88	303.44	483.38	141.02	166.73	77.79	94.01	186.4	260.38	81.71	412.0	205.5	228.13	223.41	112.77	138.1	217.27	176.29	480.04	239.52	220.32	255.0	265.87	279.14	124.37	195.72	387.02	204.07	140.04	256.78	118.43
FAM156A	79.45	76.17	111.99	99.43	297.17	100.83	66.65	105.15	190.34	106.63	78.34	327.56	316.37	371.22	348.71	511.0	332.14	438.59	607.87	336.79	1059.11	928.3	551.56	441.64	307.69	819.3	454.09	819.3	629.35	842.36	708.18	743.43	1191.69	363.56	616.37	961.07	287.01	624.99	620.67	327.56	162.14	426.57	265.87	395.18	698.41	836.53	429.54	995.0	500.46	543.96	358.54	688.78	403.5	921.88	764.36	343.89	543.96	149.12	189.02	46.84	170.25	120.94	138.1	170.25	125.24	164.42	88.26	84.04	69.03	171.45	85.22	403.5	356.05	305.55	102.97	75.11	66.65	78.34	127.0	186.4	221.86	432.53	269.6	314.17	490.14	173.85	182.55	423.61	164.42	470.14	103.69	215.77	384.34	327.56	866.07	231.32	253.23	473.41	353.59	277.2	316.37	129.69
FAM156B	358.54	152.28	246.28	251.48	341.51	248.0	291.04	426.57	260.38	199.85	320.8	409.15	447.82	587.13	387.02	409.15	265.87	368.65	595.34	463.65	743.43	733.19	463.65	567.1	529.06	748.61	454.09	775.05	363.56	698.41	698.41	679.29	1135.2	555.41	642.59	884.29	417.77	1023.0	511.0	551.56	379.04	624.99	329.84	281.09	371.22	647.07	426.57	748.61	796.86	551.56	293.07	503.95	303.44	1088.92	674.59	379.04	403.5	392.44	239.52	265.87	226.54	271.48	323.03	156.59	318.57	221.86	175.07	175.07	182.55	234.57	182.55	277.2	248.0	262.2	142.01	201.25	108.14	133.36	190.34	312.0	301.33	547.75	454.09	403.5	346.29	379.04	283.05	397.93	493.56	358.54	463.65	503.95	312.0	242.88	854.13	376.41	244.57	583.07	490.14	470.14	575.03	223.41
FAM160B2	1104.13	497.0	432.53	693.58	1023.0	660.68	836.53	921.88	967.76	679.29	1135.2	1001.93	1388.16	1896.65	1745.2	2319.15	1709.26	1769.57	1709.26	1477.58	2417.67	2271.4	1605.83	1467.37	1583.71	1883.54	1467.37	2240.11	1397.83	3168.41	1923.14	2287.2	3103.19	1697.45	3168.41	3018.3	1572.76	2335.28	2075.59	2090.03	1477.58	1950.0	1295.13	1378.57	2163.77	3303.0	1407.55	2682.69	2240.11	2104.58	1427.22	1977.24	1605.83	3081.75	2303.12	1388.16	1369.04	981.29	1143.1	607.87	525.39	733.19	620.67	872.1	915.51	660.68	358.54	460.44	612.11	395.18	441.64	1447.15	1277.29	1407.55	775.05	698.41	466.88	759.08	780.44	1340.84	656.11	1159.07	896.64	928.3	665.29	483.38	540.19	497.0	595.34	1295.13	813.63	525.39	638.15	866.07	1277.29	579.04	480.04	1008.9	866.07	830.75	1350.18	397.93
FAM193B	521.76	412.0	500.46	395.18	967.76	356.05	400.71	599.49	591.22	217.27	503.95	1191.69	890.44	1397.83	1104.13	1378.57	642.59	1733.13	1561.89	1350.18	2796.65	2956.17	1617.0	1447.15	1001.93	1909.85	1467.37	1819.35	2018.8	2104.58	2075.59	2255.7	4010.71	1594.73	2935.74	3349.13	1697.45	2255.7	1950.0	1467.37	759.08	1806.78	1369.04	1304.15	1923.14	2163.77	1498.22	3280.18	2148.82	2148.82	1096.5	1662.49	1183.45	3212.66	2720.15	1199.98	1674.06	753.83	417.77	414.87	555.41	1015.93	486.75	389.72	579.04	507.46	325.29	432.53	423.61	258.57	327.56	1037.29	555.41	813.63	642.59	708.18	236.21	320.8	575.03	532.74	438.59	1359.57	941.27	1119.56	802.41	759.08	583.07	1044.52	848.22	1594.73	884.29	718.08	791.35	1001.93	1407.55	624.99	599.49	1159.07	780.44	848.22	1378.57	738.29
FBF1	127.0	41.22	273.37	130.6	122.64	119.26	105.89	74.06	90.77	60.39	71.5	115.97	94.67	231.32	273.37	234.57	195.72	241.19	97.36	190.34	320.8	190.34	218.79	195.72	115.97	173.85	197.09	189.02	214.27	221.86	273.37	215.77	346.29	140.04	232.94	432.53	141.02	307.69	228.13	167.9	120.94	256.78	127.89	111.99	265.87	287.01	173.85	246.28	291.04	220.32	156.59	231.32	157.68	336.79	206.94	191.67	178.77	127.0	126.12	82.29	115.16	102.97	146.03	181.28	116.78	83.45	70.51	110.43	59.97	63.89	111.21	178.77	130.6	157.68	148.09	95.34	49.56	57.08	67.12	158.79	102.25	155.5	123.5	111.21	99.43	93.35	70.01	157.68	73.03	249.73	67.59	81.14	85.22	123.5	343.89	65.26	92.05	163.28	143.01	128.79	189.02	88.88
FCHSD1	110.43	126.12	138.1	151.22	277.2	93.35	80.01	175.07	112.77	70.01	105.89	293.07	204.07	279.14	341.51	420.68	248.0	376.41	291.04	420.68	1001.93	928.3	525.39	555.41	540.19	490.14	412.0	358.54	289.02	591.22	769.69	769.69	603.67	493.56	728.11	796.86	289.02	620.67	616.37	579.04	297.17	473.41	269.6	532.74	514.56	480.04	460.44	947.83	432.53	441.64	332.14	312.0	417.77	738.29	503.95	248.0	599.49	232.94	122.64	217.27	153.34	201.25	264.03	140.04	255.0	173.85	90.14	132.44	101.54	52.08	100.83	301.33	186.4	275.28	316.37	256.78	84.63	176.29	242.88	202.66	164.42	379.04	195.72	194.36	221.86	190.34	128.79	339.14	208.38	389.72	232.94	144.01	140.04	307.69	460.44	140.04	169.07	236.21	166.73	209.84	514.56	125.24
FLJ00104	15.56	22.75	17.51	20.11	18.7	21.94	20.71	20.41	17.77	13.22	24.99	31.67	45.21	47.5	35.76	57.08	45.85	67.12	52.82	39.79	90.77	72.01	51.35	57.89	40.93	96.01	58.71	82.29	54.72	112.77	100.83	108.9	135.24	59.13	111.99	84.04	52.45	102.25	60.39	56.28	26.67	59.55	48.18	60.39	80.57	132.44	52.82	111.21	98.04	99.43	37.59	66.18	59.13	107.38	100.83	37.32	49.21	26.47	29.48	18.03	13.12	12.93	11.73	16.51	29.06	15.91	10.55	16.27	22.26	15.8	14.78	54.33	35.76	27.84	8.06	15.22	7.17	13.32	16.63	34.75	10.47	48.52	17.13	25.72	21.94	16.88	14.56	28.65	16.88	32.13	28.04	10.55	22.59	27.05	57.49	13.83	16.39	52.82	34.26	30.56	35.76	16.03
GABBR1	376.41	384.34	638.15	316.37	426.57	253.23	348.71	420.68	406.31	389.72	409.15	1073.91	1340.84	1104.13	1832.01	2335.28	1844.76	2163.77	2367.9	1639.59	2502.97	3124.78	2240.11	2609.3	1977.24	2645.74	1883.54	2047.0	1709.26	2351.53	2895.31	2573.36	4481.23	2367.9	2032.85	2701.35	1617.0	3146.52	2417.67	2104.58	954.43	2255.7	1529.73	1733.13	2627.46	2485.67	1832.01	3372.43	2384.37	2224.63	1250.98	1991.0	1540.37	2915.45	2255.7	1340.84	2178.83	612.11	441.64	406.31	336.79	297.17	376.41	397.93	447.82	389.72	229.72	256.78	232.94	159.9	297.17	967.76	1023.0	967.76	358.54	769.69	269.6	511.0	954.43	1242.34	336.79	1467.37	669.92	813.63	463.65	473.41	138.1	1304.15	220.32	1605.83	343.89	316.37	265.87	603.67	2178.83	239.52	429.54	1487.87	620.67	693.58	1322.37	264.03
GGT7	112.77	147.06	152.28	133.36	193.01	144.01	162.14	265.87	159.9	157.68	152.28	307.69	297.17	187.71	183.82	289.02	214.27	343.89	551.56	403.5	836.53	743.43	412.0	500.46	555.41	866.07	429.54	813.63	486.75	728.11	842.36	567.1	884.29	329.84	791.35	866.07	429.54	718.08	490.14	684.02	249.73	441.64	287.01	265.87	490.14	669.92	490.14	791.35	525.39	532.74	316.37	441.64	397.93	665.29	599.49	368.65	463.65	293.07	285.03	397.93	275.28	356.05	708.18	264.03	429.54	303.44	275.28	208.38	194.36	193.01	236.21	285.03	346.29	334.46	68.55	279.14	34.75	79.45	182.55	285.03	229.72	332.14	234.57	363.56	260.38	293.07	136.19	429.54	406.31	674.59	187.71	143.01	178.77	363.56	466.88	81.14	195.72	204.07	201.25	236.21	420.68	98.73
GNRH1	4.58	25.72	36.01	10.08	39.5	12.36	3.59	18.84	9.63	3.56	7.57	59.97	40.36	231.32	63.45	126.12	49.91	126.12	148.09	76.17	193.01	151.22	71.0	90.14	66.65	138.1	76.17	187.71	109.66	224.97	187.71	151.22	249.73	180.02	242.88	269.6	110.43	193.01	85.22	55.89	48.87	120.1	116.78	131.51	232.94	194.36	81.14	232.94	169.07	101.54	61.68	144.01	77.79	193.01	241.19	49.21	97.36	33.54	14.45	11.04	17.51	12.36	14.03	10.63	11.47	16.15	6.11	11.64	7.28	9.13	12.0	55.49	41.81	31.22	11.21	21.01	9.85	29.06	31.22	25.91	14.24	38.95	23.93	63.45	36.53	14.67	10.39	33.54	38.4	65.26	14.89	31.45	26.28	35.76	89.51	20.71	19.39	38.4	43.63	41.52	47.84	24.81
GOLGA8A	73.54	262.2	307.69	87.03	271.48	74.58	107.38	256.78	221.86	159.9	206.94	647.07	698.41	1437.15	890.44	1769.57	536.45	2351.53	3443.31	988.12	2485.67	4095.0	2004.85	2047.0	1628.26	4972.34	1407.55	2319.15	1081.39	1963.57	4010.71	2935.74	2537.92	2090.03	1936.53	3212.66	1487.87	3794.3	3081.75	2075.59	583.07	2915.45	1259.69	698.41	3716.2	2384.37	1757.34	2895.31	2627.46	2502.97	575.03	1662.49	1467.37	3419.52	2758.13	1081.39	2777.33	182.55	99.43	229.72	161.02	318.57	221.86	119.26	255.0	70.51	67.59	88.88	529.06	124.37	49.21	1037.29	511.0	819.3	50.98	356.05	83.45	145.02	301.33	1242.34	76.17	1794.29	547.75	295.11	579.04	217.27	226.54	669.92	277.2	1457.23	253.23	748.61	435.55	241.19	2777.33	214.27	607.87	1059.11	497.0	346.29	1529.73	136.19
GOLGA8B	107.38	60.82	384.34	99.43	346.29	49.91	98.04	145.02	141.02	82.29	104.42	299.25	389.72	571.05	848.22	1295.13	387.02	1572.76	1781.89	1350.18	1936.53	2682.69	2090.03	1551.09	1135.2	2319.15	1331.57	3018.3	2047.0	1745.2	2351.53	2855.44	2796.65	2061.24	2335.28	2976.74	1313.23	1259.69	2133.97	1628.26	518.15	1508.65	1540.37	1096.5	3235.01	2148.82	1806.78	2573.36	1806.78	1870.53	1015.93	1304.15	1369.04	1794.29	2627.46	1151.06	2417.67	162.14	96.68	336.79	114.36	480.04	379.04	170.25	301.33	198.47	122.64	173.85	223.41	305.55	13.52	1709.26	518.15	543.96	31.22	147.06	68.07	110.43	182.55	476.71	44.25	1313.23	320.8	229.72	371.22	149.12	493.56	753.83	297.17	1015.93	403.5	466.88	476.71	206.94	1183.45	69.03	198.47	693.58	540.19	728.11	1127.35	48.52
GON4L	348.71	289.02	395.18	195.72	384.34	244.57	366.09	373.81	297.17	281.09	279.14	409.15	493.56	483.38	733.19	684.02	473.41	684.02	587.13	476.71	872.1	718.08	583.07	629.35	612.11	753.83	529.06	921.88	616.37	647.07	743.43	616.37	620.67	693.58	934.76	854.13	571.05	698.41	575.03	551.56	409.15	555.41	400.71	406.31	718.08	728.11	575.03	693.58	607.87	647.07	466.88	536.45	559.28	813.63	684.02	447.82	669.92	320.8	295.11	303.44	201.25	211.31	251.48	275.28	339.14	312.0	239.52	244.57	318.57	303.44	176.29	684.02	348.71	406.31	255.0	299.25	112.77	220.32	267.73	336.79	253.23	540.19	361.04	329.84	441.64	329.84	305.55	500.46	503.95	612.11	301.33	373.81	417.77	356.05	476.71	242.88	273.37	420.68	334.46	426.57	624.99	202.66
GSAP	59.55	76.17	99.43	102.25	255.0	66.65	138.1	106.63	108.9	112.77	86.43	92.05	279.14	283.05	232.94	325.29	323.03	368.65	493.56	332.14	603.67	733.19	579.04	403.5	450.94	665.29	323.03	454.09	500.46	356.05	587.13	547.75	397.93	656.11	796.86	941.27	463.65	688.78	651.58	376.41	260.38	595.34	366.09	339.14	785.88	651.58	543.96	764.36	575.03	579.04	368.65	403.5	379.04	642.59	616.37	312.0	571.05	197.09	139.07	249.73	131.51	127.0	180.02	161.02	229.72	123.5	191.67	143.01	155.5	204.07	108.14	470.14	241.19	236.21	142.01	214.27	98.73	72.01	163.28	208.38	47.17	181.28	114.36	180.02	78.89	109.66	74.58	253.23	149.12	249.73	171.45	97.36	74.58	50.98	224.97	42.41	129.69	171.45	125.24	95.34	139.07	85.22
GTF2H4	332.14	305.55	624.99	334.46	476.71	441.64	363.56	414.87	363.56	246.28	387.02	571.05	543.96	860.08	563.18	518.15	432.53	444.72	493.56	507.46	961.07	830.75	713.11	616.37	587.13	902.89	620.67	1037.29	647.07	813.63	808.0	884.29	866.07	551.56	775.05	921.88	551.56	921.88	738.29	759.08	353.59	669.92	329.84	525.39	684.02	713.11	450.94	890.44	547.75	693.58	476.71	595.34	490.14	896.64	703.28	438.59	518.15	423.61	309.83	351.14	417.77	262.2	346.29	368.65	514.56	420.68	325.29	334.46	297.17	334.46	237.86	444.72	480.04	473.41	483.38	521.76	297.17	351.14	373.81	540.19	466.88	708.18	583.07	518.15	483.38	346.29	343.89	633.73	295.11	934.76	392.44	287.01	420.68	551.56	698.41	500.46	368.65	607.87	532.74	674.59	567.1	397.93
HSD17B3	7.94	13.03	40.36	63.89	32.13	3.14	0.0	9.85	1.79	5.32	16.27	11.73	24.99	18.29	33.54	36.01	25.35	51.71	53.57	15.56	117.6	94.01	33.78	38.95	43.02	85.82	56.28	101.54	65.26	98.73	99.43	37.32	106.63	22.75	75.11	111.21	39.5	58.3	40.07	78.89	12.83	37.85	60.82	29.27	66.65	99.43	46.18	105.15	83.45	35.0	23.08	85.22	34.75	84.04	136.19	13.22	115.97	12.0	3.47	0.97	10.79	19.25	12.18	3.08	5.73	7.57	2.1	10.88	0.88	3.86	0.92	22.59	7.34	10.96	0.06	17.64	2.97	2.56	9.27	16.27	4.06	15.0	13.03	28.04	67.12	9.85	18.84	6.52	39.79	9.93	13.03	15.22	20.71	21.47	39.79	9.41	23.42	17.38	14.14	4.24	52.82	4.03
IKBKAP	341.51	258.57	323.03	346.29	371.22	258.57	271.48	246.28	305.55	249.73	312.0	348.71	329.84	281.09	420.68	454.09	444.72	432.53	525.39	579.04	693.58	638.15	595.34	547.75	444.72	624.99	473.41	376.41	563.18	525.39	764.36	587.13	651.58	607.87	559.28	651.58	441.64	629.35	547.75	417.77	363.56	579.04	363.56	466.88	808.0	684.02	392.44	642.59	607.87	583.07	366.09	483.38	414.87	665.29	616.37	450.94	327.56	242.88	332.14	242.88	341.51	299.25	262.2	334.46	236.21	299.25	258.57	264.03	234.57	198.47	258.57	323.03	293.07	269.6	305.55	275.28	156.59	224.97	275.28	454.09	239.52	463.65	303.44	327.56	249.73	231.32	178.77	314.17	195.72	395.18	208.38	220.32	260.38	305.55	318.57	262.2	239.52	409.15	316.37	312.0	299.25	341.51
ILKAP	728.11	866.07	1250.98	703.28	909.17	612.11	669.92	718.08	693.58	555.41	718.08	1008.9	842.36	571.05	842.36	1001.93	854.13	1073.91	1073.91	981.29	1286.18	1159.07	928.3	878.17	928.3	1322.37	842.36	1447.15	1216.75	1104.13	1242.34	1073.91	1508.65	1044.52	1331.57	1225.22	872.1	1111.82	1008.9	981.29	890.44	1143.1	791.35	896.64	1135.2	1259.69	909.17	1295.13	1183.45	1388.16	842.36	1183.45	830.75	1015.93	1313.23	748.61	988.12	967.76	555.41	567.1	688.78	769.69	785.88	665.29	624.99	825.0	480.04	616.37	500.46	748.61	432.53	848.22	718.08	583.07	612.11	583.07	607.87	536.45	759.08	981.29	620.67	967.76	866.07	967.76	848.22	620.67	679.29	587.13	759.08	1008.9	559.28	543.96	642.59	884.29	1059.11	518.15	684.02	1066.48	819.3	753.83	1331.57	759.08
INTS3	775.05	753.83	909.17	392.44	713.11	536.45	708.18	753.83	738.29	532.74	759.08	884.29	1167.14	1096.5	1487.87	1467.37	1498.22	1407.55	1350.18	1447.15	2739.08	2956.17	2240.11	1674.06	1359.57	1896.65	1651.0	1378.57	1721.16	1950.0	1923.14	2193.99	2609.3	2163.77	2434.5	2915.45	1242.34	2720.15	2224.63	1628.26	1001.93	1662.49	1044.52	1322.37	2451.44	2104.58	1594.73	2701.35	2224.63	1572.76	1159.07	1639.59	1242.34	3060.45	2287.2	1167.14	1331.57	595.34	708.18	603.67	915.51	780.44	764.36	660.68	612.11	743.43	555.41	567.1	490.14	486.75	595.34	1159.07	1233.75	872.1	909.17	743.43	493.56	723.08	961.07	872.1	591.22	1359.57	988.12	884.29	713.11	603.67	518.15	1304.15	525.39	1447.15	723.08	629.35	780.44	1199.98	1794.29	802.41	688.78	1044.52	1199.98	1268.46	1519.15	603.67
INTU	116.78	43.02	53.95	12.74	55.49	30.78	63.89	66.65	47.17	47.17	55.1	72.52	161.02	69.03	119.26	180.02	104.42	204.07	137.14	157.68	450.94	277.2	187.71	320.8	117.6	234.57	181.28	103.69	204.07	205.5	249.73	220.32	363.56	258.57	242.88	206.94	157.68	236.21	204.07	166.73	72.01	186.4	151.22	147.06	262.2	187.71	119.26	232.94	161.02	169.07	96.01	159.9	150.17	265.87	223.41	90.77	164.42	65.72	61.68	44.25	102.25	91.41	72.01	51.71	42.41	60.39	50.98	35.0	40.64	29.7	57.49	141.02	77.79	102.97	149.12	126.12	29.06	119.26	152.28	84.63	31.9	166.73	65.72	66.65	69.52	44.57	34.02	109.66	53.57	201.25	50.63	112.77	84.63	100.13	181.28	57.49	50.98	173.85	100.13	115.16	182.55	44.57
