	TCGA.A2.A0SX.01A.12R.A084.07	TCGA.D8.A147.01A.11R.A115.07	TCGA.AR.A1AW.01A.21R.A12P.07	TCGA.VS.A9UT.01A.11R.A42T.07	TCGA.W5.AA34.11A.11R.A41I.07	TCGA.W5.AA2I.11A.11R.A41I.07	TCGA.CW.6087.01A.11R.1672.07	TCGA.DZ.6131.01A.11R.1965.07	TCGA.CC.A9FS.01A.11R.A37K.07	TCGA.5C.A9VH.01A.11R.A37K.07	TCGA.G3.AAV2.01A.11R.A37K.07	TCGA.ZP.A9CZ.01A.11R.A38B.07	TCGA.2Y.A9H8.01A.11R.A39D.07	TCGA.DD.AADG.01A.11R.A41C.07	TCGA.MI.A75I.01A.11R.A32O.07	TCGA.UB.A7MA.01A.11R.A33R.07	TCGA.DD.A1EI.01A.11R.A131.07	TCGA.G3.A7M5.01A.11R.A33R.07	TCGA.CC.A9FV.01A.11R.A37K.07	TCGA.DD.AAD3.01A.11R.A41C.07	TCGA.ZP.A9D2.01A.11R.A38B.07	TCGA.ED.A4XI.01A.11R.A266.07	TCGA.DD.AAEK.01A.11R.A41C.07	TCGA.FV.A496.01A.11R.A266.07	TCGA.CC.A8HS.01A.11R.A36F.07	TCGA.K7.A5RG.01A.11R.A28V.07	TCGA.RC.A7SK.01A.11R.A352.07	TCGA.DD.A73B.01A.12R.A32O.07	TCGA.UB.AA0U.01A.11R.A38B.07	TCGA.CC.5261.01A.01R.A131.07	TCGA.CC.A7IF.01A.11R.A33J.07	TCGA.2Y.A9HA.01A.11R.A39D.07	TCGA.T1.A6J8.01A.11R.A32O.07	TCGA.DD.AACT.01A.11R.A41C.07	TCGA.2Y.A9GX.01A.11R.A38B.07	TCGA.ED.A7XP.01A.11R.A352.07	TCGA.ED.A5KG.01A.11R.A27V.07	TCGA.UB.A7ME.01A.11R.A33J.07	TCGA.2Y.A9H0.01A.11R.A38B.07	TCGA.DD.AADW.01A.11R.A39D.07	TCGA.DD.A3A5.01A.11R.A22L.07	TCGA.DD.AADV.01A.11R.A39D.07	TCGA.DD.AADB.01A.11R.A41C.07	TCGA.G3.A3CH.01A.11R.A22L.07	TCGA.ED.A7XO.01A.11R.A352.07	TCGA.DD.A3A2.01A.11R.A213.07	TCGA.ED.A66X.01A.11R.A311.07	TCGA.DD.A113.01A.11R.A131.07	TCGA.XR.A8TC.01A.11R.A36F.07	TCGA.MI.A75G.01A.11R.A32O.07	TCGA.DD.A73C.01A.12R.A33J.07	TCGA.2Y.A9H7.01A.11R.A39D.07	TCGA.BC.A10U.01A.11R.A131.07	TCGA.CC.A9FU.01A.11R.A37K.07	TCGA.GJ.A9DB.01A.11R.A37K.07	TCGA.DD.A4ND.01A.11R.A266.07	TCGA.RC.A7SB.01A.21R.A352.07	TCGA.ZS.A9CE.01A.11R.A37K.07	TCGA.DD.A1EF.01A.11R.A131.07	TCGA.DD.A1EH.01A.11R.A131.07	TCGA.2Y.A9GU.01A.11R.A38B.07	TCGA.DD.A4NJ.01A.11R.A27V.07	TCGA.DD.A39Z.11A.21R.A213.07	TCGA.DD.A3A5.11A.11R.A22L.07	TCGA.DD.A3A8.11A.11R.A22L.07	TCGA.DD.A11B.11A.11R.A131.07	TCGA.DD.A1EH.11A.11R.A131.07	TCGA.EP.A26S.11A.12R.A16W.07	GTEX.RTLS.1326.SM.46MUN	GTEX.13FLV.0326.SM.5N9DJ	GTEX.11ZUS.2526.SM.59872	GTEX.11GSP.0626.SM.5986T	GTEX.11NV4.1326.SM.5HL6V	GTEX.ZYT6.0626.SM.5E45V	GTEX.145LU.1326.SM.5LU9N	GTEX.ZAB5.0426.SM.5CVMI	GTEX.147JS.1126.SM.5RQIW	GTEX.145MF.0826.SM.5QGQA	GTEX.ZF2S.3026.SM.4WWCH	GTEX.QEG4.1826.SM.4R1JN	GTEX.139TS.1426.SM.5IFJD	GTEX.SJXC.1226.SM.4DM78	GTEX.131YS.1626.SM.5HL6C	GTEX.QESD.2026.SM.447BI	GTEX.139TU.0826.SM.5IJFG	GTEX.12WSD.1426.SM.5GCN9	GTEX.14DAQ.1726.SM.5S2R2	GTEX.1399R.1226.SM.5P9GF	GTEX.11DXZ.0126.SM.5EGGY	GTEX.13SLX.1226.SM.5S2Q6	GTEX.Q734.0326.SM.48U15	GTEX.1212Z.0226.SM.59HLF	GTEX.XOTO.0826.SM.4B65O	GTEX.13OW6.2626.SM.5IFF2	GTEX.14753.1626.SM.5NQ9L	GTEX.REY6.1226.SM.48FDR	GTEX.R53T.0326.SM.48FEC	TCGA.44.6778.01A.11R.1858.07	TCGA.D7.A4YU.01A.21R.A251.31
GATC	358.54	351.14	444.72	435.55	237.86	176.29	521.76	332.14	295.11	205.5	121.79	336.79	186.4	214.27	226.54	214.27	277.2	234.57	171.45	114.36	299.25	224.97	242.88	165.57	412.0	318.57	170.25	332.14	297.17	348.71	183.82	295.11	251.48	141.02	291.04	262.2	341.51	214.27	305.55	368.65	124.37	262.2	301.33	187.71	205.5	183.82	314.17	202.66	318.57	159.9	307.69	248.0	271.48	277.2	285.03	371.22	159.9	139.07	490.14	318.57	180.02	363.56	152.28	138.1	139.07	180.02	162.14	171.45	140.04	169.07	98.04	148.09	126.12	171.45	141.02	291.04	158.79	185.11	363.56	190.34	110.43	113.56	149.12	139.07	136.19	139.07	189.02	309.83	182.55	157.68	255.0	182.55	134.3	116.78	163.28	124.37	529.06	525.39	348.71
GBF1	728.11	819.3	836.53	896.64	366.09	273.37	764.36	518.15	373.81	441.64	414.87	444.72	426.57	486.75	283.05	480.04	503.95	154.42	392.44	441.64	785.88	420.68	642.59	297.17	583.07	426.57	287.01	454.09	629.35	567.1	271.48	476.71	500.46	341.51	497.0	525.39	583.07	414.87	414.87	660.68	314.17	457.25	629.35	376.41	341.51	329.84	507.46	460.44	718.08	346.29	607.87	493.56	591.22	703.28	463.65	638.15	205.5	305.55	718.08	642.59	612.11	532.74	258.57	236.21	299.25	303.44	205.5	273.37	177.53	148.09	223.41	470.14	283.05	197.09	195.72	358.54	255.0	221.86	329.84	232.94	234.57	229.72	228.13	239.52	400.71	217.27	193.01	403.5	229.72	239.52	334.46	190.34	299.25	201.25	120.1	244.57	353.59	612.11	1051.79
GCN1L1	1008.9	802.41	902.89	1417.35	299.25	237.86	890.44	921.88	500.46	438.59	309.83	616.37	599.49	463.65	480.04	674.59	624.99	163.28	325.29	232.94	703.28	483.38	603.67	450.94	1104.13	669.92	497.0	387.02	507.46	808.0	368.65	718.08	327.56	271.48	555.41	503.95	656.11	476.71	624.99	1008.9	301.33	599.49	748.61	397.93	567.1	273.37	796.86	733.19	733.19	195.72	607.87	511.0	457.25	480.04	420.68	723.08	470.14	312.0	688.78	567.1	339.14	607.87	185.11	173.85	285.03	316.37	156.59	320.8	139.07	164.42	215.77	251.48	182.55	239.52	147.06	334.46	249.73	262.2	205.5	244.57	194.36	156.59	218.79	271.48	279.14	212.78	151.22	316.37	206.94	173.85	346.29	152.28	325.29	237.86	99.43	156.59	303.44	1008.9	1135.2
GGA3	647.07	1059.11	808.0	791.35	253.23	185.11	647.07	738.29	384.34	547.75	262.2	503.95	511.0	454.09	483.38	543.96	371.22	246.28	500.46	318.57	599.49	400.71	599.49	412.0	753.83	441.64	275.28	264.03	579.04	660.68	470.14	397.93	246.28	320.8	356.05	563.18	733.19	441.64	463.65	921.88	190.34	454.09	518.15	234.57	297.17	212.78	629.35	406.31	438.59	269.6	307.69	414.87	591.22	529.06	480.04	521.76	221.86	212.78	497.0	521.76	389.72	684.02	175.07	164.42	194.36	231.32	135.24	176.29	164.42	159.9	137.14	273.37	226.54	193.01	202.66	307.69	161.02	111.21	190.34	173.85	126.12	161.02	194.36	204.07	205.5	199.85	147.06	201.25	173.85	140.04	316.37	214.27	194.36	239.52	58.3	126.12	189.02	733.19	629.35
GIGYF2	802.41	703.28	884.29	728.11	248.0	201.25	684.02	651.58	260.38	281.09	180.02	314.17	241.19	201.25	269.6	256.78	273.37	154.42	432.53	260.38	466.88	248.0	368.65	195.72	368.65	368.65	159.9	204.07	366.09	507.46	236.21	303.44	177.53	180.02	406.31	316.37	511.0	223.41	251.48	555.41	177.53	279.14	351.14	275.28	128.79	223.41	281.09	153.34	309.83	165.57	384.34	249.73	262.2	251.48	241.19	358.54	194.36	175.07	363.56	493.56	239.52	303.44	198.47	158.79	155.5	224.97	183.82	190.34	98.73	120.1	115.97	497.0	180.02	124.37	255.0	309.83	265.87	116.78	289.02	183.82	100.13	115.97	260.38	161.02	189.02	206.94	199.85	182.55	182.55	110.43	273.37	232.94	262.2	242.88	98.04	208.38	234.57	698.41	785.88
GOSR2	1044.52	1651.0	1417.35	1794.29	1073.91	780.44	1151.06	1127.35	1001.93	1001.93	764.36	1250.98	808.0	1127.35	1467.37	1225.22	1594.73	848.22	1030.12	1286.18	3124.78	775.05	915.51	1583.71	1651.0	1096.5	624.99	1477.58	1407.55	1794.29	981.29	1331.57	836.53	941.27	1030.12	1331.57	1242.34	934.76	2090.03	1350.18	764.36	1104.13	1457.23	808.0	503.95	1008.9	1697.45	1096.5	684.02	748.61	1059.11	1096.5	1183.45	1191.69	890.44	1350.18	866.07	921.88	1378.57	1369.04	1378.57	1369.04	450.94	409.15	647.07	785.88	521.76	688.78	500.46	466.88	620.67	457.25	555.41	435.55	473.41	748.61	603.67	651.58	607.87	587.13	587.13	483.38	624.99	500.46	934.76	389.72	563.18	848.22	603.67	775.05	688.78	591.22	595.34	409.15	438.59	679.29	775.05	1233.75	921.88
GPATCH8	438.59	532.74	559.28	420.68	121.79	87.03	339.14	314.17	134.3	171.45	73.54	172.65	129.69	150.17	142.01	246.28	150.17	74.06	173.85	157.68	316.37	133.36	194.36	148.09	303.44	258.57	111.21	172.65	217.27	366.09	212.78	151.22	88.26	82.87	173.85	175.07	361.04	114.36	122.64	293.07	68.07	172.65	167.9	130.6	92.7	94.01	223.41	172.65	185.11	50.63	234.57	126.12	220.32	120.1	161.02	236.21	102.25	105.15	198.47	346.29	177.53	275.28	66.65	46.18	51.71	99.43	66.18	80.01	70.51	41.22	72.52	118.43	100.83	87.03	94.67	149.12	42.41	48.18	114.36	96.01	54.33	73.54	141.02	67.12	97.36	94.67	94.01	70.01	102.25	36.27	143.01	137.14	124.37	145.02	37.85	58.3	69.03	476.71	486.75
GRB2	1883.54	2485.67	4704.07	3372.43	902.89	651.58	4328.55	3081.75	1111.82	796.86	587.13	1417.35	1001.93	1183.45	1417.35	1322.37	1697.45	575.03	1340.84	928.3	2178.83	1167.14	1467.37	1191.69	1167.14	1781.89	1096.5	1081.39	1388.16	1447.15	961.07	921.88	1066.48	753.83	1322.37	1519.15	2193.99	1304.15	1437.15	1832.01	674.59	1331.57	1950.0	884.29	836.53	896.64	1551.09	1819.35	988.12	872.1	1159.07	842.36	1896.65	961.07	928.3	902.89	988.12	679.29	1331.57	1159.07	1044.52	1467.37	525.39	651.58	679.29	995.0	633.73	775.05	890.44	693.58	612.11	432.53	551.56	607.87	540.19	1044.52	718.08	743.43	1044.52	642.59	624.99	518.15	571.05	796.86	764.36	684.02	713.11	1044.52	836.53	848.22	1104.13	813.63	647.07	543.96	796.86	813.63	1059.11	2720.15	1447.15
GTF2H3	412.0	713.11	529.06	426.57	209.84	166.73	511.0	246.28	189.02	228.13	102.97	334.46	148.09	171.45	191.67	237.86	305.55	117.6	163.28	148.09	497.0	239.52	291.04	197.09	532.74	309.83	93.35	341.51	358.54	373.81	116.78	285.03	198.47	142.01	279.14	209.84	406.31	201.25	285.03	371.22	135.24	325.29	332.14	199.85	162.14	151.22	267.73	271.48	336.79	97.36	231.32	209.84	186.4	246.28	309.83	441.64	88.88	215.77	447.82	432.53	191.67	403.5	128.79	134.3	114.36	163.28	127.89	167.9	139.07	123.5	97.36	187.71	119.26	169.07	158.79	193.01	153.34	232.94	255.0	154.42	149.12	136.19	177.53	88.88	208.38	103.69	136.19	161.02	220.32	176.29	156.59	143.01	108.14	165.57	111.99	138.1	273.37	473.41	603.67
HAUS2	353.59	348.71	265.87	275.28	143.01	111.99	301.33	204.07	149.12	129.69	73.03	218.79	115.97	100.13	171.45	112.77	190.34	111.99	175.07	146.03	301.33	147.06	218.79	81.71	158.79	232.94	143.01	217.27	217.27	363.56	194.36	127.0	138.1	93.35	189.02	155.5	253.23	120.1	199.85	314.17	114.36	205.5	110.43	169.07	131.51	134.3	262.2	176.29	198.47	142.01	239.52	156.59	195.72	161.02	166.73	285.03	154.42	150.17	165.57	260.38	112.77	279.14	90.14	100.83	49.56	113.56	126.12	108.14	142.01	84.63	79.45	76.71	68.55	99.43	145.02	122.64	176.29	135.24	127.0	120.94	82.29	86.43	97.36	90.14	106.63	75.64	117.6	147.06	116.78	84.63	158.79	96.01	86.43	88.26	83.45	116.78	191.67	366.09	532.74
HCFC1	902.89	785.88	713.11	1259.69	244.57	232.94	764.36	848.22	470.14	447.82	480.04	679.29	616.37	329.84	406.31	954.43	476.71	339.14	500.46	473.41	567.1	563.18	497.0	438.59	583.07	748.61	327.56	381.68	559.28	941.27	320.8	587.13	450.94	438.59	540.19	616.37	571.05	629.35	703.28	775.05	457.25	616.37	723.08	480.04	497.0	232.94	665.29	775.05	567.1	441.64	444.72	543.96	688.78	785.88	571.05	486.75	332.14	368.65	819.3	511.0	406.31	575.03	264.03	241.19	303.44	339.14	191.67	265.87	176.29	166.73	187.71	285.03	248.0	249.73	226.54	258.57	182.55	152.28	248.0	159.9	244.57	204.07	212.78	236.21	229.72	153.34	150.17	212.78	209.84	194.36	291.04	143.01	175.07	237.86	98.73	201.25	271.48	1119.56	1447.15
HEATR1	753.83	1331.57	435.55	323.03	77.79	54.33	343.89	237.86	115.97	157.68	132.44	86.43	81.14	107.38	116.78	228.13	132.44	54.33	97.36	137.14	387.02	103.69	154.42	147.06	181.28	111.99	55.49	110.43	185.11	368.65	77.79	193.01	130.6	176.29	180.02	299.25	239.52	149.12	129.69	212.78	37.85	148.09	164.42	95.34	81.14	62.56	273.37	209.84	246.28	76.71	105.89	156.59	201.25	314.17	120.94	143.01	65.72	107.38	277.2	423.61	85.82	217.27	53.19	37.59	32.13	69.52	45.85	52.82	36.79	32.13	34.75	69.03	33.54	44.57	57.49	73.03	49.21	34.75	81.14	55.49	31.22	36.27	56.28	45.85	47.84	47.5	51.35	50.98	56.28	30.56	90.77	37.32	50.63	54.33	15.45	43.63	84.63	267.73	684.02
HIF1AN	426.57	497.0	660.68	490.14	146.03	113.56	567.1	414.87	124.37	191.67	171.45	141.02	117.6	162.14	193.01	381.68	258.57	68.07	211.31	181.28	351.14	180.02	232.94	90.77	264.03	176.29	112.77	212.78	265.87	232.94	77.25	264.03	166.73	98.04	212.78	221.86	395.18	139.07	124.37	175.07	158.79	208.38	339.14	76.71	117.6	178.77	334.46	246.28	265.87	111.21	287.01	198.47	255.0	323.03	186.4	346.29	105.15	88.88	376.41	262.2	262.2	190.34	58.3	73.54	116.78	115.16	68.07	141.02	81.71	79.45	57.08	61.68	55.1	88.26	57.49	190.34	104.42	133.36	143.01	134.3	123.5	80.57	96.01	102.97	114.36	111.99	147.06	163.28	92.05	96.68	249.73	80.57	74.06	81.14	42.41	84.63	166.73	414.87	435.55
HUWE1	1923.14	3467.27	1733.13	2224.63	819.3	753.83	1617.0	1457.23	1286.18	1044.52	830.75	1059.11	1216.75	791.35	954.43	1295.13	1127.35	684.02	1051.79	921.88	1340.84	1030.12	890.44	1119.56	1073.91	1191.69	511.0	848.22	791.35	1561.89	988.12	1051.79	825.0	575.03	1073.91	1037.29	1457.23	1225.22	1369.04	1427.22	669.92	1183.45	1250.98	928.3	921.88	674.59	1388.16	1331.57	1104.13	633.73	967.76	1159.07	1151.06	775.05	1059.11	1286.18	753.83	674.59	1199.98	1340.84	1104.13	1208.34	660.68	616.37	571.05	813.63	665.29	571.05	412.0	521.76	547.75	1208.34	896.64	679.29	738.29	902.89	435.55	583.07	780.44	575.03	486.75	753.83	848.22	713.11	753.83	791.35	825.0	796.86	921.88	403.5	669.92	599.49	688.78	733.19	260.38	490.14	669.92	1950.0	2555.58
IDE	426.57	540.19	571.05	567.1	287.01	215.77	543.96	283.05	327.56	279.14	175.07	305.55	149.12	182.55	312.0	348.71	447.82	157.68	221.86	343.89	647.07	242.88	395.18	148.09	389.72	248.0	199.85	379.04	406.31	447.82	295.11	279.14	341.51	204.07	361.04	366.09	356.05	275.28	358.54	381.68	191.67	348.71	348.71	327.56	150.17	293.07	447.82	571.05	497.0	285.03	651.58	265.87	368.65	255.0	309.83	384.34	161.02	170.25	223.41	450.94	283.05	429.54	176.29	159.9	164.42	255.0	208.38	202.66	193.01	158.79	115.97	312.0	164.42	157.68	133.36	269.6	212.78	177.53	273.37	182.55	182.55	123.5	236.21	145.02	211.31	143.01	145.02	193.01	189.02	140.04	291.04	170.25	195.72	198.47	180.02	202.66	327.56	381.68	928.3
INCENP	583.07	368.65	490.14	759.08	60.82	70.51	490.14	215.77	150.17	165.57	80.01	234.57	163.28	114.36	140.04	204.07	228.13	48.87	153.34	159.9	293.07	78.89	125.24	161.02	395.18	231.32	127.89	217.27	185.11	253.23	141.02	190.34	90.77	97.36	135.24	172.65	244.57	181.28	332.14	406.31	61.68	301.33	332.14	102.97	167.9	64.8	236.21	148.09	156.59	60.39	127.89	128.79	170.25	249.73	154.42	463.65	131.51	86.43	164.42	269.6	140.04	297.17	53.57	34.26	56.68	88.88	31.45	57.89	22.43	30.34	17.9	58.71	15.45	29.27	40.07	88.26	66.65	43.02	113.56	72.52	40.64	23.76	104.42	38.67	67.59	47.17	74.58	113.56	74.06	50.27	85.22	68.55	28.86	45.21	31.0	40.64	72.01	529.06	651.58
INTS7	679.29	599.49	500.46	248.0	211.31	96.68	273.37	130.6	246.28	332.14	150.17	346.29	198.47	92.7	215.77	208.38	336.79	116.78	158.79	341.51	435.55	218.79	255.0	343.89	406.31	251.48	244.57	346.29	518.15	656.11	166.73	140.04	117.6	351.14	323.03	334.46	339.14	327.56	281.09	460.44	187.71	234.57	269.6	248.0	177.53	92.05	336.79	529.06	348.71	208.38	175.07	307.69	447.82	361.04	214.27	212.78	146.03	265.87	303.44	647.07	363.56	420.68	127.0	126.12	87.65	138.1	88.88	117.6	87.03	181.28	123.5	201.25	201.25	125.24	91.41	205.5	251.48	128.79	234.57	53.19	82.29	80.01	154.42	50.63	107.38	132.44	123.5	185.11	109.66	136.19	166.73	112.77	118.43	88.88	59.13	114.36	176.29	447.82	395.18
IQCB1	728.11	476.71	551.56	348.71	106.63	70.01	246.28	299.25	99.43	197.09	80.01	146.03	120.94	88.26	94.01	267.73	193.01	74.06	176.29	154.42	409.15	108.9	159.9	176.29	242.88	323.03	71.5	175.07	226.54	269.6	98.04	114.36	111.99	142.01	224.97	264.03	387.02	115.97	171.45	279.14	108.9	248.0	242.88	109.66	145.02	67.12	137.14	170.25	161.02	167.9	155.5	142.01	139.07	212.78	150.17	262.2	86.43	108.9	224.97	258.57	131.51	242.88	82.29	57.89	46.5	62.12	85.82	84.63	55.49	81.71	51.35	163.28	102.97	53.19	124.37	88.88	69.52	33.3	97.36	80.57	88.88	59.13	137.14	50.98	76.71	108.14	59.97	34.26	71.5	50.27	113.56	68.55	111.21	87.65	25.91	66.18	61.25	447.82	665.29
KANSL3	620.67	967.76	684.02	674.59	332.14	232.94	708.18	563.18	316.37	503.95	194.36	320.8	334.46	251.48	414.87	769.69	718.08	234.57	432.53	412.0	723.08	633.73	346.29	426.57	629.35	387.02	346.29	267.73	532.74	688.78	397.93	376.41	316.37	320.8	486.75	441.64	819.3	269.6	348.71	842.36	121.79	307.69	633.73	356.05	273.37	281.09	718.08	599.49	607.87	236.21	417.77	409.15	511.0	435.55	381.68	470.14	220.32	567.1	802.41	1225.22	808.0	450.94	198.47	172.65	115.16	293.07	185.11	218.79	536.45	135.24	199.85	406.31	320.8	169.07	323.03	221.86	194.36	251.48	191.67	275.28	156.59	241.19	403.5	320.8	269.6	343.89	208.38	191.67	301.33	178.77	314.17	301.33	244.57	486.75	81.14	260.38	189.02	547.75	620.67
KDM3A	848.22	400.71	791.35	612.11	206.94	177.53	480.04	316.37	373.81	334.46	223.41	157.68	199.85	232.94	236.21	438.59	366.09	244.57	289.02	251.48	454.09	267.73	361.04	281.09	642.59	450.94	212.78	454.09	262.2	470.14	237.86	303.44	218.79	150.17	301.33	420.68	525.39	287.01	265.87	403.5	137.14	301.33	423.61	314.17	140.04	236.21	244.57	269.6	356.05	234.57	320.8	295.11	743.43	403.5	232.94	346.29	267.73	138.1	358.54	371.22	224.97	307.69	150.17	119.26	73.03	150.17	167.9	123.5	226.54	154.42	140.04	334.46	198.47	98.73	236.21	165.57	171.45	145.02	146.03	253.23	111.99	185.11	206.94	214.27	198.47	332.14	195.72	101.54	177.53	159.9	244.57	214.27	241.19	189.02	126.12	400.71	142.01	848.22	713.11
KDM5B	1295.13	967.76	1378.57	896.64	74.06	87.03	301.33	256.78	39.22	336.79	182.55	99.43	295.11	103.69	156.59	353.59	112.77	62.12	170.25	258.57	460.44	251.48	206.94	171.45	318.57	223.41	116.78	139.07	194.36	1015.93	57.08	395.18	187.71	204.07	237.86	363.56	361.04	493.56	125.24	397.93	57.89	202.66	258.57	25.54	71.0	36.27	525.39	320.8	232.94	83.45	146.03	271.48	392.44	287.01	167.9	273.37	74.06	63.0	356.05	633.73	351.14	189.02	71.0	73.54	45.85	81.71	72.01	64.8	50.27	80.01	47.5	211.31	87.03	24.99	87.03	122.64	139.07	23.42	105.15	113.56	64.8	59.13	84.63	136.19	229.72	55.1	80.57	113.56	150.17	59.97	185.11	74.06	175.07	92.7	40.07	63.0	128.79	921.88	249.73
KDM5C	1151.06	1733.13	1104.13	1721.16	595.34	285.03	547.75	830.75	409.15	486.75	339.14	420.68	555.41	341.51	323.03	830.75	536.45	209.84	511.0	400.71	595.34	397.93	384.34	381.68	473.41	629.35	183.82	486.75	348.71	759.08	293.07	497.0	373.81	295.11	540.19	713.11	1159.07	514.56	848.22	688.78	366.09	457.25	651.58	336.79	389.72	432.53	638.15	483.38	728.11	258.57	842.36	536.45	454.09	532.74	460.44	934.76	346.29	503.95	633.73	507.46	518.15	890.44	332.14	343.89	208.38	341.51	172.65	256.78	381.68	204.07	173.85	638.15	218.79	198.47	241.19	289.02	178.77	162.14	447.82	194.36	217.27	189.02	438.59	231.32	217.27	511.0	403.5	269.6	301.33	291.04	563.18	232.94	353.59	329.84	129.69	249.73	493.56	947.83	836.53
KIF20B	256.78	343.89	251.48	165.57	23.93	17.64	172.65	81.71	39.5	31.9	12.36	69.52	42.11	26.47	29.27	87.65	61.68	6.31	31.45	34.02	56.28	46.5	52.08	23.59	141.02	76.71	35.76	49.56	77.25	76.71	46.5	46.84	24.63	17.13	36.53	39.22	125.24	32.59	65.26	94.01	24.99	59.55	76.17	50.98	31.22	11.21	68.07	59.55	136.19	15.11	26.28	36.27	26.1	81.14	38.12	80.57	25.35	25.54	49.21	72.52	60.82	93.35	16.63	11.55	2.71	11.13	14.03	18.29	19.11	18.56	16.15	20.56	10.63	12.74	5.54	17.0	24.99	17.38	20.56	21.47	16.03	22.43	31.0	13.12	27.64	24.63	15.45	27.05	22.59	11.04	15.8	18.29	24.11	20.26	7.17	9.06	10.0	111.99	438.59
KIF5B	1397.83	2758.13	1023.0	1242.34	373.81	232.94	1359.57	567.1	403.5	679.29	348.71	409.15	267.73	279.14	366.09	620.67	583.07	141.02	607.87	551.56	808.0	470.14	620.67	575.03	854.13	392.44	381.68	412.0	688.78	1151.06	291.04	656.11	420.68	329.84	733.19	764.36	848.22	775.05	363.56	928.3	186.4	454.09	559.28	400.71	323.03	291.04	866.07	1051.79	921.88	334.46	444.72	358.54	629.35	514.56	497.0	684.02	318.57	242.88	642.59	785.88	423.61	514.56	242.88	239.52	98.04	312.0	297.17	224.97	211.31	221.86	209.84	463.65	190.34	176.29	336.79	325.29	397.93	186.4	320.8	195.72	248.0	159.9	224.97	153.34	379.04	217.27	229.72	281.09	229.72	273.37	373.81	285.03	236.21	283.05	218.79	193.01	353.59	1551.09	2956.17
KMT2D	603.67	559.28	723.08	902.89	236.21	117.6	525.39	483.38	490.14	373.81	242.88	236.21	301.33	249.73	249.73	450.94	320.8	101.54	414.87	358.54	346.29	414.87	341.51	287.01	718.08	381.68	223.41	165.57	379.04	514.56	242.88	412.0	267.73	264.03	426.57	368.65	532.74	346.29	217.27	551.56	94.01	397.93	511.0	269.6	193.01	191.67	376.41	371.22	480.04	121.79	406.31	293.07	318.57	348.71	323.03	842.36	190.34	285.03	490.14	376.41	343.89	555.41	142.01	154.42	120.94	249.73	84.04	194.36	75.11	119.26	115.97	173.85	181.28	187.71	149.12	244.57	95.34	108.14	162.14	139.07	131.51	149.12	205.5	150.17	129.69	130.6	145.02	156.59	175.07	108.14	241.19	165.57	136.19	140.04	55.49	76.71	149.12	1030.12	1030.12
LARP1	1709.26	1991.0	1757.34	1508.65	708.18	551.56	1594.73	1674.06	1286.18	1051.79	575.03	1331.57	954.43	1191.69	1208.34	988.12	1304.15	525.39	961.07	1167.14	1322.37	1081.39	1233.75	684.02	1225.22	1066.48	872.1	796.86	1023.0	1397.83	941.27	1359.57	830.75	665.29	1208.34	2303.12	1096.5	813.63	902.89	1066.48	299.25	896.64	1127.35	954.43	728.11	587.13	1331.57	1781.89	1685.71	620.67	1051.79	981.29	1143.1	1159.07	1216.75	1561.89	819.3	647.07	1628.26	1639.59	981.29	1369.04	395.18	343.89	444.72	674.59	432.53	483.38	267.73	376.41	403.5	563.18	389.72	603.67	500.46	728.11	435.55	312.0	764.36	525.39	281.09	444.72	583.07	660.68	454.09	441.64	417.77	684.02	698.41	373.81	728.11	435.55	379.04	693.58	305.55	251.48	802.41	1447.15	1909.85
LARP4B	802.41	728.11	708.18	728.11	281.09	177.53	629.35	470.14	379.04	356.05	176.29	353.59	303.44	237.86	281.09	521.76	348.71	125.24	366.09	279.14	567.1	301.33	351.14	438.59	642.59	293.07	320.8	414.87	423.61	555.41	320.8	403.5	358.54	234.57	423.61	205.5	429.54	351.14	237.86	796.86	173.85	406.31	480.04	287.01	271.48	180.02	500.46	470.14	679.29	217.27	299.25	246.28	371.22	406.31	450.94	432.53	249.73	195.72	373.81	521.76	409.15	403.5	151.22	151.22	137.14	211.31	170.25	152.28	198.47	142.01	169.07	275.28	177.53	148.09	217.27	141.02	256.78	151.22	182.55	182.55	113.56	119.26	171.45	140.04	316.37	242.88	163.28	134.3	175.07	127.89	244.57	223.41	293.07	145.02	181.28	183.82	138.1	1159.07	2104.58
MAP4K3	476.71	511.0	295.11	303.44	228.13	155.5	277.2	260.38	334.46	351.14	166.73	211.31	115.16	189.02	189.02	429.54	297.17	105.89	249.73	271.48	381.68	237.86	237.86	180.02	457.25	287.01	198.47	220.32	336.79	684.02	178.77	273.37	181.28	180.02	351.14	291.04	346.29	182.55	175.07	387.02	140.04	291.04	220.32	309.83	164.42	145.02	269.6	376.41	299.25	178.77	226.54	205.5	325.29	343.89	301.33	403.5	193.01	170.25	463.65	389.72	371.22	470.14	138.1	114.36	67.12	173.85	157.68	165.57	193.01	165.57	115.16	412.0	119.26	141.02	279.14	158.79	336.79	143.01	137.14	94.01	87.65	172.65	165.57	121.79	246.28	251.48	140.04	113.56	217.27	129.69	389.72	133.36	110.43	221.86	186.4	140.04	120.1	373.81	579.04
