	GTEX.U3ZN.1626.SM.4DXTZ	TCGA.R6.A6L4.01A.11R.A31P.31	TCGA.L5.A88T.01A.11R.A354.31	TCGA.L5.A88W.01A.11R.A354.31	TCGA.L5.A8NW.01A.11R.A37I.31	TCGA.L5.A4OE.01A.11R.A260.31	TCGA.L5.A8NQ.01A.11R.A36D.31	TCGA.L5.A8NK.01A.21R.A37I.31	TCGA.L7.A56G.01A.21R.A260.31	TCGA.KH.A6WC.01A.11R.A336.31	TCGA.R6.A6Y0.01B.11R.A336.31	TCGA.Q9.A6FW.01A.31R.A31P.31	TCGA.VR.A8EU.01A.11R.A36D.31	TCGA.IC.A6RE.11A.12R.A336.31	GTEX.145MO.1426.SM.5Q5BS	GTEX.12WSL.1526.SM.5GCP8	GTEX.11EM3.0826.SM.5N9CC	GTEX.12KS4.0926.SM.5BC5S	GTEX.R3RS.1326.SM.48FE7	GTEX.ZE9C.1126.SM.4WWBD	GTEX.13CF3.1626.SM.5IFG9	GTEX.X15G.0826.SM.4PQZD	GTEX.Y3I4.1226.SM.4TT8N	GTEX.12696.1326.SM.5FQTJ	GTEX.QEG4.0726.SM.4R1JL	GTEX.XK95.1026.SM.4GIDV	GTEX.13X6H.1326.SM.5LU42	GTEX.1497J.2726.SM.5SI9W	GTEX.UJHI.0826.SM.4IHLM	GTEX.11LCK.1726.SM.5S2OQ	GTEX.111YS.0926.SM.5EGGI	GTEX.131YS.1426.SM.5IJF7	GTEX.WH7G.0926.SM.4LVMJ	GTEX.WFG8.1226.SM.4V6EI	GTEX.14DAQ.1426.SM.5RQJD	GTEX.WFJO.0826.SM.4LVM5	GTEX.11NUK.1326.SM.5P9GN	GTEX.XUJ4.1026.SM.4BOPB	GTEX.QEG5.1426.SM.447AS	GTEX.14BIN.2726.SM.5RQIE	GTEX.13111.0826.SM.5LZV3	GTEX.14C38.2126.SM.5RQJO	GTEX.146FR.0426.SM.5SI97	GTEX.ZYVF.2226.SM.5GIDD	GTEX.RN64.1026.SM.48FDX	GTEX.Y8E4.1726.SM.5LU9G	GTEX.T2IS.0826.SM.4DM6L	GTEX.11ZTS.2626.SM.5EGIC	GTEX.ZGAY.1126.SM.4WWBS	GTEX.ZYY3.1526.SM.5SIA9	GTEX.OXRL.0626.SM.3NM9C	GTEX.XV7Q.1126.SM.4BRVS	GTEX.R55E.1326.SM.48FCR	GTEX.13OVG.0626.SM.5IFEP	GTEX.ZUA1.1226.SM.5NQ6O	TCGA.CN.4726.01A.01R.1436.07	TCGA.CV.7183.01A.11R.2016.07	TCGA.BB.7863.01A.11R.2232.07	TCGA.BA.5557.01A.01R.1514.07	TCGA.CR.7391.01A.11R.2016.07	TCGA.H7.7774.01A.21R.2081.07	TCGA.BA.5151.01A.01R.1436.07	TCGA.CN.6998.01A.23R.2016.07	TCGA.CQ.7071.01A.12R.A30B.07	TCGA.CV.7252.11A.01R.2016.07	TCGA.CV.7406.11A.01R.2081.07	TCGA.CV.6962.11A.01R.1915.07	TCGA.CV.6955.11A.01R.2016.07	TCGA.CV.6936.11A.01R.1915.07	TCGA.CV.6943.11A.01R.1915.07	TCGA.CV.7250.11A.01R.2016.07	TCGA.CV.7183.11A.01R.2016.07	TCGA.CV.6961.11A.01R.1915.07	TCGA.CV.7177.11A.01R.2016.07	TCGA.CV.7437.11A.01R.2132.07	TCGA.CV.6935.11A.01R.1915.07	TCGA.38.4625.01A.01R.1206.07	TCGA.38.4625.01A.01R.1206.07.1	GTEX.ZQG8.2126.SM.4YCF1	GTEX.XMK1.2626.SM.4B65R	GTEX.11ZTS.3026.SM.5EQM7	GTEX.XV7Q.2426.SM.4BRV8	GTEX.WFJO.2026.SM.4LVM3	GTEX.ZPU1.2326.SM.57WEP	GTEX.ZP4G.1926.SM.57WDZ	GTEX.ZT9W.2126.SM.51MSF
SIRT7	2193.99	1561.89	2451.44	775.05	1135.2	2664.15	1697.45	1313.23	934.76	2520.38	2287.2	967.76	753.83	3018.3	1417.35	1104.13	1259.69	1628.26	3146.52	2664.15	1242.34	1617.0	1378.57	1896.65	2400.97	2537.92	1242.34	1769.57	1662.49	1268.46	1037.29	2061.24	1508.65	1551.09	2047.0	1175.27	1883.54	1583.71	2163.77	2609.3	1242.34	1806.78	1104.13	1883.54	2609.3	1529.73	2004.85	2209.26	1487.87	1594.73	1242.34	1498.22	1819.35	1508.65	1883.54	543.96	476.71	543.96	435.55	642.59	988.12	348.71	603.67	583.07	759.08	457.25	1143.1	540.19	698.41	890.44	718.08	934.76	595.34	1199.98	1088.92	1135.2	0.0	0.78	559.28	521.76	1844.76	1417.35	836.53	1242.34	1127.35	1407.55
SLC25A21-AS1	19.11	15.0	18.84	11.47	8.65	8.13	31.9	22.43	7.51	15.11	21.16	21.32	14.24	21.94	44.25	12.64	40.36	28.86	77.25	59.97	19.97	34.51	25.72	44.25	47.17	24.28	17.13	43.63	16.75	21.63	13.93	86.43	48.52	17.77	58.3	20.41	46.84	13.62	82.87	29.7	21.94	29.48	18.43	67.59	61.68	34.02	69.52	32.13	12.74	55.49	49.21	44.89	49.21	13.42	60.39	0.67	2.29	5.41	0.0	8.25	10.16	2.27	2.43	7.51	10.31	13.03	23.59	28.04	8.51	6.78	7.69	5.96	3.47	16.15	17.51	15.11	0.0	0.16	9.93	34.75	1.48	7.51	13.62	0.41	6.78	2.29
SPDYA	11.82	70.01	14.67	16.39	58.3	29.06	6.67	29.06	21.47	26.1	18.84	21.47	18.84	13.62	25.91	7.28	17.51	48.52	41.52	35.0	9.63	36.27	26.28	34.75	30.12	50.63	16.27	49.56	30.78	33.78	19.53	35.76	13.12	24.63	29.06	11.38	34.26	20.41	33.3	48.18	9.27	33.3	17.25	69.03	69.03	46.5	34.26	28.65	16.15	54.72	27.44	44.25	54.72	10.71	51.71	3.44	6.62	9.56	7.11	5.32	3.44	3.23	4.78	5.96	7.4	4.62	2.76	13.83	0.75	6.84	4.03	0.74	8.71	7.69	2.94	3.23	0.0	0.43	0.0	1.13	3.69	6.31	4.98	3.47	8.71	1.95
SRCIN1	50.27	134.3	139.07	38.4	84.04	53.57	65.26	50.98	61.25	65.26	63.0	73.03	79.45	51.71	173.85	96.68	173.85	42.11	132.44	156.59	183.82	236.21	199.85	100.83	133.36	152.28	73.03	215.77	85.22	127.89	102.97	94.67	52.45	50.98	69.03	106.63	76.17	111.21	161.02	77.25	68.55	239.52	80.57	134.3	143.01	36.27	57.08	82.87	149.12	105.15	139.07	157.68	104.42	83.45	55.89	29.48	38.95	93.35	17.0	17.25	41.52	23.08	34.26	72.01	50.63	8.51	24.63	83.45	18.56	23.42	37.85	8.99	24.28	24.46	18.56	59.97	0.0	0.31	1.3	58.3	4.1	18.56	20.86	9.78	20.41	3.82
SSH3	6207.38	1721.16	2163.77	1769.57	2319.15	1369.04	2835.7	2133.97	1159.07	2609.3	2148.82	1819.35	1268.46	2163.77	1757.34	1757.34	1685.71	2417.67	2271.4	2758.13	1572.76	2193.99	1662.49	2739.08	2664.15	2591.27	1529.73	2701.35	1794.29	1467.37	1605.83	2319.15	1794.29	1963.57	2720.15	1662.49	2758.13	2400.97	3235.01	2956.17	2061.24	2303.12	1268.46	2720.15	3349.13	1551.09	2451.44	2682.69	1950.0	1977.24	1745.2	1794.29	2400.97	1757.34	2163.77	414.87	1295.13	1529.73	642.59	1088.92	1143.1	981.29	796.86	1015.93	884.29	466.88	1583.71	1331.57	1286.18	1104.13	1059.11	921.88	1143.1	1662.49	1359.57	1369.04	0.0	0.85	429.54	669.92	2090.03	1119.56	1277.29	2664.15	1030.12	1175.27
ST7L	295.11	444.72	297.17	301.33	309.83	269.6	389.72	423.61	307.69	264.03	215.77	244.57	423.61	299.25	409.15	297.17	206.94	387.02	463.65	297.17	343.89	373.81	215.77	329.84	507.46	438.59	191.67	400.71	246.28	217.27	269.6	303.44	267.73	187.71	303.44	289.02	529.06	155.5	281.09	503.95	251.48	256.78	209.84	379.04	384.34	334.46	435.55	511.0	262.2	376.41	320.8	275.28	387.02	223.41	457.25	162.14	132.44	185.11	127.89	175.07	176.29	232.94	70.01	211.31	220.32	172.65	223.41	186.4	214.27	287.01	211.31	260.38	197.09	218.79	239.52	173.85	0.0	0.56	289.02	185.11	211.31	215.77	201.25	144.01	295.11	241.19
STK25	2119.22	2997.45	3190.46	3614.55	2400.97	2520.38	3540.14	2591.27	3124.78	2875.3	3103.19	3349.13	2796.65	2976.74	2895.31	2178.83	2018.8	2976.74	4181.07	4038.61	2271.4	3060.45	2875.3	2758.13	3794.3	4512.4	2224.63	3716.2	2645.74	2796.65	1721.16	3639.7	3419.52	2319.15	3372.43	2777.33	3742.05	3146.52	4095.0	3901.01	2119.22	3372.43	2104.58	3716.2	3467.27	2777.33	3820.7	3847.29	2434.5	3103.19	3168.41	2796.65	3690.52	1883.54	3443.31	2835.7	2367.9	1551.09	1540.37	2193.99	1594.73	2434.5	2609.3	2417.67	2018.8	4152.18	1936.53	1417.35	2255.7	1709.26	3665.02	1304.15	2193.99	1794.29	1870.53	1781.89	0.0	0.96	1769.57	2451.44	2335.28	2645.74	2271.4	1883.54	1977.24	1594.73
STRN4	995.0	1685.71	2075.59	1529.73	1936.53	2178.83	2018.8	2004.85	1745.2	1757.34	2163.77	1487.87	1561.89	1870.53	1806.78	1135.2	1322.37	1457.23	2255.7	2032.85	1268.46	1340.84	1388.16	1781.89	2384.37	1909.85	1191.69	1674.06	1388.16	1066.48	1259.69	1769.57	1457.23	1242.34	1594.73	1295.13	2032.85	1639.59	1733.13	1991.0	1397.83	1991.0	1151.06	1806.78	2090.03	1073.91	2061.24	2047.0	1388.16	1268.46	1457.23	1286.18	1733.13	1286.18	2018.8	633.73	1081.39	1151.06	974.5	1191.69	1628.26	941.27	947.83	1073.91	1259.69	825.0	1529.73	1135.2	1369.04	1111.82	1044.52	808.0	1250.98	1259.69	1167.14	1259.69	866.07	647.07	796.86	1437.15	1397.83	1081.39	1313.23	1340.84	947.83	1216.75
STXBP2	3901.01	1225.22	1757.34	1096.5	748.61	981.29	2090.03	688.78	463.65	1883.54	1709.26	2240.11	1216.75	2400.97	2645.74	2573.36	2287.2	2816.11	3491.39	3349.13	2335.28	3325.99	2485.67	2720.15	2555.58	3081.75	2555.58	2701.35	3146.52	2573.36	2434.5	2573.36	2758.13	2796.65	3060.45	2609.3	2502.97	3168.41	3168.41	2976.74	2720.15	2720.15	1950.0	2956.17	3060.45	3060.45	2935.74	2645.74	2835.7	2739.08	2645.74	3060.45	2451.44	2682.69	2816.11	1216.75	1417.35	1259.69	1477.58	1561.89	1427.22	1304.15	1977.24	1295.13	1594.73	759.08	2520.38	1551.09	1651.0	1709.26	1605.83	1745.2	1437.15	1844.76	2004.85	2032.85	3820.7	1104.13	915.51	1709.26	1037.29	1059.11	1561.89	1208.34	1286.18	1111.82
TASP1	122.64	169.07	159.9	127.89	228.13	201.25	120.94	191.67	193.01	92.7	98.73	169.07	157.68	107.38	163.28	133.36	158.79	226.54	166.73	125.24	181.28	157.68	140.04	231.32	189.02	132.44	128.79	186.4	118.43	112.77	129.69	155.5	162.14	139.07	169.07	166.73	164.42	115.97	166.73	140.04	129.69	232.94	133.36	176.29	144.01	133.36	150.17	146.03	125.24	161.02	161.02	133.36	158.79	120.1	177.53	119.26	138.1	95.34	96.01	98.04	108.14	147.06	117.6	162.14	152.28	90.14	111.21	148.09	130.6	124.37	87.65	120.1	135.24	109.66	111.99	92.05	0.0	0.37	134.3	139.07	69.52	108.9	104.42	69.03	62.56	85.22
TIGD1	30.56	190.34	60.39	63.0	93.35	72.01	61.68	88.88	70.01	77.79	98.04	127.89	72.01	38.95	38.4	44.89	37.85	134.3	109.66	128.79	49.91	66.65	53.57	117.6	135.24	71.0	40.36	131.51	49.91	36.01	33.78	98.73	50.27	40.64	69.52	47.17	129.69	35.5	96.68	83.45	48.18	86.43	38.95	98.04	137.14	74.58	114.36	55.1	59.97	97.36	91.41	73.54	110.43	46.18	162.14	25.17	17.51	14.03	18.43	30.12	29.91	18.56	43.63	43.32	31.9	28.45	37.85	30.78	36.01	31.67	34.02	37.32	27.44	44.25	43.94	26.86	0.0	0.35	18.29	49.21	14.89	23.59	23.59	18.29	12.09	11.38
TMEM81	49.21	90.14	50.63	57.08	53.95	67.12	44.25	57.49	82.87	37.32	41.81	57.49	23.59	40.93	57.89	33.06	12.45	56.68	77.79	96.01	19.25	44.57	61.68	55.89	115.16	128.79	22.26	105.15	39.79	27.44	28.86	66.65	40.64	33.54	52.45	29.27	84.63	25.35	67.12	74.58	21.16	72.01	27.05	81.71	96.01	57.89	73.03	87.65	18.7	75.11	53.95	63.89	75.64	45.85	100.83	77.25	49.91	22.59	44.25	48.87	30.78	28.86	43.63	54.72	42.71	46.5	30.12	34.75	21.63	31.9	24.46	14.14	39.79	24.63	33.3	31.67	0.0	0.24	11.82	22.1	33.3	37.59	30.34	31.67	29.27	43.02
TPH1	3.66	2.29	2.63	1.22	3.72	1.07	1.97	1.75	1.68	1.33	3.47	13.03	1.66	0.95	5.68	3.76	6.21	10.24	5.45	3.41	8.99	2.97	6.46	21.32	7.11	5.19	7.28	6.57	8.0	3.23	6.89	9.2	3.69	10.47	6.31	1.46	8.99	1.57	18.7	4.86	8.71	17.13	8.32	12.27	3.66	10.16	12.64	16.51	5.73	3.96	11.55	3.17	7.69	9.56	10.63	0.0	0.71	1.06	2.1	0.73	1.71	2.66	1.51	2.97	2.23	2.36	0.68	3.23	4.1	1.2	1.6	0.0	1.25	1.58	1.97	0.0	3.86	74.58	0.0	1.48	1.45	0.26	1.14	0.61	2.29	0.35
TRABD	860.08	1127.35	1295.13	1936.53	890.44	830.75	1950.0	836.53	1096.5	1008.9	1594.73	1498.22	1427.22	1417.35	1487.87	1135.2	1167.14	1183.45	1295.13	1447.15	1277.29	1233.75	1183.45	1208.34	2119.22	1819.35	1199.98	1639.59	1250.98	1388.16	1175.27	1268.46	1066.48	1277.29	1081.39	1119.56	1467.37	1457.23	1477.58	1388.16	1437.15	1685.71	995.0	1350.18	1407.55	1096.5	1697.45	1457.23	1350.18	1583.71	1359.57	1225.22	1721.16	1037.29	1457.23	603.67	567.1	688.78	967.76	759.08	551.56	769.69	583.07	688.78	665.29	575.03	808.0	764.36	1044.52	536.45	769.69	463.65	941.27	656.11	1104.13	1051.79	0.0	0.95	379.04	629.35	518.15	954.43	571.05	647.07	633.73	547.75
TRMT2A	379.04	921.88	1331.57	1225.22	1073.91	1259.69	1437.15	1104.13	1167.14	1151.06	1467.37	995.0	915.51	909.17	866.07	954.43	743.43	780.44	1111.82	1199.98	753.83	1159.07	753.83	902.89	1437.15	1051.79	769.69	1175.27	934.76	813.63	738.29	1167.14	791.35	836.53	909.17	791.35	1135.2	1175.27	1313.23	1081.39	967.76	1167.14	769.69	1044.52	1008.9	878.17	1369.04	848.22	830.75	1216.75	1104.13	759.08	1498.22	738.29	1259.69	312.0	466.88	547.75	599.49	543.96	591.22	563.18	454.09	447.82	511.0	470.14	483.38	733.19	536.45	483.38	429.54	339.14	583.07	525.39	759.08	486.75	0.0	0.87	303.44	540.19	237.86	417.77	403.5	351.14	473.41	241.19
TRPV1	49.56	21.78	15.45	5.68	35.0	0.45	4.58	9.93	10.71	22.59	31.22	2.41	8.65	7.88	8.58	3.89	17.9	59.55	65.26	58.3	18.16	43.63	12.0	82.29	26.28	85.82	14.35	16.75	4.5	27.44	5.82	65.26	13.42	19.82	16.39	24.63	62.56	29.7	47.17	18.84	17.13	59.13	38.95	38.12	88.88	20.86	60.82	69.52	24.11	17.25	22.92	18.29	23.42	26.28	22.92	33.78	0.0	0.71	12.74	17.25	6.46	1.51	5.19	0.0	15.11	10.63	6.31	16.51	7.69	0.77	1.22	4.66	3.5	0.0	3.44	2.27	0.0	0.49	0.0	5.06	4.58	4.43	0.54	3.2	14.56	14.35
TSEN2	94.67	281.09	209.84	236.21	297.17	248.0	166.73	305.55	218.79	204.07	236.21	316.37	198.47	177.53	339.14	275.28	239.52	336.79	327.56	346.29	187.71	289.02	343.89	384.34	406.31	303.44	256.78	518.15	178.77	287.01	173.85	441.64	176.29	199.85	236.21	269.6	348.71	327.56	379.04	379.04	217.27	563.18	244.57	279.14	246.28	260.38	373.81	229.72	195.72	389.72	351.14	232.94	660.68	229.72	426.57	67.12	102.97	177.53	96.01	118.43	97.36	176.29	72.01	135.24	202.66	169.07	102.97	135.24	142.01	141.02	185.11	99.43	177.53	127.89	195.72	146.03	0.0	0.16	139.07	201.25	120.1	124.37	191.67	183.82	109.66	205.5
TVP23C	191.67	111.21	164.42	90.77	223.41	141.02	149.12	185.11	193.01	131.51	119.26	127.89	54.72	67.59	159.9	198.47	59.97	255.0	246.28	145.02	172.65	157.68	148.09	253.23	262.2	151.22	102.25	175.07	183.82	142.01	105.89	194.36	124.37	182.55	137.14	209.84	199.85	119.26	182.55	176.29	106.63	241.19	130.6	234.57	205.5	173.85	156.59	215.77	113.56	104.42	152.28	110.43	176.29	136.19	226.54	109.66	128.79	50.63	72.01	63.45	102.97	142.01	84.04	158.79	85.22	89.51	110.43	201.25	111.99	100.13	125.24	167.9	87.03	128.79	165.57	84.63	0.0	0.41	50.98	111.21	111.99	96.68	62.12	122.64	100.13	54.33
UPF1	1044.52	860.08	1167.14	1037.29	967.76	947.83	1030.12	866.07	1233.75	954.43	981.29	1008.9	890.44	1044.52	1313.23	830.75	775.05	1208.34	1498.22	1477.58	743.43	1023.0	1088.92	1051.79	1709.26	1487.87	961.07	1369.04	954.43	848.22	872.1	1208.34	961.07	802.41	1023.0	974.5	1519.15	995.0	1467.37	1519.15	713.11	1340.84	836.53	1286.18	1407.55	842.36	1350.18	1378.57	872.1	1277.29	1242.34	1175.27	1378.57	669.92	1295.13	447.82	808.0	878.17	665.29	961.07	674.59	728.11	909.17	693.58	688.78	571.05	733.19	1081.39	483.38	764.36	616.37	190.34	500.46	791.35	909.17	896.64	0.0	0.97	301.33	591.22	381.68	854.13	819.3	563.18	629.35	599.49
VIL1	50.63	500.46	212.78	26.86	147.06	332.14	27.64	30.12	37.32	21.01	167.9	102.97	12.93	7.94	87.03	14.24	0.22	221.86	28.86	78.89	36.27	60.39	12.45	28.86	109.66	109.66	17.9	113.56	12.36	41.22	6.73	71.0	9.48	15.0	73.54	5.36	146.03	15.68	124.37	183.82	10.16	71.0	19.39	118.43	158.79	96.01	48.87	253.23	8.71	102.25	32.59	32.36	108.9	25.91	165.57	24.99	10.39	8.78	6.62	8.06	8.0	6.46	18.43	16.27	8.32	7.4	9.41	11.38	11.91	12.64	5.59	11.21	10.55	9.27	16.88	10.16	0.0	0.53	11.55	4.5	3.76	13.52	7.11	21.63	15.56	22.26
WBP2NL	23.76	14.35	3.96	0.0	6.31	4.82	4.43	10.39	12.27	4.98	7.63	8.78	4.74	3.59	17.9	6.16	9.7	61.68	10.55	20.71	4.46	15.91	9.56	21.01	40.36	27.05	12.74	27.05	10.16	9.93	9.78	27.44	8.78	19.39	35.76	17.13	23.42	27.44	28.86	17.64	1.46	32.13	12.36	37.32	9.63	22.59	41.52	14.35	12.64	38.4	9.34	4.1	25.17	11.64	34.75	0.0	0.0	0.0	3.99	6.11	3.26	6.62	2.84	0.0	4.74	3.44	5.11	5.68	2.66	4.21	7.51	4.94	1.28	3.89	4.58	1.2	0.0	0.28	0.0	9.78	0.0	0.85	5.28	3.5	1.33	1.16
XKR6	346.29	34.75	33.3	2.66	38.67	37.05	22.26	38.4	39.5	43.02	29.48	36.79	24.99	50.98	117.6	69.03	64.8	81.71	228.13	157.68	125.24	151.22	134.3	66.18	139.07	232.94	80.57	166.73	106.63	152.28	111.21	73.54	63.89	84.04	100.83	124.37	119.26	108.9	173.85	205.5	78.89	73.03	54.72	172.65	183.82	89.51	75.64	187.71	95.34	146.03	110.43	153.34	108.14	120.1	82.29	13.22	15.91	16.75	8.99	23.76	36.01	3.86	17.64	31.67	34.26	16.39	37.32	40.36	20.86	32.59	22.59	22.92	19.53	35.0	27.05	29.91	0.0	0.4	10.16	17.9	5.23	28.04	36.01	13.12	18.84	33.3
XKR8	102.97	86.43	94.01	64.34	76.71	61.68	87.03	77.79	94.01	96.68	107.38	69.03	53.95	100.13	133.36	157.68	127.89	74.06	156.59	189.02	127.89	165.57	125.24	125.24	133.36	141.02	110.43	118.43	137.14	111.99	117.6	158.79	182.55	115.97	169.07	140.04	129.69	156.59	180.02	177.53	128.79	102.25	102.25	158.79	236.21	102.97	162.14	107.38	113.56	142.01	120.94	126.12	142.01	115.16	125.24	84.04	117.6	108.14	80.01	129.69	204.07	75.11	49.56	56.68	72.52	83.45	119.26	138.1	71.5	80.57	111.21	94.01	63.45	77.25	109.66	95.34	0.0	0.23	72.01	129.69	43.63	59.97	102.25	51.35	64.8	41.22
YDJC	674.59	503.95	693.58	909.17	387.02	748.61	733.19	507.46	381.68	397.93	583.07	536.45	974.5	567.1	571.05	429.54	466.88	473.41	848.22	684.02	693.58	620.67	518.15	500.46	713.11	656.11	547.75	703.28	444.72	470.14	420.68	599.49	486.75	500.46	476.71	591.22	796.86	679.29	819.3	802.41	525.39	595.34	343.89	536.45	748.61	514.56	802.41	620.67	583.07	796.86	660.68	547.75	775.05	409.15	567.1	273.37	220.32	567.1	346.29	346.29	336.79	234.57	190.34	341.51	366.09	226.54	341.51	297.17	353.59	358.54	297.17	275.28	532.74	269.6	457.25	332.14	0.0	0.67	490.14	532.74	293.07	660.68	473.41	403.5	426.57	457.25
ZC3H3	285.03	435.55	571.05	633.73	476.71	638.15	674.59	551.56	595.34	503.95	638.15	450.94	624.99	412.0	400.71	271.48	447.82	463.65	444.72	395.18	312.0	381.68	332.14	353.59	457.25	381.68	406.31	389.72	366.09	301.33	305.55	346.29	341.51	381.68	438.59	373.81	497.0	490.14	529.06	432.53	358.54	361.04	264.03	339.14	490.14	283.05	447.82	457.25	366.09	426.57	368.65	551.56	395.18	241.19	343.89	175.07	285.03	366.09	339.14	346.29	299.25	463.65	679.29	171.45	279.14	283.05	356.05	323.03	264.03	293.07	301.33	142.01	289.02	295.11	314.17	351.14	507.46	995.0	226.54	392.44	287.01	463.65	291.04	299.25	303.44	339.14
ZNF121	718.08	435.55	409.15	583.07	728.11	466.88	287.01	426.57	521.76	343.89	473.41	583.07	447.82	389.72	642.59	435.55	262.2	830.75	713.11	629.35	289.02	356.05	435.55	457.25	748.61	769.69	521.76	743.43	612.11	483.38	400.71	403.5	406.31	444.72	559.28	395.18	583.07	444.72	599.49	599.49	438.59	616.37	507.46	518.15	551.56	432.53	567.1	521.76	406.31	713.11	656.11	642.59	660.68	616.37	624.99	116.78	262.2	277.2	103.69	242.88	191.67	279.14	226.54	358.54	476.71	264.03	234.57	244.57	221.86	258.57	241.19	126.12	271.48	348.71	275.28	217.27	642.59	2119.22	126.12	220.32	181.28	511.0	275.28	246.28	191.67	392.44
ZNF202	54.72	128.79	164.42	159.9	180.02	159.9	138.1	153.34	157.68	123.5	139.07	126.12	102.25	129.69	172.65	138.1	124.37	172.65	206.94	178.77	121.79	189.02	121.79	141.02	185.11	248.0	129.69	202.66	181.28	147.06	120.1	169.07	125.24	147.06	131.51	136.19	153.34	117.6	171.45	170.25	170.25	246.28	180.02	158.79	156.59	140.04	226.54	86.43	150.17	209.84	224.97	153.34	195.72	128.79	195.72	47.5	69.52	93.35	49.56	82.29	55.89	105.89	60.39	117.6	161.02	96.01	80.01	111.21	63.89	127.0	102.25	81.14	90.77	126.12	105.89	100.13	0.0	0.0	78.34	113.56	68.55	103.69	83.45	67.59	65.72	40.36
ZNF276	420.68	503.95	830.75	559.28	718.08	438.59	764.36	738.29	647.07	718.08	1030.12	583.07	693.58	884.29	1015.93	529.06	728.11	1208.34	1359.57	988.12	819.3	967.76	866.07	866.07	1277.29	1487.87	743.43	1350.18	995.0	866.07	529.06	954.43	599.49	647.07	1066.48	775.05	1111.82	796.86	1059.11	1242.34	825.0	1143.1	915.51	1104.13	1015.93	669.92	1233.75	1183.45	791.35	1111.82	928.3	961.07	981.29	698.41	1044.52	78.89	116.78	251.48	115.97	193.01	161.02	251.48	144.01	271.48	486.75	165.57	248.0	351.14	289.02	363.56	339.14	157.68	198.47	381.68	341.51	269.6	0.0	1.0	82.87	223.41	450.94	444.72	251.48	297.17	194.36	241.19
ZNF317	256.78	420.68	417.77	470.14	490.14	525.39	490.14	363.56	389.72	356.05	400.71	575.03	400.71	441.64	466.88	332.14	329.84	567.1	432.53	493.56	392.44	432.53	379.04	454.09	616.37	547.75	409.15	629.35	470.14	341.51	301.33	447.82	351.14	457.25	400.71	363.56	579.04	507.46	579.04	587.13	389.72	559.28	329.84	470.14	473.41	460.44	728.11	358.54	454.09	532.74	490.14	454.09	612.11	463.65	460.44	242.88	314.17	366.09	366.09	441.64	307.69	332.14	384.34	318.57	412.0	343.89	423.61	409.15	341.51	368.65	314.17	218.79	271.48	406.31	420.68	271.48	0.0	0.59	303.44	493.56	256.78	291.04	395.18	432.53	441.64	470.14
ZNF506	190.34	163.28	131.51	31.9	133.36	106.63	94.01	108.14	157.68	133.36	117.6	136.19	75.11	201.25	182.55	124.37	82.29	318.57	155.5	154.42	143.01	195.72	127.0	156.59	234.57	295.11	102.25	159.9	285.03	105.15	114.36	212.78	157.68	85.82	237.86	82.87	181.28	147.06	152.28	275.28	76.71	327.56	164.42	220.32	189.02	193.01	432.53	199.85	305.55	139.07	131.51	135.24	180.02	170.25	165.57	19.97	127.89	7.11	90.14	130.6	25.91	30.34	10.55	109.66	142.01	74.58	138.1	92.05	102.97	215.77	115.16	171.45	76.71	223.41	112.77	135.24	0.0	0.53	19.82	52.45	191.67	32.36	43.02	53.19	49.91	53.95
ZNF513	339.14	587.13	490.14	341.51	460.44	718.08	532.74	414.87	454.09	417.77	616.37	476.71	387.02	463.65	579.04	361.04	444.72	551.56	674.59	629.35	409.15	497.0	476.71	540.19	825.0	583.07	329.84	629.35	599.49	426.57	395.18	723.08	460.44	473.41	473.41	450.94	759.08	656.11	624.99	660.68	599.49	555.41	417.77	679.29	733.19	476.71	656.11	647.07	575.03	460.44	529.06	547.75	624.99	507.46	599.49	129.69	163.28	242.88	183.82	253.23	248.0	175.07	92.7	236.21	358.54	287.01	361.04	289.02	414.87	316.37	198.47	223.41	325.29	348.71	309.83	312.0	0.0	0.88	195.72	447.82	368.65	318.57	381.68	470.14	423.61	334.46
ZNF692	555.41	1529.73	1191.69	860.08	1059.11	954.43	1674.06	1322.37	1427.22	1208.34	1551.09	785.88	718.08	1277.29	1259.69	1242.34	450.94	1277.29	2133.97	1757.34	733.19	1151.06	1015.93	1059.11	2133.97	2682.69	921.88	1594.73	1388.16	934.76	595.34	1561.89	981.29	688.78	1322.37	921.88	1844.76	974.5	1745.2	1674.06	819.3	1662.49	825.0	1709.26	1417.35	1059.11	1477.58	1674.06	825.0	1697.45	1119.56	1277.29	1844.76	967.76	1870.53	124.37	105.89	325.29	92.05	217.27	191.67	231.32	224.97	297.17	480.04	164.42	267.73	201.25	267.73	281.09	242.88	161.02	236.21	447.82	444.72	206.94	0.0	1.11	84.63	195.72	202.66	327.56	305.55	150.17	169.07	139.07
