	TCGA.EJ.7331.01A.11R.2118.07	TCGA.KC.A4BN.01A.61R.A250.07	TCGA.XK.AAK1.01A.11R.A41O.07	TCGA.G9.7522.01A.11R.2263.07	TCGA.KK.A7AV.01A.11R.A32O.07	TCGA.VN.A943.01A.11R.A41O.07	TCGA.EJ.A7NK.01A.12R.A352.07	TCGA.G9.6351.01A.21R.1965.07	TCGA.J4.A67T.01A.11R.A311.07	TCGA.EJ.5516.01A.01R.1580.07	TCGA.VP.A879.01A.11R.A352.07	TCGA.EJ.AB27.01A.11R.A41O.07	TCGA.G9.6333.01A.12R.1965.07	TCGA.V1.A8X3.01A.11R.A37L.07	TCGA.HC.7749.01A.11R.2118.07	TCGA.V1.A8ML.01A.11R.A37L.07	TCGA.EJ.7317.01A.31R.2118.07	TCGA.HC.8260.01A.11R.2263.07	TCGA.YL.A8SR.01B.11R.A37L.07	TCGA.VP.A87B.01A.11R.A352.07	TCGA.HC.7075.01A.11R.1965.07	TCGA.V1.A8MU.01A.11R.A37L.07	TCGA.G9.6367.01A.11R.1789.07	TCGA.J9.A8CN.01A.11R.A352.07	TCGA.G9.6371.01A.11R.1789.07	TCGA.KK.A8IJ.01A.11R.A352.07	TCGA.2A.AAYF.01A.11R.A41O.07	TCGA.EJ.A65G.01A.21R.A29R.07	TCGA.EJ.5510.01A.01R.1580.07	TCGA.CH.5744.01A.11R.1580.07	TCGA.HC.8256.01A.11R.2263.07	TCGA.CH.5767.01A.11R.1789.07	TCGA.EJ.5517.01A.01R.1580.07	TCGA.EJ.5505.01A.01R.1580.07	TCGA.VN.A88O.01A.11R.A352.07	TCGA.V1.A8MG.01A.11R.A36G.07	TCGA.YL.A8SQ.01B.11R.A37L.07	TCGA.M7.A724.01A.12R.A32O.07	TCGA.EJ.7318.01B.11R.A32O.07	TCGA.G9.6336.01A.11R.1789.07	TCGA.EJ.A7NJ.01A.22R.A352.07	TCGA.EJ.7312.01B.21R.A32O.07	TCGA.EJ.A65J.01A.11R.A311.07	TCGA.XK.AAJR.01A.11R.A41O.07	TCGA.J9.A8CP.01A.11R.A352.07	TCGA.QU.A6IP.01A.11R.A31N.07	TCGA.G9.7509.01A.11R.A41O.07	TCGA.V1.A8WL.01A.11R.A37L.07	TCGA.KK.A7B3.01A.11R.A33R.07	TCGA.EJ.7123.01A.11R.1965.07	TCGA.HC.7210.01A.11R.2118.07	TCGA.EJ.5532.01A.01R.1580.07	TCGA.EJ.7793.01A.31R.2263.07	TCGA.EJ.7218.01B.11R.A32O.07	TCGA.J4.A83M.01A.11R.A352.07	TCGA.HC.7211.01A.11R.2118.07	TCGA.J4.AAU2.01A.11R.A41O.07	TCGA.XA.A8JR.01A.11R.A36G.07	TCGA.FC.A5OB.01A.11R.A29R.07	TCGA.EJ.5542.01A.01R.1580.07	TCGA.EJ.5515.01A.01R.1580.07	TCGA.Y6.A9XI.01A.11R.A41O.07	TCGA.XJ.A83G.01A.11R.A352.07	TCGA.HC.8259.01A.11R.2263.07	TCGA.EJ.5497.01A.02R.1580.07	TCGA.G9.6332.01A.11R.1789.07	TCGA.EJ.7786.01A.11R.2118.07	TCGA.V1.A9OX.01A.11R.A41O.07	TCGA.G9.6494.01A.11R.1789.07	TCGA.VN.A88N.01A.11R.A36G.07	TCGA.HC.7078.01A.11R.2118.07	TCGA.G9.6377.01A.11R.1965.07	TCGA.KK.A7AU.01A.11R.A32O.07	TCGA.CH.5737.01A.11R.1580.07	TCGA.G9.7519.01A.11R.2263.07	TCGA.FC.A8O0.01A.41R.A37L.07	TCGA.2A.A8VO.01A.11R.A37L.07	TCGA.XK.AAJA.01A.11R.A41O.07	TCGA.EJ.A7NH.01A.12R.A33R.07	TCGA.J4.A83N.01A.11R.A352.07	TCGA.EJ.A7NF.01A.11R.A33R.07	TCGA.EJ.7327.11A.01R.2118.07	TCGA.HC.8260.11A.01R.2263.07	TCGA.G9.6351.11A.01R.1965.07	TCGA.EJ.7317.11A.01R.2118.07	TCGA.HC.8259.11A.01R.2263.07	TCGA.G9.6342.11A.02R.1965.07	TCGA.EJ.7331.11A.01R.2118.07	GTEX.ZT9W.1626.SM.4YCDQ	GTEX.ZVP2.0826.SM.59HJ6	GTEX.14E6E.1126.SM.5S2R4
RHOT2	1295.13	2255.7	2148.82	1551.09	3168.41	1857.6	3103.19	1697.45	2537.92	1001.93	1977.24	1832.01	1819.35	1991.0	1674.06	2520.38	1529.73	2976.74	2090.03	3146.52	2119.22	2796.65	1498.22	2303.12	1437.15	2075.59	1963.57	2502.97	1594.73	2384.37	2303.12	1407.55	902.89	1268.46	2520.38	3212.66	2875.3	3395.89	2502.97	1745.2	2224.63	2627.46	1508.65	2163.77	1844.76	3168.41	1733.13	2434.5	3639.7	1388.16	1191.69	1832.01	1733.13	1991.0	2956.17	1769.57	2271.4	3901.01	1322.37	974.5	1159.07	2739.08	2537.92	2271.4	1277.29	1651.0	1674.06	2434.5	1540.37	2682.69	3018.3	1651.0	2956.17	1583.71	1617.0	2935.74	2591.27	3303.0	3540.14	2240.11	2351.53	1745.2	2573.36	1551.09	1378.57	1844.76	1268.46	1350.18	1066.48	872.1	769.69
RP11-5A19.5	45.53	265.87	228.13	29.06	293.07	432.53	366.09	75.11	275.28	4.06	363.56	115.16	148.09	120.94	72.52	303.44	92.05	366.09	100.83	961.07	209.84	447.82	42.41	376.41	20.56	141.02	265.87	563.18	45.85	158.79	141.02	139.07	51.71	55.1	599.49	438.59	503.95	366.09	49.56	59.97	368.65	98.04	91.41	164.42	111.99	336.79	189.02	361.04	802.41	105.15	46.5	42.71	37.85	187.71	543.96	85.82	483.38	432.53	19.97	25.17	55.89	429.54	224.97	246.28	56.28	72.52	163.28	389.72	33.78	314.17	229.72	32.36	162.14	87.03	38.67	397.93	414.87	954.43	825.0	279.14	299.25	70.01	187.71	26.47	41.22	134.3	8.19	16.63	28.04	18.97	16.88
RP11-793H13.10	42.11	43.02	100.83	8.78	132.44	61.68	105.15	28.24	132.44	8.58	68.55	22.43	38.95	61.25	42.41	47.5	12.83	100.13	47.17	173.85	28.24	125.24	9.48	27.84	11.04	47.17	48.87	100.83	12.74	28.45	36.53	22.59	13.03	18.29	107.38	142.01	146.03	80.57	50.63	27.05	67.12	33.3	48.87	61.25	52.82	94.01	34.26	48.18	273.37	31.22	19.97	18.03	24.99	82.29	166.73	27.25	76.71	81.14	28.04	14.03	30.56	118.43	89.51	29.91	23.42	18.16	43.02	153.34	6.57	77.79	77.79	24.28	113.56	17.25	23.42	186.4	135.24	371.22	166.73	52.82	57.49	13.62	43.02	23.76	21.78	43.02	11.73	11.64	11.91	6.89	12.83
RP4-583P15.15	28.24	38.4	59.13	17.38	116.78	33.3	83.45	31.9	63.0	11.21	96.01	43.32	52.08	84.04	42.41	75.11	12.27	86.43	69.52	98.73	35.0	96.01	25.91	71.5	15.0	55.49	41.22	66.18	26.1	42.71	53.57	24.46	6.21	13.83	81.71	94.67	164.42	57.08	56.28	19.97	69.52	42.71	30.34	60.39	41.81	95.34	67.59	78.34	171.45	26.28	20.26	29.06	16.63	60.39	114.36	14.56	72.52	62.56	10.24	9.27	12.64	62.56	80.57	58.3	24.63	22.75	42.11	79.45	26.67	71.5	73.54	30.34	67.59	21.78	26.86	94.67	84.04	164.42	137.14	57.08	76.71	21.47	66.18	38.4	28.24	48.18	22.92	17.9	27.64	10.24	9.78
RP5-966M1.6	11.3	7.17	9.78	4.28	26.67	21.63	31.45	7.46	22.92	3.86	26.47	12.83	9.7	21.63	15.68	16.15	2.1	37.32	16.39	19.53	6.46	38.95	7.0	7.75	2.03	8.45	8.65	35.76	6.16	12.0	7.0	12.74	3.32	6.62	13.72	41.81	25.72	7.46	7.46	3.86	29.48	4.24	3.53	24.46	19.53	15.0	8.25	14.67	62.12	5.54	7.4	3.76	2.07	8.71	25.17	9.27	18.03	28.65	1.87	5.96	12.36	33.78	12.83	13.32	14.78	4.66	13.52	18.56	2.63	14.24	27.84	2.66	13.83	11.21	8.38	36.53	31.9	80.01	72.01	18.03	23.25	5.15	14.78	6.62	6.41	20.41	5.77	5.45	8.65	2.16	2.27
RTEL1-TNFRSF6B	33.54	47.84	41.22	26.67	92.05	60.82	117.6	33.78	75.64	7.94	130.6	55.89	59.55	72.01	32.59	90.77	27.84	120.1	90.14	87.03	31.45	125.24	24.46	57.89	22.1	67.59	51.71	94.67	27.05	51.35	60.82	37.85	9.2	22.1	94.01	121.79	101.54	69.03	49.21	34.75	104.42	80.57	39.22	82.29	82.87	122.64	49.91	95.34	139.07	33.3	40.93	38.67	26.28	75.64	113.56	33.54	68.07	75.11	24.99	8.19	19.25	129.69	100.83	68.07	29.06	32.82	48.18	118.43	30.78	102.97	97.36	27.44	133.36	36.53	21.63	109.66	87.65	135.24	156.59	62.56	74.06	23.76	85.82	38.67	36.53	46.5	18.03	26.86	15.0	13.93	17.13
SAFB2	1059.11	1594.73	1407.55	1259.69	2047.0	1322.37	2319.15	1757.34	1651.0	775.05	2367.9	1487.87	1583.71	1350.18	1143.1	1896.65	1233.75	1936.53	2004.85	2224.63	896.64	1896.65	1417.35	2335.28	995.0	1208.34	1427.22	1561.89	1295.13	1628.26	995.0	928.3	941.27	1081.39	2061.24	2434.5	1794.29	1417.35	1709.26	1487.87	1709.26	1225.22	1044.52	1008.9	1286.18	2047.0	1407.55	1721.16	2555.58	995.0	1059.11	1167.14	1561.89	1540.37	1883.54	1127.35	1709.26	1617.0	808.0	1051.79	1159.07	1651.0	1896.65	1674.06	1096.5	1127.35	1242.34	2367.9	1183.45	1561.89	1508.65	1963.57	1844.76	1233.75	1477.58	2047.0	1794.29	2591.27	2417.67	1806.78	1963.57	915.51	1757.34	1963.57	1096.5	1277.29	1135.2	941.27	1167.14	974.5	665.29
SAPCD1	27.05	76.71	265.87	26.28	178.77	98.73	255.0	38.4	141.02	48.18	155.5	61.68	52.45	105.89	59.13	144.01	27.05	204.07	97.36	248.0	72.01	260.38	32.36	81.14	27.25	66.65	84.04	244.57	27.84	48.52	74.06	87.03	36.27	30.56	134.3	381.68	301.33	246.28	86.43	41.52	134.3	116.78	67.12	122.64	99.43	224.97	45.53	206.94	536.45	41.22	33.3	33.3	18.29	140.04	248.0	28.04	108.14	159.9	39.5	6.94	31.67	329.84	170.25	148.09	35.76	48.52	54.33	366.09	6.46	172.65	180.02	14.35	103.69	30.34	63.0	158.79	285.03	518.15	366.09	125.24	226.54	43.32	80.57	30.78	26.28	95.34	28.24	11.73	30.78	24.81	2.53
SCNN1D	33.54	106.63	88.26	15.68	173.85	151.22	158.79	51.35	135.24	12.64	127.0	70.51	63.89	96.68	38.4	122.64	22.92	141.02	147.06	161.02	47.84	194.36	29.91	161.02	19.82	59.55	71.5	202.66	13.03	60.82	47.5	19.53	6.06	16.63	178.77	334.46	182.55	234.57	88.26	17.9	84.04	120.1	50.98	111.21	128.79	148.09	55.49	144.01	136.19	33.78	23.08	22.1	52.45	71.0	117.6	36.53	117.6	116.78	28.04	8.92	19.68	312.0	195.72	62.12	25.17	32.36	43.94	255.0	18.16	226.54	256.78	43.02	228.13	23.76	19.82	214.27	195.72	161.02	265.87	105.89	167.9	27.64	96.01	29.91	17.38	100.13	15.11	17.9	8.19	18.29	8.13
SEC31B	80.01	102.25	88.26	25.91	341.51	136.19	255.0	54.33	130.6	17.77	185.11	86.43	55.89	212.78	69.03	129.69	27.05	291.04	157.68	171.45	79.45	211.31	23.59	151.22	15.22	108.14	96.68	190.34	26.28	73.03	129.69	85.22	21.16	31.0	170.25	265.87	320.8	208.38	95.34	43.32	217.27	71.5	48.87	138.1	120.1	234.57	96.01	229.72	612.11	49.56	40.36	30.56	19.68	171.45	241.19	68.55	143.01	232.94	31.22	26.47	77.25	127.89	110.43	153.34	90.14	53.95	73.03	236.21	23.93	115.97	202.66	21.32	223.41	19.39	42.41	351.14	220.32	507.46	279.14	170.25	167.9	27.05	120.1	40.36	40.64	162.14	18.29	49.21	32.13	17.64	13.83
SH2B1	723.08	1037.29	1104.13	780.44	1388.16	1008.9	1467.37	961.07	1051.79	503.95	1457.23	1096.5	1096.5	1059.11	780.44	1250.98	878.17	1340.84	1001.93	1199.98	902.89	1519.15	961.07	1143.1	748.61	854.13	941.27	1015.93	748.61	1037.29	1015.93	688.78	571.05	633.73	1088.92	1487.87	1199.98	1268.46	1175.27	830.75	1199.98	1175.27	748.61	1073.91	1059.11	1359.57	1143.1	1350.18	1685.71	759.08	728.11	780.44	802.41	1015.93	1151.06	848.22	1111.82	1242.34	521.76	571.05	629.35	1519.15	1119.56	1304.15	679.29	1001.93	866.07	1487.87	819.3	1175.27	1508.65	547.75	1397.83	748.61	890.44	1977.24	1216.75	1721.16	1583.71	1233.75	1199.98	802.41	1487.87	909.17	769.69	1225.22	723.08	748.61	651.58	633.73	555.41
SH3GLB2	1745.2	3349.13	2701.35	1551.09	4450.27	3235.01	4802.93	1909.85	3124.78	1111.82	3665.02	2537.92	2555.58	3467.27	2090.03	3349.13	1977.24	4038.61	3060.45	4972.34	2997.45	4152.18	2018.8	2997.45	2193.99	2367.9	2855.44	3419.52	2090.03	2537.92	2935.74	2075.59	1594.73	1883.54	4972.34	5329.3	4038.61	4450.27	3018.3	2664.15	4328.55	2627.46	2627.46	3419.52	3589.58	3794.3	2468.49	4066.71	6250.56	1709.26	1617.0	1819.35	1923.14	3955.48	4388.98	2061.24	2976.74	4066.71	1467.37	1529.73	1674.06	4328.55	3443.31	3665.02	1498.22	2133.97	2193.99	3690.52	2319.15	4802.93	3589.58	2148.82	6516.03	1794.29	2061.24	3768.09	4095.0	9088.59	4575.41	3303.0	3982.99	1572.76	3081.75	1936.53	1721.16	2816.11	2148.82	1709.26	1674.06	1794.29	1175.27
SIRT7	269.6	351.14	358.54	256.78	587.13	293.07	571.05	368.65	371.22	183.82	376.41	438.59	353.59	381.68	273.37	414.87	346.29	466.88	316.37	559.28	320.8	466.88	287.01	414.87	287.01	376.41	379.04	536.45	332.14	332.14	346.29	258.57	231.32	291.04	426.57	473.41	429.54	500.46	529.06	353.59	435.55	438.59	429.54	381.68	361.04	567.1	351.14	486.75	583.07	299.25	214.27	305.55	289.02	447.82	629.35	275.28	483.38	476.71	283.05	206.94	265.87	470.14	547.75	368.65	249.73	303.44	297.17	518.15	303.44	503.95	366.09	323.03	358.54	303.44	329.84	466.88	470.14	769.69	567.1	441.64	521.76	318.57	343.89	314.17	293.07	403.5	368.65	253.23	228.13	212.78	204.07
SLC23A3	22.75	22.92	39.22	4.82	87.03	31.0	50.98	13.93	46.18	8.51	31.9	25.35	22.26	35.25	29.48	38.12	8.0	57.08	24.46	55.1	30.12	52.08	4.58	21.78	7.57	25.72	29.06	29.27	15.91	14.35	23.59	19.25	3.89	9.48	35.76	78.89	64.34	42.41	19.25	10.79	40.93	9.2	20.41	38.4	39.79	45.85	17.77	31.22	142.01	9.48	13.83	9.93	13.12	24.11	70.01	10.39	24.11	63.89	8.19	6.52	8.51	66.65	40.64	18.29	12.64	17.64	24.46	71.5	3.17	34.02	53.95	11.91	36.01	15.8	11.21	46.18	75.64	221.86	74.58	27.05	42.71	9.78	22.75	8.25	9.63	22.75	11.55	2.53	7.75	3.08	7.22
SLC7A9	6.52	14.35	5.41	4.28	26.47	14.56	33.78	5.59	6.52	0.93	12.45	10.88	9.06	8.25	20.71	12.93	2.46	31.9	91.41	18.56	7.63	19.53	7.22	6.89	4.74	7.88	6.16	5.82	3.44	3.82	12.27	8.19	1.46	0.92	15.0	40.36	8.71	31.67	7.0	3.92	29.27	4.24	8.51	16.63	3.35	21.47	4.86	10.16	60.39	6.84	6.57	4.31	2.46	12.0	17.77	3.79	11.91	15.22	3.35	2.84	4.94	27.25	22.92	4.21	2.97	4.1	3.96	23.25	2.89	22.1	7.06	1.43	16.75	5.92	2.41	33.06	17.77	45.53	38.95	13.22	12.18	5.54	21.16	7.0	3.82	8.32	3.76	4.9	13.72	2.25	7.57
SUGP2	769.69	1286.18	1417.35	796.86	1674.06	1151.06	1844.76	884.29	1572.76	713.11	1369.04	1081.39	995.0	1191.69	796.86	1350.18	884.29	1617.0	1594.73	1417.35	1044.52	1605.83	921.88	1350.18	642.59	1369.04	1199.98	1477.58	607.87	961.07	1259.69	854.13	693.58	785.88	1757.34	1697.45	1457.23	2004.85	1167.14	830.75	1572.76	947.83	854.13	1313.23	947.83	1662.49	1208.34	1519.15	2209.26	688.78	1277.29	866.07	764.36	1259.69	1350.18	1044.52	1304.15	1561.89	941.27	698.41	796.86	1447.15	1277.29	1322.37	796.86	1183.45	921.88	2032.85	842.36	1572.76	1359.57	961.07	2032.85	819.3	884.29	1936.53	1757.34	2061.24	1639.59	1322.37	1674.06	830.75	1529.73	909.17	921.88	1397.83	854.13	728.11	764.36	551.56	521.76
SULT1A3	50.98	208.38	185.11	101.54	260.38	239.52	555.41	161.02	307.69	50.98	277.2	107.38	273.37	339.14	177.53	265.87	26.86	403.5	143.01	353.59	62.56	236.21	137.14	334.46	120.94	148.09	162.14	275.28	55.1	101.54	264.03	138.1	52.08	95.34	59.97	429.54	529.06	273.37	423.61	67.59	155.5	224.97	105.15	163.28	199.85	412.0	177.53	224.97	684.02	172.65	12.74	104.42	104.42	228.13	403.5	62.56	125.24	450.94	69.52	94.67	77.79	356.05	441.64	172.65	46.84	144.01	90.14	540.19	115.97	447.82	167.9	57.08	426.57	129.69	265.87	525.39	264.03	743.43	483.38	253.23	256.78	25.35	172.65	249.73	112.77	239.52	116.78	77.79	73.54	37.85	81.14
SUV420H2	114.36	172.65	237.86	127.89	244.57	273.37	301.33	122.64	180.02	90.14	334.46	162.14	198.47	180.02	138.1	260.38	136.19	301.33	155.5	348.71	115.16	325.29	108.14	191.67	93.35	147.06	163.28	191.67	127.89	255.0	156.59	105.15	79.45	147.06	327.56	384.34	381.68	351.14	178.77	147.06	246.28	178.77	161.02	220.32	180.02	255.0	178.77	217.27	417.77	118.43	195.72	145.02	125.24	171.45	366.09	105.15	195.72	212.78	118.43	108.9	114.36	361.04	214.27	211.31	120.1	170.25	120.94	339.14	157.68	312.0	384.34	108.14	423.61	137.14	143.01	295.11	267.73	486.75	547.75	242.88	281.09	113.56	173.85	100.83	117.6	169.07	155.5	78.34	75.64	78.34	59.13
TAZ	269.6	293.07	460.44	199.85	660.68	297.17	559.28	307.69	395.18	164.42	555.41	363.56	309.83	353.59	346.29	384.34	180.02	567.1	555.41	567.1	291.04	583.07	249.73	381.68	183.82	325.29	325.29	457.25	163.28	281.09	285.03	205.5	183.82	224.97	438.59	607.87	791.35	490.14	361.04	301.33	384.34	334.46	242.88	409.15	447.82	638.15	312.0	540.19	642.59	234.57	236.21	248.0	206.94	381.68	518.15	251.48	423.61	579.04	208.38	171.45	180.02	536.45	490.14	361.04	214.27	277.2	353.59	785.88	234.57	599.49	521.76	275.28	536.45	229.72	314.17	583.07	567.1	836.53	759.08	490.14	521.76	248.0	406.31	307.69	202.66	466.88	277.2	218.79	180.02	180.02	176.29
TBC1D3F	109.66	126.12	303.44	100.13	473.41	185.11	301.33	178.77	314.17	50.98	406.31	186.4	173.85	194.36	45.21	150.17	55.89	409.15	177.53	387.02	100.83	351.14	63.45	190.34	80.01	177.53	212.78	318.57	100.13	258.57	183.82	165.57	44.25	124.37	275.28	444.72	438.59	460.44	162.14	84.63	381.68	273.37	111.99	255.0	111.99	483.38	220.32	273.37	642.59	88.88	98.04	86.43	106.63	218.79	463.65	109.66	299.25	221.86	78.34	85.82	142.01	395.18	143.01	131.51	134.3	187.71	151.22	441.64	52.08	299.25	223.41	70.51	392.44	80.57	58.71	283.05	454.09	884.29	514.56	358.54	409.15	77.25	332.14	164.42	132.44	148.09	63.45	34.75	105.15	26.67	63.0
TELO2	503.95	981.29	1096.5	521.76	1259.69	1066.48	1059.11	728.11	769.69	248.0	921.88	738.29	941.27	941.27	563.18	1167.14	642.59	1199.98	1073.91	1250.98	679.29	1561.89	547.75	1001.93	514.56	802.41	808.0	1044.52	438.59	941.27	896.64	412.0	323.03	395.18	1183.45	915.51	1447.15	2032.85	1199.98	616.37	1073.91	1111.82	769.69	947.83	872.1	1397.83	974.5	909.17	1991.0	599.49	460.44	529.06	514.56	1001.93	1378.57	595.34	1051.79	1051.79	480.04	334.46	325.29	1721.16	1551.09	1304.15	507.46	813.63	708.18	1487.87	507.46	1457.23	1936.53	764.36	1697.45	514.56	591.22	1167.14	1183.45	1662.49	1277.29	1407.55	1183.45	426.57	884.29	703.28	444.72	612.11	529.06	486.75	312.0	228.13	329.84
THBS3	303.44	363.56	417.77	223.41	629.35	387.02	723.08	248.0	536.45	241.19	507.46	361.04	318.57	490.14	417.77	444.72	283.05	733.19	500.46	563.18	303.44	748.61	232.94	536.45	206.94	334.46	358.54	532.74	269.6	493.56	273.37	307.69	194.36	255.0	483.38	1001.93	571.05	688.78	312.0	249.73	412.0	543.96	361.04	341.51	514.56	543.96	381.68	532.74	1119.56	309.83	353.59	231.32	244.57	486.75	603.67	316.37	438.59	432.53	206.94	220.32	241.19	507.46	660.68	426.57	218.79	361.04	309.83	1151.06	241.19	507.46	830.75	232.94	780.44	208.38	253.23	743.43	728.11	902.89	723.08	397.93	656.11	195.72	441.64	228.13	202.66	575.03	195.72	262.2	115.97	136.19	206.94
TIGD1	42.11	50.63	71.0	41.22	81.71	65.72	82.29	42.71	65.26	64.34	84.04	61.68	60.39	55.1	50.27	72.01	37.32	86.43	43.63	86.43	48.52	80.57	51.71	46.18	31.0	48.52	52.82	88.88	38.12	46.5	72.01	35.5	40.07	43.32	70.51	144.01	154.42	104.42	41.52	36.53	62.12	57.49	62.12	55.49	36.27	91.41	82.29	74.58	182.55	35.5	39.5	29.7	45.21	73.54	79.45	30.34	92.7	90.77	12.18	53.95	59.13	103.69	52.82	84.63	41.22	40.36	59.97	106.63	29.06	67.12	82.29	29.48	129.69	43.94	55.49	125.24	95.34	154.42	167.9	81.14	60.82	53.57	80.57	52.45	49.21	98.73	35.76	39.22	35.25	28.65	22.92
TMEM234	258.57	400.71	473.41	305.55	497.0	389.72	493.56	351.14	500.46	198.47	379.04	371.22	400.71	363.56	237.86	420.68	325.29	507.46	540.19	470.14	312.0	555.41	351.14	420.68	260.38	356.05	432.53	525.39	260.38	341.51	387.02	373.81	214.27	236.21	543.96	616.37	406.31	575.03	457.25	334.46	435.55	476.71	432.53	507.46	532.74	483.38	351.14	450.94	624.99	237.86	273.37	275.28	258.57	387.02	486.75	309.83	414.87	532.74	299.25	206.94	255.0	571.05	493.56	429.54	258.57	285.03	312.0	555.41	271.48	563.18	371.22	414.87	547.75	314.17	314.17	466.88	503.95	647.07	529.06	432.53	406.31	318.57	400.71	348.71	285.03	412.0	303.44	293.07	255.0	248.0	202.66
TMEM259	2119.22	3103.19	3847.29	2555.58	4388.98	3124.78	4123.49	3491.39	3419.52	1745.2	3901.01	2895.31	3847.29	3081.75	2384.37	4328.55	3349.13	4010.71	3039.3	4802.93	2875.3	4239.45	3419.52	3928.15	2645.74	3443.31	3303.0	3847.29	2555.58	3039.3	2935.74	2915.45	1832.01	2004.85	3639.7	4575.41	3742.05	3303.0	4450.27	3081.75	3794.3	2956.17	2319.15	3419.52	3820.7	3847.29	3018.3	3419.52	4937.99	2701.35	2240.11	2855.44	2591.27	3372.43	3589.58	2573.36	3639.7	3901.01	2004.85	1508.65	1896.65	3564.78	4802.93	2701.35	1883.54	2591.27	2502.97	4123.49	2855.44	3665.02	3325.99	3060.45	3928.15	2591.27	2609.3	3982.99	3349.13	5517.27	5292.48	3325.99	3103.19	2434.5	4010.71	3349.13	2537.92	2935.74	3039.3	2133.97	1977.24	1447.15	1529.73
TNK2	941.27	1745.2	909.17	860.08	1721.16	1950.0	1857.6	866.07	1427.22	387.02	1769.57	1119.56	1605.83	1963.57	1081.39	1331.57	848.22	1697.45	1350.18	2520.38	1073.91	2351.53	819.3	1447.15	1151.06	2255.7	909.17	1350.18	1199.98	1551.09	1540.37	1111.82	733.19	848.22	2240.11	2119.22	1191.69	2287.2	1605.83	1001.93	1806.78	1709.26	2319.15	884.29	1175.27	2032.85	1331.57	1594.73	3467.27	769.69	915.51	1104.13	808.0	1572.76	1923.14	848.22	1030.12	1572.76	679.29	674.59	669.92	2645.74	1819.35	1674.06	571.05	684.02	954.43	1883.54	995.0	1963.57	1781.89	1159.07	2609.3	1059.11	1167.14	1745.2	1487.87	2895.31	2627.46	2319.15	1572.76	571.05	1407.55	934.76	718.08	1242.34	629.35	642.59	514.56	291.04	339.14
TRMT1	406.31	669.92	665.29	332.14	808.0	591.22	909.17	476.71	878.17	351.14	764.36	651.58	497.0	718.08	684.02	775.05	503.95	915.51	651.58	1242.34	529.06	860.08	400.71	688.78	435.55	483.38	587.13	866.07	438.59	518.15	651.58	406.31	356.05	536.45	723.08	1322.37	1001.93	1059.11	753.83	454.09	555.41	629.35	493.56	743.43	674.59	1030.12	540.19	674.59	1044.52	587.13	332.14	575.03	400.71	813.63	921.88	417.77	698.41	769.69	450.94	438.59	332.14	802.41	890.44	665.29	503.95	532.74	486.75	961.07	432.53	633.73	902.89	536.45	748.61	384.34	387.02	878.17	860.08	981.29	1073.91	848.22	967.76	356.05	693.58	454.09	332.14	507.46	412.0	387.02	312.0	351.14	406.31
TTLL3	256.78	486.75	490.14	212.78	1044.52	406.31	1268.46	149.12	507.46	177.53	872.1	343.89	389.72	603.67	287.01	507.46	199.85	1135.2	438.59	1268.46	214.27	1015.93	198.47	414.87	108.9	400.71	234.57	511.0	189.02	325.29	303.44	256.78	136.19	159.9	708.18	1286.18	679.29	769.69	283.05	159.9	981.29	351.14	215.77	486.75	563.18	612.11	379.04	743.43	1508.65	197.09	267.73	197.09	132.44	397.93	529.06	269.6	412.0	703.28	206.94	175.07	256.78	728.11	444.72	343.89	229.72	178.77	244.57	921.88	208.38	698.41	1015.93	96.01	660.68	204.07	214.27	974.5	551.56	1340.84	1216.75	460.44	647.07	195.72	708.18	314.17	253.23	775.05	215.77	255.0	186.4	134.3	146.03
TUBGCP6	395.18	796.86	669.92	371.22	1051.79	698.41	988.12	473.41	813.63	291.04	921.88	587.13	587.13	665.29	412.0	669.92	503.95	1081.39	748.61	1151.06	547.75	1015.93	426.57	780.44	283.05	647.07	571.05	860.08	339.14	595.34	607.87	500.46	246.28	395.18	830.75	1111.82	830.75	629.35	571.05	417.77	808.0	703.28	473.41	703.28	591.22	1008.9	587.13	866.07	974.5	438.59	466.88	406.31	406.31	688.78	947.83	379.04	802.41	785.88	255.0	260.38	379.04	791.35	775.05	638.15	457.25	493.56	543.96	1159.07	426.57	723.08	1059.11	316.37	967.76	403.5	341.51	1208.34	819.3	1199.98	1304.15	759.08	791.35	361.04	808.0	450.94	463.65	759.08	379.04	371.22	329.84	232.94	253.23
TYK2	1111.82	1769.57	2148.82	1304.15	2664.15	1437.15	2351.53	1437.15	2271.4	866.07	2018.8	1417.35	1896.65	1594.73	1651.0	1674.06	1417.35	2627.46	1806.78	2502.97	1594.73	2351.53	1143.1	1923.14	1487.87	1407.55	1709.26	2075.59	1183.45	1628.26	1806.78	1331.57	1015.93	1225.22	2255.7	2520.38	2119.22	2193.99	2032.85	1583.71	1733.13	1437.15	1167.14	1857.6	1561.89	2627.46	1388.16	2047.0	3060.45	1340.84	1250.98	1135.2	1225.22	1605.83	2468.49	1427.22	2061.24	2240.11	1135.2	1051.79	1167.14	2417.67	1950.0	1936.53	1250.98	1709.26	1447.15	3168.41	1159.07	1936.53	2627.46	1572.76	2178.83	1331.57	1437.15	2335.28	2645.74	3235.01	2895.31	2075.59	2032.85	1023.0	1806.78	1397.83	1023.0	1794.29	1369.04	1030.12	915.51	733.19	703.28
