	TCGA.W5.AA2U.11A.11R.A41I.07	TCGA.G3.A5SM.01A.12R.A28V.07	TCGA.DD.A1EG.01A.11R.A213.07	TCGA.EP.A3JL.01A.11R.A213.07	TCGA.KR.A7K0.01A.12R.A33R.07	TCGA.CC.5262.01A.01R.A131.07	TCGA.K7.A6G5.01A.11R.A311.07	TCGA.CC.A7IL.01A.11R.A33R.07	TCGA.DD.A3A5.01A.11R.A22L.07	TCGA.DD.AADK.01A.11R.A41C.07	TCGA.MI.A75E.01A.11R.A32O.07	TCGA.DD.A39Z.11A.21R.A213.07	TCGA.G3.A3CH.11A.11R.A22L.07	TCGA.DD.A3A2.11A.11R.A213.07	TCGA.FV.A3R2.11A.11R.A22L.07	TCGA.DD.A116.11A.12R.A26B.07	TCGA.DD.A3A8.11A.11R.A22L.07	TCGA.EP.A3RK.11A.11R.A22L.07	TCGA.DD.A1EH.11A.11R.A131.07	TCGA.FV.A3I1.11A.11R.A22L.07	GTEX.XBEC.1526.SM.4AT68	GTEX.RN64.1826.SM.48FDV	GTEX.139TT.0726.SM.5K7XW	GTEX.14ABY.1126.SM.5Q5F8	GTEX.13O3O.0726.SM.5J1N7	GTEX.O5YW.0526.SM.2YUMX	GTEX.Y5V5.0826.SM.4VBQD	GTEX.11EQ9.0226.SM.5A5JX	GTEX.T5JC.0826.SM.32PMC	GTEX.PVOW.1026.SM.2XCF9	GTEX.YFCO.0426.SM.4W1Z7	GTEX.11NSD.0326.SM.5A5LS	GTEX.YFC4.1126.SM.5RQJN	GTEX.XBEC.1026.SM.4QASM	GTEX.OOBJ.0526.SM.48TDK	GTEX.11P7K.0326.SM.59871	GTEX.OXRN.0526.SM.2I5EN	GTEX.147F4.0926.SM.5Q5EO	GTEX.P4QT.0526.SM.2I3EX	GTEX.WZTO.0426.SM.3NM99	GTEX.X585.1026.SM.46MW6	GTEX.11PRG.0926.SM.5EGI8	GTEX.11WQC.0626.SM.5EQMF	GTEX.13O61.0726.SM.5J2MD	GTEX.TML8.0326.SM.4GICN	GTEX.P4PQ.0526.SM.2HMKR	GTEX.11EI6.0826.SM.5985V	GTEX.14E7W.1326.SM.5RQIV	GTEX.RWSA.1126.SM.2XCAZ	GTEX.131YS.0926.SM.5IJB9	GTEX.117YX.1326.SM.5H125	GTEX.12ZZY.0926.SM.5EQ6I	GTEX.13FTY.0126.SM.5J2NZ	GTEX.ZZPT.1326.SM.5E43H	GTEX.11NV4.1126.SM.5HL6J	GTEX.13FHP.0726.SM.5K7YI	GTEX.WYJK.0826.SM.3NM8Y	GTEX.13O21.3026.SM.5J2NI	GTEX.1122O.0126.SM.5GICA	GTEX.13QJ3.1026.SM.5QGQU	GTEX.13VXT.1426.SM.5LU4B	GTEX.13N1W.0726.SM.5MR57	GTEX.T6MN.0826.SM.32PM4	GTEX.WRHU.0226.SM.3MJFV	GTEX.ZE7O.0826.SM.57WCP	GTEX.13VXU.2726.SM.5LU4N	GTEX.ZTPG.0926.SM.5O99H	GTEX.ZDTT.0926.SM.5J2MS	GTEX.11NUK.0826.SM.5HL4U	GTEX.13OW6.0826.SM.5L3GA	GTEX.N7MS.0926.SM.2HMIZ	GTEX.ZVZQ.1526.SM.5N9G6	GTEX.11O72.1326.SM.5BC5A	GTEX.14DAR.0226.SM.5S2PR	GTEX.ZYT6.0526.SM.5GIEA	GTEX.Q2AG.1026.SM.33HBW	GTEX.139UW.0226.SM.5K7WU	GTEX.XQ8I.1126.SM.4BOO2	GTEX.ZC5H.0926.SM.5CVMZ	GTEX.VJYA.0326.SM.3GAEX	GTEX.QEG4.0526.SM.48TZD	GTEX.QCQG.0326.SM.2I3ES	GTEX.12WSA.1026.SM.5EGHN	GTEX.13G51.0426.SM.5K7Z5	GTEX.UJMC.0726.SM.3GADX	GTEX.13NYB.0626.SM.5MR47	GTEX.11OF3.1126.SM.5986C	GTEX.ZVT3.0926.SM.5GICK	GTEX.11ZTS.1226.SM.5EQMQ	GTEX.144GO.0226.SM.5LUB1	GTEX.OHPM.0526.SM.2YUMJ
PPP1R15B	769.69	559.28	493.56	432.53	748.61	414.87	361.04	450.94	271.48	497.0	384.34	529.06	441.64	353.59	438.59	366.09	318.57	470.14	651.58	473.41	441.64	540.19	1487.87	842.36	1769.57	808.0	669.92	679.29	825.0	896.64	559.28	728.11	2119.22	651.58	616.37	387.02	743.43	1757.34	466.88	896.64	967.76	836.53	1936.53	579.04	476.71	486.75	981.29	1295.13	921.88	616.37	642.59	708.18	1832.01	1313.23	1350.18	679.29	669.92	447.82	403.5	656.11	708.18	703.28	684.02	808.0	476.71	1909.85	703.28	547.75	551.56	836.53	1151.06	791.35	1359.57	409.15	599.49	1477.58	884.29	583.07	660.68	454.09	693.58	536.45	392.44	1119.56	575.03	743.43	1963.57	819.3	796.86	2148.82	575.03
PPP2CA	961.07	848.22	928.3	713.11	1369.04	1331.57	785.88	1498.22	785.88	1159.07	1191.69	819.3	854.13	890.44	902.89	713.11	638.15	854.13	866.07	753.83	764.36	521.76	4095.0	2047.0	3212.66	1819.35	2451.44	1662.49	1572.76	1551.09	2004.85	1806.78	3103.19	1540.37	1844.76	1794.29	2271.4	2796.65	1733.13	2119.22	1883.54	2303.12	2758.13	2178.83	1857.6	1359.57	2018.8	2555.58	2032.85	1388.16	2271.4	1594.73	2520.38	1617.0	3349.13	1963.57	1407.55	1259.69	1806.78	1769.57	1844.76	1963.57	1977.24	2224.63	1073.91	2178.83	2502.97	2018.8	1477.58	3515.68	2224.63	2133.97	2004.85	1857.6	1870.53	2303.12	2271.4	1407.55	2148.82	1572.76	1697.45	1870.53	1477.58	3349.13	1151.06	1662.49	5791.62	2645.74	2090.03	2133.97	3018.3
PPTC7	162.14	76.71	75.64	80.57	145.02	96.68	78.89	88.26	118.43	66.18	86.43	108.14	175.07	147.06	107.38	150.17	108.14	162.14	145.02	175.07	165.57	154.42	551.56	417.77	703.28	253.23	281.09	269.6	269.6	318.57	277.2	217.27	660.68	236.21	178.77	183.82	441.64	583.07	202.66	490.14	217.27	214.27	521.76	224.97	209.84	173.85	363.56	612.11	454.09	232.94	316.37	262.2	656.11	224.97	616.37	269.6	353.59	215.77	194.36	197.09	265.87	368.65	314.17	493.56	170.25	743.43	277.2	253.23	387.02	559.28	432.53	473.41	366.09	262.2	212.78	728.11	371.22	361.04	180.02	182.55	327.56	234.57	260.38	563.18	264.03	447.82	759.08	567.1	575.03	583.07	283.05
PRKCE	36.01	121.79	127.89	63.45	46.18	47.5	57.08	37.05	44.25	71.5	53.95	40.64	199.85	33.06	35.0	38.12	76.71	33.54	55.89	52.82	208.38	48.18	1378.57	616.37	1617.0	738.29	738.29	642.59	974.5	674.59	463.65	743.43	435.55	406.31	860.08	373.81	1073.91	2061.24	1044.52	647.07	674.59	507.46	1447.15	813.63	420.68	633.73	780.44	1977.24	974.5	934.76	909.17	521.76	423.61	579.04	1127.35	612.11	336.79	307.69	802.41	629.35	563.18	447.82	529.06	503.95	269.6	813.63	1277.29	743.43	351.14	854.13	607.87	356.05	872.1	555.41	387.02	595.34	616.37	473.41	753.83	316.37	1015.93	384.34	314.17	2018.8	669.92	669.92	2351.53	921.88	842.36	723.08	660.68
PSMD12	595.34	595.34	540.19	435.55	866.07	595.34	438.59	738.29	540.19	454.09	426.57	518.15	607.87	379.04	571.05	486.75	285.03	403.5	633.73	483.38	420.68	384.34	1008.9	753.83	1081.39	400.71	514.56	490.14	521.76	728.11	376.41	389.72	928.3	454.09	559.28	414.87	836.53	1350.18	511.0	616.37	395.18	409.15	791.35	423.61	476.71	387.02	476.71	967.76	842.36	483.38	417.77	441.64	660.68	536.45	1127.35	551.56	616.37	346.29	371.22	387.02	463.65	497.0	480.04	612.11	480.04	854.13	633.73	400.71	454.09	941.27	825.0	629.35	947.83	403.5	447.82	642.59	728.11	490.14	490.14	507.46	414.87	417.77	403.5	813.63	470.14	563.18	1111.82	679.29	651.58	1259.69	866.07
PTPN12	291.04	392.44	414.87	327.56	525.39	620.67	149.12	166.73	198.47	466.88	414.87	228.13	305.55	236.21	303.44	273.37	105.15	248.0	271.48	275.28	368.65	120.94	2701.35	2835.7	4010.71	1508.65	1674.06	1674.06	2520.38	2682.69	1477.58	1369.04	2609.3	1896.65	1529.73	1369.04	1733.13	4066.71	1233.75	2209.26	1977.24	1268.46	2224.63	1073.91	1259.69	1044.52	1991.0	2303.12	2777.33	2061.24	2417.67	1685.71	1936.53	1794.29	2255.7	1519.15	1674.06	1350.18	1340.84	1963.57	1216.75	1417.35	1794.29	2133.97	1447.15	4095.0	1757.34	1540.37	1175.27	2255.7	2303.12	2303.12	3614.55	1044.52	1457.23	2645.74	2335.28	1268.46	2148.82	1119.56	2178.83	915.51	1286.18	2367.9	1832.01	1733.13	5329.3	1950.0	2645.74	3794.3	2240.11
RAB21	466.88	447.82	336.79	320.8	395.18	511.0	312.0	187.71	237.86	397.93	366.09	361.04	438.59	303.44	325.29	305.55	287.01	389.72	414.87	441.64	255.0	265.87	2627.46	1242.34	2502.97	941.27	1081.39	1059.11	1225.22	1313.23	688.78	669.92	2956.17	796.86	796.86	559.28	1781.89	2451.44	759.08	1487.87	902.89	1151.06	2004.85	769.69	718.08	679.29	1199.98	1950.0	1628.26	915.51	981.29	947.83	1832.01	872.1	1639.59	808.0	1059.11	647.07	743.43	1044.52	753.83	1059.11	1135.2	909.17	665.29	2032.85	1388.16	713.11	995.0	1477.58	1617.0	1397.83	2047.0	728.11	769.69	1529.73	1529.73	884.29	1111.82	651.58	1135.2	819.3	665.29	2520.38	674.59	1081.39	2720.15	1437.15	1457.23	2047.0	1457.23
RAB3IP	211.31	281.09	273.37	279.14	172.65	236.21	133.36	217.27	647.07	214.27	214.27	134.3	140.04	103.69	258.57	287.01	118.43	133.36	191.67	121.79	183.82	81.71	329.84	470.14	507.46	616.37	316.37	743.43	432.53	490.14	441.64	444.72	753.83	511.0	182.55	336.79	540.19	981.29	353.59	703.28	283.05	78.34	314.17	500.46	305.55	511.0	303.44	629.35	733.19	351.14	500.46	318.57	679.29	334.46	836.53	358.54	291.04	348.71	232.94	208.38	429.54	303.44	307.69	947.83	638.15	759.08	633.73	351.14	384.34	490.14	764.36	500.46	718.08	299.25	429.54	616.37	444.72	866.07	591.22	629.35	241.19	351.14	384.34	379.04	423.61	376.41	547.75	500.46	341.51	974.5	214.27
RAB5A	514.56	473.41	579.04	305.55	511.0	503.95	389.72	414.87	291.04	466.88	356.05	423.61	620.67	348.71	384.34	423.61	395.18	403.5	567.1	466.88	476.71	339.14	2032.85	1388.16	2018.8	819.3	1015.93	1008.9	915.51	1896.65	769.69	759.08	1745.2	1008.9	866.07	775.05	981.29	2664.15	693.58	1208.34	890.44	819.3	1936.53	848.22	796.86	612.11	915.51	1583.71	1304.15	1159.07	1268.46	1037.29	1250.98	854.13	1427.22	1191.69	791.35	713.11	813.63	988.12	878.17	928.3	915.51	1322.37	842.36	1794.29	988.12	890.44	802.41	1388.16	1397.83	1277.29	1594.73	764.36	848.22	1709.26	1378.57	651.58	890.44	1104.13	753.83	819.3	748.61	1721.16	813.63	1304.15	2400.97	1066.48	1167.14	1844.76	1104.13
RALGDS	204.07	332.14	348.71	265.87	246.28	185.11	206.94	158.79	135.24	275.28	341.51	70.51	120.94	145.02	232.94	155.5	109.66	144.01	123.5	113.56	264.03	173.85	2935.74	1369.04	4298.64	947.83	1151.06	624.99	1540.37	854.13	836.53	1066.48	5329.3	1685.71	954.43	909.17	1073.91	3847.29	915.51	1639.59	947.83	1304.15	3103.19	785.88	1191.69	802.41	2075.59	3955.48	2609.3	947.83	854.13	1540.37	2956.17	775.05	4639.29	2104.58	1407.55	878.17	651.58	1143.1	1119.56	1936.53	2739.08	1340.84	1388.16	4298.64	941.27	753.83	1745.2	2956.17	2796.65	1844.76	1870.53	1159.07	1487.87	2018.8	2061.24	2537.92	884.29	769.69	1594.73	1073.91	1001.93	3372.43	1175.27	1819.35	2148.82	2537.92	1617.0	2434.5	1183.45
RBM7	497.0	251.48	258.57	140.04	255.0	275.28	189.02	157.68	262.2	141.02	226.54	236.21	339.14	392.44	327.56	417.77	212.78	406.31	305.55	466.88	186.4	269.6	921.88	559.28	1073.91	660.68	738.29	555.41	460.44	785.88	511.0	473.41	1030.12	532.74	511.0	480.04	902.89	1096.5	339.14	651.58	595.34	547.75	1059.11	555.41	406.31	559.28	780.44	1191.69	1023.0	595.34	665.29	624.99	713.11	738.29	981.29	532.74	536.45	476.71	503.95	529.06	595.34	651.58	915.51	521.76	633.73	1066.48	536.45	616.37	480.04	713.11	591.22	785.88	1594.73	343.89	579.04	915.51	638.15	409.15	1008.9	490.14	518.15	555.41	395.18	1044.52	454.09	703.28	1268.46	785.88	665.29	995.0	796.86
RBMS1	387.02	171.45	197.09	126.12	351.14	171.45	106.63	96.01	67.12	84.04	117.6	224.97	215.77	435.55	329.84	267.73	73.54	226.54	279.14	329.84	121.79	281.09	3372.43	1313.23	2609.3	921.88	1073.91	961.07	1896.65	1857.6	642.59	1023.0	1561.89	1023.0	753.83	738.29	1233.75	4010.71	825.0	2209.26	1233.75	1023.0	2485.67	878.17	961.07	656.11	1508.65	2609.3	2895.31	1870.53	1159.07	1350.18	1709.26	1135.2	2090.03	1551.09	1359.57	679.29	785.88	1268.46	941.27	1583.71	1950.0	1605.83	688.78	1870.53	1662.49	909.17	1498.22	2485.67	2193.99	1572.76	2384.37	1015.93	1088.92	1662.49	1721.16	679.29	1359.57	785.88	1639.59	802.41	988.12	2701.35	728.11	1001.93	3190.46	1936.53	3146.52	1605.83	1745.2
RBMXL1	143.01	121.79	98.04	39.79	100.83	100.13	41.52	134.3	87.03	53.57	97.36	134.3	71.0	144.01	146.03	158.79	58.3	116.78	112.77	159.9	96.68	105.15	403.5	105.89	497.0	343.89	237.86	149.12	231.32	314.17	124.37	371.22	490.14	115.97	215.77	156.59	211.31	612.11	256.78	189.02	117.6	126.12	262.2	146.03	231.32	279.14	275.28	253.23	389.72	211.31	201.25	275.28	275.28	152.28	457.25	98.73	403.5	118.43	172.65	122.64	353.59	258.57	289.02	151.22	121.79	255.0	241.19	170.25	275.28	147.06	226.54	159.9	473.41	191.67	269.6	189.02	303.44	206.94	166.73	283.05	111.99	379.04	234.57	466.88	339.14	120.1	314.17	221.86	212.78	277.2	283.05
REEP3	185.11	297.17	178.77	135.24	209.84	228.13	214.27	152.28	190.34	162.14	166.73	248.0	316.37	229.72	189.02	226.54	141.02	251.48	320.8	228.13	129.69	119.26	1350.18	878.17	1709.26	406.31	693.58	525.39	928.3	607.87	438.59	387.02	376.41	409.15	318.57	473.41	334.46	1286.18	265.87	703.28	514.56	387.02	1030.12	426.57	269.6	291.04	414.87	612.11	486.75	769.69	961.07	583.07	669.92	647.07	483.38	728.11	309.83	334.46	373.81	486.75	353.59	389.72	287.01	1104.13	244.57	647.07	406.31	529.06	255.0	909.17	559.28	460.44	1199.98	511.0	633.73	684.02	974.5	248.0	583.07	208.38	438.59	336.79	483.38	1233.75	457.25	665.29	1936.53	607.87	1167.14	802.41	1199.98
RELL1	21.16	31.9	31.9	20.71	19.25	27.44	16.39	10.24	19.53	32.13	37.05	12.45	20.71	25.91	17.25	20.41	14.56	15.45	23.76	30.56	59.13	17.51	647.07	164.42	872.1	273.37	137.14	111.99	251.48	102.97	90.77	97.36	743.43	144.01	65.72	86.43	193.01	941.27	214.27	215.77	246.28	92.7	665.29	108.9	99.43	153.34	260.38	1015.93	473.41	120.94	297.17	239.52	629.35	151.22	493.56	186.4	181.28	135.24	118.43	127.89	110.43	521.76	149.12	242.88	72.52	819.3	327.56	248.0	267.73	718.08	447.82	381.68	457.25	143.01	147.06	275.28	366.09	89.51	166.73	59.55	176.29	187.71	114.36	764.36	140.04	242.88	909.17	406.31	536.45	679.29	629.35
RIT1	122.64	283.05	389.72	281.09	341.51	265.87	173.85	111.99	152.28	195.72	206.94	96.01	118.43	128.79	181.28	121.79	90.77	107.38	115.97	169.07	94.67	63.45	1447.15	961.07	988.12	884.29	1259.69	759.08	473.41	1662.49	780.44	854.13	2591.27	733.19	361.04	633.73	884.29	1233.75	555.41	403.5	555.41	896.64	1175.27	665.29	412.0	551.56	693.58	447.82	490.14	376.41	551.56	769.69	974.5	878.17	684.02	480.04	316.37	269.6	698.41	1051.79	507.46	153.34	547.75	547.75	409.15	718.08	486.75	854.13	262.2	514.56	780.44	1023.0	1617.0	563.18	532.74	775.05	660.68	743.43	1277.29	563.18	854.13	334.46	126.12	1467.37	764.36	500.46	2956.17	500.46	642.59	1508.65	738.29
RLIM	92.05	98.73	84.04	91.41	109.66	94.01	56.68	40.36	69.03	57.49	93.35	80.01	85.22	70.01	90.77	84.63	51.35	86.43	78.89	95.34	82.87	58.71	563.18	307.69	642.59	248.0	253.23	215.77	368.65	332.14	167.9	186.4	612.11	273.37	202.66	151.22	334.46	688.78	197.09	414.87	205.5	231.32	595.34	180.02	183.82	183.82	379.04	463.65	395.18	271.48	193.01	256.78	540.19	223.41	392.44	295.11	275.28	175.07	175.07	218.79	178.77	318.57	255.0	371.22	195.72	624.99	283.05	178.77	297.17	363.56	466.88	334.46	444.72	171.45	198.47	543.96	366.09	260.38	265.87	161.02	249.73	260.38	185.11	423.61	223.41	289.02	555.41	341.51	381.68	830.75	224.97
RNF24	22.1	52.08	73.03	63.45	43.63	55.1	45.85	12.55	17.13	80.01	51.71	17.38	24.11	23.76	39.79	18.97	8.32	23.25	18.03	29.27	48.52	26.67	665.29	297.17	738.29	111.21	142.01	214.27	273.37	208.38	149.12	176.29	679.29	258.57	165.57	118.43	540.19	693.58	244.57	351.14	202.66	226.54	660.68	229.72	186.4	204.07	314.17	273.37	309.83	81.14	186.4	134.3	409.15	273.37	551.56	258.57	112.77	115.97	226.54	218.79	208.38	264.03	273.37	229.72	112.77	791.35	258.57	150.17	134.3	253.23	624.99	392.44	420.68	186.4	87.03	409.15	473.41	139.07	248.0	183.82	209.84	145.02	153.34	234.57	147.06	353.59	733.19	287.01	236.21	1001.93	358.54
RPS6KA3	368.65	665.29	507.46	454.09	543.96	327.56	220.32	137.14	153.34	366.09	156.59	303.44	351.14	366.09	242.88	432.53	221.86	358.54	279.14	595.34	204.07	351.14	2240.11	1008.9	1977.24	836.53	785.88	476.71	620.67	1001.93	301.33	511.0	3419.52	518.15	327.56	215.77	1242.34	2271.4	426.57	1096.5	974.5	470.14	2047.0	441.64	624.99	389.72	1208.34	1242.34	1199.98	1081.39	988.12	775.05	1023.0	769.69	1417.35	728.11	301.33	473.41	414.87	595.34	460.44	728.11	1119.56	1208.34	299.25	1111.82	848.22	629.35	688.78	1923.14	1498.22	878.17	1594.73	708.18	674.59	1870.53	764.36	297.17	595.34	423.61	651.58	500.46	460.44	1819.35	420.68	620.67	2701.35	1119.56	1127.35	1167.14	2061.24
RYBP	186.4	104.42	100.83	85.22	149.12	91.41	64.34	77.79	78.89	68.07	77.79	122.64	139.07	152.28	128.79	105.15	158.79	128.79	166.73	142.01	115.97	143.01	780.44	332.14	595.34	438.59	480.04	387.02	373.81	607.87	356.05	325.29	819.3	301.33	339.14	283.05	409.15	620.67	305.55	336.79	432.53	346.29	457.25	305.55	287.01	295.11	291.04	532.74	525.39	480.04	480.04	397.93	392.44	444.72	521.76	277.2	320.8	208.38	358.54	297.17	329.84	277.2	287.01	336.79	312.0	493.56	397.93	358.54	201.25	412.0	341.51	409.15	698.41	242.88	346.29	551.56	409.15	361.04	435.55	277.2	295.11	316.37	237.86	665.29	323.03	305.55	1199.98	307.69	384.34	713.11	397.93
S1PR1	420.68	236.21	185.11	180.02	256.78	287.01	154.42	384.34	101.54	152.28	249.73	182.55	420.68	356.05	334.46	142.01	156.59	265.87	228.13	412.0	190.34	309.83	3235.01	974.5	9606.86	4575.41	2997.45	2119.22	8134.41	5913.33	1594.73	1572.76	995.0	1081.39	2835.7	2319.15	890.44	7280.4	2915.45	1051.79	3018.3	1322.37	2537.92	2997.45	1151.06	1498.22	1096.5	10440.2	8718.32	1457.23	3665.02	2591.27	1088.92	2627.46	2303.12	2816.11	2573.36	1119.56	4123.49	1467.37	1639.59	1477.58	1191.69	1427.22	543.96	2956.17	9409.14	3690.52	473.41	5441.3	2351.53	483.38	11992.79	1199.98	1030.12	1143.1	5112.16	1870.53	1225.22	2434.5	2075.59	1662.49	1467.37	7589.61	3467.27	1233.75	8363.13	2485.67	4328.55	1991.0	13586.57
SAMD8	84.04	62.12	42.11	40.93	67.59	56.28	55.89	43.63	45.85	50.27	45.21	59.13	64.8	76.71	67.12	73.03	25.54	74.06	62.12	96.01	92.05	42.71	361.04	223.41	366.09	237.86	212.78	162.14	241.19	285.03	136.19	102.25	395.18	318.57	178.77	150.17	199.85	323.03	164.42	228.13	258.57	198.47	389.72	139.07	143.01	103.69	242.88	275.28	341.51	260.38	229.72	215.77	226.54	400.71	186.4	242.88	389.72	165.57	142.01	226.54	128.79	205.5	169.07	277.2	156.59	251.48	177.53	163.28	273.37	226.54	226.54	249.73	327.56	108.9	176.29	341.51	223.41	237.86	215.77	85.22	255.0	157.68	273.37	218.79	191.67	208.38	395.18	231.32	295.11	363.56	212.78
SAR1A	896.64	1295.13	785.88	860.08	1340.84	1051.79	921.88	728.11	884.29	902.89	830.75	836.53	1001.93	808.0	954.43	884.29	753.83	896.64	947.83	995.0	693.58	688.78	2240.11	2400.97	1662.49	1709.26	1467.37	2335.28	1605.83	2178.83	1508.65	1331.57	2133.97	1191.69	1561.89	1498.22	2148.82	2434.5	1572.76	1733.13	1417.35	1340.84	1923.14	1259.69	1605.83	2119.22	1662.49	1806.78	1769.57	1268.46	1697.45	1417.35	2319.15	1143.1	1977.24	1883.54	1697.45	1477.58	1378.57	1427.22	1242.34	2047.0	1313.23	1769.57	1143.1	2664.15	2417.67	1167.14	1259.69	2133.97	2163.77	1639.59	2004.85	1819.35	1487.87	2240.11	2485.67	1674.06	1388.16	1487.87	1605.83	1909.85	1628.26	1745.2	1857.6	2209.26	2451.44	1745.2	1685.71	2468.49	2956.17
SAV1	316.37	139.07	146.03	138.1	215.77	206.94	143.01	157.68	112.77	129.69	145.02	228.13	221.86	226.54	193.01	205.5	186.4	237.86	251.48	325.29	115.16	287.01	2061.24	1001.93	1268.46	511.0	536.45	651.58	571.05	748.61	529.06	454.09	1191.69	575.03	514.56	497.0	866.07	1259.69	368.65	909.17	928.3	480.04	1378.57	476.71	417.77	429.54	1030.12	1540.37	872.1	825.0	728.11	503.95	1250.98	785.88	698.41	764.36	616.37	473.41	403.5	723.08	559.28	603.67	813.63	775.05	684.02	1447.15	708.18	480.04	738.29	688.78	967.76	1540.37	1340.84	426.57	669.92	928.3	1242.34	450.94	769.69	575.03	674.59	373.81	438.59	967.76	591.22	665.29	1685.71	866.07	698.41	1233.75	551.56
SDCBP	1662.49	3146.52	3794.3	2627.46	2417.67	2287.2	4328.55	1963.57	1225.22	2573.36	2119.22	1051.79	1709.26	1388.16	1757.34	1437.15	1628.26	1259.69	1388.16	1583.71	860.08	540.19	16727.26	9945.68	20030.74	3564.78	7230.1	4388.98	5672.41	9540.5	4671.57	4328.55	15285.81	4181.07	3874.05	4512.4	6699.25	15392.14	3212.66	9344.14	5872.48	6337.83	11035.54	3768.09	5751.61	3874.05	6337.83	10368.08	6164.49	5672.41	6250.56	5751.61	10959.3	7803.01	11424.74	7537.18	4869.99	3515.68	4328.55	6337.83	4181.07	5292.48	9088.59	7642.41	3443.31	10959.3	6164.49	5255.91	6792.79	9540.5	5711.87	8134.41	11345.82	7130.55	5555.65	11664.82	9673.69	3515.68	8963.45	8022.41	4972.34	2609.3	2956.17	13306.94	4575.41	6561.36	21172.91	9344.14	11745.96	13872.08	9945.68
SEMA7A	22.1	42.41	83.45	164.42	205.5	169.07	303.44	68.55	6.41	186.4	130.6	31.45	40.93	22.43	39.79	29.48	21.16	16.51	21.63	49.21	40.36	42.71	332.14	146.03	450.94	132.44	131.51	42.41	260.38	237.86	45.21	127.89	928.3	142.01	130.6	74.58	84.04	854.13	71.5	351.14	147.06	212.78	703.28	92.7	126.12	53.57	587.13	1437.15	426.57	106.63	55.89	177.53	486.75	47.84	1208.34	206.94	148.09	57.49	65.72	71.0	60.82	591.22	183.82	119.26	142.01	1857.6	358.54	58.71	231.32	271.48	417.77	454.09	389.72	49.56	149.12	271.48	325.29	74.58	116.78	107.38	271.48	65.72	94.01	954.43	113.56	291.04	660.68	679.29	307.69	267.73	150.17
SERPINB9	76.17	96.01	120.1	52.45	70.51	133.36	88.26	73.54	43.63	53.19	83.45	53.57	94.67	54.33	96.68	74.06	70.01	51.71	78.34	87.03	123.5	80.01	2163.77	532.74	1487.87	181.28	480.04	120.94	429.54	660.68	121.79	218.79	2720.15	426.57	387.02	134.3	483.38	2485.67	277.2	490.14	493.56	387.02	1447.15	131.51	224.97	215.77	536.45	1909.85	490.14	759.08	138.1	551.56	2224.63	316.37	2287.2	684.02	358.54	105.89	181.28	651.58	161.02	612.11	497.0	332.14	316.37	1844.76	297.17	170.25	441.64	490.14	1250.98	743.43	1073.91	159.9	371.22	981.29	738.29	224.97	381.68	202.66	1059.11	157.68	149.12	1427.22	186.4	872.1	1295.13	738.29	624.99	669.92	356.05
SLC41A1	75.64	58.71	155.5	111.99	144.01	163.28	61.25	11.73	34.75	146.03	65.26	48.52	61.25	67.59	78.89	64.8	37.32	69.52	29.48	99.43	56.28	53.57	1378.57	441.64	1088.92	638.15	624.99	698.41	723.08	476.71	759.08	511.0	4328.55	698.41	454.09	332.14	540.19	1769.57	698.41	1030.12	397.93	423.61	1923.14	511.0	703.28	480.04	1304.15	1594.73	1540.37	400.71	698.41	327.56	860.08	417.77	1844.76	884.29	532.74	497.0	476.71	500.46	603.67	1199.98	764.36	1250.98	334.46	2351.53	759.08	532.74	454.09	1628.26	1225.22	785.88	1313.23	669.92	403.5	1651.0	860.08	497.0	457.25	473.41	503.95	624.99	555.41	902.89	547.75	647.07	2609.3	981.29	698.41	1225.22	1340.84
SLC4A7	30.78	38.4	32.59	18.16	26.67	38.67	17.25	13.52	7.51	44.25	28.65	18.97	29.91	15.22	31.22	21.63	15.8	11.91	18.84	22.26	13.42	21.47	287.01	149.12	368.65	37.05	96.68	70.51	130.6	105.15	55.49	59.13	199.85	140.04	42.71	60.82	154.42	265.87	54.33	246.28	70.51	73.54	305.55	78.89	53.19	38.67	167.9	441.64	228.13	103.69	80.57	96.01	221.86	62.12	255.0	167.9	113.56	69.52	42.41	76.71	59.97	159.9	94.01	182.55	63.0	312.0	88.26	62.56	199.85	253.23	175.07	199.85	221.86	47.5	68.55	211.31	159.9	40.64	75.11	23.59	125.24	82.29	115.16	267.73	85.82	221.86	318.57	189.02	253.23	332.14	115.16
SLK	185.11	180.02	127.89	121.79	164.42	119.26	102.97	102.25	63.45	120.94	111.99	119.26	175.07	139.07	141.02	151.22	56.68	151.22	148.09	183.82	141.02	138.1	1268.46	665.29	1340.84	603.67	470.14	759.08	540.19	836.53	447.82	476.71	599.49	759.08	429.54	480.04	934.76	1447.15	381.68	748.61	514.56	450.94	1277.29	525.39	476.71	318.57	651.58	1583.71	1427.22	1073.91	884.29	660.68	651.58	575.03	842.36	733.19	575.03	384.34	450.94	575.03	529.06	813.63	660.68	947.83	403.5	1001.93	723.08	591.22	616.37	1467.37	669.92	638.15	928.3	703.28	438.59	1199.98	842.36	397.93	563.18	353.59	769.69	470.14	555.41	1135.2	698.41	764.36	1397.83	1167.14	961.07	1088.92	1191.69
