	TCGA.D8.A1J8.01A.11R.A13Q.07	TCGA.D8.A1JP.01A.11R.A13Q.07	TCGA.BH.A1EV.11A.24R.A137.07	GTEX.W5X1.2326.SM.3GIL6	GTEX.VJWN.0726.SM.3GIJ8	TCGA.W5.AA2X.11A.11R.A41I.07	TCGA.W5.AA34.11A.11R.A41I.07	TCGA.B8.A54E.01A.11R.A266.07	TCGA.CZ.5463.01A.01R.1503.07	TCGA.CZ.4864.11A.01R.1503.07	TCGA.B8.5552.11A.01R.1672.07	TCGA.CW.5581.11A.01R.1541.07	TCGA.DZ.6131.01A.11R.1965.07	TCGA.G7.7501.01A.11R.2204.07	TCGA.BQ.5879.11A.01R.1592.07	TCGA.DD.AAEE.01A.11R.A41C.07	TCGA.DD.AAVY.01A.11R.A41C.07	TCGA.CC.A9FS.01A.11R.A37K.07	TCGA.ZP.A9D0.01A.11R.A37K.07	TCGA.BC.A10X.01A.11R.A131.07	TCGA.DD.A1EB.01A.11R.A131.07	TCGA.G3.AAV2.01A.11R.A37K.07	TCGA.DD.AAD0.01A.11R.A41C.07	TCGA.ZP.A9CZ.01A.11R.A38B.07	TCGA.DD.AAW2.01A.11R.A41C.07	TCGA.DD.A4NO.01A.11R.A28V.07	TCGA.G3.AAV3.01A.11R.A37K.07	TCGA.2Y.A9H8.01A.11R.A39D.07	TCGA.MI.A75I.01A.11R.A32O.07	TCGA.UB.A7MA.01A.11R.A33R.07	TCGA.DD.AAE1.01A.11R.A41C.07	TCGA.FV.A3R2.01A.11R.A22L.07	TCGA.G3.A7M5.01A.11R.A33R.07	TCGA.CC.A9FV.01A.11R.A37K.07	TCGA.K7.A5RF.01A.11R.A28V.07	TCGA.ZP.A9D2.01A.11R.A38B.07	TCGA.FV.A496.01A.11R.A266.07	TCGA.FV.A2QR.01A.11R.A213.07	TCGA.DD.A4NK.01A.11R.A28V.07	TCGA.RC.A7SK.01A.11R.A352.07	TCGA.HP.A5N0.01A.11R.A28V.07	TCGA.DD.A11A.01A.11R.A131.07	TCGA.DD.A73B.01A.12R.A32O.07	TCGA.2Y.A9H9.01A.21R.A39D.07	TCGA.CC.A7IF.01A.11R.A33J.07	TCGA.2Y.A9HA.01A.11R.A39D.07	TCGA.T1.A6J8.01A.11R.A32O.07	TCGA.2Y.A9HB.01A.11R.A39D.07	TCGA.DD.AAE9.01A.11R.A41C.07	TCGA.ED.A7XP.01A.11R.A352.07	TCGA.CC.A7IL.01A.11R.A33R.07	TCGA.BC.A3KG.01A.11R.A213.07	TCGA.ZP.A9CY.01A.11R.A38B.07	TCGA.BC.A69I.01A.11R.A311.07	TCGA.2Y.A9H0.01A.11R.A38B.07	TCGA.DD.AADV.01A.11R.A39D.07	TCGA.DD.AADB.01A.11R.A41C.07	TCGA.DD.AAEH.01A.11R.A41C.07	TCGA.DD.A11B.01A.11R.A131.07	TCGA.DD.A4NB.01A.12R.A266.07	TCGA.ED.A7XO.01A.11R.A352.07	TCGA.DD.AAEG.01A.11R.A39D.07	TCGA.DD.A3A2.01A.11R.A213.07	TCGA.RC.A6M4.01A.11R.A32O.07	TCGA.DD.A1EK.01A.11R.A213.07	TCGA.MI.A75G.01A.11R.A32O.07	TCGA.DD.A73C.01A.12R.A33J.07	TCGA.MI.A75H.01A.11R.A32O.07	TCGA.2Y.A9H7.01A.11R.A39D.07	TCGA.CC.A9FU.01A.11R.A37K.07	TCGA.GJ.A9DB.01A.11R.A37K.07	TCGA.DD.A115.01A.11R.A131.07	TCGA.DD.AAW3.01A.11R.A41C.07	TCGA.DD.A4ND.01A.11R.A266.07	TCGA.5R.AA1D.01A.11R.A38B.07	TCGA.DD.AADK.01A.11R.A41C.07	TCGA.RC.A7SB.01A.21R.A352.07	TCGA.DD.AACY.01A.11R.A41C.07	TCGA.UB.AA0V.01A.11R.A38B.07	TCGA.ZS.A9CE.01A.11R.A37K.07	TCGA.G3.A6UC.01A.21R.A33J.07	TCGA.2Y.A9GU.01A.11R.A38B.07	TCGA.MI.A75E.01A.11R.A32O.07	TCGA.DD.A1EG.11A.11R.A213.07	TCGA.G3.A3CH.11A.11R.A22L.07	TCGA.DD.A3A8.11A.11R.A22L.07	TCGA.DD.A1EI.11A.11R.A131.07	TCGA.DD.A1EL.11A.11R.A155.07	TCGA.DD.A114.11A.12R.A131.07	GTEX.WYVS.1926.SM.4PQZ2	GTEX.13FLV.0326.SM.5N9DJ	GTEX.11ZUS.2526.SM.59872	GTEX.11GSP.0626.SM.5986T	GTEX.ZYT6.0626.SM.5E45V	GTEX.145LU.1326.SM.5LU9N	GTEX.ZAB5.0426.SM.5CVMI	GTEX.147JS.1126.SM.5RQIW	GTEX.145MF.0826.SM.5QGQA	GTEX.ZF2S.3026.SM.4WWCH	GTEX.SJXC.1226.SM.4DM78	GTEX.131YS.1626.SM.5HL6C	GTEX.QESD.2026.SM.447BI	GTEX.139TU.0826.SM.5IJFG	GTEX.12WSD.1426.SM.5GCN9	GTEX.14DAQ.1726.SM.5S2R2	GTEX.1399R.1226.SM.5P9GF	GTEX.ZVT3.1626.SM.5GU66	GTEX.11DXZ.0126.SM.5EGGY	GTEX.13SLX.1226.SM.5S2Q6	GTEX.Q734.0326.SM.48U15	GTEX.1212Z.0226.SM.59HLF	GTEX.XOTO.0826.SM.4B65O	GTEX.13OW6.2626.SM.5IFF2	GTEX.14753.1626.SM.5NQ9L	GTEX.REY6.1226.SM.48FDR	GTEX.R53T.0326.SM.48FEC	TCGA.BK.A139.01A.11R.A277.07
PPP1R12A	1044.52	432.53	974.5	2682.69	866.07	209.84	185.11	289.02	616.37	417.77	1015.93	441.64	497.0	529.06	420.68	134.3	100.83	177.53	159.9	264.03	215.77	85.82	121.79	195.72	138.1	146.03	122.64	115.97	136.19	295.11	139.07	151.22	84.63	339.14	143.01	403.5	151.22	173.85	148.09	142.01	167.9	194.36	164.42	126.12	115.16	165.57	130.6	159.9	77.25	246.28	59.55	301.33	185.11	70.01	281.09	206.94	237.86	114.36	212.78	373.81	119.26	103.69	108.9	59.97	142.01	98.73	223.41	99.43	142.01	151.22	242.88	153.34	146.03	483.38	417.77	101.54	130.6	149.12	253.23	112.77	127.0	209.84	102.25	111.99	125.24	30.34	147.06	158.79	199.85	346.29	176.29	75.64	480.04	122.64	162.14	291.04	198.47	117.6	167.9	68.55	255.0	74.06	244.57	249.73	177.53	117.6	231.32	172.65	147.06	265.87	195.72	171.45	169.07	71.0	85.82	67.59	836.53
PREP	728.11	1044.52	796.86	974.5	1745.2	291.04	432.53	429.54	379.04	348.71	490.14	351.14	368.65	429.54	332.14	170.25	136.19	197.09	514.56	470.14	444.72	275.28	236.21	285.03	132.44	384.34	241.19	147.06	165.57	303.44	244.57	172.65	158.79	373.81	387.02	409.15	343.89	175.07	166.73	221.86	182.55	246.28	669.92	197.09	117.6	559.28	211.31	450.94	117.6	397.93	221.86	432.53	432.53	159.9	226.54	283.05	447.82	146.03	457.25	463.65	295.11	206.94	412.0	135.24	255.0	291.04	454.09	147.06	182.55	444.72	361.04	170.25	185.11	348.71	373.81	183.82	241.19	202.66	417.77	248.0	118.43	363.56	239.52	289.02	389.72	389.72	435.55	379.04	438.59	409.15	353.59	267.73	185.11	183.82	176.29	521.76	389.72	318.57	450.94	277.2	267.73	198.47	329.84	307.69	287.01	480.04	255.0	262.2	277.2	379.04	223.41	353.59	242.88	305.55	242.88	470.14	529.06
PTPRK	1519.15	2682.69	1628.26	656.11	1407.55	470.14	493.56	532.74	1242.34	503.95	1183.45	444.72	559.28	607.87	507.46	221.86	214.27	214.27	651.58	638.15	567.1	346.29	172.65	373.81	260.38	463.65	224.97	253.23	204.07	490.14	426.57	264.03	134.3	55.49	373.81	796.86	325.29	316.37	246.28	275.28	271.48	307.69	633.73	368.65	209.84	376.41	234.57	387.02	180.02	511.0	164.42	595.34	486.75	163.28	232.94	395.18	476.71	127.89	507.46	454.09	303.44	197.09	371.22	193.01	271.48	271.48	633.73	169.07	256.78	571.05	473.41	297.17	232.94	642.59	583.07	152.28	351.14	183.82	563.18	228.13	341.51	559.28	224.97	301.33	387.02	341.51	497.0	483.38	450.94	371.22	738.29	414.87	1909.85	316.37	583.07	540.19	633.73	318.57	674.59	429.54	490.14	525.39	371.22	483.38	620.67	373.81	536.45	624.99	500.46	460.44	769.69	518.15	403.5	642.59	389.72	432.53	1594.73
QKI	995.0	703.28	1963.57	2468.49	2061.24	497.0	651.58	703.28	1709.26	921.88	1923.14	1277.29	1151.06	743.43	981.29	178.77	244.57	299.25	559.28	733.19	647.07	228.13	212.78	392.44	293.07	353.59	198.47	135.24	159.9	497.0	387.02	432.53	69.52	616.37	559.28	1322.37	167.9	307.69	293.07	178.77	368.65	329.84	954.43	229.72	172.65	343.89	211.31	444.72	122.64	647.07	137.14	688.78	441.64	118.43	271.48	432.53	651.58	154.42	616.37	713.11	297.17	144.01	327.56	123.5	420.68	217.27	866.07	173.85	258.57	532.74	423.61	260.38	273.37	660.68	848.22	164.42	343.89	193.01	563.18	206.94	256.78	381.68	269.6	348.71	457.25	180.02	688.78	507.46	638.15	629.35	423.61	194.36	463.65	241.19	412.0	909.17	591.22	297.17	1304.15	171.45	363.56	275.28	543.96	507.46	341.51	688.78	547.75	775.05	529.06	1015.93	395.18	283.05	397.93	262.2	358.54	1388.16	1242.34
QRSL1	318.57	356.05	312.0	348.71	281.09	127.89	167.9	392.44	412.0	226.54	164.42	287.01	162.14	199.85	237.86	80.57	80.57	114.36	150.17	143.01	193.01	103.69	98.04	177.53	87.65	149.12	70.51	95.34	88.88	190.34	151.22	99.43	66.18	130.6	135.24	256.78	113.56	82.29	84.04	123.5	79.45	249.73	295.11	116.78	95.34	305.55	76.17	151.22	57.49	220.32	90.14	209.84	130.6	41.52	90.77	135.24	231.32	93.35	191.67	187.71	154.42	96.68	94.67	66.65	55.89	86.43	172.65	56.68	82.29	197.09	151.22	69.52	92.7	162.14	145.02	66.65	156.59	80.57	154.42	107.38	69.03	201.25	93.35	104.42	143.01	70.51	136.19	105.15	166.73	81.14	106.63	100.83	95.34	84.04	71.0	95.34	163.28	85.82	159.9	68.55	98.73	68.55	105.15	114.36	80.01	118.43	114.36	106.63	113.56	139.07	90.14	181.28	82.29	75.11	87.65	140.04	486.75
RARS2	1457.23	764.36	884.29	1427.22	738.29	473.41	563.18	713.11	718.08	525.39	753.83	450.94	559.28	620.67	450.94	507.46	426.57	249.73	490.14	457.25	738.29	423.61	400.71	536.45	246.28	733.19	226.54	738.29	244.57	351.14	607.87	178.77	226.54	547.75	460.44	660.68	612.11	381.68	275.28	423.61	273.37	651.58	547.75	493.56	366.09	866.07	332.14	483.38	164.42	547.75	283.05	796.86	543.96	185.11	193.01	511.0	638.15	325.29	708.18	543.96	480.04	271.48	521.76	231.32	220.32	351.14	555.41	187.71	267.73	389.72	503.95	514.56	281.09	728.11	543.96	226.54	669.92	299.25	532.74	395.18	287.01	607.87	287.01	389.72	389.72	269.6	454.09	470.14	460.44	309.83	363.56	303.44	373.81	406.31	314.17	514.56	612.11	529.06	759.08	373.81	450.94	414.87	368.65	607.87	389.72	563.18	381.68	559.28	285.03	583.07	316.37	381.68	547.75	269.6	299.25	432.53	1001.93
REV3L	226.54	420.68	521.76	529.06	723.08	164.42	111.99	117.6	244.57	96.01	353.59	135.24	166.73	202.66	130.6	66.18	78.34	159.9	119.26	155.5	109.66	116.78	50.63	118.43	75.11	162.14	83.45	82.87	61.68	182.55	84.04	95.34	55.49	185.11	126.12	239.52	105.15	49.91	122.64	95.34	92.05	76.17	190.34	99.43	72.52	98.73	64.34	134.3	58.71	158.79	67.59	226.54	157.68	89.51	69.03	139.07	127.89	66.65	205.5	128.79	100.13	29.06	120.94	84.63	80.01	82.87	205.5	60.82	40.36	100.13	198.47	90.14	75.64	199.85	171.45	53.57	189.02	41.52	199.85	85.22	78.89	108.14	65.26	87.65	139.07	33.06	159.9	133.36	158.79	111.21	120.94	89.51	275.28	98.04	228.13	72.01	130.6	69.52	72.52	94.01	171.45	133.36	114.36	189.02	105.15	55.49	132.44	97.36	93.35	62.12	134.3	167.9	118.43	122.64	97.36	49.91	1322.37
RNF146	738.29	1407.55	1059.11	1685.71	1437.15	547.75	366.09	902.89	769.69	660.68	665.29	638.15	595.34	743.43	713.11	229.72	239.52	248.0	414.87	417.77	336.79	476.71	283.05	323.03	289.02	450.94	255.0	197.09	194.36	423.61	303.44	181.28	143.01	836.53	334.46	748.61	507.46	343.89	265.87	273.37	273.37	341.51	825.0	273.37	231.32	307.69	183.82	493.56	215.77	555.41	193.01	860.08	480.04	175.07	142.01	351.14	466.88	297.17	583.07	525.39	373.81	215.77	334.46	212.78	229.72	329.84	665.29	182.55	269.6	334.46	466.88	156.59	327.56	547.75	579.04	182.55	381.68	171.45	529.06	351.14	229.72	336.79	244.57	309.83	387.02	214.27	334.46	373.81	379.04	543.96	373.81	743.43	486.75	525.39	463.65	454.09	543.96	353.59	343.89	473.41	620.67	232.94	336.79	361.04	389.72	325.29	607.87	363.56	297.17	363.56	381.68	441.64	559.28	221.86	231.32	325.29	819.3
RNGTT	339.14	237.86	220.32	423.61	228.13	121.79	127.0	186.4	208.38	133.36	320.8	143.01	137.14	169.07	120.1	91.41	47.5	48.18	106.63	115.97	141.02	73.54	102.97	130.6	49.21	121.79	67.59	140.04	68.07	102.25	77.79	51.35	40.64	106.63	96.01	206.94	149.12	69.52	46.18	59.55	61.25	159.9	145.02	94.67	77.79	271.48	57.89	100.13	24.11	128.79	51.35	214.27	124.37	32.36	69.52	124.37	137.14	46.18	226.54	177.53	86.43	51.71	119.26	27.64	59.13	55.49	190.34	34.75	55.49	132.44	134.3	133.36	41.52	151.22	159.9	59.13	86.43	115.97	125.24	65.72	34.75	134.3	49.91	69.03	105.89	81.71	115.97	115.97	117.6	105.15	84.04	33.54	67.12	43.63	51.71	124.37	142.01	127.89	136.19	60.39	80.57	43.94	133.36	92.7	73.03	113.56	108.14	74.58	87.65	116.78	57.08	60.39	84.63	98.04	94.67	151.22	271.48
RSPH3	320.8	140.04	189.02	91.41	185.11	43.63	61.68	154.42	242.88	202.66	208.38	218.79	248.0	208.38	231.32	23.08	19.53	27.05	64.8	57.89	75.64	31.22	19.53	66.18	20.11	40.64	19.11	24.46	14.35	75.11	26.1	29.7	24.99	57.89	46.84	125.24	36.53	20.71	27.84	35.0	15.45	38.4	137.14	25.72	24.81	38.4	18.97	56.68	12.55	59.55	17.77	90.77	49.56	12.64	25.91	43.02	42.41	10.0	70.51	92.7	40.07	27.25	41.81	16.88	43.02	33.78	61.68	13.32	21.63	29.06	53.57	29.7	17.64	38.4	68.55	32.82	45.53	18.16	66.18	37.32	15.0	45.53	22.59	34.26	44.25	26.28	52.45	47.5	59.97	63.89	97.36	9.41	31.67	18.03	36.79	97.36	37.32	21.47	49.91	29.48	30.56	11.55	59.55	45.53	33.06	47.5	50.98	52.45	30.78	128.79	27.64	27.84	40.93	20.86	69.52	98.73	114.36
RTN4IP1	236.21	460.44	211.31	147.06	228.13	156.59	226.54	575.03	265.87	271.48	152.28	291.04	221.86	177.53	246.28	123.5	84.04	111.99	156.59	170.25	175.07	144.01	106.63	164.42	73.03	170.25	114.36	201.25	130.6	220.32	197.09	112.77	120.1	136.19	183.82	295.11	198.47	105.89	97.36	139.07	96.01	187.71	414.87	108.9	68.07	332.14	181.28	229.72	74.58	195.72	125.24	229.72	172.65	71.5	113.56	155.5	244.57	94.01	307.69	181.28	186.4	127.0	309.83	85.22	138.1	102.25	221.86	101.54	177.53	195.72	226.54	97.36	108.14	183.82	197.09	159.9	209.84	72.01	201.25	183.82	75.64	241.19	119.26	137.14	171.45	162.14	217.27	172.65	202.66	98.73	195.72	89.51	149.12	149.12	131.51	191.67	204.07	208.38	197.09	85.22	120.94	107.38	172.65	129.69	132.44	201.25	118.43	156.59	176.29	123.5	148.09	122.64	138.1	145.02	123.5	205.5	221.86
RWDD1	2591.27	2520.38	1709.26	2701.35	2193.99	848.22	743.43	1936.53	1583.71	1023.0	1963.57	1023.0	1073.91	2004.85	921.88	665.29	414.87	591.22	842.36	1044.52	825.0	723.08	540.19	1175.27	400.71	1359.57	414.87	665.29	511.0	896.64	808.0	656.11	638.15	1467.37	915.51	1044.52	884.29	629.35	450.94	529.06	836.53	872.1	2193.99	738.29	555.41	1832.01	532.74	1051.79	320.8	1059.11	674.59	1551.09	759.08	738.29	426.57	698.41	988.12	718.08	947.83	1259.69	1313.23	414.87	1127.35	660.68	470.14	780.44	1015.93	567.1	540.19	921.88	775.05	591.22	450.94	1304.15	1119.56	665.29	1268.46	406.31	1127.35	728.11	412.0	941.27	753.83	842.36	896.64	241.19	708.18	1119.56	934.76	825.0	941.27	466.88	713.11	1119.56	633.73	1051.79	915.51	1088.92	1073.91	392.44	813.63	848.22	679.29	769.69	791.35	1059.11	532.74	830.75	651.58	961.07	616.37	915.51	896.64	698.41	536.45	1277.29	954.43
RWDD2A	457.25	115.97	139.07	103.69	148.09	84.04	77.25	118.43	202.66	140.04	108.14	111.99	82.29	156.59	122.64	101.54	21.16	36.01	76.17	83.45	69.03	105.89	108.9	112.77	46.5	144.01	58.3	143.01	63.89	70.51	96.68	33.3	40.36	120.94	67.59	234.57	175.07	48.18	50.27	57.08	60.82	52.82	137.14	81.14	66.65	138.1	41.52	69.03	47.5	173.85	75.11	132.44	112.77	39.22	43.32	76.17	142.01	53.19	161.02	109.66	91.41	44.25	62.56	53.95	37.32	51.35	98.04	49.21	74.06	91.41	91.41	86.43	52.82	112.77	82.29	109.66	52.82	60.39	159.9	81.71	54.33	166.73	61.25	60.39	118.43	37.32	77.79	115.97	91.41	85.82	70.51	81.14	149.12	66.65	72.01	73.03	118.43	49.21	35.0	51.71	113.56	28.86	78.34	54.72	51.71	53.57	62.12	72.52	40.64	111.99	53.57	63.89	41.52	26.86	100.13	104.42	156.59
SASH1	503.95	728.11	785.88	3039.3	1151.06	94.67	93.35	119.26	376.41	275.28	1242.34	289.02	127.0	130.6	348.71	30.56	42.71	26.86	61.25	141.02	95.34	50.63	22.92	85.82	48.18	98.04	41.81	23.42	37.32	78.34	54.33	60.82	29.48	444.72	88.26	151.22	55.49	73.03	65.72	52.45	123.5	98.04	143.01	55.89	29.48	49.21	46.18	84.63	18.56	177.53	34.75	65.26	94.67	57.49	38.4	86.43	66.65	54.33	87.65	186.4	63.45	51.35	25.72	18.97	74.06	38.95	118.43	35.76	49.56	26.67	101.54	81.14	33.3	206.94	307.69	25.35	69.03	47.84	125.24	47.5	31.0	39.22	46.18	68.07	83.45	42.71	84.04	92.05	114.36	251.48	77.79	53.57	223.41	51.35	99.43	134.3	80.57	45.85	133.36	53.19	171.45	111.21	64.8	144.01	65.26	104.42	112.77	138.1	42.11	115.16	43.02	87.03	85.82	57.89	45.85	172.65	540.19
SCAF8	860.08	571.05	738.29	1397.83	934.76	234.57	212.78	295.11	423.61	307.69	665.29	463.65	409.15	507.46	403.5	124.37	108.14	117.6	283.05	255.0	218.79	126.12	121.79	220.32	119.26	221.86	122.64	154.42	110.43	277.2	173.85	120.1	75.11	287.01	173.85	323.03	212.78	105.89	131.51	169.07	138.1	217.27	412.0	127.89	139.07	166.73	114.36	218.79	70.51	265.87	98.73	412.0	229.72	67.59	121.79	177.53	269.6	133.36	285.03	237.86	138.1	126.12	134.3	85.22	104.42	120.94	309.83	88.88	119.26	256.78	232.94	111.99	124.37	301.33	273.37	128.79	175.07	102.25	251.48	128.79	132.44	229.72	94.67	151.22	164.42	101.54	191.67	169.07	220.32	316.37	242.88	120.94	480.04	122.64	190.34	172.65	246.28	141.02	229.72	144.01	228.13	137.14	226.54	269.6	173.85	173.85	255.0	248.0	170.25	139.07	237.86	232.94	267.73	84.04	146.03	141.02	785.88
SEC63	3419.52	2682.69	2485.67	3564.78	2240.11	1208.34	1191.69	1457.23	1277.29	629.35	2555.58	571.05	713.11	1733.13	575.03	1051.79	521.76	660.68	1135.2	1350.18	1111.82	1030.12	480.04	1529.73	703.28	1304.15	915.51	723.08	921.88	1313.23	1225.22	642.59	791.35	1073.91	1015.93	2271.4	1477.58	813.63	361.04	1167.14	616.37	753.83	1583.71	1250.98	884.29	1369.04	551.56	1277.29	825.0	2090.03	928.3	2075.59	1233.75	525.39	830.75	1023.0	1572.76	854.13	1322.37	1378.57	1088.92	703.28	1183.45	651.58	713.11	1066.48	1529.73	633.73	1081.39	1369.04	1427.22	679.29	514.56	1151.06	1769.57	884.29	2032.85	441.64	1397.83	1143.1	607.87	2163.77	563.18	1104.13	1191.69	571.05	1498.22	1331.57	1674.06	1044.52	1286.18	708.18	1467.37	1066.48	638.15	1225.22	1111.82	1359.57	825.0	629.35	1023.0	1259.69	1023.0	1167.14	723.08	1151.06	808.0	981.29	884.29	1331.57	1044.52	1051.79	1397.83	988.12	1216.75	928.3	1561.89
SENP6	1583.71	1081.39	1733.13	2555.58	2287.2	599.49	525.39	629.35	1051.79	708.18	1467.37	854.13	802.41	902.89	764.36	387.02	256.78	307.69	603.67	633.73	423.61	334.46	426.57	518.15	244.57	571.05	239.52	638.15	226.54	473.41	547.75	251.48	145.02	656.11	466.88	769.69	441.64	262.2	327.56	559.28	339.14	607.87	559.28	432.53	486.75	665.29	204.07	438.59	171.45	620.67	197.09	1286.18	483.38	187.71	234.57	463.65	599.49	264.03	571.05	633.73	312.0	206.94	327.56	212.78	389.72	281.09	579.04	186.4	693.58	493.56	486.75	429.54	241.19	848.22	679.29	244.57	373.81	435.55	665.29	214.27	262.2	483.38	267.73	379.04	441.64	83.45	486.75	423.61	514.56	400.71	307.69	500.46	1216.75	403.5	688.78	309.83	624.99	339.14	325.29	518.15	603.67	329.84	466.88	599.49	406.31	255.0	679.29	426.57	473.41	279.14	684.02	620.67	647.07	215.77	432.53	244.57	1697.45
SERAC1	236.21	208.38	153.34	128.79	239.52	40.36	61.25	176.29	96.68	130.6	199.85	140.04	414.87	376.41	176.29	30.34	29.48	30.78	67.59	60.39	44.57	42.41	32.59	53.95	24.28	93.35	30.56	58.71	43.94	115.16	68.07	27.44	19.68	98.73	62.12	110.43	63.0	37.05	23.42	48.52	32.59	89.51	186.4	33.78	19.25	51.71	41.52	44.89	33.3	116.78	18.56	103.69	70.01	13.93	42.71	56.68	100.83	31.0	79.45	78.89	48.52	29.27	58.3	18.29	28.65	38.12	72.01	20.56	31.67	59.55	63.89	40.93	31.67	75.64	70.01	84.63	59.97	29.91	68.55	28.86	25.54	45.53	37.59	43.02	41.81	32.13	57.49	53.95	65.72	64.8	53.57	24.63	65.72	29.7	47.17	60.39	52.45	29.48	84.63	33.3	32.82	26.28	54.72	52.08	47.17	48.87	46.84	51.71	25.17	50.63	34.75	27.64	50.98	15.91	39.22	87.03	414.87
SERINC1	5913.33	5594.3	6121.9	11909.94	11267.44	2335.28	2895.31	5594.3	7485.11	4836.35	6887.62	4328.55	3060.45	3742.05	4481.23	1073.91	1051.79	1167.14	3168.41	2956.17	2956.17	1487.87	915.51	1304.15	1111.82	2271.4	974.5	1030.12	1037.29	1561.89	1551.09	902.89	612.11	2609.3	2335.28	2816.11	1936.53	1295.13	1233.75	2104.58	1378.57	2468.49	4239.45	1477.58	947.83	1407.55	1066.48	2148.82	954.43	3564.78	1407.55	2915.45	2609.3	718.08	769.69	2133.97	1819.35	1051.79	3124.78	3820.7	1508.65	842.36	2178.83	928.3	902.89	1806.78	3280.18	1044.52	819.3	1427.22	2224.63	1073.91	866.07	2537.92	3564.78	684.02	2400.97	896.64	2835.7	1119.56	1397.83	1819.35	780.44	2104.58	2935.74	2090.03	2537.92	2591.27	2895.31	3190.46	2224.63	1340.84	1832.01	2178.83	2224.63	4298.64	3280.18	2627.46	5041.77	2255.7	2163.77	2835.7	2061.24	2645.74	2915.45	4095.0	2384.37	4575.41	2240.11	3349.13	2018.8	1923.14	2240.11	3212.66	2682.69	3901.01	1857.6
SESN1	607.87	1477.58	842.36	521.76	738.29	400.71	466.88	1769.57	703.28	438.59	525.39	346.29	884.29	395.18	327.56	83.45	101.54	183.82	318.57	303.44	473.41	325.29	97.36	236.21	126.12	223.41	325.29	104.42	137.14	269.6	316.37	98.73	145.02	708.18	346.29	366.09	204.07	154.42	191.67	154.42	242.88	191.67	1104.13	417.77	140.04	195.72	104.42	525.39	115.16	197.09	89.51	476.71	429.54	211.31	157.68	180.02	271.48	198.47	441.64	629.35	153.34	85.22	376.41	88.88	271.48	117.6	450.94	224.97	181.28	187.71	366.09	156.59	139.07	599.49	878.17	157.68	529.06	85.22	389.72	90.14	139.07	368.65	329.84	441.64	665.29	312.0	373.81	420.68	490.14	379.04	336.79	318.57	543.96	221.86	353.59	409.15	591.22	521.76	237.86	563.18	438.59	114.36	738.29	629.35	518.15	651.58	591.22	406.31	373.81	460.44	507.46	463.65	480.04	718.08	231.32	217.27	318.57
SFT2D1	2287.2	2119.22	1447.15	1628.26	1733.13	514.56	438.59	1487.87	1001.93	1104.13	1769.57	1111.82	1208.34	2271.4	1051.79	164.42	139.07	198.47	312.0	341.51	185.11	269.6	180.02	363.56	187.71	356.05	237.86	281.09	190.34	507.46	473.41	185.11	172.65	808.0	540.19	540.19	242.88	260.38	255.0	291.04	353.59	231.32	348.71	218.79	182.55	275.28	231.32	356.05	109.66	336.79	178.77	708.18	444.72	271.48	178.77	314.17	708.18	271.48	368.65	518.15	351.14	148.09	231.32	171.45	241.19	291.04	248.0	253.23	366.09	748.61	432.53	165.57	215.77	547.75	559.28	384.34	332.14	167.9	579.04	267.73	152.28	346.29	316.37	460.44	397.93	202.66	309.83	400.71	511.0	748.61	429.54	629.35	441.64	255.0	555.41	389.72	371.22	473.41	336.79	417.77	624.99	208.38	447.82	426.57	457.25	189.02	941.27	329.84	595.34	503.95	376.41	265.87	432.53	170.25	371.22	217.27	1183.45
SHPRH	142.01	166.73	211.31	309.83	129.69	42.41	39.79	53.19	159.9	63.0	127.89	100.13	64.34	60.39	100.83	9.41	16.27	16.88	67.59	40.64	45.85	15.22	19.82	33.78	13.22	37.59	15.91	16.03	11.21	34.75	25.54	18.43	9.7	45.21	22.43	83.45	28.04	17.0	19.68	14.45	32.13	40.93	47.17	19.11	11.47	31.67	15.34	20.26	5.36	59.97	11.38	67.59	34.02	4.46	21.32	37.05	49.21	8.99	62.56	45.53	28.04	12.27	26.28	16.39	14.78	13.42	67.59	5.96	12.55	36.01	45.85	26.67	13.32	61.68	47.17	7.82	20.86	10.08	77.25	21.63	23.25	32.59	10.16	14.56	22.1	5.23	35.5	36.01	35.25	43.94	33.78	6.57	71.5	18.03	45.85	46.18	33.06	32.59	48.87	16.51	50.98	27.84	46.18	35.0	38.4	21.16	34.51	34.51	25.35	39.22	58.71	47.5	35.5	7.22	7.28	58.3	559.28
SMAP1	884.29	595.34	500.46	733.19	802.41	220.32	307.69	575.03	599.49	381.68	559.28	341.51	813.63	674.59	334.46	269.6	104.42	177.53	473.41	371.22	348.71	204.07	314.17	420.68	111.21	373.81	147.06	493.56	152.28	444.72	348.71	144.01	104.42	503.95	234.57	583.07	384.34	178.77	135.24	336.79	165.57	444.72	559.28	211.31	226.54	624.99	215.77	299.25	105.15	387.02	153.34	698.41	318.57	113.56	693.58	248.0	438.59	116.78	457.25	277.2	264.03	133.36	214.27	106.63	307.69	182.55	265.87	115.16	373.81	339.14	371.22	327.56	127.0	503.95	400.71	190.34	223.41	224.97	237.86	176.29	115.97	325.29	159.9	232.94	248.0	145.02	260.38	246.28	287.01	283.05	190.34	135.24	255.0	191.67	209.84	198.47	273.37	141.02	351.14	112.77	234.57	135.24	341.51	136.19	177.53	265.87	220.32	193.01	92.05	217.27	166.73	217.27	190.34	206.94	277.2	297.17	848.22
