	TCGA.GI.A2C8.11A.22R.A16F.07	GTEX.132AR.0826.SM.5EGK6	GTEX.XV7Q.2326.SM.4BRVZ	TCGA.CV.7406.11A.01R.2081.07	TCGA.H7.A6C4.11A.21R.A466.07	TCGA.CV.7091.11A.01R.2016.07	TCGA.CV.6939.11A.01R.1915.07	GTEX.QDVN.1626.SM.48TZC	GTEX.P4QS.1126.SM.3NMD5	TCGA.B2.5639.01A.01R.1541.07	TCGA.CZ.5470.01A.01R.1503.07	TCGA.B8.A54E.01A.11R.A266.07	TCGA.CJ.5677.01A.11R.1541.07	TCGA.B2.4098.01A.02R.1325.07	TCGA.B4.5835.01A.11R.1672.07	TCGA.B0.5701.01A.11R.1541.07	TCGA.CZ.4859.01A.02R.1426.07	TCGA.CZ.5462.01A.01R.1503.07	TCGA.UZ.A9PZ.01A.11R.A42S.07	TCGA.P4.A5EB.01A.11R.A28H.07	TCGA.DW.7841.01A.11R.A32Z.07	TCGA.HE.A5NF.01A.11R.A26U.07	TCGA.B9.4617.01A.01R.1193.07	TCGA.A4.A57E.01A.11R.A26U.07	TCGA.PJ.A5Z9.01A.11R.A28H.07	TCGA.A4.8518.01A.11R.2404.07	TCGA.P4.A5E8.01A.11R.A28H.07	TCGA.A4.7732.01A.11R.2139.07	TCGA.SX.A7SO.01A.11R.A355.07	TCGA.BQ.7062.01A.11R.1965.07	TCGA.UZ.A9PV.01A.11R.A42S.07	TCGA.BQ.5893.01A.11R.1592.07	TCGA.SX.A7SR.01A.12R.A36F.07	TCGA.IA.A83W.01A.11R.A355.07	TCGA.UZ.A9PU.01A.11R.A42S.07	TCGA.EV.5902.01A.11R.1592.07	TCGA.2Z.A9JR.01A.12R.A42S.07	TCGA.2Z.A9J1.01A.11R.A38C.07	TCGA.BQ.5890.01A.11R.1592.07	TCGA.UN.AAZ9.01A.11R.A38C.07	TCGA.Y8.A897.01A.11R.A36F.07	TCGA.SX.A7SN.01A.11R.A355.07	TCGA.AL.3471.01A.02R.1351.07	TCGA.DW.5561.01A.01R.1592.07	TCGA.5P.A9K3.01A.11R.A42S.07	TCGA.A4.8311.01A.11R.2404.07	TCGA.BQ.7045.01A.31R.1965.07	TCGA.F9.A8NY.01A.11R.A36F.07	TCGA.B3.A6W5.01A.12R.A33Z.07	TCGA.UZ.A9PP.01A.11R.A42S.07	TCGA.UZ.A9PJ.01A.11R.A38C.07	TCGA.BQ.7058.01A.11R.1965.07	TCGA.BQ.7044.01A.11R.1965.07	TCGA.UZ.A9PM.01A.21R.A38C.07	TCGA.5P.A9K0.01A.11R.A42S.07	TCGA.5P.A9KA.01A.11R.A42S.07	TCGA.A4.8098.01A.11R.2404.07	TCGA.A4.7584.01A.11R.2139.07	TCGA.SX.A71V.01A.11R.A33Z.07	TCGA.2Z.A9JL.01A.11R.A42S.07	TCGA.BQ.7046.01A.11R.1965.07	TCGA.HE.A5NL.01A.11R.A26U.07	TCGA.A4.A48D.01A.11R.A24Z.07	TCGA.A4.8516.01A.11R.2404.07	TCGA.IZ.8195.01A.31R.2404.07	TCGA.AL.3466.01A.02R.1351.07	TCGA.GL.8500.01A.11R.2404.07	TCGA.B1.A655.01A.11R.A31O.07	TCGA.A4.8630.01A.11R.2404.07	TCGA.P4.A5E7.01A.31R.A28H.07	TCGA.B3.4103.01A.02R.1351.07	TCGA.A4.8310.01A.11R.2404.07	TCGA.F9.A7Q0.01A.11R.A36F.07	TCGA.2Z.A9J6.01A.11R.A38C.07	TCGA.SX.A7SU.01A.11R.A36F.07	TCGA.G7.7502.01A.11R.2204.07	TCGA.A4.7585.01A.11R.2139.07	TCGA.AL.3468.01A.02R.1351.07	TCGA.AT.A5NU.01A.11R.A28H.07	TCGA.GL.A4EM.01A.11R.A24Z.07	TCGA.BQ.7051.01A.12R.1965.07	TCGA.A4.A5DU.01A.11R.A28H.07	TCGA.Y8.A8RY.01A.11R.A37K.07	TCGA.B9.A8YI.01A.21R.A37K.07	TCGA.BQ.7060.01A.11R.1965.07	TCGA.GL.A9DC.01A.11R.A37K.07	TCGA.A4.A5Y0.01A.11R.A31O.07	TCGA.G7.6790.01A.11R.1965.07	TCGA.5P.A9KF.01A.11R.A42S.07	TCGA.HE.A5NK.01A.11R.A26U.07	TCGA.A4.7583.01A.11R.A32Z.07	TCGA.A4.8515.01A.11R.2404.07	TCGA.SX.A71W.01A.12R.A355.07	TCGA.B9.A5W8.01A.11R.A28H.07	TCGA.MH.A55W.01A.11R.A26U.07	TCGA.Y8.A8S1.01A.11R.A37K.07	TCGA.P4.AAVM.01A.11R.A42S.07	TCGA.A4.A772.01A.11R.A33Z.07	TCGA.J7.8537.01A.11R.2404.07	TCGA.5P.A9KE.01A.11R.A42S.07	TCGA.BQ.5880.01A.11R.1592.07	TCGA.F9.A97G.01A.11R.A38C.07	TCGA.B1.5398.01A.02R.1592.07	TCGA.IA.A40X.01A.11R.A24Z.07	TCGA.A4.7286.01A.11R.A32Z.07	TCGA.A4.A5XZ.01A.11R.A31O.07	TCGA.G7.A8LE.01A.11R.A36F.07	TCGA.UZ.A9PX.01A.11R.A42S.07	TCGA.BQ.7050.01A.11R.1965.07	TCGA.B9.A8YH.01A.11R.A37K.07	TCGA.SX.A71U.01A.12R.A33Z.07	TCGA.B9.4113.01A.01R.1193.07	TCGA.B9.4116.01A.02R.1351.07	TCGA.SX.A7SP.01A.11R.A355.07	TCGA.UZ.A9PS.01A.11R.A42S.07	TCGA.SX.A7SL.01A.11R.A355.07	TCGA.IA.A83S.01A.11R.A355.07	TCGA.BQ.5887.01A.11R.1965.07	TCGA.DZ.6134.01A.11R.1965.07	TCGA.B1.A657.01A.11R.A31O.07	TCGA.BQ.5884.01A.11R.1592.07	TCGA.2Z.A9JM.01A.12R.A42S.07	TCGA.UZ.A9Q1.01A.11R.A42S.07	TCGA.DW.7838.01A.11R.2139.07	TCGA.Y8.A8RZ.01A.11R.A37K.07	TCGA.A4.8517.01A.11R.2404.07	TCGA.O9.A75Z.01A.11R.A33Z.07	TCGA.A4.A4ZT.01A.11R.A26U.07	TCGA.5P.A9K6.01A.11R.A42S.07	TCGA.GL.A59T.01A.21R.A28H.07	TCGA.P4.AAVO.01A.11R.A42S.07	TCGA.Y8.A895.01A.11R.A36F.07	TCGA.BQ.7048.01A.11R.1965.07	TCGA.DW.7963.01B.11R.A28H.07	TCGA.Y8.A8S0.01A.11R.A37K.07	GTEX.ZQG8.2126.SM.4YCF1	GTEX.13NYC.2626.SM.5K7VN	GTEX.131XF.2826.SM.5EGKH	GTEX.ZC5H.2726.SM.5KLZW	GTEX.13CF2.2426.SM.5LZYL	GTEX.1399T.0126.SM.5KM15	GTEX.OXRO.1226.SM.48TDL	GTEX.132AR.1526.SM.5KM1L
SFI1	29.91	180.02	158.79	55.89	132.44	62.56	78.89	105.15	92.7	108.9	264.03	142.01	135.24	476.71	146.03	115.97	92.05	186.4	1313.23	180.02	915.51	299.25	536.45	420.68	444.72	106.63	341.51	921.88	336.79	438.59	1135.2	206.94	703.28	860.08	665.29	297.17	688.78	616.37	122.64	529.06	866.07	493.56	1883.54	753.83	420.68	902.89	217.27	251.48	490.14	624.99	376.41	255.0	133.36	177.53	713.11	547.75	301.33	902.89	607.87	860.08	343.89	1001.93	289.02	647.07	140.04	575.03	406.31	144.01	708.18	339.14	651.58	348.71	890.44	878.17	842.36	486.75	215.77	698.41	981.29	186.4	209.84	890.44	1175.27	204.07	279.14	521.76	144.01	224.97	890.44	379.04	928.3	414.87	819.3	358.54	599.49	156.59	275.28	915.51	138.1	563.18	232.94	169.07	289.02	457.25	253.23	371.22	638.15	507.46	343.89	860.08	802.41	802.41	1594.73	656.11	507.46	1023.0	265.87	149.12	206.94	647.07	166.73	470.14	289.02	176.29	187.71	490.14	511.0	713.11	450.94	277.2	157.68	1066.48	339.14	307.69	785.88	19.53	165.57	87.65	118.43	94.01	525.39	450.94	379.04
SH2B1	521.76	521.76	518.15	612.11	647.07	703.28	698.41	688.78	563.18	708.18	633.73	928.3	555.41	1167.14	480.04	450.94	521.76	450.94	2935.74	808.0	1135.2	842.36	1397.83	1617.0	1529.73	791.35	842.36	1529.73	1175.27	1583.71	2895.31	819.3	2047.0	1551.09	1781.89	2555.58	1963.57	1781.89	1508.65	1617.0	1870.53	2018.8	1781.89	1487.87	884.29	2976.74	1051.79	1242.34	1572.76	1870.53	1417.35	1369.04	1159.07	1037.29	1605.83	1268.46	1286.18	1605.83	1225.22	1322.37	1233.75	2032.85	1199.98	2104.58	1529.73	1457.23	2090.03	733.19	1806.78	1417.35	1819.35	1350.18	3103.19	2047.0	1806.78	1594.73	738.29	1583.71	3515.68	836.53	1508.65	2193.99	2148.82	684.02	1233.75	1639.59	651.58	1037.29	1617.0	981.29	2047.0	1467.37	2047.0	1127.35	1909.85	624.99	780.44	1721.16	483.38	1225.22	775.05	607.87	748.61	1540.37	1051.79	947.83	1628.26	2104.58	1001.93	1447.15	1745.2	1529.73	1583.71	1685.71	1208.34	2400.97	854.13	753.83	1081.39	1628.26	651.58	1081.39	961.07	764.36	624.99	1427.22	1572.76	1896.65	1295.13	1088.92	1088.92	2627.46	1051.79	928.3	2061.24	176.29	540.19	665.29	693.58	633.73	1487.87	1594.73	1685.71
SLC9C1	2.71	3.11	1.17	2.53	0.58	0.6	0.66	2.46	0.0	0.0	2.56	0.38	0.0	11.3	0.36	1.45	0.33	0.0	13.62	0.64	6.16	3.79	13.12	1.45	4.62	0.84	0.35	13.83	2.16	6.31	25.35	1.46	8.99	13.72	18.29	2.48	10.16	5.92	2.34	3.17	8.78	11.91	36.79	17.9	1.58	13.62	9.93	0.32	5.59	2.89	12.74	2.03	3.59	0.37	6.01	6.67	2.01	3.59	8.58	21.63	3.53	12.93	0.79	8.06	2.16	0.0	3.56	1.45	18.43	9.7	14.24	2.16	14.03	9.56	52.82	6.89	0.75	29.27	23.08	0.0	11.38	8.38	11.3	1.69	2.36	7.63	3.41	2.32	23.25	0.39	25.91	11.91	8.85	7.82	8.19	0.75	4.43	3.79	1.73	5.63	0.0	0.36	0.0	10.47	0.77	5.5	12.0	13.62	2.23	16.03	4.35	33.3	6.57	8.99	12.83	2.94	0.79	0.0	3.2	11.91	2.71	8.45	3.89	5.5	0.39	2.68	17.38	8.32	6.52	6.16	0.77	22.43	1.91	6.26	15.0	0.0	0.24	0.82	2.18	0.07	1.64	0.48	1.43
SPSB3	974.5	277.2	463.65	775.05	1051.79	1104.13	1001.93	764.36	638.15	629.35	656.11	543.96	563.18	1023.0	733.19	555.41	909.17	555.41	2682.69	1030.12	1709.26	884.29	1437.15	1044.52	2163.77	1088.92	1639.59	1794.29	1199.98	1685.71	2451.44	1286.18	2384.37	2004.85	2119.22	2351.53	2090.03	2384.37	1639.59	1159.07	1561.89	2133.97	1369.04	1806.78	708.18	2271.4	1242.34	1417.35	1388.16	2178.83	1340.84	1427.22	1477.58	1208.34	1857.6	1662.49	1096.5	1572.76	1407.55	1733.13	1066.48	2555.58	1561.89	1674.06	1066.48	463.65	1745.2	583.07	1397.83	1498.22	1832.01	961.07	1769.57	2739.08	2119.22	1295.13	785.88	1651.0	3303.0	780.44	1151.06	2468.49	1936.53	536.45	974.5	1662.49	633.73	1066.48	2367.9	1151.06	1832.01	1617.0	1950.0	1397.83	1551.09	848.22	947.83	2468.49	620.67	1519.15	947.83	819.3	1044.52	1104.13	1628.26	1059.11	1639.59	1883.54	1015.93	1721.16	1977.24	1757.34	1135.2	1674.06	1369.04	2555.58	1388.16	813.63	896.64	2119.22	397.93	1159.07	872.1	665.29	1044.52	1617.0	1769.57	1697.45	1540.37	1073.91	1519.15	2796.65	1037.29	1378.57	2104.58	429.54	703.28	1037.29	703.28	909.17	1225.22	825.0	988.12
STOX2	38.4	41.22	15.91	46.5	32.13	47.84	59.55	60.39	15.68	45.21	43.63	58.3	31.0	150.17	35.5	23.93	37.32	59.97	75.11	53.95	75.64	43.32	107.38	25.54	31.9	24.99	24.46	110.43	27.64	84.63	105.15	30.12	123.5	119.26	125.24	154.42	80.57	44.57	24.63	38.67	57.08	58.71	251.48	122.64	5.15	126.12	38.4	32.36	34.51	88.26	139.07	28.04	40.07	26.28	103.69	125.24	29.7	78.34	50.63	110.43	43.32	97.36	17.77	167.9	45.85	96.01	53.19	60.82	85.82	62.56	187.71	46.84	123.5	63.0	137.14	146.03	45.53	144.01	102.25	30.78	92.05	82.87	100.13	54.33	98.73	84.04	56.68	53.19	163.28	36.27	89.51	76.17	68.55	33.06	65.72	7.06	34.51	65.72	41.81	33.78	26.67	70.51	40.36	39.79	44.89	46.18	127.89	74.58	62.12	91.41	59.13	127.89	118.43	57.89	60.82	75.64	24.81	31.22	90.77	57.49	47.84	49.91	39.5	59.55	63.0	90.14	77.79	92.05	77.25	21.01	16.88	73.03	59.13	40.64	118.43	27.64	44.57	21.01	39.22	42.11	98.73	70.51	17.38
TAF1C	173.85	441.64	603.67	198.47	275.28	234.57	381.68	341.51	323.03	161.02	297.17	454.09	303.44	518.15	228.13	348.71	346.29	320.8	1628.26	457.25	890.44	500.46	571.05	928.3	555.41	264.03	463.65	796.86	571.05	713.11	1936.53	169.07	1457.23	1030.12	1605.83	941.27	1175.27	583.07	289.02	629.35	860.08	1104.13	1594.73	1081.39	373.81	1883.54	444.72	486.75	974.5	1023.0	624.99	297.17	708.18	353.59	728.11	808.0	620.67	836.53	791.35	1104.13	514.56	1467.37	363.56	674.59	454.09	872.1	738.29	204.07	813.63	934.76	1487.87	890.44	1135.2	1104.13	1733.13	693.58	444.72	1051.79	1709.26	454.09	647.07	1286.18	1030.12	159.9	348.71	934.76	329.84	406.31	2090.03	612.11	1081.39	733.19	954.43	447.82	1008.9	287.01	332.14	961.07	607.87	555.41	246.28	563.18	423.61	239.52	500.46	460.44	1051.79	1268.46	563.18	1096.5	1529.73	848.22	2004.85	1135.2	679.29	1023.0	339.14	358.54	279.14	878.17	356.05	507.46	301.33	283.05	587.13	559.28	830.75	954.43	500.46	447.82	363.56	1295.13	450.94	476.71	1044.52	96.68	373.81	423.61	473.41	373.81	988.12	651.58	1467.37
TAS2R14	16.03	28.65	26.1	4.17	12.74	21.47	7.57	12.83	13.83	12.0	10.96	27.84	15.45	23.59	1.36	6.46	12.0	8.25	23.25	8.13	49.56	21.16	28.65	12.93	33.3	6.21	16.39	80.01	28.65	38.12	35.0	13.72	46.18	58.71	39.22	17.25	25.35	25.35	15.0	38.67	22.92	29.06	115.16	59.97	13.72	38.12	3.92	13.72	49.91	38.12	29.06	6.57	6.41	8.13	32.36	41.22	18.84	43.32	22.26	57.49	14.14	49.91	5.45	28.24	12.09	25.54	7.11	11.47	30.56	27.84	36.53	22.59	98.04	33.78	70.51	44.25	10.31	41.52	24.11	12.74	8.38	27.05	42.11	5.06	10.55	36.79	10.24	9.27	32.36	14.89	24.81	16.15	35.25	10.47	37.59	6.31	4.82	34.75	2.76	12.45	13.62	6.84	2.61	8.58	6.78	17.64	43.63	39.79	20.71	37.05	47.5	50.63	45.85	29.91	22.43	25.54	18.43	10.24	15.56	29.91	11.13	25.17	17.13	14.89	9.56	28.45	22.75	38.4	18.56	16.39	3.79	31.9	7.17	25.17	43.02	1.36	10.08	6.16	5.02	9.78	58.71	31.67	37.59
TAS2R4	0.6	12.27	12.93	0.0	0.0	2.12	0.0	1.89	4.17	3.89	2.94	1.81	10.63	10.96	4.1	2.18	0.97	1.75	45.53	3.47	21.94	4.98	24.46	5.41	5.54	0.0	7.4	21.63	3.63	8.13	28.65	9.78	12.83	11.82	36.79	9.93	14.35	5.63	6.36	4.46	2.41	6.36	82.87	38.12	0.82	35.0	3.96	7.63	9.27	4.54	15.45	4.1	2.43	0.0	16.75	11.3	19.97	11.21	15.45	30.34	6.73	28.24	0.0	10.71	0.0	30.34	4.54	1.46	27.05	14.35	24.81	4.94	27.05	24.46	49.91	14.89	2.25	56.68	18.29	2.32	6.84	44.89	17.64	2.97	6.31	17.64	2.61	1.01	29.06	1.85	9.78	6.36	13.93	1.01	14.89	0.0	0.0	15.22	1.41	7.28	1.39	0.0	0.0	3.32	2.66	6.26	24.28	18.43	7.06	18.43	24.28	19.39	24.46	7.28	5.5	7.22	0.0	0.75	3.63	12.74	0.36	13.62	2.76	3.82	4.1	4.24	26.47	8.38	10.24	1.89	0.0	24.99	0.0	8.25	25.91	0.0	1.14	3.08	4.13	0.53	4.98	7.46	24.28
TAS2R5	5.96	20.86	12.45	3.2	2.73	5.96	3.11	2.07	0.83	4.7	7.46	4.03	11.55	24.81	7.57	3.69	2.29	2.84	60.39	0.68	26.67	12.0	43.94	19.53	1.81	0.89	28.45	40.36	8.38	19.25	62.12	18.97	35.25	22.1	92.05	19.68	40.07	8.45	4.43	7.75	19.25	35.25	126.12	109.66	6.46	83.45	11.91	21.63	43.63	23.08	32.82	8.78	6.57	1.85	31.9	32.13	37.85	26.86	45.85	57.49	10.08	63.0	0.84	31.45	0.92	73.54	9.56	2.61	41.22	24.28	64.34	7.51	21.32	32.82	65.72	57.08	8.32	120.94	34.75	2.84	17.9	78.89	48.52	7.75	12.36	29.48	5.68	6.78	63.45	7.46	27.44	8.38	22.1	16.88	23.76	0.0	4.94	30.34	7.0	5.77	0.0	1.43	0.42	7.06	6.52	12.27	56.28	44.25	6.06	38.12	48.87	81.14	100.83	19.39	48.52	10.63	0.83	0.0	5.32	27.64	0.39	42.71	7.51	5.68	13.83	8.92	54.72	43.94	26.47	4.46	5.77	30.12	5.82	13.83	36.53	0.07	5.59	2.71	6.11	7.06	21.32	50.63	62.12
TBC1D12	78.34	111.99	166.73	47.5	91.41	86.43	103.69	65.26	118.43	112.77	105.89	204.07	145.02	156.59	89.51	150.17	74.06	129.69	165.57	96.01	172.65	146.03	195.72	158.79	145.02	78.89	81.14	441.64	120.94	182.55	209.84	133.36	273.37	178.77	204.07	178.77	171.45	152.28	75.64	205.5	224.97	150.17	473.41	209.84	96.01	202.66	108.9	205.5	142.01	127.89	224.97	46.84	108.9	100.83	187.71	175.07	142.01	176.29	111.21	220.32	102.97	307.69	111.21	178.77	164.42	128.79	156.59	102.97	197.09	124.37	248.0	98.73	299.25	147.06	285.03	211.31	97.36	167.9	166.73	63.45	106.63	166.73	285.03	64.8	142.01	163.28	83.45	87.65	265.87	299.25	262.2	181.28	285.03	169.07	223.41	28.24	87.65	139.07	89.51	105.15	103.69	38.4	69.52	144.01	97.36	148.09	198.47	201.25	151.22	197.09	153.34	343.89	283.05	120.94	171.45	251.48	90.14	96.68	150.17	241.19	136.19	152.28	96.01	181.28	74.06	135.24	150.17	159.9	139.07	100.83	53.57	221.86	111.99	105.89	242.88	108.9	106.63	75.11	119.26	175.07	80.01	102.97	289.02
TBC1D3B	6.46	0.0	1.17	0.0	10.24	0.0	1.58	0.06	0.28	2.92	1.91	6.21	0.0	8.06	0.0	0.0	0.0	0.0	63.89	1.64	31.22	28.45	19.97	1.51	0.34	0.0	20.41	8.19	24.99	6.84	27.25	0.0	30.56	33.3	53.57	4.46	48.52	10.79	0.0	5.87	11.73	18.03	53.95	6.62	8.45	29.27	8.92	10.31	6.41	22.43	29.91	0.0	2.51	2.2	27.84	25.35	7.4	33.3	9.56	27.44	15.11	47.17	2.84	9.93	1.81	265.87	3.35	5.54	27.25	7.0	29.7	4.1	0.0	52.08	113.56	0.0	4.58	15.56	11.38	0.0	4.13	50.98	30.78	0.0	8.38	73.03	3.08	0.0	29.7	0.0	1.07	3.29	14.14	0.0	3.92	0.0	0.0	17.77	7.06	8.25	2.84	0.0	0.0	3.06	5.41	0.0	17.64	30.12	17.0	18.16	16.75	6.84	26.47	58.3	27.64	30.12	7.88	1.17	0.0	7.17	0.73	14.56	5.96	5.32	2.29	4.31	8.92	16.39	0.0	10.47	0.0	33.06	3.14	17.77	18.56	1.81	0.0	1.73	4.46	1.25	5.59	7.94	6.52
TBC1D3C	26.86	29.48	18.16	22.75	17.9	0.0	0.0	2.89	15.11	8.38	4.98	22.43	14.78	108.9	6.31	3.41	8.19	20.11	665.29	0.0	130.6	11.82	110.43	36.01	20.56	14.89	9.06	318.57	18.84	88.26	395.18	90.14	175.07	157.68	248.0	51.71	423.61	21.47	4.17	49.56	76.71	58.3	373.81	65.26	18.7	81.14	14.35	30.34	70.51	90.77	109.66	26.1	5.87	65.26	224.97	201.25	85.22	74.06	38.12	197.09	93.35	74.58	14.14	39.22	35.0	161.02	7.06	3.03	105.89	187.71	120.1	18.97	97.36	172.65	265.87	115.16	2.73	129.69	159.9	24.81	25.17	301.33	57.08	33.3	10.55	215.77	14.14	2.78	260.38	7.17	26.47	61.68	30.56	138.1	58.3	1.6	9.63	204.07	10.31	21.94	0.0	11.64	30.78	61.25	38.67	36.79	164.42	199.85	25.91	198.47	201.25	336.79	134.3	66.65	170.25	60.82	48.52	7.63	9.13	24.46	9.06	97.36	2.86	6.84	14.45	34.02	82.29	60.82	45.21	10.96	19.39	149.12	5.54	120.94	38.12	8.99	15.45	20.26	50.98	16.27	62.12	41.22	64.8
TBC1D3F	28.86	66.18	19.68	43.32	141.02	41.22	32.82	28.24	9.2	12.64	106.63	59.97	92.7	293.07	63.45	46.18	26.1	101.54	785.88	56.28	392.44	136.19	107.38	239.52	242.88	38.67	120.94	450.94	215.77	195.72	651.58	153.34	616.37	529.06	665.29	178.77	460.44	236.21	99.43	56.68	221.86	642.59	733.19	463.65	204.07	884.29	156.59	493.56	135.24	273.37	361.04	54.72	120.1	85.22	470.14	480.04	161.02	287.01	251.48	384.34	113.56	525.39	48.18	172.65	76.17	1605.83	112.77	22.59	299.25	441.64	389.72	117.6	301.33	318.57	1417.35	180.02	90.14	417.77	336.79	28.04	90.14	616.37	748.61	44.25	69.03	358.54	120.1	54.72	563.18	201.25	256.78	172.65	417.77	119.26	36.79	31.0	40.07	444.72	111.21	201.25	11.04	28.45	45.53	180.02	120.1	138.1	435.55	363.56	175.07	511.0	312.0	551.56	423.61	409.15	195.72	454.09	53.57	20.26	43.94	420.68	48.18	189.02	31.22	172.65	144.01	158.79	579.04	397.93	215.77	221.86	81.71	591.22	75.64	125.24	373.81	10.24	56.68	33.06	98.73	64.8	98.04	287.01	547.75
TBC1D3G	10.88	28.45	28.24	3.99	29.7	8.19	6.89	18.03	11.21	5.54	25.72	21.78	46.84	139.07	38.12	16.03	9.2	34.75	476.71	21.32	248.0	40.36	109.66	126.12	68.07	16.75	80.01	231.32	85.82	120.94	281.09	75.64	275.28	153.34	532.74	80.01	529.06	144.01	26.1	84.04	131.51	187.71	435.55	389.72	44.89	389.72	51.71	135.24	68.07	127.0	147.06	69.03	34.26	16.88	429.54	172.65	106.63	202.66	144.01	271.48	130.6	232.94	16.15	87.65	36.01	723.08	45.53	9.41	206.94	214.27	301.33	65.26	163.28	293.07	518.15	108.9	30.12	287.01	209.84	17.51	31.67	356.05	193.01	34.26	46.84	389.72	62.12	17.51	281.09	71.0	135.24	58.3	167.9	40.36	47.5	8.92	56.68	144.01	24.81	94.67	9.48	35.5	4.31	85.22	19.11	78.34	297.17	275.28	112.77	295.11	299.25	253.23	206.94	163.28	267.73	164.42	33.78	11.47	31.67	87.03	11.21	141.02	40.64	23.93	74.58	76.71	255.0	215.77	105.15	38.67	7.11	251.48	37.32	53.19	204.07	3.63	21.16	13.93	70.01	48.18	81.71	181.28	99.43
TBC1D3H	9.13	27.44	17.77	4.03	14.67	16.51	11.21	3.14	1.51	0.0	75.64	37.05	9.41	81.71	10.16	37.59	2.03	8.58	389.72	5.92	133.36	20.86	82.29	41.81	27.44	12.45	24.46	147.06	31.22	92.05	215.77	82.87	279.14	109.66	183.82	38.4	178.77	20.11	10.39	31.0	121.79	118.43	123.5	289.02	11.91	172.65	42.41	34.51	59.97	88.26	113.56	35.0	10.0	15.45	173.85	181.28	71.0	95.34	58.71	159.9	66.18	253.23	1.69	35.76	8.06	414.87	21.32	0.82	83.45	52.08	111.21	41.22	102.97	189.02	397.93	47.84	6.57	224.97	98.04	19.82	37.32	232.94	145.02	25.72	24.63	142.01	12.83	8.99	150.17	14.67	122.64	22.92	50.63	61.68	34.26	5.82	19.53	236.21	6.84	30.34	9.48	25.91	2.76	47.17	37.59	44.25	90.14	90.77	40.36	224.97	142.01	309.83	246.28	153.34	127.89	76.17	7.22	16.63	13.32	72.52	2.86	108.9	14.14	8.65	16.75	36.79	76.71	70.01	127.0	14.14	18.29	191.67	7.51	22.1	55.49	0.46	41.52	7.94	14.56	20.71	32.82	28.24	125.24
THBS3	228.13	438.59	228.13	169.07	246.28	334.46	348.71	412.0	128.79	152.28	224.97	332.14	547.75	848.22	190.34	194.36	285.03	279.14	1883.54	323.03	743.43	429.54	723.08	454.09	571.05	256.78	563.18	961.07	432.53	684.02	1529.73	262.2	1111.82	1250.98	1397.83	890.44	961.07	603.67	289.02	728.11	733.19	1208.34	1183.45	764.36	571.05	1628.26	497.0	587.13	665.29	698.41	796.86	246.28	521.76	507.46	525.39	1088.92	450.94	612.11	738.29	1096.5	454.09	1388.16	209.84	698.41	334.46	1697.45	348.71	195.72	759.08	775.05	921.88	507.46	830.75	981.29	1950.0	633.73	223.41	1378.57	825.0	295.11	332.14	1259.69	1295.13	269.6	363.56	743.43	241.19	291.04	1551.09	476.71	532.74	595.34	884.29	454.09	733.19	603.67	287.01	928.3	389.72	559.28	189.02	186.4	281.09	466.88	406.31	454.09	1167.14	688.78	423.61	961.07	1127.35	1457.23	1794.29	1001.93	743.43	1191.69	457.25	323.03	275.28	866.07	785.88	860.08	269.6	327.56	339.14	497.0	941.27	813.63	591.22	571.05	480.04	2133.97	348.71	486.75	1008.9	115.16	532.74	356.05	503.95	1183.45	808.0	629.35	743.43
TIA1	503.95	890.44	813.63	318.57	314.17	312.0	239.52	318.57	314.17	348.71	866.07	728.11	466.88	1167.14	186.4	392.44	371.22	583.07	1806.78	420.68	2664.15	638.15	909.17	629.35	769.69	211.31	356.05	2796.65	1059.11	974.5	2384.37	426.57	1674.06	1936.53	2061.24	1369.04	1096.5	902.89	423.61	995.0	1286.18	1427.22	5219.6	4239.45	312.0	3081.75	351.14	769.69	1359.57	909.17	1477.58	373.81	511.0	172.65	1081.39	1857.6	1628.26	1096.5	1628.26	2976.74	860.08	1896.65	232.94	1111.82	450.94	3794.3	651.58	325.29	1572.76	981.29	1794.29	698.41	1250.98	1617.0	2956.17	1199.98	633.73	1832.01	1883.54	256.78	743.43	2758.13	1628.26	507.46	438.59	1369.04	733.19	450.94	3372.43	579.04	1551.09	909.17	1233.75	483.38	1268.46	93.35	438.59	1023.0	651.58	555.41	242.88	543.96	242.88	909.17	511.0	1066.48	2255.7	1583.71	1059.11	1605.83	2271.4	1369.04	2367.9	974.5	1733.13	1508.65	486.75	180.02	297.17	1769.57	371.22	1135.2	470.14	366.09	674.59	660.68	1721.16	1936.53	819.3	470.14	251.48	1427.22	612.11	603.67	1572.76	156.59	303.44	403.5	633.73	258.57	1457.23	412.0	1519.15
