	TCGA.A7.A26I.01A.11R.A169.07.1	TCGA.B8.5552.11A.01R.1672.07	TCGA.38.4625.01A.01R.1206.07	TCGA.38.4625.01A.01R.1206.07.1	TCGA.CH.5739.01A.11R.1580.07	TCGA.EJ.7331.01A.11R.2118.07	TCGA.CH.5765.01A.11R.1580.07	TCGA.XK.AAK1.01A.11R.A41O.07	TCGA.XK.AAJ3.01A.11R.A41O.07	TCGA.G9.6385.01A.11R.1789.07	TCGA.EJ.5526.01A.01R.1580.07	TCGA.KK.A7AV.01A.11R.A32O.07	TCGA.EJ.5524.01A.01R.1580.07	TCGA.VN.A943.01A.11R.A41O.07	TCGA.EJ.5527.01A.01R.1580.07	TCGA.TP.A8TV.01A.11R.A41O.07	TCGA.VN.A88R.01A.11R.A36G.07	TCGA.G9.6351.01A.21R.1965.07	TCGA.J4.A67T.01A.11R.A311.07	TCGA.EJ.5516.01A.01R.1580.07	TCGA.KK.A8I7.01A.21R.A36G.07	TCGA.EJ.A65E.01A.11R.A29R.07	TCGA.HC.A8D1.01A.11R.A36G.07	TCGA.HC.7748.01A.11R.2118.07	TCGA.G9.6333.01A.12R.1965.07	TCGA.CH.5750.01A.11R.1580.07	TCGA.HC.7212.01A.11R.2118.07	TCGA.YL.A9WI.01A.11R.A37L.07	TCGA.EJ.A46I.01A.12R.A26U.07	TCGA.EJ.5508.01A.02R.1580.07	TCGA.EJ.7317.01A.31R.2118.07	TCGA.V1.A9Z9.01A.21R.A41O.07	TCGA.HC.8260.01A.11R.2263.07	TCGA.YL.A8SR.01B.11R.A37L.07	TCGA.YL.A8SO.01B.31R.A37L.07	TCGA.Y6.A8TL.01A.21R.A37L.07	TCGA.VP.A87B.01A.11R.A352.07	TCGA.CH.5746.01A.11R.1580.07	TCGA.HC.7075.01A.11R.1965.07	TCGA.YL.A8SI.01A.11R.A41O.07	TCGA.YL.A8SH.01B.11R.A37L.07	TCGA.G9.6367.01A.11R.1789.07	TCGA.EJ.A6RC.01A.11R.A32O.07	TCGA.CH.5763.01A.11R.1580.07	TCGA.HC.7738.01A.11R.2118.07	TCGA.CH.5753.01A.11R.1580.07	TCGA.J9.A8CN.01A.11R.A352.07	TCGA.G9.6371.01A.11R.1789.07	TCGA.EJ.8470.01A.11R.2403.07	TCGA.J4.A83L.01A.11R.A352.07	TCGA.2A.AAYF.01A.11R.A41O.07	TCGA.EJ.A65G.01A.21R.A29R.07	TCGA.EJ.5512.01A.01R.1580.07	TCGA.YL.A9WK.01A.11R.A37L.07	TCGA.V1.A9OF.01A.11R.A41O.07	TCGA.CH.5768.01A.11R.1580.07	TCGA.EJ.5517.01A.01R.1580.07	TCGA.EJ.5505.01A.01R.1580.07	TCGA.VN.A88O.01A.11R.A352.07	TCGA.WW.A8ZI.01A.11R.A37L.07	TCGA.V1.A8MG.01A.11R.A36G.07	TCGA.EJ.A8FU.01A.11R.A36G.07	TCGA.YL.A8SQ.01B.11R.A37L.07	TCGA.M7.A724.01A.12R.A32O.07	TCGA.HC.7080.01A.11R.1965.07	TCGA.EJ.7318.01B.11R.A32O.07	TCGA.EJ.A8FS.01A.11R.A352.07	TCGA.V1.A9OQ.01A.11R.A41O.07	TCGA.HC.8261.01A.11R.2263.07	TCGA.J4.8198.01A.11R.2263.07	TCGA.EJ.5522.01A.01R.1580.07	TCGA.2A.A8VV.01A.11R.A37L.07	TCGA.EJ.7312.01B.21R.A32O.07	TCGA.ZG.A9L6.01A.11R.A41O.07	TCGA.H9.7775.01A.11R.2118.07	TCGA.XK.AAJR.01A.11R.A41O.07	TCGA.KK.A59X.01A.11R.A29R.07	TCGA.J9.A8CP.01A.11R.A352.07	TCGA.QU.A6IP.01A.11R.A31N.07	TCGA.G9.7509.01A.11R.A41O.07	TCGA.V1.A8WL.01A.11R.A37L.07	TCGA.CH.5790.01A.11R.1580.07	TCGA.CH.5772.01A.11R.1580.07	TCGA.EJ.7115.01A.11R.2118.07	TCGA.YL.A8SB.01A.31R.A37L.07	TCGA.EJ.5496.01A.01R.1580.07	TCGA.HC.7819.01A.11R.2118.07	TCGA.J4.A83K.01A.11R.A352.07	TCGA.EJ.5532.01A.01R.1580.07	TCGA.HC.8262.01A.11R.2263.07	TCGA.EJ.7789.01A.11R.2118.07	TCGA.YL.A8S9.01A.11R.A37L.07	TCGA.EJ.7793.01A.31R.2263.07	TCGA.EJ.7218.01B.11R.A32O.07	TCGA.HC.7211.01A.11R.2118.07	TCGA.J4.AAU2.01A.11R.A41O.07	TCGA.XA.A8JR.01A.11R.A36G.07	TCGA.XK.AAJP.01A.11R.A41O.07	TCGA.HC.8213.01A.11R.A29R.07	TCGA.EJ.5542.01A.01R.1580.07	TCGA.EJ.5515.01A.01R.1580.07	TCGA.CH.5789.01A.11R.1580.07	TCGA.EJ.7792.01A.11R.2118.07	TCGA.EJ.A6RA.01A.11R.A33R.07	TCGA.EJ.7791.01A.11R.2118.07	TCGA.HC.7820.01A.11R.2118.07	TCGA.XJ.A83G.01A.11R.A352.07	TCGA.HC.8259.01A.11R.2263.07	TCGA.EJ.5497.01A.02R.1580.07	TCGA.VP.A875.01A.31R.A352.07	TCGA.EJ.5498.01A.01R.1580.07	TCGA.V1.A8MK.01A.11R.A36G.07	TCGA.CH.5762.01A.11R.1580.07	TCGA.V1.A9OX.01A.11R.A41O.07	TCGA.EJ.A46B.01A.31R.A250.07	TCGA.HC.7078.01A.11R.2118.07	TCGA.ZG.A9ND.01A.11R.A41O.07	TCGA.CH.5748.01A.11R.1580.07	TCGA.HC.8258.01A.11R.2263.07	TCGA.KK.A8I6.01A.11R.A36G.07	TCGA.EJ.7125.01A.11R.1965.07	TCGA.EJ.A8FP.01A.21R.A36G.07	TCGA.EJ.5502.01A.01R.1580.07	TCGA.2A.A8VO.01A.11R.A37L.07	TCGA.XK.AAJA.01A.11R.A41O.07	TCGA.KK.A6E5.01A.11R.A311.07	TCGA.EJ.7321.01A.31R.2263.07	TCGA.EJ.A7NH.01A.12R.A33R.07	TCGA.J4.A83N.01A.11R.A352.07	TCGA.EJ.A7NF.01A.11R.A33R.07	TCGA.EJ.7327.11A.01R.2118.07	TCGA.EJ.7786.11A.01R.2118.07	TCGA.HC.7819.11A.01R.2118.07	TCGA.EJ.7784.11A.01R.2118.07	TCGA.EJ.7115.11A.01R.2118.07	TCGA.HC.8260.11A.01R.2263.07	TCGA.EJ.7792.11A.01R.2118.07	TCGA.G9.6384.11A.01R.1858.07	TCGA.EJ.7317.11A.01R.2118.07	TCGA.EJ.7321.11A.01R.2263.07	TCGA.EJ.7314.11A.01R.2118.07	TCGA.HC.8259.11A.01R.2263.07	TCGA.G9.6342.11A.02R.1965.07	TCGA.EJ.7793.11A.01R.2263.07	TCGA.EJ.7331.11A.01R.2118.07	TCGA.BK.A26L.01A.11R.A277.07
HDDC3	180.02	295.11	0.0	0.08	708.18	624.99	723.08	1199.98	878.17	836.53	555.41	723.08	363.56	1127.35	599.49	1457.23	1350.18	848.22	665.29	540.19	743.43	802.41	647.07	583.07	660.68	490.14	638.15	1277.29	753.83	579.04	1001.93	1015.93	733.19	669.92	1066.48	1051.79	902.89	703.28	947.83	854.13	909.17	928.3	909.17	457.25	748.61	346.29	698.41	836.53	638.15	669.92	1135.2	1233.75	718.08	728.11	860.08	866.07	718.08	665.29	718.08	361.04	961.07	583.07	665.29	954.43	934.76	941.27	1250.98	1572.76	981.29	698.41	463.65	665.29	988.12	620.67	808.0	450.94	866.07	813.63	947.83	791.35	713.11	490.14	583.07	915.51	616.37	583.07	915.51	703.28	665.29	909.17	884.29	878.17	723.08	1183.45	483.38	1015.93	848.22	866.07	1073.91	607.87	514.56	447.82	555.41	967.76	718.08	842.36	1340.84	1096.5	497.0	1143.1	395.18	651.58	466.88	1175.27	890.44	642.59	1437.15	780.44	954.43	878.17	595.34	620.67	624.99	1044.52	500.46	1037.29	848.22	785.88	1037.29	974.5	642.59	339.14	642.59	511.0	733.19	723.08	559.28	551.56	647.07	669.92	426.57	836.53	921.88	483.38	463.65	161.02
HHLA3	28.24	297.17	0.0	0.1	532.74	555.41	463.65	748.61	660.68	571.05	387.02	941.27	186.4	656.11	444.72	848.22	796.86	629.35	406.31	295.11	409.15	555.41	320.8	258.57	500.46	341.51	183.82	607.87	518.15	309.83	748.61	525.39	785.88	450.94	703.28	638.15	423.61	460.44	674.59	698.41	607.87	511.0	493.56	332.14	563.18	176.29	620.67	536.45	500.46	444.72	688.78	417.77	587.13	503.95	872.1	379.04	571.05	651.58	563.18	780.44	954.43	429.54	269.6	551.56	603.67	423.61	525.39	878.17	551.56	414.87	373.81	450.94	638.15	563.18	420.68	371.22	775.05	267.73	529.06	406.31	909.17	267.73	497.0	563.18	423.61	327.56	373.81	466.88	507.46	420.68	536.45	507.46	339.14	500.46	403.5	429.54	728.11	341.51	559.28	336.79	444.72	341.51	555.41	612.11	583.07	363.56	571.05	567.1	379.04	669.92	346.29	441.64	253.23	507.46	633.73	529.06	543.96	480.04	595.34	435.55	669.92	358.54	348.71	708.18	540.19	339.14	389.72	409.15	414.87	457.25	583.07	323.03	521.76	514.56	525.39	928.3	514.56	656.11	543.96	426.57	336.79	559.28	575.03	379.04	532.74	111.21
HMG20B	995.0	616.37	3419.52	769.69	3589.58	4639.29	3018.3	6381.92	11189.6	5255.91	2255.7	6337.83	3515.68	7911.95	2816.11	13776.25	6207.38	4210.15	5441.3	2287.2	5292.48	6792.79	3124.78	3303.0	6745.86	4123.49	3443.31	9540.5	6887.62	3124.78	4639.29	5147.73	4639.29	5112.16	8305.36	10296.45	16496.96	4123.49	8778.97	6037.61	13215.02	5041.77	6840.04	2240.11	7537.18	2976.74	10959.3	6337.83	4095.0	6164.49	9876.98	7911.95	4671.57	5403.7	9673.69	4937.99	4836.35	5403.7	10014.87	10225.32	7032.37	4239.45	6792.79	8363.13	6887.62	7857.29	6745.86	8479.89	9279.58	3847.29	3372.43	5147.73	6607.01	4543.8	4639.29	5791.62	8363.13	5555.65	6983.79	5995.9	6516.03	3491.39	4239.45	5555.65	5633.22	3443.31	4937.99	4802.93	4123.49	4543.8	3982.99	4671.57	4450.27	8901.53	3257.52	7642.41	8305.36	8658.09	5995.9	2645.74	2895.31	3372.43	4038.61	6887.62	4419.52	6079.61	8247.98	5872.48	3639.7	3847.29	2915.45	6207.38	2915.45	7537.18	5791.62	4481.23	9409.14	4903.87	6935.54	4972.34	5183.54	4239.45	3794.3	8134.41	10959.3	6887.62	3614.55	7032.37	5672.41	5791.62	4419.52	2417.67	4358.66	2956.17	3874.05	4972.34	2997.45	4066.71	3395.89	3564.78	3235.01	4095.0	4575.41	3349.13	3235.01	693.58
HRAS	511.0	486.75	0.0	1.13	796.86	1175.27	974.5	2701.35	2591.27	2240.11	902.89	2061.24	1143.1	1508.65	848.22	2591.27	3614.55	1896.65	1977.24	860.08	2224.63	1963.57	1417.35	1159.07	2627.46	1250.98	1015.93	2591.27	2090.03	961.07	1733.13	2287.2	2061.24	2061.24	2400.97	1936.53	2816.11	1250.98	1819.35	2032.85	2178.83	1721.16	1605.83	1143.1	1331.57	981.29	2075.59	1437.15	1242.34	1233.75	1794.29	1794.29	1183.45	2061.24	2119.22	1199.98	1242.34	1051.79	2627.46	2335.28	2178.83	1674.06	1757.34	4181.07	2591.27	2591.27	2032.85	2061.24	2240.11	1467.37	1037.29	1745.2	2537.92	1781.89	981.29	2018.8	3742.05	2075.59	1991.0	1378.57	1844.76	1096.5	1561.89	1991.0	1923.14	928.3	1331.57	1662.49	1331.57	1936.53	2367.9	1605.83	1477.58	1540.37	1199.98	2271.4	1950.0	1745.2	1350.18	1059.11	1088.92	1081.39	1313.23	2133.97	1498.22	1540.37	3280.18	1295.13	728.11	1794.29	1023.0	2090.03	1059.11	2935.74	2287.2	1909.85	2148.82	1199.98	1832.01	2032.85	1498.22	2047.0	1286.18	2520.38	2417.67	2520.38	1151.06	2335.28	1605.83	1628.26	1359.57	1127.35	1781.89	1295.13	1757.34	1909.85	1359.57	1909.85	1250.98	1277.29	1397.83	1745.2	1977.24	1467.37	1250.98	318.57
HSD11B1L	85.82	132.44	0.0	0.28	127.0	137.14	123.5	229.72	403.5	156.59	71.5	301.33	90.77	220.32	121.79	234.57	232.94	239.52	117.6	34.02	241.19	183.82	163.28	98.04	149.12	86.43	95.34	155.5	226.54	94.67	289.02	232.94	108.14	197.09	307.69	251.48	237.86	129.69	194.36	211.31	183.82	217.27	198.47	92.7	139.07	52.08	237.86	135.24	194.36	223.41	152.28	209.84	197.09	251.48	303.44	79.45	129.69	173.85	191.67	190.34	301.33	151.22	138.1	248.0	409.15	209.84	226.54	173.85	229.72	115.97	112.77	130.6	208.38	229.72	121.79	260.38	733.19	403.5	202.66	181.28	189.02	103.69	86.43	167.9	312.0	119.26	84.63	218.79	183.82	132.44	234.57	231.32	170.25	209.84	122.64	143.01	242.88	149.12	119.26	88.26	114.36	118.43	199.85	234.57	201.25	145.02	329.84	129.69	100.83	78.89	140.04	223.41	84.04	320.8	269.6	236.21	218.79	111.99	182.55	154.42	277.2	182.55	153.34	231.32	171.45	163.28	146.03	265.87	214.27	214.27	167.9	189.02	220.32	155.5	140.04	149.12	162.14	142.01	166.73	209.84	175.07	163.28	214.27	175.07	157.68	57.08
HSH2D	24.46	72.52	0.0	0.58	346.29	470.14	118.43	529.06	825.0	201.25	239.52	660.68	169.07	514.56	159.9	723.08	988.12	368.65	447.82	159.9	450.94	514.56	305.55	297.17	651.58	447.82	159.9	665.29	305.55	201.25	173.85	293.07	291.04	438.59	743.43	764.36	514.56	262.2	1015.93	373.81	638.15	229.72	426.57	353.59	314.17	915.51	291.04	441.64	559.28	271.48	612.11	525.39	316.37	384.34	414.87	395.18	320.8	171.45	1175.27	769.69	612.11	392.44	343.89	1508.65	1277.29	559.28	854.13	361.04	872.1	214.27	194.36	224.97	423.61	226.54	185.11	420.68	1769.57	305.55	503.95	305.55	1313.23	145.02	269.6	191.67	420.68	234.57	353.59	423.61	265.87	529.06	269.6	258.57	299.25	358.54	190.34	262.2	1286.18	571.05	633.73	144.01	218.79	358.54	460.44	403.5	277.2	612.11	426.57	454.09	206.94	323.03	171.45	429.54	165.57	616.37	417.77	764.36	555.41	503.95	532.74	281.09	376.41	224.97	301.33	660.68	796.86	457.25	293.07	255.0	466.88	373.81	75.11	100.13	148.09	166.73	226.54	224.97	165.57	239.52	181.28	441.64	101.54	182.55	281.09	140.04	206.94	37.85
HSPB11	579.04	624.99	0.0	0.44	514.56	547.75	521.76	813.63	769.69	536.45	660.68	780.44	607.87	559.28	579.04	728.11	884.29	444.72	603.67	514.56	647.07	1044.52	603.67	366.09	860.08	595.34	356.05	785.88	620.67	583.07	540.19	748.61	808.0	995.0	1051.79	718.08	708.18	656.11	703.28	753.83	836.53	595.34	708.18	651.58	693.58	389.72	728.11	447.82	1096.5	665.29	728.11	896.64	791.35	775.05	825.0	591.22	830.75	656.11	764.36	728.11	769.69	718.08	616.37	902.89	713.11	830.75	961.07	1059.11	753.83	603.67	629.35	830.75	1104.13	679.29	591.22	796.86	1923.14	808.0	748.61	633.73	909.17	536.45	769.69	559.28	796.86	607.87	583.07	642.59	444.72	813.63	836.53	723.08	525.39	718.08	438.59	543.96	848.22	915.51	647.07	503.95	688.78	651.58	595.34	915.51	507.46	571.05	842.36	708.18	547.75	480.04	486.75	759.08	567.1	947.83	579.04	395.18	791.35	665.29	679.29	642.59	463.65	728.11	457.25	934.76	819.3	769.69	423.61	616.37	713.11	753.83	651.58	595.34	547.75	703.28	551.56	713.11	620.67	559.28	563.18	514.56	575.03	934.76	684.02	688.78	507.46	536.45
IFRD2	1073.91	536.45	0.0	0.35	1605.83	1378.57	2148.82	2855.44	2682.69	1745.2	1340.84	2434.5	1295.13	2061.24	1268.46	2664.15	4038.61	2287.2	2502.97	1407.55	2119.22	2417.67	2119.22	1639.59	2287.2	1857.6	1870.53	3081.75	1870.53	1397.83	2133.97	2701.35	2163.77	2451.44	2720.15	2367.9	3540.14	1806.78	2061.24	1883.54	2384.37	1594.73	1883.54	1757.34	1794.29	836.53	1963.57	2104.58	1806.78	1467.37	1594.73	2271.4	1883.54	2335.28	1857.6	2335.28	1175.27	1651.0	1923.14	2520.38	1977.24	1508.65	1529.73	3564.78	3212.66	2701.35	1819.35	2451.44	2319.15	1697.45	1340.84	2090.03	2502.97	1819.35	1745.2	1896.65	3614.55	1709.26	3039.3	1477.58	1697.45	1991.0	1551.09	1844.76	1794.29	1806.78	2119.22	2193.99	1685.71	2537.92	2816.11	1639.59	1617.0	2178.83	1487.87	2224.63	1977.24	3081.75	2335.28	1819.35	1359.57	1529.73	1427.22	2209.26	1936.53	1936.53	3060.45	1844.76	1259.69	2451.44	1277.29	1950.0	1594.73	3235.01	1832.01	1605.83	2255.7	2061.24	2609.3	2451.44	2090.03	1769.57	2047.0	2255.7	2555.58	2816.11	2287.2	2032.85	2319.15	2835.7	1350.18	995.0	1295.13	1225.22	2018.8	1745.2	1551.09	1721.16	1417.35	1350.18	1457.23	1561.89	2303.12	1135.2	1199.98	1059.11
ISOC2	981.29	665.29	0.0	0.34	1233.75	1183.45	1286.18	2319.15	1457.23	1437.15	934.76	1359.57	884.29	1628.26	647.07	1583.71	1963.57	1832.01	2004.85	928.3	1757.34	1674.06	1519.15	1427.22	1551.09	928.3	1199.98	1923.14	1769.57	1008.9	1936.53	1950.0	1745.2	1651.0	2090.03	1127.35	1295.13	1242.34	1745.2	1477.58	1757.34	1883.54	1769.57	915.51	1529.73	1104.13	1794.29	1936.53	1259.69	1286.18	1757.34	1617.0	1322.37	1844.76	1540.37	1605.83	1540.37	1359.57	1369.04	1313.23	1529.73	1529.73	1745.2	2287.2	2193.99	2468.49	1437.15	1540.37	1628.26	1268.46	896.64	1417.35	2915.45	1447.15	1540.37	1628.26	3190.46	1259.69	2417.67	1674.06	1936.53	1030.12	1277.29	1709.26	2209.26	1242.34	1674.06	1529.73	1769.57	1583.71	1745.2	1417.35	1561.89	1721.16	1216.75	1508.65	1936.53	1369.04	1781.89	1143.1	928.3	1250.98	1769.57	1977.24	1359.57	2061.24	2664.15	1883.54	1159.07	1721.16	1304.15	1359.57	1088.92	1697.45	1583.71	2682.69	1709.26	988.12	1832.01	1870.53	1250.98	1605.83	1674.06	1721.16	1498.22	2193.99	1477.58	1561.89	2004.85	1806.78	1397.83	1143.1	1427.22	1111.82	1457.23	1794.29	1697.45	1605.83	1191.69	1477.58	1540.37	1427.22	1923.14	1350.18	1617.0	406.31
IZUMO4	5.92	14.67	0.0	0.79	62.12	181.28	157.68	525.39	1447.15	236.21	102.97	426.57	66.65	363.56	104.42	802.41	1259.69	211.31	223.41	73.03	273.37	381.68	277.2	85.82	336.79	157.68	77.79	551.56	351.14	86.43	339.14	400.71	379.04	137.14	656.11	660.68	1233.75	170.25	181.28	361.04	450.94	202.66	253.23	162.14	265.87	143.01	483.38	197.09	190.34	307.69	353.59	551.56	132.44	127.89	384.34	118.43	116.78	170.25	473.41	239.52	698.41	206.94	316.37	647.07	607.87	358.54	703.28	1096.5	595.34	211.31	142.01	224.97	133.36	237.86	111.99	285.03	368.65	387.02	220.32	114.36	363.56	95.34	115.16	295.11	536.45	156.59	224.97	303.44	139.07	180.02	363.56	295.11	234.57	603.67	125.24	346.29	291.04	624.99	187.71	112.77	161.02	95.34	165.57	316.37	173.85	224.97	536.45	147.06	108.9	366.09	108.9	234.57	43.63	753.83	392.44	361.04	366.09	217.27	503.95	231.32	124.37	248.0	162.14	392.44	866.07	397.93	151.22	603.67	180.02	314.17	170.25	122.64	205.5	77.25	173.85	305.55	144.01	241.19	239.52	237.86	76.17	217.27	114.36	158.79	130.6	17.38
KLK2	9.78	0.75	0.0	0.17	217400.14	246289.25	205673.01	520665.48	236256.4	241220.67	189257.69	209994.66	116501.39	391864.76	167058.21	244588.0	228208.61	246289.25	288856.81	174152.51	234624.45	279017.26	242898.5	225066.78	284880.02	184082.4	191899.64	236256.4	256748.15	161367.56	280957.98	217400.14	280957.98	320506.81	241220.67	324980.94	309589.14	236256.4	350728.68	378516.38	233003.78	292889.12	241220.67	175363.84	254974.66	229795.93	334117.42	341137.96	273275.14	311742.51	378516.38	383800.28	179048.63	234624.45	288856.81	209994.66	256748.15	303217.87	280957.98	386469.83	205673.01	193234.41	360589.03	341137.96	253213.41	443937.41	292889.12	338781.54	256748.15	168220.2	131982.68	279017.26	269512.87	218912.29	286861.53	311742.51	120609.84	363097.14	324980.94	284880.02	299043.36	208544.12	179048.63	294926.33	212926.09	221968.2	329517.51	246289.25	320506.81	229795.93	303217.87	373305.21	262143.0	316094.29	320506.81	419990.32	284880.02	345900.08	334117.42	177811.84	258533.99	195931.88	193234.41	311742.51	228208.61	324980.94	279017.26	355624.68	221968.2	437825.58	127486.83	260332.24	119776.72	265802.39	248002.34	233003.78	260332.24	253213.41	331809.5	246289.25	269512.87	208544.12	185362.8	375901.76	389157.95	299043.36	204252.32	365622.68	383800.28	402881.61	262143.0	101420.22	269512.87	126606.21	284880.02	284880.02	168220.2	284880.02	267651.2	263966.36	155870.75	370726.6	254974.66	175363.84	223512.12	22.75
LMF1	48.18	130.6	0.0	0.58	555.41	486.75	381.68	1023.0	733.19	567.1	389.72	684.02	318.57	629.35	447.82	830.75	796.86	511.0	490.14	255.0	808.0	728.11	500.46	457.25	624.99	612.11	299.25	941.27	848.22	283.05	591.22	921.88	511.0	1159.07	988.12	599.49	688.78	417.77	343.89	642.59	896.64	684.02	665.29	403.5	543.96	320.8	656.11	571.05	559.28	1037.29	647.07	684.02	341.51	808.0	460.44	291.04	460.44	476.71	708.18	1073.91	684.02	616.37	607.87	620.67	583.07	780.44	470.14	518.15	656.11	267.73	332.14	642.59	1295.13	612.11	587.13	620.67	1508.65	563.18	780.44	698.41	723.08	351.14	571.05	518.15	612.11	307.69	612.11	473.41	441.64	309.83	483.38	684.02	603.67	1044.52	412.0	988.12	587.13	599.49	224.97	366.09	409.15	480.04	423.61	718.08	616.37	738.29	759.08	500.46	262.2	848.22	373.81	825.0	432.53	1044.52	629.35	1001.93	1216.75	343.89	642.59	708.18	656.11	651.58	514.56	607.87	902.89	860.08	420.68	733.19	571.05	303.44	438.59	406.31	708.18	389.72	392.44	738.29	387.02	633.73	669.92	713.11	555.41	518.15	540.19	486.75	486.75	34.02
LONP1	934.76	426.57	0.0	0.57	1030.12	1059.11	1081.39	1529.73	1909.85	1096.5	780.44	1331.57	896.64	1295.13	836.53	1457.23	1583.71	1059.11	1250.98	493.56	1183.45	1322.37	1340.84	1104.13	1159.07	928.3	1167.14	1427.22	1242.34	775.05	1437.15	1397.83	1225.22	988.12	1295.13	1397.83	1551.09	1119.56	1151.06	1135.2	1135.2	1286.18	1407.55	802.41	1143.1	738.29	1331.57	1167.14	723.08	1322.37	1225.22	1183.45	890.44	1191.69	1183.45	902.89	830.75	974.5	1359.57	1175.27	1508.65	1175.27	1159.07	1529.73	1250.98	1674.06	1417.35	1135.2	1498.22	1096.5	902.89	1119.56	1199.98	1225.22	1066.48	1268.46	2351.53	1167.14	1331.57	1167.14	1295.13	995.0	813.63	1457.23	1313.23	947.83	1225.22	1277.29	1191.69	1199.98	1447.15	1127.35	1104.13	1477.58	1008.9	1322.37	954.43	1037.29	961.07	947.83	764.36	866.07	988.12	1313.23	1030.12	1233.75	1605.83	1225.22	743.43	796.86	769.69	1242.34	921.88	1417.35	1199.98	1529.73	1250.98	995.0	1359.57	1242.34	947.83	1175.27	1104.13	1225.22	1225.22	1407.55	1242.34	1199.98	1225.22	1388.16	981.29	921.88	1331.57	961.07	981.29	1277.29	896.64	1167.14	934.76	1167.14	1001.93	1037.29	1119.56	884.29	1008.9	438.59
LRRC26	0.0	0.37	0.0	0.0	599.49	1135.2	769.69	1268.46	3847.29	476.71	287.01	2434.5	341.51	2682.69	183.82	6164.49	728.11	1111.82	1819.35	201.25	1806.78	2119.22	1594.73	825.0	2796.65	1088.92	1104.13	4298.64	1651.0	599.49	1417.35	4836.35	1023.0	665.29	4010.71	5555.65	11745.96	1216.75	995.0	7230.1	2520.38	3847.29	3515.68	208.38	4512.4	733.19	2956.17	743.43	297.17	1304.15	12244.81	8479.89	813.63	595.34	1081.39	1909.85	400.71	954.43	1857.6	441.64	2178.83	1407.55	5006.93	1322.37	6037.61	8778.97	2701.35	8598.28	1143.1	281.09	738.29	5403.7	1437.15	1250.98	2178.83	1322.37	5479.15	1498.22	4736.79	6792.79	2609.3	1950.0	381.68	2090.03	1001.93	1963.57	1151.06	3768.09	228.13	620.67	2855.44	1991.0	1350.18	5555.65	190.34	8022.41	2520.38	8901.53	660.68	81.14	314.17	2240.11	1662.49	9540.5	2591.27	5006.93	8963.45	2209.26	1721.16	8363.13	297.17	4066.71	305.55	7749.1	2004.85	616.37	4543.8	660.68	2335.28	5995.9	4388.98	4066.71	3982.99	2895.31	7280.4	1044.52	134.3	8363.13	4575.41	1909.85	819.3	532.74	2178.83	395.18	518.15	1331.57	381.68	260.38	2090.03	1896.65	1304.15	70.01	825.0	334.46	371.22	0.0
MACROD1	251.48	190.34	0.0	0.62	791.35	599.49	1001.93	1030.12	1757.34	1015.93	575.03	1674.06	540.19	1216.75	723.08	2835.7	1135.2	1159.07	1295.13	389.72	1111.82	1250.98	1216.75	514.56	1781.89	638.15	587.13	1857.6	1295.13	620.67	860.08	1313.23	1208.34	1487.87	1806.78	1572.76	2609.3	909.17	1674.06	1167.14	2090.03	1167.14	1697.45	591.22	878.17	825.0	1572.76	1183.45	703.28	1529.73	769.69	1832.01	1250.98	1167.14	1397.83	909.17	830.75	954.43	1857.6	3639.7	1685.71	872.1	1388.16	2090.03	1819.35	1519.15	1662.49	1561.89	1519.15	1015.93	563.18	1447.15	1540.37	1175.27	1304.15	1208.34	2451.44	934.76	1628.26	1096.5	1066.48	703.28	981.29	1208.34	928.3	780.44	1023.0	1447.15	733.19	1143.1	1583.71	2816.11	1175.27	1529.73	656.11	1331.57	1540.37	1572.76	1457.23	543.96	409.15	518.15	819.3	1583.71	819.3	1183.45	2119.22	1268.46	575.03	1151.06	579.04	1233.75	540.19	2133.97	1407.55	1225.22	1151.06	599.49	1111.82	848.22	1508.65	854.13	988.12	2367.9	733.19	1313.23	1322.37	1487.87	1378.57	1617.0	866.07	376.41	1008.9	684.02	909.17	1151.06	825.0	890.44	612.11	848.22	500.46	759.08	1781.89	738.29	718.08	234.57
MAD1L1	323.03	177.53	0.0	0.45	486.75	872.1	384.34	503.95	1769.57	769.69	309.83	1295.13	320.8	1044.52	275.28	854.13	1651.0	555.41	486.75	249.73	1295.13	651.58	454.09	371.22	1001.93	351.14	363.56	2537.92	1066.48	521.76	791.35	665.29	536.45	2224.63	1721.16	575.03	4152.18	353.59	1350.18	525.39	759.08	902.89	1127.35	316.37	785.88	426.57	3665.02	915.51	444.72	1167.14	738.29	954.43	612.11	848.22	1135.2	571.05	775.05	500.46	2400.97	1870.53	1073.91	607.87	775.05	3280.18	1407.55	1030.12	1051.79	1159.07	1457.23	454.09	267.73	493.56	928.3	954.43	429.54	791.35	5292.48	583.07	860.08	387.02	2018.8	307.69	713.11	808.0	1628.26	285.03	376.41	551.56	947.83	457.25	490.14	503.95	555.41	2148.82	723.08	540.19	693.58	624.99	825.0	312.0	287.01	363.56	460.44	878.17	647.07	595.34	1225.22	511.0	320.8	381.68	363.56	642.59	395.18	2537.92	1104.13	1757.34	1963.57	819.3	1159.07	429.54	718.08	713.11	591.22	1037.29	2956.17	1498.22	384.34	1030.12	444.72	476.71	361.04	412.0	567.1	353.59	414.87	775.05	457.25	860.08	507.46	669.92	224.97	525.39	813.63	460.44	503.95	483.38
