	TCGA.G3.A7M5.01A.11R.A33R.07	TCGA.G3.A7M7.01A.12R.A352.07	TCGA.K7.A6G5.01A.11R.A311.07	TCGA.O8.A75V.01A.11R.A32O.07	TCGA.BC.A69I.01A.11R.A311.07	TCGA.FV.A3R2.11A.11R.A22L.07	TCGA.DD.A3A8.11A.11R.A22L.07	TCGA.XK.AAK1.01A.11R.A41O.07	TCGA.EJ.7783.01A.11R.2118.07	TCGA.CH.5764.01A.21R.1580.07	TCGA.EJ.7330.01A.11R.2118.07	TCGA.EJ.5524.01A.01R.1580.07	TCGA.VN.A943.01A.11R.A41O.07	TCGA.TP.A8TV.01A.11R.A41O.07	TCGA.HC.A48F.01A.11R.A250.07	TCGA.VN.A88K.01A.11R.A352.07	TCGA.J4.A67T.01A.11R.A311.07	TCGA.EJ.5516.01A.01R.1580.07	TCGA.EJ.7327.01A.11R.2118.07	TCGA.EJ.AB27.01A.11R.A41O.07	TCGA.G9.6333.01A.12R.1965.07	TCGA.V1.A8X3.01A.11R.A37L.07	TCGA.CH.5750.01A.11R.1580.07	TCGA.HC.7212.01A.11R.2118.07	TCGA.V1.A8ML.01A.11R.A37L.07	TCGA.YL.A8SC.01A.11R.A37L.07	TCGA.EJ.7784.01A.11R.2118.07	TCGA.Y6.A8TL.01A.21R.A37L.07	TCGA.VP.A87B.01A.11R.A352.07	TCGA.HC.7075.01A.11R.1965.07	TCGA.YL.A8SI.01A.11R.A41O.07	TCGA.G9.7525.01A.31R.2263.07	TCGA.EJ.A6RC.01A.11R.A32O.07	TCGA.YL.A8SA.01A.21R.A37L.07	TCGA.ZG.A9L1.01A.11R.A41O.07	TCGA.CH.5753.01A.11R.1580.07	TCGA.J9.A8CN.01A.11R.A352.07	TCGA.G9.6371.01A.11R.1789.07	TCGA.J4.A83L.01A.11R.A352.07	TCGA.2A.AAYF.01A.11R.A41O.07	TCGA.EJ.A65G.01A.21R.A29R.07	TCGA.EJ.7788.01A.11R.2118.07	TCGA.V1.A9OF.01A.11R.A41O.07	TCGA.VP.A87E.01A.31R.A352.07	TCGA.VN.A88O.01A.11R.A352.07	TCGA.WW.A8ZI.01A.11R.A37L.07	TCGA.YL.A8SQ.01B.11R.A37L.07	TCGA.M7.A724.01A.12R.A32O.07	TCGA.EJ.7318.01B.11R.A32O.07	TCGA.EJ.7781.01A.11R.2118.07	TCGA.EJ.5495.01A.01R.1580.07	TCGA.EJ.A8FS.01A.11R.A352.07	TCGA.V1.A9OQ.01A.11R.A41O.07	TCGA.EJ.5522.01A.01R.1580.07	TCGA.2A.A8VV.01A.11R.A37L.07	TCGA.EJ.7312.01B.21R.A32O.07	TCGA.YL.A9WJ.01A.11R.A37L.07	TCGA.XK.AAJR.01A.11R.A41O.07	TCGA.J9.A8CP.01A.11R.A352.07	TCGA.QU.A6IP.01A.11R.A31N.07	TCGA.EJ.7115.01A.11R.2118.07	TCGA.EJ.5506.01A.01R.1580.07	TCGA.HC.7819.01A.11R.2118.07	TCGA.YL.A8S9.01A.11R.A37L.07	TCGA.EJ.7218.01B.11R.A32O.07	TCGA.J4.A83M.01A.11R.A352.07	TCGA.2A.A8VT.01A.11R.A37L.07	TCGA.HC.7211.01A.11R.2118.07	TCGA.VP.A87D.01A.11R.A352.07	TCGA.J4.AAU2.01A.11R.A41O.07	TCGA.XK.AAJP.01A.11R.A41O.07	TCGA.HC.8213.01A.11R.A29R.07	TCGA.EJ.5542.01A.01R.1580.07	TCGA.EJ.A6RA.01A.11R.A33R.07	TCGA.Y6.A9XI.01A.11R.A41O.07	TCGA.HC.7820.01A.11R.2118.07	TCGA.XJ.A83G.01A.11R.A352.07	TCGA.HC.8259.01A.11R.2263.07	TCGA.VP.A875.01A.31R.A352.07	TCGA.EJ.A65F.01A.21R.A311.07	TCGA.EJ.5511.01A.01R.1580.07	TCGA.CH.5762.01A.11R.1580.07	TCGA.V1.A9OX.01A.11R.A41O.07	TCGA.HC.8258.01A.11R.2263.07	TCGA.G9.7519.01A.11R.2263.07	TCGA.2A.A8VO.01A.11R.A37L.07	TCGA.XK.AAJA.01A.11R.A41O.07	TCGA.KK.A6E5.01A.11R.A311.07	TCGA.EJ.A7NH.01A.12R.A33R.07	TCGA.V1.A9ZK.01A.11R.A41O.07	TCGA.2A.A8VL.01A.21R.A37L.07	TCGA.J4.A83N.01A.11R.A352.07	TCGA.EJ.A7NF.01A.11R.A33R.07	TCGA.EJ.7115.11A.01R.2118.07	TCGA.EJ.7125.11A.01R.1965.07	TCGA.G9.6384.11A.01R.1858.07	TCGA.HC.8259.11A.01R.2263.07
RSF1	80.01	88.88	105.15	75.64	133.36	73.03	27.64	176.29	567.1	500.46	435.55	486.75	209.84	248.0	389.72	253.23	244.57	490.14	507.46	273.37	229.72	244.57	490.14	547.75	189.02	316.37	450.94	236.21	218.79	309.83	256.78	166.73	253.23	244.57	473.41	420.68	206.94	271.48	273.37	299.25	242.88	400.71	316.37	228.13	209.84	336.79	327.56	137.14	157.68	480.04	500.46	325.29	181.28	521.76	246.28	206.94	299.25	249.73	215.77	153.34	305.55	363.56	332.14	348.71	218.79	244.57	444.72	420.68	373.81	241.19	231.32	217.27	463.65	194.36	265.87	297.17	154.42	281.09	269.6	281.09	591.22	389.72	164.42	273.37	181.28	249.73	339.14	209.84	293.07	307.69	211.31	246.28	159.9	336.79	176.29	283.05	334.46
SETD2	127.89	140.04	156.59	148.09	165.57	195.72	60.82	206.94	796.86	620.67	587.13	633.73	339.14	366.09	540.19	441.64	412.0	595.34	665.29	417.77	363.56	395.18	514.56	642.59	305.55	447.82	728.11	376.41	358.54	400.71	348.71	334.46	438.59	497.0	500.46	366.09	297.17	334.46	417.77	366.09	309.83	551.56	384.34	343.89	376.41	483.38	325.29	232.94	231.32	567.1	718.08	395.18	215.77	669.92	318.57	279.14	406.31	417.77	325.29	299.25	486.75	579.04	490.14	432.53	379.04	392.44	780.44	540.19	529.06	371.22	412.0	318.57	651.58	314.17	457.25	414.87	228.13	400.71	423.61	420.68	607.87	587.13	307.69	423.61	293.07	341.51	381.68	285.03	447.82	476.71	332.14	346.29	356.05	441.64	242.88	403.5	444.72
SLC37A3	128.79	152.28	141.02	142.01	136.19	172.65	124.37	490.14	819.3	896.64	733.19	1023.0	497.0	503.95	1331.57	373.81	559.28	830.75	728.11	603.67	480.04	547.75	909.17	738.29	454.09	753.83	1081.39	480.04	785.88	387.02	414.87	563.18	503.95	1151.06	967.76	819.3	429.54	718.08	633.73	599.49	490.14	830.75	620.67	403.5	409.15	669.92	819.3	723.08	525.39	819.3	988.12	607.87	480.04	780.44	466.88	503.95	490.14	688.78	368.65	420.68	497.0	486.75	642.59	551.56	493.56	674.59	974.5	830.75	1037.29	379.04	525.39	532.74	769.69	497.0	860.08	603.67	423.61	599.49	638.15	728.11	1135.2	836.53	454.09	460.44	547.75	460.44	612.11	703.28	583.07	684.02	463.65	616.37	543.96	447.82	373.81	336.79	514.56
SMC3	131.51	162.14	157.68	201.25	140.04	187.71	73.54	204.07	688.78	599.49	575.03	738.29	244.57	260.38	518.15	409.15	283.05	674.59	718.08	381.68	264.03	353.59	403.5	642.59	275.28	447.82	624.99	318.57	262.2	389.72	363.56	314.17	406.31	341.51	454.09	571.05	206.94	293.07	320.8	323.03	318.57	612.11	341.51	325.29	255.0	400.71	447.82	242.88	199.85	543.96	738.29	366.09	253.23	693.58	450.94	251.48	336.79	332.14	323.03	287.01	403.5	579.04	417.77	438.59	295.11	371.22	551.56	473.41	500.46	273.37	353.59	473.41	603.67	269.6	389.72	381.68	223.41	371.22	438.59	470.14	511.0	595.34	262.2	316.37	256.78	289.02	289.02	293.07	332.14	406.31	295.11	334.46	320.8	368.65	229.72	309.83	389.72
SPDL1	37.32	37.32	31.0	72.52	31.45	30.34	13.62	56.68	162.14	100.83	96.68	123.5	63.45	78.89	78.34	117.6	63.89	115.16	142.01	69.52	60.82	75.11	131.51	143.01	64.34	92.7	127.89	76.17	66.18	70.01	70.01	61.68	88.88	92.05	108.14	125.24	75.11	74.58	52.08	63.0	83.45	145.02	84.04	66.18	63.0	82.29	139.07	77.79	63.45	120.94	177.53	84.04	62.56	155.5	121.79	56.68	94.67	96.01	73.03	79.45	72.01	78.34	100.13	131.51	67.59	84.63	142.01	96.01	113.56	59.97	98.73	64.8	131.51	56.28	97.36	69.52	61.68	90.77	161.02	105.89	90.14	156.59	75.64	68.07	58.3	68.07	84.63	66.18	78.34	72.52	73.03	80.01	83.45	72.52	73.54	40.64	88.88
STAG2	187.71	130.6	269.6	143.01	273.37	248.0	94.67	409.15	1242.34	1175.27	921.88	1477.58	454.09	403.5	775.05	647.07	476.71	1457.23	1167.14	490.14	476.71	624.99	954.43	1199.98	466.88	764.36	896.64	486.75	493.56	571.05	500.46	460.44	470.14	571.05	748.61	1331.57	423.61	525.39	536.45	571.05	493.56	866.07	684.02	454.09	503.95	753.83	674.59	305.55	249.73	1119.56	1111.82	493.56	368.65	1143.1	612.11	507.46	551.56	555.41	497.0	387.02	703.28	1088.92	796.86	660.68	420.68	463.65	1015.93	1081.39	890.44	412.0	511.0	703.28	1216.75	409.15	620.67	571.05	368.65	571.05	595.34	909.17	872.1	941.27	412.0	476.71	366.09	457.25	476.71	426.57	607.87	607.87	447.82	412.0	486.75	743.43	656.11	529.06	579.04
STRBP	70.01	141.02	154.42	189.02	85.82	156.59	71.5	325.29	607.87	713.11	423.61	567.1	289.02	291.04	1030.12	414.87	287.01	486.75	518.15	384.34	269.6	381.68	466.88	647.07	299.25	684.02	642.59	297.17	285.03	395.18	363.56	343.89	339.14	718.08	890.44	884.29	316.37	387.02	318.57	423.61	441.64	555.41	403.5	262.2	299.25	480.04	503.95	325.29	283.05	438.59	890.44	303.44	277.2	642.59	412.0	265.87	258.57	463.65	260.38	309.83	318.57	540.19	503.95	688.78	400.71	366.09	624.99	466.88	1030.12	351.14	366.09	629.35	599.49	336.79	426.57	387.02	269.6	392.44	476.71	642.59	493.56	470.14	323.03	351.14	323.03	356.05	432.53	339.14	368.65	387.02	389.72	409.15	457.25	318.57	312.0	224.97	343.89
SUN1	1242.34	525.39	532.74	447.82	500.46	521.76	708.18	656.11	2209.26	1781.89	1781.89	1757.34	872.1	1044.52	1662.49	1225.22	1167.14	1268.46	1832.01	981.29	836.53	1340.84	1498.22	1651.0	1059.11	1359.57	2997.45	1081.39	1467.37	884.29	1216.75	698.41	1183.45	1594.73	2287.2	1583.71	974.5	866.07	1088.92	796.86	872.1	1498.22	836.53	1268.46	1030.12	1498.22	1259.69	974.5	718.08	1551.09	2209.26	967.76	890.44	1540.37	1183.45	1023.0	1498.22	1225.22	981.29	1096.5	1059.11	1457.23	1519.15	1369.04	934.76	1242.34	2193.99	1331.57	2148.82	866.07	941.27	1175.27	1674.06	988.12	1397.83	1151.06	703.28	1225.22	1628.26	1639.59	1617.0	1529.73	1073.91	1295.13	688.78	1081.39	1529.73	954.43	1605.83	1104.13	1295.13	1183.45	1066.48	1359.57	842.36	1066.48	1437.15
SUV420H1	295.11	182.55	138.1	127.0	273.37	309.83	111.99	361.04	860.08	813.63	878.17	1008.9	525.39	441.64	860.08	665.29	866.07	813.63	830.75	607.87	599.49	579.04	1208.34	738.29	532.74	457.25	954.43	825.0	620.67	514.56	559.28	480.04	575.03	651.58	1331.57	813.63	493.56	444.72	703.28	470.14	616.37	616.37	769.69	684.02	819.3	842.36	878.17	353.59	358.54	802.41	785.88	775.05	559.28	884.29	684.02	688.78	563.18	571.05	503.95	674.59	647.07	769.69	764.36	961.07	466.88	591.22	848.22	848.22	642.59	543.96	579.04	540.19	954.43	665.29	660.68	599.49	426.57	620.67	738.29	633.73	669.92	836.53	540.19	624.99	414.87	603.67	698.41	674.59	775.05	669.92	669.92	507.46	638.15	579.04	450.94	620.67	813.63
TAB3	147.06	165.57	143.01	120.94	151.22	178.77	89.51	167.9	595.34	575.03	599.49	693.58	351.14	397.93	595.34	256.78	301.33	511.0	518.15	279.14	376.41	486.75	616.37	607.87	229.72	480.04	647.07	299.25	341.51	511.0	287.01	191.67	293.07	305.55	343.89	1119.56	283.05	356.05	351.14	329.84	336.79	607.87	457.25	295.11	309.83	358.54	420.68	178.77	221.86	738.29	460.44	454.09	316.37	575.03	384.34	249.73	447.82	384.34	329.84	291.04	447.82	579.04	441.64	718.08	435.55	426.57	514.56	579.04	571.05	279.14	624.99	444.72	507.46	220.32	575.03	423.61	228.13	426.57	511.0	332.14	595.34	540.19	246.28	303.44	258.57	316.37	507.46	260.38	348.71	397.93	285.03	267.73	301.33	348.71	244.57	262.2	301.33
TAF1	49.56	70.51	48.52	66.18	48.87	105.89	39.79	102.25	603.67	420.68	406.31	395.18	223.41	153.34	334.46	205.5	242.88	417.77	511.0	218.79	161.02	258.57	295.11	483.38	144.01	312.0	376.41	223.41	194.36	208.38	237.86	144.01	260.38	323.03	182.55	409.15	127.89	181.28	281.09	164.42	186.4	395.18	211.31	231.32	127.0	277.2	262.2	95.34	86.43	438.59	466.88	197.09	133.36	392.44	191.67	137.14	267.73	269.6	211.31	186.4	258.57	384.34	303.44	231.32	197.09	239.52	603.67	450.94	466.88	159.9	193.01	267.73	358.54	139.07	275.28	248.0	95.34	253.23	271.48	287.01	447.82	400.71	164.42	236.21	132.44	164.42	198.47	176.29	279.14	260.38	176.29	195.72	246.28	262.2	112.77	195.72	265.87
TAOK1	59.55	42.71	64.8	84.63	62.56	62.56	28.65	66.18	397.93	412.0	341.51	356.05	149.12	115.16	295.11	153.34	204.07	409.15	358.54	149.12	137.14	194.36	327.56	435.55	144.01	212.78	287.01	129.69	98.73	153.34	171.45	119.26	175.07	201.25	224.97	358.54	108.9	145.02	169.07	144.01	135.24	329.84	171.45	163.28	149.12	228.13	189.02	89.51	87.65	336.79	497.0	128.79	110.43	441.64	157.68	108.14	170.25	166.73	138.1	109.66	215.77	332.14	253.23	201.25	140.04	124.37	432.53	336.79	258.57	143.01	144.01	139.07	395.18	98.73	194.36	191.67	92.7	161.02	145.02	204.07	291.04	334.46	120.94	159.9	128.79	127.89	147.06	137.14	182.55	158.79	125.24	111.21	138.1	201.25	132.44	169.07	181.28
TEX10	66.65	104.42	88.88	85.22	98.04	117.6	57.89	178.77	366.09	329.84	295.11	271.48	209.84	218.79	454.09	309.83	309.83	318.57	327.56	232.94	218.79	277.2	353.59	320.8	283.05	323.03	363.56	262.2	159.9	232.94	255.0	185.11	244.57	202.66	348.71	384.34	187.71	251.48	275.28	198.47	209.84	329.84	221.86	197.09	197.09	295.11	361.04	234.57	197.09	239.52	336.79	231.32	214.27	323.03	271.48	232.94	255.0	279.14	264.03	217.27	253.23	323.03	277.2	231.32	220.32	258.57	289.02	255.0	384.34	187.71	221.86	262.2	314.17	239.52	228.13	239.52	211.31	256.78	406.31	395.18	295.11	406.31	212.78	231.32	173.85	226.54	221.86	289.02	291.04	258.57	224.97	226.54	223.41	277.2	323.03	256.78	291.04
THAP1	54.72	67.12	90.14	68.55	81.71	108.9	30.12	105.89	178.77	165.57	149.12	191.67	92.05	100.83	156.59	109.66	107.38	197.09	175.07	120.1	117.6	121.79	142.01	241.19	112.77	92.7	229.72	109.66	77.25	115.97	108.14	111.21	132.44	90.14	152.28	144.01	98.73	137.14	118.43	120.1	131.51	199.85	159.9	97.36	83.45	112.77	173.85	61.68	103.69	165.57	237.86	136.19	120.1	193.01	140.04	112.77	85.22	102.25	105.15	108.14	103.69	172.65	101.54	120.1	118.43	135.24	158.79	141.02	147.06	114.36	123.5	155.5	195.72	109.66	170.25	126.12	110.43	105.89	153.34	161.02	157.68	204.07	81.14	107.38	127.0	111.21	90.77	138.1	99.43	106.63	112.77	102.97	119.26	183.82	260.38	119.26	108.14
TLK2	191.67	183.82	185.11	334.46	212.78	251.48	112.77	273.37	587.13	536.45	429.54	540.19	339.14	332.14	435.55	438.59	426.57	460.44	476.71	400.71	384.34	470.14	555.41	514.56	318.57	532.74	514.56	371.22	327.56	358.54	373.81	303.44	486.75	480.04	529.06	612.11	291.04	384.34	403.5	387.02	323.03	493.56	395.18	389.72	438.59	409.15	420.68	262.2	318.57	514.56	536.45	423.61	255.0	500.46	444.72	316.37	363.56	371.22	417.77	318.57	389.72	514.56	395.18	358.54	348.71	444.72	728.11	457.25	529.06	384.34	320.8	325.29	503.95	341.51	387.02	366.09	305.55	373.81	438.59	616.37	457.25	616.37	343.89	480.04	289.02	339.14	412.0	373.81	497.0	397.93	348.71	339.14	395.18	368.65	339.14	363.56	417.77
TMEM168	76.17	55.89	65.72	58.71	57.08	79.45	77.79	224.97	651.58	591.22	563.18	728.11	441.64	351.14	536.45	246.28	320.8	660.68	547.75	332.14	343.89	429.54	607.87	633.73	303.44	780.44	842.36	336.79	400.71	373.81	246.28	312.0	305.55	656.11	819.3	733.19	242.88	547.75	460.44	351.14	269.6	738.29	454.09	249.73	379.04	307.69	381.68	209.84	220.32	470.14	651.58	403.5	318.57	638.15	395.18	181.28	457.25	514.56	447.82	262.2	379.04	620.67	518.15	607.87	371.22	473.41	563.18	629.35	314.17	297.17	392.44	397.93	1001.93	223.41	647.07	414.87	265.87	450.94	669.92	409.15	679.29	521.76	283.05	368.65	277.2	283.05	466.88	325.29	412.0	507.46	483.38	289.02	363.56	454.09	406.31	244.57	392.44
TRNT1	129.69	172.65	136.19	165.57	157.68	135.24	111.21	253.23	954.43	532.74	395.18	1066.48	242.88	197.09	1769.57	463.65	438.59	836.53	713.11	511.0	285.03	769.69	813.63	543.96	397.93	1250.98	403.5	420.68	267.73	285.03	262.2	476.71	323.03	1111.82	934.76	387.02	441.64	651.58	363.56	381.68	332.14	1088.92	400.71	204.07	334.46	470.14	361.04	269.6	525.39	368.65	890.44	450.94	325.29	753.83	426.57	441.64	500.46	366.09	860.08	348.71	417.77	921.88	1331.57	279.14	211.31	521.76	1183.45	759.08	503.95	229.72	206.94	718.08	890.44	366.09	336.79	480.04	187.71	669.92	289.02	1407.55	633.73	854.13	246.28	291.04	384.34	323.03	525.39	356.05	708.18	348.71	490.14	483.38	599.49	414.87	723.08	220.32	612.11
TSTD2	19.25	53.57	69.52	70.01	41.22	63.0	68.07	189.02	325.29	281.09	269.6	289.02	295.11	249.73	551.56	226.54	246.28	273.37	309.83	177.53	162.14	267.73	297.17	320.8	165.57	463.65	275.28	214.27	191.67	206.94	163.28	98.73	173.85	283.05	191.67	346.29	158.79	177.53	209.84	253.23	171.45	249.73	283.05	139.07	256.78	279.14	229.72	178.77	132.44	289.02	353.59	228.13	103.69	301.33	162.14	148.09	262.2	258.57	193.01	135.24	226.54	271.48	265.87	299.25	212.78	269.6	435.55	265.87	423.61	183.82	303.44	185.11	287.01	158.79	285.03	244.57	176.29	248.0	373.81	329.84	267.73	244.57	191.67	194.36	124.37	155.5	241.19	212.78	273.37	231.32	204.07	224.97	220.32	229.72	187.71	138.1	187.71
UBA3	201.25	318.57	356.05	267.73	264.03	299.25	212.78	595.34	796.86	896.64	698.41	1030.12	293.07	540.19	796.86	587.13	555.41	1015.93	728.11	759.08	647.07	974.5	1073.91	802.41	759.08	1127.35	848.22	651.58	460.44	629.35	775.05	476.71	633.73	693.58	808.0	583.07	483.38	660.68	713.11	642.59	679.29	1073.91	624.99	638.15	525.39	579.04	753.83	463.65	698.41	769.69	848.22	679.29	607.87	1015.93	854.13	603.67	796.86	866.07	743.43	733.19	599.49	1001.93	733.19	620.67	543.96	713.11	785.88	759.08	785.88	607.87	543.96	500.46	1066.48	718.08	638.15	693.58	500.46	728.11	698.41	813.63	785.88	1023.0	603.67	603.67	536.45	567.1	718.08	684.02	708.18	775.05	796.86	743.43	796.86	808.0	1250.98	591.22	848.22
USP42	62.56	37.59	37.05	41.81	34.26	52.82	38.67	77.25	169.07	154.42	182.55	175.07	115.16	103.69	128.79	95.34	153.34	144.01	151.22	112.77	109.66	81.14	176.29	166.73	85.82	127.89	287.01	107.38	152.28	100.83	100.83	63.89	114.36	166.73	249.73	162.14	71.0	88.88	120.94	104.42	95.34	119.26	114.36	103.69	119.26	136.19	161.02	90.77	84.63	187.71	232.94	96.01	72.52	172.65	86.43	102.25	121.79	114.36	91.41	88.88	138.1	141.02	133.36	128.79	103.69	155.5	202.66	157.68	202.66	96.68	140.04	92.7	166.73	98.73	148.09	116.78	81.14	100.83	159.9	138.1	148.09	166.73	108.14	103.69	82.87	91.41	115.97	108.14	120.94	116.78	89.51	113.56	117.6	100.83	55.89	85.82	85.22
USP47	693.58	363.56	256.78	260.38	486.75	343.89	172.65	400.71	1259.69	896.64	995.0	1023.0	532.74	518.15	1286.18	616.37	684.02	759.08	1081.39	708.18	536.45	860.08	723.08	1135.2	579.04	836.53	941.27	547.75	563.18	698.41	620.67	490.14	656.11	915.51	1111.82	1167.14	514.56	480.04	684.02	595.34	529.06	967.76	575.03	559.28	620.67	928.3	607.87	500.46	412.0	995.0	1037.29	713.11	507.46	981.29	769.69	490.14	679.29	780.44	785.88	497.0	684.02	967.76	723.08	642.59	551.56	764.36	1639.59	896.64	1242.34	567.1	629.35	595.34	941.27	559.28	921.88	723.08	518.15	738.29	836.53	802.41	796.86	896.64	579.04	708.18	518.15	563.18	825.0	493.56	753.83	633.73	656.11	612.11	624.99	599.49	371.22	669.92	733.19
VHL	68.07	140.04	139.07	134.3	106.63	180.02	115.97	283.05	819.3	791.35	536.45	743.43	457.25	346.29	638.15	463.65	400.71	529.06	579.04	486.75	438.59	563.18	748.61	665.29	397.93	612.11	669.92	486.75	403.5	432.53	450.94	122.64	454.09	521.76	780.44	447.82	480.04	441.64	583.07	435.55	414.87	660.68	575.03	423.61	447.82	559.28	444.72	271.48	258.57	669.92	708.18	511.0	295.11	872.1	466.88	376.41	511.0	571.05	490.14	397.93	454.09	708.18	587.13	563.18	454.09	500.46	848.22	567.1	934.76	376.41	483.38	507.46	743.43	409.15	559.28	420.68	281.09	244.57	400.71	607.87	703.28	785.88	305.55	395.18	260.38	275.28	414.87	376.41	587.13	543.96	341.51	417.77	493.56	450.94	356.05	258.57	426.57
VPS13B	97.36	208.38	143.01	217.27	78.89	72.52	54.33	281.09	457.25	395.18	339.14	559.28	236.21	366.09	647.07	287.01	267.73	429.54	457.25	327.56	287.01	303.44	358.54	642.59	223.41	356.05	507.46	275.28	256.78	346.29	249.73	195.72	248.0	571.05	287.01	551.56	166.73	218.79	279.14	305.55	249.73	665.29	283.05	244.57	217.27	269.6	368.65	1096.5	155.5	497.0	480.04	480.04	186.4	429.54	318.57	209.84	373.81	314.17	353.59	246.28	307.69	417.77	389.72	698.41	262.2	299.25	902.89	325.29	536.45	234.57	409.15	371.22	395.18	231.32	529.06	420.68	186.4	307.69	669.92	454.09	567.1	500.46	226.54	255.0	183.82	239.52	406.31	251.48	295.11	249.73	255.0	325.29	265.87	264.03	127.0	221.86	236.21
VPS41	229.72	265.87	133.36	214.27	265.87	242.88	201.25	339.14	928.3	830.75	1242.34	878.17	466.88	420.68	624.99	423.61	540.19	1015.93	909.17	463.65	332.14	532.74	743.43	684.02	373.81	583.07	1023.0	480.04	551.56	567.1	507.46	241.19	587.13	426.57	651.58	1023.0	379.04	320.8	603.67	514.56	457.25	928.3	555.41	432.53	376.41	450.94	603.67	283.05	299.25	878.17	947.83	503.95	323.03	1111.82	307.69	366.09	543.96	575.03	414.87	366.09	555.41	854.13	493.56	642.59	540.19	381.68	808.0	896.64	669.92	373.81	438.59	500.46	1001.93	480.04	397.93	551.56	320.8	460.44	395.18	753.83	915.51	1119.56	336.79	674.59	348.71	392.44	255.0	400.71	460.44	660.68	327.56	412.0	351.14	718.08	624.99	497.0	638.15
WAPAL	295.11	329.84	285.03	327.56	309.83	341.51	152.28	341.51	587.13	543.96	480.04	591.22	368.65	400.71	642.59	476.71	470.14	463.65	381.68	429.54	329.84	466.88	457.25	420.68	368.65	426.57	476.71	336.79	299.25	336.79	454.09	368.65	361.04	441.64	603.67	603.67	262.2	392.44	441.64	329.84	414.87	476.71	381.68	373.81	384.34	571.05	447.82	379.04	343.89	483.38	470.14	392.44	346.29	540.19	423.61	361.04	403.5	470.14	426.57	356.05	387.02	536.45	420.68	346.29	351.14	395.18	532.74	473.41	620.67	361.04	387.02	397.93	368.65	423.61	447.82	366.09	406.31	363.56	480.04	483.38	460.44	599.49	339.14	327.56	305.55	366.09	420.68	420.68	373.81	318.57	346.29	426.57	395.18	376.41	297.17	339.14	363.56
WDR31	3.89	12.09	6.01	10.31	5.63	14.89	17.9	28.86	94.67	59.55	108.9	50.98	43.94	53.19	96.68	46.84	33.54	59.13	74.06	51.71	39.22	45.85	48.52	77.79	26.1	41.81	102.97	40.36	51.35	66.18	52.45	21.32	53.19	50.63	62.12	62.56	43.32	37.59	63.0	76.17	34.02	75.64	74.06	39.5	36.01	28.45	46.18	28.65	25.72	92.05	91.41	58.71	33.78	64.8	48.18	29.27	53.95	55.1	42.41	32.13	55.89	56.68	50.63	39.5	52.45	47.17	54.33	57.08	90.14	38.95	63.89	40.36	56.28	36.79	49.56	55.49	33.3	47.5	63.0	76.17	65.72	69.03	28.65	42.41	27.44	50.27	35.5	40.64	57.89	45.85	34.26	32.13	46.84	70.51	51.35	40.07	49.91
ZBTB34	11.38	22.59	19.82	27.44	17.9	26.28	14.67	24.99	96.68	81.14	76.17	87.65	43.02	50.63	183.82	57.49	59.97	69.03	72.52	52.82	43.32	59.13	85.82	68.55	44.57	127.89	90.77	59.13	60.39	55.49	53.19	36.27	48.18	70.01	67.59	158.79	46.18	55.89	67.59	50.63	48.52	82.29	51.35	50.63	34.51	97.36	96.01	59.55	38.12	85.82	111.99	40.64	34.51	92.05	45.21	49.21	63.0	64.34	53.57	53.57	55.1	82.29	53.57	77.25	37.05	80.01	115.16	66.65	130.6	40.07	53.57	53.95	79.45	45.21	127.0	60.39	37.32	48.52	88.26	92.7	89.51	104.42	57.08	49.56	40.07	69.52	115.16	75.64	76.71	59.55	51.35	51.71	42.71	56.68	23.08	46.18	63.0
ZBTB43	25.91	63.89	41.81	33.54	38.67	46.18	54.72	48.52	159.9	231.32	127.0	191.67	80.57	90.77	212.78	80.57	85.22	164.42	129.69	100.13	75.11	97.36	103.69	132.44	94.01	183.82	123.5	92.05	105.89	83.45	63.89	52.08	78.34	105.15	141.02	209.84	62.12	169.07	89.51	69.52	59.97	108.14	138.1	90.77	100.13	117.6	106.63	102.97	52.08	151.22	208.38	69.52	38.95	137.14	101.54	64.8	98.73	90.14	85.82	69.52	87.03	145.02	98.73	83.45	61.68	106.63	198.47	82.87	221.86	64.8	75.64	69.52	119.26	58.3	153.34	97.36	49.56	90.14	111.21	145.02	135.24	189.02	73.54	158.79	73.03	89.51	135.24	163.28	105.89	105.89	112.77	71.5	65.72	99.43	39.5	145.02	169.07
ZC3H7B	353.59	511.0	460.44	353.59	285.03	547.75	660.68	603.67	1467.37	1437.15	1259.69	1175.27	808.0	842.36	1159.07	785.88	674.59	884.29	1250.98	941.27	708.18	1015.93	1001.93	1457.23	616.37	1183.45	1304.15	693.58	1059.11	813.63	791.35	616.37	866.07	1191.69	1388.16	575.03	579.04	866.07	791.35	591.22	656.11	1030.12	723.08	872.1	656.11	718.08	743.43	607.87	624.99	1304.15	1233.75	1008.9	503.95	1159.07	884.29	684.02	995.0	1008.9	775.05	947.83	1199.98	1037.29	1059.11	1044.52	1096.5	1037.29	1175.27	708.18	1313.23	718.08	1001.93	728.11	1127.35	688.78	1073.91	934.76	656.11	915.51	1066.48	1104.13	1135.2	1119.56	674.59	902.89	579.04	543.96	819.3	684.02	848.22	947.83	842.36	934.76	1111.82	872.1	255.0	703.28	669.92
