	TCGA.B2.5641.01A.01R.1541.07	TCGA.AK.3429.01A.02R.1325.07	TCGA.B2.3924.01A.02R.1325.07	TCGA.CJ.5672.01A.11R.1541.07	TCGA.BP.4346.01A.01R.1289.07	TCGA.A3.3347.01A.02R.1325.07	TCGA.CJ.4903.01A.01R.1426.07	TCGA.B0.4690.01A.01R.1277.07	TCGA.B0.4848.01A.01R.1277.07	TCGA.B0.5081.01A.01R.1334.07	TCGA.BP.5180.01A.01R.1426.07	TCGA.CZ.5464.01A.01R.1503.07	TCGA.CJ.5675.01A.11R.1541.07	TCGA.B8.A54G.01A.11R.A266.07	TCGA.BP.4173.01A.02R.1289.07	TCGA.CJ.6030.01A.11R.1672.07	TCGA.CJ.4890.01A.01R.1305.07	TCGA.BP.5173.01A.01R.1426.07	TCGA.CJ.4916.01A.01R.1426.07	TCGA.BP.5201.01A.01R.1426.07	TCGA.B8.5551.01A.01R.1541.07	TCGA.DV.5573.01A.01R.1541.07	TCGA.CW.6087.01A.11R.1672.07	TCGA.B8.5163.01A.01R.1420.07	TCGA.BP.4804.01A.02R.1305.07	TCGA.B0.5092.01A.01R.1420.07	TCGA.BP.4798.01A.01R.1305.07	TCGA.CJ.4887.01A.01R.1305.07	TCGA.CJ.4637.01A.02R.1325.07	TCGA.CJ.4869.01A.02R.1426.07	TCGA.B0.5692.01A.11R.1541.07	TCGA.CZ.4864.01A.01R.1503.07	TCGA.CJ.4871.01A.01R.1305.07	GTEX.132NY.1226.SM.5PNVF	GTEX.139TT.0726.SM.5K7XW	GTEX.YF7O.0626.SM.4W21R	GTEX.14ABY.1126.SM.5Q5F8	GTEX.13U4I.1426.SM.5J2M3	GTEX.12WSI.0826.SM.5EGKD	GTEX.13O3O.0726.SM.5J1N7	GTEX.1313W.0926.SM.5EQ56	GTEX.Y5V5.0826.SM.4VBQD	GTEX.12WSD.0826.SM.5GCNE	GTEX.12584.1426.SM.5EGJ9	GTEX.13RTJ.1126.SM.5S2UJ	GTEX.QXCU.0626.SM.2TC69	GTEX.13OVH.1026.SM.5J2NP	GTEX.S7SE.0926.SM.2XCD6	GTEX.Y111.1026.SM.4TT22	GTEX.P4QT.0526.SM.2I3EX	GTEX.U8XE.1426.SM.3DB8Q	GTEX.WZTO.0426.SM.3NM99	GTEX.147JS.1226.SM.5RQK4	GTEX.V1D1.0826.SM.3P5ZA	GTEX.11EI6.0826.SM.5985V	GTEX.X3Y1.0626.SM.3P5YS	GTEX.14E7W.1326.SM.5RQIV	GTEX.13PVQ.0926.SM.5IJFD	GTEX.RWSA.1126.SM.2XCAZ	GTEX.13FTY.0126.SM.5J2NZ	GTEX.11GSP.0726.SM.5986L	GTEX.12696.1026.SM.5FQUV	GTEX.ZDXO.1326.SM.57WBS	GTEX.117YW.0526.SM.5H11C	GTEX.11NV4.1126.SM.5HL6J	GTEX.11EMC.0126.SM.5EGKV	GTEX.PX3G.0526.SM.2I3EM	GTEX.OHPL.0526.SM.3NM8U	GTEX.X4EO.0926.SM.3P5Z2	GTEX.13QJC.0526.SM.5RQKB	GTEX.13FLV.0426.SM.5KLZA	GTEX.13N2G.0826.SM.5IJE6	GTEX.13N1W.0726.SM.5MR57	GTEX.T6MN.0826.SM.32PM4	GTEX.WRHU.0226.SM.3MJFV	GTEX.13VXU.2726.SM.5LU4N	GTEX.P78B.0926.SM.2I5FA	GTEX.11NUK.0826.SM.5HL4U	GTEX.Q734.0626.SM.2I3EF	GTEX.13OW6.0826.SM.5L3GA	GTEX.Y3IK.0626.SM.4WWE4	GTEX.145MF.0726.SM.5Q5BT	GTEX.W5X1.0526.SM.3GILH	GTEX.SIU8.0926.SM.5SI87	GTEX.ZYT6.0526.SM.5GIEA	GTEX.ZC5H.0926.SM.5CVMZ	GTEX.OXRL.0526.SM.2I3EZ	GTEX.VJYA.0326.SM.3GAEX	GTEX.T2IS.0526.SM.32QP9	GTEX.OIZG.0526.SM.2HMLF	GTEX.SUCS.0626.SM.32PM5	GTEX.QEG4.0526.SM.48TZD	GTEX.XOT4.1426.SM.4B65T	GTEX.13G51.0426.SM.5K7Z5	GTEX.13NYB.0626.SM.5MR47	GTEX.11OF3.1126.SM.5986C	GTEX.13OW8.1726.SM.5L3GO	GTEX.ZVT3.0926.SM.5GICK	GTEX.11ZTS.1226.SM.5EQMQ	GTEX.131XH.0426.SM.5DUWU
TTC1	1883.54	2090.03	2004.85	1781.89	1044.52	1437.15	1883.54	1167.14	1950.0	1757.34	1781.89	2835.7	2119.22	1628.26	1350.18	1605.83	1551.09	2591.27	2061.24	2555.58	1388.16	2104.58	1175.27	1909.85	1936.53	2178.83	1159.07	1733.13	1628.26	2271.4	2104.58	2004.85	2664.15	941.27	575.03	1662.49	1023.0	1167.14	1037.29	417.77	830.75	1127.35	988.12	379.04	884.29	638.15	587.13	1143.1	1208.34	1088.92	981.29	620.67	1088.92	1407.55	480.04	1008.9	329.84	660.68	708.18	447.82	647.07	1159.07	466.88	334.46	450.94	743.43	1572.76	1359.57	629.35	638.15	303.44	753.83	638.15	854.13	909.17	432.53	1467.37	718.08	1388.16	1015.93	1225.22	647.07	1208.34	575.03	1709.26	1437.15	1159.07	2104.58	1277.29	1259.69	1104.13	738.29	406.31	599.49	728.11	660.68	525.39	665.29	511.0	473.41
TTC26	142.01	166.73	166.73	91.41	77.25	164.42	117.6	275.28	122.64	76.71	148.09	117.6	105.89	85.82	232.94	197.09	77.25	189.02	93.35	84.04	64.8	108.14	281.09	112.77	85.22	70.01	105.89	84.04	104.42	64.34	162.14	131.51	123.5	55.89	47.84	97.36	99.43	78.34	130.6	190.34	27.44	63.89	163.28	36.53	120.1	68.55	29.7	152.28	122.64	70.51	157.68	43.32	46.84	123.5	36.27	176.29	41.81	58.71	100.13	97.36	66.18	115.97	62.12	33.78	24.81	17.51	120.94	102.97	63.0	48.18	50.98	106.63	71.5	51.35	84.04	23.76	92.7	63.0	137.14	59.13	181.28	339.14	147.06	33.3	149.12	92.05	135.24	84.04	102.25	96.01	77.79	56.68	31.0	61.68	37.85	23.08	31.0	29.48	59.55	92.05
TTC30A	178.77	141.02	157.68	164.42	87.65	142.01	139.07	151.22	186.4	56.28	154.42	118.43	162.14	123.5	101.54	169.07	48.18	162.14	77.79	135.24	123.5	164.42	63.89	91.41	78.89	111.99	153.34	90.14	164.42	115.16	137.14	220.32	177.53	13.72	13.83	78.34	32.82	59.13	72.01	46.18	30.12	32.36	73.54	12.0	64.8	22.75	14.24	103.69	87.65	70.01	45.21	23.42	27.84	95.34	17.25	111.99	19.39	25.35	44.25	25.35	17.25	90.14	18.29	19.53	5.87	19.39	78.34	69.52	42.71	38.12	31.9	73.03	24.63	15.56	46.18	12.27	73.03	45.21	94.67	31.67	107.38	178.77	79.45	17.9	88.26	66.65	112.77	96.68	91.41	85.22	78.89	41.22	18.7	13.22	21.32	8.06	34.26	20.11	16.03	27.44
TTI1	417.77	275.28	269.6	215.77	291.04	417.77	343.89	334.46	387.02	199.85	400.71	323.03	305.55	279.14	267.73	323.03	231.32	417.77	291.04	267.73	363.56	325.29	432.53	343.89	256.78	279.14	297.17	185.11	262.2	256.78	303.44	285.03	309.83	110.43	95.34	301.33	138.1	182.55	145.02	125.24	118.43	186.4	173.85	122.64	173.85	79.45	182.55	236.21	211.31	195.72	177.53	131.51	140.04	183.82	101.54	258.57	105.15	134.3	193.01	115.97	84.04	187.71	140.04	89.51	61.68	154.42	273.37	256.78	142.01	166.73	82.29	154.42	88.88	136.19	136.19	149.12	193.01	218.79	299.25	157.68	223.41	212.78	229.72	103.69	202.66	251.48	323.03	205.5	206.94	171.45	260.38	146.03	126.12	91.41	137.14	98.73	159.9	108.9	121.79	102.97
VPS33A	444.72	295.11	379.04	303.44	314.17	473.41	395.18	441.64	432.53	279.14	343.89	384.34	339.14	291.04	348.71	366.09	320.8	307.69	299.25	256.78	420.68	339.14	514.56	423.61	287.01	301.33	248.0	293.07	376.41	273.37	314.17	307.69	265.87	162.14	107.38	334.46	176.29	293.07	226.54	145.02	181.28	198.47	255.0	68.55	248.0	221.86	126.12	283.05	265.87	343.89	170.25	129.69	277.2	297.17	131.51	325.29	157.68	177.53	226.54	100.83	127.0	295.11	154.42	122.64	91.41	143.01	339.14	323.03	214.27	255.0	163.28	193.01	208.38	124.37	187.71	104.42	289.02	249.73	325.29	190.34	293.07	220.32	343.89	185.11	237.86	277.2	348.71	325.29	228.13	264.03	343.89	169.07	137.14	125.24	154.42	83.45	242.88	199.85	171.45	156.59
WDR13	4836.35	1883.54	1883.54	5255.91	3874.05	5831.91	3742.05	2178.83	4095.0	4481.23	4802.93	5872.48	4575.41	3901.01	2976.74	2956.17	3820.7	2004.85	5183.54	6887.62	1991.0	4450.27	1369.04	1417.35	4836.35	2875.3	3372.43	5517.27	2075.59	7911.95	6250.56	3928.15	3589.58	1369.04	1519.15	2255.7	2133.97	2591.27	1457.23	981.29	1407.55	1685.71	2609.3	1175.27	1806.78	848.22	1030.12	2090.03	2303.12	3212.66	1651.0	1721.16	1250.98	3820.7	2664.15	2627.46	884.29	1857.6	1268.46	1340.84	2319.15	2018.8	1721.16	2119.22	1313.23	1143.1	2434.5	1651.0	1844.76	1350.18	1397.83	1977.24	1561.89	2193.99	1350.18	1104.13	4066.71	1617.0	2163.77	1001.93	2351.53	1225.22	1066.48	1397.83	2573.36	1447.15	2384.37	1023.0	3491.39	2240.11	3443.31	1369.04	1639.59	961.07	1175.27	679.29	1397.83	1037.29	884.29	1208.34
WDR81	1340.84	253.23	466.88	674.59	878.17	995.0	607.87	420.68	1175.27	878.17	836.53	995.0	591.22	1096.5	896.64	1044.52	698.41	397.93	612.11	521.76	947.83	387.02	511.0	514.56	647.07	603.67	909.17	665.29	674.59	921.88	728.11	780.44	656.11	204.07	114.36	563.18	208.38	723.08	497.0	287.01	363.56	303.44	540.19	88.26	759.08	642.59	486.75	540.19	420.68	860.08	346.29	189.02	470.14	909.17	297.17	1001.93	161.02	476.71	403.5	164.42	143.01	703.28	371.22	373.81	58.3	547.75	612.11	890.44	579.04	555.41	409.15	493.56	420.68	236.21	320.8	123.5	651.58	420.68	698.41	297.17	412.0	343.89	460.44	363.56	392.44	348.71	748.61	447.82	500.46	473.41	1216.75	229.72	147.06	99.43	181.28	75.64	738.29	208.38	277.2	256.78
ZC3HC1	872.1	947.83	791.35	536.45	651.58	536.45	723.08	802.41	921.88	384.34	995.0	688.78	684.02	536.45	698.41	679.29	373.81	802.41	612.11	638.15	392.44	633.73	579.04	540.19	624.99	703.28	567.1	934.76	547.75	703.28	748.61	525.39	780.44	147.06	105.15	303.44	145.02	287.01	169.07	96.01	162.14	215.77	253.23	78.34	185.11	127.89	118.43	206.94	253.23	287.01	164.42	92.7	206.94	320.8	113.56	283.05	103.69	149.12	157.68	69.52	177.53	273.37	102.25	108.9	68.55	104.42	395.18	297.17	212.78	115.97	128.79	128.79	138.1	153.34	117.6	110.43	301.33	154.42	291.04	156.59	277.2	116.78	287.01	88.26	273.37	244.57	275.28	366.09	277.2	220.32	318.57	121.79	92.7	102.97	111.21	83.45	146.03	123.5	83.45	105.15
ZCRB1	1407.55	1583.71	1388.16	1183.45	1794.29	1857.6	2417.67	2682.69	2303.12	1498.22	2417.67	1498.22	1519.15	1936.53	1508.65	1794.29	1628.26	2609.3	1551.09	1508.65	1304.15	1605.83	1498.22	2032.85	1991.0	1844.76	1909.85	1561.89	2090.03	1369.04	1417.35	1457.23	2255.7	1225.22	764.36	1268.46	1359.57	1167.14	1487.87	738.29	1540.37	1023.0	1183.45	830.75	1605.83	1111.82	647.07	1159.07	1561.89	490.14	616.37	785.88	1159.07	1199.98	961.07	1175.27	813.63	1081.39	988.12	603.67	988.12	1561.89	1088.92	819.3	450.94	1044.52	1059.11	1073.91	1151.06	934.76	842.36	1259.69	1001.93	981.29	988.12	447.82	902.89	1487.87	743.43	896.64	780.44	1167.14	1119.56	1001.93	1870.53	1159.07	733.19	1617.0	1508.65	728.11	780.44	1059.11	547.75	896.64	988.12	486.75	1183.45	1030.12	1127.35	830.75
ZNF114	3.79	2.36	0.72	8.25	1.69	403.5	80.01	77.79	246.28	7.88	599.49	16.27	1.33	4.43	2.16	100.13	231.32	1.81	4.58	27.44	7.82	10.55	4.43	65.72	490.14	4.28	1.13	3.82	50.27	5.73	2.05	2.34	373.81	0.49	0.0	36.01	0.95	52.82	0.99	0.55	0.97	9.2	6.31	0.0	12.18	1.95	0.0	8.19	10.16	9.13	0.99	0.13	9.48	31.9	1.0	3.06	1.03	3.89	8.58	0.0	0.0	17.77	2.48	4.5	0.0	0.64	21.94	14.56	1.69	1.01	0.0	15.11	1.97	10.31	2.58	0.0	15.56	4.31	21.94	2.29	24.63	7.88	27.05	1.41	15.68	15.34	4.31	34.51	23.25	78.89	59.97	4.62	0.53	0.54	21.94	0.0	3.35	0.51	0.0	0.0
ZNF28	353.59	186.4	267.73	205.5	199.85	348.71	466.88	224.97	267.73	314.17	299.25	256.78	223.41	209.84	178.77	283.05	234.57	183.82	212.78	191.67	293.07	285.03	363.56	232.94	166.73	127.89	234.57	239.52	165.57	170.25	183.82	232.94	414.87	214.27	120.94	251.48	96.68	236.21	47.5	36.79	323.03	217.27	190.34	83.45	157.68	31.9	165.57	346.29	309.83	95.34	91.41	51.35	211.31	244.57	103.69	169.07	129.69	122.64	86.43	85.82	88.88	242.88	171.45	30.56	32.13	102.97	180.02	303.44	177.53	50.27	39.22	187.71	66.18	145.02	258.57	44.89	149.12	52.82	299.25	77.79	221.86	118.43	303.44	70.51	221.86	187.71	336.79	162.14	249.73	139.07	112.77	142.01	44.25	127.89	103.69	56.28	86.43	102.97	33.06	97.36
ZNF320	1119.56	490.14	665.29	490.14	1295.13	1417.35	1674.06	713.11	603.67	723.08	860.08	397.93	376.41	1447.15	698.41	860.08	361.04	518.15	708.18	708.18	353.59	1225.22	400.71	387.02	698.41	571.05	1350.18	988.12	656.11	642.59	647.07	1721.16	629.35	36.01	16.63	115.16	56.68	500.46	103.69	52.82	113.56	361.04	277.2	37.59	144.01	15.8	86.43	325.29	299.25	273.37	155.5	110.43	55.1	323.03	113.56	403.5	28.45	80.57	65.72	47.5	66.18	426.57	27.64	73.54	3.2	83.45	199.85	273.37	162.14	125.24	47.84	201.25	42.11	108.9	52.82	29.06	289.02	293.07	426.57	85.22	246.28	105.15	450.94	21.01	389.72	409.15	332.14	148.09	208.38	122.64	325.29	205.5	62.56	47.84	43.02	7.34	85.82	82.29	117.6	35.5
ZNF468	289.02	199.85	260.38	151.22	267.73	267.73	285.03	158.79	206.94	241.19	325.29	336.79	198.47	142.01	127.0	271.48	185.11	165.57	139.07	110.43	139.07	212.78	166.73	215.77	150.17	127.0	199.85	175.07	157.68	155.5	161.02	241.19	318.57	31.22	49.21	150.17	177.53	95.34	239.52	42.41	177.53	201.25	74.06	43.02	78.89	159.9	46.84	267.73	199.85	95.34	55.89	48.87	133.36	281.09	62.56	206.94	55.49	87.65	92.05	25.72	43.63	429.54	32.13	66.65	23.25	35.25	173.85	209.84	273.37	99.43	34.51	145.02	56.28	84.04	182.55	60.82	177.53	142.01	239.52	57.08	56.28	76.17	283.05	54.72	155.5	189.02	217.27	301.33	90.14	58.71	137.14	34.26	103.69	79.45	40.64	98.04	38.4	75.64	73.54	63.89
