	TCGA.UY.A78O.01A.12R.A33J.07	TCGA.DK.A3X1.01A.12R.A22U.07	TCGA.AC.A2BM.01A.11R.A21T.07	TCGA.AR.A1AU.01A.11R.A12P.07	TCGA.E9.A228.01A.31R.A157.07	TCGA.D8.A1XF.01A.11R.A14D.07	TCGA.EW.A2FW.01A.11R.A17B.07	TCGA.EW.A1OY.01A.11R.A144.07	TCGA.AN.A049.01A.21R.A00Z.07	TCGA.A8.A08O.01A.21R.A056.07	TCGA.B6.A0IM.01A.11R.A034.07	TCGA.PE.A5DC.01A.12R.A27Q.07	TCGA.OL.A5D8.01A.11R.A27Q.07	TCGA.BH.A0HB.01A.11R.A056.07	TCGA.S3.A6ZH.01A.22R.A32P.07	TCGA.BH.A1FG.01A.11R.A13Q.07	TCGA.E9.A22D.01A.11R.A157.07	TCGA.C8.A12U.01A.11R.A115.07	TCGA.AN.A0XT.01A.11R.A109.07	TCGA.E2.A1IE.01A.11R.A13Q.07	TCGA.A2.A1FX.01A.11R.A13Q.07	TCGA.OL.A66H.01A.11R.A29R.07	TCGA.5T.A9QA.01A.11R.A41B.07	TCGA.B6.A0WT.01A.11R.A109.07	TCGA.E9.A245.01A.22R.A16F.07	TCGA.E9.A1NE.01A.21R.A14M.07	TCGA.AO.A0JI.01A.21R.A056.07	TCGA.AO.A12H.01A.11R.A115.07	TCGA.A8.A092.01A.11R.A00Z.07	TCGA.E9.A1RD.01A.11R.A157.07	TCGA.E9.A22A.01A.11R.A157.07	TCGA.AR.A0TQ.01A.11R.A084.07	TCGA.D8.A1XS.01A.11R.A14M.07	TCGA.AR.A0TZ.01A.12R.A084.07	TCGA.D8.A1X6.01A.11R.A14M.07	TCGA.AR.A2LO.01A.31R.A18M.07	TCGA.A8.A08S.01A.11R.A034.07	TCGA.B6.A0RG.01A.11R.A056.07	TCGA.A8.A09T.01A.11R.A00Z.07	TCGA.BH.A0DS.01A.11R.A056.07	TCGA.BH.A0HW.01A.11R.A034.07	TCGA.AR.A0TV.01A.21R.A084.07	TCGA.AN.A046.01A.21R.A034.07	TCGA.BH.A6R8.01A.21R.A33J.07	TCGA.EW.A1PD.01A.11R.A144.07	TCGA.A1.A0SD.01A.11R.A115.07	TCGA.A7.A13F.01A.11R.A12P.07	TCGA.E2.A106.01A.11R.A10J.07	TCGA.C8.A12N.01A.11R.A115.07	TCGA.E2.A10A.01A.21R.A115.07	TCGA.E2.A105.01A.11R.A10J.07	TCGA.AQ.A1H2.01A.11R.A13Q.07	TCGA.D8.A27W.01A.11R.A16F.07	TCGA.A2.A0YC.01A.11R.A109.07	TCGA.E2.A14T.01A.11R.A115.07	TCGA.E9.A1R5.01A.11R.A14M.07	TCGA.EW.A1P6.01A.11R.A144.07	TCGA.E2.A1IU.01A.11R.A14D.07	TCGA.A8.A06O.01A.11R.A00Z.07	TCGA.AR.A24L.01A.11R.A169.07	TCGA.AO.A1KS.01A.11R.A13Q.07	TCGA.A8.A09M.01A.11R.A00Z.07	TCGA.A7.A3IZ.01A.11R.A213.07	TCGA.A8.A09R.01A.11R.A00Z.07	TCGA.BH.A0B8.01A.21R.A056.07	TCGA.A8.A08G.01A.11R.A00Z.07	TCGA.AN.A04A.01A.21R.A034.07	TCGA.E2.A15D.01A.11R.A115.07	TCGA.3C.AAAU.01A.11R.A41B.07	TCGA.A2.A0ER.01A.21R.A034.07	TCGA.E9.A295.01A.11R.A16F.07	TCGA.E2.A14S.01A.11R.A12D.07	TCGA.BH.A204.01A.11R.A157.07	TCGA.E9.A1N3.01A.12R.A157.07	TCGA.OL.A66J.01A.11R.A29R.07	TCGA.AR.A24K.01A.11R.A169.07	TCGA.D8.A27R.01A.11R.A16F.07	TCGA.E9.A22B.01A.11R.A157.07	TCGA.A8.A09E.01A.11R.A00Z.07	TCGA.BH.A0E1.01A.11R.A056.07	TCGA.A2.A0CP.01A.11R.A034.07	TCGA.JL.A3YX.01A.11R.A22U.07	TCGA.C8.A1HO.01A.11R.A13Q.07	TCGA.A2.A04V.01A.21R.A034.07	TCGA.C8.A133.01A.32R.A12D.07	TCGA.E9.A2JS.01A.11R.A180.07	TCGA.A2.A4S0.01A.21R.A266.07	TCGA.A8.A06Z.01A.11R.A00Z.07	TCGA.EW.A2FV.01A.11R.A17B.07	TCGA.D8.A1JC.01A.11R.A13Q.07	TCGA.A8.A09B.01A.11R.A00Z.07	TCGA.E2.A15S.01A.11R.A115.07	TCGA.B6.A0WW.01A.11R.A109.07	TCGA.A8.A06T.01A.11R.A00Z.07	TCGA.D8.A1XV.01A.11R.A14M.07	TCGA.BH.A0E2.01A.11R.A056.07	TCGA.AC.A2FM.01A.11R.A19W.07	TCGA.C8.A1HI.01A.11R.A137.07	TCGA.S3.AA12.01A.11R.A41B.07	TCGA.A7.A3RF.01A.11R.A22K.07	TCGA.C8.A1HG.01A.11R.A137.07	TCGA.BH.A0HO.01A.11R.A034.07	TCGA.BH.A18N.01A.11R.A12D.07	TCGA.A8.A07P.01A.11R.A00Z.07	TCGA.A2.A04R.01A.41R.A109.07	TCGA.E9.A5UO.01A.11R.A28M.07	TCGA.B6.A0RL.01A.11R.A084.07	TCGA.E2.A15H.01A.11R.A12D.07	TCGA.E2.A15R.01A.11R.A115.07	TCGA.A8.A07W.01A.11R.A00Z.07	TCGA.B6.A0X4.01A.11R.A109.07	TCGA.AO.A0J3.01A.11R.A034.07	TCGA.D8.A1X5.01A.11R.A14D.07	TCGA.E9.A5UP.01A.11R.A28M.07	TCGA.A1.A0SQ.01A.21R.A144.07	TCGA.E9.A1NI.01A.11R.A14D.07	GTEX.14AS3.1626.SM.5S2OY	TCGA.AK.3447.01A.01R.1766.07	TCGA.2Y.A9GW.01A.11R.A38B.07	TCGA.BC.A110.01A.11R.A131.07	TCGA.G3.A25Z.01A.11R.A16W.07	TCGA.DD.A1EG.01A.11R.A213.07	TCGA.LG.A9QD.01A.11R.A38B.07	TCGA.DD.AACL.01A.11R.A41C.07	TCGA.ZS.A9CG.01A.11R.A37K.07	TCGA.EP.A3JL.01A.11R.A213.07	TCGA.FV.A2QQ.01A.11R.A22L.07	TCGA.DD.AAVR.01A.11R.A41C.07	TCGA.G3.A7M7.01A.12R.A352.07	TCGA.ZS.A9CD.01A.11R.A37K.07	TCGA.CC.A3MC.01A.11R.A22L.07	TCGA.DD.AAE9.01A.11R.A41C.07	TCGA.K7.A6G5.01A.11R.A311.07	TCGA.O8.A75V.01A.11R.A32O.07	TCGA.BC.A10S.01A.22R.A131.07	TCGA.DD.AAEG.01A.11R.A39D.07	TCGA.DD.A39Y.01A.11R.A213.07	TCGA.MI.A75H.01A.11R.A32O.07	TCGA.G3.A5SJ.01A.11R.A27V.07	TCGA.HP.A5MZ.01A.21R.A27V.07	TCGA.DD.AADK.01A.11R.A41C.07	TCGA.DD.AACY.01A.11R.A41C.07	TCGA.GJ.A3OU.01A.31R.A38B.07	TCGA.RC.A7SF.01A.11R.A352.07	TCGA.DD.A3A8.11A.11R.A22L.07	TCGA.FV.A3I0.11A.11R.A22L.07	TCGA.BC.A110.11A.11R.A131.07	TCGA.DD.A1EH.11A.11R.A131.07	TCGA.BC.A10Z.11A.11R.A131.07	TCGA.BC.A10W.11A.11R.A131.07	GTEX.145MO.2326.SM.5NQ9K	GTEX.14753.1626.SM.5NQ9L	GTEX.13O3O.1826.SM.5IFGW	GTEX.REY6.1226.SM.48FDR
MFAP1	318.57	384.34	1322.37	669.92	1340.84	642.59	854.13	567.1	525.39	890.44	1199.98	842.36	571.05	698.41	1304.15	921.88	890.44	532.74	669.92	921.88	1001.93	607.87	866.07	842.36	769.69	890.44	896.64	607.87	583.07	748.61	842.36	808.0	961.07	1037.29	1208.34	872.1	1023.0	775.05	1250.98	733.19	1225.22	753.83	775.05	728.11	470.14	769.69	1015.93	753.83	769.69	1216.75	759.08	947.83	878.17	836.53	525.39	830.75	921.88	961.07	974.5	947.83	493.56	514.56	743.43	785.88	647.07	796.86	1216.75	941.27	780.44	967.76	599.49	629.35	514.56	848.22	819.3	836.53	1030.12	733.19	1233.75	612.11	684.02	444.72	684.02	620.67	599.49	703.28	638.15	660.68	656.11	896.64	954.43	860.08	954.43	1331.57	780.44	728.11	1023.0	1081.39	497.0	595.34	633.73	693.58	1073.91	884.29	684.02	417.77	890.44	684.02	967.76	995.0	547.75	748.61	813.63	607.87	688.78	693.58	1008.9	255.0	327.56	363.56	273.37	420.68	283.05	241.19	400.71	295.11	336.79	361.04	293.07	236.21	426.57	244.57	275.28	323.03	373.81	265.87	305.55	307.69	591.22	323.03	185.11	234.57	323.03	256.78	170.25	334.46	307.69	224.97	332.14	224.97	232.94	138.1	214.27	199.85
MIB1	127.89	102.97	325.29	358.54	616.37	397.93	193.01	211.31	255.0	579.04	511.0	181.28	189.02	217.27	223.41	217.27	165.57	258.57	397.93	395.18	241.19	161.02	87.65	540.19	180.02	444.72	392.44	208.38	269.6	414.87	279.14	251.48	529.06	579.04	146.03	376.41	269.6	253.23	343.89	262.2	287.01	133.36	161.02	201.25	507.46	287.01	206.94	204.07	237.86	366.09	323.03	118.43	389.72	318.57	273.37	299.25	303.44	400.71	314.17	620.67	1030.12	181.28	400.71	525.39	287.01	248.0	454.09	511.0	325.29	426.57	165.57	237.86	323.03	336.79	205.5	476.71	158.79	212.78	165.57	220.32	205.5	170.25	283.05	242.88	137.14	202.66	206.94	193.01	249.73	327.56	258.57	283.05	228.13	361.04	316.37	400.71	187.71	169.07	242.88	109.66	262.2	258.57	336.79	503.95	295.11	204.07	255.0	299.25	441.64	255.0	232.94	242.88	387.02	185.11	299.25	220.32	117.6	81.71	97.36	62.56	67.12	92.7	78.89	74.06	71.0	68.55	77.79	88.26	57.49	68.07	140.04	57.89	40.07	53.95	76.17	62.12	40.36	90.77	114.36	108.14	96.01	57.89	99.43	45.85	46.18	64.8	62.12	87.65	87.65	82.87	50.98	95.34	35.76	35.76
MIOS	361.04	273.37	703.28	379.04	420.68	287.01	325.29	281.09	511.0	647.07	460.44	299.25	249.73	244.57	297.17	460.44	325.29	253.23	253.23	825.0	351.14	426.57	253.23	511.0	361.04	551.56	698.41	329.84	293.07	490.14	291.04	366.09	420.68	466.88	483.38	444.72	256.78	190.34	417.77	486.75	595.34	307.69	309.83	348.71	447.82	376.41	297.17	221.86	236.21	417.77	198.47	633.73	307.69	323.03	356.05	239.52	361.04	591.22	389.72	518.15	1059.11	379.04	607.87	363.56	555.41	447.82	353.59	559.28	389.72	444.72	497.0	490.14	426.57	620.67	231.32	796.86	305.55	285.03	392.44	376.41	229.72	269.6	368.65	325.29	316.37	281.09	217.27	521.76	400.71	483.38	361.04	224.97	432.53	743.43	339.14	486.75	371.22	486.75	591.22	214.27	221.86	435.55	339.14	490.14	297.17	275.28	420.68	287.01	426.57	237.86	351.14	450.94	435.55	289.02	318.57	281.09	444.72	368.65	132.44	149.12	100.13	127.0	75.64	190.34	120.1	112.77	113.56	86.43	77.25	83.45	96.01	64.8	72.52	62.12	129.69	92.7	68.55	88.88	133.36	112.77	98.04	101.54	163.28	87.03	127.89	155.5	150.17	154.42	164.42	152.28	102.25	116.78	100.83	93.35
MTX3	5.68	8.65	279.14	96.01	71.5	68.55	66.18	67.59	90.77	159.9	224.97	36.79	64.8	29.06	114.36	66.18	17.51	42.71	97.36	152.28	150.17	28.45	10.39	186.4	48.52	170.25	154.42	76.17	105.89	120.94	37.05	91.41	182.55	264.03	63.89	187.71	164.42	55.89	75.64	35.25	187.71	43.02	54.72	29.27	166.73	155.5	100.13	74.06	46.5	140.04	8.58	74.58	129.69	148.09	123.5	249.73	68.55	118.43	95.34	267.73	291.04	64.8	236.21	406.31	113.56	154.42	62.56	119.26	161.02	149.12	61.68	124.37	325.29	133.36	27.05	162.14	35.0	74.06	84.63	53.19	48.52	40.64	126.12	40.93	41.52	14.35	122.64	103.69	67.59	249.73	128.79	119.26	102.97	16.51	165.57	81.71	92.05	52.08	100.13	40.93	36.79	85.82	170.25	120.94	52.45	102.97	111.99	77.79	373.81	77.25	63.45	48.18	151.22	77.25	115.16	63.0	19.25	5.73	18.03	7.69	9.27	12.93	5.11	9.85	20.26	5.59	7.94	8.78	8.32	13.72	14.45	9.93	6.26	12.27	6.06	28.45	6.84	2.1	20.71	16.88	5.68	15.0	27.44	24.46	4.7	16.51	11.04	7.63	7.46	7.4	8.78	5.41	3.17	8.71
MYEF2	1.71	31.22	1001.93	674.59	1151.06	785.88	529.06	204.07	346.29	647.07	743.43	28.45	688.78	353.59	507.46	265.87	327.56	384.34	339.14	723.08	470.14	420.68	289.02	406.31	587.13	356.05	656.11	603.67	441.64	493.56	521.76	536.45	417.77	1073.91	127.0	738.29	358.54	237.86	387.02	361.04	802.41	381.68	417.77	231.32	212.78	490.14	587.13	447.82	341.51	860.08	679.29	371.22	693.58	406.31	607.87	708.18	71.5	171.45	669.92	532.74	1023.0	563.18	624.99	708.18	412.0	497.0	412.0	728.11	860.08	412.0	249.73	521.76	718.08	854.13	281.09	915.51	454.09	591.22	708.18	423.61	244.57	291.04	718.08	341.51	353.59	684.02	703.28	334.46	187.71	591.22	384.34	961.07	547.75	529.06	775.05	607.87	463.65	511.0	521.76	435.55	361.04	521.76	703.28	480.04	438.59	1151.06	830.75	529.06	1066.48	215.77	638.15	698.41	854.13	395.18	145.02	262.2	106.63	98.04	10.16	28.65	4.94	60.39	4.5	96.68	30.56	14.35	11.47	13.12	2.53	10.79	8.25	91.41	5.92	3.53	6.57	39.79	2.43	6.36	18.7	18.16	8.78	5.45	31.22	1.13	5.87	3.44	7.17	5.36	22.92	20.11	33.54	11.73	4.66	12.18
NAPEPLD	136.19	100.13	389.72	186.4	232.94	309.83	147.06	143.01	80.57	264.03	175.07	94.01	108.9	111.21	220.32	156.59	123.5	136.19	323.03	198.47	195.72	191.67	67.59	371.22	199.85	305.55	215.77	128.79	154.42	281.09	146.03	142.01	201.25	262.2	190.34	305.55	98.73	170.25	178.77	212.78	191.67	107.38	201.25	163.28	223.41	190.34	148.09	129.69	152.28	229.72	138.1	94.67	116.78	186.4	239.52	218.79	182.55	212.78	197.09	289.02	318.57	155.5	140.04	194.36	115.97	264.03	127.0	336.79	251.48	234.57	133.36	187.71	314.17	373.81	108.9	463.65	141.02	120.1	199.85	126.12	137.14	139.07	211.31	130.6	165.57	132.44	223.41	205.5	118.43	275.28	217.27	127.89	244.57	241.19	303.44	190.34	163.28	224.97	237.86	128.79	171.45	232.94	211.31	177.53	111.99	221.86	169.07	144.01	320.8	144.01	251.48	123.5	140.04	114.36	220.32	107.38	143.01	75.11	90.77	52.08	55.49	73.54	100.13	101.54	84.63	75.11	98.73	46.5	70.51	46.18	100.13	72.01	87.65	52.45	115.16	135.24	82.87	97.36	154.42	81.14	63.89	101.54	84.04	80.57	76.17	104.42	63.45	162.14	90.77	115.16	95.34	172.65	37.32	94.67
NARG2	309.83	197.09	791.35	603.67	713.11	429.54	624.99	309.83	796.86	708.18	802.41	599.49	480.04	447.82	540.19	647.07	429.54	525.39	1008.9	769.69	698.41	547.75	503.95	1159.07	679.29	775.05	842.36	848.22	358.54	961.07	486.75	438.59	669.92	934.76	896.64	743.43	791.35	555.41	703.28	728.11	536.45	525.39	819.3	332.14	802.41	718.08	629.35	603.67	674.59	1529.73	728.11	633.73	432.53	802.41	441.64	753.83	848.22	1023.0	587.13	718.08	1175.27	785.88	872.1	579.04	579.04	379.04	392.44	954.43	660.68	679.29	511.0	733.19	860.08	947.83	547.75	1233.75	417.77	497.0	796.86	679.29	529.06	470.14	842.36	954.43	616.37	417.77	647.07	412.0	426.57	665.29	599.49	688.78	780.44	1001.93	854.13	723.08	555.41	688.78	647.07	507.46	620.67	703.28	921.88	587.13	633.73	563.18	775.05	438.59	928.3	480.04	713.11	791.35	583.07	267.73	529.06	693.58	297.17	480.04	253.23	242.88	165.57	169.07	297.17	229.72	234.57	189.02	94.01	237.86	163.28	173.85	277.2	176.29	112.77	161.02	134.3	185.11	148.09	269.6	318.57	166.73	130.6	180.02	237.86	224.97	73.54	204.07	212.78	316.37	323.03	264.03	217.27	139.07	71.5	153.34
NELL2	9.93	53.19	332.14	50.63	231.32	17.51	1081.39	121.79	58.71	1896.65	1127.35	36.53	24.81	104.42	14.89	1001.93	5517.27	57.08	277.2	187.71	884.29	13.42	3.03	137.14	595.34	237.86	237.86	59.97	392.44	1175.27	43.32	397.93	420.68	915.51	616.37	94.67	3124.78	420.68	1540.37	397.93	981.29	46.5	88.26	169.07	19.97	2468.49	26.47	703.28	214.27	616.37	500.46	2664.15	26.47	1167.14	62.12	73.54	148.09	532.74	669.92	289.02	854.13	48.52	2104.58	1233.75	229.72	543.96	223.41	368.65	18.56	961.07	262.2	1540.37	2255.7	54.33	52.08	490.14	80.57	58.3	112.77	84.63	25.17	47.5	151.22	981.29	18.84	16.39	825.0	85.22	80.01	967.76	228.13	82.87	379.04	353.59	127.89	30.78	309.83	529.06	40.64	78.89	88.88	14.67	500.46	2018.8	1794.29	3.92	417.77	108.9	1617.0	18.7	26.28	403.5	595.34	9.93	406.31	2835.7	68.07	1.93	27.25	17.9	18.56	9.78	7.51	21.63	3.82	13.52	11.3	18.29	3.96	15.45	3.29	24.81	5.15	9.93	7.63	2.41	2.2	8.19	172.65	34.26	15.11	2.78	64.34	50.63	4.74	2.16	7.11	7.28	5.77	9.2	1.0	7.11	4.31	51.35
NRF1	209.84	143.01	285.03	249.73	255.0	242.88	281.09	234.57	164.42	283.05	353.59	271.48	236.21	164.42	232.94	181.28	201.25	150.17	363.56	231.32	236.21	183.82	158.79	287.01	229.72	267.73	239.52	198.47	242.88	217.27	193.01	209.84	244.57	320.8	265.87	348.71	190.34	199.85	223.41	229.72	198.47	258.57	186.4	202.66	316.37	224.97	195.72	206.94	217.27	258.57	305.55	190.34	198.47	232.94	256.78	214.27	201.25	226.54	256.78	242.88	246.28	251.48	336.79	229.72	316.37	320.8	198.47	329.84	318.57	221.86	244.57	215.77	226.54	220.32	246.28	267.73	255.0	175.07	201.25	236.21	195.72	229.72	212.78	234.57	151.22	220.32	178.77	176.29	248.0	244.57	265.87	236.21	226.54	248.0	181.28	176.29	244.57	223.41	249.73	156.59	143.01	191.67	273.37	218.79	327.56	153.34	336.79	197.09	237.86	229.72	220.32	265.87	144.01	232.94	215.77	166.73	244.57	35.0	134.3	116.78	63.89	126.12	68.55	115.16	111.21	121.79	103.69	90.77	57.89	93.35	82.29	105.15	67.12	98.73	99.43	113.56	114.36	78.34	126.12	104.42	96.68	108.14	137.14	88.88	55.89	58.3	80.57	82.87	121.79	63.0	69.03	36.27	84.04	47.84
NUB1	808.0	529.06	1639.59	1304.15	1369.04	1467.37	1159.07	1119.56	748.61	1721.16	1697.45	1127.35	878.17	1457.23	1304.15	1183.45	2119.22	1135.2	1268.46	642.59	1304.15	1832.01	595.34	1605.83	1208.34	1721.16	1519.15	1135.2	1199.98	1477.58	1594.73	1183.45	1268.46	1519.15	1268.46	1617.0	1044.52	1135.2	1242.34	1216.75	1268.46	1015.93	1340.84	1457.23	785.88	1508.65	988.12	961.07	1119.56	1540.37	1175.27	769.69	1233.75	1268.46	1583.71	1143.1	1015.93	1225.22	1151.06	1617.0	909.17	1295.13	688.78	1605.83	1407.55	1519.15	1369.04	1605.83	1331.57	1508.65	1030.12	988.12	2935.74	1991.0	954.43	1745.2	1023.0	1175.27	1208.34	1397.83	934.76	878.17	1909.85	890.44	1295.13	981.29	1037.29	1015.93	1073.91	1781.89	1208.34	1529.73	1073.91	1781.89	1447.15	1111.82	1104.13	1651.0	995.0	896.64	1757.34	1295.13	1088.92	1015.93	1001.93	902.89	1304.15	974.5	2287.2	1331.57	1397.83	1487.87	660.68	872.1	1159.07	915.51	848.22	575.03	1001.93	796.86	728.11	1001.93	733.19	780.44	713.11	967.76	775.05	693.58	518.15	642.59	743.43	616.37	708.18	647.07	819.3	802.41	607.87	633.73	1225.22	808.0	733.19	775.05	1066.48	540.19	500.46	555.41	624.99	555.41	660.68	511.0	493.56	389.72	551.56	470.14
NUDCD3	830.75	607.87	2739.08	1909.85	1498.22	2133.97	1508.65	1135.2	2351.53	2319.15	3168.41	1519.15	1242.34	1008.9	2004.85	947.83	1322.37	1073.91	1427.22	1950.0	1540.37	2335.28	718.08	1769.57	1794.29	1769.57	2271.4	1540.37	1350.18	1313.23	1572.76	1437.15	1304.15	2367.9	1733.13	2032.85	1295.13	1191.69	1697.45	1685.71	2047.0	1529.73	1268.46	1870.53	1674.06	1923.14	1651.0	1388.16	1073.91	1936.53	1295.13	2224.63	1769.57	1594.73	1991.0	1447.15	1477.58	2004.85	1417.35	1936.53	791.35	1617.0	1977.24	1883.54	2384.37	2777.33	2004.85	2384.37	2104.58	1909.85	2209.26	1008.9	1709.26	2976.74	1508.65	1605.83	1340.84	1199.98	1819.35	1225.22	1331.57	1519.15	1857.6	1051.79	1844.76	1487.87	1572.76	1605.83	1697.45	2451.44	1651.0	1769.57	1794.29	1709.26	1199.98	1628.26	2104.58	1628.26	1477.58	1487.87	813.63	1437.15	1583.71	1991.0	2004.85	1457.23	1909.85	2032.85	2209.26	1551.09	1639.59	1697.45	1745.2	1378.57	1662.49	1088.92	981.29	708.18	1111.82	543.96	587.13	884.29	599.49	647.07	981.29	890.44	866.07	476.71	775.05	836.53	551.56	1242.34	769.69	902.89	928.3	713.11	591.22	718.08	748.61	780.44	775.05	651.58	1030.12	547.75	791.35	543.96	529.06	525.39	536.45	466.88	616.37	738.29	287.01	466.88
PBRM1	130.6	103.69	656.11	587.13	334.46	753.83	392.44	285.03	234.57	620.67	665.29	155.5	379.04	140.04	246.28	264.03	239.52	289.02	353.59	256.78	540.19	195.72	166.73	836.53	299.25	511.0	599.49	275.28	511.0	486.75	255.0	466.88	480.04	525.39	303.44	339.14	620.67	303.44	420.68	289.02	361.04	289.02	332.14	138.1	366.09	587.13	412.0	341.51	248.0	497.0	521.76	279.14	733.19	656.11	450.94	389.72	314.17	476.71	323.03	376.41	802.41	195.72	728.11	723.08	457.25	463.65	361.04	473.41	412.0	718.08	249.73	334.46	1225.22	551.56	248.0	928.3	193.01	356.05	423.61	441.64	208.38	211.31	480.04	289.02	161.02	228.13	403.5	262.2	470.14	406.31	579.04	547.75	217.27	493.56	480.04	412.0	660.68	236.21	255.0	223.41	201.25	323.03	579.04	429.54	457.25	291.04	400.71	366.09	825.0	486.75	318.57	171.45	476.71	223.41	490.14	309.83	193.01	29.27	140.04	101.54	85.82	151.22	81.14	124.37	121.79	76.71	105.89	99.43	67.59	92.7	134.3	138.1	72.01	78.34	102.97	109.66	101.54	100.13	128.79	119.26	96.01	93.35	189.02	96.01	59.55	111.99	155.5	137.14	156.59	146.03	104.42	48.87	74.58	97.36
PIAS1	163.28	214.27	647.07	406.31	559.28	231.32	249.73	228.13	361.04	438.59	559.28	181.28	264.03	191.67	412.0	318.57	273.37	217.27	343.89	351.14	447.82	172.65	265.87	470.14	239.52	595.34	624.99	332.14	277.2	379.04	320.8	400.71	329.84	532.74	291.04	490.14	389.72	275.28	466.88	348.71	406.31	316.37	260.38	224.97	423.61	507.46	285.03	351.14	256.78	633.73	297.17	356.05	412.0	423.61	444.72	371.22	273.37	441.64	379.04	511.0	743.43	497.0	521.76	536.45	417.77	264.03	299.25	595.34	417.77	547.75	239.52	332.14	629.35	463.65	198.47	432.53	381.68	283.05	420.68	279.14	249.73	157.68	559.28	267.73	251.48	256.78	432.53	275.28	466.88	642.59	327.56	514.56	381.68	414.87	470.14	316.37	279.14	497.0	400.71	244.57	244.57	283.05	412.0	476.71	234.57	607.87	318.57	309.83	567.1	473.41	314.17	389.72	389.72	187.71	426.57	287.01	287.01	113.56	173.85	113.56	77.79	171.45	107.38	121.79	651.58	118.43	111.99	149.12	82.29	127.0	155.5	152.28	108.9	102.25	117.6	158.79	129.69	277.2	220.32	159.9	111.21	138.1	231.32	124.37	106.63	131.51	138.1	151.22	162.14	119.26	150.17	185.11	53.95	94.67
PIK3C2A	79.45	100.13	753.83	669.92	309.83	728.11	211.31	343.89	320.8	780.44	536.45	181.28	185.11	139.07	371.22	260.38	173.85	249.73	318.57	638.15	583.07	193.01	206.94	555.41	234.57	633.73	559.28	271.48	406.31	444.72	164.42	346.29	438.59	665.29	194.36	420.68	500.46	329.84	279.14	193.01	409.15	141.02	244.57	121.79	348.71	540.19	264.03	336.79	205.5	441.64	327.56	148.09	371.22	381.68	275.28	387.02	258.57	563.18	258.57	612.11	1111.82	327.56	559.28	624.99	480.04	571.05	217.27	373.81	423.61	1044.52	189.02	305.55	753.83	674.59	182.55	928.3	178.77	275.28	299.25	323.03	173.85	170.25	348.71	231.32	178.77	211.31	426.57	318.57	332.14	1508.65	289.02	305.55	190.34	417.77	414.87	297.17	476.71	206.94	224.97	223.41	157.68	480.04	358.54	429.54	281.09	198.47	275.28	246.28	1073.91	412.0	314.17	305.55	540.19	198.47	373.81	195.72	96.68	214.27	115.16	109.66	71.0	95.34	102.25	78.34	134.3	86.43	78.89	82.29	79.45	94.01	87.65	46.5	74.06	54.33	49.91	93.35	65.72	90.77	70.01	189.02	104.42	80.01	206.94	102.25	23.93	90.77	150.17	102.97	127.0	104.42	87.03	77.79	167.9	92.05
PMS2	108.14	94.67	291.04	217.27	305.55	368.65	206.94	153.34	239.52	351.14	303.44	191.67	122.64	158.79	199.85	140.04	131.51	167.9	119.26	325.29	226.54	170.25	70.51	295.11	158.79	336.79	271.48	178.77	166.73	228.13	164.42	215.77	295.11	295.11	231.32	275.28	147.06	172.65	253.23	204.07	264.03	105.15	189.02	154.42	206.94	198.47	248.0	149.12	136.19	217.27	125.24	256.78	260.38	265.87	217.27	273.37	185.11	273.37	224.97	307.69	232.94	155.5	291.04	246.28	341.51	256.78	191.67	309.83	312.0	253.23	187.71	152.28	258.57	316.37	98.04	329.84	206.94	141.02	224.97	180.02	146.03	155.5	231.32	158.79	126.12	214.27	176.29	214.27	161.02	289.02	255.0	246.28	172.65	320.8	241.19	175.07	251.48	185.11	201.25	166.73	199.85	189.02	183.82	212.78	178.77	180.02	234.57	154.42	435.55	170.25	236.21	253.23	164.42	123.5	150.17	136.19	162.14	56.68	77.79	40.36	59.55	59.55	38.12	102.25	65.26	72.52	67.59	37.05	48.87	61.25	71.5	106.63	40.07	49.21	33.54	129.69	68.55	54.72	67.59	45.85	88.88	63.89	73.54	46.84	52.45	36.01	41.22	64.34	42.11	35.25	36.27	28.45	15.56	33.54
PPIP5K1	170.25	114.36	543.96	470.14	579.04	733.19	438.59	182.55	176.29	483.38	629.35	295.11	536.45	163.28	417.77	115.16	232.94	130.6	460.44	363.56	536.45	148.09	299.25	299.25	540.19	301.33	463.65	251.48	283.05	363.56	125.24	318.57	271.48	454.09	277.2	384.34	285.03	314.17	249.73	121.79	426.57	175.07	133.36	217.27	242.88	341.51	579.04	518.15	201.25	579.04	507.46	226.54	356.05	339.14	500.46	466.88	214.27	228.13	466.88	301.33	438.59	148.09	629.35	825.0	514.56	371.22	214.27	376.41	674.59	620.67	172.65	490.14	420.68	698.41	181.28	612.11	403.5	226.54	511.0	191.67	181.28	165.57	503.95	204.07	295.11	336.79	866.07	199.85	129.69	353.59	438.59	738.29	191.67	503.95	802.41	191.67	346.29	165.57	295.11	444.72	312.0	178.77	438.59	327.56	206.94	190.34	312.0	152.28	738.29	316.37	536.45	379.04	157.68	155.5	457.25	226.54	251.48	106.63	156.59	33.3	64.34	111.99	96.01	44.57	75.64	80.01	91.41	50.98	114.36	84.63	229.72	72.52	100.83	72.52	60.39	150.17	75.11	76.71	95.34	175.07	53.57	93.35	140.04	128.79	57.08	28.45	33.06	39.79	60.82	36.27	24.28	26.1	18.16	36.53
