	TCGA.VN.A88P.01A.11R.A352.07	TCGA.V1.A9OH.01A.11R.A41O.07	TCGA.KC.A4BN.01A.61R.A250.07	TCGA.XK.AAK1.01A.11R.A41O.07	TCGA.XK.AAJ3.01A.11R.A41O.07	TCGA.G9.7522.01A.11R.2263.07	TCGA.EJ.7783.01A.11R.2118.07	TCGA.KK.A8I4.01A.11R.A36G.07	TCGA.VP.A87J.01A.11R.A352.07	TCGA.G9.6385.01A.11R.1789.07	TCGA.G9.A9S4.01A.11R.A41O.07	TCGA.KK.A7AV.01A.11R.A32O.07	TCGA.EJ.5524.01A.01R.1580.07	TCGA.VN.A943.01A.11R.A41O.07	TCGA.EJ.A7NK.01A.12R.A352.07	TCGA.TP.A8TV.01A.11R.A41O.07	TCGA.VN.A88R.01A.11R.A36G.07	TCGA.XJ.A9DK.01A.11R.A37L.07	TCGA.EJ.A46D.01A.21R.A32Y.07	TCGA.G9.6351.01A.21R.1965.07	TCGA.KC.A7F6.01A.11R.A33R.07	TCGA.XJ.A83H.01A.11R.A352.07	TCGA.VN.A88K.01A.11R.A352.07	TCGA.J4.A67T.01A.11R.A311.07	TCGA.KK.A7B4.01A.11R.A32O.07	TCGA.EJ.7327.01A.11R.2118.07	TCGA.KK.A6E0.01A.11R.A311.07	TCGA.EJ.A65E.01A.11R.A29R.07	TCGA.HC.A8D1.01A.11R.A36G.07	TCGA.EJ.AB27.01A.11R.A41O.07	TCGA.G9.6361.01A.21R.1965.07	TCGA.XK.AAIR.01A.11R.A41O.07	TCGA.G9.6333.01A.12R.1965.07	TCGA.V1.A8X3.01A.11R.A37L.07	TCGA.M7.A71Z.01A.12R.A32O.07	TCGA.HC.7749.01A.11R.2118.07	TCGA.YL.A9WY.01A.11R.A41O.07	TCGA.KK.A8IM.01A.11R.A36G.07	TCGA.KK.A8I8.01A.11R.A36G.07	TCGA.YL.A9WI.01A.11R.A37L.07	TCGA.V1.A8ML.01A.11R.A37L.07	TCGA.M7.A720.01A.12R.A32O.07	TCGA.EJ.A46I.01A.12R.A26U.07	TCGA.EJ.7317.01A.31R.2118.07	TCGA.V1.A9Z9.01A.21R.A41O.07	TCGA.HC.8260.01A.11R.2263.07	TCGA.YL.A8SR.01B.11R.A37L.07	TCGA.KK.A8IK.01A.11R.A36G.07	TCGA.YL.A8SO.01B.31R.A37L.07	TCGA.Y6.A8TL.01A.21R.A37L.07	TCGA.VP.A87B.01A.11R.A352.07	TCGA.CH.5746.01A.11R.1580.07	TCGA.HC.7075.01A.11R.1965.07	TCGA.YL.A8SI.01A.11R.A41O.07	TCGA.YL.A8SH.01B.11R.A37L.07	TCGA.G9.6367.01A.11R.1789.07	TCGA.HC.8257.01A.11R.2263.07	TCGA.G9.6499.01A.12R.1965.07	TCGA.EJ.A8FO.01A.21R.A36G.07	TCGA.YL.A8SA.01A.21R.A37L.07	TCGA.M7.A721.01A.12R.A32O.07	TCGA.HC.7738.01A.11R.2118.07	TCGA.J9.A8CN.01A.11R.A352.07	TCGA.YL.A8HL.01A.11R.A36G.07	TCGA.G9.6371.01A.11R.1789.07	TCGA.EJ.8470.01A.11R.2403.07	TCGA.KK.A8IJ.01A.11R.A352.07	TCGA.EJ.A8FN.01A.11R.A352.07	TCGA.J4.A83L.01A.11R.A352.07	TCGA.J4.A83J.01A.11R.A36G.07	TCGA.2A.AAYF.01A.11R.A41O.07	TCGA.EJ.8468.01A.21R.2403.07	TCGA.EJ.A65G.01A.21R.A29R.07	TCGA.J4.A83I.01A.11R.A36G.07	TCGA.KC.A4BR.01A.32R.A32Y.07	TCGA.YL.A9WK.01A.11R.A37L.07	TCGA.EJ.7788.01A.11R.2118.07	TCGA.CH.5744.01A.11R.1580.07	TCGA.V1.A9OF.01A.11R.A41O.07	TCGA.HC.8256.01A.11R.2263.07	TCGA.EJ.5509.01A.01R.1580.07	TCGA.XK.AAJU.01A.11R.A41O.07	TCGA.J4.AATZ.01A.11R.A41O.07	TCGA.G9.A9S7.01A.11R.A41O.07	TCGA.YL.A9WL.01A.11R.A41O.07	TCGA.EJ.5505.01A.01R.1580.07	TCGA.VN.A88O.01A.11R.A352.07	TCGA.WW.A8ZI.01A.11R.A37L.07	TCGA.V1.A8MG.01A.11R.A36G.07	TCGA.HC.7209.01A.11R.2118.07	TCGA.EJ.A8FU.01A.11R.A36G.07	TCGA.YL.A8SQ.01B.11R.A37L.07	TCGA.M7.A724.01A.12R.A32O.07	TCGA.HC.7080.01A.11R.1965.07	TCGA.EJ.7318.01B.11R.A32O.07	TCGA.G9.6336.01A.11R.1789.07	TCGA.EJ.5495.01A.01R.1580.07	TCGA.CH.5794.01A.11R.1580.07	TCGA.EJ.A7NJ.01A.22R.A352.07	TCGA.YL.A8HK.01A.11R.A36G.07	TCGA.EJ.A8FS.01A.11R.A352.07	TCGA.G9.6370.01A.11R.1789.07	TCGA.V1.A9OQ.01A.11R.A41O.07	TCGA.HC.8261.01A.11R.2263.07	TCGA.ZG.A9L4.01A.11R.A41O.07	TCGA.EJ.7312.01B.21R.A32O.07	TCGA.KK.A8IF.01A.11R.A36G.07	TCGA.YL.A9WJ.01A.11R.A37L.07	TCGA.H9.7775.01A.11R.2118.07	TCGA.VP.A876.01A.11R.A352.07	TCGA.EJ.A65J.01A.11R.A311.07	TCGA.XK.AAJR.01A.11R.A41O.07	TCGA.J9.A8CP.01A.11R.A352.07	TCGA.QU.A6IP.01A.11R.A31N.07	TCGA.KC.A7FE.01A.12R.A33R.07	TCGA.G9.7509.01A.11R.A41O.07	TCGA.V1.A8WL.01A.11R.A37L.07	TCGA.KK.A7B3.01A.11R.A33R.07	TCGA.EJ.7123.01A.11R.1965.07	TCGA.EJ.7115.01A.11R.2118.07	TCGA.EJ.5496.01A.01R.1580.07	TCGA.HC.7819.01A.11R.2118.07	TCGA.HC.8216.01A.11R.A29R.07	TCGA.J4.A83K.01A.11R.A352.07	TCGA.EJ.5532.01A.01R.1580.07	TCGA.EJ.7789.01A.11R.2118.07	TCGA.YL.A8S9.01A.11R.A37L.07	TCGA.KC.A7FA.01A.21R.A33R.07	TCGA.KK.A8I5.01A.11R.A36G.07	TCGA.CH.5741.01A.11R.1580.07	TCGA.EJ.7793.01A.31R.2263.07	TCGA.KK.A59Y.01A.11R.A26U.07	TCGA.EJ.7218.01B.11R.A32O.07	TCGA.J4.A83M.01A.11R.A352.07	TCGA.HC.7211.01A.11R.2118.07	TCGA.VP.A87D.01A.11R.A352.07	TCGA.KC.A7F3.01A.21R.A33R.07	TCGA.J4.AAU2.01A.11R.A41O.07	TCGA.KK.A8IB.01A.11R.A36G.07	TCGA.XA.A8JR.01A.11R.A36G.07	TCGA.XK.AAJP.01A.11R.A41O.07	TCGA.HC.8213.01A.11R.A29R.07	TCGA.FC.A5OB.01A.11R.A29R.07	TCGA.ZG.A9L2.01A.31R.A41O.07	TCGA.YL.A8HO.01A.11R.A36G.07	TCGA.EJ.7792.01A.11R.2118.07	TCGA.EJ.A6RA.01A.11R.A33R.07	TCGA.HC.7081.01A.11R.1965.07	TCGA.Y6.A9XI.01A.11R.A41O.07	TCGA.HC.7820.01A.11R.2118.07	TCGA.YL.A8HM.01A.11R.A36G.07	TCGA.XJ.A83G.01A.11R.A352.07	TCGA.HC.8259.01A.11R.2263.07	TCGA.VP.A875.01A.31R.A352.07	TCGA.EJ.A65F.01A.21R.A311.07	TCGA.G9.6332.01A.11R.1789.07	TCGA.V1.A8MK.01A.11R.A36G.07	TCGA.EJ.7786.01A.11R.2118.07	TCGA.CH.5762.01A.11R.1580.07	TCGA.V1.A9OX.01A.11R.A41O.07	TCGA.KK.A8IA.01A.11R.A36G.07	TCGA.EJ.A46B.01A.31R.A250.07	TCGA.VN.A88N.01A.11R.A36G.07	TCGA.HC.7078.01A.11R.2118.07	TCGA.G9.6377.01A.11R.1965.07	TCGA.ZG.A9ND.01A.11R.A41O.07	TCGA.EJ.A7NN.01A.11R.A33R.07	TCGA.G9.6356.01A.11R.1789.07	TCGA.CH.5748.01A.11R.1580.07	TCGA.HC.8258.01A.11R.2263.07	TCGA.KK.A8I6.01A.11R.A36G.07	TCGA.EJ.7125.01A.11R.1965.07	TCGA.KK.A7AU.01A.11R.A32O.07	TCGA.ZG.A9LS.01A.12R.A41O.07	TCGA.G9.7519.01A.11R.2263.07	TCGA.G9.7510.01A.11R.2263.07	TCGA.2A.A8VO.01A.11R.A37L.07	TCGA.XK.AAJA.01A.11R.A41O.07	TCGA.KK.A6E5.01A.11R.A311.07	TCGA.HC.7821.01A.12R.2118.07	TCGA.EJ.7321.01A.31R.2263.07	TCGA.EJ.A7NH.01A.12R.A33R.07	TCGA.V1.A9ZK.01A.11R.A41O.07	TCGA.2A.A8VL.01A.21R.A37L.07	TCGA.VP.A87K.01A.11R.A352.07	TCGA.M7.A725.01A.12R.A32O.07	TCGA.HC.7077.01A.11R.1965.07	TCGA.J4.A83N.01A.11R.A352.07	TCGA.EJ.A7NF.01A.11R.A33R.07	TCGA.EJ.7327.11A.01R.2118.07	TCGA.CH.5761.11A.01R.1580.07	TCGA.HC.7819.11A.01R.2118.07	TCGA.HC.8260.11A.01R.2263.07	TCGA.J4.A83J.11A.11R.A36G.07	TCGA.EJ.7321.11A.01R.2263.07	TCGA.HC.8259.11A.01R.2263.07	TCGA.G9.6342.11A.02R.1965.07	TCGA.EJ.7331.11A.01R.2118.07	GTEX.139T6.1526.SM.5P9G6
CTTNBP2	22.92	24.28	15.11	10.71	14.45	28.04	59.13	43.63	16.88	58.71	7.34	19.68	45.53	3.35	66.65	3.47	18.97	52.82	33.3	18.29	28.24	21.47	15.91	29.06	24.99	50.63	10.96	18.16	37.85	36.01	40.36	44.89	17.51	47.17	24.46	34.75	32.13	35.5	17.25	8.13	12.45	47.84	40.64	24.99	48.18	44.89	15.91	33.54	19.68	30.12	11.04	36.27	11.64	59.97	36.53	48.52	24.46	15.22	35.76	19.11	31.67	13.22	9.93	9.56	10.24	29.27	12.27	63.89	38.95	21.01	15.68	30.78	23.08	15.56	36.53	35.0	44.25	20.56	16.27	15.68	33.06	57.08	9.7	16.03	6.36	28.65	16.75	9.85	30.78	35.0	50.63	37.59	1.69	6.52	17.51	20.11	147.06	43.63	28.65	39.79	4.78	35.25	23.59	23.08	39.79	8.78	75.11	29.06	48.18	12.64	11.55	23.59	31.67	28.45	77.79	20.11	49.56	16.03	13.03	31.22	16.39	16.39	18.97	36.01	34.75	18.97	6.62	17.13	37.32	68.55	39.5	10.16	15.56	22.75	20.41	18.29	29.7	17.9	11.04	32.59	7.88	14.89	5.59	41.22	89.51	92.05	27.25	46.84	7.34	19.53	5.45	7.46	27.05	16.75	31.9	21.94	42.41	57.08	34.51	29.06	18.7	15.34	7.0	24.99	21.16	7.75	28.24	49.56	35.76	16.27	26.86	23.08	5.63	42.11	15.68	21.63	21.94	11.82	16.03	27.25	27.25	20.26	24.63	16.03	6.41	6.67	12.74	16.15	13.52	61.25	35.25	91.41	69.52	94.67	65.72	98.04	34.51	137.14	63.45
CYLD	159.9	239.52	262.2	198.47	212.78	283.05	356.05	346.29	295.11	283.05	289.02	301.33	441.64	214.27	264.03	236.21	143.01	285.03	267.73	202.66	283.05	182.55	289.02	332.14	307.69	351.14	346.29	283.05	289.02	312.0	215.77	237.86	279.14	289.02	145.02	279.14	373.81	244.57	120.94	152.28	224.97	289.02	283.05	197.09	287.01	255.0	173.85	114.36	197.09	215.77	166.73	269.6	297.17	346.29	273.37	236.21	291.04	209.84	251.48	271.48	260.38	285.03	214.27	269.6	189.02	480.04	287.01	323.03	229.72	264.03	208.38	397.93	195.72	264.03	334.46	162.14	351.14	251.48	237.86	287.01	295.11	295.11	285.03	170.25	289.02	368.65	237.86	236.21	194.36	381.68	285.03	217.27	143.01	283.05	146.03	226.54	466.88	223.41	281.09	397.93	249.73	339.14	217.27	253.23	309.83	172.65	435.55	334.46	279.14	241.19	316.37	185.11	229.72	199.85	309.83	262.2	303.44	218.79	228.13	273.37	318.57	283.05	232.94	241.19	323.03	279.14	90.77	139.07	260.38	262.2	253.23	236.21	220.32	229.72	447.82	244.57	295.11	223.41	175.07	241.19	201.25	215.77	183.82	389.72	327.56	497.0	206.94	432.53	260.38	249.73	242.88	186.4	209.84	206.94	241.19	164.42	262.2	334.46	480.04	277.2	215.77	220.32	232.94	249.73	246.28	249.73	297.17	305.55	301.33	309.83	215.77	297.17	228.13	363.56	212.78	249.73	231.32	206.94	165.57	389.72	312.0	249.73	289.02	195.72	142.01	273.37	181.28	193.01	185.11	305.55	412.0	320.8	295.11	403.5	323.03	305.55	244.57	426.57	318.57
DCHS1	115.97	55.1	111.99	10.96	53.95	60.82	164.42	173.85	69.52	152.28	34.02	90.77	135.24	18.84	147.06	19.11	29.91	80.57	130.6	59.13	53.57	119.26	90.14	138.1	66.18	256.78	45.85	32.36	138.1	187.71	113.56	119.26	69.52	470.14	41.52	59.13	149.12	122.64	45.53	21.32	57.49	129.69	221.86	63.45	85.22	96.01	87.03	27.25	62.12	89.51	53.57	102.97	239.52	144.01	90.14	127.0	57.89	41.52	149.12	26.47	85.82	90.14	28.65	59.55	44.89	101.54	69.03	80.57	178.77	88.26	34.02	366.09	55.89	123.5	173.85	151.22	167.9	59.97	19.39	43.94	104.42	91.41	43.94	24.63	69.03	60.82	41.52	35.5	84.04	63.89	164.42	88.26	9.85	39.22	101.54	43.63	228.13	93.35	72.52	154.42	397.93	164.42	34.02	78.34	71.5	45.21	15.91	108.9	146.03	131.51	36.79	74.58	72.52	199.85	178.77	163.28	287.01	100.83	73.03	189.02	129.69	81.71	156.59	177.53	120.1	32.59	31.22	197.09	57.08	38.12	94.01	19.97	55.49	77.79	88.88	83.45	54.72	63.45	38.95	129.69	28.04	45.85	8.13	176.29	143.01	575.03	69.03	217.27	50.98	197.09	20.11	20.26	107.38	28.04	60.82	28.04	118.43	124.37	181.28	59.13	21.63	105.15	32.13	77.25	76.17	32.59	86.43	118.43	57.49	67.12	41.22	100.13	50.27	145.02	151.22	85.82	95.34	53.19	150.17	98.04	50.63	124.37	69.03	52.45	31.9	32.36	46.18	61.68	66.18	65.72	105.89	166.73	134.3	185.11	156.59	128.79	41.52	269.6	130.6
DDR2	191.67	129.69	77.79	27.44	101.54	169.07	316.37	246.28	76.17	221.86	31.22	106.63	438.59	32.82	201.25	48.18	57.08	194.36	139.07	113.56	134.3	78.89	123.5	131.51	86.43	406.31	49.21	103.69	187.71	125.24	228.13	201.25	100.83	244.57	16.27	197.09	277.2	214.27	68.55	84.04	146.03	175.07	214.27	139.07	161.02	191.67	110.43	29.91	76.71	169.07	73.54	157.68	107.38	273.37	143.01	209.84	169.07	80.01	139.07	43.63	136.19	136.19	49.91	59.55	81.71	117.6	92.7	205.5	277.2	64.34	82.29	293.07	108.9	159.9	327.56	181.28	371.22	63.45	56.68	98.04	256.78	151.22	65.26	36.01	47.5	169.07	67.59	104.42	182.55	131.51	366.09	198.47	9.56	34.26	84.63	88.26	511.0	74.06	102.25	260.38	32.82	343.89	122.64	105.15	197.09	60.82	39.22	180.02	264.03	70.51	88.88	111.99	121.79	120.1	351.14	161.02	197.09	122.64	140.04	237.86	146.03	72.52	112.77	214.27	262.2	78.89	25.91	88.26	206.94	39.79	229.72	63.45	103.69	120.94	142.01	92.05	109.66	115.97	88.88	138.1	52.08	44.25	26.86	366.09	301.33	708.18	81.71	532.74	63.45	117.6	48.87	43.94	130.6	57.89	136.19	40.93	212.78	277.2	325.29	100.13	58.71	134.3	44.89	116.78	88.26	33.54	153.34	190.34	152.28	140.04	81.71	271.48	15.11	353.59	115.97	178.77	111.99	50.63	100.83	234.57	129.69	153.34	177.53	93.35	47.17	50.63	55.49	58.71	55.89	136.19	146.03	281.09	256.78	273.37	323.03	346.29	100.83	728.11	249.73
DOC2B	13.52	11.13	6.94	2.48	4.58	15.68	44.89	39.5	16.63	18.97	2.34	25.17	13.83	17.25	14.03	7.06	5.06	9.34	9.06	7.94	22.75	16.51	15.45	13.42	16.39	19.25	8.92	4.66	18.7	15.91	30.34	11.04	29.48	10.63	108.9	10.16	13.72	23.08	5.36	7.69	9.41	10.24	18.84	14.78	13.62	23.25	15.8	3.66	15.45	61.68	85.22	40.93	14.03	39.79	23.25	6.57	12.64	31.0	25.72	4.17	15.8	14.24	6.36	10.39	7.06	17.38	28.45	11.64	31.9	28.45	24.28	27.64	13.62	21.78	43.02	21.63	31.0	18.16	9.27	10.96	29.91	9.7	15.34	4.7	10.39	13.42	3.56	11.13	12.93	25.54	29.7	18.43	1.43	10.08	6.57	6.67	42.11	20.41	11.47	25.35	1.83	26.86	18.7	9.7	35.5	1.55	3.5	45.85	26.67	7.57	11.64	12.36	9.56	10.31	35.5	12.64	10.55	18.56	40.07	39.22	8.71	7.34	9.7	42.11	29.91	8.71	4.35	9.56	18.56	3.38	12.36	7.46	14.78	16.15	34.51	10.31	15.22	37.05	13.93	18.03	12.45	8.92	1.38	29.7	51.35	60.39	7.06	54.72	4.9	4.31	2.81	4.98	7.94	7.22	12.45	2.51	29.06	31.0	43.94	6.01	8.99	11.3	10.24	15.34	10.47	4.78	19.11	21.16	28.24	24.81	16.88	22.26	2.01	41.22	4.86	17.51	7.88	8.99	12.64	21.16	11.82	12.74	13.83	3.35	8.58	5.02	6.89	4.78	4.62	14.78	55.89	16.51	18.7	39.5	26.86	25.17	2.29	57.89	31.9
DSE	107.38	85.22	79.45	31.0	52.82	105.15	212.78	195.72	78.34	144.01	43.32	115.16	180.02	54.72	112.77	63.89	40.36	128.79	96.01	86.43	80.01	99.43	69.03	119.26	87.65	237.86	47.84	74.58	159.9	92.05	88.26	120.1	83.45	151.22	21.16	125.24	176.29	133.36	77.25	51.71	85.22	119.26	123.5	103.69	100.13	162.14	64.34	34.26	64.34	87.03	55.49	134.3	75.64	178.77	89.51	112.77	148.09	57.89	102.25	70.51	80.01	97.36	45.53	83.45	68.55	171.45	66.18	119.26	193.01	72.01	73.03	173.85	112.77	114.36	173.85	130.6	197.09	76.17	92.05	85.22	145.02	129.69	68.07	42.41	55.49	85.22	78.34	105.89	119.26	103.69	165.57	124.37	15.34	30.78	51.35	79.45	215.77	92.7	121.79	128.79	30.78	205.5	70.51	100.13	182.55	42.71	43.63	129.69	161.02	67.59	57.89	57.49	72.52	77.25	189.02	106.63	129.69	102.25	78.89	115.16	93.35	77.25	138.1	119.26	133.36	121.79	44.57	83.45	100.83	89.51	113.56	59.55	102.25	89.51	156.59	90.77	82.29	113.56	83.45	81.14	80.57	66.65	48.52	198.47	224.97	262.2	69.52	283.05	46.5	85.22	57.89	35.5	75.64	52.82	142.01	48.52	139.07	145.02	178.77	68.55	67.12	98.04	59.55	90.77	79.45	38.4	89.51	180.02	101.54	121.79	82.87	164.42	39.79	147.06	63.45	119.26	92.7	44.25	83.45	212.78	113.56	105.15	97.36	74.06	59.55	80.01	40.36	70.51	56.28	151.22	142.01	189.02	145.02	221.86	205.5	171.45	85.22	323.03	323.03
ECM2	176.29	144.01	55.49	38.4	152.28	148.09	161.02	212.78	108.14	99.43	28.86	109.66	438.59	20.56	104.42	40.36	102.25	171.45	96.68	106.63	50.27	54.33	133.36	92.05	102.97	303.44	64.34	84.04	215.77	67.59	273.37	151.22	106.63	167.9	16.15	187.71	277.2	171.45	63.45	75.64	147.06	72.01	128.79	88.88	193.01	144.01	178.77	23.76	105.15	164.42	77.79	68.55	78.34	152.28	121.79	84.63	186.4	47.17	122.64	31.0	87.65	58.71	71.5	54.72	47.5	100.13	78.34	189.02	209.84	90.14	74.06	483.38	88.88	127.0	239.52	289.02	291.04	66.65	36.79	60.39	180.02	87.65	73.54	26.67	46.84	79.45	64.8	87.65	206.94	74.06	248.0	187.71	8.92	38.12	38.4	57.08	363.56	48.18	94.67	204.07	53.95	191.67	86.43	108.9	255.0	55.49	61.25	183.82	165.57	70.51	93.35	108.14	234.57	87.65	234.57	142.01	204.07	151.22	80.57	158.79	96.68	56.68	126.12	139.07	212.78	61.68	32.59	96.01	134.3	42.41	91.41	36.01	80.57	78.89	63.89	69.03	75.64	101.54	101.54	72.01	68.55	68.55	47.84	423.61	299.25	426.57	75.64	229.72	53.95	65.72	65.72	28.86	74.58	52.82	181.28	29.48	145.02	206.94	139.07	73.03	57.89	72.01	52.45	137.14	71.5	59.13	134.3	173.85	130.6	90.77	61.68	144.01	10.96	400.71	108.14	206.94	147.06	45.85	97.36	271.48	73.54	135.24	146.03	64.8	69.03	61.68	29.91	53.57	38.4	114.36	69.52	124.37	94.01	167.9	186.4	166.73	67.12	473.41	171.45
EDA2R	19.53	19.82	26.1	16.88	25.72	62.56	97.36	45.85	12.45	35.76	7.82	25.35	44.25	22.43	81.14	14.67	22.59	95.34	33.3	42.11	23.42	28.45	10.31	25.17	6.52	54.72	4.94	19.53	66.18	27.84	73.03	45.21	22.75	36.79	31.22	57.89	23.25	105.15	17.9	6.21	56.68	34.75	63.0	19.25	15.91	36.27	68.55	4.24	21.94	22.43	10.16	67.59	57.89	52.82	17.9	42.11	26.1	15.11	56.28	26.67	21.63	23.08	17.9	6.67	14.56	85.82	16.63	45.53	31.0	36.53	20.26	46.5	35.5	9.34	40.36	15.22	65.26	101.54	15.34	37.85	39.22	52.08	58.3	33.54	1.43	25.91	8.92	10.47	32.59	138.1	61.68	30.34	6.62	8.32	19.68	35.5	122.64	84.04	47.5	34.26	6.16	65.26	23.93	19.97	26.1	8.32	5.15	41.52	49.56	3.92	33.3	24.81	32.82	43.94	77.25	50.27	56.28	21.63	20.56	24.99	35.0	60.39	12.74	48.18	142.01	26.86	21.78	14.67	55.49	43.94	61.68	16.51	37.85	40.64	127.0	8.51	33.78	40.36	10.24	70.01	17.9	47.5	2.71	105.89	58.3	87.65	30.34	92.05	29.91	38.67	6.16	11.64	21.47	12.83	25.17	24.46	34.02	50.98	67.59	30.34	5.87	56.68	58.3	28.24	32.82	6.21	80.01	56.28	35.5	23.93	31.22	54.33	2.73	51.35	25.72	20.86	53.57	13.03	18.03	17.25	25.91	31.0	27.25	26.47	5.06	102.25	33.06	37.59	38.4	45.53	65.26	75.11	40.93	82.87	59.13	48.52	54.72	75.11	64.34
EFR3B	3.06	2.56	2.25	0.69	1.04	3.38	12.93	3.14	3.17	4.5	2.12	1.38	8.06	0.99	5.23	2.92	4.43	4.94	1.07	1.38	2.34	1.83	3.79	2.97	7.4	12.74	1.89	2.2	7.75	3.5	3.14	3.89	1.73	6.36	1.35	4.7	4.66	4.7	1.73	1.66	2.48	4.9	3.47	5.23	3.08	4.35	3.32	0.74	1.41	3.11	3.63	2.86	2.05	3.59	5.87	3.66	5.02	1.03	3.35	5.06	3.79	1.81	1.57	5.73	2.05	2.05	6.06	11.21	4.43	2.39	1.39	3.66	1.77	6.41	7.4	2.63	9.06	8.58	1.43	4.28	4.9	3.99	8.25	2.53	17.25	3.79	2.34	3.72	6.52	5.77	5.23	4.31	1.28	6.57	0.72	1.81	16.03	8.0	5.96	7.69	1.33	5.59	3.35	3.82	10.79	0.39	1.66	5.32	4.98	4.43	1.31	8.32	3.72	1.07	9.2	4.43	2.1	4.06	5.45	5.36	3.82	4.94	2.39	3.06	5.96	20.11	2.61	0.42	9.78	4.74	2.51	1.6	4.7	2.78	4.66	6.67	1.41	2.58	0.41	1.13	3.69	0.73	0.36	4.24	16.51	13.32	0.4	18.56	4.54	3.35	2.27	1.07	2.03	3.59	7.94	0.71	3.44	6.21	7.17	2.18	2.29	1.06	0.39	2.73	1.81	1.33	3.06	4.98	2.1	2.68	2.58	6.89	2.39	5.87	1.1	3.11	2.18	3.0	2.68	17.64	2.53	3.89	4.98	3.08	5.28	2.84	4.98	1.1	1.85	2.03	3.69	4.98	8.58	6.78	5.36	6.52	2.73	11.55	9.48
EPS8	318.57	215.77	125.24	112.77	126.12	186.4	423.61	325.29	215.77	209.84	56.28	265.87	329.84	149.12	281.09	119.26	146.03	283.05	194.36	117.6	165.57	195.72	205.5	177.53	150.17	412.0	152.28	178.77	293.07	228.13	199.85	271.48	132.44	376.41	46.18	409.15	361.04	255.0	165.57	260.38	195.72	291.04	318.57	180.02	226.54	336.79	351.14	111.99	262.2	211.31	204.07	224.97	236.21	301.33	244.57	154.42	193.01	172.65	226.54	135.24	206.94	256.78	148.09	139.07	163.28	262.2	248.0	316.37	323.03	167.9	237.86	438.59	182.55	193.01	356.05	438.59	346.29	166.73	195.72	201.25	297.17	249.73	376.41	67.59	103.69	271.48	130.6	269.6	215.77	153.34	384.34	373.81	46.18	123.5	127.89	136.19	483.38	301.33	231.32	384.34	137.14	417.77	169.07	199.85	429.54	111.21	118.43	356.05	389.72	156.59	123.5	249.73	191.67	156.59	329.84	214.27	273.37	237.86	229.72	343.89	197.09	198.47	262.2	195.72	387.02	232.94	81.71	138.1	305.55	118.43	206.94	99.43	244.57	218.79	397.93	136.19	193.01	231.32	228.13	279.14	100.13	189.02	106.63	460.44	379.04	447.82	204.07	543.96	297.17	197.09	144.01	66.65	193.01	115.16	229.72	66.65	194.36	336.79	341.51	127.89	131.51	217.27	134.3	305.55	151.22	133.36	226.54	325.29	285.03	248.0	176.29	387.02	52.45	218.79	248.0	287.01	251.48	212.78	260.38	191.67	176.29	223.41	260.38	142.01	68.55	172.65	155.5	142.01	93.35	289.02	307.69	277.2	237.86	376.41	392.44	241.19	202.66	423.61	463.65
EYA4	38.12	43.63	31.0	2.76	13.72	50.27	48.18	47.17	9.63	39.22	6.78	18.03	55.89	6.11	43.02	6.67	6.52	46.5	46.84	40.07	29.48	16.27	16.27	60.39	12.27	63.0	6.73	15.0	55.1	34.51	58.71	49.91	35.76	50.63	2.1	28.45	40.64	55.1	18.56	7.63	31.45	63.45	104.42	23.59	39.79	41.22	29.27	4.03	13.42	50.27	8.65	45.85	18.16	54.72	42.71	65.72	31.0	26.28	46.5	10.79	29.27	50.98	7.75	8.78	24.81	18.16	18.7	52.45	52.08	10.24	12.93	69.52	27.64	17.51	83.45	23.08	48.87	12.83	12.93	19.82	64.8	50.63	9.93	4.82	5.82	33.78	10.96	12.45	36.79	18.03	101.54	28.24	0.59	2.68	22.59	25.35	107.38	22.26	34.75	50.27	5.23	55.89	19.68	21.63	21.63	9.34	3.5	38.4	38.67	17.9	9.56	26.67	18.84	27.25	77.25	53.19	33.78	22.92	24.11	57.89	37.05	11.91	23.42	98.73	35.0	10.55	3.56	32.59	45.53	5.59	70.51	10.08	15.56	23.08	19.39	15.8	33.54	19.82	17.51	26.67	5.15	11.04	7.63	59.55	51.35	112.77	27.25	54.33	7.88	32.82	5.92	6.57	45.21	7.17	19.25	8.32	78.34	63.89	74.06	33.54	9.7	59.97	10.0	23.25	17.9	3.14	25.72	44.25	37.05	18.7	13.42	30.34	2.58	65.72	29.48	57.08	13.03	7.22	20.11	38.67	19.11	48.87	38.67	24.81	8.58	8.51	10.96	18.29	23.42	22.59	53.19	64.8	59.55	51.71	47.84	70.01	35.25	132.44	52.82
