	GTEX.SNMC.0826.SM.4DM66	TCGA.CF.A47V.01A.11R.A23W.07	TCGA.XF.AAN1.01A.31R.A42T.07	TCGA.CF.A3MH.01A.11R.A20F.07	TCGA.CF.A3MG.01A.11R.A20F.07	TCGA.E7.A7PW.01A.11R.A352.07	TCGA.FD.A6TI.01A.11R.A32O.07	TCGA.FJ.A3Z9.01A.11R.A26T.07	TCGA.XF.A8HC.01A.11R.A36F.07	TCGA.FD.A43X.01A.11R.A23W.07	TCGA.4Z.AA81.01A.11R.A39I.07	TCGA.DK.A1AG.01A.11R.A13Y.07	TCGA.DK.A1A6.01A.11R.A13Y.07	TCGA.CF.A47S.01A.11R.A23W.07	TCGA.E7.A5KE.01A.11R.A28M.07	TCGA.XF.A9SL.01A.11R.A39I.07	TCGA.CF.A9FF.01A.11R.A38B.07	TCGA.CF.A9FH.01A.11R.A38B.07	TCGA.CF.A47X.01A.31R.A23W.07	TCGA.CF.A5U8.01A.11R.A28M.07	TCGA.UY.A9PF.01A.11R.A38B.07	TCGA.E7.A7DV.01A.11R.A33J.07	TCGA.XF.A9SJ.01A.11R.A39I.07	TCGA.4Z.AA7O.01A.31R.A39I.07	TCGA.E7.A5KF.01A.11R.A28M.07	TCGA.CU.A3YL.01A.11R.A22U.07	TCGA.DK.AA71.01A.31R.A39I.07	TCGA.DK.AA77.01A.11R.A39I.07	TCGA.FT.A61P.01A.11R.A30C.07	TCGA.CF.A9FL.01A.11R.A38B.07	TCGA.4Z.AA7S.01A.11R.A39I.07	TCGA.MV.A51V.01A.11R.A26T.07	TCGA.GV.A3JV.01A.11R.A220.07	TCGA.ZF.A9R4.01A.11R.A38B.07	TCGA.FD.A43N.01A.11R.A23W.07	TCGA.DK.A3IS.01A.21R.A21D.07	TCGA.E7.A3Y1.01A.11R.A22U.07	TCGA.4Z.AA7Y.01A.11R.A39I.07	TCGA.DK.A2HX.01A.12R.A18C.07	TCGA.GV.A6ZA.01A.12R.A33J.07	TCGA.XF.AAMZ.01A.11R.A42T.07	TCGA.E7.A7DU.01A.11R.A32O.07	TCGA.XF.A8HI.01A.11R.A38B.07	TCGA.XF.A8HG.01A.11R.A36F.07	GTEX.11TT1.1026.SM.5PNW7	TCGA.05.5715.01A.01R.1628.07	TCGA.44.7672.01A.11R.2066.07	TCGA.05.5429.01A.01R.1628.07	TCGA.78.7540.01A.11R.2066.07	TCGA.49.4506.01A.01R.1206.07	GTEX.132NY.1226.SM.5PNVF	GTEX.14ABY.1126.SM.5Q5F8	GTEX.12WSI.0826.SM.5EGKD	GTEX.1313W.0926.SM.5EQ56	GTEX.11DXZ.0726.SM.5N9C4	GTEX.12584.1426.SM.5EGJ9	GTEX.OXRN.0526.SM.2I5EN	GTEX.11PRG.0926.SM.5EGI8	GTEX.11GSP.0726.SM.5986L	GTEX.1477Z.0626.SM.5NQB7	GTEX.11NV4.1126.SM.5HL6J	GTEX.13FHP.0726.SM.5K7YI	GTEX.13QJ3.1026.SM.5QGQU	GTEX.SN8G.0926.SM.4DM5I	GTEX.111VG.0726.SM.5GIDC	GTEX.14DAR.0226.SM.5S2PR	GTEX.X4EP.0526.SM.3P5YW	GTEX.12WSA.1026.SM.5EGHN	GTEX.13G51.0426.SM.5K7Z5	GTEX.13NYB.0626.SM.5MR47	GTEX.ZVT3.0926.SM.5GICK	TCGA.IM.A3U2.01A.21R.A22L.07	TCGA.EL.A3ZO.01A.11R.A23N.07	TCGA.DJ.A3VB.01A.11R.A23N.07	TCGA.EL.A3MZ.01A.11R.A21D.07	GTEX.ZP4G.0726.SM.4WWF2
NECAB1	18.03	2.73	0.97	0.36	0.59	16.88	3.86	6.46	41.81	0.92	0.64	2.94	1.16	3.82	0.59	107.38	6.01	1.85	1.73	4.62	9.13	7.0	29.06	2.34	0.59	8.45	1.0	0.93	18.84	13.32	0.64	32.36	3.86	4.82	29.7	7.17	2.23	0.61	34.75	1.75	2.16	2.89	1.6	7.4	11.38	5.23	11.13	5.41	16.03	2.48	49.21	45.85	31.45	251.48	269.6	172.65	62.56	59.13	29.27	99.43	49.21	118.43	76.71	87.65	120.1	81.71	30.78	157.68	67.12	183.82	84.63	8.92	7.51	8.19	33.78	305.55
NEURL1B	262.2	96.01	92.05	51.71	38.95	122.64	38.67	13.83	97.36	40.93	129.69	111.99	46.5	14.45	107.38	518.15	85.82	46.18	35.76	18.43	53.95	47.5	209.84	55.1	77.25	117.6	72.01	48.52	101.54	77.25	212.78	197.09	86.43	34.02	93.35	102.25	105.15	98.04	759.08	40.36	81.71	58.3	91.41	9.13	75.11	125.24	836.53	65.26	96.68	29.7	137.14	540.19	358.54	139.07	153.34	178.77	206.94	532.74	46.18	423.61	80.57	571.05	363.56	242.88	343.89	104.42	316.37	493.56	94.01	514.56	273.37	144.01	336.79	133.36	267.73	417.77
NMUR1	16.15	1.36	2.23	1.66	0.3	1.38	0.33	0.66	1.2	0.61	0.31	2.05	0.87	0.33	0.58	26.28	2.63	0.61	0.69	2.16	3.99	0.85	3.53	0.34	0.0	6.89	0.66	0.92	7.4	1.16	1.53	4.03	11.47	0.65	3.17	1.2	4.03	1.48	3.11	0.87	0.32	1.6	1.58	0.0	6.21	7.69	3.79	2.78	9.56	4.17	65.72	191.67	24.28	9.56	90.77	23.08	36.79	129.69	65.72	204.07	48.52	77.25	183.82	68.07	84.04	44.57	72.01	46.18	88.88	61.25	70.51	1.06	1.08	1.08	4.06	6.01
NPR2	248.0	246.28	85.22	75.64	51.71	181.28	45.53	198.47	101.54	77.79	23.59	57.89	48.52	166.73	177.53	368.65	41.52	130.6	130.6	136.19	75.64	58.3	111.21	50.63	76.17	182.55	59.55	86.43	120.94	208.38	87.03	132.44	94.67	118.43	115.16	49.21	329.84	24.99	180.02	190.34	58.3	108.14	154.42	84.63	159.9	88.26	157.68	114.36	98.73	102.97	93.35	429.54	563.18	106.63	224.97	241.19	567.1	447.82	262.2	579.04	281.09	275.28	669.92	603.67	1477.58	120.94	406.31	341.51	211.31	267.73	148.09	120.94	228.13	234.57	133.36	127.0
OLFML1	866.07	44.25	21.78	11.55	5.77	9.63	41.22	8.19	11.21	8.78	10.39	17.0	36.53	9.93	13.72	194.36	51.35	11.55	13.72	14.56	53.57	23.93	67.59	49.21	5.19	39.79	10.71	11.82	114.36	55.49	29.48	25.91	92.05	9.63	73.54	9.34	38.4	16.75	205.5	13.83	24.99	24.28	32.59	12.18	29.27	89.51	215.77	68.55	34.26	45.53	414.87	651.58	540.19	256.78	555.41	277.2	223.41	1295.13	733.19	417.77	397.93	1216.75	1008.9	571.05	1073.91	199.85	221.86	420.68	1127.35	543.96	551.56	65.26	132.44	52.45	80.01	1407.55
OR5K2	0.0	0.68	0.0	0.0	0.0	2.39	0.0	0.97	0.0	2.71	0.0	2.92	0.0	0.96	0.58	2.48	0.0	1.81	2.05	0.0	1.46	0.57	0.0	0.0	0.0	2.2	0.0	1.51	0.0	1.91	2.14	0.0	0.65	1.91	0.71	0.6	1.85	0.0	2.41	0.0	0.0	3.5	1.58	0.0	0.22	3.11	1.11	0.0	1.39	0.0	2.71	15.0	7.57	1.33	3.2	2.05	5.73	12.74	5.63	4.7	17.13	10.71	3.82	4.98	8.13	3.35	0.34	3.14	3.03	10.88	4.94	3.23	0.0	0.0	1.58	6.67
PCDHB15	27.25	17.51	9.27	7.0	2.34	19.82	19.39	5.23	5.15	7.57	1.87	6.52	10.0	1.95	122.64	36.53	18.43	10.31	35.0	5.92	8.45	1.45	3.59	12.55	17.25	18.56	5.23	9.41	12.45	60.39	11.04	59.55	17.25	16.63	89.51	19.11	53.57	11.47	78.89	12.64	11.04	8.65	12.64	2.39	14.89	13.93	58.71	18.16	16.27	14.24	85.82	45.53	64.34	23.25	47.5	84.63	41.52	58.3	100.13	33.06	93.35	98.04	190.34	127.89	187.71	14.14	149.12	68.07	116.78	25.72	81.14	19.25	12.36	14.24	24.81	181.28
PCDHGA12	30.56	12.74	11.38	6.62	3.47	3.79	8.92	5.82	3.32	8.71	20.11	9.93	9.93	3.82	7.17	51.71	10.88	7.0	3.79	9.2	3.32	6.73	19.11	17.13	1.73	32.13	7.11	3.96	18.16	9.2	4.9	8.45	12.18	6.41	22.1	1.83	15.8	4.74	35.25	4.9	8.85	7.69	3.5	1.97	17.38	33.3	44.89	6.41	9.63	7.75	97.36	108.14	41.81	84.04	67.59	94.01	132.44	454.09	327.56	197.09	105.89	187.71	273.37	555.41	169.07	81.71	232.94	108.14	113.56	94.67	195.72	100.13	25.35	55.89	144.01	90.14
PDE2A	426.57	87.03	59.97	32.13	25.91	24.81	93.35	19.97	42.41	34.51	4.98	40.07	26.86	19.82	22.75	426.57	66.65	71.5	28.45	16.88	79.45	54.72	51.35	115.97	30.12	93.35	23.08	48.87	140.04	41.81	53.95	114.36	49.21	12.27	55.89	37.85	80.57	70.51	122.64	31.22	58.71	26.67	103.69	11.47	72.52	46.18	55.1	34.26	36.79	40.07	221.86	563.18	255.0	63.45	151.22	199.85	194.36	444.72	356.05	483.38	237.86	208.38	470.14	417.77	387.02	82.29	320.8	341.51	470.14	232.94	171.45	130.6	191.67	150.17	334.46	426.57
PDGFRA	1498.22	81.71	32.36	13.12	7.63	20.41	327.56	35.25	31.67	17.64	37.05	13.72	50.27	59.55	9.63	281.09	214.27	9.27	44.89	22.59	251.48	674.59	144.01	108.14	8.99	72.01	17.77	27.84	182.55	267.73	51.35	54.33	275.28	9.48	163.28	19.82	43.02	22.92	563.18	79.45	90.14	43.32	131.51	22.59	764.36	289.02	780.44	332.14	129.69	127.0	229.72	140.04	480.04	312.0	72.52	1081.39	3039.3	92.05	172.65	368.65	555.41	595.34	669.92	2555.58	463.65	361.04	842.36	1250.98	217.27	974.5	583.07	65.72	83.45	71.0	107.38	2133.97
PEAR1	164.42	96.68	95.34	27.05	11.82	8.32	17.38	7.88	79.45	100.83	32.82	67.12	11.47	11.82	36.27	94.67	43.94	38.95	20.56	32.13	27.84	11.64	39.5	54.33	27.25	91.41	21.47	48.18	74.06	122.64	30.12	46.5	67.12	11.3	32.13	29.06	71.0	43.32	39.22	57.08	43.63	36.53	127.89	6.73	61.68	34.02	44.57	38.12	50.63	159.9	92.05	348.71	237.86	68.55	108.14	221.86	366.09	616.37	224.97	638.15	420.68	591.22	346.29	299.25	325.29	134.3	190.34	332.14	356.05	567.1	197.09	47.5	38.12	42.41	92.7	149.12
PID1	150.17	20.26	10.24	2.36	4.94	5.87	77.25	5.59	7.57	3.69	2.81	4.21	10.0	11.55	6.11	251.48	77.25	5.54	17.77	7.51	38.67	23.42	29.91	26.47	3.76	31.45	11.73	5.82	49.56	23.76	17.38	26.1	37.05	3.26	23.93	12.36	24.28	63.45	113.56	5.82	38.4	8.71	19.97	10.63	1001.93	248.0	71.5	35.25	68.55	29.7	708.18	224.97	1073.91	142.01	1936.53	1936.53	248.0	318.57	194.36	555.41	150.17	361.04	1135.2	1044.52	190.34	1277.29	105.15	2004.85	248.0	480.04	283.05	14.03	28.04	13.32	18.84	684.02
PKIG	2004.85	890.44	954.43	220.32	293.07	669.92	748.61	182.55	698.41	872.1	332.14	656.11	264.03	738.29	199.85	5112.16	764.36	563.18	651.58	713.11	708.18	1037.29	688.78	356.05	327.56	1066.48	753.83	567.1	1769.57	854.13	307.69	1030.12	1135.2	193.01	921.88	450.94	813.63	387.02	3515.68	483.38	1378.57	759.08	629.35	423.61	967.76	688.78	2075.59	1088.92	802.41	444.72	3665.02	6121.9	9344.14	7230.1	1104.13	8963.45	8191.0	6652.97	6699.25	3901.01	23009.42	10014.87	4639.29	6607.01	9088.59	1685.71	4972.34	3768.09	9088.59	13776.25	8305.36	2004.85	1896.65	1709.26	1662.49	2682.69
PLAC9	3419.52	112.77	75.64	55.1	11.3	1277.29	123.5	21.47	71.0	62.56	53.95	37.32	13.12	28.24	57.89	1417.35	195.72	50.63	88.88	10.63	120.1	27.05	303.44	45.21	32.36	164.42	53.57	44.25	353.59	189.02	86.43	217.27	105.15	45.53	1605.83	74.58	181.28	44.25	265.87	93.35	145.02	102.25	161.02	387.02	262.2	264.03	241.19	171.45	154.42	120.1	5255.91	3955.48	3419.52	2193.99	1151.06	4704.07	1498.22	8421.31	3235.01	3349.13	3540.14	4736.79	3665.02	1832.01	6337.83	890.44	995.0	1594.73	1769.57	3540.14	3235.01	303.44	483.38	444.72	297.17	1605.83
PLAGL1	988.12	46.5	107.38	11.13	3.26	79.45	101.54	40.64	195.72	6.78	8.71	46.5	24.46	19.39	371.22	143.01	46.84	10.55	11.47	44.57	43.63	50.63	25.54	90.77	11.91	155.5	8.58	22.43	68.07	170.25	21.94	185.11	48.87	73.03	133.36	81.71	38.4	37.85	164.42	67.59	37.32	33.06	63.89	9.2	409.15	43.02	126.12	38.12	223.41	28.65	348.71	400.71	693.58	780.44	921.88	500.46	183.82	195.72	353.59	480.04	220.32	1397.83	1059.11	287.01	503.95	392.44	341.51	723.08	642.59	540.19	543.96	65.72	79.45	59.97	81.71	119.26
PLCL1	20.56	8.45	4.78	3.63	2.58	5.15	11.73	0.99	3.63	2.12	1.83	5.28	4.82	1.28	3.44	34.75	11.21	4.24	6.46	0.64	18.56	6.73	4.17	25.35	1.16	15.34	5.82	8.13	15.11	10.31	6.11	10.08	17.25	2.89	9.48	3.59	11.73	13.72	20.56	2.32	7.94	3.2	6.62	3.14	4.21	15.0	22.43	9.93	10.55	4.78	25.72	151.22	71.5	57.49	22.92	63.0	44.25	291.04	81.14	164.42	36.27	108.14	111.99	100.13	62.12	82.87	23.93	120.94	121.79	58.71	77.79	14.24	14.45	20.71	21.78	473.41
PODN	318.57	127.89	60.39	20.11	11.38	23.93	379.04	32.13	13.22	42.41	17.64	16.75	80.57	100.83	224.97	1896.65	497.0	13.32	48.18	45.85	237.86	497.0	423.61	318.57	2.97	226.54	169.07	48.18	759.08	429.54	176.29	139.07	518.15	14.67	194.36	22.92	212.78	22.43	2367.9	40.07	182.55	66.65	96.01	57.89	52.82	518.15	836.53	336.79	309.83	110.43	753.83	323.03	599.49	591.22	941.27	703.28	679.29	2664.15	802.41	1167.14	103.69	1572.76	2976.74	2739.08	1250.98	579.04	397.93	1950.0	854.13	1127.35	688.78	119.26	265.87	114.36	172.65	5913.33
PPP3CC	223.41	141.02	166.73	182.55	291.04	95.34	518.15	115.16	133.36	116.78	116.78	150.17	140.04	125.24	33.54	400.71	194.36	185.11	106.63	164.42	125.24	108.14	134.3	299.25	80.01	139.07	175.07	112.77	120.1	287.01	136.19	153.34	532.74	126.12	158.79	169.07	183.82	217.27	212.78	85.22	356.05	72.52	170.25	116.78	122.64	291.04	309.83	231.32	204.07	420.68	343.89	607.87	579.04	447.82	253.23	708.18	483.38	463.65	521.76	507.46	633.73	503.95	813.63	693.58	493.56	420.68	536.45	480.04	624.99	769.69	642.59	295.11	281.09	343.89	297.17	283.05
PRCD	170.25	31.0	33.54	15.22	61.68	28.04	23.08	11.38	35.76	11.82	4.62	15.91	8.06	38.95	20.71	120.94	47.84	20.41	13.03	28.65	39.79	13.32	21.16	11.64	6.62	63.45	21.78	18.16	19.68	33.3	8.92	20.41	32.36	17.9	23.25	3.96	54.72	8.32	39.22	21.32	12.93	17.0	20.56	68.55	29.06	10.55	44.57	28.86	20.71	25.35	35.5	88.88	121.79	70.01	34.75	96.68	75.64	202.66	43.02	134.3	28.45	113.56	244.57	164.42	122.64	75.11	186.4	223.41	49.56	84.63	72.52	33.3	43.63	48.52	50.27	72.52
PRDM11	57.08	42.71	42.71	28.45	18.03	53.57	77.79	29.91	16.27	46.18	6.16	74.58	8.92	23.59	17.25	94.01	12.45	35.5	38.4	37.85	24.11	8.85	6.89	47.84	63.0	46.84	27.44	33.54	19.68	52.45	20.86	18.29	31.22	31.9	46.5	33.54	50.98	52.82	35.25	28.24	42.71	23.08	94.01	50.63	40.36	36.01	60.82	73.03	43.02	18.97	47.17	48.52	51.71	43.02	80.01	65.26	127.0	260.38	108.14	201.25	33.78	92.7	164.42	113.56	91.41	205.5	65.72	80.57	63.45	41.81	22.92	78.34	57.89	63.89	76.71	305.55
PRKG1	57.89	10.79	8.58	5.32	1.75	3.11	8.92	1.0	2.73	3.63	3.38	4.74	9.63	2.58	3.17	102.25	20.56	5.77	5.5	2.2	23.59	5.36	12.18	11.21	4.28	15.11	12.93	5.77	36.53	21.32	7.34	12.83	19.53	2.92	16.15	5.73	11.82	7.06	115.16	7.46	4.62	5.45	6.36	1.6	46.18	65.26	76.71	55.49	20.26	27.25	105.15	279.14	217.27	58.3	76.71	279.14	281.09	397.93	239.52	277.2	157.68	323.03	432.53	346.29	358.54	73.03	189.02	206.94	293.07	314.17	144.01	31.45	17.77	17.77	34.51	325.29
PTGER2	165.57	14.14	5.41	3.99	1.75	3.11	58.3	1.33	10.24	4.54	1.55	5.02	15.0	4.78	3.76	50.98	47.17	1.85	9.85	13.52	85.22	143.01	10.08	38.67	3.14	17.9	10.0	10.55	24.11	19.11	7.63	70.01	77.79	7.06	14.78	7.82	9.63	5.92	72.01	16.03	23.08	13.12	17.0	3.92	738.29	30.56	226.54	194.36	29.48	22.75	47.17	193.01	62.56	43.94	66.65	110.43	63.89	24.81	438.59	85.22	273.37	11.73	153.34	64.34	106.63	114.36	128.79	15.8	37.32	26.67	54.33	15.0	115.97	32.82	37.05	154.42
PTPN5	0.82	4.39	7.22	0.35	0.0	1.04	1.93	0.99	3.29	4.78	0.0	1.77	1.43	0.65	0.59	42.11	3.0	0.0	1.71	0.32	10.16	0.0	4.13	1.0	0.0	7.17	2.58	5.11	2.48	9.13	1.23	12.36	4.46	0.66	1.43	0.91	5.5	0.0	10.96	2.58	6.06	3.5	2.2	0.4	5.77	0.61	2.46	0.24	0.61	0.73	13.42	69.03	15.45	54.33	11.21	20.86	16.88	18.03	9.41	18.43	63.89	29.27	25.35	17.25	23.59	7.28	13.32	4.58	36.53	87.65	16.51	14.56	18.7	18.29	12.0	15.91
PTRF	2384.37	825.0	629.35	540.19	201.25	237.86	2178.83	251.48	169.07	379.04	1844.76	595.34	397.93	209.84	356.05	6337.83	854.13	285.03	208.38	221.86	718.08	6607.01	1529.73	743.43	78.34	1191.69	616.37	341.51	5517.27	1225.22	551.56	753.83	866.07	139.07	1135.2	406.31	860.08	493.56	3847.29	258.57	575.03	493.56	454.09	102.25	860.08	1407.55	2468.49	796.86	974.5	392.44	10440.2	8479.89	4639.29	1487.87	3280.18	12329.98	12415.75	23492.92	17078.76	13681.08	11112.3	20881.4	10440.2	9025.81	13586.57	7485.11	7081.29	8901.53	15285.81	20451.65	10084.54	3820.7	3768.09	3467.27	3874.05	29327.18
RASA4B	486.75	177.53	98.04	61.25	53.95	56.28	121.79	69.52	26.67	866.07	74.58	166.73	20.41	547.75	32.82	343.89	214.27	59.55	36.79	56.68	56.28	76.71	180.02	473.41	7.82	52.08	54.72	224.97	143.01	81.14	58.3	27.84	96.01	13.62	138.1	134.3	148.09	108.14	115.16	13.42	167.9	57.49	172.65	33.06	100.13	120.1	525.39	148.09	476.71	61.25	896.64	1225.22	314.17	785.88	361.04	320.8	441.64	525.39	169.07	669.92	967.76	212.78	713.11	271.48	339.14	218.79	224.97	148.09	563.18	414.87	463.65	540.19	591.22	551.56	221.86	414.87
RASGRP2	98.04	99.43	60.39	18.7	13.62	36.01	31.22	10.88	40.64	31.0	16.88	41.22	36.27	23.08	20.71	1199.98	246.28	43.32	43.63	15.34	88.88	90.14	115.16	47.17	5.54	131.51	24.46	17.38	118.43	44.25	68.55	64.34	76.17	26.67	71.5	26.28	80.01	37.59	142.01	34.51	177.53	59.97	51.35	7.17	77.25	80.01	242.88	53.57	57.49	157.68	249.73	1008.9	305.55	169.07	214.27	497.0	1001.93	775.05	303.44	2061.24	320.8	371.22	708.18	896.64	318.57	583.07	647.07	525.39	221.86	368.65	381.68	78.89	224.97	91.41	131.51	603.67
RASL12	466.88	81.71	54.33	32.59	14.45	38.4	48.87	14.35	16.63	27.44	11.64	36.27	26.28	14.78	24.99	802.41	99.43	36.79	27.05	12.74	60.39	32.36	60.39	42.11	8.06	115.97	19.25	21.78	214.27	80.01	46.84	73.03	80.57	12.64	71.5	22.92	67.59	30.12	438.59	21.32	48.87	43.32	39.79	5.19	103.69	96.01	403.5	153.34	189.02	49.91	743.43	890.44	1175.27	173.85	368.65	514.56	555.41	2720.15	587.13	603.67	791.35	1721.16	1268.46	1081.39	1313.23	309.83	1233.75	406.31	665.29	1277.29	599.49	105.15	126.12	81.71	70.51	1883.54
RBMS3	76.71	16.51	6.06	4.66	1.19	5.87	25.72	2.97	3.96	4.54	1.57	8.85	3.76	4.17	6.06	94.01	27.64	7.34	6.21	10.55	20.41	30.78	13.62	8.32	4.31	18.56	4.58	10.0	30.78	18.43	8.0	14.56	17.9	1.33	20.71	4.54	25.72	7.69	63.45	3.2	7.69	6.78	12.36	1.22	30.12	45.85	55.49	23.76	41.52	12.93	287.01	420.68	197.09	173.85	152.28	660.68	693.58	366.09	463.65	273.37	429.54	341.51	376.41	723.08	764.36	108.9	214.27	299.25	497.0	293.07	275.28	146.03	88.26	138.1	162.14	71.5
RFTN2	59.13	24.81	20.71	10.24	2.32	25.35	24.28	12.27	25.35	8.71	2.76	15.45	12.45	5.11	18.97	37.59	16.75	16.27	38.67	13.22	14.89	4.54	6.52	8.58	5.15	55.89	12.55	13.22	17.25	30.34	13.62	15.11	28.86	21.01	25.54	4.24	60.39	19.82	32.13	11.73	11.64	21.63	31.0	10.55	18.84	34.51	24.11	30.12	9.93	8.13	36.01	57.49	53.19	13.03	55.1	35.76	31.22	134.3	29.91	105.15	31.45	72.52	102.97	75.11	74.58	29.91	37.85	71.0	60.82	55.89	28.65	15.11	17.25	29.48	66.65	88.26
RHOJ	595.34	137.14	59.55	37.85	25.72	22.26	53.57	13.72	26.1	31.22	19.11	41.81	25.54	26.28	21.01	351.14	102.97	29.06	32.59	26.47	96.68	22.59	74.58	41.22	23.08	118.43	34.26	40.07	115.97	84.04	50.98	78.34	70.51	20.56	78.89	37.59	64.34	39.5	173.85	29.91	49.21	44.57	62.12	10.63	76.17	94.67	120.94	64.8	113.56	46.5	507.46	848.22	674.59	521.76	208.38	967.76	332.14	1119.56	896.64	748.61	2367.9	1806.78	819.3	466.88	1199.98	190.34	642.59	409.15	1844.76	603.67	813.63	123.5	105.89	129.69	172.65	480.04
ROR1	14.89	6.73	3.82	1.35	1.45	2.76	35.0	10.96	0.92	2.41	18.56	3.53	2.01	2.56	2.86	35.76	4.5	2.14	1.04	7.4	6.57	1.71	3.29	4.62	1.45	2.86	3.56	6.62	10.79	8.78	2.76	24.63	5.15	7.34	4.94	2.71	4.06	35.25	39.79	2.61	5.82	1.62	11.3	0.8	14.78	15.68	57.89	99.43	24.46	5.36	66.18	176.29	56.68	36.79	169.07	86.43	193.01	234.57	100.83	139.07	6.46	134.3	187.71	65.72	76.17	226.54	32.59	299.25	320.8	81.14	62.12	22.59	37.85	23.76	25.35	497.0
RUNX1T1	26.86	8.78	3.2	1.03	3.76	4.13	19.68	1.66	1.53	0.93	3.06	1.2	0.88	1.62	2.89	53.19	11.21	3.06	2.07	2.2	5.5	1.71	5.36	14.14	0.31	7.28	1.66	0.93	22.43	8.85	3.69	3.41	9.63	3.23	18.56	2.73	11.04	0.92	55.89	3.2	1.87	1.64	3.82	1.2	13.52	25.91	63.0	11.73	12.83	6.89	34.75	75.64	46.5	59.97	164.42	63.0	142.01	90.14	24.99	108.14	52.08	211.31	182.55	149.12	98.73	40.07	166.73	139.07	36.79	161.02	116.78	10.16	15.11	13.22	20.71	194.36
S100A6	305326.92	569761.05	318292.9	269512.87	229795.93	284880.02	386469.83	368165.8	373305.21	318292.9	539026.74	267651.2	215898.44	311742.51	256748.15	258533.99	945028.61	569761.05	284880.02	345900.08	355624.68	520665.48	520665.48	408505.64	324980.94	253213.41	350728.68	246289.25	431797.89	400098.69	288856.81	932018.1	459592.86	386469.83	307450.64	265802.39	456418.21	263966.36	509950.32	466008.55	334117.42	554180.87	301123.38	353168.2	368165.8	336441.4	271387.49	381149.17	301123.38	343510.77	239554.43	217400.14	290865.98	408505.64	355624.68	341137.96	231394.29	177811.84	239554.43	194578.47	345900.08	286861.53	189257.69	214407.12	159145.95	373305.21	246289.25	258533.99	294926.33	262143.0	275175.93	307450.64	422911.59	443937.41	309589.14	193234.41
S1PR1	450.94	295.11	127.0	27.25	47.5	21.94	112.77	15.68	57.89	67.59	28.45	95.34	57.49	44.89	43.63	624.99	244.57	47.84	120.1	78.34	190.34	92.7	118.43	162.14	42.71	297.17	69.52	103.69	159.9	145.02	96.68	239.52	141.02	37.59	255.0	81.14	141.02	110.43	316.37	57.49	182.55	94.67	141.02	21.63	376.41	218.79	299.25	97.36	187.71	211.31	2193.99	974.5	2335.28	802.41	323.03	7032.37	890.44	1322.37	4769.75	2209.26	2303.12	2816.11	1467.37	2075.59	2367.9	1199.98	3235.01	1467.37	7589.61	1233.75	2485.67	656.11	988.12	1008.9	896.64	511.0
SAMD4A	68.07	49.21	54.33	309.83	158.79	9.63	25.35	138.1	10.96	71.0	17.13	100.13	34.75	108.9	4.94	123.5	159.9	186.4	44.57	32.36	65.26	102.97	122.64	28.86	32.36	42.41	120.94	91.41	236.21	139.07	14.45	62.56	57.08	27.64	43.63	25.91	82.29	115.16	148.09	28.24	55.1	42.11	101.54	7.51	82.29	162.14	444.72	98.73	132.44	65.26	339.14	543.96	599.49	941.27	156.59	2119.22	890.44	293.07	2468.49	269.6	2224.63	713.11	532.74	336.79	1819.35	152.28	332.14	414.87	2178.83	813.63	934.76	483.38	540.19	309.83	583.07	358.54
SCARA5	153.34	1.73	19.25	4.98	0.6	5.15	88.26	0.36	3.96	3.63	0.34	1.81	1.17	3.53	4.9	271.48	37.85	0.34	7.88	6.84	24.63	13.52	3.0	0.37	0.32	12.55	4.24	1.55	68.55	1.57	43.63	62.12	59.55	0.36	11.3	0.93	48.18	3.56	33.54	5.19	65.72	10.24	8.51	6.67	703.28	9.2	17.13	9.63	14.89	37.85	435.55	195.72	473.41	389.72	353.59	346.29	329.84	1519.15	57.89	297.17	58.3	316.37	571.05	802.41	351.14	205.5	49.91	277.2	217.27	1073.91	307.69	5.73	19.11	1.22	2.81	112.77
SCARF2	231.32	36.01	19.25	17.64	9.63	8.38	54.72	10.24	15.56	23.59	20.26	17.51	31.45	16.03	33.3	249.73	106.63	11.38	61.68	34.26	55.49	30.56	153.34	71.0	7.28	67.12	36.79	23.42	127.0	129.69	35.5	43.02	162.14	5.23	126.12	20.56	35.76	16.03	339.14	30.34	45.85	36.53	32.13	15.45	42.11	236.21	271.48	133.36	49.21	33.78	193.01	251.48	232.94	62.56	205.5	291.04	146.03	808.0	674.59	1001.93	400.71	656.11	629.35	665.29	1498.22	71.5	295.11	693.58	273.37	587.13	406.31	84.63	158.79	80.01	143.01	194.36
SCN7A	25.17	4.03	0.0	0.0	0.0	4.39	1.28	0.0	0.0	0.31	0.0	0.0	0.0	0.33	0.0	23.59	2.25	0.0	0.69	0.0	0.74	0.0	0.0	0.0	0.0	0.64	0.0	0.0	3.08	67.12	1.83	1.03	1.28	0.33	1.41	0.31	1.11	0.3	31.45	0.3	4.86	0.33	0.33	0.0	17.0	58.3	83.45	25.72	19.53	2.86	102.97	178.77	176.29	93.35	64.8	309.83	186.4	166.73	82.87	384.34	61.25	884.29	954.43	1015.93	454.09	796.86	208.38	642.59	470.14	231.32	167.9	14.67	2.29	1.68	11.55	62.56
