	TCGA.EL.A4JV.01A.11R.A250.07	TCGA.EM.A4FH.01A.11R.A250.07	TCGA.DJ.A3VK.01A.11R.A23N.07	TCGA.BJ.A3F0.01A.11R.A206.07	TCGA.EM.A3O6.01A.11R.A220.07	TCGA.EL.A3ZR.01A.11R.A23N.07	TCGA.ET.A40R.01A.11R.A23N.07	TCGA.BJ.A3PT.01A.12R.A220.07	TCGA.EL.A4K2.01A.11R.A250.07	TCGA.EL.A3D4.01A.11R.A19O.07	TCGA.EM.A3FP.01A.11R.A21D.07	TCGA.BJ.A18Y.01A.11R.A13Y.07	TCGA.EL.A3T2.01A.11R.A22L.07	TCGA.EM.A3AI.01A.11R.A206.07	TCGA.EM.A1YE.01A.11R.A14Y.07	TCGA.EM.A2CK.01A.11R.A180.07	TCGA.BJ.A45K.01A.11R.A23W.07	TCGA.EM.A22K.01A.11R.A180.07	TCGA.DJ.A3UT.01A.11R.A22L.07	TCGA.BJ.A2N9.01A.11R.A18C.07	TCGA.EL.A3MY.11A.12R.A21D.07	TCGA.EL.A3MW.11A.11R.A20F.07	TCGA.EL.A3GZ.11A.11R.A20F.07	TCGA.EL.A3MX.11A.11R.A21D.07	TCGA.EL.A3N3.11A.11R.A20F.07	TCGA.EL.A3ZM.11A.12R.A23N.07	TCGA.BJ.A290.11A.11R.A180.07	TCGA.EM.A1CW.11A.12R.A13Y.07	TCGA.EL.A3N2.11A.11R.A20F.07	GTEX.RM2N.0526.SM.2TF4N	GTEX.W5X1.0426.SM.3GILB	GTEX.14ABY.0926.SM.5Q5DY	GTEX.13NZA.1026.SM.5MR48	GTEX.YEC4.0626.SM.5CVLU	GTEX.S341.0226.SM.5S2VG	GTEX.13OW8.0126.SM.5IJE5	GTEX.13FLV.0226.SM.5J2OF	GTEX.12ZZZ.1226.SM.59HK1	GTEX.OHPM.2626.SM.33HC5	GTEX.12WSK.0926.SM.5CVNQ	GTEX.13O61.0226.SM.5KM52	GTEX.OIZG.0226.SM.2TC5L	GTEX.ZYFG.0626.SM.5GZYA	GTEX.WL46.0126.SM.3TW8I	GTEX.131YS.0726.SM.5P9G9	GTEX.12ZZY.0826.SM.5EQMT	GTEX.XLM4.0726.SM.4AT64	GTEX.P78B.0526.SM.2I5F7	GTEX.RVPV.1226.SM.2TF73	GTEX.ZLWG.0526.SM.4WWFB	GTEX.132NY.1026.SM.5P9IY	GTEX.SJXC.0726.SM.2XCFJ	GTEX.11TTK.0826.SM.5N9EG	GTEX.139UW.0126.SM.5KM1B	GTEX.YEC3.0826.SM.4WWFP	GTEX.139T6.0326.SM.5J2LY	GTEX.YFCO.0326.SM.4W1ZP	GTEX.11ZVC.0126.SM.5986G	GTEX.ZY6K.0226.SM.5SIAY	GTEX.1192W.0126.SM.5EGGS	GTEX.12BJ1.0426.SM.5FQSO	GTEX.1212Z.0426.SM.5FQT6	GTEX.QLQ7.0726.SM.2I5G2	GTEX.T6MO.0226.SM.32QOL	GTEX.YB5E.0626.SM.4VDSE	GTEX.11ZTT.1026.SM.5EQKF	GTEX.13D11.0226.SM.5LZXL	GTEX.PLZ4.1226.SM.2I5FE	GTEX.UJMC.0326.SM.3GAE2	GTEX.ZVZP.1026.SM.5GICI	GTEX.13OW6.0726.SM.5L3FX	GTEX.WYBS.1926.SM.3NM8N	GTEX.OXRP.0326.SM.33HBJ	GTEX.ZYT6.0426.SM.5GID3	GTEX.111FC.1026.SM.5GZX1
SAMD8	131.51	142.01	146.03	90.77	72.52	113.56	120.1	109.66	142.01	115.16	111.99	132.44	275.28	130.6	132.44	134.3	130.6	157.68	112.77	63.0	242.88	226.54	189.02	135.24	223.41	127.0	152.28	201.25	197.09	249.73	239.52	190.34	99.43	130.6	156.59	146.03	135.24	183.82	195.72	244.57	94.67	134.3	150.17	111.21	126.12	231.32	105.89	138.1	111.99	133.36	131.51	214.27	100.13	221.86	118.43	137.14	102.97	142.01	118.43	139.07	169.07	154.42	185.11	172.65	116.78	135.24	120.1	224.97	190.34	151.22	156.59	135.24	201.25	92.7	113.56
SCAF11	616.37	507.46	486.75	301.33	363.56	450.94	463.65	444.72	563.18	426.57	403.5	521.76	981.29	447.82	318.57	551.56	555.41	651.58	514.56	420.68	866.07	1059.11	915.51	688.78	1191.69	748.61	723.08	902.89	884.29	1066.48	1051.79	802.41	529.06	825.0	802.41	733.19	860.08	651.58	638.15	854.13	679.29	915.51	738.29	525.39	813.63	961.07	540.19	842.36	633.73	819.3	780.44	1199.98	669.92	1127.35	536.45	813.63	490.14	947.83	825.0	961.07	941.27	967.76	1183.45	738.29	351.14	713.11	567.1	1059.11	1277.29	884.29	703.28	656.11	785.88	656.11	688.78
SCAF8	438.59	351.14	348.71	218.79	226.54	299.25	267.73	269.6	371.22	301.33	295.11	423.61	748.61	303.44	206.94	400.71	412.0	473.41	291.04	149.12	571.05	624.99	620.67	500.46	647.07	432.53	497.0	669.92	547.75	748.61	825.0	607.87	341.51	493.56	514.56	414.87	693.58	457.25	575.03	466.88	392.44	532.74	507.46	432.53	470.14	660.68	406.31	607.87	426.57	521.76	412.0	728.11	414.87	525.39	414.87	555.41	341.51	518.15	497.0	518.15	480.04	525.39	674.59	457.25	332.14	429.54	406.31	361.04	819.3	540.19	575.03	325.29	397.93	444.72	503.95
SEC24B	275.28	285.03	283.05	187.71	229.72	226.54	178.77	205.5	237.86	223.41	171.45	277.2	429.54	269.6	212.78	297.17	264.03	312.0	206.94	167.9	384.34	426.57	426.57	358.54	420.68	325.29	426.57	493.56	473.41	612.11	480.04	426.57	212.78	366.09	361.04	341.51	497.0	379.04	651.58	493.56	351.14	325.29	409.15	297.17	249.73	493.56	327.56	373.81	264.03	366.09	285.03	595.34	295.11	486.75	267.73	412.0	224.97	400.71	299.25	329.84	414.87	403.5	567.1	423.61	236.21	363.56	343.89	392.44	525.39	361.04	409.15	262.2	373.81	267.73	309.83
SERINC5	46.84	33.3	38.12	25.17	36.01	33.54	21.32	17.13	47.84	20.11	18.03	63.45	135.24	25.17	30.34	59.13	47.17	65.26	37.32	14.78	144.01	120.94	102.97	81.71	128.79	63.0	107.38	98.04	143.01	199.85	170.25	113.56	32.36	83.45	121.79	74.58	105.15	60.39	176.29	201.25	50.27	84.63	78.89	37.32	76.71	113.56	19.39	146.03	63.45	182.55	77.79	56.68	16.27	164.42	50.63	170.25	18.16	65.72	65.72	84.04	140.04	88.26	214.27	140.04	8.45	87.03	71.5	105.89	189.02	142.01	49.56	40.93	33.54	36.79	47.84
SLC30A7	135.24	170.25	134.3	103.69	135.24	121.79	132.44	101.54	133.36	95.34	118.43	142.01	195.72	113.56	116.78	128.79	134.3	166.73	124.37	82.87	183.82	169.07	202.66	117.6	228.13	142.01	202.66	228.13	146.03	221.86	289.02	182.55	128.79	142.01	151.22	122.64	136.19	161.02	204.07	163.28	148.09	137.14	149.12	106.63	170.25	177.53	159.9	161.02	135.24	128.79	208.38	246.28	133.36	269.6	108.9	132.44	136.19	169.07	156.59	176.29	148.09	159.9	209.84	158.79	146.03	149.12	108.9	205.5	234.57	150.17	170.25	166.73	195.72	128.79	135.24
SLK	329.84	329.84	325.29	325.29	269.6	289.02	236.21	289.02	307.69	246.28	318.57	332.14	521.76	248.0	241.19	363.56	376.41	395.18	281.09	226.54	612.11	579.04	540.19	371.22	551.56	361.04	463.65	620.67	563.18	698.41	688.78	511.0	336.79	412.0	460.44	403.5	417.77	444.72	813.63	563.18	414.87	412.0	460.44	293.07	323.03	483.38	389.72	447.82	346.29	450.94	334.46	612.11	389.72	486.75	368.65	409.15	273.37	493.56	397.93	441.64	551.56	435.55	624.99	514.56	297.17	423.61	366.09	616.37	559.28	543.96	417.77	353.59	571.05	351.14	420.68
SMAD4	808.0	860.08	748.61	387.02	490.14	785.88	381.68	476.71	684.02	563.18	395.18	884.29	1437.15	447.82	332.14	753.83	679.29	915.51	633.73	351.14	1519.15	1457.23	1359.57	1304.15	1477.58	947.83	1233.75	1819.35	1561.89	2209.26	1832.01	1674.06	974.5	1331.57	1427.22	1151.06	1909.85	1322.37	2018.8	1498.22	836.53	890.44	1119.56	872.1	1030.12	1639.59	1119.56	1519.15	1199.98	1313.23	995.0	3124.78	802.41	1417.35	775.05	1583.71	791.35	1674.06	1183.45	1369.04	1498.22	1709.26	1857.6	1529.73	476.71	1277.29	743.43	1832.01	2018.8	1397.83	1806.78	836.53	1175.27	947.83	941.27
SMC1A	242.88	175.07	164.42	187.71	182.55	181.28	176.29	190.34	232.94	130.6	183.82	241.19	511.0	191.67	201.25	198.47	226.54	363.56	194.36	169.07	529.06	616.37	607.87	454.09	808.0	287.01	435.55	571.05	460.44	693.58	447.82	476.71	132.44	493.56	525.39	307.69	336.79	376.41	656.11	293.07	551.56	329.84	679.29	271.48	435.55	447.82	209.84	802.41	361.04	947.83	279.14	409.15	244.57	514.56	256.78	438.59	175.07	429.54	555.41	368.65	633.73	309.83	656.11	703.28	214.27	450.94	540.19	441.64	808.0	555.41	336.79	281.09	429.54	255.0	271.48
SMC5	267.73	236.21	273.37	148.09	149.12	234.57	208.38	205.5	232.94	138.1	148.09	275.28	514.56	167.9	116.78	265.87	241.19	314.17	226.54	105.15	395.18	463.65	363.56	241.19	507.46	267.73	332.14	417.77	387.02	490.14	536.45	334.46	231.32	325.29	361.04	343.89	412.0	309.83	376.41	426.57	289.02	295.11	303.44	239.52	414.87	336.79	307.69	229.72	293.07	299.25	356.05	507.46	287.01	571.05	215.77	299.25	249.73	314.17	297.17	426.57	366.09	329.84	426.57	397.93	226.54	307.69	162.14	389.72	511.0	312.0	358.54	325.29	400.71	295.11	279.14
SOCS5	154.42	148.09	167.9	119.26	106.63	127.89	102.97	154.42	121.79	132.44	136.19	171.45	277.2	102.25	88.26	201.25	143.01	206.94	128.79	72.01	293.07	269.6	241.19	202.66	214.27	155.5	229.72	356.05	260.38	287.01	392.44	237.86	205.5	154.42	208.38	169.07	176.29	214.27	279.14	209.84	133.36	185.11	173.85	127.89	204.07	248.0	244.57	229.72	133.36	195.72	186.4	239.52	180.02	234.57	155.5	178.77	193.01	193.01	190.34	221.86	218.79	212.78	275.28	198.47	190.34	167.9	173.85	264.03	236.21	175.07	182.55	202.66	351.14	151.22	158.79
SOCS7	51.71	31.45	53.19	24.46	35.5	37.59	17.13	24.99	28.86	15.91	17.0	59.55	195.72	34.02	19.39	44.57	59.55	88.26	42.11	14.24	157.68	193.01	150.17	110.43	118.43	100.83	105.15	102.25	218.79	150.17	155.5	148.09	63.45	141.02	137.14	101.54	115.16	104.42	275.28	226.54	143.01	96.68	133.36	63.89	145.02	100.83	83.45	166.73	75.11	134.3	125.24	105.15	47.17	193.01	78.34	221.86	24.81	98.73	173.85	181.28	154.42	242.88	126.12	169.07	14.67	193.01	138.1	162.14	180.02	162.14	70.51	89.51	99.43	63.89	73.54
SPOPL	106.63	110.43	117.6	77.25	80.01	86.43	85.22	87.03	105.15	73.54	71.5	111.21	217.27	72.52	63.0	127.89	115.16	158.79	94.01	55.1	218.79	229.72	205.5	122.64	295.11	127.0	156.59	228.13	229.72	279.14	260.38	260.38	108.9	111.99	156.59	143.01	209.84	241.19	312.0	237.86	105.89	142.01	155.5	143.01	194.36	271.48	111.99	164.42	140.04	126.12	175.07	305.55	147.06	199.85	92.7	163.28	114.36	244.57	124.37	201.25	165.57	195.72	158.79	180.02	101.54	156.59	100.83	249.73	180.02	135.24	166.73	139.07	181.28	120.1	175.07
SRPK1	183.82	205.5	182.55	166.73	117.6	181.28	158.79	177.53	142.01	148.09	165.57	204.07	271.48	137.14	143.01	191.67	157.68	237.86	186.4	100.83	239.52	229.72	221.86	205.5	356.05	162.14	218.79	244.57	236.21	303.44	262.2	242.88	115.97	198.47	242.88	183.82	229.72	215.77	303.44	220.32	220.32	204.07	242.88	154.42	173.85	228.13	170.25	249.73	194.36	197.09	244.57	237.86	163.28	312.0	166.73	182.55	228.13	212.78	260.38	226.54	195.72	248.0	256.78	226.54	181.28	217.27	170.25	267.73	275.28	224.97	229.72	264.03	303.44	211.31	191.67
STAM2	226.54	334.46	176.29	193.01	271.48	158.79	181.28	166.73	221.86	126.12	202.66	232.94	366.09	169.07	212.78	251.48	277.2	281.09	205.5	127.0	339.14	371.22	334.46	289.02	341.51	277.2	320.8	389.72	312.0	466.88	525.39	325.29	177.53	287.01	371.22	217.27	395.18	220.32	397.93	432.53	291.04	312.0	318.57	185.11	283.05	379.04	197.09	305.55	248.0	267.73	392.44	497.0	186.4	361.04	281.09	316.37	295.11	361.04	343.89	320.8	353.59	336.79	660.68	327.56	244.57	323.03	275.28	293.07	497.0	341.51	361.04	199.85	303.44	242.88	236.21
STRN	72.01	80.57	78.34	81.71	76.71	66.65	72.01	67.12	76.17	61.68	64.8	87.03	117.6	58.3	54.72	81.71	80.01	102.97	71.0	44.89	144.01	152.28	130.6	88.26	172.65	88.88	116.78	136.19	137.14	164.42	182.55	153.34	66.65	82.29	98.04	104.42	150.17	137.14	193.01	132.44	75.11	90.77	100.83	92.7	113.56	182.55	90.14	113.56	108.14	80.57	115.16	209.84	60.82	145.02	85.22	90.77	79.45	124.37	94.01	145.02	98.04	128.79	140.04	113.56	68.07	100.13	75.11	129.69	126.12	114.36	112.77	79.45	161.02	87.65	81.14
SUPT16H	825.0	947.83	934.76	698.41	753.83	1051.79	921.88	928.3	785.88	941.27	708.18	954.43	1191.69	1143.1	753.83	921.88	813.63	1008.9	819.3	808.0	1051.79	1199.98	1259.69	1088.92	1378.57	915.51	1135.2	1457.23	1135.2	1369.04	1350.18	1151.06	669.92	1037.29	1135.2	785.88	961.07	947.83	1208.34	1104.13	1081.39	1088.92	1216.75	941.27	1023.0	1233.75	915.51	947.83	1023.0	1143.1	1001.93	1457.23	967.76	1183.45	884.29	1191.69	896.64	1135.2	941.27	1073.91	1191.69	1030.12	1242.34	1015.93	872.1	1104.13	1008.9	915.51	1175.27	1088.92	1088.92	866.07	988.12	1135.2	1104.13
SUZ12	231.32	277.2	249.73	202.66	218.79	293.07	201.25	229.72	211.31	143.01	165.57	231.32	381.68	249.73	172.65	237.86	206.94	264.03	197.09	148.09	334.46	384.34	356.05	217.27	441.64	295.11	323.03	384.34	305.55	447.82	444.72	463.65	189.02	262.2	320.8	258.57	312.0	417.77	450.94	457.25	224.97	237.86	295.11	212.78	275.28	325.29	267.73	301.33	244.57	275.28	267.73	624.99	299.25	409.15	226.54	327.56	299.25	318.57	239.52	323.03	299.25	351.14	346.29	329.84	297.17	299.25	241.19	305.55	438.59	329.84	329.84	246.28	346.29	281.09	334.46
TAB3	127.0	147.06	133.36	106.63	124.37	111.21	105.89	86.43	127.0	76.17	80.01	156.59	204.07	85.22	99.43	150.17	138.1	137.14	127.0	69.03	218.79	285.03	232.94	186.4	277.2	164.42	258.57	305.55	236.21	346.29	389.72	234.57	122.64	208.38	223.41	180.02	237.86	177.53	293.07	312.0	131.51	199.85	226.54	166.73	232.94	239.52	181.28	187.71	185.11	187.71	195.72	397.93	154.42	218.79	169.07	265.87	197.09	248.0	206.94	279.14	228.13	220.32	287.01	285.03	175.07	228.13	108.9	351.14	291.04	271.48	193.01	149.12	181.28	177.53	214.27
TAF2	218.79	214.27	173.85	111.99	156.59	130.6	127.0	124.37	165.57	120.1	120.94	177.53	301.33	153.34	126.12	180.02	172.65	212.78	165.57	78.89	244.57	295.11	253.23	264.03	356.05	239.52	242.88	253.23	226.54	314.17	392.44	297.17	137.14	231.32	249.73	212.78	316.37	256.78	293.07	265.87	228.13	194.36	312.0	223.41	281.09	246.28	281.09	229.72	262.2	281.09	237.86	356.05	197.09	303.44	167.9	281.09	181.28	285.03	228.13	291.04	237.86	223.41	332.14	236.21	175.07	185.11	150.17	215.77	332.14	368.65	343.89	127.0	183.82	232.94	180.02
TAOK1	199.85	199.85	198.47	141.02	155.5	194.36	143.01	138.1	161.02	137.14	150.17	226.54	305.55	204.07	182.55	202.66	232.94	289.02	156.59	94.01	371.22	323.03	323.03	206.94	361.04	193.01	305.55	318.57	293.07	381.68	392.44	314.17	118.43	228.13	236.21	228.13	351.14	258.57	406.31	316.37	198.47	241.19	221.86	178.77	187.71	291.04	197.09	236.21	209.84	206.94	256.78	409.15	173.85	366.09	169.07	291.04	152.28	231.32	201.25	256.78	249.73	363.56	341.51	287.01	145.02	248.0	158.79	281.09	323.03	256.78	269.6	172.65	299.25	221.86	231.32
TBCEL	173.85	158.79	165.57	127.0	141.02	211.31	109.66	115.97	155.5	111.21	115.16	199.85	316.37	136.19	122.64	194.36	191.67	190.34	137.14	70.51	253.23	351.14	256.78	214.27	289.02	208.38	258.57	323.03	297.17	366.09	368.65	229.72	128.79	228.13	256.78	177.53	275.28	248.0	283.05	356.05	202.66	217.27	253.23	195.72	229.72	273.37	199.85	218.79	212.78	229.72	189.02	334.46	170.25	366.09	172.65	295.11	194.36	232.94	173.85	262.2	301.33	218.79	384.34	239.52	197.09	271.48	165.57	172.65	341.51	293.07	231.32	183.82	220.32	223.41	181.28
TCEA1	1001.93	1304.15	1081.39	947.83	1030.12	884.29	974.5	941.27	988.12	848.22	1059.11	1143.1	1286.18	1001.93	1104.13	1191.69	860.08	1135.2	1008.9	928.3	1572.76	1697.45	1508.65	1175.27	1950.0	1350.18	1572.76	1896.65	1447.15	2148.82	1674.06	2758.13	1143.1	1457.23	1277.29	1417.35	1508.65	2209.26	3491.39	1733.13	1286.18	1709.26	1322.37	1151.06	1096.5	1870.53	1199.98	1639.59	1832.01	1685.71	1073.91	3039.3	1417.35	1819.35	1037.29	1477.58	1806.78	1304.15	1208.34	1350.18	1572.76	1167.14	1594.73	1769.57	1268.46	1447.15	1498.22	1594.73	1909.85	1617.0	1477.58	1519.15	1857.6	1340.84	1781.89
TCF12	400.71	392.44	444.72	211.31	336.79	336.79	277.2	312.0	361.04	358.54	361.04	507.46	638.15	289.02	241.19	444.72	447.82	567.1	323.03	185.11	753.83	934.76	738.29	521.76	785.88	400.71	616.37	848.22	624.99	616.37	941.27	884.29	406.31	583.07	563.18	518.15	591.22	629.35	802.41	473.41	429.54	579.04	473.41	551.56	529.06	902.89	395.18	713.11	476.71	518.15	529.06	748.61	373.81	656.11	343.89	607.87	406.31	616.37	583.07	497.0	529.06	599.49	591.22	536.45	353.59	426.57	587.13	780.44	583.07	480.04	543.96	409.15	656.11	429.54	567.1
TEX10	242.88	242.88	277.2	183.82	211.31	229.72	232.94	206.94	206.94	224.97	171.45	279.14	351.14	199.85	195.72	262.2	255.0	269.6	226.54	153.34	283.05	358.54	332.14	281.09	376.41	271.48	303.44	397.93	327.56	381.68	392.44	314.17	265.87	287.01	314.17	287.01	255.0	253.23	480.04	341.51	287.01	293.07	336.79	264.03	301.33	323.03	242.88	277.2	273.37	314.17	297.17	441.64	267.73	356.05	249.73	309.83	262.2	271.48	289.02	273.37	305.55	271.48	363.56	291.04	301.33	251.48	256.78	303.44	373.81	293.07	283.05	236.21	262.2	291.04	295.11
TG	900270.11	900270.11	731246.37	610654.84	794671.01	887875.81	736332.6	794671.01	985160.01	623486.02	598087.73	1085552.95	772940.66	894051.48	778316.89	1147449.11	593956.43	1026995.62	906531.99	663619.99	783730.52	627822.72	606436.73	1063212.58	561916.97	857631.47	839981.65	682276.92	945028.61	1019901.63	1264380.15	2068278.89	1085552.95	2247670.86	2126426.15	1085552.95	1273174.62	2375828.71	1204496.53	1308968.45	1997825.68	1984025.69	1997825.68	1984025.69	1355129.16	881742.8	2986448.72	2025714.3	2425749.94	1929772.37	1299926.74	992012.34	1327240.99	875652.15	1943195.01	1727194.55	2636147.11	1063212.58	2263304.65	1229805.58	2111737.85	1691649.38	1668359.93	1800541.22	3178687.03	3886391.01	1645391.11	1155430.26	1085552.95	2263304.65	1535204.12	2672946.37	1514068.5	1864037.21	1482909.4
TGS1	137.14	146.03	140.04	92.05	120.1	109.66	121.79	124.37	157.68	102.25	98.04	144.01	242.88	130.6	102.25	153.34	123.5	147.06	124.37	81.14	189.02	241.19	224.97	169.07	228.13	173.85	186.4	244.57	224.97	264.03	248.0	201.25	153.34	197.09	164.42	135.24	167.9	153.34	277.2	214.27	204.07	164.42	226.54	217.27	193.01	185.11	173.85	194.36	164.42	229.72	162.14	241.19	167.9	176.29	148.09	193.01	166.73	171.45	186.4	176.29	202.66	134.3	269.6	164.42	167.9	176.29	202.66	164.42	241.19	193.01	177.53	173.85	186.4	163.28	208.38
TMF1	242.88	271.48	221.86	140.04	215.77	205.5	195.72	180.02	265.87	142.01	145.02	291.04	518.15	169.07	217.27	299.25	303.44	358.54	224.97	100.83	466.88	603.67	497.0	363.56	603.67	389.72	379.04	500.46	435.55	543.96	607.87	400.71	267.73	343.89	547.75	447.82	551.56	334.46	444.72	466.88	435.55	248.0	397.93	287.01	332.14	470.14	256.78	429.54	258.57	389.72	470.14	547.75	264.03	406.31	234.57	493.56	309.83	403.5	624.99	363.56	483.38	547.75	563.18	473.41	305.55	435.55	343.89	466.88	1467.37	450.94	403.5	281.09	463.65	228.13	343.89
TNKS2	379.04	387.02	406.31	209.84	260.38	320.8	287.01	279.14	361.04	220.32	228.13	409.15	718.08	291.04	172.65	463.65	441.64	486.75	323.03	201.25	647.07	723.08	647.07	441.64	764.36	457.25	503.95	713.11	674.59	872.1	753.83	642.59	356.05	529.06	624.99	555.41	629.35	563.18	718.08	759.08	432.53	412.0	647.07	412.0	500.46	624.99	483.38	575.03	454.09	507.46	511.0	921.88	397.93	796.86	336.79	633.73	435.55	591.22	444.72	612.11	647.07	688.78	808.0	684.02	466.88	529.06	435.55	591.22	743.43	555.41	633.73	444.72	599.49	470.14	536.45
TNPO1	518.15	473.41	389.72	285.03	444.72	392.44	262.2	265.87	400.71	241.19	341.51	483.38	802.41	483.38	339.14	525.39	438.59	679.29	325.29	301.33	1119.56	1151.06	941.27	536.45	1104.13	500.46	830.75	1135.2	1001.93	1437.15	974.5	988.12	376.41	909.17	988.12	397.93	743.43	1044.52	1617.0	981.29	775.05	842.36	669.92	543.96	480.04	981.29	318.57	819.3	555.41	718.08	848.22	1369.04	397.93	909.17	547.75	728.11	642.59	688.78	1191.69	896.64	866.07	796.86	1030.12	1268.46	567.1	1044.52	595.34	860.08	1277.29	1127.35	612.11	647.07	603.67	629.35	860.08
TOPBP1	191.67	173.85	224.97	112.77	154.42	162.14	145.02	139.07	190.34	115.16	98.73	194.36	295.11	165.57	127.0	214.27	209.84	214.27	186.4	125.24	295.11	283.05	269.6	221.86	426.57	198.47	253.23	273.37	275.28	255.0	400.71	208.38	159.9	173.85	220.32	178.77	242.88	226.54	316.37	336.79	221.86	191.67	264.03	244.57	305.55	281.09	299.25	206.94	249.73	211.31	301.33	262.2	194.36	258.57	173.85	228.13	155.5	258.57	253.23	323.03	258.57	228.13	271.48	231.32	165.57	226.54	145.02	432.53	287.01	214.27	291.04	206.94	320.8	234.57	249.73
TRIM23	123.5	102.97	135.24	78.89	58.3	107.38	92.05	94.67	109.66	77.25	68.55	115.97	287.01	120.94	69.03	132.44	96.68	137.14	87.65	81.14	191.67	239.52	229.72	153.34	167.9	140.04	176.29	234.57	244.57	265.87	223.41	212.78	102.25	161.02	172.65	122.64	143.01	146.03	346.29	208.38	117.6	136.19	182.55	124.37	152.28	262.2	102.97	172.65	157.68	130.6	132.44	220.32	133.36	169.07	107.38	145.02	120.1	187.71	123.5	170.25	183.82	154.42	182.55	175.07	98.73	161.02	113.56	217.27	211.31	154.42	138.1	115.16	138.1	114.36	126.12
TROVE2	129.69	183.82	106.63	104.42	102.97	84.63	81.14	89.51	130.6	96.68	111.21	138.1	251.48	109.66	85.22	136.19	166.73	169.07	129.69	59.97	256.78	314.17	246.28	177.53	327.56	171.45	267.73	307.69	260.38	356.05	325.29	279.14	111.99	177.53	249.73	236.21	262.2	246.28	438.59	289.02	198.47	262.2	194.36	140.04	139.07	343.89	152.28	229.72	232.94	171.45	204.07	329.84	123.5	295.11	165.57	197.09	157.68	248.0	228.13	239.52	224.97	295.11	320.8	218.79	148.09	197.09	123.5	262.2	323.03	255.0	197.09	165.57	353.59	108.14	127.0
UBA6	131.51	165.57	114.36	75.64	111.21	115.97	109.66	88.88	141.02	81.71	115.16	170.25	248.0	96.68	114.36	197.09	131.51	187.71	143.01	57.08	212.78	229.72	287.01	187.71	400.71	129.69	201.25	220.32	239.52	389.72	435.55	175.07	128.79	201.25	171.45	220.32	368.65	82.29	303.44	224.97	246.28	229.72	267.73	128.79	180.02	318.57	182.55	202.66	111.21	224.97	242.88	323.03	123.5	363.56	181.28	157.68	169.07	281.09	309.83	220.32	209.84	339.14	371.22	194.36	157.68	215.77	111.21	241.19	281.09	177.53	251.48	115.16	152.28	115.16	150.17
UBR1	153.34	155.5	145.02	67.12	128.79	128.79	108.14	110.43	142.01	88.88	105.15	170.25	241.19	129.69	102.97	163.28	141.02	211.31	134.3	84.04	273.37	262.2	244.57	159.9	295.11	156.59	232.94	283.05	212.78	249.73	258.57	217.27	115.97	202.66	199.85	201.25	353.59	214.27	281.09	189.02	163.28	191.67	201.25	137.14	177.53	249.73	170.25	169.07	189.02	182.55	202.66	339.14	161.02	320.8	145.02	175.07	153.34	255.0	173.85	185.11	173.85	260.38	260.38	212.78	131.51	163.28	142.01	229.72	260.38	181.28	202.66	173.85	202.66	142.01	197.09
UBR2	255.0	271.48	267.73	194.36	209.84	206.94	154.42	154.42	224.97	173.85	191.67	281.09	332.14	209.84	241.19	265.87	255.0	301.33	221.86	146.03	341.51	351.14	353.59	301.33	373.81	236.21	323.03	441.64	412.0	420.68	412.0	293.07	249.73	275.28	341.51	295.11	368.65	241.19	387.02	466.88	279.14	285.03	299.25	312.0	314.17	305.55	251.48	303.44	234.57	287.01	316.37	426.57	303.44	395.18	215.77	341.51	239.52	291.04	271.48	283.05	307.69	334.46	323.03	307.69	269.6	318.57	218.79	363.56	373.81	285.03	341.51	279.14	305.55	307.69	361.04
UHRF1BP1L	115.97	135.24	115.97	104.42	95.34	88.88	114.36	88.88	130.6	121.79	80.57	136.19	221.86	161.02	151.22	142.01	96.68	111.99	105.89	136.19	249.73	234.57	197.09	158.79	269.6	166.73	217.27	269.6	212.78	314.17	285.03	226.54	163.28	145.02	201.25	201.25	204.07	217.27	339.14	211.31	146.03	190.34	119.26	167.9	106.63	217.27	229.72	166.73	178.77	159.9	140.04	332.14	190.34	363.56	126.12	187.71	148.09	206.94	171.45	164.42	191.67	154.42	226.54	262.2	110.43	158.79	104.42	291.04	264.03	176.29	186.4	197.09	281.09	153.34	172.65
USP32	441.64	279.14	316.37	265.87	295.11	384.34	232.94	316.37	336.79	346.29	323.03	361.04	595.34	348.71	325.29	334.46	303.44	414.87	334.46	244.57	536.45	547.75	555.41	476.71	612.11	316.37	454.09	547.75	638.15	642.59	591.22	493.56	450.94	500.46	507.46	400.71	543.96	400.71	612.11	555.41	387.02	406.31	497.0	371.22	303.44	351.14	371.22	525.39	514.56	466.88	457.25	409.15	454.09	679.29	441.64	470.14	400.71	423.61	457.25	441.64	583.07	463.65	551.56	476.71	353.59	480.04	366.09	733.19	518.15	543.96	426.57	397.93	713.11	332.14	373.81
USP49	93.35	78.89	68.07	25.72	37.59	68.55	29.7	32.36	78.89	42.41	22.92	96.68	206.94	56.28	66.18	70.01	116.78	63.45	87.03	22.26	122.64	152.28	173.85	88.88	165.57	100.83	198.47	159.9	218.79	249.73	325.29	102.25	126.12	127.89	151.22	159.9	103.69	112.77	221.86	426.57	98.04	201.25	253.23	110.43	140.04	115.97	135.24	87.03	118.43	121.79	119.26	158.79	129.69	346.29	79.45	244.57	120.94	107.38	84.04	120.94	199.85	163.28	140.04	264.03	121.79	206.94	49.21	220.32	204.07	289.02	77.79	80.01	123.5	97.36	93.35
