	TCGA.EJ.7331.01A.11R.2118.07	TCGA.KC.A4BN.01A.61R.A250.07	TCGA.XK.AAK1.01A.11R.A41O.07	TCGA.G9.7522.01A.11R.2263.07	TCGA.KC.A7FD.01A.11R.A33R.07	TCGA.VP.A87J.01A.11R.A352.07	TCGA.G9.6385.01A.11R.1789.07	TCGA.J9.A52D.01A.11R.A29R.07	TCGA.KK.A8ID.01A.11R.A36G.07	TCGA.VN.A943.01A.11R.A41O.07	TCGA.G9.6351.01A.21R.1965.07	TCGA.XJ.A83H.01A.11R.A352.07	TCGA.EJ.AB27.01A.11R.A41O.07	TCGA.G9.6333.01A.12R.1965.07	TCGA.V1.A8X3.01A.11R.A37L.07	TCGA.EJ.8474.01A.11R.2403.07	TCGA.V1.A8WN.01A.11R.A37L.07	TCGA.HC.7749.01A.11R.2118.07	TCGA.V1.A8ML.01A.11R.A37L.07	TCGA.EJ.7317.01A.31R.2118.07	TCGA.V1.A9Z9.01A.21R.A41O.07	TCGA.HC.8260.01A.11R.2263.07	TCGA.YL.A8SR.01B.11R.A37L.07	TCGA.VP.A87B.01A.11R.A352.07	TCGA.HC.7742.01A.11R.2118.07	TCGA.HC.7075.01A.11R.1965.07	TCGA.YL.A8SI.01A.11R.A41O.07	TCGA.V1.A8MU.01A.11R.A37L.07	TCGA.G9.6367.01A.11R.1789.07	TCGA.EJ.A8FO.01A.21R.A36G.07	TCGA.YL.A8SA.01A.21R.A37L.07	TCGA.M7.A721.01A.12R.A32O.07	TCGA.CH.5753.01A.11R.1580.07	TCGA.J9.A8CN.01A.11R.A352.07	TCGA.G9.6371.01A.11R.1789.07	TCGA.CH.5771.01A.21R.1580.07	TCGA.KK.A8IJ.01A.11R.A352.07	TCGA.2A.AAYF.01A.11R.A41O.07	TCGA.EJ.A65G.01A.21R.A29R.07	TCGA.HC.7750.01A.11R.2118.07	TCGA.J4.8200.01A.11R.A29R.07	TCGA.EJ.5510.01A.01R.1580.07	TCGA.CH.5744.01A.11R.1580.07	TCGA.HC.8256.01A.11R.2263.07	TCGA.CH.5767.01A.11R.1789.07	TCGA.EJ.5517.01A.01R.1580.07	TCGA.M7.A724.01A.12R.A32O.07	TCGA.EJ.7318.01B.11R.A32O.07	TCGA.EJ.A7NJ.01A.22R.A352.07	TCGA.EJ.A8FS.01A.11R.A352.07	TCGA.V1.A9OQ.01A.11R.A41O.07	TCGA.EJ.7312.01B.21R.A32O.07	TCGA.ZG.A9L6.01A.11R.A41O.07	TCGA.G9.6353.01A.11R.1965.07	TCGA.2A.A8W1.01A.11R.A37L.07	TCGA.G9.6364.01A.21R.1789.07	TCGA.EJ.A65J.01A.11R.A311.07	TCGA.XK.AAJR.01A.11R.A41O.07	TCGA.J9.A8CP.01A.11R.A352.07	TCGA.G9.7509.01A.11R.A41O.07	TCGA.V1.A8WL.01A.11R.A37L.07	TCGA.EJ.7123.01A.11R.1965.07	TCGA.HC.7210.01A.11R.2118.07	TCGA.HC.7819.01A.11R.2118.07	TCGA.HC.8216.01A.11R.A29R.07	TCGA.EJ.5532.01A.01R.1580.07	TCGA.KK.A6E1.01A.11R.A311.07	TCGA.YL.A8S9.01A.11R.A37L.07	TCGA.CH.5741.01A.11R.1580.07	TCGA.EJ.7793.01A.31R.2263.07	TCGA.EJ.7218.01B.11R.A32O.07	TCGA.J4.A83M.01A.11R.A352.07	TCGA.HC.7211.01A.11R.2118.07	TCGA.HC.A8CY.01A.11R.A36G.07	TCGA.J4.AAU2.01A.11R.A41O.07	TCGA.XA.A8JR.01A.11R.A36G.07	TCGA.XK.AAJP.01A.11R.A41O.07	TCGA.HC.8213.01A.11R.A29R.07	TCGA.FC.A5OB.01A.11R.A29R.07	TCGA.EJ.5515.01A.01R.1580.07	TCGA.EJ.7791.01A.11R.2118.07	TCGA.Y6.A9XI.01A.11R.A41O.07	TCGA.HC.7820.01A.11R.2118.07	TCGA.XJ.A83G.01A.11R.A352.07	TCGA.HC.8259.01A.11R.2263.07	TCGA.VP.A875.01A.31R.A352.07	TCGA.G9.6332.01A.11R.1789.07	TCGA.V1.A8MK.01A.11R.A36G.07	TCGA.EJ.7786.01A.11R.2118.07	TCGA.EJ.5511.01A.01R.1580.07	TCGA.G9.6494.01A.11R.1789.07	TCGA.EJ.A46B.01A.31R.A250.07	TCGA.VN.A88N.01A.11R.A36G.07	TCGA.HC.7078.01A.11R.2118.07	TCGA.G9.6377.01A.11R.1965.07	TCGA.ZG.A9ND.01A.11R.A41O.07	TCGA.CH.5748.01A.11R.1580.07	TCGA.HC.7740.01A.11R.2118.07	TCGA.KK.A7AU.01A.11R.A32O.07	TCGA.CH.5737.01A.11R.1580.07	TCGA.G9.7519.01A.11R.2263.07	TCGA.EJ.A8FP.01A.21R.A36G.07	TCGA.XK.AAJA.01A.11R.A41O.07	TCGA.KK.A6E5.01A.11R.A311.07	TCGA.HC.7077.01A.11R.1965.07	TCGA.J4.A83N.01A.11R.A352.07	TCGA.EJ.A7NF.01A.11R.A33R.07	TCGA.EJ.7789.11A.01R.2118.07	TCGA.EJ.7327.11A.01R.2118.07	TCGA.HC.7819.11A.01R.2118.07	TCGA.EJ.7115.11A.01R.2118.07	TCGA.EJ.7785.11A.01R.2118.07	TCGA.HC.8260.11A.01R.2263.07	TCGA.EJ.7797.11A.01R.2263.07	TCGA.G9.6351.11A.01R.1965.07	TCGA.G9.6384.11A.01R.1858.07	TCGA.EJ.7317.11A.01R.2118.07	TCGA.EJ.7321.11A.01R.2263.07	TCGA.EJ.7314.11A.01R.2118.07	TCGA.HC.8259.11A.01R.2263.07	TCGA.G9.6342.11A.02R.1965.07	TCGA.EJ.7793.11A.01R.2263.07	TCGA.EJ.7331.11A.01R.2118.07
PRKG1	99.43	11.91	8.06	24.11	5.02	15.8	67.12	2.58	7.63	2.23	17.38	12.36	35.25	19.39	57.08	52.82	49.56	30.56	29.27	29.91	27.84	23.25	34.26	9.2	44.57	3.06	76.71	50.63	84.63	17.38	4.21	20.26	7.11	4.54	18.29	54.33	17.77	15.11	19.25	45.21	47.84	47.5	8.99	8.19	15.68	66.18	2.78	12.74	27.05	5.36	36.01	17.77	75.64	43.94	1.36	50.27	8.58	28.65	21.94	28.65	36.53	10.71	39.5	11.3	19.53	43.63	8.78	3.35	5.15	35.5	16.88	16.63	15.56	9.06	20.11	24.99	8.58	7.82	12.09	67.59	96.01	9.63	16.63	4.03	18.29	8.65	9.63	36.79	48.18	41.52	33.78	24.99	9.06	26.67	12.18	5.11	14.78	105.15	5.28	9.56	20.11	46.5	10.96	12.27	5.02	9.41	10.79	66.65	28.86	87.65	65.26	130.6	60.82	131.51	59.55	79.45	75.11	60.82	181.28	101.54	43.02	123.5	172.65
PTCHD1	16.51	4.94	0.39	21.94	3.0	1.69	20.26	0.65	2.16	1.99	10.96	4.82	14.14	8.71	9.27	13.52	38.4	8.13	11.64	2.63	10.96	17.13	8.92	3.44	23.59	3.53	7.51	18.7	23.93	13.22	5.73	5.77	5.36	1.62	7.0	30.56	3.76	3.53	4.31	28.45	9.13	15.91	4.62	3.5	10.88	6.78	0.0	8.19	10.88	1.06	13.42	5.23	10.39	20.56	0.39	30.12	1.04	8.25	4.31	18.84	11.3	4.7	10.71	3.86	7.0	5.32	2.56	0.0	3.63	17.13	1.81	10.79	3.56	1.43	8.0	6.36	2.51	2.81	1.57	35.5	12.27	2.43	14.24	2.84	11.3	1.77	2.39	33.78	25.35	5.63	2.56	22.26	2.46	4.06	3.32	2.05	6.78	16.03	1.28	2.61	6.16	23.25	13.72	4.9	0.99	5.73	6.01	16.63	7.51	39.5	26.28	18.29	17.13	6.21	24.11	51.71	18.03	19.82	17.13	17.51	8.0	14.67	30.34
PTGIS	473.41	66.18	24.99	145.02	38.4	90.14	262.2	12.83	23.76	20.56	199.85	88.88	198.47	202.66	371.22	228.13	293.07	91.41	154.42	236.21	191.67	119.26	117.6	59.55	339.14	119.26	314.17	366.09	551.56	232.94	31.0	185.11	41.52	46.84	158.79	473.41	112.77	87.65	178.77	559.28	341.51	187.71	95.34	78.89	176.29	384.34	2.73	163.28	140.04	24.63	126.12	92.05	559.28	518.15	5.96	638.15	49.21	125.24	98.73	303.44	244.57	122.64	269.6	74.58	149.12	231.32	33.78	6.36	27.64	271.48	119.26	109.66	108.14	39.5	212.78	226.54	50.98	46.84	20.86	473.41	612.11	38.95	172.65	69.03	157.68	39.79	30.34	432.53	423.61	190.34	198.47	305.55	38.67	137.14	108.9	21.47	159.9	571.05	11.3	51.71	269.6	343.89	45.53	105.89	52.08	44.25	109.66	224.97	154.42	441.64	435.55	669.92	318.57	616.37	450.94	591.22	470.14	332.14	854.13	457.25	220.32	642.59	954.43
RAB9B	67.59	18.29	8.58	50.27	7.34	14.56	55.49	13.22	8.19	13.32	47.5	15.22	66.65	52.08	55.89	40.36	79.45	20.56	35.0	34.02	36.79	43.02	21.32	11.21	56.68	21.63	68.55	59.97	92.7	53.19	5.68	31.45	8.92	13.03	27.64	62.56	27.84	18.7	46.84	99.43	66.65	32.59	16.27	24.63	36.53	115.16	6.52	30.34	48.18	8.0	24.46	24.46	98.04	87.65	4.13	94.01	7.63	29.06	20.71	61.25	46.18	21.32	30.56	23.76	19.11	56.68	6.11	3.26	17.38	72.01	24.28	20.11	17.38	7.34	28.24	53.57	26.67	10.55	8.45	98.73	87.03	7.34	35.25	9.06	46.84	8.58	12.55	92.7	67.12	34.75	50.27	67.12	11.13	17.77	19.97	16.51	30.34	80.01	6.01	7.82	57.89	97.36	7.4	22.75	7.75	24.11	25.72	90.14	53.95	111.21	149.12	214.27	96.68	229.72	139.07	120.94	71.0	78.89	197.09	100.13	80.01	156.59	206.94
RASL12	591.22	201.25	69.03	426.57	143.01	103.69	769.69	29.91	50.98	54.72	412.0	234.57	693.58	483.38	785.88	483.38	470.14	267.73	444.72	423.61	429.54	299.25	251.48	127.0	591.22	170.25	981.29	796.86	1322.37	454.09	59.97	309.83	90.77	117.6	379.04	769.69	253.23	198.47	361.04	988.12	536.45	384.34	185.11	165.57	265.87	733.19	39.79	486.75	316.37	59.13	389.72	297.17	1225.22	890.44	31.22	759.08	85.82	397.93	299.25	476.71	579.04	194.36	346.29	121.79	234.57	444.72	80.57	33.78	71.5	406.31	202.66	289.02	119.26	118.43	444.72	547.75	88.88	90.77	42.11	642.59	890.44	156.59	277.2	152.28	312.0	82.29	107.38	785.88	575.03	441.64	417.77	521.76	116.78	301.33	260.38	111.21	193.01	941.27	31.45	82.29	698.41	713.11	133.36	285.03	63.45	239.52	226.54	791.35	301.33	748.61	854.13	2018.8	988.12	2335.28	860.08	1697.45	718.08	921.88	2004.85	1277.29	718.08	1909.85	1583.71
RP11-122A3.2	146.03	106.63	16.03	151.22	30.34	18.84	181.28	13.22	5.41	13.32	167.9	76.17	162.14	114.36	133.36	105.15	201.25	50.98	87.65	69.03	92.7	104.42	52.45	26.67	157.68	20.56	154.42	131.51	224.97	198.47	8.38	78.34	20.56	25.17	64.8	165.57	60.82	33.78	99.43	258.57	117.6	71.0	34.26	44.57	92.7	142.01	4.28	74.58	148.09	28.65	74.06	37.85	253.23	281.09	7.75	199.85	13.12	85.22	45.21	133.36	109.66	44.89	89.51	36.53	91.41	97.36	28.45	4.35	12.0	241.19	31.67	50.98	70.01	21.47	72.01	111.21	17.38	26.28	19.68	320.8	186.4	25.72	86.43	33.06	85.82	11.47	14.35	183.82	201.25	73.54	94.67	186.4	13.83	46.5	57.89	18.03	41.22	217.27	6.21	19.68	111.21	291.04	27.64	76.71	14.78	57.89	57.89	253.23	224.97	305.55	327.56	674.59	221.86	547.75	417.77	363.56	291.04	212.78	503.95	346.29	158.79	460.44	426.57
RPRM	83.45	102.97	3.53	111.99	63.45	14.45	92.05	5.77	4.17	2.03	95.34	53.19	57.49	63.45	94.01	74.06	90.14	44.25	87.65	64.34	67.59	92.05	29.48	29.48	143.01	81.14	141.02	181.28	73.54	75.11	14.67	85.22	24.46	11.55	46.5	115.97	34.75	51.35	111.99	156.59	71.5	66.18	59.97	32.13	35.5	101.54	0.57	141.02	121.79	15.91	59.13	58.3	251.48	183.82	5.82	126.12	39.79	66.18	55.1	85.22	231.32	39.79	75.64	62.12	38.67	63.45	7.17	2.36	44.89	61.25	50.27	45.53	60.39	26.86	94.01	113.56	19.97	29.27	4.62	70.01	176.29	27.84	57.49	23.08	54.72	27.44	55.49	171.45	74.06	89.51	58.71	73.54	22.92	14.03	287.01	18.16	37.05	101.54	21.78	8.32	78.89	165.57	19.25	45.21	10.47	40.07	57.49	131.51	45.21	45.21	81.71	246.28	87.03	563.18	52.82	99.43	98.73	150.17	267.73	146.03	94.01	162.14	271.48
SAMD4A	150.17	214.27	37.32	100.13	141.02	144.01	167.9	49.56	26.1	16.39	155.5	68.07	107.38	125.24	182.55	127.0	159.9	115.16	88.26	92.05	121.79	127.89	98.04	80.57	125.24	34.75	171.45	329.84	143.01	117.6	81.14	108.14	80.01	33.3	71.5	180.02	155.5	78.34	80.01	177.53	251.48	93.35	72.52	35.76	74.06	138.1	12.45	40.64	71.0	50.98	197.09	46.18	262.2	140.04	29.7	181.28	32.59	68.07	152.28	95.34	136.19	125.24	169.07	86.43	116.78	62.12	112.77	14.14	58.3	151.22	77.25	165.57	57.08	35.0	58.71	146.03	58.3	26.28	26.28	171.45	246.28	48.18	71.0	40.07	58.3	45.53	42.41	176.29	162.14	392.44	89.51	140.04	34.26	111.21	91.41	64.34	72.01	339.14	15.8	72.01	75.64	157.68	96.68	72.01	49.56	51.71	61.25	249.73	57.49	197.09	172.65	258.57	182.55	197.09	303.44	226.54	204.07	158.79	264.03	185.11	100.83	275.28	283.05
SBSPON	115.16	25.54	10.31	17.25	4.86	32.13	215.77	5.96	17.64	7.17	43.02	17.9	256.78	40.36	211.31	36.01	25.72	53.19	31.9	96.68	19.39	48.18	31.45	19.25	86.43	11.82	361.04	64.8	167.9	31.0	9.56	36.27	12.74	14.03	18.56	39.79	24.63	44.89	92.05	109.66	59.13	37.05	11.38	12.09	42.41	256.78	12.18	36.53	39.79	13.93	165.57	37.32	244.57	64.34	13.22	86.43	9.63	17.64	35.0	43.94	154.42	18.03	36.27	18.97	21.01	68.07	6.36	18.43	12.18	33.54	21.47	20.41	12.93	33.3	54.33	59.97	8.71	22.59	6.16	84.04	208.38	24.46	15.91	24.63	28.04	25.72	7.4	68.55	135.24	89.51	68.55	44.89	20.11	33.54	18.29	13.42	24.28	215.77	15.91	8.38	57.89	59.13	22.26	31.45	9.41	13.42	13.03	151.22	130.6	248.0	85.82	429.54	312.0	389.72	91.41	201.25	141.02	117.6	470.14	412.0	193.01	376.41	301.33
SCARA3	312.0	152.28	56.28	387.02	80.01	115.97	450.94	26.86	27.64	19.53	303.44	182.55	384.34	309.83	353.59	384.34	438.59	231.32	343.89	214.27	297.17	329.84	123.5	139.07	381.68	84.63	361.04	571.05	651.58	339.14	54.33	271.48	77.25	62.56	159.9	669.92	128.79	112.77	103.69	665.29	289.02	307.69	145.02	114.36	201.25	244.57	22.26	287.01	314.17	53.57	175.07	169.07	713.11	669.92	15.45	563.18	59.97	199.85	145.02	289.02	373.81	171.45	301.33	88.88	171.45	295.11	87.65	17.13	66.65	429.54	130.6	242.88	148.09	82.29	189.02	325.29	127.0	53.57	21.94	275.28	525.39	88.88	205.5	143.01	175.07	231.32	72.01	532.74	249.73	289.02	221.86	400.71	82.29	205.5	173.85	59.97	182.55	674.59	32.59	217.27	283.05	633.73	115.97	277.2	66.18	136.19	156.59	540.19	256.78	651.58	718.08	775.05	642.59	974.5	802.41	579.04	387.02	665.29	1340.84	476.71	406.31	896.64	915.51
SCN7A	309.83	40.36	18.29	63.89	19.53	27.84	65.26	8.85	8.58	16.88	56.28	28.24	52.45	45.21	141.02	71.5	94.01	82.29	68.07	53.19	57.89	53.95	47.5	24.81	129.69	92.7	147.06	96.01	58.71	63.0	9.34	63.45	45.85	44.89	41.52	96.01	38.12	51.35	87.65	94.01	140.04	32.13	11.82	39.5	96.01	161.02	0.0	17.13	30.56	17.25	51.35	23.93	172.65	55.1	19.68	173.85	12.0	38.4	68.07	86.43	112.77	45.85	73.03	46.18	42.41	208.38	4.1	21.78	13.52	50.27	42.41	35.25	31.0	23.76	77.79	71.5	10.16	24.28	5.41	136.19	242.88	25.91	25.54	12.0	49.91	9.13	11.91	104.42	205.5	75.64	82.29	87.03	9.56	64.8	29.91	29.06	62.56	94.67	2.58	11.3	55.1	104.42	13.83	31.0	14.78	31.22	17.25	70.01	87.03	76.71	147.06	329.84	67.12	195.72	100.83	91.41	80.57	106.63	269.6	186.4	27.64	186.4	353.59
SCUBE3	41.22	11.13	3.5	40.64	6.78	11.21	25.91	1.6	1.55	4.06	28.04	8.78	25.54	30.12	36.53	25.54	45.85	9.13	21.63	12.18	26.1	15.91	8.85	8.99	54.72	7.22	36.79	27.64	63.89	22.43	3.89	23.08	10.31	3.72	15.8	69.52	12.93	8.65	10.63	67.12	9.13	9.06	9.85	10.0	29.06	36.53	1.07	19.68	9.06	5.19	10.71	13.12	49.21	49.21	1.48	78.89	7.11	24.11	9.2	34.75	22.1	21.32	36.27	15.34	10.47	25.91	3.63	4.39	3.41	37.32	11.64	12.64	9.78	3.26	10.63	28.04	7.63	6.46	1.35	31.0	46.84	3.59	16.75	6.16	21.16	4.98	5.54	31.45	43.02	31.9	23.42	27.05	8.19	20.26	12.0	7.22	13.93	45.53	4.82	54.33	41.52	39.79	7.51	11.82	2.63	12.55	18.03	12.64	13.62	58.71	49.21	39.5	33.3	26.67	72.52	51.35	16.39	22.26	88.26	22.1	14.35	59.55	96.68
SDPR	651.58	128.79	156.59	269.6	24.46	86.43	647.07	63.0	109.66	97.36	289.02	211.31	256.78	167.9	258.57	323.03	397.93	226.54	251.48	497.0	239.52	395.18	967.76	129.69	346.29	177.53	503.95	521.76	674.59	497.0	61.25	258.57	54.33	514.56	273.37	277.2	89.51	159.9	412.0	595.34	447.82	409.15	96.68	121.79	109.66	457.25	56.68	141.02	164.42	115.16	486.75	162.14	547.75	503.95	88.88	363.56	195.72	269.6	303.44	543.96	435.55	229.72	507.46	142.01	267.73	279.14	101.54	106.63	154.42	441.64	151.22	111.99	191.67	88.88	336.79	242.88	41.52	103.69	202.66	397.93	679.29	198.47	253.23	166.73	91.41	35.0	74.06	454.09	595.34	205.5	332.14	642.59	180.02	583.07	141.02	99.43	151.22	769.69	24.63	195.72	366.09	934.76	121.79	159.9	73.54	115.16	102.25	583.07	239.52	466.88	769.69	890.44	551.56	961.07	656.11	775.05	995.0	764.36	1175.27	595.34	414.87	967.76	1096.5
SLC47A1	54.33	22.26	10.96	47.17	9.78	11.3	42.41	6.78	13.93	1.33	44.57	21.01	18.7	44.89	24.28	45.21	42.71	34.26	55.49	25.91	35.25	36.79	20.41	33.78	35.25	10.71	48.52	67.59	65.26	43.02	8.13	38.4	30.78	5.96	30.12	45.85	20.86	12.27	23.42	66.18	80.57	53.95	12.09	13.72	15.68	50.27	2.73	24.81	50.27	11.73	16.88	21.32	144.01	93.35	3.66	65.26	20.86	34.26	34.02	40.93	45.21	19.82	57.89	16.03	36.27	43.94	4.1	8.38	14.56	47.84	26.67	28.86	23.93	12.83	29.91	28.45	10.39	16.63	6.36	40.64	107.38	14.24	31.67	16.39	24.11	16.51	5.87	75.64	40.64	23.08	31.0	85.82	19.25	19.39	18.84	9.13	21.94	65.26	4.35	61.25	42.41	59.97	17.13	23.25	7.17	22.43	17.64	145.02	22.75	74.58	80.01	108.9	59.13	143.01	82.29	106.63	82.87	111.99	135.24	81.14	35.76	144.01	155.5
SLC8A1	384.34	50.98	9.13	155.5	23.08	36.53	277.2	13.52	22.1	8.06	120.94	60.39	165.57	129.69	260.38	279.14	241.19	129.69	109.66	106.63	176.29	170.25	67.59	44.89	187.71	68.55	258.57	228.13	381.68	144.01	21.63	93.35	57.08	26.28	102.97	281.09	63.45	63.45	92.7	336.79	154.42	289.02	71.5	56.68	84.04	351.14	1.36	61.68	119.26	18.97	90.14	43.63	361.04	248.0	6.11	323.03	118.43	87.65	70.01	157.68	189.02	92.7	228.13	52.45	81.14	187.71	16.03	12.45	18.56	218.79	85.82	92.7	59.55	38.95	100.83	127.0	37.85	32.82	19.39	376.41	460.44	37.59	98.04	23.93	92.7	28.24	36.27	231.32	273.37	209.84	148.09	154.42	34.75	67.59	71.0	18.7	102.25	417.77	14.67	36.79	138.1	262.2	23.08	108.9	32.13	43.32	62.12	246.28	118.43	426.57	343.89	503.95	366.09	325.29	297.17	334.46	297.17	353.59	688.78	332.14	122.64	612.11	674.59
SLMAP	1519.15	603.67	204.07	854.13	457.25	518.15	1104.13	389.72	559.28	400.71	708.18	629.35	1250.98	624.99	1674.06	981.29	1295.13	567.1	532.74	616.37	866.07	688.78	738.29	339.14	1143.1	409.15	1617.0	1143.1	1350.18	813.63	532.74	521.76	466.88	381.68	555.41	1001.93	728.11	575.03	775.05	1498.22	1233.75	620.67	400.71	521.76	607.87	1721.16	197.09	381.68	802.41	414.87	791.35	348.71	1977.24	988.12	435.55	1159.07	371.22	647.07	480.04	988.12	1135.2	540.19	780.44	514.56	753.83	884.29	387.02	460.44	361.04	928.3	432.53	629.35	684.02	409.15	624.99	928.3	426.57	460.44	536.45	1733.13	1437.15	543.96	595.34	318.57	583.07	409.15	356.05	1191.69	1242.34	915.51	775.05	921.88	444.72	470.14	511.0	381.68	748.61	1551.09	260.38	438.59	743.43	1143.1	454.09	521.76	429.54	480.04	457.25	1340.84	819.3	1662.49	1561.89	2935.74	1175.27	2758.13	1250.98	1757.34	1175.27	1044.52	2895.31	1583.71	866.07	2090.03	2434.5
SMIM10	129.69	38.67	35.76	143.01	23.59	36.53	169.07	12.09	17.64	15.56	97.36	57.89	125.24	106.63	146.03	161.02	140.04	84.63	110.43	85.82	152.28	139.07	111.99	56.28	127.0	40.07	215.77	260.38	275.28	112.77	26.47	108.14	29.27	50.98	74.06	173.85	75.11	72.01	93.35	241.19	128.79	129.69	51.35	43.63	49.56	186.4	8.99	125.24	136.19	25.91	185.11	72.01	271.48	239.52	8.78	161.02	28.86	101.54	101.54	120.94	142.01	62.12	120.1	55.1	99.43	79.45	23.08	11.91	31.45	115.16	71.0	80.01	29.48	52.45	89.51	194.36	35.76	31.0	26.86	183.82	195.72	49.91	85.82	52.45	69.03	30.12	48.52	194.36	125.24	69.03	105.89	134.3	48.18	102.25	70.01	37.05	70.01	246.28	15.11	37.59	182.55	273.37	58.71	108.9	17.51	70.01	52.82	264.03	72.01	211.31	241.19	457.25	248.0	466.88	271.48	287.01	198.47	211.31	293.07	323.03	221.86	392.44	279.14
SORBS1	1628.26	567.1	40.36	1135.2	295.11	260.38	1388.16	60.82	141.02	73.54	842.36	320.8	1225.22	595.34	1457.23	1467.37	1923.14	595.34	764.36	620.67	988.12	775.05	620.67	202.66	1628.26	224.97	1277.29	1437.15	1529.73	884.29	202.66	629.35	190.34	142.01	616.37	1572.76	480.04	420.68	567.1	2384.37	1437.15	928.3	307.69	291.04	633.73	1572.76	35.76	447.82	656.11	131.51	819.3	283.05	1508.65	1806.78	51.35	2417.67	199.85	603.67	444.72	1151.06	813.63	540.19	819.3	301.33	450.94	507.46	176.29	66.65	77.25	1322.37	429.54	647.07	403.5	165.57	447.82	848.22	161.02	283.05	146.03	2178.83	2133.97	220.32	647.07	190.34	785.88	212.78	161.02	1639.59	1551.09	1191.69	595.34	1175.27	189.02	295.11	366.09	100.83	723.08	1870.53	40.36	195.72	642.59	1662.49	175.07	551.56	224.97	307.69	420.68	1844.76	521.76	2004.85	2645.74	2976.74	1427.22	2303.12	1781.89	3039.3	1844.76	1447.15	2664.15	1819.35	961.07	2287.2	2720.15
SPOP	1457.23	1216.75	890.44	1572.76	1322.37	974.5	1378.57	1073.91	775.05	813.63	1487.87	1096.5	1359.57	1175.27	1457.23	1508.65	2090.03	941.27	860.08	1044.52	1331.57	1369.04	1167.14	723.08	1447.15	1023.0	1447.15	1388.16	2090.03	1651.0	961.07	1322.37	1151.06	684.02	1259.69	1651.0	1322.37	1081.39	1073.91	1745.2	1519.15	1088.92	1143.1	1037.29	1191.69	1709.26	583.07	1008.9	1143.1	1088.92	896.64	1044.52	1662.49	1709.26	954.43	1794.29	656.11	1191.69	974.5	1529.73	1313.23	1127.35	1127.35	1143.1	1183.45	1199.98	854.13	791.35	1350.18	1883.54	848.22	1397.83	1143.1	1111.82	1111.82	1216.75	1111.82	1191.69	1073.91	1909.85	1519.15	728.11	1295.13	854.13	1359.57	928.3	928.3	2047.0	1322.37	1781.89	1088.92	1551.09	813.63	854.13	974.5	941.27	1369.04	1572.76	967.76	1037.29	1066.48	1806.78	728.11	1119.56	878.17	1175.27	1066.48	1508.65	1388.16	1594.73	2417.67	2682.69	1662.49	2502.97	2502.97	2335.28	1540.37	1407.55	2178.83	1551.09	1233.75	1769.57	2178.83
STAC	108.9	29.91	4.82	53.95	9.48	5.96	133.36	1.08	5.45	0.89	45.21	19.39	151.22	52.45	197.09	61.68	93.35	58.3	43.02	37.32	48.87	24.46	30.78	10.24	63.45	11.64	144.01	82.29	305.55	66.65	2.16	28.86	12.83	13.42	82.87	83.45	34.75	25.72	48.52	279.14	79.45	13.12	19.25	39.5	38.67	212.78	0.0	49.56	30.12	6.89	27.44	9.7	244.57	185.11	0.93	131.51	5.06	52.08	23.08	98.73	105.15	31.9	48.87	20.41	19.39	94.01	3.14	2.12	6.84	79.45	45.21	30.78	12.93	8.71	60.82	139.07	5.11	7.51	6.62	140.04	226.54	16.88	41.81	9.7	42.71	4.66	11.13	115.16	97.36	94.01	120.1	134.3	6.57	14.14	27.25	8.71	22.26	287.01	1.41	10.47	76.17	116.78	7.22	43.32	2.56	31.0	33.06	94.67	100.83	332.14	148.09	718.08	220.32	423.61	211.31	368.65	127.89	226.54	775.05	209.84	154.42	620.67	521.76
SVIL	1143.1	656.11	82.29	1059.11	525.39	231.32	896.64	105.89	426.57	118.43	866.07	493.56	915.51	738.29	1081.39	1059.11	1781.89	470.14	638.15	438.59	728.11	703.28	429.54	281.09	1313.23	220.32	909.17	1111.82	1721.16	1143.1	780.44	769.69	432.53	132.44	521.76	1551.09	486.75	329.84	343.89	1883.54	1199.98	785.88	435.55	332.14	497.0	915.51	89.51	500.46	651.58	183.82	518.15	339.14	1572.76	1674.06	77.25	1259.69	241.19	769.69	341.51	1242.34	733.19	563.18	796.86	400.71	343.89	571.05	289.02	400.71	314.17	1340.84	329.84	612.11	447.82	366.09	420.68	759.08	220.32	262.2	190.34	1295.13	1467.37	397.93	620.67	251.48	753.83	229.72	297.17	1628.26	1208.34	1051.79	728.11	1233.75	283.05	514.56	532.74	232.94	599.49	1605.83	392.44	283.05	543.96	1819.35	279.14	420.68	285.03	447.82	514.56	1001.93	521.76	1757.34	1909.85	2209.26	1519.15	1794.29	2193.99	2271.4	1242.34	1350.18	3665.02	1313.23	1037.29	2777.33	2796.65
