	TCGA.EJ.7331.01A.11R.2118.07	TCGA.XK.AAK1.01A.11R.A41O.07	TCGA.G9.7522.01A.11R.2263.07	TCGA.G9.6385.01A.11R.1789.07	TCGA.EJ.5503.01A.01R.1580.07	TCGA.VN.A943.01A.11R.A41O.07	TCGA.G9.6351.01A.21R.1965.07	TCGA.EJ.AB27.01A.11R.A41O.07	TCGA.G9.6333.01A.12R.1965.07	TCGA.V1.A8X3.01A.11R.A37L.07	TCGA.V1.A8WN.01A.11R.A37L.07	TCGA.EJ.7317.01A.31R.2118.07	TCGA.HC.8260.01A.11R.2263.07	TCGA.VP.A87B.01A.11R.A352.07	TCGA.HC.7075.01A.11R.1965.07	TCGA.G9.6367.01A.11R.1789.07	TCGA.EJ.A8FO.01A.21R.A36G.07	TCGA.J9.A8CN.01A.11R.A352.07	TCGA.G9.6371.01A.11R.1789.07	TCGA.KK.A8IJ.01A.11R.A352.07	TCGA.2A.AAYF.01A.11R.A41O.07	TCGA.EJ.A65G.01A.21R.A29R.07	TCGA.CH.5744.01A.11R.1580.07	TCGA.HC.8256.01A.11R.2263.07	TCGA.CH.5767.01A.11R.1789.07	TCGA.EJ.5517.01A.01R.1580.07	TCGA.VN.A88O.01A.11R.A352.07	TCGA.M7.A724.01A.12R.A32O.07	TCGA.EJ.7318.01B.11R.A32O.07	TCGA.EJ.A7NJ.01A.22R.A352.07	TCGA.V1.A9OQ.01A.11R.A41O.07	TCGA.EJ.7312.01B.21R.A32O.07	TCGA.ZG.A9L6.01A.11R.A41O.07	TCGA.2A.A8W1.01A.11R.A37L.07	TCGA.EJ.A65J.01A.11R.A311.07	TCGA.XK.AAJR.01A.11R.A41O.07	TCGA.J9.A8CP.01A.11R.A352.07	TCGA.G9.7509.01A.11R.A41O.07	TCGA.V1.A8WL.01A.11R.A37L.07	TCGA.EJ.5532.01A.01R.1580.07	TCGA.EJ.7793.01A.31R.2263.07	TCGA.EJ.7218.01B.11R.A32O.07	TCGA.J4.A83M.01A.11R.A352.07	TCGA.J4.AAU2.01A.11R.A41O.07	TCGA.FC.A5OB.01A.11R.A29R.07	TCGA.EJ.5515.01A.01R.1580.07	TCGA.EJ.7791.01A.11R.2118.07	TCGA.Y6.A9XI.01A.11R.A41O.07	TCGA.XJ.A83G.01A.11R.A352.07	TCGA.HC.8259.01A.11R.2263.07	TCGA.EJ.5497.01A.02R.1580.07	TCGA.G9.6332.01A.11R.1789.07	TCGA.EJ.7786.01A.11R.2118.07	TCGA.G9.6494.01A.11R.1789.07	TCGA.EJ.A46B.01A.31R.A250.07	TCGA.VN.A88N.01A.11R.A36G.07	TCGA.HC.7078.01A.11R.2118.07	TCGA.ZG.A9ND.01A.11R.A41O.07	TCGA.HC.7740.01A.11R.2118.07	TCGA.CH.5737.01A.11R.1580.07	TCGA.G9.7519.01A.11R.2263.07	TCGA.EJ.A8FP.01A.21R.A36G.07	TCGA.XK.AAJA.01A.11R.A41O.07	TCGA.KK.A6E5.01A.11R.A311.07	TCGA.HC.7077.01A.11R.1965.07	TCGA.J4.A83N.01A.11R.A352.07	TCGA.EJ.A7NF.01A.11R.A33R.07	TCGA.EJ.7789.11A.01R.2118.07	TCGA.EJ.7794.11A.01R.2118.07	TCGA.EJ.7786.11A.01R.2118.07	TCGA.HC.7819.11A.01R.2118.07	TCGA.EJ.7784.11A.01R.2118.07	TCGA.EJ.7115.11A.01R.2118.07	TCGA.EJ.7785.11A.01R.2118.07	TCGA.HC.8260.11A.01R.2263.07	TCGA.EJ.7797.11A.01R.2263.07	TCGA.EJ.7792.11A.01R.2118.07	TCGA.G9.6351.11A.01R.1965.07	TCGA.EJ.7781.11A.01R.2118.07	TCGA.G9.6384.11A.01R.1858.07	TCGA.EJ.7317.11A.01R.2118.07	TCGA.EJ.7328.11A.01R.2118.07	TCGA.EJ.7321.11A.01R.2263.07	TCGA.EJ.7314.11A.01R.2118.07	TCGA.EJ.7315.11A.01R.2118.07	TCGA.HC.8259.11A.01R.2263.07	TCGA.G9.6342.11A.02R.1965.07	TCGA.EJ.7793.11A.01R.2263.07	TCGA.EJ.7331.11A.01R.2118.07	GTEX.WFG7.1826.SM.3GIL1	GTEX.11P7K.0626.SM.5985Z
PLSCR4	215.77	31.22	180.02	151.22	205.5	13.62	127.0	100.83	101.54	141.02	258.57	82.87	223.41	73.03	39.22	150.17	181.28	47.5	75.11	74.06	156.59	80.57	65.26	67.12	71.0	144.01	57.49	5.41	41.81	150.17	94.01	63.0	293.07	19.68	54.72	101.54	119.26	125.24	153.34	158.79	171.45	46.84	72.01	75.64	27.25	253.23	309.83	44.57	40.64	89.51	217.27	87.65	175.07	85.22	149.12	41.22	137.14	32.13	283.05	53.57	83.45	229.72	62.12	115.16	70.51	43.02	40.36	281.09	521.76	497.0	285.03	363.56	279.14	351.14	221.86	264.03	397.93	165.57	503.95	271.48	262.2	447.82	301.33	309.83	514.56	206.94	127.0	332.14	336.79	332.14	264.03
PRDM11	127.89	34.75	86.43	108.14	161.02	47.5	75.11	102.25	59.13	119.26	100.83	69.52	111.99	47.84	45.21	167.9	105.15	30.12	74.06	62.56	43.63	58.71	96.01	65.72	60.39	88.26	63.0	28.24	67.12	97.36	50.27	54.72	139.07	28.24	61.68	96.01	67.12	85.22	77.25	85.82	128.79	64.34	74.06	69.52	28.24	115.16	185.11	35.5	48.18	72.52	98.04	37.05	113.56	105.15	123.5	40.36	58.71	54.33	191.67	62.12	58.3	133.36	56.28	60.82	58.3	61.68	45.85	148.09	249.73	241.19	201.25	248.0	177.53	251.48	191.67	176.29	209.84	151.22	329.84	176.29	135.24	353.59	156.59	277.2	239.52	139.07	84.63	253.23	223.41	169.07	214.27
PRDM5	87.03	22.43	61.68	53.57	74.06	49.91	28.65	64.34	24.99	47.17	98.73	39.22	86.43	12.27	41.22	56.68	69.52	48.52	18.56	34.26	48.18	38.95	32.36	27.25	16.51	66.18	35.25	9.41	17.51	89.51	23.93	13.42	93.35	24.11	34.75	51.35	49.56	42.41	85.22	62.56	53.19	40.07	24.63	39.5	39.22	96.68	115.16	96.01	17.77	27.44	95.34	32.59	66.65	42.11	65.26	35.5	38.95	20.86	58.71	74.58	40.93	85.22	22.59	36.79	28.65	21.16	29.27	102.97	175.07	166.73	104.42	125.24	115.97	172.65	96.68	142.01	140.04	47.84	218.79	69.52	87.65	171.45	98.73	129.69	211.31	105.15	36.53	124.37	138.1	79.45	53.57
PRICKLE2	152.28	10.88	64.34	113.56	127.0	3.89	75.11	72.01	51.35	92.7	119.26	50.98	88.26	35.76	33.78	139.07	97.36	18.16	42.11	34.75	29.7	35.76	33.06	32.13	47.17	108.9	23.42	3.2	39.22	66.18	32.36	24.99	164.42	14.67	24.28	61.68	46.18	72.52	69.03	96.68	114.36	33.3	39.22	39.79	7.34	163.28	209.84	23.42	18.56	53.57	155.5	23.08	101.54	52.08	79.45	18.97	42.71	18.03	186.4	30.56	60.82	151.22	43.94	43.32	15.34	30.56	31.45	132.44	314.17	316.37	185.11	215.77	205.5	217.27	142.01	167.9	217.27	143.01	500.46	195.72	135.24	343.89	136.19	281.09	264.03	124.37	77.79	255.0	204.07	195.72	353.59
PRKCA	301.33	21.94	110.43	162.14	246.28	13.03	90.14	108.14	86.43	162.14	157.68	91.41	119.26	33.78	63.89	208.38	133.36	27.44	89.51	61.68	37.32	60.39	85.82	95.34	66.18	223.41	42.11	18.84	46.18	129.69	45.53	61.68	316.37	57.49	21.32	165.57	88.26	176.29	104.42	173.85	154.42	77.79	82.87	102.25	42.41	221.86	318.57	205.5	56.68	96.01	194.36	120.1	231.32	265.87	155.5	80.57	116.78	101.54	253.23	77.25	75.64	221.86	51.71	62.56	27.84	115.97	51.35	249.73	551.56	656.11	218.79	403.5	198.47	323.03	194.36	299.25	400.71	189.02	1111.82	277.2	197.09	583.07	249.73	457.25	470.14	221.86	97.36	309.83	493.56	260.38	551.56
PRKD3	291.04	57.49	183.82	176.29	223.41	105.89	139.07	148.09	129.69	177.53	241.19	136.19	251.48	96.01	164.42	158.79	157.68	87.03	120.1	120.94	118.43	133.36	170.25	181.28	116.78	224.97	124.37	23.93	92.7	163.28	104.42	50.98	253.23	80.57	108.14	152.28	121.79	176.29	154.42	195.72	229.72	105.89	142.01	129.69	154.42	275.28	303.44	140.04	61.68	189.02	329.84	112.77	224.97	151.22	146.03	133.36	173.85	60.82	231.32	157.68	103.69	223.41	100.83	140.04	152.28	115.97	108.9	295.11	444.72	447.82	267.73	348.71	277.2	438.59	251.48	332.14	389.72	152.28	540.19	215.77	255.0	397.93	260.38	420.68	571.05	242.88	131.51	358.54	429.54	379.04	348.71
PROCR	162.14	100.13	262.2	224.97	232.94	32.36	241.19	157.68	231.32	127.0	165.57	120.1	279.14	98.04	61.68	201.25	323.03	108.14	92.7	108.14	80.01	78.89	269.6	100.13	84.63	139.07	150.17	40.36	255.0	162.14	214.27	212.78	343.89	49.91	60.39	198.47	316.37	177.53	171.45	141.02	275.28	108.14	141.02	120.1	74.58	189.02	248.0	90.77	127.89	124.37	269.6	128.79	119.26	151.22	275.28	110.43	241.19	87.03	220.32	122.64	180.02	346.29	107.38	202.66	114.36	103.69	157.68	291.04	329.84	318.57	169.07	244.57	400.71	366.09	262.2	454.09	426.57	358.54	463.65	376.41	208.38	361.04	253.23	334.46	423.61	275.28	205.5	361.04	403.5	189.02	283.05
QSER1	115.97	36.01	46.5	93.35	83.45	61.25	62.56	63.89	49.21	59.55	77.79	63.45	68.55	94.01	115.97	70.51	66.18	40.07	60.39	25.72	50.63	85.22	18.7	60.82	108.14	92.05	56.68	7.69	30.12	54.72	49.91	17.64	93.35	12.83	104.42	37.32	51.71	63.89	65.72	69.52	67.59	42.41	33.54	99.43	12.93	132.44	110.43	15.45	23.59	81.14	161.02	23.08	170.25	31.45	52.45	17.77	72.52	31.67	121.79	39.79	52.08	84.63	70.51	38.4	46.84	23.93	29.91	66.65	147.06	170.25	140.04	125.24	96.01	107.38	102.97	87.03	132.44	65.26	173.85	88.88	97.36	147.06	70.01	165.57	197.09	95.34	64.8	88.88	156.59	98.73	108.9
RAB11FIP2	255.0	52.82	103.69	147.06	149.12	79.45	108.14	101.54	93.35	187.71	171.45	105.15	120.1	72.01	112.77	129.69	117.6	85.82	90.14	102.25	106.63	134.3	76.17	119.26	143.01	212.78	104.42	45.21	68.07	123.5	73.54	56.68	190.34	99.43	111.99	117.6	108.9	120.94	142.01	185.11	134.3	87.65	91.41	96.01	107.38	285.03	212.78	95.34	66.65	101.54	237.86	81.71	202.66	132.44	119.26	88.26	148.09	79.45	170.25	110.43	81.14	178.77	100.13	100.13	111.21	100.13	92.05	177.53	332.14	438.59	223.41	218.79	171.45	291.04	162.14	295.11	277.2	132.44	497.0	165.57	167.9	397.93	143.01	426.57	371.22	152.28	127.0	291.04	325.29	283.05	314.17
RABGAP1	836.53	305.55	860.08	595.34	708.18	395.18	575.03	723.08	518.15	674.59	921.88	466.88	780.44	361.04	473.41	723.08	753.83	366.09	466.88	603.67	476.71	400.71	536.45	603.67	438.59	587.13	476.71	314.17	384.34	616.37	395.18	327.56	808.0	493.56	392.44	688.78	536.45	785.88	607.87	629.35	708.18	400.71	486.75	493.56	397.93	854.13	733.19	693.58	409.15	728.11	791.35	429.54	688.78	587.13	633.73	551.56	532.74	441.64	674.59	432.53	460.44	848.22	571.05	450.94	497.0	500.46	476.71	848.22	1081.39	1135.2	947.83	1008.9	780.44	1044.52	909.17	842.36	1023.0	684.02	1119.56	743.43	872.1	1167.14	981.29	1073.91	1225.22	842.36	511.0	1081.39	1023.0	1295.13	1417.35
RARA	414.87	186.4	454.09	463.65	612.11	132.44	414.87	447.82	503.95	384.34	525.39	285.03	361.04	409.15	234.57	376.41	277.2	323.03	265.87	503.95	221.86	150.17	409.15	195.72	256.78	387.02	314.17	139.07	483.38	285.03	314.17	356.05	647.07	165.57	454.09	343.89	567.1	351.14	473.41	303.44	297.17	301.33	607.87	309.83	84.04	384.34	713.11	285.03	325.29	211.31	351.14	301.33	314.17	289.02	314.17	204.07	417.77	239.52	624.99	312.0	299.25	511.0	299.25	358.54	387.02	366.09	332.14	476.71	890.44	1088.92	521.76	514.56	406.31	551.56	336.79	384.34	616.37	400.71	890.44	759.08	291.04	902.89	525.39	638.15	902.89	432.53	320.8	896.64	633.73	454.09	460.44
RAVER2	309.83	103.69	172.65	264.03	217.27	127.89	132.44	185.11	146.03	186.4	279.14	173.85	215.77	120.94	205.5	271.48	208.38	138.1	147.06	154.42	258.57	190.34	83.45	221.86	92.05	212.78	158.79	135.24	104.42	242.88	208.38	129.69	234.57	232.94	163.28	218.79	157.68	166.73	162.14	209.84	241.19	131.51	115.16	163.28	133.36	277.2	264.03	173.85	107.38	205.5	236.21	98.73	236.21	191.67	202.66	93.35	128.79	154.42	244.57	163.28	267.73	208.38	171.45	135.24	139.07	115.16	183.82	264.03	325.29	305.55	271.48	309.83	251.48	368.65	283.05	287.01	307.69	202.66	395.18	283.05	293.07	429.54	237.86	305.55	325.29	325.29	190.34	363.56	323.03	470.14	343.89
RBFOX2	934.76	387.02	607.87	638.15	796.86	361.04	473.41	547.75	536.45	688.78	854.13	529.06	656.11	403.5	543.96	753.83	579.04	466.88	529.06	587.13	447.82	353.59	547.75	603.67	470.14	679.29	441.64	323.03	406.31	503.95	412.0	271.48	791.35	624.99	490.14	595.34	656.11	629.35	587.13	624.99	642.59	438.59	511.0	387.02	373.81	708.18	1008.9	529.06	343.89	543.96	780.44	358.54	728.11	525.39	599.49	525.39	591.22	444.72	866.07	397.93	454.09	738.29	381.68	420.68	540.19	376.41	353.59	753.83	1304.15	1498.22	878.17	941.27	769.69	1023.0	842.36	872.1	1023.0	563.18	1697.45	708.18	759.08	1477.58	928.3	1277.29	1457.23	775.05	507.46	974.5	1199.98	1143.1	1088.92
RCBTB2	307.69	75.11	256.78	246.28	255.0	80.01	229.72	293.07	181.28	182.55	329.84	194.36	314.17	110.43	256.78	258.57	283.05	209.84	181.28	228.13	115.16	215.77	204.07	228.13	181.28	303.44	152.28	75.11	159.9	267.73	131.51	150.17	336.79	147.06	113.56	176.29	145.02	176.29	262.2	283.05	283.05	133.36	167.9	157.68	105.89	299.25	273.37	91.41	106.63	215.77	273.37	127.0	223.41	159.9	267.73	127.0	169.07	65.26	271.48	137.14	165.57	325.29	127.89	183.82	214.27	189.02	221.86	438.59	412.0	397.93	332.14	423.61	334.46	438.59	339.14	368.65	412.0	260.38	476.71	242.88	376.41	412.0	343.89	371.22	500.46	429.54	264.03	429.54	454.09	616.37	493.56
RECQL	348.71	80.01	195.72	176.29	237.86	93.35	119.26	208.38	114.36	157.68	237.86	164.42	251.48	120.94	158.79	206.94	187.71	97.36	109.66	194.36	149.12	131.51	99.43	197.09	170.25	249.73	137.14	51.35	67.12	217.27	120.94	119.26	273.37	122.64	241.19	234.57	110.43	212.78	191.67	256.78	209.84	122.64	129.69	151.22	159.9	320.8	366.09	178.77	88.26	172.65	320.8	100.13	251.48	173.85	185.11	147.06	167.9	152.28	218.79	147.06	105.89	258.57	106.63	146.03	149.12	96.68	103.69	312.0	511.0	497.0	295.11	406.31	297.17	447.82	212.78	392.44	412.0	149.12	642.59	202.66	297.17	457.25	299.25	463.65	674.59	283.05	140.04	420.68	444.72	432.53	435.55
RIMS3	39.5	8.92	22.1	40.07	46.5	3.29	14.24	20.71	25.91	36.27	29.27	41.52	24.11	16.39	3.89	49.91	24.99	8.25	16.88	25.91	8.32	16.15	18.43	14.35	36.01	32.59	11.91	6.06	20.26	24.81	12.27	16.03	61.25	3.41	8.45	34.26	19.53	24.28	18.16	27.64	25.91	20.11	16.75	20.26	4.31	59.97	62.12	13.22	8.32	17.38	33.3	8.32	30.12	28.45	31.67	5.54	13.22	16.39	94.67	21.78	12.55	49.56	12.0	32.13	6.21	13.12	16.27	47.84	109.66	129.69	61.25	57.89	49.91	88.26	36.01	60.39	78.89	37.59	194.36	64.34	61.25	129.69	54.33	78.34	90.77	55.49	19.68	71.5	71.0	48.18	52.08
RNF165	35.5	8.78	24.63	84.04	45.21	4.28	29.06	42.11	21.01	13.42	37.85	16.75	52.45	10.39	3.17	61.68	43.94	4.35	11.73	8.65	5.32	8.38	17.51	36.53	9.2	7.28	13.52	7.46	11.47	41.52	3.47	4.24	72.01	1.99	1.25	15.56	3.96	30.34	19.97	8.99	47.84	7.22	20.71	7.34	6.57	47.84	58.71	10.47	9.56	15.0	45.21	12.18	32.59	15.91	50.27	13.22	36.27	5.11	59.13	5.19	7.0	99.43	16.39	25.72	5.41	18.43	29.06	26.1	54.33	65.72	109.66	57.49	54.33	75.11	82.87	69.03	53.95	52.45	61.25	64.34	42.71	58.3	53.19	67.59	75.64	90.14	30.34	64.34	70.01	56.68	137.14
RNF180	176.29	31.9	101.54	99.43	85.22	36.79	73.54	75.64	96.68	90.14	109.66	77.25	77.79	32.59	61.25	127.0	88.88	21.16	50.27	52.45	75.64	78.89	59.55	78.89	73.03	102.97	50.27	11.38	41.52	85.82	74.06	22.43	120.94	66.65	92.7	52.45	67.12	106.63	49.91	92.05	107.38	56.68	47.84	63.0	40.64	167.9	128.79	40.36	26.67	72.52	152.28	67.12	135.24	98.04	65.72	29.48	55.1	26.67	117.6	90.14	62.12	116.78	32.82	47.17	44.89	48.18	73.03	120.94	178.77	237.86	157.68	130.6	126.12	209.84	91.41	180.02	177.53	102.25	301.33	122.64	136.19	327.56	107.38	218.79	249.73	102.25	88.88	153.34	201.25	220.32	191.67
RNF219	107.38	27.64	92.05	98.73	92.7	62.56	100.13	95.34	70.51	85.82	104.42	88.26	106.63	39.79	71.5	94.01	79.45	32.59	77.79	85.82	68.55	83.45	69.03	80.57	74.06	109.66	87.65	46.5	52.45	90.14	49.91	37.32	131.51	78.34	55.89	92.7	59.13	103.69	87.03	91.41	97.36	59.55	91.41	69.52	88.26	144.01	120.1	59.97	51.71	80.57	126.12	75.11	80.01	69.52	85.82	95.34	80.57	77.79	107.38	51.71	54.72	113.56	90.77	94.01	57.08	61.68	65.72	128.79	163.28	141.02	130.6	154.42	138.1	169.07	106.63	125.24	145.02	103.69	197.09	82.29	115.97	138.1	103.69	135.24	183.82	121.79	92.7	131.51	134.3	198.47	173.85
RPA1	1175.27	928.3	1127.35	1322.37	1508.65	934.76	1104.13	1119.56	785.88	1073.91	1350.18	1119.56	1023.0	860.08	1369.04	1388.16	1378.57	624.99	1259.69	1066.48	947.83	1023.0	1143.1	1183.45	1037.29	1208.34	981.29	921.88	921.88	1135.2	842.36	836.53	1051.79	954.43	860.08	1322.37	896.64	1073.91	1037.29	1151.06	1561.89	1127.35	1167.14	1001.93	1143.1	1369.04	1304.15	819.3	872.1	1259.69	1477.58	915.51	1191.69	934.76	1216.75	1191.69	738.29	1081.39	1208.34	1225.22	947.83	1467.37	872.1	909.17	967.76	1081.39	1135.2	1208.34	1407.55	1594.73	1572.76	1477.58	1268.46	1447.15	1304.15	1388.16	1447.15	1104.13	1977.24	1313.23	1331.57	1477.58	1350.18	1572.76	1572.76	1233.75	1225.22	1651.0	1437.15	1769.57	2119.22
SAMD4A	150.17	37.32	100.13	167.9	132.44	16.39	155.5	107.38	125.24	182.55	159.9	92.05	127.89	80.57	34.75	143.01	117.6	33.3	71.5	155.5	78.34	80.01	72.52	35.76	74.06	138.1	59.97	12.45	40.64	71.0	197.09	46.18	262.2	29.7	32.59	68.07	152.28	95.34	136.19	62.12	151.22	77.25	165.57	58.71	26.28	171.45	246.28	48.18	40.07	58.3	154.42	42.41	162.14	89.51	140.04	34.26	111.21	64.34	339.14	72.01	75.64	157.68	96.68	72.01	49.56	51.71	61.25	249.73	327.56	466.88	197.09	234.57	172.65	258.57	182.55	197.09	327.56	303.44	500.46	226.54	204.07	395.18	158.79	264.03	303.44	185.11	100.83	275.28	283.05	205.5	277.2
SCRN1	532.74	209.84	624.99	447.82	693.58	54.72	351.14	403.5	242.88	336.79	579.04	267.73	575.03	116.78	75.11	591.22	514.56	80.01	299.25	291.04	244.57	152.28	217.27	208.38	267.73	363.56	142.01	23.76	193.01	579.04	197.09	149.12	463.65	151.22	142.01	447.82	343.89	376.41	381.68	318.57	543.96	248.0	178.77	157.68	45.53	780.44	620.67	283.05	154.42	303.44	543.96	217.27	414.87	417.77	466.88	89.51	366.09	147.06	723.08	423.61	305.55	591.22	197.09	264.03	305.55	226.54	201.25	698.41	954.43	995.0	759.08	902.89	579.04	748.61	693.58	595.34	780.44	571.05	1111.82	759.08	753.83	967.76	830.75	785.88	1037.29	728.11	395.18	802.41	825.0	1950.0	1923.14
SEC23A	612.11	84.04	361.04	381.68	423.61	78.89	295.11	356.05	242.88	358.54	563.18	204.07	267.73	120.94	147.06	447.82	305.55	126.12	177.53	239.52	150.17	212.78	205.5	176.29	291.04	493.56	161.02	41.22	155.5	264.03	224.97	143.01	575.03	151.22	161.02	246.28	239.52	379.04	299.25	334.46	483.38	129.69	189.02	178.77	150.17	620.67	703.28	164.42	108.9	256.78	457.25	115.97	435.55	237.86	327.56	175.07	258.57	138.1	532.74	180.02	202.66	507.46	140.04	204.07	143.01	146.03	158.79	521.76	854.13	1437.15	583.07	551.56	785.88	928.3	397.93	825.0	802.41	555.41	1781.89	728.11	460.44	1583.71	536.45	1088.92	1175.27	438.59	356.05	890.44	947.83	808.0	1143.1
SEPT10	854.13	232.94	536.45	764.36	674.59	291.04	507.46	629.35	395.18	743.43	909.17	473.41	769.69	303.44	432.53	599.49	651.58	490.14	500.46	674.59	460.44	525.39	483.38	536.45	287.01	703.28	397.93	150.17	327.56	813.63	371.22	303.44	896.64	435.55	412.0	665.29	480.04	563.18	595.34	599.49	642.59	389.72	470.14	368.65	454.09	1059.11	842.36	397.93	318.57	432.53	854.13	287.01	728.11	595.34	651.58	507.46	500.46	279.14	688.78	540.19	346.29	854.13	450.94	432.53	500.46	400.71	470.14	1183.45	1340.84	1340.84	1044.52	1268.46	988.12	1540.37	947.83	1295.13	1233.75	624.99	1477.58	775.05	967.76	1350.18	967.76	1175.27	1313.23	1051.79	624.99	1127.35	1268.46	1313.23	1331.57
SGCB	463.65	108.14	348.71	373.81	320.8	103.69	303.44	289.02	253.23	205.5	429.54	283.05	303.44	152.28	157.68	423.61	293.07	69.03	169.07	164.42	140.04	265.87	140.04	171.45	199.85	426.57	181.28	16.27	153.34	305.55	163.28	94.01	532.74	48.18	223.41	251.48	202.66	267.73	318.57	258.57	381.68	114.36	115.16	236.21	98.04	521.76	420.68	115.16	111.21	146.03	389.72	73.54	379.04	236.21	334.46	134.3	231.32	145.02	420.68	149.12	217.27	426.57	158.79	180.02	115.97	96.68	132.44	480.04	511.0	813.63	587.13	559.28	470.14	830.75	447.82	738.29	620.67	486.75	1066.48	579.04	493.56	981.29	412.0	713.11	738.29	540.19	409.15	679.29	813.63	656.11	813.63
SLC12A4	616.37	205.5	547.75	748.61	780.44	202.66	470.14	620.67	497.0	579.04	674.59	470.14	728.11	426.57	251.48	947.83	665.29	212.78	503.95	563.18	236.21	392.44	457.25	346.29	211.31	567.1	507.46	100.13	483.38	656.11	392.44	368.65	915.51	242.88	334.46	563.18	497.0	656.11	587.13	500.46	651.58	414.87	571.05	466.88	109.66	529.06	825.0	529.06	314.17	314.17	438.59	348.71	525.39	480.04	738.29	307.69	575.03	244.57	785.88	341.51	500.46	981.29	698.41	426.57	476.71	426.57	361.04	669.92	1081.39	1233.75	967.76	902.89	748.61	934.76	848.22	759.08	1008.9	728.11	1340.84	1023.0	836.53	1447.15	842.36	1015.93	1119.56	842.36	490.14	915.51	1051.79	656.11	884.29
SLC16A2	199.85	35.25	226.54	253.23	269.6	69.52	120.94	180.02	133.36	115.16	248.0	120.1	202.66	206.94	77.25	262.2	166.73	64.34	78.34	64.34	113.56	84.04	89.51	73.03	66.65	166.73	81.71	6.57	72.01	229.72	71.0	41.22	283.05	19.53	81.71	127.89	101.54	161.02	208.38	191.67	167.9	99.43	68.55	102.97	75.11	224.97	273.37	43.02	59.13	87.65	172.65	68.07	228.13	147.06	191.67	70.01	127.0	47.17	208.38	69.52	173.85	231.32	56.68	118.43	44.89	77.79	59.55	275.28	325.29	412.0	297.17	273.37	215.77	277.2	246.28	258.57	277.2	206.94	450.94	283.05	297.17	392.44	305.55	277.2	414.87	283.05	156.59	246.28	414.87	229.72	231.32
SLC20A2	587.13	251.48	395.18	540.19	595.34	379.04	339.14	387.02	237.86	318.57	603.67	438.59	567.1	291.04	303.44	612.11	493.56	353.59	234.57	244.57	303.44	281.09	450.94	307.69	575.03	241.19	262.2	170.25	232.94	486.75	373.81	341.51	384.34	131.51	381.68	384.34	320.8	358.54	358.54	312.0	503.95	318.57	312.0	291.04	387.02	518.15	616.37	368.65	366.09	389.72	591.22	234.57	536.45	253.23	438.59	346.29	718.08	339.14	743.43	536.45	244.57	698.41	209.84	403.5	353.59	237.86	260.38	540.19	842.36	802.41	665.29	780.44	607.87	693.58	679.29	529.06	759.08	503.95	884.29	612.11	595.34	802.41	612.11	733.19	819.3	591.22	486.75	733.19	718.08	836.53	723.08
SLC25A53	127.89	68.07	97.36	70.01	113.56	55.89	102.25	106.63	84.63	86.43	123.5	80.01	102.25	83.45	88.88	100.83	79.45	82.87	44.57	90.77	87.03	72.01	70.51	80.57	59.13	88.26	90.14	46.18	73.54	119.26	67.59	92.7	105.89	72.01	69.52	74.58	103.69	81.71	100.13	92.7	121.79	70.01	65.72	55.1	81.14	102.97	120.94	101.54	85.82	95.34	127.89	69.03	112.77	65.72	136.19	61.68	72.52	105.89	105.89	90.14	70.51	85.82	92.05	62.12	66.65	55.89	75.11	145.02	169.07	170.25	119.26	136.19	115.16	182.55	119.26	150.17	141.02	65.26	193.01	87.65	161.02	205.5	146.03	166.73	201.25	154.42	85.22	137.14	135.24	157.68	181.28
SMAD3	454.09	169.07	379.04	511.0	583.07	82.87	251.48	397.93	241.19	348.71	432.53	229.72	387.02	204.07	231.32	555.41	417.77	158.79	248.0	363.56	182.55	182.55	314.17	248.0	231.32	312.0	161.02	180.02	251.48	414.87	224.97	208.38	438.59	187.71	228.13	351.14	316.37	361.04	301.33	279.14	429.54	271.48	426.57	176.29	155.5	450.94	559.28	299.25	197.09	309.83	381.68	162.14	329.84	295.11	420.68	234.57	406.31	199.85	616.37	307.69	229.72	529.06	291.04	341.51	218.79	251.48	237.86	551.56	909.17	775.05	540.19	693.58	500.46	536.45	414.87	493.56	674.59	339.14	896.64	490.14	490.14	769.69	796.86	540.19	947.83	500.46	351.14	532.74	620.67	503.95	483.38
SMYD4	134.3	57.49	108.9	120.94	150.17	85.82	152.28	111.99	68.07	104.42	150.17	118.43	169.07	105.89	100.13	111.99	145.02	50.27	76.17	113.56	76.71	84.04	137.14	111.99	85.22	77.25	84.04	68.55	66.65	149.12	88.26	65.72	155.5	66.18	67.59	98.04	84.04	118.43	95.34	107.38	167.9	161.02	138.1	91.41	68.55	141.02	158.79	77.25	76.71	102.25	157.68	77.25	137.14	63.45	149.12	87.03	78.34	86.43	141.02	101.54	83.45	183.82	85.22	102.97	90.77	87.65	122.64	172.65	173.85	271.48	163.28	214.27	194.36	183.82	147.06	189.02	165.57	154.42	248.0	138.1	171.45	182.55	158.79	187.71	214.27	138.1	112.77	181.28	158.79	172.65	220.32
