	TCGA.50.8460.01A.11R.2326.07	GTEX.W5X1.0526.SM.3GILH	GTEX.T8EM.0326.SM.3DB7F	TCGA.J8.A3YH.01A.11R.A22U.07	TCGA.EM.A3AQ.01A.11R.A20F.07	TCGA.BJ.A3EZ.01A.11R.A206.07	TCGA.ET.A3DT.01A.11R.A19O.07	TCGA.FY.A3YR.01A.11R.A22U.07	TCGA.EM.A3FM.01A.11R.A21D.07	TCGA.EL.A3GZ.01A.11R.A20F.07	TCGA.DJ.A3V3.01A.11R.A22U.07	TCGA.KS.A4I7.01A.11R.A250.07	TCGA.DJ.A2Q6.01A.11R.A18C.07	TCGA.E3.A3E2.01A.11R.A20F.07	TCGA.DJ.A2PQ.01A.11R.A18C.07	TCGA.DJ.A2PY.01A.11R.A18C.07	TCGA.DJ.A2PS.01A.11R.A18C.07	TCGA.DJ.A13P.01A.11R.A10U.07	TCGA.IM.A41Y.01A.11R.A23W.07	TCGA.BJ.A45J.01A.11R.A23W.07	TCGA.L6.A4ET.01A.11R.A250.07	TCGA.ET.A3BP.01A.21R.A19O.07	TCGA.E8.A44K.01A.21R.A23W.07	TCGA.EL.A3MW.01A.11R.A20F.07	TCGA.EM.A1CV.01A.11R.A13Y.07	TCGA.BJ.A0Z5.01A.11R.A10U.07	TCGA.ET.A25R.01A.11R.A16R.07	TCGA.FK.A3SG.01A.11R.A22L.07	TCGA.E3.A3E5.01A.11R.A20F.07	TCGA.EM.A3AN.01A.11R.A206.07	TCGA.E8.A3X7.01A.11R.A22U.07	TCGA.DJ.A2Q5.01A.11R.A18C.07	TCGA.FE.A234.01A.11R.A14Y.07	TCGA.EM.A3FJ.01A.11R.A21D.07	TCGA.EM.A2OX.01A.11R.A206.07	TCGA.FE.A232.01A.11R.A14Y.07	TCGA.BJ.A0ZE.01A.11R.A10U.07	TCGA.EL.A3CP.01A.11R.A19O.07	TCGA.DJ.A3VB.01A.11R.A23N.07	TCGA.EL.A3CU.01A.11R.A19O.07	TCGA.DJ.A2PO.01A.21R.A19O.07	TCGA.DJ.A3V7.01A.11R.A23N.07	TCGA.DJ.A3UO.01A.11R.A22L.07	TCGA.EL.A4JZ.01A.11R.A250.07	TCGA.EM.A3AK.01A.11R.A206.07	TCGA.EM.A2P0.01A.11R.A206.07	TCGA.ET.A2N4.01A.12R.A19O.07	TCGA.FE.A3PD.01A.11R.A220.07	TCGA.BJ.A0ZH.01A.11R.A10U.07	TCGA.EL.A3N2.01A.11R.A20F.07	TCGA.EL.A3D4.01A.11R.A19O.07	TCGA.DE.A69J.01A.21R.A39I.07	TCGA.EL.A3H8.01A.11R.A20F.07	TCGA.E3.A3DY.01A.11R.A20F.07	TCGA.DJ.A1QI.01A.11R.A14Y.07	TCGA.DJ.A3UN.01A.11R.A22L.07	TCGA.DJ.A1QN.01A.11R.A14Y.07	TCGA.ET.A40Q.01A.11R.A23N.07	TCGA.J8.A3NZ.01A.11R.A21D.07	TCGA.EM.A4FM.01A.11R.A250.07	TCGA.CE.A483.01A.11R.A23W.07	TCGA.DJ.A1QF.01A.12R.A14Y.07	TCGA.FK.A3S3.01A.11R.A22L.07	TCGA.KS.A4I9.01A.11R.A250.07	TCGA.EM.A4FQ.01A.11R.A250.07	TCGA.EL.A3ZG.01A.11R.A23N.07	TCGA.GE.A2C6.01A.11R.A16R.07	TCGA.DJ.A13V.01A.11R.A10U.07	TCGA.DJ.A1QH.01A.21R.A14Y.07	TCGA.EL.A3GQ.01A.11R.A206.07	TCGA.DE.A69K.01A.11R.A39I.07	TCGA.DJ.A4V4.01A.11R.A250.07	TCGA.FY.A3R8.01A.11R.A220.07	TCGA.DJ.A3V0.01A.11R.A22U.07	TCGA.DO.A1K0.01A.11R.A13Y.07	TCGA.J8.A42S.01A.11R.A23N.07	TCGA.EL.A3GV.01A.11R.A21D.07	TCGA.ET.A3BW.01A.11R.A19O.07	TCGA.DJ.A3VJ.01A.11R.A23N.07	TCGA.BJ.A45H.01A.12R.A23W.07	TCGA.DJ.A2Q3.01A.11R.A18C.07	TCGA.E8.A418.01A.11R.A23N.07	TCGA.EM.A22M.01A.11R.A32Y.07	TCGA.DJ.A3V2.01A.11R.A22U.07
NUP153	237.86	346.29	860.08	151.22	128.79	275.28	309.83	190.34	127.0	212.78	151.22	162.14	285.03	197.09	186.4	271.48	277.2	194.36	128.79	139.07	145.02	173.85	153.34	193.01	248.0	185.11	237.86	186.4	173.85	193.01	100.13	234.57	262.2	170.25	175.07	195.72	147.06	241.19	125.24	318.57	255.0	157.68	154.42	214.27	205.5	279.14	173.85	158.79	170.25	251.48	115.97	232.94	256.78	226.54	246.28	175.07	241.19	178.77	239.52	141.02	226.54	264.03	141.02	186.4	139.07	149.12	260.38	201.25	244.57	316.37	221.86	170.25	226.54	135.24	325.29	181.28	301.33	283.05	186.4	191.67	269.6	197.09	169.07	162.14
NUPL1	444.72	738.29	674.59	224.97	194.36	368.65	366.09	256.78	138.1	283.05	180.02	232.94	348.71	260.38	291.04	406.31	384.34	152.28	195.72	195.72	204.07	275.28	249.73	242.88	366.09	242.88	271.48	198.47	229.72	251.48	163.28	281.09	373.81	253.23	178.77	249.73	214.27	361.04	173.85	429.54	334.46	236.21	231.32	269.6	265.87	339.14	228.13	236.21	241.19	327.56	153.34	371.22	376.41	329.84	343.89	241.19	285.03	255.0	323.03	217.27	379.04	363.56	181.28	297.17	204.07	258.57	316.37	246.28	334.46	444.72	269.6	248.0	343.89	177.53	420.68	228.13	397.93	348.71	285.03	242.88	356.05	356.05	124.37	237.86
OPA1	262.2	441.64	1175.27	194.36	237.86	353.59	366.09	358.54	197.09	307.69	249.73	224.97	395.18	258.57	336.79	476.71	353.59	279.14	220.32	241.19	205.5	251.48	249.73	251.48	387.02	248.0	356.05	234.57	241.19	318.57	205.5	353.59	447.82	244.57	314.17	267.73	301.33	397.93	239.52	450.94	320.8	209.84	242.88	249.73	351.14	518.15	209.84	232.94	244.57	323.03	183.82	381.68	497.0	341.51	493.56	269.6	248.0	246.28	397.93	231.32	312.0	591.22	208.38	279.14	255.0	275.28	379.04	264.03	454.09	647.07	381.68	232.94	325.29	237.86	540.19	236.21	447.82	366.09	260.38	255.0	503.95	264.03	177.53	237.86
OSBPL8	239.52	532.74	579.04	127.89	129.69	320.8	327.56	214.27	92.7	209.84	132.44	150.17	309.83	228.13	246.28	438.59	307.69	271.48	143.01	146.03	138.1	194.36	156.59	246.28	351.14	204.07	185.11	178.77	172.65	208.38	106.63	242.88	403.5	190.34	223.41	167.9	155.5	299.25	180.02	450.94	289.02	172.65	132.44	209.84	253.23	343.89	142.01	190.34	185.11	287.01	92.7	303.44	299.25	277.2	384.34	111.21	229.72	198.47	336.79	186.4	224.97	363.56	129.69	226.54	221.86	181.28	199.85	194.36	299.25	392.44	258.57	180.02	287.01	140.04	363.56	148.09	387.02	236.21	194.36	182.55	379.04	190.34	132.44	164.42
PAK2	406.31	808.0	1806.78	336.79	318.57	525.39	612.11	426.57	379.04	483.38	318.57	334.46	532.74	486.75	457.25	669.92	521.76	438.59	343.89	356.05	323.03	384.34	351.14	444.72	503.95	409.15	417.77	373.81	361.04	423.61	291.04	490.14	684.02	412.0	457.25	454.09	358.54	521.76	406.31	674.59	500.46	325.29	406.31	454.09	435.55	529.06	376.41	371.22	441.64	563.18	314.17	521.76	591.22	521.76	532.74	376.41	483.38	417.77	555.41	432.53	447.82	583.07	293.07	457.25	466.88	406.31	463.65	444.72	587.13	607.87	438.59	361.04	514.56	363.56	638.15	351.14	620.67	483.38	403.5	403.5	633.73	400.71	339.14	371.22
PBRM1	248.0	848.22	934.76	214.27	187.71	305.55	395.18	256.78	143.01	299.25	182.55	223.41	381.68	246.28	301.33	397.93	387.02	279.14	157.68	204.07	183.82	224.97	169.07	281.09	497.0	218.79	323.03	224.97	217.27	264.03	142.01	314.17	384.34	241.19	309.83	220.32	199.85	381.68	169.07	444.72	341.51	201.25	242.88	253.23	327.56	395.18	217.27	237.86	191.67	332.14	173.85	363.56	397.93	339.14	444.72	251.48	356.05	212.78	336.79	169.07	265.87	511.0	237.86	198.47	173.85	221.86	351.14	255.0	336.79	547.75	379.04	208.38	275.28	171.45	490.14	248.0	476.71	358.54	244.57	255.0	381.68	229.72	181.28	229.72
PCMTD1	525.39	1447.15	854.13	412.0	371.22	532.74	842.36	420.68	260.38	583.07	447.82	423.61	651.58	435.55	642.59	669.92	796.86	616.37	403.5	318.57	358.54	444.72	397.93	500.46	698.41	406.31	503.95	351.14	476.71	624.99	246.28	633.73	713.11	507.46	493.56	532.74	403.5	791.35	371.22	848.22	693.58	397.93	447.82	490.14	563.18	738.29	417.77	432.53	373.81	571.05	277.2	583.07	733.19	633.73	769.69	511.0	567.1	454.09	583.07	397.93	583.07	708.18	412.0	450.94	373.81	358.54	612.11	532.74	633.73	872.1	583.07	483.38	624.99	387.02	775.05	473.41	620.67	743.43	486.75	563.18	791.35	373.81	429.54	470.14
PIAS1	193.01	819.3	612.11	287.01	264.03	366.09	473.41	353.59	212.78	361.04	301.33	183.82	486.75	327.56	363.56	454.09	536.45	343.89	307.69	206.94	248.0	285.03	303.44	348.71	563.18	312.0	438.59	316.37	295.11	348.71	158.79	389.72	400.71	269.6	312.0	343.89	218.79	503.95	234.57	514.56	457.25	332.14	297.17	285.03	389.72	493.56	265.87	211.31	273.37	366.09	287.01	400.71	483.38	441.64	444.72	363.56	397.93	273.37	409.15	211.31	457.25	607.87	269.6	269.6	226.54	256.78	466.88	307.69	426.57	775.05	348.71	297.17	392.44	231.32	612.11	299.25	514.56	490.14	325.29	325.29	540.19	351.14	249.73	293.07
PIK3C2A	209.84	432.53	616.37	217.27	198.47	341.51	389.72	279.14	100.13	297.17	208.38	208.38	409.15	246.28	260.38	371.22	392.44	297.17	178.77	226.54	155.5	242.88	187.71	295.11	447.82	255.0	348.71	198.47	236.21	242.88	128.79	301.33	339.14	279.14	327.56	248.0	297.17	426.57	167.9	444.72	381.68	211.31	236.21	260.38	356.05	543.96	241.19	229.72	253.23	348.71	156.59	309.83	423.61	361.04	454.09	258.57	341.51	209.84	384.34	152.28	334.46	441.64	185.11	242.88	191.67	201.25	339.14	253.23	327.56	638.15	325.29	237.86	351.14	166.73	497.0	202.66	521.76	387.02	283.05	287.01	441.64	242.88	155.5	217.27
PIKFYVE	87.65	228.13	287.01	108.14	85.82	149.12	194.36	117.6	47.17	143.01	93.35	105.89	183.82	127.89	139.07	183.82	180.02	131.51	82.87	108.9	85.22	122.64	98.04	127.0	201.25	108.14	128.79	98.04	104.42	111.21	56.68	157.68	156.59	121.79	137.14	99.43	92.7	176.29	78.34	202.66	172.65	100.13	109.66	124.37	166.73	183.82	111.21	124.37	91.41	150.17	71.5	137.14	201.25	156.59	189.02	115.16	154.42	105.89	153.34	77.25	142.01	199.85	87.65	125.24	90.77	104.42	153.34	131.51	140.04	241.19	136.19	100.83	159.9	75.64	191.67	100.13	194.36	171.45	111.99	131.51	178.77	105.89	77.25	109.66
POLR1B	171.45	327.56	264.03	206.94	139.07	239.52	329.84	202.66	105.15	209.84	186.4	151.22	291.04	173.85	231.32	312.0	318.57	246.28	119.26	115.16	170.25	232.94	195.72	251.48	376.41	218.79	255.0	94.67	181.28	212.78	130.6	239.52	221.86	194.36	206.94	224.97	180.02	297.17	107.38	351.14	312.0	167.9	163.28	152.28	262.2	283.05	217.27	156.59	148.09	221.86	163.28	226.54	273.37	271.48	295.11	269.6	305.55	161.02	291.04	165.57	248.0	470.14	165.57	187.71	105.15	244.57	215.77	218.79	297.17	392.44	209.84	171.45	237.86	127.89	323.03	156.59	283.05	348.71	124.37	191.67	287.01	183.82	129.69	195.72
PPIP5K2	283.05	708.18	651.58	339.14	275.28	483.38	493.56	353.59	136.19	463.65	353.59	334.46	521.76	336.79	432.53	612.11	525.39	356.05	309.83	320.8	246.28	297.17	312.0	312.0	470.14	320.8	384.34	293.07	325.29	409.15	170.25	376.41	476.71	312.0	327.56	234.57	301.33	457.25	279.14	567.1	397.93	373.81	265.87	389.72	356.05	490.14	336.79	429.54	295.11	460.44	158.79	409.15	435.55	426.57	536.45	251.48	387.02	356.05	400.71	314.17	466.88	392.44	287.01	435.55	291.04	312.0	368.65	343.89	409.15	579.04	339.14	341.51	429.54	271.48	454.09	325.29	503.95	438.59	371.22	368.65	463.65	332.14	283.05	314.17
PPM1A	698.41	1081.39	1111.82	483.38	444.72	674.59	669.92	603.67	497.0	579.04	403.5	460.44	656.11	532.74	563.18	684.02	620.67	518.15	503.95	441.64	389.72	529.06	409.15	493.56	591.22	429.54	540.19	470.14	493.56	616.37	420.68	551.56	669.92	500.46	529.06	493.56	466.88	591.22	454.09	785.88	532.74	480.04	551.56	603.67	514.56	656.11	500.46	532.74	450.94	629.35	450.94	733.19	688.78	567.1	759.08	466.88	638.15	555.41	679.29	476.71	514.56	587.13	497.0	547.75	392.44	532.74	656.11	493.56	713.11	759.08	579.04	450.94	587.13	438.59	703.28	521.76	703.28	567.1	521.76	521.76	693.58	555.41	551.56	457.25
PPP2R5E	186.4	332.14	612.11	202.66	212.78	281.09	314.17	232.94	217.27	258.57	185.11	204.07	297.17	206.94	314.17	381.68	373.81	309.83	180.02	169.07	153.34	212.78	191.67	242.88	381.68	234.57	260.38	221.86	201.25	224.97	167.9	249.73	356.05	218.79	232.94	228.13	176.29	327.56	166.73	358.54	329.84	197.09	242.88	212.78	234.57	303.44	223.41	234.57	244.57	283.05	186.4	295.11	318.57	301.33	327.56	251.48	265.87	202.66	293.07	178.77	291.04	356.05	193.01	215.77	197.09	214.27	295.11	246.28	332.14	454.09	258.57	201.25	202.66	180.02	356.05	218.79	400.71	314.17	208.38	211.31	358.54	206.94	189.02	190.34
PPP4R2	387.02	579.04	743.43	346.29	361.04	511.0	555.41	417.77	242.88	493.56	273.37	387.02	629.35	432.53	543.96	684.02	612.11	529.06	305.55	318.57	303.44	447.82	279.14	473.41	624.99	379.04	336.79	460.44	373.81	503.95	221.86	450.94	571.05	480.04	409.15	392.44	376.41	629.35	309.83	638.15	497.0	293.07	400.71	412.0	463.65	567.1	397.93	381.68	314.17	514.56	291.04	444.72	629.35	540.19	660.68	376.41	511.0	346.29	563.18	348.71	463.65	583.07	348.71	403.5	316.37	351.14	450.94	423.61	540.19	708.18	417.77	389.72	423.61	287.01	587.13	343.89	708.18	595.34	373.81	423.61	480.04	384.34	281.09	371.22
PPP6R3	571.05	708.18	842.36	764.36	759.08	890.44	941.27	674.59	454.09	854.13	748.61	748.61	967.76	796.86	921.88	1030.12	1081.39	743.43	559.28	647.07	728.11	764.36	642.59	836.53	1313.23	796.86	884.29	684.02	813.63	764.36	497.0	842.36	961.07	723.08	791.35	708.18	571.05	1023.0	529.06	941.27	890.44	591.22	708.18	854.13	842.36	1208.34	819.3	785.88	660.68	974.5	536.45	941.27	1037.29	872.1	866.07	808.0	854.13	718.08	909.17	555.41	921.88	1119.56	674.59	813.63	607.87	616.37	941.27	866.07	860.08	1498.22	872.1	728.11	872.1	599.49	1119.56	825.0	1111.82	1008.9	819.3	836.53	981.29	423.61	571.05	684.02
PRDM10	34.75	142.01	59.13	55.89	40.07	59.97	74.58	58.3	25.72	58.3	47.84	49.91	75.64	54.72	63.0	68.07	65.72	55.89	44.57	41.52	46.18	58.3	47.5	57.89	72.52	49.91	66.18	38.12	57.49	65.26	33.78	61.68	69.03	67.12	53.19	56.28	47.17	80.57	41.52	80.01	70.51	46.18	50.98	60.82	69.03	70.51	50.98	55.89	45.53	70.51	37.05	63.89	73.03	66.18	76.71	66.65	70.01	50.98	60.82	43.02	59.55	81.14	41.52	52.82	40.93	53.57	66.65	57.08	62.56	102.97	65.72	45.21	63.0	42.71	79.45	61.25	72.01	75.64	49.56	67.12	65.72	58.71	38.67	51.71
PRKRIR	412.0	1388.16	1540.37	409.15	403.5	563.18	629.35	511.0	283.05	497.0	395.18	356.05	612.11	483.38	444.72	612.11	567.1	483.38	320.8	384.34	353.59	351.14	366.09	493.56	599.49	346.29	429.54	373.81	339.14	518.15	363.56	525.39	497.0	466.88	397.93	420.68	366.09	555.41	325.29	651.58	480.04	406.31	314.17	441.64	514.56	595.34	363.56	379.04	363.56	497.0	316.37	521.76	543.96	587.13	660.68	392.44	412.0	438.59	543.96	406.31	595.34	603.67	389.72	429.54	325.29	438.59	480.04	450.94	543.96	660.68	486.75	387.02	514.56	381.68	595.34	379.04	543.96	525.39	371.22	497.0	579.04	397.93	353.59	497.0
PTPLB	518.15	713.11	1104.13	262.2	187.71	323.03	366.09	249.73	176.29	309.83	190.34	191.67	343.89	283.05	343.89	341.51	384.34	323.03	199.85	246.28	228.13	224.97	197.09	283.05	403.5	176.29	239.52	208.38	255.0	273.37	161.02	325.29	325.29	295.11	332.14	208.38	197.09	353.59	197.09	403.5	293.07	171.45	262.2	212.78	299.25	348.71	186.4	189.02	224.97	285.03	182.55	307.69	336.79	341.51	366.09	212.78	307.69	232.94	341.51	241.19	281.09	343.89	232.94	255.0	223.41	265.87	256.78	303.44	291.04	368.65	303.44	202.66	287.01	132.44	366.09	182.55	366.09	363.56	283.05	249.73	307.69	251.48	156.59	228.13
PUS7L	28.24	83.45	43.02	41.81	22.92	59.97	73.03	44.25	9.63	43.94	32.36	28.45	64.8	35.0	47.84	65.72	80.57	48.18	33.06	29.06	29.06	38.12	34.51	47.5	63.89	31.0	40.36	22.59	33.78	46.18	17.51	55.1	57.89	30.12	50.63	33.06	36.79	73.03	21.32	85.82	57.08	38.95	35.76	29.27	44.89	75.64	12.74	29.7	28.86	42.41	20.86	59.55	59.97	57.49	77.79	46.84	54.33	36.01	59.97	25.35	60.39	85.22	34.51	42.41	19.39	37.85	39.5	38.4	55.49	107.38	45.21	32.59	58.3	18.7	62.56	34.75	78.89	76.17	40.07	36.27	80.01	43.32	34.51	38.4
QSER1	84.63	224.97	346.29	113.56	83.45	181.28	180.02	120.94	47.17	138.1	106.63	102.97	194.36	127.0	161.02	202.66	186.4	130.6	77.25	97.36	100.83	128.79	103.69	147.06	204.07	117.6	140.04	82.87	107.38	140.04	78.89	163.28	169.07	127.89	116.78	100.13	111.99	206.94	78.89	241.19	169.07	103.69	103.69	104.42	151.22	212.78	94.67	102.97	106.63	166.73	61.25	154.42	201.25	175.07	221.86	107.38	157.68	105.15	193.01	91.41	163.28	236.21	88.88	123.5	87.65	100.83	145.02	142.01	183.82	256.78	138.1	113.56	129.69	86.43	224.97	104.42	193.01	229.72	118.43	122.64	177.53	132.44	83.45	112.77
QTRTD1	170.25	397.93	269.6	149.12	105.15	198.47	223.41	159.9	87.03	206.94	147.06	122.64	241.19	158.79	165.57	224.97	231.32	193.01	88.88	141.02	127.89	146.03	129.69	182.55	172.65	130.6	155.5	99.43	142.01	173.85	88.26	165.57	175.07	169.07	133.36	136.19	120.1	201.25	106.63	246.28	152.28	145.02	150.17	165.57	152.28	226.54	138.1	163.28	139.07	201.25	130.6	172.65	253.23	190.34	221.86	180.02	163.28	166.73	172.65	108.14	180.02	265.87	156.59	153.34	105.15	125.24	209.84	178.77	208.38	285.03	163.28	146.03	181.28	120.94	217.27	144.01	209.84	242.88	150.17	185.11	206.94	149.12	118.43	156.59
RAB3GAP1	603.67	579.04	995.0	420.68	507.46	567.1	638.15	536.45	438.59	547.75	438.59	454.09	612.11	529.06	603.67	703.28	688.78	559.28	450.94	414.87	414.87	514.56	450.94	591.22	723.08	591.22	579.04	432.53	525.39	571.05	387.02	571.05	583.07	575.03	563.18	454.09	441.64	684.02	441.64	624.99	642.59	470.14	490.14	518.15	642.59	638.15	476.71	521.76	540.19	555.41	500.46	638.15	693.58	669.92	616.37	536.45	559.28	480.04	555.41	518.15	551.56	738.29	540.19	497.0	429.54	555.41	532.74	575.03	620.67	698.41	616.37	466.88	559.28	438.59	693.58	483.38	674.59	624.99	473.41	486.75	698.41	540.19	409.15	511.0
RAB3GAP2	180.02	285.03	305.55	178.77	153.34	256.78	258.57	234.57	124.37	221.86	166.73	162.14	273.37	202.66	214.27	289.02	267.73	232.94	167.9	165.57	150.17	187.71	154.42	193.01	285.03	182.55	224.97	161.02	195.72	209.84	116.78	224.97	264.03	191.67	212.78	181.28	172.65	281.09	164.42	309.83	251.48	177.53	182.55	199.85	232.94	297.17	169.07	193.01	176.29	262.2	134.3	244.57	287.01	242.88	299.25	189.02	223.41	187.71	248.0	167.9	258.57	327.56	165.57	206.94	164.42	199.85	236.21	183.82	262.2	376.41	226.54	170.25	262.2	156.59	320.8	177.53	293.07	299.25	189.02	187.71	281.09	197.09	130.6	183.82
RBM18	145.02	473.41	316.37	202.66	185.11	234.57	237.86	208.38	186.4	208.38	153.34	189.02	275.28	239.52	265.87	295.11	307.69	279.14	175.07	166.73	149.12	260.38	175.07	271.48	258.57	187.71	211.31	121.79	221.86	273.37	146.03	251.48	258.57	199.85	241.19	239.52	195.72	256.78	162.14	255.0	264.03	191.67	215.77	177.53	239.52	289.02	189.02	182.55	190.34	212.78	209.84	289.02	273.37	231.32	244.57	204.07	237.86	211.31	236.21	161.02	214.27	295.11	190.34	190.34	142.01	217.27	309.83	199.85	246.28	356.05	224.97	166.73	224.97	189.02	236.21	190.34	301.33	262.2	248.0	228.13	256.78	291.04	180.02	209.84
RBM27	139.07	271.48	323.03	120.1	115.16	183.82	229.72	158.79	88.26	177.53	111.21	128.79	212.78	162.14	197.09	226.54	232.94	194.36	108.9	111.99	106.63	159.9	102.25	172.65	237.86	136.19	185.11	118.43	148.09	169.07	93.35	181.28	209.84	153.34	151.22	133.36	106.63	236.21	102.25	258.57	205.5	116.78	128.79	132.44	180.02	208.38	138.1	135.24	128.79	178.77	99.43	189.02	244.57	211.31	228.13	144.01	183.82	134.3	187.71	119.26	170.25	253.23	120.94	141.02	115.97	124.37	178.77	163.28	209.84	249.73	158.79	134.3	164.42	111.99	237.86	120.1	232.94	214.27	132.44	151.22	221.86	141.02	111.99	145.02
REST	148.09	392.44	309.83	183.82	146.03	228.13	297.17	204.07	99.43	239.52	148.09	214.27	295.11	195.72	249.73	316.37	318.57	291.04	117.6	162.14	166.73	221.86	138.1	217.27	346.29	191.67	201.25	120.1	197.09	223.41	114.36	262.2	277.2	217.27	199.85	173.85	142.01	309.83	111.99	309.83	299.25	150.17	175.07	197.09	251.48	293.07	205.5	182.55	149.12	237.86	127.89	267.73	303.44	283.05	312.0	183.82	314.17	185.11	273.37	131.51	215.77	318.57	155.5	172.65	127.0	162.14	244.57	208.38	241.19	312.0	237.86	163.28	242.88	123.5	299.25	173.85	346.29	329.84	169.07	190.34	262.2	164.42	167.9	194.36
RIF1	73.54	237.86	215.77	101.54	90.77	127.0	170.25	92.7	37.32	129.69	80.57	81.14	156.59	103.69	122.64	171.45	178.77	127.0	62.12	64.34	76.71	84.63	73.54	102.97	167.9	84.04	130.6	57.08	87.65	115.16	67.12	141.02	145.02	113.56	117.6	84.04	57.49	181.28	62.56	201.25	138.1	78.89	90.14	100.83	109.66	157.68	80.57	81.71	67.12	122.64	54.72	133.36	181.28	136.19	157.68	87.65	125.24	88.88	147.06	84.63	124.37	176.29	72.01	92.7	73.03	75.64	169.07	102.97	135.24	239.52	100.83	92.7	111.99	74.06	191.67	94.67	198.47	198.47	88.26	99.43	159.9	88.26	78.89	97.36
RNF141	1233.75	1417.35	1104.13	303.44	291.04	420.68	432.53	341.51	218.79	309.83	253.23	281.09	384.34	262.2	392.44	490.14	490.14	429.54	301.33	309.83	206.94	307.69	251.48	358.54	444.72	265.87	341.51	248.0	285.03	343.89	237.86	358.54	473.41	273.37	438.59	341.51	395.18	414.87	251.48	460.44	429.54	303.44	361.04	314.17	414.87	392.44	301.33	279.14	229.72	395.18	237.86	414.87	454.09	457.25	441.64	343.89	463.65	341.51	476.71	226.54	381.68	389.72	291.04	289.02	255.0	269.6	368.65	327.56	490.14	384.34	406.31	297.17	373.81	212.78	463.65	237.86	543.96	373.81	244.57	329.84	476.71	303.44	251.48	279.14
RNF169	69.52	180.02	316.37	55.49	39.79	85.82	128.79	69.52	50.98	92.05	47.17	56.68	122.64	63.89	98.73	125.24	130.6	100.13	44.25	42.11	50.27	63.45	43.32	87.65	143.01	72.52	98.04	35.0	71.0	81.14	28.45	110.43	111.99	76.71	88.26	72.01	42.41	143.01	32.82	134.3	127.89	44.89	63.0	64.8	89.51	128.79	57.89	43.02	49.91	113.56	40.64	106.63	150.17	105.15	113.56	73.03	98.04	55.1	110.43	38.95	80.01	162.14	54.33	62.56	41.52	36.27	98.73	83.45	104.42	164.42	84.04	56.68	77.25	45.21	153.34	57.89	147.06	128.79	59.55	65.72	136.19	39.22	43.63	68.55
RTF1	287.01	660.68	961.07	417.77	366.09	473.41	476.71	426.57	406.31	507.46	368.65	348.71	547.75	460.44	567.1	599.49	669.92	406.31	325.29	368.65	307.69	395.18	384.34	511.0	532.74	435.55	497.0	358.54	435.55	423.61	309.83	514.56	454.09	406.31	447.82	363.56	366.09	555.41	307.69	607.87	450.94	332.14	384.34	429.54	435.55	463.65	384.34	343.89	381.68	518.15	316.37	454.09	525.39	579.04	511.0	429.54	420.68	414.87	444.72	371.22	412.0	525.39	363.56	406.31	318.57	348.71	532.74	503.95	525.39	607.87	426.57	336.79	457.25	341.51	555.41	417.77	559.28	525.39	387.02	435.55	547.75	373.81	348.71	389.72
SAMD8	111.21	177.53	234.57	147.06	133.36	183.82	197.09	195.72	113.56	189.02	120.1	157.68	236.21	144.01	178.77	255.0	241.19	170.25	129.69	150.17	111.99	190.34	145.02	167.9	224.97	178.77	187.71	178.77	166.73	175.07	136.19	180.02	217.27	153.34	181.28	144.01	94.01	217.27	150.17	248.0	190.34	157.68	167.9	187.71	170.25	212.78	144.01	137.14	170.25	209.84	115.16	186.4	236.21	176.29	224.97	154.42	193.01	164.42	190.34	148.09	173.85	209.84	138.1	181.28	143.01	171.45	217.27	153.34	221.86	239.52	139.07	153.34	187.71	141.02	242.88	145.02	260.38	169.07	164.42	163.28	221.86	208.38	120.94	134.3
SBNO1	87.03	218.79	273.37	125.24	117.6	201.25	209.84	145.02	98.04	189.02	117.6	124.37	212.78	154.42	176.29	214.27	249.73	170.25	109.66	116.78	103.69	156.59	128.79	154.42	232.94	150.17	201.25	144.01	147.06	170.25	90.77	189.02	224.97	140.04	149.12	140.04	171.45	214.27	96.68	214.27	181.28	123.5	130.6	129.69	175.07	244.57	138.1	134.3	132.44	182.55	113.56	186.4	232.94	195.72	234.57	145.02	191.67	131.51	199.85	108.9	178.77	269.6	126.12	127.89	91.41	132.44	182.55	156.59	204.07	283.05	162.14	124.37	156.59	104.42	251.48	120.1	236.21	224.97	137.14	141.02	234.57	149.12	100.13	138.1
SCAI	38.4	234.57	88.26	44.89	22.59	61.68	56.28	52.82	32.13	63.89	35.0	41.22	74.06	53.57	57.89	65.72	71.5	70.01	44.57	29.06	35.5	38.67	38.95	49.56	72.52	62.12	49.56	18.56	54.33	38.4	32.13	55.49	68.07	53.19	46.18	37.05	29.06	74.06	30.34	81.71	69.03	41.22	35.5	36.53	51.71	100.83	27.84	32.59	53.57	80.01	19.11	63.0	81.71	64.8	74.06	39.79	59.13	47.5	64.34	39.22	59.97	73.54	27.05	45.85	44.25	29.27	66.65	48.52	46.84	65.72	42.11	49.91	53.19	46.18	77.79	46.84	94.67	51.35	62.12	38.4	89.51	53.57	40.36	36.27
