	TCGA.FD.A3SM.01A.11R.A22U.07	TCGA.AR.A1AO.01A.11R.A12P.07	TCGA.A8.A08H.01A.21R.A00Z.07	GTEX.W5X1.2326.SM.3GIL6	TCGA.B8.A54E.01A.11R.A266.07	TCGA.HE.7128.01A.11R.1965.07	TCGA.2K.A9WE.01A.11R.A38C.07	TCGA.KV.A6GD.01A.11R.A31O.07	TCGA.4A.A93Y.01A.11R.A37K.07	TCGA.A4.A48D.01A.11R.A24Z.07	TCGA.DZ.6132.01A.11R.1965.07	TCGA.GL.A4EM.01A.11R.A24Z.07	TCGA.Y8.A8S1.01A.11R.A37K.07	TCGA.F9.A97G.01A.11R.A38C.07	TCGA.GL.A9DD.01A.11R.A37K.07	TCGA.B1.5398.01A.02R.1592.07	TCGA.5P.A9KC.01A.11R.A42S.07	TCGA.IA.A83V.01A.11R.A355.07	TCGA.BQ.7059.01A.11R.1965.07	TCGA.DW.7838.01A.11R.2139.07	TCGA.IA.A83T.01A.11R.A355.07	TCGA.DD.AAEE.01A.11R.A41C.07	TCGA.2Y.A9GW.01A.11R.A38B.07	TCGA.G3.A5SM.01A.12R.A28V.07	TCGA.DD.A4NQ.01A.21R.A28V.07	TCGA.DD.A1EG.01A.11R.A213.07	TCGA.DD.AAEI.01A.11R.A41C.07	TCGA.DD.AACL.01A.11R.A41C.07	TCGA.DD.A4NO.01A.11R.A28V.07	TCGA.G3.AAV3.01A.11R.A37K.07	TCGA.DD.AAE1.01A.11R.A41C.07	TCGA.EP.A3JL.01A.11R.A213.07	TCGA.FV.A2QQ.01A.11R.A22L.07	TCGA.DD.A4NR.01A.11R.A311.07	TCGA.G3.A7M7.01A.12R.A352.07	TCGA.K7.A5RG.01A.11R.A28V.07	TCGA.DD.AACQ.01A.11R.A41C.07	TCGA.ZS.A9CD.01A.11R.A37K.07	TCGA.DD.AACZ.01A.11R.A41C.07	TCGA.CC.A3MC.01A.11R.A22L.07	TCGA.CC.5262.01A.01R.A131.07	TCGA.DD.A73A.01A.12R.A32O.07	TCGA.EP.A2KB.01A.11R.A180.07	TCGA.T1.A6J8.01A.11R.A32O.07	TCGA.DD.AACT.01A.11R.A41C.07	TCGA.O8.A75V.01A.11R.A32O.07	TCGA.BD.A3EP.01A.11R.A22L.07	TCGA.G3.A25V.01A.11R.A16W.07	TCGA.CC.A7IK.01A.12R.A33R.07	TCGA.DD.A39Y.01A.11R.A213.07	TCGA.MI.A75H.01A.11R.A32O.07	TCGA.DD.AAC8.01A.11R.A41C.07	TCGA.HP.A5MZ.01A.21R.A27V.07	TCGA.G3.AAV5.01A.11R.A37K.07	TCGA.EP.A2KC.01A.11R.A213.07	TCGA.GJ.A3OU.01A.31R.A38B.07	TCGA.UB.A7MD.01A.12R.A352.07	TCGA.MI.A75E.01A.11R.A32O.07	TCGA.DD.A3A8.11A.11R.A22L.07	TCGA.DD.A113.11A.12R.A131.07	GTEX.13FLV.0326.SM.5N9DJ	GTEX.YFC4.1526.SM.5IFJS	GTEX.X4EO.1126.SM.4QARQ	GTEX.ZYT6.0626.SM.5E45V	GTEX.13N11.0926.SM.5IJG2	GTEX.145MF.0826.SM.5QGQA	GTEX.139TS.1426.SM.5IFJD	GTEX.P78B.1326.SM.3P611	GTEX.13QJC.0726.SM.5RQJK	GTEX.12WSG.0626.SM.5FQTQ	GTEX.1399R.1226.SM.5P9GF	GTEX.RN64.1826.SM.48FDV	GTEX.Q734.0326.SM.48U15	GTEX.REY6.1226.SM.48FDR	GTEX.R53T.0326.SM.48FEC	TCGA.L4.A4E6.01A.11R.A24H.07	TCGA.95.7043.01A.11R.1949.07	TCGA.38.4632.11A.01R.1755.07	GTEX.YF7O.0626.SM.4W21R	GTEX.13D11.0326.SM.5LZXX	GTEX.1313W.0926.SM.5EQ56	GTEX.O5YT.0526.SM.32PK8	GTEX.ZZPU.0526.SM.5E44U	GTEX.13RTJ.1126.SM.5S2UJ	GTEX.QV44.0926.SM.2S1RH	GTEX.P4QR.1026.SM.2I5GP	GTEX.ZT9X.0326.SM.51MTE	GTEX.ZTTD.1126.SM.51MRP	GTEX.S4Q7.0426.SM.3K2BJ	GTEX.R55C.0526.SM.3GIKA	GTEX.YB5E.0726.SM.4VDSH	GTEX.139YR.0926.SM.5LZYB	GTEX.O5YV.0526.SM.2I5GE	GTEX.ZAB4.0626.SM.5CVN3	GTEX.139T6.0426.SM.5IJEM	GTEX.R55G.0826.SM.2TC5U	GTEX.U3ZN.0626.SM.3DB7U	GTEX.P78B.0926.SM.2I5FA	GTEX.132QS.0726.SM.5IJE9	GTEX.PWOO.0726.SM.2I3EB	GTEX.WH7G.0726.SM.3NMBM	GTEX.Y8E4.0526.SM.4V6GC	GTEX.ZPIC.0626.SM.57WDY	GTEX.131XE.0726.SM.5HL9K	GTEX.11P81.0226.SM.5HL5M	GTEX.T8EM.0326.SM.3DB7F	GTEX.XBED.0826.SM.47JYC	GTEX.SUCS.0626.SM.32PM5	GTEX.13OW8.1726.SM.5L3GO	GTEX.14A6H.0526.SM.5NQAZ	TCGA.77.8007.11A.01R.2187.07
KDELC2	194.36	463.65	748.61	1651.0	312.0	287.01	166.73	171.45	348.71	67.59	262.2	116.78	39.79	102.97	153.34	117.6	246.28	167.9	182.55	226.54	94.67	136.19	121.79	132.44	163.28	92.7	102.25	132.44	189.02	90.14	75.11	72.01	60.39	130.6	69.52	149.12	102.97	100.83	172.65	124.37	163.28	110.43	81.71	76.71	51.35	46.84	113.56	123.5	87.03	42.11	61.25	151.22	183.82	47.17	84.63	204.07	108.14	111.99	38.12	156.59	114.36	102.25	68.55	122.64	161.02	81.14	70.01	206.94	138.1	148.09	117.6	56.28	164.42	100.13	137.14	256.78	218.79	265.87	309.83	500.46	215.77	387.02	403.5	748.61	366.09	420.68	356.05	231.32	205.5	733.19	140.04	397.93	1135.2	521.76	457.25	660.68	854.13	209.84	320.8	125.24	387.02	295.11	279.14	320.8	218.79	808.0	341.51	195.72	182.55	466.88	339.14
KIDINS220	435.55	525.39	518.15	1540.37	785.88	480.04	265.87	289.02	312.0	138.1	420.68	194.36	132.44	414.87	346.29	327.56	309.83	249.73	406.31	316.37	133.36	246.28	181.28	169.07	228.13	195.72	172.65	120.1	224.97	162.14	208.38	120.94	118.43	189.02	121.79	256.78	131.51	135.24	228.13	137.14	122.64	189.02	149.12	248.0	159.9	100.83	197.09	137.14	447.82	82.87	109.66	190.34	220.32	98.04	190.34	253.23	164.42	118.43	76.17	194.36	134.3	187.71	164.42	133.36	279.14	138.1	114.36	217.27	131.51	256.78	201.25	167.9	307.69	111.99	232.94	551.56	463.65	348.71	540.19	412.0	409.15	457.25	738.29	595.34	299.25	1127.35	264.03	332.14	305.55	928.3	429.54	500.46	583.07	540.19	507.46	612.11	1066.48	764.36	525.39	193.01	518.15	547.75	665.29	547.75	708.18	813.63	656.11	473.41	417.77	429.54	325.29
KIF5B	1268.46	1191.69	1259.69	2855.44	669.92	1030.12	429.54	567.1	551.56	305.55	947.83	265.87	127.89	559.28	656.11	187.71	665.29	353.59	563.18	825.0	191.67	327.56	329.84	417.77	540.19	432.53	244.57	226.54	444.72	490.14	249.73	215.77	327.56	400.71	329.84	392.44	239.52	327.56	785.88	432.53	309.83	376.41	414.87	420.68	329.84	277.2	575.03	299.25	854.13	248.0	303.44	444.72	400.71	269.6	376.41	633.73	406.31	234.57	98.04	358.54	221.86	366.09	384.34	176.29	406.31	186.4	248.0	205.5	387.02	490.14	281.09	173.85	373.81	193.01	353.59	819.3	884.29	860.08	1143.1	1268.46	1369.04	890.44	1378.57	813.63	934.76	1322.37	808.0	854.13	796.86	1674.06	718.08	909.17	1159.07	1066.48	928.3	1628.26	2271.4	1225.22	1286.18	293.07	967.76	1066.48	981.29	1073.91	1030.12	1781.89	1295.13	629.35	587.13	1037.29	866.07
KITLG	72.52	463.65	780.44	2209.26	123.5	1322.37	521.76	202.66	102.97	121.79	896.64	35.0	21.63	66.18	571.05	51.71	90.77	110.43	967.76	341.51	166.73	42.71	60.82	66.18	199.85	57.08	13.52	40.36	31.45	70.51	53.19	42.71	16.39	44.25	26.67	65.26	12.0	14.03	140.04	92.7	48.18	21.63	22.92	13.52	12.18	17.9	51.35	59.13	201.25	34.02	43.63	43.32	81.71	31.22	84.63	70.01	53.95	26.28	3.72	21.78	33.06	10.79	20.71	37.85	13.12	12.09	23.59	13.03	4.98	25.72	21.16	26.1	48.87	7.34	15.11	713.11	85.22	780.44	813.63	733.19	543.96	260.38	928.3	258.57	384.34	414.87	231.32	312.0	260.38	1594.73	341.51	698.41	791.35	1225.22	620.67	718.08	2240.11	802.41	368.65	119.26	693.58	1216.75	674.59	902.89	961.07	1709.26	872.1	460.44	158.79	954.43	775.05
LPAR1	271.48	567.1	417.77	679.29	52.08	194.36	166.73	155.5	176.29	29.48	486.75	134.3	98.73	84.04	164.42	371.22	59.55	190.34	198.47	234.57	116.78	1.45	27.84	24.99	22.26	16.75	2.51	9.85	10.63	4.1	1.73	14.89	12.83	24.99	2.73	22.92	1.38	28.86	4.58	95.34	9.06	4.06	1.5	27.64	13.03	16.51	32.82	45.21	44.89	0.57	1.83	9.93	40.07	3.53	6.62	67.59	10.24	14.89	6.67	22.1	74.06	25.17	19.39	32.36	17.38	10.96	23.42	4.86	20.86	30.56	19.25	15.11	105.89	4.35	23.59	212.78	579.04	656.11	493.56	642.59	215.77	251.48	205.5	1286.18	165.57	1508.65	156.59	346.29	214.27	642.59	211.31	295.11	1651.0	808.0	397.93	599.49	400.71	191.67	476.71	199.85	209.84	107.38	195.72	327.56	214.27	395.18	70.51	208.38	182.55	249.73	486.75
LTN1	126.12	175.07	191.67	555.41	236.21	146.03	109.66	55.89	86.43	52.82	127.0	64.8	21.94	134.3	113.56	75.11	56.68	44.25	91.41	110.43	22.75	33.54	75.11	72.01	100.13	38.67	54.33	39.22	110.43	39.22	91.41	32.82	42.41	81.71	47.84	105.15	47.5	50.98	82.87	68.07	29.06	81.71	80.01	39.5	58.3	29.7	66.18	48.87	129.69	19.68	48.87	53.95	63.0	45.21	73.54	84.63	57.89	30.56	33.54	85.22	40.93	85.82	63.45	68.07	176.29	74.58	40.36	52.82	50.98	130.6	69.03	115.97	98.73	53.95	129.69	141.02	69.03	120.94	128.79	128.79	96.01	248.0	158.79	110.43	88.88	146.03	98.73	120.94	98.73	379.04	100.13	220.32	150.17	152.28	128.79	198.47	297.17	129.69	161.02	50.98	129.69	201.25	176.29	110.43	148.09	189.02	190.34	136.19	99.43	98.04	108.9
LUZP1	155.5	329.84	368.65	376.41	289.02	301.33	120.94	136.19	151.22	83.45	318.57	127.89	71.5	125.24	180.02	122.64	187.71	77.79	202.66	251.48	75.11	57.49	61.68	67.12	117.6	45.21	40.64	71.5	56.68	68.07	24.81	35.76	32.13	98.73	37.85	78.89	29.06	45.85	98.73	60.39	57.89	51.71	35.0	55.1	43.63	43.94	90.77	48.52	88.26	67.12	47.17	44.25	69.03	37.85	40.64	119.26	52.45	47.17	20.11	28.04	39.5	23.59	22.26	28.45	78.89	34.51	24.63	40.36	32.36	62.56	53.19	29.7	94.67	24.46	43.32	172.65	93.35	131.51	154.42	224.97	265.87	146.03	202.66	94.01	229.72	191.67	86.43	65.72	153.34	336.79	137.14	195.72	229.72	182.55	198.47	281.09	320.8	198.47	215.77	120.1	239.52	206.94	143.01	275.28	201.25	209.84	214.27	139.07	111.21	279.14	161.02
MAP2K4	339.14	318.57	327.56	1199.98	361.04	438.59	271.48	309.83	232.94	239.52	363.56	358.54	169.07	314.17	387.02	297.17	273.37	299.25	341.51	547.75	293.07	142.01	185.11	150.17	132.44	121.79	94.01	121.79	189.02	236.21	151.22	156.59	209.84	223.41	143.01	186.4	108.9	176.29	169.07	123.5	125.24	221.86	312.0	134.3	180.02	93.35	142.01	74.58	170.25	85.82	142.01	249.73	201.25	81.14	115.97	156.59	108.9	127.0	175.07	277.2	190.34	183.82	356.05	258.57	181.28	173.85	212.78	165.57	260.38	511.0	244.57	142.01	237.86	183.82	432.53	258.57	236.21	332.14	435.55	271.48	320.8	373.81	336.79	242.88	226.54	323.03	248.0	283.05	309.83	684.02	336.79	214.27	289.02	220.32	289.02	361.04	638.15	297.17	277.2	167.9	368.65	283.05	403.5	221.86	318.57	902.89	343.89	343.89	325.29	325.29	316.37
MAPRE1	1529.73	2224.63	2417.67	2287.2	1437.15	2502.97	1923.14	1832.01	1832.01	1561.89	2148.82	1467.37	1183.45	1769.57	1397.83	1674.06	1551.09	1572.76	1561.89	2090.03	1551.09	343.89	476.71	497.0	713.11	713.11	293.07	915.51	599.49	417.77	432.53	438.59	417.77	896.64	232.94	967.76	215.77	409.15	1733.13	525.39	529.06	262.2	688.78	480.04	583.07	339.14	785.88	348.71	872.1	327.56	409.15	802.41	503.95	224.97	307.69	1030.12	571.05	358.54	312.0	376.41	441.64	307.69	366.09	163.28	583.07	193.01	220.32	277.2	275.28	624.99	351.14	128.79	476.71	236.21	291.04	1369.04	1721.16	2193.99	2018.8	2609.3	2271.4	2148.82	2090.03	1551.09	1757.34	1583.71	2209.26	1159.07	2090.03	2367.9	1167.14	1977.24	1909.85	1870.53	1662.49	2193.99	3018.3	1378.57	2004.85	1159.07	1583.71	1427.22	1857.6	1313.23	1388.16	2777.33	1819.35	1037.29	1378.57	1551.09	1594.73
MB21D2	169.07	133.36	71.5	128.79	19.82	86.43	62.56	119.26	71.0	46.18	92.05	56.68	33.06	76.71	98.73	47.84	131.51	62.56	98.73	224.97	71.0	6.16	24.81	15.11	6.94	16.27	5.63	26.86	10.79	10.0	4.9	7.57	5.59	14.56	4.86	23.25	2.25	8.85	20.86	8.0	10.08	7.22	6.41	4.46	4.7	10.24	18.29	17.9	6.67	3.72	8.0	7.34	24.11	1.73	5.59	58.3	19.97	16.51	6.41	12.93	33.06	8.38	8.78	6.26	6.89	1.79	5.32	10.63	5.54	19.25	13.32	4.13	37.05	13.12	3.79	54.33	25.54	107.38	363.56	28.65	267.73	146.03	38.12	281.09	131.51	107.38	167.9	37.59	31.9	164.42	68.55	96.01	111.99	84.04	81.71	249.73	320.8	215.77	78.34	100.13	67.59	82.29	36.79	68.55	111.21	136.19	99.43	105.15	40.36	119.26	90.14
MCPH1	111.21	181.28	183.82	334.46	163.28	170.25	105.15	118.43	139.07	83.45	175.07	105.15	43.32	124.37	114.36	78.89	107.38	71.0	124.37	143.01	59.97	62.12	65.72	100.13	155.5	58.3	47.17	69.52	51.35	108.9	77.79	63.89	31.9	74.06	53.57	152.28	59.55	45.21	76.71	57.89	50.27	37.59	105.15	66.65	121.79	52.82	92.05	47.84	171.45	39.79	55.49	120.1	61.68	49.56	69.03	150.17	56.28	54.33	51.71	81.71	99.43	64.34	76.71	72.52	98.73	76.71	75.64	71.0	72.01	131.51	93.35	44.89	77.79	55.89	131.51	122.64	105.89	165.57	163.28	169.07	108.9	283.05	139.07	231.32	218.79	199.85	176.29	161.02	144.01	248.0	106.63	215.77	185.11	251.48	120.1	190.34	293.07	220.32	176.29	101.54	186.4	256.78	226.54	291.04	218.79	283.05	169.07	134.3	154.42	158.79	162.14
MED4	1697.45	1350.18	1304.15	2796.65	1216.75	890.44	915.51	909.17	941.27	620.67	1037.29	616.37	348.71	780.44	848.22	679.29	813.63	718.08	890.44	1242.34	587.13	579.04	995.0	591.22	493.56	988.12	346.29	591.22	693.58	890.44	896.64	934.76	884.29	514.56	748.61	884.29	470.14	769.69	974.5	571.05	595.34	842.36	1015.93	878.17	759.08	921.88	1051.79	988.12	860.08	438.59	769.69	563.18	928.3	679.29	1023.0	656.11	769.69	909.17	426.57	703.28	780.44	775.05	813.63	651.58	1628.26	808.0	954.43	780.44	688.78	995.0	743.43	511.0	836.53	860.08	473.41	921.88	1286.18	1295.13	1628.26	1225.22	1008.9	1191.69	1794.29	1001.93	785.88	728.11	1066.48	1378.57	1225.22	2075.59	1331.57	884.29	1008.9	1233.75	1199.98	1313.23	1572.76	1199.98	1331.57	607.87	1605.83	1407.55	1216.75	1397.83	1268.46	1991.0	1407.55	954.43	753.83	1143.1	1304.15
METTL25	58.3	99.43	114.36	256.78	82.87	129.69	133.36	130.6	87.65	55.89	120.1	64.34	36.79	75.64	110.43	66.18	132.44	80.57	143.01	72.01	105.15	55.89	77.79	36.01	64.8	40.07	62.12	98.73	33.06	86.43	112.77	50.27	104.42	90.77	56.28	154.42	103.69	45.21	87.03	44.89	78.34	74.58	109.66	72.01	59.97	86.43	105.89	76.71	77.25	48.87	68.55	70.01	90.77	65.26	80.57	90.77	57.49	74.58	39.5	50.27	78.34	47.5	38.12	69.03	48.18	65.72	78.89	51.71	51.71	59.13	32.36	77.25	43.94	37.32	69.52	112.77	34.26	128.79	135.24	105.15	115.16	209.84	124.37	125.24	251.48	85.22	149.12	159.9	96.01	209.84	156.59	122.64	151.22	94.01	121.79	121.79	143.01	182.55	77.25	95.34	126.12	153.34	111.99	141.02	141.02	156.59	96.01	140.04	61.68	127.89	151.22
MLH1	547.75	708.18	693.58	1477.58	470.14	543.96	511.0	514.56	368.65	463.65	540.19	450.94	409.15	414.87	521.76	490.14	457.25	432.53	417.77	651.58	403.5	447.82	381.68	353.59	511.0	371.22	334.46	242.88	343.89	409.15	289.02	309.83	376.41	403.5	361.04	503.95	329.84	267.73	555.41	379.04	432.53	493.56	277.2	379.04	269.6	293.07	414.87	409.15	507.46	346.29	305.55	329.84	358.54	368.65	334.46	435.55	260.38	490.14	293.07	289.02	285.03	309.83	234.57	194.36	638.15	361.04	255.0	341.51	267.73	403.5	366.09	301.33	406.31	334.46	381.68	500.46	341.51	616.37	571.05	738.29	438.59	954.43	633.73	409.15	656.11	665.29	656.11	579.04	713.11	1001.93	387.02	738.29	591.22	679.29	603.67	728.11	769.69	529.06	620.67	660.68	642.59	511.0	684.02	607.87	674.59	684.02	624.99	532.74	403.5	591.22	612.11
MOB1A	1551.09	1628.26	1769.57	2133.97	1331.57	1721.16	981.29	988.12	1167.14	995.0	1561.89	813.63	473.41	1397.83	1044.52	1001.93	1277.29	651.58	1437.15	1066.48	624.99	392.44	429.54	376.41	603.67	429.54	277.2	497.0	444.72	450.94	444.72	260.38	327.56	620.67	215.77	928.3	289.02	297.17	703.28	253.23	441.64	387.02	312.0	480.04	267.73	256.78	466.88	368.65	743.43	214.27	320.8	397.93	441.64	209.84	423.61	909.17	493.56	356.05	228.13	348.71	371.22	361.04	291.04	297.17	480.04	314.17	379.04	381.68	307.69	532.74	486.75	237.86	579.04	314.17	791.35	1208.34	1023.0	1857.6	1519.15	1844.76	1697.45	1498.22	1721.16	1359.57	1685.71	1651.0	2664.15	1268.46	1794.29	1844.76	1313.23	2090.03	2004.85	1417.35	1143.1	1757.34	2178.83	1685.71	1073.91	866.07	1378.57	1662.49	1605.83	1457.23	1540.37	2240.11	2271.4	830.75	909.17	1277.29	1519.15
MSANTD4	129.69	229.72	189.02	995.0	206.94	194.36	134.3	127.89	178.77	77.25	269.6	142.01	39.22	177.53	195.72	145.02	96.01	115.97	197.09	178.77	80.57	90.77	62.12	59.55	84.63	53.57	29.27	89.51	61.68	58.71	77.25	32.36	64.34	87.03	32.13	92.05	18.16	40.93	49.91	9.06	119.26	58.71	37.59	79.45	46.84	18.16	117.6	56.68	110.43	15.34	11.47	115.16	51.35	28.65	69.03	108.14	84.04	65.26	34.51	61.25	41.81	98.04	46.18	80.01	166.73	26.1	68.07	67.59	57.08	102.97	156.59	37.32	169.07	10.71	108.14	150.17	198.47	177.53	177.53	217.27	181.28	346.29	237.86	169.07	206.94	260.38	289.02	206.94	269.6	265.87	155.5	242.88	277.2	220.32	231.32	226.54	420.68	241.19	218.79	123.5	253.23	204.07	320.8	217.27	291.04	236.21	258.57	170.25	92.7	163.28	194.36
MTMR6	251.48	251.48	332.14	854.13	507.46	287.01	157.68	146.03	211.31	142.01	283.05	158.79	50.98	371.22	199.85	182.55	220.32	135.24	187.71	287.01	77.25	62.12	148.09	85.22	87.65	127.89	72.52	45.53	142.01	100.13	90.77	78.34	92.05	126.12	81.71	143.01	88.88	91.41	182.55	61.25	74.06	150.17	86.43	133.36	128.79	61.25	165.57	100.13	91.41	32.36	70.51	110.43	152.28	81.71	156.59	163.28	111.21	94.67	41.81	101.54	102.97	100.83	118.43	81.14	173.85	105.15	90.14	74.06	123.5	175.07	101.54	62.12	92.7	127.0	105.89	223.41	234.57	470.14	476.71	389.72	303.44	693.58	587.13	307.69	325.29	305.55	525.39	312.0	476.71	780.44	389.72	320.8	346.29	346.29	339.14	432.53	723.08	373.81	289.02	241.19	429.54	327.56	551.56	297.17	325.29	934.76	791.35	277.2	409.15	289.02	384.34
NEDD1	190.34	242.88	314.17	536.45	112.77	277.2	120.94	72.01	118.43	100.83	214.27	120.1	30.78	145.02	148.09	100.83	182.55	77.25	217.27	142.01	62.12	74.58	87.03	65.26	88.26	63.45	75.64	38.67	53.95	44.89	64.34	53.57	56.28	120.1	42.41	142.01	40.64	47.84	129.69	58.71	64.34	78.89	59.55	57.08	46.18	30.56	92.05	51.71	118.43	51.35	39.5	54.33	87.03	30.78	69.52	113.56	88.26	45.85	17.9	48.18	43.94	34.02	29.06	34.02	108.14	26.86	36.27	61.68	32.13	116.78	53.57	20.71	59.55	27.64	66.18	119.26	159.9	171.45	212.78	202.66	164.42	265.87	205.5	218.79	194.36	285.03	215.77	165.57	126.12	412.0	111.21	221.86	265.87	217.27	157.68	246.28	571.05	190.34	172.65	82.29	226.54	218.79	164.42	190.34	265.87	318.57	202.66	161.02	95.34	138.1	146.03
NPTN	3349.13	2163.77	2351.53	4298.64	2133.97	2609.3	1378.57	1143.1	2224.63	2032.85	2240.11	2061.24	1417.35	2271.4	1832.01	1508.65	1250.98	2004.85	2720.15	2178.83	1250.98	1073.91	915.51	1088.92	848.22	1119.56	934.76	543.96	1857.6	1037.29	961.07	669.92	591.22	1015.93	599.49	1073.91	954.43	967.76	1757.34	2061.24	1051.79	1008.9	651.58	1540.37	1081.39	854.13	1044.52	1023.0	753.83	346.29	674.59	995.0	1437.15	713.11	1191.69	1183.45	1073.91	1369.04	785.88	808.0	802.41	669.92	511.0	651.58	1233.75	941.27	842.36	791.35	547.75	1066.48	1008.9	435.55	1870.53	866.07	1225.22	1617.0	1651.0	2367.9	3794.3	4123.49	2271.4	2384.37	3540.14	2895.31	1639.59	3325.99	2537.92	981.29	2720.15	3443.31	2148.82	2367.9	2367.9	2240.11	3146.52	4802.93	3540.14	2271.4	2915.45	1388.16	3690.52	1697.45	2351.53	2935.74	2875.3	2645.74	3419.52	2104.58	1896.65	1757.34	2148.82
NSUN3	127.0	161.02	139.07	170.25	129.69	195.72	139.07	81.71	85.82	98.73	161.02	58.3	58.3	107.38	161.02	120.94	148.09	65.72	102.97	120.94	54.33	96.68	75.11	92.7	115.97	77.79	74.58	59.97	65.26	85.22	69.03	49.56	69.52	83.45	52.45	122.64	76.71	52.45	84.04	69.52	59.13	81.14	82.87	115.97	82.29	41.81	80.01	63.45	169.07	63.89	65.26	99.43	61.68	56.68	67.59	103.69	123.5	74.06	64.34	60.39	74.06	64.34	58.3	51.71	118.43	59.97	65.72	61.68	88.26	108.14	105.15	54.72	80.57	78.34	81.14	120.1	206.94	178.77	131.51	197.09	101.54	189.02	145.02	275.28	157.68	297.17	182.55	135.24	166.73	231.32	93.35	287.01	253.23	201.25	137.14	128.79	234.57	138.1	127.0	148.09	167.9	236.21	151.22	251.48	234.57	217.27	163.28	111.99	127.89	202.66	131.51
NT5C2	3419.52	1037.29	1183.45	1259.69	1388.16	775.05	780.44	612.11	902.89	587.13	909.17	493.56	563.18	547.75	693.58	796.86	878.17	656.11	693.58	988.12	583.07	483.38	417.77	713.11	603.67	500.46	486.75	698.41	656.11	497.0	775.05	318.57	397.93	684.02	435.55	660.68	163.28	435.55	559.28	438.59	441.64	353.59	1111.82	575.03	503.95	341.51	466.88	441.64	860.08	186.4	305.55	543.96	493.56	429.54	536.45	688.78	295.11	381.68	242.88	480.04	353.59	583.07	366.09	221.86	447.82	336.79	269.6	387.02	307.69	559.28	525.39	397.93	915.51	275.28	486.75	1225.22	1322.37	1208.34	785.88	878.17	1096.5	1242.34	1447.15	1023.0	872.1	2193.99	1242.34	819.3	1066.48	1447.15	909.17	1268.46	928.3	1551.09	1277.29	1250.98	1417.35	1167.14	872.1	915.51	791.35	934.76	890.44	1242.34	1685.71	1662.49	1167.14	909.17	1233.75	1119.56	1159.07
PAFAH1B2	1066.48	1044.52	866.07	1498.22	808.0	1001.93	669.92	665.29	684.02	703.28	1008.9	665.29	341.51	432.53	743.43	785.88	830.75	791.35	854.13	866.07	638.15	493.56	476.71	403.5	591.22	463.65	307.69	579.04	483.38	366.09	366.09	299.25	343.89	438.59	417.77	363.56	426.57	423.61	629.35	480.04	543.96	514.56	395.18	417.77	348.71	318.57	555.41	486.75	358.54	507.46	303.44	486.75	379.04	379.04	397.93	647.07	435.55	392.44	265.87	476.71	281.09	497.0	723.08	253.23	406.31	285.03	363.56	295.11	620.67	679.29	346.29	234.57	420.68	486.75	476.71	708.18	620.67	753.83	1088.92	651.58	1350.18	1159.07	713.11	890.44	981.29	1250.98	718.08	902.89	775.05	1304.15	878.17	629.35	1340.84	703.28	764.36	890.44	1015.93	995.0	470.14	595.34	738.29	733.19	808.0	902.89	947.83	1407.55	896.64	497.0	624.99	915.51	624.99
PAPOLG	189.02	178.77	161.02	387.02	90.77	258.57	115.16	118.43	96.68	44.25	125.24	43.63	44.25	80.57	103.69	77.25	72.52	71.5	110.43	111.21	54.72	40.93	72.01	40.93	64.8	64.34	33.06	63.89	72.01	46.84	52.82	42.41	40.07	77.25	32.82	105.89	59.55	39.5	86.43	56.28	70.01	71.0	45.85	57.49	47.17	38.67	79.45	54.33	120.94	29.27	42.71	54.72	69.03	35.0	65.72	102.97	59.97	45.53	25.17	46.18	59.97	72.01	35.0	39.22	50.63	44.57	35.5	36.79	63.89	84.63	36.79	39.5	78.89	30.12	62.56	135.24	133.36	130.6	131.51	107.38	127.0	166.73	134.3	204.07	162.14	295.11	111.99	169.07	108.9	181.28	115.97	163.28	181.28	229.72	128.79	117.6	205.5	159.9	100.13	120.1	127.89	150.17	123.5	185.11	181.28	135.24	115.97	159.9	525.39	155.5	142.01
PDCL	172.65	483.38	334.46	486.75	202.66	275.28	221.86	164.42	281.09	138.1	293.07	123.5	152.28	217.27	186.4	217.27	155.5	193.01	258.57	197.09	167.9	134.3	136.19	119.26	183.82	127.89	82.87	123.5	69.52	161.02	131.51	80.57	76.71	133.36	66.65	190.34	102.25	99.43	130.6	115.16	109.66	109.66	117.6	57.49	107.38	70.51	161.02	115.97	269.6	89.51	98.04	148.09	124.37	70.51	138.1	214.27	154.42	90.77	49.21	64.8	59.13	84.04	39.22	77.79	146.03	62.56	59.55	87.65	49.56	96.01	121.79	56.68	181.28	43.94	138.1	293.07	438.59	371.22	679.29	483.38	466.88	291.04	559.28	246.28	368.65	368.65	417.77	318.57	373.81	543.96	607.87	366.09	397.93	384.34	555.41	460.44	409.15	571.05	429.54	153.34	514.56	476.71	579.04	529.06	559.28	312.0	414.87	353.59	253.23	426.57	271.48
