	TCGA.AK.3447.01A.01R.1766.07	GTEX.Y5LM.0426.SM.4VBRO	TCGA.V1.A9OH.01A.11R.A41O.07	TCGA.XK.AAK1.01A.11R.A41O.07	TCGA.G9.7522.01A.11R.2263.07	TCGA.G9.6385.01A.11R.1789.07	TCGA.VN.A943.01A.11R.A41O.07	TCGA.EJ.A7NK.01A.12R.A352.07	TCGA.VN.A88R.01A.11R.A36G.07	TCGA.EJ.A46D.01A.21R.A32Y.07	TCGA.G9.6351.01A.21R.1965.07	TCGA.XJ.A83H.01A.11R.A352.07	TCGA.J4.A67T.01A.11R.A311.07	TCGA.VP.A879.01A.11R.A352.07	TCGA.KK.A7B4.01A.11R.A32O.07	TCGA.KK.A6E0.01A.11R.A311.07	TCGA.EJ.AB27.01A.11R.A41O.07	TCGA.KK.A6DY.01A.12R.A311.07	TCGA.XK.AAIR.01A.11R.A41O.07	TCGA.XJ.A9DI.01A.11R.A37L.07	TCGA.G9.6333.01A.12R.1965.07	TCGA.G9.6348.01A.11R.1789.07	TCGA.V1.A8X3.01A.11R.A37L.07	TCGA.G9.6366.01A.11R.2118.07	TCGA.HC.7749.01A.11R.2118.07	TCGA.KK.A8IM.01A.11R.A36G.07	TCGA.V1.A8ML.01A.11R.A37L.07	TCGA.M7.A720.01A.12R.A32O.07	TCGA.EJ.A46I.01A.12R.A26U.07	TCGA.EJ.7317.01A.31R.2118.07	TCGA.HC.8260.01A.11R.2263.07	TCGA.YL.A8SR.01B.11R.A37L.07	TCGA.Y6.A8TL.01A.21R.A37L.07	TCGA.VP.A87B.01A.11R.A352.07	TCGA.CH.5746.01A.11R.1580.07	TCGA.HC.7075.01A.11R.1965.07	TCGA.YL.A8SI.01A.11R.A41O.07	TCGA.YL.A8SH.01B.11R.A37L.07	TCGA.G9.7525.01A.31R.2263.07	TCGA.G9.6367.01A.11R.1789.07	TCGA.G9.6499.01A.12R.1965.07	TCGA.EJ.A8FO.01A.21R.A36G.07	TCGA.EJ.A6RC.01A.11R.A32O.07	TCGA.YL.A8SA.01A.21R.A37L.07	TCGA.CH.5753.01A.11R.1580.07	TCGA.J9.A8CN.01A.11R.A352.07	TCGA.G9.6371.01A.11R.1789.07	TCGA.EJ.8470.01A.11R.2403.07	TCGA.J4.A83L.01A.11R.A352.07	TCGA.2A.AAYF.01A.11R.A41O.07	TCGA.EJ.8468.01A.21R.2403.07	TCGA.EJ.A65G.01A.21R.A29R.07	TCGA.J4.A83I.01A.11R.A36G.07	TCGA.EJ.5510.01A.01R.1580.07	TCGA.V1.A9OF.01A.11R.A41O.07	TCGA.HC.8256.01A.11R.2263.07	TCGA.EJ.5509.01A.01R.1580.07	TCGA.EJ.5517.01A.01R.1580.07	TCGA.YL.A9WX.01A.21R.A41O.07	TCGA.EJ.5505.01A.01R.1580.07	TCGA.YL.A8SK.01B.21R.A37L.07	TCGA.WW.A8ZI.01A.11R.A37L.07	TCGA.V1.A8MG.01A.11R.A36G.07	TCGA.EJ.A8FU.01A.11R.A36G.07	TCGA.V1.A9OA.01A.11R.A41O.07	TCGA.YL.A8SQ.01B.11R.A37L.07	TCGA.M7.A724.01A.12R.A32O.07	TCGA.EJ.7318.01B.11R.A32O.07	TCGA.G9.6336.01A.11R.1789.07	TCGA.EJ.A7NJ.01A.22R.A352.07	TCGA.YL.A8HK.01A.11R.A36G.07	TCGA.EJ.A8FS.01A.11R.A352.07	TCGA.V1.A9OQ.01A.11R.A41O.07	TCGA.HC.8261.01A.11R.2263.07	TCGA.2A.A8VV.01A.11R.A37L.07	TCGA.EJ.7312.01B.21R.A32O.07	TCGA.YL.A9WJ.01A.11R.A37L.07	TCGA.H9.7775.01A.11R.2118.07	TCGA.XK.AAJR.01A.11R.A41O.07	TCGA.J9.A8CP.01A.11R.A352.07	TCGA.QU.A6IP.01A.11R.A31N.07	TCGA.G9.7509.01A.11R.A41O.07	TCGA.V1.A8WL.01A.11R.A37L.07	TCGA.EJ.7123.01A.11R.1965.07	TCGA.EJ.7115.01A.11R.2118.07	TCGA.YL.A8SB.01A.31R.A37L.07	TCGA.HC.7819.01A.11R.2118.07	TCGA.J4.A83K.01A.11R.A352.07	TCGA.EJ.5532.01A.01R.1580.07	TCGA.EJ.7789.01A.11R.2118.07	TCGA.YL.A8S9.01A.11R.A37L.07	TCGA.EJ.7793.01A.31R.2263.07	TCGA.EJ.7218.01B.11R.A32O.07	TCGA.J4.A83M.01A.11R.A352.07	TCGA.2A.A8VT.01A.11R.A37L.07	TCGA.HC.7211.01A.11R.2118.07	TCGA.VP.A87D.01A.11R.A352.07	TCGA.J4.AAU2.01A.11R.A41O.07	TCGA.XA.A8JR.01A.11R.A36G.07	TCGA.YL.A8SJ.01B.11R.A37L.07	TCGA.XK.AAJP.01A.11R.A41O.07	TCGA.KK.A8IH.01A.11R.A36G.07	TCGA.HC.8213.01A.11R.A29R.07	TCGA.HC.7747.01A.11R.2118.07	TCGA.EJ.A6RA.01A.11R.A33R.07	TCGA.Y6.A9XI.01A.11R.A41O.07	TCGA.HC.7820.01A.11R.2118.07	TCGA.XJ.A83G.01A.11R.A352.07	TCGA.HC.8259.01A.11R.2263.07	TCGA.SU.A7E7.01A.22R.A33R.07	TCGA.VP.A875.01A.31R.A352.07	TCGA.EJ.A65F.01A.21R.A311.07	TCGA.G9.6332.01A.11R.1789.07	TCGA.V1.A8MK.01A.11R.A36G.07	TCGA.EJ.7786.01A.11R.2118.07	TCGA.G9.6494.01A.11R.1789.07	TCGA.KK.A8IA.01A.11R.A36G.07	TCGA.G9.6377.01A.11R.1965.07	TCGA.ZG.A9ND.01A.11R.A41O.07	TCGA.HC.8258.01A.11R.2263.07	TCGA.KK.A8I6.01A.11R.A36G.07	TCGA.EJ.5521.01A.01R.1580.07	TCGA.EJ.7125.01A.11R.1965.07	TCGA.CH.5737.01A.11R.1580.07	TCGA.G9.7519.01A.11R.2263.07	TCGA.FC.A8O0.01A.41R.A37L.07	TCGA.G9.7510.01A.11R.2263.07	TCGA.2A.A8VO.01A.11R.A37L.07	TCGA.XK.AAJA.01A.11R.A41O.07	TCGA.KK.A6E5.01A.11R.A311.07	TCGA.EJ.A7NH.01A.12R.A33R.07	TCGA.V1.A9ZK.01A.11R.A41O.07	TCGA.2A.A8VL.01A.21R.A37L.07	TCGA.VP.A87K.01A.11R.A352.07	TCGA.HC.7077.01A.11R.1965.07	TCGA.J4.A83N.01A.11R.A352.07	TCGA.EJ.A7NF.01A.11R.A33R.07	TCGA.EJ.7327.11A.01R.2118.07	TCGA.HC.7819.11A.01R.2118.07	TCGA.EJ.7115.11A.01R.2118.07	TCGA.HC.8260.11A.01R.2263.07	TCGA.J4.A83J.11A.11R.A36G.07	TCGA.EJ.7125.11A.01R.1965.07	TCGA.G9.6351.11A.01R.1965.07	TCGA.HC.7742.11A.01R.2118.07	TCGA.G9.6384.11A.01R.1858.07	TCGA.EJ.7317.11A.01R.2118.07	TCGA.HC.8259.11A.01R.2263.07	TCGA.G9.6342.11A.02R.1965.07	GTEX.ZTX8.1026.SM.5EGHD
PRPF39	181.28	81.71	409.15	303.44	299.25	305.55	420.68	567.1	503.95	540.19	262.2	438.59	525.39	599.49	603.67	381.68	417.77	718.08	521.76	723.08	420.68	244.57	567.1	191.67	400.71	703.28	480.04	447.82	599.49	199.85	780.44	547.75	642.59	358.54	718.08	363.56	466.88	748.61	208.38	201.25	307.69	514.56	403.5	669.92	1037.29	409.15	199.85	791.35	559.28	348.71	575.03	674.59	718.08	265.87	603.67	426.57	264.03	356.05	642.59	403.5	698.41	890.44	708.18	567.1	543.96	559.28	438.59	318.57	299.25	559.28	638.15	571.05	438.59	497.0	497.0	329.84	647.07	412.0	397.93	432.53	620.67	470.14	647.07	295.11	334.46	607.87	500.46	603.67	368.65	733.19	521.76	295.11	376.41	703.28	656.11	525.39	642.59	406.31	486.75	633.73	603.67	796.86	536.45	279.14	493.56	698.41	450.94	395.18	567.1	638.15	836.53	599.49	299.25	529.06	525.39	299.25	669.92	241.19	356.05	463.65	684.02	228.13	220.32	236.21	244.57	543.96	275.28	660.68	1001.93	536.45	703.28	414.87	698.41	591.22	305.55	514.56	603.67	387.02	384.34	397.93	543.96	543.96	358.54	241.19	285.03	234.57	389.72	500.46	218.79	177.53
RAD52	11.82	41.52	105.89	86.43	105.15	94.67	170.25	236.21	94.01	237.86	100.83	112.77	119.26	301.33	256.78	147.06	115.16	231.32	236.21	387.02	102.25	76.17	141.02	85.82	209.84	329.84	100.13	197.09	258.57	126.12	291.04	146.03	169.07	204.07	283.05	105.15	176.29	158.79	90.14	74.58	56.68	185.11	147.06	234.57	269.6	121.79	97.36	299.25	262.2	163.28	146.03	131.51	287.01	73.03	281.09	150.17	170.25	87.03	368.65	135.24	239.52	376.41	287.01	199.85	397.93	273.37	162.14	70.01	75.64	187.71	314.17	74.58	142.01	193.01	202.66	83.45	221.86	135.24	175.07	74.06	176.29	214.27	146.03	144.01	128.79	264.03	190.34	249.73	141.02	181.28	209.84	88.88	159.9	307.69	127.0	164.42	267.73	176.29	128.79	376.41	125.24	258.57	141.02	101.54	134.3	229.72	177.53	144.01	162.14	260.38	277.2	186.4	112.77	175.07	171.45	101.54	303.44	63.45	152.28	164.42	255.0	77.79	76.17	143.01	60.39	267.73	84.04	143.01	381.68	98.73	170.25	176.29	181.28	187.71	129.69	123.5	206.94	137.14	137.14	226.54	186.4	293.07	118.43	124.37	85.82	81.14	139.07	170.25	117.6	96.01
RBBP6	212.78	198.47	647.07	571.05	624.99	493.56	612.11	759.08	575.03	825.0	490.14	941.27	684.02	743.43	890.44	409.15	708.18	988.12	599.49	967.76	638.15	571.05	656.11	444.72	567.1	748.61	587.13	674.59	698.41	387.02	775.05	698.41	583.07	507.46	967.76	507.46	698.41	708.18	397.93	480.04	599.49	723.08	629.35	842.36	1322.37	591.22	420.68	866.07	775.05	571.05	819.3	679.29	902.89	529.06	616.37	616.37	547.75	547.75	988.12	591.22	1104.13	723.08	825.0	780.44	1051.79	769.69	591.22	503.95	518.15	656.11	954.43	551.56	518.15	638.15	698.41	651.58	743.43	587.13	633.73	571.05	713.11	665.29	708.18	575.03	599.49	753.83	860.08	780.44	529.06	842.36	624.99	579.04	503.95	796.86	1008.9	791.35	941.27	583.07	656.11	854.13	587.13	660.68	660.68	660.68	620.67	769.69	679.29	444.72	688.78	947.83	808.0	764.36	486.75	688.78	651.58	500.46	775.05	587.13	759.08	698.41	669.92	483.38	532.74	660.68	395.18	718.08	743.43	688.78	753.83	616.37	808.0	518.15	780.44	785.88	669.92	836.53	525.39	511.0	638.15	551.56	733.19	1059.11	460.44	435.55	642.59	607.87	575.03	660.68	406.31	473.41
RBM25	77.25	187.71	543.96	346.29	693.58	514.56	616.37	909.17	470.14	780.44	490.14	693.58	988.12	791.35	819.3	669.92	616.37	1151.06	819.3	1030.12	633.73	476.71	733.19	536.45	665.29	1015.93	633.73	819.3	934.76	463.65	1191.69	896.64	928.3	703.28	1167.14	718.08	748.61	890.44	361.04	543.96	684.02	738.29	693.58	954.43	1487.87	603.67	540.19	1605.83	813.63	616.37	1199.98	842.36	665.29	651.58	703.28	620.67	529.06	665.29	928.3	723.08	1096.5	1127.35	941.27	902.89	860.08	830.75	555.41	356.05	529.06	848.22	1216.75	563.18	660.68	723.08	780.44	409.15	1001.93	728.11	575.03	718.08	723.08	769.69	780.44	647.07	536.45	854.13	854.13	896.64	684.02	1111.82	723.08	607.87	567.1	780.44	1073.91	947.83	791.35	651.58	684.02	866.07	764.36	941.27	599.49	447.82	551.56	915.51	796.86	551.56	878.17	981.29	808.0	780.44	493.56	813.63	796.86	480.04	902.89	616.37	674.59	713.11	733.19	441.64	684.02	559.28	389.72	723.08	540.19	718.08	1143.1	591.22	909.17	612.11	860.08	759.08	587.13	651.58	674.59	679.29	764.36	612.11	854.13	981.29	397.93	423.61	551.56	518.15	607.87	878.17	429.54	483.38
RBM33	72.52	141.02	169.07	127.89	215.77	234.57	202.66	403.5	176.29	320.8	167.9	283.05	351.14	384.34	417.77	197.09	231.32	414.87	244.57	457.25	170.25	161.02	312.0	102.97	234.57	320.8	182.55	285.03	414.87	189.02	435.55	265.87	248.0	423.61	429.54	205.5	316.37	285.03	251.48	151.22	194.36	258.57	307.69	358.54	470.14	187.71	165.57	389.72	303.44	199.85	303.44	232.94	318.57	305.55	289.02	208.38	334.46	197.09	426.57	248.0	476.71	339.14	309.83	358.54	371.22	262.2	176.29	157.68	167.9	329.84	466.88	204.07	205.5	221.86	281.09	146.03	381.68	214.27	211.31	164.42	339.14	239.52	244.57	316.37	275.28	299.25	228.13	303.44	314.17	281.09	287.01	224.97	303.44	379.04	507.46	397.93	466.88	220.32	267.73	444.72	265.87	316.37	181.28	146.03	255.0	334.46	363.56	197.09	275.28	329.84	429.54	361.04	173.85	244.57	312.0	251.48	325.29	198.47	181.28	351.14	363.56	178.77	346.29	241.19	139.07	316.37	218.79	283.05	351.14	253.23	366.09	215.77	236.21	429.54	251.48	267.73	339.14	214.27	265.87	291.04	255.0	435.55	116.78	194.36	169.07	197.09	269.6	237.86	136.19	163.28
RBM5	82.29	287.01	1583.71	1617.0	1143.1	1721.16	1806.78	3190.46	1378.57	2875.3	1175.27	2224.63	2997.45	2835.7	2777.33	1487.87	1745.2	3589.58	2451.44	3639.7	1498.22	981.29	2400.97	1175.27	1870.53	3190.46	1794.29	2739.08	3212.66	1233.75	4268.94	2468.49	3303.0	2956.17	2915.45	1909.85	2520.38	3716.2	830.75	909.17	1508.65	2287.2	2520.38	2875.3	1519.15	1697.45	921.88	3395.89	3168.41	2075.59	2739.08	2816.11	2835.7	1073.91	2915.45	2090.03	1191.69	961.07	3124.78	1397.83	3467.27	4769.75	3874.05	3146.52	2047.0	2209.26	2163.77	1733.13	1081.39	2627.46	2796.65	2075.59	1662.49	2739.08	2193.99	1697.45	2701.35	2335.28	2434.5	1819.35	3018.3	1857.6	2645.74	1551.09	1572.76	3039.3	1896.65	3303.0	1447.15	1857.6	1709.26	1388.16	1963.57	3257.52	4095.0	1963.57	3039.3	2400.97	2400.97	4010.71	2335.28	3168.41	1685.71	1208.34	2502.97	3060.45	2335.28	1806.78	2468.49	3060.45	3081.75	2701.35	934.76	2555.58	1977.24	1044.52	3039.3	1175.27	1721.16	2209.26	2664.15	884.29	1119.56	1225.22	1037.29	3303.0	1350.18	3103.19	4038.61	2133.97	4010.71	2018.8	2796.65	3540.14	1313.23	2319.15	2468.49	1832.01	1806.78	1628.26	2701.35	3716.2	1250.98	1216.75	1143.1	1127.35	1628.26	2537.92	967.76	941.27
REV1	25.91	161.02	476.71	318.57	348.71	432.53	500.46	728.11	329.84	607.87	318.57	563.18	607.87	708.18	571.05	414.87	457.25	703.28	599.49	836.53	395.18	353.59	563.18	271.48	381.68	612.11	379.04	665.29	743.43	299.25	759.08	571.05	679.29	571.05	624.99	420.68	595.34	599.49	299.25	316.37	358.54	507.46	607.87	616.37	872.1	381.68	258.57	796.86	633.73	412.0	599.49	518.15	769.69	366.09	551.56	507.46	281.09	353.59	728.11	409.15	785.88	674.59	607.87	708.18	651.58	679.29	368.65	307.69	381.68	620.67	723.08	547.75	412.0	497.0	460.44	293.07	583.07	384.34	450.94	500.46	480.04	507.46	500.46	384.34	423.61	607.87	426.57	633.73	371.22	285.03	503.95	341.51	547.75	713.11	825.0	473.41	647.07	532.74	532.74	595.34	620.67	693.58	348.71	341.51	463.65	775.05	518.15	403.5	540.19	660.68	854.13	583.07	281.09	599.49	476.71	334.46	723.08	373.81	435.55	647.07	591.22	297.17	341.51	379.04	293.07	688.78	406.31	563.18	884.29	511.0	713.11	497.0	551.56	579.04	303.44	483.38	486.75	423.61	559.28	518.15	679.29	759.08	366.09	420.68	420.68	403.5	426.57	698.41	277.2	381.68
RNPC3	152.28	39.22	156.59	136.19	148.09	153.34	224.97	503.95	122.64	299.25	107.38	214.27	197.09	346.29	305.55	125.24	205.5	356.05	291.04	500.46	149.12	88.26	260.38	142.01	186.4	389.72	144.01	287.01	466.88	102.25	480.04	228.13	248.0	229.72	314.17	152.28	195.72	327.56	106.63	139.07	104.42	218.79	199.85	267.73	279.14	134.3	123.5	334.46	258.57	157.68	320.8	262.2	412.0	161.02	273.37	232.94	151.22	131.51	500.46	171.45	400.71	507.46	358.54	361.04	289.02	305.55	95.34	109.66	100.13	320.8	435.55	228.13	201.25	181.28	164.42	127.89	287.01	167.9	215.77	199.85	195.72	187.71	260.38	147.06	142.01	329.84	237.86	287.01	201.25	400.71	158.79	115.16	167.9	241.19	473.41	215.77	336.79	171.45	236.21	435.55	195.72	400.71	199.85	135.24	215.77	279.14	218.79	92.05	198.47	400.71	532.74	323.03	141.02	265.87	215.77	128.79	325.29	112.77	156.59	189.02	285.03	78.34	128.79	128.79	93.35	490.14	155.5	221.86	423.61	152.28	384.34	166.73	246.28	299.25	90.14	171.45	343.89	164.42	154.42	214.27	258.57	429.54	154.42	176.29	80.57	98.04	153.34	223.41	123.5	100.83
RP11-1407O15.2	35.25	46.18	248.0	251.48	224.97	236.21	341.51	587.13	279.14	518.15	269.6	395.18	426.57	432.53	480.04	444.72	392.44	429.54	389.72	612.11	281.09	136.19	470.14	151.22	214.27	536.45	316.37	406.31	463.65	205.5	579.04	486.75	483.38	441.64	483.38	293.07	400.71	575.03	172.65	172.65	177.53	395.18	351.14	476.71	802.41	466.88	152.28	595.34	414.87	307.69	381.68	406.31	684.02	198.47	493.56	361.04	131.51	195.72	616.37	248.0	420.68	884.29	441.64	447.82	466.88	559.28	327.56	400.71	309.83	480.04	638.15	397.93	224.97	381.68	406.31	206.94	366.09	256.78	339.14	251.48	406.31	379.04	303.44	329.84	202.66	463.65	409.15	457.25	307.69	397.93	356.05	265.87	395.18	476.71	536.45	314.17	587.13	312.0	305.55	660.68	450.94	612.11	555.41	346.29	269.6	460.44	334.46	389.72	368.65	493.56	470.14	514.56	201.25	389.72	435.55	170.25	497.0	127.89	249.73	426.57	384.34	140.04	171.45	228.13	163.28	454.09	255.0	371.22	575.03	301.33	579.04	376.41	444.72	483.38	241.19	361.04	595.34	351.14	258.57	244.57	384.34	483.38	193.01	214.27	256.78	175.07	293.07	201.25	153.34	175.07
RP11-192H23.4	1.22	4.28	19.82	14.78	10.31	17.77	26.28	55.49	21.94	40.93	15.34	23.93	20.41	61.25	79.45	31.67	20.11	54.72	18.97	57.89	34.51	12.27	55.89	17.25	27.25	42.71	26.1	43.94	52.82	17.9	42.71	15.34	33.06	48.87	37.32	17.9	25.91	63.45	9.2	8.06	15.56	31.22	25.54	37.85	52.08	18.43	16.03	29.48	23.76	14.56	17.9	27.05	44.25	27.25	36.53	30.12	19.97	10.0	59.13	21.32	57.89	109.66	62.12	42.71	96.68	78.34	31.9	16.27	14.24	30.56	49.91	37.32	20.26	26.47	21.78	12.55	57.89	28.86	28.65	32.82	32.13	33.3	33.54	22.43	28.65	53.19	27.84	42.41	12.36	56.28	38.67	6.73	27.64	55.1	53.57	19.53	55.1	32.36	33.3	78.89	47.5	62.12	12.55	22.75	22.75	67.59	37.85	38.67	19.53	55.49	90.77	50.27	20.41	29.27	20.26	22.26	55.89	18.7	29.91	40.36	51.35	8.92	22.92	16.63	12.09	67.59	14.03	38.67	123.5	15.0	83.45	34.75	51.71	48.18	19.39	35.0	35.76	7.57	15.34	13.52	23.59	70.51	5.59	18.16	13.42	10.88	15.11	17.25	13.93	7.28
RP11-231C14.4	31.67	12.09	212.78	84.04	47.84	244.57	133.36	656.11	64.34	336.79	232.94	191.67	239.52	69.52	813.63	100.13	197.09	157.68	351.14	743.43	285.03	68.55	329.84	63.0	253.23	571.05	101.54	490.14	267.73	30.56	368.65	327.56	353.59	769.69	262.2	171.45	323.03	529.06	24.99	115.16	87.03	228.13	176.29	555.41	547.75	358.54	95.34	738.29	384.34	139.07	175.07	165.57	497.0	111.99	460.44	171.45	145.02	82.87	414.87	177.53	825.0	733.19	718.08	346.29	743.43	551.56	201.25	92.7	87.65	412.0	567.1	260.38	258.57	193.01	43.02	92.7	656.11	236.21	244.57	198.47	426.57	131.51	353.59	94.01	283.05	186.4	264.03	563.18	190.34	295.11	269.6	80.57	165.57	363.56	470.14	165.57	470.14	503.95	336.79	620.67	389.72	262.2	43.94	42.71	141.02	723.08	368.65	211.31	186.4	177.53	567.1	246.28	114.36	348.71	217.27	63.45	503.95	187.71	152.28	127.89	463.65	61.68	46.18	141.02	62.56	291.04	187.71	275.28	1151.06	52.08	473.41	273.37	373.81	536.45	70.01	84.04	426.57	101.54	182.55	137.14	189.02	518.15	13.52	125.24	11.13	177.53	68.07	141.02	79.45	26.86
RP11-287D1.3	0.39	0.0	0.95	0.49	0.89	2.48	0.48	3.29	1.14	5.73	0.0	2.12	2.73	1.31	1.2	0.48	2.1	5.59	3.32	3.89	0.52	0.52	0.53	0.0	1.66	3.2	1.71	4.1	5.19	0.0	3.53	1.25	0.0	2.18	3.32	1.27	0.95	2.51	0.0	2.61	0.87	2.01	1.36	3.03	6.26	0.56	0.52	3.53	3.99	0.52	3.89	2.81	3.47	0.93	2.07	0.89	1.33	0.55	4.74	0.92	4.39	2.66	2.48	4.1	6.36	0.96	0.83	0.88	0.93	1.66	4.78	1.2	0.56	0.92	0.93	0.52	3.53	2.01	1.3	1.68	0.89	1.3	2.05	0.53	2.18	2.68	0.0	3.53	0.52	2.18	0.96	0.54	0.52	1.31	6.62	2.41	1.68	0.55	1.75	3.56	0.52	4.62	0.51	1.71	2.03	1.97	2.76	0.0	2.73	2.05	2.34	1.99	0.0	3.23	1.33	0.92	2.66	0.92	1.57	4.21	0.85	0.52	0.0	1.31	0.92	7.94	2.07	0.0	2.73	1.64	3.32	0.89	2.05	3.32	1.14	0.53	3.76	0.87	1.33	1.69	2.78	4.98	0.54	0.0	1.31	0.99	0.91	6.31	0.89	0.72
RP11-295P9.3	11.3	24.46	104.42	167.9	57.89	156.59	178.77	368.65	87.65	244.57	90.14	173.85	211.31	316.37	283.05	115.16	132.44	305.55	202.66	325.29	97.36	61.25	305.55	53.57	138.1	312.0	88.88	277.2	339.14	64.34	325.29	158.79	381.68	438.59	325.29	109.66	241.19	444.72	47.5	74.58	78.34	166.73	189.02	358.54	379.04	127.89	81.14	343.89	209.84	180.02	157.68	295.11	341.51	64.8	256.78	161.02	91.41	68.55	397.93	118.43	473.41	395.18	371.22	241.19	358.54	429.54	171.45	92.7	98.73	264.03	543.96	191.67	224.97	165.57	167.9	70.51	366.09	152.28	189.02	75.64	293.07	201.25	163.28	81.14	141.02	281.09	172.65	277.2	71.5	89.51	234.57	81.71	197.09	429.54	249.73	133.36	341.51	297.17	224.97	299.25	297.17	389.72	94.01	55.49	236.21	283.05	186.4	127.89	205.5	277.2	368.65	153.34	68.55	190.34	141.02	73.54	507.46	67.12	157.68	187.71	260.38	53.57	87.65	81.14	67.12	356.05	100.83	273.37	647.07	148.09	480.04	157.68	303.44	209.84	54.33	180.02	279.14	92.7	127.0	105.15	183.82	353.59	37.85	77.25	76.71	98.73	96.01	164.42	90.14	55.1
RP11-347C12.1	12.83	7.11	52.08	30.56	19.97	81.14	63.89	183.82	32.59	102.97	24.28	69.52	72.52	87.65	128.79	22.26	64.34	44.57	101.54	183.82	28.86	10.63	78.89	21.01	43.02	120.1	55.49	62.12	107.38	38.12	100.83	95.34	111.99	146.03	88.88	75.11	68.07	157.68	8.85	1.36	8.32	98.04	55.1	91.41	183.82	53.19	7.57	94.67	115.97	103.69	32.13	76.17	123.5	46.84	106.63	55.1	52.82	22.75	143.01	50.27	161.02	193.01	134.3	136.19	164.42	138.1	57.89	26.67	15.11	96.68	214.27	36.01	103.69	57.89	100.83	33.54	178.77	84.63	61.68	18.7	57.49	115.97	104.42	62.56	79.45	90.77	27.84	119.26	23.59	103.69	107.38	30.34	78.34	153.34	145.02	34.51	145.02	127.89	116.78	147.06	22.43	122.64	27.64	5.73	46.5	221.86	111.21	55.49	55.89	126.12	128.79	46.84	24.99	78.89	17.25	26.28	121.79	33.54	6.26	53.19	72.52	30.12	52.45	4.1	15.56	128.79	47.5	94.67	267.73	27.84	139.07	66.18	105.15	154.42	22.1	33.54	110.43	6.16	56.68	0.0	55.89	182.55	15.56	31.45	27.64	24.11	22.26	36.79	2.78	10.96
S100PBP	35.76	49.56	189.02	129.69	165.57	172.65	142.01	285.03	176.29	189.02	139.07	171.45	217.27	267.73	318.57	102.25	164.42	264.03	255.0	412.0	169.07	136.19	237.86	90.14	191.67	260.38	156.59	214.27	214.27	115.16	256.78	165.57	202.66	172.65	237.86	175.07	246.28	244.57	110.43	163.28	124.37	164.42	202.66	224.97	314.17	152.28	133.36	346.29	241.19	165.57	361.04	182.55	314.17	158.79	211.31	185.11	148.09	183.82	285.03	166.73	297.17	253.23	314.17	253.23	318.57	242.88	178.77	183.82	161.02	194.36	323.03	228.13	161.02	202.66	190.34	163.28	229.72	215.77	176.29	175.07	187.71	202.66	201.25	108.14	186.4	256.78	187.71	251.48	162.14	244.57	209.84	164.42	151.22	237.86	327.56	194.36	224.97	217.27	202.66	262.2	189.02	271.48	129.69	145.02	170.25	256.78	165.57	183.82	204.07	262.2	253.23	249.73	142.01	183.82	189.02	166.73	262.2	135.24	186.4	229.72	314.17	147.06	171.45	190.34	102.97	277.2	182.55	236.21	403.5	173.85	256.78	198.47	183.82	279.14	110.43	204.07	189.02	197.09	209.84	202.66	242.88	325.29	262.2	118.43	129.69	162.14	152.28	258.57	120.1	141.02
SEC31B	17.51	8.78	86.43	88.26	25.91	53.95	136.19	255.0	148.09	191.67	54.33	148.09	130.6	185.11	275.28	99.43	86.43	146.03	134.3	341.51	55.89	22.43	212.78	19.25	69.03	241.19	129.69	165.57	312.0	27.05	291.04	157.68	159.9	171.45	171.45	79.45	185.11	293.07	18.84	23.59	47.17	166.73	106.63	206.94	277.2	151.22	15.22	264.03	201.25	96.68	161.02	190.34	212.78	26.28	154.42	129.69	24.63	21.16	289.02	31.0	299.25	242.88	265.87	208.38	128.79	320.8	208.38	95.34	43.32	217.27	209.84	177.53	100.83	139.07	181.28	71.5	232.94	75.64	138.1	120.1	234.57	96.01	229.72	49.56	45.85	267.73	142.01	279.14	30.56	221.86	144.01	19.68	171.45	241.19	197.09	68.55	204.07	143.01	232.94	182.55	119.26	279.14	56.28	12.0	122.64	127.89	128.79	110.43	153.34	281.09	536.45	244.57	53.95	150.17	73.03	23.93	249.73	21.32	127.0	115.97	120.1	21.16	42.41	19.39	42.41	351.14	38.12	220.32	507.46	125.24	279.14	96.68	159.9	191.67	36.27	170.25	167.9	27.05	54.72	47.5	120.1	221.86	30.56	40.36	18.97	31.0	40.64	162.14	18.29	23.59
