	TCGA.50.8460.01A.11R.2326.07	GTEX.W5X1.0526.SM.3GILH	GTEX.T8EM.0326.SM.3DB7F	TCGA.J8.A3YH.01A.11R.A22U.07	TCGA.ET.A3DW.01A.11R.A19O.07	TCGA.EM.A3AQ.01A.11R.A20F.07	TCGA.DJ.A2PT.01A.11R.A18C.07	TCGA.BJ.A3EZ.01A.11R.A206.07	TCGA.FY.A3YR.01A.11R.A22U.07	TCGA.IM.A3U2.01A.21R.A22L.07	TCGA.FY.A76V.01A.11R.A39I.07	TCGA.EM.A3FM.01A.11R.A21D.07	TCGA.EL.A3GZ.01A.11R.A20F.07	TCGA.DJ.A3V3.01A.11R.A22U.07	TCGA.KS.A4I7.01A.11R.A250.07	TCGA.DJ.A2Q6.01A.11R.A18C.07	TCGA.E3.A3E2.01A.11R.A20F.07	TCGA.DJ.A2PQ.01A.11R.A18C.07	TCGA.DJ.A2PY.01A.11R.A18C.07	TCGA.DJ.A2PS.01A.11R.A18C.07	TCGA.DJ.A13P.01A.11R.A10U.07	TCGA.BJ.A45J.01A.11R.A23W.07	TCGA.L6.A4ET.01A.11R.A250.07	TCGA.ET.A25O.01A.11R.A16R.07	TCGA.ET.A3BP.01A.21R.A19O.07	TCGA.E8.A44K.01A.21R.A23W.07	TCGA.EL.A3MW.01A.11R.A20F.07	TCGA.EM.A1CV.01A.11R.A13Y.07	TCGA.BJ.A0Z5.01A.11R.A10U.07	TCGA.ET.A25R.01A.11R.A16R.07	TCGA.FK.A3SG.01A.11R.A22L.07	TCGA.EM.A1CS.01A.11R.A13Y.07	TCGA.E3.A3E5.01A.11R.A20F.07	TCGA.EM.A3AN.01A.11R.A206.07	TCGA.E8.A3X7.01A.11R.A22U.07	TCGA.DJ.A2Q5.01A.11R.A18C.07	TCGA.EM.A3FJ.01A.11R.A21D.07	TCGA.EM.A2OX.01A.11R.A206.07	TCGA.FE.A232.01A.11R.A14Y.07	TCGA.EL.A3ZO.01A.11R.A23N.07	TCGA.BJ.A0ZE.01A.11R.A10U.07	TCGA.EL.A3CP.01A.11R.A19O.07	TCGA.DJ.A3VB.01A.11R.A23N.07	TCGA.EL.A3CU.01A.11R.A19O.07	TCGA.DJ.A2PO.01A.21R.A19O.07	TCGA.DJ.A3V7.01A.11R.A23N.07	TCGA.DJ.A3UO.01A.11R.A22L.07	TCGA.ET.A40T.01A.11R.A23N.07	TCGA.EL.A4JZ.01A.11R.A250.07	TCGA.EM.A3AK.01A.11R.A206.07	TCGA.EM.A2P0.01A.11R.A206.07	TCGA.ET.A2N4.01A.12R.A19O.07	TCGA.FE.A3PD.01A.11R.A220.07	TCGA.DJ.A13T.01A.11R.A10U.07	TCGA.DE.A0XZ.01A.11R.A180.07	TCGA.BJ.A0ZH.01A.11R.A10U.07	TCGA.EL.A3N2.01A.11R.A20F.07	TCGA.EL.A3H8.01A.11R.A20F.07	TCGA.DJ.A3UN.01A.11R.A22L.07	TCGA.DJ.A1QN.01A.11R.A14Y.07	TCGA.EM.A22O.01A.11R.A180.07	TCGA.ET.A40Q.01A.11R.A23N.07	TCGA.J8.A3NZ.01A.11R.A21D.07	TCGA.EM.A4FM.01A.11R.A250.07	TCGA.CE.A483.01A.11R.A23W.07	TCGA.EM.A1CT.01A.11R.A13Y.07	TCGA.DJ.A1QF.01A.12R.A14Y.07	TCGA.FK.A3S3.01A.11R.A22L.07	TCGA.KS.A4I9.01A.11R.A250.07	TCGA.EM.A4FQ.01A.11R.A250.07	TCGA.EL.A3ZG.01A.11R.A23N.07	TCGA.GE.A2C6.01A.11R.A16R.07	TCGA.DJ.A13V.01A.11R.A10U.07	TCGA.EL.A3GQ.01A.11R.A206.07	TCGA.DE.A69K.01A.11R.A39I.07	TCGA.IM.A3U3.01A.11R.A22L.07	TCGA.DJ.A4V4.01A.11R.A250.07	TCGA.DJ.A3VA.01A.11R.A23N.07	TCGA.FY.A3R8.01A.11R.A220.07	TCGA.DJ.A3V0.01A.11R.A22U.07	TCGA.DO.A1K0.01A.11R.A13Y.07	TCGA.J8.A42S.01A.11R.A23N.07	TCGA.EL.A3GV.01A.11R.A21D.07	TCGA.ET.A3BW.01A.11R.A19O.07	TCGA.DJ.A3VJ.01A.11R.A23N.07	TCGA.BJ.A45H.01A.12R.A23W.07	TCGA.DJ.A2Q3.01A.11R.A18C.07	TCGA.EL.A4KG.01A.11R.A250.07	TCGA.E8.A418.01A.11R.A23N.07	TCGA.DJ.A3UU.01A.11R.A22L.07	TCGA.EM.A22M.01A.11R.A32Y.07
TMED8	98.73	189.02	182.55	126.12	135.24	111.21	84.63	154.42	114.36	89.51	143.01	81.14	135.24	110.43	135.24	172.65	177.53	163.28	175.07	206.94	190.34	91.41	114.36	221.86	154.42	96.68	163.28	214.27	153.34	139.07	87.65	239.52	154.42	149.12	99.43	193.01	140.04	151.22	137.14	76.71	141.02	191.67	84.04	215.77	201.25	104.42	120.1	118.43	118.43	157.68	193.01	153.34	109.66	198.47	161.02	113.56	173.85	167.9	161.02	166.73	85.82	102.25	153.34	100.13	135.24	190.34	239.52	125.24	113.56	108.14	105.89	170.25	121.79	265.87	115.16	144.01	131.51	156.59	118.43	99.43	180.02	106.63	234.57	198.47	91.41	130.6	199.85	95.34	123.5	159.9	87.65
TMF1	236.21	555.41	435.55	182.55	293.07	201.25	163.28	327.56	285.03	159.9	341.51	128.79	305.55	182.55	195.72	363.56	232.94	291.04	435.55	366.09	314.17	226.54	154.42	366.09	220.32	187.71	262.2	381.68	195.72	325.29	228.13	483.38	218.79	264.03	127.0	299.25	256.78	271.48	232.94	158.79	180.02	363.56	162.14	400.71	320.8	194.36	248.0	279.14	237.86	279.14	406.31	173.85	265.87	466.88	314.17	199.85	341.51	432.53	228.13	307.69	163.28	197.09	346.29	177.53	356.05	373.81	417.77	189.02	241.19	178.77	177.53	301.33	242.88	543.96	303.44	249.73	198.47	318.57	351.14	171.45	441.64	182.55	426.57	371.22	271.48	255.0	366.09	204.07	237.86	343.89	164.42
TNKS2	265.87	728.11	748.61	376.41	435.55	325.29	285.03	567.1	432.53	289.02	525.39	178.77	460.44	303.44	358.54	595.34	395.18	500.46	660.68	599.49	473.41	316.37	320.8	616.37	363.56	346.29	480.04	620.67	412.0	435.55	343.89	624.99	414.87	493.56	244.57	483.38	381.68	432.53	381.68	229.72	309.83	607.87	275.28	679.29	571.05	368.65	353.59	412.0	379.04	514.56	642.59	358.54	371.22	679.29	460.44	299.25	599.49	647.07	389.72	493.56	314.17	387.02	532.74	287.01	497.0	575.03	624.99	323.03	376.41	334.46	351.14	466.88	409.15	738.29	473.41	444.72	341.51	521.76	497.0	309.83	688.78	412.0	698.41	587.13	395.18	395.18	620.67	291.04	435.55	521.76	275.28
TOX4	759.08	995.0	988.12	836.53	780.44	633.73	769.69	743.43	775.05	723.08	866.07	665.29	791.35	728.11	698.41	848.22	703.28	915.51	928.3	915.51	890.44	723.08	759.08	1044.52	703.28	733.19	813.63	1059.11	791.35	941.27	669.92	1008.9	728.11	647.07	703.28	836.53	679.29	791.35	836.53	647.07	579.04	890.44	599.49	860.08	884.29	878.17	830.75	780.44	647.07	878.17	902.89	866.07	591.22	941.27	764.36	665.29	866.07	928.3	974.5	974.5	884.29	753.83	866.07	559.28	934.76	928.3	1037.29	808.0	723.08	532.74	854.13	915.51	796.86	1051.79	769.69	819.3	612.11	902.89	780.44	748.61	1066.48	836.53	921.88	915.51	802.41	785.88	928.3	708.18	848.22	915.51	612.11
TRAPPC6B	279.14	525.39	511.0	429.54	348.71	341.51	287.01	392.44	351.14	281.09	392.44	209.84	381.68	366.09	329.84	409.15	366.09	447.82	463.65	466.88	493.56	323.03	314.17	483.38	373.81	312.0	414.87	473.41	361.04	303.44	332.14	514.56	409.15	438.59	260.38	361.04	363.56	447.82	289.02	262.2	325.29	457.25	303.44	392.44	346.29	329.84	291.04	392.44	358.54	381.68	447.82	392.44	373.81	473.41	420.68	332.14	381.68	444.72	384.34	351.14	309.83	323.03	356.05	305.55	473.41	426.57	417.77	356.05	353.59	332.14	426.57	412.0	327.56	595.34	312.0	325.29	318.57	389.72	395.18	309.83	429.54	327.56	447.82	476.71	351.14	381.68	406.31	285.03	387.02	403.5	281.09
TRMT2B	244.57	260.38	214.27	156.59	162.14	144.01	134.3	176.29	155.5	153.34	198.47	74.06	165.57	141.02	98.73	212.78	136.19	140.04	172.65	189.02	163.28	128.79	144.01	173.85	100.83	143.01	146.03	205.5	113.56	137.14	116.78	204.07	118.43	166.73	113.56	154.42	147.06	176.29	145.02	121.79	158.79	211.31	124.37	226.54	178.77	118.43	143.01	169.07	142.01	170.25	206.94	141.02	129.69	186.4	166.73	149.12	191.67	171.45	164.42	193.01	155.5	128.79	201.25	129.69	161.02	208.38	241.19	170.25	167.9	155.5	130.6	193.01	197.09	229.72	223.41	195.72	127.89	159.9	169.07	123.5	244.57	132.44	182.55	197.09	130.6	149.12	199.85	144.01	141.02	204.07	170.25
UBA5	460.44	1250.98	1008.9	547.75	521.76	426.57	392.44	511.0	529.06	397.93	665.29	277.2	470.14	543.96	518.15	595.34	450.94	567.1	575.03	629.35	529.06	447.82	406.31	525.39	490.14	511.0	503.95	688.78	423.61	420.68	356.05	780.44	470.14	466.88	423.61	540.19	466.88	460.44	536.45	400.71	441.64	567.1	334.46	616.37	587.13	483.38	457.25	595.34	444.72	571.05	718.08	540.19	521.76	698.41	703.28	400.71	480.04	529.06	575.03	595.34	511.0	490.14	629.35	353.59	591.22	567.1	595.34	483.38	511.0	389.72	473.41	423.61	395.18	764.36	514.56	457.25	470.14	679.29	587.13	447.82	567.1	536.45	616.37	651.58	466.88	555.41	595.34	351.14	493.56	579.04	486.75
UBE3A	248.0	860.08	1359.57	555.41	587.13	466.88	403.5	595.34	567.1	406.31	647.07	332.14	603.67	463.65	466.88	733.19	575.03	693.58	759.08	769.69	591.22	447.82	417.77	684.02	536.45	373.81	595.34	738.29	470.14	507.46	521.76	802.41	555.41	624.99	371.22	620.67	583.07	567.1	429.54	381.68	409.15	802.41	371.22	738.29	587.13	435.55	503.95	563.18	497.0	567.1	693.58	525.39	555.41	743.43	612.11	441.64	595.34	693.58	555.41	603.67	384.34	511.0	607.87	397.93	563.18	583.07	688.78	480.04	507.46	395.18	441.64	638.15	563.18	947.83	529.06	500.46	486.75	563.18	547.75	392.44	738.29	511.0	743.43	684.02	507.46	543.96	688.78	409.15	514.56	665.29	435.55
UBE4A	194.36	412.0	392.44	212.78	234.57	193.01	151.22	297.17	265.87	169.07	332.14	119.26	314.17	206.94	248.0	332.14	244.57	281.09	346.29	334.46	314.17	201.25	191.67	366.09	231.32	201.25	256.78	406.31	264.03	287.01	178.77	454.09	228.13	217.27	167.9	297.17	312.0	291.04	253.23	147.06	249.73	358.54	149.12	381.68	323.03	172.65	249.73	291.04	229.72	295.11	384.34	193.01	198.47	387.02	353.59	220.32	285.03	325.29	249.73	361.04	195.72	191.67	339.14	169.07	323.03	358.54	486.75	178.77	228.13	170.25	159.9	309.83	241.19	518.15	273.37	246.28	198.47	305.55	255.0	193.01	441.64	178.77	373.81	384.34	194.36	215.77	356.05	185.11	189.02	316.37	143.01
UBR1	105.89	208.38	432.53	126.12	123.5	133.36	100.13	171.45	151.22	102.97	182.55	78.34	150.17	120.1	116.78	185.11	121.79	136.19	199.85	211.31	153.34	123.5	90.77	175.07	111.21	116.78	130.6	193.01	135.24	143.01	108.14	239.52	135.24	152.28	96.68	166.73	119.26	161.02	128.79	88.88	135.24	191.67	95.34	231.32	195.72	121.79	145.02	147.06	133.36	170.25	229.72	115.16	139.07	239.52	157.68	105.89	169.07	186.4	141.02	175.07	120.1	133.36	180.02	94.01	172.65	187.71	226.54	117.6	115.16	111.99	120.1	173.85	125.24	269.6	161.02	151.22	111.99	180.02	158.79	121.79	224.97	122.64	234.57	197.09	137.14	135.24	221.86	104.42	148.09	195.72	106.63
UBR2	198.47	371.22	295.11	234.57	258.57	204.07	143.01	264.03	234.57	169.07	320.8	133.36	289.02	234.57	231.32	323.03	260.38	289.02	303.44	341.51	295.11	186.4	209.84	316.37	244.57	199.85	273.37	361.04	232.94	256.78	180.02	368.65	260.38	264.03	149.12	305.55	246.28	283.05	226.54	138.1	177.53	323.03	169.07	314.17	316.37	180.02	232.94	267.73	253.23	273.37	332.14	239.52	215.77	303.44	323.03	217.27	291.04	314.17	269.6	301.33	180.02	202.66	289.02	166.73	264.03	303.44	339.14	195.72	218.79	193.01	185.11	312.0	253.23	412.0	267.73	239.52	218.79	253.23	258.57	194.36	332.14	173.85	329.84	387.02	186.4	231.32	325.29	186.4	198.47	297.17	231.32
UBXN7	99.43	314.17	215.77	148.09	154.42	112.77	96.68	166.73	141.02	104.42	189.02	102.97	197.09	120.94	124.37	224.97	153.34	167.9	221.86	237.86	164.42	134.3	116.78	206.94	133.36	124.37	167.9	242.88	153.34	175.07	108.9	249.73	148.09	159.9	92.05	198.47	142.01	193.01	139.07	92.05	97.36	241.19	113.56	229.72	193.01	115.16	167.9	163.28	156.59	172.65	242.88	129.69	111.21	236.21	183.82	136.19	202.66	258.57	175.07	197.09	106.63	151.22	187.71	131.51	159.9	194.36	239.52	115.16	147.06	118.43	103.69	211.31	175.07	289.02	156.59	146.03	122.64	205.5	170.25	119.26	232.94	165.57	246.28	231.32	135.24	158.79	228.13	127.89	123.5	236.21	132.44
USP37	33.54	193.01	96.68	30.56	33.06	15.8	17.77	66.18	38.12	16.03	59.97	11.91	48.18	25.54	22.59	73.54	36.53	50.63	73.03	86.43	51.71	19.11	18.03	81.14	27.84	19.82	46.5	88.26	30.34	54.33	13.03	113.56	32.82	35.25	12.36	61.68	44.57	64.34	42.71	9.27	35.0	84.63	13.22	88.88	87.65	24.11	42.71	38.4	36.53	57.49	88.88	29.06	16.27	94.01	54.33	20.11	71.5	95.34	44.57	72.52	24.99	30.34	77.79	18.97	56.68	75.64	96.01	22.1	22.1	17.0	20.71	74.06	46.18	102.25	57.08	46.84	26.47	52.82	43.32	16.51	98.73	30.78	94.67	82.87	30.78	39.5	77.25	15.56	38.67	71.5	16.27
USP8	320.8	728.11	995.0	507.46	536.45	457.25	351.14	532.74	507.46	395.18	599.49	343.89	476.71	381.68	358.54	583.07	420.68	514.56	551.56	559.28	591.22	356.05	379.04	583.07	426.57	373.81	460.44	669.92	507.46	457.25	376.41	688.78	444.72	575.03	356.05	514.56	420.68	376.41	460.44	318.57	414.87	525.39	368.65	624.99	547.75	466.88	525.39	466.88	420.68	493.56	603.67	483.38	543.96	583.07	463.65	381.68	555.41	559.28	525.39	532.74	420.68	447.82	466.88	366.09	551.56	493.56	647.07	423.61	412.0	356.05	514.56	599.49	486.75	780.44	476.71	551.56	447.82	551.56	490.14	438.59	660.68	395.18	540.19	684.02	473.41	463.65	540.19	325.29	480.04	521.76	387.02
VPRBP	339.14	392.44	529.06	275.28	351.14	258.57	226.54	412.0	348.71	229.72	423.61	229.72	343.89	248.0	239.52	454.09	301.33	368.65	397.93	423.61	343.89	231.32	229.72	444.72	267.73	269.6	291.04	525.39	309.83	518.15	242.88	532.74	289.02	325.29	208.38	406.31	253.23	339.14	325.29	215.77	287.01	420.68	194.36	490.14	432.53	287.01	351.14	305.55	271.48	409.15	426.57	309.83	256.78	497.0	361.04	262.2	414.87	493.56	376.41	420.68	327.56	307.69	400.71	211.31	423.61	473.41	620.67	256.78	287.01	212.78	293.07	521.76	285.03	555.41	327.56	356.05	236.21	358.54	373.81	239.52	571.05	287.01	454.09	457.25	303.44	336.79	507.46	231.32	351.14	429.54	265.87
WDR37	198.47	212.78	201.25	180.02	178.77	142.01	131.51	187.71	166.73	141.02	211.31	80.01	146.03	157.68	173.85	211.31	162.14	166.73	156.59	217.27	186.4	151.22	180.02	242.88	169.07	164.42	166.73	205.5	171.45	187.71	111.21	283.05	157.68	147.06	147.06	181.28	182.55	159.9	191.67	136.19	140.04	221.86	93.35	193.01	224.97	159.9	148.09	194.36	182.55	201.25	215.77	170.25	127.0	220.32	228.13	138.1	185.11	180.02	202.66	209.84	145.02	193.01	199.85	112.77	190.34	201.25	251.48	127.89	167.9	116.78	129.69	190.34	181.28	232.94	182.55	189.02	175.07	229.72	187.71	140.04	191.67	152.28	248.0	217.27	114.36	193.01	189.02	149.12	150.17	202.66	155.5
WDR7	94.67	497.0	157.68	79.45	112.77	78.34	70.51	133.36	111.99	80.57	151.22	73.54	110.43	85.22	86.43	142.01	102.97	131.51	134.3	143.01	129.69	66.18	69.52	165.57	71.0	81.71	110.43	165.57	104.42	148.09	89.51	197.09	111.21	131.51	64.8	129.69	95.34	133.36	95.34	66.18	96.01	167.9	77.25	183.82	155.5	87.65	88.26	90.77	102.97	141.02	141.02	95.34	96.01	167.9	114.36	92.05	148.09	153.34	109.66	141.02	93.35	98.73	133.36	76.71	115.16	156.59	202.66	102.25	92.05	81.71	87.03	129.69	94.67	186.4	127.89	118.43	89.51	104.42	114.36	71.0	206.94	91.41	181.28	127.89	77.79	102.25	193.01	64.8	98.04	137.14	80.57
XRN1	97.36	426.57	162.14	97.36	135.24	94.01	63.0	155.5	127.89	70.51	166.73	51.71	152.28	93.35	100.83	187.71	131.51	130.6	189.02	214.27	143.01	84.04	82.29	176.29	101.54	84.04	127.0	198.47	117.6	144.01	98.04	234.57	140.04	113.56	58.3	163.28	134.3	139.07	96.68	70.01	70.51	251.48	88.26	229.72	175.07	90.77	106.63	162.14	153.34	152.28	193.01	113.56	109.66	224.97	178.77	96.68	185.11	198.47	125.24	167.9	57.49	115.97	154.42	82.29	139.07	204.07	180.02	88.88	111.99	89.51	84.63	205.5	127.0	241.19	137.14	117.6	102.97	144.01	142.01	96.01	212.78	118.43	223.41	220.32	98.04	110.43	201.25	80.01	101.54	202.66	124.37
ZDHHC21	85.82	438.59	830.75	107.38	120.1	98.04	62.56	138.1	111.99	74.06	137.14	32.36	127.89	87.03	126.12	151.22	109.66	140.04	147.06	144.01	131.51	108.9	92.05	128.79	117.6	89.51	105.15	166.73	117.6	71.5	111.99	175.07	128.79	120.1	55.49	112.77	113.56	98.73	69.03	50.27	98.73	171.45	85.82	162.14	129.69	94.67	100.13	134.3	137.14	120.94	138.1	115.16	130.6	180.02	158.79	103.69	142.01	135.24	91.41	130.6	63.0	104.42	151.22	104.42	136.19	108.14	127.89	91.41	137.14	106.63	117.6	115.97	104.42	172.65	122.64	90.77	102.97	152.28	157.68	71.0	162.14	105.15	155.5	181.28	117.6	102.25	115.97	80.01	118.43	116.78	71.5
ZMYM1	102.25	312.0	81.14	73.54	60.82	49.56	50.98	85.22	78.89	58.3	103.69	16.51	100.83	63.0	64.34	137.14	60.82	84.04	119.26	137.14	81.71	48.18	64.34	110.43	80.01	62.56	71.0	116.78	55.89	73.03	38.12	134.3	66.65	75.11	33.3	83.45	71.0	76.17	72.01	40.36	38.4	119.26	37.32	124.37	90.14	52.45	59.55	96.01	65.72	74.58	100.83	74.58	49.56	110.43	121.79	67.59	89.51	92.05	55.89	76.71	60.82	57.49	92.7	42.41	94.67	91.41	102.25	55.49	80.57	45.85	34.02	83.45	75.64	147.06	92.05	65.72	61.68	82.29	92.7	49.56	115.16	49.91	109.66	153.34	50.63	72.52	99.43	60.39	55.89	78.89	59.13
ZMYM4	285.03	941.27	974.5	293.07	351.14	273.37	237.86	400.71	287.01	260.38	314.17	198.47	381.68	283.05	303.44	470.14	318.57	381.68	447.82	417.77	341.51	228.13	237.86	403.5	269.6	229.72	353.59	463.65	277.2	343.89	232.94	473.41	316.37	400.71	208.38	409.15	301.33	327.56	262.2	206.94	237.86	493.56	211.31	466.88	392.44	244.57	265.87	332.14	307.69	325.29	486.75	305.55	323.03	476.71	426.57	256.78	339.14	420.68	339.14	400.71	279.14	242.88	356.05	242.88	336.79	429.54	450.94	265.87	283.05	221.86	218.79	392.44	358.54	547.75	363.56	287.01	275.28	339.14	318.57	241.19	473.41	289.02	423.61	457.25	269.6	309.83	395.18	234.57	234.57	441.64	249.73
ZMYM6	167.9	435.55	269.6	177.53	197.09	135.24	137.14	204.07	226.54	120.1	187.71	85.22	202.66	175.07	177.53	242.88	204.07	208.38	224.97	217.27	237.86	169.07	146.03	197.09	161.02	180.02	170.25	223.41	175.07	138.1	148.09	231.32	161.02	180.02	126.12	205.5	204.07	161.02	149.12	126.12	154.42	241.19	141.02	217.27	191.67	147.06	152.28	204.07	183.82	173.85	251.48	189.02	194.36	206.94	265.87	148.09	223.41	190.34	155.5	185.11	111.99	176.29	215.77	154.42	206.94	155.5	209.84	135.24	195.72	152.28	194.36	193.01	170.25	327.56	183.82	150.17	171.45	241.19	223.41	151.22	232.94	141.02	242.88	236.21	152.28	189.02	195.72	151.22	162.14	205.5	127.89
ZMYND11	738.29	1175.27	1477.58	1037.29	1073.91	995.0	612.11	1159.07	1037.29	703.28	1427.22	587.13	1119.56	954.43	848.22	1295.13	878.17	1233.75	1259.69	1417.35	1259.69	775.05	872.1	1407.55	1023.0	813.63	1135.2	1519.15	1135.2	1088.92	915.51	1304.15	909.17	1259.69	769.69	995.0	1059.11	1167.14	890.44	647.07	1104.13	1286.18	718.08	1175.27	1233.75	967.76	967.76	961.07	764.36	1208.34	1388.16	1023.0	1037.29	1407.55	1037.29	915.51	1304.15	1268.46	1015.93	1199.98	909.17	842.36	1059.11	738.29	1286.18	1417.35	1498.22	1104.13	981.29	802.41	1030.12	974.5	995.0	1745.2	1167.14	1008.9	1066.48	1151.06	1096.5	813.63	1477.58	988.12	1331.57	1286.18	896.64	1051.79	1242.34	607.87	988.12	1127.35	567.1
ZNF180	54.33	164.42	80.57	85.22	77.79	65.72	51.71	104.42	78.89	52.45	107.38	28.04	87.03	76.17	74.58	111.21	72.01	75.11	87.65	148.09	82.29	39.79	59.13	94.67	87.03	67.59	88.26	98.04	68.55	60.82	32.13	122.64	76.71	88.88	48.52	89.51	80.57	97.36	77.25	40.64	70.51	103.69	53.19	98.04	87.65	62.12	77.25	85.82	69.52	108.9	108.9	88.88	77.25	108.14	118.43	55.1	90.14	93.35	91.41	100.13	61.25	72.52	94.67	32.59	85.22	85.82	94.01	53.95	62.12	53.57	59.55	98.73	78.89	120.94	107.38	80.57	70.51	84.04	87.03	56.68	100.13	56.28	109.66	136.19	54.72	84.63	101.54	54.72	59.13	96.01	75.64
ZNF548	146.03	187.71	108.14	106.63	132.44	124.37	96.01	150.17	112.77	94.01	206.94	63.0	155.5	146.03	114.36	193.01	131.51	123.5	155.5	190.34	157.68	87.65	97.36	166.73	122.64	122.64	161.02	169.07	131.51	134.3	90.14	236.21	154.42	114.36	63.89	161.02	172.65	132.44	133.36	80.01	74.06	165.57	94.01	185.11	191.67	115.16	127.0	176.29	120.94	142.01	181.28	134.3	127.0	147.06	193.01	120.1	178.77	180.02	145.02	209.84	100.83	116.78	145.02	89.51	147.06	183.82	205.5	106.63	117.6	100.13	118.43	169.07	173.85	253.23	138.1	150.17	131.51	163.28	154.42	142.01	178.77	150.17	211.31	217.27	104.42	124.37	180.02	108.14	98.04	165.57	112.77
ZNF655	679.29	1529.73	2163.77	620.67	633.73	525.39	547.75	713.11	660.68	532.74	808.0	432.53	708.18	599.49	603.67	723.08	633.73	651.58	708.18	759.08	753.83	503.95	595.34	748.61	633.73	642.59	665.29	842.36	674.59	713.11	412.0	974.5	525.39	543.96	432.53	842.36	587.13	679.29	629.35	559.28	392.44	802.41	543.96	780.44	764.36	669.92	733.19	698.41	595.34	642.59	808.0	571.05	587.13	928.3	902.89	583.07	708.18	825.0	633.73	703.28	563.18	656.11	819.3	514.56	830.75	780.44	921.88	466.88	723.08	555.41	718.08	830.75	603.67	665.29	665.29	669.92	599.49	1030.12	759.08	500.46	890.44	532.74	813.63	785.88	684.02	603.67	825.0	525.39	878.17	808.0	629.35
ZNF791	155.5	195.72	242.88	147.06	206.94	151.22	122.64	193.01	173.85	117.6	214.27	123.5	205.5	149.12	137.14	239.52	159.9	151.22	221.86	295.11	236.21	124.37	114.36	244.57	183.82	147.06	197.09	241.19	182.55	214.27	109.66	295.11	176.29	162.14	99.43	198.47	178.77	191.67	154.42	111.99	154.42	224.97	104.42	224.97	208.38	114.36	145.02	182.55	146.03	180.02	287.01	148.09	137.14	212.78	236.21	165.57	241.19	209.84	153.34	220.32	140.04	127.0	215.77	126.12	209.84	265.87	289.02	117.6	163.28	133.36	108.9	220.32	202.66	361.04	178.77	183.82	164.42	170.25	154.42	148.09	279.14	121.79	264.03	253.23	130.6	154.42	264.03	130.6	129.69	218.79	153.34
ZZEF1	180.02	454.09	202.66	206.94	217.27	186.4	131.51	224.97	197.09	152.28	373.81	166.73	251.48	218.79	177.53	285.03	206.94	165.57	221.86	231.32	208.38	182.55	176.29	248.0	191.67	215.77	206.94	363.56	214.27	293.07	159.9	406.31	201.25	181.28	145.02	271.48	226.54	187.71	231.32	133.36	182.55	341.51	139.07	334.46	339.14	139.07	183.82	283.05	256.78	305.55	323.03	165.57	155.5	293.07	366.09	193.01	293.07	301.33	228.13	267.73	244.57	178.77	285.03	199.85	218.79	384.34	426.57	154.42	231.32	172.65	189.02	289.02	231.32	406.31	253.23	229.72	202.66	305.55	242.88	180.02	417.77	197.09	412.0	336.79	154.42	201.25	303.44	156.59	189.02	351.14	171.45
