	TCGA.FD.A3SM.01A.11R.A22U.07	TCGA.E2.A1B1.01A.21R.A12P.07	TCGA.AR.A1AO.01A.11R.A12P.07	TCGA.D8.A1JF.01A.11R.A13Q.07	TCGA.A8.A08H.01A.21R.A00Z.07	GTEX.W5X1.2326.SM.3GIL6	GTEX.14C38.2626.SM.5RQI4	TCGA.L5.A8NN.01A.11R.A37I.31	TCGA.2K.A9WE.01A.11R.A38C.07	TCGA.KV.A6GD.01A.11R.A31O.07	TCGA.4A.A93Y.01A.11R.A37K.07	TCGA.A4.A48D.01A.11R.A24Z.07	TCGA.GL.A4EM.01A.11R.A24Z.07	TCGA.A4.A5Y0.01A.11R.A31O.07	TCGA.Y8.A8S1.01A.11R.A37K.07	TCGA.B1.5398.01A.02R.1592.07	TCGA.IA.A83V.01A.11R.A355.07	TCGA.IA.A83T.01A.11R.A355.07	TCGA.2Y.A9GW.01A.11R.A38B.07	TCGA.G3.A5SM.01A.12R.A28V.07	TCGA.BD.A3ER.01A.11R.A213.07	TCGA.DD.A4NQ.01A.21R.A28V.07	TCGA.DD.A1EG.01A.11R.A213.07	TCGA.DD.AAEI.01A.11R.A41C.07	TCGA.DD.AACL.01A.11R.A41C.07	TCGA.G3.AAV3.01A.11R.A37K.07	TCGA.DD.AAE1.01A.11R.A41C.07	TCGA.EP.A3JL.01A.11R.A213.07	TCGA.FV.A2QQ.01A.11R.A22L.07	TCGA.DD.A4NR.01A.11R.A311.07	TCGA.G3.A7M7.01A.12R.A352.07	TCGA.K7.A5RG.01A.11R.A28V.07	TCGA.DD.AACQ.01A.11R.A41C.07	TCGA.ZS.A9CD.01A.11R.A37K.07	TCGA.DD.AACZ.01A.11R.A41C.07	TCGA.CC.A3MC.01A.11R.A22L.07	TCGA.EP.A2KB.01A.11R.A180.07	TCGA.T1.A6J8.01A.11R.A32O.07	TCGA.DD.AACP.01A.11R.A41C.07	TCGA.DD.AACT.01A.11R.A41C.07	TCGA.K7.A6G5.01A.11R.A311.07	TCGA.ED.A7XP.01A.11R.A352.07	TCGA.O8.A75V.01A.11R.A32O.07	TCGA.DD.A39W.01A.11R.A213.07	TCGA.BD.A3EP.01A.11R.A22L.07	TCGA.G3.A25V.01A.11R.A16W.07	TCGA.CC.A7IK.01A.12R.A33R.07	TCGA.DD.AADC.01A.11R.A41C.07	TCGA.DD.A39Y.01A.11R.A213.07	TCGA.DD.AAC8.01A.11R.A41C.07	TCGA.HP.A5MZ.01A.21R.A27V.07	TCGA.EP.A2KC.01A.11R.A213.07	TCGA.GJ.A3OU.01A.31R.A38B.07	TCGA.GJ.A6C0.01A.12R.A311.07	TCGA.UB.A7MD.01A.12R.A352.07	TCGA.MI.A75E.01A.11R.A32O.07	TCGA.DD.A3A8.11A.11R.A22L.07	TCGA.DD.A113.11A.12R.A131.07	TCGA.EP.A26S.11A.12R.A16W.07	GTEX.13FLV.0326.SM.5N9DJ	GTEX.YFC4.1526.SM.5IFJS	GTEX.X4EO.1126.SM.4QARQ	GTEX.ZYT6.0626.SM.5E45V	GTEX.13N11.0926.SM.5IJG2	GTEX.145MF.0826.SM.5QGQA	GTEX.139TS.1426.SM.5IFJD	GTEX.P78B.1326.SM.3P611	GTEX.13QJC.0726.SM.5RQJK	GTEX.1399R.1226.SM.5P9GF	GTEX.RN64.1826.SM.48FDV	GTEX.Q734.0326.SM.48U15	GTEX.14753.1626.SM.5NQ9L	GTEX.REY6.1226.SM.48FDR	GTEX.R53T.0326.SM.48FEC	TCGA.05.4389.01A.01R.1206.07	TCGA.35.5375.01A.01R.1628.07	TCGA.L4.A4E6.01A.11R.A24H.07	TCGA.38.4631.01A.01R.1755.07	TCGA.44.3918.01A.01R.A278.07	TCGA.55.7724.01A.11R.2170.07	TCGA.44.6778.01A.11R.1858.07	TCGA.44.7660.01A.11R.2066.07	TCGA.53.A4EZ.01A.12R.A24X.07	TCGA.95.7043.01A.11R.1949.07	TCGA.86.8358.01A.11R.2326.07	TCGA.38.4632.11A.01R.1755.07	TCGA.38.4626.11A.01R.1758.07	GTEX.1313W.0926.SM.5EQ56	GTEX.ZZPU.0526.SM.5E44U	GTEX.QV44.0926.SM.2S1RH	GTEX.P4QR.1026.SM.2I5GP	GTEX.ZTTD.1126.SM.51MRP	GTEX.YB5E.0726.SM.4VDSH	GTEX.ZAB4.0626.SM.5CVN3	GTEX.R55G.0826.SM.2TC5U	GTEX.U3ZN.0626.SM.3DB7U	GTEX.P78B.0926.SM.2I5FA	GTEX.132QS.0726.SM.5IJE9	GTEX.PWOO.0726.SM.2I3EB	GTEX.WH7G.0726.SM.3NMBM	GTEX.Y8E4.0526.SM.4V6GC	GTEX.131XE.0726.SM.5HL9K	GTEX.XBED.0826.SM.47JYC	GTEX.SUCS.0626.SM.32PM5	GTEX.13OW8.1726.SM.5L3GO	GTEX.14A6H.0526.SM.5NQAZ	TCGA.39.5011.01A.01R.1443.07	TCGA.18.3411.01A.01R.0980.07	TCGA.90.7964.01A.21R.2187.07	TCGA.22.4599.01A.01R.1443.07	TCGA.77.8007.11A.01R.2187.07	TCGA.EL.A3GP.01A.11R.A206.07	TCGA.BK.A26L.01A.11R.A277.07	TCGA.A5.A3LP.01A.11R.A22K.07
RAD21	1721.16	2816.11	2075.59	3395.89	1963.57	3768.09	1081.39	2855.44	872.1	698.41	941.27	551.56	934.76	543.96	332.14	802.41	780.44	607.87	2032.85	813.63	981.29	1378.57	1819.35	1794.29	1119.56	1066.48	1447.15	1350.18	1340.84	1407.55	1583.71	1605.83	536.45	1561.89	2047.0	1369.04	1250.98	674.59	1167.14	967.76	1242.34	1844.76	1540.37	860.08	1388.16	708.18	2209.26	2573.36	1572.76	1216.75	1572.76	1709.26	2104.58	1044.52	1044.52	599.49	392.44	665.29	616.37	432.53	555.41	902.89	514.56	780.44	796.86	460.44	674.59	381.68	808.0	267.73	674.59	708.18	480.04	866.07	1806.78	2627.46	1407.55	2739.08	4769.75	2555.58	3060.45	1697.45	2335.28	1529.73	5006.93	1844.76	1225.22	1286.18	1963.57	669.92	2240.11	854.13	1651.0	1909.85	2502.97	2400.97	1477.58	1857.6	480.04	2133.97	1127.35	1081.39	2090.03	1457.23	2119.22	1242.34	2163.77	3018.3	1369.04	3103.19	1508.65	1447.15	3982.99	2255.7
RBMX	2133.97	3982.99	3081.75	2367.9	3280.18	7485.11	1594.73	4239.45	1757.34	1936.53	1883.54	1388.16	1369.04	2682.69	1066.48	1477.58	1437.15	1467.37	1467.37	1242.34	1119.56	1350.18	1388.16	1104.13	1936.53	1674.06	1340.84	1277.29	1104.13	1662.49	738.29	2193.99	967.76	967.76	2627.46	1467.37	2451.44	1143.1	3515.68	1001.93	796.86	1757.34	1104.13	1870.53	1594.73	995.0	1909.85	2520.38	1508.65	2796.65	1233.75	1407.55	1508.65	1191.69	802.41	1127.35	665.29	733.19	902.89	1268.46	928.3	607.87	947.83	1991.0	878.17	708.18	764.36	514.56	854.13	1104.13	813.63	295.11	529.06	529.06	3235.01	4095.0	1857.6	3146.52	3794.3	3395.89	4038.61	4210.15	2468.49	2240.11	5403.7	2485.67	2400.97	2777.33	2627.46	1757.34	1594.73	2367.9	1733.13	2627.46	2468.49	3589.58	1963.57	2468.49	1233.75	3018.3	2209.26	1950.0	2351.53	2090.03	1870.53	3081.75	2351.53	3794.3	2664.15	4181.07	2133.97	3589.58	5076.84	2777.33
RCN2	1583.71	1119.56	1096.5	915.51	896.64	2193.99	269.6	1250.98	698.41	612.11	708.18	423.61	693.58	836.53	256.78	260.38	567.1	567.1	470.14	275.28	400.71	417.77	547.75	299.25	363.56	563.18	197.09	412.0	444.72	473.41	503.95	329.84	503.95	361.04	688.78	651.58	262.2	323.03	921.88	273.37	423.61	642.59	379.04	325.29	529.06	529.06	480.04	733.19	406.31	447.82	575.03	743.43	432.53	854.13	490.14	309.83	143.01	185.11	265.87	241.19	224.97	68.07	285.03	480.04	246.28	170.25	197.09	236.21	264.03	220.32	463.65	130.6	169.07	289.02	1605.83	2224.63	1015.93	1605.83	1216.75	1977.24	921.88	1313.23	1233.75	2319.15	769.69	1369.04	1051.79	813.63	1313.23	1037.29	902.89	1111.82	890.44	1350.18	1447.15	1183.45	780.44	412.0	511.0	1340.84	713.11	612.11	1388.16	1023.0	775.05	1467.37	1199.98	1963.57	1508.65	1733.13	1340.84	1794.29	3212.66	981.29
RIF1	115.16	432.53	228.13	251.48	226.54	764.36	285.03	237.86	77.25	132.44	57.89	18.16	26.28	65.72	8.51	21.32	40.93	34.75	72.52	55.89	61.25	81.14	63.0	46.18	67.59	56.68	82.29	48.87	52.45	81.71	33.78	117.6	77.25	45.85	128.79	75.64	59.13	31.67	81.14	60.39	38.95	115.97	32.59	81.71	77.25	46.5	154.42	132.44	36.01	72.52	59.13	75.64	92.05	70.01	60.82	40.64	14.03	51.35	50.63	50.27	36.53	43.02	29.27	63.0	41.22	32.36	49.21	37.59	34.51	68.55	49.21	21.16	93.35	40.36	127.89	124.37	124.37	130.6	890.44	269.6	318.57	234.57	155.5	176.29	236.21	78.89	66.65	141.02	108.9	80.57	102.97	111.99	73.03	126.12	127.89	157.68	80.01	109.66	55.89	83.45	94.67	113.56	79.45	62.12	131.51	105.89	161.02	127.0	212.78	173.85	84.04	115.97	1191.69	159.9
RNF219	206.94	348.71	211.31	251.48	231.32	708.18	63.0	214.27	81.14	77.79	100.83	50.27	54.33	81.14	21.32	77.25	74.06	43.02	88.26	48.87	66.65	49.91	90.14	50.63	50.27	65.72	88.26	69.03	60.39	77.79	41.22	88.26	68.55	40.93	100.13	71.0	73.54	61.68	76.17	65.72	38.4	90.77	40.07	70.51	111.99	73.03	97.36	50.27	58.3	72.01	62.12	84.04	101.54	77.25	62.12	48.52	11.3	35.76	44.89	42.41	57.89	23.76	54.33	144.01	39.5	34.51	40.07	64.34	27.64	85.82	31.67	4.94	33.54	52.08	82.87	52.82	132.44	191.67	258.57	161.02	175.07	265.87	114.36	237.86	251.48	120.1	96.68	131.51	171.45	173.85	126.12	172.65	139.07	130.6	137.14	260.38	178.77	130.6	73.54	157.68	178.77	151.22	144.01	124.37	92.7	124.37	97.36	193.01	77.79	113.56	93.35	186.4	529.06	87.03
RNMT	327.56	599.49	503.95	743.43	435.55	713.11	555.41	723.08	346.29	438.59	426.57	264.03	368.65	454.09	199.85	215.77	460.44	281.09	316.37	255.0	287.01	339.14	325.29	212.78	563.18	381.68	406.31	387.02	397.93	395.18	258.57	540.19	339.14	271.48	466.88	334.46	507.46	265.87	384.34	343.89	206.94	314.17	325.29	426.57	429.54	414.87	323.03	406.31	361.04	332.14	283.05	314.17	373.81	332.14	309.83	295.11	136.19	241.19	218.79	177.53	251.48	329.84	183.82	209.84	234.57	180.02	231.32	248.0	141.02	303.44	162.14	136.19	314.17	145.02	373.81	265.87	450.94	348.71	860.08	642.59	406.31	555.41	540.19	525.39	403.5	314.17	312.0	679.29	447.82	438.59	426.57	612.11	518.15	490.14	291.04	435.55	693.58	429.54	297.17	283.05	366.09	336.79	547.75	432.53	490.14	334.46	237.86	376.41	384.34	444.72	301.33	665.29	1331.57	624.99
RPAP2	336.79	466.88	353.59	279.14	303.44	633.73	55.1	171.45	151.22	173.85	81.14	67.59	66.65	194.36	21.78	40.36	86.43	53.57	145.02	127.0	144.01	297.17	146.03	82.29	164.42	167.9	64.8	127.0	152.28	158.79	122.64	223.41	175.07	98.04	217.27	122.64	101.54	167.9	113.56	138.1	143.01	198.47	123.5	170.25	236.21	131.51	392.44	208.38	295.11	134.3	143.01	151.22	134.3	172.65	183.82	180.02	26.47	141.02	113.56	124.37	74.06	69.52	98.73	105.15	94.01	73.54	155.5	176.29	110.43	112.77	99.43	113.56	108.14	149.12	234.57	638.15	158.79	447.82	674.59	295.11	234.57	122.64	329.84	199.85	275.28	181.28	182.55	193.01	198.47	376.41	253.23	220.32	139.07	275.28	205.5	291.04	208.38	127.89	133.36	215.77	209.84	226.54	195.72	123.5	152.28	208.38	289.02	493.56	457.25	368.65	256.78	269.6	796.86	423.61
RPAP3	769.69	753.83	444.72	642.59	547.75	928.3	381.68	688.78	258.57	228.13	206.94	53.57	193.01	325.29	34.75	111.99	104.42	74.06	314.17	289.02	256.78	543.96	232.94	224.97	279.14	248.0	199.85	214.27	212.78	339.14	172.65	426.57	169.07	183.82	426.57	221.86	237.86	239.52	301.33	236.21	156.59	334.46	163.28	241.19	339.14	186.4	356.05	466.88	256.78	236.21	312.0	176.29	373.81	348.71	231.32	195.72	40.07	206.94	137.14	155.5	172.65	224.97	104.42	211.31	139.07	146.03	177.53	90.77	177.53	105.89	186.4	120.1	115.97	206.94	447.82	656.11	287.01	629.35	642.59	466.88	521.76	660.68	490.14	384.34	684.02	275.28	279.14	267.73	332.14	490.14	177.53	518.15	273.37	438.59	373.81	679.29	329.84	287.01	201.25	356.05	301.33	289.02	417.77	242.88	155.5	273.37	620.67	435.55	490.14	507.46	371.22	420.68	738.29	500.46
RPP38	497.0	743.43	490.14	629.35	379.04	507.46	281.09	587.13	277.2	429.54	397.93	205.5	236.21	356.05	176.29	258.57	220.32	217.27	373.81	327.56	358.54	406.31	414.87	295.11	536.45	356.05	353.59	371.22	409.15	473.41	348.71	283.05	343.89	299.25	642.59	323.03	480.04	450.94	447.82	305.55	249.73	406.31	400.71	353.59	547.75	325.29	309.83	450.94	414.87	490.14	403.5	316.37	325.29	417.77	353.59	414.87	177.53	325.29	256.78	312.0	343.89	303.44	327.56	444.72	236.21	329.84	351.14	307.69	236.21	441.64	303.44	110.43	195.72	325.29	674.59	395.18	325.29	476.71	660.68	595.34	473.41	493.56	543.96	660.68	463.65	480.04	638.15	429.54	633.73	429.54	381.68	642.59	511.0	358.54	417.77	612.11	624.99	543.96	291.04	543.96	603.67	470.14	454.09	486.75	187.71	466.88	409.15	373.81	447.82	343.89	403.5	514.56	376.41	748.61
RSBN1L	156.59	406.31	287.01	320.8	256.78	647.07	267.73	220.32	148.09	127.0	122.64	49.21	48.18	116.78	18.03	50.98	82.87	67.59	129.69	116.78	123.5	199.85	105.15	96.01	105.15	107.38	103.69	98.73	82.87	102.25	63.89	220.32	120.94	75.64	115.16	92.05	61.25	91.41	138.1	108.9	87.03	150.17	64.8	152.28	190.34	92.7	181.28	177.53	88.88	87.65	96.01	153.34	147.06	104.42	107.38	115.97	32.59	145.02	121.79	126.12	131.51	51.35	118.43	70.01	107.38	102.97	87.03	142.01	80.01	98.73	129.69	64.8	140.04	120.1	297.17	376.41	169.07	209.84	947.83	400.71	373.81	283.05	163.28	406.31	248.0	244.57	153.34	193.01	260.38	231.32	248.0	217.27	229.72	212.78	256.78	387.02	275.28	191.67	154.42	277.2	262.2	221.86	258.57	234.57	279.14	189.02	299.25	256.78	209.84	518.15	212.78	198.47	540.19	237.86
SEH1L	457.25	616.37	612.11	679.29	466.88	718.08	353.59	748.61	262.2	334.46	373.81	289.02	334.46	381.68	224.97	363.56	281.09	291.04	389.72	314.17	483.38	559.28	476.71	307.69	486.75	316.37	532.74	444.72	486.75	397.93	303.44	341.51	336.79	348.71	511.0	438.59	432.53	301.33	397.93	307.69	224.97	392.44	273.37	406.31	454.09	339.14	387.02	595.34	460.44	379.04	341.51	368.65	525.39	356.05	358.54	343.89	251.48	417.77	316.37	320.8	493.56	599.49	281.09	381.68	262.2	285.03	320.8	305.55	236.21	301.33	249.73	361.04	403.5	234.57	665.29	387.02	356.05	540.19	397.93	620.67	629.35	808.0	633.73	607.87	2609.3	473.41	480.04	579.04	486.75	414.87	447.82	563.18	371.22	291.04	540.19	775.05	406.31	525.39	262.2	289.02	579.04	351.14	624.99	318.57	293.07	312.0	514.56	1030.12	579.04	748.61	417.77	483.38	674.59	665.29
SENP1	189.02	323.03	177.53	182.55	198.47	412.0	41.22	334.46	72.52	68.07	84.04	44.57	55.89	63.0	23.42	75.11	43.94	67.59	78.89	58.3	73.54	84.63	66.65	56.28	96.01	74.06	82.29	53.57	50.98	107.38	27.25	164.42	64.8	44.25	140.04	52.08	65.26	70.01	96.68	45.85	30.12	72.01	36.01	101.54	86.43	48.87	106.63	92.05	36.27	82.29	67.12	66.18	108.9	148.09	57.08	53.95	22.59	45.53	40.36	35.76	41.22	35.76	34.51	71.5	26.86	38.95	40.36	31.9	37.59	55.49	52.82	12.93	24.81	44.25	175.07	155.5	100.13	208.38	371.22	237.86	265.87	267.73	135.24	107.38	371.22	120.94	97.36	71.5	131.51	153.34	139.07	115.97	87.65	130.6	185.11	231.32	115.97	94.01	90.77	142.01	124.37	177.53	94.67	97.36	100.13	142.01	180.02	165.57	129.69	211.31	111.21	162.14	384.34	124.37
SMC3	679.29	981.29	647.07	483.38	764.36	1896.65	327.56	1135.2	251.48	195.72	291.04	105.89	97.36	301.33	47.17	101.54	158.79	87.65	265.87	307.69	262.2	231.32	279.14	142.01	339.14	314.17	423.61	212.78	170.25	283.05	162.14	368.65	116.78	195.72	441.64	281.09	693.58	299.25	435.55	228.13	157.68	397.93	201.25	525.39	273.37	193.01	660.68	791.35	153.34	529.06	260.38	289.02	346.29	334.46	195.72	229.72	73.54	206.94	194.36	175.07	218.79	147.06	157.68	356.05	189.02	128.79	293.07	118.43	279.14	125.24	273.37	119.26	111.99	312.0	480.04	285.03	309.83	329.84	723.08	775.05	974.5	587.13	305.55	438.59	1001.93	305.55	249.73	264.03	713.11	307.69	532.74	363.56	420.68	457.25	693.58	1037.29	463.65	616.37	312.0	559.28	525.39	500.46	529.06	373.81	264.03	320.8	376.41	329.84	551.56	532.74	297.17	656.11	934.76	361.04
SNW1	1457.23	1806.78	1295.13	1322.37	1304.15	2758.13	660.68	1350.18	713.11	764.36	866.07	536.45	503.95	808.0	529.06	651.58	775.05	638.15	872.1	656.11	808.0	547.75	698.41	543.96	884.29	764.36	1051.79	591.22	669.92	718.08	633.73	698.41	679.29	684.02	775.05	698.41	780.44	723.08	1001.93	579.04	563.18	638.15	688.78	1143.1	698.41	591.22	785.88	1331.57	764.36	769.69	748.61	802.41	866.07	854.13	703.28	679.29	503.95	470.14	525.39	642.59	624.99	348.71	503.95	708.18	559.28	454.09	559.28	376.41	718.08	392.44	723.08	368.65	423.61	571.05	1135.2	1896.65	825.0	988.12	1806.78	1709.26	1304.15	1295.13	1295.13	1183.45	1721.16	1008.9	967.76	974.5	1427.22	1745.2	1286.18	967.76	1127.35	1183.45	1199.98	1617.0	1059.11	1286.18	896.64	1313.23	878.17	1143.1	1127.35	1467.37	1250.98	921.88	1127.35	1437.15	1059.11	1651.0	1001.93	1417.35	1733.13	1388.16
SP3	547.75	1896.65	1037.29	1242.34	896.64	2816.11	1030.12	802.41	441.64	336.79	463.65	239.52	217.27	954.43	135.24	387.02	295.11	297.17	392.44	348.71	392.44	423.61	341.51	299.25	223.41	332.14	521.76	228.13	346.29	325.29	153.34	665.29	368.65	289.02	497.0	473.41	417.77	444.72	463.65	351.14	239.52	532.74	185.11	688.78	409.15	262.2	796.86	579.04	176.29	387.02	432.53	389.72	466.88	483.38	332.14	231.32	155.5	363.56	287.01	307.69	320.8	244.57	316.37	197.09	187.71	273.37	249.73	400.71	301.33	406.31	525.39	277.2	267.73	417.77	688.78	988.12	563.18	728.11	2163.77	1286.18	1119.56	872.1	866.07	802.41	1378.57	665.29	490.14	693.58	603.67	555.41	1073.91	688.78	575.03	928.3	575.03	967.76	629.35	575.03	231.32	503.95	540.19	769.69	551.56	409.15	656.11	708.18	860.08	988.12	802.41	775.05	497.0	642.59	2271.4	1008.9
SPAST	206.94	255.0	234.57	206.94	170.25	336.79	65.26	186.4	82.87	86.43	108.9	49.56	67.59	177.53	30.34	66.65	81.14	64.34	83.45	70.51	86.43	134.3	111.21	53.19	90.14	82.29	129.69	57.49	79.45	96.01	54.72	156.59	108.14	72.52	134.3	77.25	150.17	76.71	107.38	76.71	58.3	148.09	49.21	169.07	100.13	88.26	189.02	135.24	62.56	110.43	94.01	130.6	136.19	122.64	100.13	57.49	52.45	75.64	85.22	71.5	76.17	62.56	87.03	55.1	59.97	88.26	67.12	105.89	94.67	74.06	92.7	53.57	74.58	81.71	159.9	134.3	140.04	271.48	507.46	314.17	239.52	183.82	122.64	316.37	214.27	152.28	128.79	114.36	206.94	165.57	115.97	155.5	198.47	120.1	182.55	223.41	191.67	109.66	89.51	151.22	156.59	187.71	173.85	163.28	98.73	159.9	185.11	447.82	140.04	414.87	137.14	152.28	480.04	155.5
SPIN4	43.94	129.69	62.12	100.83	79.45	199.85	26.67	129.69	17.51	19.39	28.24	10.0	13.03	28.24	6.26	25.17	14.45	15.34	30.78	17.77	12.18	27.44	16.03	5.82	10.55	29.06	20.26	19.82	9.2	20.86	4.1	33.78	18.97	10.16	21.32	21.78	17.9	4.9	37.05	7.4	7.22	22.43	2.78	28.65	26.86	11.13	23.25	27.64	9.48	12.83	21.63	37.59	25.17	36.01	19.53	11.3	7.22	7.46	9.85	13.52	6.01	5.15	7.57	52.08	2.81	15.91	15.0	12.36	17.38	12.09	15.45	1.48	12.0	17.13	65.26	84.04	69.03	99.43	59.13	72.01	223.41	226.54	74.06	109.66	348.71	41.81	53.57	23.59	41.22	48.87	36.79	82.87	41.22	191.67	126.12	137.14	73.54	77.79	11.04	75.64	129.69	102.97	31.0	58.3	58.3	151.22	59.13	7.63	59.13	53.19	47.84	25.17	125.24	94.67
SPRTN	186.4	173.85	158.79	289.02	122.64	251.48	121.79	156.59	63.45	57.08	66.18	59.97	69.03	70.01	24.11	67.59	51.71	42.71	114.36	109.66	115.16	199.85	97.36	61.25	116.78	78.89	126.12	96.01	67.12	111.21	53.57	117.6	64.34	65.26	143.01	117.6	63.0	139.07	137.14	142.01	90.14	176.29	74.58	92.05	102.25	63.89	239.52	128.79	89.51	139.07	107.38	128.79	133.36	73.03	94.01	100.83	38.67	67.59	54.33	48.52	52.82	50.27	45.53	82.87	38.4	50.63	73.54	60.39	67.59	58.71	42.41	20.71	33.06	59.97	158.79	121.79	77.79	84.63	297.17	221.86	176.29	165.57	71.5	151.22	172.65	127.0	93.35	104.42	156.59	106.63	59.97	127.89	117.6	81.14	154.42	149.12	119.26	123.5	73.54	114.36	122.64	116.78	113.56	85.22	69.52	103.69	94.67	242.88	155.5	301.33	105.89	161.02	334.46	201.25
STAG1	232.94	429.54	320.8	332.14	392.44	1225.22	138.1	277.2	138.1	107.38	180.02	109.66	81.14	119.26	50.63	108.9	108.9	75.64	105.89	96.68	94.01	104.42	102.97	96.68	125.24	112.77	135.24	46.18	80.57	122.64	59.13	198.47	96.01	76.17	155.5	135.24	141.02	127.89	169.07	69.03	46.84	135.24	72.52	172.65	131.51	85.82	202.66	145.02	94.67	126.12	88.26	114.36	159.9	139.07	94.67	90.14	54.72	100.83	108.9	148.09	86.43	64.8	67.59	51.35	110.43	41.22	102.97	78.34	108.9	81.71	115.16	64.34	71.0	109.66	146.03	178.77	171.45	228.13	872.1	373.81	395.18	237.86	232.94	165.57	368.65	201.25	140.04	127.89	260.38	154.42	307.69	166.73	149.12	214.27	241.19	358.54	237.86	214.27	85.82	198.47	212.78	229.72	176.29	173.85	224.97	206.94	180.02	147.06	249.73	368.65	185.11	248.0	656.11	189.02
SUDS3	669.92	447.82	336.79	521.76	277.2	808.0	417.77	432.53	293.07	283.05	224.97	209.84	246.28	239.52	126.12	220.32	209.84	265.87	253.23	154.42	178.77	285.03	165.57	214.27	182.55	204.07	239.52	176.29	157.68	312.0	171.45	323.03	234.57	127.0	236.21	153.34	182.55	166.73	204.07	131.51	97.36	221.86	129.69	215.77	223.41	155.5	314.17	320.8	191.67	143.01	183.82	221.86	231.32	220.32	139.07	159.9	120.1	205.5	151.22	136.19	204.07	165.57	128.79	186.4	212.78	195.72	186.4	198.47	136.19	215.77	228.13	128.79	187.71	208.38	480.04	450.94	320.8	603.67	529.06	525.39	669.92	599.49	928.3	466.88	743.43	279.14	246.28	346.29	279.14	299.25	376.41	368.65	226.54	307.69	264.03	423.61	325.29	265.87	180.02	236.21	339.14	303.44	215.77	228.13	297.17	356.05	409.15	353.59	409.15	275.28	221.86	435.55	591.22	624.99
SUPT16H	1487.87	1697.45	1233.75	1183.45	1259.69	2627.46	1001.93	2701.35	743.43	796.86	954.43	540.19	595.34	995.0	392.44	575.03	947.83	748.61	813.63	511.0	575.03	733.19	647.07	571.05	1233.75	723.08	769.69	591.22	587.13	728.11	444.72	1167.14	921.88	480.04	575.03	620.67	429.54	616.37	1529.73	511.0	444.72	656.11	547.75	967.76	1104.13	575.03	830.75	934.76	540.19	836.53	532.74	674.59	780.44	738.29	616.37	629.35	323.03	420.68	460.44	258.57	728.11	616.37	320.8	947.83	435.55	309.83	441.64	493.56	361.04	507.46	429.54	204.07	379.04	291.04	1277.29	1529.73	890.44	842.36	1745.2	1977.24	2004.85	1977.24	2004.85	1216.75	2271.4	759.08	693.58	872.1	1088.92	1378.57	819.3	1304.15	934.76	941.27	1340.84	1639.59	775.05	921.88	1806.78	1088.92	954.43	902.89	1088.92	1059.11	647.07	860.08	1388.16	1572.76	1427.22	1286.18	723.08	1583.71	2997.45	2047.0
SUPT7L	571.05	450.94	525.39	327.56	463.65	599.49	134.3	967.76	665.29	764.36	511.0	409.15	463.65	1151.06	346.29	412.0	579.04	532.74	379.04	303.44	366.09	651.58	521.76	265.87	679.29	607.87	384.34	334.46	376.41	591.22	379.04	713.11	450.94	387.02	518.15	441.64	463.65	575.03	612.11	351.14	316.37	457.25	414.87	497.0	521.76	470.14	764.36	708.18	348.71	500.46	414.87	507.46	470.14	500.46	514.56	397.93	281.09	301.33	251.48	343.89	395.18	353.59	273.37	748.61	289.02	341.51	346.29	387.02	307.69	463.65	438.59	164.42	279.14	293.07	679.29	536.45	728.11	579.04	848.22	703.28	642.59	708.18	1175.27	967.76	775.05	521.76	532.74	629.35	547.75	1030.12	563.18	860.08	447.82	674.59	417.77	529.06	825.0	293.07	842.36	500.46	791.35	825.0	543.96	684.02	693.58	830.75	825.0	525.39	559.28	733.19	633.73	718.08	684.02	559.28
SUZ12	423.61	507.46	305.55	432.53	295.11	909.17	387.02	620.67	193.01	186.4	144.01	82.87	140.04	206.94	35.0	72.01	139.07	84.63	178.77	159.9	206.94	325.29	175.07	92.05	197.09	195.72	234.57	126.12	115.16	206.94	92.05	341.51	277.2	126.12	241.19	248.0	242.88	183.82	239.52	163.28	102.25	277.2	128.79	285.03	215.77	133.36	432.53	429.54	128.79	185.11	171.45	366.09	271.48	305.55	199.85	124.37	54.72	155.5	132.44	112.77	161.02	124.37	125.24	246.28	143.01	99.43	114.36	185.11	119.26	125.24	125.24	105.15	115.97	159.9	400.71	242.88	262.2	305.55	514.56	379.04	555.41	334.46	423.61	426.57	1015.93	271.48	231.32	305.55	295.11	169.07	460.44	271.48	209.84	309.83	392.44	603.67	237.86	293.07	122.64	279.14	312.0	183.82	320.8	239.52	267.73	193.01	332.14	356.05	343.89	483.38	236.21	316.37	555.41	466.88
