	TCGA.LL.A440.01A.11R.A24H.07	TCGA.IG.A4QT.01A.21R.A260.31	TCGA.LN.A8I1.01A.11R.A36D.31	GTEX.N7MS.1626.SM.3LK5F	TCGA.A4.8518.01A.11R.2404.07	TCGA.2K.A9WE.01A.11R.A38C.07	TCGA.KV.A6GD.01A.11R.A31O.07	TCGA.4A.A93Y.01A.11R.A37K.07	TCGA.A4.A48D.01A.11R.A24Z.07	TCGA.V9.A7HT.01A.11R.A33Z.07	TCGA.GL.A4EM.01A.11R.A24Z.07	TCGA.A4.A5Y0.01A.11R.A31O.07	TCGA.Y8.A8S1.01A.11R.A37K.07	TCGA.F9.A97G.01A.11R.A38C.07	TCGA.B1.5398.01A.02R.1592.07	TCGA.IA.A83V.01A.11R.A355.07	TCGA.BQ.7059.01A.11R.1965.07	TCGA.IA.A83T.01A.11R.A355.07	TCGA.2Y.A9GW.01A.11R.A38B.07	TCGA.G3.A5SM.01A.12R.A28V.07	TCGA.DD.A4NQ.01A.21R.A28V.07	TCGA.DD.A1EG.01A.11R.A213.07	TCGA.DD.AAEI.01A.11R.A41C.07	TCGA.DD.A4NO.01A.11R.A28V.07	TCGA.G3.AAV3.01A.11R.A37K.07	TCGA.DD.AAE1.01A.11R.A41C.07	TCGA.EP.A3JL.01A.11R.A213.07	TCGA.FV.A2QQ.01A.11R.A22L.07	TCGA.DD.A3A4.01A.11R.A22L.07	TCGA.G3.A7M7.01A.12R.A352.07	TCGA.DD.AACQ.01A.11R.A41C.07	TCGA.CC.A3MC.01A.11R.A22L.07	TCGA.EP.A2KB.01A.11R.A180.07	TCGA.T1.A6J8.01A.11R.A32O.07	TCGA.O8.A75V.01A.11R.A32O.07	TCGA.DD.A39W.01A.11R.A213.07	TCGA.CC.A7IK.01A.12R.A33R.07	TCGA.DD.A39Y.01A.11R.A213.07	TCGA.DD.AAC8.01A.11R.A41C.07	TCGA.HP.A5MZ.01A.21R.A27V.07	TCGA.GJ.A3OU.01A.31R.A38B.07	TCGA.UB.A7MD.01A.12R.A352.07	TCGA.MI.A75E.01A.11R.A32O.07	TCGA.DD.A3A8.11A.11R.A22L.07	TCGA.EP.A26S.11A.12R.A16W.07	GTEX.YB5E.0326.SM.5IFHU	GTEX.13FLV.0326.SM.5N9DJ	GTEX.YFC4.1526.SM.5IFJS	GTEX.X4EO.1126.SM.4QARQ	GTEX.ZYT6.0626.SM.5E45V	GTEX.13N11.0926.SM.5IJG2	GTEX.145MF.0826.SM.5QGQA	GTEX.139TS.1426.SM.5IFJD	GTEX.P78B.1326.SM.3P611	GTEX.13QJC.0726.SM.5RQJK	GTEX.12WSG.0626.SM.5FQTQ	GTEX.1399R.1226.SM.5P9GF	GTEX.RN64.1826.SM.48FDV	GTEX.Q734.0326.SM.48U15	GTEX.13NZ9.1326.SM.5MR3V	GTEX.REY6.1226.SM.48FDR	GTEX.R53T.0326.SM.48FEC	TCGA.86.A4P8.01A.11R.A24X.07	TCGA.55.8510.01A.11R.2403.07	TCGA.86.8671.01A.11R.2403.07	TCGA.L4.A4E6.01A.11R.A24H.07	TCGA.49.AAR0.01A.21R.A39D.07	TCGA.55.7728.01A.11R.2187.07	TCGA.44.7660.01A.11R.2066.07	TCGA.86.A4P7.01A.11R.A24X.07	TCGA.97.8552.01A.11R.2403.07	TCGA.53.A4EZ.01A.12R.A24X.07	TCGA.93.A4JO.01A.21R.A24X.07	TCGA.95.7043.01A.11R.1949.07	TCGA.55.7995.01A.11R.2187.07	TCGA.97.A4M2.01A.12R.A24X.07	TCGA.38.4632.11A.01R.1755.07	GTEX.P44H.1126.SM.48TBU	GTEX.QV44.0926.SM.2S1RH	GTEX.X5EB.0426.SM.46MVY	GTEX.ZTTD.1126.SM.51MRP	GTEX.YB5E.0726.SM.4VDSH	GTEX.PWOO.0726.SM.2I3EB	GTEX.SUCS.0626.SM.32PM5	GTEX.13OW8.1726.SM.5L3GO	TCGA.22.1016.01A.01R.0692.07	TCGA.18.3411.01A.01R.0980.07	TCGA.98.A53D.01A.32R.A262.07	TCGA.90.7964.01A.21R.2187.07	TCGA.21.1081.01A.01R.0692.07	TCGA.NC.A5HE.01A.11R.A26W.07	TCGA.77.8007.11A.01R.2187.07
FTL	331809.5	311742.51	517068.97	482442.34	577714.63	1422501.74	919186.72	1355129.16	932018.1	524287.0	998912.34	834179.46	1422501.74	736332.6	1048575.0	783730.52	741454.2	992012.34	1123834.93	971597.0	2111737.85	1327240.99	1452391.55	805764.22	906531.99	1393227.06	875652.15	1055868.42	706337.4	696613.03	1514068.5	985160.01	1100706.72	958220.73	932018.1	822695.06	1147449.11	1493223.86	992012.34	811368.76	881742.8	822695.06	762299.34	472513.8	489177.0	659036.03	701458.36	2294899.22	1179708.33	919186.72	1327240.99	1147449.11	1374046.07	1055868.42	573724.06	857631.47	1131651.83	906531.99	925580.18	610654.84	706337.4	2326934.84	381149.17	318292.9	294926.33	998912.34	348306.01	469249.9	411347.03	263966.36	279017.26	663619.99	229795.93	1273174.62	450134.56	355624.68	1204496.53	301123.38	1336472.68	305326.92	945028.61	971597.0	1327240.99	900270.11	1179708.33	336441.4	971597.0	345900.08	645473.24	262143.0	405683.88	971597.0
GNRH1	135.24	269.6	72.52	3.26	9.48	22.26	57.49	6.21	2.12	38.95	20.41	19.97	14.67	1.14	0.0	7.17	10.16	5.02	19.39	26.28	52.82	11.47	2.86	18.84	22.1	32.36	29.7	13.42	11.47	28.86	26.67	7.17	55.89	4.54	10.16	5.54	37.32	18.56	30.78	37.59	48.18	11.55	15.22	1.48	1.58	1.43	8.19	9.27	5.63	6.26	8.58	8.71	12.18	5.45	17.77	3.79	5.02	14.56	16.75	16.63	4.9	8.85	127.0	58.3	102.97	88.88	122.64	88.26	115.97	26.67	63.89	37.32	122.64	12.36	49.91	77.25	27.25	94.67	15.45	59.97	32.13	27.44	15.0	20.11	76.71	34.26	6.67	142.01	30.56	54.72	53.19	39.79
GON4L	698.41	791.35	688.78	84.63	199.85	384.34	379.04	334.46	199.85	463.65	170.25	291.04	164.42	285.03	273.37	244.57	297.17	287.01	450.94	281.09	325.29	299.25	124.37	395.18	341.51	414.87	332.14	191.67	103.69	185.11	476.71	518.15	409.15	214.27	267.73	212.78	514.56	156.59	444.72	273.37	241.19	269.6	297.17	108.9	89.51	48.52	99.43	202.66	214.27	129.69	212.78	85.22	119.26	189.02	87.65	231.32	143.01	275.28	175.07	79.45	182.55	91.41	728.11	890.44	638.15	688.78	656.11	728.11	674.59	1208.34	620.67	529.06	1175.27	633.73	688.78	819.3	214.27	1111.82	497.0	759.08	587.13	379.04	351.14	438.59	555.41	713.11	287.01	587.13	638.15	616.37	748.61	339.14
GPC2	52.08	108.9	202.66	0.0	5.92	52.08	18.7	11.64	2.43	92.7	4.24	14.35	10.96	4.54	8.38	16.63	13.72	21.32	21.47	9.41	16.39	5.96	6.16	8.38	24.11	3.26	16.39	3.59	3.03	9.48	6.01	6.31	3.23	9.78	12.0	1.41	12.36	13.03	11.55	16.51	15.68	8.85	4.58	0.0	0.0	3.41	4.28	0.37	5.36	3.72	7.11	0.01	5.77	3.89	0.66	9.27	1.45	1.19	15.45	4.21	4.39	6.06	61.68	131.51	62.12	82.29	713.11	47.17	703.28	64.8	50.98	133.36	102.25	89.51	84.04	38.95	3.82	31.9	70.01	34.02	127.0	11.13	51.71	16.39	1.27	318.57	39.22	98.04	58.71	236.21	99.43	20.56
GPRC5D	6.11	100.13	0.0	18.16	3.29	10.63	17.0	4.62	0.0	6.67	6.36	5.96	3.35	4.74	3.32	4.74	10.0	19.11	5.02	26.47	54.33	16.03	4.78	0.0	15.0	21.78	13.52	18.7	2.12	9.2	18.16	22.75	8.58	4.39	8.38	0.0	17.13	12.83	7.46	15.0	1.91	29.27	8.92	2.23	10.31	4.31	16.27	14.14	8.65	11.04	9.93	3.76	7.94	6.94	1.97	2.25	3.5	14.14	1.04	8.65	1.89	0.68	299.25	57.49	19.39	165.57	84.04	72.01	208.38	62.56	74.06	24.99	40.64	100.13	51.71	73.03	23.59	204.07	21.16	98.73	49.91	53.95	100.13	81.71	104.42	50.63	107.38	91.41	78.34	271.48	33.3	56.28
GTPBP3	769.69	713.11	743.43	58.71	223.41	358.54	323.03	256.78	199.85	450.94	241.19	353.59	229.72	234.57	223.41	293.07	214.27	283.05	438.59	279.14	165.57	158.79	229.72	221.86	336.79	493.56	256.78	283.05	201.25	232.94	376.41	312.0	368.65	214.27	269.6	318.57	279.14	229.72	341.51	195.72	273.37	295.11	239.52	181.28	135.24	95.34	126.12	279.14	251.48	145.02	403.5	241.19	204.07	183.82	108.9	283.05	139.07	463.65	180.02	211.31	202.66	182.55	559.28	595.34	423.61	473.41	486.75	525.39	441.64	651.58	543.96	591.22	974.5	242.88	476.71	647.07	110.43	718.08	249.73	571.05	376.41	293.07	381.68	450.94	209.84	447.82	507.46	361.04	320.8	1259.69	703.28	251.48
HNRNPDL	5255.91	12589.08	8022.41	2434.5	1304.15	3928.15	4181.07	3540.14	1870.53	5076.84	2004.85	3212.66	2104.58	2148.82	1605.83	2627.46	2701.35	2701.35	2417.67	1923.14	2451.44	2520.38	1378.57	2976.74	2287.2	2502.97	2119.22	1991.0	1757.34	2090.03	1883.54	2133.97	4575.41	1369.04	1437.15	1991.0	2485.67	1991.0	3540.14	2664.15	2609.3	1832.01	1662.49	1295.13	1457.23	1277.29	1923.14	2816.11	3515.68	2319.15	2255.7	2104.58	1135.2	1540.37	1427.22	4802.93	961.07	2163.77	1044.52	1561.89	1757.34	890.44	7032.37	4639.29	5112.16	5995.9	5041.77	5995.9	5831.91	5329.3	4388.98	5479.15	5672.41	3665.02	3874.05	6792.79	4512.4	6294.04	4268.94	4512.4	7230.1	3564.78	2417.67	2956.17	6699.25	6294.04	3540.14	8479.89	3665.02	7230.1	3794.3	5255.91
IBA57-AS1	4.5	10.63	29.91	2.01	0.0	10.47	0.0	0.0	0.0	2.53	6.94	0.0	0.0	0.0	0.0	3.11	0.0	5.15	9.34	0.0	0.0	2.27	0.0	13.52	0.0	5.82	0.0	3.72	0.0	0.0	0.0	4.54	3.86	0.0	6.16	8.25	4.13	7.06	6.41	0.0	4.74	6.62	4.82	0.0	0.0	0.0	2.27	4.35	2.25	0.0	0.39	2.36	0.0	0.33	1.87	2.43	4.39	4.82	2.73	2.27	0.0	0.0	5.11	9.27	0.0	5.54	22.1	3.14	11.73	8.06	23.08	0.0	5.32	10.08	7.57	15.91	0.0	30.78	0.0	12.0	1.36	10.39	2.51	10.63	5.19	25.54	5.68	7.88	15.68	22.92	6.01	1.75
ILKAP	796.86	1286.18	1015.93	356.05	312.0	575.03	974.5	547.75	371.22	775.05	346.29	189.02	426.57	435.55	353.59	555.41	483.38	642.59	583.07	376.41	379.04	595.34	454.09	547.75	503.95	595.34	500.46	723.08	480.04	575.03	669.92	466.88	559.28	460.44	500.46	693.58	718.08	656.11	665.29	579.04	567.1	575.03	583.07	353.59	400.71	265.87	417.77	660.68	514.56	551.56	379.04	343.89	423.61	463.65	595.34	466.88	273.37	607.87	397.93	450.94	493.56	299.25	961.07	878.17	884.29	866.07	1331.57	941.27	988.12	830.75	896.64	1037.29	947.83	693.58	718.08	941.27	563.18	890.44	638.15	1051.79	909.17	854.13	336.79	775.05	723.08	825.0	785.88	1030.12	708.18	1151.06	642.59	733.19
ING5	389.72	466.88	441.64	121.79	114.36	162.14	234.57	202.66	126.12	215.77	130.6	111.21	156.59	109.66	108.9	127.0	152.28	147.06	167.9	136.19	191.67	223.41	151.22	320.8	229.72	332.14	178.77	336.79	115.16	215.77	368.65	275.28	356.05	173.85	209.84	444.72	387.02	301.33	291.04	197.09	170.25	228.13	175.07	136.19	186.4	91.41	152.28	163.28	94.67	256.78	107.38	118.43	113.56	158.79	176.29	178.77	158.79	281.09	224.97	138.1	131.51	130.6	525.39	379.04	318.57	420.68	529.06	260.38	444.72	373.81	409.15	426.57	536.45	327.56	403.5	551.56	232.94	217.27	246.28	518.15	198.47	389.72	244.57	432.53	381.68	323.03	208.38	387.02	392.44	638.15	316.37	212.78
INPP5E	237.86	379.04	348.71	74.58	87.65	154.42	134.3	167.9	94.67	136.19	109.66	111.99	120.94	107.38	105.15	163.28	157.68	170.25	144.01	101.54	127.89	84.04	88.88	114.36	113.56	165.57	87.65	98.04	47.17	94.67	142.01	150.17	165.57	63.45	116.78	87.03	109.66	92.7	241.19	131.51	162.14	177.53	135.24	77.25	48.52	33.78	76.17	97.36	79.45	66.18	138.1	77.25	63.89	92.7	84.04	86.43	61.25	198.47	78.34	72.01	71.5	71.5	281.09	214.27	269.6	214.27	223.41	271.48	110.43	246.28	249.73	320.8	218.79	130.6	258.57	287.01	89.51	348.71	122.64	406.31	205.5	150.17	125.24	144.01	100.83	193.01	52.08	206.94	124.37	229.72	323.03	116.78
JMJD7-PLA2G4B	158.79	237.86	361.04	4.62	10.71	40.93	28.24	15.22	2.48	53.57	26.28	18.43	5.02	19.97	10.39	29.27	25.54	24.28	45.21	14.45	19.97	15.8	57.08	50.63	21.01	36.01	14.45	18.56	12.09	28.45	42.71	25.35	19.68	19.68	24.11	16.75	42.41	4.82	15.34	42.41	22.59	18.7	12.09	9.85	14.56	1.19	29.7	37.59	21.78	33.06	15.22	25.91	22.1	25.35	8.58	12.18	22.43	62.12	37.59	8.45	14.67	12.45	287.01	100.83	120.1	163.28	66.65	166.73	100.83	169.07	262.2	109.66	186.4	45.53	134.3	221.86	76.71	120.94	51.35	201.25	75.11	64.34	53.95	314.17	77.79	105.89	34.26	133.36	96.68	191.67	236.21	51.35
KCTD13	656.11	629.35	974.5	70.51	351.14	432.53	607.87	285.03	363.56	587.13	339.14	376.41	246.28	201.25	356.05	412.0	218.79	348.71	293.07	162.14	127.89	166.73	132.44	177.53	332.14	92.05	267.73	323.03	120.1	162.14	172.65	158.79	148.09	158.79	417.77	226.54	186.4	90.77	334.46	262.2	305.55	289.02	223.41	144.01	76.17	54.72	153.34	361.04	164.42	105.15	271.48	136.19	208.38	147.06	154.42	164.42	65.72	177.53	239.52	175.07	144.01	104.42	532.74	1044.52	555.41	409.15	753.83	703.28	177.53	547.75	708.18	389.72	381.68	154.42	500.46	595.34	156.59	555.41	307.69	698.41	521.76	438.59	281.09	320.8	170.25	559.28	186.4	466.88	460.44	872.1	878.17	281.09
KDM2B	400.71	733.19	476.71	108.14	144.01	255.0	187.71	397.93	154.42	392.44	277.2	140.04	231.32	209.84	307.69	197.09	376.41	275.28	142.01	136.19	169.07	149.12	140.04	110.43	346.29	109.66	123.5	134.3	102.25	81.14	175.07	102.97	151.22	169.07	129.69	214.27	246.28	145.02	201.25	151.22	231.32	176.29	123.5	182.55	169.07	125.24	122.64	149.12	185.11	151.22	76.17	155.5	171.45	164.42	90.77	126.12	180.02	273.37	175.07	96.68	82.87	204.07	493.56	295.11	463.65	361.04	267.73	279.14	521.76	336.79	325.29	285.03	260.38	98.73	389.72	373.81	246.28	301.33	381.68	483.38	309.83	339.14	351.14	571.05	242.88	583.07	198.47	273.37	237.86	376.41	373.81	251.48
KIAA0907	872.1	1167.14	1304.15	96.01	198.47	384.34	293.07	190.34	149.12	500.46	141.02	346.29	116.78	366.09	228.13	211.31	201.25	153.34	450.94	312.0	457.25	265.87	151.22	406.31	438.59	708.18	346.29	271.48	218.79	197.09	713.11	854.13	490.14	220.32	327.56	536.45	733.19	348.71	703.28	470.14	438.59	368.65	293.07	80.57	135.24	43.32	251.48	303.44	195.72	199.85	194.36	138.1	206.94	175.07	217.27	129.69	110.43	384.34	209.84	205.5	105.89	134.3	928.3	921.88	647.07	688.78	1015.93	1191.69	1143.1	1175.27	947.83	967.76	1540.37	703.28	947.83	1081.39	190.34	830.75	429.54	420.68	543.96	242.88	253.23	242.88	603.67	1331.57	457.25	947.83	830.75	1733.13	2163.77	336.79
KLHL17	265.87	559.28	674.59	7.17	61.68	231.32	105.89	62.12	59.97	198.47	103.69	92.05	48.52	78.34	80.57	161.02	72.52	121.79	167.9	87.65	281.09	89.51	78.34	143.01	155.5	118.43	170.25	131.51	80.57	120.1	176.29	152.28	118.43	63.89	65.72	96.01	226.54	198.47	126.12	187.71	147.06	105.15	114.36	25.72	21.16	16.27	59.97	76.71	48.52	52.82	70.01	48.87	100.13	96.68	63.45	87.03	36.27	80.01	84.04	163.28	101.54	64.8	435.55	612.11	303.44	275.28	376.41	441.64	271.48	457.25	473.41	336.79	981.29	92.05	301.33	389.72	32.82	141.02	127.0	221.86	387.02	117.6	231.32	137.14	26.28	211.31	52.08	373.81	547.75	397.93	432.53	110.43
L3MBTL1	209.84	289.02	463.65	12.27	78.89	123.5	96.01	35.5	20.41	231.32	39.22	162.14	20.71	49.21	33.78	69.52	37.05	38.95	37.05	31.45	49.91	32.13	11.55	28.45	52.08	105.89	40.93	19.53	9.63	25.72	71.0	69.52	73.03	41.22	27.25	40.07	57.49	12.36	73.03	40.36	55.1	31.67	23.93	14.78	7.0	2.1	23.25	20.86	17.13	24.63	29.7	25.72	25.54	40.93	6.36	17.64	22.75	60.39	63.45	23.25	9.78	19.68	258.57	190.34	153.34	181.28	151.22	244.57	105.15	167.9	241.19	92.7	295.11	114.36	194.36	242.88	29.48	258.57	86.43	301.33	85.82	58.3	84.04	65.26	73.03	242.88	16.88	103.69	135.24	223.41	363.56	49.91
LA16c-431H6.6	0.77	1.48	5.06	0.0	0.41	0.38	0.69	0.0	0.0	1.41	0.0	0.0	0.0	0.0	0.38	0.68	0.38	0.68	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.74	1.08	2.58	1.19	2.1	3.03	2.56	2.14	2.27	0.34	2.71	3.35	7.22	2.89	0.0	1.87	0.0	2.68	1.08	0.0	0.93	1.2	0.26	2.84	0.35	0.75	4.82	1.69	1.03	1.89
LENG8	5041.77	7081.29	5517.27	265.87	466.88	1685.71	1745.2	1044.52	473.41	2384.37	486.75	769.69	583.07	579.04	521.76	848.22	738.29	713.11	1819.35	1143.1	2075.59	872.1	802.41	1806.78	1467.37	1277.29	1159.07	1322.37	420.68	1216.75	1427.22	1605.83	2287.2	842.36	860.08	890.44	1583.71	698.41	1583.71	1757.34	1407.55	1135.2	995.0	289.02	447.82	229.72	915.51	902.89	1286.18	529.06	1066.48	563.18	693.58	848.22	595.34	441.64	460.44	1295.13	1081.39	339.14	872.1	432.53	7857.29	3742.05	4769.75	6121.9	3690.52	5791.62	3103.19	5292.48	6381.92	2573.36	6164.49	2319.15	3168.41	6607.01	669.92	11827.67	1030.12	5366.37	1477.58	2573.36	1769.57	2163.77	2384.37	3901.01	780.44	6381.92	2104.58	4328.55	3467.27	1745.2
LGALS8	1151.06	1111.82	1322.37	444.72	346.29	647.07	400.71	473.41	325.29	521.76	363.56	743.43	255.0	497.0	514.56	371.22	463.65	241.19	872.1	1350.18	1001.93	688.78	395.18	896.64	974.5	1519.15	769.69	825.0	368.65	438.59	1119.56	825.0	1001.93	796.86	872.1	3665.02	2520.38	426.57	1721.16	1191.69	764.36	775.05	473.41	361.04	409.15	457.25	444.72	591.22	1127.35	426.57	728.11	447.82	432.53	607.87	271.48	1397.83	325.29	872.1	493.56	563.18	825.0	332.14	1259.69	1143.1	928.3	1030.12	718.08	1259.69	1819.35	1135.2	1088.92	518.15	1437.15	409.15	1662.49	1023.0	909.17	2119.22	890.44	1015.93	825.0	638.15	595.34	642.59	825.0	1397.83	1540.37	995.0	1977.24	1175.27	1008.9	902.89
LIMK2	1191.69	486.75	490.14	246.28	429.54	698.41	384.34	514.56	353.59	688.78	409.15	191.67	848.22	529.06	423.61	603.67	599.49	497.0	1081.39	728.11	866.07	674.59	153.34	723.08	353.59	146.03	432.53	529.06	122.64	674.59	599.49	748.61	122.64	127.0	921.88	112.77	98.04	161.02	470.14	902.89	733.19	435.55	698.41	153.34	106.63	162.14	104.42	361.04	215.77	56.68	223.41	62.12	166.73	229.72	91.41	713.11	101.54	85.22	307.69	454.09	334.46	63.89	1051.79	616.37	738.29	1051.79	629.35	1277.29	974.5	830.75	1295.13	348.71	819.3	438.59	1977.24	961.07	872.1	2032.85	1216.75	1066.48	915.51	579.04	1135.2	688.78	753.83	1721.16	1015.93	1183.45	1709.26	1286.18	693.58	1143.1
LINC00999	73.03	40.93	33.54	18.43	11.91	39.22	16.15	25.54	9.7	57.89	14.14	26.28	25.35	13.93	21.32	8.19	27.05	10.16	24.11	22.26	28.04	13.93	14.89	51.71	31.0	76.17	9.7	3.82	24.63	13.83	46.5	20.71	35.5	20.41	15.56	49.21	65.26	3.63	20.11	13.83	12.27	14.78	32.36	6.46	8.0	1.77	19.39	15.22	7.88	28.86	16.51	12.93	9.41	22.26	15.68	9.27	20.11	68.07	25.72	8.51	10.88	15.22	69.03	42.41	42.41	41.22	28.24	77.79	60.82	78.34	73.54	54.72	63.45	17.64	50.27	53.19	20.26	158.79	18.03	81.14	36.01	30.78	85.22	80.01	40.07	68.07	8.92	29.7	51.35	59.13	37.59	23.59
LRIG2	109.66	181.28	82.29	28.65	22.59	80.57	72.01	49.91	26.28	88.26	35.76	48.18	33.54	44.89	50.98	39.79	70.51	48.18	38.95	28.24	68.07	20.56	29.27	50.27	36.53	28.24	26.86	30.56	22.1	20.26	67.12	26.47	40.36	36.79	27.44	65.26	80.57	37.32	46.18	33.54	34.75	33.06	35.5	13.22	15.68	18.7	64.34	32.82	21.01	34.02	48.52	29.27	29.27	39.22	32.36	59.55	25.54	59.97	33.78	21.32	42.41	22.92	190.34	98.73	98.04	135.24	129.69	150.17	176.29	152.28	101.54	96.68	87.65	90.77	75.64	122.64	84.04	211.31	119.26	158.79	116.78	102.25	123.5	75.64	195.72	258.57	153.34	135.24	208.38	149.12	76.71	85.22
LY6G5B	244.57	607.87	540.19	7.51	10.55	117.6	170.25	35.0	15.56	273.37	26.86	21.63	7.94	12.64	7.11	46.5	22.26	44.89	96.01	57.49	110.43	84.63	37.05	105.15	92.7	162.14	89.51	84.04	25.91	94.67	164.42	85.82	172.65	74.58	63.89	49.91	176.29	19.25	185.11	156.59	104.42	45.21	46.5	0.0	11.13	8.71	40.36	52.08	74.58	73.03	50.98	20.26	27.25	50.27	9.2	28.45	11.73	142.01	35.25	16.03	18.16	9.13	447.82	265.87	249.73	409.15	435.55	412.0	543.96	420.68	423.61	346.29	679.29	106.63	218.79	392.44	37.05	961.07	33.54	277.2	106.63	96.01	94.01	199.85	403.5	336.79	18.29	473.41	135.24	503.95	361.04	191.67
LZTR1	1233.75	1561.89	1498.22	262.2	713.11	872.1	1008.9	366.09	624.99	1199.98	802.41	507.46	665.29	743.43	612.11	1023.0	612.11	769.69	660.68	693.58	718.08	660.68	532.74	583.07	521.76	669.92	591.22	1088.92	463.65	708.18	1167.14	902.89	638.15	406.31	728.11	647.07	1015.93	642.59	703.28	785.88	743.43	866.07	612.11	423.61	305.55	156.59	397.93	607.87	616.37	426.57	607.87	426.57	493.56	559.28	432.53	638.15	314.17	583.07	679.29	579.04	287.01	540.19	1437.15	1685.71	1159.07	1183.45	1119.56	1225.22	718.08	1295.13	1407.55	1051.79	2720.15	780.44	802.41	1388.16	400.71	995.0	1561.89	1447.15	1259.69	723.08	1037.29	769.69	536.45	759.08	551.56	1407.55	995.0	1950.0	463.65	563.18
MAPK8IP3	1191.69	2384.37	1963.57	32.36	165.57	769.69	633.73	269.6	208.38	1639.59	215.77	283.05	126.12	117.6	158.79	595.34	264.03	363.56	426.57	271.48	371.22	186.4	237.86	420.68	246.28	403.5	291.04	395.18	124.37	329.84	450.94	279.14	320.8	234.57	170.25	208.38	336.79	110.43	281.09	525.39	251.48	248.0	166.73	73.03	68.55	37.59	149.12	251.48	269.6	162.14	234.57	107.38	154.42	255.0	78.34	220.32	81.14	351.14	242.88	108.14	186.4	112.77	1594.73	1697.45	1407.55	1250.98	1457.23	2816.11	642.59	2104.58	2796.65	1572.76	1936.53	748.61	2537.92	1857.6	120.1	1844.76	432.53	1487.87	395.18	271.48	651.58	941.27	1119.56	954.43	127.89	1963.57	954.43	1104.13	941.27	460.44
MARK3	1001.93	1286.18	1030.12	420.68	476.71	830.75	1127.35	836.53	476.71	1175.27	432.53	629.35	289.02	713.11	476.71	656.11	718.08	460.44	928.3	579.04	633.73	543.96	503.95	457.25	466.88	660.68	698.41	713.11	775.05	733.19	775.05	603.67	343.89	813.63	563.18	559.28	723.08	665.29	638.15	665.29	825.0	688.78	753.83	224.97	320.8	525.39	480.04	555.41	921.88	412.0	743.43	444.72	503.95	392.44	629.35	1023.0	371.22	563.18	476.71	514.56	476.71	325.29	1540.37	1119.56	1135.2	1697.45	1540.37	1883.54	1794.29	1331.57	1242.34	1417.35	988.12	1167.14	1870.53	1397.83	1081.39	1572.76	1008.9	2133.97	2193.99	1487.87	1322.37	2287.2	2047.0	1923.14	884.29	1769.57	1183.45	1561.89	791.35	1437.15
MBD6	1044.52	1277.29	1551.09	305.55	426.57	1073.91	878.17	567.1	409.15	1359.57	389.72	460.44	575.03	713.11	713.11	884.29	819.3	1250.98	813.63	543.96	571.05	559.28	518.15	435.55	624.99	921.88	559.28	808.0	473.41	392.44	1340.84	688.78	1369.04	703.28	660.68	981.29	896.64	412.0	612.11	656.11	780.44	848.22	599.49	339.14	271.48	237.86	780.44	1175.27	303.44	486.75	366.09	532.74	647.07	733.19	525.39	934.76	343.89	1104.13	575.03	665.29	1151.06	265.87	1551.09	764.36	995.0	1015.93	8598.28	3018.3	1199.98	1159.07	1127.35	738.29	1023.0	583.07	1259.69	1832.01	373.81	2468.49	444.72	2796.65	909.17	1119.56	1151.06	1008.9	457.25	1286.18	341.51	961.07	995.0	1037.29	1322.37	583.07
MBOAT1	651.58	118.43	89.51	23.25	14.14	121.79	117.6	150.17	31.22	148.09	54.33	64.34	70.01	52.45	124.37	126.12	173.85	82.87	95.34	236.21	72.01	206.94	285.03	209.84	64.34	50.63	71.0	169.07	15.8	29.06	493.56	262.2	75.64	81.71	95.34	9.2	53.57	17.64	44.25	143.01	111.99	198.47	173.85	68.55	68.55	140.04	429.54	163.28	148.09	194.36	190.34	60.82	205.5	66.65	8.78	38.95	255.0	39.5	127.89	156.59	228.13	43.02	444.72	314.17	289.02	314.17	273.37	466.88	414.87	633.73	414.87	532.74	379.04	94.01	961.07	381.68	198.47	536.45	307.69	327.56	147.06	264.03	316.37	260.38	241.19	336.79	269.6	201.25	293.07	872.1	327.56	191.67
MCM3AP	1216.75	1044.52	819.3	363.56	476.71	921.88	713.11	775.05	490.14	808.0	647.07	457.25	688.78	651.58	802.41	748.61	791.35	674.59	629.35	775.05	688.78	536.45	638.15	830.75	466.88	633.73	432.53	607.87	571.05	674.59	872.1	693.58	848.22	460.44	669.92	497.0	647.07	511.0	599.49	555.41	708.18	651.58	521.76	381.68	490.14	447.82	400.71	406.31	406.31	438.59	571.05	358.54	381.68	567.1	283.05	607.87	435.55	915.51	684.02	493.56	351.14	688.78	1143.1	1015.93	1015.93	1208.34	934.76	995.0	629.35	1331.57	1143.1	1066.48	1023.0	518.15	1487.87	1304.15	603.67	1923.14	974.5	1322.37	1008.9	1023.0	1167.14	1572.76	1183.45	830.75	366.09	921.88	995.0	1225.22	866.07	796.86
