	TCGA.BH.A209.11A.42R.A157.07	TCGA.BH.A1EV.11A.24R.A137.07	TCGA.E9.A1RF.11A.32R.A157.07	TCGA.BH.A1FE.11B.14R.A13Q.07	TCGA.BH.A203.11A.42R.A169.07	TCGA.E9.A1R7.11A.42R.A14M.07	TCGA.BH.A1FJ.11B.42R.A13Q.07	GTEX.W5X1.2326.SM.3GIL6	GTEX.VJWN.0726.SM.3GIJ8	TCGA.B8.5552.11A.01R.1672.07	TCGA.55.7815.01A.11R.2170.07	TCGA.44.3918.01A.01R.A278.07	TCGA.44.2656.01A.02R.A278.07	TCGA.EJ.7331.01A.11R.2118.07	TCGA.CH.5765.01A.11R.1580.07	TCGA.KC.A4BN.01A.61R.A250.07	TCGA.XK.AAK1.01A.11R.A41O.07	TCGA.XK.AAJ3.01A.11R.A41O.07	TCGA.G9.7522.01A.11R.2263.07	TCGA.VP.A87J.01A.11R.A352.07	TCGA.EJ.5526.01A.01R.1580.07	TCGA.KK.A7AV.01A.11R.A32O.07	TCGA.EJ.5524.01A.01R.1580.07	TCGA.VN.A943.01A.11R.A41O.07	TCGA.EJ.5527.01A.01R.1580.07	TCGA.EJ.7794.01A.11R.2118.07	TCGA.VN.A88R.01A.11R.A36G.07	TCGA.G9.6351.01A.21R.1965.07	TCGA.XJ.A83H.01A.11R.A352.07	TCGA.J4.A67T.01A.11R.A311.07	TCGA.EJ.5516.01A.01R.1580.07	TCGA.KK.A8I7.01A.21R.A36G.07	TCGA.EJ.A65E.01A.11R.A29R.07	TCGA.HC.A8D1.01A.11R.A36G.07	TCGA.EJ.AB27.01A.11R.A41O.07	TCGA.HC.7748.01A.11R.2118.07	TCGA.XK.AAIR.01A.11R.A41O.07	TCGA.G9.6333.01A.12R.1965.07	TCGA.V1.A8X3.01A.11R.A37L.07	TCGA.EJ.8474.01A.11R.2403.07	TCGA.V1.A8WN.01A.11R.A37L.07	TCGA.HC.7749.01A.11R.2118.07	TCGA.HC.7212.01A.11R.2118.07	TCGA.G9.6384.01A.11R.1789.07	TCGA.V1.A8ML.01A.11R.A37L.07	TCGA.EJ.7797.01A.11R.2263.07	TCGA.EJ.5508.01A.02R.1580.07	TCGA.EJ.7317.01A.31R.2118.07	TCGA.V1.A9Z9.01A.21R.A41O.07	TCGA.HC.8260.01A.11R.2263.07	TCGA.YL.A8SR.01B.11R.A37L.07	TCGA.Y6.A8TL.01A.21R.A37L.07	TCGA.VP.A87B.01A.11R.A352.07	TCGA.CH.5746.01A.11R.1580.07	TCGA.HC.7742.01A.11R.2118.07	TCGA.HC.7075.01A.11R.1965.07	TCGA.YL.A8SI.01A.11R.A41O.07	TCGA.V1.A8MU.01A.11R.A37L.07	TCGA.G9.6367.01A.11R.1789.07	TCGA.G9.6499.01A.12R.1965.07	TCGA.EJ.A8FO.01A.21R.A36G.07	TCGA.YL.A8SA.01A.21R.A37L.07	TCGA.CH.5763.01A.11R.1580.07	TCGA.M7.A721.01A.12R.A32O.07	TCGA.HC.7738.01A.11R.2118.07	TCGA.CH.5753.01A.11R.1580.07	TCGA.J9.A8CN.01A.11R.A352.07	TCGA.G9.6371.01A.11R.1789.07	TCGA.EJ.8470.01A.11R.2403.07	TCGA.KK.A8IJ.01A.11R.A352.07	TCGA.2A.AAYF.01A.11R.A41O.07	TCGA.EJ.8468.01A.21R.2403.07	TCGA.EJ.A65G.01A.21R.A29R.07	TCGA.J4.8200.01A.11R.A29R.07	TCGA.EJ.7788.01A.11R.2118.07	TCGA.EJ.5510.01A.01R.1580.07	TCGA.CH.5744.01A.11R.1580.07	TCGA.HC.8256.01A.11R.2263.07	TCGA.CH.5767.01A.11R.1789.07	TCGA.EJ.5517.01A.01R.1580.07	TCGA.EJ.5505.01A.01R.1580.07	TCGA.VN.A88O.01A.11R.A352.07	TCGA.YL.A8SQ.01B.11R.A37L.07	TCGA.M7.A724.01A.12R.A32O.07	TCGA.EJ.7318.01B.11R.A32O.07	TCGA.EJ.7781.01A.11R.2118.07	TCGA.G9.6336.01A.11R.1789.07	TCGA.EJ.A7NJ.01A.22R.A352.07	TCGA.V1.A9OQ.01A.11R.A41O.07	TCGA.EJ.5522.01A.01R.1580.07	TCGA.2A.A8VV.01A.11R.A37L.07	TCGA.EJ.7312.01B.21R.A32O.07	TCGA.EJ.5504.01A.01R.1580.07	TCGA.ZG.A9L6.01A.11R.A41O.07	TCGA.G9.6353.01A.11R.1965.07	TCGA.H9.7775.01A.11R.2118.07	TCGA.2A.A8W1.01A.11R.A37L.07	TCGA.EJ.A65J.01A.11R.A311.07	TCGA.XK.AAJR.01A.11R.A41O.07	TCGA.J9.A8CP.01A.11R.A352.07	TCGA.QU.A6IP.01A.11R.A31N.07	TCGA.G9.7509.01A.11R.A41O.07	TCGA.V1.A8WL.01A.11R.A37L.07	TCGA.KK.A7B3.01A.11R.A33R.07	TCGA.EJ.7123.01A.11R.1965.07	TCGA.HC.7210.01A.11R.2118.07	TCGA.EJ.5496.01A.01R.1580.07	TCGA.HC.7819.01A.11R.2118.07	TCGA.HC.8216.01A.11R.A29R.07	TCGA.EJ.5532.01A.01R.1580.07	TCGA.CH.5741.01A.11R.1580.07	TCGA.EJ.7793.01A.31R.2263.07	TCGA.KK.A59Y.01A.11R.A26U.07	TCGA.EJ.7218.01B.11R.A32O.07	TCGA.J4.A83M.01A.11R.A352.07	TCGA.HC.7211.01A.11R.2118.07	TCGA.2A.AAYU.01A.11R.A41O.07	TCGA.HC.A8CY.01A.11R.A36G.07	TCGA.J4.AAU2.01A.11R.A41O.07	TCGA.XA.A8JR.01A.11R.A36G.07	TCGA.HC.8213.01A.11R.A29R.07	TCGA.FC.A5OB.01A.11R.A29R.07	TCGA.EJ.5542.01A.01R.1580.07	TCGA.EJ.5515.01A.01R.1580.07	TCGA.YL.A8HO.01A.11R.A36G.07	TCGA.CH.5789.01A.11R.1580.07	TCGA.EJ.A6RA.01A.11R.A33R.07	TCGA.EJ.7791.01A.11R.2118.07	TCGA.Y6.A9XI.01A.11R.A41O.07	TCGA.EJ.7785.01A.11R.2118.07	TCGA.HC.7820.01A.11R.2118.07	TCGA.EJ.5530.01A.01R.1580.07	TCGA.XJ.A83G.01A.11R.A352.07	TCGA.HC.8259.01A.11R.2263.07	TCGA.EJ.5497.01A.02R.1580.07	TCGA.G9.6332.01A.11R.1789.07	TCGA.EJ.5498.01A.01R.1580.07	TCGA.EJ.7786.01A.11R.2118.07	TCGA.EJ.5511.01A.01R.1580.07	TCGA.CH.5762.01A.11R.1580.07	TCGA.V1.A9OX.01A.11R.A41O.07	TCGA.G9.6494.01A.11R.1789.07	TCGA.EJ.A46B.01A.31R.A250.07	TCGA.VN.A88N.01A.11R.A36G.07	TCGA.HC.7078.01A.11R.2118.07	TCGA.G9.6377.01A.11R.1965.07	TCGA.ZG.A9ND.01A.11R.A41O.07	TCGA.CH.5748.01A.11R.1580.07	TCGA.KK.A7AU.01A.11R.A32O.07	TCGA.CH.5737.01A.11R.1580.07	TCGA.G9.7519.01A.11R.2263.07	TCGA.EJ.A8FP.01A.21R.A36G.07	TCGA.FC.A8O0.01A.41R.A37L.07	TCGA.2A.AAYO.01A.11R.A41O.07	TCGA.G9.7510.01A.11R.2263.07	TCGA.2A.A8VO.01A.11R.A37L.07	TCGA.XK.AAJA.01A.11R.A41O.07	TCGA.KK.A6E5.01A.11R.A311.07	TCGA.EJ.A7NH.01A.12R.A33R.07	TCGA.2A.A8VL.01A.21R.A37L.07	TCGA.J4.A83N.01A.11R.A352.07	TCGA.EJ.A7NF.01A.11R.A33R.07	TCGA.EJ.7789.11A.01R.2118.07	TCGA.EJ.7327.11A.01R.2118.07	TCGA.EJ.7784.11A.01R.2118.07	TCGA.HC.8260.11A.01R.2263.07	TCGA.G9.6351.11A.01R.1965.07	TCGA.EJ.7317.11A.01R.2118.07	TCGA.EJ.7314.11A.01R.2118.07	TCGA.HC.8259.11A.01R.2263.07	TCGA.G9.6342.11A.02R.1965.07	TCGA.EJ.7793.11A.01R.2263.07	TCGA.EJ.7331.11A.01R.2118.07	GTEX.WFG7.1826.SM.3GIL1
NDUFS6	703.28	521.76	575.03	206.94	616.37	872.1	212.78	277.2	426.57	624.99	693.58	819.3	1111.82	1498.22	1417.35	1407.55	3280.18	2335.28	2075.59	2303.12	1151.06	2417.67	1508.65	2193.99	1143.1	1304.15	2835.7	1936.53	2240.11	1883.54	1066.48	2468.49	2061.24	2032.85	2032.85	1651.0	1794.29	2061.24	2573.36	1870.53	1498.22	2119.22	1561.89	1508.65	2417.67	1685.71	1167.14	1583.71	2591.27	1709.26	2303.12	2271.4	2384.37	1498.22	2287.2	1662.49	2627.46	2255.7	2163.77	2287.2	2384.37	2287.2	967.76	2287.2	1819.35	1183.45	2895.31	1844.76	1529.73	2209.26	2895.31	1397.83	2163.77	1857.6	1950.0	1832.01	2004.85	1794.29	1467.37	1529.73	1407.55	2537.92	2720.15	2090.03	4066.71	1561.89	2303.12	2485.67	3235.01	1225.22	2720.15	2915.45	1561.89	2367.9	2485.67	2004.85	3212.66	2148.82	2178.83	2148.82	2664.15	2047.0	2682.69	2627.46	1617.0	1286.18	1467.37	1977.24	2224.63	1467.37	2104.58	1697.45	2537.92	2271.4	1745.2	1191.69	2520.38	2004.85	2271.4	2367.9	1936.53	1572.76	1295.13	1127.35	3419.52	974.5	2816.11	1540.37	2119.22	1242.34	2148.82	1508.65	3443.31	1977.24	1427.22	2701.35	1059.11	1844.76	1709.26	1242.34	2875.3	1950.0	1977.24	2367.9	1529.73	2555.58	2682.69	1277.29	2075.59	1733.13	3103.19	2255.7	3124.78	2816.11	1936.53	2645.74	1733.13	2287.2	2032.85	2502.97	2720.15	2451.44	1572.76	1407.55	1359.57	1733.13	2104.58	1498.22	1477.58	1697.45	2255.7	1378.57	1427.22	1008.9
NDUFS7	703.28	536.45	785.88	389.72	780.44	775.05	287.01	397.93	417.77	529.06	69.52	29.06	29.91	1467.37	1417.35	1909.85	3665.02	2915.45	2061.24	1819.35	988.12	2816.11	1277.29	1896.65	995.0	1857.6	2956.17	2875.3	2032.85	2287.2	896.64	2384.37	2627.46	2255.7	2319.15	1487.87	1909.85	2701.35	1923.14	1794.29	1733.13	2417.67	1662.49	1709.26	2777.33	1685.71	1135.2	2627.46	2645.74	2384.37	2018.8	2133.97	2720.15	1350.18	2417.67	1806.78	2163.77	2796.65	2895.31	2664.15	2271.4	1119.56	1008.9	2319.15	1963.57	1059.11	2739.08	1674.06	1477.58	2303.12	2119.22	1519.15	2255.7	2319.15	1806.78	1857.6	1870.53	2485.67	1427.22	1073.91	1407.55	2018.8	2335.28	2520.38	3540.14	1417.35	2351.53	2271.4	2224.63	1096.5	2075.59	2303.12	1331.57	2417.67	3103.19	2061.24	3372.43	1819.35	1794.29	2240.11	3190.46	1832.01	2520.38	2224.63	1745.2	1427.22	1216.75	1781.89	1697.45	1781.89	1605.83	2193.99	3103.19	2133.97	1662.49	1639.59	1923.14	1437.15	2061.24	2400.97	1950.0	1909.85	890.44	981.29	4358.66	1378.57	2935.74	1991.0	1832.01	1407.55	2417.67	1477.58	3257.52	2163.77	1081.39	2090.03	1369.04	1896.65	1781.89	1175.27	2976.74	1963.57	2976.74	2303.12	2400.97	2367.9	2209.26	1242.34	2287.2	1617.0	2664.15	2573.36	3467.27	2573.36	2367.9	2271.4	1508.65	2502.97	2502.97	2720.15	2148.82	2335.28	2417.67	2224.63	1832.01	2855.44	3325.99	2047.0	1977.24	2240.11	2855.44	2133.97	2178.83	1119.56
NDUFS8	1617.0	1183.45	1963.57	728.11	1519.15	1304.15	796.86	638.15	1001.93	1340.84	769.69	1051.79	1757.34	3039.3	3018.3	4038.61	7911.95	6426.31	4937.99	3690.52	2061.24	6207.38	2720.15	5112.16	2133.97	3564.78	7966.99	6381.92	4268.94	4736.79	2417.67	5076.84	6607.01	3794.3	4972.34	3146.52	4298.64	7180.15	4066.71	3515.68	3212.66	4937.99	3419.52	3982.99	7695.57	4010.71	2573.36	6887.62	6561.36	4298.64	6516.03	5183.54	5555.65	3280.18	5219.6	5041.77	5183.54	6164.49	6381.92	6337.83	4358.66	4419.52	2400.97	5112.16	4575.41	2224.63	6037.61	4671.57	3665.02	4836.35	5479.15	3146.52	5995.9	4450.27	3874.05	3820.7	3901.01	5041.77	4671.57	3467.27	3515.68	5995.9	5594.3	6935.54	8901.53	3190.46	6381.92	4481.23	6983.79	2193.99	5329.3	9740.98	3742.05	6079.61	6381.92	3982.99	6250.56	5041.77	4937.99	4704.07	7230.1	4450.27	6337.83	4869.99	4095.0	3395.89	3146.52	3928.15	5995.9	4181.07	4671.57	4769.75	6561.36	5751.61	3639.7	2895.31	3982.99	3325.99	6983.79	5751.61	4095.0	4328.55	2271.4	3146.52	8078.22	2835.7	6164.49	3820.7	4903.87	2627.46	4836.35	2935.74	9673.69	4450.27	2682.69	5147.73	2682.69	4388.98	3039.3	2271.4	8479.89	4388.98	6207.38	5441.3	5041.77	5147.73	5517.27	2976.74	6471.02	4512.4	7081.29	4802.93	8421.31	6745.86	5594.3	6337.83	5006.93	7130.55	5479.15	5995.9	5112.16	5751.61	4268.94	4543.8	2935.74	5183.54	6935.54	3820.7	3665.02	4671.57	6516.03	3491.39	3928.15	2434.5
NME3	571.05	587.13	387.02	429.54	529.06	441.64	275.28	212.78	167.9	327.56	43.32	32.82	80.01	1896.65	2255.7	2976.74	6561.36	5147.73	2855.44	3372.43	1628.26	4972.34	2047.0	3901.01	1540.37	1819.35	4512.4	4010.71	4358.66	3124.78	1628.26	3212.66	3564.78	3874.05	3168.41	2434.5	3443.31	4010.71	3349.13	4575.41	2573.36	3081.75	2855.44	2485.67	7433.4	2287.2	1561.89	3419.52	4123.49	3665.02	4038.61	3847.29	3955.48	2367.9	3146.52	2609.3	3716.2	5076.84	3419.52	4210.15	4575.41	7280.4	1529.73	4328.55	3467.27	1950.0	4836.35	3235.01	2303.12	3103.19	3716.2	2701.35	5672.41	2664.15	2664.15	2935.74	5219.6	3515.68	2287.2	1923.14	1769.57	3103.19	4972.34	7382.04	7331.05	1936.53	3395.89	3901.01	4419.52	1844.76	4419.52	6337.83	2018.8	3103.19	4575.41	2855.44	4903.87	2976.74	3820.7	5112.16	5751.61	3349.13	4066.71	6792.79	2148.82	2133.97	1977.24	3515.68	5076.84	2351.53	3847.29	3168.41	5633.22	4152.18	5147.73	2240.11	3589.58	6983.79	3955.48	5041.77	4152.18	2997.45	1427.22	1340.84	4066.71	1923.14	5329.3	2555.58	4769.75	1844.76	3349.13	2720.15	6699.25	3665.02	1769.57	4038.61	1832.01	2816.11	2915.45	1977.24	6079.61	2835.7	4903.87	6381.92	5006.93	3665.02	3820.7	2271.4	6516.03	3467.27	3491.39	4268.94	6792.79	4769.75	3372.43	4181.07	7180.15	4543.8	6207.38	5872.48	4607.24	4512.4	3039.3	2271.4	1936.53	3901.01	4123.49	2720.15	2032.85	3103.19	3690.52	1963.57	2104.58	1870.53
NOL12	256.78	194.36	123.5	198.47	220.32	180.02	145.02	139.07	182.55	226.54	101.54	187.71	260.38	384.34	444.72	616.37	708.18	684.02	518.15	521.76	400.71	679.29	392.44	612.11	305.55	343.89	915.51	660.68	518.15	532.74	283.05	563.18	684.02	521.76	403.5	444.72	480.04	638.15	500.46	607.87	466.88	595.34	444.72	423.61	796.86	575.03	403.5	532.74	660.68	642.59	591.22	583.07	713.11	497.0	476.71	540.19	665.29	595.34	441.64	854.13	536.45	603.67	323.03	559.28	559.28	251.48	638.15	629.35	454.09	493.56	708.18	559.28	575.03	373.81	476.71	450.94	555.41	536.45	376.41	389.72	457.25	674.59	447.82	830.75	748.61	361.04	540.19	490.14	708.18	336.79	638.15	669.92	384.34	642.59	591.22	423.61	559.28	543.96	507.46	633.73	759.08	559.28	638.15	684.02	466.88	490.14	444.72	547.75	476.71	470.14	624.99	371.22	708.18	638.15	525.39	283.05	753.83	532.74	753.83	525.39	543.96	591.22	336.79	368.65	836.53	423.61	698.41	457.25	642.59	423.61	500.46	514.56	878.17	620.67	414.87	642.59	341.51	420.68	343.89	417.77	723.08	412.0	583.07	884.29	684.02	660.68	775.05	397.93	791.35	540.19	579.04	511.0	703.28	708.18	651.58	651.58	718.08	819.3	708.18	688.78	769.69	674.59	454.09	466.88	500.46	559.28	438.59	409.15	400.71	563.18	500.46	417.77	348.71	346.29
NOSIP	791.35	638.15	665.29	466.88	733.19	785.88	460.44	358.54	343.89	688.78	314.17	507.46	536.45	878.17	1088.92	1268.46	2271.4	1594.73	1331.57	1350.18	915.51	1781.89	921.88	1322.37	915.51	1216.75	1487.87	1605.83	1277.29	1605.83	733.19	1674.06	1313.23	1417.35	1605.83	1015.93	1295.13	1583.71	1259.69	1350.18	1119.56	1487.87	1059.11	954.43	1639.59	1295.13	995.0	1583.71	1467.37	1487.87	1477.58	1617.0	1963.57	1259.69	1304.15	1277.29	1832.01	1628.26	1561.89	2061.24	1639.59	1313.23	866.07	1583.71	1388.16	842.36	1651.0	1487.87	1081.39	1457.23	1697.45	1023.0	1806.78	1331.57	1030.12	1551.09	1250.98	1242.34	954.43	1119.56	1111.82	1685.71	1745.2	1407.55	2351.53	947.83	1617.0	1417.35	1806.78	890.44	1529.73	2119.22	1008.9	1819.35	1870.53	1286.18	1286.18	1322.37	1498.22	1388.16	2255.7	1199.98	1457.23	2090.03	1225.22	1088.92	1088.92	1159.07	1388.16	1104.13	1250.98	1407.55	1685.71	1819.35	1457.23	1135.2	1477.58	1183.45	1697.45	1551.09	1295.13	1015.93	728.11	902.89	2384.37	1159.07	2351.53	1268.46	1745.2	1001.93	1388.16	1277.29	1733.13	1447.15	967.76	1529.73	934.76	1167.14	1183.45	947.83	1819.35	1268.46	1819.35	1551.09	1617.0	1437.15	1143.1	995.0	1662.49	1242.34	1806.78	1697.45	2133.97	2004.85	1617.0	2061.24	1427.22	1697.45	1950.0	1529.73	1639.59	1733.13	1417.35	1322.37	1225.22	1594.73	1733.13	1259.69	1208.34	1427.22	1733.13	1250.98	1159.07	941.27
NPDC1	1151.06	890.44	890.44	825.0	1135.2	1073.91	698.41	218.79	232.94	497.0	157.68	50.63	50.98	6381.92	3874.05	9740.98	10659.59	14361.31	8363.13	5441.3	4639.29	12764.83	5006.93	7857.29	3515.68	5517.27	14461.21	9945.68	10512.82	11664.82	3349.13	12244.81	10440.2	9808.75	7331.05	5594.3	6607.01	13681.08	8134.41	7485.11	9088.59	10225.32	6561.36	7280.4	12415.75	6037.61	4010.71	13306.94	11664.82	11112.3	10659.59	11112.3	18819.27	6079.61	6337.83	6561.36	9025.81	12076.21	9344.14	12853.63	10512.82	8778.97	5292.48	13033.07	9876.98	5913.33	11267.44	6745.86	4836.35	7537.18	9945.68	5076.84	13968.57	7230.1	6652.97	7433.4	9279.58	8421.31	8658.09	3540.14	4972.34	13215.02	12853.63	10808.41	11345.82	3742.05	11267.44	17197.56	12853.63	5872.48	11664.82	14262.1	6792.79	9808.75	14867.79	9945.68	6935.54	12676.65	10883.59	10808.41	15180.22	8247.98	8363.13	15607.02	10368.08	8718.32	7130.55	8247.98	6561.36	5183.54	8421.31	8363.13	17317.18	14867.79	9540.5	4010.71	7081.29	10296.45	13215.02	8778.97	8479.89	4836.35	2537.92	3665.02	15607.02	4152.18	14561.8	8479.89	10296.45	4512.4	12415.75	8305.36	16157.44	8191.0	5403.7	10959.3	5479.15	7180.15	5751.61	3235.01	15934.98	6164.49	14361.31	11584.24	13215.02	10084.54	8778.97	4704.07	12160.22	9409.14	8538.88	10084.54	9606.86	10225.32	9740.98	9740.98	13968.57	11909.94	13681.08	11664.82	9808.75	8658.09	8305.36	6745.86	5672.41	11424.74	11827.67	7803.01	4736.79	5479.15	7433.4	4512.4	5711.87	5112.16
NSUN5	341.51	248.0	214.27	279.14	279.14	223.41	202.66	140.04	140.04	211.31	68.55	267.73	271.48	457.25	490.14	599.49	748.61	1151.06	470.14	403.5	180.02	785.88	441.64	567.1	281.09	483.38	941.27	587.13	540.19	540.19	239.52	647.07	743.43	490.14	665.29	486.75	518.15	587.13	718.08	595.34	486.75	656.11	525.39	500.46	669.92	638.15	426.57	665.29	703.28	620.67	651.58	738.29	1242.34	559.28	703.28	563.18	679.29	642.59	486.75	708.18	591.22	583.07	309.83	698.41	575.03	384.34	703.28	540.19	543.96	543.96	669.92	470.14	698.41	629.35	460.44	497.0	567.1	638.15	483.38	429.54	483.38	629.35	884.29	651.58	915.51	563.18	603.67	490.14	674.59	444.72	660.68	1023.0	447.82	638.15	669.92	571.05	642.59	591.22	551.56	599.49	819.3	656.11	842.36	748.61	599.49	381.68	480.04	567.1	718.08	551.56	620.67	480.04	813.63	688.78	669.92	435.55	651.58	638.15	647.07	684.02	536.45	473.41	490.14	373.81	941.27	358.54	796.86	536.45	607.87	547.75	624.99	583.07	764.36	708.18	417.77	591.22	381.68	642.59	591.22	460.44	884.29	607.87	595.34	583.07	688.78	651.58	616.37	473.41	743.43	500.46	629.35	497.0	791.35	748.61	599.49	723.08	642.59	819.3	723.08	612.11	698.41	785.88	463.65	466.88	447.82	551.56	567.1	412.0	460.44	447.82	493.56	392.44	444.72	246.28
NUBP2	392.44	406.31	309.83	297.17	423.61	470.14	202.66	248.0	208.38	368.65	62.56	87.65	127.89	1268.46	1286.18	1745.2	2148.82	2367.9	1769.57	1583.71	825.0	2148.82	1066.48	1709.26	896.64	1508.65	2090.03	2303.12	1769.57	1757.34	775.05	2645.74	1844.76	1685.71	1896.65	1388.16	1331.57	2104.58	1857.6	1674.06	1397.83	1745.2	1651.0	1427.22	2400.97	1617.0	1135.2	2163.77	1870.53	2032.85	1896.65	2104.58	2271.4	1447.15	2163.77	1628.26	2047.0	1936.53	2032.85	2209.26	1936.53	2335.28	896.64	1991.0	1923.14	974.5	2148.82	2004.85	1191.69	1709.26	1870.53	1216.75	2178.83	1561.89	1477.58	1896.65	1794.29	1857.6	1388.16	981.29	1135.2	1936.53	2104.58	2485.67	2682.69	1250.98	1909.85	1709.26	2119.22	1073.91	1781.89	2664.15	1233.75	1757.34	2240.11	1819.35	1551.09	2090.03	1709.26	1697.45	2777.33	1745.2	1991.0	2178.83	1605.83	1199.98	1208.34	1605.83	1977.24	1819.35	1407.55	1721.16	2682.69	2148.82	1844.76	1268.46	1745.2	2555.58	2104.58	1819.35	1651.0	1617.0	723.08	928.3	2451.44	1151.06	2148.82	1605.83	1844.76	1242.34	2032.85	1662.49	2591.27	2032.85	1119.56	2224.63	1111.82	1769.57	1844.76	1199.98	2119.22	1617.0	2287.2	2061.24	2148.82	1977.24	2104.58	995.0	2224.63	1498.22	2163.77	1896.65	2367.9	2061.24	2119.22	2004.85	2075.59	2555.58	1991.0	2061.24	1923.14	2148.82	1551.09	1819.35	1359.57	2193.99	2209.26	1572.76	1331.57	1447.15	1963.57	1407.55	1733.13	1096.5
NUDT14	417.77	314.17	426.57	172.65	305.55	463.65	151.22	246.28	121.79	244.57	295.11	123.5	260.38	679.29	941.27	836.53	796.86	1015.93	1030.12	1143.1	409.15	2133.97	511.0	896.64	775.05	1059.11	1639.59	660.68	995.0	753.83	780.44	1457.23	1259.69	1073.91	1208.34	796.86	1059.11	1096.5	738.29	1369.04	915.51	1111.82	256.78	713.11	1477.58	808.0	518.15	1477.58	1883.54	1857.6	1183.45	1023.0	2104.58	764.36	825.0	1059.11	656.11	1605.83	921.88	1119.56	878.17	1572.76	525.39	1216.75	713.11	400.71	1487.87	1023.0	878.17	1159.07	1111.82	703.28	830.75	669.92	896.64	1487.87	1870.53	1135.2	379.04	902.89	1104.13	1417.35	1001.93	2468.49	1950.0	708.18	1685.71	1175.27	1286.18	435.55	830.75	2075.59	791.35	1498.22	2434.5	791.35	633.73	878.17	1697.45	1119.56	981.29	854.13	941.27	2502.97	995.0	718.08	559.28	915.51	571.05	791.35	713.11	1135.2	2104.58	1407.55	1208.34	518.15	941.27	775.05	947.83	1111.82	1008.9	1498.22	890.44	753.83	2004.85	728.11	2148.82	1037.29	1467.37	447.82	1437.15	463.65	1183.45	559.28	769.69	1572.76	555.41	543.96	612.11	575.03	2061.24	791.35	1685.71	947.83	1769.57	698.41	1127.35	651.58	1225.22	1322.37	1651.0	974.5	1991.0	1519.15	1268.46	1909.85	1081.39	2240.11	1628.26	1191.69	1295.13	1037.29	988.12	1037.29	1208.34	2004.85	769.69	1183.45	759.08	1127.35	1191.69	1001.93	902.89	878.17
NUDT16L1	343.89	277.2	215.77	197.09	314.17	271.48	195.72	224.97	172.65	371.22	193.01	248.0	429.54	981.29	866.07	995.0	2047.0	1617.0	1199.98	1674.06	728.11	1407.55	909.17	1250.98	748.61	1001.93	1286.18	1208.34	1313.23	896.64	633.73	1923.14	1832.01	1551.09	1477.58	1066.48	1447.15	1268.46	1447.15	1427.22	1104.13	1088.92	896.64	1051.79	1857.6	1051.79	836.53	1388.16	1487.87	1208.34	1628.26	1467.37	1674.06	934.76	1923.14	1359.57	1259.69	1447.15	1277.29	1350.18	1397.83	1794.29	753.83	1561.89	1277.29	854.13	1457.23	1322.37	1073.91	1651.0	1277.29	1268.46	1350.18	1151.06	921.88	1051.79	1457.23	1369.04	1151.06	1015.93	1051.79	1313.23	1397.83	1733.13	2555.58	1127.35	1407.55	1447.15	1322.37	947.83	1286.18	2555.58	1096.5	1135.2	1359.57	995.0	1605.83	1437.15	1639.59	1304.15	1639.59	1322.37	1617.0	1540.37	1208.34	1447.15	813.63	1135.2	1794.29	1250.98	1183.45	1359.57	1857.6	1477.58	1159.07	988.12	1388.16	2255.7	1519.15	1508.65	1199.98	1572.76	974.5	802.41	1447.15	915.51	1896.65	1331.57	1378.57	808.0	1447.15	1233.75	2209.26	1233.75	813.63	1233.75	909.17	1322.37	1378.57	684.02	1359.57	1397.83	1427.22	1819.35	1008.9	1498.22	1378.57	934.76	2240.11	1551.09	1572.76	1268.46	1605.83	1477.58	1407.55	1359.57	1721.16	1617.0	1427.22	1487.87	1259.69	1313.23	1277.29	1350.18	878.17	1359.57	1151.06	1183.45	995.0	1199.98	1259.69	954.43	1073.91	1051.79
NUDT22	438.59	400.71	332.14	214.27	400.71	353.59	185.11	204.07	318.57	470.14	269.6	583.07	665.29	1073.91	941.27	1225.22	2163.77	1857.6	1111.82	1388.16	769.69	1794.29	860.08	1651.0	796.86	1295.13	2351.53	1331.57	1540.37	1628.26	684.02	1709.26	1781.89	1322.37	1378.57	1104.13	1259.69	1191.69	1794.29	1437.15	954.43	1572.76	1143.1	995.0	2163.77	1295.13	842.36	1457.23	1551.09	1519.15	1529.73	1487.87	1870.53	1119.56	1498.22	1447.15	1617.0	1781.89	1388.16	1551.09	1359.57	1769.57	954.43	2061.24	1540.37	842.36	1605.83	1551.09	1059.11	1427.22	780.44	1037.29	1697.45	1295.13	1216.75	1350.18	1781.89	1477.58	1304.15	947.83	988.12	1498.22	1977.24	1963.57	2796.65	1159.07	1397.83	1697.45	2047.0	915.51	1350.18	2701.35	1151.06	1417.35	1477.58	1277.29	2032.85	1896.65	1674.06	1781.89	1781.89	1167.14	1551.09	1896.65	1498.22	1388.16	941.27	1340.84	1529.73	1378.57	1397.83	1304.15	1844.76	1870.53	1551.09	981.29	1268.46	1397.83	1844.76	1498.22	1350.18	1721.16	825.0	819.3	1936.53	961.07	1769.57	1268.46	1806.78	934.76	1605.83	1066.48	2434.5	1551.09	884.29	1519.15	854.13	1508.65	1388.16	866.07	2047.0	1397.83	1583.71	2193.99	1388.16	1295.13	1331.57	1030.12	1806.78	1769.57	1605.83	1417.35	1909.85	1651.0	1628.26	1806.78	1870.53	2090.03	1685.71	1457.23	1639.59	1628.26	1127.35	1199.98	934.76	1427.22	1259.69	1127.35	974.5	1359.57	1350.18	961.07	1119.56	1096.5
