	TCGA.AK.3447.01A.01R.1766.07	TCGA.BC.A110.01A.11R.A131.07	TCGA.DD.A3A3.11A.11R.A22L.07	TCGA.DD.A1EG.11A.11R.A213.07	TCGA.DD.A39V.11A.11R.A213.07	TCGA.BC.A216.11A.11R.A155.07	GTEX.145MO.2326.SM.5NQ9K	GTEX.14753.1626.SM.5NQ9L	TCGA.50.8460.01A.11R.2326.07	GTEX.PLZ6.0426.SM.5IFK2	TCGA.J8.A3YH.01A.11R.A22U.07	TCGA.ET.A3DW.01A.11R.A19O.07	TCGA.EM.A3AQ.01A.11R.A20F.07	TCGA.DJ.A2PT.01A.11R.A18C.07	TCGA.FY.A3YR.01A.11R.A22U.07	TCGA.DJ.A3V8.01A.11R.A23N.07	TCGA.DJ.A2PU.01A.12R.A19O.07	TCGA.IM.A3U2.01A.21R.A22L.07	TCGA.EM.A3FM.01A.11R.A21D.07	TCGA.EL.A3GZ.01A.11R.A20F.07	TCGA.KS.A4I7.01A.11R.A250.07	TCGA.DJ.A4UW.01A.11R.A250.07	TCGA.DJ.A2Q6.01A.11R.A18C.07	TCGA.E3.A3E2.01A.11R.A20F.07	TCGA.DJ.A2PQ.01A.11R.A18C.07	TCGA.DJ.A2PS.01A.11R.A18C.07	TCGA.DJ.A13P.01A.11R.A10U.07	TCGA.IM.A41Y.01A.11R.A23W.07	TCGA.L6.A4ET.01A.11R.A250.07	TCGA.ET.A3BP.01A.21R.A19O.07	TCGA.E8.A44K.01A.21R.A23W.07	TCGA.EL.A3MW.01A.11R.A20F.07	TCGA.EM.A1CV.01A.11R.A13Y.07	TCGA.BJ.A0Z5.01A.11R.A10U.07	TCGA.ET.A25R.01A.11R.A16R.07	TCGA.FY.A40K.01A.11R.A23N.07	TCGA.FK.A3SG.01A.11R.A22L.07	TCGA.DJ.A2PZ.01A.21R.A18C.07	TCGA.EM.A1CS.01A.11R.A13Y.07	TCGA.E3.A3E5.01A.11R.A20F.07	TCGA.EM.A3SX.01A.11R.A22U.07	TCGA.EM.A3AN.01A.11R.A206.07	TCGA.E8.A3X7.01A.11R.A22U.07	TCGA.DJ.A2Q5.01A.11R.A18C.07	TCGA.EM.A3FJ.01A.11R.A21D.07	TCGA.EM.A2OX.01A.11R.A206.07	TCGA.DJ.A3UK.01A.11R.A22L.07	TCGA.FE.A232.01A.11R.A14Y.07	TCGA.EL.A3ZO.01A.11R.A23N.07	TCGA.BJ.A0ZE.01A.11R.A10U.07	TCGA.EL.A3CP.01A.11R.A19O.07	TCGA.DJ.A3VB.01A.11R.A23N.07	TCGA.DJ.A3UW.01A.11R.A22L.07	TCGA.BJ.A0ZB.01A.11R.A10U.07	TCGA.DJ.A2PO.01A.21R.A19O.07	TCGA.DJ.A3V7.01A.11R.A23N.07	TCGA.DJ.A3UO.01A.11R.A22L.07	TCGA.ET.A40T.01A.11R.A23N.07	TCGA.EL.A4JZ.01A.11R.A250.07	TCGA.BJ.A3F0.01A.11R.A206.07	TCGA.ET.A2N4.01A.12R.A19O.07	TCGA.FE.A3PD.01A.11R.A220.07	TCGA.ET.A2MY.01A.11R.A18C.07	TCGA.DJ.A13T.01A.11R.A10U.07	TCGA.EL.A3ZR.01A.11R.A23N.07	TCGA.DE.A0XZ.01A.11R.A180.07	TCGA.BJ.A0ZH.01A.11R.A10U.07	TCGA.EL.A3H8.01A.11R.A20F.07	TCGA.E8.A242.01A.21R.A16R.07	TCGA.EM.A3FP.01A.11R.A21D.07	TCGA.DJ.A3UN.01A.11R.A22L.07	TCGA.DJ.A1QN.01A.11R.A14Y.07	TCGA.EM.A22O.01A.11R.A180.07	TCGA.ET.A40Q.01A.11R.A23N.07	TCGA.J8.A3NZ.01A.11R.A21D.07	TCGA.EM.A4FM.01A.11R.A250.07	TCGA.CE.A483.01A.11R.A23W.07	TCGA.DJ.A1QF.01A.12R.A14Y.07	TCGA.FK.A3S3.01A.11R.A22L.07	TCGA.KS.A4I9.01A.11R.A250.07	TCGA.DJ.A3UR.01A.11R.A22L.07	TCGA.EM.A4FQ.01A.11R.A250.07	TCGA.EL.A3ZG.01A.11R.A23N.07	TCGA.GE.A2C6.01A.11R.A16R.07	TCGA.KS.A4IB.01A.11R.A250.07	TCGA.ET.A39O.01A.11R.A19O.07	TCGA.DJ.A13V.01A.11R.A10U.07	TCGA.ET.A40S.01A.11R.A23N.07	TCGA.DJ.A13X.01A.11R.A10U.07	TCGA.EL.A3GQ.01A.11R.A206.07	TCGA.DE.A4MC.01A.11R.A250.07	TCGA.DE.A69K.01A.11R.A39I.07	TCGA.IM.A3U3.01A.11R.A22L.07	TCGA.DJ.A4V4.01A.11R.A250.07	TCGA.FY.A3R8.01A.11R.A220.07	TCGA.DJ.A3V0.01A.11R.A22U.07	TCGA.J8.A42S.01A.11R.A23N.07	TCGA.ET.A3BW.01A.11R.A19O.07	TCGA.DJ.A3VJ.01A.11R.A23N.07	TCGA.BJ.A45H.01A.12R.A23W.07	TCGA.E8.A418.01A.11R.A23N.07	TCGA.EM.A22M.01A.11R.A32Y.07
KMT2E	33.3	105.15	111.21	125.24	86.43	147.06	115.16	44.25	490.14	356.05	429.54	518.15	381.68	265.87	466.88	373.81	638.15	303.44	285.03	764.36	473.41	466.88	728.11	547.75	525.39	738.29	651.58	389.72	353.59	543.96	409.15	633.73	759.08	503.95	674.59	665.29	397.93	463.65	1008.9	536.45	629.35	486.75	206.94	660.68	532.74	607.87	748.61	400.71	318.57	241.19	813.63	356.05	473.41	583.07	669.92	376.41	480.04	642.59	555.41	260.38	486.75	450.94	387.02	872.1	518.15	780.44	406.31	748.61	426.57	291.04	551.56	796.86	314.17	483.38	591.22	438.59	587.13	860.08	334.46	450.94	575.03	346.29	325.29	775.05	540.19	392.44	642.59	497.0	684.02	575.03	497.0	567.1	511.0	406.31	599.49	389.72	493.56	854.13	392.44	466.88	447.82	417.77
LRRC47	204.07	669.92	684.02	679.29	698.41	567.1	607.87	656.11	642.59	791.35	896.64	819.3	854.13	890.44	743.43	693.58	1030.12	921.88	769.69	836.53	836.53	775.05	802.41	775.05	1119.56	1111.82	848.22	738.29	928.3	836.53	738.29	825.0	1008.9	884.29	775.05	825.0	555.41	1037.29	1023.0	921.88	974.5	785.88	842.36	902.89	902.89	728.11	860.08	819.3	785.88	718.08	842.36	579.04	808.0	967.76	995.0	808.0	854.13	819.3	785.88	836.53	954.43	656.11	961.07	1037.29	802.41	884.29	738.29	854.13	775.05	764.36	1037.29	878.17	941.27	764.36	860.08	656.11	915.51	896.64	890.44	753.83	1037.29	669.92	698.41	813.63	954.43	698.41	909.17	679.29	878.17	759.08	819.3	753.83	813.63	775.05	723.08	780.44	836.53	915.51	599.49	802.41	708.18	842.36
MAML1	16.88	86.43	88.26	80.01	65.26	100.13	77.79	70.51	297.17	161.02	336.79	358.54	283.05	281.09	293.07	287.01	454.09	275.28	267.73	435.55	332.14	303.44	409.15	323.03	358.54	403.5	334.46	248.0	299.25	336.79	287.01	361.04	435.55	329.84	429.54	444.72	260.38	305.55	518.15	336.79	414.87	353.59	242.88	395.18	323.03	366.09	406.31	320.8	258.57	187.71	429.54	224.97	329.84	363.56	444.72	283.05	361.04	392.44	397.93	206.94	312.0	341.51	289.02	403.5	299.25	447.82	262.2	426.57	314.17	186.4	368.65	454.09	279.14	351.14	379.04	323.03	339.14	454.09	299.25	320.8	351.14	232.94	260.38	414.87	339.14	312.0	403.5	356.05	414.87	435.55	395.18	363.56	334.46	318.57	343.89	281.09	318.57	450.94	332.14	334.46	287.01	323.03
MAU2	37.59	186.4	154.42	211.31	151.22	189.02	116.78	114.36	497.0	269.6	698.41	575.03	591.22	412.0	555.41	529.06	703.28	473.41	318.57	718.08	559.28	540.19	633.73	500.46	480.04	555.41	525.39	507.46	703.28	629.35	703.28	607.87	785.88	665.29	612.11	1001.93	420.68	460.44	934.76	684.02	909.17	463.65	420.68	595.34	460.44	688.78	1001.93	603.67	409.15	363.56	775.05	361.04	525.39	753.83	723.08	540.19	785.88	813.63	703.28	316.37	633.73	563.18	518.15	769.69	713.11	1167.14	547.75	759.08	493.56	339.14	808.0	713.11	417.77	571.05	651.58	426.57	688.78	785.88	607.87	587.13	647.07	497.0	432.53	775.05	665.29	483.38	616.37	543.96	796.86	813.63	559.28	638.15	651.58	532.74	647.07	559.28	607.87	713.11	473.41	579.04	493.56	547.75
MDM4	15.8	91.41	88.26	60.82	45.53	103.69	85.22	47.5	202.66	83.45	199.85	190.34	175.07	125.24	178.77	163.28	153.34	212.78	85.82	285.03	181.28	215.77	271.48	269.6	236.21	253.23	205.5	165.57	241.19	267.73	229.72	206.94	309.83	197.09	202.66	346.29	137.14	140.04	339.14	260.38	217.27	164.42	101.54	260.38	234.57	218.79	301.33	128.79	180.02	118.43	318.57	132.44	147.06	246.28	221.86	145.02	189.02	281.09	265.87	72.01	215.77	178.77	120.94	228.13	232.94	511.0	183.82	249.73	133.36	118.43	221.86	277.2	161.02	157.68	186.4	166.73	228.13	256.78	127.89	246.28	171.45	175.07	158.79	291.04	384.34	135.24	246.28	199.85	236.21	511.0	279.14	146.03	181.28	175.07	175.07	205.5	208.38	265.87	120.1	171.45	175.07	182.55
MGA	10.0	37.05	35.5	32.59	35.0	40.93	23.42	9.7	60.82	48.18	87.65	87.65	67.59	65.72	82.87	69.52	136.19	46.18	52.08	112.77	75.11	80.57	158.79	87.03	102.25	166.73	101.54	57.49	67.59	92.05	67.59	98.04	181.28	82.87	126.12	127.0	68.55	88.88	194.36	87.65	128.79	113.56	52.08	136.19	98.04	120.94	135.24	85.82	46.18	53.57	144.01	53.19	94.67	99.43	138.1	63.45	94.01	101.54	93.35	52.45	79.45	93.35	68.07	146.03	82.29	130.6	74.06	159.9	87.65	64.8	96.01	149.12	61.25	84.04	103.69	53.57	100.13	187.71	79.45	82.29	105.15	64.8	57.08	128.79	71.0	85.22	108.14	72.01	143.01	208.38	94.67	115.16	90.77	78.89	96.01	61.68	81.14	145.02	81.71	87.65	57.49	71.5
MGEA5	366.09	417.77	432.53	665.29	435.55	665.29	693.58	583.07	1259.69	1015.93	1832.01	1540.37	1447.15	896.64	1529.73	1208.34	1769.57	1286.18	934.76	1977.24	1639.59	1508.65	1977.24	1806.78	1977.24	2451.44	1870.53	1457.23	1594.73	1733.13	1639.59	1857.6	2573.36	1540.37	1467.37	2485.67	825.0	1674.06	2468.49	1896.65	2090.03	1551.09	1081.39	2047.0	1991.0	1651.0	2520.38	1295.13	796.86	1023.0	2520.38	1199.98	1313.23	1794.29	1977.24	1199.98	1909.85	2271.4	1794.29	854.13	1977.24	1498.22	1340.84	2178.83	1819.35	3018.3	1350.18	1832.01	1191.69	896.64	2240.11	1857.6	1096.5	1369.04	1498.22	1233.75	1769.57	2351.53	1388.16	1605.83	1651.0	1250.98	941.27	2209.26	2061.24	1191.69	1651.0	1857.6	2178.83	2720.15	1674.06	1697.45	1417.35	1397.83	1572.76	1407.55	1685.71	1923.14	1044.52	1540.37	1199.98	1529.73
MOCS3	72.01	69.03	92.7	75.11	78.34	89.51	80.57	50.63	85.82	154.42	123.5	144.01	71.0	97.36	125.24	100.13	150.17	83.45	80.57	113.56	105.15	76.17	138.1	105.15	98.73	120.94	149.12	89.51	117.6	145.02	109.66	123.5	131.51	147.06	94.67	139.07	34.51	116.78	170.25	123.5	105.89	102.25	81.71	115.97	156.59	90.14	128.79	123.5	102.25	62.12	133.36	69.03	91.41	146.03	100.83	114.36	92.05	93.35	79.45	77.25	107.38	69.52	77.79	148.09	83.45	139.07	90.77	123.5	110.43	83.45	105.15	183.82	99.43	115.16	155.5	85.22	106.63	121.79	54.33	108.14	175.07	92.7	95.34	98.04	127.89	109.66	152.28	101.54	100.83	111.99	105.15	144.01	115.97	129.69	121.79	85.82	75.64	178.77	45.53	101.54	87.03	97.36
MTF2	16.39	65.72	66.65	69.52	60.39	80.01	45.53	34.02	158.79	151.22	309.83	212.78	229.72	165.57	248.0	217.27	244.57	185.11	68.55	301.33	287.01	269.6	366.09	368.65	258.57	299.25	318.57	214.27	267.73	318.57	269.6	329.84	334.46	246.28	202.66	490.14	185.11	214.27	389.72	363.56	348.71	234.57	161.02	318.57	327.56	183.82	441.64	181.28	166.73	134.3	325.29	172.65	208.38	256.78	264.03	204.07	241.19	423.61	291.04	109.66	251.48	269.6	187.71	368.65	293.07	423.61	248.0	301.33	147.06	169.07	281.09	297.17	95.34	206.94	285.03	249.73	265.87	299.25	170.25	295.11	312.0	248.0	198.47	363.56	271.48	153.34	295.11	221.86	293.07	466.88	220.32	281.09	244.57	265.87	253.23	258.57	343.89	348.71	195.72	262.2	237.86	171.45
NBPF24	0.0	0.0	5.77	10.55	4.86	14.78	6.21	9.48	49.91	4.58	18.7	32.13	13.83	1.85	17.9	10.16	101.54	19.53	6.89	48.87	14.24	18.29	28.86	38.95	6.01	40.36	50.27	24.46	15.91	42.41	37.05	24.63	71.5	15.68	32.82	95.34	8.71	40.07	88.26	29.48	36.79	22.26	11.38	25.72	30.12	34.51	80.57	27.44	10.63	6.52	57.49	6.46	27.84	41.81	35.76	6.46	18.03	38.95	22.92	7.28	3.11	13.32	23.76	62.12	18.97	78.34	18.84	74.58	17.0	7.11	61.25	40.64	12.45	24.99	38.12	10.63	33.3	53.19	14.35	29.7	22.1	13.93	14.67	21.01	33.78	16.63	56.68	10.39	41.22	159.9	14.14	26.1	32.36	8.92	27.64	15.56	29.27	53.57	12.83	26.28	25.17	21.01
NOP9	45.21	105.15	159.9	122.64	138.1	159.9	133.36	95.34	269.6	154.42	206.94	224.97	221.86	198.47	194.36	190.34	307.69	189.02	218.79	218.79	229.72	201.25	275.28	239.52	220.32	265.87	255.0	150.17	199.85	220.32	214.27	241.19	320.8	260.38	303.44	279.14	180.02	260.38	373.81	228.13	248.0	223.41	198.47	295.11	224.97	251.48	242.88	239.52	190.34	229.72	258.57	169.07	248.0	291.04	293.07	186.4	221.86	234.57	224.97	191.67	215.77	194.36	264.03	329.84	226.54	293.07	212.78	255.0	271.48	202.66	246.28	295.11	228.13	190.34	267.73	189.02	202.66	379.04	218.79	199.85	255.0	156.59	170.25	291.04	215.77	205.5	221.86	215.77	320.8	334.46	237.86	248.0	220.32	214.27	214.27	185.11	183.82	265.87	190.34	206.94	186.4	176.29
NPC2	40062.48	4575.41	4481.23	2835.7	2417.67	3168.41	2520.38	2061.24	156954.93	141455.6	113315.62	99333.0	98646.85	83528.61	113315.62	79572.48	92680.9	87075.75	106462.55	115696.65	142439.51	92680.9	124000.67	107948.72	137587.47	98646.85	138544.47	86474.27	111755.56	122293.5	93974.69	108699.57	91404.92	134755.94	109455.64	58655.36	114103.8	91404.92	65082.31	117311.73	68318.04	130165.62	127486.83	130165.62	131982.68	154794.07	79022.82	110983.6	80125.95	135693.24	104996.83	109455.64	87681.42	95286.54	97965.44	110216.97	104271.56	103551.29	155870.75	79022.82	118127.7	135693.24	98646.85	69753.56	112532.89	105727.15	105727.15	93325.55	91404.92	75803.72	118127.7	115696.65	92040.7	117311.73	92680.9	114897.47	103551.29	114103.8	96616.71	126606.21	100719.65	118949.35	119776.72	112532.89	103551.29	91404.92	111755.56	100719.65	67377.47	69753.56	102125.66	100719.65	102836.01	107948.72	110216.97	89523.81	101420.22	103551.29	106462.55	121448.75	127486.83	104271.56
NRF1	35.0	116.78	111.21	84.63	52.82	69.03	69.03	36.27	181.28	190.34	273.37	194.36	239.52	178.77	175.07	212.78	318.57	195.72	170.25	275.28	239.52	237.86	289.02	244.57	228.13	279.14	258.57	178.77	305.55	248.0	209.84	279.14	334.46	221.86	234.57	318.57	151.22	212.78	329.84	265.87	309.83	206.94	202.66	285.03	281.09	223.41	341.51	208.38	182.55	102.97	351.14	167.9	198.47	232.94	287.01	204.07	271.48	309.83	269.6	148.09	229.72	269.6	197.09	301.33	237.86	371.22	193.01	267.73	186.4	165.57	269.6	251.48	246.28	208.38	239.52	175.07	267.73	341.51	218.79	248.0	325.29	166.73	182.55	260.38	244.57	161.02	265.87	236.21	277.2	334.46	224.97	248.0	198.47	217.27	206.94	229.72	269.6	264.03	223.41	236.21	171.45	242.88
NSD1	29.48	58.3	56.68	44.89	61.25	75.64	50.63	23.42	209.84	167.9	206.94	178.77	176.29	138.1	163.28	162.14	314.17	139.07	130.6	246.28	211.31	198.47	303.44	241.19	239.52	307.69	244.57	128.79	170.25	214.27	189.02	228.13	376.41	236.21	239.52	293.07	169.07	220.32	454.09	208.38	279.14	191.67	138.1	299.25	223.41	260.38	307.69	195.72	120.1	195.72	318.57	135.24	190.34	264.03	316.37	155.5	205.5	248.0	208.38	191.67	212.78	191.67	193.01	356.05	231.32	303.44	191.67	351.14	181.28	214.27	267.73	303.44	162.14	164.42	281.09	144.01	223.41	414.87	195.72	189.02	264.03	143.01	144.01	256.78	232.94	176.29	234.57	217.27	353.59	435.55	193.01	273.37	223.41	199.85	209.84	150.17	185.11	316.37	187.71	215.77	172.65	171.45
OTUD3	3.99	13.93	9.2	11.91	8.78	28.04	5.11	10.88	75.64	42.11	94.01	102.97	72.52	62.56	90.77	79.45	107.38	65.72	35.5	127.89	74.06	75.11	191.67	82.87	96.68	111.99	68.07	92.05	119.26	95.34	108.14	120.94	122.64	102.25	125.24	181.28	61.25	84.63	137.14	73.54	135.24	92.05	70.51	129.69	85.82	84.04	212.78	74.06	57.89	80.01	158.79	56.28	82.29	120.1	116.78	70.01	72.52	120.94	131.51	33.06	68.07	67.59	71.0	118.43	90.77	165.57	85.82	163.28	67.59	40.36	87.65	138.1	62.12	104.42	105.15	106.63	133.36	163.28	56.68	111.99	85.22	57.08	69.03	135.24	113.56	50.98	83.45	103.69	129.69	199.85	108.14	119.26	114.36	90.14	121.79	77.79	115.97	102.97	92.05	102.97	79.45	56.68
PHF21A	24.46	157.68	95.34	78.89	111.21	117.6	114.36	78.34	329.84	214.27	483.38	384.34	348.71	287.01	368.65	329.84	567.1	301.33	336.79	532.74	476.71	460.44	529.06	500.46	507.46	497.0	514.56	392.44	400.71	441.64	332.14	543.96	575.03	406.31	435.55	595.34	329.84	295.11	674.59	486.75	483.38	480.04	285.03	529.06	514.56	438.59	629.35	348.71	307.69	267.73	595.34	265.87	412.0	417.77	567.1	336.79	486.75	529.06	503.95	316.37	457.25	429.54	289.02	547.75	480.04	718.08	332.14	563.18	389.72	373.81	571.05	647.07	368.65	389.72	441.64	339.14	358.54	563.18	500.46	429.54	532.74	341.51	353.59	563.18	493.56	312.0	460.44	417.77	540.19	679.29	480.04	466.88	426.57	457.25	373.81	392.44	567.1	679.29	312.0	444.72	356.05	441.64
PIP4K2B	28.45	150.17	143.01	159.9	141.02	143.01	135.24	67.59	466.88	521.76	591.22	551.56	547.75	397.93	438.59	463.65	748.61	476.71	339.14	665.29	647.07	490.14	665.29	571.05	567.1	708.18	603.67	336.79	567.1	647.07	483.38	674.59	775.05	693.58	612.11	733.19	358.54	575.03	981.29	559.28	647.07	532.74	426.57	733.19	563.18	595.34	825.0	571.05	444.72	397.93	802.41	400.71	503.95	698.41	733.19	454.09	612.11	642.59	587.13	361.04	591.22	514.56	476.71	836.53	679.29	890.44	532.74	642.59	567.1	395.18	660.68	890.44	503.95	454.09	595.34	454.09	612.11	974.5	497.0	507.46	599.49	435.55	463.65	753.83	674.59	429.54	660.68	559.28	656.11	842.36	503.95	616.37	579.04	536.45	507.46	457.25	435.55	825.0	412.0	521.76	389.72	575.03
POLR3A	14.67	73.03	53.19	56.28	56.28	58.71	40.36	31.9	106.63	59.97	121.79	107.38	92.7	110.43	100.83	96.01	141.02	80.57	69.52	131.51	105.89	92.05	129.69	108.14	100.83	143.01	103.69	71.0	94.67	98.04	140.04	127.0	144.01	119.26	122.64	141.02	82.87	105.15	205.5	105.89	136.19	96.68	96.68	127.89	102.25	111.21	142.01	115.97	75.64	85.22	135.24	71.0	109.66	133.36	128.79	96.01	111.21	133.36	108.14	91.41	115.97	94.67	102.97	169.07	105.15	148.09	90.77	134.3	109.66	82.87	130.6	147.06	86.43	98.04	127.0	71.5	115.16	157.68	95.34	102.25	105.15	75.11	80.01	137.14	115.16	102.25	112.77	105.15	153.34	170.25	95.34	111.21	114.36	96.68	111.99	95.34	84.63	132.44	98.73	109.66	89.51	103.69
PRR3	37.05	183.82	147.06	120.1	76.17	82.87	55.89	33.06	314.17	177.53	384.34	241.19	341.51	234.57	236.21	295.11	417.77	285.03	242.88	414.87	379.04	361.04	356.05	429.54	392.44	420.68	414.87	267.73	384.34	463.65	291.04	500.46	351.14	381.68	309.83	400.71	189.02	275.28	441.64	392.44	432.53	358.54	269.6	466.88	441.64	348.71	441.64	283.05	281.09	195.72	409.15	281.09	295.11	283.05	353.59	299.25	444.72	351.14	351.14	199.85	426.57	358.54	279.14	351.14	417.77	447.82	343.89	323.03	244.57	242.88	454.09	457.25	223.41	273.37	255.0	323.03	301.33	275.28	327.56	277.2	432.53	269.6	312.0	503.95	387.02	239.52	420.68	361.04	287.01	381.68	228.13	279.14	325.29	379.04	267.73	327.56	346.29	409.15	237.86	316.37	246.28	363.56
PRRC2B	127.89	346.29	397.93	273.37	293.07	409.15	373.81	143.01	934.76	718.08	1369.04	1477.58	1225.22	1059.11	1183.45	1286.18	2255.7	1151.06	1233.75	1551.09	1487.87	1359.57	1757.34	1388.16	1417.35	1540.37	1709.26	995.0	1572.76	1540.37	1437.15	1561.89	1936.53	1583.71	1651.0	1844.76	819.3	1437.15	2434.5	1477.58	1662.49	1277.29	1119.56	1697.45	1417.35	1191.69	2193.99	1594.73	665.29	1350.18	1883.54	928.3	1322.37	1697.45	2047.0	1073.91	1268.46	1561.89	1477.58	1208.34	1477.58	1208.34	1487.87	1936.53	1191.69	1950.0	1378.57	1883.54	1322.37	1159.07	1674.06	1883.54	1388.16	1073.91	1551.09	1331.57	1437.15	2434.5	1183.45	1427.22	1628.26	1151.06	1208.34	1605.83	1561.89	1250.98	1639.59	1008.9	2018.8	2004.85	1286.18	1498.22	1477.58	1378.57	1259.69	1242.34	1304.15	1870.53	1008.9	1359.57	1051.79	1135.2
PSMD5	107.38	249.73	271.48	228.13	189.02	237.86	201.25	197.09	277.2	607.87	368.65	466.88	297.17	339.14	301.33	291.04	249.73	341.51	256.78	507.46	381.68	329.84	447.82	397.93	387.02	447.82	387.02	275.28	277.2	334.46	309.83	356.05	379.04	341.51	384.34	392.44	215.77	387.02	473.41	312.0	287.01	387.02	287.01	417.77	368.65	473.41	397.93	223.41	143.01	305.55	503.95	258.57	400.71	303.44	376.41	366.09	339.14	371.22	361.04	307.69	412.0	397.93	363.56	435.55	277.2	441.64	336.79	409.15	329.84	269.6	392.44	395.18	291.04	368.65	341.51	236.21	444.72	316.37	301.33	406.31	320.8	273.37	297.17	307.69	476.71	381.68	186.4	303.44	336.79	529.06	403.5	473.41	351.14	323.03	507.46	312.0	215.77	420.68	426.57	255.0	358.54	295.11
PTPRS	1.62	76.17	56.28	92.05	70.01	92.7	84.04	46.5	591.22	403.5	909.17	575.03	450.94	301.33	480.04	417.77	1127.35	476.71	420.68	1030.12	514.56	642.59	813.63	759.08	743.43	503.95	872.1	518.15	854.13	780.44	497.0	791.35	1023.0	483.38	738.29	1350.18	607.87	507.46	1628.26	748.61	974.5	759.08	503.95	791.35	1051.79	514.56	896.64	656.11	314.17	392.44	1015.93	329.84	547.75	629.35	674.59	253.23	665.29	848.22	563.18	476.71	511.0	521.76	366.09	1081.39	500.46	1268.46	490.14	629.35	346.29	540.19	571.05	961.07	591.22	400.71	764.36	521.76	429.54	866.07	507.46	521.76	1216.75	279.14	343.89	656.11	473.41	283.05	1081.39	432.53	679.29	1023.0	181.28	591.22	603.67	480.04	314.17	591.22	813.63	1059.11	500.46	693.58	267.73	575.03
RNF216	52.08	146.03	149.12	115.97	116.78	127.89	109.66	100.13	295.11	127.89	353.59	371.22	265.87	275.28	281.09	287.01	518.15	305.55	287.01	438.59	334.46	343.89	400.71	363.56	371.22	397.93	406.31	258.57	361.04	376.41	303.44	379.04	460.44	368.65	403.5	406.31	264.03	358.54	547.75	336.79	412.0	314.17	255.0	441.64	366.09	301.33	444.72	361.04	291.04	229.72	438.59	234.57	303.44	339.14	450.94	309.83	348.71	368.65	361.04	281.09	363.56	291.04	309.83	432.53	291.04	463.65	297.17	435.55	334.46	279.14	403.5	417.77	316.37	303.44	392.44	314.17	332.14	514.56	329.84	327.56	387.02	285.03	293.07	371.22	318.57	351.14	441.64	291.04	426.57	441.64	307.69	368.65	358.54	301.33	309.83	275.28	312.0	521.76	303.44	348.71	253.23	303.44
RPUSD4	110.43	316.37	241.19	297.17	325.29	253.23	193.01	218.79	450.94	323.03	368.65	325.29	325.29	339.14	301.33	327.56	417.77	323.03	229.72	327.56	277.2	264.03	368.65	291.04	329.84	414.87	351.14	267.73	379.04	267.73	361.04	358.54	376.41	287.01	339.14	373.81	171.45	358.54	381.68	332.14	327.56	249.73	332.14	334.46	327.56	361.04	423.61	316.37	251.48	260.38	432.53	229.72	285.03	341.51	400.71	332.14	269.6	305.55	242.88	285.03	432.53	236.21	336.79	376.41	371.22	320.8	289.02	432.53	361.04	193.01	426.57	366.09	363.56	281.09	366.09	285.03	409.15	384.34	412.0	381.68	363.56	279.14	258.57	332.14	275.28	348.71	371.22	279.14	351.14	412.0	281.09	248.0	285.03	348.71	351.14	260.38	307.69	397.93	264.03	273.37	246.28	312.0
RREB1	33.54	155.5	206.94	202.66	144.01	234.57	197.09	206.94	194.36	186.4	172.65	265.87	185.11	155.5	215.77	193.01	297.17	172.65	175.07	226.54	201.25	217.27	277.2	231.32	236.21	273.37	262.2	229.72	204.07	231.32	197.09	262.2	356.05	269.6	262.2	285.03	211.31	183.82	397.93	281.09	285.03	211.31	142.01	221.86	271.48	178.77	260.38	239.52	151.22	173.85	318.57	191.67	208.38	283.05	267.73	177.53	183.82	241.19	253.23	189.02	228.13	215.77	186.4	258.57	249.73	309.83	205.5	307.69	212.78	316.37	224.97	323.03	145.02	194.36	242.88	187.71	197.09	387.02	180.02	244.57	228.13	221.86	181.28	277.2	229.72	180.02	223.41	214.27	329.84	336.79	246.28	255.0	204.07	187.71	214.27	190.34	204.07	262.2	165.57	244.57	153.34	156.59
SART3	65.72	289.02	260.38	220.32	195.72	217.27	163.28	82.87	417.77	163.28	703.28	579.04	571.05	447.82	563.18	521.76	733.19	483.38	444.72	665.29	595.34	463.65	638.15	563.18	642.59	728.11	679.29	483.38	679.29	599.49	595.34	647.07	785.88	674.59	703.28	780.44	384.34	620.67	909.17	656.11	796.86	518.15	483.38	733.19	591.22	607.87	775.05	620.67	457.25	381.68	743.43	403.5	555.41	684.02	780.44	583.07	616.37	679.29	612.11	379.04	688.78	551.56	583.07	785.88	536.45	860.08	518.15	713.11	591.22	381.68	753.83	819.3	521.76	633.73	620.67	483.38	660.68	890.44	651.58	559.28	733.19	417.77	500.46	764.36	684.02	525.39	674.59	525.39	759.08	743.43	629.35	656.11	642.59	540.19	629.35	525.39	642.59	796.86	511.0	575.03	599.49	579.04
